ѝ	i
адресиранета	ˌad̪rɛˈsiɾənɛt̪ə
адресиранетата	ˌad̪rɛˈsiɾənɛt̪ət̪ə
адресирането	ˌad̪rɛˈsiɾənɛt̪o
адресирани	ˌad̪rɛˈsiɾəni
адресираните	ˌad̪rɛˈsiɾənit̪ɛ
адресирания	ˌad̪rɛˈsiɾənijə
адресираният	ˌad̪rɛˈsiɾənijət̪
адресиранията	ˌad̪rɛˈsiɾənijət̪ə
адресирано	ˌad̪rɛˈsiɾəno
адресираното	ˌad̪rɛˈsiɾənot̪o
адресират	ˌad̪rɛˈsiɾət̪
адресирате	ˌad̪rɛˈsiɾət̪ɛ
адресирах	ˌad̪rɛˈsiɾəx
адресираха	ˌad̪rɛˈsiɾəxə
адресирахме	ˌad̪rɛˈsiɾəxmɛ
адресирахте	ˌad̪rɛˈsiɾəxt̪ɛ
адресираш	ˌad̪rɛˈsiɾəʃ
адресираше	ˌad̪rɛˈsiɾəʃɛ
адресиращ	ˌad̪rɛˈsiɾəʃt̪
адресираща	ˌad̪rɛˈsiɾəʃt̪ə
адресиращата	ˌad̪rɛˈsiɾəʃt̪ət̪ə
адресиращи	ˌad̪rɛˈsiɾəʃt̪i
адресиращите	ˌad̪rɛˈsiɾəʃt̪it̪ɛ
адресиращия	ˌad̪rɛˈsiɾəʃt̪ijə
адресиращият	ˌad̪rɛˈsiɾəʃt̪ijət̪
адресиращо	ˌad̪rɛˈsiɾəʃt̪o
адресиращото	ˌad̪rɛˈsiɾəʃt̪ot̪o
аерогара	aɛruˈɡarə
аерометър	ˈaɛroˈmɛtər
аероснимка	ˌaɛruˈsnimkə
аеротакси	ˈaɛrotəˈksi
аз	as
азалия	əˈzalijə
азбест	ˈazbɛst
азбестов	ˈazbɛstof
азбука	ˈazbukə
азбучник	ˈazbutʃnik
Азербайджан	ˌazɛrbəjˈdʒan
азербайджанец	əzɛrbəiˈdʒanɛt͡s
азербайджанка	əzɛrbəiˈdʒaŋkə
азиатец	əziˈatɛts
азиатка	əziˈatkə
Азия	ˈazijə
азот	əˈzɔt
азотен	əˈzɔtɛn
азотист	əzoˈtist
айнщайний	ajnˈʃtajnij
акварелист	əkvərɛˈlist
акварелистка	əkvərɛˈlistkə
акне	əkˈnɛ
акорд	əˈkɔrt
акордеон	əkordɛˈɔn
акордеонист	əkordɛoˈnist
акордеонистка	əkordɛoˈnistkə
акробат	əkroˈbat
акробатика	akruˈbatikə
акробатка	əkroˈbatkə
аксиома	aksiˈɔmə
активен	əkˈtivɛn
активист	əktiˈvist
активистка	əktiˈvistkə
активност	əkˈtivnost
актиний	akˈtinij
актриса	akˈtrisə
актуален	əktuˈalɛn
актуалност	əktuˈalnost
актьор	əˈktʲɔr
акула	əˈkulə
акумулатор	əkumuˈlator
акуратен	əkuˈratɛn
акуратност	əkuˈratnost
акустика	əˈkustikə
акушерка	əkuˈʃɛrkə
акцент	əkˈtsɛnt
ала	aɫa
аларма	əˈlarmə
алармен	əˈlarmɛn
албанец	əlˈbanɛt͡s
Албания	aɫˈbanijə
албанка	əlˈbaŋkə
алвеола	alvɛˈɔlə
алгоритъм	əlɡoˈritəm
алебарда	alɛˈbardə
алегория	əlɛˈɡɔrijə
ален	ˈalɛn
алжирец	əlˈʒirɛts
алжирка	əlˈʒirkə
алигатор	əliˈɡator
алкохол	əlkoˈxɔl
алкохолизъм	alkoxoˈlizəm
алкохолик	əlkoxoˈlik
алкохоличка	əlkoxoˈlitʃkə
алманах	almaˈnax
алпиец	əlˈpiɛt͡s
алпийка	əlˈpiːkə
алтернатива	əltɛrnəˈtivə
алтов	ˈaltof
алуминиев	əloˈminiɛf
алуминий	aluˈminij
алхимик	alxʲiˈmik
алхимичка	alxʲiˈmitʃkə
алчен	ˈaltʃɛn
алчност	ˈaltʃnost
амбициозен	əmbitsiˈɔzɛn
амбиция	əmˈbit͡sijə
амвон	ˌaɱˈvɔn
америций	ɤmɛˈrit͡sij
аметист	əmɛˈtist
аметистов	əmɛˈtistof
амин	əˈmin
амнистия	əmˈnistijə
амониев	əˈmɔniɛf
амоняк	əmoˈnʲak
амперметър	ˈaɱpɛrˈmɛtər
амфитеатър	aɱfitɛˈatər
анаконда	ˌanəˈkɔnd̪ə
анализ	əˈnalis
аналитичен	ənəliˈtitʃɛn
аналитически	ənəliˈtitʃɛskʲi
аналог	ənəˈlɔk
ананасов	ənəˈnasof
анархия	əˈnarxʲijə
анасон	ənəˈsɔn
анасонов	anəˈsɔnof
анатема	əˈnatɛmə
анатемоса	ˌanət̪ɛˈmɔsə
анатемосай	ˌanət̪ɛˈmɔsəj
анатемосайте	ˌanət̪ɛˈmɔsəjt̪ɛ
анатемосал	ˌanət̪ɛˈmɔsəɫ
анатемосала	ˌanət̪ɛˈmɔsəɫə
анатемосалата	ˌanət̪ɛˈmɔsəɫət̪ə
анатемосали	ˌanət̪ɛˈmɔsəli
анатемосалите	ˌanət̪ɛˈmɔsəlit̪ɛ
анатемосалия	ˌanət̪ɛˈmɔsəlijə
анатемосалият	ˌanət̪ɛˈmɔsəlijət̪
анатемосало	ˌanət̪ɛˈmɔsəɫo
анатемосалото	ˌanət̪ɛˈmɔsəɫot̪o
анатемосам	ˌanət̪ɛˈmɔsəm
анатемосаме	ˌanət̪ɛˈmɔsəmɛ
анатемосан	ˌanət̪ɛˈmɔsən
анатемосана	ˌanət̪ɛˈmɔsənə
анатемосаната	ˌanət̪ɛˈmɔsənət̪ə
анатемосани	ˌanət̪ɛˈmɔsəni
анатемосаните	ˌanət̪ɛˈmɔsənit̪ɛ
анатемосания	ˌanət̪ɛˈmɔsənijə
анатемосаният	ˌanət̪ɛˈmɔsənijət̪
анатемосано	ˌanət̪ɛˈmɔsəno
анатемосаното	ˌanət̪ɛˈmɔsənot̪o
анатемосат	ˌanət̪ɛˈmɔsət̪
анатемосате	ˌanət̪ɛˈmɔsət̪ɛ
анатемосах	ˌanət̪ɛˈmɔsəx
анатемосаха	ˌanət̪ɛˈmɔsəxə
анатемосахме	ˌanət̪ɛˈmɔsəxmɛ
анатемосахте	ˌanət̪ɛˈmɔsəxt̪ɛ
анатемосаш	ˌanət̪ɛˈmɔsəʃ
анатемосаше	ˌanət̪ɛˈmɔsəʃɛ
анатемосва	ˌanət̪ɛˈmɔsvə
анатемосвай	ˌanət̪ɛˈmɔsvəj
анатемосвайки	ˌanət̪ɛˈmɔsvəjkʲi
анатемосвайте	ˌanət̪ɛˈmɔsvəjt̪ɛ
анатемосвал	ˌanət̪ɛˈmɔsvəɫ
анатемосвала	ˌanət̪ɛˈmɔsvəɫə
анатемосвалата	ˌanət̪ɛˈmɔsvəɫət̪ə
анатемосвали	ˌanət̪ɛˈmɔsvəli
анатемосвалите	ˌanət̪ɛˈmɔsvəlit̪ɛ
анатемосвалия	ˌanət̪ɛˈmɔsvəlijə
анатемосвалият	ˌanət̪ɛˈmɔsvəlijət̪
анатемосвало	ˌanət̪ɛˈmɔsvəɫo
анатемосвалото	ˌanət̪ɛˈmɔsvəɫot̪o
анатемосвам	ˌanət̪ɛˈmɔsvəm
анатемосваме	ˌanət̪ɛˈmɔsvəmɛ
анатемосван	ˌanət̪ɛˈmɔsvən
анатемосвана	ˌanət̪ɛˈmɔsvənə
анатемосваната	ˌanət̪ɛˈmɔsvənət̪ə
анатемосване	ˌanət̪ɛˈmɔsvənɛ
анатемосванета	ˌanət̪ɛˈmɔsvənɛt̪ə
анатемосванетата	ˌanət̪ɛˈmɔsvənɛt̪ət̪ə
анатемосването	ˌanət̪ɛˈmɔsvənɛt̪o
анатемосвани	ˌanət̪ɛˈmɔsvəni
анатемосваните	ˌanət̪ɛˈmɔsvənit̪ɛ
анатемосвания	ˌanət̪ɛˈmɔsvənijə
анатемосваният	ˌanət̪ɛˈmɔsvənijət̪
анатемосванията	ˌanət̪ɛˈmɔsvənijət̪ə
анатемосвано	ˌanət̪ɛˈmɔsvəno
анатемосваното	ˌanət̪ɛˈmɔsvənot̪o
анатемосват	ˌanət̪ɛˈmɔsvət̪
анатемосвате	ˌanət̪ɛˈmɔsvət̪ɛ
анатемосвах	ˌanət̪ɛˈmɔsvəx
анатемосваха	ˌanət̪ɛˈmɔsvəxə
анатемосвахме	ˌanət̪ɛˈmɔsvəxmɛ
анатемосвахте	ˌanət̪ɛˈmɔsvəxt̪ɛ
анатемосваш	ˌanət̪ɛˈmɔsvəʃ
анатемосваше	ˌanət̪ɛˈmɔsvəʃɛ
анатемосващ	ˌanət̪ɛˈmɔsvəʃt̪
анатемосваща	ˌanət̪ɛˈmɔsvəʃt̪ə
анатемосващата	ˌanət̪ɛˈmɔsvəʃt̪ət̪ə
анатемосващи	ˌanət̪ɛˈmɔsvəʃt̪i
анатемосващите	ˌanət̪ɛˈmɔsvəʃt̪it̪ɛ
анатемосващия	ˌanət̪ɛˈmɔsvəʃt̪ijə
анатемосващият	ˌanət̪ɛˈmɔsvəʃt̪ijət̪
анатемосващо	ˌanət̪ɛˈmɔsvəʃt̪o
анатемосващото	ˌanət̪ɛˈmɔsvəʃt̪ot̪o
анахронизъм	anəxrɔˈnizəm
ангел	ˈaŋɡʲɛl
англицизъм	aŋɡliˈt͡sizəm
англичанин	əŋɡliˈtʃanin
англичанка	ənɡliˈtʃaŋkə
Англия	ˈaŋɡlijə
Андора	anˈd̪ɔɾə
анекдот	ənɛkˈdɔt
анемометър	ənɛmoˈmɛtər
анестезиолог	ənɛstɛzioˈlɔk
анестезиоложка	ənɛstɛzioˈlɔʃkə
анилинов	əniˈlinof
Анкара	ˈaŋkəɾə
анонимен	ənoˈnimɛn
ансамбъл	əŋˈsaɱbəl
антена	ənˈtɛnə
антика	ənˈtikə
антилопа	antiˈlɔpə
антимон	antiˈmɔn
антиокислител	ˈantiokʲisˈlitɛl
антипартиен	ˈantipərˈtiɛn
антитяло	ˈantiˈtʲalo
античен	ənˈtitʃɛn
антрополог	əntropoˈlɔk
антроположка	əntropoˈlɔʃkə
анулира	ˌanuˈliɾə
анулирай	ˌanuˈliɾəj
анулирайки	ˌanuˈliɾəjkʲi
анулирайте	ˌanuˈliɾəjt̪ɛ
анулирал	ˌanuˈliɾəɫ
анулирала	ˌanuˈliɾəɫə
анулиралата	ˌanuˈliɾəɫət̪ə
анулирали	ˌanuˈɫiɾəli
анулиралите	ˌanuˈɫiɾəlit̪ɛ
анулиралия	ˌanuˈɫiɾəlijə
анулиралият	ˌanuˈɫiɾəlijət̪
анулирало	ˌanuˈliɾəɫo
анулиралото	ˌanuˈliɾəɫot̪o
анулирам	ənuˈlirəm
анулираме	ˌanuˈliɾəmɛ
анулиран	ˌanuˈliɾən
анулирана	ˌanuˈliɾənə
анулираната	ˌanuˈliɾənət̪ə
анулиране	ˌanuˈliɾənɛ
анулиранета	ˌanuˈliɾənɛt̪ə
анулиранетата	ˌanuˈliɾənɛt̪ət̪ə
анулирането	ˌanuˈliɾənɛt̪o
анулирани	ˌanuˈliɾəni
анулираните	ˌanuˈliɾənit̪ɛ
анулирания	ˌanuˈliɾənijə
анулираният	ˌanuˈliɾənijət̪
анулиранията	ˌanuˈliɾənijət̪ə
анулирано	ˌanuˈliɾəno
анулираното	ˌanuˈliɾənot̪o
анулират	ˌanuˈliɾət̪
анулирате	ˌanuˈliɾət̪ɛ
анулирах	ˌanuˈliɾəx
анулираха	ˌanuˈliɾəxə
анулирахме	ˌanuˈliɾəxmɛ
анулирахте	ˌanuˈliɾəxt̪ɛ
анулираш	ˌanuˈliɾəʃ
анулираше	ˌanuˈliɾəʃɛ
анулиращ	ˌanuˈliɾəʃt̪
анулираща	ˌanuˈliɾəʃt̪ə
анулиращата	ˌanuˈliɾəʃt̪ət̪ə
анулиращи	ˌanuˈliɾəʃt̪i
анулиращите	ˌanuˈliɾəʃt̪it̪ɛ
анулиращия	ˌanuˈliɾəʃt̪ijə
анулиращият	ˌanuˈliɾəʃt̪ijət̪
анулиращо	ˌanuˈliɾəʃt̪o
анулиращото	ˌanuˈliɾəʃt̪ot̪o
анцуг	ˈaŋt͡suk
аншоа	ənʃoˈa
апарат	əpəˈrat
апартамент	əpərtəˈmɛnt
апатия	əˈpatijə
аперитив	ˌapɛriˈtif
апетит	əpɛˈtit
апетитен	əpɛˈtitɛn
аплодира	ˌapɫoˈd̪iɾə
аплодирай	ˌapɫoˈd̪iɾəj
аплодирайки	ˌapɫoˈd̪iɾəjkʲi
аплодирайте	ˌapɫoˈd̪iɾəjt̪ɛ
аплодирал	ˌapɫoˈd̪iɾəɫ
аплодирала	ˌapɫoˈd̪iɾəɫə
аплодиралата	ˌapɫoˈd̪iɾəɫət̪ə
аплодирали	ˌapɫoˈd̪iɾəli
аплодиралите	ˌapɫoˈd̪iɾəlit̪ɛ
аплодиралия	ˌapɫoˈd̪iɾəlijə
аплодиралият	ˌapɫoˈd̪iɾəlijət̪
аплодирало	ˌapɫoˈd̪iɾəɫo
аплодиралото	ˌapɫoˈd̪iɾəɫot̪o
аплодирам	ˌapɫoˈd̪irəm
аплодираме	ˌapɫoˈd̪iɾəmɛ
аплодиран	ˌapɫoˈd̪iɾən
аплодирана	ˌapɫoˈd̪iɾənə
аплодираната	ˌapɫoˈd̪iɾənət̪ə
аплодиране	ˌapɫoˈd̪iɾənɛ
аплодиранета	ˌapɫoˈd̪iɾənɛt̪ə
аплодиранетата	ˌapɫoˈd̪iɾənɛt̪ət̪ə
аплодирането	ˌapɫoˈd̪iɾənɛt̪o
аплодирани	ˌapɫoˈd̪iɾəni
аплодираните	ˌapɫoˈd̪iɾənit̪ɛ
аплодирания	ˌapɫoˈd̪iɾənijə
аплодираният	ˌapɫoˈd̪iɾənijət̪
аплодиранията	ˌapɫoˈd̪iɾənijət̪ə
аплодирано	ˌapɫoˈd̪iɾəno
аплодираното	ˌapɫoˈd̪iɾənot̪o
аплодират	ˌapɫoˈd̪iɾət̪
аплодирате	ˌapɫoˈd̪iɾət̪ɛ
аплодирах	ˌapɫoˈd̪iɾəx
аплодираха	ˌapɫoˈd̪iɾəxə
аплодирахме	ˌapɫoˈd̪iɾəxmɛ
аплодирахте	ˌapɫoˈd̪iɾəxt̪ɛ
аплодираш	ˌapɫoˈd̪iɾəʃ
аплодираше	ˌapɫoˈd̪iɾəʃɛ
аплодиращ	ˌapɫoˈd̪iɾəʃt̪
аплодираща	ˌapɫoˈd̪iɾəʃt̪ə
аплодиращата	ˌapɫoˈd̪iɾəʃt̪ət̪ə
аплодиращи	ˌapɫoˈd̪iɾəʃt̪i
аплодиращите	ˌapɫoˈd̪iɾəʃt̪it̪ɛ
аплодиращия	ˌapɫoˈd̪iɾəʃt̪ijə
аплодиращият	ˌapɫoˈd̪iɾəʃt̪ijət̪
аплодиращо	ˌapɫoˈd̪iɾəʃt̪o
аплодиращото	ˌapɫoˈd̪iɾəʃt̪ot̪o
апостроф	əpoˈstrɔf
арабин	əˈrabin
арабка	əˈrapkə
арап	əˈrap
арапин	əˈrapin
арапка	əˈrapkə
арбитър	ərˈbitər
арбитърка	ərˈbitərkə
аргат	ərˈɡat
аргатин	ərˈɡatin
аргатка	ərˈɡatkə
аргон	ˈarɡɔn
аргумент	ərɡuˈmɛnt
Арес	ˈarɛs
арест	əˈrɛst
арестува	ˌaɾɛsˈt̪uvə
арестува	ˌarɛsˈt̪uvə
арестува	ˌaɾɛst̪uˈva
арестувай	ˌaɾɛsˈt̪uvəj
арестувайки	ˌaɾɛsˈt̪uvəjkʲi
арестувайте	ˌaɾɛsˈt̪uvəjt̪ɛ
арестувал	ˌaɾɛsˈt̪uvəɫ
арестувала	ˌaɾɛsˈt̪uvəɫə
арестувалата	ˌaɾɛsˈt̪uvəɫət̪ə
арестували	ˌaɾɛsˈt̪uvəli
арестувалите	ˌaɾɛsˈt̪uvəlit̪ɛ
арестувалия	ˌaɾɛsˈt̪uvəlijə
арестувалият	ˌaɾɛsˈt̪uvəlijət̪
арестувало	ˌaɾɛsˈt̪uvəɫo
арестувалото	ˌaɾɛsˈt̪uvəɫot̪o
арестувам	ˌaɾɛsˈt̪uvəm
арестуваме	ˌaɾɛsˈt̪uvəmɛ
арестуван	ˌaɾɛsˈt̪uvən
арестувана	ˌaɾɛsˈt̪uvənə
арестуваната	ˌaɾɛsˈt̪uvənət̪ə
арестуване	ˌaɾɛsˈt̪uvənɛ
арестуванета	ˌaɾɛsˈt̪uvənɛt̪ə
арестуванетата	ˌaɾɛsˈt̪uvənɛt̪ət̪ə
арестуването	ˌaɾɛsˈt̪uvənɛt̪o
арестувани	ˌaɾɛsˈt̪uvəni
арестуваните	ˌaɾɛsˈt̪uvənit̪ɛ
арестувания	ˌaɾɛsˈt̪uvənijə
арестуваният	ˌaɾɛsˈt̪uvənijət̪
арестуванията	ˌaɾɛsˈt̪uvənijət̪ə
арестувано	ˌaɾɛsˈt̪uvəno
арестуваното	ˌaɾɛsˈt̪uvənot̪o
арестуват	ˌaɾɛsˈt̪uvət̪
арестувате	ˌaɾɛsˈt̪uvət̪ɛ
арестувах	ˌaɾɛsˈt̪uvəx
арестувах	ˌarɛsˈt̪uvəx
арестувах	ˌaɾɛst̪uˈvax
арестуваха	ˌaɾɛsˈt̪uvəxə
арестуваха	ˌarɛsˈt̪uvəxə
арестуваха	ˌaɾɛst̪uˈvaxə
арестувахме	ˌaɾɛsˈt̪uvəxmɛ
арестувахме	ˌarɛsˈt̪uvəxmˌɛ
арестувахме	ˌaɾɛst̪uˈvaxmɛ
арестувахте	ˌaɾɛsˈt̪uvəxt̪ɛ
арестувахте	ˌarɛsˈt̪uvəxt̪ˌɛ
арестувахте	ˌaɾɛst̪uˈvaxt̪ɛ
арестуваш	ˌaɾɛsˈt̪uvəʃ
арестуваше	ˌaɾɛsˈt̪uvəʃɛ
арестуващ	ˌaɾɛsˈt̪uvəʃt̪
арестуваща	ˌaɾɛsˈt̪uvəʃt̪ə
арестуващата	ˌaɾɛsˈt̪uvəʃt̪ət̪ə
арестуващи	ˌaɾɛsˈt̪uvəʃt̪i
арестуващите	ˌaɾɛsˈt̪uvəʃt̪it̪ɛ
арестуващия	ˌaɾɛsˈt̪uvəʃt̪ijə
арестуващият	ˌaɾɛsˈt̪uvəʃt̪ijət̪
арестуващо	ˌaɾɛsˈt̪uvəʃt̪o
арестуващото	ˌaɾɛsˈt̪uvəʃt̪ot̪o
Ариел	ˈariɜl
ариец	əˈriɛt͡s
арийка	əˈriːkə
аристокрация	əristoˈkrat͡sijə
арка	ˈarkə
арменец	ərˈmɛnɛts
арменка	ərˈmɛnkɵ
арменски	ərˈmɛnskʲi
армия	ˈarmijə
арнаут	ərnəˈut
арнаутин	ərnəˈutin
арнаутка	ərnəˈutkə
арогантен	əroˈɡantɛn
арогантност	əroˈɡantnost
аромат	əroˈmat
ароматен	əroˈmatɛn
ароматичен	əroməˈtitʃɛn
арсен	ərˈsɛn
арсенал	ərsɛˈnal
артикул	ərˈtikul
артилерия	ərtiˈlɛrijə
архаизъм	ərxəˈizəm
археолог	ərxʲɛoˈlɔk
археоложка	ərxʲɛoˈlɔʃkə
архипелаг	ərxʲipɛˈlak
архитектура	arxʲitɛkˈturə
асансьор	asənˈsʲɔr
асириец	əsiˈriɛt͡s
асирийка	əsiˈriːkə
аскер	əsˈkʲɛr
аскерин	əsˈkʲɛrin
астатий	aˈstatij
астролог	əstroˈlɔk
астроложка	əstroˈlɔʃkə
атавизъм	atəˈvizəm
атака	aˈtakə
атинянин	ətiˈnʲanin
атинянка	ətiˈnʲaŋkə
атолитър	atoˈlitər
атом	ˈatɔm
атомен	ˈatomɛn
атометър	atoˈmɛtər
аудиометър	ˈaudioˈmɛtər
Афганистан	ˌafɡəniˈst̪an
афоризъм	afɔˈrizəm
баба	ˈbabə
бабанка	bəˈbaŋkə
бавничък	ˈbavnitʃək
багър	ˈbaɡɤr
бадакам	baˈdakəm
бадем	bəˈdɛm
байко	ˈbajko
байно	ˈbaino
бакалавър	bəkəˈlavər
бакалавърка	bəkəˈlavərkə
баклава	bəkləˈva
бактериен	bəktɛˈriɛn
бактериолог	bəktɛrioˈlɔk
бактериоложка	bəktɛrioˈlɔʃkə
бакшиш	bəˈkʃiʃ
Балкан	bɐɫkan
балкан	bɐɫkan
балнеолечение	ˈbalnɛolɛˈtʃɛniɛ
балюстрада	bəlʲuˈstradə
банкрут	bəŋˈkrut̪
барий	ˈbarij
барок	bəˈrɔk
барометър	bəroˈmɛtər
бас	bas
бастун	bəsˈtun
батареен	bətəˈrɛɛn
батериен	bətɛˈriɛn
бахар	bəˈxar
Бахрейн	baxˈrɛjn
бацилоносител	bəˈt͡silonoˈsitɛl
бацилоносителка	bəˈtsilonoˈsitɛlkə
бдение	ˈbdɛniɛ
бе	bɛ
бебе	ˈbɛbɛ
беглец	bɛˈɡlɛts
бегъл	ˈbɛɡəl
бегълка	bɛɡəˈlka
беден	ˈbɛdɛn
бедничък	ˈbɛdnitʃək
бедняк	bɛˈdnʲak
беднячка	bɛdnʲatʃkə
бедствие	ˈbɛtstviɛ
бедуин	bɛduˈin
бедуинка	bɛduˈiŋkə
бежанец	bɛʒəˈnɛts
бежанка	bɛʒəˈŋka
безавариен	bɛzəvəˈriɛn
безбожие	bɛzˈbɔʒiɛ
безбрачие	bɛzˈbratʃiɛ
безброен	bɛzˈbrɔɛn
безверен	bɛzˈvɛrɛn
безгрижен	bɛzˈɡriʒɛn
безгрижие	bɛzˈɡriʒiɛ
бездеен	bɛzˈdɛɛn
безделнича	bɛzˈd̪ɛɫnitʃə
безделничат	bɛzˈd̪ɛɫnitʃət̪
безделничейки	bɛzˈd̪ɛɫnitʃɛjkʲi
безделничел	bɛzˈd̪ɛɫnitʃɛɫ
безделничела	bɛzˈd̪ɛɫnitʃɛɫə
безделничели	bɛzˈd̪ɛɫnitʃɛli
безделничело	bɛzˈd̪ɛɫnitʃɛɫo
безделничене	bɛzˈd̪ɛɫnitʃɛnɛ
безделниченета	bɛzˈd̪ɛɫnitʃɛnɛt̪ə
безделниченетата	bɛzˈd̪ɛɫnitʃɛnɛt̪ət̪ə
безделниченето	bɛzˈd̪ɛɫnitʃɛnɛt̪o
безделничения	bɛzˈd̪ɛɫnitʃɛnijə
безделниченията	bɛzˈd̪ɛɫnitʃɛnijət̪ə
безделничете	bɛzd̪ɛɫniˈtʃɛt̪ɛ
безделничех	bɛzˈd̪ɛɫnitʃɛx
безделничеха	bɛzˈd̪ɛɫnitʃɛxə
безделничехме	bɛzˈd̪ɛɫnitʃɛxmɛ
