a	ˈɒ
afrika-kutatók	ˈɒfrikɒkutɒtoːk
afrikaans	ˈɒfrikaːns
afrikai	ˈɒfrikɒʲi
afrikaiak	ˈɒfrikɒʲiʲɒk
afrikanista	ˈɒfrikɒniʃtɒ
afrikanisták	ˈɒfrikɒniʃtaːk
afro-eurázsia	ˈɒfroɛuraːʒiʲɒ
ág	ˈaːɡ
aga	ˈɒɡɒ
ága	ˈaːɡɒ
agába	ˈɒɡaːbɒ
agában	ˈɒɡaːbɒn
ágában	ˈaːɡaːbɒn
agából	ˈɒɡaːboːl
agád	ˈɒɡaːd
agáért	ˈɒɡaːʲeːrt
agához	ˈɒɡaːɦoz
agái	ˈɒɡaːʲi
agáid	ˈɒɡaːʲid
agáig	ˈɒɡaːʲiɡ
agáik	ˈɒɡaːʲik
agáim	ˈɒɡaːʲim
agáink	ˈɒɡaːʲiŋk
agáit	ˈɒɡaːʲit
agáitok	ˈɒɡaːʲitok
agája	ˈɒɡaːjɒ
agájuk	ˈɒɡaːjuk
agák	ˈɒɡaːk
ágak	ˈaːɡɒk
agákat	ˈɒɡaːkɒt
agákba	ˈɒɡaːɡbɒ
agákban	ˈɒɡaːɡbɒn
agákból	ˈɒɡaːɡboːl
agaként	ˈɒɡɒkeːnt
agákért	ˈɒɡaːkeːrt
agákhoz	ˈɒɡaːkhoz
agákig	ˈɒɡaːkiɡ
agákká	ˈɒɡaːkːaː
agákkal	ˈɒɡaːkːɒl
agákként	ˈɒɡaːkːeːnt
agáknak	ˈɒɡaːknɒk
agáknál	ˈɒɡaːknaːl
agákon	ˈɒɡaːkon
agákra	ˈɒɡaːkrɒ
agákról	ˈɒɡaːkroːl
agáktól	ˈɒɡaːktoːl
agám	ˈɒɡaːm
agamemnón	ˈɒɡɒmɛmnoːn
agán	ˈɒɡaːn
agának	ˈɒɡaːnɒk
agánál	ˈɒɡaːnaːl
aganccsá	ˈɒɡɒnt͡ʃaː
aganccsal	ˈɒɡɒnt͡ʃɒl
agancs	ˈɒɡɒnt͡ʃ
agancsa	ˈɒɡɒnt͡ʃɒ
agancsai	ˈɒɡɒnt͡ʃɒʲi
agancsaid	ˈɒɡɒnt͡ʃɒʲid
agancsaik	ˈɒɡɒnt͡ʃɒʲik
agancsaim	ˈɒɡɒnt͡ʃɒʲim
agancsaink	ˈɒɡɒnt͡ʃɒʲiŋk
agancsaitok	ˈɒɡɒnt͡ʃɒʲitok
agancsba	ˈɒɡɒnd͡ʒbɒ
agancsban	ˈɒɡɒnd͡ʒbɒn
agancsból	ˈɒɡɒnd͡ʒboːl
agancsért	ˈɒɡɒnt͡ʃeːrt
agancshoz	ˈɒɡɒnt͡ʃhoz
agancsig	ˈɒɡɒnt͡ʃiɡ
agancsként	ˈɒɡɒnt͡ʃkeːnt
agancsnak	ˈɒɡɒnt͡ʃnɒk
agancsnál	ˈɒɡɒnt͡ʃnaːl
agancsod	ˈɒɡɒnt͡ʃod
agancsok	ˈɒɡɒnt͡ʃok
agancsokat	ˈɒɡɒnt͡ʃokɒt
agancsokba	ˈɒɡɒnt͡ʃoɡbɒ
agancsokban	ˈɒɡɒnt͡ʃoɡbɒn
agancsokból	ˈɒɡɒnt͡ʃoɡboːl
agancsokért	ˈɒɡɒnt͡ʃokeːrt
agancsokhoz	ˈɒɡɒnt͡ʃokhoz
agancsokig	ˈɒɡɒnt͡ʃokiɡ
agancsokká	ˈɒɡɒnt͡ʃokːaː
agancsokkal	ˈɒɡɒnt͡ʃokːɒl
agancsokként	ˈɒɡɒnt͡ʃokːeːnt
agancsoknak	ˈɒɡɒnt͡ʃoknɒk
agancsoknál	ˈɒɡɒnt͡ʃoknaːl
agancsokon	ˈɒɡɒnt͡ʃokon
agancsokra	ˈɒɡɒnt͡ʃokrɒ
agancsokról	ˈɒɡɒnt͡ʃokroːl
agancsoktól	ˈɒɡɒnt͡ʃoktoːl
agancsom	ˈɒɡɒnt͡ʃom
agancson	ˈɒɡɒnt͡ʃon
agancsot	ˈɒɡɒnt͡ʃot
agancsotok	ˈɒɡɒnt͡ʃotok
agancsra	ˈɒɡɒnt͡ʃrɒ
agancsról	ˈɒɡɒnt͡ʃroːl
agancstól	ˈɒɡɒnt͡ʃtoːl
agancsuk	ˈɒɡɒnt͡ʃuk
agancsunk	ˈɒɡɒnt͡ʃuŋk
agánk	ˈɒɡaːŋk
agár	ˈɒɡaːr
agára	ˈɒɡaːrɒ
agarak	ˈɒɡɒrɒk
agáról	ˈɒɡaːroːl
agát	ˈɒɡaːt
ágat	ˈaːɡɒt
agátok	ˈɒɡaːtok
agától	ˈɒɡaːtoːl
agává	ˈɒɡaːvaː
agával	ˈɒɡaːvɒl
ágazat	ˈaːɡɒzɒt
ágazati	ˈaːɡɒzɒti
ágazatok	ˈaːɡɒzɒtok
ágazik	ˈaːɡɒzik
ágba	ˈaːɡbɒ
ágens	ˈaːɡɛnʃ
ágensek	ˈaːɡɛnʃɛk
agg	ˈɒɡː
aggály	ˈɒɡːaːj
aggályok	ˈɒɡːaːjok
aggályokat	ˈɒɡːaːjokɒt
aggályt	ˈɒɡːaːjt
aggaszt	ˈɒɡːɒst
agglegény	ˈɒɡlɛɡeːɲ
agglegények	ˈɒɡlɛɡeːɲɛk
agglomeráció	ˈɒɡlomɛraːt͡siʲoː
agglomerációk	ˈɒɡlomɛraːt͡siʲoːk
agglomerátum	ˈɒɡlomɛraːtum
agglomerátumok	ˈɒɡlomɛraːtumok
aggodalmak	ˈɒɡːodɒlmɒk
aggodalom	ˈɒɡːodɒlom
aggódás	ˈɒɡːoːdaːʃ
aggódik	ˈɒɡːoːdik
aggódni	ˈɒɡːoːdni
aggódó	ˈɒɡːoːdoː
aggódóbb	ˈɒɡːoːdoːbː
aggok	ˈɒɡːok
ági	ˈaːɡi
ágica	ˈaːɡit͡sɒ
ágika	ˈaːɡikɒ
agitáció	ˈɒɡitaːt͡siʲoː
agitációk	ˈɒɡitaːt͡siʲoːk
agitál	ˈɒɡitaːl
ágnes	ˈaːɡnɛʃ
ágon	ˈaːɡon
ágoston	ˈaːɡoʃton
ágota	ˈaːɡotɒ
ágra	ˈaːɡrɒ
agresszió	ˈɒɡrɛsːiʲoː
agressziók	ˈɒɡrɛsːiʲoːk
agresszív	ˈɒɡrɛsːiːv
agresszívabb	ˈɒɡrɛsːiːvɒbː
agresszívebb	ˈɒɡrɛsːiːvɛbː
agresszivitás	ˈɒɡrɛsːivitaːʃ
agresszivitások	ˈɒɡrɛsːivitaːʃok
ágról	ˈaːɡroːl
ágrólszakadt	ˈaːɡroːlsɒkɒtː
ágrólszakadtak	ˈaːɡroːlsɒkɒtːɒk
agronómus	ˈɒɡronoːmuʃ
agronómusok	ˈɒɡronoːmuʃok
ágú	ˈaːɡuː
agy	ˈɒɟ
ágy	ˈaːɟ
agya	ˈɒɟɒ
ágya	ˈaːɟɒ
agyag	ˈɒɟɒɡ
agyaghadsereg	ˈɒɟɒkhɒtʃɛrɛɡ
agyaghadseregek	ˈɒɟɒkhɒtʃɛrɛɡɛk
agyagok	ˈɒɟɒɡok
agyak	ˈɒɟɒk
ágyak	ˈaːɟɒk
ágyakban	ˈaːɟɒɡbɒn
agyar	ˈɒɟɒr
agyarak	ˈɒɟɒrɒk
ágyas	ˈaːɟɒʃ
ágyás	ˈaːɟaːʃ
ágyasok	ˈaːɟɒʃok
ágyások	ˈaːɟaːʃok
ágyaz	ˈaːɟɒz
agyba	ˈɒɟbɒ
ágyba	ˈaːɟbɒ
ágyban	ˈaːɟbɒn
ágybetét	ˈaːɟbɛteːt
ágybetétek	ˈaːɟbɛteːtɛk
ágyékcsigolya	ˈaːɟeːkt͡ʃiɡojɒ
ágyékcsigolyák	ˈaːɟeːkt͡ʃiɡojaːk
agyfélteke	ˈɒcfeːltɛkɛ
agyhártya	ˈɒchaːrcɒ
agyhártyagyulladás	ˈɒchaːrcɒɟulːɒdaːʃ
agyhártyagyulladások	ˈɒchaːrcɒɟulːɒdaːʃok
agyhártyák	ˈɒchaːrcaːk
agyhullám	ˈɒchulːaːm
agyi	ˈɒɟi
agyideg	ˈɒɟidɛɡ
agyidegek	ˈɒɟidɛɡɛk
agykárosodás	ˈɒckaːroʃodaːʃ
agykéreg	ˈɒckeːrɛɡ
agykérgek	ˈɒckeːrɡɛk
agykoponya	ˈɒckopoɲɒ
agykoponyák	ˈɒckopoɲaːk
ágyláb	ˈaːɟlaːb
ágylábak	ˈaːɟlaːbɒk
ágynemű	ˈaːɟnɛmyː
ágyneműk	ˈaːɟnɛmyːk
ágyon	ˈaːɟon
agyoncsap	ˈɒɟont͡ʃɒp
agyondicsér	ˈɒɟondit͡ʃeːr
agyonszúr	ˈɒɟonsuːr
agyonvág	ˈɒɟoɱvaːɡ
agyonüt	ˈɒɟonyt
agyrázkódás	ˈɒɟraːskoːdaːʃ
agyrázkódások	ˈɒɟraːskoːdaːʃok
ágytál	ˈaːctaːl
ágytálak	ˈaːctaːlɒk
ágytól	ˈaːctoːl
ágyú	ˈaːɟuː
ágyúgolyó	ˈaːɟuːɡojoː
ágyúgolyók	ˈaːɟuːɡojoːk
agyuk	ˈɒɟuk
ágyuk	ˈaːɟuk
ágyúk	ˈaːɟuːk
ágyúnaszád	ˈaːɟuːnɒsaːd
ágyúnaszádok	ˈaːɟuːnɒsaːdok
ágyútöltelék	ˈaːɟuːtøltɛleːk
ágyútöltelékek	ˈaːɟuːtøltɛleːkɛk
ágyúz	ˈaːɟuːz
ágyúzás	ˈaːɟuːzaːʃ
agyvelőgyulladás	ˈɒɟvɛløːɟulːɒdaːʃ
agyvelőgyulladások	ˈɒɟvɛløːɟulːɒdaːʃok
agyvérzés	ˈɒɟveːrzeːʃ
agyvérzések	ˈɒɟveːrzeːʃɛk
aha	ˈɒhɒ
aha	ɒˈhɒ
ahány	ˈɒɦaːɲ
ahányszor	ˈɒɦaːɲsor
ahelyett	ˈɒɦɛjɛtː
ahhoz	ˈɒɦoz
ahogy	ˈɒɦoɟ
ahogyan	ˈɒɦoɟɒn
ahol	ˈɒɦol
ahonnan	ˈɒɦonːɒn
aikidó	ˈɒʲikidoː
aikidók	ˈɒʲikidoːk
aj	ˈɒj
ajak	ˈɒjɒk
ajakbalzsam	ˈɒjɒɡbɒlʒɒm
ajakbalzsamok	ˈɒjɒɡbɒlʒɒmok
ajakos	ˈɒjɒkoʃ
ajakrúzs	ˈɒjɒkruːʒ
ajakrúzsok	ˈɒjɒkruːʒok
ajándék	ˈɒjaːndeːk
ajándéka	ˈɒjaːndeːkɒ
ajándékai	ˈɒjaːndeːkɒʲi
ajándékaid	ˈɒjaːndeːkɒʲid
ajándékaik	ˈɒjaːndeːkɒʲik
ajándékaim	ˈɒjaːndeːkɒʲim
ajándékaink	ˈɒjaːndeːkɒʲiŋk
ajándékaitok	ˈɒjaːndeːkɒʲitok
ajándékba	ˈɒjaːndeːɡbɒ
ajándékban	ˈɒjaːndeːɡbɒn
ajándékból	ˈɒjaːndeːɡboːl
ajándékbolt	ˈɒjaːndeːɡbolt
ajándékboltért	ˈɒjaːndeːɡbolteːrt
ajándékboltig	ˈɒjaːndeːɡboltiɡ
ajándékboltként	ˈɒjaːndeːɡboltkeːnt
ajándékboltnak	ˈɒjaːndeːɡboltnɒk
ajándékboltok	ˈɒjaːndeːɡboltok
ajándékboltokat	ˈɒjaːndeːɡboltokɒt
ajándékboltokért	ˈɒjaːndeːɡboltokeːrt
ajándékboltokig	ˈɒjaːndeːɡboltokiɡ
ajándékboltokká	ˈɒjaːndeːɡboltokːaː
ajándékboltokkal	ˈɒjaːndeːɡboltokːɒl
ajándékboltokként	ˈɒjaːndeːɡboltokːeːnt
ajándékboltoknak	ˈɒjaːndeːɡboltoknɒk
ajándékboltot	ˈɒjaːndeːɡboltot
ajándékbolttá	ˈɒjaːndeːɡboltaː
ajándékbolttal	ˈɒjaːndeːɡboltɒl
ajándékért	ˈɒjaːndeːkeːrt
ajándékhoz	ˈɒjaːndeːkhoz
ajándékig	ˈɒjaːndeːkiɡ
ajándékká	ˈɒjaːndeːkːaː
ajándékkal	ˈɒjaːndeːkːɒl
ajándékként	ˈɒjaːndeːkːeːnt
ajándéknak	ˈɒjaːndeːknɒk
ajándéknál	ˈɒjaːndeːknaːl
ajándékod	ˈɒjaːndeːkod
ajándékok	ˈɒjaːndeːkok
ajándékokat	ˈɒjaːndeːkokɒt
ajándékokba	ˈɒjaːndeːkoɡbɒ
ajándékokban	ˈɒjaːndeːkoɡbɒn
ajándékokból	ˈɒjaːndeːkoɡboːl
ajándékokért	ˈɒjaːndeːkokeːrt
ajándékokhoz	ˈɒjaːndeːkokhoz
ajándékokig	ˈɒjaːndeːkokiɡ
ajándékokká	ˈɒjaːndeːkokːaː
ajándékokkal	ˈɒjaːndeːkokːɒl
ajándékokként	ˈɒjaːndeːkokːeːnt
ajándékoknak	ˈɒjaːndeːkoknɒk
ajándékoknál	ˈɒjaːndeːkoknaːl
ajándékokon	ˈɒjaːndeːkokon
ajándékokra	ˈɒjaːndeːkokrɒ
ajándékokról	ˈɒjaːndeːkokroːl
ajándékoktól	ˈɒjaːndeːkoktoːl
ajándékom	ˈɒjaːndeːkom
ajándékon	ˈɒjaːndeːkon
ajándékot	ˈɒjaːndeːkot
ajándékotok	ˈɒjaːndeːkotok
ajándékoz	ˈɒjaːndeːkoz
ajándékozás	ˈɒjaːndeːkozaːʃ
ajándékozásért	ˈɒjaːndeːkozaːʃeːrt
ajándékozásig	ˈɒjaːndeːkozaːʃiɡ
ajándékozásként	ˈɒjaːndeːkozaːʃkeːnt
ajándékozásnak	ˈɒjaːndeːkozaːʃnɒk
ajándékozások	ˈɒjaːndeːkozaːʃok
ajándékozásokat	ˈɒjaːndeːkozaːʃokɒt
ajándékozásokért	ˈɒjaːndeːkozaːʃokeːrt
ajándékozásokig	ˈɒjaːndeːkozaːʃokiɡ
ajándékozásokká	ˈɒjaːndeːkozaːʃokːaː
ajándékozásokkal	ˈɒjaːndeːkozaːʃokːɒl
ajándékozásokként	ˈɒjaːndeːkozaːʃokːeːnt
ajándékozásoknak	ˈɒjaːndeːkozaːʃoknɒk
ajándékozássá	ˈɒjaːndeːkozaːʃːaː
ajándékozással	ˈɒjaːndeːkozaːʃːɒl
ajándékozást	ˈɒjaːndeːkozaːʃt
ajándékra	ˈɒjaːndeːkrɒ
ajándékról	ˈɒjaːndeːkroːl
ajándéktárgy	ˈɒjaːndeːktaːrɟ
ajándéktárgyak	ˈɒjaːndeːktaːrɟɒk
ajándéktól	ˈɒjaːndeːktoːl
ajándékuk	ˈɒjaːndeːkuk
ajándékul	ˈɒjaːndeːkul
ajándékunk	ˈɒjaːndeːkuŋk
ajánl	ˈɒjaːnl
ajánlanám	ˈɒjaːnlɒnaːm
ajánlani	ˈɒjaːnlɒni
ajánlás	ˈɒjaːnlaːʃ
ajánlása	ˈɒjaːnlaːʃɒ
ajánlat	ˈɒjaːnlɒt
ajánlata	ˈɒjaːnlɒtɒ
ajánlati	ˈɒjaːnlɒti
ajánlatkérő	ˈɒjaːnlɒtkeːrøː
ajánlatok	ˈɒjaːnlɒtok
ajánlatokat	ˈɒjaːnlɒtokɒt
ajánlatos	ˈɒjaːnlɒtoʃ
ajánlatot	ˈɒjaːnlɒtot
ajánlattevő	ˈɒjaːnlɒtːɛvøː
ajánlható	ˈɒjaːnlɦɒtoː
ajánlólevél	ˈɒjaːnloːlɛveːl
ajánlólevelek	ˈɒjaːnloːlɛvɛlɛk
ajánlom	ˈɒjaːnlom
ajánlott	ˈɒjaːnlotː
ajánlottabb	ˈɒjaːnlotːɒbː
ajka	ˈɒjkɒ
ajka	ˈɒjkɒ
ajkad	ˈɒjkɒd
ajkai	ˈɒjkɒʲi
ajkaid	ˈɒjkɒʲid
ajkaik	ˈɒjkɒʲik
ajkaim	ˈɒjkɒʲim
ajkaink	ˈɒjkɒʲiŋk
ajkaitok	ˈɒjkɒʲitok
ajkak	ˈɒjkɒk
ajkam	ˈɒjkɒm
ajkatok	ˈɒjkɒtok
ajkuk	ˈɒjkuk
ajkunk	ˈɒjkuŋk
ajtó	ˈɒjtoː
ajtóba	ˈɒjtoːbɒ
ajtóban	ˈɒjtoːbɒn
ajtóból	ˈɒjtoːboːl
ajtóért	ˈɒjtoːʲeːrt
ajtóhoz	ˈɒjtoːɦoz
ajtóig	ˈɒjtoːʲiɡ
ajtók	ˈɒjtoːk
ajtókat	ˈɒjtoːkɒt
ajtókba	ˈɒjtoːɡbɒ
ajtókban	ˈɒjtoːɡbɒn
ajtókból	ˈɒjtoːɡboːl
ajtóként	ˈɒjtoːkeːnt
ajtókért	ˈɒjtoːkeːrt
ajtókhoz	ˈɒjtoːkhoz
ajtókig	ˈɒjtoːkiɡ
ajtókká	ˈɒjtoːkːaː
ajtókkal	ˈɒjtoːkːɒl
ajtókként	ˈɒjtoːkːeːnt
ajtóknak	ˈɒjtoːknɒk
ajtóknál	ˈɒjtoːknaːl
ajtókon	ˈɒjtoːkon
ajtókra	ˈɒjtoːkrɒ
ajtókról	ˈɒjtoːkroːl
ajtóktól	ˈɒjtoːktoːl
ajtón	ˈɒjtoːn
ajtónak	ˈɒjtoːnɒk
ajtónál	ˈɒjtoːnaːl
ajtóra	ˈɒjtoːrɒ
ajtóról	ˈɒjtoːroːl
ajtós	ˈɒjtoːʃ
ajtót	ˈɒjtoːt
ajtótól	ˈɒjtoːtoːl
ajtóvá	ˈɒjtoːvaː
ajtóval	ˈɒjtoːvɒl
ájul	ˈaːjul
ájulás	ˈaːjulaːʃ
ájulások	ˈaːjulaːʃok
ajvé	ˈɒjveː
akác	ˈɒkaːt͡s
akácok	ˈɒkaːt͡sok
akácos	ˈɒkaːt͡soʃ
akácosok	ˈɒkaːt͡soʃok
akad	ˈɒkɒd
akadály	ˈɒkɒdaːj
akadálya	ˈɒkɒdaːjɒ
akadálymentes	ˈɒkɒdaːjmɛntɛʃ
akadályok	ˈɒkɒdaːjok
akadályokat	ˈɒkɒdaːjokɒt
akadályoz	ˈɒkɒdaːjoz
akadályozta	ˈɒkɒdaːjostɒ
akadályt	ˈɒkɒdaːjt
akadálytalan	ˈɒkɒdaːjtɒlɒn
akadálytalanabb	ˈɒkɒdaːjtɒlɒnɒbː
akadálytalanság	ˈɒkɒdaːjtɒlɒnʃaːɡ
akadálytalanul	ˈɒkɒdaːjtɒlɒnul
akadémia	ˈɒkɒdeːmiʲɒ
akadémiai	ˈɒkɒdeːmiʲɒʲi
akadémiák	ˈɒkɒdeːmiʲaːk
akadémikus	ˈɒkɒdeːmikuʃ
akadémikusok	ˈɒkɒdeːmikuʃok
akadozik	ˈɒkɒdozik
akar	ˈɒkɒr
akár	ˈɒkaːr
akarat	ˈɒkɒrɒt
akarata	ˈɒkɒrɒtɒ
akaratát	ˈɒkɒrɒtaːt
akaraterő	ˈɒkɒrɒtɛrøː
akaraterők	ˈɒkɒrɒtɛrøːk
akaratok	ˈɒkɒrɒtok
akarattal	ˈɒkɒrɒtːɒl
akárcsak	ˈɒkaːrt͡ʃɒk
akárha	ˈɒkaːrɦɒ
akárhány	ˈɒkaːrɦaːɲ
akárhogy	ˈɒkaːrɦoɟ
akárhogyan	ˈɒkaːrɦoɟɒn
akárhol	ˈɒkaːrɦol
akárhonnan	ˈɒkaːrɦonːɒn
akárhonnét	ˈɒkaːrɦonːeːt
akárhova	ˈɒkaːrɦovɒ
akárhová	ˈɒkaːrɦovaː
akarja	ˈɒkɒrjɒ
akarjak	ˈɒkɒrjɒk
akarják	ˈɒkɒrjaːk
akarjanak	ˈɒkɒrjɒnɒk
akarjatok	ˈɒkɒrjɒtok
akarjátok	ˈɒkɒrjaːtok
akarjon	ˈɒkɒrjon
akarjuk	ˈɒkɒrjuk
akarjunk	ˈɒkɒrjuŋk
akárki	ˈɒkaːrki
akárkibe	ˈɒkaːrkibɛ
akárkiben	ˈɒkaːrkibɛn
akárkiből	ˈɒkaːrkibøːl
akárkicsoda	ˈɒkaːrkit͡ʃodɒ
akárkiért	ˈɒkaːrkiʲeːrt
akárkihez	ˈɒkaːrkiɦɛz
akárkiig	ˈɒkaːrkiiɡ
akárkik	ˈɒkaːrkik
akárkikbe	ˈɒkaːrkiɡbɛ
akárkikben	ˈɒkaːrkiɡbɛn
akárkikből	ˈɒkaːrkiɡbøːl
akárkiken	ˈɒkaːrkikɛn
akárkiként	ˈɒkaːrkikeːnt
akárkikért	ˈɒkaːrkikeːrt
akárkiket	ˈɒkaːrkikɛt
akárkikhez	ˈɒkaːrkikhɛz
akárkikig	ˈɒkaːrkikiɡ
akárkikké	ˈɒkaːrkikːeː
akárkikkel	ˈɒkaːrkikːɛl
akárkikként	ˈɒkaːrkikːeːnt
akárkiknek	ˈɒkaːrkiknɛk
akárkiknél	ˈɒkaːrkikneːl
akárkikre	ˈɒkaːrkikrɛ
akárkikről	ˈɒkaːrkikrøːl
akárkiktől	ˈɒkaːrkiktøːl
akárkin	ˈɒkaːrkin
akárkinek	ˈɒkaːrkinɛk
akárkinél	ˈɒkaːrkineːl
akárkire	ˈɒkaːrkirɛ
akárkiről	ˈɒkaːrkirøːl
akárkit	ˈɒkaːrkit
akárkitől	ˈɒkaːrkitøːl
akárkivé	ˈɒkaːrkiveː
akárkivel	ˈɒkaːrkivɛl
akármeddig	ˈɒkaːrmɛdːiɡ
akármekkora	ˈɒkaːrmɛkːorɒ
akármelyik	ˈɒkaːrmɛjik
akármennyi	ˈɒkaːrmɛɲːi
akármerre	ˈɒkaːrmɛrːɛ
akármerről	ˈɒkaːrmɛrːøːl
akármi	ˈɒkaːrmi
akármiféle	ˈɒkaːrmifeːlɛ
akármikor	ˈɒkaːrmikor
akármilyen	ˈɒkaːrmijɛn
akarna	ˈɒkɒrnɒ
akarná	ˈɒkɒrnaː
akarnád	ˈɒkɒrnaːd
akarnak	ˈɒkɒrnɒk
akarnák	ˈɒkɒrnaːk
akarnál	ˈɒkɒrnaːl
akarnának	ˈɒkɒrnaːnɒk
akarnánk	ˈɒkɒrnaːŋk
akarnátok	ˈɒkɒrnaːtok
akarnék	ˈɒkɒrneːk
akarni	ˈɒkɒrni
akaró	ˈɒkɒroː
akarod	ˈɒkɒrod
akarok	ˈɒkɒrok
akarom	ˈɒkɒrom
akarsz	ˈɒkɒrs
akarta	ˈɒkɒrtɒ
akartad	ˈɒkɒrtɒd
akartak	ˈɒkɒrtɒk
akarták	ˈɒkɒrtaːk
akartál	ˈɒkɒrtaːl
akartam	ˈɒkɒrtɒm
akartatok	ˈɒkɒrtɒtok
akartátok	ˈɒkɒrtaːtok
akartok	ˈɒkɒrtok
akartunk	ˈɒkɒrtuŋk
akarunk	ˈɒkɒruŋk
akaszt	ˈɒkɒst
akasztani	ˈɒkɒstɒni
akasztás	ˈɒkɒstaːʃ
akasztások	ˈɒkɒstaːʃok
akasztó	ˈɒkɒstoː
akasztófa	ˈɒkɒstoːfɒ
akasztófahumor	ˈɒkɒstoːfɒɦumor
akasztófahumorok	ˈɒkɒstoːfɒɦumorok
akasztófák	ˈɒkɒstoːfaːk
akasztók	ˈɒkɒstoːk
akceleráció	ˈɒkt͡sɛlɛraːt͡siʲoː
akcelerációk	ˈɒkt͡sɛlɛraːt͡siʲoːk
akció	ˈɒkt͡siʲoː
akciódús	ˈɒkt͡siʲoːduːʃ
akciófilm	ˈɒkt͡siʲoːfilm
akciófilmek	ˈɒkt͡siʲoːfilmɛk
akciófilmje	ˈɒkt͡siʲoːfilmjɛ
akcióink	ˈɒkt͡siʲoːʲiŋk
akcióinkról	ˈɒkt͡siʲoːʲiŋkroːl
akciók	ˈɒkt͡siʲoːk
akciós	ˈɒkt͡siʲoːʃ
akciót	ˈɒkt͡siʲoːt
akcióterv	ˈɒkt͡siʲoːtɛrv
akciótervek	ˈɒkt͡siʲoːtɛrvɛk
akcióval	ˈɒkt͡siʲoːvɒl
akcse	ˈɒkt͡ʃɛ
akcsék	ˈɒkt͡ʃeːk
akhilleusz	ˈɒkhilːɛus
aki	ˈɒki
akibe	ˈɒkibɛ
akiben	ˈɒkibɛn
akiből	ˈɒkibøːl
akiért	ˈɒkiʲeːrt
akihez	ˈɒkiɦɛz
akiig	ˈɒkiiɡ
akik	ˈɒkik
akikbe	ˈɒkiɡbɛ
akikben	ˈɒkiɡbɛn
akikből	ˈɒkiɡbøːl
akiken	ˈɒkikɛn
akiként	ˈɒkikeːnt
akikért	ˈɒkikeːrt
akiket	ˈɒkikɛt
akikhez	ˈɒkikhɛz
akikig	ˈɒkikiɡ
akikké	ˈɒkikːeː
akikkel	ˈɒkikːɛl
akikként	ˈɒkikːeːnt
akiknek	ˈɒkiknɛk
akiknél	ˈɒkikneːl
akikre	ˈɒkikrɛ
akikről	ˈɒkikrøːl
akiktől	ˈɒkiktøːl
akim	ˈɒkim
akin	ˈɒkin
akinek	ˈɒkinɛk
akinél	ˈɒkineːl
akire	ˈɒkirɛ
akiről	ˈɒkirøːl
akit	ˈɒkit
akitől	ˈɒkitøːl
akivé	ˈɒkiveː
akivel	ˈɒkivɛl
akként	ˈɒkːeːnt
akkor	ˈɒkːor
akkora	ˈɒkːorɒ
akkord	ˈɒkːord
akkordba	ˈɒkːordbɒ
akkordban	ˈɒkːordbɒn
akkordból	ˈɒkːordboːl
akkorddá	ˈɒkːordaː
akkorddal	ˈɒkːordɒl
akkordért	ˈɒkːordeːrt
akkordhoz	ˈɒkːorthoz
akkordig	ˈɒkːordiɡ
akkordja	ˈɒkːorɟɒ
akkordjai	ˈɒkːorɟɒʲi
akkordjaid	ˈɒkːorɟɒʲid
akkordjaik	ˈɒkːorɟɒʲik
akkordjaim	ˈɒkːorɟɒʲim
akkordjaink	ˈɒkːorɟɒʲiŋk
akkordjaitok	ˈɒkːorɟɒʲitok
akkordjuk	ˈɒkːorɟuk
akkordként	ˈɒkːortkeːnt
akkordnak	ˈɒkːordnɒk
akkordnál	ˈɒkːordnaːl
akkordod	ˈɒkːordod
akkordok	ˈɒkːordok
akkordokat	ˈɒkːordokɒt
akkordokba	ˈɒkːordoɡbɒ
akkordokban	ˈɒkːordoɡbɒn
akkordokból	ˈɒkːordoɡboːl
akkordokért	ˈɒkːordokeːrt
akkordokhoz	ˈɒkːordokhoz
akkordokig	ˈɒkːordokiɡ
akkordokká	ˈɒkːordokːaː
akkordokkal	ˈɒkːordokːɒl
akkordokként	ˈɒkːordokːeːnt
akkordoknak	ˈɒkːordoknɒk
akkordoknál	ˈɒkːordoknaːl
akkordokon	ˈɒkːordokon
akkordokra	ˈɒkːordokrɒ
akkordokról	ˈɒkːordokroːl
akkordoktól	ˈɒkːordoktoːl
akkordom	ˈɒkːordom
akkordon	ˈɒkːordon
akkordot	ˈɒkːordot
akkordotok	ˈɒkːordotok
akkordra	ˈɒkːordrɒ
akkordról	ˈɒkːordroːl
akkordtól	ˈɒkːortoːl
akkordunk	ˈɒkːorduŋk
akkori	ˈɒkːori
akkorka	ˈɒkːorkɒ
akkorra	ˈɒkːorːɒ
akkreditál	ˈɒkrɛditaːl
akkreditált	ˈɒkrɛditaːlt
akkreditív	ˈɒkrɛditiːv
akkreditívek	ˈɒkrɛditiːvɛk
akkumulátor	ˈɒkːumulaːtor
akkumulátor	ˈɒkumlaːtor
akkumulátorok	ˈɒkːumulaːtorok
akkumulátorok	ˈɒkumlaːtorok
akna	ˈɒknɒ
aknád	ˈɒknaːd
aknái	ˈɒknaːʲi
aknáid	ˈɒknaːʲid
aknáik	ˈɒknaːʲik
aknáim	ˈɒknaːʲim
aknáink	ˈɒknaːʲiŋk
aknáitok	ˈɒknaːʲitok
aknája	ˈɒknaːjɒ
aknájuk	ˈɒknaːjuk
aknák	ˈɒknaːk
aknám	ˈɒknaːm
aknamező	ˈɒknɒmɛzøː
