アーバーダーン	ābādān
チアガール	chiagāru
チアジン	chiajin
チアミン	chiamin
チアリーダー	chiarīdā
チアリーディング	chiarīdingu
チアゾール	chiazōru
チベット	chibetto
チチハル	chichiharu
チーフ	chīfu
チフス	chifusu
チゴハヤブサ	chigohayabusa
チヂミ	chijimi
チケット	chiketto
チキン	chikin
チーク	chīku
チクタク	chikutaku
チミン	chimin
チーム	chīmu
チームメイト	chīmumeito
チームメート	chīmumēto
チームプレー	chīmupurē
チームワーク	chīmuwāku
チン	chin
チンチラ	chinchira
チンカス	chinkasu
チンキ	chinki
チンコ	chinko
チンパンジー	chinpanjī
チンピラ	chinpira
チオフェン	chiofen
チップ	chippu
チープ	chīpu
チラリズム	chirarizumu
チラシ	chirashi
チリ	chiri
チリソース	chirisōsu
チロシン	chiroshin
チルダ	chiruda
チーター	chītā
チタン	chitan
チワワ	chiwawa
チーズ	chīzu
チーズバーガー	chīzubāgā
チーズケーキ	chīzukēki
チョウ	chō
チョベリバ	choberiba
チョベリグ	choberigu
チョウチョウ	chōchō
チョウゲンボウ	chōgenbō
チョーカー	chōkā
チョキ	choki
チョッキ	chokki
チョコ	choko
チョコチップ	chokochippu
チョコレート	chokorēto
チョーク	chōku
チョン	chon
チョンガー	chongā
チョンガクキムチ	chongaku-kimuchi
チョロギ	chorogi
チョウセントラ	chōsentora
チューバ	chūba
チューブ	chūbu
チュチュ	chuchu
チューハイ	chūhai
チュメニ	chumeni
チュニジア	chunijia
チュニック	chunikku
チューニング	chūningu
チュニス	chunisu
チューリッヒ	chūrihhi
チューリンゲン	chūringen
チューリップ	chūrippu
チュール	chūru
チュルク	churuku
チュートリアル	chūtoriaru
ダービー	dābī
ダビデ	dabide
ダビング	dabingu
ダボ	dabo
ダブリン	daburin
ダブル	daburu
ダブルミーニング	daburumīningu
ダブルネガ	daburunega
ダブルネガティブ	daburunegatibu
ダブルス	daburusu
ダブリュー	daburyū
ダブステップ	dabusuteppu
ダーチャ	dācha
ダチ	dachi
ダチョウ	dachō
ダダイスム	dadaisumu
ダエモン	daemon
ダゲスタン	dagesutan
ダグラス	dagurasu
ダイア	daia
ダイアグラム	daiaguramu
ダイアモンド	daiamondo
ダイアナ	daiana
ダイダロス	daidarosu
ダイエット	daietto
ダイハツ	daihatsu
ダイジェスト	daijesuto
ダイコン	daikon
ダイモン	daimon
ダイモーン	daimōn
ダイン	dain
ダイナマイト	dainamaito
ダイオード	daiōdo
ダイヤ	daiya
ダイヤグラム	daiyaguramu
ダイヤモンド	daiyamondo
ダイヤル	daiyaru
ダイゼン	daizen
ダイズ	daizu
ダジャレ	dajare
ダカール	dakāru
ダッカ	dakka
ダックバーグ	dakkubāgu
ダックスフント	dakkusufunto
ダコタ	dakota
ダーク	dāku
ダクト	dakuto
ダマン	daman
ダマスカス	damasukasu
ダメ	dame
ダメージ	damēji
ダメカン	damekan
ダミー	damī
ダム	damu
ダームスタチウム	dāmusutachiumu
ダンベル	danberu
ダンディー	dandī
ダーンドル	dāndoru
ダンゴムシ	dangomushi
ダニ	dani
ダニエル	danieru
ダンジョン	danjon
ダンケルク	dankeruku
ダンプ	danpu
ダンサー	dansā
ダンス	dansu
ダンスホール	dansuhōru
ダオ	dao
ダプネー	dapunē
ダラス	darasu
ダレイオス	dareiosu
ダリア	daria
ダーリン	dārin
ダルエスサラーム	daruesusarāmu
ダルマチア	darumachia
ダルマザメ	darumazame
ダルメシアン	darumeshian
ダルムシュタッチウム	darumushutatchiumu
ダルムシュタット	darumushutatto
ダルムスタチウム	darumusutachiumu
ダッシュボード	dasshubōdo
ダース	dāsu
ダストボックス	dasutobokkusu
ダーティ	dāti
ダート	dāto
ダーツ	dātsu
ダウ	dau
ダウジング	daujingu
ダウン	daun
ダウンクォーク	daunkwōku
ダウンピッキング	daunpikkingu
ダウンロード	daunrōdo
ダウンタイム	dauntaimu
ダーウィン	dāwin
ダーウィニズム	dāwinizumu
デバッガ	debagga
デバッガー	debaggā
デバッグ	debaggu
デバイス	debaisu
デビル	debiru
デボン	debon
デブ	debu
デブリ	deburi
デビュー	debyū
デビュタント	debyutanto
デッドボール	deddobōru
デディケーション	dedikēshon
デフォ	defo
デフォルマシオン	deforumashion
デフォルメ	deforume
デフォルト	deforuto
デフレ	defure
デフレーション	defurēshon
デイゴ	deigo
デイサイト	deisaito
デイヴィッド	deividdo
デジカメ	dejikame
デジタル	dejitaru
デカチチ	dekachichi
デカチン	dekachin
デカグラム	dekaguramu
デカン	dekan
デキストリン	dekisutorin
デッキ	dekki
デコイ	dekoi
デコレーション	dekorēshon
デコトラ	dekotora
デマ	dema
デメリット	demeritto
デメテル	demeteru
デーメーテール	dēmētēru
デモ	demo
デモン	demon
デーモン	dēmon
デモーニッシュ	demōnisshu
デモンストレーション	demonsutorēshon
デンバー	denbā
デネブ	denebu
デニム	denimu
デニール	denīru
デニッシュ	denisshu
デンジャラス	denjarasu
デンキウナギ	denkiunagi
デンマーク	denmāku
デーンロウ	dēnrō
デオドラント	deodoranto
デパコス	depakosu
デパート	depāto
デポジット	depojitto
デラウェア	derawea
デラウェアシティ	deraweashiti
デレデレ	deredere
デリー	derī
デリバリー	deribarī
デリバティブ	deribatibu
デリヘル	deriheru
デリケート	derikēto
デルタ	deruta
デシリットル	deshirittoru
デッサン	dessan
デスク	desuku
デスクトップ	desukutoppu
デストラクタ	desutorakuta
データ	dēta
データベース	dētabēsu
デート	dēto
デトロイト	detoroito
デーツ	dētsu
デウス	deusu
デーヴァナーガリー	dēvanāgarī
デヴォン	devon
デザイン	dezain
デザイナー	dezainā
デザート	dezāto
ディー	dī
ディアナ	diana
ディアーナ	diāna
ディーアーナ	dīāna
ディエゴ	diego
ディージェー	dījē
ディージェイ	dījei
ディケー	dikē
ディクテーション	dikutēshon
ディナール	dināru
ディンゴ	dingo
ディープフライヤー	dīpufuraiyā
ディーラー	dīrā
ディレクター	direkutā
ディレクトリ	direkutori
ディレクトリー	direkutorī
ディリ	diri
ディル	diru
ディルハム	diruhamu
ディスカバー	disukabā
ディスカウント	disukaunto
ディスケット	disuketto
ディスコ	disuko
ディスコティック	disukotikku
ディスク	disuku
ディスクゴルフ	disukugorufu
ディスクトップ	disukutoppu
ディスプレー	disupurē
ディスプレイ	disupurei
ディスレクシア	disurekushia
ディティール	ditīru
ディーゼル	dīzeru
ディズニー	dizunī
ディズニーランド	dizunīrando
ドア	doa
ドアスコープ	doasukōpu
ドーバー	dōbā
ドバイ	dobai
ドベ	dobe
ドブニウム	dobuniumu
ドビュッシー	dobyusshī
ドードー	dōdō
ドドマ	dodoma
ドギーバッグ	dogībaggu
ドーハ	dōha
ドイツ	doitsu
ドジ	doji
ドッジボール	dojjibōru
ドキドキ	dokidoki
ドッキリ	dokkiri
ドクダミ	dokudami
ドキュメンタリー	dokyumentarī
ドメイン	domein
ドミニカ	dominika
ドーム	dōmu
ドナー	donā
ドナルド	donarudo
ドナテッロ	donaterro
ドーナツ	dōnatsu
ドーナッツ	dōnattsu
ドンマイ	donmai
ドンピシャ	donpisha
ドンタク	dontaku
ドーパミン	dōpamin
ドーピング	dōpingu
ドッペルゲンガー	dopperugengā
ドラフト	dorafuto
ドラゴン	doragon
ドラゴンフルーツ	doragonfurūtsu
ドライアド	doraiado
ドライアイス	doraiaisu
ドライバー	doraibā
ドライブ	doraibu
ドライブイン	doraibuin
ドライブスルー	doraibusurū
ドライブウェイ	doraibuwei
ドライフルーツ	doraifurūtsu
ドラクマ	dorakuma
ドラキュラ	dorakyura
ドラマ	dorama
ドラマー	doramā
ドラム	doramu
ドラウプニル	doraupuniru
ドレッドヘア	doreddohea
ドレイン	dorein
ドレッシング	doresshingu
ドレス	doresu
ドレスデン	doresuden
ドレスコード	doresukōdo
ドレスメーカー	doresumēkā
ドレスメーキング	doresumēkingu
ドリア	doria
ドリアード	doriādo
ドリアン	dorian
ドリーム	dorīmu
ドリンク	dorinku
ドリップ	dorippu
ドリル	doriru
ドロボー	dorobō
ドローン	dorōn
ドロテア	dorotea
ドル	doru
ドール	dōru
ドールハウス	dōruhausu
ドルイド	doruido
ドリュアス	doryuasu
ドタキャン	dotakyan
ドッチボール	dotchibōru
ドワーフ	dowāfu
ドゥーマ	dūma
ドゥシャンベ	dushanbe
ドゥーワップ	dūwappu
デュエル	dyueru
デュエット	dyuetto
デュース	dyūsu
デューテリウム	dyūteriumu
エー	ē
エア	ea
エアバッグ	eabaggu
エアバス	eabasu
エアチェック	eachekku
エアコン	eakon
エアコンディショナー	eakondishonā
エアメール	eamēru
エアピストル	eapisutoru
エアロビクス	earobikusu
エアロック	earokku
エアロゾル	earozoru
エバ	eba
エベント	ebento
エビ	ebi
エビフライ	ebifurai
エビゼ	ebize
エボナイト	ebonaito
エボラ	ebora
エボシドリ	eboshidori
エボシガラ	eboshigara
エチケット	echiketto
エチン	echin
エチオピア	echiopia
エチレン	echiren
エチュード	echūdo
エデン	eden
エディンバラ	edinbara
エディプス	edipusu
エドモントン	edomonton
エドワード	edowādo
エドワーズ	edowāzu
エフェドリン	efedorin
エフェクター	efekutā
エフ	efu
エフエム	efuemu
エゲレス	egeresu
エッグノッグ	eggunoggu
エゴサ	egosa
エグゼクティブ	eguzekutibu
ヱホバ	ehoba
エホバ	ehoba
エイ	ei
エイブラハム	eiburahamu
エイチ	eichi
エイエイオー	eieiō
エインヘリャル	einheryaru
エイプリルフール	eipurirufūru
エイリアン	eirian
エイト	eito
エイズ	eizu
エージェンシー	ējenshī
エージェント	ējento
エジプシャン	ejipushan
エジプト	ejiputo
エーカー	ēkā
エカテリンブルク	ekaterinburuku
エキセントリック	ekisentorikku
エキス	ekisu
エキスパート	ekisupāto
エックス	ekkusu
エコ	eko
エコー	ekō
エコノミスト	ekonomisuto
エクアドル	ekuadoru
エクサバイト	ekusabaito
エクスビバイト	ekusubibaito
エクスビビット	ekusubibitto
エクスタシー	ekusutashī
エクステ	ekusute
エクステンション	ekusutenshon
エクストリーム	ekusutorīmu
エクトプラズム	ekutopurazumu
エマ	ema
エメラルド	emerarudo
エモーショナル	emōshonaru
エム	emu
エミュー	emyū
エミュレータ	emyurēta
エミュレーター	emyurētā
エンバ	enba
エンバク	enbaku
エンベロープ	enberōpu
エンブレム	enburemu
エンチャント	enchanto
エンチラーダ	enchirāda
エンディング	endingu
エンド	endo
エンドカード	endokādo
エンドルフィン	endorufin
エンデューロ	endyūro
エネルギー	enerugī
エネルギッシュ	enerugisshu
エンジン	enjin
エンジニア	enjinia
エンジニアリング	enjiniaringu
エンカウント	enkaunto
エンメイギク	enmeigiku
エノキ	enoki
エノキタケ	enokitake
エンスト	ensuto
エンタメ	entame
エンターテインメント	entāteinmento
エントロピー	entoropī
エヌ	enu
エオス	eosu
エーオース	ēōsu
エピゴーネン	epigōnen
エピクレーシス	epikurēshisu
エピネフリン	epinefurin
エピローグ	epirōgu
エピソード	episōdo
エプロン	epuron
エプシロン	epushiron
エラー	erā
エラト	erato
エラトー	eratō
エレバン	ereban
エレベーター	erebētā
エレボス	erebosu
エレキ	ereki
エレキベース	erekibēsu
エレキテル	erekiteru
エレクトーン	erekutōn
エレクトラ	erekutora
エーレクトラー	ērekutorā
エレミヤ	eremiya
エリ	eri
エリア	eria
エーリアン	ērian
エリック	erikku
エリンギ	eringi
エリサベト	erisabeto
エリート	erīto
エリトリア	eritoria
エリヤ	eriya
エリザベス	erizabesu
エリーゼ	erīze
エロ	ero
エロゲ	eroge
エロゲー	erogē
エロシェンコ	eroshenko
エロス	erosu
エロース	erōsu
エル	eru
エール	ēru
エルビウム	erubiumu
エルフ	erufu
エルンスト	erunsuto
エルサレム	erusaremu
エソ	eso
エッセー	essē
エッセイ	essei
エス	esu
エース	ēsu
エスカレーター	esukarētā
エスカレート	esukarēto
エスカルゴ	esukarugo
エスケープ	esukēpu
エスクード	esukūdo
エスパー	esupā
エスパニョール	esupanyōru
エスペラント	esuperanto
エスポー	esupō
エスプレッソ	esupuresso
エステ	esute
エステル	esuteru
エストニア	esutonia
エストロゲン	esutorogen
エータ	ēta
エタン	etan
エタノール	etanōru
エッチ	etchi
エテン	eten
エーテル	ēteru
エトピリカ	etopirika
エトス	etosu
エツ	etsu
エウクレイデス	eukureidesu
エウローペー	eurōpē
エウテルペ	euterupe
エウテルペー	euterupē
エゼキエル	ezekieru
エゾハタハタ	ezohatahata
ファ	fa
ファー	fā
ファドゥーツ	fadūtsu
ファーガソン	fāgason
ファーガス	fāgasu
ファゴット	fagotto
ファイ	fai
ファイアウォール	faiawōru
ファイバー	faibā
ファイブ	faibu
ファイナンス	fainansu
ファイナル	fainaru
ファインダー	faindā
ファイル	fairu
ファイター	faitā
ファイト	faito
ファイヤー	faiyā
ファイユ	faiyu
ファッキン	fakkin
ファック	fakku
ファックス	fakkusu
ファクシミリ	fakushimiri
ファクション	fakushon
ファクス	fakusu
ファクター	fakutā
ファクタリング	fakutaringu
ファミコン	famikon
ファミマ	famima
ファミレス	famiresu
ファミリー	famirī
ファミリズム	famirizumu
ファームウエア	fāmuuea
ファームウェア	fāmuwea
ファン	fan
ファンアート	fan'āto
ファンダム	fandamu
ファンデーション	fandēshon
ファンファーレ	fanfāre
ファンファール	fanfāru
ファンフィック	fanfikku
ファンネル	fanneru
ファンタジー	fantajī
ファンタジック	fantajikku
ファンタスティック	fantasutikku
ファントム	fantomu
ファラッド	faraddo
ファラド	farado
ファラオ	farao
ファルセット	farusetto
ファルシオン	farushion
ファサード	fasādo
ファシスト	fashisuto
ファシズム	fashizumu
ファッション	fasshon
ファッションモデル	fasshonmoderu
ファスナー	fasunā
ファースト	fāsuto
ファストバック	fasutobakku
ファーストバック	fāsutobakku
ファットマン	fattoman
ファウンデーション	faundēshon
ファウヌス	faunusu
ファザコン	fazakon
フェア	fea
フェチ	fechi
フェイラー	feirā
フェイスブック	feisubukku
フェミニスト	feminisuto
フェミニズム	feminizumu
フェムトメートル	femutomētoru
フェナジン	fenajin
フェナントレン	fenantoren
フェナントリジン	fenantorijin
