サス	s ä s ɯ̥ᵝ
あぶらよたか	a̠ b ɯ̟ᵝ ɾ a̠ j o̞ t a̠ k a̠
あぶる	a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ
アプデ	a̠ p ɯ̟ᵝ d e̞
アプライアンス	a̠ p ɯ̟ᵝ ɾ a̠ i ã̠ ɰ̃ s ɨᵝ
アプリケーション	a̠ p ɯ̟ᵝ ɾʲ i k e̞ː ɕ õ̞ ɴ
あへがお	a̠ h e̞ ɡ a̠ o̞
あへん	a̠ h ẽ̞ ɴ
アベック	a̠ b e̞ k̚ k ɯ̟ᵝ
アベノミクス	a̠ b e̞ n o̞ mʲ i k ɯ̟ᵝ s ɨᵝ
あほう	a̠ h o̞ː
あほ	a̠ h o̞
あほうどり	a̠ h o̞ː d o̞ ɾʲ i
アホげ	a̠ h o̞ ɡ e̞
アホづら	a̠ h o̞ z ɨᵝ ɾ a̠
アホロートル	a̠ h o̞ ɾ o̞ː t o̞ ɾ ɯ̟ᵝ
アボカド	a̠ b o̞ k a̠ d o̞
アポストロフィ	a̠ p o̞ s ɨ̥ᵝ t o̞ ɾ o̞ ɸʲ i
あま	a̠ m a̠
あま	a̠ m a̠
あまえんぼう	a̠ m a̠ ẽ̞ m b o̞ː
あまおと	a̠ m a̠ o̞ t o̞
あまがえる	a̠ m a̠ ɡ a̠ e̞ ɾ ɯ̟ᵝ
あまぎ	a̠ m a̠ ɡʲ i
かんぞう	k ã̠ n d͡z o̞ː
カンゾウ	a̠ m a̠ k ɯ̟ᵝ s a̠
あまくさ	a̠ m a̠ kʲ i
あまぎ	a̠ m a̠ ɡʲ i
あまぐつ	a̠ m a̠ ɡ ɯ̟ᵝ t͡s ɨᵝ
あまぐも	a̠ m a̠ ɡ ɯ̟ᵝ m o̞
あまだれ	a̠ m a̠ d a̠ ɾ e̞
あまつばめ	a̠ m a̠ t͡s ɨᵝ b a̠ m e̞
あまつまら	a̠ m a̠ t͡s ɨᵝ m a̠ ɾ a̠
あまでら	a̠ m a̠ d e̞ ɾ a̠
あまとう	a̠ m a̠ t o̞ː
かんさい	k ã̠ ɰ̃ s a̠ i
あまな	a̠ m a̠ n a̠
アマヌンシス	a̠ m a̠ n ɯ̟̃ᵝ ɰ̃ ɕ i s ɨᵝ
あまねく	a̠ m a̠ n e̞ k ɯ̟ᵝ
あまねし	a̠ m a̠ n e̞ ɕ i
あまのがわ	a̠ m a̠ n o̞ ɡ a̠ ɰᵝ a̠
あみ	a̠ mʲ i
あみぐるみ	a̠ mʲ i ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ mʲ i
アミジン	a̠ mʲ i ʑ ĩ ɴ
あみだくじ	a̠ mʲ i d a̠ k ɯ̟ᵝ ʑ i
あみだな	a̠ mʲ i d a̠ n a̠
あみだぶつ	a̠ mʲ i d a̠ b ɯ̟ᵝ t͡s ɨᵝ
あみてん	a̠ mʲ i t ẽ̞ ɴ
アミノ	a̠ mʲ i n o̞
あみの	a̠ mʲ i n o̞
アミノさん	a̠ mʲ i n o̞ s ã̠ ɴ
あみもの	a̠ mʲ i m o̞ n o̞
アミン	a̠ mʲ ĩ ɴ
あめ	a̠ m e̞
あめ	a̠ m e̞
アメージング	a̠ m e̞ː ʑ ĩ ŋ ɡ ɯ̟ᵝ
アメーバ	a̠ m e̞ː b a̠
アメシスト	a̠ m e̞ ɕ i s ɨ̥ᵝ t o̞
アメピン	a̠ m e̞ pʲ ĩ ɴ
アメフト	a̠ m e̞ ɸ ɯ̟̊ᵝ t o̞
アメリカ	a̠ m e̞ ɾʲ i k a̠
アメリカぐま	a̠ m e̞ ɾʲ i k a̠ ɡ ɯ̟ᵝ m a̠
アメリカじん	a̠ m e̞ ɾʲ i k a̠ ʑ ĩ ɴ
アメリカン	a̠ m e̞ ɾʲ i k ã̠ ɴ
アメリカンドッグ	a̠ m e̞ ɾʲ i k ã̠ n d o̞ ɡ̚ ɡ̊ ɯ̟ᵝ
アメリシウム	a̠ m e̞ ɾʲ i ɕ i ɯ̟ᵝ m ɯ̟ᵝ
あめんぼ	a̠ m ẽ̞ m b o̞
あめんぼう	a̠ m ẽ̞ m b o̞ː
たんじょう	t ã̠ ɲ̟ d͡ʑ o̞ː
あも	a̠ m o̞
もち	m o̞ t͡ɕ i
かちん	m o̞ t͡ɕ iː
あも	k a̠ t͡ɕ ĩ ɴ
アモイ	a̠ m o̞ i
シアメン	ɕ i a̠ m ẽ̞ ɴ
アモイ	a̠ m o̞ i
あもく	a̠ m o̞ k ɯ̟ᵝ
もん	m õ̞ ɴ
ぶん	b ɯ̟̃ᵝ ɴ
ふみ	ɸ ɯ̟ᵝ mʲ i
あや	a̠ j a̠
あやか	a̠ j a̠ k a̠
アヤトラ	a̠ j a̠ t o̞ ɾ a̠
あやとり	a̠ j a̠ t o̞ ɾʲ i
あやまち	a̠ j a̠ m a̠ t͡ɕ i
あやまつ	a̠ j a̠ m a̠ t͡s ɨᵝ
あゆ	a̠ j ɯ̟ᵝ
あゆみ	a̠ j ɯ̟ᵝ mʲ i
アラ	a̠ ɾ a̠
あらあらしい	a̠ ɾ a̠ a̠ ɾ a̠ ɕ i i
あらいぐま	a̠ ɾ a̠ i ɡ ɯ̟ᵝ m a̠
あらかた	a̠ ɾ a̠ k a̠ t a̠
あらかん	a̠ ɾ a̠ k ã̠ ɴ
あらがう	a̠ ɾ a̠ ɡ a̠ ɯ̟ᵝ
あらすじ	a̠ ɾ a̠ s ɨᵝ ʑ i
あらた	a̠ ɾ a̠ t a̠
あらためて	a̠ ɾ a̠ t a̠ m e̞ t e̞
あらためる	a̠ ɾ a̠ t a̠ m e̞ ɾ ɯ̟ᵝ
あらて	a̠ ɾ a̠ t e̞
あらぬ	a̠ ɾ a̠ n ɯ̟ᵝ
アラバスター	a̠ ɾ a̠ b a̠ s ɨᵝ t a̠ː
アラフォー	a̠ ɾ a̠ ɸ o̞ː
あらぶる	a̠ ɾ a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ
アラムご	a̠ ɾ a̠ m ɯ̟ᵝ ɡ o̞
あらめ	a̠ ɾ a̠ m e̞
あらやしき	a̠ ɾ a̠ j a̠ ɕ i kʲ i
あらゆる	a̠ ɾ a̠ j ɯ̟ᵝ ɾ ɯ̟ᵝ
とう	t o̞ː
あららぎ	a̠ ɾ a̠ ɾ a̠ ɡʲ i
らん	ɾ ã̠ ɴ
ラン	a̠ ɾ a̠ ɾ a̠ ɡʲ i
あられ	a̠ ɾ a̠ ɾ e̞
あらわす	a̠ ɾ a̠ ɰᵝ a̠ s ɨᵝ
あらわす	a̠ ɾ a̠ ɰᵝ a̠ s ɨ̥ᵝ
あらわす	a̠ ɾ a̠ ɰᵝ a̠ s ɨ̥ᵝ
ありうる	a̠ ɾʲ i ɯ̟ᵝ ɾ ɯ̟ᵝ
ありえる	a̠ ɾʲ i e̞ ɾ ɯ̟ᵝ
ありがと	a̠ ɾʲ i ɡ a̠ t o̞
ありきたり	a̠ ɾʲ i kʲ i t a̠ ɾʲ i
ありくい	a̠ ɾʲ i k ɯ̟ᵝ i
ありくい	a̠ ɾʲ i k ɯ̟ᵝ i
アリゲーター	a̠ ɾʲ i ɡ e̞ː t a̠ː
ありじごく	a̠ ɾʲ i ʑ i ɡ o̞ k ɯ̟ᵝ
ありすがわ	a̠ ɾʲ i s ɨᵝ ɡ a̠ ɰᵝ a̠
アリゾナ	a̠ ɾʲ i z o̞ n a̠
ありつかげら	a̠ ɾʲ i t͡s ɨᵝ k a̠ ɡ e̞ ɾ a̠
あり	a̠ ɾʲ i
ありのこ	a̠ ɾʲ i n o̞ k o̞
アリバイ	a̠ ɾʲ i b a̠ i
ありゅうさん	a̠ ɾʲ ɨᵝː s ã̠ ɴ
アリルき	a̠ ɾʲ i ɾ ɯ̟ᵝ kʲ i
ありんさん	a̠ ɾʲ ĩ ɰ̃ s ã̠ ɴ
或る	a̠ ɾ ɯ̟ᵝ
あるいは	a̠ ɾ ɯ̟ᵝ i ɰᵝ a̠
アルカン	a̠ ɾ ɯ̟ᵝ k ã̠ ɴ
あるきみこ	a̠ ɾ ɯ̟ᵝ kʲ i mʲ i k o̞
アルキン	a̠ ɾ ɯ̟ᵝ kʲ ĩ ɴ
アルギンさん	a̠ ɾ ɯ̟ᵝ ɡʲ ĩ ɰ̃ s ã̠ ɴ
アルケー	a̠ ɾ ɯ̟ᵝ k e̞ː
アルケン	a̠ ɾ ɯ̟ᵝ k ẽ̞ ɴ
アルコーブ	a̠ ɾ ɯ̟ᵝ k o̞ː b ɯ̟ᵝ
アルコール	a̠ ɾ ɯ̟ᵝ k o̞ː ɾ ɯ̟ᵝ
アルゴリズム	a̠ ɾ ɯ̟ᵝ ɡ o̞ ɾʲ i z ɨᵝ m ɯ̟ᵝ
アルゴン	a̠ ɾ ɯ̟ᵝ ɡ õ̞ ɴ
アルシン	a̠ ɾ ɯ̟ᵝ ɕ ĩ ɴ
アルジェ	a̠ ɾ ɯ̟ᵝ ʑ e̞
あるじぇりあ	a̠ ɾ ɯ̟ᵝ ʑ e̞ ɾʲ i a̠
アルゼンチン	a̠ ɾ ɯ̟ᵝ z ẽ̞ ɲ̟ t͡ɕ ĩ ɴ
アルデヒド	a̠ ɾ ɯ̟ᵝ d e̞ ç i d o̞
アルデンテ	a̠ ɾ ɯ̟ᵝ d ẽ̞ n t e̞
アルト	a̠ ɾ ɯ̟ᵝ t o̞
アルトオーボエ	a̠ ɾ ɯ̟ᵝ t o̞ː o̞ b o̞ e̞
アルバイト	a̠ ɾ ɯ̟ᵝ b a̠ i t o̞
アルバニアご	a̠ ɾ ɯ̟ᵝ b a̠ ɲ̟ i a̠ ɡ o̞
アルバニアじん	a̠ ɾ ɯ̟ᵝ b a̠ ɲ̟ i a̠ ʑ ĩ ɴ
アルバータ	a̠ ɾ ɯ̟ᵝ b a̠ː t a̠
アルパカ	a̠ ɾ ɯ̟ᵝ p a̠ k a̠
アルファ	a̠ ɾ ɯ̟ᵝ ɸ a̠
アルファベット	a̠ ɾ ɯ̟ᵝ ɸ a̠ b e̞ t̚ t o̞
アルブミン	a̠ ɾ ɯ̟ᵝ b ɯ̟ᵝ mʲ ĩ ɴ
アルベド	a̠ ɾ ɯ̟ᵝ b e̞ d o̞
アルペッジョ	a̠ ɾ ɯ̟ᵝ p e̞ d̚ d͡ʑ o̞
アルマジロ	a̠ ɾ ɯ̟ᵝ m a̠ ʑ i ɾ o̞
アルミ	a̠ ɾ ɯ̟ᵝ mʲ i
アルミナ	a̠ ɾ ɯ̟ᵝ mʲ i n a̠
アルミニウム	a̠ ɾ ɯ̟ᵝ mʲ i ɲ̟ i ɯ̟ᵝ m ɯ̟ᵝ
アルミはく	a̠ ɾ ɯ̟ᵝ mʲ i h a̠ k ɯ̟ᵝ
アルメニアご	a̠ ɾ ɯ̟ᵝ m e̞ ɲ̟ i a̠ ɡ o̞
アルメニアじん	a̠ ɾ ɯ̟ᵝ m e̞ ɲ̟ i a̠ ʑ ĩ ɴ
あれ	a̠ ɾ e̞
あれ	a̠ ɾ e̞
あれ	a̠ ɾ e̞
あれ	a̠ ɾ e̞
あれい	a̠ ɾ e̞ː
アレース	a̠ ɾ e̞ː s ɨᵝ
アレクサンドライト	a̠ ɾ e̞ k ɯ̟̊ᵝ s ã̠ n d o̞ ɾ a̠ i t o̞
あれこれ	a̠ ɾ e̞ k o̞ ɾ e̞
アレゴリー	a̠ ɾ e̞ ɡ o̞ ɾʲ iː
アレス	a̠ ɾ e̞ s ɨᵝ
あれはだ	a̠ ɾ e̞ h a̠ d a̠
アレルギー	a̠ ɾ e̞ ɾ ɯ̟ᵝ ɡʲ iː
アロエ	a̠ ɾ o̞ e̞
あわ	a̠ ɰᵝ a̠
あわうみ	a̠ ɰᵝ a̠ ɯ̟ᵝ mʲ i
あわせ	a̠ ɰᵝ a̠ s e̞
あわせ	a̠ ɰᵝ a̠ s e̞
あわだてき	a̠ ɰᵝ a̠ d a̠ t e̞ kʲ i
あわもり	a̠ ɰᵝ a̠ m o̞ ɾʲ i
あわや	a̠ ɰᵝ a̠ j a̠
あわよくば	a̠ ɰᵝ a̠ j o̞ k ɯ̟ᵝ b a̠
あわれ	a̠ ɰᵝ a̠ ɾ e̞
あわれみ	a̠ ɰᵝ a̠ ɾ e̞ mʲ i
あわれむ	a̠ ɰᵝ a̠ ɾ e̞ m ɯ̟ᵝ
いおり	i o̞ ɾʲ i
あん	ã̠ ɴ
あん	ã̠ ɴ
やみ	j a̠ mʲ i
あん	ã̠ ɴ
あんうつ	ã̠ ɰ̃ ɯ̟ᵝ t͡s ɨᵝ
アンカー	ã̠ ŋ k a̠ː
あんこう	ã̠ ŋ k o̞ː
あんかん	ã̠ ŋ k ã̠ ɴ
あんき	ã̠ ŋʲ kʲ i
あんき	ã̠ ŋʲ kʲ i
アンクレット	ã̠ ŋ k ɯ̟ᵝ ɾ e̞ t̚ t o̞
アングル	ã̠ ŋ ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ
アンゲリア	ã̠ ŋ ɡ e̞ ɾʲ i a̠
あんこう	ã̠ ŋ k o̞ː
アンコール	ã̠ ŋ k o̞ː ɾ ɯ̟ᵝ
アンコール	ã̠ ŋ k o̞ː ɾ ɯ̟ᵝ
あんこく	ã̠ ŋ k o̞ k ɯ̟ᵝ
あんごう	ã̠ ŋ ɡ o̞ː
アンゴラ	ã̠ ŋ ɡ o̞ ɾ a̠
あんさつ	ã̠ ɰ̃ s a̠ t͡s ɨᵝ
アンサンブル	ã̠ ɰ̃ s ã̠ m b ɯ̟ᵝ ɾ ɯ̟ᵝ
あんざん	ã̠ n d͡z ã̠ ɴ
あんざんし	ã̠ n d͡z ã̠ ɰ̃ ɕ i
あんしじゅつ	ã̠ ɰ̃ ɕ i ʑ ɨᵝ t͡s ɨᵝ
あんしつ	ã̠ ɰ̃ ɕ i̥ t͡s ɨᵝ
あんしょ	ã̠ ɰ̃ ɕ o̞
あんしょう	ã̠ ɰ̃ ɕ o̞ː
あんしん	ã̠ ɰ̃ ɕ ĩ ɴ
アンジャベル	ã̠ ɲ̟ d͡ʑ a̠ b e̞ ɾ ɯ̟ᵝ
あんず	ã̠ n d͡z ɨᵝ
あんせい	ã̠ ɰ̃ s e̞ː
あんぜん	ã̠ n d͡z ẽ̞ ɴ
安全第一	ã̠ n d͡z ẽ̞ n d a̠ i i t͡ɕ i
あんた	ã̠ n t a̠
アンダーバー	ã̠ n d a̠ː b a̠ː
アンチック	ã̠ ɲ̟ t͡ɕ i k̚ k ɯ̟ᵝ
アンチノミー	ã̠ ɲ̟ t͡ɕ i n o̞ mʲ iː
アンチモン	ã̠ ɲ̟ t͡ɕ i m õ̞ ɴ
にいちゃん	ã̠ ɲ̟ t͡ɕ ã̠ ɴ
にいちゃん	ã̠ ɲ̟ t͡ɕ ã̠ ɴ
あんちょく	ã̠ ɲ̟ t͡ɕ o̞ k ɯ̟ᵝ
あんていざい	ã̠ n t e̞ː z a̠ i
アンテナ	ã̠ n t e̞ n a̠
アンテロープ	ã̠ n t e̞ ɾ o̞ː p ɯ̟ᵝ
あんてん	ã̠ n t ẽ̞ ɴ
あんてん	ã̠ n t ẽ̞ ɴ
アントラセン	ã̠ n t o̞ ɾ a̠ s ẽ̞ ɴ
アンドラ	ã̠ n d o̞ ɾ a̠
アンドロゲン	ã̠ n d o̞ ɾ o̞ ɡ ẽ̞ ɴ
アンドロメダざ	ã̠ n d o̞ ɾ o̞ m e̞ d a̠ z a̠
あんどん	ã̠ n d õ̞ ɴ
あんな	ã̠ nː a̠
あんないしょ	ã̠ nː a̠ i ɕ o̞
あんないじょう	ã̠ nː a̠ i ʑ o̞ː
あんなん	ã̠ nː ã̠ ɴ
アンニュイ	ã̠ ɲ̟ ɲ̟ ɯ̟ᵝ i
きょうにん	kʲ o̞ː ɲ̟ ĩ ɴ
きょうにん	ã̠ ɲ̟ ɲ̟ ĩ ɴ
あんねい	ã̠ nː e̞ː
あんのん	ã̠ nː õ̞ ɴ
あんぱん	ã̠ m p ã̠ ɴ
あんぴ	ã̠ m pʲ i
アンプ	ã̠ m p ɯ̟ᵝ
アンプル	ã̠ m p ɯ̟ᵝ ɾ ɯ̟ᵝ
アンペア	ã̠ m p e̞ a̠
あんぽんたん	ã̠ m p õ̞ n t ã̠ ɴ
あんまり	ã̠ mː a̠ ɾʲ i
アンマン	ã̠ mː ã̠ ɴ
あんまん	ã̠ mː ã̠ ɴ
アンモナイト	ã̠ mː o̞ n a̠ i t o̞
あんぶん	ã̠ mː õ̞ ɴ
あんぶん	ã̠ mː õ̞ ɴ
あんらく	ã̠ n ɾ a̠ k ɯ̟ᵝ
あんらくし	ã̠ n ɾ a̠ k ɯ̟ᵝ ɕ i
アンラッキー	ã̠ n ɾ a̠ k̚ʲ kʲ iː
い	i
ゐ	ɰᵝ i
ゐ	i
イ	i
いつ	i t͡s ɨᵝ
ご	ɡ o̞
い	i
い	i
い	i
位	i
い	i
い	i
囲	i
せき	s e̞ kʲ i
い	i
えびす	e̞ bʲ i s ɨᵝ
い	i
い	i
きょ	kʲ o̞
い	i
い	i
い	i
い	i
慰	i
い	i
えき	e̞ kʲ i
い	i
い	i
維	i
い	i
縊	i
い	i
い	i
違	i
いあんふ	i ã̠ ɰ̃ ɸ ɯ̟ᵝ
イー	iː
えい	e̞ː
いいえ	iː e̞
イーエスピー	iː e̞ s ɨ̥ᵝ pʲ iː
いいかげん	i i k a̠ ɡ ẽ̞ ɴ
いいかた	i i k a̠ t a̠
いいから	iː k a̠ ɾ a̠
イーゼル	iː z e̞ ɾ ɯ̟ᵝ
いいそびれる	iː s o̞ bʲ i ɾ e̞ ɾ ɯ̟ᵝ
イータ	iː t a̠
いいたてる	iː t a̠ t e̞ ɾ ɯ̟ᵝ
いいずな	iː z ɨᵝ n a̠
いいまわし	i i m a̠ ɰᵝ a̠ ɕ i
いいまわす	i i m a̠ ɰᵝ a̠ s ɨᵝ
イーメール	iː m e̞ː ɾ ɯ̟ᵝ
イールランド	iː ɾ ɯ̟ᵝ ɾ ã̠ n d o̞
いいん	ĩː ɴ
いいんかい	ĩː ŋ k a̠ i
いぇ	j e̞
イェ	j e̞
いえい	i e̞ː
いえいえ	i e̞ː e̞
かと	i e̞ ɯ̟ᵝ s a̠ ɡʲ i
かと	i e̞ ɯ̟ᵝ s a̠ ɡʲ i
いえじ	i e̞ ʑ i
イエス	i e̞ s ɨᵝ
いえで	i e̞ d e̞
いえでにん	i e̞ d e̞ ɲ̟ ĩ ɴ
かでん	k a̠ d ẽ̞ ɴ
いえでん	i e̞ d ẽ̞ ɴ
かない	k a̠ n a̠ i
やうち	j a̠ ɯ̟ᵝ t͡ɕ i
いえうち	i e̞ ɯ̟ᵝ t͡ɕ i
いえない	i e̞ n a̠ i
いえねこ	i e̞ n e̞ k o̞
イエメン	i e̞ m ẽ̞ ɴ
いえもち	i e̞ m o̞ t͡ɕ i
イエライシャン	i e̞ ɾ a̠ i ɕ ã̠ ɴ
イエロー	i e̞ ɾ o̞ː
いおうとう	i o̞ː t o̞ː
いおうじま	i o̞ː ʑ i m a̠
イオタ	i o̞ t a̠
いおん	i õ̞ ɴ
いか	i k a̠
いか	i k a̠
いか	i k a̠
いか	i k a̠
いか	i k a̠
いかが	i k a̠ ɡ a̠
いかがわしい	i k a̠ ɡ a̠ ɰᵝ a̠ ɕ iː
いかけ	i k a̠ k e̞
いかけし	i k a̠ k e̞ ɕ i
いかけや	i k a̠ k e̞ j a̠
いかり	i k a̠ ɾʲ i
イカれる	i k a̠ ɾ e̞ ɾ ɯ̟ᵝ
いかん	i k ã̠ ɴ
からなし	k a̠ ɾ a̠ n a̠ ɕ i
どう	d o̞ː
いか	i k a̠
いかが	i k a̠ ɡ a̠
いかん	i k ã̠ ɴ
いかん	i k ã̠ ɴ
いがい	i ɡ a̠ i
いがく	i ɡ a̠ k ɯ̟ᵝ
いがむ	i ɡ a̠ m ɯ̟ᵝ
いがらし	i ɡ a̠ ɾ a̠ ɕ i
いき	i kʲ i
いき	i kʲ i
いき	i kʲ i
いき	i kʲ i
いき	i kʲ i
いき	i kʲ i
いき	i kʲ i
いき	i kʲ i
いき	i kʲ i
いき	i kʲ i
いき	i kʲ i
いき	i kʲ i
いき	i kʲ i
いき	i kʲ i
いきうめ	i kʲ i ɯ̟ᵝ m e̞
いきおい	i kʲ i o̞ i
いきか	i kʲ i k a̠
いきぐすり	i kʲ i ɡ ɯ̟ᵝ s ɨᵝ ɾʲ i
ゆきさき	i kʲ i̥ s a̠ kʲ i
ゆきさき	i kʲ i̥ s a̠ kʲ i
けいい	k e̞ː i
たてぬき	t a̠ t e̞ n ɯ̟ᵝ kʲ i
いきつぎ	i kʲ i t͡s ɨᵝ ɡʲ i
いきつく	i kʲ i t͡s ɨᵝ k ɯ̟ᵝ
ゆきづまり	j ɯ̟ᵝ kʲ i z ɨᵝ m a̠ ɾʲ i
ゆきづまり	i kʲ i z ɨᵝ m a̠ ɾʲ i
いきぬき	i kʲ i n ɯ̟ᵝ kʲ i
いきもの	i kʲ i m o̞ n o̞
いきょう	i kʲ o̞ː
いきょう	i kʲ o̞ː
いきょうと	i kʲ o̞ː t o̞
いきょく	i kʲ o̞ k ɯ̟ᵝ
いきようよう	i kʲ i j o̞ː j o̞ː
ゆきわたる	j ɯ̟ᵝ kʲ i ɰᵝ a̠ t a̠ ɾ ɯ̟ᵝ
いきわたる	i kʲ i ɰᵝ a̠ t a̠ ɾ ɯ̟ᵝ
いぎ	i ɡʲ i
イギリス	i ɡʲ i ɾʲ i s ɨᵝ
イギリスじん	i ɡʲ i ɾʲ i s ɨᵝ ʑ ĩ ɴ
いく	i k ɯ̟ᵝ
いく	i k ɯ̟ᵝ
いく	i k ɯ̟ᵝ
育	i k ɯ̟ᵝ
いくぐすり	i k ɯ̟ᵝ ɡ ɯ̟ᵝ s ɨᵝ ɾʲ i
いくさ	i k ɯ̟ᵝ s a̠
ぐん	ɡ ɯ̟̃ᵝ ɴ
いくさ	i k ɯ̟ᵝ s a̠
いきじ	i kʲ i ʑ i
いくじ	i k ɯ̟ᵝ ʑ i
いくせいそう	i k ɯ̟ᵝ s e̞ː s o̞ː
いくせん	i k ɯ̟ᵝ s ẽ̞ ɴ
いくた	i k ɯ̟ᵝ t a̠
いくつ	i k ɯ̟ᵝ t͡s ɨᵝ
いくつ	i k ɯ̟ᵝ t͡s ɨᵝ
いくつも	i k ɯ̟ᵝ t͡s ɨᵝ m o̞
幾年	i k ɯ̟ᵝ n ẽ̞ ɴ
幾年	i k ɯ̟ᵝ t o̞ s e̞
イクメン	i k ɯ̟ᵝ m ẽ̞ ɴ
いくら	i k ɯ̟ᵝ ɾ a̠
イクラ	i k ɯ̟ᵝ ɾ a̠
いくら	i k ɯ̟ᵝ ɾ a̠
いくらか	i k ɯ̟ᵝ ɾ a̠ k a̠
イグアナ	i ɡ ɯ̟ᵝ a̠ n a̠
イグルー	i ɡ ɯ̟ᵝ ɾ ɯ̟ᵝː
いぎょう	i ɡʲ o̞ː
いけい	i k e̞ː
いけいれん	i k e̞ː ɾ ẽ̞ ɴ
いけにえ	i k e̞ ɲ̟ i e̞
イケボ	i k e̞ b o̞
イケボイス	i k e̞ b o̞ i s ɨᵝ
イケメンボイス	i k e̞ m ẽ̞ m b o̞ i s ɨᵝ
いけん	i k ẽ̞ ɴ
いけんらん	i k ẽ̞ n ɾ ã̠ ɴ
いげた	i ɡ e̞ t a̠
いこ	i k o̞
いこう	i k o̞ː
イコノグラフィー	i k o̞ n o̞ ɡ ɯ̟ᵝ ɾ a̠ ɸʲ iː
イコノロジー	i k o̞ n o̞ ɾ o̞ ʑ iː
イコライザ	i k o̞ ɾ a̠ i z a̠
いご	i ɡ o̞
いさい	i s a̠ i
いさぎよい	i s a̠ ɡʲ i j o̞ i
いさく	i s a̠ k ɯ̟ᵝ
すな	s ɨᵝ n a̠
いさご	i s a̠ ɡ o̞
いさごむし	i s a̠ ɡ o̞ m ɯ̟ᵝ ɕ i
いさちる	i s a̠ t͡ɕ i ɾ ɯ̟ᵝ
いさつ	i s a̠ t͡s ɨᵝ
いさつ	i s a̠ t͡s ɨᵝ
いさつ	i s a̠ t͡s ɨᵝ
くじら	k ɯ̟ᵝ ʑ i ɾ a̠
クジラ	i s a̠
いざ	i z a̠
いざかや	i z a̠ k a̠ j a̠
ざこ	d͡z a̠ k o̞
ざこ	d͡ʑ a̠ k o̞
ざこ	i z a̠ k o̞
いざなう	i z a̠ n a̠ ɯ̟ᵝ
いざなぎ	i z a̠ n a̠ ɡʲ i
いざなみ	i z a̠ n a̠ mʲ i
いざよい	i z a̠ j o̞ i
いざよう	i z a̠ j o̞ː
いし	i ɕ i
いし	i ɕ i
いし	i ɕ i
いし	i ɕ i
いし	i ɕ i
いしい	i ɕ iː
いしかわ	i ɕ i k a̠ ɰᵝ a̠
いしかわけん	i ɕ i k a̠ ɰᵝ a̠ k ẽ̞ ɴ
いしがんとう	i ɕ i ɡ ã̠ n t o̞ː
いしがんとう	s e̞ kʲ i ɡ ã̠ n t o̞ː
いしがんとう	i ɕ i ɡ ã̠ n d o̞ː
いしき	i ɕ i̥ kʲ i
いしこづめ	i ɕ i k o̞ z ɨᵝ m e̞
せきたん	s e̞ kʲ i t ã̠ ɴ
いしずみ	i ɕ i z ɨᵝ mʲ i
いしだたみ	i ɕ i d a̠ t a̠ mʲ i
いしだて	i ɕ i d a̠ t e̞
いしだん	i ɕ i d ã̠ ɴ
いしづか	i ɕ i z ɨᵝ k a̠
せっかい	s e̞ k̚ k a̠ i
いしばい	i ɕ i b a̠ i
いしむかで	i ɕ i m ɯ̟ᵝ k a̠ d e̞
いしゃ	i ɕ a̠
いしゅう	i ɕ ɨᵝː
いしゅく	i ɕ ɨᵝ k ɯ̟ᵝ
いしょう	i ɕ o̞ː
いしょう	i ɕ o̞ː
いしょく	i ɕ o̞ k ɯ̟ᵝ
いしょくしゅ	i ɕ o̞ k ɯ̟ᵝ ɕ ɨᵝ
いしりょく	i ɕ i ɾʲ o̞ k ɯ̟̊ᵝ
いしわた	i ɕ i ɰᵝ a̠ t a̠
いしわたり	i ɕ i ɰᵝ a̠ t a̠ ɾʲ i
いしん	i ɕ ĩ ɴ
いじ	i ʑ i
いぢいぢ	i ʑ i i ʑ i
いじける	i ʑ i k e̞ ɾ ɯ̟ᵝ
いじげん	i ʑ i ɡ ẽ̞ ɴ
いじばる	i ʑ i b a̠ ɾ ɯ̟ᵝ
いじめっこ	i ʑ i m e̞ k̚ k o̞
いじゅうしゃ	i ʑ ɨᵝː ɕ a̠
いじょう	i ʑ o̞ː
いじょう	i ʑ o̞ː
いじょう	i ʑ o̞ː
いじわる	i ʑ i ɰᵝ a̠ ɾ ɯ̟ᵝ
いじんしゅかん	i ʑ ĩ ɰ̃ ɕ ɨᵝ k ã̠ ɴ
いす	i s ɨᵝ
いすず	i s ɨᵝ z ɨᵝ
いすず	i s ɨᵝ z ɨᵝ
イスタンブール	i s ɨ̥ᵝ t ã̠ m b ɯ̟ᵝː ɾ ɯ̟ᵝ
イスラーム	i s ɨᵝ ɾ a̠ː m ɯ̟ᵝ
イスラエル	i s ɨᵝ ɾ a̠ e̞ ɾ ɯ̟ᵝ
イスラマバード	i s ɨᵝ ɾ a̠ m a̠ b a̠ː d o̞
イスラム	i s ɨᵝ ɾ a̠ m ɯ̟ᵝ
いすゞ	i s ɨᵝ z ɨᵝ
いずみ	i z ɨᵝ mʲ i
イズム	i z ɨᵝ m ɯ̟ᵝ
何ら	i z ɨᵝ ɾ a̠
いせい	i s e̞ː
いせいかとう	i s e̞ː k a̠ t o̞ː
いせいしゃ	i s e̞ː ɕ a̠
