Ⴁ	b
ამერიკით	ɑ m ɛ r ɪ kʼ ɪ tʰ
ამერიკის	ɑ m ɛ r ɪ kʼ ɪ s
ამერიკული	ɑ m ɛ r ɪ kʼ u l ɪ
ამზადებს	ɑ m z ɑ d ɛ b s
ამთავრებს	ɑ m tʰ ɑ v r ɛ b s
ამთვისებელი	ɑ m tʰ v ɪ s ɛ b ɛ l ɪ
ამთქნარებს	ɑ m tʰ kʰ n ɑ r ɛ b s
ამიაკი	ɑ m ɪ ɑ kʼ ɪ
ამიერიდან	ɑ m ɪ ɛ r ɪ d ɑ n
ამით	ɑ m ɪ tʰ
ამინ	ɑ m ɪ n
ამინდი	ɑ m i n d i
ამირა	ɑ m ɪ r ɑ
ამირანი	ɑ m i r ɑ n i
ამირი	ɑ m i r i
ამიტომ	ɑ m ɪ tʼ ɔ m
ამკობს	ɑ m kʼ ɔ b s
ამნეზია	ɑ m n ɛ z ɪ ɑ
ამნისტია	ɑ m n ɪ s tʼ ɪ ɑ
ამობურცული	ɑ m ɔ b u r t s u l ɪ
ამოზნექილად	ɑ m ɔ z n ɛ kʰ i l ɑ d
ამოზნექილი	ɑ m ɔ z n ɛ kʰ i l i
ამოზნექილობა	ɑ m ɔ z n ɛ kʰ i l ɔ b ɑ
ამოთითხნილი	ɑ m ɔ tʰ ɪ tʰ χ n ɪ l ɪ
ამოიდო	ɑ m ɔ ɪ d ɔ
ამოკლებს	ɑ m ɔ kʼ l ɛ b s
ამომწურავად	ɑ m ɔ m t sʼ u r ɑ v ɑ d
ამომწურავი	ɑ m ɔ m t sʼ u r ɑ v ɪ
ამომჭმელი	ɑ m ɔ m t ʃʼ m ɛ l ɪ
ამორალური	ɑ m ɔ r ɑ l u r ɪ
ამორტიზაცია	ɑ m ɔ r tʼ ɪ z ɑ t s ɪ ɑ
ამორფული	ɑ m ɔ r pʰ u l ɪ
ამორჩეული	ɑ m ɔ r t ʃ ɛ u l ɪ
ამორძალი	ɑ m ɔ r d z ɑ l i
ამოურჩეველი	ɑ m ɔ u r t ʃ ɛ v ɛ l ɪ
ამოუწურავი	ɑ m ɔ u t sʼ u r ɑ v ɪ
ამოყვანილი	ɑ m ɔ qʼ v ɑ n ɪ l ɪ
ამოშვერილი	ɑ m ɔ ʃ v ɛ r ɪ l ɪ
ამოცანა	ɑ m ɔ t s ɑ n ɑ
ამოცნობა	ɑ m ɔ t s n ɔ b ɑ
ამოძირკვავს	ɑ m ɔ d z i r kʼ v ɑ v s
ამპარტავანი	ɑ m pʼ ɑ r tʼ ɑ v ɑ n i
ამპარტავნულად	ɑ m pʼ ɑ r tʼ ɑ v n u l ɑ d
ამპერი	ɑ m pʼ ɛ r ɪ
ამპერმეტრი	ɑ m pʼ ɛ r m ɛ tʼ r ɪ
ამპლიტუდა	ɑ m pʼ l ɪ tʼ u d ɑ
ამპულა	ɑ m pʼ u l ɑ
ამპუტაცია	ɑ m pʼ u tʼ ɑ t s ɪ ɑ
ამჟამად	ɑ m ʒ ɑ m ɑ d
ამრავლებს	ɑ m r ɑ v l ɛ b s
ამრგვალებს	ɑ m r ɡ v ɑ l ɛ b s
ამრეკლავად	ɑ m r ɛ kʼ l ɑ v ɑ d
ამრეკლავი	ɑ m r ɛ kʼ l ɑ v i
ამსგავსებს	ɑ m s ɡ ɑ v s ɛ b s
ამსტერდამი	ɑ m s tʼ ɛ r d ɑ m i
ამტანი	ɑ m tʼ ɑ n i
ამტანობა	ɑ m tʼ ɑ n ɔ b ɑ
ამტვრევს	ɑ m tʼ v r ɛ v s
ამუზია	ɑ m u z ɪ ɑ
ამულეტი	ɑ m u l ɛ tʼ ɪ
ამუშავებს	ɑ m u ʃ ɑ v ɛ b s
ამუხრუჭებს	ɑ m u x r u t ʃʼ ɛ b s
ამფიბია	ɑ m pʰ ɪ b ɪ ɑ
ამფითეატრი	ɑ m pʰ ɪ tʰ ɛ ɑ tʼ r ɪ
ამფორა	ɑ m pʰ ɔ r ɑ
ამღერებს	ɑ m ɣ ɛ r ɛ b s
ამღვრეულობა	ɑ m ɣ v r ɛ u l ɔ b ɑ
ამშვიდებს	ɑ m ʃ v i d ɛ b s
ამჩნევს	ɑ m t ʃ n ɛ v s
ამძვრალი	ɑ m d z v r ɑ l i
ამძიმებს	ɑ m d z i m ɛ b s
ამწარებს	ɑ m t sʼ ɑ r ɛ b s
ამწე	ɑ m t sʼ ɛ
ამწიფებს	ɑ m t sʼ i pʰ ɛ b s
ამწნილებს	ɑ m t sʼ n i l ɛ b s
ამხანაგი	ɑ m x ɑ n ɑ ɡ i
ამხანაგობა	ɑ m x ɑ n ɑ ɡ ɔ b ɑ
ამხედრებული	ɑ m χ ɛ d r ɛ b u l ɪ
ამჯობინებს	ɑ m d ʒ ɔ b i n ɛ b s
ან	ɑ n
ანა	ɑ n ɑ
ანაბარი	ɑ n ɑ b ɑ r i
ანაბეჭდი	ɑ n ɑ b ɛ t ʃʼ d ɪ
ანაგვიანებს	ɑ n ɑ ɡ v i ɑ n ɛ b s
ანათემა	ɑ n ɑ tʰ ɛ m ɑ
ანაკონდა	ɑ n ɑ kʼ ɔ n d ɑ
ანალიზი	ɑ n ɑ l ɪ z ɪ
ანალიზური	ɑ n ɑ l ɪ z u r ɪ
ანალიტიკოსი	ɑ n ɑ l ɪ tʼ ɪ kʼ ɔ s ɪ
ანალოგი	ɑ n ɑ l ɔ ɡ ɪ
ანალოგია	ɑ n ɑ l ɔ ɡ ɪ ɑ
ანალოგიურად	ɑ n ɑ l ɔ ɡ ɪ u r ɑ d
ანალოგიური	ɑ n ɑ l ɔ ɡ i u r i
ანალური	ɑ n ɑ l u r ɪ
ანაოჭებს	ɑ n ɑ ɔ t ʃʼ ɛ b s
ანარქია	ɑ n ɑ r kʰ ɪ ɑ
ანარქიზმი	ɑ n ɑ r kʰ ɪ z m ɪ
ანარქისტი	ɑ n ɑ r kʰ ɪ s tʼ ɪ
ანარქიულად	ɑ n ɑ r kʰ ɪ u l ɑ d
ანარქიული	ɑ n ɑ r kʰ ɪ u l ɪ
ანატომი	ɑ n ɑ tʼ ɔ m ɪ
ანატომიურად	ɑ n ɑ tʼ ɔ m ɪ u r ɑ d
ანატომიური	ɑ n ɑ tʼ ɔ m ɪ u r ɪ
ანაფილაქსია	ɑ n ɑ pʰ i l ɑ kʰ s i ɑ
ანაფორა	ɑ n ɑ pʰ ɔ r ɑ
ანაქრონიზმი	ɑ n ɑ kʰ r ɔ n ɪ z m ɪ
ანაღდებს	ɑ n ɑ ɣ d ɛ b s
ანახვებს	ɑ n ɑ x v ɛ b s
ანახშირებს	ɑ n ɑ x ʃ i r ɛ b s
ანბანი	ɑ n b ɑ n i
ანბანურად	ɑ n b ɑ n u r ɑ d
ანბანური	ɑ n b ɑ n u r ɪ
ანგარება	ɑ n ɡ ɑ r ɛ b ɑ
ანგარები	ɑ n ɡ ɑ r ɛ b ɪ
ანგარებიანი	ɑ n ɡ ɑ r ɛ b i ɑ n i
ანგარი	ɑ n ɡ ɑ r i
ანგარიშვალდებულება	ɑ n ɡ ɑ r i ʃ v ɑ l d ɛ b u l ɛ b ɑ
ანგარიშვალდებული	ɑ n ɡ ɑ r i ʃ v ɑ l d ɛ b u l i
ანგარიში	ɑ n ɡ ɑ r i ʃ i
ანგარიშიანი	ɑ n ɡ ɑ r i ʃ i ɑ n i
ანგარიშმიუცემლად	ɑ n ɡ ɑ r ɪ ʃ m ɪ u t s ɛ m l ɑ d
ანგელოზა	ɑ n ɡ ɛ l ɔ z ɑ
ანგელოზივით	ɑ n ɡ ɛ l ɔ z ɪ v ɪ tʰ
ანგია	ɑ n ɡ i ɑ
ანგინა	ɑ n ɡ ɪ n ɑ
ანგლიკანური	ɑ n ɡ l i kʼ ɑ n u r i
ანგლიციზმი	ɑ n ɡ l ɪ t s ɪ z m ɪ
ანგლოსაქსური	ɑ n ɡ l ɔ s ɑ kʰ s u r ɪ
ანგლოფობი	ɑ n ɡ l ɔ pʰ ɔ b ɪ
ანგოლა	ɑ n ɡ ɔ l ɑ
ანგორა	ɑ n ɡ ɔ r ɑ
ანგრევს	ɑ n ɡ r ɛ v s
ანდაზა	ɑ n d ɑ z ɑ
ანდამატი	ɑ n d ɑ m ɑ tʼ i
ანდომებდა	ɑ n d ɔ m ɛ b d ɑ
ანდომებს	ɑ n d ɔ m ɛ b s
ანდორა	ɑ n d ɔ r ɑ
ანდრია	ɑ n d r ɪ ɑ
ანეკდოტური	ɑ n ɛ kʼ d ɔ tʼ u r ɪ
ანემია	ɑ n ɛ m ɪ ɑ
ანემიურად	ɑ n ɛ m ɪ u r ɑ d
ანესთეზია	ɑ n ɛ s tʰ ɛ z ɪ ɑ
ანექსია	ɑ n ɛ kʰ s ɪ ɑ
ანთება	ɑ n tʰ ɛ b ɑ
ანთებითი	ɑ n tʰ ɛ b ɪ tʰ ɪ
ანთებს	ɑ n tʰ ɛ b s
ანთებული	ɑ n tʰ ɛ b u l ɪ
ანთოლოგია	ɑ n tʰ ɔ l ɔ ɡ ɪ ɑ
ანთრაციტი	ɑ n tʰ r ɑ t s ɪ tʼ ɪ
ანთროპოიდი	ɑ n tʰ r ɔ pʼ ɔ ɪ d ɪ
ანთროპოიდული	ɑ n tʰ r ɔ pʼ ɔ ɪ d u l ɪ
ანთროპოლოგი	ɑ n tʰ r ɔ pʼ ɔ l ɔ ɡ ɪ
ანიმაციური	ɑ n ɪ m ɑ t s ɪ u r ɪ
ანიმიზმი	ɑ n ɪ m ɪ z m ɪ
ანისი	ɑ n i s i
ანისული	ɑ n ɪ s u l ɪ
ანკესი	ɑ n kʼ ɛ s ɪ
ანომალია	ɑ n ɔ m ɑ l ɪ ɑ
ანომალიური	ɑ n ɔ m ɑ l ɪ u r ɪ
ანომალურად	ɑ n ɔ m ɑ l u r ɑ d
ანონიმურად	ɑ n ɔ n ɪ m u r ɑ d
ანონიმური	ɑ n ɔ n i m u r i
ანონიმურობა	ɑ n ɔ n i m u r ɔ b ɑ
ანონსი	ɑ n ɔ n s ɪ
ანოტაცია	ɑ n ɔ tʼ ɑ t s ɪ ɑ
ანტაგონიზმი	ɑ n tʼ ɑ ɡ ɔ n ɪ z m ɪ
ანტაგონისტურად	ɑ n tʼ ɑ ɡ ɔ n ɪ s tʼ u r ɑ d
ანტარქტიკული	ɑ n tʼ ɑ r kʰ tʼ ɪ kʼ u l ɪ
ანტიბიოტიკი	ɑ n tʼ ɪ b ɪ ɔ tʼ ɪ kʼ ɪ
ანტიგმირი	ɑ n tʼ ɪ ɡ m ɪ r ɪ
ანტივირუსი	ɑ n tʼ ɪ v ɪ r u s ɪ
ანტიკვარი	ɑ n tʼ ɪ kʼ v ɑ r ɪ
ანტიკვარული	ɑ n tʼ ɪ kʼ v ɑ r u l ɪ
ანტიკური	ɑ n tʼ i kʼ u r i
ანტიკურობა	ɑ n tʼ i kʼ u r ɔ b ɑ
ანტილოპა	ɑ n tʼ ɪ l ɔ pʼ ɑ
ანტიპათია	ɑ n tʼ ɪ pʼ ɑ tʰ ɪ ɑ
ანტიპათიური	ɑ n tʼ ɪ pʼ ɑ tʰ ɪ u r ɪ
ანტისხეული	ɑ n tʼ ɪ s χ ɛ u l ɪ
ანტიციკლონი	ɑ n tʼ ɪ t s ɪ kʼ l ɔ n ɪ
ანტონი	ɑ n tʼ ɔ n i
ანტონიმი	ɑ n tʼ ɔ n ɪ m ɪ
ანტრაქტი	ɑ n tʼ r ɑ kʰ tʼ ɪ
ანტრესოლი	ɑ n tʼ r ɛ s ɔ l ɪ
ანტურაჟი	ɑ n tʼ u r ɑ ʒ ɪ
ანუგეშებს	ɑ n u ɡ ɛ ʃ ɛ b s
ანძა	ɑ n d z ɑ
ანძრევს	ɑ n d z r ɛ v s
ანჯამა	ɑ n d ʒ ɑ m ɑ
აოთხმაგებს	ɑ ɔ tʰ x m ɑ ɡ ɛ b s
აორისტი	ɑ ɔ r ɪ s tʼ ɪ
აორტა	ɑ ɔ r tʼ ɑ
აპათია	ɑ pʼ ɑ tʰ ɪ ɑ
აპათიურად	ɑ pʼ ɑ tʰ ɪ u r ɑ d
აპათიური	ɑ pʼ ɑ tʰ ɪ u r ɪ
აპარატად	ɑ pʼ ɑ r ɑ tʼ ɑ d
აპარატი	ɑ pʼ ɑ r ɑ tʼ ɪ
აპარატით	ɑ pʼ ɑ r ɑ tʼ ɪ tʰ
აპარატის	ɑ pʼ ɑ r ɑ tʼ ɪ s
აპარატმა	ɑ pʼ ɑ r ɑ tʼ m ɑ
აპარატო	ɑ pʼ ɑ r ɑ tʼ ɔ
აპარატს	ɑ pʼ ɑ r ɑ tʼ s
აპენდიქსი	ɑ pʼ ɛ n d ɪ kʰ s ɪ
აპენდიციტი	ɑ pʼ ɛ n d ɪ t s ɪ tʼ ɪ
აპირებს	ɑ pʼ i r ɛ b s
აპკოვანი	ɑ pʼ kʼ ɔ v ɑ n ɪ
აპლიკაცია	ɑ pʼ l i kʼ ɑ t s i ɑ
აპლოდისმენტი	ɑ pʼ l ɔ d ɪ s m ɛ n tʼ ɪ
აპლომბი	ɑ pʼ l ɔ m b ɪ
აპნისი	ɑ pʼ n i s i
აპოგეა	ɑ pʼ ɔ ɡ ɛ ɑ
აპოკალიფსი	ɑ pʼ ɔ kʼ ɑ l ɪ pʰ s ɪ
აპოკალიფსური	ɑ pʼ ɔ kʼ ɑ l ɪ pʰ s u r ɪ
აპოკრიფული	ɑ pʼ ɔ kʼ r ɪ pʰ u l ɪ
აპოლოგეტი	ɑ pʼ ɔ l ɔ ɡ ɛ tʼ ɪ
აპოლოგეტიკა	ɑ pʼ ɔ l ɔ ɡ ɛ tʼ ɪ kʼ ɑ
აპრილად	ɑ pʼ r ɪ l ɑ d
აპრილი	ɑ pʼ r i l i
აპრილით	ɑ pʼ r ɪ l ɪ tʰ
აპრილის	ɑ pʼ r ɪ l ɪ s
აპრილმა	ɑ pʼ r ɪ l m ɑ
აპრილს	ɑ pʼ r ɪ l s
აპრიორი	ɑ pʼ r ɪ ɔ r ɪ
აპრიორული	ɑ pʼ r ɪ ɔ r u l ɪ
არ	ɑ r
არა	ɑ r ɑ
არააკურატულად	ɑ r ɑ ɑ kʼ u r ɑ tʼ u l ɑ d
არაარსებითი	ɑ r ɑ ɑ r s ɛ b ɪ tʰ ɪ
არაბესკები	ɑ r ɑ b ɛ s kʼ ɛ b ɪ
არაბი	ɑ r ɑ b i
არაბისტი	ɑ r ɑ b ɪ s tʼ ɪ
არაბიძე	ɑ r ɑ b i d z ɛ
არაბული	ɑ r ɑ b u l i
არაბუნებრივად	ɑ r ɑ b u n ɛ b r ɪ v ɑ d
არაბუნებრივი	ɑ r ɑ b u n ɛ b r ɪ v ɪ
არაგონებამახვილურად	ɑ r ɑ ɡ ɔ n ɛ b ɑ m ɑ χ v ɪ l u r ɑ d
არაგონივრულად	ɑ r ɑ ɡ ɔ n ɪ v r u l ɑ d
არაგონივრული	ɑ r ɑ ɡ ɔ n ɪ v r u l ɪ
არაგრამატიკულად	ɑ r ɑ ɡ r ɑ m ɑ tʼ ɪ kʼ u l ɑ d
არაგულწრფელად	ɑ r ɑ ɡ u l t sʼ r pʰ ɛ l ɑ d
არაგულწრფელი	ɑ r ɑ ɡ u l t sʼ r pʰ ɛ l ɪ
არადა	ɑ r ɑ d ɑ
არადამაკმაყოფილებლად	ɑ r ɑ d ɑ m ɑ kʼ m ɑ qʼ ɔ pʰ ɪ l ɛ b l ɑ d
არადამახასიათებლად	ɑ r ɑ d ɑ m ɑ χ ɑ s ɪ ɑ tʰ ɛ b l ɑ d
არადამაჯერებლად	ɑ r ɑ d ɑ m ɑ d ʒ ɛ r ɛ b l ɑ d
არადემოკრატიულად	ɑ r ɑ d ɛ m ɔ kʼ r ɑ tʼ ɪ u l ɑ d
არადიპლომატიურად	ɑ r ɑ d i pʼ l ɔ m ɑ tʼ i u r ɑ d
არადრამატულად	ɑ r ɑ d r ɑ m ɑ tʼ u l ɑ d
არაეთიკურად	ɑ r ɑ ɛ tʰ ɪ kʼ u r ɑ d
არაეთიკური	ɑ r ɑ ɛ tʰ ɪ kʼ u r ɪ
არაეკონომიურად	ɑ r ɑ ɛ kʼ ɔ n ɔ m ɪ u r ɑ d
არაერთხელ	ɑ r ɑ ɛ r tʰ χ ɛ l
არაეფექტური	ɑ r ɑ ɛ pʰ ɛ kʰ tʼ u r i
არავითარი	ɑ r ɑ v i tʰ ɑ r i
არავინ	ɑ r ɑ v ɪ n
არაზუსტად	ɑ r ɑ z u s tʼ ɑ d
არაზუსტი	ɑ r ɑ z u s tʼ i
არათანაბარი	ɑ r ɑ tʰ ɑ n ɑ b ɑ r i
არათანაბრად	ɑ r ɑ tʰ ɑ n ɑ b r ɑ d
არათანმიმდევრულად	ɑ r ɑ tʰ ɑ n m ɪ m d ɛ v r u l ɑ d
არათითი	ɑ r ɑ tʰ i tʰ i
არაკი	ɑ r ɑ kʼ ɪ
არაკომპეტენტურად	ɑ r ɑ kʼ ɔ m pʼ ɛ tʼ ɛ n tʼ u r ɑ d
არაკონსტიტუციურად	ɑ r ɑ kʼ ɔ n s tʼ ɪ tʼ u t s ɪ u r ɑ d
არაკორექტულად	ɑ r ɑ kʼ ɔ r ɛ kʰ tʼ u l ɑ d
არაკორექტული	ɑ r ɑ kʼ ɔ r ɛ kʰ tʼ u l i
არალოგიკურად	ɑ r ɑ l ɔ ɡ ɪ kʼ u r ɑ d
არალოგიკური	ɑ r ɑ l ɔ ɡ ɪ kʼ u r ɪ
არალოიალურად	ɑ r ɑ l ɔ ɪ ɑ l u r ɑ d
არამაგობრულად	ɑ r ɑ m ɑ ɡ ɔ b r u l ɑ d
არამეგობრული	ɑ r ɑ m ɛ ɡ ɔ b r u l ɪ
არამედ	ɑ r ɑ m ɛ d
არამეცნიერულად	ɑ r ɑ m ɛ t s n ɪ ɛ r u l ɑ d
არამზადა	ɑ r ɑ m z ɑ d ɑ
არამიმზიდველად	ɑ r ɑ m ɪ m z ɪ d v ɛ l ɑ d
არამოდურად	ɑ r ɑ m ɔ d u r ɑ d
არამოხდენილად	ɑ r ɑ m ɔ χ d ɛ n ɪ l ɑ d
არამსგავსი	ɑ r ɑ m s ɡ ɑ v s ɪ
არამუსიკალურად	ɑ r ɑ m u s i kʼ ɑ l u r ɑ d
არამყარად	ɑ r ɑ m qʼ ɑ r ɑ d
არამყარი	ɑ r ɑ m qʼ ɑ r ɪ
არამყარობა	ɑ r ɑ m qʼ ɑ r ɔ b ɑ
არანაირად	ɑ r ɑ n ɑ ɪ r ɑ d
არანაირი	ɑ r ɑ n ɑ i r i
არანორმალურად	ɑ r ɑ n ɔ r m ɑ l u r ɑ d
არანორმალური	ɑ r ɑ n ɔ r m ɑ l u r ɪ
არაორაზროვნად	ɑ r ɑ ɔ r ɑ z r ɔ v n ɑ d
არაორგანულად	ɑ r ɑ ɔ r ɡ ɑ n u l ɑ d
არაორგანული	ɑ r ɑ ɔ r ɡ ɑ n u l ɪ
არაოფიციალურად	ɑ r ɑ ɔ pʰ ɪ t s ɪ ɑ l u r ɑ d
არაოფიციალური	ɑ r ɑ ɔ pʰ i t s i ɑ l u r i
არაპატრიოტულად	ɑ r ɑ pʼ ɑ tʼ r ɪ ɔ tʼ u l ɑ d
არაპირდაპირად	ɑ r ɑ pʼ ɪ r d ɑ pʼ ɪ r ɑ d
არაპირდაპირი	ɑ r ɑ pʼ ɪ r d ɑ pʼ ɪ r ɪ
არაპროდუქტიულად	ɑ r ɑ pʼ r ɔ d u kʰ tʼ i u l ɑ d
არაპროპორციულად	ɑ r ɑ pʼ r ɔ pʼ ɔ r t s ɪ u l ɑ d
არარაობა	ɑ r ɑ r ɑ ɔ b ɑ
არარატი	ɑ r ɑ r ɑ tʼ i
არარეალობა	ɑ r ɑ r ɛ ɑ l ɔ b ɑ
არარეალოისტურად	ɑ r ɑ r ɛ ɑ l ɔ ɪ s tʼ u r ɑ d
არარეალურად	ɑ r ɑ r ɛ ɑ l u r ɑ d
არარეალური	ɑ r ɑ r ɛ ɑ l u r ɪ
არარეგულარულად	ɑ r ɑ r ɛ ɡ u l ɑ r u l ɑ d
არარენტაბელურად	ɑ r ɑ r ɛ n tʼ ɑ b ɛ l u r ɑ d
არარომანტიკულად	ɑ r ɑ r ɔ m ɑ n tʼ ɪ kʼ u l ɑ d
არასავალდებულოდ	ɑ r ɑ s ɑ v ɑ l d ɛ b u l ɔ d
არასაიმედო	ɑ r ɑ s ɑ ɪ m ɛ d ɔ
არასაიმედოდ	ɑ r ɑ s ɑ ɪ m ɛ d ɔ d
არასაკმაო	ɑ r ɑ s ɑ kʼ m ɑ ɔ
არასაკმარისად	ɑ r ɑ s ɑ kʼ m ɑ r ɪ s ɑ d
არასაკმარისი	ɑ r ɑ s ɑ kʼ m ɑ r ɪ s ɪ
არასამართლიანად	ɑ r ɑ s ɑ m ɑ r tʰ l ɪ ɑ n ɑ d
არასანუგეშო	ɑ r ɑ s ɑ n u ɡ ɛ ʃ ɔ
არასასიამოვნოდ	ɑ r ɑ s ɑ s ɪ ɑ m ɔ v n ɔ d
არასასურველი	ɑ r ɑ s ɑ s u r v ɛ l i
არასაჭირო	ɑ r ɑ s ɑ t ʃʼ ɪ r ɔ
არასდროს	ɑ r ɑ s d r ɔ s
არასეზონურად	ɑ r ɑ s ɛ z ɔ n u r ɑ d
არასეზონური	ɑ r ɑ s ɛ z ɔ n u r ɪ
არასექსუალური	ɑ r ɑ s ɛ kʰ s u ɑ l u r ɪ
არასისტემატურად	ɑ r ɑ s ɪ s tʼ ɛ m ɑ tʼ u r ɑ d
არასკრუპულოზურად	ɑ r ɑ s kʼ r u pʼ u l ɔ z u r ɑ d
არასოდეს	ɑ r ɑ s ɔ d ɛ s
არასპეციფიკურად	ɑ r ɑ s pʼ ɛ t s ɪ pʰ ɪ kʼ u r ɑ d
არასპორტულად	ɑ r ɑ s pʼ ɔ r tʼ u l ɑ d
არასრულად	ɑ r ɑ s r u l ɑ d
არასრული	ɑ r ɑ s r u l ɪ
არასრულყოფილად	ɑ r ɑ s r u l qʼ ɔ pʰ ɪ l ɑ d
არასწორად	ɑ r ɑ s t sʼ ɔ r ɑ d
არასწორი	ɑ r ɑ s t sʼ ɔ r ɪ
არატიპიურად	ɑ r ɑ tʼ ɪ pʼ ɪ u r ɑ d
არაფერი	ɑ r ɑ pʰ ɛ r i
არაფერს	ɑ r ɑ pʰ ɛ r s
არაფორმალურად	ɑ r ɑ pʰ ɔ r m ɑ l u r ɑ d
არაფორმალური	ɑ r ɑ pʰ ɔ r m ɑ l u r ɪ
არაფრის	ɑ r ɑ pʰ r i s
არაქათი	ɑ r ɑ kʰ ɑ tʰ i
არაქისი	ɑ r ɑ kʰ i s i
არაყი	ɑ r ɑ qʼ i
არაშთამბეჭდავად	ɑ r ɑ ʃ tʰ ɑ m b ɛ t ʃʼ d ɑ v ɑ d
არაჩვეულებრივად	ɑ r ɑ t ʃ v ɛ u l ɛ b r ɪ v ɑ d
არაჩვეულებრივი	ɑ r ɑ t ʃ v ɛ u l ɛ b r ɪ v ɪ
არაწესიერად	ɑ r ɑ t sʼ ɛ s ɪ ɛ r ɑ d
არაწესიერი	ɑ r ɑ t sʼ ɛ s ɪ ɛ r ɪ
არახელსაყრელად	ɑ r ɑ χ ɛ l s ɑ qʼ r ɛ l ɑ d
არახჩინი	ɑ r ɑ χ t ʃ ɪ n ɪ
არაჯანსაღი	ɑ r ɑ d ʒ ɑ n s ɑ ɣ i
არაჰიგიენურად	ɑ r ɑ h ɪ ɡ ɪ ɛ n u r ɑ d
არაჰიგიენური	ɑ r ɑ h ɪ ɡ ɪ ɛ n u r ɪ
არაჰუმანურად	ɑ r ɑ h u m ɑ n u r ɑ d
არაჰუმანური	ɑ r ɑ h u m ɑ n u r ɪ
არბილებს	ɑ r b i l ɛ b s
არბიტრი	ɑ r b ɪ tʼ r ɪ
არგამოყენება	ɑ r ɡ ɑ m ɔ qʼ ɛ n ɛ b ɑ
არგენტინა	ɑ r ɡ ɛ n tʼ i n ɑ
არგენტინად	ɑ r ɡ ɛ n tʼ ɪ n ɑ d
არგენტინამ	ɑ r ɡ ɛ n tʼ ɪ n ɑ m
არგენტინას	ɑ r ɡ ɛ n tʼ ɪ n ɑ s
არგენტინით	ɑ r ɡ ɛ n tʼ ɪ n ɪ tʰ
არგენტინის	ɑ r ɡ ɛ n tʼ ɪ n ɪ s
არგო	ɑ r ɡ ɔ
არგონავტი	ɑ r ɡ ɔ n ɑ v tʼ i
არგონი	ɑ r ɡ ɔ n i
არგუმენტაცია	ɑ r ɡ u m ɛ n tʼ ɑ t s ɪ ɑ
არგუმენტი	ɑ r ɡ u m ɛ n tʼ ɪ
არგუსი	ɑ r ɡ u s ɪ
არდადეგები	ɑ r d ɑ d ɛ ɡ ɛ b i
არდი	ɑ r d i
არე	ɑ r ɛ
არეგულირებს	ɑ r ɛ ɡ u l i r ɛ b s
არენა	ɑ r ɛ n ɑ
არეულდარეულობა	ɑ r ɛ u l d ɑ r ɛ u l ɔ b ɑ
არეული	ɑ r ɛ u l i
არეულობა	ɑ r ɛ u l ɔ b ɑ
ართავს	ɑ r tʰ ɑ v s
ართურმა	ɑ r tʰ u r m ɑ
არია	ɑ r ɪ ɑ
არიან	ɑ r ɪ ɑ n
არიერგარდი	ɑ r ɪ ɛ r ɡ ɑ r d ɪ
არითმეტიკა	ɑ r ɪ tʰ m ɛ tʼ ɪ kʼ ɑ
არითმეტიკულად	ɑ r ɪ tʰ m ɛ tʼ ɪ kʼ u l ɑ d
არითმეტიკული	ɑ r ɪ tʰ m ɛ tʼ ɪ kʼ u l ɪ
არითმომეტრი	ɑ r ɪ tʰ m ɔ m ɛ tʼ r ɪ
არიმანი	ɑ r ɪ m ɑ n ɪ
არის	ɑ r i s
არისტოკრატი	ɑ r ɪ s tʼ ɔ kʼ r ɑ tʼ ɪ
არისტოკრატია	ɑ r ɪ s tʼ ɔ kʼ r ɑ tʼ ɪ ɑ
არისტოკრატულად	ɑ r ɪ s tʼ ɔ kʼ r ɑ tʼ u l ɑ d
არისტოტელე	ɑ r i s tʼ ɔ tʼ ɛ l ɛ
არიული	ɑ r ɪ u l ɪ
არიფი	ɑ r i pʰ i
არმატურა	ɑ r m ɑ tʼ u r ɑ
არმია	ɑ r m ɪ ɑ
არმიად	ɑ r m ɪ ɑ d
არმიამ	ɑ r m ɪ ɑ m
არმიას	ɑ r m ɪ ɑ s
არმიით	ɑ r m ɪ ɪ tʰ
არმიის	ɑ r m ɪ ɪ s
არმოსავლეთისა	ɑ r m ɔ s ɑ v l ɛ tʰ ɪ s ɑ
არმცოდნე	ɑ r m t s ɔ d n ɛ
არნახული	ɑ r n ɑ χ u l ɪ
არნიკა	ɑ r n ɪ kʼ ɑ
აროდეს	ɑ r ɔ d ɛ s
არომატი	ɑ r ɔ m ɑ tʼ i
არომატულად	ɑ r ɔ m ɑ tʼ u l ɑ d
არომატული	ɑ r ɔ m ɑ tʼ u l i
არომატულობა	ɑ r ɔ m ɑ tʼ u l ɔ b ɑ
არს	ɑ r s
არსად	ɑ r s ɑ d
არსება	ɑ r s ɛ b ɑ
არსებები	ɑ r s ɛ b ɛ b ɪ
არსებითად	ɑ r s ɛ b ɪ tʰ ɑ d
არსებითი	ɑ r s ɛ b i tʰ i
არსებობ	ɑ r s ɛ b ɔ b
არსებობა	ɑ r s ɛ b ɔ b ɑ
არსებული	ɑ r s ɛ b u l ɪ
არსენალი	ɑ r s ɛ n ɑ l ɪ
არსით	ɑ r s i tʰ
არტერია	ɑ r tʼ ɛ r ɪ ɑ
არტერიული	ɑ r tʼ ɛ r ɪ u l ɪ
არტიკულირებულად	ɑ r tʼ ɪ kʼ u l ɪ r ɛ b u l ɑ d
