NG	e̞ n d͡ʑ i
건달	k ʌ̹ n d a̠ ɭ
건답	k ʌ̹ n d a̠ p̚
건더기	k ʌ̹ n d ʌ̹ ɡ i
건드리다	k ɘː n d ɯ ɾ i d a̠
건망증	k ɘː n m a̠ ŋ t͡ɕ͈ ɯ ŋ
건물	k ɘː n m u ɭ
건반	k ʌ̹ n b a̠ n
건배	k ʌ̹ n b e̞
건설	k ɘː n sʰ ʌ̹ ɭ
건설하다	k ɘː n sʰ ʌ̹ ɾ ɦ a̠ d a̠
건의	k ɘː n ɰ i
건전하다	k ʌ̹ n d͡ʑ ʌ̹ n ɦ a̠ d a̠
건조	k ʌ̹ n d͡ʑ o̞
건조기	k ʌ̹ n d͡ʑ o̞ ɡ i
건조하다	k ʌ̹ n d͡ʑ o̞ ɦ a̠ d a̠
건지다	k ʌ̹ n d͡ʑ i d a̠
건초	k ʌ̹ n t͡ɕʰ o̞
건축	k ɘː n t͡ɕʰ u k̚
건축가	k ɘː n t͡ɕʰ u k̚ k͈ a̠
건축물	k ɘː n t͡ɕʰ u ŋ m u ɭ
건축학	k ɘː n t͡ɕʰ u kʰ a̠ k̚
걷기	k ɘː t̚ k͈ i
걷다	k ɘː t̚ t͈ a̠
걷다	k ʌ̹ t̚ t͈ a̠
걸다	k ɘː ɭ d a̠
걸레	k ʌ̹ ɭ ɭ e̞
걸리다	k ʌ̹ ɭ ʎ i d a̠
걸림씨	k ʌ̹ ɭ ʎ i m ɕ͈ i
걸신	k ʌ̹ ɭ ɕ͈ i n
걸어	k ʌ̹ ɾ ʌ̹
걸어가다	k ʌ̹ ɾ ʌ̹ ɡ a̠ d a̠
걸음	k ʌ̹ ɾ ɯ m
걸음걸이	k ʌ̹ ɾ ɯ m ɡ ʌ̹ ɾ i
걸음마	k ʌ̹ ɾ ɯ m m a̠
걸인	k ʌ̹ ɾ i n
걸작	k ʌ̹ ɭ t͡ɕ͈ a̠ k̚
걸쭉하다	k ʌ̹ ɭ t͡ɕ͈ u kʰ a̠ d a̠
걸치다	k ɘː ɭ t͡ɕʰ i d a̠
걸프렌드	k ʌ̹ ɭ pʰ ɯ ɾ e̞ n d ɯ
걸핏걸핏	k ʌ̹ ɭ pʰ i t̚ k͈ ʌ̹ ɭ pʰ i t̚
검	k ɘː m
검다	k ɘː m d a̠
검댕	k ʌ̹ m t͈ e̞ ŋ
검도	k ɘː m d o̞
검독수리	k ʌ̹ m d o̞ k s͈ u ɾ i
검둥오리	k ʌ̹ m d u ŋ o̞ ɾ i
검둥오리사촌	k ʌ̹ m d u ŋ o̞ ɾ i sʰ a̠ t͡ɕʰ o̞ n
검둥이	k ʌ̹ m d u ŋ i
검사	k ɘː m sʰ a̠
검색	k ɘː m sʰ e̞ k̚
검소하다	k ʌ̹ m sʰ o̞ ɦ a̠ d a̠
검술	k ɘː m sʰ u ɭ
검열	k ɘː m ɲ j ʌ̹ ɭ
검은금	k ʌ̹ m ɯ n ɡ ɯ m
검은담비	k ʌ̹ m ɯ n d a̠ m b i
검은댕기해오라기	k ʌ̹ m ɯ n d e̞ ŋ ɡ i ɦ e̞ o̞ ɾ a̠ ɡ i
검은딸기	k ʌ̹ m ɯ n t͈ a̠ ɭ ɡ i
검은머리흰따오기	k ʌ̹ m ɯ n m ʌ̹ ɾ i ʝ i n t͈ a̠ o̞ ɡ i
검은머리흰죽지	k ʌ̹ m ɯ n m ʌ̹ ɾ i ʝ i n d͡ʑ u k̚ t͡ɕ͈ i
검은목논병아리	k ʌ̹ m ɯ n m o̞ ŋ n o̞ n b j ʌ̹ ŋ a̠ ɾ i
검은색	k ɘː m ɯ n sʰ e̞ k̚
검은해오라기	k ʌ̹ m ɯ n ɦ e̞ o̞ ɾ a̠ ɡ i
검정	k ʌ̹ m d͡ʑ ʌ̹ ŋ
검정망둑	k ʌ̹ m d͡ʑ ʌ̹ ŋ m a̠ ŋ d u k̚
검정색	k ʌ̹ m d͡ʑ ʌ̹ ŋ sʰ e̞ k̚
검증	k ɘː m d͡ʑ ɯ ŋ
검질기다	k ɘː m d͡ʑ i ɭ ɡ i d a̠
검찰	k ɘː m t͡ɕʰ a̠ ɭ
검찰청	k ɘː m t͡ɕʰ a̠ ɭ t͡ɕʰ ʌ̹ ŋ
검토	k ɘː m tʰ o̞
겁	k ʌ̹ p̚
겁나다	k ʌ̹ m n a̠ d a̠
겁대가리	k ʌ̹ p̚ t͈ e̞ ɡ a̠ ɾ i
겁먹다	k ʌ̹ m m ʌ̹ k̚ t͈ a̠
겁쟁이	k ʌ̹ p̚ t͡ɕ͈ e̞ ŋ i
것	k ʌ̹ t̚
겉	k ʌ̹ t̚
겉핥다	k ʌ̹ tʰ a̠ ɭ t͈ a̠
게	k e̞ː
게놈	k e̞ n o̞ m
게다가	k e̞ d a̠ ɡ a̠
게르마늄	k e̞ ɾ ɯ m a̠ ɲ j u m
게르만	k e̞ ɾ ɯ m a̠ n
게릴라	k e̞ ɾ i ɭ ɭ a̠
게맛살	k e̞ m a̠ t̚ s͈ a̠ ɭ
게사니	k e̞ sʰ a̠ n i
게시판	k e̞ː ɕʰ i pʰ a̠ n
게우다	k e̞ u d a̠
게으르다	k e̞ ɯ ɾ ɯ d a̠
게으름뱅이	k e̞ ɯ ɾ ɯ m b e̞ ŋ i
게이	k e̞ i
게이기	k e̞ i ɡ i
게이샤	k e̞ i ɕʰ j a̠
게이트	k e̞ i tʰ ɯ
게임	k͈ e̞ i m
게장	k e̞ d͡ʑ a̠ ŋ
게타	k͈ e̞ tʰ a̠
게톱치	k e̞ tʰ o̞ p̚ t͡ɕʰ i
겠	k e̞ t̚
겨누다	k j ʌ̹ n u d a̠
겨드랑이	k j ʌ̹ d ɯ ɾ a̠ ŋ i
겨레	k j ʌ̹ ɾ e̞
겨루다	k j ʌ̹ ɾ u d a̠
겨를	k j ʌ̹ ɾ ɯ ɭ
겨리	k j ʌ̹ ɾ i
겨우	k j ʌ̹ u
겨우살이	k j ʌ̹ u sʰ a̠ ɾ i
겨울	k j ʌ̹ u ɭ
겨자	k j ʌ̹ d͡ʑ a̠
격	k j ʌ̹ k̚
격납고	k j ʌ̹ ŋ n a̠ p̚ k͈ o̞
격려	k j ʌ̹ ŋ ɲ j ʌ̹
격언	k j ʌ̹ ɡ ʌ̹ n
겪다	k j ʌ̹ k̚ t͈ a̠
견과	k j ʌ̹ n ɡ w a̠
견디다	k j ʌ̹ n d i d a̠
견본	k j ɘː n b o̞ n
견습생	k j ʌ̹ n sʰ ɯ p s͈ e̞ ŋ
견해	k j ɘː n ɦ e̞
결	k j ʌ̹ ɭ
결과	k j ʌ̹ ɭ ɡ w a̠
결과적	k j ʌ̹ ɭ ɡ w a̠ d͡ʑ ʌ̹ k̚
결국	k j ʌ̹ ɭ ɡ u k̚
결론	k j ʌ̹ ɭ ɭ o̞ n
결사옹위	k j ʌ̹ ɭ s͈ a̠ o̞ ŋ ɥ i
결석	k j ʌ̹ ɭ s͈ ʌ̹ k̚
결석하다	k j ʌ̹ ɭ s͈ ʌ̹ kʰ a̠ d a̠
결심	k j ʌ̹ ɭ ɕ͈ i m
결심하다	k j ʌ̹ ɭ ɕ͈ i m ɦ a̠ d a̠
결장	k j ʌ̹ ɭ t͡ɕ͈ a̠ ŋ
결점	k j ʌ̹ ɭ t͡ɕ͈ ʌ̹ m
결정	k j ʌ̹ ɭ t͡ɕ͈ ʌ̹ ŋ
결정되다	k j ʌ̹ ɭ t͡ɕ͈ ʌ̹ ŋ d w e̞ d a̠
결정수	k j ʌ̹ ɭ t͡ɕ͈ ʌ̹ ŋ sʰ u
결정짓다	k j ʌ̹ ɭ t͡ɕ͈ ʌ̹ ŋ d͡ʑ i t̚ t͈ a̠
결정하다	k j ʌ̹ ɭ t͡ɕ͈ ʌ̹ ŋ ɦ a̠ d a̠
결정화	k j ʌ̹ ɭ t͡ɕ͈ ʌ̹ ŋ β w a̠
결코	k j ʌ̹ ɭ kʰ o̞
결합	k j ʌ̹ ɾ ɦ a̠ p̚
결합하다	k j ʌ̹ ɾ ɦ a̠ pʰ a̠ d a̠
결핵	k j ʌ̹ ɾ ɦ e̞ k̚
결혼	k j ʌ̹ ɾ β o̞ n
결혼식	k j ʌ̹ ɾ β o̞ n ɕʰ i k̚
결혼하다	k j ʌ̹ ɾ β o̞ n ɦ a̠ d a̠
겸	k j ʌ̹ m
겸손하다	k j ʌ̹ m sʰ o̞ n ɦ a̠ d a̠
겹	k j ʌ̹ p̚
겹다	k j ɘː p̚ t͈ a̠
겹치다	k j ʌ̹ p̚ t͡ɕʰ i d a̠
경계	k j ʌ̹ ŋ ɡ j e̞
경계하다	k j ɘː ŋ ɡ j e̞ ɦ a̠ d a̠
경고	k j ɘː ŋ ɡ o̞
경고하다	k j ɘː ŋ ɡ o̞ ɦ a̠ d a̠
경관	k j ʌ̹ ŋ ɡ w a̠ n
경구	k j ɘː ŋ ɡ u
경기	k j ɘː ŋ ɡ i
경기	k j ʌ̹ ŋ ɡ i
경기도	k j ʌ̹ ŋ ɡ i d o̞
경기장	k j ɘː ŋ ɡ i d͡ʑ a̠ ŋ
경도	k j ɘː ŋ d o̞
경력	k j ʌ̹ ŋ ɲ j ʌ̹ k̚
경련	k j ʌ̹ ŋ ɲ j ʌ̹ n
경로	k j ʌ̹ ŋ n o̞
경마	k j ɘː ŋ m a̠
경매	k j ɘː ŋ m e̞
경멸적	k j ʌ̹ ŋ m j ʌ̹ ɭ t͡ɕ͈ ʌ̹ k̚
경보기	k j ɘː ŋ b o̞ ɡ i
경비원	k j ɘː ŋ b i w ʌ̹ n
경사	k j ɘː ŋ sʰ a̠
경사	k j ʌ̹ ŋ sʰ a̠
경상남도	k j ɘː ŋ sʰ a̠ ŋ n a̠ m d o̞
경상도	k j ʌ̹ ŋ sʰ a̠ ŋ d o̞
경상북도	k j ɘː ŋ sʰ a̠ ŋ b u k̚ t͈ o̞
경색	k j ʌ̹ ŋ sʰ e̞ k̚
경성	k j ʌ̹ ŋ sʰ ʌ̹ ŋ
경시	k j ʌ̹ ŋ ɕʰ i
경어	k j ɘː ŋ ʌ̹
경영	k j ʌ̹ ŋ j ʌ̹ ŋ
경옥	k j ʌ̹ ŋ o̞ k̚
경외	k j ɘː ŋ w e̞
경우	k j ʌ̹ ŋ u
경이롭다	k j ʌ̹ ŋ i ɾ o̞ p̚ t͈ a̠
경이원지	k j ɘː ŋ i w ʌ̹ n d͡ʑ i
경쟁	k j ɘː ŋ d͡ʑ e̞ ŋ
경쟁력	k j ɘː ŋ d͡ʑ e̞ ŋ ɲ j ʌ̹ k̚
경제	k j ʌ̹ ŋ d͡ʑ e̞
경제적	k j ʌ̹ ŋ d͡ʑ e̞ d͡ʑ ʌ̹ k̚
경제학	k j ʌ̹ ŋ d͡ʑ e̞ ɦ a̠ k̚
경죄	k j ʌ̹ ŋ d͡ʑ w e̞
경주	k j ɘː ŋ d͡ʑ u
경찰	k j ɘː ŋ t͡ɕʰ a̠ ɭ
경찰견	k j ɘː ŋ t͡ɕʰ a̠ ɭ ɡ j ʌ̹ n
경찰관	k j ɘː ŋ t͡ɕʰ a̠ ɭ ɡ w a̠ n
경찰서	k j ɘː ŋ t͡ɕʰ a̠ ɭ s͈ ʌ̹
경치	k j ʌ̹ ŋ t͡ɕʰ i
경향	k j ʌ̹ ŋ ʝ j a̠ ŋ
경험	k j ʌ̹ ŋ ɦ ʌ̹ m
경험치	k j ʌ̹ ŋ ɦ ʌ̹ m t͡ɕʰ i
경험하다	k j ʌ̹ ŋ ɦ ʌ̹ m ɦ a̠ d a̠
곁	k j ʌ̹ t̚
곁사슬	k j ʌ̹ t̚ s͈ a̠ sʰ ɯ ɭ
계	k j e̞
계간	k j e̞ ɡ a̠ n
계곡	k j e̞ ɡ o̞ k̚
계곡산개구리	k j e̞ ɡ o̞ k s͈ a̠ n ɡ e̞ ɡ u ɾ i
계급	k j e̞ ɡ ɯ p̚
계단	k j e̞ d a̠ n
계란	k j e̞ ɾ a̠ n
계렬	k j e̞ ɾ j ʌ̹ ɭ
계모	k j e̞ː m o̞
계부	k j e̞ː b u
계사	k j e̞ː sʰ a̠
계산	k j e̞ː sʰ a̠ n
계산기	k j e̞ː sʰ a̠ n ɡ i
계산대	k j e̞ː sʰ a̠ n d e̞
계산서	k j e̞ː sʰ a̠ n sʰ ʌ̹
계산원	k j e̞ː sʰ a̠ n w ʌ̹ n
계산하다	k j e̞ː sʰ a̠ n ɦ a̠ d a̠
계속	k j e̞ː sʰ o̞ k̚
계속되다	k j e̞ː sʰ o̞ k̚ t͈ w e̞ d a̠
계속하다	k j e̞ː sʰ o̞ kʰ a̠ d a̠
계수	k j e̞ː sʰ u
계승	k j e̞ sʰ ɯ ŋ
계시	k j e̞ː ɕʰ i
계시다	k j e̞ː ɕʰ i d a̠
계시판	k j e̞ː ɕʰ i pʰ a̠ n
계약	k j e̞ j a̠ k̚
계약하다	k j e̞ː j a̠ kʰ a̠ d a̠
계열	k j e̞ j ʌ̹ ɭ
계절	k j e̞ː d͡ʑ ʌ̹ ɭ
계절적	k j e̞ː d͡ʑ ʌ̹ ɭ t͡ɕ͈ ʌ̹ k̚
계좌	k j e̞ː d͡ʑ w a̠
계집	k j e̞ː d͡ʑ i p̚
계집년	k j e̞ː d͡ʑ i m ɲ j ʌ̹ n
계집아이	k j e̞ː d͡ʑ i b a̠ i
계집애	k j e̞ː d͡ʑ i b e̞
계층	k j e̞ t͡ɕʰ ɯ ŋ
계통	k j e̞ː tʰ o̞ ŋ
계획	k j e̞ː β w e̞ k̚
계획하다	k j e̞ː β w e̞ kʰ a̠ d a̠
고개	k o̞ ɡ e̞
고객	k o̞ ɡ e̞ k̚
고갱이	k o̞ ɡ e̞ ŋ i
고고학	k o̞ ɡ o̞ ɦ a̠ k̚
고관	k o̞ ɡ w a̠ n
고구려	k o̞ ɡ u ɾ j ʌ̹
고구마	k o̞ː ɡ u m a̠
고국	k o̞ː ɡ u k̚
고급	k o̞ ɡ ɯ p̚
고기	k o̞ ɡ i
고기	k o̞ː ɡ i
고기겹빵	k o̞ ɡ i ɡ j ʌ̹ p̚ p͈ a̠ ŋ
고기떡	k o̞ ɡ i t͈ ʌ̹ k̚
고기후학	k o̞ ɡ i β u ɦ a̠ k̚
고난	k o̞ n a̠ n
고냉이	k o̞ n e̞ ŋ i
고니	k o̞ n i
고대	k o̞ː d e̞
고대교회슬라브어	k o̞ː d e̞ ɡ j o β w e̞ sʰ ɯ ɭ ɭ a̠ b ɯ ʌ̹
고독	k o̞ d o̞ k̚
고독하다	k o̞ d o̞ kʰ a̠ d a̠
고드름	k o̞ d ɯ ɾ ɯ m
고등어	k o̞ d ɯ ŋ ʌ̹
고등학교	k o̞ d ɯ ŋ ɦ a̠ k̚ k͈ j o
고라니	k o̞ ɾ a̠ n i
고래	k o̞ ɾ e̞
고량주	k o̞ ɾ j a̠ ŋ d͡ʑ u
고려	k o̞ ɾ j ʌ̹
고려말	k o̞ ɾ j ʌ̹ m a̠ ɭ
고려하다	k o̞ ɾ j ʌ̹ ɦ a̠ d a̠
고로케	k o̞ ɾ o̞ kʰ e̞
고루	k o̞ ɾ u
고르다	k o̞ ɾ ɯ d a̠
고리	k o̞ ɾ i
고리도롱뇽	k o̞ ɾ i d o̞ ɾ o̞ ŋ ɲ j o ŋ
고리짝	k o̞ ɾ i t͡ɕ͈ a̠ k̚
고릴라	k o̞ ɾ i ɭ ɭ a̠
고립지	k o̞ ɾ i p̚ t͡ɕ͈ i
고마워	k o̞ m a̠ w ʌ̹
고맙다	k o̞ː m a̠ p̚ t͈ a̠
고맙습니다	k o̞ m a̠ p s͈ ɯ m n i d a̠
고모	k o̞ m o̞
고모부	k o̞ m o̞ b u
고무	k o̞ m u
고문	k o̞ m u n
고물	k o̞ m u ɭ
고민	k o̞ m i n
고민하다	k o̞ m i n ɦ a̠ d a̠
고바야시박쥐	k o̞ b a̠ j a̠ ɕʰ i b a̠ k̚ t͡ɕ͈ ɥ i
고발	k o̞ː b a̠ ɭ
고방오리	k o̞ b a̠ ŋ o̞ ɾ i
고백	k o̞ b e̞ k̚
고백하다	k o̞ b e̞ kʰ a̠ d a̠
고뿌	k o̞ p͈ u
고사기	k o̞ sʰ a̠ ɡ i
고산	k o̞ sʰ a̠ n
고생	k o̞ sʰ e̞ ŋ
고생물학	k o̞ sʰ e̞ ŋ m u ɾ ɦ a̠ k̚
고생하다	k o̞ sʰ e̞ ŋ ɦ a̠ d a̠
고소하다	k o̞ː sʰ o̞ ɦ a̠ d a̠
고속	k o̞ sʰ o̞ k̚
고수	k o̞ sʰ u
고스트	k o̞ sʰ ɯ tʰ ɯ
고슴도치	k o̞ sʰ ɯ m d o̞ t͡ɕʰ i
고시	k o̞ː ɕʰ i
고식물학	k o̞ ɕʰ i ŋ m u ɾ ɦ a̠ k̚
고아	k o̞ a̠
고아원	k o̞ a̠ w ʌ̹ n
고약하다	k o̞ː j a̠ kʰ a̠ d a̠
고양이	k o̞ j a̠ ŋ i
고양이고래	k o̞ j a̠ ŋ i ɡ o̞ ɾ e̞
고요	k o̞ j o
고요하다	k o̞ j o ɦ a̠ d a̠
고유	k o̞ j u
고유명사	k o̞ j u m j ʌ̹ ŋ sʰ a̠
고유어	k o̞ j u ʌ̹
고을	k o̞ ɯ ɭ
고이다	k o̞ i d a̠
고인류학	k o̞ i ɭ ʎ j u ɦ a̠ k̚
고작	k o̞ d͡ʑ a̠ k̚
고장	k o̞ d͡ʑ a̠ ŋ
고장	k o̞ː d͡ʑ a̠ ŋ
고전	k o̞ː d͡ʑ ʌ̹ n
고전적	k o̞ː d͡ʑ ʌ̹ n d͡ʑ ʌ̹ k̚
고정	k o̞ d͡ʑ ʌ̹ ŋ
고조	k o̞ d͡ʑ o̞
고조되다	k o̞ d͡ʑ o̞ d w e̞ d a̠
고조선	k o̞ d͡ʑ o̞ sʰ ʌ̹ n
고지	k o̞ d͡ʑ i
고질병	k o̞ d͡ʑ i ɭ p͈ j ʌ̹ ŋ
고집	k o̞ d͡ʑ i p̚
고집불통	k o̞ d͡ʑ i p̚ p͈ u ɭ tʰ o̞ ŋ
고집스럽다	k o̞ d͡ʑ i p s͈ ɯ ɾ ʌ̹ p̚ t͈ a̠
고집하다	k o̞ d͡ʑ i pʰ a̠ d a̠
고체	k o̞ t͡ɕʰ e̞
고추	k o̞ t͡ɕʰ u
고추자지	k o̞ t͡ɕʰ u d͡ʑ a̠ d͡ʑ i
고추장	k o̞ t͡ɕʰ u d͡ʑ a̠ ŋ
고춧가루	k o̞ t͡ɕʰ u t̚ k͈ a̠ ɾ u
고치다	k o̞ t͡ɕʰ i d a̠
고통	k o̞ tʰ o̞ ŋ
고통스럽다	k o̞ tʰ o̞ ŋ sʰ ɯ ɾ ʌ̹ p̚ t͈ a̠
고투	k o̞ː tʰ u
고프다	k o̞ pʰ ɯ d a̠
고해	k o̞ː ɦ e̞
고향	k o̞ ʝ j a̠ ŋ
고혈압	k o̞ ʝ j ʌ̹ ɾ a̠ p̚
고환	k o̞ β w a̠ n
곡	k o̞ k̚
곡물	k o̞ ŋ m u ɭ
곡식	k o̞ k ɕ͈ i k̚
곡예사	k o̞ ɡ j e̞ sʰ a̠
곡조	k o̞ k̚ t͡ɕ͈ o̞
곤난	k o̞ n n a̠ n
곤돌라	k o̞ n d o̞ ɭ ɭ a̠
곤들매기	k o̞ n d ɯ ɭ m e̞ ɡ i
곤란	k o̞ː ɭ ɭ a̠ n
곤란하다	k o̞ː ɭ ɭ a̠ n ɦ a̠ d a̠
곤색	k o̞ n sʰ e̞ k̚
곤이	k o̞ n i
곤충	k o̞ n t͡ɕʰ u ŋ
곤충학	k o̞ n t͡ɕʰ u ŋ ɦ a̠ k̚
곧다	k o̞ t̚ t͈ a̠
곧바로	k o̞ t̚ p͈ a̠ ɾ o̞
곧은창자	k o̞ d ɯ n t͡ɕʰ a̠ ŋ d͡ʑ a̠
곧장	k o̞ t̚ t͡ɕ͈ a̠ ŋ
골	k o̞ ɭ
골	k͈ o̞ ɭ
골격	k o̞ ɭ ɡ j ʌ̹ k̚
골다	k o̞ː ɭ d a̠
골목	k o̞ː ɭ m o̞ k̚
골무	k o̞ ɭ m u
골반	k o̞ ɭ b a̠ n
골상학	k o̞ ɭ sʰ a̠ ŋ ɦ a̠ k̚
골수	k o̞ ɭ s͈ u
골인	k͈ o̞ ɾ i n
골짜기	k o̞ ɭ t͡ɕ͈ a̠ ɡ i
골키퍼	k͈ o̞ ɭ k ç i pʰ ʌ̹
골탄	k o̞ ɭ tʰ a̠ n
골프	k͈ o̞ ɭ pʰ ɯ
곪다	k o̞ː m t͈ a̠
곰	k o̞ː m
곰국	k o̞ː m k͈ u k̚
곰쥐	k o̞ː m d͡ʑ ɥ i
곰팡이	k o̞ m pʰ a̠ ŋ i
곱다	k o̞ː p̚ t͈ a̠
곱다랗다	k o̞ː p̚ t͈ a̠ ɾ a̠ tʰ a̠
곱사	k o̞ p s͈ a̠
곱사연어	k o̞ p s͈ a̠ j ʌ̹ n ʌ̹
곱셈	k o̞ p s͈ e̞ m
곱하다	k o̞ pʰ a̠ d a̠
곳	k o̞ t̚
곳곳	k o̞ t̚ k͈ o̞ t̚
공간	k o̞ ŋ ɡ a̠ n
공갈	k o̞ː ŋ ɡ a̠ ɭ
공갈치다	k o̞ː ŋ ɡ a̠ ɭ t͡ɕʰ i d a̠
공갈하다	k o̞ː ŋ ɡ a̠ ɾ ɦ a̠ d a̠
공개	k o̞ ŋ ɡ e̞
공개하다	k o̞ ŋ ɡ e̞ ɦ a̠ d a̠
공격	k o̞ː ŋ ɡ j ʌ̹ k̚
공격전	k o̞ː ŋ ɡ j ʌ̹ k̚ t͡ɕ͈ ʌ̹ n
공공	k o̞ ŋ ɡ o̞ ŋ
공교	k o̞ː ŋ ɡ j o
공구	k o̞ ŋ ɡ u
공국	k o̞ː ŋ ɡ u k̚
공군	k o̞ ŋ ɡ u n
공급	k o̞ː ŋ ɡ ɯ p̚
공기	k o̞ ŋ ɡ i
공기	k o̞ː ŋ ɡ i
공동	k o̞ː ŋ d o̞ ŋ
공동체	k o̞ː ŋ d o̞ ŋ t͡ɕʰ e̞
공로	k o̞ ŋ n o̞
공룡	k o̞ː ŋ ɲ j o ŋ
공리	k o̞ ŋ n i
공모	k o̞ː ŋ m o̞
공무원	k o̞ ŋ m u w ʌ̹ n
공민	k o̞ ŋ m i n
공병	k o̞ ŋ b j ʌ̹ ŋ
공부자	k o̞ː ŋ b u d͡ʑ a̠
공부하다	k o̞ ŋ b u ɦ a̠ d a̠
공사	k o̞ ŋ sʰ a̠
공산당	k o̞ ŋ sʰ a̠ n d a̠ ŋ
공산주의	k o̞ː ŋ sʰ a̠ n d͡ʑ u ɰ i
공산주의자	k o̞ː ŋ sʰ a̠ n d͡ʑ u ɰ i d͡ʑ a̠
공세	k o̞ː ŋ sʰ e̞
공손	k o̞ ŋ sʰ o̞ n
공손하다	k o̞ ŋ sʰ o̞ n ɦ a̠ d a̠
공수도	k o̞ ŋ sʰ u d o̞
공수병	k o̞ː ŋ sʰ u b j ʌ̹ ŋ
공습	k o̞ ŋ sʰ ɯ p̚
공습	k o̞ː ŋ sʰ ɯ p̚
공식	k o̞ ŋ ɕʰ i k̚
공식어	k o̞ ŋ ɕʰ i ɡ ʌ̹
공알	k o̞ː ŋ a̠ ɭ
공언	k o̞ ŋ ʌ̹ n
공언하다	k o̞ ŋ ʌ̹ n ɦ a̠ d a̠
공업	k o̞ ŋ ʌ̹ p̚
공업화	k o̞ː ŋ ʌ̹ pʰ w a̠
공연	k o̞ ŋ j ʌ̹ n
공용어	k o̞ ŋ j o ŋ ʌ̹
공인	k o̞ ŋ i n
공자	k o̞ ŋ d͡ʑ a̠
공자	k o̞ː ŋ d͡ʑ a̠
공작	k o̞ː ŋ d͡ʑ a̠ k̚
공장	k o̞ ŋ d͡ʑ a̠ ŋ
공정	k o̞ ŋ d͡ʑ ʌ̹ ŋ
공정하다	k o̞ ŋ d͡ʑ ʌ̹ ŋ ɦ a̠ d a̠
공주	k o̞ ŋ d͡ʑ u
공중	k o̞ ŋ d͡ʑ u ŋ
공중전화	k o̞ ŋ d͡ʑ u ŋ d͡ʑ ʌ̹ n β w a̠
공직자	k o̞ ŋ d͡ʑ i k̚ t͡ɕ͈ a̠
공짜	k o̞ ŋ t͡ɕ͈ a̠
공책	k o̞ ŋ t͡ɕʰ e̞ k̚
공통	k o̞ː ŋ tʰ o̞ ŋ
공통점	k o̞ː ŋ tʰ o̞ ŋ t͡ɕ͈ ʌ̹ m
공포	k o̞ː ŋ pʰ o̞
공학	k o̞ ŋ ɦ a̠ k̚
공항	k o̞ ŋ ɦ a̠ ŋ
공해	k o̞ ŋ ɦ e̞
공허하다	k o̞ ŋ ɦ ʌ̹ ɦ a̠ d a̠
공화국	k o̞ː ŋ β w a̠ ɡ u k̚
공황	k o̞ː ŋ β w a̠ ŋ
곶	k o̞ t̚
과	k w a̠
과거	k w a̠ ɡ ʌ̹
과거	k w a̠ː ɡ ʌ̹
과거시제	k w a̠ː ɡ ʌ̹ ɕʰ i d͡ʑ e̞
과금	k w a̠ ɡ ɯ m
과녁	k w a̠ː ɲ j ʌ̹ k̚
과대평가	k w a̠ː d e̞ pʰ j ʌ̹ ŋ ɡ a̠
과두	k w a̠ː d u
과들루쁘	k w a̠ d ɯ ɭ ɭ u p͈ ɯ
과들루프	k w a̠ d ɯ ɭ ɭ u pʰ ɯ
과떼말라	k w a̠ t͈ e̞ m a̠ ɭ ɭ a̠
과로	k w a̠ ɾ o̞
과로사	k w a̠ ɾ o̞ sʰ a̠
과목	k w a̠ m o̞ k̚
과부	k w a̠ː b u
과식	k w a̠ː ɕʰ i k̚
과업	k w a̠ ʌ̹ p̚
과연	k w a̠ː j ʌ̹ n
과일	k w a̠ː i ɭ
과일단물	k w a̠ i ɭ d a̠ n m u ɭ
과자	k w a̠ː d͡ʑ a̠
과장	k w a̠ d͡ʑ a̠ ŋ
과정	k w a̠ː d͡ʑ ʌ̹ ŋ
과제	k w a̠ d͡ʑ e̞
과즙	k w a̠ː d͡ʑ ɯ p̚
과태료	k w a̠ː tʰ e̞ ɾ j o
과테말라	k w a̠ tʰ e̞ m a̠ ɭ ɭ a̠
과팅	k w a̠ tʰ i ŋ
과학	k w a̠ ɦ a̠ k̚
과학관	k w a̠ ɦ a̠ k̚ k͈ w a̠ n
과학자	k w a̠ ɦ a̠ k̚ t͡ɕ͈ a̠
과학적	k w a̠ ɦ a̠ k̚ t͡ɕ͈ ʌ̹ k̚
곽밥	k w a̠ k̚ p͈ a̠ p̚
관개	k w a̠ n ɡ e̞
관객	k w a̠ n ɡ e̞ k̚
관계	k w a̠ n ɡ j e̞
관계대명사	k w a̠ n ɡ j e̞ d e̞ m j ʌ̹ ŋ sʰ a̠
관계어	k w a̠ n ɡ j e̞ ʌ̹
관계없이	k w a̠ n ɡ j e̞ ʌ̹ p ɕ͈ i
관계자	k w a̠ n ɡ j e̞ d͡ʑ a̠
관광	k w a̠ n ɡ w a̠ ŋ
관광객	k w a̠ n ɡ w a̠ ŋ ɡ e̞ k̚
관광학	k w a̠ n ɡ w a̠ ŋ ɦ a̠ k̚
관념	k w a̠ n ɲ j ʌ̹ m
관대하다	k w a̠ n d e̞ ɦ a̠ d a̠
관련	k w a̠ ɭ ʎ j ʌ̹ n
관련되다	k w a̠ ɭ ʎ j ʌ̹ n d w e̞ d a̠
관련성	k w a̠ ɭ ʎ j ʌ̹ n s͈ ʌ̹ ŋ
관련하다	k w a̠ ɭ ʎ j ʌ̹ n ɦ a̠ d a̠
관료제	k w a̠ ɭ ʎ j o d͡ʑ e̞
관리	k w a̠ ɭ ʎ i
