а	ʔ aː
мэлахъо	m a l aː χʷ a
мэлхъогъ	m a l χʷ a ʁ
мэлъэхъу	m a ɬ a χʷ
мэлы	m a ɮ ə
мэлыгьын	m a l ə ɡʲ ə n
мэлыджын	m a l ə d͡ʒ ə n
мэлыл	m a l ə l
мэлылъфэгъумаз	m a l ə ɬ f a ʁʷ ə m aː z
мэлыхъогъу	m a ɮ ə χʷ a ʁʷ
мэлэкӏэн	m a l a t͡ʃ a n
мэлэлэн	m a l a l a n
мэлӏэн	m a ɬ ʼ a n
мэмэхъэшэн	m a m a χ a ʃ a n
мэмэхын	m a m a x ə n
мэнэкъокъон	m a n a qʷ a qʷ a n
мэон	m a w a n
мэпкӏэн	m a p t͡ʃ ʼ a n
мэплъын	m a p ɬ ə n
мэплъэн	m a p ɬ ə n
мэпрэзэн	m a p r a z a n
мэпсэлъэн	m a p s a ɬ a n
мэпхъэпхъэн	m a p χ a p χ a n
мэпцӏын	m a p t͡s ʼ ə n
мэпшъын	m a p ʂ ə n
мэпщын	m a p ɕ ə n
мэпщэн	m a p ɕ a n
мэпыгьэн	m a p ə ɡʲ a n
мэпыджэн	m a p ə d͡ʒ ə n
мэпӏэркӏьын	m a p ʼ a r kʲ ə n
мэпӏэстхъэн	p ʼ a s χ a n
мэр	m a r
мэракӏуапцӏэ	m a r aː kʷ ʼ aː t͡s ʼ a
мэрсысын	m a r s ə s ə n
мэстын	m a s t ə n
мэсэкъатын	m a s a q aː t ə n
мэсэн	m a s a n
мэсӏын	s ʼ ə n
мэсӏэсӏэн	m a s ʼ a s ʼ a n
мэтазэ	m a t aː z a
мэткӏун	m a t kʷ ʼ ə n
мэтхъэжьын	m a t χ a ʑ ə n
мэтхытхын	m a t x ə t x ə n
мэтхьаусхэн	m a t ħ aː w ə s x a n
мэтхэн	m a t x a n
мэтэкхъуайэ	m a t a qʷ aː j a
мэтэкхъуайэ	m a t a q͡χʷ aː j a
мэтэкхъуайэ	m a t a χʷ aː j a
мэтэкъон	m a t a qʷ a n
мэтэн	m a t a n
мэтӏатӏэ	m a t ʼ aː t ʼ a
мэтӏыгъо	m a t ə ʁʷ a
мэтӏыгъон	m ə t ʼ ə ʁʷ a m
мэтӏэрэхьын	m a t ʼ a r a ħ ə n
мэтӏэтӏэн	m a t ʼ a t ʼ a n
мэу	m a w
мэубэн	m a w b a n
мэубэтэн	m a w ə b a t a n
мэузын	m a w z ə n
мэукӏын	m a w t͡ʃ ʼ ə n
мэукӏытэн	m a w t͡ʃ ə t a n
мэулъыен	m a w ə ɬ ə j a n
мэулэлэн	m a w ə l a l a n
мэунэзэн	m a w n a z a n
мэунэхъун	m a w n a χʷ ʁ n
мэутэшъон	w t a ʃʷ a n
мэутӏэтӏэн	w ə t ʼ a t ʼ a n
мэухын	m a w x ə n
мэуцун	m a w t͡sʷ ə n
мэуцӏэлэн	m a w t͡s ʼ a l a n
мэушъы	m a w ʂ ə
мэушӏоин	m a w ʂʷ a j ə n
мэуэн	m a w a n
мэуӏэн	m a w ʔ a n
мэфэзакъу	m a f a z aː qʷ
мэфэку	m a f a kʷ
мэфэкӏ	m a f a t ʃ ʼ
мэхагъ	m a x aː ʁ
мэхапӏэ	m a x aː p ʼ a
мэхъагьэ	m a χ aː ɡʲ a
мэхъаджэ	m a χ aː d͡ʒ a
мэхъужьын	m a χʷ ə ʑ ə n
мэхъун	m a χʷ ə n
мэхъут	m a χʷ ə t
мэхъыен	m a χ ə j a n
мэхъэшэн	m a χ a ʃ a n
мэхын	m a x ə n
мэхьанэ	m a ħ aː n a
мэхэр	m a x a r
мэцохъон	m a t͡sʷ a χʷ a n
мэцыгъон	m a t͡s ə ʁʷ a n
мэцӏын	m a t͡s ʼ ə n
мэцӏыон	m a t͡s ʼ ə w a n
мэцӏыцӏын	m a t͡s ʼ ə t͡s ʼ ə n
мэцӏэлъэн	m a t͡s ʼ a ɬ a n
мэцӏэтхъун	m a t͡s ʼ a t χʷ ə n
мэцӏэтхын	m a t͡s ʼ a t x ə n
мэцӏэцӏэн	m a t͡s ʼ a t͡s ʼ a n
мэцӏэшъутэн	m a t͡s ʼ a ʃʷ t a n
мэчъыен	m a t͡ʃ ə j a n
мэчъыетхъун	m a ʃ t͡ə j a t χʷ ə n
мэчъэн	m a t͡ʂ a n
мэчэн	m a t͡ʃ a n
мэчэрэгъун	m a t͡ʃ a r a ʁʷ ə n
мэчэрэзын	m a t͡ʃ a r a z ə n
мэшто	m a ʃ t o
мэшто	m a ʃ t ə w
мэшто	m ə ʃ t o
мэшто	m ə ʃ t ə w
мэшъоӏун	m a ʃʷ a ʔʷ ə n
мэшъуен	m a ʃʷ ə j a n
мэшъутырэн	j a ʃʷ t ə r ə h
мэшъутырэхьын	m a ʃʷ t ə r a ħ ə n
мэшъухъогъон	ʃʷ ə χʷ a ʁʷ a n
мэшъухъугъон	m a ʃʷ χʷ ə ʁʷ a n
мэшӏоку	m a ʃʷ ʼ a kʷ
мэшӏощыхъу	s ə r n ə t͡ʃ
мэшӏоӏун	m a ʃʷ ʼ a ʔʷ ə n
мэшӏуач	m a ʃʷ ʼ aː t͡ʃ
мэшӏуащэ	m a ʃʷ ʼ aː ɕ a
мэшӏухъогъон	m a ʃʷ ʼ ə χʷ ə ʁʷ a n
мэшӏыкӏьэен	m a ʃ ʼ ə kʲ ʼ a j a n
мэшӏыкӏэен	m a ʃ ʼ ə t͡ʃ ʼ a j a n
мэщтын	m a q ə n
мэщтэн	m a ɕ t a n
мэщынэн	m a ɕ ə n a n
мэӏу	m a ʕʷ
набгъу	n aː b ʁʷ ə
набгъэ	n aː b ʁ a
накӏэ	n aː t͡ʃ ʼ a
налкъут	n aː l qʷ ə t
налъэ	n aː ɬ a
налэ	n aː l a
наныу	n aː n ə w
нао	n aː w a
напсэ	n aː p s a
напцэ	n aː p t͡s a
напэ	n aː p a
нарт	n aː r t
нарэ	n aː r a
насып	n aː s ə p
насыпынчъ	n aː s ə p ə n t͡ʂ
насыпынчъэ	n aː s ə p ə n t͡ʂ
нат	n aː t
натрыф	n aː t r ə f
натыф	n aː t ə f
натӏэ	n aː t ʼ a
нафэ	n aː f a
нахъутэ	n aː χʷ t a
нахь	n aː ħ
нахьиу	n aː ħ j ə w
нахьыбэрэ	n aː ħ ə b a r a
нахьыбэрэм	n aː ħ ə b a r a m
нахьышӏу	n aː ħ ə ʃʷ ʼ
нахэ	n aː x a
нацэӏуцэ	n a t s a ʔʷ t s a
нашхъо	n aː ʃ χʷ a
нашъухъо	n aː ʂʷ χʷ a
нашэ	n aː ʃ a
непэ	n a j p a
нет	n a j t
неущы	n e w ɕ ə
неущымыкӏ	n a j w ɕ ə m ə t͡ʃ ʼ
нухь	n ə w ħ
ны	n ə
ныбачъ	n ə b aː t͡ʂ
ныбгъу	n ə b ʁʷ ə
ныбгъэ	n ə b ʁ a
ныбгъэшъу	n ə b ʁ a ʂʷ
ныбджэгъу	n ə b d͡ʒ a ʁʷ
ныбжь	n ə b ʑ
ныбжьи	n ə b ʑ ə
ныбжьыкӏэ	n ə b ʑ ə t͡ʃ ʼ a
ныбжьэгъу	n ə b ʑ a ʁʷ
ныбыдж	n ə b ə d͡ʒ
ныбэ	n ə b a
ныбэузы	n ə b a w ə z ə
ныкъо	n ə qʷ a
ныкъолӏагъэ	n ə qʷ a ɬ ʼ aː ʁ a
ныкъуалӏэ	n ə qʷ aː ɬ ʼ a
нынэпӏос	n ə n a pʷ ʼ a s
нынэпӏэс	n ə n a p ʼ a s
ныо	n ə w a
ныожъ	n ə w a ʐ
нып	n ə p
ныпсӏэ	n ə p sˤ ʼ a
нысащэ	n ə s aː ɕ a
нысхъапэ	n ə s χ aː p a
нысэ	n ə s a
нысэпхъапэ	n ə s a p χ aː p a
нысэщэджэгу	n əː s a ɕ a d͡ʒ a ɡʷ
ныӏэ	n ə ʔ a
ныӏэп	n ə ʔ a p
нэбгъэ	n a b ʁ a
нэбгы	n a b ɣ ə
нэбгыр	n a b ɣ ə r
нэбзый	n a b z ə j
нэбзыц	n a b z ə t͡s
нэгу	n a ɡʷ
нэгуихыгъэу	n a ɡʷ i x ə ʁ a w
нэгушъо	n a ɡʷ ə ʃʷ a
нэгушъоутын	n a ɡʷ ə ʃʷ a w t ə n
нэгушӏу	n a ɡʷ ə ʃʷ ʼ
нэгъунджэ	n a ʁʷ ə n d͡ʒ a
нэгъургьэ	n a ʁʷ ə r ɡʲ a
нэгъуцу	n a ʁʷ ə t͡ʃʷ
нэгъучӏыц	n a ʁʷ t͡ʂ ʼ ə t͡s a
нэгъучӏыцэ	n a ʁʷ t͡ʂ ʼ ə t͡s a
нэгъэцӏыу	n a ʁ a t͡s ʼ ə w
нэдэлъфыбзэ	n a d a ɬ f ə b z a
нэз	n a z ə
нэзы	n a z ə
нэзэжъу	n a z a ʒʷ
нэкулъ	n a kʷ ə ɬ
нэкъокъон	n a qʷ a qʷ a n
нэкъыгъэ	n a q ə ʁ a
нэкьыхьытх	n a kʲ ə ħ ə t x
нэкӏап	n a t͡ʃ ʼ aː p
нэкӏо	n a kʷ ʼ a
нэкӏубгъу	n a kʷ ʼ b ʁʷ
нэкӏушъу	n a kʷ ʼ ə ʂʷ
нэкӏушъхь	n a kʷ ʼ ə ʂ ħ
нэкӏы	n a t͡ʃ ʼ ə
нэкӏын	n a t͡ʃ ʼ ə n
нэкӏышъо	n a k ʼ ə ʃʷ a
нэкӏьышъо	n a k ʼ ə ʃʷ a
нэкӏьэон	n a kʲ ʼ a w a n
нэкӏэбыдз	n a kʲ ʼ a b ə d͡z
нэкӏэон	n a t͡ʃ ʼ a w a n
нэкӏэтӏэр	n a kʲ ʼ a tˤ ʼ a r
нэмаздэкъ	n a m aː z d a q
нэмазэ	n a m aː z a
нэмкӏ	n a m t͡ʃ ʼ
нэмкӏыр	n a m t͡ʃ ʼ ə r
нэмыкӏ	n a m ə t͡ʃ ʼ
нэмыкӏыр	n a m ə t͡ʃ ʼ ə r
нэмысыпэу	n a m ə s ə p a w
нэмыӏэкӏэ	n a m ə ʔ a t͡ʃ ʼ a
нэнэжъ	n a n a ʐ
нэпашъо	n a p aː ʃʷ a
нэпкъы	n a p q ə
нэплъэгъу	n a p ɬ a ʁʷ
нэпс	n a p s
нэпх	n a p x
нэпцӏы	n a p t͡s ʼ ə
нэпчыхьэ	n a p t͡ʃ ə ħ a
нэпчэдыжьы	n a p t͡ʃ a d ə ʑ ə
нэпэ	n a p a
нэпэон	n a p a w a n
нэпэталхьэ	n a p a t aː l ħ a
нэпэшъоон	n a p a ʃʷ a w a n
нэпэшъоутын	n a ɡʷ ə ʃʷ a w t ə n
нэпэӏэплъэкӏ	n a p a ʔ a p ɬ a t͡ʃ ʼ
нэриплъ	n a r ə j p ɬ
нэрыплъ	n a r ə p ɬ
нэсын	n a s ə n
нэугъэупӏэпӏэгъу	n a w ʁ a w p ʼ a p ʼ a ʁʷ
нэутх	n a w ə t x
нэущы	n a w ɕ ə
нэущымыщкӏь	n a w ɕ ə m ə ɕ kʲ ʼ
нэфнэ	n a f n a
нэфы	n a f ə
нэфын	n a f ə n
нэхай	n a x aː j
нэхаш	n a x aː ʃ
нэхъут	n a χʷ ə t
нэхь	n a ħ
нэхьышӏу	n a ħ ə ʃʷ ʼ ə
нэчыхь	n a t͡ʃ ə ħ
нэчыхьытх	n a t͡ʃ ə ħ ə t x
нэчэпэ	n a t͡ʃ a p a
нэшакӏэ	n a ʃ aː kʲ ʼ a
нэшан	n a ʃ aː n
нэшанэ	n a ʃ aː n
нэшхъэигъу	n a ʃ χ a j ə ʁʷ
нэшхъэй	n a ʃ χ a j
нэшъу	n a ʂʷ ə
нэшэбэгу	n a ʃ a b a ɡʷ
нэшэгъожь	n a ʃ a ʁʷ a ʑ
нэшӏошӏу	n a ʃʷ ʼ a ʃʷ ʼ
нэӏазэ	n a ʔ aː z a
нэӏаплъэкӏ	n a ʔ aː p ɬ a t͡ʃ ʼ
нэӏу	n a ʔʷ
нэӏуасэ	n a ʔʷ aː s a
нэӏэбэсын	n a ʔ a b a s ə n
о	w a
обзэгъу	w a b z a ʁʷ
оды	w a d ə
одыджын	w a d ə d͡ʒ ə n
ожъубанэхьэмлыу	w a ʐʷ b aː n a ħ a m l ə w
ожьы	w a ʑ ə
олъэн	w a ɬ a n
он	w a n
онтэгъу	w a n t a ʁʷ
онэгу	w a n a ɡʷ
опсэу	w a p s a w
оркъ	w a r q
оры	w a r ə
орыжъ	w a r ə ʐ
орэд	w a r a d
орэдаӏу	w a r a d aː ʔʷ
орэдус	w r a d w ə s
орэдыӏон	w a r a d ə ʔʷ a n
орэдыӏу	w a r a d ə ʔʷ
ос	w a s
остыгъ	w a s t ə ʁ
осы	w a s ə
осылӏ	w a s ə ɬ ʼ
осыпсы	w a s ə p s ə
осӏэбыцу	w a s ʔ a b ə t͡sʷ
отыч	w a t ə t͡ʃ
отычыцэ	w a t ə t͡ʃ ə t͡s a
отэгъу	w a t a ʁʷ
ошъогу	w a ʂʷ a ɡʷ
ошъоку	w a ʃʷ a kʷ
ошъолъапсэ	w a ʃʷ a ɬ aː p s a
ошъуапщэ	w a ʂʷ aː p ɕ a
ошэкур	w a ʃ a kʷ ə r
ошӏу	w a ʃʷ ʼ ə
ощхы	w a ɕ x ə
ощы	w a ɕ ə
пагэ	p aː ɣ a
пае	p aː j a
пакъ	p aː q
пакӏо	p aː kʷ ʼ a
пакӏьэ	p aː kʲ ʼ a
пакӏэ	p aː t͡ʃ ʼ a
палътэу	p aː ɬ t a w
панэ	p aː n a
папкӏэ	p aː p t͡ʃ ʼ a
папсӏэ	p aː p s ʼ a
папцӏэ	p aː p t͡s ʼ a
папцӏэ	pʰ aː p t͡s ʼ a
парчъыхь	p aː r t ʂ ə ħ
парчэ	p aː r t͡ʃ a
парэ	p aː r a
пасэ	p aː c a
пахъэ	p aː χ
пачъыхь	p aː t ʂ ə ħ
пачъыхьагъо	p aː t͡ʂ ə ħ aː ʁʷ a
пашъхьэ	p aː ʂ ħ a
пащ	p aː ɕ
паӏо	p aː ʔʷ a
пелыуан	p a j ɮ ə w aː n
пихын	p j ə x ə n
пкъы	p q ə
пкъыгъо	p s ə ʃʷ a
пкъыгъуацӏэ	p q ə ʁʷ aː t͡s ʼ
пкъышъолы	p q ə ʃʷ a l ə
пкъэу	p q a w
пкьэн	p kʲ a n
пкӏантӏэ	p t͡ʃ aː n t ʼ a
пкӏатӏэ	p t͡ʃ ʼ aː t ʼ a
пкӏау	p t͡ʃ aː w
пкӏыкӏэ	p t͡ʃ ə t͡ʃ a
пкӏыхь	p t͡ʃ ə ħ
пкӏыхьапӏ	p t͡ʃ ə ħ aː p ʼ
пкӏышъхьэмышъхьэ	p t͡ʃ ə ʂ ħ a m ə ʂ ħ a
пкӏьэн	p kʲ ʼ a n
пкӏэ	p t͡ʃ ʼ a
пкӏэн	p t͡ʃ ʼ a n
пкӏэнчъ	p t͡ʃ ʼ a n t͡ʂ
пкӏэтэн	p t͡ʃ ʼ a t a n
пкӏэшъэхъу	p t͡ʃ a ʂ a χʷ
плъыжьгьэф	p ɬ ə ʑ ɡʲ a f
плъыжьы	p ɬ ə ʑ ə
плъыжьыбз	p ɬ ə ʑ ə b z
плъыр	p ɬʲ ə r
плъышъо	p ɬ ə ʃʷ a
плъэкӏун	p ɬ a kʷ ʼ ə n
плъэн	p ɬ a n
плэлэжъ	p lˠ a lˠ a ʐ
плӏанэ	p ɬ ʼ aː n a
плӏы	p ɬ ʼ ə
плӏэмыепкъ	p ɬ ʼ a m ə j a p q
плӏэмый	p ɬ ʼ a m ə j
плӏэнэбзы	p ɬ ʼ a n a b z ə
прилъэшъон	p r ə j ɬ a ʃʷ a n
прэзэн	p r a z a n
псао	p s aː w a
псапэ	p s aː p a
псатхьэ	p s aː t ħ a
псау	p s aː w a
пстэури	p s t a w r i
псы	p s ə
псыбыб	p s ə b ə b
псыгу	p s ə ɡʷ ə
псыгъо	p s ə ʁʷ a
псыгъэхъун	p s ə ʁ a χʷ ə n
псыжъ	p s ə ʐ
псыжъо	p s ə ʐʷ a
псыжъы	p s ə ʐ ə
псыкъефэх	p s ə q a j f a x
псыкъу	p s ə qʷ
псыкьэт	p s ə kʲ a t
псыкӏэ	p s ə t͡ʃ ʼ a
псыкӏэты	p s ə kʲ ʼ a t ə
псыкӏэты	p s ə t͡ʃ ʼ a t ə
псыкӏэу	p s ə t͡ʃ ʼ a w
псылъэхъу	p s ə ɬ a χʷ
псынжъы	p s ə n ʐ ə
псынкӏагъэ	p s ə t͡ʃ ʼ aː ʁ a
псынкӏэ	p s ə n t͡ʃ ʼ a
псынкӏэу	p s ə n t͡ʃ ʼ a w
псынэ	p s ə n a
псысамыр	p s ə s aː m ə r
псытхьэ	p s ə t ħ a
псытхьэгуащэ	p s ə t ħ a ɡʷ aː ɕ a
псыунэ	p s ə w n a
псыунэ	p s ə w ə n a
псыхъо	p s ə χʷ a
псыхъурай	p s ə χʷ ə r aː j
псыхъуэгуащэ	p s ə χʷ a ɡʷ aː ɕ a
псыхьэн	p s ə ħ a n
псыцу	p s ə t͡sʷ a
псычэт	p s ə t͡ʃ a t
псычэтыхъу	p s ə t͡ʃ a t ə χʷ
псышъо	p s ə ʃʷ a
псышъонт	p s ə ʂʷ a n t
псышъуалъэ	p s ə ʃʷ aː ɬ a
псыӏушъо	p s ə ʔʷ ə ʃʷ a
псэ	p s a
псэи	p s a j ə
псэкӏод	p s a kʷ ʼ a d
псэлъыхъо	p s a ɬ ə χʷ a
псэлъыхъон	p s a ɬ ə χʷ ə n
псэлъэн	p s a ɬ a n
псэо	p s a w a
псэолъэшӏ	p s a w a ɬ a ʃ ʼ
псэолъэшӏыпӏ	p s a w a ɬ a ʃ ʼ ə p ʼ
псэонгъэ	p s a w a n ʁ a
псэори	p s a w a r i
псэу	p s a w
псэуагъэ	p s a w aː ʁ a
псэуалъэ	p s a w a ɬ a ʃ ʼ ə p ʼ
псэун	p s a w ə n
псэушъхь	p s a w ʂ ħ
псэхалӏэ	p s a x a ɬ ʼ z
псӏанэ	p s ʼ aː n a
псӏашъухъо	p sˤ ʼ aː ʃʷ χʷ a
псӏы	p sˤ ʼ ə
псӏы	p t͡sˤ ʼ ə
псӏын	p s ʼ ə n
псӏырый	p s ʼ ə r ə j
пхъапэ	p χ aː p a
пхъатэ	p χ aː t a
пхъацӏэ	p χ aː t͡s a
пхъашэ	p χ aː ʃ a
пхъон	p χʷ a n
пхъу	p χʷ ə
пхъуант	p χʷ aː n t
пхъурылъф	p χ ə r ə ɬ f
пхъы	p χ ə
пхъэ	p χ a
пхъэгулъ	b χ a ɡʷ ə ɬ
пхъэжъые	p χ a ʐ ə j
пхъэкӏыпхъ	p χ a t͡ʃ ə p χ
пхъэкӏэн	p χ a t͡ʃ a n
пхъэн	p χ a n
пхъэнкӏыпхъ	p χ a n t͡ʃ ʼ ə p χ
пхъэнтӏэкӏу	p χ a n t ʼ a kʷ ʼ
пхъэнтӏэкӏущыхьэ	p χ a n t ʼ a kʷ ʼ ɕ ə ħ a
пхъэныӏу	p χ a n ə ʔʷ
пхъэтакъэ	p χ a t aː a q a
пхъэтӏэкӏу	p χ a t ʼ a kʷ ʼ
пхъэуӏу	p χ a w ʔʷ ə
пхъэх	p χ a x
пхъэцӏакӏэ	p χ a t͡s ʼ aː t͡ʃ a
пхъэчыпэ	p χ a t͡ʃ ə p a
пхъэшъхьэмышъхь	p χ aː ʂ ħ a m ə ʂ ħ
пхъэшъхьэмышъхьэхэр	p χ a ʂ ħ a m ə ʂ ħ a x a r
пхын	p x ə n
пхыр	p x ə r
пхэ	p x a
пхэдж	p x a d͡ʒ
пхэкӏ	p x a t͡ʃ ʼ
пхэндж	p x a n d͡ʒ
пцае	p t͡s aː j a
пцантхьэ	p t͡s aː n t ħ a
пцатхьэ	p t͡s aː t ħ a
пцум	p t͡ʃʷ ə m
пцы	t͡s ə z a
пцыкъо	p t͡s ə qʷ a
пцыкъу	p t͡s ə qʷ
пцэ	p t͡s a
пцэжъые	p t͡s a ʐ ə j a
пцэкъэнтф	p t͡s a q a n t f
пцӏанэ	p t͡s ʼ aː n a
пцӏапӏэ	p t͡sˤ ʼ aː pˤ ʼ a
пцӏашхъо	p t͡sˤ ʼ aː ʃ χʷ a
пцӏы	p t͡s ʼ ə
пцӏын	p t͡s ʼ ə n
пцӏырый	p t͡s ʼ ə r ə j
пцӏыус	p t͡s ʼ ə w ə s
пцӏэгъоплъ	p t͡sˤ ʼ a ʁʷ a p ɬ
пцӏэун	p t͡s ʼ a w ə m
пчъагъэ	p t͡ʃ aː ʁ a
пчъын	p t͡ʃ ə n
пчъэ	p t͡ʃ a
пчъэпсы	p t͡ʃ a p s ə
пчъэшъхьаӏу	p t͡ʂ a ʂ ħ aː ʔ ²
пчъэӏу	p t͡ʃ a ʔʷ ə
пчъэӏупэ	p t͡ʃ a ʔʷ ə p a
пчы	p t͡ʃ ə
пчыкӏэ	p t͡ʃ ə t͡ʃ ʼ a
пчытӏаркъу	p t͡ʃ ə t ʼ aː r qʷ
пчыхьапэ	p t͡ʃ ə ħ aː p a
пчыхьэ	p t͡ʃ ə ħ a
пчыхьэшъхьашхэ	p t͡ʃ ə ħ a ʂ ħ aː ʃ x a
пчэ	p t͡ʃ a
пчэгу	p t͡ʃ a ɡʷ
пчэдыгъо	p t͡ʃ a d ə ʁʷ a
пчэдыжьы	p t͡ʃ a d ə ʑ ə
пчэдыжьышхэ	p t͡ʃ a d ə ʑ ə ʃ x a
пчэндэхъу	p t͡ʃ a n d a χʷ
пчэны	p t͡ʃ a n ə
пшагъо	p ʃ aː ʁʷ a
пшахъо	p ʃ a χʷ a
пшъашъэ	p ʂ aː ʂ a
пшъэ	p ʂ a
пшъэб	p ʂ a b
пшъэдалхь	p ʂ a d aː l ħ
пшъэдэкӏыжъ	p ʂ a d a t͡ʃ ə ʐ
пшъэдэлъ	p ʂ a d a ɬ
пшъэрылъ	p ʂ a r ə ɬ
пшъэтыкъ	p ʂ a t ə q
пшъэшъэгъу	p ʂ a ʂ a ʁʷ
пшъэшъэжъые	p ʂ a ʂ a ʐ ə j a
пшъэшъэжъый	p ʂ a ʂ a ʐ ə j
пшысэ	p ʃ ə s a
пшэсэн	p ʃ a s a n
пшӏанэ	p ʃ ʼ aː n a
пшӏы	p ʂ ə
пшӏы	p ʃ ʼ ə
пщагъу	p ɕ aː ʁʷ
пщтын	p ɕ t ə n
пщы	p ɕ ə
пщыгъупшын	p ɕ ə ʁʷ ə p ʃ ə n
пщыкъу	p ɕ ə qʷ ə
пщыкӏэ	p ɕ ə t͡ʃ ʼ a
пщылӏы	p ɕ ə ɬ ʼ
пщылӏыгъо	p ɕ ə ɬ ʼ ə ʁʷ a
пщылӏын	p ɕ ə ɬ ʼ ə n
пщын	p ɕ ə n
пщынао	p ɕ ə n aː w a
пщынэ	p ɕ ə n a
пщынэжь	p ɕ ə n a ʑ
пщыпащ	p ɕ ə p aː ɕ
пщэры	p ɕ a r ə
пщэрыхь	p ɕ a r ə ħ
пщэрыхьакӏо	p ɕ a r ə ħ aː kʷ ʼ a
пщэрыхьан	p ɕ a r ə ħ aː n
пщэрыхьапӏэ	p ɕ a r ə ħ aː p ʼ a
пыгъэун	p ə ʁ a w ə n
пыгъэхьан	p ə ʁ a ħ aː n
пыдж	p ə d͡ʒ
пыджэн	p ə d͡ʒ a n
пыдзэгъ	p ə d͡z ʁ
пыдэн	p ə d a n
пыжъ	p ə ʐ
пыжъы	p ə ʐ ə
пызы	p ə z ə
пызын	p ə z ə n
пый	p ə j
пыкьын	p ə kʲ ə n
пыкӏын	p ə kʲ ʼ ə n
пыкӏын	p ə t͡ʃ ʼ ə n
пыкӏьын	p ə kʲ ʼ ə n
пыкӏэрэплъын	p ə t͡ʃ ʼ a r a p ɬ ə n
пыл	p ə l
пылъалъэ	p ə ɬ aː ɬ a
пылъапӏ	p ə ɬ aː p ʼ
пылъапӏэ	p ə ɬ aː p ʼ a
пылъын	p ə ɬ ə n
пылъэн	p ə ɬ a n
пылэлын	p ə ɮ a ɮ ə n
пындж	p ə n d͡ʒ
пынэн	p ə n a n
пыпсыкӏын	p ə p s ə t͡ʃ ʼ ə n
пыскӏьэн	p ə s kʲ a n
пыскӏэн	p ə s t͡ʃ a n
пысын	p ə s ə n
пысӏэн	p ə s ʼ a n
пытапӏэ	p ə tː pˤ ʼ a
пытхъын	p ə t χ ə n
пытын	p ə t ə n
пытэ	p ə t a
пытӏэрын	p ə t ʼ a r ə n
пыукӏын	p ə w t͡ʃ ʼ ə n
пыун	p ə w ə n
пыупкӏын	p ə w p t͡ʃ ʼ ə n
пыут	p ə w ə t
пыуты	p ə w t ə
пыхын	p ə x ə n
пыхьан	p ə ħ aː n
пыцӏэн	p ə t s ʼ a n
пычын	p ə t͡ʃ ə n
пэ	p a
пэбжъакъо	p a b ʐ aː qʷ a
пэбзыджын	p a b z ə d͡ʒ ə n
пэгъодз	p a ʁʷ a d͡z
пэгъокӏын	p a ʁʷ a t͡ʃ ə n
пэгъокӏьын	p a ʁʷ a kʲ ə n
пэгъон	p a ʁʷ aː n a
пэгъуанэ	p a ʁʷ aː n a
пэкъуэ	p a qʷ a
пэкӏо	p a kʷ ʼ a
пэкӏэрэплъын	p ə t͡ʃ ʼ a r a p ɬ ə n
пэлэлэжъ	p a l a l a ʐ
пэмкӏыр	p a m t͡ʃ ə r
пэмэн	p a m a n
пэплъэн	p a p ɬ a n
пэпскъикӏ	p a p s q i t͡ʃ
пэпсы	p a p s ə
пэсакӏо	p a s aː kʷ ʼ
пэсын	p a s ə n
пэтырэ	p a t ə r a
пэхьан	p a ħ aː n
пэцуй	p a t͡sʷ ə j
пэцуй	p a t͡ʃʷ ə j
пэшын	p a ʃ ə n
пэшӏэн	p a ʃ ʼ a n
пэщэн	p a ɕ a m
пэӏоталъхьэ	p a ʔʷ a t aː l ħ a
пэӏоӏожьын	p a ʔʷ a ʔʷ a ʑ ə n
пэӏухъо	p a ʔʷ ə χʷ a
пэӏухъон	p a ʔʷ ə χʷ a n
пӏакӏэ	p ʼ aː t͡ʃ a
пӏалъэ	p ʼ aː ɬ a
пӏастэ	p ʼ aː s t a
пӏастӏэ	pˤ ʼ aː s tˤ ʼ a
пӏо	pʷ ʼ a
пӏонкӏын	pʷ ʼ a n t͡ʃ ʼ ə m
пӏоны	pʷ ʼ a n ə
пӏуаблэ	pʷ ʼ aː b ɮ a
пӏуакӏэ	pʷ ʼ aː t͡ʃ a
пӏуанкӏэ	pʷ ʼ aː n t͡ʃ a
пӏун	pʷ ʼ ə n
пӏупкӏэ	pʷ ʼ ə n t͡ʃ ʼ a
пӏур	pʷ ʼ ə r
пӏын	p ʼ ə n
пӏырагу	p ʼ ə r aː ɡʷ
пӏысакӏо	p ʼ ə s aː kʷ ʼ a
пӏысыгъэжъ	p ʼ ə s ə ʁ a ʐ
пӏысын	p ʼ ə s ə n
пӏэ	p ʼ a
пӏэкӏор	p ʼ a kʷ ʼ a r
пӏэркӏьын	p ʼ a n kʲ ʼ ə m
пӏэстхъэн	p ʼ a s t χ a n
пӏэстӏэкӏэшып	p a s t a t͡ʃ a ʃ ə p
пӏэсхъэн	p ʼ a s χ a n
пӏэтедзэ	p ʼ a t e d͡z a
пӏэтехъо	p ʼ a t e χʷ a
пӏэтын	p ʼ a t ə n
ренэу	r a j n a w
ригъэбылъхьэн	r i ʁ a b ə ɬ ħ a n
ригъэчъэхын	j a ʁ a t͡ʂ a x ə n
ридзын	r ə j d͡ʒ ə n
рилъэшъон	r ə j ɬ a ʃʷ a n
ришъун	r j ə ʃʷ ə n
рсысын	s ə s ə n
рэзэгъэн	r a z a ʁ a n
рэхьат	r a ħ aː t
