а	a
вкоренетост	f k ɔ r ɛ n ɛ t ɔ s t
вкочанетост	f k ɔ t͡ʃ a n ɛ t ɔ s t
влада	v ɫ a d a
владар	v ɫ a d a r
владетелка	v ɫ a d ɛ t ɛ ɫ k a
владејачки	v ɫ a d ɛ j a t͡ʃ k i
владика	v ɫ a d i k a
влажност	v ɫ a ʒ n ɔ s t
влакненце	v ɫ a k n ɛ n t͡s ɛ
влакнест	v ɫ a k n ɛ s t
влакно	v ɫ a k n ɔ
власец	v ɫ a s ɛ t͡s
властољубивост	v ɫ a s t ɔ l u b i v ɔ s t
влашко	v ɫ a ʃ k ɔ
влезен	v l ɛ z ɛ n
влепи	v l ɛ p i
влепува	v l ɛ p u v a
влечко	v l ɛ t͡ʃ k ɔ
влијателност	v l i j a t ɛ ɫ n ɔ s t
вмрежува	v m r ɛ ʒ u v a
внатре	v n a t r ɛ
внатрешен	v n a t r ɛ ʃ ɛ n
внедри	v n ɛ d r i
внедрува	v n ɛ d r u v a
внес	v n ɛ s
внук	v n u k
внуков	v n u k ɔ f
внуче	v n u t͡ʃ ɛ
во	u
во	v ɔ
вовед	v ɔ v ɛ t
воглавно	v ɔ ɡ ɫ a v n ɔ
вода	v ɔ d a
водава	v ɔ d a v a
водам	v ɔ d a m
водана	v ɔ d a n a
водат	v ɔ d a t
водата	v ɔ d a t a
воденичар	v ɔ d ɛ n i t͡ʃ a r
воденичарка	v ɔ d ɛ n i t͡ʃ a r k a
водест	v ɔ d ɛ s t
водете	v ɔ d ɛ t ɛ
води	v ɔ d i
водиве	v ɔ d i v ɛ
водиме	v ɔ d i m ɛ
водине	v ɔ d i n ɛ
водите	v ɔ d i t ɛ
водиш	v ɔ d i ʃ
водиште	v ɔ d i ʃ t ɛ
водо	v ɔ d ɔ
водоводен	v ɔ d ɔ v ɔ d ɛ n
водоотпорност	v ɔ d ɔ ɔ t p ɔ r n ɔ s t
возбуденост	v ɔ z b u d ɛ n ɔ s t
воздржаност	v ɔ z d r̩ ʒ a n ɔ s t
воздух	v ɔ z d u x
воздухопловство	v ɔ z d u x ɔ p ɫ ɔ f s t v ɔ
возила	v ɔ z i ɫ a
возило	v ɔ z i ɫ ɔ
возмутува	v ɔ z m u t u v a
вознемирувачки	v ɔ z n ɛ m i r u v a t͡ʃ k i
воин	v ɔ i n
воинственост	v ɔ i n s t v ɛ n ɔ s t
воинство	v ɔ i n s t v ɔ
вокатив	v ɔ k a t i f
вол	v ɔ ɫ
волан	v ɔ ɫ a n
волнарство	v ɔ ɫ n a r s t v ɔ
волов	v ɔ ɫ ɔ f
волфрам	v ɔ ɫ f r a m
волчиште	v ɔ ɫ t͡ʃ i ʃ t ɛ
волчјак	v ɔ ɫ t͡ʃ j a k
волшебник	v ɔ ɫ ʃ ɛ b n i k
волшебност	v ɔ ɫ ʃ ɛ b n ɔ s t
вон	v ɔ n
вонка	v ɔ ŋ k a
вонредност	v ɔ n r ɛ d n ɔ s t
вообичајува	v ɔ ɔ b i t͡ʃ a j u v a
воодушевеност	v ɔ ɔ d u ʃ ɛ v ɛ n ɔ s t
воопшто	v ɔ ɔ p ʃ t ɔ
воскликнува	v ɔ s k l i k n u v a
воскоса	v ɔ s k ɔ s a
воспаленост	v ɔ s p a l ɛ n ɔ s t
воспалителен	v ɔ s p a l i t ɛ l ɛ n
воспита	v ɔ s p i t a
воспитувач	v ɔ s p i t u v a t͡ʃ
восприемливост	v ɔ s p r i j ɛ m l i v ɔ s t
восприемчивост	v ɔ s p r i j ɛ m t͡ʃ i v ɔ s t
вотка	v ɔ t k a
вошка	v ɔ ʃ k a
вошливост	v ɔ ʃ l i v ɔ s t
воѓе	v ɔ ɟ ɛ
војводство	v ɔ j v ɔ t s t v ɔ
војник	v ɔ j n i k
војниче	v ɔ j n i t͡ʃ ɛ
впечатливост	f p ɛ t͡ʃ a t l i v ɔ s t
впие	f p i j ɛ
вплетува	f p l ɛ t u v a
впрочем	f p r ɔ t͡ʃ ɛ m
вработувач	v r a b ɔ t u v a t͡ʃ
враг	v r a k
вран	v r a n
вранец	v r a n ɛ t͡s
врапченце	v r a p t͡ʃ ɛ n t͡s ɛ
врапчуле	v r a p t͡ʃ u l ɛ
врат	v r a t
врата	v r a t a
вратарка	v r a t a r k a
вратиче	v r a t i t͡ʃ ɛ
вратка	v r a t k a
врач	v r a t͡ʃ
врашки	v r a ʃ k i
враќе	v r a c ɛ
врбов	v r̩ b ɔ f
врв	v r̩ f
врвнојазичен	v r̩ v n ɔ j a z i t͡ʃ ɛ n
врева	v r ɛ v a
вреднувач	v r ɛ d n u v a t͡ʃ
време	v r ɛ m ɛ
врескало	v r ɛ s k a ɫ ɔ
вреснува	v r ɛ s n u v a
вретено	v r ɛ t ɛ n ɔ
вретенце	v r ɛ t ɛ n t͡s ɛ
вреќа	v r ɛ c a
вреќичка	v r ɛ c i t͡ʃ k a
вреќиште	v r ɛ c i ʃ t ɛ
врзе	v r̩ z ɛ
врзоп	v r̩ z ɔ p
врзува	v r̩ z u v a
врие	v r i j ɛ
врне	v r̩ n ɛ
врти	v r̩ t i
врша	v r̩ ʃ a
вршалка	v r̩ ʃ a ɫ k a
вселена	f s ɛ l ɛ n a
всушност	f s u ʃ n ɔ s t
втораче	f t ɔ ɾ a t͡ʃ ɛ
вторник	f t ɔ r n i k
втрча	f t r̩ t͡ʃ a
вулгаризација	v u ɫ ɡ a ɾ i z a t͡s i j a
вулкан	v u ɫ k a n
вујко	v u j k ɔ
вујков	v u j k ɔ f
вујнин	v u j n i n
вујче	v u j t͡ʃ ɛ
вход	f x ɔ t
вчера	f t͡ʃ ɛ ɾ a
вчеравечер	f t͡ʃ ɛ r a v ɛ t͡ʃ ɛ r
вљубеност	v l u b ɛ n ɔ s t
вџашеност	v d͡ʒ a ʃ ɛ n ɔ s t
в’лтава	v ə ɫ t a v a
габа	ɡ a b a
габер	ɡ a b ɛ r
габеров	ɡ a b ɛ ɾ ɔ f
габичка	ɡ a b i t͡ʃ k a
гавран	ɡ a v r a n
гавранов	ɡ a v r a n ɔ f
гавранче	ɡ a v r a n t͡ʃ ɛ
гадливост	ɡ a d l i v ɔ s t
газ	ɡ a s
газдин	ɡ a z d i n
газенце	ɡ a z ɛ n t͡s ɛ
гази	ɡ a z i
галванизација	ɡ a ɫ v a n i z a t͡s i j a
галебов	ɡ a l ɛ b ɔ f
галежност	ɡ a l ɛ ʒ n ɔ s t
ганѕало	ɡ a n d͡z a ɫ ɔ
гатачки	ɡ a t a t͡ʃ k i
гајда	ɡ a j d a
гајдар	ɡ a j d a r
гајдари	ɡ a j d a ɾ i
гајдаџии	ɡ a j d a d͡ʒ i i
гајдаџија	ɡ a j d a d͡ʒ i j a
гајди	ɡ a j d i
генерал	ɡ ɛ n ɛ r a ɫ
генералисимус	ɡ ɛ n ɛ ɾ a l i s i m u s
генетика	ɡ ɛ n ɛ t i k a
генетичарка	ɡ ɛ n ɛ t i t͡ʃ a r k a
генитив	ɡ ɛ n i t i f
геотермален	ɡ ɛ ɔ t ɛ r m a l ɛ n
германец	ɡ ɛ r m a n ɛ t͡s
германка	ɡ ɛ r m a ŋ k a
герунд	ɡ ɛ ɾ u n t
гејша	ɡ ɛ j ʃ a
гиздавост	ɡ i z d a v ɔ s t
гихт	ɡ i x t
главатар	ɡ ɫ a v a t a r
главатарство	ɡ ɫ a v a t a r s t v ɔ
главен	ɡ ɫ a v ɛ n
глагол	ɡ ɫ a ɡ ɔ ɫ
глаголица	ɡ ɫ a ɡ ɔ l i t͡s a
гладен	ɡ ɫ a d ɛ n
гладува	ɡ ɫ a d u v a
глас	ɡ ɫ a s
гласачки	ɡ ɫ a s a t͡ʃ k i
гласеж	ɡ ɫ a s ɛ ʃ
гласилен	ɡ ɫ a s i l ɛ n
гласилка	ɡ ɫ a s i ɫ k a
гласиште	ɡ ɫ a s i ʃ t ɛ
гласничка	ɡ ɫ a s n i t͡ʃ k a
гласче	ɡ ɫ a ʃ t͡ʃ ɛ
гласје	ɡ ɫ a s j ɛ
гледа	ɡ l ɛ d a
гледачки	ɡ l ɛ d a t͡ʃ k i
глекав	ɡ l ɛ k a f
глина	ɡ l i n a
глинен	ɡ l i n ɛ n
глобализација	ɡ ɫ ɔ b a l i z a t͡s i j a
глогов	ɡ ɫ ɔ ɡ ɔ f
гломазност	ɡ ɫ ɔ m a z n ɔ s t
глоса	ɡ ɫ ɔ s a
глувче	ɡ ɫ u f t͡ʃ ɛ
глужд	ɡ ɫ u ʃ t
глупавост	ɡ ɫ u p a v ɔ s t
глушец	ɡ ɫ u ʃ ɛ t͡s
гнаси	ɡ n a s i
гнасотилак	ɡ n a s ɔ t i ɫ a k
гнасотија	ɡ n a s ɔ t i j a
гневност	ɡ n ɛ v n ɔ s t
гнезденце	ɡ n ɛ z d ɛ n t͡s ɛ
гнездо	ɡ n ɛ z d ɔ
гнет	ɡ n ɛ t
гнилост	ɡ n i ɫ ɔ s t
го	ɡ ɔ
говедо	ɡ ɔ v ɛ d ɔ
година	ɡ ɔ d i n a
годинава	ɡ ɔ d i n a v a
годинашен	ɡ ɔ d i n a ʃ ɛ n
годишник	ɡ ɔ d i ʃ n i k
гои	ɡ ɔ i
гол	ɡ ɔ ɫ
голем	ɡ ɔ l ɛ m
големство	ɡ ɔ l ɛ m s t v ɔ
голич	ɡ ɔ l i t͡ʃ
голтнички	ɡ ɔ ɫ t n i t͡ʃ k i
голтнува	ɡ ɔ ɫ t n u v a
голушка	ɡ ɔ ɫ u ʃ k a
голф	ɡ ɔ ɫ f
гомнарски	ɡ ɔ m n a r s k i
гора	ɡ ɔ ɾ a
горе	ɡ ɔ ɾ ɛ
гори	ɡ ɔ ɾ i
горчливост	ɡ ɔ r t͡ʃ l i v ɔ s t
господ	ɡ ɔ s p ɔ t
господарство	ɡ ɔ s p ɔ d a r s t v ɔ
господин	ɡ ɔ s p ɔ d i n
господство	ɡ ɔ s p ɔ t s t v ɔ
госпоѓа	ɡ ɔ s p ɔ ɟ a
гостилница	ɡ ɔ s t i ɫ n i t͡s a
гостилничарка	ɡ ɔ s t i ɫ n i t͡ʃ a r k a
гостопримливост	ɡ ɔ s t ɔ p r i m l i v ɔ s t
гостољубивост	ɡ ɔ s t ɔ l u b i v ɔ s t
готварски	ɡ ɔ t v a r s k i
готварство	ɡ ɔ t v a r s t v ɔ
готвач	ɡ ɔ t v a t͡ʃ
готвачка	ɡ ɔ t v a t͡ʃ k a
готован	ɡ ɔ t ɔ v a n
готовински	ɡ ɔ t ɔ v i n s k i
готовност	ɡ ɔ t ɔ v n ɔ s t
грабливост	ɡ r a b l i v ɔ s t
гравитациски	ɡ r a v i t a t͡s i s k i
гравче	ɡ r a f t͡ʃ ɛ
град	ɡ r a t
града	ɡ r a d a
градација	ɡ r a d a t͡s i j a
градба	ɡ r a d b a
гради	ɡ r a d i
градина	ɡ r a d i n a
градинарка	ɡ r a d i n a r k a
градини	ɡ r a d i n i
градински	ɡ r a d i n s k i
градителка	ɡ r a d i t ɛ ɫ k a
градови	ɡ r a d ɔ v i
гракнува	ɡ r a k n u v a
грам	ɡ r a m
грамада	ɡ r a m a d a
граматика	ɡ r a m a t i k a
граматикализација	ɡ r a m a t i k a l i z a t͡s i j a
грамаѓе	ɡ r a m a ɟ ɛ
граната	ɡ r a n a t a
гранитен	ɡ r a n i t ɛ n
граничник	ɡ r a n i t͡ʃ n i k
гранка	ɡ r a ŋ k a
гранче	ɡ r a n t͡ʃ ɛ
гратче	ɡ r a t t͡ʃ ɛ
граѓанин	ɡ r a ɟ a n i n
грб	ɡ r̩ p
грбавост	ɡ r̩ b a v ɔ s t
грбови	ɡ r̩ b ɔ v i
грбовник	ɡ r̩ b ɔ v n i k
грбоносен	ɡ r̩ b ɔ n ɔ s ɛ n
грбоносец	ɡ r̩ b ɔ n ɔ s ɛ t͡s
грбоносци	ɡ r̩ b ɔ n ɔ s t͡s i
грд	ɡ r̩ t
гребнува	ɡ r ɛ b n u v a
гревче	ɡ r ɛ f t͡ʃ ɛ
грее	ɡ r ɛ ɛ
греота	ɡ r ɛ ɔ t a
греотичка	ɡ r ɛ ɔ t i t͡ʃ k a
грешка	ɡ r ɛ ʃ k a
грижливост	ɡ r i ʒ l i v ɔ s t
гризе	ɡ r i z ɛ
гризнува	ɡ r i z n u v a
грк	ɡ r̩ k
гркинка	ɡ r̩ k i ŋ k a
грлица	ɡ r̩ l i t͡s a
грло	ɡ r̩ ɫ ɔ
грмувче	ɡ r̩ m u f t͡ʃ ɛ
грмушест	ɡ r̩ m u ʃ ɛ s t
грмушка	ɡ r̩ m u ʃ k a
грнец	ɡ r̩ n ɛ t͡s
грнче	ɡ r̩ n̩ t͡ʃ ɛ
гробарски	ɡ r ɔ b a r s k i
гроза	ɡ r ɔ z a
грозје	ɡ r ɔ z j ɛ
грозјенце	ɡ r ɔ z j ɛ n t͡s ɛ
громогласност	ɡ r ɔ m ɔ ɡ ɫ a s n ɔ s t
грофовија	ɡ r ɔ f ɔ v i j a
грубијанство	ɡ r u b i j a n s t v ɔ
група	ɡ r u p a
групација	ɡ r u p a t͡s i j a
групичка	ɡ r u p i t͡ʃ k a
грутка	ɡ r u t k a
грутче	ɡ r u t t͡ʃ ɛ
грција	ɡ r̩ t͡s i j a
грчки	ɡ r̩ t͡ʃ k i
губернија	ɡ u b ɛ r n i j a
губитнички	ɡ u b i t n i t͡ʃ k i
гудачки	ɡ u d a t͡ʃ k i
гуде	ɡ u d ɛ
гужва	ɡ u ʒ v a
гукнува	ɡ u k n u v a
гулаб	ɡ u ɫ a p
гулабарник	ɡ u ɫ a b a r n i k
гулабов	ɡ u ɫ a b ɔ f
гулапче	ɡ u ɫ a p t͡ʃ ɛ
гума	ɡ u m a
гумичка	ɡ u m i t͡ʃ k a
гурабија	ɡ u r a b i j a
гусарски	ɡ u s a r s k i
гусарство	ɡ u s a r s t v ɔ
густ	ɡ u s t
гушав	ɡ u ʃ a f
гушнува	ɡ u ʃ n u v a
гуштер	ɡ u ʃ t ɛ r
гуштерски	ɡ u ʃ t ɛ r s k i
гуштерче	ɡ u ʃ t ɛ r t͡ʃ ɛ
да	d aː
даб	d a p
дабар	d a b a r
даблин	d a b l i n
даблински	d a b l i n s k i
дабов	d a b ɔ f
дабје	d a b j ɛ
давеник	d a v ɛ n i k
дада	d a d a
даде	d a d ɛ
дака	d a k a
дакански	d a k a n s k i
далекоисточен	d a l ɛ k ɔ i s t ɔ t͡ʃ ɛ n
далечност	d a l ɛ t͡ʃ n ɔ s t
дали	d a l i
дамаск	d a m a s k
даночник	d a n ɔ t͡ʃ n i k
дапче	d a p t͡ʃ ɛ
дарежливост	d a r ɛ ʒ l i v ɔ s t
дарителка	d a r i t ɛ ɫ k a
дата	d a t a
датив	d a t i f
дафинов	d a f i n ɔ f
два	d v a
дваесет	d v a ɛ s ɛ t
дваж	d v a ʃ
дванаесет	d v a n a ɛ s ɛ t
двапати	d v a p a t i
двајца	d v a j t͡s a
двесте	d v ɛ s t ɛ
двечки	d v ɛ t͡ʃ k i
двигател	d v i ɡ a t ɛ ɫ
двоженство	d v ɔ ʒ ɛ n s t v ɔ
дволик	d v ɔ l i k
двонасочност	d v ɔ n a s ɔ t͡ʃ n ɔ s t
двополов	d v ɔ p ɔ ɫ ɔ f
двор	d v ɔ r
дворче	d v ɔ r t͡ʃ ɛ
дворјанство	d v ɔ r j a n s t v ɔ
двосмислен	d v ɔ s m i s l ɛ n
двостраност	d v ɔ s t r a n ɔ s t
двоуснен	d v ɔ u s n ɛ n
двојазичност	d v ɔ j a z i t͡ʃ n ɔ s t
двојка	d v ɔ j k a
двојник	d v ɔ j n i k
двојност	d v ɔ j n ɔ s t
двојче	d v ɔ j t͡ʃ ɛ
дебитен	d ɛ b i t ɛ n
деведесет	d ɛ v ɛ d ɛ s ɛ t
деверов	d ɛ v ɛ ɾ ɔ f
девет	d ɛ v ɛ t
деветмина	d ɛ v ɛ t m i n a
деветнаесет	d ɛ v ɛ t n a ɛ s ɛ t
деветпати	d ɛ v ɛ t p a t i
деветстотини	d ɛ v ɛ t s t ɔ t i n i
девиза	d ɛ v i z a
девица	d ɛ v i t͡s a
девијација	d ɛ v i j a t͡s i j a
девојчинство	d ɛ v ɔ j t͡ʃ i n s t v ɔ
дегенерација	d ɛ ɡ ɛ n ɛ r a t͡s i j a
деградација	d ɛ ɡ r a d a t͡s i j a
дегустација	d ɛ ɡ u s t a t͡s i j a
дедов	d ɛ d ɔ f
дедомразовци	d ɛ d ɔ m r a z ɔ f t͡s i
дежурство	d ɛ ʒ u r s t v ɔ
дезинформација	d ɛ z i ɱ f ɔ r m a t͡s i j a
дека	d ɛ k a
декември	d ɛ k ɛ ɱ v r i
деклинациски	d ɛ k l i n a t͡s i s k i
декорација	d ɛ k ɔ r a t͡s i j a
делбен	d ɛ ɫ b ɛ n
делегациска	d ɛ l ɛ ɡ a t͡s i s k a
делегација	d ɛ l ɛ ɡ a t͡s i j a
деливост	d ɛ l i v ɔ s t
деликатност	d ɛ l i k a t n ɔ s t
делка	d ɛ ɫ k a
деловник	d ɛ ɫ ɔ v n i k
делотворност	d ɛ ɫ ɔ t v ɔ r n ɔ s t
делумно	d ɛ ɫ u m n ɔ
делфински	d ɛ ɫ f i n s k i
деменција	d ɛ m ɛ n t͡s i j a
демонски	d ɛ m ɔ n s k i
демонстраторка	d ɛ m ɔ n s t r a t ɔ r k a
демонстрација	d ɛ m ɔ n s t r a t͡s i j a
ден	d ɛ n
дена	d ɛ n a
денар	d ɛ n a r
денари	d ɛ n a ɾ i
денарски	d ɛ n a r s k i
денарче	d ɛ n a r t͡ʃ ɛ
дендрохронологија	d ɛ n d r ɔ x r ɔ n ɔ ɫ ɔ ɡ i j a
денес	d ɛ n ɛ s
денеска	d ɛ n ɛ s k a
денешен	d ɛ n ɛ ʃ ɛ n
денешница	d ɛ n ɛ ʃ n i t͡s a
дени	d ɛ n i
денов	d ɛ n ɔ f
денови	d ɛ n ɔ v i
деновиве	d ɛ n ɔ v i v ɛ
деновине	d ɛ n ɔ v i n ɛ
деновите	d ɛ n ɔ v i t ɛ
денон	d ɛ n ɔ n
денот	d ɛ n ɔ t
денски	d ɛ n s k i
дента	d ɛ n t a
дену	d ɛ n u
депилациски	d ɛ p i ɫ a t͡s i s k i
депо	d ɛ p ɔ
депонија	d ɛ p ɔ n i j a
депортација	d ɛ p ɔ r t a t͡s i j a
дереџе	d ɛ ɾ ɛ d͡ʒ ɛ
дерман	d ɛ r m a n
дерматологија	d ɛ r m a t ɔ ɫ ɔ ɡ i j a
десен	d ɛ s ɛ n
десет	d ɛ s ɛ t
десетка	d ɛ s ɛ t k a
десетмина	d ɛ s ɛ t m i n a
десетпати	d ɛ s ɛ t p a t i
десетче	d ɛ s ɛ t t͡ʃ ɛ
десница	d ɛ s n i t͡s a
десничарка	d ɛ s n i t͡ʃ a r k a
деспот	d ɛ s p ɔ t
деспотство	d ɛ s p ɔ t s t v ɔ
дестилациски	d ɛ s t i ɫ a t͡s i s k i
дестинација	d ɛ s t i n a t͡s i j a
дете	d ɛ t ɛ
детево	d ɛ t ɛ v ɔ
детено	d ɛ t ɛ n ɔ
детето	d ɛ t ɛ t ɔ
детиште	d ɛ t i ʃ t ɛ
детонациски	d ɛ t ɔ n a t͡s i s k i
детонација	d ɛ t ɔ n a t͡s i j a
детски	d ɛ t s k i
детство	d ɛ t s t v ɔ
детуле	d ɛ t u l ɛ
дефинициски	d ɛ f i n i t͡s i s k i
дефлација	d ɛ f ɫ a t͡s i j a
деформација	d ɛ f ɔ r m a t͡s i j a
дехидрација	d ɛ x i d r a t͡s i j a
деца	d ɛ t͡s a
децава	d ɛ t͡s a v a
децана	d ɛ t͡s a n a
децата	d ɛ t͡s a t a
дечиња	d ɛ t͡ʃ i ɲ a
дејствителност	d ɛ j s t v i t ɛ ɫ n ɔ s t
дење	d ɛ ɲ ɛ
диван	d i v a n
дивизма	d i v i z m a
дивокоза	d i v ɔ k ɔ z a
дивјачка	d i v j a t͡ʃ k a
дигитализација	d i ɡ i t a l i z a t͡s i j a
дигнатост	d i ɡ n a t ɔ s t
диграф	d i ɡ r a f
дидактика	d i d a k t i k a
дизајнер	d i z a j n ɛ r
дизентерија	d i z ɛ n t ɛ ɾ i j a
дим	d i m
динамика	d i n a m i k a
динамичност	d i n a m i t͡ʃ n ɔ s t
династички	d i n a s t i t͡ʃ k i
дипли	d i p l i
дипломатија	d i p ɫ ɔ m a t i j a
дипломски	d i p ɫ ɔ m s k i
дирек	d i ɾ ɛ k
директност	d i ɾ ɛ k t n ɔ s t
директорство	d i r ɛ k t ɔ r s t v ɔ
дисертациски	d i s ɛ r t a t͡s i s k i
дисквалификација	d i s k v a l i f i k a t͡s i j a
дискриминација	d i s k r i m i n a t͡s i j a
дислексија	d i s l ɛ k s i j a
дистопија	d i s t ɔ p i j a
дихотомија	d i x ɔ t ɔ m i j a
дихтува	d i x t u v a
дишење	d i ʃ ɛ ɲ ɛ
длабок	d ɫ a b ɔ k
дневник	d n ɛ v n i k
дни	d n i
дниве	d n i v ɛ
днине	d n i n ɛ
дните	d n i t ɛ
дно	d n ɔ
добања	d ɔ b a ɲ a
добивка	d ɔ b i f k a
добие	d ɔ b i j ɛ
добиточен	d ɔ b i t ɔ t͡ʃ ɛ n
добојува	d ɔ b ɔ j u v a
добрина	d ɔ b r i n a
добричува	d ɔ b r i t͡ʃ u v a
добришува	d ɔ b r i ʃ u v a
добро	d ɔ b r ɔ
добро	d ɔˑ β̞ r ɔ̩
добрососедство	d ɔ b r ɔ s ɔ s ɛ t s t v ɔ
добројува	d ɔ b r ɔ j u v a
доварува	d ɔ v a ɾ u v a
довек	d ɔ v ɛ k
довечер	d ɔ v ɛ t͡ʃ ɛ r
довикува	d ɔ v i k u v a
довиткува	d ɔ v i t k u v a
довлекува	d ɔ v l ɛ k u v a
доволно	d ɔ v ɔ ɫ n ɔ
догледува	d ɔ ɡ l ɛ d u v a
догма	d ɔ ɡ m a
догмечува	d ɔ ɡ m ɛ t͡ʃ u v a
договор	d ɔ ɡ ɔ v ɔ r
договори	d ɔ ɡ ɔ v ɔ ɾ i
догодина	d ɔ ɡ ɔ d i n a
догорува	d ɔ ɡ ɔ ɾ u v a
догребува	d ɔ ɡ r ɛ b u v a
додаток	d ɔ d a t ɔ k
додека	d ɔ d ɛ k a
доделка	d ɔ d ɛ ɫ k a
додиплува	d ɔ d i p ɫ u v a
додуша	d ɔ d u ʃ a
дожд	d ɔ ʃ t
дождови	d ɔ ʒ d ɔ v i
дозакопча	d ɔ z a k ɔ p t͡ʃ a
дозволивост	d ɔ z v ɔ l i v ɔ s t
дозрева	d ɔ z r ɛ v a
доигрува	d ɔ i ɡ r u v a
доиспитува	d ɔ i s p i t u v a
доистребува	d ɔ i s t r ɛ b u v a
докажливост	d ɔ k a ʒ l i v ɔ s t
доказ	d ɔ k a s
докастри	d ɔ k a s t r i
докачи	d ɔ k a t͡ʃ i
докинува	d ɔ k i n u v a
доколку	d ɔ k ɔ ɫ k u
докопува	d ɔ k ɔ p u v a
докројува	d ɔ k r ɔ j u v a
докрпува	d ɔ k r̩ p u v a
докршува	d ɔ k r̩ ʃ u v a
доктор	d ɔ k t ɔ r
докторува	d ɔ k t ɔ ɾ u v a
доктрина	d ɔ k t r i n a
документација	d ɔ k u m ɛ n t a t͡s i j a
докупува	d ɔ k u p u v a
долговечност	d ɔ ɫ ɡ ɔ v ɛ t͡ʃ n ɔ s t
долгокос	d ɔ ɫ ɡ ɔ k ɔ s
долгометражен	d ɔ ɫ ɡ ɔ m ɛ t r a ʒ ɛ n
долготрајност	d ɔ ɫ ɡ ɔ t r a j n ɔ s t
доле	d ɔ l ɛ
долепи	d ɔ l ɛ p i
должински	d ɔ ɫ ʒ i n s k i
должничка	d ɔ ɫ ʒ n i t͡ʃ k a
долижува	d ɔ l i ʒ u v a
долина	d ɔ l i n a
