わ゙	b a̠̠
アスピリン	a̠ s ɨ̥ᵝ pʲ i ɾʲ ĩ ɴ
アスファルト	a̠ s ɨ̥ᵝ ɸ a̠ ɾ ɯ̟ᵝ t o̞
アスベスト	a̠ s ɨᵝ b e̞ s ɨ̥ᵝ t o̞
アスペ	a̠ s ɨᵝ p e̞
アスペクトひ	a̠ s ɨ̥ᵝ p e̞ k ɯ̟̊ᵝ t o̞ ç i
アスペルギルス	a̠ s ɨᵝ p e̞ ɾ ɯ̟ᵝ ɡʲ i ɾ ɯ̟ᵝ s ɨᵝ
アスンシオン	a̠ s ɨ̃ᵝ ɰ̃ ɕ i õ̞ ɴ
あずける	a̠ z ɨᵝ k e̞ ɾ ɯ̟ᵝ
あずさゆみ	a̠ z ɨᵝ s a̠ j ɯ̟ᵝ mʲ i
あずまうた	a̠ z ɨᵝ m a̠ ɯ̟ᵝ t a̠
あずまくだり	a̠ z ɨᵝ m a̠ k ɯ̟ᵝ d a̠ ɾʲ i
あずまごと	a̠ z ɨᵝ m a̠ ɡ o̞ t o̞
あずまや	a̠ z ɨᵝ m a̠ j a̠
アズレン	a̠ z ɨᵝ ɾ ẽ̞ ɴ
あせくさい	a̠ s e̞ k ɯ̟̊ᵝ s a̠ i
アセチルサリチルさん	a̠ s e̞ t͡ɕ i ɾ ɯ̟ᵝ s a̠ ɾʲ i t͡ɕ i ɾ ɯ̟ᵝ s ã̠ ɴ
アセチレン	a̠ s e̞ t͡ɕ i ɾ ẽ̞ ɴ
アセチレンけいたんかすいそ	a̠ s e̞ t͡ɕ i ɾ ẽ̞ ŋ k e̞ː t ã̠ ŋ k a̠ s ɨᵝ i s o̞
アセティシズム	a̠ s e̞ tʲ i ɕ i z ɨᵝ m ɯ̟ᵝ
アセナフテン	a̠ s e̞ n a̠ ɸ ɯ̟ᵝ t ẽ̞ ɴ
かんしん	k ã̠ ɰ̃ ɕ ĩ ɴ
あせまみれ	a̠ s e̞ m a̠ mʲ i ɾ e̞
あせり	a̠ s e̞ ɾʲ i
あせる	a̠ s e̞ ɾ ɯ̟ᵝ
あせる	a̠ s e̞ ɾ ɯ̟ᵝ
アゼチジン	a̠ z e̞ t͡ɕ i ʑ ĩ ɴ
アゼルバイジャン	a̠ z e̞ ɾ ɯ̟ᵝ b a̠ i ʑ ã̠ ɴ
アゼルバイジャンじん	a̠ z e̞ ɾ ɯ̟ᵝ b a̠ i ʑ ã̠ ɲ̟ d͡ʑ ĩ ɴ
あそこ	a̠ s o̞ k o̞
アソシエーション・フットボール	a̠ s o̞ ɕ i e̞ː ɕ õ̞ ɰ̃ ɸ ɯ̟̊ᵝ t̚ t o̞ b o̞ː ɾ ɯ̟ᵝ
あそびごころ	a̠ s o̞ bʲ i ɡ o̞ k o̞ ɾ o̞
あそびにん	a̠ s o̞ bʲ i ɲ̟ ĩ ɴ
あそびば	a̠ s o̞ bʲ i b a̠
あそぶ	a̠ s o̞ b ɯ̟ᵝ
アゾール	a̠ z o̞ː ɾ ɯ̟ᵝ
あたい	a̠ t a̠ i
あたいする	a̠ t a̠ i s ɨᵝ ɾ ɯ̟ᵝ
あたいりく	a̠ t a̠ i ɾʲ i k ɯ̟ᵝ
あたう	a̠ t a̠ ɯ̟ᵝ
あたえる	a̠ t a̠ e̞ ɾ ɯ̟ᵝ
あたかも	a̠ t a̠ k a̠ m o̞
あたくし	a̠ t a̠ k ɯ̟̊ᵝ ɕ i
あたご	a̠ t a̠ ɡ o̞
あたし	a̠ t a̠ ɕ i
あたたか	a̠ t a̠ t a̠ k a̠
あたたかい	a̠ t a̠ t a̠ k a̠ i
あたたまる	a̠ t a̠ t a̠ m a̠ ɾ ɯ̟ᵝ
あたためる	a̠ t a̠ t a̠ m e̞ ɾ ɯ̟ᵝ
アタック	a̠ t a̠ k̚ k ɯ̟ᵝ
あたまごなし	a̠ t a̠ m a̠ ɡ o̞ n a̠ ɕ i
あたまじらみ	a̠ t a̠ m a̠ ʑ i ɾ a̠ mʲ i
あたまだかがた	a̠ t a̠ m a̠ d a̠ k a̠ ɡ a̠ t a̠
あたらしい	a̠ t a̠ ɾ a̠ ɕ iː
アタリ	a̠ t a̠ ɾʲ i
あたりや	a̠ t a̠ ɾʲ i j a̠
あたる	a̠ t a̠ ɾ ɯ̟ᵝ
あたる	a̠ t a̠ ɾ ɯ̟ᵝ
あだ	a̠ d a̠
あだ	a̠ d a̠
あだ	a̠ d a̠
あだかも	a̠ d a̠ k a̠ m o̞
あだばな	a̠ d a̠ b a̠ n a̠
アダルティ	a̠ d a̠ ɾ ɯ̟ᵝ tʲ i
アダルティー	a̠ d a̠ ɾ ɯ̟ᵝ tʲ iː
アダルトグッズ	a̠ d a̠ ɾ ɯ̟ᵝ t o̞ ɡ ɯ̟ᵝ d̚ d͡z ɨᵝ
あちらこちら	a̠ t͡ɕ i ɾ a̠ k o̞ t͡ɕ i ɾ a̠
あちら	a̠ t͡ɕ i ɾ a̠
あっ	a̠ ʔ
あっか	a̠ k̚ k a̠
あっかん	a̠ k̚ k ã̠ ɴ
わるくち	ɰᵝ a̠ ɾ ɯ̟ᵝ k ɯ̟ᵝ t͡ɕ i
アックス	a̠ k̚ k ɯ̟ᵝ s ɨᵝ
あっけない	a̠ k̚ k e̞ n a̠ i
あっさく	a̠ sː a̠ k ɯ̟ᵝ
あっさぶ	a̠ sː a̠ b ɯ̟ᵝ
あっさり	a̠ sː a̠ ɾʲ i
あっし	a̠ ɕː i
アッシリア	a̠ ɕː i ɾʲ i a̠
あっせい	a̠ sː e̞ː
あっせい	a̠ sː e̞ː
あったかい	a̠ t̚ t a̠ k a̠ i
あたたかい	a̠ t a̠ t a̠ k a̠ i
あたたまる	a̠ t a̠ t a̠ m a̠ ɾ ɯ̟ᵝ
あたためる	a̠ t a̠ t a̠ m e̞ ɾ ɯ̟ᵝ
あっちいけ	a̠ t̚ t͡ɕ i i k e̞
あっというま	a̠ t̚ t o̞ i ɯ̟ᵝ m a̠
あっといわせる	a̠ t̚ t o̞ i ɰᵝ a̠ s e̞ ɾ ɯ̟ᵝ
あっとうてき	a̠ t̚ t o̞ː t e̞ kʲ i
あっとおどろく	a̠ t̚ t o̞ o̞ d o̞ ɾ o̞ k ɯ̟ᵝ
アットホーム	a̠ t̚ t o̞ h o̞ː m ɯ̟ᵝ
あっぱれ	a̠ p̚ p a̠ ɾ e̞
あっぱれ	a̠ p̚ p a̠ ɾ e̞
アッパー	a̠ p̚ p a̠ː
アップ	a̠ p̚ p ɯ̟ᵝ
アップテンポ	a̠ p̚ p ɯ̟ᵝ t ẽ̞ m p o̞
アップライトピアノ	a̠ p̚ p ɯ̟ᵝ ɾ a̠ i t o̞ pʲ i a̠ n o̞
アップル	a̠ p̚ p ɯ̟ᵝ ɾ ɯ̟ᵝ
アップローダー	a̠ p̚ p ɯ̟ᵝ ɾ o̞ː d a̠ː
アップロード	a̠ p̚ p ɯ̟ᵝ ɾ o̞ː d o̞
あつ	a̠ t͡s ɨᵝ
あつあつ	a̠ t͡s ɨᵝ a̠ t͡s ɨᵝ
あつい	a̠ t͡s ɨᵝ i
あつい	a̠ t͡s ɨᵝ i
あつい	a̠ t͡s ɨᵝ i
あつい	a̠ t͡s ɨᵝ i
あつい	a̠ t͡s ɨᵝ i
あつか	a̠ t͡s ɨᵝ k a̠
あつかう	a̠ t͡s ɨᵝ k a̠ ɯ̟ᵝ
あつかましい	a̠ t͡s ɨᵝ k a̠ m a̠ ɕ i i
あつかん	a̠ t͡s ɨᵝ k ã̠ ɴ
あつがみ	a̠ t͡s ɨᵝ ɡ a̠ mʲ i
あつくるしい	a̠ t͡s ɨᵝ k ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ iː
あつさしのぎ	a̠ t͡s ɨᵝ s a̠ ɕ i n o̞ ɡʲ i
あつた	a̠ t͡s ɨᵝ t a̠
あつま	a̠ t͡s ɨᵝ m a̠
あつまる	a̠ t͡s ɨᵝ m a̠ ɾ ɯ̟ᵝ
あつまる	a̠ t͡s ɨᵝ m a̠ ɾ ɯ̟ᵝ
あつめる	a̠ t͡s ɨᵝ m e̞ ɾ ɯ̟ᵝ
かん	k ã̠ ɴ
あつらえる	a̠ t͡s ɨᵝ ɾ a̠ e̞ ɾ ɯ̟ᵝ
あつりょく	a̠ t͡s ɨᵝ ɾʲ o̞ k ɯ̟ᵝ
あつりょくなべ	a̠ t͡s ɨᵝ ɾʲ o̞ k ɯ̟ᵝ n a̠ b e̞
あて	a̠ t e̞
あてこむ	a̠ t e̞ k o̞ m ɯ̟ᵝ
あてじ	a̠ t e̞ ʑ i
あてずっぽう	a̠ t e̞ z ɨᵝ p̚ p o̞ː
あてにげ	a̠ t e̞ ɲ̟ i ɡ e̞
アテネ	a̠ t e̞ n e̞
あてはまる	a̠ t e̞ h a̠ m a̠ ɾ ɯ̟ᵝ
あてはめる	a̠ t e̞ h a̠ m e̞ ɾ ɯ̟ᵝ
あてる	a̠ t e̞ ɾ ɯ̟ᵝ
あてる	a̠ t e̞ ɾ ɯ̟ᵝ
アディスアベバ	a̠ dʲ i s ɨᵝ a̠ b e̞ b a̠
アディダス	a̠ dʲ i d a̠ s ɨᵝ
アデュー	a̠ dʲ ɨᵝː
あと	a̠ t o̞
あとあじ	a̠ t o̞ a̠ ʑ i
あとかぶ	a̠ t o̞ k a̠ b ɯ̟ᵝ
あとがき	a̠ t o̞ ɡ a̠ kʲ i
あとさき	a̠ t o̞ s a̠ kʲ i
あとつぎ	a̠ t o̞ t͡s ɨᵝ ɡʲ i
あとにする	a̠ t o̞ ɲ̟ i s ɨᵝ ɾ ɯ̟ᵝ
あとのまつり	a̠ t o̞ n o̞ m a̠ t͡s ɨᵝ ɾʲ i
あとまわし	a̠ t o̞ m a̠ ɰᵝ a̠ ɕ i
アトム	a̠ t o̞ m ɯ̟ᵝ
あとり	a̠ t o̞ ɾʲ i
アトリエ	a̠ t o̞ ɾʲ i e̞
あどけない	a̠ d o̞ k e̞ n a̠ i
アドバイザー	a̠ d o̞ b a̠ i z a̠ː
アドバイス	a̠ d o̞ b a̠ i s ɨ̥ᵝ
アドバルーン	a̠ d o̞ b a̠ ɾ ɯ̟̃ᵝː ɴ
アドベ	a̠ d o̞ b e̞
アドベンチュア	a̠ d o̞ b ẽ̞ ɲ̟ t͡ɕ ɨᵝ a̠
アドリブ	a̠ d o̞ ɾʲ i b ɯ̟ᵝ
アドレスかいけつプロトコル	a̠ d o̞ ɾ e̞ s ɨᵝ k a̠ i k e̞ t͡s ɨᵝ p ɯ̟ᵝ ɾ o̞ t o̞ k o̞ ɾ ɯ̟ᵝ
アドレナリン	a̠ d o̞ ɾ e̞ n a̠ ɾʲ ĩ ɴ
アナ	a̠ n a̠
あな	a̠ n a̠
アナーキスト	a̠ n a̠ː kʲ i s ɨ̥ᵝ t o̞
アナーキズム	a̠ n a̠ː kʲ i z ɨᵝ m ɯ̟ᵝ
あなうさぎ	a̠ n a̠ ɯ̟ᵝ s a̠ ɡʲ i
アナウンサー	a̠ n a̠ ɯ̟̃ᵝ ɰ̃ s a̠ː
アナウンス	a̠ n a̠ ɯ̟̃ᵝ ɰ̃ s ɨᵝ
アナウンスメント	a̠ n a̠ ɯ̟̃ᵝ ɰ̃ s ɨᵝ m ẽ̞ n t o̞
あながあったらはいりたい	a̠ n a̠ ɡ a̠ a̠ t̚ t a̠ ɾ a̠ h a̠ i ɾʲ i t a̠ i
アナキスト	a̠ n a̠ kʲ i s ɨ̥ᵝ t o̞
アナキズム	a̠ n a̠ kʲ i z ɨᵝ m ɯ̟ᵝ
あなぐま	a̠ n a̠ ɡ ɯ̟ᵝ m a̠
アナグラム	a̠ n a̠ ɡ ɯ̟ᵝ ɾ a̠ m ɯ̟ᵝ
アナコンダ	a̠ n a̠ k õ̞ n d a̠
あなご	a̠ n a̠ ɡ o̞
あなた	a̠ n a̠ t a̠
あなたがた	a̠ n a̠ t a̠ ɡ a̠ t a̠
あなたたち	a̠ n a̠ t a̠ t a̠ t͡ɕ i
あなどり	a̠ n a̠ d o̞ ɾʲ i
あなどる	a̠ n a̠ d o̞ ɾ ɯ̟ᵝ
あなば	a̠ n a̠ b a̠
アナフィラキシー	a̠ n a̠ ɸʲ i ɾ a̠ kʲ i ɕ iː
あなん	a̠ n ã̠ ɴ
アナログ	a̠ n a̠ ɾ o̞ ɡ ɯ̟ᵝ
あにうえ	a̠ ɲ̟ i ɯ̟ᵝ e̞
アニオン	a̠ ɲ̟ i õ̞ ɴ
あにき	a̠ ɲ̟ i kʲ i
アニサキス	a̠ ɲ̟ i s a̠ kʲ i s ɨᵝ
アニサキスしょう	a̠ ɲ̟ i s a̠ kʲ i s ɨᵝ ɕ o̞ː
あにぶん	a̠ ɲ̟ i b ɯ̟̃ᵝ ɴ
アニメ	a̠ ɲ̟ i m e̞
アニメーション	a̠ ɲ̟ i m e̞ː ɕ õ̞ ɴ
アニメーションスタジオ	a̠ ɲ̟ i m e̞ː ɕ õ̞ ɰ̃ s ɨᵝ t a̠ ʑ i o̞
あね	a̠ n e̞
あねうえ	a̠ n e̞ ɯ̟ᵝ e̞
あねき	a̠ n e̞ kʲ i
あねったい	a̠ n e̞ t̚ t a̠ i
あねはづる	a̠ n e̞ h a̠ z ɨᵝ ɾ ɯ̟ᵝ
あねぶん	a̠ n e̞ b ɯ̟̃ᵝ ɴ
あの	a̠ n o̞
アノア	a̠ n o̞ a̠
あのう	a̠ n o̞ː
アノード	a̠ n o̞ː d o̞
あのかた	a̠ n o̞ k a̠ t a̠
あのかたがた	a̠ n o̞ k a̠ t a̠ ɡ a̠ t a̠
あのくたらさんみゃくさんぼだい	a̠ n o̞ k ɯ̟ᵝ t a̠ ɾ a̠ s ã̠ mʲː a̠ k ɯ̟ᵝ s ã̠ m b o̞ d a̠ i
あのね	a̠ n o̞ n e̞
あのひと	a̠ n o̞ ç i̥ t o̞
あのひとたち	a̠ n o̞ ç i̥ t o̞ t a̠ t͡ɕ i
あのよ	a̠ n o̞ j o̞
アノラック	a̠ n o̞ ɾ a̠ k̚ k ɯ̟ᵝ
アバカス	a̠ b a̠ k a̠ s ɨᵝ
あばく	a̠ b a̠ k ɯ̟ᵝ
あばずれ	a̠ b a̠ z ɨᵝ ɾ e̞
あばよ	a̠ b a̠ j o̞
あばら	a̠ b a̠ ɾ a̠
あばれる	a̠ b a̠ ɾ e̞ ɾ ɯ̟ᵝ
あばれる	a̠ b a̠ ɾ e̞ ɾ ɯ̟ᵝ
アパラチアさんみゃく	a̠ p a̠ ɾ a̠ t͡ɕ i a̠ s ã̠ mʲː a̠ k ɯ̟ᵝ
アパルトヘイト	a̠ p a̠ ɾ ɯ̟ᵝ t o̞ h e̞ː t o̞
アパート	a̠ p a̠ː t o̞
あひさん	a̠ ç i s ã̠ ɴ
かも	k a̠ m o̞
あひる	a̠ ç i ɾ ɯ̟ᵝ
あひるすわり	a̠ ç i ɾ ɯ̟ᵝ s ɨᵝ ɰᵝ a̠ ɾʲ i
あび	a̠ bʲ i
あびきょうかん	a̠ bʲ i kʲ o̞ː k ã̠ ɴ
あびこ	a̠ bʲ i k o̞
アビシニアン	a̠ bʲ i ɕ i ɲ̟ i ã̠ ɴ
あびる	a̠ bʲ i ɾ ɯ̟ᵝ
アピ	a̠ pʲ i
アピア	a̠ pʲ i a̠
アピる	a̠ pʲ i ɾ ɯ̟ᵝ
アフォ	a̠ ɸ o̞
アフガニスタン	a̠ ɸ ɯ̟ᵝ ɡ a̠ ɲ̟ i s ɨᵝ t ã̠ ɴ
アフガン	a̠ ɸ ɯ̟ᵝ ɡ ã̠ ɴ
アフターバーナー	a̠ ɸ ɯ̟̊ᵝ t a̠ː b a̠ː n a̠ː
アフタヌーンティー	a̠ ɸ ɯ̟ᵝ t a̠ n ɯ̟̃ᵝː n tʲ iː
アフラ・マズダー	a̠ ɸ ɯ̟ᵝ ɾ a̠ m a̠ z ɨᵝ d a̠ː
アフリカ	a̠ ɸ ɯ̟ᵝ ɾʲ i k a̠
アフリカぞう	a̠ ɸ ɯ̟ᵝ ɾʲ i k a̠ d͡z o̞ː
アフリカとんコレラ	a̠ ɸ ɯ̟ᵝ ɾʲ i k a̠ t õ̞ ŋ k o̞ ɾ e̞ ɾ a̠
アフリカぶたねつ	a̠ ɸ ɯ̟ᵝ ɾʲ i k a̠ b ɯ̟ᵝ t a̠ n e̞ t͡s ɨᵝ
あふれかえる	a̠ ɸ ɯ̟ᵝ ɾ e̞ k a̠ e̞ ɾ ɯ̟ᵝ
あふれでる	a̠ ɸ ɯ̟ᵝ ɾ e̞ d e̞ ɾ ɯ̟ᵝ
あぶ	a̠ b ɯ̟ᵝ
アブダビ	a̠ b ɯ̟ᵝ d a̠ bʲ i
あぶない	a̠ b ɯ̟ᵝ n a̠ i
あぶなっかしい	a̠ b ɯ̟ᵝ n a̠ k̚ k a̠ ɕ iː
あぶら	a̠ b ɯ̟ᵝ ɾ a̠
あぶらつのざめ	a̠ b ɯ̟ᵝ ɾ a̠ t͡s ɨᵝ n o̞ z a̠ m e̞
あぶらとりがみ	a̠ b ɯ̟ᵝ ɾ a̠ t o̞ ɾʲ i ɡ a̠ mʲ i
アブラムシ	a̠ b ɯ̟ᵝ ɾ a̠ m ɯ̟ᵝ ɕ i
あぶらよたか	a̠ b ɯ̟ᵝ ɾ a̠ j o̞ t a̠ k a̠
あぶる	a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ
あぶる	a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ
アプデ	a̠ p ɯ̟ᵝ d e̞
アプライアンス	a̠ p ɯ̟ᵝ ɾ a̠ i ã̠ ɰ̃ s ɨᵝ
アプリケーション	a̠ p ɯ̟ᵝ ɾʲ i k e̞ː ɕ õ̞ ɴ
あへがお	a̠ h e̞ ɡ a̠ o̞
あへん	a̠ h ẽ̞ ɴ
アベック	a̠ b e̞ k̚ k ɯ̟ᵝ
アベノミクス	a̠ b e̞ n o̞ mʲ i k ɯ̟ᵝ s ɨᵝ
あほう	a̠ h o̞ː
あほうどり	a̠ h o̞ː d o̞ ɾʲ i
あほくさい	a̠ h o̞ k ɯ̟ᵝ s a̠ i
アホげ	a̠ h o̞ ɡ e̞
アホづら	a̠ h o̞ z ɨᵝ ɾ a̠
アホロートル	a̠ h o̞ ɾ o̞ː t o̞ ɾ ɯ̟ᵝ
アボカド	a̠ b o̞ k a̠ d o̞
アボガドロていすう	a̠ b o̞ ɡ a̠ d o̞ ɾ o̞ s ɨᵝː
アボガドロすう	a̠ b o̞ ɡ a̠ d o̞ ɾ o̞ s ɨᵝː
アポ	a̠ p o̞
アポイントメント	a̠ p o̞ ĩ n t o̞ m ẽ̞ n t o̞
アポストロフィ	a̠ p o̞ s ɨ̥ᵝ t o̞ ɾ o̞ ɸʲ i
あま	a̠ m a̠
あまい	a̠ m a̠ i
あまいろ	a̠ m a̠ i ɾ o̞
あまえる	a̠ m a̠ e̞ ɾ ɯ̟ᵝ
あまえんぼう	a̠ m a̠ ẽ̞ m b o̞ː
あまおと	a̠ m a̠ o̞ t o̞
あまからい	a̠ m a̠ k a̠ ɾ a̠ i
あまがえる	a̠ m a̠ ɡ a̠ e̞ ɾ ɯ̟ᵝ
あまがつ	a̠ m a̠ ɡ a̠ t͡s ɨᵝ
あまがみ	a̠ m a̠ ɡ a̠ mʲ i
あまぎ	a̠ m a̠ ɡʲ i
かんぞう	k ã̠ n d͡z o̞ː
あまぎ	a̠ m a̠ ɡʲ i
あまくだり	a̠ m a̠ k ɯ̟ᵝ d a̠ ɾʲ i
あまぐつ	a̠ m a̠ ɡ ɯ̟ᵝ t͡s ɨᵝ
あまぐも	a̠ m a̠ ɡ ɯ̟ᵝ m o̞
あます	a̠ m a̠ s ɨᵝ
あまだれ	a̠ m a̠ d a̠ ɾ e̞
アマチュアむせん	a̠ m a̠ t͡ɕ ɨᵝ a̠ m ɯ̟ᵝ s ẽ̞ ɴ
あまっちょろい	a̠ m a̠ t̚ t͡ɕ o̞ ɾ o̞ i
てんじん	t ẽ̞ ɲ̟ d͡ʑ ĩ ɴ
あまつばめ	a̠ m a̠ t͡s ɨᵝ b a̠ m e̞
あまつまら	a̠ m a̠ t͡s ɨᵝ m a̠ ɾ a̠
あまてらす	a̠ m a̠ t e̞ ɾ a̠ s ɨᵝ
あまでら	a̠ m a̠ d e̞ ɾ a̠
あまとう	a̠ m a̠ t o̞ː
かんさい	k ã̠ ɰ̃ s a̠ i
アマヌンシス	a̠ m a̠ n ɯ̟̃ᵝ ɰ̃ ɕ i s ɨᵝ
あまねく	a̠ m a̠ n e̞ k ɯ̟ᵝ
あまねし	a̠ m a̠ n e̞ ɕ i
あまのがわ	a̠ m a̠ n o̞ ɡ a̠ ɰᵝ a̠
あまのじゃく	a̠ m a̠ n o̞ ʑ a̠ k ɯ̟ᵝ
あまのむらくものつるぎ	a̠ m a̠ n o̞ m ɯ̟ᵝ ɾ a̠ k ɯ̟ᵝ m o̞ n o̞ t͡s ɨᵝ ɾ ɯ̟ᵝ ɡʲ i
アマビエ	a̠ m a̠ bʲ i e̞
アマむせん	a̠ m a̠ m ɯ̟ᵝ s ẽ̞ ɴ
あめもよう	a̠ m e̞ m o̞ j o̞ː
あまやかす	a̠ m a̠ j a̠ k a̠ s ɨᵝ
あまる	a̠ m a̠ ɾ ɯ̟ᵝ
あみ	a̠ mʲ i
あみぐるみ	a̠ mʲ i ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ mʲ i
アミジン	a̠ mʲ i ʑ ĩ ɴ
あみだくじ	a̠ mʲ i d a̠ k ɯ̟ᵝ ʑ i
あみだな	a̠ mʲ i d a̠ n a̠
あみだぶつ	a̠ mʲ i d a̠ b ɯ̟ᵝ t͡s ɨᵝ
あみだぶつ	a̠ mʲ i d a̠ b ɯ̟ᵝ t͡s ɨᵝ
あみてん	a̠ mʲ i t ẽ̞ ɴ
アミノ	a̠ mʲ i n o̞
あみの	a̠ mʲ i n o̞
アミノさん	a̠ mʲ i n o̞ s ã̠ ɴ
あみめにしきへび	a̠ mʲ i m e̞ ɲ̟ i ɕ i kʲ i h e̞ bʲ i
あみもの	a̠ mʲ i m o̞ n o̞
アミン	a̠ mʲ ĩ ɴ
あむ	a̠ m ɯ̟ᵝ
アムールトラ	a̠ m ɯ̟ᵝː ɾ ɯ̟ᵝ t o̞ ɾ a̠
あめ	a̠ m e̞
あめ	a̠ m e̞
あめあがり	a̠ m e̞ a̠ ɡ a̠ ɾʲ i
アメージング	a̠ m e̞ː ʑ ĩ ŋ ɡ ɯ̟ᵝ
アメーバ	a̠ m e̞ː b a̠
アメシスト	a̠ m e̞ ɕ i s ɨ̥ᵝ t o̞
アメしゃ	a̠ m e̞ ɕ a̠
あめだま	a̠ m e̞ d a̠ m a̠
アメピン	a̠ m e̞ pʲ ĩ ɴ
アメフト	a̠ m e̞ ɸ ɯ̟̊ᵝ t o̞
あめふり	a̠ m e̞ ɸ ɯ̟ᵝ ɾʲ i
あまみや	a̠ m a̠ mʲ i j a̠
アメリカ	a̠ m e̞ ɾʲ i k a̠
アメリカオシ	a̠ m e̞ ɾʲ i k a̠ o̞ ɕ i
アメリカがっしゅうこく	a̠ m e̞ ɾʲ i k a̠ ɡ a̠ ɕː ɯ̟ᵝː k o̞ k ɯ̟ᵝ
アメリカグマ	a̠ m e̞ ɾʲ i k a̠ ɡ ɯ̟ᵝ m a̠
アメリカじん	a̠ m e̞ ɾʲ i k a̠ ʑ ĩ ɴ
アメリカビーバー	a̠ m e̞ ɾʲ i k a̠ bʲ iː b a̠ː
アメリカわに	a̠ m e̞ ɾʲ i k a̠ ɰᵝ a̠ ɲ̟ i
アメリカン	a̠ m e̞ ɾʲ i k ã̠ ɴ
アメリカンカール	a̠ m e̞ ɾʲ i k ã̠ ŋ k a̠ː ɾ ɯ̟ᵝ
アメリカン・ショートヘア	a̠ m e̞ ɾʲ i k ã̠ ɰ̃ ɕ o̞ː t o̞ h e̞ a̠
アメリカンドッグ	a̠ m e̞ ɾʲ i k ã̠ n d o̞ ɡ̚ ɡ̊ ɯ̟ᵝ
アメリカンフットボール	a̠ m e̞ ɾʲ i k ã̠ ɰ̃ ɸ ɯ̟̊ᵝ t̚ t o̞ b o̞ː ɾ ɯ̟ᵝ
アメリカンワイヤヘア	a̠ m e̞ ɾʲ i k ã̠ ɰ̃ ɰᵝ a̠ i j a̠ h e̞ a̠
アメリシウム	a̠ m e̞ ɾʲ i ɕ i ɯ̟ᵝ m ɯ̟ᵝ
あめんぼ	a̠ m ẽ̞ m b o̞
あめんぼう	a̠ m ẽ̞ m b o̞ː
たんじょう	t ã̠ ɲ̟ d͡ʑ o̞ː
もち	m o̞ t͡ɕ i
アモイ	a̠ m o̞ i
シアメン	ɕ i a̠ m ẽ̞ ɴ
あもく	a̠ m o̞ k ɯ̟ᵝ
もん	m õ̞ ɴ
あやうい	a̠ j a̠ ɯ̟ᵝ i
あやか	a̠ j a̠ k a̠
あやかる	a̠ j a̠ k a̠ ɾ ɯ̟ᵝ
あやしい	a̠ j a̠ ɕ iː
あやつる	a̠ j a̠ t͡s ɨᵝ ɾ ɯ̟ᵝ
アヤトラ	a̠ j a̠ t o̞ ɾ a̠
あやとり	a̠ j a̠ t o̞ ɾʲ i
あやぶむ	a̠ j a̠ b ɯ̟ᵝ m ɯ̟ᵝ
あやまち	a̠ j a̠ m a̠ t͡ɕ i
あやまつ	a̠ j a̠ m a̠ t͡s ɨᵝ
あやまる	a̠ j a̠ m a̠ ɾ ɯ̟ᵝ
あやまる	a̠ j a̠ m a̠ ɾ ɯ̟ᵝ
あやめる	a̠ j a̠ m e̞ ɾ ɯ̟ᵝ
あゆ	a̠ j ɯ̟ᵝ
あゆみ	a̠ j ɯ̟ᵝ mʲ i
あゆむ	a̠ j ɯ̟ᵝ m ɯ̟ᵝ
あら	a̠ ɾ a̠
あら	a̠ ɾ a̠
あらあら	a̠ ɾ a̠ː ɾ a̠
あらあらしい	a̠ ɾ a̠ a̠ ɾ a̠ ɕ i i
あらい	a̠ ɾ a̠ i
あらい	a̠ ɾ a̠ i
あらいぐま	a̠ ɾ a̠ i ɡ ɯ̟ᵝ m a̠
あらう	a̠ ɾ a̠ ɯ̟ᵝ
あらかた	a̠ ɾ a̠ k a̠ t a̠
あらかん	a̠ ɾ a̠ k ã̠ ɴ
あらがう	a̠ ɾ a̠ ɡ a̠ ɯ̟ᵝ
あらけずり	a̠ ɾ a̠ k e̞ z ɨᵝ ɾʲ i
アラサー	a̠ ɾ a̠ s a̠ː
アラジン	a̠ ɾ a̠ ʑ ĩ ɴ
あらす	a̠ ɾ a̠ s ɨᵝ
あらすじ	a̠ ɾ a̠ s ɨᵝ ʑ i
あらそい	a̠ ɾ a̠ s o̞ i
あらそう	a̠ ɾ a̠ s o̞ ɯ̟ᵝ
あらた	a̠ ɾ a̠ t a̠
あらみたま	a̠ ɾ a̠ mʲ i t a̠ m a̠
あらたまる	a̠ ɾ a̠ t a̠ m a̠ ɾ ɯ̟ᵝ
あらためて	a̠ ɾ a̠ t a̠ m e̞ t e̞
あらためる	a̠ ɾ a̠ t a̠ m e̞ ɾ ɯ̟ᵝ
あらためる	a̠ ɾ a̠ t a̠ m e̞ ɾ ɯ̟ᵝ
あらっぽい	a̠ ɾ a̠ p̚ p o̞ i
あらて	a̠ ɾ a̠ t e̞
アラニン	a̠ ɾ a̠ ɲ̟ ĩ ɴ
あらぬ	a̠ ɾ a̠ n ɯ̟ᵝ
あらねつ	a̠ ɾ a̠ n e̞ t͡s ɨᵝ
こうや	k o̞ː j a̠
アラバスター	a̠ ɾ a̠ b a̠ s ɨᵝ t a̠ː
アラビアすうじ	a̠ ɾ a̠ bʲ i a̠ s ɨᵝː ʑ i
