ᆜ	j ɯ
걱정	k ʌ̹ k̚ t͡ɕ͈ ʌ̹ ŋ
걱정되다	k ʌ̹ k̚ t͡ɕ͈ ʌ̹ ŋ d w e̞ d a̠
걱정하다	k ʌ̹ k̚ t͡ɕ͈ ʌ̹ ŋ ɦ a̠ d a̠
건강	k ɘː n ɡ a̠ ŋ
건강하다	k ɘː n ɡ a̠ ŋ ɦ a̠ d a̠
건강히	k ɘː n ɡ a̠ ŋ ʝ i
건너가다	k ɘː n n ʌ̹ ɡ a̠ d a̠
건너다	k ɘː n n ʌ̹ d a̠
건너오다	k ɘː n n ʌ̹ o̞ d a̠
건너편	k ɘː n n ʌ̹ pʰ j ʌ̹ n
건넌편	k ɘː n n ʌ̹ n pʰ j ʌ̹ n
건널목	k ɘː n n ʌ̹ ɭ m o̞ k̚
건네다	k ɘː n n e̞ d a̠
건달	k ʌ̹ n d a̠ ɭ
건답	k ʌ̹ n d a̠ p̚
건더기	k ʌ̹ n d ʌ̹ ɡ i
건드리다	k ɘː n d ɯ ɾ i d a̠
건망증	k ɘː n m a̠ ŋ t͡ɕ͈ ɯ ŋ
건물	k ɘː n m u ɭ
건반	k ʌ̹ n b a̠ n
건발기	k ʌ̹ n b a̠ ɭ ɡ i
건설	k ɘː n sʰ ʌ̹ ɭ
건설하다	k ɘː n sʰ ʌ̹ ɾ ɦ a̠ d a̠
건의	k ɘː n ɰ i
건전하다	k ʌ̹ ɲ d͡ʑ ʌ̹ n ɦ a̠ d a̠
건조	k ʌ̹ ɲ d͡ʑ o̞
건조기	k ʌ̹ ɲ d͡ʑ o̞ ɡ i
건조하다	k ʌ̹ ɲ d͡ʑ o̞ ɦ a̠ d a̠
건지다	k ʌ̹ ɲ d͡ʑ i d a̠
건초	k ʌ̹ ɲ t͡ɕʰ o̞
건축	k ɘː ɲ t͡ɕʰ u k̚
건축가	k ɘː ɲ t͡ɕʰ u k̚ k͈ a̠
건축물	k ɘː ɲ t͡ɕʰ u ŋ m u ɭ
건축학	k ɘː ɲ t͡ɕʰ u kʰ a̠ k̚
걷기	k ɘː t̚ k͈ i
걷다	k ɘː t̚ t͈ a̠
걷다	k ʌ̹ t̚ t͈ a̠
걸	k ʌ̹ ɭ
걸다	k ɘː ɭ d a̠
걸레	k ʌ̹ ɭ ɭ e̞
걸리다	k ʌ̹ ʎ ʎ i d a̠
걸림씨	k ʌ̹ ʎ ʎ i m ɕ͈ i
걸신	k ʌ̹ ɭ ɕ͈ i n
걸어	k ʌ̹ ɾ ʌ̹
걸어가다	k ʌ̹ ɾ ʌ̹ ɡ a̠ d a̠
걸음	k ʌ̹ ɾ ɯ m
걸음걸이	k ʌ̹ ɾ ɯ m ɡ ʌ̹ ɾ i
걸음마	k ʌ̹ ɾ ɯ m m a̠
걸인	k ʌ̹ ɾ i n
걸작	k ʌ̹ ʎ t͡ɕ͈ a̠ k̚
걸쭉하다	k ʌ̹ ʎ t͡ɕ͈ u kʰ a̠ d a̠
걸치다	k ɘː ʎ t͡ɕʰ i d a̠
걸프렌드	k ʌ̹ ɭ pʰ ɯ ɾ e̞ n d ɯ
걸핏	k ʌ̹ ɭ pʰ i t̚
걸핏걸핏	k ʌ̹ ɭ pʰ i t̚ k͈ ʌ̹ ɭ pʰ i t̚
검	k ɘː m
검다	k ɘː m t͈ a̠
검도	k ɘː m d o̞
검독수리	k ʌ̹ m d o̞ k s͈ u ɾ i
검둥오리	k ʌ̹ m d u ŋ o̞ ɾ i
검둥오리사촌	k ʌ̹ m d u ŋ o̞ ɾ i sʰ a̠ t͡ɕʰ o̞ n
검둥이	k ʌ̹ m d u ŋ i
검사	k ɘː m sʰ a̠
검소하다	k ɘː m sʰ o̞ ɦ a̠ d a̠
검술	k ɘː m sʰ u ɭ
검역	k ɘː m j ʌ̹ k̚
검열	k ɘː m ɲ j ʌ̹ ɭ
검열하다	k ʌ̹ m j ʌ̹ ɾ ɦ a̠ d a̠
검은금	k ʌ̹ m ɯ n ɡ ɯ m
검은담비	k ʌ̹ m ɯ n d a̠ m b i
검은딸기	k ʌ̹ m ɯ n t͈ a̠ ɭ ɡ i
검은머리흰따오기	k ʌ̹ m ɯ n m ʌ̹ ɾ i ʝ i n t͈ a̠ o̞ ɡ i
검은머리흰죽지	k ʌ̹ m ɯ n m ʌ̹ ɾ i ʝ i ɲ d͡ʑ u k̚ t͡ɕ͈ i
검은목논병아리	k ʌ̹ m ɯ n m o̞ ŋ n o̞ n b j ʌ̹ ŋ a̠ ɾ i
검은무리	k ʌ̹ m ɯ n m u ɾ i
검정	k ʌ̹ m d͡ʑ ʌ̹ ŋ
검정망둑	k ʌ̹ m d͡ʑ ʌ̹ ŋ m a̠ ŋ d u k̚
검증	k ɘː m d͡ʑ ɯ ŋ
검질기다	k ɘː m d͡ʑ i ɭ ɡ i d a̠
검찰	k ɘː m t͡ɕʰ a̠ ɭ
검찰청	k ɘː m t͡ɕʰ a̠ ʎ t͡ɕʰ ʌ̹ ŋ
검출	k ɘː m t͡ɕʰ u ɭ
검토	k ɘː m tʰ o̞
검푸르다	k ɘː m pʰ u ɾ ɯ d a̠
겁	k ʌ̹ p̚
겁나다	k ʌ̹ m n a̠ d a̠
겁먹다	k ʌ̹ m m ʌ̹ k̚ t͈ a̠
겁박	k ʌ̹ p̚ p͈ a̠ k̚
것	k ʌ̹ t̚
겉	k ʌ̹ t̚
겉핥다	k ʌ̹ tʰ a̠ ɭ t͈ a̠
게	k e̞ː
게놈	k e̞ n o̞ m
게다가	k e̞ d a̠ ɡ a̠
게르마늄	k e̞ ɾ ɯ m a̠ ɲ j u m
게르만	k e̞ ɾ ɯ m a̠ n
게릴라	k e̞ ɾ i ɭ ɭ a̠
게사니	k e̞ sʰ a̠ n i
게스트하우스	k e̞ sʰ ɯ tʰ ɯ ɦ a̠ u sʰ ɯ
게시	k e̞ː ɕʰ i
게시판	k e̞ː ɕʰ i pʰ a̠ n
게시하다	k e̞ː ɕʰ i ɦ a̠ d a̠
게양	k e̞ː j a̠ ŋ
게우다	k e̞ u d a̠
게으르다	k e̞ ɯ ɾ ɯ d a̠
게으름	k e̞ ɯ ɾ ɯ m
게이	k e̞ i
게이기	k e̞ i ɡ i
게이샤	k e̞ i ɕʰ a̠
게이트	k e̞ i tʰ ɯ
게임	k͈ e̞ i m
게임기	k͈ e̞ i m ɡ i
게임성	k͈ e̞ i m sʰ ʌ̹ ŋ
게장	k e̞ d͡ʑ a̠ ŋ
게타	k͈ e̞ tʰ a̠
게톱치	k e̞ tʰ o̞ p̚ t͡ɕʰ i
겐	k e̞ n
겠	k e̞ t̚
겨누다	k j ʌ̹ n u d a̠
겨드랑이	k j ʌ̹ d ɯ ɾ a̠ ŋ i
겨레	k j ʌ̹ ɾ e̞
겨루다	k j ʌ̹ ɾ u d a̠
겨르	k j ʌ̹ ɾ ɯ
겨를	k j ʌ̹ ɾ ɯ ɭ
겨리	k j ʌ̹ ɾ i
겨우	k j ʌ̹ u
겨우살이	k j ʌ̹ u sʰ a̠ ɾ i
겨울	k j ʌ̹ u ɭ
겨울철	k j ʌ̹ u ʎ t͡ɕʰ ʌ̹ ɭ
겨자	k j ʌ̹ d͡ʑ a̠
격	k j ʌ̹ k̚
격납고	k j ʌ̹ ŋ n a̠ p̚ k͈ o̞
격려	k j ʌ̹ ŋ ɲ j ʌ̹
격리	k j ʌ̹ ŋ n i
격언	k j ʌ̹ ɡ ʌ̹ n
격차	k j ʌ̹ k̚ t͡ɕʰ a̠
격화하다	k j ʌ̹ kʰ w a̠ ɦ a̠ d a̠
겪다	k j ʌ̹ k̚ t͈ a̠
견과	k j ʌ̹ n ɡ w a̠
견디다	k j ʌ̹ n d i d a̠
견문발검	k j ɘː n m u n b a̠ ɭ ɡ ʌ̹ m
견본	k j ɘː n b o̞ n
견성	k j ɘː n sʰ ʌ̹ ŋ
견성	k j ʌ̹ n sʰ ʌ̹ ŋ
견실	k j ʌ̹ n ɕʰ i ɭ
견실하다	k j ʌ̹ n ɕʰ i ɾ ɦ a̠ d a̠
견유	k j ʌ̹ ɲ j u
견주다	k j ʌ̹ ɲ d͡ʑ u d a̠
결	k j ʌ̹ ɭ
결과	k j ʌ̹ ɭ ɡ w a̠
결과적	k j ʌ̹ ɭ ɡ w a̠ d͡ʑ ʌ̹ k̚
결국	k j ʌ̹ ɭ ɡ u k̚
결론	k j ʌ̹ ɭ ɭ o̞ n
결사옹위	k j ʌ̹ ɭ s͈ a̠ o̞ ŋ ɥ i
결석	k j ʌ̹ ɭ s͈ ʌ̹ k̚
결석하다	k j ʌ̹ ɭ s͈ ʌ̹ kʰ a̠ d a̠
결심	k j ʌ̹ ɭ ɕ͈ i m
결심하다	k j ʌ̹ ɭ ɕ͈ i m ɦ a̠ d a̠
결장	k j ʌ̹ ʎ t͡ɕ͈ a̠ ŋ
결점	k j ʌ̹ ʎ t͡ɕ͈ ʌ̹ m
결정	k j ʌ̹ ʎ t͡ɕ͈ ʌ̹ ŋ
결정되다	k j ʌ̹ ʎ t͡ɕ͈ ʌ̹ ŋ d w e̞ d a̠
결정론	k j ʌ̹ ʎ t͡ɕ͈ ʌ̹ ŋ n o̞ n
결정수	k j ʌ̹ ʎ t͡ɕ͈ ʌ̹ ŋ sʰ u
결정짓다	k j ʌ̹ ʎ t͡ɕ͈ ʌ̹ ŋ d͡ʑ i t̚ t͈ a̠
결정하다	k j ʌ̹ ʎ t͡ɕ͈ ʌ̹ ŋ ɦ a̠ d a̠
결정화	k j ʌ̹ ʎ t͡ɕ͈ ʌ̹ ŋ β w a̠
결코	k j ʌ̹ ɭ kʰ o̞
결핍	k j ʌ̹ ɭ pʰ i p̚
결함	k j ʌ̹ ɾ ɦ a̠ m
결합	k j ʌ̹ ɾ ɦ a̠ p̚
결합되다	k j ʌ̹ ɾ ɦ a̠ p̚ t͈ w e̞ d a̠
결합하다	k j ʌ̹ ɾ ɦ a̠ pʰ a̠ d a̠
결혼	k j ʌ̹ ɾ β o̞ n
결혼식	k j ʌ̹ ɾ β o̞ n ɕʰ i k̚
결혼하다	k j ʌ̹ ɾ β o̞ n ɦ a̠ d a̠
겸	k j ʌ̹ m
겸손	k j ʌ̹ m sʰ o̞ n
겸손하다	k j ʌ̹ m sʰ o̞ n ɦ a̠ d a̠
겸하다	k j ʌ̹ m ɦ a̠ d a̠
겹	k j ʌ̹ p̚
겹놓다	k j ʌ̹ m n o̞ tʰ a̠
겹다	k j ɘː p̚ t͈ a̠
겹빵이	k j ʌ̹ p̚ p͈ a̠ ŋ i
겹치다	k j ʌ̹ p̚ t͡ɕʰ i d a̠
경	k j ɘː ŋ
경계	k j ʌ̹ ŋ ɡ j e̞
경계하다	k j ɘː ŋ ɡ j e̞ ɦ a̠ d a̠
경고	k j ɘː ŋ ɡ o̞
경고창	k j ɘː ŋ ɡ o̞ t͡ɕʰ a̠ ŋ
경고하다	k j ɘː ŋ ɡ o̞ ɦ a̠ d a̠
경관	k j ʌ̹ ŋ ɡ w a̠ n
경구	k j ɘː ŋ k͈ u
경기	k j ɘː ŋ ɡ i
경기	k j ʌ̹ ŋ ɡ i
경기관	k j ɘː ŋ ɡ i ɡ w a̠ n
경기도	k j ʌ̹ ŋ ɡ i d o̞
경기장	k j ɘː ŋ ɡ i d͡ʑ a̠ ŋ
경기충청도방언	k j ʌ̹ ŋ ɡ i t͡ɕʰ u ŋ t͡ɕʰ ʌ̹ ŋ d o̞ b a̠ ŋ ʌ̹ n
경도	k j ɘː ŋ d o̞
경력	k j ʌ̹ ŋ ɲ j ʌ̹ k̚
경련	k j ʌ̹ ŋ ɲ j ʌ̹ n
경로	k j ʌ̹ ŋ n o̞
경마	k j ɘː ŋ m a̠
경멸감	k j ʌ̹ ŋ m j ʌ̹ ɭ ɡ a̠ m
경멸적	k j ʌ̹ ŋ m j ʌ̹ ʎ t͡ɕ͈ ʌ̹ k̚
경보기	k j ɘː ŋ b o̞ ɡ i
경비원	k j ɘː ŋ b i w ʌ̹ n
경사	k j ɘː ŋ sʰ a̠
경사	k j ʌ̹ ŋ sʰ a̠
경상남도	k j ɘː ŋ sʰ a̠ ŋ n a̠ m d o̞
경상도	k j ɘː ŋ sʰ a̠ ŋ d o̞
경상북도	k j ɘː ŋ sʰ a̠ ŋ b u k̚ t͈ o̞
경성	k j ʌ̹ ŋ sʰ ʌ̹ ŋ
경시	k j ʌ̹ ŋ ɕʰ i
경악	k j ʌ̹ ŋ a̠ k̚
경어	k j ɘː ŋ ʌ̹
경영	k j ʌ̹ ŋ j ʌ̹ ŋ
경영자	k j ʌ̹ ŋ j ʌ̹ ŋ d͡ʑ a̠
경영하다	k j ʌ̹ ŋ j ʌ̹ ŋ ɦ a̠ d a̠
경옥	k j ʌ̹ ŋ o̞ k̚
경외	k j ɘː ŋ w e̞
경우	k j ʌ̹ ŋ u
경음기	k j ʌ̹ ŋ ɯ m ɡ i
경이롭다	k j ʌ̹ ŋ i ɾ o̞ p̚ t͈ a̠
경이원지	k j ɘː ŋ i w ʌ̹ ɲ d͡ʑ i
경제	k j ʌ̹ ŋ d͡ʑ e̞
경제과학	k j ʌ̹ ŋ d͡ʑ e̞ ɡ w a̠ ɦ a̠ k̚
경제적	k j ʌ̹ ŋ d͡ʑ e̞ d͡ʑ ʌ̹ k̚
경제학	k j ʌ̹ ŋ d͡ʑ e̞ ɦ a̠ k̚
경죄	k j ʌ̹ ŋ d͡ʑ w e̞
경주	k j ɘː ŋ d͡ʑ u
경찰	k j ɘː ŋ t͡ɕʰ a̠ ɭ
경찰견	k j ɘː ŋ t͡ɕʰ a̠ ɭ ɡ j ʌ̹ n
경찰관	k j ɘː ŋ t͡ɕʰ a̠ ɭ ɡ w a̠ n
경찰서	k j ɘː ŋ t͡ɕʰ a̠ ɭ s͈ ʌ̹
경청	k j ʌ̹ ŋ t͡ɕʰ ʌ̹ ŋ
경축	k j ɘː ŋ t͡ɕʰ u k̚
경치	k j ʌ̹ ŋ t͡ɕʰ i
경향	k j ʌ̹ ŋ ʝ j a̠ ŋ
경험	k j ʌ̹ ŋ ɦ ʌ̹ m
경험치	k j ʌ̹ ŋ ɦ ʌ̹ m t͡ɕʰ i
경험하다	k j ʌ̹ ŋ ɦ ʌ̹ m ɦ a̠ d a̠
곁	k j ʌ̹ t̚
계	k j e̞
계간	k j e̞ ɡ a̠ n
계곡	k j e̞ ɡ o̞ k̚
계급	k j e̞ ɡ ɯ p̚
계단	k j e̞ d a̠ n
계란	k j e̞ ɾ a̠ n
계란찜	k j e̞ ɾ a̠ ɲ t͡ɕ͈ i m
계량경제학	k j e̞ː ɾ j a̠ ŋ ɡ j ʌ̹ ŋ d͡ʑ e̞ ɦ a̠ k̚
계량기	k j e̞ː ɾ j a̠ ŋ ɡ i
계렬	k j e̞ ɾ j ʌ̹ ɭ
계명	k j e̞ m j ʌ̹ ŋ
계모	k j e̞ː m o̞
계부	k j e̞ː b u
계사	k j e̞ː sʰ a̠
계산	k j e̞ː sʰ a̠ n
계산기	k j e̞ː sʰ a̠ n ɡ i
계산서	k j e̞ː sʰ a̠ n sʰ ʌ̹
계산원	k j e̞ː sʰ a̠ n w ʌ̹ n
계산하다	k j e̞ː sʰ a̠ n ɦ a̠ d a̠
계속	k j e̞ː sʰ o̞ k̚
계속되다	k j e̞ː sʰ o̞ k̚ t͈ w e̞ d a̠
계속하다	k j e̞ː sʰ o̞ kʰ a̠ d a̠
계수	k j e̞ː sʰ u
계승	k j e̞ sʰ ɯ ŋ
계시	k j e̞ː ɕʰ i
계시다	k j e̞ː ɕʰ i d a̠
계시판	k j e̞ː ɕʰ i pʰ a̠ n
계약	k j e̞ː j a̠ k̚
계약하다	k j e̞ː j a̠ kʰ a̠ d a̠
계열	k j e̞ j ʌ̹ ɭ
계절	k j e̞ː d͡ʑ ʌ̹ ɭ
계절적	k j e̞ː d͡ʑ ʌ̹ ʎ t͡ɕ͈ ʌ̹ k̚
계정	k j e̞ː d͡ʑ ʌ̹ ŋ
계좌	k j e̞ː d͡ʑ w a̠
계집	k j e̞ː d͡ʑ i p̚
계집년	k j e̞ː d͡ʑ i m ɲ j ʌ̹ n
계집아이	k j e̞ː d͡ʑ i b a̠ i
계층	k j e̞ t͡ɕʰ ɯ ŋ
계통	k j e̞ː tʰ o̞ ŋ
계획	k j e̞ː β w e̞ k̚
계획하다	k j e̞ː β w e̞ kʰ a̠ d a̠
곈	k j e̞ n
곊	k j e̞ n
고가교	k o̞ ɡ a̠ ɡ j o
고고학	k o̞ː ɡ o̞ ɦ a̠ k̚
고관	k o̞ ɡ w a̠ n
고구려	k o̞ ɡ u ɾ j ʌ̹
고구마	k o̞ː ɡ u m a̠
고국	k o̞ː ɡ u k̚
고급	k o̞ ɡ ɯ p̚
고기	k o̞ ɡ i
고기	k o̞ː ɡ i
고기겹빵	k o̞ ɡ i ɡ j ʌ̹ p̚ p͈ a̠ ŋ
고기떡	k o̞ ɡ i t͈ ʌ̹ k̚
고기숨구멍	k o̞ ɡ i sʰ u m ɡ u m ʌ̹ ŋ
고기후학	k o̞ ɡ i β u ɦ a̠ k̚
고난	k o̞ n a̠ n
고니	k o̞ n i
고달피다	k o̞ d a̠ ɭ pʰ i d a̠
고독	k o̞ d o̞ k̚
고독하다	k o̞ d o̞ kʰ a̠ d a̠
고동물학	k o̞ː d o̞ ŋ m u ɾ ɦ a̠ k̚
고두	k o̞ː d u
고드름	k o̞ d ɯ ɾ ɯ m
고등어	k o̞ d ɯ ŋ ʌ̹
고등학교	k o̞ d ɯ ŋ ɦ a̠ k̚ k͈ j o
고라니	k o̞ ɾ a̠ n i
고량주	k o̞ ɾ j a̠ ŋ d͡ʑ u
고레말	k o̞ ɾ e̞ m a̠ ɭ
고려	k o̞ ɾ j ʌ̹
고려말	k o̞ ɾ j ʌ̹ m a̠ ɭ
고려하다	k o̞ ɾ j ʌ̹ ɦ a̠ d a̠
고로케	k o̞ ɾ o̞ kʰ e̞
고루	k o̞ ɾ u
고르다	k o̞ ɾ ɯ d a̠
고리	k o̞ ɾ i
고리도롱뇽	k o̞ ɾ i d o̞ ɾ o̞ ŋ ɲ j o ŋ
고리짝	k o̞ ɾ i t͡ɕ͈ a̠ k̚
고릴라	k o̞ ɾ i ɭ ɭ a̠
고립지	k o̞ ɾ i p̚ t͡ɕ͈ i
고마워	k o̞ m a̠ w ʌ̹
고맙다	k o̞ː m a̠ p̚ t͈ a̠
고맙습니다	k o̞ m a̠ p s͈ ɯ m n i d a̠
고명	k o̞ m j ʌ̹ ŋ
고명	k o̞ː m j ʌ̹ ŋ
고모	k o̞ m o̞
고모부	k o̞ m o̞ b u
고무	k o̞ m u
고무락고무락	k o̞ m u ɾ a̠ k̚ k͈ o̞ m u ɾ a̠ k̚
고무신	k o̞ m u ɕʰ i n
고문	k o̞ m u n
고문관	k o̞ m u n ɡ w a̠ n
고물	k o̞ m u ɭ
고물	k o̞ː m u ɭ
고물고물	k o̞ m u ɭ ɡ o̞ m u ɭ
고민	k o̞ m i n
고민하다	k o̞ m i n ɦ a̠ d a̠
고바야시박쥐	k o̞ b a̠ j a̠ ɕʰ i b a̠ k̚ t͡ɕ͈ ɥ i
고발	k o̞ː b a̠ ɭ
고방	k o̞ b a̠ ŋ
고방오리	k o̞ b a̠ ŋ o̞ ɾ i
고뿌	k o̞ p͈ u
고삐	k o̞ p͈ i
고사기	k o̞ː sʰ a̠ ɡ i
고사리	k o̞ sʰ a̠ ɾ i
고사성어	k o̞ː sʰ a̠ sʰ ʌ̹ ŋ ʌ̹
고사포	k o̞ sʰ a̠ pʰ o̞
고산	k o̞ sʰ a̠ n
고소하다	k o̞ sʰ o̞ ɦ a̠ d a̠
고소하다	k o̞ː sʰ o̞ ɦ a̠ d a̠
고속	k o̞ sʰ o̞ k̚
고속버스	k o̞ sʰ o̞ k̚ p͈ ʌ̹ sʰ ɯ
고수	k o̞ sʰ u
고순쥐	k o̞ sʰ u ɲ d͡ʑ ɥ i
고스트	k o̞ sʰ ɯ tʰ ɯ
고슴도치	k o̞ sʰ ɯ m d o̞ t͡ɕʰ i
고시	k o̞ː ɕʰ i
고시원	k o̞ː ɕʰ i w ʌ̹ n
고식물학	k o̞ː ɕʰ i ŋ m u ɾ ɦ a̠ k̚
고아	k o̞ a̠
고아원	k o̞ a̠ w ʌ̹ n
고약하다	k o̞ː j a̠ kʰ a̠ d a̠
고양이	k o̞ j a̠ ŋ i
고어	k o̞ː ʌ̹
고온	k o̞ o̞ n
고요	k o̞ j o
고요하다	k o̞ j o ɦ a̠ d a̠
고용	k o̞ j o ŋ
고용하다	k o̞ j o ŋ ɦ a̠ d a̠
고유	k o̞ j u
고유명사	k o̞ j u m j ʌ̹ ŋ sʰ a̠
고유어	k o̞ j u ʌ̹
고을	k o̞ ɯ ɭ
고이다	k o̞ i d a̠
고인류학	k o̞ː i ʎ ʎ j u ɦ a̠ k̚
고작	k o̞ d͡ʑ a̠ k̚
고장	k o̞ d͡ʑ a̠ ŋ
고장	k o̞ː d͡ʑ a̠ ŋ
고저	k o̞ d͡ʑ ʌ̹
고전	k o̞ː d͡ʑ ʌ̹ n
고전적	k o̞ː d͡ʑ ʌ̹ ɲ d͡ʑ ʌ̹ k̚
고정	k o̞ d͡ʑ ʌ̹ ŋ
고정되다	k o̞ d͡ʑ ʌ̹ ŋ d w e̞ d a̠
고조	k o̞ d͡ʑ o̞
고조되다	k o̞ d͡ʑ o̞ d w e̞ d a̠
고조선	k o̞ː d͡ʑ o̞ sʰ ʌ̹ n
고지	k o̞ d͡ʑ i
고지리학	k o̞ː d͡ʑ i ɾ i ɦ a̠ k̚
고지식하다	k o̞ d͡ʑ i ɕʰ i kʰ a̠ d a̠
고질병	k o̞ d͡ʑ i ɭ p͈ j ʌ̹ ŋ
고집	k o̞ d͡ʑ i p̚
고집불통	k o̞ d͡ʑ i p̚ p͈ u ɭ tʰ o̞ ŋ
고집스럽다	k o̞ d͡ʑ i p s͈ ɯ ɾ ʌ̹ p̚ t͈ a̠
고집하다	k o̞ d͡ʑ i pʰ a̠ d a̠
고체	k o̞ t͡ɕʰ e̞
고추	k o̞ t͡ɕʰ u
고추자지	k o̞ t͡ɕʰ u d͡ʑ a̠ d͡ʑ i
고추장	k o̞ t͡ɕʰ u d͡ʑ a̠ ŋ
고춧가루	k o̞ t͡ɕʰ u t̚ k͈ a̠ ɾ u
고치다	k o̞ t͡ɕʰ i d a̠
고통	k o̞ tʰ o̞ ŋ
고통스럽다	k o̞ tʰ o̞ ŋ sʰ ɯ ɾ ʌ̹ p̚ t͈ a̠
고투	k o̞ː tʰ u
고프다	k o̞ pʰ ɯ d a̠
고향	k o̞ ʝ j a̠ ŋ
고혈압	k o̞ ʝ j ʌ̹ ɾ a̠ p̚
고환	k o̞ β w a̠ n
곡	k o̞ k̚
곡물	k o̞ ŋ m u ɭ
곡셱	k o̞ k ɕ͈ e̞ k̚
곡식	k o̞ k ɕ͈ i k̚
곡예사	k o̞ ɡ j e̞ sʰ a̠
곡조	k o̞ k̚ t͡ɕ͈ o̞
곡창	k o̞ k̚ t͡ɕʰ a̠ ŋ
곤난	k o̞ n n a̠ n
곤돌라	k o̞ n d o̞ ɭ ɭ a̠
곤란	k o̞ː ɭ ɭ a̠ n
곤란하다	k o̞ː ɭ ɭ a̠ n ɦ a̠ d a̠
곤이	k o̞ n i
곤충	k o̞ ɲ t͡ɕʰ u ŋ
곤충학	k o̞ ɲ t͡ɕʰ u ŋ ɦ a̠ k̚
곧다	k o̞ t̚ t͈ a̠
곧바로	k o̞ t̚ p͈ a̠ ɾ o̞
곧은창자	k o̞ d ɯ ɲ t͡ɕʰ a̠ ŋ d͡ʑ a̠
곧장	k o̞ t̚ t͡ɕ͈ a̠ ŋ
골	k o̞ ɭ
골	k o̞ː ɭ
골	k͈ o̞ ɭ
골격	k o̞ ɭ ɡ j ʌ̹ k̚
골골	k o̞ ɭ ɡ o̞ ɭ
골다	k o̞ː ɭ d a̠
골드바	k o̞ ɭ d ɯ b a̠
골목	k o̞ː ɭ m o̞ k̚
골무	k o̞ ɭ m u
골반	k o̞ ɭ b a̠ n
골상학	k o̞ ɭ sʰ a̠ ŋ ɦ a̠ k̚
골수	k o̞ ɭ s͈ u
골인	k͈ o̞ ɾ i n
골짜기	k o̞ ʎ t͡ɕ͈ a̠ ɡ i
골탄	k o̞ ɭ tʰ a̠ n
골프	k͈ o̞ ɭ pʰ ɯ
곩	k o̞ k̚
곪다	k o̞ː m t͈ a̠
곭	k o̞ ɭ
곰	k o̞ː m
곰국	k o̞ː m k͈ u k̚
곰비임비	k o̞ m b i i m b i
곰실	k o̞ m ɕʰ i ɭ
곰실곰실	k o̞ m ɕʰ i ɭ ɡ o̞ m ɕʰ i ɭ
곰작	k o̞ m d͡ʑ a̠ k̚
곰작곰작	k o̞ m d͡ʑ a̠ k̚ k͈ o̞ m d͡ʑ a̠ k̚
곰쥐	k o̞ː m d͡ʑ ɥ i
곰지락	k o̞ m d͡ʑ i ɾ a̠ k̚
곰지락곰지락	k o̞ m d͡ʑ i ɾ a̠ k̚ k͈ o̞ m d͡ʑ i ɾ a̠ k̚
곰탕	k o̞ m tʰ a̠ ŋ
곰틀	k o̞ m tʰ ɯ ɭ
곰틀곰틀	k o̞ m tʰ ɯ ɭ ɡ o̞ m tʰ ɯ ɭ
곰팡이	k o̞ m pʰ a̠ ŋ i
곱	k o̞ p̚
곱다	k o̞ p̚ t͈ a̠
곱다	k o̞ː p̚ t͈ a̠
곱다랗다	k o̞ː p̚ t͈ a̠ ɾ a̠ tʰ a̠
곱사	k o̞ p s͈ a̠
곱사연어	k o̞ p s͈ a̠ j ʌ̹ n ʌ̹
곱셈	k o̞ p s͈ e̞ m
곱이곱이	k o̞ b i ɡ o̞ b i
곱하다	k o̞ pʰ a̠ d a̠
곳	k o̞ t̚
곳곳	k o̞ t̚ k͈ o̞ t̚
공	k o̞ ŋ
공	k o̞ː ŋ
공간	k o̞ ŋ ɡ a̠ n
공갈	k o̞ː ŋ ɡ a̠ ɭ
공갈치다	k o̞ː ŋ ɡ a̠ ʎ t͡ɕʰ i d a̠
공갈하다	k o̞ː ŋ ɡ a̠ ɾ ɦ a̠ d a̠
공감	k o̞ː ŋ ɡ a̠ m
공격	k o̞ː ŋ ɡ j ʌ̹ k̚
공격전	k o̞ː ŋ ɡ j ʌ̹ k̚ t͡ɕ͈ ʌ̹ n
공경	k o̞ ŋ ɡ j ʌ̹ ŋ
공공	k o̞ ŋ ɡ o̞ ŋ
공교	k o̞ ŋ ɡ j o
공교	k o̞ː ŋ ɡ j o
공교롭다	k o̞ ŋ ɡ j o ɾ o̞ p̚ t͈ a̠
공구	k o̞ ŋ ɡ u
공국	k o̞ː ŋ ɡ u k̚
공군	k o̞ ŋ ɡ u n
공급	k o̞ː ŋ ɡ ɯ p̚
공기	k o̞ ŋ ɡ i
공기	k o̞ː ŋ ɡ i
공기방석	k o̞ ŋ ɡ i b a̠ ŋ sʰ ʌ̹ k̚
공기방석자동차	k o̞ ŋ ɡ i b a̠ ŋ sʰ ʌ̹ k̚ t͡ɕ͈ a̠ d o̞ ŋ t͡ɕʰ a̠
공동	k o̞ː ŋ d o̞ ŋ
공동체	k o̞ː ŋ d o̞ ŋ t͡ɕʰ e̞
공로	k o̞ ŋ n o̞
공룡	k o̞ː ŋ ɲ j o ŋ
공리	k o̞ ŋ n i
공리주의	k o̞ ŋ n i d͡ʑ u ɰ i
공모	k o̞ː ŋ m o̞
공무원	k o̞ ŋ m u w ʌ̹ n
공민	k o̞ ŋ m i n
공방	k o̞ ŋ b a̠ ŋ
공변	k o̞ ŋ b j ʌ̹ n
공변	k o̞ː ŋ b j ʌ̹ n
공변되다	k o̞ ŋ b j ʌ̹ n d w e̞ d a̠
