а	ɑ
антибіотиках	ɐ n t e bʲ i ɔ t e k ɐ x
антибіотики	ɐ n t e bʲ i ɔ t e k e
антибіотиком	ɐ n t e bʲ i ɔ t e k ɔ m
антибіотику	ɐ n t e bʲ i ɔ t e k ʊ
антибіотиків	ɐ n t e bʲ i ɔ t e kʲ i u̯
антонім	ɐ n t ɔ nʲ i m
апостроф	ɐ p ɔ s t r ɔ f
аптека	ɐ p t ɛ k ɐ
арабський	ɐ r ɑ b sʲ k e i̯
аравія	ɐ r ɑ ʋʲ i j ɐ
арахнологію	ɐ r ɐ x n ɔ ɫ ɔ ɦʲ i j ʊ
арахнологія	ɐ r ɐ x n ɔ ɫ ɔ ɦʲ i j ɐ
арахнологіє	ɐ r ɐ x n ɔ ɫ ɔ ɦʲ i j e
арахнологією	ɐ r ɐ x n ɔ ɫ ɔ ɦʲ i j e j ʊ
арахнології	ɐ r ɐ x n ɔ ɫ ɔ ɦʲ i j i
аргентина	ɐ r ɦ e n t ɪ n ɐ
арешт	ɐ r ɛ ʃ t
арккосинус	ɐ r kː ɔ s e n ʊ s
арктангенс	ɐ r k t ɑ n ɦ e n s
арктичний	ɐ r k t ɪ t͡ʃ n e i̯
аркуш	ɑ r k ʊ ʃ
армія	ɑ r mʲ i j ɐ
артерій	ɐ r t ɛ rʲ i i̯
артерію	ɐ r t ɛ rʲ i j ʊ
артерія	ɐ r t ɛ rʲ i j ɐ
артеріям	ɐ r t ɛ rʲ i j ɐ m
артеріями	ɐ r t ɛ rʲ i j ɐ m e
артеріях	ɐ r t ɛ rʲ i j ɐ x
артеріє	ɐ r t ɛ rʲ i j e
артерією	ɐ r t ɛ rʲ i j e j ʊ
артерії	ɐ r t ɛ rʲ i j i
артишок	ɐ r t e ʃ ɔ k
арфа	ɑ r f ɐ
арфуш	ɐ r f u ʃ
арфіст	ɐ r fʲ i s t
арфістка	ɐ r fʲ i s t k ɐ
архаїзація	ɐ r x ɐ j i z ɑ t͡sʲ i j ɐ
архаїзм	ɐ r x ɐ j i z m
археолог	ɐ r x e ɔ ɫ ɔ ɦ
археологів	ɐ r x e ɔ ɫ ɔ ɦʲ i u̯
археологічний	ɐ r x e ɔ ɫ o ɦʲ i t͡ʃ n e i̯
археологія	ɐ r x e ɔ ɫ ɔ ɦʲ i j ɐ
архонт	ɐ r x ɔ n t
архітектор	ɐ r xʲ i t ɛ k t ɔ r
архітектура	ɐ r xʲ i t e k t u r ɐ
архітектурний	ɐ r xʲ i t e k t u r n e i̯
аріка	ɐ rʲ i k ɐ
арістотель	ɐ rʲ i s t ɔ t e lʲ
асимптота	ɐ s e m p t ɔ t ɐ
асиміляція	ɐ s e mʲ i lʲ ɑ t͡sʲ i j ɐ
асистент	ɐ s e s t ɛ n t
асистентка	ɐ s e s t ɛ n t k ɐ
аскет	ɐ s k ɛ t
аскетизм	ɐ s k e t ɪ z m
аскетично	ɐ s k e t ɪ t͡ʃ n ɔ
асоціація	ɐ s ɔ t͡sʲ i ɑ t͡sʲ i j ɐ
астероїд	ɐ s t e r ɔ j i d
астрологія	ɐ s t r ɔ ɫ ɔ ɦʲ i j ɐ
астрономія	ɐ s t r ɔ n ɔ mʲ i j ɐ
асія	ɐ sʲ i j ɐ
ательє	ɐ t e lʲ j ɛ
атлантичний	ɐ t ɫ ɐ n t ɪ t͡ʃ n e i̯
атом	ɑ t ɔ m
аудиторія	ɐ ʊ d e t ɔ rʲ i j ɐ
афаліна	ɐ f ɐ lʲ i n ɐ
афганський	ɐ v ɦ ɑ nʲ sʲ k e i̯
афганістан	ɐ v ɦ ɐ nʲ i s t ɑ n
африка	ɑ f r e k ɐ
африканець	ɐ f r e k ɑ n e t͡sʲ
африканка	ɐ f r e k ɑ n k ɐ
африканський	ɐ f r e k ɑ nʲ sʲ k e i̯
афіни	ɐ fʲ i n e
афіша	ɐ fʲ i ʃ ɐ
ах	ɑ x
аґрус	ɑ ɡ r ʊ s
аґрусівка	ɐ ɡ r ʊ sʲ i u̯ k ɐ
баба	b ɑ b ɐ
бабисько	b ɐ b ɪ sʲ k ɔ
бабище	b ɐ b ɪ ʃ t͡ʃ e
бабка	b ɑ b k ɐ
бабуся	b ɐ b u sʲ ɐ
бабченко	b ɑ b t͡ʃ e n k ɔ
бавитися	b ɑ ʋ e t e sʲ ɐ
багаж	b ɐ ɦ ɑ ʒ
багатий	b ɐ ɦ ɑ t e i̯
багато	b ɐ ɦ ɑ t ɔ
багатолюдний	b ɐ ɦ ɐ t o lʲ u d n e i̯
багатоповерховий	b ɐ ɦ ɐ t ɔ p ɔ ʋ e r x ɔ ʋ e i̯
багатство	b ɐ ɦ ɑ t͡s t w ɔ
багаття	b ɐ ɦ ɑ tʲː ɐ
багнистий	b ɐ ɦ n ɪ s t e i̯
багно	b ɐ ɦ n ɔ
багряний	b ɐ ɦ rʲ ɑ n e i̯
баддя	b ɐ dʲː ɑ
бажання	b ɐ ʒ ɑ nʲː ɐ
бажати	b ɐ ʒ ɑ t e
база	b ɑ z ɐ
байрак	b ɐ i̯ r ɑ k
байт	b ɑ i̯ t
баклажан	b ɐ k ɫ ɐ ʒ ɑ n
балкон	b ɐ ɫ k ɔ n
банан	b ɐ n ɑ n
бангладеш	b ɐ n ɦ ɫ ɐ d ɛ ʃ
банк	b ɑ n k
банкнота	b ɐ n k n ɔ t ɐ
баня	b ɑ nʲ ɐ
баран	b ɐ r ɑ n
барва	b ɑ r ʋ ɐ
барвник	b ɐ r w n ɪ k
барвінок	b ɐ r ʋʲ i n ɔ k
барза	b ɑ r z ɐ
барліг	b ɐ r lʲ i ɦ
баскетбол	b ɐ s k e d b ɔ ɫ
батальйон	b ɐ t ɐ lʲ j ɔ n
батько	b ɑ tʲ k ɔ
батьківщина	b ɐ tʲ kʲ i u̯ ʃ t͡ʃ ɪ n ɐ
батьківщина	b ɑ tʲ kʲ i u̯ ʃ t͡ʃ e n ɐ
батяр	b ɐ tʲ ɑ r
батяри	b ɐ tʲ ɑ r e
батяри	b ɑ tʲ ɐ r e
батярка	b ɐ tʲ ɑ r k ɐ
батярка	b ɑ tʲ ɐ r k ɐ
батярки	b ɐ tʲ ɐ r k ɪ
батярувати	b ɐ tʲ ɐ r ʊ ʋ ɑ t e
батіг	b ɐ tʲ i ɦ
бацяр	b ɑ t͡sʲ ɐ r
бачення	b ɑ t͡ʃ e nʲː ɐ
бачити	b ɑ t͡ʃ e t e
бджола	b d͡ʒ ɔ ɫ ɑ
бджолосім'я	b d͡ʒ ɔ ɫ ɔ sʲ i m j ɑ
бджілка	b d͡ʒʲ i ɫ k ɐ
бджільництво	b d͡ʒʲ i lʲ n ɪ t͡s t w ɔ
бегемот	b e ɦ e m ɔ t
без	b ɛ z
безбородий	b e z b ɔ r ɔ d e i̯
безвідповідальний	b e zʲ ʋʲ i d p ɔ ʋʲ i d ɑ lʲ n e i̯
безвідповідально	b e zʲ ʋʲ i d p ɔ ʋʲ i d ɑ lʲ n ɔ
безвідповідальність	b e zʲ ʋʲ i d p ɔ ʋʲ i d ɑ lʲ nʲ i sʲ tʲ
безглуздий	b e z ɦ ɫ u z d e i̯
безглуздість	b e z ɦ ɫ u zʲ dʲ i sʲ tʲ
безграмотний	b e z ɦ r ɑ m ɔ t n e i̯
безграмотність	b e z ɦ r ɑ m ɔ tʲ nʲ i sʲ tʲ
бездоганно	b e z d ɔ ɦ ɑ nː ɔ
безкоштовний	b e z k ɔ ʃ t ɔ u̯ n e i̯
безкраїй	b e z k r ɑ j i i̯
безкраїсть	b e z k r ɑ j i sʲ tʲ
безліч	b ɛ zʲ lʲ i t͡ʃ
безматок	b e z m ɑ t ɔ k
безмін	b ɛ zʲ mʲ i n
безособовий	b e z ɔ s ɔ b ɔ ʋ e i̯
безпека	b e z p ɛ k ɐ
безпечний	b e z p ɛ t͡ʃ n e i̯
безсмертний	b e z s m ɛ r t n e i̯
безсмертя	b e z s m ɛ r tʲ ɐ
безсторонній	b e z s t ɔ r ɔ nʲː i i̯
безіменний	b e zʲ i m ɛ nː e i̯
белград	b e ɫ ɦ r ɑ d
бельгійський	b e lʲ ɦʲ i i̯ sʲ k e i̯
бельгія	b ɛ lʲ ɦʲ i j ɐ
беліз	b e lʲ i z
белґрад	b e ɫ ɡ r ɑ d
бензовоз	b e n z ɔ w ɔ z
бенін	b e nʲ i n
бенін	b ɛ nʲ i n
бервено	b e r ʋ e n ɔ
бере	b e r ɛ
берег	b ɛ r e ɦ
береговий	b e r e ɦ ɔ ʋ ɪ i̯
берегти	b e r e ɦ t ɪ
береза	b e r ɛ z ɐ
березень	b ɛ r e z e nʲ
березовий	b e r ɛ z ɔ ʋ e i̯
бересклет	b e r e s k ɫ ɛ t
бересть	b ɛ r e sʲ tʲ
берестя	b e r ɛ sʲ tʲ ɐ
беркут	b ɛ r k ʊ t
берлін	b e r lʲ i n
беріг	b ɛ rʲ i ɦ
бесіда	b ɛ sʲ i d ɐ
бета	b ɛ t ɐ
бетономішалка	b e t ɔ n ɔ mʲ i ʃ ɑ ɫ k ɐ
бетяр	b ɛ tʲ ɐ r
бидло	b ɪ d ɫ ɔ
бик	b ɪ k
бистрий	b ɪ s t r e i̯
битв	b ɪ t ʋ
битва	b ɪ t ʋ ɐ
битвам	b ɪ t ʋ ɐ m
битвами	b ɪ t ʋ ɐ m e
битвах	b ɪ t ʋ ɐ x
битви	b ɪ t ʋ e
битво	b ɪ t w ɔ
битвою	b ɪ t w ɔ j ʊ
битву	b ɪ t w ʊ
битві	b ɪ tʲ ʋʲ i
бити	b ɪ t e
битися	b ɪ t e sʲ ɐ
благий	b ɫ ɐ ɦ ɪ i̯
благо	b ɫ ɑ ɦ ɔ
блакитний	b ɫ ɐ k ɪ t n e i̯
блакить	b ɫ ɐ k ɪ tʲ
ближчий	b ɫ ɪ ʒ t͡ʃ e i̯
близнюк	b ɫ e zʲ nʲ u k
близнюки	b ɫ e zʲ nʲ ʊ k ɪ
близнята	b ɫ e zʲ nʲ ɑ t ɐ
близький	b ɫ e zʲ k ɪ i̯
близько	b ɫ ɪ zʲ k ɔ
блискавка	b ɫ ɪ s k ɐ u̯ k ɐ
блокнот	b ɫ ɔ k n ɔ t
блоха	b ɫ ɔ x ɑ
блювати	b lʲ ʊ ʋ ɑ t e
блювотний	b lʲ ʊ w ɔ t n e i̯
блюзнірство	b lʲ ʊ zʲ nʲ i r s t w ɔ
бо	b ɔ
бобер	b ɔ b ɛ r
бог	b ɔ ɦ
богатир	b ɔ ɦ ɐ t ɪ r
богдан	b ɔ ɦ d ɑ n
богдана	b ɔ ɦ d ɑ n ɐ
богиня	b ɔ ɦ ɪ nʲ ɐ
богомаз	b ɔ ɦ ɔ m ɑ z
боже	b ɔ ʒ e
божевільний	b ɔ ʒ e ʋʲ i lʲ n e i̯
болгарський	b ɔ ɫ ɦ ɑ r sʲ k e i̯
болгарія	b ɔ ɫ ɦ ɑ rʲ i j ɐ
болниця	b ɔ ɫ n ɪ t͡sʲ ɐ
болото	b ɔ ɫ ɔ t ɔ
болівія	b o lʲ i ʋʲ i j ɐ
боліти	b o lʲ i t e
бомба	b ɔ m b ɐ
борг	b ɔ r ɦ
борис	b ɔ r ɪ s
борода	b ɔ r ɔ d ɑ
бородавка	b ɔ r ɔ d ɑ u̯ k ɐ
бородатий	b ɔ r ɔ d ɑ t e i̯
борозна	b ɔ r ɔ z n ɑ
борона	b ɔ r ɔ n ɑ
боротися	b ɔ r ɔ t e sʲ ɐ
боротьба	b ɔ r ɔ dʲ b ɑ
борошно	b ɔ r ɔ ʃ n ɔ
борсук	b o r s u k
борщ	b ɔ r ʃ t͡ʃ
бос	b ɔ s
босий	b ɔ s e i̯
босняцький	b ɔ sʲ nʲ ɑ t͡sʲ k e i̯
боснійський	b o sʲ nʲ i i̯ sʲ k e i̯
боснія	b ɔ sʲ nʲ i j ɐ
босоногий	b ɔ s ɔ n ɔ ɦ e i̯
босоніж	b ɔ s ɔ nʲ i ʒ
боягузливий	b ɔ j ɐ ɦ u z ɫ e ʋ e i̯
боятися	b ɔ j ɑ t e sʲ ɐ
боєць	b ɔ j ɛ t͡sʲ
бразилець	b r ɐ z ɪ ɫ e t͡sʲ
бразилія	b r ɐ z ɪ lʲ i j ɐ
брак	b r ɑ k
брам	b r ɑ m
брама	b r ɑ m ɐ
брамам	b r ɑ m ɐ m
брамами	b r ɑ m ɐ m e
брамах	b r ɑ m ɐ x
брами	b r ɑ m e
брамо	b r ɑ m ɔ
брамою	b r ɑ m ɔ j ʊ
браму	b r ɑ m ʊ
брамі	b r ɑ mʲ i
брат	b r ɑ t
брати	b r ɐ t ɪ
брати	b r ɑ t e
братислава	b r ɐ t e s ɫ ɑ ʋ ɐ
братів	b r ɑ tʲ i u̯
брест	b r ɛ s t
брехати	b r e x ɑ t e
брехло	b r e x ɫ ɔ
брехун	b r e x u n
бридкий	b r e d k ɪ i̯
брижа	b r ɪ ʒ ɐ
британія	b r e t ɑ nʲ i j ɐ
брити	b r ɪ t e
брова	b r ɔ ʋ ɑ
брошура	b r o ʃ u r ɐ
бруд	b r u d
брудний	b r ʊ d n ɪ i̯
бруднити	b r ʊ d n ɪ t e
бруднитися	b r ʊ d n ɪ t e sʲ ɐ
брусниця	b r ʊ s n ɪ t͡sʲ ɐ
брід	b rʲ i d
бубна	b u b n ɐ
був	b u u̯
бувай	b ʊ ʋ ɑ i̯
бувайте	b ʊ ʋ ɑ i̯ t e
бувати	b ʊ ʋ ɑ t e
бугай	b ʊ ɦ ɑ i̯
будапешт	b ʊ d ɐ p ɛ ʃ t
будда	b u dː ɐ
будинок	b ʊ d ɪ n ɔ k
буду	b u d ʊ
будування	b ʊ d ʊ ʋ ɑ nʲː ɐ
будувати	b ʊ d ʊ ʋ ɑ t e
будучи	b u d ʊ t͡ʃ e
будьмо	b u dʲ m ɔ
будяк	b ʊ dʲ ɑ k
будівельник	b ʊ dʲ i ʋ ɛ lʲ n e k
будівельниця	b ʊ dʲ i ʋ ɛ lʲ n e t͡sʲ ɐ
будівля	b ʊ dʲ i u̯ lʲ ɐ
будівник	b ʊ dʲ i u̯ n ɪ k
будівництво	b ʊ dʲ i u̯ n ɪ t͡s t w ɔ
бузина	b ʊ z e n ɑ
бузок	b ʊ z ɔ k
буй	b u i̯
буйний	b u i̯ n e i̯
буква	b u k ʋ ɐ
букініст	b ʊ kʲ i nʲ i s t
була	b ʊ ɫ ɑ
булава	b ʊ ɫ ɐ ʋ ɑ
були	b ʊ ɫ ɪ
бульба	b u lʲ b ɐ
бур'ян	b ʊ r j ɑ n
бурдей	b ʊ r d ɛ i̯
бурлак	b ʊ r ɫ ɑ k
бурмило	b ʊ r m ɪ ɫ ɔ
бурулька	b ʊ r u lʲ k ɐ
бурунді	b ʊ r u nʲ dʲ i
буря	b u rʲ ɐ
буряк	b ʊ rʲ ɑ k
бутан	b ʊ t ɑ n
бути	b u t e
бухарест	b ʊ x ɐ r ɛ s t
бухгалтер	b ʊ ɦ ɦ ɑ ɫ t e r
бухгалтерка	b ʊ ɦ ɦ ɑ ɫ t e r k ɐ
бюджет	bʲ ʊ d͡ʒ ɛ t
бюро	bʲ ʊ r ɔ
бібліоманія	bʲ i b lʲ i ɔ m ɑ nʲ i j ɐ
бібліотека	bʲ i b lʲ i ɔ t ɛ k ɐ
бібліотекар	bʲ i b lʲ i ɔ t ɛ k ɐ r
бібліотекарка	bʲ i b lʲ i ɔ t ɛ k ɐ r k ɐ
бібліофіл	bʲ i b lʲ i o fʲ i ɫ
біблія	bʲ i b lʲ i j ɐ
бігати	bʲ i ɦ ɐ t e
бігти	bʲ i ɦ t e
біда	bʲ i d ɑ
бідний	bʲ i d n e i̯
біднота	bʲ i d n ɔ t ɑ
бізнес	bʲ i z n e s
бізон	bʲ i z ɔ n
бік	bʲ i k
білий	bʲ i ɫ e i̯
білка	bʲ i ɫ k ɐ
білодід	bʲ i ɫ o dʲ i d
білолиций	bʲ i ɫ ɔ ɫ ɪ t͡s e i̯
білорус	bʲ i ɫ o r u s
білоруска	bʲ i ɫ o r u s k ɐ
білорусь	bʲ i ɫ o r u sʲ
білоруська	bʲ i ɫ o r u sʲ k ɐ
білоруський	bʲ i ɫ o r u sʲ k e i̯
білосніжка	bʲ i ɫ o sʲ nʲ i ʒ k ɐ
білосніжний	bʲ i ɫ o sʲ nʲ i ʒ n e i̯
біль	bʲ i lʲ
більше	bʲ i lʲ ʃ e
більшість	bʲ i lʲ ʃʲ i sʲ tʲ
біля	bʲ i lʲ ɐ
бінокль	bʲ i n ɔ k lʲ
біолог	bʲ i ɔ ɫ ɔ ɦ
біологічний	bʲ i ɔ ɫ o ɦʲ i t͡ʃ n e i̯
біологія	bʲ i ɔ ɫ ɔ ɦʲ i j ɐ
біомаса	bʲ i ɔ m ɑ s ɐ
біоматеріал	bʲ i ɔ m ɐ t e rʲ i ɑ ɫ
біомедицина	bʲ i ɔ m e d e t͡s ɪ n ɐ
біометрія	bʲ i ɔ m ɛ tʲ rʲ i j ɐ
біомеханіка	bʲ i ɔ m e x ɑ nʲ i k ɐ
біомолекула	bʲ i ɔ m ɔ ɫ ɛ k ʊ ɫ ɐ
біржа	bʲ i r ʒ ɐ
бірюзовий	bʲ i rʲ ʊ z ɔ ʋ e i̯
біс	bʲ i s
бішкек	bʲ i ʃ k ɛ k
в'язень	ʋ j ɑ z e nʲ
в'язи	ʋ j ɑ z e
в'язниця	ʋ j ɐ z n ɪ t͡sʲ ɐ
в'єтнам	ʋ j e t n ɑ m
в'єтнамський	ʋ j e t n ɑ m sʲ k e i̯
в'їзд	ʋ j i z d
вага	ʋ ɐ ɦ ɑ
ваги	ʋ ɐ ɦ ɪ
ваги	ʋ ɑ ɦ e
вагітна	ʋ ɐ ɦʲ i t n ɐ
вагітний	ʋ ɐ ɦʲ i t n e i̯
вагітність	ʋ ɐ ɦʲ i tʲ nʲ i sʲ tʲ
вад	ʋ ɑ d
вада	ʋ ɑ d ɐ
вадам	ʋ ɑ d ɐ m
вадами	ʋ ɑ d ɐ m e
вадах	ʋ ɑ d ɐ x
вади	ʋ ɑ d e
вадо	ʋ ɑ d ɔ
вадою	ʋ ɑ d ɔ j ʊ
ваду	ʋ ɑ d ʊ
ваді	ʋ ɑ dʲ i
важкий	ʋ ɐ ʒ k ɪ i̯
важливий	ʋ ɐ ʒ ɫ ɪ ʋ e i̯
важливість	ʋ ɐ ʒ ɫ ɪ ʋʲ i sʲ tʲ
важіль	ʋ ɑ ʒʲ i lʲ
вайло	ʋ ɐ i̯ ɫ ɔ
вакації	ʋ ɐ k ɑ t͡sʲ i j i
вакцина	ʋ ɐ k t͡s ɪ n ɐ
валентина	ʋ ɐ ɫ e n t ɪ n ɐ
валець	ʋ ɐ ɫ ɛ t͡sʲ
валюта	ʋ ɐ lʲ u t ɐ
валютний	ʋ ɐ lʲ u t n e i̯
валіза	ʋ ɐ lʲ i z ɐ
вам	ʋ ɑ m
вами	ʋ ɑ m e
ванна	ʋ ɑ nː ɐ
вантажівка	ʋ ɐ n t ɐ ʒʲ i u̯ k ɐ
вартість	ʋ ɑ r tʲ i sʲ tʲ
варшава	ʋ ɐ r ʃ ɑ ʋ ɐ
варіант	ʋ ɐ rʲ i ɑ n t
вас	ʋ ɑ s
василь	ʋ ɐ s ɪ lʲ
вата	ʋ ɑ t ɐ
ватра	ʋ ɑ t r ɐ
ватру	ʋ ɑ t r ʊ
ваш	ʋ ɑ ʃ
ваша	ʋ ɑ ʃ ɐ
ваше	ʋ ɑ ʃ e
вашингтон	ʋ ɐ ʃ e n ɦ t ɔ n
ваші	ʋ ɑ ʃʲ i
вбивати	w b e ʋ ɑ t e
вбити	w b ɪ t e
ввесь	ʋː ɛ sʲ
вдова	w d ɔ ʋ ɑ
вдовець	w d ɔ ʋ ɛ t͡sʲ
вдячний	w dʲ ɑ t͡ʃ n e i̯
вдячність	w dʲ ɑ t͡ʃ nʲ i sʲ tʲ
ведмідь	ʋ e dʲ mʲ i dʲ
вежа	ʋ ɛ ʒ ɐ
везти	ʋ e z t ɪ
великдень	ʋ e ɫ ɪ ɡ d e nʲ
великий	ʋ e ɫ ɪ k e i̯
великобританія	ʋ e ɫ e k ɔ b r e t ɑ nʲ i j ɐ
великодушний	ʋ e ɫ e k o d u ʃ n e i̯
великодушність	ʋ e ɫ e k o d u ʃ nʲ i sʲ tʲ
великомученик	ʋ e ɫ e k o m u t͡ʃ e n e k
великомучениця	ʋ e ɫ e k o m u t͡ʃ e n e t͡sʲ ɐ
величезний	ʋ e ɫ e t͡ʃ ɛ z n e i̯
велиґдень	ʋ e ɫ ɪ ɡ d e nʲ
велосипед	ʋ e ɫ ɔ s e p ɛ d
велосипедист	ʋ e ɫ ɔ s e p e d ɪ s t
велосипедистка	ʋ e ɫ ɔ s e p e d ɪ s t k ɐ
велоспорт	ʋ e ɫ ɔ s p ɔ r t
вельможа	ʋ e lʲ m ɔ ʒ ɐ
вен	ʋ ɛ n
вена	ʋ ɛ n ɐ
венам	ʋ ɛ n ɐ m
венами	ʋ ɛ n ɐ m e
венах	ʋ ɛ n ɐ x
венесуела	ʋ e n e s ʊ ɛ ɫ ɐ
вени	ʋ ɛ n e
вено	ʋ ɛ n ɔ
веною	ʋ ɛ n ɔ j ʊ
вену	ʋ ɛ n ʊ
вені	ʋ ɛ nʲ i
вепр	ʋ ɛ p r
верблюд	ʋ e r b lʲ u d
верес	ʋ ɛ r e s
вересень	ʋ ɛ r e s e nʲ
веретено	ʋ e r e t ɛ n ɔ
вероніка	ʋ e r o nʲ i k ɐ
верства	ʋ e r s t ʋ ɑ
версія	ʋ ɛ r sʲ i j ɐ
вертоліт	ʋ e r t o lʲ i t
вертіти	ʋ e r tʲ i t e
верф	ʋ ɛ r f
верх	ʋ ɛ r x
вершина	ʋ e r ʃ ɪ n ɐ
веселий	ʋ e s ɛ ɫ e i̯
веселка	ʋ e s ɛ ɫ k ɐ
весна	ʋ e s n ɑ
весняний	ʋ e sʲ nʲ ɐ n ɪ i̯
вестернізація	ʋ e s t e r nʲ i z ɑ t͡sʲ i j ɐ
вести	ʋ e s t ɪ
весь	ʋ ɛ sʲ
весілля	ʋ e sʲ i lʲː ɐ
ветхий	ʋ ɛ t x e i̯
вечеря	ʋ e t͡ʃ ɛ rʲ ɐ
вечір	ʋ ɛ t͡ʃʲ i r
вечірка	ʋ e t͡ʃʲ i r k ɐ
вже	w ʒ ɛ
вживати	w ʒ e ʋ ɑ t e
вжити	w ʒ ɪ t e
взагалі	w z ɐ ɦ ɐ lʲ i
взаємодія	w z ɐ j e m o dʲ i j ɐ
взимку	w z ɪ m k ʊ
взуття	w z ʊ tʲː ɑ
взяти	w zʲ ɑ t e
ви	ʋ ɪ
вибачати	ʋ e b ɐ t͡ʃ ɑ t e
вибачити	ʋ ɪ b ɐ t͡ʃ e t e
вибачте	ʋ ɪ b ɐ t͡ʃ t e
виборець	ʋ ɪ b ɔ r e t͡sʲ
вибори	ʋ ɪ b ɔ r e
виборчий	ʋ ɪ b ɔ r t͡ʃ e i̯
вибух	ʋ ɪ b ʊ x
вибір	ʋ ɪ bʲ i r
вивезти	ʋ ɪ ʋ e z t e
виверження	ʋ ɪ ʋ e r ʒ e nʲː ɐ
вивільга	ʋ ɪ ʋʲ i lʲ ɦ ɐ
вигляд	ʋ ɪ ɦ lʲ ɐ d
вигук	ʋ ɪ ɦ ʊ k
вид	ʋ ɪ d
видання	ʋ e d ɐ nʲː ɑ
видання	ʋ e d ɑ nʲː ɐ
виделка	ʋ e d ɛ ɫ k ɐ
видимий	ʋ ɪ d e m e i̯
видимість	ʋ ɪ d e mʲ i sʲ tʲ
видра	ʋ ɪ d r ɐ
видіння	ʋ e dʲ i nʲː ɐ
вижлоктати	ʋ ɪ ʒ ɫ ɔ k t ɐ t e
вижлуктати	ʋ ɪ ʒ ɫ ʊ k t ɐ t e
вижлуктити	ʋ ɪ ʒ ɫ ʊ k t e t e
визнання	ʋ e z n ɑ nʲː ɐ
визначення	ʋ ɪ z n ɐ t͡ʃ e nʲː ɐ
вийти	ʋ ɪ i̯ t e
виклад	ʋ ɪ k ɫ ɐ d
викладач	ʋ e k ɫ ɐ d ɑ t͡ʃ
виключати	ʋ e k lʲ ʊ t͡ʃ ɑ t e
виконання	ʋ e k ɔ n ɑ nʲː ɐ
використання	ʋ e k ɔ r e s t ɑ nʲː ɐ
використання	ʋ ɪ k ɔ r e s t ɐ nʲː ɐ
використати	ʋ ɪ k ɔ r e s t ɐ t e
використовувати	ʋ e k ɔ r e s t ɔ w ʊ ʋ ɐ t e
вилов	ʋ ɪ ɫ ɔ u̯
вим'я	ʋ ɪ m j ɐ
вимазати	ʋ ɪ m ɐ z ɐ t e
вимикати	ʋ e m e k ɑ t e
вимкнути	ʋ ɪ m k n ʊ t e
вимова	ʋ e m ɔ ʋ ɐ
вимовляти	ʋ e m ɔ u̯ lʲ ɑ t e
вимога	ʋ e m ɔ ɦ ɐ
вимір	ʋ ɪ mʲ i r
винахідник	ʋ e n ɐ xʲ i d n e k
винахідниця	ʋ e n ɐ xʲ i d n e t͡sʲ ɐ
винник	ʋ ɪ nː e k
вино	ʋ e n ɔ
виноград	ʋ e n ɔ ɦ r ɑ d
виноградник	ʋ e n ɔ ɦ r ɑ d n e k
винокур	ʋ e n o k u r
винокурня	ʋ e n o k u r nʲ ɐ
винятковий	ʋ e nʲ ɐ t k ɔ ʋ e i̯
виняток	ʋ ɪ nʲ ɐ t ɔ k
випадок	ʋ e p ɑ d ɔ k
випадок	ʋ ɪ p ɐ d ɔ k
вираз	ʋ ɪ r ɐ z
вираховувати	ʋ e r ɐ x ɔ w ʊ ʋ ɐ t e
виробництво	ʋ e r ɔ b n ɪ t͡s t w ɔ
виріб	ʋ ɪ rʲ i b
вирішення	ʋ ɪ rʲ i ʃ e nʲː ɐ
вирішувати	ʋ e rʲ i ʃ ʊ ʋ ɐ t e
вислів	ʋ ɪ sʲ lʲ i u̯
висновок	ʋ ɪ s n ɔ w ɔ k
високий	ʋ e s ɔ k e i̯
висота	ʋ e s ɔ t ɑ
висіти	ʋ e sʲ i t e
висіти	ʋ ɪ sʲ i t e
витерти	ʋ ɪ t e r t e
вити	ʋ ɪ t e
витрата	ʋ ɪ t r ɐ t ɐ
вихід	ʋ ɪ xʲ i d
вишиванка	ʋ e ʃ e ʋ ɑ n k ɐ
вишити	ʋ ɪ ʃ e t e
вишня	ʋ ɪ ʃ nʲ ɐ
вказівний	ʍ k ɐ zʲ i u̯ n ɪ i̯
включати	ʍ k lʲ ʊ t͡ʃ ɑ t e
включити	ʍ k lʲ ʊ t͡ʃ ɪ t e
вкраїна	ʍ k r ɐ j i n ɐ
влада	w ɫ ɑ d ɐ
власний	w ɫ ɑ s n e i̯
власник	w ɫ ɑ s n e k
власність	w ɫ ɑ sʲ nʲ i sʲ tʲ
властивий	w ɫ ɐ s t ɪ ʋ e i̯
властивість	w ɫ ɐ s t ɪ ʋʲ i sʲ tʲ
власті	w ɫ ɑ sʲ tʲ i
вмерти	w m ɛ r t e
вмикати	w m e k ɑ t e
вмирати	w m e r ɑ t e
внесок	w n ɛ s ɔ k
вночі	w n o t͡ʃʲ i
внутрішній	w n u tʲ rʲ i ʃ nʲ i i̯
вовк	w ɔ u̯ k
вовкулака	w ɔ u̯ k ʊ ɫ ɑ k ɐ
вовна	w ɔ u̯ n ɐ
вогнище	w ɔ ɦ n e ʃ t͡ʃ e
вогонь	w ɔ ɦ ɔ nʲ
вода	w ɔ d ɑ
водень	w ɔ d e nʲ
водка	w ɔ d k ɐ
водночас	w ɔ d n ɔ t͡ʃ ɐ s
водій	w o dʲ i i̯
вождь	w ɔ ʒ dʲ
возити	w ɔ z ɪ t e
