.f	ʔ ɛ f
ꜥbꜥb	ɑː b ɑː b
ꜥf	ɑː f
ꜥff	ɑː f ɛ f
ꜥff	ʕ u f f V j
ꜥff	ʕ ø f f
ꜥftj	ɑː f t i
ꜥfḏt	ɑː f d͡ʒ ɛ t
ꜥfꜣy	ɑː f ɑ iː
ꜥgt	ɑː ɡ ɛ t
ꜥkꜣ	ɑː k ɑ
ꜥm	ɑː m
ꜥmm	ɑː m ɛ m
ꜥmr	ɑː m ɛ r
ꜥmꜥm	ɑː m ɑː m
ꜥmꜥt	ɑː m ɑː t
ꜥmꜥt	ʕ a m ʕ a t
ꜥmꜥt	ʕ a m ʕ a ʔ
ꜥmꜥt	ʕ a m ʕ ə
ꜥmꜥꜣ	ɑː m ɑː ʔ ɑ
ꜥmꜥꜣt	ɑː m ɑː ʔ ɑ ɛ t
ꜥn	ɑː n
ꜥnb	ɑː n ɛ b
ꜥnb	ʕ V n aː b V w
ꜥnb	ʕ a n oː β ə
ꜥnj	ɑː n i
ꜥnn	ɑː n ɛ n
ꜥnn	ʕ a n a n
ꜥnq	ɑː n ɛ k
ꜥnqt	ɑː n k ɛ t
ꜥnt	ɑː n ɛ t
ꜥntj	ɑː n t i
ꜥntjt	ɑː n t i t
ꜥntjw	ɑː n t i uː
ꜥnḏ	ɑː n ɛ d͡ʒ
ꜥnḏw	ɑː n d͡ʒ uː
ꜥnḏw	ʕ a n cʼ a w w u w
ꜥnḏw	ʕ a n tʼ a w w u w
ꜥnḏw	ʕ ə n tʼ a w w ə
ꜥnḫ	ɑː n x
ꜥnḫ	ʕ a n a χ
ꜥnḫ	ʕ aː n a χ
ꜥnḫ	ʕ aː n ə χ
ꜥnḫ	ʕ oː n ə χ
ꜥnḫ.tj	ɑː n x ʔ t i
ꜥnḫwj	ɑː n x uː i
ꜥnꜥn	ɑː n ɑː n
ꜥpj	ɑː p i
ꜥpr	ɑː p ɛ r
ꜥpšꜣy	ɑː p ʃ ɑ iː
ꜥq	ɑː k
ꜥq	ʕ aː qʼ
ꜥq	ʕ oː qʼ
ꜥqw	ɑː k uː
ꜥqw	ʕ a qʼ w
ꜥqw	ʕ a qʼ w u w
ꜥqyt	ɑː k iː t
ꜥqꜣ	ɑː k ɑ
ꜥrf	ɑː r ɛ f
ꜥrq	ɑː r ɛ k
ꜥrq	ʕ a l a qʼ
ꜥrq	ʕ a l aː qʼ a w
ꜥrq	ʕ a l oː qʼ
ꜥrq	ʕ aː l a qʼ
ꜥrq	ʕ oː l ə qʼ
ꜥrqy	ɑː r k iː
ꜥrrwt	ɑː r ɛ r uː t
ꜥrt	ɑː r ɛ t
ꜥsṯjrṯt	ɑː s t͡ʃ i r t͡ʃ ɛ t
ꜥt	ɑː t
ꜥwt	ɑː uː t
ꜥwꜣ	ɑː uː ɑ
ꜥwꜣj	ɑː uː ɑ i
ꜥwꜣy	ɑː uː ɑ iː
ꜥš	ɑː ʃ
ꜥš	ʕ aː ʃ
ꜥš	ʕ oː ʃ
ꜥšm	ɑː ʃ ɛ m
ꜥšꜣ	ɑː ʃ ɑ
ꜥšꜣ	ʕ a ʃ e j
ꜥšꜣ	ʕ i ʃ i ʀ
ꜥšꜣt	ɑː ʃ ɑ t
ꜥḏ	ɑː d͡ʒ
ꜥḏt	ɑː d͡ʒ ɛ t
ꜥḥ	ɑː ħ
ꜥḥꜣ	ɑː ħ ɑ
ꜥḥꜣw	ɑː ħ ɑ uː
ꜥḥꜣwtj	ɑː ħ ɑ uː t i
ꜥḥꜣwtj	ʕ a ħ ʀ a w t i j
ꜥḥꜣwtj	ʕ ə ħ a w t
ꜥḥꜥ	ɑː ħ ɑː
ꜥḥꜥw	ɑː ħ ɑː uː
ꜥḫm	ɑː x ɛ m
ꜥḫḫw	ɑː x ɛ x uː
ꜥẖj	ɑː ç i
ꜥẖm	ɑː ç ɛ m
ꜥẖm	ʕ a ç aː m a w
ꜥẖm	ʕ a ç oː m
ꜥꜣ	i ʕ a ʀ
ꜥꜣ	ɑː ʔ ɑ
ꜥꜣ	ʕ a ʀ
ꜥꜣ	ʕ a ʔ
ꜥꜣ	ʕ o ʔ
ꜥꜣb	ɑː ʔ ɑ b
ꜥꜣdt	ɑː ʔ ɑ d ɛ t
ꜥꜣg	ɑː ʔ ɑ ɡ
ꜥꜣj	ɑː ʔ ɑ i
ꜥꜣj	ʕ i ʀ j i t
ꜥꜣj	ʕ i ʀ j i ʔ
ꜥꜣj	ʕ iː ʔ ə
ꜥꜣm	ɑː ʔ ɑ m
ꜥꜣmt	ɑː ʔ ɑ m ɛ t
ꜥꜣnbpꜣjr	ɑː ʔ ɑ n ɛ b p ɑ i r
ꜥꜣpp	ɑː ʔ ɑ p ɛ p
ꜥꜣt	ɑː ʔ ɑ t
ꜥꜣw	ɑː ʔ ɑ uː
ꜥꜣꜥ	ɑː ʔ ɑ ʔ ɑː
ꜥꜥb	ɑː ʔ ɑː b
ꜥꜥft	ɑː ʔ ɑː f ɛ t
ꜥꜥj	ɑː ʔ ɑː i
ꜥꜥw	ɑː ʔ ɑː uː
