あ	a̠
あまがえる	a̠ m a̠ ɡ a̠ e̞ ɾ ɯ̟ᵝ
あまがつ	a̠ m a̠ ɡ a̠ t͡s ɨᵝ
あまがみ	a̠ m a̠ ɡ a̠ mʲ i
あまぎ	a̠ m a̠ ɡʲ i
あまくさ	a̠ m a̠ k ɯ̟ᵝ s a̠
あまくだり	a̠ m a̠ k ɯ̟ᵝ d a̠ ɾʲ i
あまぐつ	a̠ m a̠ ɡ ɯ̟ᵝ t͡s ɨᵝ
あまぐも	a̠ m a̠ ɡ ɯ̟ᵝ m o̞
あます	a̠ m a̠ s ɨᵝ
あまた	a̠ m a̠ t a̠
あまだれ	a̠ m a̠ d a̠ ɾ e̞
あまっちょろい	a̠ m a̠ t̚ t͡ɕ o̞ ɾ o̞ i
あまつばめ	a̠ m a̠ t͡s ɨᵝ b a̠ m e̞
あまつまら	a̠ m a̠ t͡s ɨᵝ m a̠ ɾ a̠
あまてらす	a̠ m a̠ t e̞ ɾ a̠ s ɨᵝ
あまでら	a̠ m a̠ d e̞ ɾ a̠
あまとう	a̠ m a̠ t o̞ː
あまねく	a̠ m a̠ n e̞ k ɯ̟ᵝ
あまねし	a̠ m a̠ n e̞ ɕ i
あまのがわ	a̠ m a̠ n o̞ ɡ a̠ ɰᵝ a̠
あまのじゃく	a̠ m a̠ n o̞ ʑ a̠ k ɯ̟ᵝ
あまのむらくものつるぎ	a̠ m a̠ n o̞ m ɯ̟ᵝ ɾ a̠ k ɯ̟ᵝ m o̞ n o̞ t͡s ɨᵝ ɾ ɯ̟ᵝ ɡʲ i
あまみ	a̠ m a̠ mʲ i
あまみず	a̠ m a̠ mʲ i z ɨᵝ
あまみなみ	a̠ m a̠ mʲ i n a̠ mʲ i
あまみや	a̠ m a̠ mʲ i j a̠
あまやかす	a̠ m a̠ j a̠ k a̠ s ɨᵝ
あまり	a̠ m a̠ ɾʲ i
あまる	a̠ m a̠ ɾ ɯ̟ᵝ
あみ	a̠ mʲ i
あみぐるみ	a̠ mʲ i ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ mʲ i
あみだくじ	a̠ mʲ i d a̠ k ɯ̟ᵝ ʑ i
あみだな	a̠ mʲ i d a̠ n a̠
あみだぶつ	a̠ mʲ i d a̠ b ɯ̟ᵝ t͡s ɨᵝ
あみてん	a̠ mʲ i t ẽ̞ ɴ
あみの	a̠ mʲ i n o̞
あみめにしきへび	a̠ mʲ i m e̞ ɲ̟ i ɕ i kʲ i h e̞ bʲ i
あみもの	a̠ mʲ i m o̞ n o̞
あむ	a̠ m ɯ̟ᵝ
あめ	a̠ m e̞
あめあがり	a̠ m e̞ a̠ ɡ a̠ ɾʲ i
あめがした	a̠ m e̞ ŋ a̠ ɕ i̥ t a̠
あめだま	a̠ m e̞ d a̠ m a̠
あめつづき	a̠ m e̞ t͡s ɯᵝ d͡z ɯᵝ k i
あめつづき	a̠ m e̞ t͡s ɯᵝ z ɯᵝ k i
あめのした	a̠ m e̞ n o̞ ɕ i̥ t a̠
あめふり	a̠ m e̞ ɸ ɯ̟ᵝ ɾʲ i
あめもよう	a̠ m e̞ m o̞ j o̞ː
あめんぼ	a̠ m ẽ̞ m b o̞
あめんぼ	s ɨᵝ i b a̠
あめんぼう	a̠ m ẽ̞ m b o̞ː
あもく	a̠ m o̞ k ɯ̟ᵝ
あやうい	a̠ j a̠ ɯ̟ᵝ i
あやか	a̠ j a̠ k a̠
あやかる	a̠ j a̠ k a̠ ɾ ɯ̟ᵝ
あやしい	a̠ j a̠ ɕ iː
あやつる	a̠ j a̠ t͡s ɨᵝ ɾ ɯ̟ᵝ
あやとり	a̠ j a̠ t o̞ ɾʲ i
あやぶむ	a̠ j a̠ b ɯ̟ᵝ m ɯ̟ᵝ
あやまち	a̠ j a̠ m a̠ t͡ɕ i
あやまつ	a̠ j a̠ m a̠ t͡s ɨᵝ
あやまる	a̠ j a̠ m a̠ ɾ ɯ̟ᵝ
あやめ	a̠ j a̠ m e̞
あやめる	a̠ j a̠ m e̞ ɾ ɯ̟ᵝ
あゆ	a̠ j ɯ̟ᵝ
あゆこ	a̠ j ɯ̟ᵝ k o̞
あゆみ	a̠ j ɯ̟ᵝ mʲ i
あゆむ	a̠ j ɯ̟ᵝ m ɯ̟ᵝ
あら	a̠ ɾ a̠
あらあら	a̠ ɾ a̠ː ɾ a̠
あらあらしい	a̠ ɾ a̠ a̠ ɾ a̠ ɕ i i
あらい	a̠ ɾ a̠ i
あらいぐま	a̠ ɾ a̠ i ɡ ɯ̟ᵝ m a̠
あらう	a̠ ɾ a̠ ɯ̟ᵝ
あらかた	a̠ ɾ a̠ k a̠ t a̠
あらかん	a̠ ɾ a̠ k ã̠ ɴ
あらがう	a̠ ɾ a̠ ɡ a̠ ɯ̟ᵝ
あらけずり	a̠ ɾ a̠ k e̞ z ɨᵝ ɾʲ i
あらさき	a̠ ɾ a̠ s a̠ kʲ i
あらし	a̠ ɾ a̠ ɕ i
あらす	a̠ ɾ a̠ s ɨᵝ
あらすじ	a̠ ɾ a̠ s ɨᵝ ʑ i
あらそい	a̠ ɾ a̠ s o̞ i
あらそう	a̠ ɾ a̠ s o̞ ɯ̟ᵝ
あらた	a̠ ɾ a̠ t a̠
あらたまる	a̠ ɾ a̠ t a̠ m a̠ ɾ ɯ̟ᵝ
あらためて	a̠ ɾ a̠ t a̠ m e̞ t e̞
あらためる	a̠ ɾ a̠ t a̠ m e̞ ɾ ɯ̟ᵝ
あらっぽい	a̠ ɾ a̠ p̚ p o̞ i
あらて	a̠ ɾ a̠ t e̞
あらぬ	a̠ ɾ a̠ n ɯ̟ᵝ
あらねつ	a̠ ɾ a̠ n e̞ t͡s ɨᵝ
あらぶる	a̠ ɾ a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ
あらまあ	a̠ ɾ a̠ m a̠ː
あらみたま	a̠ ɾ a̠ mʲ i t a̠ m a̠
あらめ	a̠ ɾ a̠ m e̞
あらやしき	a̠ ɾ a̠ j a̠ ɕ i kʲ i
あらゆる	a̠ ɾ a̠ j ɯ̟ᵝ ɾ ɯ̟ᵝ
あらら	a̠ ɾ a̠ ɾ a̠
あられ	a̠ ɾ a̠ ɾ e̞
あられいし	a̠ ɾ a̠ ɾ e̞ i ɕ i
あられもない	a̠ ɾ a̠ ɾ e̞ m o̞ n a̠ i
あらわす	a̠ ɾ a̠ ɰᵝ a̠ s ɨ̥ᵝ
あらわす	a̠ ɾ a̠ ɰᵝ a̠ s ɨᵝ
あらわれる	a̠ ɾ a̠ ɰᵝ a̠ ɾ e̞ ɾ ɯ̟ᵝ
ありあけ	a̠ ɾʲ i a̠ k e̞
ありうる	a̠ ɾʲ i ɯ̟ᵝ ɾ ɯ̟ᵝ
ありがたい	a̠ ɾʲ i ɡ a̠ t a̠ i
ありがと	a̠ ɾʲ i ɡ a̠ t o̞
ありがとう	a̠ ɾʲ i ɡ a̠ t o̞ː
ありがとうございます	a̠ ɾ i ŋ a̠ t o̞ː ɡ o̞ z a̠ i m a̠ s ɯ̥ᵝ
ありがとうございます	a̠ ɾ i ŋ a̠ t o̞ː ɡ o̞ z a̠ i m a̠ s ɯᵝ
ありがとうございます	a̠ ɾ i ɡ a̠ t o̞ː ɡ o̞ z a̠ i m a̠ s ɯ̥ᵝ
ありがとうございます	a̠ ɾ i ɡ a̠ t o̞ː ɡ o̞ z a̠ i m a̠ s ɯᵝ
ありきたり	a̠ ɾʲ i kʲ i t a̠ ɾʲ i
ありくい	a̠ ɾʲ i k ɯ̟ᵝ i
ありじごく	a̠ ɾʲ i ʑ i ɡ o̞ k ɯ̟ᵝ
ありすがわ	a̠ ɾʲ i s ɨᵝ ɡ a̠ ɰᵝ a̠
ありのこ	a̠ ɾʲ i n o̞ k o̞
ありふれる	a̠ ɾʲ i ɸ ɯ̟ᵝ ɾ e̞ ɾ ɯ̟ᵝ
ありやす	a̠ ɾʲ i j a̠ s ɨᵝ
ありゅうさん	a̠ ɾʲ ɨᵝː s ã̠ ɴ
ありんさん	a̠ ɾʲ ĩ ɰ̃ s ã̠ ɴ
ある	a̠ ɾ ɯ̟ᵝ
あるある	a̠ ɾ ɯ̟ᵝ a̠ ɾ ɯ̟ᵝ
あるいは	a̠ ɾ ɯ̟ᵝ i ɰᵝ a̠
あるきまわる	a̠ ɾ ɯ̟ᵝ kʲ i m a̠ ɰᵝ a̠ ɾ ɯ̟ᵝ
あるきみこ	a̠ ɾ ɯ̟ᵝ kʲ i mʲ i k o̞
あるく	a̠ ɾ ɯ̟ᵝ k ɯ̟ᵝ
あるじ	a̠ ɾ ɯ̟ᵝ ʑ i
あるみ	a r u m i
あれ	a̠ ɾ e̞
あれい	a̠ ɾ e̞ː
あれこれ	a̠ ɾ e̞ k o̞ ɾ e̞
あれはだ	a̠ ɾ e̞ h a̠ d a̠
あれはてる	a̠ ɾ e̞ h a̠ t e̞ ɾ ɯ̟ᵝ
あれら	a̠ ɾ e̞ ɾ a̠
あれる	a̠ ɾ e̞ ɾ ɯ̟ᵝ
あろうことか	a̠ ɾ o̞ː k o̞ t o̞ k a̠
あわ	a̠ ɰᵝ a̠
あわうみ	a̠ ɰᵝ a̠ ɯ̟ᵝ mʲ i
あわす	a̠ ɰᵝ a̠ s ɨᵝ
あわせ	a̠ ɰᵝ a̠ s e̞
あわせる	a̠ ɰᵝ a̠ s e̞ ɾ ɯ̟ᵝ
あわただしい	a̠ ɰᵝ a̠ t a̠ d a̠ ɕ i i
あわだてき	a̠ ɰᵝ a̠ d a̠ t e̞ kʲ i
あわてる	a̠ ɰᵝ a̠ t e̞ ɾ ɯ̟ᵝ
あわもり	a̠ ɰᵝ a̠ m o̞ ɾʲ i
あわや	a̠ ɰᵝ a̠ j a̠
あわよくば	a̠ ɰᵝ a̠ j o̞ k ɯ̟ᵝ b a̠
あわれ	a̠ ɰᵝ a̠ ɾ e̞
あわれみ	a̠ ɰᵝ a̠ ɾ e̞ mʲ i
あわれむ	a̠ ɰᵝ a̠ ɾ e̞ m ɯ̟ᵝ
あん	ã̠ ɴ
あんうつ	ã̠ ɰ̃ ɯ̟ᵝ t͡s ɨᵝ
あんえい	a̠ ɴ e̞ː
あんき	ã̠ ŋʲ kʲ i
あんきも	ã̠ ŋʲ kʲ i m o̞
あんこ	ã̠ ŋ k o̞
あんこう	ã̠ ŋ k o̞ː
あんこく	ã̠ ŋ k o̞ k ɯ̟ᵝ
あんこくたいりく	ã̠ ŋ k o̞ k ɯ̟ᵝ t a̠ i ɾʲ i k ɯ̟ᵝ
あんこくぶっしつ	ã̠ ŋ k o̞ k ɯ̟ᵝ b ɯ̟ᵝ ɕː i̥ t͡s ɨᵝ
あんごう	ã̠ ŋ ɡ o̞ː
あんごうつうか	ã̠ ŋ ɡ o̞ː t͡s ɨᵝː k a̠
あんさつ	ã̠ ɰ̃ s a̠ t͡s ɨᵝ
あんざん	ã̠ n d͡z ã̠ ɴ
あんざんし	ã̠ n d͡z ã̠ ɰ̃ ɕ i
あんしじゅつ	ã̠ ɰ̃ ɕ i ʑ ɨᵝ t͡s ɨᵝ
あんしつ	ã̠ ɰ̃ ɕ i̥ t͡s ɨᵝ
あんしょ	ã̠ ɰ̃ ɕ o̞
あんしょう	ã̠ ɰ̃ ɕ o̞ː
あんしん	ã̠ ɰ̃ ɕ ĩ ɴ
あんしんりつめい	ã̠ ɰ̃ ɕ ĩ n ɾʲ i t͡s ɨᵝ m e̞ː
あんじる	ã̠ ɲ̟ d͡ʑ i ɾ ɯ̟ᵝ
あんず	ã̠ n d͡z ɨᵝ
あんせい	ã̠ ɰ̃ s e̞ː
あんぜん	ã̠ n d͡z ẽ̞ ɴ
あんぜんかみそり	ã̠ n d͡z ẽ̞ ŋ k a̠ mʲ i s o̞ ɾʲ i
あんぜんこうきてい	ã̠ n d͡z ẽ̞ ŋ k o̞ː kʲ i t e̞ː
あんぜんだいいち	ã̠ n d͡z ẽ̞ n d a̠ i i t͡ɕ i
あんそくじつ	ã̠ ɰ̃ s o̞ k ɯ̟ᵝ ɲ̟ i t͡ɕ i
あんた	ã̠ n t a̠
あんたい	ã̠ n t a̠ i
あんちょく	ã̠ ɲ̟ t͡ɕ o̞ k ɯ̟ᵝ
あんていざい	ã̠ n t e̞ː z a̠ i
あんてん	ã̠ n t ẽ̞ ɴ
あんどん	ã̠ n d õ̞ ɴ
あんな	ã̠ nː a̠
あんない	ã̠ nː a̠ i
あんないしょ	ã̠ nː a̠ i ɕ o̞
あんないじょう	ã̠ nː a̠ i ʑ o̞ː
あんなに	ã̠ nː a̠ ɲ̟ i
あんなん	ã̠ nː ã̠ ɴ
あんにんどうふ	ã̠ ɲ̟ ɲ̟ ĩ n d o̞ː ɸ ɯ̟ᵝ
あんねい	ã̠ nː e̞ː
あんのじょう	ã̠ nː o̞ ʑ o̞ː
あんのん	ã̠ nː õ̞ ɴ
あんばい	ã̠ m b a̠ i
あんぴ	ã̠ m pʲ i
あんぶん	ã̠ m b ɯ̟̃ᵝ ɴ
あんぽんたん	ã̠ m p õ̞ n t ã̠ ɴ
あんまり	ã̠ mː a̠ ɾʲ i
あんまん	ã̠ mː ã̠ ɴ
あんもち	ã̠ mː o̞ t͡ɕ i
あんらく	ã̠ n ɾ a̠ k ɯ̟ᵝ
あんらくし	ã̠ n ɾ a̠ k ɯ̟ᵝ ɕ i
い	i
いあつ	i a̠ t͡s ɨᵝ
いあんふ	i ã̠ ɰ̃ ɸ ɯ̟ᵝ
いいあう	i i a̠ ɯ̟ᵝ
いいえ	iː e̞
いいおよぶ	i i o̞ j o̞ b ɯ̟ᵝ
いいかえす	iː k a̠ e̞ s ɨᵝ
いいかえる	i i k a̠ e̞ ɾ ɯ̟ᵝ
いいかげん	i i k a̠ ɡ ẽ̞ ɴ
いいかた	i i k a̠ t a̠
いいから	iː k a̠ ɾ a̠
いいがかり	iː ɡ a̠ k a̠ ɾʲ i
いいきかせる	iː kʲ i k a̠ s e̞ ɾ ɯ̟ᵝ
いいきる	i i kʲ i ɾ ɯ̟ᵝ
いいこなす	iː k o̞ n a̠ s ɨᵝ
いいずな	iː z ɨᵝ n a̠
いいそびれる	iː s o̞ bʲ i ɾ e̞ ɾ ɯ̟ᵝ
いいたてる	iː t a̠ t e̞ ɾ ɯ̟ᵝ
いいだ	iː d a̠
いいだす	i i d a̠ s ɨᵝ
いいつける	i i t͡s ɨᵝ k e̞ ɾ ɯ̟ᵝ
いいなずけ	iː n a̠ z ɨᵝ k e̞
いいね	i i n e̞
いいはなつ	i i h a̠ n a̠ t͡s ɨᵝ
いいまわし	i i m a̠ ɰᵝ a̠ ɕ i
いいまわす	i i m a̠ ɰᵝ a̠ s ɨᵝ
いいん	i ĩ ɴ
いいんかい	i ĩ ŋ k a̠ i
いう	i ɯ̟ᵝ
いうはやすくおこなうはかたし	i ɯ̟ᵝ ɰᵝ a̠ j a̠ s ɨᵝ k ɯ̟ᵝ o̞ k o̞ n a̠ ɯ̟ᵝ ɰᵝ a̠ k a̠ t a̠ ɕ i
いうまでもない	i ɯ̟ᵝ m a̠ d e̞ m o̞ n a̠ i
いぇ	j e̞
いえ	i e̞
いえい	i e̞ː
いえいえ	i e̞ː e̞
いえじ	i e̞ ʑ i
いえで	i e̞ d e̞
いえでにん	i e̞ d e̞ ɲ̟ ĩ ɴ
いえもち	i e̞ m o̞ t͡ɕ i
いおう	i o̞ː
いおうとう	i o̞ː t o̞ː
いおり	i o̞ ɾʲ i
いおん	i õ̞ ɴ
いか	i k a̠
いかいよう	i k a̠ i j o̞ː
いかが	i k a̠ ɡ a̠
いかがわしい	i k a̠ ɡ a̠ ɰᵝ a̠ ɕ iː
いかく	i k a̠ k ɯ̟ᵝ
いかけ	i k a̠ k e̞
いかけし	i k a̠ k e̞ ɕ i
いかけや	i k a̠ k e̞ j a̠
いかす	i k a̠ s ɨᵝ
いかすい	i k a̠ s ɨᵝ i
いかすみ	i k a̠ s ɨᵝ mʲ i
いかだ	i k a̠ d a̠
いかめしい	i k a̠ m e̞ ɕ iː
いかり	i k a̠ ɾʲ i
いかる	i k a̠ ɾ ɯ̟ᵝ
いかれる	i k a̠ ɾ e̞ ɾ ɯ̟ᵝ
いかん	i k ã̠ ɴ
いがい	i ɡ a̠ i
いがく	i ɡ a̠ k ɯ̟ᵝ
いがらし	i ɡ a̠ ɾ a̠ ɕ i
いき	i kʲ i
いきうめ	i kʲ i ɯ̟ᵝ m e̞
いきおい	i kʲ i o̞ i
いきか	i kʲ i k a̠
いきかえる	i kʲ i k a̠ e̞ ɾ ɯ̟ᵝ
いきがい	i kʲ i ɡ a̠ i
いきがきれる	i kʲ i ɡ a̠ kʲ i ɾ e̞ ɾ ɯ̟ᵝ
いきぐすり	i kʲ i ɡ ɯ̟ᵝ s ɨᵝ ɾʲ i
いきぐるしい	i kʲ i ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ iː
いきごみ	i kʲ i ɡ o̞ mʲ i
いきごむ	i kʲ i ɡ o̞ m ɯ̟ᵝ
いきじ	i kʲ i ʑ i
いきじごく	i kʲ i ʑ i ɡ o̞ k ɯ̟ᵝ
いきじびき	i kʲ i d͡ʑ i bʲ i kʲ i
いきつぎ	i kʲ i t͡s ɨᵝ ɡʲ i
いきづかい	i kʲ i z ɨᵝ k a̠ i
いきづまる	i kʲ i z ɨᵝ m a̠ ɾ ɯ̟ᵝ
いきとうごう	i kʲ i̥ t o̞ː ɡ o̞ː
いきどまり	i kʲ i d o̞ m a̠ ɾʲ i
いきなり	i kʲ i n a̠ ɾʲ i
いきぬき	i kʲ i n ɯ̟ᵝ kʲ i
いきのこる	i kʲ i n o̞ k o̞ ɾ ɯ̟ᵝ
いきのびる	i kʲ i n o̞ bʲ i ɾ ɯ̟ᵝ
いきもの	i kʲ i m o̞ n o̞
いきょ	i kʲ o̞
いきょう	i kʲ o̞ː
いきょうと	i kʲ o̞ː t o̞
いきょく	i kʲ o̞ k ɯ̟ᵝ
いきようよう	i kʲ i j o̞ː j o̞ː
いきる	i kʲ i ɾ ɯ̟ᵝ
いきわかれ	i kʲ i ɰᵝ a̠ k a̠ ɾ e̞
いきわかれる	i kʲ i ɰᵝ a̠ k a̠ ɾ e̞ ɾ ɯ̟ᵝ
いきをきらす	i kʲ i o̞ kʲ i ɾ a̠ s ɨᵝ
いぎ	i ɡʲ i
いぎょう	i ɡʲ o̞ː
いく	i k ɯ̟ᵝ
いくぐすり	i k ɯ̟ᵝ ɡ ɯ̟ᵝ s ɨᵝ ɾʲ i
いくさ	i k ɯ̟ᵝ s a̠
いくせいそう	i k ɯ̟ᵝ s e̞ː s o̞ː
いくせん	i k ɯ̟ᵝ s ẽ̞ ɴ
いくた	i k ɯ̟ᵝ t a̠
いくつ	i k ɯ̟ᵝ t͡s ɨᵝ
いくつも	i k ɯ̟ᵝ t͡s ɨᵝ m o̞
いくねん	i k ɯ̟ᵝ n ẽ̞ ɴ
いくばく	i k ɯ̟ᵝ b a̠ k ɯ̟ᵝ
いくひ	s e̞ː ʑ i t͡s ɨᵝ
いくぶん	i k ɯ̟ᵝ b ɯ̟̃ᵝ ɴ
いくら	i k ɯ̟ᵝ ɾ a̠
いくらか	i k ɯ̟ᵝ ɾ a̠ k a̠
いぐち	i ɡ ɯ̟ᵝ t͡ɕ i
いけ	i k e̞
いけいれん	i k e̞ː ɾ ẽ̞ ɴ
いけにえ	i k e̞ ɲ̟ i e̞
いけばな	i k e̞ b a̠ n a̠
いけん	i k ẽ̞ ɴ
いけんらん	i k ẽ̞ n ɾ ã̠ ɴ
いげた	i ɡ e̞ t a̠
いこ	i k o̞
いこう	i k o̞ː
いこみき	i k o̞
いご	i ɡ o̞
いさい	i s a̠ i
いさぎよい	i s a̠ ɡʲ i j o̞ i
いさく	i s a̠ k ɯ̟ᵝ
いさごむし	i s a̠ ɡ o̞ m ɯ̟ᵝ ɕ i
いささか	i s a̠ s a̠ k a̠
いさちる	i s a̠ t͡ɕ i ɾ ɯ̟ᵝ
いさつ	i s a̠ t͡s ɨᵝ
いさましい	i s a̠ m a̠ ɕ i i
いざ	i z a̠
いざかや	i z a̠ k a̠ j a̠
いざなぎ	i z a̠ n a̠ ɡʲ i
いざなみ	i z a̠ n a̠ mʲ i
いざよい	i z a̠ j o̞ i
いざよう	i z a̠ j o̞ː
いし	i ɕ i
いしい	i ɕ iː
いしかり	i ɕ i k a̠ ɾʲ i
いしかわ	i ɕ i k a̠ ɰᵝ a̠
いしかわけん	i ɕ i k a̠ ɰᵝ a̠ k ẽ̞ ɴ
いしがんとう	i ɕ i ɡ ã̠ n t o̞ː
いしき	i ɕ i̥ kʲ i
いしこづめ	i ɕ i k o̞ z ɨᵝ m e̞
いしだたみ	i ɕ i d a̠ t a̠ mʲ i
いしだて	i ɕ i d a̠ t e̞
いしだん	i ɕ i d ã̠ ɴ
いしづか	i ɕ i z ɨᵝ k a̠
いしのうえにもさんねん	i ɕ i n o̞ː e̞ ɲ̟ i m o̞ s ã̠ nː ẽ̞ ɴ
いしばしをたたいてこわす	i ɕ i b a̠ ɕ i o̞ t a̠ t a̠ i t e̞ k o̞ ɰᵝ a̠ s ɨᵝ
いしばしをたたいてわたる	i ɕ i b a̠ ɕ i o̞ t a̠ t a̠ i t e̞ ɰᵝ a̠ t a̠ ɾ ɯ̟ᵝ
いしぶみ	i ɕ i b ɯ̟ᵝ mʲ i
いしむかで	i ɕ i m ɯ̟ᵝ k a̠ d e̞
いしゃ	i ɕ a̠
いしゃりょう	i ɕ a̠ ɾʲ o̞ː
いしゅ	i ɕ ɨᵝ
いしゅう	i ɕ ɨᵝː
いしゅかくとうぎせん	i ɕʲ ɯᵝ k a̠ k ɯ̥ᵝ t o̞ː ŋ i s ẽ̞ ɴ
いしゅく	i ɕ ɨᵝ k ɯ̟ᵝ
いしょ	i ɕ o̞
いしょう	i ɕ o̞ː
いしょく	i ɕ o̞ k ɯ̟ᵝ
いしょくしゅ	i ɕ o̞ k ɯ̟ᵝ ɕ ɨᵝ
いしょくしょう	i ɕ o̞ k ɯ̟ᵝ ɕ o̞ː
いしりょく	i ɕ i ɾʲ o̞ k ɯ̟ᵝ
いしわた	i ɕ i ɰᵝ a̠ t a̠
いしん	i ɕ ĩ ɴ
いじ	i ʑ i
いじいじ	i ʑ i i ʑ i
いじける	i ʑ i k e̞ ɾ ɯ̟ᵝ
いじげん	i ʑ i ɡ ẽ̞ ɴ
いじでも	i ʑ i d e̞ m o̞
いじばる	i ʑ i b a̠ ɾ ɯ̟ᵝ
いじめっこ	i ʑ i m e̞ k̚ k o̞
いじめる	i ʑ i m e̞ ɾ ɯ̟ᵝ
いじゅうしゃ	i ʑ ɨᵝː ɕ a̠
いじょう	i ʑ o̞ː
いじる	i ʑ i ɾ ɯ̟ᵝ
いじわる	i ʑ i ɰᵝ a̠ ɾ ɯ̟ᵝ
いじんしゅかん	i ʑ ĩ ɰ̃ ɕ ɨᵝ k ã̠ ɴ
いす	i s ɨᵝ
いすか	i s ɨᵝ k a̠
いすず	i s ɨᵝ z ɨᵝ
いすゞ	i s ɨᵝ z ɨᵝ
いず	i z ɨᵝ
いずく	i z ɨᵝ k ɯ̟ᵝ
いずこ	i z ɨᵝ k o̞
いずのくに	i z ɨᵝ n o̞ k ɯ̟ᵝ ɲ̟ i
いずみ	i z ɨᵝ mʲ i
いずら	i z ɨᵝ ɾ a̠
いずれ	i z ɨᵝ ɾ e̞
いずれにしろ	i z ɨᵝ ɾ e̞ ɲ̟ i ɕ i ɾ o̞
いせい	i s e̞ː
いせいかとう	i s e̞ː k a̠ t o̞ː
いせいしゃ	i s e̞ː ɕ a̠
いせいじん	i s e̞ː ʑ ĩ ɴ
いせえび	i s e̞ e̞ bʲ i
いせかい	i s e̞ k a̠ i
いせつ	i s e̞ t͡s ɨᵝ
いせん	i s ẽ̞ ɴ
いぜん	i z ẽ̞ ɴ
いぜんけい	i z ẽ̞ ŋ k e̞ː
いぜんとして	i z ẽ̞ n t o̞ ɕ i t e̞
いそ	i s o̞
いそうきかがく	i s o̞ː kʲ i̥ k a̠ ɡ a̠ k ɯ̟ᵝ
いそうくうかん	i s o̞ː k ɯ̟ᵝː k ã̠ ɴ
いそうくうかんろん	i s o̞ː k ɯ̟ᵝː k ã̠ n ɾ õ̞ ɴ
いそがしい	i s o̞ ɡ a̠ ɕ iː
いそぎんちゃく	i s o̞ ɡʲ ĩ ɲ̟ t͡ɕ a̠ k ɯ̟ᵝ
いそく	i s o̞ k ɯ̟ᵝ
いそぐ	i s o̞ ɡ ɯ̟ᵝ
いそしむ	i s o̞ ɕ i m ɯ̟ᵝ
いた	i t a̠
いたい	i t a̠ i
いたいじ	i t a̠ i ʑ i
いたいたしい	i t a̠ i t a̠ ɕ iː
いたくさんか	i t a̠ k ɯ̟ᵝ s ã̠ ŋ k a̠
いたくはんばい	i t a̠ k ɯ̟ᵝ h ã̠ m b a̠ i
いたしゃ	i t a̠ ɕ a̠
いたす	i t a̠ s ɨᵝ
いたずら	a̠ d a̠
いたずら	i t a̠ z ɨᵝ ɾ a̠
いたずらずき	i t a̠ z ɨᵝ ɾ a̠ z ɨᵝ kʲ i
いただきます	i t a̠ d a̠ kʲ i m a̠ s ɨ̥ᵝ
いただく	i t a̠ d a̠ k ɯ̟ᵝ
いたって	i t a̠ t̚ t e̞
いたで	i t a̠ d e̞
いたにつく	i t a̠ ɲ̟ i t͡s ɨᵝ k ɯ̟ᵝ
いたみ	i t a̠ mʲ i
いたむ	i t a̠ m ɯ̟ᵝ
いためる	i t a̠ m e̞ ɾ ɯ̟ᵝ
いたる	i t a̠ ɾ ɯ̟ᵝ
いたわしい	i t a̠ ɰᵝ a̠ ɕ iː
いたわる	i t a̠ ɰᵝ a̠ ɾ ɯ̟ᵝ
いたん	i t ã̠ ɴ
いたんしんもん	i t ã̠ ɰ̃ ɕ ĩ mː õ̞ ɴ
いだい	i d a̠ i
いだてん	i d a̠ t ẽ̞ ɴ
いだてんばしり	i d a̠ t ẽ̞ m b a̠ ɕ i ɾʲ i
いち	i t͡ɕ i
いちい	i t͡ɕ i i
いちいち	i t͡ɕ iː t͡ɕ i
いちいんせい	i t͡ɕ i ĩ ɰ̃ s e̞ː
いちおし	i t͡ɕ i o̞ ɕ i
いちか	i t͡ɕ i k a̠
いちかばちか	i t͡ɕ i k a̠ b a̠ t͡ɕ i k a̠
いちがつ	i t͡ɕ i ɡ a̠ t͡s ɨᵝ
いちころ	i t͡ɕ i k o̞ ɾ o̞
いちご	i t͡ɕ i ɡ o̞
いちごいちえ	i t͡ɕ i ɡ o̞ i t͡ɕ i e̞
いちごん	i t͡ɕ i ɡ õ̞ ɴ
いちごんほうおん	i t͡ɕ i ɡ õ̞ ɰ̃ h o̞ː õ̞ ɴ
いちじく	i t͡ɕ i ʑ i k ɯ̟ᵝ
いちじくか	i t͡ɕ i ʑ i k ɯ̟ᵝ k a̠
いちじていし	i t͡ɕ i ʑ i t e̞ː ɕ i
いちじばらい	i t͡ɕ i ʑ i b a̠ ɾ a̠ i
いちじほうていしき	i t͡ɕ i ʑ i h o̞ː t e̞ː ɕ i̥ kʲ i
いちじゅのかげいちがのながれもたしょうのえん	i t͡ɕ i ʑ ɨᵝ n o̞ k a̠ ɡ e̞ i t͡ɕ i ɡ a̠ n o̞ n a̠ ɡ a̠ ɾ e̞ m o̞ t a̠ ɕ o̞ː n o̞ ẽ̞ ɴ
いちじゅん	i t͡ɕ i ʑ ɨ̃ᵝ ɴ
いちじょ	i t͡ɕ i ʑ o̞
いちじるしい	i t͡ɕ i ʑ i ɾ ɯ̟ᵝ ɕ i i
いちぜん	i t͡ɕ i z ẽ̞ ɴ
いちぞく	i t͡ɕ i z o̞ k ɯ̟ᵝ
