ア	a̠
インストーラー	ĩ ɰ̃ s ɨᵝ t o̞ː ɾ a̠ː
インストール	ĩ ɰ̃ s ɨ̥ᵝ t o̞ː ɾ ɯ̟ᵝ
インスピレーション	ĩ ɰ̃ s ɨ̥ᵝ pʲ i ɾ e̞ː ɕ õ̞ ɴ
インセスト	ĩ ɰ̃ s e̞ s ɨ̥ᵝ t o̞
インセル	ĩ ɰ̃ s e̞ ɾ ɯ̟ᵝ
インセルオタク	ĩ ɰ̃ s e̞ ɾ ɯ̟ᵝ o̞ t a̠ k ɯ̟ᵝ
インタビュアー	ĩ n t a̠ bʲ ɨᵝ a̠ː
インタビュー	ĩ n t a̠ bʲ ɨᵝː
インターチェンジ	ĩ n t a̠ː t͡ɕ ẽ̞ ɲ̟ d͡ʑ i
インターネット	ĩ n t a̠ː n e̞ t̚ t o̞
インターポール	ĩ n t a̠ː p o̞ː ɾ ɯ̟ᵝ
インダクタ	ĩ n d a̠ k ɯ̟ᵝ t a̠
インダゾール	ĩ n d a̠ z o̞ː ɾ ɯ̟ᵝ
インチ	ĩ ɲ̟ t͡ɕ i
インティファーダ	ĩ n tʲ i ɸ a̠ː d a̠
インテリア	ĩ n t e̞ ɾʲ i a̠
インテリアデザイン	ĩ n t e̞ ɾʲ i a̠ d e̞ z a̠ ĩ ɴ
インテル	ĩ n t e̞ ɾ ɯ̟ᵝ
インディアナ	ĩ n dʲ i a̠ n a̠
インディアン	ĩ n dʲ i ã̠ ɴ
インディアンクラブ	ĩ n dʲ i ã̠ ŋ k ɯ̟ᵝ ɾ a̠ b ɯ̟ᵝ
インディカー	ĩ n dʲ i k a̠ː
インデヤン	ĩ n d e̞ j ã̠ ɴ
インデン	ĩ n d ẽ̞ ɴ
インド	ĩ n d o̞
インドシナ	ĩ n d o̞ ɕ i n a̠
インドネシア	ĩ n d o̞ n e̞ ɕ i a̠
インドール	ĩ n d o̞ː ɾ ɯ̟ᵝ
インバータ	ĩ m b a̠ː t a̠
インパウンヤード	ĩ m p a̠ ɯ̟̃ᵝ ɰ̃ j a̠ː d o̞
インピーダンス	ĩ m pʲ iː d ã̠ ɰ̃ s ɨ̥ᵝ
インフォ	ĩ ɰ̃ ɸ o̞
インフォメーション	ĩ ɰ̃ ɸ o̞ m e̞ː ɕ õ̞ ɴ
インフォームドコンセント	ĩ ɰ̃ ɸ o̞ː m ɯ̟ᵝ d o̞ k õ̞ ɰ̃ s ẽ̞ n t o̞
インフラ	ĩ ɰ̃ ɸ ɯ̟ᵝ ɾ a̠
インフラストラクチャー	ĩ ɰ̃ ɸ ɯ̟ᵝ ɾ a̠ s ɨᵝ t o̞ ɾ a̠ k ɯ̟ᵝ t͡ɕ a̠ː
インフル	ĩ ɰ̃ ɸ ɯ̟ᵝ ɾ ɯ̟ᵝ
インフルエンサー	ĩ ɰ̃ ɸ ɯ̟ᵝ ɾ ɯ̟ᵝ ẽ̞ ɰ̃ s a̠ː
インフレ	ĩ ɰ̃ ɸ ɯ̟ᵝ ɾ e̞
インフレーション	ĩ ɰ̃ ɸ ɯ̟ᵝ ɾ e̞ː ɕ õ̞ ɴ
インプット	ĩ m p ɯ̟ᵝ t̚ t o̞
インボイス	ĩ m b o̞ i s ɨ̥ᵝ
インポ	ĩ m p o̞
インポテンス	ĩ̥ m p o̞ t ẽ̞ ɰ̃ s ɨᵝ
インポテンツ	ĩ̥ m p o̞ t ẽ̞ n t͡s ɨᵝ
イー	iː
イーエス	iː e̞ s ɨᵝ
イーエスピー	iː e̞ s ɨ̥ᵝ pʲ iː
イーゼル	iː z e̞ ɾ ɯ̟ᵝ
イータ	iː t a̠
イーディーエム	iː dʲ iː e̞ m ɯ̟ᵝ
イーブイ	iː b ɯ̟ᵝ i
イーメール	iː m e̞ː ɾ ɯ̟ᵝ
イールランド	iː ɾ ɯ̟ᵝ ɾ ã̠ n d o̞
ウ	ɯ̟ᵝ
ウィ	ɰᵝ i
ウィキペディア	ɰᵝ i kʲ i p e̞ dʲ i a̠
ウィキペディアン	ɰᵝ i kʲ i p e̞ dʲ i ã̠ ɴ
ウィクショナリー	ɰᵝ i k ɯ̟ᵝ ɕ o̞ n a̠ ɾʲ iː
ウィザード	ɰᵝ i z a̠ː d o̞
ウィンウィン	ɰᵝ ĩ ɰ̃ ɰᵝ ĩ ɴ
ウィンター	ɰᵝ ĩ n t a̠ː
ウィントフック	ɰᵝ ĩ n t o̞ ɸ ɯ̟ᵝ k̚ k ɯ̟ᵝ
ウィンドウ	ɰᵝ ĩ n d o̞ː
ウィンドウウォッシャー	ɰᵝ ĩ n d o̞ː ɰᵝ o̞ ɕː a̠ː
ウィーン	ɰᵝ ĩː ɴ
ウイスキー	ɯ̟ᵝ i s ɨᵝ kʲ iː
ウイルス	ɯ̟ᵝ i ɾ ɯ̟ᵝ s ɨᵝ
ウインク	ɯ̟ᵝ ĩ ŋ k ɯ̟ᵝ
ウインチ	ɯ̟ᵝ ĩ ɲ̟ t͡ɕ i
ウインドー	ɯ̟ᵝ ĩ n d o̞ː
ウェ	ɰᵝ e̞
ウェア	ɰᵝ e̞ a̠
ウェブ	ɰᵝ e̞ b ɯ̟ᵝ
ウェブデザイン	ɰᵝ e̞ b ɯ̟ᵝ d e̞ z a̠ ĩ ɴ
ウェリントン	ɰᵝ e̞ ɾʲ ĩ n t õ̞ ɴ
ウェルシュ・コーギー	ɰᵝ e̞ ɾ ɯ̟ᵝ ɕ ɨᵝ k o̞ː ɡʲ iː
ウェー	ɰᵝ e̞ː
ウェーバ	ɰᵝ e̞ː b a̠
ウエア	ɯ̟ᵝ e̞ a̠
ウエイター	ɯ̟ᵝ e̞ː t a̠ː
ウエイト	ɯ̟ᵝ e̞ː t o̞
ウエイトレス	ɯ̟ᵝ e̞ː t o̞ ɾ e̞ s ɨᵝ
ウエス	ɯ̟ᵝ e̞ s ɨᵝ
ウォ	ɰᵝ o̞
ウォッカ	ɰᵝ o̞ k̚ k a̠
ウォッチドッグタイマー	ɰᵝ o̞ t̚ t͡ɕ i d o̞ ɡ̚ ɡ̊ ɯ̟ᵝ t a̠ i m a̠ː
ウォッチリスト	ɰᵝ o̞ t̚ t͡ɕ i ɾʲ i s ɨᵝ t o̞
ウォン	ɰᵝ õ̞ ɴ
ウォンバット	ɰᵝ õ̞ m b a̠ t̚ t o̞
ウォークマン	ɰᵝ o̞ː k ɯ̟ᵝ m ã̠ ɴ
ウォーターフォールモデル	ɰᵝ o̞ː t a̠ː ɸ o̞ː ɾ ɯ̟ᵝ m o̞ d e̞ ɾ ɯ̟ᵝ
ウォーターフォール・モデル	ɰᵝ o̞ː t a̠ː ɸ o̞ː ɾ ɯ̟ᵝ m o̞ d e̞ ɾ ɯ̟ᵝ
ウォールフラワー	ɰᵝ o̞ː ɾ ɯ̟ᵝ ɸ ɯ̟ᵝ ɾ a̠ ɰᵝ a̠ː
ウオッチ	ɯ̟ᵝ o̞ t̚ t͡ɕ i
ウオツカ	ɯ̟ᵝ o̞ t͡s ɨ̥ᵝ k a̠
ウガンダ	ɯ̟ᵝ ɡ ã̠ n d a̠
ウクライナ	ɯ̟ᵝ k ɯ̟ᵝ ɾ a̠ i n a̠
ウクレレ	ɯ̟ᵝ k ɯ̟ᵝ ɾ e̞ ɾ e̞
ウグイ	ɯ̟ᵝ ɡ ɯ̟ᵝ i
ウシバエ	ɯ̟ᵝ ɕ i b a̠ e̞
ウズベキスタン	ɯ̟ᵝ z ɨᵝ b e̞ kʲ i s ɨᵝ t ã̠ ɴ
ウッドチャック	ɯ̟ᵝ d̚ d̥ o̞ t͡ɕ a̠ k̚ k ɯ̟ᵝ
ウニフラ	ɯ̟ᵝ ɲ̟ i ɸ ɯ̟ᵝ ɾ a̠
ウパニシャッド	ɯ̟ᵝ p a̠ ɲ̟ i ɕ a̠ d̚ d̥ o̞
ウプサラ	ɯ̟ᵝ p ɯ̟̊ᵝ s a̠ ɾ a̠
ウミネコ	ɯ̟ᵝ mʲ i n e̞ k o̞
ウラジオストク	ɯ̟ᵝ ɾ a̠ ʑ i o̞ s ɨ̥ᵝ t o̞ k ɯ̟ᵝ
ウラル	ɯ̟ᵝ ɾ a̠ ɾ ɯ̟ᵝ
ウラン	ɯ̟ᵝ ɾ ã̠ ɴ
ウランバートル	ɯ̟ᵝ ɾ ã̠ m b a̠ː t o̞ ɾ ɯ̟ᵝ
ウルフ	ɯ̟ᵝ ɾ ɯ̟ᵝ ɸ ɯ̟ᵝ
ウルムチ	ɯ̟ᵝ ɾ ɯ̟ᵝ m ɯ̟ᵝ t͡ɕ i
ウンウンヘキシウム	ɯ̟̃ᵝ ɰ̃ ɯ̟̃ᵝ ɰ̃ h e̞ kʲ i̥ ɕ i ɯ̟ᵝ m ɯ̟ᵝ
ウーメラ	ɯ̟ᵝː m e̞ ɾ a̠
エ	e̞
エアギター	e̞ a̠ ɡʲ i t a̠ː
エアコン	e̞ a̠ k õ̞ ɴ
エアコンディショナー	e̞ a̠ k õ̞ n dʲ i ɕ o̞ n a̠ː
エアコンプレッサー	e̞ a̠ k õ̞ m p ɯ̟ᵝ ɾ e̞ sː a̠ː
エアチェック	e̞ a̠ t͡ɕ e̞ k̚ k ɯ̟ᵝ
エアプ	e̞ a̠ p ɯ̟ᵝ
エアロゾル	e̞ a̠ ɾ o̞ z o̞ ɾ ɯ̟ᵝ
エアロビクス	e̞ a̠ ɾ o̞ bʲ i k ɯ̟̊ᵝ s ɨᵝ
エイズ	e̞ː z ɨᵝ
エイチ	e̞ː t͡ɕ i
エイチアイブイ	e̞ t̚ t͡ɕ i a̠ i b ɯ̟ᵝ i
エイト	e̞ː t o̞
エイリアン	e̞ː ɾʲ i ã̠ ɴ
エインヘリャル	ẽ̞ː ɰ̃ h e̞ ɾʲ a̠ ɾ ɯ̟ᵝ
エキサイト	e̞ kʲ i s a̠ i t o̞
エキス	e̞ kʲ i̥ s ɨᵝ
エキスパート	e̞ kʲ i s ɨ̥ᵝ p a̠ː t o̞
エクスビバイト	e̞ k ɯ̟ᵝ s ɨᵝ bʲ i b a̠ i t o̞
エクスビビット	e̞ k ɯ̟ᵝ s ɨᵝ bʲ i bʲ i t̚ t o̞
エクトプラズム	e̞ k ɯ̟̊ᵝ t o̞ p ɯ̟ᵝ ɾ a̠ z ɨᵝ m ɯ̟ᵝ
エゲレス	e̞ ɡ e̞ ɾ e̞ s ɨᵝ
エコ	e̞ k o̞
エコノミクス	e̞ k o̞ n o̞ mʲ i k ɯ̟ᵝ s ɨᵝ
エコノミー	e̞ k o̞ n o̞ mʲ iː
エコノミークラス	e̞ k o̞ n o̞ mʲ iː k ɯ̟ᵝ ɾ a̠ s ɨᵝ
エゴサ	e̞ ɡ o̞ s a̠
エジプシャンマウ	e̞ ʑ i p ɯ̟̊ᵝ ɕ ã̠ m m a̠ ɯ̟ᵝ
エジプト	e̞ ʑ i p ɯ̟̊ᵝ t o̞
エス	e̞ s ɨᵝ
エスアイ	e̞ s ɨᵝ a̠ i
エスアイヤー	e̞ s ɨᵝ a̠ i j a̠ː
エスイー	e̞ s ɨᵝ iː
エスエヌエス	e̞ s ɨᵝ e̞ n ɯ̟ᵝ e̞ s ɨᵝ
エスエム	e̞ s ɨᵝ e̞ m ɯ̟ᵝ
エスエル	e̞ s ɨᵝ e̞ ɾ ɯ̟ᵝ
エスエルジー	e̞ s ɨᵝ e̞ ɾ ɯ̟ᵝ ʑ iː
エスオーエス	e̞ s ɨᵝ o̞ː e̞ s ɨᵝ
エスカルゴ	e̞ s ɨ̥ᵝ k a̠ ɾ ɯ̟ᵝ ɡ o̞
エスカレーター	e̞ s ɨ̥ᵝ k a̠ ɾ e̞ː t a̠ː
エスキューエルインジェクション	e̞ s ɨᵝ kʲ ɨᵝː e̞ ɾ ɯ̟ᵝ ĩ ɲ̟ d͡ʑ e̞ k ɯ̟ᵝ ɕ õ̞ ɴ
エスケープ	e̞ s ɨᵝ k e̞ː p ɯ̟ᵝ
エステティシャン	e̞ s ɨᵝ t e̞ tʲ i ɕ ã̠ ɴ
エステティックサロン	e̞ s ɨᵝ t e̞ tʲ i k̚ k ɯ̟ᵝ s a̠ ɾ õ̞ ɴ
エステティックライン	e̞ s ɨᵝ t e̞ tʲ i k̚ k ɯ̟ᵝ ɾ a̠ ĩ ɴ
エステル	e̞ s ɨᵝ t e̞ ɾ ɯ̟ᵝ
エストニア	e̞ s ɨ̥ᵝ t o̞ ɲ̟ i a̠
エストラジオール	e̞ s ɨᵝ t o̞ ɾ a̠ ʑ i o̞ː ɾ ɯ̟ᵝ
エストロゲン	e̞ s ɨ̥ᵝ t o̞ ɾ o̞ ɡ ẽ̞ ɴ
エスパニョール	e̞ s ɨ̥ᵝ p a̠ ɲ̟ o̞ː ɾ ɯ̟ᵝ
エスパー	e̞ s ɨᵝ p a̠ː
エスプレッソ	e̞ s ɨ̥ᵝ p ɯ̟ᵝ ɾ e̞ sː o̞
エスペラント	e̞ s ɨ̥ᵝ p e̞ ɾ ã̠ n t o̞
エタノール	e̞ t a̠ n o̞ː ɾ ɯ̟ᵝ
エタン	e̞ t ã̠ ɴ
エチオピア	e̞ t͡ɕ i o̞ pʲ i a̠
エチレン	e̞ t͡ɕ i ɾ ẽ̞ ɴ
エチン	e̞ t͡ɕ ĩ ɴ
エックス	e̞ k̚ k ɯ̟̊ᵝ s ɨᵝ
エックスジェンダー	e̞ k̚ k ɯ̟ᵝ s ɨᵝ ʑ ẽ̞ n d a̠ː
エッグノッグ	e̞ ɡ̚ ɡ̊ ɯ̟ᵝ n o̞ ɡ̚ ɡ̊ ɯ̟ᵝ
エッチ	e̞ t̚ t͡ɕ i
エッチディーティーブイ	e̞ t̚ t͡ɕ i dʲ iː tʲ iː b ɯ̟ᵝ i
エテン	e̞ t ẽ̞ ɴ
エディプスコンプレックス	e̞ dʲ i p ɯ̟̊ᵝ s ɨᵝ k õ̞ m p ɯ̟ᵝ ɾ e̞ k̚ k ɯ̟̊ᵝ s ɨᵝ
エトス	e̞ t o̞ s ɨᵝ
エトピリカ	e̞ t o̞ pʲ i ɾʲ i k a̠
エヌ	e̞ n ɯ̟ᵝ
エヌジー	e̞ n ɯ̟ᵝ ʑ iː
エヌジーワード	e̞ n ɯ̟ᵝ ʑ iː ɰᵝ a̠ː d o̞
エネルギッシュ	e̞ n e̞ ɾ ɯ̟ᵝ ɡʲ i ɕː ɯ̟ᵝ
エネルギー	e̞ n e̞ ɾ ɯ̟ᵝ ɡʲ iː
エビゼ	e̞ bʲ i z e̞
エビフライ	e̞ bʲ i ɸ ɯ̟ᵝ ɾ a̠ i
エピソード	e̞ pʲ i̥ s o̞ː d o̞
エピネフリン	e̞ pʲ i n e̞ ɸ ɯ̟ᵝ ɾʲ ĩ ɴ
エピローグ	e̞ pʲ i ɾ o̞ː ɡ ɯ̟ᵝ
エフ	e̞ ɸ ɯ̟ᵝ
エフジェーケー	e̞ ɸ ɯ̟ᵝ ʑ e̞ː k e̞ː
エフジェーシー	e̞ ɸ ɯ̟ᵝ ʑ e̞ː ɕ iː
エフティーエックス	e̞ ɸ ɯ̟ᵝ tʲ iː e̞ k̚ k ɯ̟ᵝ s ɨᵝ
エプシロン	e̞ p ɯ̟̊ᵝ ɕ i ɾ õ̞ ɴ
エプロン	e̞ p ɯ̟ᵝ ɾ õ̞ ɴ
エベント	e̞ b ẽ̞ n t o̞
エミュレータ	e̞ mʲ ɨᵝ ɾ e̞ː t a̠
エミュレーター	e̞ mʲ ɨᵝ ɾ e̞ː t a̠ː
エミュー	e̞ mʲ ɨᵝː
エム	e̞ m ɯ̟ᵝ
エムジェーケー	e̞ m ɯ̟ᵝ ʑ e̞ː k e̞ː
エムジェーシー	e̞ m ɯ̟ᵝ ʑ e̞ː ɕ iː
エムティーエックス	e̞ m ɯ̟ᵝ tʲ iː e̞ k̚ k ɯ̟ᵝ s ɨᵝ
エメラルド	e̞ m e̞ ɾ a̠ ɾ ɯ̟ᵝ d o̞
エラー	e̞ ɾ a̠ː
エリトリア	e̞ ɾʲ i t o̞ ɾʲ i a̠
エリマキトカゲ	e̞ ɾʲ i m a̠ kʲ i t o̞ k a̠ ɡ e̞
エリーゼ	e̞ ɾʲ iː z e̞
エリート	e̞ ɾʲ iː t o̞
エル	e̞ ɾ ɯ̟ᵝ
エルサレム	e̞ ɾ ɯ̟ᵝ s a̠ ɾ e̞ m ɯ̟ᵝ
エルシーディー	e̞ ɾ ɯ̟ᵝ ɕ iː dʲ iː
エルジェーケー	e̞ ɾ ɯ̟ᵝ ʑ e̞ː k e̞ː
エルジェーシー	e̞ ɾ ɯ̟ᵝ ʑ e̞ː ɕ iː
エルチカ	e̞ ɾ ɯ̟ᵝ t͡ɕ i k a̠
エルディーケー	e̞ ɾ ɯ̟ᵝ dʲ iː k e̞ː
エルニーニョ	e̞ ɾ ɯ̟ᵝ ɲ̟ iː ɲ̟ o̞
エルビウム	e̞ ɾ ɯ̟ᵝ bʲ i ɯ̟ᵝ m ɯ̟ᵝ
エルフ	e̞ ɾ ɯ̟ᵝ ɸ ɯ̟ᵝ
エレキ	e̞ ɾ e̞ kʲ i
エレキギター	e̞ ɾ e̞ kʲ i ɡʲ i t a̠ː
エレキテル	e̞ ɾ e̞ kʲ i t e̞ ɾ ɯ̟ᵝ
エレクトラコンプレックス	e̞ ɾ e̞ k ɯ̟̊ᵝ t o̞ ɾ a̠ k õ̞ m p ɯ̟ᵝ ɾ e̞ k̚ k ɯ̟̊ᵝ s ɨᵝ
エレクトリック	e̞ ɾ e̞ k ɯ̟ᵝ t o̞ ɾʲ i k̚ k ɯ̟ᵝ
エレクトリックベース	e̞ ɾ e̞ k ɯ̟̊ᵝ t o̞ ɾʲ i k̚ k ɯ̟ᵝ b e̞ː s ɨᵝ
エレクトリック・ギター	e̞ ɾ e̞ k ɯ̟̊ᵝ t o̞ ɾʲ i k̚ k ɯ̟ᵝ ɡʲ i t a̠ː
エレベーター	e̞ ɾ e̞ b e̞ː t a̠ː
エレベーターガール	e̞ ɾ e̞ b e̞ː t a̠ː ɡ a̠ː ɾ ɯ̟ᵝ
エロゲ	e̞ ɾ o̞ ɡ e̞
エロス	e̞ ɾ o̞ s ɨᵝ
エンカウント	ẽ̞ ŋ k a̠ ɯ̟̃ᵝ n t o̞
エンキュー	ẽ̞ ŋʲ kʲ ɨᵝː
エンコ	ẽ̞ ŋ k o̞
エンジン	ẽ̞ ɲ̟ d͡ʑ ĩ ɴ
エンタシス	ẽ̞ n t a̠ ɕ i s ɨᵝ
エンタテインメント	ẽ̞ n t a̠ t ẽ̞ː mː ẽ̞ n t o̞
エンタブラチャー	ẽ̞ n t a̠ b ɯ̟ᵝ ɾ a̠ t͡ɕ a̠ː
エンタブラチュア	ẽ̞ n t a̠ b ɯ̟ᵝ ɾ a̠ t͡ɕ ɨᵝ a̠
エンタブレチャー	ẽ̞ n t a̠ b ɯ̟ᵝ ɾ e̞ t͡ɕ a̠ː
エンタブレチュア	ẽ̞ n t a̠ b ɯ̟ᵝ ɾ e̞ t͡ɕ ɨᵝ a̠
エンタプライズ	ẽ̞ n t a̠ p ɯ̟ᵝ ɾ a̠ i z ɨᵝ
エンターテイメント	ẽ̞ n t a̠ː t e̞ː m ẽ̞ n t o̞
エンタープライズ	ẽ̞ n t a̠ː p ɯ̟ᵝ ɾ a̠ i z ɨᵝ
エントリー	ẽ̞ n t o̞ ɾʲ iː
エントリーシート	ẽ̞ n t o̞ ɾʲ iː ɕ iː t o̞
エンドガミー	ẽ̞ n d o̞ ɡ a̠ mʲ iː
エンドルフィン	ẽ̞ n d o̞ ɾ ɯ̟ᵝ ɸʲ ĩ ɴ
エンドロール	ẽ̞ n d o̞ ɾ o̞ː ɾ ɯ̟ᵝ
エー	e̞ː
エーアイ	e̞ː a̠ i
エージェント	e̞ː ʑ ẽ̞ n t o̞
エース	e̞ː s ɨᵝ
エータ	e̞ː t a̠
エーテル	e̞ː t e̞ ɾ ɯ̟ᵝ
エーディーエスエル	e̞ː dʲ iː e̞ s ɨᵝ e̞ ɾ ɯ̟ᵝ
オ	o̞
オアシス	o̞ a̠ ɕ i̥ s ɨᵝ
オイキムチ	o̞ i kʲ i m ɯ̟ᵝ t͡ɕ i
オイタナジー	o̞ i t a̠ n a̠ ʑ iː
オイディプスコンプレックス	o̞ i dʲ i p ɯ̟̊ᵝ s ɨᵝ k õ̞ m p ɯ̟ᵝ ɾ e̞ k̚ k ɯ̟̊ᵝ s ɨᵝ
オウンゴール	o̞ ɯ̟̃ᵝ ŋ ɡ o̞ː ɾ ɯ̟ᵝ
オオミチバシリ	o̞ː mʲ i t͡ɕ i b a̠ ɕ i ɾʲ i
オカズ	o̞ k a̠ z ɨᵝ
オカピ	o̞ k a̠ pʲ i
オカリナ	o̞ k a̠ ɾʲ i n a̠
オカルト	o̞ k a̠ ɾ ɯ̟ᵝ t o̞
オガネソン	o̞ ɡ a̠ n e̞ s õ̞ ɴ
オキサゾール	o̞ kʲ i s a̠ z o̞ː ɾ ɯ̟ᵝ
オキシトシン	o̞ kʲ i ɕ i t o̞ ɕ ĩ ɴ
オキシム	o̞ kʲ i ɕ i m ɯ̟ᵝ
オクタデカン	o̞ k ɯ̟ᵝ t a̠ d e̞ k ã̠ ɴ
オクタン	o̞ k ɯ̟ᵝ t ã̠ ɴ
オクラ	o̞ k ɯ̟ᵝ ɾ a̠
オグロ	o̞ ɡ ɯ̟ᵝ ɾ o̞
オグロプレーリードッグ	o̞ ɡ ɯ̟ᵝ ɾ o̞ p ɯ̟ᵝ ɾ e̞ː ɾʲ iː d o̞ ɡ̚ ɡ̊ ɯ̟ᵝ
オケ	o̞ k e̞
オサゾン	o̞ s a̠ z õ̞ ɴ
オシキャット	o̞ ɕ i̥ kʲ a̠ t̚ t o̞
オスカー	o̞ s ɨ̥ᵝ k a̠ː
オストメイト	o̞ s ɨᵝ t o̞ m e̞ː t o̞
オスミウム	o̞ s ɨᵝ mʲ i ɯ̟ᵝ m ɯ̟ᵝ
オセアニア	o̞ s e̞ a̠ ɲ̟ i a̠
オセロット	o̞ s e̞ ɾ o̞ t̚ t o̞
オゾン	o̞ z õ̞ ɴ
オゾンホール	o̞ z õ̞ ɰ̃ h o̞ː ɾ ɯ̟ᵝ
オタク	o̞ t a̠ k ɯ̟ᵝ
オタリア	o̞ t a̠ ɾʲ i a̠
オタワ	o̞ t a̠ ɰᵝ a̠
オットマン	o̞ t̚ t o̞ m ã̠ ɴ
オッドアイ	o̞ d̚ d̥ o̞ a̠ i
オトメン	o̞ t o̞ m ẽ̞ ɴ
オナニー	o̞ n a̠ ɲ̟ iː
オナペット	o̞ n a̠ p e̞ t̚ t o̞
オナホ	o̞ n a̠ h o̞
オナホール	o̞ n a̠ h o̞ː ɾ ɯ̟ᵝ
オニウム	o̞ ɲ̟ i ɯ̟ᵝ m ɯ̟ᵝ
オネェ	o̞ n e̞ː
オネエ	o̞ n e̞ː
オノマトペ	o̞ n o̞ m a̠ t o̞ p e̞
オハイオ	o̞ h a̠ i o̞
オバマ	o̞ b a̠ m a̠
オバマケア	o̞ b a̠ m a̠ k e̞ a̠
オファー	o̞ ɸ a̠ː
オフィスプール	o̞ ɸʲ i s ɨᵝ ̥ p ɯ̟ᵝː ɾ ɯ̟ᵝ
オフィスレディー	o̞ ɸʲ i s ɨᵝ ɾ e̞ dʲ iː
オフショ	o̞ ɸ ɯ̟ᵝ ɕ o̞
オフショット	o̞ ɸ ɯ̟ᵝ ɕ o̞ t̚ t o̞
オフトゥン	o̞ ɸ ɯ̟ᵝ t ɯ̟̃ᵝ ɴ
オブラート	o̞ b ɯ̟ᵝ ɾ a̠ː t o̞
オブリガート	o̞ b ɯ̟ᵝ ɾʲ i ɡ a̠ː t o̞
オプチミスト	o̞ p ɯ̟ᵝ t͡ɕ i mʲ i s ɨᵝ t o̞
オプチミズム	o̞ p ɯ̟ᵝ t͡ɕ i mʲ i z ɨᵝ m ɯ̟ᵝ
オベリスク	o̞ b e̞ ɾʲ i s ɨ̥ᵝ k ɯ̟ᵝ
オペ	o̞ p e̞
オペアンプ	o̞ p e̞ ã̠ m p ɯ̟ᵝ
オペレッタ	o̞ p e̞ ɾ e̞ t̚ t a̠
オペレーティングシステム	o̞ p e̞ ɾ e̞ː tʲ ĩ ŋ ɡ ɯ̟ᵝ ɕ i s ɨ̥ᵝ t e̞ m ɯ̟ᵝ
オポッサム	o̞ p o̞ sː a̠ m ɯ̟ᵝ
オマージュ	o̞ m a̠ː ʑ ɨᵝ
オミクロン	o̞ mʲ i k ɯ̟ᵝ ɾ õ̞ ɴ
オムライス	o̞ m ɯ̟ᵝ ɾ a̠ i s ɨᵝ
オムレツ	o̞ m ɯ̟ᵝ ɾ e̞ t͡s ɨᵝ
オメガ	o̞ m e̞ ɡ a̠
オランウータン	o̞ ɾ ã̠ ɰ̃ ɯ̟ᵝː t ã̠ ɴ
オランダ	o̞ ɾ ã̠ n d a̠
オリキャラ	o̞ ɾʲ i kʲ a̠ ɾ a̠
オリンピア	o̞ ɾʲ ĩ m pʲ i a̠
オリンピック	o̞ ɾʲ ĩ m pʲ i̥ k̚ k ɯ̟ᵝ
オリーブ	o̞ ɾʲ iː b ɯ̟ᵝ
オルガスムス	o̞ ɾ ɯ̟ᵝ ɡ a̠ s ɨᵝ m ɯ̟ᵝ s ɨᵝ
オルゴール	o̞ ɾ ɯ̟ᵝ ɡ o̞ː ɾ ɯ̟ᵝ
オルタナ	o̞ ɾ ɯ̟ᵝ t a̠ n a̠
オルト	o̞ ɾ ɯ̟ᵝ t o̞
オルト・ライト	o̞ ɾ ɯ̟ᵝ t o̞ ɾ a̠ i t o̞
オルドス	o̞ ɾ ɯ̟ᵝ d o̞ s ɨᵝ
オレイアス	o̞ ɾ e̞ː a̠ s ɨᵝ
オレガノ	o̞ ɾ e̞ ɡ a̠ n o̞
オレフィン	o̞ ɾ e̞ ɸʲ ĩ ɴ
オレンジ	o̞ ɾ ẽ̞ ɲ̟ d͡ʑ i
オロス	o̞ ɾ o̞ s ɨᵝ
オワコン	o̞ ɰᵝ a̠ k õ̞ ɴ
オンアラハシャノウ	õ̞ ɰ̃ a̠ ɾ a̠ h a̠ ɕ a̠ n o̞ː
オンエアー	õ̞ ɰ̃ e̞ a̠ː
オンカカカビサンマエイソワカ	õ̞ ŋ k a̠ k a̠ k a̠ bʲ i s ã̠ mː a̠ e̞ː s o̞ ɰᵝ a̠ k a̠
オングストローム	õ̞ ŋ ɡ ɯ̟ᵝ s ɨ̥ᵝ t o̞ ɾ o̞ː m ɯ̟ᵝ
オンス	õ̞ ɰ̃ s ɨᵝ
オンパレード	õ̞ m p a̠ ɾ e̞ː d o̞
オンマイタレイヤソワカ	õ̞ m m a̠ i t a̠ ɾ e̞ː j a̠ s o̞ ɰᵝ a̠ k a̠
オンモン	õ̞ mː õ̞ ɴ
オンラインショッピング	õ̞ n ɾ a̠ ĩ ɰ̃ ɕ o̞ p̚ʲ pʲ ĩ ŋ ɡ ɯ̟ᵝ
オンラインショップ	õ̞ n ɾ a̠ ĩ ɰ̃ ɕ o̞ p̚ p ɯ̟ᵝ
オンラインストア	õ̞ n ɾ a̠ ĩ ɰ̃ s ɨᵝ t o̞ a̠
オー	o̞ː
オーエス	o̞ː e̞ s ɨᵝ
オーエル	o̞ː e̞ ɾ ɯ̟ᵝ
オーガズム	o̞ː ɡ a̠ z ɨᵝ m ɯ̟ᵝ
オーガンジー	o̞ː ɡ ã̠ ɲ̟ d͡ʑ iː
オーキシン	o̞ː kʲ i ɕ ĩ ɴ
オーク	o̞ː k ɯ̟ᵝ
オークヤー	o̞ː k ɯ̟ᵝ j a̠ː
オーケストラ	o̞ː k e̞ s ɨ̥ᵝ t o̞ ɾ a̠
オーケー	o̞ː k e̞ː
