அ	ʌ
வருகமஞ்சள்	ʋ a ɾ̪ u ɡ a m a ɲ d͡ʑ a ɭ
வருக்கணம்	ʋ a ɾ̪ u kː a ɳ a m
வருடம்	ʋ a ɾ̪ u ɖ a m
வருணன்	ʋ a ɾ̪ u ɳ a n
வருஷம்	ʋ a ɾ̪ u ʂ a m
வரை	ʋ a ɾ̪ a ɪ̯
வறட்சி	ʋ a r a ʈ t͡ʃ i
வறுமை	ʋ a r u m a ɪ̯
வலங்கம்	ʋ a l̪ a ŋ ɡ a m
வலசை	ʋ a l̪ a s a ɪ̯
வலம்	ʋ a l̪ a m
வலாகம்	ʋ a l̪ aː ɡ a m
வலி	ʋ a l̪ i
வலிப்பு	ʋ a l̪ i pː u
வலிமை	ʋ a l̪ i m a ɪ̯
வலுப்பு	ʋ a l̪ u pː u
வலுமை	ʋ a l̪ u m a ɪ̯
வலை	ʋ a l̪ a ɪ̯
வல்	ʋ a l̪
வல்ல	ʋ a l̪ː a
வல்லடி	ʋ a l̪ː a ɖ i
வல்லபம்	ʋ a l̪ː a b a m
வல்லரி	ʋ a l̪ː a ɾ̪ i
வல்லவன்	ʋ a l̪ː a ʋ a n
வல்லாமை	ʋ a l̪ː aː m a ɪ̯
வல்லிதின்	ʋ a l̪ː i d̪ i n
வல்லினம்	ʋ a l̪ː i n a m
வல்லுநர்	ʋ a l̪ː u n̪ a ɾ̪
வல்லுரம்	ʋ a l̪ː u ɾ̪ a m
வல்லுளி	ʋ a l̪ː u ɭ i
வல்லேறு	ʋ a l̪ː eː r u
வல்லை	ʋ a l̪ː a ɪ̯
வளப்பம்	ʋ a ɭ a pː a m
வளமை	ʋ a ɭ a m a ɪ̯
வளம்	ʋ a ɭ a m
வளர்ச்சி	ʋ a ɭ a ɾ̪ t͡ʃː i
வளையல்	ʋ a ɭ a ɪ̯ j a l̪
வழக்கம்	ʋ a ɻ a kː a m
வழக்கு	ʋ a ɻ a kː u
வழலிக்கை	ʋ a ɻ a l̪ i kː a ɪ̯
வழி	ʋ a ɻ i
வழிச்செலவு	ʋ a ɻ i t͡ʃː e l̪ a ʋ u
வழிஞ்சி	ʋ a ɻ i ɲ d͡ʑ i
வழிநடை	ʋ a ɻ i n̪ a ɖ a ɪ̯
வழிப்பயணம்	ʋ a ɻ i pː a j a ɳ a m
வழிவகை	ʋ a ɻ i ʋ a ɡ a ɪ̯
வவ்வு	ʋ a ʋː u
வா	ʋ aː
வாகடம்	ʋ aː ɡ a ɖ a m
வாகனம்	ʋ aː ɡ a n a m
வாகம்	ʋ aː ɡ a m
வாகினி	ʋ aː ɡ i n i
வாக்களிப்பு	ʋ aː kː a ɭ i pː u
வாக்காளர்	ʋ aː kː aː ɭ a ɾ̪
வாக்கியம்	ʋ aː kː i j a m
வாக்கு	ʋ aː kː u
வாக்குவாதம்	ʋ aː kː u ʋ aː d̪ a m
வாத்து	ʋ aː t̪ː u
வாந்தி	ʋ aː n̪ d̪ i
வானம்	ʋ aː n a m
வானம்பாடி	ʋ aː n a m b aː ɖ i
வானவில்	ʋ aː n a ʋ i l̪
வானியல்	ʋ aː n i j a l̪
வான்	ʋ aː n
வாயன்	ʋ aː j a n
வாயின்மாடம்	ʋ aː j i n m aː ɖ a m
வாயில்	ʋ aː j i l̪
வாயு	ʋ aː j u
வாய்	ʋ aː j
வாய்க்கால்	ʋ aː j kː aː l̪
வாரம்	ʋ aː ɾ̪ a m
வாராவதி	ʋ aː ɾ̪ aː ʋ a d̪ i
வார்	ʋ aː ɾ̪
வார்த்தை	ʋ aː ɾ̪ t̪ː a ɪ̯
வால்	ʋ aː l̪
வாள்	ʋ aː ɭ
வாழை	ʋ aː ɻ a ɪ̯
வாழைப்பழம்	ʋ aː ɻ a ɪ̯ pː a ɻ a m
வாழ்ச்சி	ʋ aː ɻ t͡ʃː i
வாழ்வு	ʋ aː ɻ ʋ u
விசனம்	ʋ i s a n a m
விசைத்தறி	ʋ i s a ɪ̯ t̪ː a r i
விடர்	ʋ i ɖ a ɾ̪
விடு	ʋ i ɖ u
விடுவி	ʋ i ɖ u ʋ i
விடை	ʋ i ɖ a ɪ̯
விண்கலம்	ʋ i ɳ k a l̪ a m
விண்ணுளவி	ʋ i ɳː u ɭ a ʋ i
விண்மீன்	ʋ i ɳ m iː n
விண்வெளி	ʋ i ɳ ʋ e ɭ i
விதவை	ʋ i d̪ a ʋ a ɪ̯
விதி	ʋ i d̪ i
விதை	ʋ i d̪ a ɪ̯
விதைப்பை	ʋ i d̪ a ɪ̯ pː a ɪ̯
விநாடி	ʋ i n̪ aː ɖ i
விந்து	ʋ i n̪ d̪ u
வினவு	ʋ i n a ʋ u
வினா	ʋ i n aː
வினை	ʋ i n a ɪ̯
வினைச்சொல்	ʋ i n a ɪ̯ t͡ʃː o l̪
வினைமுற்று	ʋ i n a ɪ̯ m u ʈː ɾ u
வினைவியம்	ʋ i n a ɪ̯ ʋ i j a m
விமானம்	ʋ i m aː n a m
வியர்	ʋ i j a ɾ̪
வியர்வை	ʋ i j a ɾ̪ ʋ a ɪ̯
வியாபாரம்	ʋ i j aː b aː ɾ̪ a m
வியாபாரி	ʋ i j aː b aː ɾ̪ i
வியாழன்	ʋ i j aː ɻ a n
வியாழம்	ʋ i j aː ɻ a m
விரயம்	ʋ i ɾ̪ a j a m
விரல்	ʋ i ɾ̪ a l̪
விரிகாசம்	ʋ i ɾ̪ i ɡ aː s a m
விரிகோணம்	ʋ i ɾ̪ i ɡ oː ɳ a m
விருட்சம்	ʋ i ɾ̪ u ʈ t͡ʃ a m
விருஷ்டி	ʋ i ɾ̪ u ʂ ʈ i
விரைவில்	ʋ i ɾ̪ a ɪ̯ ʋ i l̪
விரோதம்	ʋ i ɾ̪ oː d̪ a m
விலங்கி	ʋ i l̪ a ŋ ɡ i
விலங்கியல்	ʋ i l̪ a ŋ ɡ i j a l̪
விலங்கு	ʋ i l̪ a ŋ ɡ u
விலயம்	ʋ i l̪ a j a m
விலை	ʋ i l̪ a ɪ̯
வில்	ʋ i l̪
வில்வித்தை	ʋ i l̪ ʋ i t̪ː a ɪ̯
விளக்கம்	ʋ i ɭ a kː a m
விளக்கு	ʋ i ɭ a kː u
விளைவு	ʋ i ɭ a ɪ̯ ʋ u
விழுக்காடு	ʋ i ɻ u kː aː ɖ u
விழுதி	ʋ i ɻ u d̪ i
விழைவு	ʋ i ɻ a ɪ̯ ʋ u
விவசாயம்	ʋ i ʋ a s aː j a m
விவசாயி	ʋ i ʋ a s aː j i
விஷாதம்	ʋ i ʂ aː d̪ a m
வீடு	ʋ iː ɖ u
வீட்டுக்காரி	ʋ iː ʈː u kː aː ɾ̪ i
வீராங்கனை	ʋ iː ɾ̪ aː ŋ ɡ a n a ɪ̯
வெங்காயம்	ʋ e ŋ ɡ aː j a m
வெடி	ʋ e ɖ i
வெடிமருந்து	ʋ e ɖ i m a ɾ̪ u n̪ d̪ u
வெட்டுக்கிளி	ʋ e ʈː u kː i ɭ i
வெண்டை	ʋ e ɳ ɖ a ɪ̯
வெண்ணெய்	ʋ e ɳː e j
வெந்தயம்	ʋ e n̪ d̪ a j a m
வெப்பநிலை	ʋ e pː a n̪ i l̪ a ɪ̯
வெப்புள்	ʋ e pː u ɭ
வெம்பகல்	ʋ e m b a ɡ a l̪
வெறுங்காய்	ʋ e r u ŋ ɡ aː j
வெற்றிலை	ʋ e ʈː ɾ i l̪ a ɪ̯
வெல்லம்	ʋ e l̪ː a m
வெளி	ʋ e ɭ i
வெளிச்சம்	ʋ e ɭ i t͡ʃː a m
வெளியீடு	ʋ e ɭ i j iː ɖ u
வெள்	ʋ e ɭ
வெள்ளரி	ʋ e ɭː a ɾ̪ i
வெள்ளி	ʋ e ɭː i
வேகம்	ʋ eː ɡ a m
வேட்டி	ʋ eː ʈː i
வேண்டி	ʋ eː ɳ ɖ i
வேண்டிய	ʋ eː ɳ ɖ i j a
வேண்டியமட்டும்	ʋ eː ɳ ɖ i j a m a ʈː u m
வேண்டியவன்	ʋ eː ɳ ɖ i j a ʋ a n
வேண்டு	ʋ eː ɳ ɖ u
வேண்டுகோள்	ʋ eː ɳ ɖ u ɡ oː ɭ
வேதம்	ʋ eː d̪ a m
வேதவியல்	ʋ eː d̪ a ʋ i j a l̪
வேதியியல்	ʋ eː d̪ i j i j a l̪
வேப்பமரம்	ʋ eː pː a m a ɾ̪ a m
வேம்பு	ʋ eː m b u
வேய்	ʋ eː j
வேர்	ʋ eː ɾ̪
வேர்வை	ʋ eː ɾ̪ ʋ a ɪ̯
வேறு	ʋ eː r u
வேறுபாடு	ʋ eː r u b aː ɖ u
வேற்றுமை	ʋ eː ʈː ɾ u m a ɪ̯
வேலி	ʋ eː l̪ i
வேலை	ʋ eː l̪ a ɪ̯
வேலைக்காரன்	ʋ eː l̪ a ɪ̯ kː aː ɾ̪ a n
வேலைக்கூலி	ʋ eː l̪ a ɪ̯ kː uː l̪ i
வேலைநாணயம்	ʋ eː l̪ a ɪ̯ n̪ aː ɳ a j a m
வேலைநேரம்	ʋ eː l̪ a ɪ̯ n̪ eː ɾ̪ a m
வேலைமினக்கெட்டவன்	ʋ eː l̪ a ɪ̯ m i n a kː e ʈː a ʋ a n
வேலையாள்	ʋ eː l̪ a ɪ̯ j aː ɭ
வேலைவளர்	ʋ eː l̪ a ɪ̯ ʋ a ɭ a ɾ̪
வேலைவாங்கு	ʋ eː l̪ a ɪ̯ ʋ aː ŋ ɡ u
வேளாண்மை	ʋ eː ɭ aː ɳ m a ɪ̯
வேள்	ʋ eː ɭ
வைணவி	ʋ a ɪ̯ ɳ a ʋ i
வைப்பு	ʋ a ɪ̯ pː u
வையை	ʋ a ɪ̯ j a ɪ̯
வௌவால்	ʋ a ʊ̯ ʋ aː l̪
ஶ	ɕ a
ஶல்யம்	ɕ a l̪ j a m
ஶஸ்யம்	ɕ a s j a m
ஷ	ʂ a
ஸ	s a
ஸாயகம்	s aː j a ɡ a m
ஸாரட்டு	s aː ɾ̪ a ʈː u
ஸாராம்ம்	s aː ɾ̪ aː mː
ஸார்த்தகம்	s aː ɾ̪ t̪ː a ɡ a m
ஸாலியானா	s aː l̪ i j aː n aː
ஸாவகாம்	s aː ʋ a ɡ aː m
ஸாஹசர்யம்	s aː h a s a ɾ̪ j a m
ஸாஹுகார்	s aː h u ɡ aː ɾ̪
ஸீமை	s iː m a ɪ̯
ஸ்தலம்	s t̪ a l̪ a m
ஸ்ரீ	s ɾ̪ iː
ஸ்வரம்	s ʋ a ɾ̪ a m
ஹ	h a
ஹக்காசியா	h a kː aː s i j aː
ஹொங்கொங்	h o ŋ ɡ o ŋ
ா	a
ி	i
ீ	iː
ு	u
ூ	uː
ெ	e
ே	eː
ை	a i
