ա	ɑ
ամենուր	ɑ m ɛ n u ɾ
ամենուրեք	ɑ m ɛ n u ɾ ɛ kʰ
ամեոբա	ɑ m ɛ ɔ b ɑ
ամերիկա	ɑ m ɛ ɾ i k ɑ
ամերիկական	ɑ m ɛ ɾ i k ɑ k ɑ n
ամերիկահայ	ɑ m ɛ ɾ i k ɑ h ɑ j
ամերիկայի	ɑ m ɛ ɾ i k ɑ j i
ամերիկացի	ɑ m ɛ ɾ i k ɑ t͡sʰ i
ամերիկյան	ɑ m ɛ ɾ i k j ɑ n
ամերիկուհի	ɑ m ɛ ɾ i k u h i
ամերիցիում	ɑ m ɛ ɾ i t͡sʰ i j u m
ամէ	ɑ m ə ɛ
ամիկ	ɑ m i k
ամիճ	ɑ m i t͡ʃ
ամիս	ɑ m i s
ամիրա	ɑ m i ɾ ɑ
ամիրյան	ɑ m i ɾ j ɑ n
ամիրսպասալար	ɑ m i ɾ s p ɑ s ɑ l ɑ ɾ
ամլիկ	ɑ m l i k
ամհարերեն	ɑ m h ɑ ɾ ɛ ɾ ɛ n
ամման	ɑ mː ɑ n
ամն	ɑ m ə n ə
ամնիստիա	ɑ m n i s t j ɑ
ամոթ	ɑ m ɔ tʰ
ամոթույք	ɑ m ɔ tʰ u j kʰ
ամոլ	ɑ m ɔ l
ամորձակալ	ɑ m ɔ ɾ d͡z ɑ k ɑ l
ամորձապարկ	ɑ m ɔ ɾ d͡z ɑ p ɑ ɾ k
ամորձատել	ɑ m ɔ ɾ d͡z ɑ t ɛ l
ամորձի	ɑ m ɔ ɾ d͡z i
ամորձիք	ɑ m ɔ ɾ d͡z i kʰ
ամուդարյա	ɑ m u d ɑ ɾ j ɑ
ամուլ	ɑ m u l
ամուսին	ɑ m u s i n
ամուսնալուծություն	ɑ m u s n ɑ l u t͡s u tʰ j u n
ամուսնանալ	ɑ m u s n ɑ n ɑ l
ամուսնացած	ɑ m u s n ɑ t͡sʰ ɑ t͡s
ամուսնացնել	ɑ m u s n ɑ t͡sʰ n ɛ l
ամուսնություն	ɑ m u s n u tʰ j u n
ամուր	ɑ m u ɾ
ամուրի	ɑ m u ɾ i
ամոք	ɑ m ɔ kʰ
ամպ	ɑ m p
ամպար	ɑ m p ɑ ɾ
ամպել	ɑ m p ɛ l
ամպեղեն	ɑ m p ɛ ʁ ɛ n
ամպրոպ	ɑ m p ɾ ɔ p
ամսագիր	ɑ m s ɑ ɡ i ɾ
ամսական	ɑ m s ɑ k ɑ n
ամսեկան	ɑ m s ɛ k ɑ n
ամստերդամ	ɑ m s t ɛ ɾ d ɑ m
ամրագոտի	ɑ m ɾ ɑ ɡ ɔ t i
ամրածածուկ	ɑ m ɾ ɑ t͡s ɑ t͡s u k
ամրակ	ɑ m ɾ ɑ k
ամրակազմ	ɑ m ɾ ɑ k ɑ z m
ամրապնդում	ɑ m ɾ ɑ p ə n d u m
ամրոց	ɑ m ɾ ɔ t͡sʰ
ամփոփել	ɑ m pʰ ɔ pʰ ɛ l
այբ	ɑ j b
այբբենարան	ɑ j bː ɛ n ɑ ɾ ɑ n
այբուբեն	ɑ j b u b ɛ n
այգ	ɑ j ɡ
այգաբաց	ɑ j ɡ ɑ b ɑ t͡sʰ
այգեպան	ɑ j ɡ ɛ p ɑ n
այգեստան	ɑ j ɡ ɛ s t ɑ n
այգեվետ	ɑ j ɡ ɛ v ɛ t
այգի	ɑ j ɡ i
այդ	ɑ j d
այդուհանդերձ	ɑ j d u h ɑ n d ɛ ɾ t͡sʰ
այդպես	ɑ j d p ɛ s
այդտեղ	ɑ j d t ɛ ʁ
այժմ	ɑ j ʒ ə m
այժմիկ	ɑ j ʒ ə m i k
այժմու	ɑ j ʒ ə m u
այլ	ɑ j l
այլանդակություն	ɑ j l ɑ n d ɑ k u tʰ j u n
այլասիրական	ɑ j l ɑ s i ɾ ɑ k ɑ n
այլատյաց	ɑ j l ɑ t j ɑ t͡sʰ
այլատյացություն	ɑ j l ɑ t j ɑ t͡sʰ u tʰ j u n
այլափառ	ɑ j l ɑ pʰ ɑ r
այլեւայլ	ɑ j l ɛ v ɑ j l
այլեւայլություն	ɑ j l ɛ v ɑ j l u tʰ j u n
այլեւս	ɑ j l ɛ v ə s
այլընտրանք	ɑ j l ə n t ɾ ɑ ŋ kʰ
այլընտրանքային	ɑ j l ə n t ɾ ɑ ŋ kʰ ɑ j i n
այծ	ɑ j t͡s
այծեմնիկ	ɑ j t͡s ɛ m n i k
այծենի	ɑ j t͡s ɛ n i
այծյա	ɑ j t͡s j ɑ
այծյամ	ɑ j t͡s j ɑ m
այծքաղ	ɑ j t͡s kʰ ɑ ʁ
այմարա	ɑ j m ɑ ɾ ɑ
այն	ɑ j n
այնուամենայնիվ	ɑ j n u ɑ m ɛ n ɑ j n i v
այնուհետեւ	ɑ j n u h ɛ t ɛ v
այնպես	ɑ j n p ɛ s
այնպիսի	ɑ j n p i s i
այնտեղ	ɑ j n t ɛ ʁ
այո	ɑ j ɔ
այուբյան	ɑ j u b j ɑ n
այս	ɑ j s
այսբերգ	ɑ j s b ɛ ɾ ɡ
այսինքն	ɑ j s i ŋ kʰ ə n
այսու	ɑ j s u
այսուամենայնիվ	ɑ j s u ɑ m ɛ n ɑ j n i v
այսուհանդերձ	ɑ j s u h ɑ n d ɛ ɾ t͡sʰ
այսուհետ	ɑ j s u h ɛ t
այսուհետեւ	ɑ j s u h ɛ t ɛ v
այսպես	ɑ j s p ɛ s
այստեղ	ɑ j s t ɛ ʁ
այստեղացի	ɑ j s t ɛ ʁ ɑ t͡sʰ i
այսրկովկաս	ɑ j s ə ɾ k ɔ f k ɑ s
այսրկովկասյան	ɑ j s ə ɾ k ɔ f k ɑ s j ɑ n
այսօր	ɑ j s ɔ ɾ
այվազյան	ɑ j v ɑ z j ɑ n
այտ	ɑ j t
այտամորուք	ɑ j t ɑ m ɔ ɾ u kʰ
այտուց	ɑ j t u t͡sʰ
այր	ɑ j ɾ
այրան	ɑ j ɾ ɑ n
այրացի	ɑ j ɾ ɑ t͡sʰ i
այրել	ɑ j ɾ ɛ l
այրի	ɑ j ɾ i
այրուկ	ɑ j ɾ u k
այրուձի	ɑ j ɾ u d͡z i
այրուք	ɑ j ɾ u kʰ
այրվել	ɑ j ɾ v ɛ l
այց	ɑ j t͡sʰ
այցելել	ɑ j t͡sʰ ɛ l ɛ l
այցելություն	ɑ j t͡sʰ ɛ l u tʰ j u n
ան	ɑ n
անագ	ɑ n ɑ ɡ
անագան	ɑ n ɑ ɡ ɑ n
անագապղինձ	ɑ n ɑ ɡ ɑ p ə ʁ i n d͡z
անագորույն	ɑ n ɑ ɡ ɔ ɾ u j n
անադիր	ɑ n ɑ d i ɾ
անազատություն	ɑ n ɑ z ɑ t u tʰ j u n
անազնիվ	ɑ n ɑ z n i v
անալի	ɑ n ɑ l i
անախորժ	ɑ n ɑ χ ɔ ɾ ʒ
անակ	ɑ n ɑ k
անակնկալ	ɑ n ɑ k ə ŋ k ɑ l
անակրեոն	ɑ n ɑ k ɾ ɛ ɔ n
անահիտ	ɑ n ɑ h i t
անաղարտ	ɑ n ɑ ʁ ɑ ɾ t
անաղի	ɑ n ɑ ʁ i
անամոք	ɑ n ɑ m ɔ kʰ
անանուխ	ɑ n ɑ n u χ
անանցողական	ɑ n ɑ n t͡sʰ ɔ ʁ ɑ k ɑ n
անապատ	ɑ n ɑ p ɑ t
անապեստ	ɑ n ɑ p ɛ s t
անասնաբույժ	ɑ n ɑ s n ɑ b u j ʒ
անասուն	ɑ n ɑ s u n
անաստաս	ɑ n ɑ s t ɑ s
անատակ	ɑ n ɑ t ɑ k
անատոլիա	ɑ n ɑ t ɔ l j ɑ
անատոլիական	ɑ n ɑ t ɔ l j ɑ k ɑ n
անատոմիա	ɑ n ɑ t ɔ m j ɑ
անարատ	ɑ n ɑ ɾ ɑ t
անարդար	ɑ n ɑ ɾ tʰ ɑ ɾ
անարդարություն	ɑ n ɑ ɾ tʰ ɑ ɾ u tʰ j u n
անարի	ɑ n ɑ ɾ i
անարխիզմ	ɑ n ɑ ɾ χ i z m
անաքսագորաս	ɑ n ɑ kʰ s ɑ ɡ ɔ ɾ ɑ s
անաքսիմանդրոս	ɑ n ɑ kʰ s i m ɑ n d ɾ ɔ s
անաքսիմենես	ɑ n ɑ kʰ s i m ɛ n ɛ s
անբան	ɑ n b ɑ n
անբարյացակամ	ɑ n b ɑ ɾ j ɑ t͡sʰ ɑ k ɑ m
անբարյացկամ	ɑ n b ɑ ɾ j ɑ t͡sʰ k ɑ m
անբիծ	ɑ n b i t͡s
անբնակ	ɑ n b ə n ɑ k
անբովանդակ	ɑ n b ɔ v ɑ n d ɑ k
անգ	ɑ ŋ ɡ
անգամ	ɑ ŋ kʰ ɑ m
անգեղ	ɑ ŋ ɡ ɛ ʁ
անգի	ɑ ŋ ɡ i
անգինա	ɑ ŋ ɡ i n ɑ
անգիր	ɑ ŋ ɡ i ɾ
անգլերեն	ɑ ŋ ɡ l ɛ ɾ ɛ n
անգլիա	ɑ ŋ ɡ l j ɑ
անգլիական	ɑ ŋ ɡ l j ɑ k ɑ n
անգլիացի	ɑ ŋ ɡ l j ɑ t͡sʰ i
անգլուհի	ɑ ŋ ɡ l u h i
անգղ	ɑ ŋ ɡ ə ʁ
անգմոկիո	ɑ ŋ ɡ m ɔ k i ɔ
անգյալ	ɑ ŋ ɡ j ɑ l
անգնահատելի	ɑ ŋ ɡ ə n ɑ h ɑ t ɛ l i
անգոլա	ɑ ŋ ɡ ɔ l ɑ
անգործ	ɑ ŋ ɡ ɔ ɾ t͡s
անգործածելի	ɑ ŋ ɡ ɔ ɾ t͡s ɑ t͡s ɛ l i
անգրագետ	ɑ ŋ ɡ ə ɾ ɑ ɡ ɛ t
անգրագետ	ɑ ŋ ɡ ɾ ɑ ɡ ɛ t
անդ	ɑ n d
անդադար	ɑ n d ɑ tʰ ɑ ɾ
անդամ	ɑ n tʰ ɑ m
անդամալուծել	ɑ n tʰ ɑ m ɑ l u t͡s ɛ l
անդամալուծություն	ɑ n tʰ ɑ m ɑ l u t͡s u tʰ j u n
անդամալուծվել	ɑ n tʰ ɑ m ɑ l u t͡s v ɛ l
անդամալույծ	ɑ n tʰ ɑ m ɑ l u j t͡s
անդամակից	ɑ n tʰ ɑ m ɑ k i t͡sʰ
անդաստակ	ɑ n d ɑ s t ɑ k
անդաստան	ɑ n d ɑ s t ɑ n
անդեորդ	ɑ n d ɛ ɔ ɾ tʰ
անդեր	ɑ n d ɛ ɾ
անդիորդ	ɑ n d i j ɔ ɾ tʰ
անդյա	ɑ n d j ɑ
անդոհական	ɑ n d ɔ h ɑ k ɑ n
անդորա	ɑ n d ɔ ɾ ɑ
անդորր	ɑ n d ɔ ɾː
անդորրա	ɑ n d ɔ ɾː ɑ
անդորրագիր	ɑ n d ɔ ɾː ɑ ɡ i ɾ
անդուլ	ɑ n d u l
անդունդ	ɑ n d u n d
անդունդք	ɑ n d u n t kʰ
անդրադառնալ	ɑ n d ɾ ɑ d ɑ r n ɑ l
անդրանիկ	ɑ n d ɾ ɑ n i k
անդրավարտիք	ɑ n d ɾ ɑ v ɑ ɾ t i kʰ
անդրբայկալ	ɑ n d ə ɾ b ɑ j k ɑ l
անդրեաս	ɑ n d ɾ ɛ ɑ s
անդրի	ɑ n d ɾ i
անդրիասյան	ɑ n d ɾ i j ɑ s j ɑ n
անդրկովկաս	ɑ n d ə ɾ k ɔ f k ɑ s
անդրկովկասյան	ɑ n d ə ɾ k ɔ f k ɑ s j ɑ n
անդրկովկասցի	ɑ n d ə ɾ k ɔ f k ɑ s t͡sʰ i
անդրհորդանան	ɑ n d ə ɾ h ɔ ɾ d ɑ n ɑ n
անդրշիրիմյան	ɑ n d ə ɾ ʃ i ɾ i m j ɑ n
անդրոմաքե	ɑ n d ɾ ɔ m ɑ kʰ ɛ
անդրուար	ɑ n d ɾ u ɑ ɾ
անդրուվար	ɑ n d ɾ u v ɑ ɾ
անդրջրհեղեղյան	ɑ n d ə ɾ d͡ʒ ə ɾ h ɛ ʁ ɛ ʁ j ɑ n
անեզական	ɑ n ɛ z ɑ k ɑ n
անել	ɑ n ɛ l
անելիք	ɑ n ɛ l i kʰ
անեծք	ɑ n ɛ t͡s kʰ
անեկդոտ	ɑ n ɛ k d ɔ t
աներ	ɑ n ɛ ɾ
աներկյուղ	ɑ n ɛ ɾ k j u ʁ
աներկյուղաբար	ɑ n ɛ ɾ k j u ʁ ɑ b ɑ ɾ
աներկյուղանալ	ɑ n ɛ ɾ k j u ʁ ɑ n ɑ l
աներկյուղություն	ɑ n ɛ ɾ k j u ʁ u tʰ j u n
աներձագ	ɑ n ɛ ɾ d͡z ɑ kʰ
աներորդի	ɑ n ɛ ɾ ɔ ɾ tʰ i
անզգայաբար	ɑ n z ɡ ɑ j ɑ b ɑ ɾ
անզգայաբար	ɑ n ə z ɡ ɑ j ɑ b ɑ ɾ
անզգայանալ	ɑ n z ɡ ɑ j ɑ n ɑ l
անզգայանալ	ɑ n ə z ɡ ɑ j ɑ n ɑ l
անզգայացնել	ɑ n z ɡ ɑ j ɑ t͡sʰ n ɛ l
անզգայացնել	ɑ n ə z ɡ ɑ j ɑ t͡sʰ n ɛ l
անզգայացում	ɑ n z ɡ ɑ j ɑ t͡sʰ u m
անզգայացում	ɑ n ə z ɡ ɑ j ɑ t͡sʰ u m
անզգայացուցիչ	ɑ n z ɡ ɑ j ɑ t͡sʰ u t͡sʰ i t͡ʃʰ
անզգայացուցիչ	ɑ n ə z ɡ ɑ j ɑ t͡sʰ u t͡sʰ i t͡ʃʰ
անզգայացվել	ɑ n z ɡ ɑ j ɑ t͡sʰ v ɛ l
անզգայացվել	ɑ n ə z ɡ ɑ j ɑ t͡sʰ v ɛ l
անզգայորեն	ɑ n z ɡ ɑ j ɔ ɾ ɛ n
անզգայորեն	ɑ n ə z ɡ ɑ j ɔ ɾ ɛ n
անզգայություն	ɑ n z ɡ ɑ j u tʰ j u n
անզգայություն	ɑ n ə z ɡ ɑ j u tʰ j u n
անզոր	ɑ n z ɔ ɾ
անընդհատ	ɑ n ə n tʰ h ɑ t
անընդհատ	ɑ n ə n tʰ ɑ t
անթ	ɑ n tʰ
անթայր	ɑ n tʰ ɑ j ɾ
անթառամ	ɑ n tʰ ɑ r ɑ m
անթարշամ	ɑ n tʰ ɑ ɾ ʃ ɑ m
անթացուպ	ɑ n tʰ ɑ t͡sʰ u p
անթեղ	ɑ n tʰ ɛ ʁ
անթերի	ɑ n tʰ ɛ ɾ i
անթրոպոմորֆիզմ	ɑ n tʰ ɾ ɔ p ɔ m ɔ ɾ f i z m
անժաժ	ɑ n ʒ ɑ ʒ
անժելա	ɑ n ʒ ɛ l ɑ
անժու	ɑ n ʒ u
անժուացի	ɑ n ʒ u ɑ t͡sʰ i
անի	ɑ n i
անիծ	ɑ n i t͡s
անիծել	ɑ n i t͡s ɛ l
անիծյալ	ɑ n i t͡s j ɑ l
անիմաստ	ɑ n i m ɑ s t
անիշխանություն	ɑ n i ʃ χ ɑ n u tʰ j u n
անիոն	ɑ n i j ɔ n
անիսոն	ɑ n i s ɔ n
անիվ	ɑ n i v
անիրավ	ɑ n i ɾ ɑ v
անխելք	ɑ n χ ɛ l kʰ
անխնա	ɑ n χ ə n ɑ
անծանոթ	ɑ n t͡s ɑ n ɔ tʰ
անկախ	ɑ ŋ k ɑ χ
անկախություն	ɑ ŋ k ɑ χ u tʰ j u n
անկած	ɑ ŋ k ɑ t͡s
անկանել	ɑ ŋ k ɑ n ɛ l
անկանոն	ɑ ŋ k ɑ n ɔ n
անկաշկանդ	ɑ ŋ k ɑ ʃ k ɑ n d
անկասկած	ɑ ŋ k ɑ s k ɑ t͡s
անկարա	ɑ ŋ k ɑ ɾ ɑ
անկարելի	ɑ ŋ k ɑ ɾ ɛ l i
անկեղծություն	ɑ ŋ k ɛ χ t͡s u tʰ j u n
անկյալ	ɑ ŋ k j ɑ l
անկյուն	ɑ ŋ k j u n
անկողին	ɑ ŋ k ɔ ʁ i n
անկողմնակալ	ɑ ŋ k ɔ ʁ m n ɑ k ɑ l
անկողմնակալություն	ɑ ŋ k ɔ ʁ m n ɑ k ɑ l u tʰ j u n
անկոս	ɑ ŋ k ɔ s
անկում	ɑ ŋ k u m
անկուշտ	ɑ ŋ k u ʃ t
անկված	ɑ ŋ k v ɑ t͡s
անկտի	ɑ ŋ k ə t i
անհաղթ	ɑ n h ɑ χ tʰ
անհաղթելի	ɑ n h ɑ χ tʰ ɛ l i
անհամ	ɑ n h ɑ m
անհամբեր	ɑ n h ɑ m pʰ ɛ ɾ
անհամեստ	ɑ n h ɑ m ɛ s t
անհամեստորեն	ɑ n h ɑ m ɛ s t ɔ ɾ ɛ n
անհամեստություն	ɑ n h ɑ m ɛ s t u tʰ j u n
անհամերաշխություն	ɑ n h ɑ m ɛ ɾ ɑ ʃ χ u tʰ j u n
անհայտ	ɑ n h ɑ j t
անհանգիստ	ɑ n h ɑ ŋ ɡ i s t
անհանգստանալ	ɑ n h ɑ ŋ ɡ ə s t ɑ n ɑ l
անհապաղ	ɑ n h ɑ p ɑ ʁ
անհապաղելի	ɑ n h ɑ p ɑ ʁ ɛ l i
անհապաղորեն	ɑ n h ɑ p ɑ ʁ ɔ ɾ ɛ n
անհաջողություն	ɑ n h ɑ d͡ʒ ɔ ʁ u tʰ j u n
անհասանելի	ɑ n h ɑ s ɑ n ɛ l i
անհավանական	ɑ n h ɑ v ɑ n ɑ k ɑ n
անհավատ	ɑ n h ɑ v ɑ t
անհատ	ɑ n h ɑ t
անհատակ	ɑ n h ɑ t ɑ k
անհատականություն	ɑ n h ɑ t ɑ k ɑ n u tʰ j u n
անհեթեթ	ɑ n h ɛ tʰ ɛ tʰ
անհեթեթություն	ɑ n h ɛ tʰ ɛ tʰ u tʰ j u n
անհեռանկարային	ɑ n h ɛ r ɑ n ə k ɑ ɾ ɑ j i n
անհետ	ɑ n h ɛ t
անհետանալ	ɑ n h ɛ t ɑ n ɑ l
անհերքելի	ɑ n h ɛ ɾ kʰ ɛ l i
անհիմն	ɑ n h i m ə n
անհնազանդ	ɑ n h ə n ɑ z ɑ n d
անհնազանդություն	ɑ n h ə n ɑ z ɑ n d u tʰ j u n
անհնար	ɑ n h ə n ɑ ɾ
անհույս	ɑ n h u j s
անհուն	ɑ n h u n
անհրաժեշտ	ɑ n h ə ɾ ɑ ʒ ɛ ʃ t
անհրաժեշտ	ɑ n ɾ ɑ ʒ ɛ ʃ t
անհրաժեշտություն	ɑ n h ə ɾ ɑ ʒ ɛ ʃ t u tʰ j u n
անհրաժեշտություն	ɑ n ɾ ɑ ʒ ɛ ʃ t u tʰ j u n
անձ	ɑ n d͡z
անձամբ	ɑ n d͡z ɑ m pʰ
անձավ	ɑ n d͡z ɑ v
անձեռնահաս	ɑ n d͡z ɛ r n ɑ h ɑ s
անձեռնհաս	ɑ n d͡z ɛ r ə n h ɑ s
անձեռնոցիկ	ɑ n d͡z ɛ r n ɔ t͡sʰ i k
անձեռոց	ɑ n d͡z ɛ r ɔ t͡sʰ
անձեռոցիկ	ɑ n d͡z ɛ r ɔ t͡sʰ i k
անձինք	ɑ n d͡z i ŋ kʰ
անձիք	ɑ n d͡z i kʰ
անձնագիր	ɑ n d͡z n ɑ ɡ i ɾ
անձնակազմ	ɑ n d͡z n ɑ k ɑ z m
անձնական	ɑ n d͡z n ɑ k ɑ n
անձնանուն	ɑ n d͡z n ɑ n u n
անձնավոր	ɑ n d͡z n ɑ v ɔ ɾ
անձնատու	ɑ n d͡z n ɑ t u
անձնատվություն	ɑ n d͡z n ɑ t ə v u tʰ j u n
անձնեղ	ɑ n d͡z n ɛ ʁ
անձնյա	ɑ n d͡z n j ɑ
անձուկ	ɑ n d͡z u k
անձրեւ	ɑ n d͡z ɾ ɛ v
անձրեւանոց	ɑ n d͡z ɾ ɛ v ɑ n ɔ t͡sʰ
անձրեւել	ɑ n d͡z ɾ ɛ v ɛ l
անձրուկ	ɑ n d͡z ɾ u k
անճար	ɑ n t͡ʃ ɑ ɾ
անճարակ	ɑ n t͡ʃ ɑ ɾ ɑ k
անճոռնի	ɑ n t͡ʃ ɔ r n i
անմահ	ɑ n m ɑ h
անմահություն	ɑ n m ɑ h u tʰ j u n
անմարդաբնակ	ɑ n m ɑ ɾ tʰ ɑ b ə n ɑ k
անմեղ	ɑ n m ɛ ʁ
անմեղություն	ɑ n m ɛ ʁ u tʰ j u n
անմեռ	ɑ n m ɛ r
անմեռական	ɑ n m ɛ r ɑ k ɑ n
անմիաբանություն	ɑ n m i j ɑ b ɑ n u tʰ j u n
անմիջաբար	ɑ n m i t͡ʃʰ ɑ b ɑ ɾ
անմիջական	ɑ n m i t͡ʃʰ ɑ k ɑ n
անմիջականորեն	ɑ n m i t͡ʃʰ ɑ k ɑ n ɔ ɾ ɛ n
անմիջականություն	ɑ n m i t͡ʃʰ ɑ k ɑ n u tʰ j u n
անմիջապես	ɑ n m i t͡ʃʰ ɑ p ɛ s
անմիջնորդաբար	ɑ n m i t͡ʃʰ n ɔ ɾ tʰ ɑ b ɑ ɾ
անմիս	ɑ n m i s
անմիտ	ɑ n m i t
անմնացորդ	ɑ n m ə n ɑ t͡sʰ ɔ ɾ tʰ
անմոռուկ	ɑ n m ɔ r u k
աննա	ɑ nː ɑ
աննամուս	ɑ nː ɑ m u s
աննկուն	ɑ nː ə k u n
աննման	ɑ nː ə m ɑ n
աննպաստ	ɑ nː ə p ɑ s t
աննվաճ	ɑ nː ə v ɑ t͡ʃ
անշարժ	ɑ n ʃ ɑ ɾ ʒ
անշեն	ɑ n ʃ ɛ n
անշեջ	ɑ n ʃ ɛ d͡ʒ
անշշուկ	ɑ n ʃ ə ʃ u k
անշուշտ	ɑ n ʃ u ʃ t
անշուք	ɑ n ʃ u kʰ
անշրջելի	ɑ n ʃ ə ɾ d͡ʒ ɛ l i
անոդ	ɑ n ɔ d
անոթ	ɑ n ɔ tʰ
անոթի	ɑ n ɔ tʰ i
անոնք	ɑ n ɔ ŋ kʰ
անորոշ	ɑ n ɔ ɾ ɔ ʃ
անորոշաբար	ɑ n ɔ ɾ ɔ ʃ ɑ b ɑ ɾ
անորոշակի	ɑ n ɔ ɾ ɔ ʃ ɑ k i
անորոշանալ	ɑ n ɔ ɾ ɔ ʃ ɑ n ɑ l
անորոշելի	ɑ n ɔ ɾ ɔ ʃ ɛ l i
անորոշություն	ɑ n ɔ ɾ ɔ ʃ u tʰ j u n
անութ	ɑ n u tʰ
անույշ	ɑ n u j ʃ
անուն	ɑ n u n
անուշ	ɑ n u ʃ
անուշաբույր	ɑ n u ʃ ɑ b u j ɾ
անուշակ	ɑ n u ʃ ɑ k
անուշահոտություն	ɑ n u ʃ ɑ h ɔ t u tʰ j u n
անուշապուր	ɑ n u ʃ ɑ p u ɾ
անուշավան	ɑ n u ʃ ɑ v ɑ n
անուր	ɑ n u ɾ
անուրջ	ɑ n u ɾ d͡ʒ
անպայման	ɑ n p ɑ j m ɑ n
անպատասխանատու	ɑ n p ɑ t ɑ s χ ɑ n ɑ t u
անպատեհ	ɑ n p ɑ t ɛ h
անպատրաստ	ɑ n p ɑ t ɾ ɑ s t
անպիտան	ɑ n p i t ɑ n
անջատ	ɑ n d͡ʒ ɑ t
անջատել	ɑ n d͡ʒ ɑ t ɛ l
անջրդի	ɑ n d͡ʒ ə ɾ tʰ i
անջրպետ	ɑ n d͡ʒ ə ɾ p ɛ t
անսասան	ɑ n s ɑ s ɑ n
անսովոր	ɑ n s ɔ v ɔ ɾ
անսպառ	ɑ n s p ɑ r
անսպասելիություն	ɑ n s p ɑ s ɛ l i u tʰ j u n
անսվաղ	ɑ n s ə v ɑ ʁ
անվադող	ɑ n v ɑ d ɔ ʁ
անվախ	ɑ n v ɑ χ
անվայել	ɑ n v ɑ j ɛ l
անվանել	ɑ n v ɑ n ɛ l
անվանի	ɑ n v ɑ n i
անվասայլակ	ɑ n v ɑ s ɑ j l ɑ k
անվավեր	ɑ n v ɑ v ɛ ɾ
անվճար	ɑ n v ə t͡ʃ ɑ ɾ
անվճռական	ɑ n v ə t͡ʃ r ɑ k ɑ n
անվճռականորեն	ɑ n v ə t͡ʃ r ɑ k ɑ n ɔ ɾ ɛ n
անվճռականություն	ɑ n v ə t͡ʃ r ɑ k ɑ n u tʰ j u n
անվտանգ	ɑ n v ə t ɑ ŋ ɡ
անվտանգության	ɑ n v ə t ɑ ŋ ɡ u tʰ j ɑ n
անվտանգություն	ɑ n v ə t ɑ ŋ ɡ u tʰ j u n
անվրդով	ɑ n v ə ɾ tʰ ɔ v
անտանանարիվու	ɑ n t ɑ n ɑ n ɑ ɾ i v u
անտանելի	ɑ n t ɑ n ɛ l i
անտառ	ɑ n t ɑ r
անտառային	ɑ n t ɑ r ɑ j i n
անտարբերություն	ɑ n t ɑ ɾ b ɛ ɾ u tʰ j u n
անտարկտիկա	ɑ n t ɑ ɾ k t i k ɑ
անտեղյակ	ɑ n t ɛ ʁ j ɑ k
անտեր	ɑ n t ɛ ɾ
անտերունչ	ɑ n t ɛ ɾ u n t͡ʃʰ
անտի	ɑ n t i
անտիգոնե	ɑ n t i ɡ ɔ n ɛ
անտիկ	ɑ n t i k
անտիոք	ɑ n t i ɔ kʰ
անտիոքացի	ɑ n t i ɔ kʰ ɑ t͡sʰ i
անտիոքյան	ɑ n t i ɔ kʰ j ɑ n
անտիոքոս	ɑ n t i ɔ kʰ ɔ s
անտիպ	ɑ n t i p
անտիսթենես	ɑ n t i s tʰ ɛ n ɛ s
անտիտավրոս	ɑ n t i t ɑ v ɾ ɔ s
անտիրական	ɑ n t i ɾ ɑ k ɑ n
անտիցիկլոն	ɑ n t i t͡sʰ i k l ɔ n
անտոնի	ɑ n t ɔ n i
անտոնիոս	ɑ n t ɔ n j ɔ s
անտուն	ɑ n t u n
անրադառնալ	ɑ n ɾ ɑ d ɑ r n ɑ l
անրակ	ɑ n ɾ ɑ k
անրջային	ɑ n ə ɾ d͡ʒ ɑ j i n
անց	ɑ n t͡sʰ
անցած	ɑ n t͡sʰ ɑ t͡s
անցկացնել	ɑ n t͡sʰ k ɑ t͡sʰ n ɛ l
անցյալ	ɑ n t͡sʰ j ɑ l
անցնել	ɑ n t͡sʰ n ɛ l
անցողական	ɑ n t͡sʰ ɔ ʁ ɑ k ɑ n
անցում	ɑ n t͡sʰ u m
անցք	ɑ n t͡sʰ kʰ
անփողկապ	ɑ n pʰ ɔ χ k ɑ p
անփույթ	ɑ n pʰ u j tʰ
անքաղաքավարություն	ɑ ŋ kʰ ɑ ʁ ɑ kʰ ɑ v ɑ ɾ u tʰ j u n
անօգ	ɑ n ɔ kʰ
անօգնական	ɑ n ɔ kʰ n ɑ k ɑ n
անօգուտ	ɑ n ɔ kʰ u t
անօդաչու	ɑ n ɔ tʰ ɑ t͡ʃʰ u
անօթեւան	ɑ n ɔ tʰ ɛ v ɑ n
աշակերտ	ɑ ʃ ɑ k ɛ ɾ t
աշակերտուհի	ɑ ʃ ɑ k ɛ ɾ t u h i
աշգաբատ	ɑ ʃ ɡ ɑ b ɑ t
աշխաբադ	ɑ ʃ χ ɑ b ɑ d
աշխատակազմ	ɑ ʃ χ ɑ t ɑ k ɑ z m
աշխատակից	ɑ ʃ χ ɑ t ɑ k i t͡sʰ
աշխատանք	ɑ ʃ χ ɑ t ɑ ŋ kʰ
աշխատասեր	ɑ ʃ χ ɑ t ɑ s ɛ ɾ
աշխատավարձ	ɑ ʃ χ ɑ t ɑ v ɑ ɾ t͡sʰ
աշխատել	ɑ ʃ χ ɑ t ɛ l
աշխատող	ɑ ʃ χ ɑ t ɔ ʁ
աշխարհ	ɑ ʃ χ ɑ ɾ
