't	t
stater	ʃ t aː t e r
stee	ʃ t eː
steebock	ʃ t eː b o k
steebroch	ʃ t eː b ʀ o χ
steekueb	ʃ t eː k u ə̯ b
steemetzer	ʃ t eː m æ t͡s ɐ
steen	ʃ t eː n
steepiisch	ʃ t eː p iː ʃ
steeën	ʃ t eː ə n
steier	ʃ t ɑ ɪ̯ ɐ
steiwen	ʃ t ɑ ɪ v ə n
stellen	ʃ t æ l ə n
steng	ʃ t æ ŋ
stengeg	ʃ t æ ŋ ə ɕ
stengen	ʃ t æ ŋ ə n
stiechen	ʃ t i ə ɕ ə n
stied	ʃ t i ə t
stielen	ʃ t i ə l ə n
stiermer	ʃ t iː ə̯ m ɐ
stiermesch	ʃ t iː ə̯ m ə ʃ
stierwen	ʃ t iː ə̯ v ə n
still	ʃ t i l
stir	ʃ t iː ə̯
stiren	ʃ t i ə ʀ ə n
stiwwel	ʃ t i v ə l
stoen	ʃ t oː ə n
stoff	ʃ t o f
stol	ʃ t oː l
stomm	ʃ t o m
stomp	ʃ t o m p
stong	ʃ t o ŋ
stonn	ʃ t o n
stonneplang	ʃ t o n ə p l ɑ ŋ
stoppen	ʃ t o p ə n
storch	ʃ t o ʀ χ
stot	ʃ t oː t
stouss	ʃ t ə ʊ̯ s
stoussen	ʃ t ə ʊ̯ s ə n
strand	ʃ t ʀ ɑ n t
strapp	ʃ t ʁ ɑ p
strategie	ʃ t ʁ a t e ʒ iː
strauch	ʃ t r æː ʊ̯ χ
strauss	ʃ t ʀ ɑ ʊ̯ s
streck	ʃ t ʀ æ k
strecken	ʃ t ʀ æ k ə n
streech	ʃ t ʀ eː ɕ
streiden	ʃ t ʀ ɑ ɪ̯ d ə n
strief	ʃ t ʀ i ə f
striewen	ʃ t ʀ i ə̯ v ə n
strigel	ʃ t ʀ i ʑ ə l
strof	ʃ t ʀ oː f
strofen	ʃ t ʀ oː f e n
stronk	ʃ t ʀ o ŋ k
strooss	ʃ t ʀ oː s
stroossbuerg	ʃ t ʀ oː s b uː ʀ χ
stroum	ʃ t ʀ ə ʊ̯ m
strumm	ʃ t ʀ u m
sträichen	ʃ t ʀ æː ɪ̯ ɕ ə n
sträif	ʃ t ʀ æː ɪ̯ f
sträifen	ʃ t ʀ æː ɪ̯ f ə n
sträit	ʃ t ʀ æː ɪ̯ t
sträitfall	ʃ t ʀ æː ɪ̯ t f ɑ l
stréch	ʃ t ʀ ə ɕ
strécher	ʃ t ʀ ə ɕ ɐ
stréck	ʃ t ʀ e k
stréckel	ʃ t ʀ e k ə l
strécken	ʃ t ʀ e k ə n
stréi	ʃ t ʀ ɜ ɪ
stréihutt	ʃ t ʀ ɜ ɪ̯ h u t
strénk	ʃ t ʀ e ŋ k
strëmp	ʃ t ʀ e m p
stuel	ʃ t u ə l
stuerm	ʃ t uː ə m
stuff	ʃ t u f
stull	ʃ t u l
stäerchen	ʃ t eː ʀ χ e n
stäerkt	ʃ t ɛː ə̯ k t
stänneg	ʃ t æ n e χ
stär	ʃ t eː ʀ
stären	ʃ t eː ʀ e n
stärercher	ʃ t eː ʀ e ʀ χ e ʀ
stéck	ʃ t e k
stécken	ʃ t e k e n
stécker	ʃ t e k ɐ
stéckstoff	ʃ t e k ʃ t o f
stéier	ʃ t ɜ ɪ̯ ɐ
stéifkand	ʃ t ɜ ɪ̯ f k ɑ n t
stéifmamm	ʃ t ɜ ɪ̯ f m ɑ m
stéifpapp	ʃ t ɜ ɪ̯ f p ɑ p
stéit	ʃ t ɜ ɪ̯ t
stëbs	ʃ t ə p s
stëft	ʃ t ə f t
stëll	ʃ t ə l
stëllen	ʃ t ə l ə n
stëmm	ʃ t ə m
stëmmen	ʃ t ə m ə n
sucht	z u χ t
suedel	z u ə̯ d ə l
suel	z u ə l
suerg	z u e̯ χ
suergen	z u e̯ ʁ e n
summer	z u m ɐ
summerwee	z u m ɐ v eː
symptom	s i m p t oː m
sächlech	z æ χ l e χ
säin	z æː ɪ̯ n
säit	z æː ɪ̯ t
séchel	z ə ɕ ə l
sécher	z e χ e r
séi	z ɜ ɪ
séien	z ɜ ɪ̯ ə n
séier	z ɜ ɪ̯ ɐ
séihond	z ɜ ɪ̯ h o n t
séil	z ɜ ɪ l
séileg	z ɜ ɪ l ə ɕ
séipäerdchen	z ɜ ɪ̯ p ɛː ə̯ t ɕ ə n
séiss	z ɜ ɪ̯ s
séissen	z ɜ ɪ̯ s e n
sëffeg	z ə f ə ɕ
sëlwer	s ə l v ɐ
sëlwer	z ə l v ɐ
sëlwermënz	z ə l v ɐ m ə n t͡s
sënd	z ə n t
sëndegen	z e n d e ʁ e n
sënn	z ə n
sëtz	z ə t s
sëtzen	z ə t s ə n
süden	z yː d ə n
taart	t aː χ t
taaschten	t aː ʃ t ə n
taass	t aː s
tallong	t ɑ l o ŋ
tast	t ɑ s t
tatta	t ɑ t a
tatz	t ɑ t s
taxichauffeur	t ɑ k s i ʃ oː f ɐ
televisioun	t ə l ə v i z j ə ʊ̯ n
tempel	t æ m p ə l
tennis	t æ n i s
teppech	t æ p ə ɕ
terrass	t æ ʀ ɑ s
thees	t eː s
tierk	t iː ə̯ k
tierkei	t iː ə̯ k ɑ ɪ̯
timber	t ɛ̃ː b ɐ
toilettëpabeier	t o̯ ɑ l æ t ə p ɑ b ɜ i̯ ɐ
tomat	t o m aː t
tomatejus	t o m aː t ə ʒ yː
tommelen	t o m ə l ə n
topeg	t oː p ə ɕ
tosch	t o ʃ
toufen	t ə ʊ̯ f e n
toun	t ə ʊ̯ n
tournevis	t u ʀ n ə v i s
trach	t ʀ ɑ χ
traisch	t ʀ æː ɪ̯ ʃ
trap	t ʀ aː p
trapegelänner	t ʀ aː p ə ɡ ə l æ n ɐ
trapp	t ʁ ɑ p
tratt	t ʀ ɑ t
trauen	t ʀ a u̯ e n
trauer	t ʀ ɑ ʊ̯ ɐ
traueren	t ʀ ɑ ʊ̯ ə ʀ ə n
traufel	t ʀ ɑ ʊ̯ f ə l
trausch	t ʀ æː ʊ̯ ʃ
treffen	t ʀ æ f ə n
trei	t ʀ a i̯
trennen	t ʀ æ n ə n
trieden	t ʀ i ə̯ d ə n
triet	t ʀ i ə t
tromm	t ʀ o m
troun	t ʀ ə ʊ̯ n
trouscht	t ʀ ə ʊ̯ ʃ t
truecht	t ʀ u ə ɕ t
träip	t ʀ æː ɪ̯ p
tréier	t ʀ ɜ ɪ̯ ɐ
tréin	t ʀ ɜ ɪ̯ n
tréischten	t ʀ ɜ ɪ̯ ʃ t ə n
trëllen	t ʀ ə l ə n
trëppelen	t ʀ ə p ə l ə n
trëts	t ʀ ə t s
trëtt	t ʀ ə t
trëtz	t ʀ ə t s
trüffel	t ʀ y f ə l
tubak	t u b aː k
tuerm	t u ə̯ m
tulp	t u l p
tureil	t uː ə̯ ɑ i̯ l
turnschlapp	t u ʀ n ʃ l ɑ p
tuten	t uː t ə n
täissel	t æː ɪ̯ s ə l
täsch	t æ ʃ
täschemesser	t æ ʃ ə m æ s ɐ
täschendéif	t æ ʃ ə n d ɜ ɪ̯ f
téi	t ɜ ɪ
téinen	t e i̯ n e n
tënt	t ə n t
tëschen	t ə ʃ ə n
tëschent	t ə ʃ ə n t
tëscht	t e ʃ t
ubau	u b æː ʊ̯
ubauen	u b ɑ ʊ̯ ə n
uebst	u ə̯ p s t
uebstjus	u ə̯ p s t ʒ yː
uechten	u ə̯ χ t e n
uechter	u ə̯ ɕ t ɐ
uechtzéng	u ə̯ ɕ t͡s e ŋ
uechtzéngt	u ə̯ ɕ t͡s e ŋ t
ueleg	u ə̯ l ə ɕ
uelzecht	u ə l t͡s ə ɕ t
uerden	uː ə̯ d ə n
uerder	uː ə̯ d ɐ
uerdnung	uː ə̯ d n u ŋ
uerg	uː ə̯ ɕ
uergel	uː ə̯ ʑ ə l
uergelbauer	u e̯ ʀ ɣ e l b a u̯ e ʀ
uergelspiller	uː ə̯ ʑ ə l ʃ p i l ɐ
uert	uː ə̯ t
uerteel	u e̯ t eː l
uess	u ə̯ s
uessen	u ə̯ s ə n
uewen	u ə v ə n
uewerkuer	u ə v ɐ k uː ə̯
ufank	u f ɑ ŋ k
ufro	u f ʀ oː
ufänken	u f æ ŋ k ə n
uklicken	u k l i k ə n
ukommen	u k o m ə n
ulaf	u l aː f
uleeën	u l eː ə n
ulm	u l m
umaachen	u m aː χ ə n
un	u n
uneneen	u n ə n eː n
unerkennen	u n ɐ k æ n ə n
unhuelen	u n h u ə l ə n
universitéit	u n i v æ ʁ s i t ɜ ɪ̯ t
ursaach	uː ʀ z aː χ
uruffen	u ʀ u f ə n
uschléissen	u ʃ l ɜ ɪ̯ s ə n
uspriechen	u ʃ p ʀ i ə̯ χ e n
usproch	u ʃ p ʀ o χ
usprooch	u ʃ p ʀ oː χ
vakanz	v ɑ k ɑ n t s
vanill	v ɑ n i l
vas	v aː s
veianen	f ɑ ɪ̯ aː n ə n
veinen	f ɑ ɪ̯ n ə n
verbannen	f e ʀ b ɑ n e n
verbidden	f ɐ b i d ə n
verbréngen	f ɐ b ʀ e ŋ ə n
verbuet	f ɐ b u ə t
verbéissen	f ɐ b ɜ ɪ̯ s ə n
verdeedegen	f ɐ d eː d e ʁ e n
verdeedeger	f ɐ d eː d e ʁ ɐ
verdeelen	f ɐ d eː l ə n
verdroen	f ɐ d ʀ oː ə n
verdéngen	f ɐ d e ŋ ə n
vereelzt	f ɐ ʔ eː l t͡s t
vereinfachen	f ɐ ʔ ɑ ɪ̯ n f ɑ χ ə n
verfall	f ɐ f ɑ l
verfollegen	f ɐ f o l ə ʑ ə n
verfollegung	f ɐ f o l e ʁ u ŋ
verfälschen	f ɐ f æ l ʃ ə n
verfälscht	f ɐ f æ l ʃ t
vergiess	f ɐ ɡ i ə s
vergiessen	f ɐ ɡ i ə s ə n
vergiesst	f ɐ ɡ i ə s t
verginn	f ɐ ɡ i n
vergläichen	f ɐ ɡ l æː ɪ̯ χ e n
vergréisseren	f ɐ ɡ ʀ ɜ ɪ̯ s ə ʀ ə n
vergëss	f ɐ ɡ ə s
vergësst	f ɐ ɡ ə s t
verhalen	f ɐ h aː l ə n
verherrlechen	f ə h ɛ ʁ l ə ɕ ə n
verkafen	f ɐ k aː f ə n
verlaangen	f ɐ l aː ŋ ə n
verletzen	f ɐ l æ t͡s ə n
verlounen	f ɐ l ə ʊ̯ n ə n
verléieren	f ɐ l ɜ ɪ̯ ə ʀ ə n
verléiwen	f ɐ l ɜ ɪ̯ v ə n
vermengt	f ɐ m æ ŋ t
vermëschen	f ɐ m ə ʃ ə n
vermëssen	f ɐ m ə s ə n
verschidden	f ɐ ʃ i d ə n
verschléissen	f ɐ ʃ l ɜ ɪ̯ s ə n
verschwieren	f ɐ ʃ w i ə̯ ʀ ə n
versetzen	f ɐ z æ t s ə n
verspriechen	f e ʀ ʃ p ʀ i ə̯ χ e n
verspriechen	f ɐ ʃ p ʀ i ə̯ χ e n
verspriechung	f ɐ ʃ p ʀ i ə̯ χ u ŋ
versteesdemech	f ɐ ʃ t eː s d e m e χ
versteeën	f ɐ ʃ t eː ə n
verstoen	f e ʀ ʃ t oː e n
verstoppen	f ɐ ʃ t o p ə n
versécherung	f ɐ z e χ e ʀ u ŋ
verteideger	f ɐ t ɑ ɪ̯ d e ʁ ɐ
vertrieden	f ɐ t ʀ i ə d ə n
veruechten	f ɐ u ə̯ χ t e n
verwonnen	f ɐ v o n ə n
verzeien	f ɐ t͡s ɑ ɪ̯ ə n
verzweiwelen	f ɐ t͡s w ɑ ɪ̯ v ə l ə n
verzweiwelung	f ɐ t͡s w ɑ ɪ̯ v ə l u ŋ
veräisen	f ɐ æː ɪ̯ z ə n
veränneren	f ɐ æ n ə ʀ ə n
vexéieren	v æ k s ɜ ɪ̯ ə ʀ ə n
vigel	f i ʑ ə l
viischt	f iː ʃ t
vill	f i l
villmols	f i l m oː l s
vir	f iː ʀ
virdeel	f i ɐ̯ d eː l
virdrun	f iː ə̯ d ʀ u n
virnumm	f iː ə̯ n u m
virolog	v i ʁ o l oː k
virologie	v i ʁ o l o ɡ iː
virsiichteg	f iː ə̯ z iː ɕ t ə ɕ
virstellen	f iː ə̯ ʃ t æ l ə n
virstellung	f i ɐ̯ ʃ t æ l u ŋ
virun	f i ʀ u n
vitesse	v i t æ s
vläicht	f l æː ɪ̯ ɕ t
voll	f o l
vollek	f o l ə k
vollmound	f o l m ə ʊ̯ n t
vott	v o t
vrun	f ʀ u n
vugel	f u ʁ ə l
vull	f u l
vun	f u n
véi	f ɜ ɪ̯
véier	f ɜ ɪ̯ ɐ
véiert	f ɜ ɪ̯ ɐ t
véierzeg	f ɜ i̯ ɐ t͡s ə ɕ
véierzéng	f ɜ ɪ̯ ɐ t͡s e ŋ
véierzéngt	f ɜ ɪ̯ ɐ t͡s e ŋ t
vëlo	v ə l oː
vëlossport	v ə l oː s ʃ p o ʀ t
waachen	v aː χ ə n
waarden	v aː ʀ d ə n
waarm	v aː ʀ m
waarzel	v aː t͡s ə l
waasser	v aː s ɐ
waasserball	v aː s ɐ b ɑ l
waasserlaf	v aː s ɐ l aː f
waassermann	v aː s ɐ m ɑ n
waassermeloun	v aː s ɐ m ə l ə ʊ̯ n
waasserpiipsert	v aː s ɐ p iː p s ɐ t
waasserpouken	v aː s ə p ə ʊ̯ k ə n
waasserstoff	v aː s ɐ ʃ t o f
wab	v aː p
wackelen	v ɑ k ə l ə n
waff	v ɑ f
wak	v aː k
wakelter	v aː k ə l t ɐ
wal	v aː l
wallis	v ɑ l i s
wand	v a n t
wanderen	v ɑ n d ə ʀ ə n
wandvitesse	v ɑ n d v i t æ s
wann	v ɑ n
wanter	v a n t e ʀ
wanterint	v ɑ n t ə ʀ i n t
wanterpanewippchen	v ɑ n t ɐ p aː n ə v i p ɕ ə n
wat	v aː t
wat	v ɑ t
watt	v ɑ t
wecker	v æ k ə
weder	v eː d ɐ
wee	v e
weech	v eː ɕ
weechen	v eː ɕ ə n
weed	v eː t
weeden	v eː d ə n
ween	v eː n
weeschësser	v eː ʃ ə s ɐ
weess	v eː s
weeër	v e e ʀ
wei	v ɑ ɪ̯
weiblech	v ɑ ɪ̯ b l ə ɕ
weid	v ɑ ɪ̯ t
weidemees	v ɑ ɪ̯ d ə m eː s
weider	v ɑ ɪ̯ d ɐ
weien	v ɑ ɪ̯ ə n
weis	v ɑ ɪ̯ s
weisen	v ɑ ɪ̯ z ə n
weit	v ɑ ɪ̯ t
well	v æ l
welt	v æ l t
weltbekannt	v æ l d b ə k ɑ n t
wennen	v æ n ə n
werfen	v æ ʀ f e n
westen	v æ s t ə n
wett	v æ t
wetten	v æ t ə n
wichteg	v i ɕ t ə ɕ
wick	v i k
widder	v i d ɐ
wiechter	v i ə̯ ɕ t ɐ
wieder	v i e̯ d e ʀ
wiel	v i ə̯ l
wielen	v i ə l ə n
wiem	v i ə̯ m
wien	v i ə̯ n
wier	v iː ə̯
wierbeldéier	v iː ʀ b e l d ɜ ɪ̯ ɐ
wierdegen	v iː ʀ d e ʁ e n
wierder	v i e̯ ʀ d e ʀ
wierderbuch	v i e̯ d e ʀ b u χ
wieren	v i ə ʀ ə n
wierfel	v iː ə̯ f ə l
wierk	v iː ə̯ k
wierken	v iː ə̯ k ə n
wierklech	v iː ə̯ k l ə ɕ
wierm	v iː ə̯ m
wiert	v iː ə t
wiesen	v i ə z ə n
wiessel	v i ə̯ s ə l
wiesselen	v i ə̯ s ə l ə n
wiewen	v i ə̯ v ə n
wiiss	v iː s
wiisst	v iː s t
winker	v i ŋ k ɐ
winnen	v i n ə n
wirschtchen	v i ʀ ʃ e n
wirschtchen	v i ʀ ʃ t χ e n
wirschtercher	v i ʀ ʃ t e ʀ χ e ʀ
wisel	v i z ə l
wisepiipsert	v iː z ə p i p s ɐ t
wiss	v i s
witz	v i t͡s
wo	v oː
woch	v o χ
woen	v oː ə n
woll	v o l
wollef	v o l ə f
wollek	v o l ə k
wollekekrazert	v o l ə k ə k ʀ aː t͡s ɐ t
wolz	v o l t s
won	v oː n
wond	v o n t
wonn	v o n
wonner	v o n ɐ
wonneren	v o n ə ʀ ə n
wopen	v oː p e n
wosst	v o s t
wossten	v o s t ə n
wou	v ə ʊ
wouer	v ə ʊ̯ ɐ
wourecht	v e ʊ̯ ʀ e χ t
wousst	v ə ʊ̯ s t
woussten	v ə ʊ̯ s t ə n
wuecht	v u ə̯ ɕ t
wuechtel	v u ə̯ ɕ t ə l
wuechthond	v u ə̯ ɕ t h o n t
wued	v u ə̯ t
wuel	v u ə l
wuer	v u ɐ
wuer	v u ə̯ ʀ
wuerm	v uː ə̯ m
wuert	v u e̯ ʀ t
wuerzel	v u ə̯ t͡s ə l
wues	v u ə s
wuess	v u ə s
wuessen	v u ə̯ s ə n
wuesst	v u ə s t
wull	v u l
wullen	v u l ə n
wunnen	v u n ə n
wunneng	v u n e ŋ
wurscht	v u ʀ ʃ t
wurschten	v u ʀ ʃ t e n
wäermt	v ɛː ə̯ m t
wäert	v ɛː ə̯ t
wäerten	v ɛː ə̯ t ə n
wäich	v æː ɪ̯ ɕ
wäichen	v æː ɪ̯ ɕ ə n
wäikeller	v æː ɪ̯ k æ l ɐ
wäin	v æː ɪ̯ n
wäiss	v æː ɪ̯ s
wäissen	v æː ɪ s ə n
wäissrussland	v æː ɪ̯ z ʀ u s l ɑ n t
wäit	v æː ɪ̯ t
wäitsprong	v æː ɪ̯ t ʃ p ʀ o ŋ
wäsch	v æ ʃ
wäschbier	v æ ʃ b i ə̯
wäschen	v æ ʃ ə n
wäschkichen	v æ ʃ k i ɕ ə n
wäschkuerf	v æ ʃ k uː ə̯ f
wässeg	v æ s ə ɕ
wässeren	v æ s ə ʀ ə n
wéckelen	v e k ə l ə n
wéi	v i
wéi	v ɜ ɪ
wéi	v ɜ ɪ̯
wéien	v ɜ ɪ̯ ə n
wéineg	v ɜ ɪ̯ n ə ɕ
wéini	v e ɪ̯ n i
wéinst	v ɜ ɪ̯ n s t
wéint	v ɜ ɪ n t
wéisst	v ɜ ɪ̯ s t
wéissten	v ɜ ɪ̯ s t ə n
wéngchen	v e ŋ ɕ ə n
wéngert	v e ŋ ɐ t
wénkel	v e ŋ k ə l
wénken	v e ŋ k ə n
wëld	v ə l t
wëll	v ə l
wëllef	v ə l ə f
wëllen	v ə l ə n
wënnen	v ə n ə n
wënschen	v ə n ʃ ə n
wënzer	v ə n t͡s ɐ
wësch	v ə ʃ
wëschen	v ə ʃ ə n
wëssen	v ə s ə n
wëssentlech	v ə s ə n t l ə ɕ
wësst	v ə s t
wüst	v yː s t
zaang	t s aː ŋ
zaart	t͡s aː χ t
zabbeleg	t͡s ɑ b ə l ə ɕ
zabbelen	t͡s ɑ b ə l ə n
zack	t s ɑ k
zalot	t͡s aː l oː t
zam	t s aː m
zammermann	t͡s ɑ m ɐ m ɑ n
zander	t͡s ɑ n d ɐ
zant	t s ɑ n t
zanter	t s ɑ n t ɐ
zap	t͡s aː p
zapp	t s ɑ p
zatz	t s ɑ t s
ze	t s ə
zebra	t͡s eː b ʀ a
zebrasträif	t͡s eː b ʀ ɑ ʃ t ʀ æː ɪ̯ f
zeck	t s æ k
zecken	t s æ k e n
zeechen	t͡s eː ɕ ə n
zeechnen	t s eː χ n e n
zeen	t͡s eː n
zeideg	t͡s ɑ ɪ̯ d ə ɕ
zeien	t͡s ɑ ɪ̯ ə n
zeil	t s ɑ ɪ̯ l
zeitung	t͡s ɑ ɪ̯ t u ŋ
zeitungen	t͡s ɑ ɪ̯ t u ŋ ə n
zell	t s æ l
zelleri	t͡s æ l ə ʁ i
zelt	t͡s æ l t
zersetzen	t͡s ɐ z æ t s ə n
zervéit	t͡s ɐ v ɜ ɪ̯ t
zeréck	t͡s ə ʀ e k
zerécksetzen	t s ə ʀ e k z æ t s ə n
zesummen	t͡s ə z u m ə n
zevill	t͡s ə f i l
zidderen	t͡s i d ə ʁ ə n
ziedel	t͡s i ə̯ d ə l
zielen	t͡s i ə l ə n
zier	t͡s iː ə̯
zieren	t͡s i ə ʀ ə n
zigel	t͡s i ʑ ə l
ziichten	t s iː ɕ t ə n
zil	t͡s iː l
zilen	t͡s iː l ə n
zill	t s i l
zillen	t͡s i l ə n
zillzapp	t͡s i l t͡s ɑ p
zitroun	t͡s i t ʀ ə ʊ̯ n
zitt	t͡s i t
zitts	t͡s i t s
ziwwi	t s i v i
zoch	t s o χ
zocker	t͡s o k ɐ
zodi	t͡s oː d iː
zolidd	t͡s o l i t
zoll	t s o l
zomm	t͡s o m
zon	t͡s oː n
zong	t͡s o ŋ
zonk	t s o ŋ k
zooss	t s oː s
zoossiss	t͡s oː s i s
zopp	t͡s o p
zort	t͡s o ʀ t
zou	t s ə ʊ
zoudroen	t͡s ə ʊ̯ d ʀ oː ə n
zouen	t s ə ʊ ə n
zoufall	t͡s ə ʊ̯ f ɑ l
zoufälleg	t͡s ə ʊ̯ f æ l ə ɕ
zoumaachen	t͡s ə ʊ̯ m aː χ ə n
zousetzen	t͡s ə ʊ z æ t s ə n
zouspriechen	t͡s ə ʊ̯ ʃ p ʀ i ə̯ χ e n
zoustand	t͡s ə ʊ̯ ʃ t ɑ n t
zoustänneg	t͡s ə ʊ̯ ʃ t æ n ə ɕ
zousätzlech	t͡s ə ʊ̯ z æ t͡s l ə ɕ
zu	t͡s u
zuch	t͡s u χ
zuel	t͡s u ə l
zugläich	t͡s u ɡ l æː ɪ̯ ɕ
zuucht	t s uː χ t
zwangsrekrutéieren	t͡s w ɑ ŋ s ʀ ə k ʀ u t ɜ ɪ̯ ə ʀ ə n
zwangsrekrutéierten	t͡s w ɑ ŋ s ʀ ə k ʀ u t ɜ ɪ̯ ɐ t ə n
zwanzeg	t͡s w ɑ n t͡s ə ɕ
zwanzegst	t͡s w ɑ n t͡s ə ɕ s t
zweck	t͡s w æ k
zwecker	t͡s w æ k ɐ
zwee	t͡s w eː
zweeeeëg	t s v e e e χ
zweemol	t͡s w eː m oː l
zweet	t͡s w eː t
zweiwel	t͡s v ɑ ɪ̯ v e l
zweiwelen	t͡s v ɑ ɪ̯ v e l e n
zwielef	t s w i ə̯ l ə f
zwieleft	t͡s w i ə̯ l ə f t
zwilling	t͡s w i l i ŋ
zwir	t͡s w iː ə̯
zwirkinnek	t͡s w iː ə̯ k i n e k
zwitscher	t͡s w i t͡ʃ ɐ
zwitscheren	t͡s w i t͡ʃ ə ʀ ə n
zwitschers	t͡s w i t͡ʃ ɐ s
zwitschert	t͡s w i t͡ʃ ɐ t
zwiwwel	t͡s w i v ə l
zwou	t͡s w ə ʊ
zwäig	t s v æ i̯ χ
zwéin	t͡s w ɜ ɪ n
zwéngen	t͡s w e ŋ ə n
zwëschen	t͡s w ə ʃ ə n
zwëschent	t͡s w ə ʃ ə n t
zwëscht	t͡s w ə ʃ t
zylinder	t͡s i l i n d ɐ
zäertlech	t͡s ɛː ə̯ t l ə ɕ
zäertlechkeet	t͡s ɛː ə̯ t l ə ɕ k eː t
zäit	t͡s æː ɪ t
zäitplang	t͡s æː ɪ̯ t p l ɑ ŋ
zäitschrëft	t͡s æː ɪ̯ t ʃ ʁ ə f t
zänn	t͡s æ n
zänndokter	t͡s æ n d o k t ɐ
zär	t͡s ɛː ə̯
zäregas	t͡s ɛː ʀ ə ɡ aː s
zäreneffekt	t͡s ɛː ʀ ə n e f æ k t
zécken	t͡s e k ə n
zéi	t͡s ɜ ɪ
zéien	t͡s ɜ ɪ̯ ə n
zéif	t͡s ɜ ɪ f
zéit	t͡s ɜ ɪ̯ t
zéiwennol	t͡s ɜ ɪ̯ v ə n oː l
zéng	t s e ŋ
zéngt	t͡s e ŋ t
zénk	t͡s e ŋ k
zëmmer	t͡s ə m ɐ
zënn	t s ə n
zënter	t s ə n t ɐ
äbt	æ p t
äddi	æ d i
äerd	eː ʀ t
äerdbier	eː ʀ t b iː ʀ
äerz	eː ʀ t s
äerzbëschof	eː ʀ t s b e ʃ o f
ähnlech	æː n l e χ
äifer	æ i̯ f e ʀ
äifereg	æ i̯ f e ʀ e χ
äis	æ i̯ s
äisbier	æ i̯ s b iː ʀ
äisbierg	æ i̯ s b i e̯ χ
äisch	æ i̯ ʃ
äishockey	æ i̯ s h o k i
äiskal	æ i̯ s k aː l
äisvull	æ i̯ s f u l
äiszäit	æ i̯ s t s æ i̯ t
änneren	æ n e ʀ e n
ännerung	æ n e ʀ u ŋ
äntweren	æ n t v e ʀ e n
äntwert	æ n t v e ʀ t
äppel	æ p ə l
äppeljus	æ p e l ʒ y
äppeltaart	æ p e l t aː ʀ t
äppeltäsch	æ p e l t æ ʃ
äppelviz	æ p e l f iː t s
äquator	æ k v aː t o ʀ
är	eː ʀ
äsch	æ ʃ
äschepuddel	æ ʃ e p u d e l
äschermëttwoch	æ ʃ e ʀ m e t v o χ
äscht	æ ʃ t
äss	æ s
äusseren	o i̯ s e ʀ e n
éier	e i̯ e ʀ
éierchen	e i̯ e ʀ χ e n
éieregaascht	e i̯ ʀ e ɡ aː ʃ t
éieren	e i̯ ʀ e n
éig	e i̯ χ
éil	e i̯ l
éischt	e i̯ ʃ t
éislek	e i̯ s l e k
éisträich	e i̯ s t ʀ æ i̯ χ
éiweg	e i̯ v e χ
éiwegkeet	e i̯ v e χ k eː t
ëffnung	e f n u ŋ
ëm	e m
ëmdoen	e m d o e n
ëmdréien	e m d ʀ e i̯ e n
ëmdréiung	e m d ʀ e i̯ u ŋ
ëmgang	e m ɡ a ŋ
ëmgangssprooch	e m ɡ a ŋ s ʃ p ʀ oː χ
ëmgangssproochlech	e m ɡ a ŋ s ʃ p ʀ oː χ l e χ
ëmleeën	e m l e e n
ëmsetzen	e m z æ t s e n
ëmwelt	e m v æ l t
ëmänneren	e m æ n e ʀ e n
ënn	e n
ënnen	e n e n
ënner	e n e ʀ
ënnerdaach	e n e ʀ d aː χ
ënnergang	e n e ʀ ɡ a ŋ
ënnerleeën	e n e ʀ l e e n
ënnerleien	e n e ʀ l a i̯ e n
ënnerläif	e n e ʀ l æ i̯ f
ënnerscheed	e n e ʀ ʃ eː t
ënnerwäsch	e n e ʀ v æ ʃ
ëss	e s
ësst	e s t
ëstlech	e s t l e χ
