ँ	ə̃
अभिनेत्री	ə bʱ ɪ n̪ eː t̪ ɾ iː
अभिप्राय	ə bʱ ɪ p ɾ äː j
अभिभावक	ə bʱ ɪ bʱ äː ʋ ə k
अभिमानी	ə bʱ ɪ m äː n̪ iː
अभियंता	ə bʱ i j ə̃ n̪ t̪ äː
अभियंत्रण	ə bʱ i j ə̃ n̪ t̪ ɾ ə̃ ɳ
अभियंत्रिकी	ə bʱ i j ə̃ n̪ t̪ ɾ ɪ k iː
अभियन्ता	ə bʱ i j ə̃ n̪ t̪ äː
अभियांत्रिकी	ə bʱ i j ä̃ː n̪ t̪ ɾ ɪ k iː
अभियान	ə bʱ i j ä̃ː n̪
अभियुक्त	ə bʱ i j ʊ k t̪
अभियोक्ता	ə bʱ i j oː k t̪ äː
अभियोग	ə bʱ i j oː ɡ
अभियोजक	ə bʱ i j oː d͡ʒ ə k
अभिलाषा	ə bʱ ɪ l̪ äː ʃ äː
अभिलेख	ə bʱ ɪ l̪ eː kʰ
अभिवादन	ə bʱ ɪ ʋ äː d̪ ə̃ n̪
अभ्यंग	ə bʱ j ə̃ ŋ ɡ
अभ्यस्त	ə bʱ j ə s̪ t̪
अभ्यागत	ə bʱ j äː ɡ ə t̪
अभ्यास	ə bʱ j äː s̪
अभ्यासक्रम	ə bʱ j äː s̪ k ɾ ə̃ m
अभ्यासवश	ə bʱ j äː s̪ ʋ ə ʃ
अमचूर	ə̃ m t͡ʃ uː ɾ
अमन	ə m ə̃ n̪
अमरावती	ə̃ m ɾ äː ʋ ə t̪ iː
अमरीका	ə̃ m ɾ iː k äː
अमरूद	ə̃ m ɾ uː d̪
अमल	ə m ə l̪
अमानत	ə m äː n̪ ə t̪
अमानती	ə m äː n̪ ə t̪ iː
अमानवीय	ə m äː n̪ ə ʋ iː jᵊ
अमानवीयता	ə m äː n̪ ə ʋ iː j ə t̪ äː
अमान्य	ə m ä̃ː n̪ jᵊ
अमावस	ə m äː ʋ ə s̪
अमाशय	ə m äː ʃ ə j
अमूल्य	ə m uː l̪ jᵊ
अमृत	ə̃ m ɾ ɪ t̪
अमृतसर	ə̃ m ɾ ɪ t̪ s̪ ə ɾ
अमेरिकन	ə m eː ɾ ɪ k ə̃ n̪
अमेरिका	ə m eː ɾ ɪ k äː
अम्बर	ə̃ m b ə ɾ
अम्मा	ə̃ m m äː
अम्माँ	ə̃ m m ä̃ː
अम्मी	ə̃ m m iː
अम्ल	ə̃ m l̪ᵊ
अम्लता	ə̃ m l̪ᵊ t̪ äː
अम्लपित्त	ə̃ m l̪ ə p ɪ t̪ t̪
अम्लपित्त	ə̃ m l̪ᵊ p ɪ t̪ t̪
अम्लीय	ə̃ m l̪ iː jᵊ
अयनांत	ə j ə n̪ ä̃ː n̪ t̪
अयस्	ə j ə s̪
अयस्क	ə j ə s̪ k
अयोग्यता	ə j oː ɡ j ə t̪ äː
अयोध्या	ə j oː d̪ʱ j äː
अरंडी	ə ɾ ə̃ ɳ ɖ iː
अरक्तता	ə ɾ ə k t̪̚ t̪ äː
अरगनी	ə ɾ ə ɡ n̪ iː
अरदली	ə ɾ d̪ ə l̪ iː
अरबिंद	ə ɾ b ɪ̃ n̪ d̪
अरमान	ə ɾ m ä̃ː n̪
अरविंद	ə ɾ ʋ ɪ̃ n̪ d̪
अरसा	ə ɾ s̪ äː
अरस्तू	ə ɾ ə s̪ t̪ uː
अराजक	ə ɾ äː d͡ʒ ə k
अराजकता	ə ɾ äː d͡ʒ ə k t̪ äː
अराजकवाद	ə ɾ äː d͡ʒ ə k w äː d̪
अराजकवादी	ə ɾ äː d͡ʒ ə k w äː d̪ iː
अरारोट	ə ɾ äː ɾ oː ʈ
अरिहंत	ə ɾ ɪ ɦ ə̃ n̪ t̪
अरोरा	ə ɾ oː ɾ äː
अर्जन	ə ɾ d͡ʒ ə̃ n̪
अर्जुन	ə ɾ d͡ʒ ʊ̃ n̪
अर्जेंटीना	ə ɾ d͡ʒ ẽː ɳ ʈ iː n̪ äː
अर्जेण्टीना	ə ɾ d͡ʒ ẽː ɳ ʈ iː n̪ äː
अर्जेन्टीना	äː ɾ d͡ʒ ẽː ɳ ʈ iː n̪ äː
अर्थव्यवस्था	ə ɾ t̪ʰ ə ʋ j ə ʋ ə s̪ t̪ʰ äː
अर्थशास्त्री	ə ɾ t̪ʰ ə ʃ äː s̪ t̪ ɾ iː
अर्थहीन	ə ɾ t̪ʰ ɦ ĩː n̪
अर्थात	ə ɾ t̪ʰ äː t̪
अर्थात्	ə ɾ t̪ʰ äː t̪
अर्थालंकार	ə ɾ t̪ʰ äː l̪ ə̃ ŋ k äː ɾ
अर्दली	ə ɾ d̪ ə l̪ iː
अर्धकुशल	ə ɾ d̪ʱ k ʊ ʃ ə l̪
अर्धतत्सम	ə ɾ d̪ʱ ə t̪ ə t̪ s̪ ə̃ m
अर्धवार्षिक	ə ɾ d̪ʱ ʋ äː ɾ ʃ ɪ k
अर्धविकसित	ə ɾ d̪ʱ ʋ ɪ k s̪ ɪ t̪
अर्धशिक्षित	ə ɾ d̪ʱ ʃ ɪ k ʃ ɪ t̪
अर्धसरकारी	ə ɾ d̪ʱ s̪ ə ɾ k äː ɾ iː
अर्धसाप्ताहिक	ə ɾ d̪ʱ s̪ äː p t̪ äː ɦ ɪ k
अर्धांगिनी	ə ɾ d̪ʱ ä̃ː ŋ ɡ ɪ n̪ iː
अर्धायु	ə ɾ d̪ʱ äː j uː
अर्पण	ə ɾ p ə̃ ɳ
अर्यमा	ə ɾ j ə m äː
अलंकार	ə l̪ ə̃ ŋ k äː ɾ
अलंकृत	ə l̪ ə̃ ŋ k ɾ ɪ t̪
अलक़तरा	ə l̪ k ə t̪ ɾ äː
अलक़तरा	ə l̪ q ə t̪ ɾ äː
अलगाना	ə l̪ ɡ äː n̪ äː
अलगाव	ə l̪ ɡ äː ʋ
अलगाववाद	ə l̪ ɡ äː ʋ ʋ äː d̪
अलगाववादी	ə l̪ ɡ äː ʋ ʋ äː d̪ iː
अलबता	ə l̪ b ə t̪ äː
अलबत्ता	ə l̪ b ə t̪̚ t̪ äː
अलबम	ə l̪ b ə̃ m
अलम	ə l̪ ə̃ m
अलमारी	ə l̪ m äː ɾ iː
अलम्	ə l̪ ə̃ m
अलविदा	ə l̪ ʋ ɪ d̪ äː
अलसाना	ə l̪ s̪ äː n̪ äː
अलहदा	ə l̪ ɛ ɦ d̪ äː
अलादीन	ə l̪ äː d̪ ĩː n̪
अलापना	ə l̪ äː p n̪ äː
अलार्म	ə l̪ ɑː ɾ m
अलार्म	ə l̪ ɑː ɾ ə m
अलाव	ə l̪ äː ʋ
अलि	ə l̪ iː
अलिखित	ə l̪ ɪ kʰ ɪ t̪
अलीगढ	ə l̪ iː ɡ ə ɽʱ
अलीगढ़	ə l̪ iː ɡ ə ɽʱ
अलोना	ə l̪ oː n̪ äː
अल्जीरिया	ə l̪ d͡ʒ iː ɾ i j äː
अल्टीमेटम	ə l̪ ʈ iː m eː ʈ ə̃ m
अल्पकारी	ə l̪ p ə k äː ɾ iː
अल्पसंख्यक	ə l̪ p s̪ ə̃ ŋ kʰ j ə k
अल्पावस्था	ə l̪ p äː ʋ ə s̪ t̪ʰ äː
अल्पाहार	ə l̪ p äː ɦ äː ɾ
अल्फ़ा	ə l̪ f äː
अल्फ़ा	ə l̪ pʰ äː
अल्फ़ाज़	ə l̪ f äː z
अल्फ़ाज़	ə l̪ pʰ äː d͡ʒ
अल्बम	ə l̪ b ə̃ m
अल्बानियन	ə l̪ b äː n̪ i j ə̃ n̪
अल्बानिया	ə l̪ b äː n̪ i j äː
अल्लाह	ə l̪ l̪ äː ɦ
अल्हड़	ə l̪ ɦ ə ɽ
अवकलज	ə ʋ k ə l̪ ə d͡ʒ
अवकलन	ə ʋ k ə l̪ ə̃ n̪
अवकलनीय	ə ʋ k ə l̪ ə n̪ iː jᵊ
अवक्षयण	ə ʋ k ʃ ə j ə̃ ɳ
अवक्षेपण	ə ʋ k ʃ eː p ə̃ ɳ
अवगुण	ə ʋ ɡ ʊ̃ ɳ
अवज्ञा	ə ʋ ə ɡ j äː
अवतल	ə ʋ t̪ ə l̪
अवतार	ə ʋ t̪ äː ɾ
अवधारण	ə ʋ d̪ʱ äː ɾ ə̃ ɳ
अवधारणा	ə ʋ d̪ʱ äː ɾ ɳ äː
अवनति	ə ʋ n̪ ə t̪ iː
अवपंक	ə ʋ p ə̃ ŋ k
अवयस्क	ə ʋ ə j ə s̪ k
अवलंब	ə ʋ l̪ ə̃ m b
अवलोकन	ə ʋ l̪ oː k ə̃ n̪
अवशोषण	ə ʋ ʃ oː ʃ ə̃ ɳ
अवशोषित	ə ʋ ʃ oː ʃ ɪ t̪
अवसंरचना	ə ʋ s̪ ə̃ ɾ ə t͡ʃ n̪ äː
अवसर	ə ʋ s̪ ə ɾ
अवस्था	ə ʋ ə s̪ t̪ʰ äː
अवहेलना	ə ʋ ɦ eː l̪ n̪ äː
अवांछित	ə ʋ ä̃ː n̪ t͡ʃʰ ɪ t̪
अवाई	ə ʋ äː iː
अवाक्	ə ʋ äː k
अवाम	ə ʋ ä̃ː m
अवार्ड	ə ʋ äː ɾ ɖ
अविकसित	ə ʋ ɪ k s̪ ɪ t̪
अविकारी	ə ʋ ɪ k äː ɾ iː
अविचल	ə ʋ ɪ t͡ʃ ə l̪
अविच्छिन्न	ə ʋ ɪ t̚ t͡ʃʰ ɪ̃ n̪ n̪ᵊ
अविनय	ə ʋ ɪ n̪ ə j
अविनीत	ə ʋ ɪ n̪ iː t̪
अविलंब	ə ʋ ɪ l̪ ə̃ m b
अविवाहित	ə ʋ ɪ ʋ äː ɦ ɪ t̪
अविश्वास	ə ʋ ɪ ʃ ʋ äː s̪
अविश्वासनीय	ə ʋ ɪ ʃ ʋ äː s̪ n̪ iː jᵊ
अविस्मरणीय	ə ʋ ɪ s̪ m ə ɾ ə ɳ iː jᵊ
अवैतनिक	ʋ ɛː t̪ ə n̪ ɪ k
अवोकाडो	ə ʋ oː k äː ɖ oː
अव्यवस्था	ə ʋ j ə ʋ ə s̪ t̪ʰ äː
अव्यावहारिक	ə ʋ j äː ʋ ɦ äː ɾ ɪ k
अव्वल	ə ʋ ʋ ə l̪
अशांत	ə ʃ ä̃ː n̪ t̪
अशांति	ə ʃ ä̃ː n̪ t̪ iː
अशान्ति	ə ʃ ä̃ː n̪ t̪ iː
अशिष्टता	ə ʃ ɪ ʃ ʈ t̪ äː
अशुद्धि	ə ʃ ʊ d̪̚ d̪ʱ iː
अश्लील	ə ʃ l̪ iː l̪
अश्लीलता	ə ʃ l̪ iː l̪ t̪ äː
अश्विनी	ə ʃ ʋ ɪ n̪ iː
अष्टकोण	ə ʂ ʈ k õː ɳ
असंख्य	ə s̪ ə̃ ŋ kʰ jᵊ
असंगत	ə s̪ ə̃ ŋ ɡ ə t̪
असंगति	ə s̪ ə̃ ŋ ɡ ə t̪ iː
असंतुष्ट	ə s̪ ə̃ n̪ t̪ ʊ ʂ ʈ
असंतोष	ə s̪ ə̃ n̪ t̪ oː ʃ
असंतोषजनक	ə s̪ ə̃ n̪ t̪ oː ʃ d͡ʒ ə n̪ ə k
असंभव	ə s̪ ə̃ m bʱ ə ʋ
असंभावित	ə s̪ ə̃ m bʱ äː ʋ ɪ t̪
असंवेदनशील	ə s̪ ə̃ m w eː d̪ ə̃ n̪ ʃ iː l̪
असंवैधानिक	ə s̪ ə̃ m w ɛː d̪ʱ äː n̪ ɪ k
असत्य	ə s̪ ə t̪ jᵊ
असत्याभास	ə s̪ ə t̪ j äː bʱ äː s̪
असफल	ə s̪ ə pʰ ə l̪
असफलता	ə s̪ ə pʰ ə l̪ t̪ äː
असबाब	ə s̪ b äː b
असभ्य	ə s̪ ə bʱ jᵊ
असभ्यता	ə s̪ ə bʱ j ə t̪ äː
असम	ə s̪ ə̃ m
असमंजस	ə s̪ ə m ə̃ n̪ d͡ʒ ə s̪
असमय	ə s̪ ə m ə j
असमर्थ	ə s̪ ə m ə ɾ t̪ʰ
असमर्थता	ə s̪ ə m ə ɾ t̪ʰ t̪ äː
असमान	ə s̪ m ä̃ː n̪
असमान	ə s̪ ə m ä̃ː n̪
असमानता	ə s̪ ə m ä̃ː n̪ t̪ äː
असमाप्त	ə s̪ ə m äː p t̪
असमीकरण	ə s̪ ə m iː k ə ɾ ə̃ ɳ
असम्भव	ə s̪ ə̃ m bʱ ə ʋ
असर	ə s̪ ə ɾ
असल	ə s̪ ə l̪
असलियत	ə s̪ l̪ i j ə t̪
असली	ə s̪ l̪ iː
असहमत	ə s̪ ɛ ɦ m ə t̪
असहमति	ə s̪ ɛ ɦ m ə t̪ iː
असहयोग	ə s̪ ɛ ɦ j oː ɡ
असहाय	ə s̪ ɦ äː j
असहिष्णु	ə s̪ ə ɦ ɪ ʃ ɳ uː
असहिष्णुता	ə s̪ ə ɦ ɪ ʃ ɳ ʊ t̪ äː
असह्य	ə s̪ ɛ ɦ jᵊ
असाढ़	ə s̪ äː ɽʱ
असाधारण	ə s̪ äː d̪ʱ äː ɾ ə̃ ɳ
असाध्य	ə s̪ äː d̪ʱ jᵊ
असामयिक	ə s̪ äː m ə j ɪ k
असामाजिक	ə s̪ äː m äː d͡ʒ ɪ k
असामान्य	ə s̪ äː m ä̃ː n̪ jᵊ
असार	ə s̪ äː ɾ
असावधान	ə s̪ äː ʋ d̪ʱ ä̃ː n̪
असावधानता	ə s̪ äː ʋ d̪ʱ ä̃ː n̪ t̪ äː
असिस्टेंट	ə s̪ ɪ s̪ ʈ ẽː ɳ ʈ
असीम	ə s̪ ĩː m
असीस	ə s̪ iː s̪
असुंदर	ə s ʊ̃ n̪ d̪ ə ɾ
असुरक्षित	ə s̪ ʊ ɾ ə k ʃ ɪ t̪
असुविधा	ə s̪ ʊ ʋ ɪ d̪ʱ äː
असुविधाजनक	ə s̪ ʊ ʋ ɪ d̪ʱ äː d͡ʒ ə n̪ ə k
असेंबली	ə s̪ ẽː m b l̪ iː
असैनिक	ə s̪ ɛː n̪ ɪ k
अस्तबल	ə s̪ t̪ ə b ə l̪
अस्तर	ə s̪ t̪ ə ɾ
अस्तव्यस्त	ə s̪ t̪ w j ə s̪ t̪
अस्तित्व	ə s̪ t̪ ɪ t̪ wᵊ
अस्थमा	ə s̪ t̪ʰ ə m äː
अस्थायी	ə s̪ t̪ʰ äː j iː
अस्थि	ə s̪ t̪ʰ iː
अस्थिपंजर	ə s̪ t̪ʰ ɪ p ə̃ n̪ d͡ʒ ə ɾ
अस्थिर	ə s̪ t̪ʰ ɪ ɾ
अस्थिरता	ə s̪ t̪ʰ ɪ ɾ t̪ äː
अस्पताल	ə s̪ p ə t̪ äː l̪
अस्पताली	ə s̪ p ə t̪ äː l̪ iː
अस्पष्ट	ə s̪ p ə ʂ ʈ
अस्पष्टता	ə s̪ p ə ʃ ʈ ə t̪ äː
अस्पृश्य	ə s̪ p ɾ ɪ ʃ jᵊ
अस्पृश्यता	ə s̪ p ɾ ɪ ʃ j ə t̪ äː
अस्मिता	ə s̪ m ɪ t̪ äː
अस्वस्थ	ə s̪ ʋ ə s̪ t̪ʰ
अस्वस्थता	ə s̪ ʋ ə s̪ t̪ʰ ə t̪ äː
अस्वाभाविक	ə s̪ ʋ äː bʱ äː ʋ ɪ k
अस्वीकार	ə s̪ ʋ iː k äː ɾ
अस्वीकृत	ə s̪ ʋ iː k ɾ ɪ t̪
अस्वीकृति	ə s̪ ʋ iː k ɾ ɪ t̪ iː
अस्सी	ə s̪ s̪ iː
अहं	ɛ ɦ ɛ̃
अहं	ɛ ɦ ɛ̃ m
अहंकार	ɛ ɦ ɛ̃ ŋ k äː ɾ
अहबाब	ɛ ɦ b äː b
अहम	ɛ ɦ ɛ̃ m
अहमदाबाद	ɛ ɦ m ə d̪ äː b äː d̪
अहमियत	ɛ ɦ m i j ə t̪
अहवाल	ɛ ɦ ʋ äː l̪
अहसास	ɛ ɦ s̪ äː s̪
अहाता	ə ɦ äː t̪ äː
अहिंदी	ə ɦ ɪ̃ n̪ d̪ iː
अहिंसक	ə ɦ ɪ̃ n̪ s̪ ə k
अहिंसा	ə ɦ ɪ̃ n̪ s̪ äː
अहिंसात्मक	ə ɦ ɪ̃ n̪ s̪ äː t̪ m ə k
अहिच्छत्र	ə ɦ ɪ t̚ t͡ʃʰ ə t̪ ɾᵊ
अहिनाह	ə ɦ ɪ n̪ äː ɦ
अहिर्बुश्न	ə ɦ ɪ ɾ b ʊ ʃ n̪ᵊ
अहिवात	ə ɦ ɪ ʋ äː t̪
अहिवाद	ə ɦ ɪ ʋ äː d̪
अहेरन	ə ɦ eː ɾ ə̃ n̪
अहोभाग्य	ə ɦ oː bʱ äː ɡ jᵊ
आ	äː
आँकड़ा	ä̃ː k ɽ äː
आँख	ä̃ː kʰ
आँगन	ä̃ː ɡ ə̃ n̪
आँगनवाड़ी	ä̃ː ŋ ɡ ə̃ n̪ w äː ɽ iː
आँच	ä̃ː t͡ʃ
आँचलिक	ä̃ː t͡ʃ l̪ ɪ k
आँत	ä̃ː t̪
आँधी	ä̃ː n̪ d̪ʱ iː
आँसू	ä̃ː s̪ uː
आंगन	ä̃ː ɡ ə̃ n̪
आंग्ल	ä̃ː ŋ ɡ l̪ᵊ
आंत	ä̃ː n̪ t̪
आंतरिक	ä̃ː n̪ t̪ ɾ ɪ k
आंदोलन	ä̃ː n̪ d̪ oː l̪ ə̃ n̪
आंधी	ä̃ː n̪ d̪ʱ iː
आंवला	ä̃ː m w l̪ äː
आंशिक	ä̃ː n̪ ʃ ɪ k
आंसू	ä̃ː n̪ s̪ uː
आइंदा	äː ɪ̃ n̪ d̪ äː
आइंस्टीनियम	äː ɪ̃ n̪ s̪ ʈ iː n̪ i j ə̃ m
आइज़ोल	äː ɪ d͡ʒ oː l̪
आइज़ोल	äː ɪ z oː l̪
आइसक्रीम	äː ɪ s̪ k ɾ ĩː m
आइसलैंड	äː ɪ s̪ l̪ ɛ̃ː ɳ ɖ
आइस्ड	äː ɪ s̪ ɖ
आई	äː iː
आईना	aː iː n aː
आईला	äː iː l̪ äː
आउट	äː ʊ ʈ
आक	äː k
आकर्षक	äː k ə ɾ ʃ ə k
आकर्षण	äː k ə ɾ ʃ ə̃ ɳ
आकर्षित	äː k ə ɾ ʃ ɪ t̪
आकर्षी	äː k ə ɾ ʃ iː
आकलन	äː k ə l̪ ə̃ n̪
आकस्मिक	äː k ə s̪ m ɪ k
आक़ा	äː k äː
आक़ा	äː q äː
आकांक्षा	äː k ä̃ː k ʃ äː
आकांक्षी	äː k ä̃ː k ʃ iː
आकार	äː k äː ɾ
आकाश	äː k äː ʃ
आकाशगंगा	äː k äː ʃ ɡ ə̃ ŋ ɡ äː
आकाशवाणी	äː k äː ʃ ʋ äː ɳ iː
आकाशी	äː k äː ʃ iː
आकृत	äː k ɾ ɪ t̪
आकृति	äː k ɾ ɪ t̪ iː
आकृष्ट	äː k ɾ ɪ ʂ ʈ
आक्रमण	äː k ɾ ə m ə̃ ɳ
आक्रमणकारी	äː k ɾ ə m ə̃ ɳ k äː ɾ iː
आक्रामक	äː k ɾ äː m ə k
आक्रामकता	äː k ɾ äː m ə k t̪ äː
आक्रोश	äː k ɾ oː ʃ
आक्षेप	äː k ʃ eː p
आखरी	äː kʰ ɾ iː
आखरी	äː x ɾ iː
आख़िर	äː kʰ ɪ ɾ
आख़िर	äː x ɪ ɾ
आख़िरकार	äː kʰ ɪ ɾ k äː ɾ
आख़िरकार	äː x ɪ ɾ k äː ɾ
आख़िरत	äː kʰ ɪ ɾ ə t̪
आख़िरत	äː x ɪ ɾ ə t̪
आख़िरी	äː kʰ ɪ ɾ iː
आख़िरी	äː kʰ ɾ iː
आख़िरी	äː x ɪ ɾ iː
आख़िरी	äː x ɾ iː
आखातीज	äː kʰ äː t̪ iː d͡ʒ
आखिर	äː kʰ ɪ ɾ
आखिर	äː x ɪ ɾ
आखिरी	äː kʰ ɪ ɾ iː
आखेट	äː kʰ eː ʈ
आखेटक	äː kʰ eː ʈ ə k
आग	äː ɡ
आगंतुक	äː ɡ ə̃ n̪ t̪ ʊ k
आगजनी	äː ɡ d͡ʒ ə n̪ iː
आगज़नी	äː ɡ d͡ʒ ə n̪ iː
आगज़नी	äː ɡ z ə n̪ iː
आगमन	äː ɡ ə m ə̃ n̪
आगरा	äː ɡ ɾ äː
आग़ा	äː ɡ äː
आग़ा	äː ɣ äː
आग़ाज़	äː ɡ äː d͡ʒ
आग़ाज़	äː ɣ äː z
आग़ोश	äː ɡ oː ʃ
आग़ोश	äː ɣ oː ʃ
आगा	äː ɡ äː
आगार	äː ɡ äː ɾ
आगाह	äː ɡ äː ɦ
आगाही	äː ɡ äː ɦ iː
आगे	äː ɡ eː
आग्नेय	äː ɡ n̪ eː j
आग्नेयास्त्र	äː ɡ n̪ eː j äː s̪ t̪ ɾᵊ
आग्रह	äː ɡ ɾ ə ɦ
आग्रहपूर्वक	äː ɡ ɾ ɛ ɦ p uː ɾ ʋ ə k
आघ	äː ɡʱ
आघात	äː ɡʱ äː t̪
आघातपूर्ण	äː ɡʱ äː t̪ p uː ɾ ɳ
आचरण	äː t͡ʃ ə ɾ ə̃ ɳ
आचार	äː t͡ʃ äː ɾ
आचार्य	äː t͡ʃ äː ɾ jᵊ
आछा	äː t͡ʃʰ äː
आज	äː d͡ʒ
आजमाइश	äː d͡ʒ m äː ɪ ʃ
आजमाना	äː d͡ʒ m äː n̪ äː
आजमाना	äː z m äː n̪ äː
आज़माइश	äː d͡ʒ m äː ɪ ʃ
आज़माइश	äː z m äː ɪ ʃ
आज़माना	äː d͡ʒ m äː n̪ äː
आज़माना	äː z m äː n̪ äː
आज़र्बैजान	äː d͡ʒ ə ɾ b ɛː d͡ʒ ä̃ː n̪
आज़र्बैजान	äː z ə ɾ b ɛː d͡ʒ ä̃ː n̪
आज़ाद	äː d͡ʒ äː d̪
आज़ाद	äː z äː d̪
आज़ार	äː d͡ʒ äː ɾ
आज़ार	äː z äː ɾ
आजाद	äː d͡ʒ äː d̪
आजादी	äː d͡ʒ äː d̪ iː
आजीवन	äː d͡ʒ iː ʋ ə̃ n̪
आजीविका	äː d͡ʒ iː ʋ ɪ k äː
आज्ञा	äː ɡ j äː
आटा	äː ʈ äː
आटिचोक	äː ʈ ɪ t͡ʃ oː k
आठ	äː ʈʰ
आठवाँ	äː ʈʰ ʋ ä̃ː
आडंबर	äː ɖ ə̃ m b ə ɾ
आडवाणी	äː ɖ w äː ɳ iː
आड़	äː ɽ
आड़ा	äː ɽ äː
आड़ू	äː ɽ uː
आण्विक	ä̃ː ɳ w ɪ k
आतंकमय	äː t̪ ə̃ ŋ k m ə j
आतंकवाद	äː t̪ ə̃ ŋ k w äː d̪
आतंकवादी	äː t̪ ə̃ ŋ k w äː d̪ iː
आतंकित	äː t̪ ə̃ ŋ k ɪ t̪
आततायी	äː t̪ ə t̪ äː j iː
आतमीयता	äː t̪ m iː j t̪ äː
आतिश	äː t̪ ɪ ʃ
आतिशबाज़ी	äː t̪ ɪ ʃ b äː d͡ʒ iː
आतिशबाज़ी	äː t̪ ɪ ʃ b äː z iː
आतिशबाजी	äː t̪ ɪ ʃ b äː d͡ʒ iː
आतिशबाजी	äː t̪ ɪ ʃ b äː z iː
आतुर	äː t̪ ʊ ɾ
आतुरता	äː t̪ ʊ ɾ t̪ äː
आत्मकथा	äː t̪ mᵊ k ə t̪ʰ äː
आत्मघात	äː t̪ m ə ɡʱ äː t̪
आत्मघाती	äː t̪ m ə ɡʱ äː t̪ iː
आत्मज्ञान	äː t̪ m ə ɡ j ä̃ː n̪
आत्मत्याग	äː t̪ m ə t̪ j äː ɡ
आत्मनिंदा	äː t̪ m ə n̪ ɪ̃ n̪ d̪ äː
आत्मनिर्णय	äː t̪ m ə n̪ ɪ ɾ ɳ ə j
आत्मनिर्भर	äː t̪ m ə n̪ ɪ ɾ bʱ ə ɾ
आत्मनिर्भरता	äː t̪ m ə n̪ ɪ ɾ bʱ ə ɾ t̪ äː
आत्मप्रशंसा	äː t̪ m ə p ɾ ə ʃ ə̃ n̪ s̪ äː
आत्मबलिदान	äː t̪ m ə b ə l̪ ɪ d̪ ä̃ː n̪
आत्मबोध	äː t̪ m ə b oː d̪ʱ
आत्मरक्षा	äː t̪ m ə ɾ ə k ʃ äː
आत्मविश्वास	äː t̪ m ə ʋ ɪ ʃ ʋ äː s̪
आत्मसंतोष	äː t̪ m ə s̪ ə̃ n̪ t̪ oː ʃ
आत्मसंमान	äː t̪ m ə s̪ ə̃ m m ä̃ː n̪
आत्मसमर्पण	äː t̪ mᵊ s̪ ə m ə ɾ p ə̃ ɳ
आत्मसात	äː t̪ m ə s̪ äː t̪
आत्मसात्	äː t̪ m ə s̪ äː t̪
आत्मस्तुति	äː t̪ m ə s̪ t̪ ʊ t̪ iː
आत्महत्या	äː t̪ mᵊ ɦ ə t̪ j äː
आत्मा	äː t̪ m äː
आत्माभिमान	äː t̪ m äː bʱ ɪ m ä̃ː n̪
आत्मिक	äː t̪ m ɪ k
आत्मीय	äː t̪ m iː jᵊ
आत्मीयता	äː t̪ m iː j t̪ äː
आत्मोद्धार	äː t̪ m oː d̪̚ d̪ʱ äː ɾ
आदत	äː d̪ ə t̪
आदतन	äː d̪ ə t̪ ə̃ n̪
आदम	äː d̪ ə̃ m
आदमी	äː d̪ m iː
आदर	äː d̪ ə ɾ
आदरणीय	äː d̪ ə ɾ ɳ iː jᵊ
आदरपूर्वक	äː d̪ ə ɾ p uː ɾ ʋ ə k
आदर्श	äː d̪ ə ɾ ʃ
आदा	äː d̪ äː
आदान	äː d̪ ä̃ː n̪
आदाब	äː d̪ äː b
आदि	äː d̪ iː
आदिभाषा	äː d̪ ɪ bʱ äː ʃ äː
आदिम	äː d̪ ɪ̃ m
आदिवासी	äː d̪ ɪ ʋ äː s̪ iː
आदी	äː d̪ iː
आदेश	äː d̪ eː ʃ
आध	äː d̪ʱ
आधा	äː d̪ʱ äː
आधार	äː d̪ʱ äː ɾ
आधारभूत	äː d̪ʱ äː ɾ bʱ uː t̪
आधारित	äː d̪ʱ äː ɾ ɪ t̪
आधिक	äː d̪ʱ ɪ k
आधिकारिक	äː d̪ʱ ɪ k äː ɾ ɪ k
आधिक्य	äː d̪ʱ ɪ k jᵊ
आधिपत्य	äː d̪ʱ ɪ p ə t̪ jᵊ
आधुनिक	äː d̪ʱ ʊ n̪ ɪ k
आधुनिकतम	äː d̪ʱ ʊ n̪ ɪ k t̪ ə̃ m
आधुनिकता	äː d̪ʱ ʊ n̪ ɪ k t̪ äː
आधुनिकीकरण	äː d̪ʱ ʊ n̪ ɪ k iː k ə ɾ ə̃ ɳ
आध्यात्मिक	äː d̪ʱ j äː t̪ m ɪ k
आन	ä̃ː n̪
आनंद	äː n̪ ə̃ n̪ d̪
आनंददायी	äː n̪ ə̃ n̪ d̪ d̪ äː j iː
आनंदमय	äː n̪ ə̃ n̪ d̪ m ə j
आनन	äː n̪ ə̃ n̪
आनरेरी	ä̃ː n̪ ɾ eː ɾ iː
आना	äː n̪ äː
आनुवंशिकी	äː n̪ ʊ ʋ ə̃ n̪ ʃ ɪ k iː
आन्दोलन	ä̃ː n̪ d̪ oː l̪ ə̃ n̪
आप	äː p
आपका	äː p k äː
आपत्ति	äː p ə t̪̚ t̪ iː
आपत्तिजनक	äː p ə t̪̚ t̪ iː d͡ʒ ə n̪ ə k
आपदा	äː p d̪ äː
आपबीती	äː p̚ b iː t̪ iː
आपस	äː p ə s̪
आपसदारी	äː p ə s̪ d̪ äː ɾ iː
आपसी	äː p s̪ iː
आपा	äː p äː
आपात	äː p äː t̪
आपातकाल	äː p äː t̪ k äː l̪
आपाधापी	äː p äː d̪ʱ äː p iː
