ء	ʔ
شاه	ʃ ɔː h
شاهان	ʃ ɒː h ɒː n
شاهانشاه	ʃ ɑː h ɑː n ʃ ɑː h
شاهانشاه	ʃ ɒː h ɒː n ʃ ɒː h
شاهانشاه	ʃ ɔː h ɔː n ʃ ɔː h
شاهانه	ʃ ɑː h ɑː n a
شاهانه	ʃ ɒː h ɒː n a
شاهانه	ʃ ɒː h ɒː n e
شاهانه	ʃ ɔː h ɔː n a
شاهد	ʃ ɑː h i d
شاهد	ʃ ɒː h e d
شاهد	ʃ ɒː h ɪ d
شاهد	ʃ ɔː h i d
شاهدخت	ʃ ɑː h d u x t
شاهدخت	ʃ ɒː h d o x t
شاهدخت	ʃ ɒː h d ʊ x t
شاهدخت	ʃ ɔː h d u x t
شاهزاده	ʃ ɑː h z ɑː d a
شاهزاده	ʃ ɒː h z ɒː d a
شاهزاده	ʃ ɒː h z ɒː d e
شاهزاده	ʃ ɔː h z ɔː d a
شاهزادگان	ʃ ɒː h z ɒː d e ɡ ɒː n
شاهنامه	ʃ ɑː h n ɑː m a
شاهنامه	ʃ ɒː h n ɒː m a
شاهنامه	ʃ ɒː h n ɒː m e
شاهنامه	ʃ ɔː h n ɔː m a
شاهنشاه	ʃ ɑː h a n ʃ ɑː h
شاهنشاه	ʃ ɒː h a n ʃ ɒː h
شاهنشاه	ʃ ɒː h æ n ʃ ɒː h
شاهنشاه	ʃ ɔː h a n ʃ ɔː h
شاهین	ʃ ɑː h iː n
شاهین	ʃ ɒː h iː n
شاهین	ʃ ɔː h i n
شاه‌دانه	ʃ ɑː h d ɑː n a
شاه‌دانه	ʃ ɒː h d ɒː n a
شاه‌دانه	ʃ ɒː h d ɒː n e
شاه‌دانه	ʃ ɔː h d ɔː n a
شاپور	ʃ ɒː p uː ɾ
شاگرد	ʃ ɑː ɡ i ɾ d̪
شاگرد	ʃ ɒː ɡ e ɾ d̪
شاگرد	ʃ ɒː ɡ ɪ ɾ d̪
شاگرد	ʃ ɔː ɡ i ɾ d̪
شاید	ʃ ɑː j a d
شاید	ʃ ɒː j a d
شاید	ʃ ɒː j æ d
شاید	ʃ ɔː j a d
شب	ʃ a b
شب	ʃ æ b
شبانه	ʃ a b ɑː n a
شبانه	ʃ a b ɒː n a
شبانه	ʃ a b ɔː n a
شبانه	ʃ æ b ɒː n e
شبانه	ʃ ɒː b uː n e
شبح	ʃ a b a h
شبح	ʃ æ b æ h
شبنم	ʃ a b n a m
شبنم	ʃ æ b n æ m
شب‌بو	ʃ a b b oː
شب‌بو	ʃ a b b ɵː
شب‌بو	ʃ æ b b uː
شب‌بوی	ʃ a b b oː j
شب‌بوی	ʃ a b b ɵː j
شب‌بوی	ʃ æ b b uː j
شترخار	ʃ o t o ɾ x ɒː ɾ
شترخار	ʃ u t u ɾ x ɑː ɾ
شترخار	ʃ u t u ɾ x ɔː ɾ
شترخار	ʃ ʊ t ʊ ɾ x ɒː ɾ
شترغار	ʃ o t o ɾ ɣ ɒː ɾ
شترغار	ʃ u t u ɾ ɣ ɑː ɾ
شترغار	ʃ u t u ɾ ɣ ɔː ɾ
شترغار	ʃ ʊ t ʊ ɾ ɣ ɒː ɾ
شترمرغ	ʃ o t o ɾ m o ɾ ɣ
شترمرغ	ʃ u t u ɾ m u ɾ ɣ
شترمرغ	ʃ ʊ t ʊ ɾ m ʊ ɾ ɣ
شترگاوپلنگ	ʃ o t o ɾ ɡ ɒː v p æ l æ n ɡ
شترگاوپلنگ	ʃ u t u ɾ ɡ ɑː v p a l a n ɡ
شترگاوپلنگ	ʃ u t u ɾ ɡ ɔː v p a l a n ɡ
شترگاوپلنگ	ʃ ʊ t ʊ ɾ ɡ ɒː w p a l a n ɡ
شجاعت	ʃ a d͡ʒ ɒ ʔ a t
شجاعت	ʃ o d͡ʒ ɒ ʔ a t
شجر	ʃ æ d ʒ æ r
شخص	ʃ a x s
شخص	ʃ æ x s
شد	ʃ o d
شد	ʃ u d
شد	ʃ ʊ d
شدن	ʃ o d æ n
شدن	ʃ u d a n
شدن	ʃ ʊ d a n
شدنی	ʃ o d æ n iː
شرط	ʃ a ɾ t
شرط	ʃ æ ɾ t
شروع	ʃ o r uː ʔ
شریک	ʃ a ɾ i k
شریک	ʃ a ɾ iː k
شریک	ʃ æ ɾ iː k
شستن	ʃ o s t æ n
شستن	ʃ u s t a n
شستن	ʃ ʊ s t a n
شش	ʃ e ʃ
شعب	ʃ o ʔ æ b
شعبه	ʃ o ʔ b e
شعبه	ʃ u ʔ b a
شعبه	ʃ ɵː ʔ b a
شعبه	ʃ ʊ ʔ b a
شعر	ʃ e ʔ ɾ
شعر	ʃ i ʔ ɾ
شعر	ʃ ɪ ʔ ɾ
شعله	ʃ o ʔ l e
شعله	ʃ u ʔ l a
شعله	ʃ ɵː ʔ l a
شعله	ʃ ʊ ʔ l a
شغال	ʃ o ɣ ɒː l
شغال	ʃ æ ɣ ɒː l
شغال‌ها	ʃ o ɣ ɒː l ɒː
شغال‌ها	ʃ æ ɣ ɒː l h ɒː
شفقت	ʃ a f a q a t
شفقت	ʃ æ f æ ɣ æ t
شلغم	ʃ a l ɣ a m
شلغم	ʃ æ l ɣ æ m
شلوار	ʃ a l v ɔː ɾ
شلوار	ʃ æ l v ɒː ɾ
شلوار	ʃ æ l w ɒː ɾ
شلوغ	ʃ o l uː ɣ
شلوغ‌تر	ʃ o l uː ɣ t æ ɾ
شلوغ‌ترین	ʃ o l uː ɣ t æ ɾ iː n
شما	ʃ o m ɒː
شما	ʃ u m ɑː
شما	ʃ u m ɔː
شما	ʃ ʊ m ɒː
شماره	ʃ o m ɒː ɾ e
شماره	ʃ u m ɑː ɾ a
شماره	ʃ u m ɔː ɾ a
شماره	ʃ ʊ m ɒː ɾ a
شماریدن	ʃ o m ɒː ɾ iː d æ n
شماریدن	ʃ u m ɑː ɾ iː d a n
شماریدن	ʃ u m ɔː ɾ i d a n
شماریدن	ʃ ʊ m ɒː ɾ iː d a n
شمال	ʃ o m ɒː l
شمردن	ʃ o m o ɾ d æ n
شمردن	ʃ u m u ɾ d a n
شمردن	ʃ ʊ m ʊ ɾ d a n
شمع	ʃ a m ʔ
شمع	ʃ æ m ʔ
شمعدان	ʃ a m ʔ d ɑː n
شمعدان	ʃ a m ʔ d ɒː n
شمعدان	ʃ a m ʔ d ɔː n
شمعدان	ʃ æ m ʔ d ɒː n
شناختن	ʃ e n ɒː x t æ n
شناختن	ʃ i n ɑː x t a n
شناختن	ʃ i n ɔː x t a n
شناختن	ʃ ɪ n ɒː x t a n
شناسی	ʃ e n ɒː s iː
شناسی	ʃ i n ɑː s iː
شناسی	ʃ i n ɔː s iː
شناسی	ʃ ɪ n ɒː s iː
شنبلیله	ʃ æ m b æ l iː l e
شنبلیله	ʃ æ m b æ l iː l æ
شنبه	ʃ a n b a
شنبه	ʃ æ n b e
شنگار	ʃ a n ɡ ɑː ɾ ~ ʃ i n ɡ ɑː ɾ
شنگار	ʃ a n ɡ ɒː ɾ ~ ʃ ɪ n ɡ ɒː ɾ
شنگار	ʃ a n ɡ ɔː ɾ ~ ʃ i n ɡ ɔː ɾ
شنگار	ʃ æ n ɡ ɒː ɾ ~ ʃ e n ɡ ɒː ɾ
شنیدن	ʃ e n iː d æ n ~ ʃ o n iː d æ n
شنیدن	ʃ i n i d a n ~ ʃ u n i d a n
شنیدن	ʃ i n iː d a n ~ ʃ u n iː d a n
شنیدن	ʃ ɪ n iː d a n ~ ʃ ʊ n iː d a n
شهادت	ʃ æ h ɒː d̪ æ t̪
شهر	ʃ a h ɾ
شهر	ʃ æ h ɾ
شهرزاد	ʃ æ h ɾ z ɒː d
شهری	ʃ a h ɾ iː
شهری	ʃ æ h ɾ iː
شهریور	ʃ æ h ɾ iː v æ ɾ
شهلا	ʃ a h l ɑː
شهلا	ʃ a h l ɒː
شهلا	ʃ a h l ɔː
شهلا	ʃ æ h l ɒː
شهنشاه	ʃ a h a n ʃ ɑː h
شهوت	ʃ a h v a t
شهوت	ʃ a h w a t
شهوت	ʃ æ h v æ t
شهوتی	ʃ a h v a t iː
شهوتی	ʃ a h w a t iː
شهوتی	ʃ æ h v æ t iː
شهود	ʃ o h uː d
شهود	ʃ u h u d
شهود	ʃ u h uː d
شهود	ʃ ʊ h uː d
شو	ʃ o w
شو	ʃ æ v
شوخی	ʃ oː x iː
شوخی	ʃ uː x iː
شوخی	ʃ ɵː x iː
شور	ʃ oː ɾ
شور	ʃ uː ɾ
شور	ʃ ɵː ɾ
شورا	ʃ o ʊ̯ ɾ ɒː
شورا	ʃ u ɾ ɔː
شورا	ʃ uː ɾ ɑː
شورا	ʃ uː ɾ ɒː
شورا	ʃ ɵː ɾ ɔː
شوربا	ʃ oː ɾ b ɑː
شوربا	ʃ oː ɾ b ɒː
شوربا	ʃ uː ɾ b ɒː
شوربا	ʃ ɵː ɾ b ɔː
شورش	ʃ u ɾ i ʃ
شورش	ʃ uː ɾ e ʃ
شورش	ʃ uː ɾ i ʃ
شورش	ʃ uː ɾ ɪ ʃ
شوره	ʃ oː ɾ e
شوره	ʃ uː ɾ æ
شوروی	ʃ uː ɾ æ v iː
شوق	ʃ a v q
شوق	ʃ a w q
شوق	ʃ o w ɣ
شوهر	ʃ a v h a ɾ
شوهر	ʃ a w h a ɾ
شوهر	ʃ o w h æ ɾ
شوکران	ʃ a v k a ɾ ɔː n
شوکران	ʃ a w k a ɾ ɑː n
شوکران	ʃ a w k a ɾ ɒː n
شوکران	ʃ o w k æ ɾ ɒː n
شوید	ʃ e v iː d
شپش	ʃ e p e ʃ
شپش‌ها	ʃ e p e ʃ h ɒː
شکافتن	ʃ e k ɒː f t æ n
شکافتن	ʃ i k ɑː f t a n
شکافتن	ʃ i k ɔː f t a n
شکافتن	ʃ ɪ k ɒː f t a n
شکال	ʃ e k ɒː l
شکال	ʃ o k ɒː l
شکست	ʃ e k æ s t
شکست	ʃ i k a s t
شکست	ʃ ɪ k a s t
شکستن	ʃ e kʲ æ s t̪ʰ æ n
شکستنی	ʃ i k æ s t̪ æ n iː
شکسته‌نستعلیق	ʃ ɪ k æ s t æ n æ s t æ ʔ l iː q
شکلاتی	ʃ o kʰ o l ɒ tʰ i
شکم	ʃ e k æ m
شکم	ʃ i k a m
شکم	ʃ ɪ k a m
شکوفه	ʃ o k uː f e ~ ʃ e k uː f e
شکوفه	ʃ u k u f a ~ ʃ i k u f a
شکوفه	ʃ u k uː f a ~ ʃ i k uː f a
شکوفه	ʃ ʊ k uː f a ~ ʃ ɪ k uː f a
شکیفتن	ʃ e k iː f t æ n
شکیفتن	ʃ i k i f t a n
شکیفتن	ʃ i k iː f t a n
شکیفتن	ʃ ɪ k iː f t a n
شیء	ʃ a j ʔ
شیء	ʃ e j ʔ
شیدا	ʃ e j d ɒː
شیدا	ʃ æ j d ɒː
شیر	ʃ e ɾ
شیر	ʃ eː ɾ
شیر	ʃ i ɾ
شیر	ʃ iː ɾ
شیراز	ʃ e ɾ ɔː z
شیراز	ʃ eː ɾ ɑː z
شیراز	ʃ eː ɾ ɒː z
شیراز	ʃ i ɾ ɔː z
شیراز	ʃ iː ɾ ɑː z
شیراز	ʃ iː ɾ ɒː z
شیردال	ʃ e ɾ d ɔː l
شیردال	ʃ eː ɾ d ɑː l
شیردال	ʃ eː ɾ d ɒː l
شیردال	ʃ iː ɾ d ɒː l
شیرین	ʃ i ɾ i n
شیرین	ʃ iː ɾ iː n
شیرین‌تر	ʃ iː ɾ iː n t æ ɾ
شیرین‌ترین	ʃ iː ɾ iː n t æ ɾ iː n
شیشه	ʃ i ʃ a
شیشه	ʃ iː ʃ a
شیشه	ʃ iː ʃ e
شیطان	ʃ a j t ɑː n
شیطان	ʃ a j t ɒː n
شیطان	ʃ a j t ɔː n
شیطان	ʃ e j t ɒː n
شیطانی	ʃ a j t ɑː n iː
شیطانی	ʃ a j t ɒː n iː
شیطانی	ʃ a j t ɔː n iː
شیطانی	ʃ e j t ɒː n iː
شیوا	ʃ eː w ɒː
شیوا	ʃ iː v ɒː
شیک	ʃ iː k
صابون	s ɑː b uː n
صابون	s ɒː b uː n
صابون	s ɔː b u n
صاحب	s ɑː h i b
صاحب	s ɒː h e b
صاحب	s ɒː h ɪ b
صاحب	s ɔː h i b
صادق	s ɑː d i q
صادق	s ɒː d e ɣ
صادق	s ɒː d ɪ q
صادق	s ɔː d i q
صاعقه	s ɑː ʔ i q a
صاعقه	s ɒː ʔ e ɣ e
صاعقه	s ɒː ʔ ɪ q a
صاعقه	s ɔː ʔ i q a
صبحانه	s o b h ɒː n e
صبور	s a b u ɾ
صبور	s a b uː ɾ
صبور	s æ b uː ɾ
صحبت	s o h b æ t
صحبت	s u h b a t
صحبت	s ɵː h b a t
صحبت	s ʊ h b a t
صحرا	s a h ɾ ɑː
صحرا	s a h ɾ ɒː
صحرا	s a h ɾ ɔː
صحرا	s æ h ɾ ɒː
صحنه	s æ h n e
صحیح	s a h e h
صحیح	s a h iː h
صحیح	s æ h iː h
صدا	s æ d ɒː
صدمه	s a d a m a
صدمه	s æ d æ m e
صرع	s a ɾ ʔ
صرع	s æ ɾ ʔ
صرف	s e ɾ f
صرف	s i ɾ f
صرف	s ɪ ɾ f
صفت	s e f æ t
صفحه	s a f h a
صفحه	s æ f h e
صفحه‌کلید	s a f h a k a l i d
صفحه‌کلید	s a f h a k a l iː d
صفحه‌کلید	s æ f h e k æ l iː d
صلح	s u l h
صندلی	s æ n d æ l iː
صندوق	s a n d u q
صندوق	s a n d uː q
صندوق	s æ n d uː ɣ
صنعت	s a n ʔ a t
صنعت	s æ n ʔ æ t
صنعتی	s a n ʔ a t iː
صنعتی	s æ n ʔ æ t iː
صنوبر	s a n a v b a ɾ
صنوبر	s a n a w b a ɾ
صنوبر	s æ n o w b æ ɾ
صهیون	s a h j u n
صهیون	s a h j uː n
صهیون	s æ h j uː n
صهیونی	s a h j u n iː
صهیونی	s a h j uː n iː
صهیونی	s æ h j uː n iː
صهیونیسم	s a h j u n i s m
صهیونیسم	s a h j uː n iː s m
صهیونیسم	s æ h j uː n iː s m
صوت	s a v t
صوت	s a w t
صوت	s o w t
صورت	s u ɾ a t
صورت	s uː ɾ a t
صورت	s uː ɾ æ t
صورتى	s u ɾ a t iː
صورتى	s uː ɾ a t iː
صورتى	s uː ɾ æ t iː
صورتی	s uː ɾ æ tʰ iː
ضخیم	z æ x iː m
ضربان	z æ ɾ æ b ɒː n
ضربه	z a ɾ b a
ضربه	z æ ɾ b e
ضعف	z a ʔ f
ضعف	z æ ʔ f
ضلع	z e l ʔ
ضلع	z i l ʔ
ضلع	z ɪ l ʔ
ضمیر	z a m i ɾ
ضمیر	z a m iː ɾ
ضمیر	z æ m iː ɾ
طاس	t ɒː s
طاقت	t ɑː q a t
طاقت	t ɒː q a t
طاقت	t ɒː ɣ æ t
طاقت	t ɔː q a t
طاووس	t ɑː v uː s
طاووس	t ɒː v uː s
طاووس	t ɒː w uː s
طاووس	t ɔː v u s
طبقه	t a b a q a
طبقه	t æ b æ ɣ e
طراح	t a ɾ ɑː h
طراح	t a ɾ ɒː h
طراح	t a ɾ ɔː h
طراح	t æ ɾ ɒː h
طعم	t æ ʔ m
طلا	tʰ e l ɒː
طلا	tʰ æ l ɒː
طور	t a v ɾ
طور	t a w ɾ
طور	t o w ɾ
طوفان	t u f ɔː n
طوفان	t uː f ɑː n
طوفان	t uː f ɒː n
طول	t u l
طول	t uː l
طیاره	t a j j ɑː ɾ a
طیاره	t a j j ɒː ɾ a
طیاره	t a j j ɔː ɾ a
طیاره	t e j j ɒː ɾ e
ظاهر	z ɑː h i ɾ
ظاهر	z ɒː h e ɾ
ظاهر	z ɒː h ɪ ɾ
ظاهر	z ɔː h i ɾ
ظهر	z o h ɾ
ظهر	z u h ɾ
ظهر	z ɵː h ɾ
ظهر	z ʊ h ɾ
ظهور	z o h uː ɾ
ظهور	z u h u ɾ
ظهور	z u h uː ɾ
ظهور	z ʊ h uː ɾ
عادت	ʔ ɑː d a t
عادت	ʔ ɒː d a t
عادت	ʔ ɒː d æ t
عادت	ʔ ɔː d a t
عادل	ɑː d i l
عادل	ɒː d e l
عادل	ɒː d ɪ l
عادل	ɔː d i l
عاشق	ɑː ʃ i q
عاشق	ɒː ʃ e ɣ
عاشق	ɒː ʃ ɪ q
عاشق	ɔː ʃ i q
عاصی	ʔ ɒː s iː
عباء	a b ɒː
عباسی	ʔ æ b b ɒː s iː
عثمان	o s m ɒː n
عثمان	u s m ɑː n
عثمان	u s m ɔː n
عثمان	ʊ s m ɒː n
عجان	ʔ e d ʒ ɒː n
عجیب‌تر	æ d ʒ iː b t æ ɾ
عجیب‌ترین	æ d ʒ iː b t æ ɾ iː n
عدس	ʔ a d a s
عدس	ʔ æ d æ s
عربستان	ʔ a ɾ a b i s t ɑː n
عربستان	ʔ a ɾ a b i s t ɔː n
عربستان	ʔ a ɾ a b ɪ s t ɒː n
عربستان	ʔ æ ɾ æ b e s t ɒː n
عرفان	ʔ e ɾ f ɒː n
عرفان	ʔ i ɾ f ɑː n
عرفان	ʔ i ɾ f ɔː n
عرفان	ʔ ɪ ɾ f ɒː n
عروس	ʔ a ɾ u s
عروس	ʔ a ɾ uː s
عروس	ʔ æ ɾ uː s
عشق	e ʃ ɣ
عشق	i ʃ q
عشق	ɪ ʃ q
عشق‌آباد	e ʃ ɣ ɒː b ɒː d
عشق‌آباد	i ʃ q ɑː b ɑː d
عشق‌آباد	i ʃ q ɔː b ɔː d
عشق‌آباد	ɪ ʃ q ɒː b ɒː d
عضو	o z v
عضو	u z v
عضو	ʊ z w
عضوها	o z v h ɒ
عفت	ʔ e f f æ t
عفت	ʔ i f f a t
عفت	ʔ ɪ f f a t
عقرب	ʔ æ ɣ ɾ æ b
علف	ʔ æ l æ f
عمر	o m æ ɾ
عمر	o m ɾ
عمر	u m a ɾ
عمر	u m ɾ
عمر	ʊ m a ɾ
عمر	ʊ m ɾ
عمو	a m u
عنابی	a n ɑː b iː
عنابی	a n ɒː b iː
عنابی	a n ɔː b iː
عنابی	æ n ɒː b iː
عنایت	ʔ e n ɒː j æ t
عنایت	ʔ i n ɑː j a t
عنایت	ʔ i n ɔː j a t
عنایت	ʔ ɪ n ɒː j a t
عنصر	o n s o ɾ
عنصر	u n s u ɾ
عنصر	ʊ n s ʊ ɾ
عنوان	ʔ o n v ɒː n
عنوان	ʔ u n v ɑː n
عنوان	ʔ u n v ɔː n
عنوان	ʔ ʊ n w ɒː n
عکس	a k s
عکس	æ k s
غار	ɣ ɑː ɾ
غار	ɣ ɒː ɾ
غار	ɣ ɔː ɾ
غاز	ɣ ɑː z
غاز	ɣ ɒː z
غاز	ɣ ɔː z
غافت	ɣ ɑː f i t ~ ɣ ɑː f a t
غافت	ɣ ɒː f e t ~ ɣ ɒː f æ t
غافت	ɣ ɒː f ɪ t ~ ɣ ɒː f a t
غافت	ɣ ɔː f i t ~ ɣ ɔː f a t
غافث	ɣ ɑː f i s ~ ɣ ɑː f a s
غافث	ɣ ɒː f e s ~ ɣ ɒː f æ s
غافث	ɣ ɒː f ɪ s ~ ɣ ɒː f a s
غافث	ɣ ɔː f i s ~ ɣ ɔː f a s
غالب	ɣ ɑː l i b
غالب	ɣ ɒː l e b
غالب	ɣ ɒː l ɪ b
غالب	ɣ ɔː l i b
غایب	ɣ ɑː j i b
غایب	ɣ ɒː j e b
غایب	ɣ ɒː j ɪ b
غایب	ɣ ɔː j i b
غذا	ɢ e z ɒː
غذا	ɣ e z ɒː ~ ɣ æ z ɒː
غذا	ɣ i z ɑː ~ ɣ a z ɑː
غذا	ɣ i z ɔː ~ ɣ a z ɔː
غذا	ɣ ɪ z ɒː ~ ɣ a z ɒː
غرق	ɣ æ ɾ ɣ
غره	ɢ æ ɾ ɾ e
غزال	ɣ a z ɑː l
غزال	ɣ a z ɒː l
غزال	ɣ a z ɔː l
غزال	ɣ æ z ɒː l
غسل	ɣ o s l
غسل	ɣ u s l
غسل	ɣ ʊ s l
غصه	ɣ o s s e
غصه	ɣ u s s a
غصه	ɣ ʊ s s a
غلامی	ɣ o l ɒː m iː
غلامی	ɣ u l ɑː m iː
غلامی	ɣ u l ɔː m iː
غلامی	ɣ ʊ l ɒː m iː
غلط	ɣ a l a t
غلط	ɣ æ l æ t
غم	ɣ a m
غم	ɣ æ m
غمناک	ɣ a m n ɑː k
غمناک	ɣ a m n ɒː k
غمناک	ɣ a m n ɔː k
غمناک	ɣ æ m n ɒː k
غمگین	ɣ æ m ɡ iː n
غمگینی	ɢ æ m ɡ iː n iː
غور	ɣ a v ɾ
غور	ɣ a w ɾ
غور	ɣ o w ɾ
غژب	ɢ o ʒ b
غیر	ɣ a j ɾ
غیر	ɣ e j ɾ
غیرت	ɣ a j ɾ a t
غیرت	ɣ e j ɾ æ t
ـستان	e s t ɒː n
ـستان	i s t ɑː n
ـستان	i s t ɔː n
ـستان	ɪ s t ɒː n
ـی	e
ـی	eː
ـی	iː
ـیسم	i s m
ـیسم	iː s m
فائده	f ɒː ʔ e d e
فاحش	f ɒː h e ʃ
فارسی	f ɑː ɾ s iː
فارسی	f ɒː ɾ s iː
فارسی	f ɔː ɾ s iː
فاعل	f ɑː ʔ i l
فاعل	f ɒː ʔ e l
فاعل	f ɒː ʔ ɪ l
فاعل	f ɔː ʔ i l
فامیل	f ɒː m iː l
فانوس	f ɒː n uː s
فانی	f ɑː n iː
فانی	f ɒː n iː
فانی	f ɔː n iː
فایده	f ɑː j i d a
فایده	f ɒː j e d e
فایده	f ɒː j ɪ d a
فایده	f ɔː j i d a
فحش	f o h ʃ
فحش	f u h ʃ
فحش	f ɵː h ʃ
فحش	f ʊ h ʃ
فر	f o ɾ
فر	f æ r
فرآیند	f æ ɾ ɒː j æ n d
فراموش	f a ɾ ɑː m oː ʃ
فراموش	f a ɾ ɒː m oː ʃ
فراموش	f a ɾ ɔː m ɵː ʃ
فراموش	f æ ɾ ɒː m uː ʃ
فراموشی	f a ɾ ɑː m oː ʃ iː
فراموشی	f a ɾ ɒː m oː ʃ iː
فراموشی	f a ɾ ɔː m ɵː ʃ iː
فراموشی	f æ ɾ ɒː m uː ʃ iː
فراموشیدن	f æ ɾ ɒː m uː ʃ iː d̪ æ n
فرانک	f æ ɾ ɒː n æ k
فرج	f a ɾ d͡ʒ
فرج	f æ ɾ d͡ʒ
فردا	f a ɾ d ɑː
فردا	f a ɾ d ɒː
فردا	f a ɾ d ɔː
فردا	f æ ɾ d ɒː
فردوس	f e ɾ d o w s
فردوس	f i ɾ d a v s
فردوس	f i ɾ d a w s
فردوس	f ɪ ɾ d a w s
فرشته	f a ɾ i ʃ t a
فرشته	f a ɾ ɪ ʃ t a
فرشته	f æ ɾ e ʃ t e
فرق	f a ɾ q
فرق	f æ ɾ ɣ
فرمان	f a ɾ m ɑː n
فرمان	f a ɾ m ɒː n
فرمان	f a ɾ m ɔː n
فرمان	f æ ɾ m ɒː n
فرمانده	f æ ɾ m ɒ n d e h
فرمایش	f a ɾ m ɑː j i ʃ
فرمایش	f a ɾ m ɒː j ɪ ʃ
فرمایش	f a ɾ m ɔː j i ʃ
فرمایش	f æ ɾ m ɒː j e ʃ
فرهنگ	f a ɾ h a n ɡ
فرهنگ	f æ ɾ h æ n ɡ
فروختن	f o ɾ uː x t æ n
فروختن	f u ɾ oː x t a n
فروختن	f u ɾ ɵː x t a n
فروختن	f ʊ ɾ oː x t a n
فروردین	f æ ɾ v æ ɾ d̪ iː n
فروش	f o ɾ uː ʃ
فروش	f u ɾ oː ʃ
فروش	f u ɾ ɵː ʃ
فروش	f ʊ ɾ oː ʃ
فروغ	f o ɾ uː ɣ
فروغ	f u ɾ oː ɣ
فروغ	f u ɾ ɵː ɣ
فروغ	f ʊ ɾ oː ɣ
فروهر	f o ɾ uː h æ ɾ
فروهر	f u ɾ oː h æ ɾ
فریب	f a ɾ e b ~ f i ɾ e b
فریب	f a ɾ eː b ~ f i ɾ eː b
فریب	f a ɾ eː b ~ f ɪ ɾ eː b
فریب	f æ ɾ iː b ~ f e ɾ iː b
فریبا	f a ɾ e b ɔː
فریبا	f a ɾ eː b ɑː
فریبا	f a ɾ eː b ɒː
فریبا	f æ ɾ iː b ɒː
فریدون	f e ɾ e i̯ d uː n
فریدون	f ɪ ɾ eː d uː n
فریفتن	f a ɾ e f t a n ~ f i ɾ e f t a n
فریفتن	f a ɾ eː f t a n ~ f i ɾ eː f t a n
فریفتن	f a ɾ eː f t a n ~ f ɪ ɾ eː f t a n
فریفتن	f æ ɾ iː f t æ n ~ f e ɾ iː f t æ n
فشردن	f e ʃ o ɾ d æ n
فشردن	f i ʃ u ɾ d a n
فشردن	f ɪ ʃ ʊ ɾ d a n
فشنگ	f e ʃ æ n ɡ
فشنگ	f i ʃ a n ɡ
فشنگ	f ɪ ʃ a n ɡ
فصح	f e s h
فصح	f i s h
فصح	f ɪ s h
فصل	f a s l
فصل	f æ s l
فضا	f a z ɑː ~ f i z ɑː
فضا	f a z ɒː ~ f ɪ z ɒː
فضا	f a z ɔː ~ f i z ɔː
فضا	f æ z ɒː ~ f e z ɒː
فضازمان	f a z ɑː z a m ɑː n
فضازمان	f a z ɒː z a m ɒː n
فضازمان	f a z ɔː z a m ɔː n
فضازمان	f æ z ɒː z æ m ɒː n
فعالیت	f a ʔ ɑː l i j j a t
فعالیت	f a ʔ ɒː l i j j a t
فعالیت	f a ʔ ɔː l i j j a t
فعالیت	f æ ʔ ɒː l i j j æ t
فعل	f e ʔ l
فعل	f i ʔ l
فعل	f ɪ ʔ l
فغفور	f æ ɣ f uː ɾ
فقر	f a q ɾ
فقر	f æ ɣ ɾ
فقط	f a q a t
فقط	f æ ɣ æ t
فقیر	f a q i ɾ
فقیر	f a q iː ɾ
فقیر	f æ ɣ iː ɾ
فلاخن	f æ l ɒː x æ n
فن	f a n
فن	f æ n
فنجان	f e n d͡ʒ ɒː n
فنجان	f i n d͡ʒ ɑː n
فنجان	f i n d͡ʒ ɔː n
فنجان	f ɪ n d͡ʒ ɒː n
فهرست	f e h ɾ e s t
فهرست	f e h ɾ i s t
فهرست	f i h ɾ i s t
فهرست	f ɪ h ɾ ɪ s t
فهم	f a h m
فهم	f æ h m
فهماندن	f a h m ɑː n d a n
فهماندن	f a h m ɒː n d a n
فهماندن	f a h m ɔː n d a n
فهماندن	f æ h m ɒː n d æ n
فهمیدن	f a h m i d a n
فهمیدن	f a h m iː d a n
فهمیدن	f æ h m iː d æ n
فوت	f a v t
فوت	f a w t
فوت	f o w t
فوج	f a v d͡ʒ
فوج	f a w d͡ʒ
فوج	f o w d͡ʒ
فوق‌العاده	f a w q o l ʔ ɒ d a
فک	f æ k
فکر	f e k
فکر	f e k ɾ
فکر	f i k ɾ
فکر	f ɪ k ɾ
فیروزه	f i ɾ u z a
فیروزه	f iː ɾ uː z a
فیروزه	f iː ɾ uː z e
فیض	f a j z
فیض	f e j z
فیلیپ	f i l i p
قابل	q ɑː b i l
قابل	q ɒː b ɪ l
قابل	q ɔː b i l
قابل	ɣ ɒː b e l
قاتل	q ɑː t i l
قاتل	q ɒː t ɪ l
قاتل	q ɔː t i l
قاتل	ɣ ɒː t e l
قاره	q ɑː ɾ a
قاره	q ɑː ɾ ɾ a
قاره	q ɒː ɾ a
قاره	q ɒː ɾ ɾ a
قاره	q ɔ ɾ a
قاره	q ɔ ɾ ɾ a
قاره	ɣ ɒː ɾ e
قاره	ɣ ɒː ɾ ɾ e
قاسم	ɢ ɒː s e m
قاقم	ɢ ɑː ɢ o m
قالب	q ɑː l i b
قالب	q ɒː l ɪ b
قالب	q ɔː l i b
قالب	ɣ ɒː l e b
قاموس	q ɑː m uː s
قاموس	q ɒː m uː s
قاموس	q ɔː m u s
قاموس	ɣ ɒː m uː s
