є	j ɛ
авіаційник	ɐ ʋʲ i ɐ t͡sʲ i i̯ n e k
авіація	ɐ ʋʲ i ɑ t͡sʲ i j ɐ
авіачастина	ɐ ʋʲ i ɐ t͡ʃ ɐ s t ɪ n ɐ
авіашкола	ɐ ʋʲ i ɐ ʃ k ɔ ɫ ɐ
авіашоу	ɐ ʋʲ i ɐ ʃ ɔ ʊ
авіз	ɐ ʋʲ i z
авізо	ɐ ʋʲ i z ɔ
авізування	ɐ ʋʲ i z ʊ ʋ ɑ nʲː ɐ
авіста	ɐ ʋʲ i s t ɐ
авітаміноз	ɐ ʋʲ i t ɐ mʲ i n ɔ z
авіфауна	ɐ ʋʲ i f ɑ ʊ n ɐ
аваліст	ɐ ʋ ɐ lʲ i s t
аваль	ɐ ʋ ɑ lʲ
авангард	ɐ ʋ ɐ n ɦ ɑ r d
авангардизм	ɐ ʋ ɐ n ɦ ɐ r d ɪ z m
авангардист	ɐ ʋ ɐ n ɦ ɐ r d ɪ s t
аванзал	ɐ ʋ ɐ n z ɑ ɫ
аванкамера	ɐ ʋ ɐ n k ɑ m e r ɐ
аванложа	ɐ ʋ ɐ n ɫ ɔ ʒ ɐ
аванпорт	ɐ ʋ ɐ n p ɔ r t
аванпост	ɐ ʋ ɐ n p ɔ s t
аванс	ɐ ʋ ɑ n s
авансик	ɐ ʋ ɑ n s e k
авансодавець	ɐ ʋ ɐ n s ɔ d ɑ ʋ e t͡sʲ
авансотримач	ɐ ʋ ɐ n s ɔ t r e m ɑ t͡ʃ
авансоутримувач	ɐ ʋ ɐ n s ɔ ʊ t r ɪ m ʊ ʋ ɐ t͡ʃ
авансування	ɐ ʋ ɐ n s ʊ ʋ ɑ nʲː ɐ
авансцена	ɐ ʋ ɐ n s t͡s ɛ n ɐ
авантитул	ɐ ʋ ɐ n t ɪ t ʊ ɫ
авантура	ɐ ʋ ɐ n t u r ɐ
авантурник	ɐ ʋ ɐ n t u r n e k
авантурниця	ɐ ʋ ɐ n t u r n e t͡sʲ ɐ
авантюра	ɐ ʋ ɐ nʲ tʲ u r ɐ
авантюризм	ɐ ʋ ɐ nʲ tʲ ʊ r ɪ z m
авантюрин	ɐ ʋ ɐ nʲ tʲ ʊ r ɪ n
авантюрист	ɐ ʋ ɐ nʲ tʲ ʊ r ɪ s t
авантюристка	ɐ ʋ ɐ nʲ tʲ ʊ r ɪ s t k ɐ
авантюрність	ɐ ʋ ɐ nʲ tʲ u r nʲ i sʲ tʲ
авантюрник	ɐ ʋ ɐ nʲ tʲ u r n e k
авантюрниця	ɐ ʋ ɐ nʲ tʲ u r n e t͡sʲ ɐ
авар	ɐ ʋ ɑ r
аварійність	ɐ ʋ ɐ rʲ i i̯ nʲ i sʲ tʲ
аварійний	ɐ ʋ ɐ rʲ i i̯ n e i̯
аварійник	ɐ ʋ ɐ rʲ i i̯ n e k
аварія	ɐ ʋ ɑ rʲ i j ɐ
аварець	ɐ ʋ ɑ r e t͡sʲ
аварка	ɐ ʋ ɑ r k ɐ
авгіїв	ɑ u̯ ɦʲ i j i u̯
авгіїв	ɐ u̯ ɦʲ i j i u̯
авгіт	ɐ u̯ ɦʲ i t
авгур	ɐ u̯ ɦ u r
август	ɑ u̯ ɦ ʊ s t
августа	ɐ u̯ ɦ u s t ɐ
авдитор	ɐ u̯ d ɪ t ɔ r
авдиторія	ɐ u̯ d e t ɔ rʲ i j ɐ
авеню	ɐ ʋ e nʲ u
аверс	ɑ ʋ e r s
авлос	ɐ u̯ ɫ ɔ s
аво	ɑ w ɔ
авокадо	ɐ w ɔ k ɑ d ɔ
аврал	ɐ u̯ r ɑ ɫ
авран	ɐ u̯ r ɑ n
аврикула	ɐ u̯ r ɪ k ʊ ɫ ɐ
аврора	ɐ u̯ r ɔ r ɐ
австрієць	ɐ u̯ s tʲ rʲ i j e t͡sʲ
австрійка	ɐ u̯ s tʲ rʲ i i̯ k ɐ
австрійський	ɐ u̯ s tʲ rʲ i i̯ sʲ k e i̯
австрія	ɑ u̯ s tʲ rʲ i j ɐ
австріяк	ɐ u̯ s tʲ rʲ i j ɑ k
австріячка	ɐ u̯ s tʲ rʲ i j ɑ t͡ʃ k ɐ
австралієць	ɐ u̯ s t r ɐ lʲ i j e t͡sʲ
австралійка	ɐ u̯ s t r ɐ lʲ i i̯ k ɐ
австралійська	ɐ u̯ s t r ɐ lʲ i i̯ sʲ k ɐ
австралійський	ɐ u̯ s t r ɐ lʲ i i̯ sʲ k e i̯
австралійці	ɐ u̯ s t r ɐ lʲ i i̯ t͡sʲ i
австралія	ɐ u̯ s t r ɑ lʲ i j ɐ
австралоїд	ɐ u̯ s t r ɐ ɫ ɔ j i d
австралопітек	ɐ u̯ s t r ɐ ɫ ɔ pʲ i t ɛ k
австромарксист	ɐ u̯ s t r ɔ m ɐ r k s ɪ s t
австрофіл	ɐ u̯ s t r o fʲ i ɫ
автаркізм	ɐ u̯ t ɐ r kʲ i z m
автаркія	ɐ u̯ t ɑ r kʲ i j ɐ
автентика	ɐ u̯ t ɛ n t e k ɐ
автентифікація	ɐ u̯ t e n t e fʲ i k ɑ t͡sʲ i j ɐ
автентичність	ɐ u̯ t e n t ɪ t͡ʃ nʲ i sʲ tʲ
автентичний	ɐ u̯ t e n t ɪ t͡ʃ n e i̯
авто	ɐ u̯ t ɔ
автоаерозапчастина	ɐ u̯ t ɔ ɐ e r ɔ z ɐ p t͡ʃ ɐ s t ɪ n ɐ
автоалієнація	ɐ u̯ t ɔ ɐ lʲ i j e n ɑ t͡sʲ i j ɐ
автоаматор	ɐ u̯ t ɔ ɐ m ɑ t ɔ r
автоаматорка	ɐ u̯ t ɔ ɐ m ɑ t ɔ r k ɐ
автоамфібія	ɐ u̯ t ɔ ɐ m fʲ i bʲ i j ɐ
автоапологія	ɐ u̯ t ɔ ɐ p ɔ ɫ ɔ ɦʲ i j ɐ
автобіограф	ɐ u̯ t ɔ bʲ i ɔ ɦ r ɐ f
автобіографічність	ɐ u̯ t ɔ bʲ i ɔ ɦ r ɐ fʲ i t͡ʃ nʲ i sʲ tʲ
автобіографія	ɐ u̯ t ɔ bʲ i ɔ ɦ r ɑ fʲ i j ɐ
автобаза	ɐ u̯ t ɔ b ɑ z ɐ
автобальзам	ɐ u̯ t ɔ b ɐ lʲ z ɑ m
автобан	ɐ u̯ t ɔ b ɑ n
автобатальйон	ɐ u̯ t ɔ b ɐ t ɐ lʲ j ɔ n
автобензовоз	ɐ u̯ t ɔ b e n z ɔ w ɔ z
автобензоцистерна	ɐ u̯ t ɔ b e n z ɔ t͡s e s t ɛ r n ɐ
автобетономішалка	ɐ u̯ t ɔ b e t ɔ n ɔ mʲ i ʃ ɑ ɫ k ɐ
автоблокування	ɐ u̯ t ɔ b ɫ ɔ k ʊ ʋ ɑ nʲː ɐ
автобудівник	ɐ u̯ t ɔ b ʊ dʲ i u̯ n ɪ k
автобудування	ɐ u̯ t ɔ b ʊ d ʊ ʋ ɑ nʲː ɐ
автобус	ɐ u̯ t ɔ b ʊ s
автобусик	ɐ u̯ t ɔ b ʊ s e k
автобусна	ɐ u̯ t ɔ b ʊ s n ɐ
автобусний	ɐ u̯ t ɔ b ʊ s n e i̯
автовідповідач	ɐ u̯ t ɔ ʋʲ i d p ɔ ʋʲ i d ɑ t͡ʃ
автовізок	ɐ u̯ t ɔ ʋʲ i z ɔ k
автовага	ɐ u̯ t ɔ ʋ ɐ ɦ ɑ
автовагон	ɐ u̯ t ɔ ʋ ɐ ɦ ɔ n
автовакцина	ɐ u̯ t ɔ ʋ ɐ k t͡s ɪ n ɐ
автовантажник	ɐ u̯ t ɔ ʋ ɐ n t ɑ ʒ n e k
автовеломотогонки	ɑ u̯ t ɔ ʋ ɛ ɫ ɔ m ɔ t ɔ ɦ ɔ n k e
автовиробник	ɐ u̯ t ɔ ʋ e r ɔ b n ɪ k
автовласник	ɐ u̯ t ɔ u̯ ɫ ɑ s n e k
автоводій	ɐ u̯ t ɔ w o dʲ i i̯
автоводоцистерна	ɐ u̯ t ɔ w ɔ d ɔ t͡s e s t ɛ r n ɐ
автовокзал	ɐ u̯ t ɔ w ɔ ɡ z ɑ ɫ
автогальмо	ɐ u̯ t ɔ ɦ ɐ lʲ m ɔ
автогараж	ɐ u̯ t ɔ ɦ ɐ r ɑ ʒ
автогемотерапія	ɐ u̯ t ɔ ɦ e m ɔ t e r ɐ pʲ i j ɐ
автоген	ɐ u̯ t ɔ ɦ ɛ n
автогенез	ɐ u̯ t ɔ ɦ e n ɛ z
автогенник	ɐ u̯ t ɔ ɦ ɛ nː e k
автодидакт	ɐ u̯ t ɔ d e d ɑ k t
автократія	ɐ u̯ t ɔ k r ɑ tʲ i j ɐ
автоматизація	ɐ u̯ t ɔ m ɐ t e z ɑ t͡sʲ i j ɐ
автоматизувати	ɐ u̯ t ɔ m ɐ t e z ʊ ʋ ɑ t e
автоматична	ɐ u̯ t ɔ m ɐ t ɪ t͡ʃ n ɐ
автоматичний	ɐ u̯ t ɔ m ɐ t ɪ t͡ʃ n e i̯
автоматично	ɐ u̯ t ɔ m ɐ t ɪ t͡ʃ n ɔ
автомобіліст	ɐ u̯ t ɔ m ɔ bʲ i lʲ i s t
автомобілістка	ɐ u̯ t ɔ m ɔ bʲ i lʲ i s t k ɐ
автомобіль	ɐ u̯ t ɔ m o bʲ i lʲ
автомобільна	ɐ u̯ t ɔ m o bʲ i lʲ n ɐ
автомобільний	ɐ u̯ t ɔ m o bʲ i lʲ n e i̯
автопортрет	ɐ u̯ t ɔ p ɔ r t r ɛ t
автор	ɑ u̯ t ɔ r
автореференція	ɑ u̯ t ɔ r e f e r ɛ nʲ t͡sʲ i j ɐ
авторизувати	ɐ u̯ t ɔ r e z ʊ ʋ ɑ t e
авторство	ɑ u̯ t ɔ r s t w ɔ
автостоянка	ɐ u̯ t ɔ s t ɔ j ɑ n k ɐ
агава	ɐ ɦ ɑ ʋ ɐ
агентство	ɐ ɦ ɛ n s t w ɔ
агенція	ɐ ɦ ɛ nʲ t͡sʲ i j ɐ
агнеса	ɐ ɦ n ɛ s ɐ
аграрний	ɐ ɦ r ɑ r n e i̯
агресія	ɐ ɦ r ɛ sʲ i j ɐ
агресивність	ɐ ɦ r e s ɪ u̯ nʲ i sʲ tʲ
агресивний	ɐ ɦ r e s ɪ u̯ n e i̯
агресор	ɐ ɦ r ɛ s ɔ r
агролісівництво	ɐ ɦ r ɔ lʲ i sʲ i u̯ n ɪ t͡s t w ɔ
ад'єктивація	ɐ d j e k t e ʋ ɑ t͡sʲ i j ɐ
ад'ютант	ɐ d j ʊ t ɑ n t
адаптація	ɐ d ɐ p t ɑ t͡sʲ i j ɐ
адаптувати	ɐ d ɐ p t ʊ ʋ ɑ t e
адвокат	ɐ d w ɔ k ɑ t
адекватний	ɐ d e k ʋ ɑ t n e i̯
аденозин	ɐ d e n ɔ z ɪ n
адепт	ɐ d ɛ p t
адміністративний	ɐ dʲ mʲ i nʲ i s t r ɐ t ɪ u̯ n e i̯
адміністратор	ɐ dʲ mʲ i nʲ i s t r ɑ t ɔ r
адміністрація	ɐ dʲ mʲ i nʲ i s t r ɑ t͡sʲ i j ɐ
адмініструвати	ɐ dʲ mʲ i nʲ i s t r ʊ ʋ ɑ t e
адріан	ɐ dʲ rʲ i ɑ n
адреса	ɐ d r ɛ s ɐ
адреса	ɑ d r e s ɐ
аеродром	ɐ e r ɔ d r ɔ m
аероліт	ɐ e r o lʲ i t
аеропорт	ɐ e r ɔ p ɔ r t
аероскопія	ɐ e r ɔ s k o pʲ i j ɐ
аерофлот	ɐ e r ɔ f ɫ ɔ t
азіатський	ɐ zʲ i ɑ t͡sʲ k e i̯
азія	ɑ zʲ i j ɐ
азбука	ɑ z b ʊ k ɐ
азербайджан	ɐ z e r b ɐ i̯ d͡ʒ ɑ n
азербайджанський	ɐ z e r b ɐ i̯ d͡ʒ ɑ nʲ sʲ k e i̯
академічний	ɐ k ɐ d e mʲ i t͡ʃ n e i̯
академія	ɐ k ɐ d ɛ mʲ i j ɐ
акації	ɐ k ɑ t͡sʲ i j i
акація	ɐ k ɑ t͡sʲ i j ɐ
аквамарин	ɐ k ʋ ɐ m ɐ r ɪ n
аквамариновий	ɐ k ʋ ɐ m ɐ r ɪ n ɔ ʋ e i̯
акваріум	ɐ k ʋ ɑ rʲ i ʊ m
акт	ɑ k t
активізм	ɐ k t e ʋʲ i z m
активіст	ɐ k t e ʋʲ i s t
активістка	ɐ k t e ʋʲ i s t k ɐ
активація	ɐ k t e ʋ ɑ t͡sʲ i j ɐ
активність	ɐ k t ɪ u̯ nʲ i sʲ tʲ
активний	ɐ k t ɪ u̯ n e i̯
активно	ɐ k t ɪ u̯ n ɔ
активувати	ɐ k t e w ʊ ʋ ɑ t e
актор	ɐ k t ɔ r
акторка	ɐ k t ɔ r k ɐ
актриса	ɐ k t r ɪ s ɐ
актуальний	ɐ k t ʊ ɑ lʲ n e i̯
акул	ɐ k u ɫ
акула	ɐ k u ɫ ɐ
акціонер	ɐ k t͡sʲ i ɔ n ɛ r
акціонерне	ɐ k t͡sʲ i ɔ n ɛ r n e
акціонерний	ɐ k t͡sʲ i ɔ n ɛ r n e i̯
акція	ɑ k t͡sʲ i j ɐ
акцентувати	ɐ k t͡s e n t ʊ ʋ ɑ t e
алістер	ɑ lʲ i s t e r
албанія	ɐ ɫ b ɑ nʲ i j ɐ
албанець	ɐ ɫ b ɑ n e t͡sʲ
албанка	ɐ ɫ b ɑ n k ɐ
албанський	ɐ ɫ b ɑ nʲ sʲ k e i̯
але	ɐ ɫ ɛ
алегорія	ɐ ɫ e ɦ ɔ rʲ i j ɐ
алегоричний	ɐ ɫ e ɦ ɔ r ɪ t͡ʃ n e i̯
алергія	ɐ ɫ e r ɦʲ i j ɐ
алжир	ɐ ɫ ʒ ɪ r
алжирський	ɐ ɫ ʒ ɪ r sʲ k e i̯
алкоголь	ɐ ɫ k ɔ ɦ ɔ lʲ
аллах	ɐ ɫ ɑ x
аллах	ɐ ɫː ɑ x
алло	ɐ ɫː ɔ
алфавіт	ɐ ɫ f ɐ ʋʲ i t
алфавіт	ɐ ɫ f ɑ ʋʲ i t
альбатрос	ɐ lʲ b ɐ t r ɔ s
альв	ɑ lʲ ʋ
альтернатива	ɐ lʲ t e r n ɐ t ɪ ʋ ɐ
альтернативний	ɐ lʲ t e r n ɐ t ɪ u̯ n e i̯
альфабет	ɐ lʲ f ɐ b ɛ t
альянс	ɐ lʲ j ɑ n s
алюміній	ɐ lʲ ʊ mʲ i nʲ i i̯
аматор	ɐ m ɑ t ɔ r
амбітний	ɐ m bʲ i t n e i̯
амбіція	ɐ m bʲ i t͡sʲ i j ɐ
америка	ɐ m ɛ r e k ɐ
американізація	ɐ m e r e k ɐ nʲ i z ɑ t͡sʲ i j ɐ
американізм	ɐ m e r e k ɐ nʲ i z m
американець	ɐ m e r e k ɑ n e t͡sʲ
американський	ɐ m e r e k ɑ nʲ sʲ k e i̯
амніоти	ɐ m nʲ i ɔ t e
амнезія	ɐ m n e zʲ i j ɐ
ампер	ɐ m p ɛ r
амстердам	ɐ m s t e r d ɑ m
амфібія	ɐ m fʲ i bʲ i j ɐ
анімалістичний	ɐ nʲ i m ɐ lʲ i s t ɪ t͡ʃ n e i̯
аналіз	ɐ n ɑ lʲ i z
аналізувати	ɐ n ɐ lʲ i z ʊ ʋ ɑ t e
аналітик	ɐ n ɐ lʲ i t e k
аналітичний	ɐ n ɐ lʲ i t ɪ t͡ʃ n e i̯
аналогічний	ɐ n ɐ ɫ o ɦʲ i t͡ʃ n e i̯
аналогія	ɐ n ɐ ɫ ɔ ɦʲ i j ɐ
анамнії	ɐ n ɑ m nʲ i j i
ананас	ɐ n ɐ n ɑ s
анастасія	ɐ n ɐ s t ɑ sʲ i j ɐ
анатолій	ɐ n ɐ t ɔ lʲ i i̯
анатомічний	ɐ n ɐ t o mʲ i t͡ʃ n e i̯
анатомія	ɐ n ɐ t ɔ mʲ i j ɐ
анафема	ɐ n ɑ f e m ɐ
ангеліна	ɐ n ɦ e lʲ i n ɐ
англієць	ɐ n ɦ lʲ i j e t͡sʲ
англійка	ɐ n ɦ lʲ i i̯ k ɐ
англійська	ɐ n ɦ lʲ i i̯ sʲ k ɐ
англійський	ɐ n ɦ lʲ i i̯ sʲ k e i̯
англіканство	ɐ n ɦ lʲ i k ɑ n s t w ɔ
англіцизм	ɐ n ɦ lʲ i t͡s ɪ z m
англія	ɑ n ɦ lʲ i j ɐ
англомовний	ɐ n ɦ ɫ ɔ m ɔ u̯ n e i̯
ангольський	ɐ n ɦ ɔ lʲ sʲ k e i̯
андоррський	ɐ n d ɔ rː sʲ k e i̯
андріїв	ɐ n dʲ rʲ i j i u̯
андріан	ɐ n dʲ rʲ i ɑ n
андрій	ɐ n dʲ rʲ i i̯
анекдот	ɐ n e ɡ d ɔ t
анексія	ɐ n ɛ k sʲ i j ɐ
анексувати	ɐ n e k s ʊ ʋ ɑ t e
анжеліка	ɐ n ʒ e lʲ i k ɐ
анна	ɑ nː ɐ
аномалія	ɐ n ɔ m ɑ lʲ i j ɐ
аномальний	ɐ n ɔ m ɑ lʲ n e i̯
анонімність	ɐ n o nʲ i m nʲ i sʲ tʲ
анонімний	ɐ n o nʲ i m n e i̯
ансамбль	ɐ n s ɑ m b lʲ
антагонізм	ɐ n t ɐ ɦ o nʲ i z m
антарктичний	ɐ n t ɐ r k t ɪ t͡ʃ n e i̯
антена	ɐ n t ɛ n ɐ
антиамериканський	ɑ n t e ɐ m e r e k ɑ nʲ sʲ k e i̯
антибіотик	ɐ n t e bʲ i ɔ t e k
антибіотиків	ɐ n t e bʲ i ɔ t e kʲ i u̯
антибіотика	ɐ n t e bʲ i ɔ t e k ɐ
антибіотикам	ɐ n t e bʲ i ɔ t e k ɐ m
антибіотиками	ɐ n t e bʲ i ɔ t e k ɐ m e
антибіотиках	ɐ n t e bʲ i ɔ t e k ɐ x
антибіотики	ɐ n t e bʲ i ɔ t e k e
антибіотиком	ɐ n t e bʲ i ɔ t e k ɔ m
антибіотику	ɐ n t e bʲ i ɔ t e k ʊ
антидот	ɐ n t e d ɔ t
антикорупційний	ɐ n t e k ɔ r ʊ p t͡sʲ i i̯ n e i̯
антиномія	ɐ n t e n ɔ mʲ i j ɐ
антитіло	ɐ n t e tʲ i ɫ ɔ
античний	ɐ n t ɪ t͡ʃ n e i̯
антонім	ɐ n t ɔ nʲ i m
антропологічний	ɐ n t r ɔ p ɔ ɫ o ɦʲ i t͡ʃ n e i̯
антропологія	ɐ n t r ɔ p ɔ ɫ ɔ ɦʲ i j ɐ
апарат	ɐ p ɐ r ɑ t
апатія	ɐ p ɑ tʲ i j ɐ
апатичний	ɐ p ɐ t ɪ t͡ʃ n e i̯
апостроф	ɐ p ɔ s t r ɔ f
апостроф	ɐ p ɔ s t r ɔ f
аптека	ɐ p t ɛ k ɐ
аріка	ɐ rʲ i k ɐ
арістотель	ɐ rʲ i s t ɔ t e lʲ
арабський	ɐ r ɑ b sʲ k e i̯
аравія	ɐ r ɑ ʋʲ i j ɐ
арахнологіє	ɐ r ɐ x n ɔ ɫ ɔ ɦʲ i j e
арахнологією	ɐ r ɐ x n ɔ ɫ ɔ ɦʲ i j e j ʊ
арахнології	ɐ r ɐ x n ɔ ɫ ɔ ɦʲ i j i
арахнологію	ɐ r ɐ x n ɔ ɫ ɔ ɦʲ i j ʊ
арахнологія	ɐ r ɐ x n ɔ ɫ ɔ ɦʲ i j ɐ
аргентина	ɐ r ɦ e n t ɪ n ɐ
арешт	ɐ r ɛ ʃ t
арештовувати	ɐ r e ʃ t ɔ w ʊ ʋ ɐ t e
арештувати	ɐ r e ʃ t ʊ ʋ ɑ t e
аритметика	ɐ r e t m ɛ t e k ɐ
арифметика	ɐ r e f m ɛ t e k ɐ
арифметичний	ɐ r e f m e t ɪ t͡ʃ n e i̯
арка	ɑ r k ɐ
арккосинус	ɐ r kː ɔ s e n ʊ s
арктангенс	ɐ r k t ɑ n ɦ e n s
арктичний	ɐ r k t ɪ t͡ʃ n e i̯
аркуш	ɑ r k ʊ ʃ
армія	ɑ r mʲ i j ɐ
аромат	ɐ r ɔ m ɑ t
ароматичний	ɐ r ɔ m ɐ t ɪ t͡ʃ n e i̯
ароматний	ɐ r ɔ m ɑ t n e i̯
артеріє	ɐ r t ɛ rʲ i j e
артерією	ɐ r t ɛ rʲ i j e j ʊ
артерії	ɐ r t ɛ rʲ i j i
артерій	ɐ r t ɛ rʲ i i̯
артерію	ɐ r t ɛ rʲ i j ʊ
артерія	ɐ r t ɛ rʲ i j ɐ
артеріям	ɐ r t ɛ rʲ i j ɐ m
артеріями	ɐ r t ɛ rʲ i j ɐ m e
артеріях	ɐ r t ɛ rʲ i j ɐ x
артишок	ɐ r t e ʃ ɔ k
арфіст	ɐ r fʲ i s t
арфістка	ɐ r fʲ i s t k ɐ
арфа	ɑ r f ɐ
арфуш	ɐ r f u ʃ
архієпископ	ɐ r xʲ i j e p ɪ s k ɔ p
архітектор	ɐ r xʲ i t ɛ k t ɔ r
архітектура	ɐ r xʲ i t e k t u r ɐ
архітектурний	ɐ r xʲ i t e k t u r n e i̯
архаїзація	ɐ r x ɐ j i z ɑ t͡sʲ i j ɐ
архаїзм	ɐ r x ɐ j i z m
археолог	ɐ r x e ɔ ɫ ɔ ɦ
археологів	ɐ r x e ɔ ɫ ɔ ɦʲ i u̯
археологічний	ɐ r x e ɔ ɫ o ɦʲ i t͡ʃ n e i̯
археологія	ɐ r x e ɔ ɫ ɔ ɦʲ i j ɐ
архонт	ɐ r x ɔ n t
асія	ɐ sʲ i j ɐ
асиміляція	ɐ s e mʲ i lʲ ɑ t͡sʲ i j ɐ
асимптота	ɐ s e m p t ɔ t ɐ
асинхронний	ɐ s e n x r ɔ nː e i̯
асистент	ɐ s e s t ɛ n t
асистентка	ɐ s e s t ɛ n t k ɐ
аскет	ɐ s k ɛ t
аскетизм	ɐ s k e t ɪ z m
аскетично	ɐ s k e t ɪ t͡ʃ n ɔ
асортимент	ɐ s ɔ r t e m ɛ n t
асоціація	ɐ s ɔ t͡sʲ i ɑ t͡sʲ i j ɐ
аспект	ɐ s p ɛ k t
астероїд	ɐ s t e r ɔ j i d
астрологія	ɐ s t r ɔ ɫ ɔ ɦʲ i j ɐ
астрономія	ɐ s t r ɔ n ɔ mʲ i j ɐ
атака	ɐ t ɑ k ɐ
атеїзм	ɐ t e j i z m
атеїстичний	ɐ t e j i s t ɪ t͡ʃ n e i̯
ательє	ɐ t e lʲ j ɛ
атлантичний	ɐ t ɫ ɐ n t ɪ t͡ʃ n e i̯
атом	ɑ t ɔ m
аттик	ɑ tː e k
аудиторія	ɐ ʊ d e t ɔ rʲ i j ɐ
аура	ɑ ʊ r ɐ
аутизм	ɐ ʊ t ɪ z m
аутсайдер	ɐ ʊ t͡s ɑ i̯ d e r
афіни	ɐ fʲ i n e
афіша	ɐ fʲ i ʃ ɐ
афаліна	ɐ f ɐ lʲ i n ɐ
афганістан	ɐ v ɦ ɐ nʲ i s t ɑ n
афганський	ɐ v ɦ ɑ nʲ sʲ k e i̯
африка	ɑ f r e k ɐ
африканець	ɐ f r e k ɑ n e t͡sʲ
африканка	ɐ f r e k ɑ n k ɐ
африканський	ɐ f r e k ɑ nʲ sʲ k e i̯
ах	ɑ x
ацтек	ɐ t͡s t ɛ k
ацтекський	ɐ t͡s t ɛ k sʲ k e i̯
аґрус	ɑ ɡ r ʊ s
аґрусівка	ɐ ɡ r ʊ sʲ i u̯ k ɐ
аґрусовий	ɑ ɡ r ʊ s ɔ ʋ e i̯
бібліоманія	bʲ i b lʲ i ɔ m ɑ nʲ i j ɐ
бібліотека	bʲ i b lʲ i ɔ t ɛ k ɐ
бібліотекар	bʲ i b lʲ i ɔ t ɛ k ɐ r
бібліотекарка	bʲ i b lʲ i ɔ t ɛ k ɐ r k ɐ
бібліофіл	bʲ i b lʲ i o fʲ i ɫ
біблія	bʲ i b lʲ i j ɐ
біг	bʲ i ɦ
біг	bʲ i ɦ
бігати	bʲ i ɦ ɐ t e
бігти	bʲ i ɦ t e
біда	bʲ i d ɑ
бідність	bʲ i dʲ nʲ i sʲ tʲ
бідний	bʲ i d n e i̯
біднота	bʲ i d n ɔ t ɐ
біднота	bʲ i d n ɔ t ɑ
бідувати	bʲ i d ʊ ʋ ɑ t e
біженець	bʲ i ʒ e n e t͡sʲ
біженка	bʲ i ʒ e n k ɐ
біженський	bʲ i ʒ e nʲ sʲ k e i̯
бізнес	bʲ i z n e s
бізон	bʲ i z ɔ n
бік	bʲ i k
білий	bʲ i ɫ e i̯
білка	bʲ i ɫ k ɐ
білодід	bʲ i ɫ o dʲ i d
білок	bʲ i ɫ ɔ k
білок	bʲ i ɫ ɔ k
білолиций	bʲ i ɫ ɔ ɫ ɪ t͡s e i̯
білорус	bʲ i ɫ o r u s
білоруска	bʲ i ɫ o r u s k ɐ
білорусь	bʲ i ɫ o r u sʲ
білоруська	bʲ i ɫ o r u sʲ k ɐ
білоруський	bʲ i ɫ o r u sʲ k e i̯
білосніжка	bʲ i ɫ o sʲ nʲ i ʒ k ɐ
білосніжний	bʲ i ɫ o sʲ nʲ i ʒ n e i̯
біль	bʲ i lʲ
більш	bʲ i lʲ ʃ
більшість	bʲ i lʲ ʃʲ i sʲ tʲ
більшати	bʲ i lʲ ʃ ɐ t e
більше	bʲ i lʲ ʃ e
більший	bʲ i lʲ ʃ e i̯
більшого	bʲ i lʲ ʃ ɔ ɦ ɔ
більшості	bʲ i lʲ ʃ ɔ sʲ tʲ i
біля	bʲ i lʲ ɐ
бінокль	bʲ i n ɔ k lʲ
біографія	bʲ i ɔ ɦ r ɑ fʲ i j ɐ
біолог	bʲ i ɔ ɫ ɔ ɦ
біологічний	bʲ i ɔ ɫ o ɦʲ i t͡ʃ n e i̯
біологія	bʲ i ɔ ɫ ɔ ɦʲ i j ɐ
біомаса	bʲ i ɔ m ɑ s ɐ
біоматеріал	bʲ i ɔ m ɐ t e rʲ i ɑ ɫ
біомедицина	bʲ i ɔ m e d e t͡s ɪ n ɐ
біометрія	bʲ i ɔ m ɛ tʲ rʲ i j ɐ
біомеханіка	bʲ i ɔ m e x ɑ nʲ i k ɐ
біомолекула	bʲ i ɔ m ɔ ɫ ɛ k ʊ ɫ ɐ
біржа	bʲ i r ʒ ɐ
бірюзовий	bʲ i rʲ ʊ z ɔ ʋ e i̯
біс	bʲ i s
бісексуал	bʲ i s e k s ʊ ɑ ɫ
бісексуальність	bʲ i s e k s ʊ ɑ lʲ nʲ i sʲ tʲ
бісексуальний	bʲ i s e k s ʊ ɑ lʲ n e i̯
бішкек	bʲ i ʃ k ɛ k
баба	b ɑ b ɐ
бабисько	b ɐ b ɪ sʲ k ɔ
бабище	b ɐ b ɪ ʃ t͡ʃ e
бабка	b ɑ b k ɐ
бабуся	b ɐ b u sʲ ɐ
бабченко	b ɑ b t͡ʃ e n k ɔ
баварія	b ɐ ʋ ɑ rʲ i j ɐ
баварський	b ɐ ʋ ɑ r sʲ k e i̯
бавитися	b ɑ ʋ e t e sʲ ɐ
бавовна	b ɐ w ɔ u̯ n ɐ
бавовняний	b ɐ w ɔ u̯ nʲ ɐ n e i̯
бавовняний	b ɐ w ɔ u̯ nʲ ɑ n e i̯
багаж	b ɐ ɦ ɑ ʒ
багатий	b ɐ ɦ ɑ t e i̯
багато	b ɐ ɦ ɑ t ɔ
багатовіковий	b ɐ ɦ ɐ t ɔ ʋʲ i k ɔ ʋ ɪ i̯
багатогодинний	b ɐ ɦ ɐ t ɔ ɦ ɔ d ɪ nː e i̯
багатогранний	b ɐ ɦ ɐ t ɔ ɦ r ɑ nː e i̯
