ԱԱ	ɑ ɑ
Գաֆեսճյան	ɡ ɑ f e s t͡ʃ j ɑ n
Գեղամ	ɡ e ʁ ɑ m
Գեղամյան	ɡ e ʁ ɑ m j ɑ n
Գեղարքունիք	ɡ e ʁ ɑ ɾ kʰ u n i kʰ
Գենդալֆ	ɡ e n d ɑ l f
Գեջեյան	ɡ e d͡ʒ e j ɑ n
Գեռլա	ɡ e r l ɑ
Գեսլեր	ɡ e s l e ɾ
Գերմանիա	ɡ e ɾ m ɑ n i ɑ
Գերմանիայի	ɡ e ɾ m ɑ n i ɑ j i
Գըրպաճյան	ɡ ə ɾ p ɑ t͡ʃ j ɑ n
Գիլոյան	ɡ i l o j ɑ n
Գինոսյան	ɡ i n o s j ɑ n
Գիրոկաստրա	ɡ i ɾ o k ɑ s t ɾ ɑ
Գլենդել	ɡ l e n d e l
Գյանջա	ɡ j ɑ n d͡ʒ ɑ
Գյոթե	ɡ j o tʰ e
Գյոյգյոլ	ɡ j o j ɡ j o l
Գյուլազյան	ɡ j u l ɑ z j ɑ n
Գյուլասարյան	ɡ j u l ɑ s ɑ ɾ j ɑ n
Գյուլբենկյան	ɡ j u l b e n k j ɑ n
Գյուլեզյան	ɡ j u l e z j ɑ n
Գյումրի	ɡ j u m ɾ i
Գյուրջինյան	ɡ j u ɾ d͡ʒ i n j ɑ n
Գնել	ɡ ə n e l
Գոա	ɡ o ɑ
Գոհար	ɡ o h ɑ ɾ
Գողգոթա	ɡ o ʁ ɡ o tʰ ɑ
Գոճանյան	ɡ o t͡ʃ ɑ n j ɑ n
Գոմել	ɡ o m e l
Գոռ	ɡ o r
Գովաճյան	ɡ o v ɑ t͡ʃ j ɑ n
Գոտֆրիդ	ɡ o t f ɾ i d
Գորբաչով	ɡ o ɾ b ɑ t͡ʃʰ o v
Գորդիոս	ɡ o ɾ d i o s
Գորի	ɡ o ɾ i
Գորիս	ɡ o ɾ i s
Գորկի	ɡ o ɾ k i
Գուգարք	ɡ u ɡ ɑ ɾ kʰ
Գուգլ	ɡ u ɡ ə l
Գուգո	ɡ u ɡ o
Գուգուշ	ɡ u ɡ u ʃ
Գուգս	ɡ u kʰ s
Գուգսիկ	ɡ u ɡ s i k
Գուդաութա	ɡ u d ɑ u tʰ ɑ
Գուլահճյան	ɡ u l ɑ h t͡ʃ j ɑ n
Գումճյան	ɡ u m t͡ʃ j ɑ n
Գույուճյան	ɡ u j u t͡ʃ j ɑ n
Գույուջյան	ɡ u j u d͡ʒ j ɑ n
Գուջարաթ	ɡ u d͡ʒ ɑ ɾ ɑ tʰ
Գուրգեն	ɡ u ɾ ɡ e n
Գվատեմալա	ɡ ə v ɑ t e m ɑ l ɑ
Գվինեա	ɡ v i n e ɑ
Գրանիկոն	ɡ ə ɾ ɑ n i k o n
Գրենադա	ɡ ɾ e n ɑ d ɑ
Գրենլանդիա	ɡ ɾ e n l ɑ n d i ɑ
Գրիգոր	ɡ ɾ i kʰ o ɾ
Գրիգորի	ɡ ɾ i ɡ o ɾ i
Գրիգորիոպոլիս	ɡ ɾ i kʰ o ɾ i o p o l i s
Գրիգորյան	ɡ ɾ i kʰ o ɾ j ɑ n
Գրիգորուպոլ	ɡ ɾ i kʰ o ɾ u p o l
Գրոզնի	ɡ ɾ o z n i
Գևորգ	ɡ e v o ɾ kʰ
Գևորգյան	ɡ e v o ɾ kʰ j ɑ n
Դ	d ə
ԴՆԹ	d ə n ə tʰ ə
Դալար	d ɑ l ɑ ɾ
Դալմաթիա	d ɑ l m ɑ tʰ i ɑ
Դաղստան	d ɑ ʁ ə s t ɑ n
Դամասկոս	d ɑ m ɑ s k o s
Դանիա	d ɑ n i ɑ
Դանիել	d ɑ n i j e l
Դանիելյան	d ɑ n i e l j ɑ n
Դանիիլ	d ɑ n i i l
Դանիշմենդյան	d ɑ n i ʃ m e n d j ɑ n
Դանուբ	d ɑ n u b
Դավթյան	d ɑ f tʰ j ɑ n
Դավիթ	d ɑ v i tʰ
Դարակչյան	d ɑ ɾ ɑ k t͡ʃʰ j ɑ n
Դարբինյան	d ɑ ɾ pʰ i n j ɑ n
Դարդանել	d ɑ ɾ d ɑ n e l
Դարեհ	d ɑ ɾ e h
Դաքա	d ɑ kʰ ɑ
Դաքեսյան	d ɑ kʰ e s j ɑ n
Դաքքա	d ɑ kʰ kʰ ɑ
Դեդեյան	d e d e j ɑ n
Դելի	d e l i
Դելփիք	d e l pʰ i kʰ
Դելֆիս	d e l f i s
Դեմիրճյան	d e m i ɾ t͡ʃ j ɑ n
Դեմոկրիտ	d e m o k ɾ i t
Դեմոսթենես	d e m o s tʰ e n e s
Դետրոյտ	d e t ɾ o j t
Դերենիկ	d e ɾ e n i k
Դի	d i
Դիանա	d i j ɑ n ɑ
Դիարբեքիր	d i j ɑ ɾ b e kʰ i ɾ
Դիլիջան	d i l i d͡ʒ ɑ n
Դիմատետր	d i m ɑ t e t ə ɾ
Դինգիլյան	d i n ɡ i l j ɑ n
Դիշչյան	d i ʃ t͡ʃʰ j ɑ n
Դիոգենես	d i j o ɡ e n e s
Դիոկղետիանոս	d i j o k ʁ e t i ɑ n o s
Դիոմեդես	d i o m e d e s
Դիոնիս	d i o n i s
Դիոնիսոս	d j o n i s o s
Դնեպր	d ə n e p ə ɾ
Դնեպրոպետրովսկ	d n e p ɾ o p e t ɾ o f s k
Դնեստր	d n e s t ə ɾ
Դնչիկ	d ə n t͡ʃʰ i k
Դոբրուջա	d o b ɾ u d͡ʒ ɑ
Դոլաշյան	d o l ɑ ʃ j ɑ n
Դոլմայան	d o l m ɑ j ɑ n
Դոլմաջյան	d o l m ɑ d͡ʒ j ɑ n
Դոհա	d o h ɑ
Դողրամաջյան	d o ʁ ɾ ɑ m ɑ d͡ʒ j ɑ n
Դոմինիկա	d o m i n i k ɑ
Դոմինիկոս	d o m i n i k o s
Դոն	d o n
Դոնդուրմաջյան	d o n d u ɾ m ɑ d͡ʒ j ɑ n
Դոնեցկ	d o n e t͡sʰ k
Դոնի	d o n i
Դորպատ	d o ɾ p ɑ t
Դուբայ	d u b ɑ j
Դուբլին	d u b l i n
Դուբոսար	d u b o s ɑ ɾ
Դուբոսարի	d u b o s ɑ ɾ i
Դուբրովնիկ	d u b ɾ o v n i k
Դուդուկչյան	d u d u k t͡ʃʰ j ɑ n
Դուշանբե	d u ʃ ɑ n b e
Դուրգարյան	d u ɾ ɡ ɑ ɾ j ɑ n
Դուք	d u kʰ
Դրասխանակերտ	d ɾ ɑ s χ ɑ n ɑ k e ɾ t
Դրաստամատ	d ə ɾ ɑ s t ɑ m ɑ t
Դևեջյան	d e v e d͡ʒ j ɑ n
Ե	e
Ե	j e
ԵԱՀԿ	j e ɑ h ə k ə
ԵԱՏՄ	j e ɑ t ə m ə
ԵԽ	j e χ ə
ԵՄ	j e m ə
ԵՊՀ	j e p ə h ə
ԵՏՄ	j e t ə m ə
Եգարյան	j e ɡ ɑ ɾ j ɑ n
Եգիպտոս	j e ɡ i p t o s
Եդեսիա	j e d e s i ɑ
Եզոպոս	j e z o p o s
Եզր	j e z ə ɾ
Եզրաս	j e z ɾ ɑ s
Եթովպիա	j e tʰ o f p i j ɑ
Եթովպիա	j e tʰ o f p i ɑ
Ելենա	j e l e n ɑ
Ելիզավետա	j e l i z ɑ v e t ɑ
Ելիսեյ	j e l i s e j
Ելցին	j e l t͡sʰ i n
Եկատերինբուրգ	j e k ɑ t e ɾ i n b u ɾ ɡ
Եկարյան	j e k ɑ ɾ j ɑ n
Եկբատան	j e k b ɑ t ɑ n
Եհովա	j e h o v ɑ
Եհովայի	j e h o v ɑ j i
Եղեգնաձոր	j e ʁ e ɡ n ɑ d͡z o ɾ
Եղիա	j e ʁ i ɑ
Եղիազար	j e ʁ i ɑ z ɑ ɾ
Եղիազարյան	j e ʁ i ɑ z ɑ ɾ j ɑ n
Եղիշե	j e ʁ i ʃ e
Եղիսաբեթ	j e ʁ i s ɑ b e tʰ
Եղիսե	j e ʁ i s e
Եմեն	j e m e n
Ենիսեյ	j e n i s e j
Եպիփանես	j e p i pʰ ɑ n e s
Եսայան	j e s ɑ j ɑ n
Եսայի	j e s ɑ j i
Եսավ	j e s ɑ v
Եսթեր	j e s tʰ e ɾ
Եվա	j e v ɑ
Եվգենի	j e v ɡ e n i
Եվգենիոս	j e v ɡ e n i o s
Եվգենյա	j e v ɡ e n j ɑ
Եվսեբիոս	j e f s e b j o s
Եվրախորհուրդ	j e v ɾ ɑ χ o ɾ u ɾ tʰ
Եվրախորհրդարան	j e v ɾ ɑ χ o ɾ ə ɾ tʰ ɑ ɾ ɑ n
Եվրահանձնաժողով	j e v ɾ ɑ h ɑ n d͡z n ɑ ʒ o ʁ o v
Եվրամիություն	j e v ɾ ɑ m i u tʰ j u n
Եվրասիա	j e v ɾ ɑ s i ɑ
Եվրատեսիլ	j e v ɾ ɑ t e s i l
Եվրիպիդես	j e v ɾ i p i d e s
Եվրոպա	j e v ɾ o p ɑ
Եվրոպայի	j e v ɾ o p ɑ j i
Եվրոպայում	j e v ɾ o p ɑ j u m
Երազգավորս	j e ɾ ɑ z ɡ ɑ v o ɾ s
Երասխ	j e ɾ ɑ s χ
Երեմեյ	j e ɾ e m e j
Երեմիա	j e ɾ e m i ɑ
Երեմյան	j e ɾ e m j ɑ n
Երիմանթոս	j e ɾ i m ɑ n tʰ o s
Երիքով	j e ɾ i kʰ o v
Երկիր	j e ɾ k i ɾ
Երկվորյակներ	j e ɾ k v o ɾ j ɑ k n e ɾ
Երուսաղեմ	j e ɾ u s ɑ ʁ e m
Երվազ	j e ɾ v ɑ z
Երվանդ	j e ɾ v ɑ n d
Երվինյան	j e ɾ v i n j ɑ n
Երևակ	j e ɾ e v ɑ k
Երևան	j e ɾ e v ɑ n
Եփեսոս	j e pʰ e s o s
Եփրատ	j e pʰ ɾ ɑ t
Եփրեմ	j e pʰ ɾ e m
Եֆրեմ	j e f ɾ e m
Զ	z ə
ԶԼՄ	z ə l ə m ə
Զագրեբ	z ɑ ɡ ɾ e b
Զադոյան	z ɑ d o j ɑ n
Զալցբուրգ	z ɑ l t͡sʰ b u ɾ ɡ
Զախար	z ɑ χ ɑ ɾ
Զախարի	z ɑ χ ɑ ɾ i
Զախարյան	z ɑ χ ɑ ɾ j ɑ n
Զամբիա	z ɑ m b i ɑ
Զանգի	z ɑ n ɡ i
Զապորոժիե	z ɑ p o ɾ o ʒ i e
Զավեն	z ɑ v e n
Զավզավաթճյան	z ɑ v z ɑ v ɑ tʰ t͡ʃ j ɑ n
Զարդարյան	z ɑ ɾ tʰ ɑ ɾ j ɑ n
Զարեհ	z ɑ ɾ e h
Զարմանյան	z ɑ ɾ m ɑ n j ɑ n
Զարուհի	z ɑ ɾ u h i
Զաքարիա	z ɑ kʰ ɑ ɾ i ɑ
Զաքարյան	z ɑ kʰ ɑ ɾ j ɑ n
Զեմպերեկճյան	z e m p e ɾ e k t͡ʃ j ɑ n
Զեմպերեքճյան	z e m p e ɾ e kʰ t͡ʃ j ɑ n
Զեմֆիրա	z e m f i ɾ ɑ
Զեյնալյան	z e j n ɑ l j ɑ n
Զենճիրճյան	z e n t͡ʃ i ɾ t͡ʃ j ɑ n
Զենոն	z e n o n
Զենջիրջյան	z e n d͡ʒ i ɾ d͡ʒ j ɑ n
Զեփյուռ	z e pʰ j u r
Զիլճյան	z i l t͡ʃ j ɑ n
Զիմբաբվե	z i m b ɑ b v e
Զինճիրճյան	z i n t͡ʃ i ɾ t͡ʃ j ɑ n
Զինջիրջյան	z i n d͡ʒ i ɾ d͡ʒ j ɑ n
Զմյուռնիա	z m j u r n i ɑ
Զոհրաբ	z o h ɾ ɑ b
Զոյա	z o j ɑ
Զորաբաբել	z o ɾ ɑ b ɑ b e l
Զորիկ	z o ɾ i k
Զվարթ	z ə v ɑ ɾ tʰ
Զրադաշտ	z ə ɾ ɑ d ɑ ʃ t
Զևս	z e f s
Զևքսիս	z e f kʰ s i s
Է	e
Էբերդին	e b e ɾ d i n
Էդգար	e d ɡ ɑ ɾ
Էդեսսա	e d e s s ɑ
Էդմոն	e d m o n
Էդո	e d o
Էդուլ	e d u l
Էդուլիկ	e d u l i k
Էդվարդ	e d v ɑ ɾ tʰ
Էլար	e l ɑ ɾ
Էլբակյան	e l b ɑ k j ɑ n
Էլեն	e l e n
Էլեքճյան	e l e kʰ t͡ʃ j ɑ n
Էլզաս	e l z ɑ s
Էլիստա	e l i s t ɑ
Էլչիբեյ	e l t͡ʃʰ i b e j
Էկվադոր	e k v ɑ d o ɾ
Էմիլ	e m i l
Էմին	e m i n
Էմպեդոկլես	e m p e d o k l e s
Էյերճյան	e j e ɾ t͡ʃ j ɑ n
Էնգելս	e n ɡ e l s
Էնֆիաջյան	e n f i j ɑ d͡ʒ j ɑ n
Էնֆիեճյան	e n f i j e t͡ʃ j ɑ n
Էպիկուր	e p i k u ɾ
Էպիրոս	e p i ɾ o s
Էջմիածին	e t͡ʃʰ m i ɑ t͡s i n
Էջմիածին	e t͡ʃʰ m j ɑ t͡s i n
Էստոնիա	e s t o n i ɑ
Էսքիլես	e s kʰ i l e s
Էսքիլոս	e s kʰ i l o s
Էվրիպիդես	e v ɾ i p i d e s
Էրեբունի	e ɾ e b u n i
Էրզրում	e ɾ z ə ɾ u m
Էրիկ	e ɾ i k
Էրիտրեա	e ɾ i t ɾ e ɑ
Էրոս	e ɾ o s
Էքմեքջյան	e kʰ m e kʰ d͡ʒ j ɑ n
Էքսերճյան	e kʰ s e ɾ t͡ʃ j ɑ n
Էքսերջյան	e kʰ s e ɾ d͡ʒ j ɑ n
Ը	ə
Թ	tʰ ə
Թադևոսյան	tʰ ɑ tʰ e v o s j ɑ n
Թաթարստան	tʰ ɑ tʰ ɑ ɾ s t ɑ n
Թաթուլ	tʰ ɑ tʰ u l
Թաթուլյան	tʰ ɑ tʰ u l j ɑ n
Թաիլանդ	tʰ ɑ j l ɑ n d
Թալես	tʰ ɑ l e s
Թալիբան	tʰ ɑ l i b ɑ n
Թալին	tʰ ɑ l i n
Թախտաջյան	tʰ ɑ χ t ɑ d͡ʒ j ɑ n
Թահաթ	tʰ ɑ h ɑ tʰ
Թահմազ	tʰ ɑ h m ɑ z
Թահմազյան	tʰ ɑ h m ɑ z j ɑ n
Թամիլնադ	tʰ ɑ m i l n ɑ d
Թայբեյ	tʰ ɑ j b e j
Թայմիր	tʰ ɑ j m i ɾ
Թայվան	tʰ ɑ j v ɑ n
Թաշճյան	tʰ ɑ ʃ t͡ʃ j ɑ n
Թասլաքյան	tʰ ɑ s l ɑ kʰ j ɑ n
Թավուքճյան	tʰ ɑ v u kʰ t͡ʃ j ɑ n
Թավրիզ	tʰ ɑ v ɾ i z
Թարախչյան	tʰ ɑ ɾ ɑ χ t͡ʃʰ j ɑ n
Թարթառ	tʰ ɑ ɾ tʰ ɑ r
Թարխանյան	tʰ ɑ ɾ χ ɑ n j ɑ n
Թբիլիսի	tʰ ə b i l i s i
Թեբե	tʰ e b e
Թելավ	tʰ e l ɑ v
Թելավի	tʰ e l ɑ v i
Թելֆեյան	tʰ e l f e j ɑ n
Թեհրան	tʰ e h ɾ ɑ n
Թեմզա	tʰ e m z ɑ
Թենեդոս	tʰ e n e d o s
Թեոգնիդես	tʰ e o ɡ n i d e s
Թեոդոսիա	tʰ e o d o s i ɑ
Թեսալիա	tʰ e s ɑ l i ɑ
Թեսևս	tʰ e s e f s
Թերմոպիլե	tʰ e ɾ m o p i l e
Թեքսաս	tʰ e kʰ s ɑ s
Թթուջուր	tʰ ə tʰ u d͡ʒ u ɾ
Թիֆլիս	tʰ i f l i s
Թհիմփհու	tʰ h i m pʰ h u
Թյուլպենտճյան	tʰ j u l p e n t t͡ʃ j ɑ n
Թյուրինգիա	tʰ j u ɾ i n ɡ i ɑ
Թոմաս	tʰ o m ɑ s
Թոմասյան	tʰ o m ɑ s j ɑ n
Թովմաս	tʰ o v m ɑ s
Թովմասյան	tʰ o v m ɑ s j ɑ n
Թորգոմ	tʰ o ɾ ɡ o m
Թորոյան	tʰ o ɾ o j ɑ n
Թորոս	tʰ o ɾ o s
Թորոսյան	tʰ o ɾ o s j ɑ n
Թուզճյան	tʰ u z t͡ʃ j ɑ n
Թութունճյան	tʰ u tʰ u n t͡ʃ j ɑ n
Թութունջյան	tʰ u tʰ u n d͡ʒ j ɑ n
Թուլումբաջյան	tʰ u l u m b ɑ d͡ʒ j ɑ n
Թուլումպաճյան	tʰ u l u m p ɑ t͡ʃ j ɑ n
Թուկիդիդես	tʰ u k i d i d e s
Թուղլաճյան	tʰ u ʁ l ɑ t͡ʃ j ɑ n
Թուն	tʰ u n
Թունիս	tʰ u n i s
Թուրին	tʰ u ɾ i n
Թուրքեստան	tʰ u ɾ kʰ e s t ɑ n
Թուրքիա	tʰ u ɾ kʰ i ɑ
Թուրքմենստան	tʰ u ɾ kʰ m e n s t ɑ n
Թոփալյան	tʰ o pʰ ɑ l j ɑ n
Թոփուզյան	tʰ o pʰ u z j ɑ n
Թռփանճյան	tʰ ə r pʰ ɑ n t͡ʃ j ɑ n
Թվիթեր	tʰ v i tʰ e ɾ
Թրակիա	tʰ ə ɾ ɑ k i ɑ
Թրամփ	tʰ ə ɾ ɑ m pʰ
Թրփանճյան	tʰ ə ɾ pʰ ɑ n t͡ʃ j ɑ n
Ժ	ʒ ə
Ժամկոչյան	ʒ ɑ m k o t͡ʃʰ j ɑ n
Ժընև	ʒ ə n e v
Ժիրայր	ʒ i ɾ ɑ j ɾ
Ժնև	ʒ n e v
Ժնև	ʒ ə n e v
Ժորա	ʒ o ɾ ɑ
Ի	i
ԻԻՀ	i i h ə
Իբիկոս	i b i k o s
Իգնատի	i ɡ n ɑ t i
Իգնատիոս	i ɡ n ɑ t i o s
Իզմիր	i z m i ɾ
Իթակե	i tʰ ɑ k e
Իժևսկ	i ʒ e f s k
Իլանջյան	i l ɑ n d͡ʒ j ɑ n
Իլիոն	i l i j o n
Իլլիրիա	i l l i ɾ i ɑ
Իլհամ	i l h ɑ m
Իլյա	i l j ɑ
Իլով	i l o v
Իմերեթ	i m e ɾ e tʰ
Իմերեթիա	i m e ɾ e tʰ i ɑ
Իյնեճյան	i j n e t͡ʃ j ɑ n
Ինգա	i n ɡ ɑ
Ինգուշեթիա	i n ɡ u ʃ e tʰ i ɑ
Ինգուշիա	i n ɡ u ʃ i ɑ
Ինդոնեզիա	i n d o n e z i ɑ
Ինդոս	i n d o s
Ինդոստան	i n d o s t ɑ n
Ինեքճյան	i n e kʰ t͡ʃ j ɑ n
Ինճիճյան	i n t͡ʃ i t͡ʃ j ɑ n
Ինստագրամ	i n s t ɑ ɡ ɾ ɑ m
Իշխանյան	i ʃ χ ɑ n j ɑ n
Իջևան	i d͡ʒ e v ɑ n
Իռլանդիա	i r l ɑ n d i ɑ
Իսախանյան	i s ɑ χ ɑ n j ɑ n
Իսահակ	i s ɑ h ɑ k
Իսլամաբադ	i s l ɑ m ɑ b ɑ d
Իսլանդիա	i s l ɑ n d i ɑ
Իսկանդարյան	i s k ɑ n d ɑ ɾ j ɑ n
Իսկեճյան	i s k e t͡ʃ j ɑ n
Իսմայիլի	i s m ɑ j i l i
Իսպանիա	i s p ɑ n i ɑ
Իսսոս	i s s o s
Իսրայել	i s ɾ ɑ j e l
Իսրայելյան	i s ɾ ɑ j e l j ɑ n
Իսքեճյան	i s kʰ e t͡ʃ j ɑ n
Իվան	i v ɑ n
Իվանե	i v ɑ n e
Իվանովո	i v ɑ n o v o
Իտալիա	i t ɑ l i ɑ
Իտանագար	i t ɑ n ɑ ɡ ɑ ɾ
Իրան	i ɾ ɑ n
Իրաք	i ɾ ɑ kʰ
Իրկուտսկ	i ɾ k u t s k
Իփիգենիա	i pʰ i ɡ e n i ɑ
Իֆիգենիա	i f i ɡ e n i ɑ
Լ	l ə
ԼՂԻՄ	l ə ʁ i m
ԼՂՀ	l ə ʁ ə h ə
Լադոգա	l ɑ d o ɡ ɑ
Լաթաքիա	l ɑ tʰ ɑ kʰ i ɑ
Լայպցիգ	l ɑ j p t͡sʰ i ɡ
Լաոս	l ɑ o s
Լատիոն	l ɑ t i j o n
Լատվիա	l ɑ t v i ɑ
Լացիում	l ɑ t͡sʰ i j u m
Լեհաստան	l e h ɑ s t ɑ n
Լեյդեն	l e j d e n
Լենա	l e n ɑ
Լենին	l e n i n
Լենինական	l e n i n ɑ k ɑ n
Լենինգրադ	l e n i n ɡ ɾ ɑ d
Լեռնիկ	l e r n i k
Լեսբոս	l e s b o s
Լեսոթո	l e s o tʰ o
Լեստեր	l e s t e ɾ
Լիանա	l i ɑ n ɑ
Լիբանան	l i b ɑ n ɑ n
Լիբերիա	l i b e ɾ i ɑ
Լիբիա	l i b i ɑ
Լիբրևիլ	l i b ɾ e v i l
Լիգուրիա	l i ɡ u ɾ i ɑ
Լիլիթ	l i l i tʰ
Լիլոնգվե	l i l o n ɡ v e
Լիխտենշտեյն	l i χ t e n ʃ t e j n
Լիկիա	l i k i ɑ
Լիմա	l i m ɑ
Լիմասոլ	l i m ɑ s o l
Լիմպոպո	l i m p o p o
Լինց	l i n t͡sʰ
Լիոն	l i o n
Լիպարիտ	l i p ɑ ɾ i t
Լիպարիտյան	l i p ɑ ɾ i t j ɑ n
Լիպեցկ	l i p e t͡sʰ k
Լիսաբոն	l i s ɑ b o n
Լիվերպուլ	l i v e ɾ p u l
Լիտվա	l i t v ɑ
Լճաշեն	l ə t͡ʃ ɑ ʃ e n
Լյուբլյանա	l j u b l j ɑ n ɑ
Լյուդովիկոս	l j u d o v i k o s
Լյուդվիգ	l j u d v i ɡ
Լյուլեճյան	l j u l e t͡ʃ j ɑ n
Լյուկիա	l j u k i ɑ
Լյուրիկե	l j u ɾ i k e
Լյուքսեմբուրգ	l j u kʰ s e m b u ɾ ɡ
Լոզան	l o z ɑ n
Լոթարինգիա	l o tʰ ɑ ɾ i n ɡ i ɑ
Լոկրիս	l o k ɾ i s
Լոձ	l o d͡z
Լոնդոն	l o n d o n
Լոռի	l o r i
Լոս	l o s
Լուանդա	l u ɑ n d ɑ
Լուար	l u ɑ ɾ
Լուարա	l u ɑ ɾ ɑ
Լուգանսկ	l u ɡ ɑ n s k
Լուդովիկոս	l u d o v i k o s
Լութեր	l u tʰ e ɾ
Լուսաբեր	l u s ɑ b e ɾ
Լուսին	l u s i n
Լուսինե	l u s i n e
Լուսինյան	l u s i n j ɑ n
Լուսնթագ	l u s ə n tʰ ɑ ɡ
Լուսո	l u s o
Լուվեն	l u v e n
Լոքանթաճյան	l o kʰ ɑ n tʰ ɑ t͡ʃ j ɑ n
Լվով	l v o v
Լևանտ	l e v ɑ n t
Լևոն	l e v o n
Լևոնյան	l e v o n j ɑ n
Խ	χ ə
ԽՍՀՄ	χ ə s ə h ə m
ԽՍՀՄ	χ ə s ə h ə m ə
Խաբարովսկ	χ ɑ b ɑ ɾ o f s k
Խադ	χ ɑ d
Խազոյան	χ ɑ z o j ɑ n
Խաժակ	χ ɑ ʒ ɑ k
Խալաճյան	χ ɑ l ɑ t͡ʃ j ɑ n
Խալըճյան	χ ɑ l ə t͡ʃ j ɑ n
Խաղխաղ	χ ɑ ʁ χ ɑ ʁ
Խանճյան	χ ɑ n t͡ʃ j ɑ n
Խանջյան	χ ɑ n d͡ʒ j ɑ n
Խաչանյան	χ ɑ t͡ʃʰ ɑ n j ɑ n
Խաչատուր	χ ɑ t͡ʃʰ ɑ t u ɾ
Խաչատրյան	χ ɑ t͡ʃʰ ɑ t ə ɾ j ɑ n
Խաչիկ	χ ɑ t͡ʃʰ i k
Խաչիկյան	χ ɑ t͡ʃʰ i k j ɑ n
Խաչիյան	χ ɑ t͡ʃʰ i j ɑ n
Խաչո	χ ɑ t͡ʃʰ o
Խառան	χ ɑ r ɑ n
Խառատյան	χ ɑ r ɑ t j ɑ n
Խարաճճյան	χ ɑ ɾ ɑ t͡ʃ t͡ʃ j ɑ n
Խարբերդ	χ ɑ ɾ b e ɾ tʰ
Խարկով	χ ɑ ɾ k o v
Խեցգետին	χ e t͡sʰ ɡ e t i n
Խոյ	χ o j
Խոսրով	χ o s ɾ o v
Խոսրովյան	χ o s ɾ o v j ɑ n
Խորեն	χ o ɾ e n
Խորենյան	χ o ɾ e n j ɑ n
Խորխոռունի	χ o ɾ χ o r u n i
Խորվաթիա	χ o ɾ v ɑ tʰ i ɑ
Խուդավերդյան	χ u d ɑ v e ɾ d j ɑ n
Խուրշուդյան	χ u ɾ ʃ u d j ɑ n
Խչո	χ ə t͡ʃʰ o
Խրիմ	χ ə ɾ i m
Խրլոպյան	χ ə ɾ l o p j ɑ n
Խրուշչով	χ ɾ u ʃ t͡ʃʰ o v
Ծ	t͡s ə
Ծաղկազարդ	t͡s ɑ χ k ɑ z ɑ ɾ tʰ
Ծաղկոտն	t͡s ɑ χ k o t ə n
Ծառուկ	t͡s ɑ r u k
Ծառուկյան	t͡s ɑ r u k j ɑ n
Ծատուրյան	t͡s ɑ t u ɾ j ɑ n
Ծղուկ	t͡s ə ʁ u k
Ծովակ	t͡s o v ɑ k
Ծոփք	t͡s o pʰ kʰ
Կ	k ə
ԿԸՀ	k ə ə h ə
Կաբակչյան	k ɑ b ɑ k t͡ʃʰ j ɑ n
Կադիս	k ɑ d i s
Կազան	k ɑ z ɑ n
Կալաձե	k ɑ l ɑ d͡z e
Կալինին	k ɑ l i n i n
Կալինինգրադ	k ɑ l i n i n ɡ ɾ ɑ d
Կալիֆոռնիա	k ɑ l i f o r n i ɑ
Կալլինոս	k ɑ l l i n o s
Կալկաթա	k ɑ l k ɑ tʰ ɑ
Կալուգա	k ɑ l u ɡ ɑ
Կալվին	k ɑ l v i n
Կակոսյան	k ɑ k o s j ɑ n
Կահիրե	k ɑ h i ɾ e
Կամա	k ɑ m ɑ
Կամբոջա	k ɑ m b o d͡ʒ ɑ
Կամերուն	k ɑ m e ɾ u n
Կամո	k ɑ m o
Կամչատկա	k ɑ m t͡ʃʰ ɑ t k ɑ
Կամպալա	k ɑ m p ɑ l ɑ
Կամպուչիա	k ɑ m p u t͡ʃʰ i ɑ
Կամսար	k ɑ m s ɑ ɾ
Կանադա	k ɑ n ɑ d ɑ
Կանբեռա	k ɑ n b e r ɑ
Կանբերա	k ɑ n b e ɾ ɑ
Կանն	k ɑ n n
Կաննե	k ɑ n n e
Կաունաս	k ɑ u n ɑ s
Կապադովկիա	k ɑ p ɑ d o f k i ɑ
Կապան	k ɑ p ɑ n
Կապիտոլիում	k ɑ p i t o l i j u m
Կապուտան	k ɑ p u t ɑ n
Կապուտյան	k ɑ p u t j ɑ n
Կառլեն	k ɑ r l e n
Կառնատակա	k ɑ r n ɑ t ɑ k ɑ
Կասյան	k ɑ s j ɑ n
Կասպարյան	k ɑ s p ɑ ɾ j ɑ n
Կասպք	k ɑ s p kʰ
Կատալոնիա	k ɑ t ɑ l o n i ɑ
Կատար	k ɑ t ɑ ɾ
Կատմանդու	k ɑ t m ɑ n d u
Կարագանդա	k ɑ ɾ ɑ ɡ ɑ n d ɑ
Կարակաշյան	k ɑ ɾ ɑ k ɑ ʃ j ɑ n
Կարակաս	k ɑ ɾ ɑ k ɑ s
Կարայան	k ɑ ɾ ɑ j ɑ n
Կարապետ	k ɑ ɾ ɑ p e t
Կարապետյան	k ɑ ɾ ɑ p e t j ɑ n
Կարապետյան	k ɑ ɾ ɑ p e t͡s j ɑ n
Կարելիա	k ɑ ɾ e l i ɑ
Կարեն	k ɑ ɾ e n
Կարթագեն	k ɑ ɾ tʰ ɑ ɡ e n
Կարթաձուկ	k ɑ ɾ tʰ ɑ d͡z u k
Կարիա	k ɑ ɾ i ɑ
Կարիճ	k ɑ ɾ i t͡ʃ
Կարին	k ɑ ɾ i n
Կարո	k ɑ ɾ o
