अ	ə
पवनचक्की	p ə ʋ ə n t͡ɕ ə k k i
पवित्र	p ə ʋ i t̪ ɾ ə
पशू	p ə ɕ u
पश्चाताप	p ə ɕ t͡ɕ a t̪ a p
पश्चिम	p ə ɕ t͡ɕ i m
पसंत	p ə s ə n t̪ ə
पसंती	p ə s ə n t̪ i
पसरणे	p ə s ə ɾ ɳ e
पसरणे	p ə s ə ɾ ɳ ə
पसारा	p ə s a ɾ a
पस्तावणे	p ə s t̪ a ʋ ɳ e
पस्तावणे	p ə s t̪ a ʋ ɳ ə
पस्तीस	p ə s t̪ i s
पहाट	p ə ɦ a ʈ
पहिले	p ə ɦ i l e
पांगणे	p a ŋ ɡ ə ɳ e
पांगणे	p a ŋ ɡ ə ɳ ə
पांघरणे	p a ŋ ɡʱ ə ɾ ɳ e
पांघरणे	p a ŋ ɡʱ ə ɾ ɳ ə
पांघरुणे	p a ŋ ɡʱ ɾ u ɳ e
पांघरुणे	p a ŋ ɡʱ ɾ u ɳ ə
पांघरूण	p a ŋ ɡʱ ɾ u ɳ
पांजरा	p a n d͡ʑ ɾ a
पांडव	p a ɳ ɖ ə ʋ
पांड्या	p a ɳ ɖ j a
पांढरा	p a ɳ ɖʱ ɾ a
पांढरे	p a ɳ ɖʱ ɾ e
पांढरे	p a ɳ ɖʱ ɾ ə
पाऊल	p a u l
पाऊलखूण	p a u l kʰ u ɳ
पाऊस	p a u s
पाक	p a k
पाकळी	p a k ɭ̆ i
पाकिस्तान	p a k i s t̪ a n
पाखरू	p a kʰ ɾ u
पाखरे	p a kʰ ɾ e
पाखरे	p a kʰ ɾ ə
पागल	p a ɡ ə l
पाघळणे	p a ɡʱ ə ɭ̆ ɳ e
पाघळणे	p a ɡʱ ə ɭ̆ ɳ ə
पाच	p a t͡s
पाजणे	p a d͡z ɳ e
पाजणे	p a d͡z ɳ ə
पाझर	p a d͡zʱ ə ɾ
पाझरणे	p a d͡zʱ ə ɾ ɳ e
पाझरणे	p a d͡zʱ ə ɾ ɳ ə
पाटलीण	p a ʈ l i ɳ
पाटील	p a ʈ i l
पाठ	p a ʈʰ
पाठवणे	p a ʈʰ ə ʋ ɳ e
पाठवणे	p a ʈʰ ə ʋ ɳ ə
पाठ्यपुस्तक	p a ʈʰ j ə p u s t̪ ə k
पाडणे	p a ɖ ɳ e
पाडणे	p a ɖ ɳ ə
पाडवणे	p a ɖ ə ʋ ɳ e
पाडवणे	p a ɖ ə ʋ ɳ ə
पाडवा	p a ɖ ʋ a
पाडवा	p a ɖ ʋ ə
पाणउतारा	p a ɳ ə u t̪ a ɾ a
पाणावणे	p a ɳ a ʋ ɳ e
पाणावणे	p a ɳ a ʋ ɳ ə
पाणि	p a ɳ i
पाणी	p a ɳ i
पाणीपातळी	p a ɳ i p a t̪ ɭ̆ i
पाणीपुरवठा	p a ɳ i p u ɾ ə ʋ ʈʰ a
पातळ	p a t̪ ə ɭ̆
पातळी	p a t̪ ɭ̆ i
पाताल	p a t̪ a l
पाताळ	p a t̪ a ɭ̆
पात्रता	p a t̪ ɾ ə t̪ a
पादणे	p a d̪ ɳ e
पादणे	p a d̪ ɳ ə
पाद्री	p a d̪ ɾ i
पान	p a n
पाने	p a n e
पाने	p a n ə
पाप	p a p
पापा	p a p a
पापी	p a p i
पाय	p a j
पायथा	p a j t̪ʰ a
पायपुसणे	p a j p u s ɳ e
पायपुसणे	p a j p u s ɳ ə
पायरी	p a j ɾ i
पायवाट	p a j ʋ a ʈ
पाया	p a j a
पायाभूत	p a j a bʱ u t̪
पारखणे	p a ɾ ə kʰ ɳ e
पारखणे	p a ɾ ə kʰ ɳ ə
पारवा	p a ɾ ʋ a
पारशी	p a ɾ ɕ i
पारा	p a ɾ a
पारिभाषिक	p a ɾ i bʱ a ʂ i k
पारिवारिक	p a ɾ i ʋ a ɾ i k
पारोसे	p a ɾ o s e
पारोसे	p a ɾ o s ə
पार्वती	p a ɾ ʋ ə t̪ i
पार्श्वगायक	p a ɾ ɕ ʋ ə ɡ a j ə k
पार्श्वगायिका	p a ɾ ɕ ʋ ə ɡ a j i k a
पार्श्वभूमी	p a ɾ ɕ ʋ ə bʱ u m i
पाल	p a l
पालक	p a l ə k
पालखी	p a l kʰ i
पालटणे	p a l ə ʈ ɳ e
पालटणे	p a l ə ʈ ɳ ə
पाळणा	p a ɭ̆ ɳ a
पाळणे	p a ɭ̆ ɳ e
पाळणे	p a ɭ̆ ɳ ə
पाळी	p a ɭ̆ i
पाव	p a ʋ
पावित्र्य	p a ʋ i t̪ ɾ j ə
पासपोर्ट	p a s p o ɾ ʈ
पाहणे	p a ɦ ɳ e
पाहणे	p a ɦ ɳ ə
पाहुणा	p a ɦ u ɳ a
पिंजरा	p i n d͡z ɾ a
पिक्चर	p i k t͡ɕ ə ɾ
पिझ्झा	p i d͡z d͡zʱ a
पिठी	p i ʈʰ i
पितळ	p i t̪ ə ɭ̆
पिता	p i t̪ a
पिल्लू	p i l l u
पिळणे	p i ɭ̆ ɳ e
पिळणे	p i ɭ̆ ɳ ə
पिवळा	p i ʋ ɭ̆ a
पिशवी	p i ɕ ʋ i
पिशव्या	p i ɕ ə ʋ j a
पिसणे	p i s ɳ e
पिसणे	p i s ɳ ə
पिसारा	p i s a ɾ a
पिसुरडा	p i s u ɾ ɖ a
पिस्ता	p i s t̪ a
पीटिका	p i ʈ i k a
पीठ	p i ʈʰ
पील	p i l
पीस	p i s
पुठ्ठा	p u ʈ ʈʰ a
पुडा	p u ɖ a
पुडी	p u ɖ i
पुडे	p u ɖ e
पुडे	p u ɖ ə
पुड्या	p u ɖ j a
पुढे	p u ɖʱ e
पुणे	p u ɳ e
पुतण्या	p u t̪ ə ɳ j a
पुतळा	p u t̪ ɭ̆ a
पुनव	p u n ə ʋ
पुनावाला	p u n a ʋ a l a
पुन्हा	p u nʱ a
पुरचुंडी	p u ɾ t͡ɕ u ɳ ɖ i
पुरणे	p u ɾ ɳ e
पुरणे	p u ɾ ɳ ə
पुरते	p u ɾ t̪ e
पुरते	p u ɾ t̪ ə
पुरवठा	p u ɾ ə ʋ ʈʰ a
पुरस्कार	p u ɾ ə s k a ɾ
पुराणे	p u ɾ a ɳ e
पुराणे	p u ɾ a ɳ ə
पुरावा	p u ɾ a ʋ a
पुरीम	p u ɾ i m
पुरुष	p u ɾ u ʂ
पुरुषत्व	p u ɾ u ʂ ə t̪ ʋ ə
पुरे	p u ɾ e
पुल्लिंग	p u l l i ŋ ɡ ə
पुष्कलावती	p u ʂ k ə l a ʋ ə t̪ i
पुसणे	p u s ɳ e
पुसणे	p u s ɳ ə
पुस्तक	p u s t̪ ə k
पुस्तकालय	p u s t̪ ə k a l ə j
पुस्तके	p u s t̪ ə k e
पुस्तके	p u s t̪ ə k ə
पुस्तिका	p u s t̪ i k a
पूड	p u ɖ
पूनावाला	p u n a ʋ a l a
पूर	p u ɾ
पूर्ण	p u ɾ ɳ ə
पूर्णांक	p u ɾ ɳ a ŋ k ə
पूर्व	p u ɾ ʋ ə
पूर्वज	p u ɾ ʋ ə d͡ʑ
पूर्वाश्रम	p u ɾ ʋ a ɕ ɾ ə m
पृथ्वी	p ɾ u t̪ʰ ʋ i
पृथ्व्या	p ɾ u t̪ʰ ʋ j a
पॅरिस	p æ ɾ i s
पेक्षा	p e k ʂ a
पेज	p e d͡z
पेटी	p e ʈ i
पेठ	p e ʈʰ
पेढा	p e ɖʱ a
पेढी	p e ɖʱ i
पेढ्या	p e ɖʱ j a
पेरणे	p e ɾ ɳ e
पेरणे	p e ɾ ɳ ə
पेरू	p e ɾ u
पेलणे	p e l ɳ e
पेलणे	p e l ɳ ə
पेला	p e l a
पेशी	p e ɕ i
पेशीय	p e ɕ i j ə
पेसाह	p e s a ɦ
पेहलवान	p e ɦ ə l ʋ a n
पैंजण	p ə i n d͡ʑ ə ɳ
पैका	p ə i k a
पैज	p ə i d͡z
पैदा	p ə i d̪ a
पैसा	p ə i s a
पोकळ	p o k ə ɭ̆
पोक्त	p o k t̪ ə
पोचणे	p o t͡ɕ ɳ e
पोचणे	p o t͡ɕ ɳ ə
पोचवणे	p o t͡ɕ ə ʋ ɳ e
पोचवणे	p o t͡ɕ ə ʋ ɳ ə
पोट	p o ʈ
पोटरी	p o ʈ ɾ i
पोत	p o t̪
पोते	p o t̪ e
पोते	p o t̪ ə
पोतेरे	p o t̪ e ɾ e
पोतेरे	p o t̪ e ɾ ə
पोपटी	p o p ʈ i
पोलीस	p o l i s
पोळपाट	p o ɭ̆ p a ʈ
पोळी	p o ɭ̆ i
पोवाडा	p o ʋ a ɖ a
पोशाख	p o ɕ a kʰ
पोषाख	p o ʂ a kʰ
पोहणे	p o ɦ ɳ e
पोहणे	p o ɦ ɳ ə
पोहोचणे	p o ɦ o t͡ɕ ɳ e
पोहोचणे	p o ɦ o t͡ɕ ɳ ə
पोहोचवणे	p o ɦ o t͡ɕ ə ʋ ɳ e
पोहोचवणे	p o ɦ o t͡ɕ ə ʋ ɳ ə
प्यादे	p j a d̪ e
प्यादे	p j a d̪ ə
प्यार	p j a ɾ
प्रकरण	p ɾ ə k ɾ ə ɳ
प्रकार	p ɾ ə k a ɾ
प्रकाशक	p ɾ ə k a ɕ ə k
प्रकाशणे	p ɾ ə k a ɕ ɳ e
प्रकाशणे	p ɾ ə k a ɕ ɳ ə
प्रकाशन	p ɾ ə k a ɕ ə n
प्रकृती	p ɾ ə k ɾ u t̪ i
प्रचंड	p ɾ ə t͡ɕ ə ɳ ɖ ə
प्रजासत्ताक	p ɾ ə d͡ʑ a s ə t̪ t̪ a k
प्रणाली	p ɾ ə ɳ a l i
प्रतिकार	p ɾ ə t̪ i k a ɾ
प्रतिक्रिया	p ɾ ə t̪ i k ɾ i j a
प्रतिज्ञा	p ɾ ə t̪ i d͡ʑ n a
प्रतिध्वनी	p ɾ ə t̪ i d̪ʱ ʋ ə n i
प्रतिनिधित्व	p ɾ ə t̪ i n i d̪ʱ i t̪ ʋ ə
प्रतिनिधी	p ɾ ə t̪ i n i d̪ʱ i
प्रतिमा	p ɾ ə t̪ i m a
प्रतिशब्द	p ɾ ə t̪ i ɕ ə b d̪ ə
प्रत्यंचा	p ɾ ə t̪ j ə n t͡ɕ a
प्रत्यय	p ɾ ə t̪ j ə j
प्रत्येक	p ɾ ə t̪ j e k
प्रथिन	p ɾ ə t̪ʰ i n
प्रथिने	p ɾ ə t̪ʰ i n e
प्रथिने	p ɾ ə t̪ʰ i n ə
प्रदक्षिणा	p ɾ ə d̪ ə k ʂ i ɳ a
प्रदेश	p ɾ ə d̪ e ɕ
प्रदोष	p ɾ ə d̪ o ʂ
प्रधान	p ɾ ə d̪ʱ a n
प्रबोधिका	p ɾ ə b o d̪ʱ i k a
प्रभा	p ɾ ə bʱ a
प्रभाव	p ɾ ə bʱ a ʋ
प्रभुत्व	p ɾ ə bʱ u t̪ ʋ ə
प्रमाण	p ɾ ə m a ɳ
प्रमाद	p ɾ ə m a d̪
प्रयोजन	p ɾ ə j o d͡ʑ ə n
प्रलोभन	p ɾ ə l o bʱ ə n
प्रवचन	p ɾ ə ʋ t͡ɕ ə n
प्रवास	p ɾ ə ʋ a s
प्रवाह	p ɾ ə ʋ a ɦ
प्रवेश	p ɾ ə ʋ e ɕ
प्रशंसनीय	p ɾ ə ɕ ə u s n i j
प्रशंसा	p ɾ ə ɕ ə u s a
प्रशांत	p ɾ ə ɕ a n t̪ ə
प्रश्न	p ɾ ə ɕ n ə
प्रश्नचिन्ह	p ɾ ə ɕ n ə t͡ɕ i nʱ ə
प्रसंग	p ɾ ə s ə ŋ ɡ ə
प्रसन्न	p ɾ ə s ə n n ə
प्रसाद	p ɾ ə s a d̪
प्रसिद्धी	p ɾ ə s i d̪ d̪ʱ i
प्रहार	p ɾ ə ɦ a ɾ
प्राकृत	p ɾ a k ɾ u t̪
प्राचार्य	p ɾ a t͡ɕ a ɾ j ə
प्राण	p ɾ a ɳ
प्राणघातक	p ɾ a ɳ ɡʱ a t̪ ə k
प्राथमिक	p ɾ a t̪ʰ m i k
प्रादेशिक	p ɾ a d̪ e ɕ i k
प्रादेशिकता	p ɾ a d̪ e ɕ i k t̪ a
प्रामाणिक	p ɾ a m a ɳ i k
प्रायश्चित्त	p ɾ a j ə ɕ t͡ɕ i t̪ t̪ ə
प्रार्थना	p ɾ a ɾ t̪ʰ ə n a
प्रार्थनामंदिर	p ɾ a ɾ t̪ʰ ə n a m ə n d̪ i ɾ
प्रियकर	p ɾ i j ə k ə ɾ
प्रीत	p ɾ i t̪
प्रीति	p ɾ i t̪ i
प्रेत	p ɾ e t̪
प्रेम	p ɾ e m
प्रेमळ	p ɾ e m ə ɭ̆
प्रेयसी	p ɾ e j s i
फ	pʰ ə
फ	f ə
फजिती	pʰ ə d͡ʑ i t̪ i
फटाका	pʰ ə ʈ a k a
फणस	pʰ ə ɳ ə s
फरक	pʰ ə ɾ ə k
फरशी	pʰ ə ɾ ɕ i
फराळ	pʰ ə ɾ a ɭ̆
फरीदाबाद	pʰ ə ɾ i d̪ a b a d̪
फळ	pʰ ə ɭ̆
फळं	pʰ ə ɭ̆ ə
फळा	pʰ ə ɭ̆ a
फळे	pʰ ə ɭ̆ e
फळे	pʰ ə ɭ̆ ə
फसणे	pʰ ə s ɳ e
फसणे	pʰ ə s ɳ ə
फसवणे	pʰ ə s ə ʋ ɳ e
फांदी	pʰ a n d̪ i
फाजील	pʰ a d͡ʑ i l
फाजीलपणा	pʰ a d͡ʑ i l ə p ɳ a
फाटणे	pʰ a ʈ ə ɳ e
फाटणे	pʰ a ʈ ə ɳ ə
फाडणे	pʰ a ɖ ə ɳ e
फाडणे	pʰ a ɖ ə ɳ ə
फायदा	pʰ a j d̪ a
फार	pʰ a ɾ
फालतू	pʰ a l t̪ u
फाळ	pʰ a ɭ̆
फावडे	pʰ a ʋ ɖ e
फावडे	pʰ a ʋ ɖ ə
फावणे	pʰ a ʋ ɳ e
फावणे	pʰ a ʋ ɳ ə
फिरणे	pʰ i ɾ ɳ e
फिरणे	pʰ i ɾ ɳ ə
फिरवणे	pʰ i ɾ ə ʋ ɳ e
फिरवणे	pʰ i ɾ ə ʋ ɳ ə
फिर्याद	pʰ i ɾ j a d̪
फिसकटणे	pʰ i s k ə ʈ ɳ e
फिसकटणे	pʰ i s k ə ʈ ɳ ə
फुगणे	pʰ u ɡ ɳ e
फुगणे	pʰ u ɡ ɳ ə
फुगा	pʰ u ɡ a
फुटणे	pʰ u ʈ ɳ e
फुटणे	pʰ u ʈ ɳ ə
फुफ्फुस	pʰ u p pʰ u s
फुफ्फुसे	pʰ u p pʰ u s e
फुफ्फुसे	pʰ u p pʰ u s ə
फुरसत	pʰ u ɾ s ə t̪
फुरसोनं	pʰ u ɾ s o n ə
फुलणे	pʰ u l ɳ e
फुलणे	pʰ u l ɳ ə
फुलपाखरू	pʰ u l p a kʰ ɾ u
फुलपाखरे	pʰ u l p a kʰ ɾ e
फुलपाखरे	pʰ u l p a kʰ ɾ ə
फुले	pʰ u l e
फुले	pʰ u l ə
फूल	pʰ u l
फेकणे	pʰ e k ɳ e
फेकणे	pʰ e k ɳ ə
फेटा	pʰ e ʈ a
फेटाळणे	pʰ e ʈ a ɭ̆ ɳ e
फेटाळणे	pʰ e ʈ a ɭ̆ ɳ ə
फेब्रुवारी	pʰ e b ɾ u ʋ a ɾ i
फेस	pʰ e s
फोड	pʰ o ɖ
फोडणी	pʰ o ɖ ɳ i
फोडणे	pʰ o ɖ ɳ e
फोडणे	pʰ o ɖ ɳ ə
फौज	pʰ ə u d͡z
फ्रान्स	pʰ ɾ a n s
ब	b ə
बंगला	b ə ŋ ɡ l a
बंगले	b ə ŋ ɡ l e
बंगळूर	b ə ŋ ɡ ɭ̆ u ɾ
बंगाली	b ə ŋ ɡ a l i
बंद	b ə n d̪ ə
बंदी	b ə n d̪ i
बंधनकारक	b ə n d̪ʱ ə n k a ɾ ə k
बंब	b ə m b ə
बकणे	b ə k ɳ e
बकणे	b ə k ɳ ə
बकवास	b ə k ʋ a s
बक्षीस	b ə k ʂ i s
बघणे	b ə ɡʱ ɳ e
बघणे	b ə ɡʱ ɳ ə
बचावणे	b ə t͡ɕ a ʋ ɳ e
बचावणे	b ə t͡ɕ a ʋ ɳ ə
बजावणे	b ə d͡ʑ a ʋ ɳ e
बजावणे	b ə d͡ʑ a ʋ ɳ ə
बटाटा	b ə ʈ a ʈ a
बडीशेप	b ə ɖ i ɕ e p
बडीशोप	b ə ɖ i ɕ o p
बत्ती	b ə t̪ t̪ i
बत्तीस	b ə t̪ t̪ i s
बदला	b ə d̪ l a
बदाम	b ə d̪ a m
बद्दल	b ə d̪ d̪ ə l
बनणे	b ə n ɳ e
बनणे	b ə n ɳ ə
बनवणे	b ə n ə ʋ ɳ e
बनवणे	b ə n ə ʋ ɳ ə
बनावट	b ə n a ʋ ə ʈ
बरे	b ə ɾ e
बरे	b ə ɾ ə
बरोबर	b ə ɾ o b ə ɾ
बर्फ	b ə ɾ pʰ ə
बल	b ə l
बलिप्रतिपदा	b ə l i p ɾ ə t̪ i p d̪ a
बळ	b ə ɭ̆
बशी	b ə ɕ i
बस	b ə s
बसणे	b ə s ɳ e
बसणे	b ə s ɳ ə
बहरैन	b ə ɦ ɾ ə i n
बहाणा	b ə ɦ a ɳ a
बहाद्दर	b ə ɦ a d̪ d̪ ə ɾ
बहिरा	b ə ɦ i ɾ a
बहिरी	b ə ɦ i ɾ i
बहिरे	b ə ɦ i ɾ e
बहिरे	b ə ɦ i ɾ ə
बहुतेक	b ə ɦ u t̪ e k
बहुपेशीय	b ə ɦ u p e ɕ i j ə
बहुरूपी	b ə ɦ u ɾ u p i
बहुवचन	b ə ɦ u ʋ t͡ɕ ə n
बहुविवाह	b ə ɦ u ʋ i ʋ a ɦ
बांगडा	b a ŋ ɡ ə ɖ a
बांगडी	b a ŋ ɡ ɖ i
बांगड्या	b a ŋ ɡ ə ɖ j a
बांगलादेश	b a ŋ ɡ l a d̪ e ɕ
बांधणे	b a n d̪ʱ ɳ e
बांधणे	b a n d̪ʱ ɳ ə
बाई	b a i
बाईपण	b a i p ə ɳ
बाईमाणूस	b a i m a ɳ u s
बाईसाहेब	b a i s a ɦ e b
बाऊ	b a u
बाक	b a k
बाकी	b a k i
बाक्या	b a k j a
बाजरी	b a d͡ʑ ə ɾ i
बाजार	b a d͡z a ɾ
बाटली	b a ʈ l i
बाटल्या	b a ʈ ə l j a
बाण	b a ɳ
बात	b a t̪
बातमी	b a t̪ m i
बातम्या	b a t̪ ə m j a
बादशहा	b a d̪ ɕ ə ɦ a
बाप	b a p
बाप्तिस्मा	b a p t̪ i s m a
बारा	b a ɾ a
बारीक	b a ɾ i k
बारूख	b a ɾ u kʰ
बालपण	b a l p ə ɳ
बाल्य	b a l j ə
बाळ	b a ɭ̆
बाळे	b a ɭ̆ e
बाळे	b a ɭ̆ ə
बावडी	b a ʋ ɖ i
बावळट	b a ʋ ɭ̆ ə ʈ
बावळटपणा	b a ʋ ɭ̆ ə ʈ p ə ɳ a
बावळा	b a ʋ ə ɭ̆ a
बावीस	b a ʋ i s
बास	b a s
बासमती	b a s ə m t̪ i
बाहुली	b a ɦ u l i
बाहू	b a ɦ u
बिंग	b i ŋ ɡ ə
बिंदू	b i n d̪ u
बिकट	b i k ə ʈ
बिचारे	b i t͡ɕ a ɾ e
बिचारे	b i t͡ɕ a ɾ ə
बिजली	b i d͡z l i
बिनतारी	b i n t̪ a ɾ i
बिनयामिन	b i n j a m i n
बिर्याणी	b i ɾ j a ɳ i
बी	b i
बीज	b i d͡ʑ
बीड	b i ɖ
बुगडी	b u ɡ ɖ i
बुडबुडा	b u ɖ b u ɖ a
बुद्ध	b u d̪ d̪ʱ ə
बुद्धिबळ	b u d̪ d̪ʱ i b ə ɭ̆
बुद्धिमत्ता	b u d̪ d̪ʱ i m ə t̪ t̪ a
बुद्धी	b u d̪ d̪ʱ i
बुद्ध्यांक	b u d̪ d̪ʱ j a ŋ k ə
बुध	b u d̪ʱ
बुधवार	b u d̪ʱ ʋ a ɾ
बुरशी	b u ɾ ɕ i
बुवा	b u ʋ a
बूध	b u d̪ʱ
बॅंक	b æ ŋ k
बे	b e
बेंबी	b e m b i
बेकार	b e k a ɾ
बेचव	b e t͡ɕ ə ʋ
बेचाळीस	b e t͡ɕ a ɭ̆ i s
बेजबाबदार	b e d͡z ə b a b d̪ a ɾ
बेडूक	b e ɖ u k
बेदाणा	b e d̪ a ɳ a
बेभान	b e bʱ a n
बेरीज	b e ɾ i d͡ʑ
बेवडा	b e ʋ ɖ a
बेशिस्त	b e ɕ i s t̪ ə
बेसन	b e s ə n
बेसुमार	b e s u m a ɾ
बैठक	b ə i ʈʰ ə k
बैरूत	b ə i ɾ u t̪
बोकड	b o k ə ɖ
बोका	b o k a
बोके	b o k e
बोचके	b o t͡ɕ k e
बोजा	b o d͡ʑ a
बोट	b o ʈ
बोल	b o l
बोलणे	b o l ɳ e
बोलणे	b o l ɳ ə
बोलावणे	b o l a ʋ ɳ e
बोलावणे	b o l a ʋ ɳ ə
बोली	b o l i
बोलीभाषा	b o l i bʱ a ʂ a
बोळा	b o ɭ̆ a
बौद्ध	b ə u d̪ d̪ʱ ə
ब्रह्मा	b ɾ ə ɦ m a
ब्राझील	b ɾ a d͡zʱ i l
ब्रुनेई	b ɾ u n e i
भ	bʱ ə
भंकस	bʱ ə ŋ k ə s
भंग	bʱ ə ŋ ɡ ə
भगवद्गीता	bʱ ə ɡ ʋ ə d̪ ɡ i t̪ a
भगवा	bʱ ə ɡ ʋ a
भगवान	bʱ ə ɡ ʋ a n
भजन	bʱ ə d͡ʑ ə n
भटकणे	bʱ ə ʈ ə k ɳ e
भटकणे	bʱ ə ʈ ə k ɳ ə
भडकणे	bʱ ə ɖ ə k ɳ e
भडकणे	bʱ ə ɖ ə k ɳ ə
भणभणणे	bʱ ə ɳ bʱ ə ɳ ɳ e
भणभणणे	bʱ ə ɳ bʱ ə ɳ ɳ ə
भत्ता	bʱ ə t̪ t̪ a
भत्ते	bʱ ə t̪ t̪ e
भयंकर	bʱ ə j ə ŋ k ə ɾ
भयानक	bʱ ə j a n ə k
भर	bʱ ə ɾ
भरणे	bʱ ə ɾ ɳ e
भरणे	bʱ ə ɾ ɳ ə
भरवणे	bʱ ə ɾ ə ʋ ɳ e
भरवणे	bʱ ə ɾ ə ʋ ɳ ə
भलते	bʱ ə l t̪ e
भलते	bʱ ə l t̪ ə
भविष्य	bʱ ə ʋ i ʂ j ə
भव्य	bʱ ə ʋ j ə
भव्यता	bʱ ə ʋ j ə t̪ a
भांग	bʱ a ŋ ɡ ə
भांडखोर	bʱ a ɳ ɖ kʰ o ɾ
भांडण	bʱ a ɳ ɖ ə ɳ
भांडणे	bʱ a ɳ ɖ ə ɳ e
भांडणे	bʱ a ɳ ɖ ə ɳ ə
भांडवल	bʱ a ɳ ɖ ə ʋ ə l
भांडार	bʱ a ɳ ɖ a ɾ
भांडुप	bʱ a ɳ ɖ u p
भाऊ	bʱ a u
भाऊजी	bʱ a u d͡ʑ i
भाऊबीज	bʱ a u b i d͡ʑ
भाकरी	bʱ a k ɾ i
भागी	bʱ a ɡ i
भागीरथी	bʱ a ɡ i ɾ t̪ʰ i
भाग्य	bʱ a ɡ j ə
भाग्यवान	bʱ a ɡ j ə ʋ a n
भाग्यहीन	bʱ a ɡ j ə ɦ i n
भाची	bʱ a t͡ɕ i
भात	bʱ a t̪
भातकुले	bʱ a t̪ k u l e
भाता	bʱ a t̪ a
भातुकली	bʱ a t̪ u k ə l i
भादवा	bʱ a d̪ ʋ a
भान	bʱ a n
भायखळा	bʱ a j kʰ ə ɭ̆ a
भारत	bʱ a ɾ ə t̪
भारतीय	bʱ a ɾ t̪ i j ə
भाव	bʱ a ʋ
भावंड	bʱ a ʋ ə ɳ ɖ ə
भावजय	bʱ a ʋ d͡z ə j
भावना	bʱ a ʋ ə n a
भाषा	bʱ a ʂ a
भाषांतर	bʱ a ʂ a n t̪ ə ɾ
भाषांतरकार	bʱ a ʂ a n t̪ ə ɾ k a ɾ
भाषाकुळ	bʱ a ʂ a k u ɭ̆
भाषाविज्ञान	bʱ a ʂ a ʋ i d͡ʑ n a n
भास	bʱ a s
भासणे	bʱ a s ɳ e
भासणे	bʱ a s ɳ ə
भिंत	bʱ i n t̪ ə
भिजणे	bʱ i d͡z ɳ e
भिजणे	bʱ i d͡z ɳ ə
भिडणे	bʱ i ɖ ɳ e
भिडणे	bʱ i ɖ ɳ ə
भिणे	bʱ i ɳ e
भिणे	bʱ i ɳ ə
भित्रा	bʱ i t̪ ɾ a
भित्रे	bʱ i t̪ ɾ e
भित्रे	bʱ i t̪ ɾ ə
भिनणे	bʱ i n ɳ e
भिनणे	bʱ i n ɳ ə
भिस्मिल्ला	bʱ i s m i l l a
भीक	bʱ i k
भीती	bʱ i t̪ i
भीम	bʱ i m
भुई	bʱ u i
भुईमूग	bʱ u i m u ɡ
भुज	bʱ u d͡ʑ
भुजा	bʱ u d͡ʑ a
भुरभुरणे	bʱ u ɾ bʱ u ɾ ɳ e
भुरभुरणे	bʱ u ɾ bʱ u ɾ ɳ ə
भू	bʱ u
भूक	bʱ u k
भूकंप	bʱ u k ə m p ə
भूगोल	bʱ u ɡ o l
भूजल	bʱ u d͡ʑ ə l
भूत	bʱ u t̪
भूतकाळ	bʱ u t̪ k a ɭ̆
भूतकेश	bʱ u t̪ k e ɕ
भूतान	bʱ u t̪ a n
भूते	bʱ u t̪ e
भूते	bʱ u t̪ ə
भूमिती	bʱ u m i t̪ i
भूमी	bʱ u m i
भूल	bʱ u l
भें	bʱ ẽ
भेंडी	bʱ e ɳ ɖ i
भेद	bʱ e d̪
भेदभाव	bʱ e d̪ bʱ a ʋ
भेर	bʱ e ɾ
भेळ	bʱ e ɭ̆
भेसळ	bʱ e s ə ɭ̆
भैया	bʱ ə i j a
भोक	bʱ o k
भोके	bʱ o k e
भोके	bʱ o k ə
भोजन	bʱ o d͡ʑ ə n
भोजपुरी	bʱ o d͡ʑ p u ɾ i
भोपळा	bʱ o p ɭ̆ a
भोळे	bʱ o ɭ̆ e
भोळे	bʱ o ɭ̆ ə
भोळेपणा	bʱ o ɭ̆ e p ɳ a
भोवरा	bʱ o ʋ ɾ a
भौतिक	bʱ ə u t̪ i k
भौतिकशास्त्र	bʱ ə u t̪ i k ɕ a s t̪ ɾ ə
म	m ə
मंगल	m ə ŋ ɡ ə l
मंगलाष्टक	m ə ŋ ɡ l a ʂ ʈ ə k
मंगळ	m ə ŋ ɡ ə ɭ̆
मंगळवार	m ə ŋ ɡ ə ɭ̆ ʋ a ɾ
मंगळसूत्र	m ə ŋ ɡ ə ɭ̆ s u t̪ ɾ ə
मंगेशकर	m ə ŋ ɡ e ɕ k ə ɾ
मंजुरी	m ə n d͡ʑ u ɾ i
मंजूर	m ə n d͡ʑ u ɾ
मंडई	m ə ɳ ɖ ə i
मंडपेश्वर	m ə ɳ ɖ ə p e ɕ ʋ ə ɾ
मंडळ	m ə ɳ ɖ ə ɭ̆
मंत्री	m ə n t̪ ɾ i
मंद	m ə n d̪ ə
मंदी	m ə n d̪ i
मऊ	m ə u
मकर	m ə k ə ɾ
मका	m ə k a
मग	m ə ɡ
मगर	m ə ɡ ə ɾ
मजबूत	m ə d͡z b u t̪
मजला	m ə d͡z l a
मजा	m ə d͡ʑ a
मज्जा	m ə d͡ʑ d͡ʑ a
मटकी	m ə ʈ k i
मटार	m ə ʈ a ɾ
मडगाव	m ə ɖ ɡ a ʋ
मढणे	m ə ɖʱ ɳ e
मढणे	m ə ɖʱ ɳ ə
मढवणे	m ə ɖʱ ə ʋ ɳ e
मढवणे	m ə ɖʱ ə ʋ ɳ ə
