ঁ	ɔ̃
পায়খানা	p a e̯ kʰ a n a
পায়রা	p a e̯ r a
পায়স	p a e ʃ
পায়ু	p ɑ e̯ u
পায়ুকাম	p ɑ e̯ u k ɑ m
পায়ুকামী	p a i̯ u k a m iˑ
পারদ	p ɑ ɾ ɔ d̪
পারপত্র	p a ɹ p ɔ t̪ ɹ o
পারভেজ	p a ɹ bʱ e d ʑ
পারভেজ	p a ɹ bʱ e z
পারমাণবিক	p a ɹ o m a n o b i k
পারা	p a ɾ a
পারিজাত	p a ɹ i d ʑ a t̪
পারিবারিক	p a ɹ i b a ɹ i k
পারে	p a ɹ e
পারেন	p a ɹ e n
পার্কিং	p a ɹ k i ŋ
পার্থ	p a ɹ t̪ʰ o
পার্থক্য	p a ɾ t̪ʰ o kː o
পার্বতী	p a ɹ b o t̪ i
পার্সেল	p a ɹ s e l
পার্সেল	p a ɹ ʃ e l
পালং	p a l ɔ ŋ
পালক	p a l o k
পালন	p a l o n
পালাউ	p a l a u̯
পালানো	p a l a n o
পাশাপাশি	p a ʃ a p a ʃ i
পাসপোর্ট	p a s p o ɹ t
পাসপোর্ট	p a ʃ p o ɹ t
পাসরা	p a ʃ ɔ ɾ a
পাহাড়	p a h a ɽ
পাহারা	p a h a ɹ a
পাহুরা	p a h u ɾ a
পিঁপড়া	p i p ɔ ɹ a
পিছনে	p i t ɕʰ o n e
পিছলা	p i s l a
পিছা	p i t ɕʰ a
পিঞ্জর	p i n d ʑ ɔ ɹ
পিঠ	p i tʰ
পিঠা	p i ʈʰ a
পিণ্ড	p i n d o
পিতা	p i t̪ a
পিথাগোরাস	p i t̪ʰ a ɡ o ɹ a s
পিনাকী	p i n a k i
পিন্ডি	p i n d i
পিপলী	p i p ɔ l i
পিপাসু	p i p a ʃ u
পিপ্পল	p i pː ɔ l
পিয়ন	p i̯ o n
পিয়া	p i̯ a
পিয়াদা	p i̯ a d̪ a
পিয়ানো	p i ɑ n o
পিয়াস	p i̯ a ʃ
পিরিচ	p i ɹ i t ɕ
পিরিতি	p i ɹ i t̪ i
পিষা	p i ʃ a
পিসি	p i ʃ i
পিস্তল	p i s t̪ ɔ l
পীড়া	p i ɹ a
পীড়িত	p i ɹ i t̪ o
পুঁজিবাদ	p u d ʑ i b a d̪
পুঁটি	p u t i
পুঁথি	p u t̪ʰ i
পুঁথিশালা	p ũ tʰ i ʃ a l a
পুকুর	p u k u ɹ
পুঙ্খানুপুঙ্খ	p u ŋ kʰ a n u p u ŋ kʰ o
পুচ্ছ	p u t ɕʰː o
পুছা	p u t ɕʰ a
পুজো	p u d͡ʒ o
পুঞ্জ	p u n d ʑ o
পুটকি	p u ʈ k i
পুটকিচোদা	p u t k i t ɕ o d̪ a
পুত	p u t̪
পুতিন	p u t̪ i n
পুতুল	p u t̪ u l
পুত্র	p u t̪ ɹ o
পুদিনা	p u d̪ i n a
পুনঃ	p u n ɔ h
পুনরায়	p u n ɔ ɹ a e̯
পুনরুত্থান	p u n o ɹ u t̪ʰː a n
পুনরুত্থিত	p u n o ɹ u t̪ʰː i t̪ o
পুনর্নবা	p u n o ɹ n ɔ b a
পুব	p u b
পুরনো	p u ɹ ɔ n o
পুরস্কার	p u ɹ o ʃ k a ɹ
পুরা	p u ɹ a
পুরাণ	p u ɹ a n
পুরাতত্ত্ব	p u ɹ a t̪ ɔ t̪ː o
পুরানো	p u ɹ a n o
পুরাপুরি	p u ɹ a p u ɹ i
পুরী	p u ɹ i
পুরুষ	p u ɾ u ʃ
পুরুষাঙ্গ	p u ɹ u ʃ a ŋ ɡ o
পুরুষালি	p u ɹ u ʃ a l i
পুরোনো	p u ɹ o n o
পুরোপুরি	p u ɹ o p u ɹ i
পুল	p u l
পুলিশ	p u l i ʃ
পুষ্টিকর	p u ʃ ʈ̟ i k ɔ ɾ
পুষ্প	p u ʃ p o
পুস্তক	p u s t̪ ɔ k
পূজা	p u d͡ʒ ɑ
পূজারী	p u d ʑ a ɹ i
পূতিবাত	p u t i b a t
পূরণ	p u ɹ o n
পূর্ণ	p u nː o
পূর্ণ	p u ɹ n o
পূর্ণসময়	p u ɹ n ɔ ʃ ɔ m ɔ e̯
পূর্ব	p u ɹ b o
পূর্বধারণা	p u ɹ b ɔ d̪ʱ a ɹ ɔ n a
পূর্ববাংলা	p u ɹ b ɔ b a ŋ l a
পূর্বানুমান	p u ɹ b a n u m a n
পৃথকীকরণ	p ɹ i t̪ʰ k i k ɹ o n
পৃথিবী	p ɹ i t̪ʰ i b i
পৃথিবী	p ɾ i t̪ʰ i b i
পৃথ্বী	p ɹ i t̪ʰː i
পেঁচ	p ɛ t ɕ
পেঁচা	p e t ɕ a
পেঁড়া	p ɛ ɹ a
পেঁপে	p e p e
পেঁয়াজ	p e a d ʑ
পেঁয়াজ	p e a z
পেখম	p e kʰ ɔ m
পেটা	p e ʈ a
পেনিস	p e n i ʃ
পেয়ারা	p e a ɹ a
পেয়ালা	p e a l a
পেরু	p e ɹ u
পেরেক	p e ɹ e k
পেরেশান	p e ɹ e ʃ a n
পেরেশান	p æ ɹ e ʃ a n
পেল	p e l
পেশোয়া	p e ʃ o̯ a
পেস্তা	p e s t̪ a
পোঁছা	p o t ɕʰ a
পোঁছা	p õ t ɕʰ a
পোঁতা	p o t̪ a
পোঁতা	p õ t̪ a
পোকা	p o k a
পোছা	p o t ɕʰ a
পোড়া	p o ɽ a
পোনা	p o n a
পোরা	p o ɹ a
পোলা	p o l ɑ
পোলাও	p o l a o̯
পোশাক	p o ʃ a k
পোষণকারী	p o ʃ ɔ n k a ɹ i
পোস্ট	p o s t
পোস্ট	p o ʃ t
পৌঁছা	p o u̯ t ɕʰ a
পৌঁছানো	p o u̯ t ɕʰ a n o
পৌনে	p o n e
পৌনে	p o u̯ n e
পৌষ	p o u̯ ʃ
প্যাঁচ	p ɛ t ɕ
প্যাঁচা	p ɛ t ɕ a
প্যাঁচাল	p ɛ t ɕ a l
প্যান্ডেল	p æ n d e l
প্যারা	p æ ɹ a
প্যারিস	p æ ɹ i s
প্যালেস্টাইন	p ɛ l e s t a i̯ n
প্যালেস্টাইন	p ɛ l e ʃ t a i̯ n
প্রকাশ	p ɹ o k a ʃ
প্রকাশনা	p ɹ o k a ʃ o n a
প্রকাশিত	p ɹ o k a ʃ i t̪ o
প্রকৃত	p ɹ o k ɹ i t̪ o
প্রকৃতি	p ɹ o k ɹ i t̪ i
প্রকৃষ্ট	p ɹ ɔ k ɹ i ʃ t ɔ
প্রকৃষ্টতা	p ɹ o k ɹ i ʃ t ɔ t̪ a
প্রচণ্ড	p ɹ o t ɕ o n d o
প্রচার	p ɹ o t ɕ a ɹ
প্রচুর	p ɹ o t ɕ u ɹ
প্রজাপতি	p ɹ o d ʑ a p o t̪ i
প্রজেক্ট	p ɹ ɔ d ʑ e k t
প্রজ্ঞা	p ɹ o ɡː a
প্রণালীবিদ্যা	p ɹ o n a l i b i d̪ː a
প্রতি	p ɹ o t̪ iˑ
প্রতি	p ɾ o t̪ iˑ
প্রতিজ্ঞা	p ɹ o t̪ i ɡː a
প্রতিদিন	p ɹ o t̪ i d̪ i n
প্রতিধ্বনি	p ɹ o t̪ i d̪ʱː o n i
প্রতিপাদন	p ɹ o t̪ i p a d̪ ɔ n
প্রতিপাদনকারী	p ɹ o t̪ i p a d̪ ɔ n k a ɹ i
প্রতিমা	p ɾ o t̪ i m a
প্রতিমাচূর্ণকারী	p ɹ o t̪ i m a t ɕ u ɹ n ɔ k a ɹ i
প্রতিশোধ	p r o t̪ i ʃ o d̪ʱ
প্রতিশ্রুতি	p ɹ o t̪ i s ɹ u t̪ i
প্রতিষ্ঠা	p ɹ o t̪ i ʃ tʰ a
প্রতিষ্ঠিত	p ɹ o t̪ i ʃ tʰ i t̪ o
প্রত্ন	p ɹ o t̪ n o
প্রত্যক্ষ	p ɹ o t̪ː o kʰː o
প্রত্যবায়	p ɹ o t̪ː o b a e̯
প্রত্যাশা	p ɹ o t̪ː a ʃ a
প্রত্যেক	p ɹ o t̪ː e k
প্রথম	p ɹ o t̪ʰ ɔ m
প্রদর্শন	p ɹ o d̪ o ɹ ʃ o n
প্রদর্শন	p ɹ o d̪ ɔ ɹ ʃ o n
প্রদেশ	p ɹ o d̪ e ʃ
প্রধান	p ɹ o d̪ʱ a n
প্রধানমন্ত্রী	p ɹ o d̪ʱ a n m ɔ n t̪ ɹ i
প্রবল	p ɹ o b o l
প্রবল	p ɹ o b ɔ l
প্রবাহ	p ɹ o b a h o
প্রবেশ	p ɹ o b e ʃ
প্রবেশ	p ɾ o b e ʃ
প্রভাত	p ɹ o bʱ a t̪
প্রভাব	p ɹ o bʱ a b
প্রভাবিত	p ɹ o bʱ a b i t̪ o
প্রভু	p ɹ o bʱ uˑ
প্রভু	p ɾ o bʱ uˑ
প্রভৃতি	p ɹ o bʱ ɹ i t̪ i
প্রমাণ	p ɹ o m a n
প্রমীলা	p ɹ o m i l a
প্রয়োজন	p ɹ o e̯ o d ʑ ɔ n
প্রলয়	p ɹ o l o e̯
প্রলোভিত	p ɹ o l o bʱ i t̪ o
প্রশংসা	p ɹ o ʃ ɔ ŋ ʃ a
প্রশিক্ষিত	p ɹ o ʃ i kʰː i t̪ o
প্রশ্ন	p ɹ o s n o
প্রশ্ন	p ɹ o ʃ n o
প্রশ্বাস	p ɹ o ʃː a ʃ
প্রসব	p ɾ o ʃ ɔ b
প্রসাধন	p ɾ ɔ ʃ ɑ d̪ʱ ɔ n
প্রস্তর	p ɹ o s t̪ ɔ ɹ
প্রস্তুত	p ɹ o s t̪ u t̪
প্রস্তুতি	p ɹ o s t̪ u t̪ i
প্রস্ফুটিত	p ɹ o ʃ f u t i t̪ o
প্রহরী	p ɹ o h o ɹ i
প্রাকৃত	p ɹ a k ɹ i t̪ o
প্রাকৃতিক	p ɹ a k ɹ i t̪ i k
প্রাক্তন	p ɾ ɑ k t̪ ɔ n
প্রাঙ্গণ	p ɹ a ŋ ɡ o n
প্রাঙ্গণ	p ɹ a ŋ ɡ ɔ n
প্রাচীন	p ɹ a t ɕ i n
প্রাচীর	p ɹ a t ɕ i ɹ
প্রাচ্য	p ɹ a t ɕː o
প্রাণ	p ɹ a n
প্রাণী	p ɹ a n i
প্রাত	p ɹ a t̪
প্রাতরাশ	p ɹ a t̪ ɔ ɹ a ʃ
প্রাদেশিক	p ɹ a d̪ e ʃ i k
প্রায়	p ɹ a e̯
প্রায়	p ɾ a e̯
প্রায়শ্চিত্ত	p ɹ a e̯ ɔ ʃ t ɕ i t̪ː o
প্রারব্ধ	p ɹ a ɹ ɔ b d̪ʱ o
প্রার্থনা	p ɹ a ɹ t̪ʰ ɔ n a
প্রাসঙ্গিক	p ɹ a ʃ ɔ ŋ ɡ i k
প্রিয়	p ɹ i̯ o
প্রিয়	p ɾ i̯ o
ফায়দা	f a e̯ d̪ a
ফারহানা	f a ɾ h a n a
ফুস্কুড়ি	f u s k u ɹ i
ফেন	f e n
ফেনা	f ɛ n a
ফেব্রুয়ারি	f e b ɹ u̯ a ɹ i
ফেরদৌস	f e ɾ d̪ o s
ফেরদৌস	f e ɾ d̪ o u̯ s
ফেরা	f e ɹ a
ফেরা	f i ɹ a
ফেরানো	f e ɹ a n o
ফেরেশতা	f e ɹ e s t̪ a
ফেরেশতা	f e ɹ e ʃ t̪ a
ফেরেশতা	pʰ e ɹ e s t̪ a
ফেরেশতা	pʰ e ɹ e ʃ t̪ a
ফেরেশ্তা	f e ɹ e s t̪ a
ফেরেশ্তা	f e ɹ e ʃ t̪ a
ফেরেসতা	f e ɹ e s t̪ a
ফেরেসতা	f e ɹ e ʃ t̪ a
ফেরেস্তা	f e ɹ e s t̪ a
ফেলা	f ɛ l a
ফেসবুক	f e s b u k
ফোঁটা	f o t a
ফোঁটা	f õ t a
ফোঁসা	f o ʃ a
ফোঁসা	f õ ʃ a
ফোকট	f o k ɔ t
ফোটা	f o t a
ফোটানো	f o t a n o
ফোড়া	f o ɹ a
ফোন	f o n
ফোপরা	f o p ɔ ɹ a
ফোরাত	f o ɹ a t̪
ফোলা	f o l a
ফোলা	pʰ o l a
ফোলা	ɸ o l a
ফোলানো	pʰ o l a n o
ফৌজ	f o u̯ d ʑ
ফৌজ	f o u̯ z
ফৌজদার	f o u̯ d ʑ ɔ d̪ a ɹ
ফৌজি	f o u̯ d ʑ i
ফৌজি	f o u̯ z i
ফ্যান	f ɛ n
ফ্যাসিবাদ	f ɛ s i b a d̪
ফ্যাসিবাদী	pʰ æ ʃ i b ɑ d̪ i
ফ্রজন্দ	f ɔ ɹ d ʑ ɔ n d̪
ফ্রজন্দ	f ɹ ɔ d ʑ ɔ n d̪
ফ্রযন্দ	f ɔ ɹ d ʑ ɔ n d̪
ফ্রযন্দ	f ɹ ɔ d ʑ ɔ n d̪
ফ্রান্স	f ɹ a n s
ফ্রিজ	f ɹ i d ʑ
ফ্রিজ	f ɹ i z
ফ্রেশ	f ɹ e ʃ
ফ্লপি	f l ɔ p i
ফ্লাক্স	f l a k s
ফ্ল্যাগ	f l ɛ ɡ
ফ্ল্যাট	pʰ l e̯ a ʈ
ব	b ɔ
বঁধু	b ɔ d̪ʱ u
বংশ	b ɔ ŋ ʃ o
বংশধর	b ɔ ŋ ʃ o d̪ʱ ɔ ɹ
বই	b o i̯
বউ	b o u̯
বক	b ɔ k
বকশিশ	b o k ʃ i ʃ
বকুল	b ɔ k u l
বক্তৃতা	b o k t̪ ɹ i t̪ a
বগ	b ɔ ɡ
বগদাদ	b ɔ ɡ d̪ a d̪
বগল	b o ɡ o l
বগল	b ɔ ɡ o l
বগা	b ɔ ɡ a
বগী	b o ɡ i
বগুড়া	b o ɡ u ɾ a
বঙ্গ	b ɔ ŋ ɡ o
বঙ্গবিদ্যা	b ɔ n ɡ o b i d̪ː a
বঙ্গভঙ্গ	b ɔ ŋ ɡ ɔ bʱ ɔ ŋ ɡ o
বঙ্গাব্দ	b ɔ ŋ ɡ a b d̪ o
বঙ্গালী	b ɔ ŋ ɡ a l i
বঙ্গীয়	b ɔ ŋ ɡ i̯ o
বছর	b ɔ t ɕʰ o ɹ
বজায়	b ɔ d ʑ a e̯
বজ্র	b ɔ d ʑ ɹ o
বজ্রধ্বনি	b ɔ d ʑ ɹ ɔ d̪ʱ ɔ n i
বট	b ɔ t
বড	b ɔ d
বড়	b ɔ ɹ
বড়	b ɔ ɹ o
বড়দিন	b ɔ ɹ o d̪ i n
বড়ি	b o ɹ i
বড়ুয়া	b o ɹ u̯ a
বত্ব	b ɔ t̪ː o
বদ	b ɔ d̪
বদদোয়া	b ɔ d̪ d̪ o̯ a
বদদোয়া	b ɔ d̪ d̪ ʊ a
বদভ্যাস	b ɔ d̪ o bʱː a ʃ
বদমাইশ	b ɔ d̪ m a i̯ ʃ
বদরী	b ɔ d̪ o ɹ i
বদলে	b ɔ d o l e
বদিউজ্জামান	b o d̪ i u d ʑː a m a n
বদিউজ্জামান	b o d̪ i u z z a m a n
বদ্ধ	b ɔ d̪ʱː o
বন	b o n
বন	b ɔ n
বনশ্রী	b o n o s ɹ i
বনানী	b ɔ n a n i
বন্দর	b ɔ n d̪ ɔ ɹ
বন্দি	b o n d̪ i
বন্দুকিয়া	b ɔ n d̪ u k i̯ a
বন্দোবস্ত	b ɔ n d̪ o b ɔ s t̪ o
বন্দ্যোপাধ্যায়	b ɔ n d̪ o p a d̪ʱː a e̯
বন্ধ	b ɔ n d̪ʱ o
বন্ধন	b ɔ n d̪ʱ o n
বন্ধন	b ɔ n d̪ʱ ɔ n
বন্ধু	b o n d̪ʱ u
বন্ধুত্ব	b o n d̪ʱ u t̪ː o
বন্ধুহীন	b ɔ n d̪ʱ u h i n
বন্যা	b ɔ nː a
বন্‌ধ	b ɔ n d̪ʱ
বমি	b o m i
বম্বে	b o m b e
বম্বে	b ɔ m b e
বয়ঃসন্ধি	b ɔ e̯ ɔ h ʃ ɔ n d̪ʱ i
বয়জা	b ɔ e̯ d ʑ a
বয়স	b ɔ e̯ o ʃ
বয়স	b ɔ e̯ ʃ
বয়স্ক	b ɔ e̯ o s k o
বয়ান	b ɔ e̯ a n
বর	b ɔ ɹ
বরং	b ɔ ɹ o ŋ
বরকত	b ɔ ɹ k o t̪
বরকন্দাজ	b ɔ ɹ k ɔ n d̪ a d ʑ
বরফ	b ɔ ɹ o f
বরবাদ	b ɔ ɹ b a d̪
বরাদ্দ	b ɔ ɾ a d̪ d̪ o
বরাবর	b ɔ ɹ a b ɔ ɹ
বরেন্দ্র	b ɔ ɹ e n d̪ ɹ o
বরেন্দ্রী	b ɔ ɹ e n d̪ ɹ i
বর্গ	b ɔ ɹ ɡ o
বর্গি	b o ɹ ɡ i
বর্গীয়	b ɔ ɹ ɡ i̯ o
বর্জ্য	b ɔ ɹ d͡ʒ o
বর্জ্য	b ɔ ɾ d͡ʒ o
বর্ণ	b ɔ ɹ n o
বর্ণনা	b ɔ ɹ n o n a
বর্ণমালা	b ɔ ɹ n o m a l a
বর্তমান	b ɔ ɹ t̪ o m a n
বর্ধমান	b ɔ ɹ d̪ʱ o m a n
বর্মা	b ɔ r m a
বর্ষ	b ɔ r ʃ ɔ
বর্ষণ	b ɔ ɹ ʃ o n
বর্ষণবিধৌত	b ɔ ɹ ʃ ɔ n b i d̪ʱ o u̯ t̪
বর্ষপঞ্জি	b ɔ ɹ ʃ o p o n d ʑ i
বর্ষা	b ɔ ɹ ʃ a
বল	b ɔ l
বল	b ɔ l o
বলকান	b ɔ l k a n
বলতে	b o l t̪ e
বলদ	b ɔ l o d̪
বলা	b ɔ l a
বলিউড	b o l i u̯ d
বলিদান	b o l i d̪ a n
বলে	b ɔ l e
বলেন	b ɔ l e n
বল্টু	b ɔ l t u
বশির	b o ʃ i ɹ
বস	b ɔ s
বস	b ɔ ʃ
বসন্ত	b ɔ ʃ o n t̪ o
বসবাস	b ɔ s o b a ʃ
বসবাসকারী	b ɔ s o b a ʃ k a ɹ i
বসা	b ɔ ʃ a
বসু	b ɔ ʃ u
বসুন্ধরা	b o ʃ u n d̪ʱ ɔ ɹ a
বস্তা	b ɔ s t̪ a
বস্তু	b ɔ s t̪ u
বহিষ্কার	b o h i ʃ k a ɹ
বহিষ্কারাদেশ	b o h i ʃ k a ɹ a d̪ e ʃ
বহু	b o h u
বহুব্রীহি	b o h u b ɹ i h i
বহেড়া	b ɔ h e ɹ a
বা	b a
বাগ	b a ɡ
বিড়াল	b i l a l
বিড়াল	b i ɹ a l
বিড়াল	b i ɾ a l
বৃক্ষ	b r i k kʰ o
বেচা	b æ t͡ʃ a
বেচারা	b e t ɕ a ɹ a
বেটা	b æ t a
বেড়	b e ɹ
বেড়া	b æ ɹ ɑ
বেড়ানো	b e ɹ a n o
বেড়াল	b e ɹ a l
বেড়াল	b e ɾ a l
বেদ	b e d̪
বেদনা	b e d̪ o n ɑ
বেদানা	b e d a n a
বেদে	b e d̪ e
বেনারস	b e n a ɾ ɔ ʃ
বেপরোয়া	b e p ɔ ɹ o̯ a
বের	b e ɹ
বেরাদর	b e ɾ ɑ d̪ ɑ ɾ
বেরাদর	b e ɾ ɑ d̪ ɒ ɾ
বেরানী	b e ɹ a n i
বেরেয়ানী	b e ɹ e a n i
বেরোনো	b e r o n o
বেল	b e l
বেলফাস্ট	b e l f a s t
বেলফাস্ট	b e l f a ʃ t
বেলা	b æ l a
বেলারুশ	b e l a ɹ u ʃ
বেলি	b e l i
বেলেল্লাপনা	b e l e lː a p ɔ n a
বেশী	b e ʃ i
বেশুমার	b e ʃ u m a ɹ
বেশ্যা	b e ʃː a
বেষ্ট	b e ʃ t o
বেসন	b ɛ ʃ o n
বেসিং	b e s i ŋ
বেহালা	b e h a l a
বেহেশত	b e h e s t̪
বেহেশ্ত	b e h e s t̪
বেহেশ্ত	b e h e s t̪ o
বেহেশ্ত	b e h e ʃ t̪
বেহেশ্ত	b e h e ʃ t̪ o
বৈঁচি	b o ĩ̯ t͡ʃ i
বৈকঙ্কত	b o i̯ k ɔ ŋ k ɔ t
বৈঠা	b o i̯ tʰ a
বৈদ্য	b o i̯ d̪ː o
বৈপ্লবিক	b o i̯ p l o b i k
বৈশাখ	b o i̯ ʃ a kʰ
বৈশিষ্ট্য	b o i̯ ʃ i ʃ tː o
বৈশ্য	b o i ʃ ʃ o
বৈষ্ণব	b o i̯ ʃ n ɔ b
বোকা	b o k a
বোকাচোদা	b o k ɑ t͡ʃ o d̪ ɑ
বোজা	b o d ʑ a
বোঝা	b o d͡ʒʱ a
বোতল	b o t̪ o l
বোতাম	b o t̪ a m
বোধ	b o d̪ʱ
বোধোদিত	b o d̪ʱ o d̪ i t̪ o
বোন	b o n
বোবা	b o b a
বোমা	b o m a
বোম্বাই	b o m b a i̯
বোরকা	b o ɹ k a
বোরকা	b o ɹ kʰ a
বোলানো	b o l a n o
বোষ্টম	b o ʃ t ɔ m
বোস	b o ʃ
বৌদ্ধ	b o u̯ d̪ʱː o
বৌদ্ধধর্ম	b o u̯ d̪ʱː ɔ d̪ʱ ɔ ɹ m o
ব্যক্তি	b e k t̪ i
ব্যক্তিত্ব	b e k t i t t o
ব্যঞ্জন	b ɛ n d ʑ ɔ n
ব্যঞ্জনধ্বনি	b ɛ n d ʑ ɔ n d̪ʱ o n i
ব্যথা	b æ t̪ʰ ɑ
ব্যবসা	b ɛ b ʃ a
ব্যবস্থা	b ɛ b o s t̪ʰ a
ব্যবহার	b æ b ɔ h a ɹ
ব্যস	b ɛ s
ব্যস্ত	b ɛ s t̪ o
ব্যাং	b ɛ ŋ
ব্যাকরণ	b ɛ k o ɹ o n
ব্যাকরণ	b ɛ k ɔ ɹ o n
ব্যাখ্যা	b ɛ kʰː a
ব্যাগ	b æ ɡ
ব্যাঘ্র	b ɛ ɡʱ ɹ o
ব্যাঙ	b ɛ ŋ
ব্যাঙ্ক	b æ ŋ k
ব্যাঙ্কক	b æ ŋ k ɔ k
ব্যাটারি	b æ ʈ̟ ɑ ɾ i
ব্যাদ	b æ d̪
ব্যাধি	b æ dʱ i
ব্যাপক	b ɛ p ɔ k
ব্যাপার	b ɛ p a ɹ
ব্যাবসা	b ɛ b o ʃ a
ব্যাবসা	b ɛ b ʃ a
ব্যায়াম	b e ɑ m
ব্যায়াম	b æ ɑ m
ব্যাস	b ɛ s
ব্রণ	b ɹ ɔ n
ব্রত	b ɹ o t̪ o
ব্রহ্মদেশ	b r ɔ m h o d e ʃ
ব্রহ্মপুত্র	b r o m m o p u t̪ ɾ o
ব্রাজিল	b ɹ a z i l
ব্রাহ্ম	b ɹ a m h o
ব্রাহ্ম	b ɹ a mː o
ব্রাহ্মণ	b ɾ a m ɦ o n
ব্রাহ্মণ	b ɾ a mː o n
ব্রাহ্মণবাড়িয়া	b ɾ a m ɦ o n b a ɹ i̯ a
ব্রাহ্মণবাড়িয়া	b ɾ a mː o n b a ɹ i̯ a
ব্রিটেন	b ɹ i t e n
ব্রোঞ্জ	b r o n d͡ʒ
ব্লগ	b l ɔ ɡ
বৎসর	b ɔ t̪ ʃ o ɹ
ভ	bʱ o
ভগবদ্গীতা	bʱ ɔ ɡ b ɔ d̪ ɡ i t̪ a
ভগবান	bʱ ɔ ɡ o b a n
ভগাঙ্কুর	bʱ ɔ ɡ ɑ ŋ k u ɾ
ভগিনী	bʱ o ɡ i n i
ভজন	bʱ ɔ d ʑ o n
ভট্টাচার্য	bʱ ɔ tː a t ɕ a ɹ d ʑ o
ভণ্ড	bʱ ɔ n d o
ভদকা	bʱ ɔ d̪ o k a
ভদ্রকালী	bʱ ɔ d̪ ɹ ɔ k a l i
ভদ্রলোক	bʱ ɔ d̪ ɾ o l o k
ভনভন	bʱ ɔ n bʱ ɔ n
ভব	bʱ ɔ b o
ভবন	bʱ ɔ b o n
ভবিষ্যতে	bʱ o b i ʃː ɔ t̪ e
ভবিষ্যদ্বাণী	bʱ o b i ʃː ɔ d̪ b a n i
ভবিষ্যৎ	bʱ o b i ʃː ɔ t̪
ভয়	bʱ ɔ e̯
ভয়ংকর	bʱ ɔ e̯ o ŋ k ɔ ɹ
ভর	bʱ ɔ ɹ
ভরতনাট্যম	bʱ ɔ ɹ t̪ n a tː o m
ভরসা	bʱ ɔ ɹ o ʃ a
ভরসা	bʱ ɔ ɹ ʃ a
ভরা	bʰ ɔ r a
ভর্তা	bʱ ɔ ɹ t̪ a
ভাঁপ	bʱ a p
ভাং	bʱ a ŋ
ভাই	bʱ a i̯
ভাইয়া	bʱ a i̯ a
ভাইয়া	bʱ a i̯ː a
ভাইরাস	bʱ a i̯ ɹ a s
ভাগ	bʱ a ɡ
ভাগ্য	bʱ a ɡː o
ভাঙা	bʱ a ŋ a
ভাজ	bʱ a d ʑ
ভাজন	bʱ a d ʑ ɔ n
ভাজা	bʱ a d ʑ a
ভাটা	bʱ a t a
ভাটি	bʱ a t i
ভাড়া	bʱ a ɹ a
ভাড়াটিয়া	bʱ a ɽ a ʈ i̯ a
ভাড়াটে	bʱ a ɹ a t e
ভাণ্ডার	bʱ a n d a ɹ
ভাত	bʱ a t̪
ভাতার	bʱ a t̪ a ɹ
ভাদর	bʱ a d̪ ɔ ɹ
ভাদ্র	bʱ a d̪ ɹ o
ভাপ	bʱ a p
ভাব	bʱ a b
ভাবনা	bʱ a b n a
ভাবনা	bʱ a b o n a
ভাবে	bʱ a b e
ভারত	bʱ a ɹ o t̪
ভারতীয়	bʱ a ɹ o t̪ i̯ o
ভারতে	bʱ a ɹ ɔ t̪ e
ভার্চুয়াল	bʱ a ɹ t ɕ u̯ a l
ভার্যা	bʱ a ɹ d ʑ a
ভাল	bʱ a l
ভাল	bʱ a l o
ভালবাসা	bʱ a l o b a ʃ a
ভালভা	bʱ a l bʱ a
ভালাপাওয়া	bʱ a l a p a o̯ a
ভালুক	bʱ a l u k
ভালুক	v a l u k
ভালো	bʱ a l o
ভালোনাম	bʱ a l o n a m
ভালোবাসা	bʱ a l o b a ʃ a
ভালোভাবে	bʱ a l o bʱ a b e
ভাল্লুক	bʱ a lː u k
ভাশুর	bʱ a ʃ u ɹ
ভাষা	bʱ a ʃ a
ভাসা	bʱ a ʃ a
ভাসুর	bʱ a ʃ u ɹ
ভাস্বর	bʱ a ʃː ɔ ɹ
ভিজা	bʱ i d ʑ a
ভিডিও	bʱ i d i̯ o
ভিত	bʱ i t̪ o
ভিতর	bʱ i t̪ ɔ ɹ
ভিতরে	bʱ i t̪ ɔ ɹ e
ভিত্তি	bʱ i t̪ː i
ভিত্তিপ্রস্তর	bʱ i t̪ː i p ɹ o s t̪ ɔ ɹ
ভিন	bʱ i n
ভিন্ন	bʱ i nː o
ভিন্নমতাবলম্বী	bʱ i nː ɔ m t̪ a b ɔ l o m b i
ভিয়েতনাম	v i j e t̪ n a m
ভিসা	bʱ i s a
ভিসা	bʱ i z a
ভিসি	bʱ i ʃ i
ভীমরুল	bʱ i m ɹ u l
ভুঁই	bʱ u̯ i
ভুঁড়ি	bʱ u ɹ i
ভুক্তভোগী	bʱ u k t̪ ɔ bʱ o ɡ i
ভুখ	bʱ u kʰ
ভুটান	bʱ u t a n
ভুট্টা	bʱ u tː a
ভুবন	bʱ u b o n
ভুয়া	bʱ u̯ a
ভুল	bʱ u l
ভুসি	bʱ u ʃ i
ভূ	bʱ u
ভূত	bʱ u t̪
ভূমধ্যসাগর	bʱ u m o d dʱ ɔ ʃ a ɡ o r
ভূমি	bʱ u m i
ভূমিকম্প	bʱ u m i k ɔ m p o
ভূমিপুত্র	bʱ u m i p u t̪ ɹ o
ভৃত্য	bʱ ɹ i t̪ː o
ভেক	bʱ e k
ভেটা	bʱ e t a
ভেড়া	bʱ æ ɽ a
ভেড়া	bʱ æ ɾ a
ভেড়া	bʱ æ̃ ɽ a
ভেড়া	bʱ æ̃ ɾ a
