က	k a̰
ကြဉ်	t͡ɕ ɪ̀ ɴ
ကြည့်	t͡ɕ ḭ
ကြည့်မြင်တိုင်	t͡ɕ ḭ m j ɪ̀ ɴ d à ɪ ɴ
ကြည့်ရှု	t͡ɕ ḭ ʃ ṵ
ကြည့်ရှုသူ	t͡ɕ ḭ ʃ ṵ ð ù
ကြည်	t͡ɕ ì
ကြည်	t͡ɕ ɪ̀ ɴ
ကြည်းတပ်	t͡ɕ í d a ʔ
ကြပ်	t͡ɕ a ʔ
ကြမ္မာ	t͡ɕ ə m à
ကြမ်း	t͡ɕ á ɴ
ကြယ်	t͡ɕ ɛ̀
ကြယ်ငါး	t͡ɕ ɛ̀ ŋ á
ကြယ်စု	t͡ɕ ɛ̀ z ṵ
ကြယ်တံခွန်	t͡ɕ ɛ̀ d ə ɡ ʊ̀ ɴ
ကြယ်နဂါး	t͡ɕ ɛ̀ n ə ɡ á
ကြယ်သီး	t͡ɕ ɛ̀ θ í
ကြာ	t͡ɕ à
ကြာကြာ	t͡ɕ à d͡ʑ à
ကြာချည်	t͡ɕ à t͡ɕʰ ì
ကြာစေ့	t͡ɕ à z ḛ
ကြာဆံ	t͡ɕ à z à ɴ
ကြာဆံသုပ်	t͡ɕ à z à ɴ θ o ʊ ʔ
ကြာညို့	t͡ɕ à ɲ o̰
ကြာသပတေး	t͡ɕ à θ ə p ə d ə
ကြာသပတေးဂြိုဟ်	t͡ɕ à ð ə b ə d é d͡ʑ ò
ကြား	t͡ɕ á
ကြိမ်	t͡ɕ è ɪ ɴ
ကြိယာ	k ə ɹ ḭ j à
ကြိယာဝိသေသန	k ə ɹ ḭ j à w ḭ θ è θ ə n a̰
ကြိုက်	t͡ɕ a ɪ ʔ
ကြိုဆို	t͡ɕ ò z ò
ကြိုဆိုပါ၏	t͡ɕ ò z ò b à ʔ ɛ̰
ကြို့	t͡ɕ o̰
ကြိုး	t͡ɕ ó
ကြိုးကြာ	d͡ʑ ó d͡ʑ à
ကြိုးစင်	t͡ɕ ó z ɪ̀ ɴ
ကြိုးစား	t͡ɕ ó z á
ကြီး	t͡ɕ í
ကြီးကြီး	t͡ɕ í d͡ʑ í
ကြီးမား	t͡ɕ í m á
ကြေညာ	t͡ɕ è ɲ à
ကြေညာချက်	t͡ɕ è ɲ à d͡ʑ ɛ ʔ
ကြောက်	t͡ɕ a ʊ ʔ
ကြောင့်	d͡ʑ a̰ ʊ ɴ
ကြောင်	t͡ɕ à ʊ ɴ
ကြောင်ကလေး	t͡ɕ à ʊ ɴ ɡ ə l é
ကြောင်ထီး	t͡ɕ à ʊ ɴ d í
ကြောင်မ	t͡ɕ à ʊ ɴ m a̰
ကြောင်လိမ်လှေကား	t͡ɕ à ʊ ɴ l è ɪ ɴ l̥ è ɡ á
ကြောင်လျှာ	t͡ɕ à ʊ ɴ ʃ à
ကြောင်အိမ်	t͡ɕ à ʊ ɴ ʔ è ɪ ɴ
ကြောင်း	t͡ɕ á ʊ ɴ
ကြော်	t͡ɕ ɔ̀
ကြော်ငြာ	t͡ɕ ɔ̀ ɲ à
ကြော်ငြာစာ	t͡ɕ ɔ̀ ɲ à z à
ကြေး	d͡ʑ í
ကြေး	t͡ɕ é
ကြေးကြီး	t͡ɕ é t͡ɕ í
ကြေးချွတ်ဆေး	d͡ʑ é t͡ɕʰ ʊ ʔ sʰ é
ကြေးငွေ	t͡ɕ é ŋ w è
ကြေးစည်	t͡ɕ é z ì
ကြေးနန်း	t͡ɕ é n á ɴ
ကြေးနီ	t͡ɕ é n ì
ကြေးမုံ	t͡ɕ é m ò ʊ ɴ
ကြေးဝါ	t͡ɕ é w à
ကြေးအိုး	t͡ɕ é ʔ ó
ကြံ	t͡ɕ à ɴ
ကြံ့	t͡ɕ a̰ ɴ
ကြံ့လျော်	t͡ɕ a̰ ɴ ʃ ɔ̀
ကြွ	t͡ɕ w a̰
ကြွက်	t͡ɕ w ɛ ʔ
ကြွက်နို့	t͡ɕ w ɛ ʔ n o̰
ကြွက်သား	t͡ɕ w ɛ ʔ θ á
ကြွင်း	t͡ɕ w ɪ́ ɴ
ကြွပ်	t͡ɕ ʊ ʔ
ကြွယ်	t͡ɕ w ɛ̀
ကြွား	t͡ɕ w á
ကြွေ	t͡ɕ w è
ကြွေး	t͡ɕ w é
ကွ	k w a̰
ကွက်	k w ɛ ʔ
ကွင်း	k w ɪ́ ɴ
ကွင်းထိုးဖိနပ်	ɡ w ɪ́ ɴ d ó pʰ ə n a ʔ
ကွတ်	k ʊ ʔ
ကွန်	k ʊ̀ ɴ
ကွန်ကရစ်	k ʊ̀ ɴ ɡ ə ɹ ɪ ʔ
ကွန်ဂရက်	k ʊ̀ ɴ ɡ ə ɹ ɛ ʔ
ကွန်ဂို	k ʊ̀ ɴ ɡ ò
ကွန်ဒုံး	k ʊ̀ ɴ d ó ʊ ɴ
ကွန်ပါ	k ʊ̀ ɴ p à
ကွန်ပျူတာ	k ʊ̀ ɴ p j ù t à
ကွန်ပျူတာသိပ္ပံပညာ	k ʊ̀ ɴ p j ù t à ð e ɪ ʔ p à ɴ p j ɪ̀ ɴ ɲ à
ကွန်ဖရင့်	k ʊ̀ ɴ pʰ ə ɹ ɪ̰ ɴ
ကွန်ဖြူးရှပ်	k ʊ̀ ɴ pʰ j ú ʃ a ʔ
ကွန်မြူနစ်	k ʊ̀ ɴ m j ù n ɪ ʔ
ကွန်ရက်	k ʊ̀ ɴ j ɛ ʔ
ကွမ်ရင်	k w à ɴ j ɪ̀ ɴ
ကွမ်ရင်မယ်တော်	k w à ɴ j ɪ̀ ɴ m ɛ̀ d ɔ̀
ကွမ်းတောင်	k ʊ́ ɴ d à ʊ ɴ
ကွမ်းမွှေး	k ʊ́ ɴ m̥ w é
ကွမ်းယာ	k ʊ́ ɴ j à
ကွမ်းရွက်ပင်	k ʊ́ ɴ j w ɛ ʔ p ɪ̀ ɴ
ကွယ်လွန်	k w ɛ̀ l ʊ̀ ɴ
ကွာစေ့	k w à s ḭ
ကွာရှင်း	k w à ʃ ɪ́ ɴ
ကွာလာလမ်ပူ	k w à l à l à ɴ p ù
ကွီး	k w í
ကွေတာလန်း	k w è t à l á ɴ
ကွေတီယို	k w è t ì j ò
ကွေပင်ကား	k w è p ɪ̀ ɴ k á
ကွေလာပေး	k w è l à p é
ကွေလာပေးစ	k w è l à p é s a̰
ကွေ့တီယို	k w ḛ t ì j ò
ကွေး	k w é
ကွဲ	k w ɛ́
ကဿပ	k a ʔ θ ə p a̰
ကဿပဘုရား	k a ʔ θ ə p a̰ pʰ ə j á
ခ	kʰ a̰
ခက်	kʰ ɛ ʔ
ခက်ရင်း	kʰ ə j ɪ́ ɴ
ခကွေး	kʰ a̰ ɡ w é
ခင်	kʰ ɪ̀ ɴ
ခင်ပွန်း	kʰ ɪ̀ ɴ b ʊ́ ɴ
ခင်ဗျာ	kʰ ə m j à
ခင်ဗျာ့	kʰ ɪ̀ ɴ b j a̰
ခင်ဗျား	kʰ ɪ̀ ɴ b j á
ခင်ဗျားတို့	kʰ ɪ̀ ɴ b j á d o̰
ခင်မင်မှု	kʰ ɪ̀ ɴ m ɪ̀ ɴ m̥ ṵ
ခဏ	kʰ ə n a̰
ခဏခဏ	kʰ ə n a̰ kʰ ə n a̰
ခတ္တမန္ဒု	kʰ a ʔ t ə m à ɴ d ṵ
ခတ္တိယ	kʰ a ʔ t ḭ j a̰
ခနုံထုပ်	kʰ ə n ò ʊ ɴ d o ʊ ʔ
ခနုံအီ	kʰ ə n ò ʊ ɴ ʔ ì
ခန္တီ	kʰ à ɴ t ì
ခန္ဓာ	kʰ à ɴ d à
ခန္ဓာငါးပါး	kʰ à ɴ d à ŋ á b á
ခန္ဓာဗေဒ	kʰ à ɴ d à b è d a̰
ခန်တမာ	kʰ à ɴ t ə m à
ခန်း	kʰ á ɴ
ခပ်သိမ်း	kʰ a ʔ θ é ɪ ɴ
ခမည်းတော်	kʰ ə m í d ɔ̀
ခမာ	kʰ ə m à
ခမာနီ	kʰ ə m à n ì
ခမောက်	kʰ ə m a ʊ ʔ
ခယ်မ	kʰ ɛ̀ m a̰
ခရင်း	kʰ ə j ɪ́ ɴ
ခရစ္စမတ်	kʰ ə ɹ ɪ ʔ s ə m a ʔ
ခရစ်	kʰ ə ɹ ɪ ʔ
ခရစ်တော်	kʰ ə ɹ ɪ ʔ t ɔ̀
ခရစ်ယာန်	kʰ ə ɹ ɪ ʔ j à n
ခရမ်း	kʰ ə j á ɴ
ခရမ်းချဉ်	kʰ ə j á ɴ d͡ʑ ɪ̀ ɴ
ခရမ်းသီး	kʰ ə j á ɴ θ í
ခရာ	kʰ ə j à
ခရာမွှေး	kʰ ə j à m̥ w é
ခရိုင်	kʰ ə j à ɪ ɴ
ခရိုင်းမီးယား	kʰ ə ɹ á ɪ ɴ m í j á
ခရိုနီ	kʰ ə ɹ ò n ì
ခရိုမီယမ်	kʰ ə ɹ ò m ì j à ɴ
ခရိုအေးရှား	kʰ ə ɹ ò ʔ é ʃ á
ခရိုး	kʰ ə j ó
ခရီး	kʰ ə j í
ခရီးသည်	kʰ ə j í ð è
ခရု	kʰ ə j ṵ
ခရုဆီ	kʰ ə j ṵ z ì
ခရုပက်ကျိ	kʰ ə j ṵ p ɛ ʔ t͡ɕ ḭ
ခရေ	kʰ ə j è
ခရေပွင့်	kʰ ə j è b w ɪ̰ ɴ
ခလယ်	kʰ ə l ɛ̀
ခလာသီ	kʰ ə l à θ ì
ခလုတ်	kʰ ə l o ʊ ʔ
ခလုတ်ခုံ	kʰ ə l o ʊ ʔ kʰ ò ʊ ɴ
ခဝါ	kʰ ə w à
ခဝါချ	kʰ ə w à t͡ɕʰ a̰
ခဝဲ	kʰ ə w ɛ́
ခါ	kʰ à
ခါကြက်ဥ	kʰ à t͡ɕ ɛ ʔ ʔ ṵ
ခါတွမ်း	kʰ à t ʊ́ ɴ
ခါး	kʰ á
ခါးပတ်	ɡ ə b a ʔ
ခို	kʰ ò
ခိုင်း	kʰ á ɪ ɴ
ခိုဒါ	kʰ ò d à
ခိုလှုံခွင့်	kʰ ò l̥ ò ʊ ɴ ɡ w ɪ̰ ɴ
ခိုး	kʰ ó
ခိုးစား	kʰ ó s á
ခု	kʰ ṵ
ခုခံအားကျရောဂါ	kʰ ṵ ɡ à ɴ ʔ á t͡ɕ a̰ j ɔ́ ɡ à
ခုနစ်	kʰ ʊ̀ ɴ n̥ ɪ ʔ
ခုနစ်လ	kʰ ʊ̀ ɴ n̥ ə l a̰
ခုန်	kʰ ò ʊ ɴ
ခုံတန်းလျား	kʰ ò ʊ ɴ t á ɴ j á
ခုံရှည်	kʰ ò ʊ ɴ ʃ è
ခုံး	kʰ ó ʊ ɴ
ခူး	kʰ ú
ခေတ္တ	kʰ ɪ ʔ t a̰
ခေတ်	kʰ ɪ ʔ
ခေမာရဋ္ဌ	kʰ è m à j ə tʰ a̰
ခေါက်	kʰ a ʊ ʔ
ခေါက်ဆွဲ	kʰ a ʊ ʔ sʰ w ɛ́
ခေါက်ဆွဲဆိုင်	kʰ a ʊ ʔ sʰ w ɛ́ z à ɪ ɴ
ခေါက်ဆွဲသုပ်	kʰ a ʊ ʔ sʰ w ɛ́ θ o ʊ ʔ
ခေါက်မုန့်	kʰ a ʊ ʔ m o̰ ʊ ɴ
ခေါင်း	kʰ á ʊ ɴ
ခေါင်း	ɡ á ʊ ɴ
ခေါင်းဆောင်	ɡ á ʊ ɴ sʰ à ʊ ɴ
ခေါင်းဆောင်	ɡ á ʊ ɴ z à ʊ ɴ
ခေါင်းပေါင်း	ɡ á ʊ ɴ b á ʊ ɴ
ခေါင်းလောင်း	kʰ á ʊ ɴ l á ʊ ɴ
ခေါင်းလျှော်ရည်	ɡ á ʊ ɴ ʃ ɔ̀ j è
ခေါင်းအုံး	ɡ á ʊ ɴ ʔ ó ʊ ɴ
ခေါပုတ်	kʰ ɔ́ b o ʊ ʔ
ခေါပျဉ်	kʰ ɔ́ b j ɪ̀ ɴ
ခေါ်	kʰ ɔ̀
ခေး	kʰ é
ခဲ	kʰ ɛ́
ခဲတံ	kʰ ɛ́ d à ɴ
ခဲဖျက်	kʰ ɛ́ b j ɛ ʔ
ခဲယဉ်း	kʰ ɛ́ j ɪ́ ɴ
ခဲယမ်းမီးကျောက်	kʰ ɛ́ j á ɴ m í d͡ʑ a ʊ ʔ
ခဲအို	kʰ ɛ́ ʔ ò
ခဲ့	kʰ ɛ̰
ခဲ့	ɡ ɛ̰
ခံ	kʰ à ɴ
ခံစား	kʰ à ɴ z á
ခံတပ်	kʰ à ɴ d a ʔ
ခံတောင်း	kʰ à ɴ d á ʊ ɴ
ခံမြို့	kʰ à ɴ m j o̰
ခံယူချက်	kʰ à ɴ j ù d͡ʑ ɛ ʔ
ချ	t͡ɕʰ a̰
ချက်	t͡ɕʰ ɛ ʔ
ချက်ကိုဆလိုဗားကီးယား	t͡ɕʰ ɛ ʔ k ò sʰ ə l ò b á k í j á
ချက်ကြိုး	t͡ɕʰ ɛ ʔ t͡ɕ ó
ချက်ချင်း	t͡ɕʰ ɛ ʔ t͡ɕʰ ɪ́ ɴ
ချက်မြှုပ်	t͡ɕʰ ɛ ʔ m̥ j o ʊ ʔ
ချက်သမ္မတနိုင်ငံ	t͡ɕʰ ɛ ʔ θ ə m ə d a̰ n à ɪ ɴ ŋ à ɴ
ချင်	t͡ɕʰ ɪ̀ ɴ
ချင်း	d͡ʑ ɪ́ ɴ
ချင်း	t͡ɕʰ ɪ́ ɴ
ချင်းတွင်း	t͡ɕʰ ɪ́ ɴ d w ɪ́ ɴ
ချင်းမိုင်	t͡ɕʰ ɪ́ ɴ m à ɪ ɴ
ချင်းသုပ်	d͡ʑ ɪ́ ɴ ð o ʊ ʔ
ချစ်	t͡ɕʰ ɪ ʔ
ချစ်ခင်	t͡ɕʰ ɪ ʔ kʰ ɪ̀ ɴ
ချစ်တီး	t͡ɕʰ ɪ ʔ t í
ချစ်သူ	t͡ɕʰ ɪ ʔ θ ù
ချဉ်	t͡ɕʰ ɪ̀ ɴ
ချဉ်ပေါင်	t͡ɕʰ ɪ̀ ɴ b à ʊ ɴ
ချဉ်ဖတ်	t͡ɕʰ ɪ̀ ɴ b a ʔ
ချဉ်ဖတ်တည်	t͡ɕʰ ɪ̀ ɴ b a ʔ t ɛ̀
ချည်	t͡ɕʰ ì
ချည်မန်းကွင်း	t͡ɕʰ ì m á ɴ ɡ w ɪ́ ɴ
ချည်လုံး	t͡ɕʰ ì l ó ʊ ɴ
ချဒ်	t͡ɕʰ à d
ချပါတီ	t͡ɕʰ ə p à t ì
ချပ်	d͡ʑ a ʔ
ချမ်း	t͡ɕʰ á ɴ
ချမ်းသာ	t͡ɕʰ á ɴ ð à
ချယ်ရီ	t͡ɕʰ ɛ̀ ɹ ì
ချာတိတ်	t͡ɕʰ à t e ɪ ʔ
ချားလ်	t͡ɕʰ á l
ချိတ်	d͡ʑ e ɪ ʔ
ချိန်တာရာ	t͡ɕʰ è ɪ ɴ t à j à
ချိပ်	t͡ɕʰ e ɪ ʔ
ချို	d͡ʑ ò
ချို	t͡ɕʰ ò
ချိုချဉ်	t͡ɕʰ ò t͡ɕʰ ɪ̀ ɴ
ချိုချဉ်ကြော်	t͡ɕʰ ò t͡ɕʰ ɪ̀ ɴ d͡ʑ ɔ̀
ချိုင်း	d͡ʑ á ɪ ɴ
ချိုင်းထောက်	d͡ʑ á ɪ ɴ d a ʊ ʔ
ချိုး	t͡ɕʰ ó
ချီဆီနော	t͡ɕʰ ì sʰ ì n ɔ́
ချီလီ	t͡ɕʰ ì l ì
ချီး	t͡ɕʰ í
ချုပ်	t͡ɕʰ o ʊ ʔ
ချူးအင်းဂမ်း	t͡ɕʰ ú ʔ ɪ́ ɴ ɡ á ɴ
ချေ	d͡ʑ è
ချေ	d͡ʑ ì
ချေ	t͡ɕʰ è
ချေ	t͡ɕʰ ì
ချော	t͡ɕʰ ɔ́
ချောကလက်	t͡ɕʰ ɔ́ k ə l ɛ ʔ
ချောက်	t͡ɕʰ a ʊ ʔ
ချောင်	t͡ɕʰ à ʊ ɴ
ချောင်း	t͡ɕʰ á ʊ ɴ
ချောင်းဆိုး	t͡ɕʰ á ʊ ɴ sʰ ó
ချောင်းဆိုး	t͡ɕʰ á ʊ ɴ z ó
ချော်	t͡ɕʰ ɔ̀
ချေး	t͡ɕʰ í
ချေးငွေ	t͡ɕʰ í ŋ w è
ချေးထုပ်	t͡ɕʰ é tʰ o ʊ ʔ
ချေးပါ	t͡ɕʰ é p à
ချဲ့	t͡ɕʰ ɛ̰
ချဲ့ချဲ့	t͡ɕʰ ɛ̰ d͡ʑ ɛ̰
ချွတ်	t͡ɕʰ ʊ ʔ
ချွန်	t͡ɕʰ ʊ̀ ɴ
ချွန်ထက်	t͡ɕʰ ʊ̀ ɴ tʰ ɛ ʔ
ချွေး	t͡ɕʰ w é
ချွေးမ	t͡ɕʰ w é m a̰
ချွံချွံ	t͡ɕʰ ʊ̀ ɴ d͡ʑ ʊ̀ ɴ
ခြ	t͡ɕʰ a̰
ခြင်	t͡ɕʰ ɪ̀ ɴ
ခြင်း	t͡ɕʰ ɪ́ ɴ
ခြင်းလုံး	t͡ɕʰ ɪ́ ɴ l ó ʊ ɴ
ခြင်္သေ့	t͡ɕʰ ɪ̀ ɴ ð ḛ
ခြင်္သေ့ကလေး	t͡ɕʰ ɪ̀ ɴ ð ḛ ɡ ə l é
ခြင်္သေ့မ	t͡ɕʰ ɪ̀ ɴ ð ḛ m a̰
ခြစ်	t͡ɕʰ ɪ ʔ
ခြည်	t͡ɕʰ ì
ခြတောင်ပို့	t͡ɕʰ a̰ t à ʊ ɴ b o̰
ခြမ်း	t͡ɕʰ á ɴ
ခြား	t͡ɕʰ á
ခြားနား	t͡ɕʰ á n á
ခြားနားချက်	t͡ɕʰ á n á d͡ʑ ɛ ʔ
ခြိုက်	t͡ɕʰ a ɪ ʔ
ခြေ	t͡ɕʰ è
ခြေစွပ်	t͡ɕʰ è z ʊ ʔ
ခြေထောက်	t͡ɕʰ è d a ʊ ʔ
ခြေနင်း	t͡ɕʰ è n ɪ́ ɴ
ခြေဖနောင့်	t͡ɕʰ è b ə n a̰ ʊ ɴ
ခြေဖဝါး	t͡ɕʰ è b ə w á
ခြေသည်း	t͡ɕʰ è ð é
ခြေအိတ်	t͡ɕʰ è ʔ e ɪ ʔ
ခြောက်	t͡ɕʰ a ʊ ʔ
ခြောက်လ	t͡ɕʰ a ʊ ʔ l a̰
ခြံ	t͡ɕʰ à ɴ
ခြွေ	t͡ɕʰ w è
ခွက်	kʰ w ɛ ʔ
ခွင့်	kʰ w ɪ̰ ɴ
ခွင့်လွှတ်	kʰ w ɪ̰ ɴ l̥ ʊ ʔ
ခွင်	kʰ w ɪ̀ ɴ
ခွင်	ɡ w ɪ̀ ɴ
ခွဆုံ	ɡ w a̰ z ò ʊ ɴ
ခွန်	kʰ ʊ̀ ɴ
ခွန်း	kʰ ʊ́ ɴ
ခွာ	kʰ w à
ခွာနာလျှာနာ	kʰ w à n à ʃ à n à
ခွေ	kʰ w è
ခွေး	kʰ w é
ခွေးမ	kʰ w é m a̰
ခွေးမသား	kʰ w é m a̰ ð á
ခွေးရူးပြန်ရောဂါ	kʰ w é j ú b j à ɴ j ɔ́ ɡ à
ခွေးသူတောင်းစား	kʰ w é ð ə d á ʊ ɴ z á
ခွေးအ	kʰ w é ʔ a̰
ခွေးအိမ်	kʰ w é ʔ è ɪ ɴ
ခွဲ	kʰ w ɛ́
ခွံ	kʰ ʊ̀ ɴ
ခွံဝါသီးမွှေး	kʰ ʊ̀ ɴ w à θ í m̥ w é
ဂ	ɡ a̰
ဂငယ်	ɡ a̰ ŋ ɛ̀
ဂငယ်ကွေ့	ɡ a̰ ŋ ɛ̀ ɡ w ḛ
ဂင်းနီဗစ်ဆော	ɡ ɪ́ ɴ n ì b ɪ ʔ sʰ ɔ́
ဂင်္ဂါ	ɡ ɪ̀ ɴ ɡ à
ဂဏန်း	ɡ ə n á ɴ
ဂဏန်းတွက်စက်	ɡ ə n á ɴ t w ɛ ʔ s ɛ ʔ
ဂန္ထဗေဒ	ɡ à ɴ tʰ a̰ b è d a̰
ဂန္ထဝင်	ɡ à ɴ d ə w ɪ̀ ɴ
ဂန္ဒမာ	ɡ à ɴ d ə m à
ဂန္ဓာရ	ɡ à ɴ d à ɹ a̰
ဂန္ဓာရုံ	ɡ à ɴ d à j ò ʊ ɴ
ဂန်ဂျာ	ɡ à ɴ d͡ʑ à
ဂန်ဒူး	ɡ à ɴ d ú
ဂမ္ဘီရ	ɡ à ɴ b ì j a̰
ဂမ်ဘီယာ	ɡ à ɴ b ì j à
ဂယ်လက်ဆီ	ɡ ɛ̀ l ɛ ʔ sʰ ì
ဂရင်းလန်	ɡ ə ɹ ɪ́ ɴ l à ɴ
ဂရပ်	ɡ ə ɹ a ʔ
ဂရမ်	ɡ ə ɹ à ɴ
ဂရိ	ɡ ə ɹ ḭ
ဂရိတ်ဗြိတိန်	ɡ ə ɹ e ɪ ʔ b ə ɹ ḭ t è ɪ ɴ
ဂရု	ɡ ə j ṵ
ဂရုစိုက်	d ə θ a̰ p à ɹ ə m ì
ဂလင်း	ɡ ə l ɪ́ ɴ
ဂဠုန်	ɡ ə l ò ʊ ɴ
ဂါထာ	ɡ à tʰ à
ဂါနာ	ɡ à n à
ဂါဘွန်	ɡ à b ʊ̀ ɴ
ဂိတ်	ɡ e ɪ ʔ
ဂိတ်ဆုံး	ɡ e ɪ ʔ sʰ ó ʊ ɴ
ဂိမှာန်	ɡ è ɪ ɴ m̥ à ɴ
ဂိရိမေခလာ	ɡ ḭ ɹ ḭ m è kʰ ə l à
ဂိလာန	ɡ ḭ l à n a̰
ဂိုင်ယာနာ	ɡ à ɪ ɴ j à n à
ဂိုဏ်း	ɡ ó n
ဂိုဏ်းချုပ်	ɡ á ɪ ɴ d͡ʑ o ʊ ʔ
ဂိုဏ်းထောက်	ɡ ó n d a ʊ ʔ
ဂိုဏ်းအုပ်	ɡ ó n ʔ o ʊ ʔ
ဂိုဒေါင်	ɡ ò d à ʊ ɴ
ဂီတ	ɡ ì t a̰
ဂီတပညာ	ɡ ì t a̰ p j ɪ̀ ɴ ɲ à
ဂီတသမား	ɡ ì t a̰ ð ə m á
ဂီတာ	ɡ ì t à
ဂီနီ	ɡ ì n ì
ဂီရိ	ɡ ì j ḭ
ဂုဏ်	ɡ ò ʊ ɴ
ဂုန္တန်	ɡ ò ʊ ɴ d à ɴ
ဂုန်နီအိတ်	ɡ ò ʊ ɴ n ì ʔ e ɪ ʔ
ဂုရု	ɡ ṵ ɹ ṵ
ဂူ	ɡ ù
ဂေဟဗေဒ	ɡ è h a̰ t a̰ b è d a̰
ဂေဟာ	ɡ è h à
ဂေါက်	ɡ a ʊ ʔ
ဂေါတမ	ɡ ɔ́ t ə m a̰
ဂေါတမဘုရား	ɡ ɔ́ t ə m a̰ pʰ ə j á
ဂေါပက	ɡ ɔ́ p ə k a̰
ဂေါပကအဖွဲ့	ɡ ɔ́ p ə k a̰ ʔ ə pʰ w ɛ̰
ဂေါ်	ɡ ɔ̀
ဂေါ်ဖီ	ɡ ɔ̀ b ì
ဂေါ်ဖီထုပ်	ɡ ɔ̀ b ì d o ʊ ʔ
ဂေါ်ဖီပန်း	ɡ ɔ̀ b ì p á ɴ
ဂေါ်မိတ်	ɡ ɔ̀ m e ɪ ʔ
ဂေါ်ရခါး	ɡ ɔ̀ ɹ ə kʰ á
ဂေါ်ရခါးသီး	ɡ ɔ̀ j ə kʰ á θ í
ဂေါ်လီ	ɡ ɔ̀ l ì
ဂေးရှား	ɡ é ʃ á
ဂံ	ɡ à ɴ
ဂျက်	d͡ʑ ɛ ʔ
ဂျက်လေယာဉ်	d͡ʑ ɛ ʔ l è j ɪ̀ ɴ
ဂျင်	d͡ʑ ɪ̀ ɴ
ဂျင်နရေတာ	d͡ʑ ɪ̀ ɴ n ə ɹ è t à
ဂျင်းဘောင်းဘီ	d͡ʑ ɪ́ ɴ b á ʊ ɴ b ì
ဂျပန်	d͡ʑ ə p à ɴ
ဂျမေကာ	d͡ʑ ə m è k à
ဂျလေဘီ	d͡ʑ ə l è b ì
ဂျာမနီ	d͡ʑ à m ə n ì
ဂျာမန်	d͡ʑ à m à ɴ
ဂျိုး	d͡ʑ ó
ဂျီ	d͡ʑ ì
ဂျီဘူတီ	d͡ʑ ì b ù t ì
ဂျီဩမေတြီ	d͡ʑ ì ʔ ɔ́ m è t ɹ ì
ဂျုတ်	d͡ʑ o ʊ ʔ
ဂျုံ	d͡ʑ ò ʊ ɴ
ဂျုံမှုန့်	d͡ʑ ò ʊ ɴ m̥ o̰ ʊ ɴ
ဂျူဘာ	d͡ʑ ù b à
ဂျူလိုင်	d͡ʑ ù l à ɪ ɴ
ဂျူး	d͡ʑ ú
ဂျူးဘာသာ	d͡ʑ ú b à ð à
ဂျေ	d͡ʑ è
ဂျေရုဆလင်	d͡ʑ è ɹ ṵ sʰ a̰ l ɪ̀ ɴ
ဂျော့ခ်ျ	d͡ʑ ɔ̰ t͡ɕʰ ə
ဂျော်ဂျီယာ	d͡ʑ ɔ̀ d͡ʑ ì j à
ဂျော်ဒန်	d͡ʑ ɔ̀ d à ɴ
ဂျော်နီ	d͡ʑ ɔ̀ n ì
ဂြိုဟ်	d͡ʑ ò
ဂြိုဟ်တု	d͡ʑ ò d ṵ
ဂွမ်း	ɡ ʊ́ ɴ
ဂွါတီမာလာ	ɡ w à t ì m à l à
ဂွေး	ɡ w é
ဃ	ɡ a̰
ဃကြီး	ɡ a̰ d͡ʑ í
င	ŋ a̰
ငချိတ်	ŋ ə t͡ɕʰ e ɪ ʔ
ငတ်	ŋ a ʔ
ငန်	ŋ à ɴ
ငန်း	ŋ á ɴ
ငယ်	ŋ ɛ̀
ငရုတ်	ŋ ə j o ʊ ʔ
ငရုတ်ကောင်း	ŋ ə j o ʊ ʔ ɡ á ʊ ɴ
ငရုတ်ဆီ	ŋ ə j o ʊ ʔ sʰ ì
ငရုတ်မှုန့်	ŋ ə j o ʊ ʔ m̥ o̰ ʊ ɴ
ငရဲ	ŋ ə j ɛ́
ငရဲကြီးရှစ်ထပ်	ŋ ə j ɛ́ d͡ʑ í ʃ ɪ ʔ tʰ a ʔ
ငရဲမင်း	ŋ ə j ɛ́ m ɪ́ ɴ
ငရဲသား	ŋ ə j ɛ́ ð á
ငလျင်	ŋ ə l j ɪ̀ ɴ
ငါ	ŋ à
ငါတို့	ŋ à t o̰
ငါ့	ŋ a̰
ငါး	ŋ á
ငါးကျပ်တင်	ŋ á t͡ɕ a ʔ t ɪ̀ ɴ
ငါးကြင်း	ŋ á d͡ʑ ɪ́ ɴ
ငါးခူ	ŋ ə kʰ ù
ငါးပါးသီလ	ŋ á b á θ ì l a̰
ငါးပိ	ŋ ə p ḭ
ငါးပိထောင်း	ŋ á p ḭ tʰ á ʊ ɴ
ငါးပိရည်	ŋ ə p ḭ j è
ငါးပုဏ္ဏား	ŋ ə p ò ʊ ɴ n á
ငါးပေါင်းထုပ်	ŋ ə b á ʊ ɴ d o ʊ ʔ
ငါးဖန်ခွက်	ŋ ə pʰ à ɴ ɡ w ɛ ʔ
ငါးဖယ်	ŋ ə pʰ ɛ̀
ငါးဖျင်းသလက်	ŋ ə pʰ j ɪ́ ɴ θ ə l ɛ ʔ
ငါးမန်း	ŋ ə m á ɴ
ငါးမုန့်	ŋ á m o̰ ʊ ɴ
ငါးမူး	ŋ á m ú
ငါးမျှားတံ	ŋ ə m̥ j á d à ɴ
ငါးမြစ်ချင်း	ŋ ə m j ɪ ʔ t͡ɕʰ ɪ́ ɴ
ငါးရံ့	ŋ ə j a̰ ɴ
