@	a̠ t̚ t o̞
あばら	a̠ b a̠ ɾ a̠
肋	a̠ b a̠ ɾ a̠
肋骨	a̠ b a̠ ɾ a̠ b o̞ n e̞
あばらや	a̠ b a̠ ɾ a̠ j a̠
アバランチ	a̠ b a̠ ɾ ã̠ ɲ̟ t͡ɕ i
アバン	a̠ b ã̠ ɴ
阿比	a̠ bʲ i
アピ	a̠ pʲ i
アピア	a̠ pʲ i a̠
アヒージョ	a̠ ç iː ʑ o̞
我孫子	a̠ bʲ i k o̞
亜砒酸	a̠ ç i̥ s ã̠ ɴ
アビシニア	a̠ bʲ i ɕ i ɲ̟ i a̠
アビシニアン	a̠ bʲ i ɕ i ɲ̟ i ã̠ ɴ
アフォ	a̠ ɸ o̞
安倍	a̠ b e̞
安部	a̠ b e̞
アヘアヘ	a̠ h e̞ a̠ h e̞
アベガー	a̠ b e̞ ɡ a̠ː
アヘ顔	a̠ h e̞ ɡ a̠ o̞
あべこべ	a̠ b e̞ k o̞ b e̞
アペタイザー	a̠ p e̞ t a̠ i z a̠ː
棈	a̠ b e̞ m a̠ kʲ i
阿片	a̠ h ẽ̞ ɴ
アポ	a̠ p o̞
アポイントメント	a̠ p o̞ ĩ n t o̞ m ẽ̞ n t o̞
阿呆	a̠ h o̞ː
信天翁	a̠ h o̞ː d o̞ ɾʲ i
アボカド	a̠ b o̞ k a̠ d o̞
アホ毛	a̠ h o̞ ɡ e̞
アボジ	a̠ b o̞ ʑ i
アポロー	a̠ p o̞ ɾ o̞ː
あほんだら	a̠ h õ̞ n d a̠ ɾ a̠
亜麻	a̠ m a̠
天	a̠ m a̠
尼	a̠ m a̠
甘々	a̠ m a̠ a̠ m a̠
甘い	a̠ m a̠ i
亜麻色	a̠ m a̠ i ɾ o̞
甘え	a̠ m a̠ e̞
甘海老	a̠ m a̠ e̞ bʲ i
甘えん坊	a̠ m a̠ ẽ̞ m b o̞ː
雨音	a̠ m a̠ o̞ t o̞
雨傘	a̠ m a̠ ɡ a̠ s a̠
尼崎	a̠ m a̠ ɡ a̠ s a̠ kʲ i
雨ガッパ	a̠ m a̠ ɡ a̠ p̚ p a̠
甘噛み	a̠ m a̠ ɡ a̠ mʲ i
甘辛い	a̠ m a̠ k a̠ ɾ a̠ i
甘木	a̠ m a̠ ɡʲ i
雨着	a̠ m a̠ ɡʲ i
あまごい	a̠ m a̠ ɡ o̞ i
甘酒	a̠ m a̠ z a̠ k e̞
あまざらし	a̠ m a̠ z a̠ ɾ a̠ ɕ i
あまじょっぱい	a̠ m a̠ ʑ o̞ p̚ p a̠ i
アマゾン	a̠ m a̠ z õ̞ ɴ
数多	a̠ m a̠ t a̠
雨垂れ	a̠ m a̠ d a̠ ɾ e̞
甘茶	a̠ m a̠ t͡ɕ a̠
甘っちょろい	a̠ m a̠ t̚ t͡ɕ o̞ ɾ o̞ i
尼寺	a̠ m a̠ d e̞ ɾ a̠
雨樋	a̠ m a̠ d o̞ i
甘党	a̠ m a̠ t o̞ː
あまねし	a̠ m a̠ n e̞ ɕ i
アマビエ	a̠ m a̠ bʲ i e̞
奄美	a̠ m a̠ mʲ i
甘味	a̠ m a̠ mʲ i
天南	a̠ m a̠ mʲ i n a̠ mʲ i
雨宮	a̠ m a̠ mʲ i j a̠
甘藻	a̠ m a̠ m o̞
あまもり	a̠ m a̠ m o̞ ɾʲ i
雨宿り	a̠ m a̠ j a̠ d o̞ ɾʲ i
余り	a̠ m a̠ ɾʲ i
アミ	a̠ mʲ i
網	a̠ mʲ i
醤蝦	a̠ mʲ i
編み上げ	a̠ mʲ i a̠ ɡ e̞
亜実子	a̠ mʲ i k o̞
アミジン	a̠ mʲ i ʑ ĩ ɴ
阿弥陀	a̠ mʲ i d a̠
網棚	a̠ mʲ i d a̠ n a̠
網点	a̠ mʲ i t ẽ̞ ɴ
あみど	a̠ mʲ i d o̞
アミド	a̠ mʲ i d o̞
アミノ	a̠ mʲ i n o̞
網野	a̠ mʲ i n o̞
アミノ酸	a̠ mʲ i n o̞ s ã̠ ɴ
編み物	a̠ mʲ i m o̞ n o̞
アミン	a̠ mʲ ĩ ɴ
雨	a̠ m e̞
飴	a̠ m e̞
雨上がり	a̠ m e̞ a̠ ɡ a̠ ɾʲ i
アメーバ	a̠ m e̞ː b a̠
アメ公	a̠ m e̞ k o̞ː
アメ車	a̠ m e̞ ɕ a̠
飴玉	a̠ m a̠ d a̠ m a̠
あめちゃん	a̠ m e̞ t͡ɕ ã̠ ɴ
アメピン	a̠ m e̞ pʲ ĩ ɴ
アメポチ	a̠ m e̞ p o̞ t͡ɕ i
雨模様	a̠ m e̞ m o̞ j o̞ː
アメリカ	a̠ m e̞ ɾʲ i k a̠
亜米利加	a̠ m e̞ ɾʲ i k a̠
アメリカーノ	a̠ m e̞ ɾʲ i k a̠ː n o̞
アメリカオオアカイカ	a̠ m e̞ ɾʲ i k a̠ o̞ː a̠ k a̠ i k a̠
アメリカ人	a̠ m e̞ ɾʲ i k a̠ ʑ ĩ ɴ
アメリカン	a̠ m e̞ ɾʲ i k ã̠ ɴ
飴棒	a̠ m ẽ̞ m b o̞
飴ん棒	a̠ m ẽ̞ m b o̞ː
亜門	a̠ m õ̞ ɴ
綾香	a̠ j a̠ k a̠
怪しい	a̠ j a̠ ɕ iː
あやせ	a̠ j a̠ s e̞
アヤトラ	a̠ j a̠ t o̞ ɾ a̠
綾取り	a̠ j a̠ t o̞ ɾʲ i
あやなし	a̠ j a̠ n a̠ ɕ i
過ち	a̠ j a̠ m a̠ t͡ɕ i
誤り	a̠ j a̠ m a̠ ɾʲ i
菖蒲	a̠ j a̠ m e̞
あら	a̠ ɾ a̠
𩺊	a̠ ɾ a̠
アラー	a̠ ɾ a̠ː
あらあら	a̠ ɾ a̠ː ɾ a̠
荒荒しい	a̠ ɾ a̠ a̠ ɾ a̠ ɕ iː
洗い	a̠ ɾ a̠ i
粗い	a̠ ɾ a̠ i
荒い	a̠ ɾ a̠ i
洗柿	a̠ ɾ a̠ i ɡ a̠ kʲ i
洗い髪	a̠ ɾ a̠ i ɡ a̠ mʲ i
洗い浚い	a̠ ɾ a̠ i z a̠ ɾ a̠ i
あらいば	a̠ ɾ a̠ i b a̠
あらいもの	a̠ ɾ a̠ i m o̞ n o̞
予め	a̠ ɾ a̠ k a̠ ʑ i m e̞
あらかた	a̠ ɾ a̠ k a̠ t a̠
粗金	a̠ ɾ a̠ ɡ a̠ n e̞
阿羅漢	a̠ ɾ a̠ k ã̠ ɴ
アラゴン	a̠ ɾ a̠ ɡ õ̞ ɴ
アラゴン語	a̠ ɾ a̠ ɡ õ̞ ŋ ɡ o̞
アラサー	a̠ ɾ a̠ s a̠ː
あらさがし	a̠ ɾ a̠ s a̠ ɡ a̠ ɕ i
新崎	a̠ ɾ a̠ s a̠ kʲ i
アラザン	a̠ ɾ a̠ z ã̠ ɴ
嵐	a̠ ɾ a̠ ɕ i
アラジン	a̠ ɾ a̠ ʑ ĩ ɴ
争い	a̠ ɾ a̠ s o̞ i
新た	a̠ ɾ a̠ t a̠
あらたか	a̠ ɾ a̠ t a̠ k a̠
改めて	a̠ ɾ a̠ t a̠ m e̞ t e̞
荒っぽい	a̠ ɾ a̠ p̚ p o̞ i
新手	a̠ ɾ a̠ t e̞
アラニン	a̠ ɾ a̠ ɲ̟ ĩ ɴ
アラバマ	a̠ ɾ a̠ b a̠ m a̠
アラビア	a̠ ɾ a̠ bʲ i a̠
アラビア化	a̠ ɾ a̠ bʲ i a̠ k a̠
アラビア語	a̠ ɾ a̠ bʲ i a̠ ɡ o̞
アラビア人	a̠ ɾ a̠ bʲ i a̠ ʑ ĩ ɴ
現人神	a̠ ɾ a̠ ç i̥ t o̞ ɡ a̠ mʲ i
アラフォー	a̠ ɾ a̠ ɸ o̞ː
あらへん	a̠ ɾ a̠ h ẽ̞ ɴ
あらまあ	a̠ ɾ a̠ m a̠ː
あらまし	a̠ ɾ a̠ m a̠ ɕ i
荒魂	a̠ ɾ a̠ mʲ i t a̠ m a̠
あらめ	a̠ ɾ a̠ m e̞
荒布	a̠ ɾ a̠ m e̞
アラメダ	a̠ ɾ a̠ m e̞ d a̠
阿頼耶識	a̠ ɾ a̠ j a̠ ɕ i kʲ i
あらら	a̠ ɾ a̠ ɾ a̠
荒療治	a̠ ɾ a̠ ɾʲ o̞ː ʑ i
霰	a̠ ɾ a̠ ɾ e̞
霰石	a̠ ɾ a̠ ɾ e̞ i ɕ i
アラレガコ	a̠ ɾ a̠ ɾ e̞ ɡ a̠ k o̞
あられもち	a̠ ɾ a̠ ɾ e̞ m o̞ t͡ɕ i
あられもない	a̠ ɾ a̠ ɾ e̞ m o̞ n a̠ i
アラン	a̠ ɾ ã̠ ɴ
有り	a̠ ɾʲ i
蟻	a̠ ɾʲ i
有明	a̠ ɾʲ i a̠ k e̞
ありあり	a̠ ɾʲ i a̠ ɾʲ i
有り得ない	a̠ ɾʲ i e̞ n a̠ i
ありか	a̠ ɾʲ i k a̠
有り難い	a̠ ɾʲ i ɡ a̠ t a̠ i
ありがたや	a̠ ɾʲ i ɡ a̠ t a̠ j a̠
ありがと	a̠ ɾʲ i ɡ a̠ t o̞
ありがとう	a̠ ɾʲ i ɡ a̠ t o̞ː
ありがね	a̠ ɾʲ i ɡ a̠ n e̞
ありき	a̠ ɾʲ i kʲ i
ありきたり	a̠ ɾʲ i kʲ i t a̠ ɾʲ i
アリゲーター	a̠ ɾʲ i ɡ e̞ː t a̠ː
ありさま	a̠ ɾʲ i s a̠ m a̠
在りし日	a̠ ɾʲ i ɕ i ç i
荒磯	a̠ ɾʲ i s o̞
アリゾナ	a̠ ɾʲ i z o̞ n a̠
有り体	a̠ ɾʲ i t e̞ː
ありなし	a̠ ɾʲ i n a̠ ɕ i
蟻の子	a̠ ɾʲ i n o̞ k o̞
アリバイ	a̠ ɾʲ i b a̠ i
ありゃりゃ	a̠ ɾʲ a̠ ɾʲ a̠
ありんこ	a̠ ɾʲ ĩ ŋ k o̞
亜燐酸	a̠ ɾʲ ĩ ɰ̃ s ã̠ ɴ
あれ	a̠ ɾ e̞
荒れ	a̠ ɾ e̞
唖鈴	a̠ ɾ e̞ː
アレゴリー	a̠ ɾ e̞ ɡ o̞ ɾʲ iː
あれこれ	a̠ ɾ e̞ k o̞ ɾ e̞
荒地	a̠ ɾ e̞ t͡ɕ i
アレッポ	a̠ ɾ e̞ p̚ p o̞
荒れ肌	a̠ ɾ e̞ h a̠ d a̠
あれほど	a̠ ɾ e̞ h o̞ d o̞
彼等	a̠ ɾ e̞ ɾ a̠
あれれ	a̠ ɾ e̞ ɾ e̞
アレンジ	a̠ ɾ ẽ̞ ɲ̟ d͡ʑ i
アロエ	a̠ ɾ o̞ e̞
アロマ	a̠ ɾ o̞ m a̠
アロン	a̠ ɾ õ̞ ɴ
あん	ã̠ ɴ
安	ã̠ ɴ
暗	ã̠ ɴ
案	ã̠ ɴ
餡	ã̠ ɴ
安易	ã̠ ɰ̃ i
安永	ã̠ ɰ̃ e̞ː
暗影	ã̠ ɰ̃ e̞ː
安臥	ã̠ ŋ ɡ a̠
アンカー	ã̠ ŋ k a̠ː
案外	ã̠ ŋ ɡ a̠ i
餡掛け	ã̠ ŋ k a̠ k e̞
あんがと	ã̠ ŋ ɡ a̠ t o̞
アンカラ	ã̠ ŋ k a̠ ɾ a̠
アンカレジ	ã̠ ŋ k a̠ ɾ e̞ ʑ i
暗槓	ã̠ ŋ k ã̠ ɴ
安危	ã̠ ŋʲ kʲ i
安気	ã̠ ŋʲ kʲ i
暗記	ã̠ ŋʲ kʲ i
鮟肝	ã̠ ŋʲ kʲ i m o̞
暗渠	ã̠ ŋʲ kʲ o̞
アンギラ	ã̠ ŋʲ ɡʲ i ɾ a̠
アンケート	ã̠ ŋ k e̞ː t o̞
諳厄利亜	ã̠ ŋ ɡ e̞ ɾʲ i a̠
案件	ã̠ ŋ k ẽ̞ ɴ
餡子	ã̠ ŋ k o̞
安康	ã̠ ŋ k o̞ː
鮟鱇	ã̠ ŋ k o̞ː
暗号	ã̠ ŋ ɡ o̞ː
暗号化	ã̠ ŋ ɡ o̞ː k a̠
アンゴラ	ã̠ ŋ ɡ o̞ ɾ a̠
安産	ã̠ n d͡z ã̠ ɴ
案山子	ã̠ n d͡z ã̠ ɰ̃ ɕ i
暗示	ã̠ ɲ̟ d͡ʑ i
暗所	ã̠ ɰ̃ ɕ o̞
アンジョ	ã̠ ɲ̟ d͡ʑ o̞
暗唱	ã̠ ɰ̃ ɕ o̞ː
暗礁	ã̠ ɰ̃ ɕ o̞ː
暗証	ã̠ ɰ̃ ɕ o̞ː
鞍上	ã̠ ɲ̟ d͡ʑ o̞ː
暗証番号	ã̠ ɰ̃ ɕ o̞ː b ã̠ ŋ ɡ o̞ː
安心	ã̠ ɰ̃ ɕ ĩ ɴ
安心感	ã̠ ɰ̃ ɕ ĩ ŋ k ã̠ ɴ
安静	ã̠ ɰ̃ s e̞ː
安全	ã̠ n d͡z ẽ̞ ɴ
暗然	ã̠ n d͡z ẽ̞ ɴ
安全性	ã̠ n d͡z ẽ̞ ɰ̃ s e̞ː
安全牌	ã̠ n d͡z ẽ̞ m p a̠ i
安全帽	ã̠ n d͡z ẽ̞ m b o̞ː
アンソロジー	ã̠ ɰ̃ s o̞ ɾ o̞ ʑ iː
あんた	ã̠ n t a̠
アンダー	ã̠ n d a̠ː
アンダーバー	ã̠ n d a̠ː b a̠ː
安泰	ã̠ n t a̠ i
あんたたち	ã̠ n t a̠ t a̠ t͡ɕ i
アンタナナリボ	ã̠ n t a̠ n a̠ n a̠ ɾʲ i b o̞
あんたら	ã̠ n t a̠ ɾ a̠
暗澹	ã̠ n t ã̠ ɴ
安置	ã̠ ɲ̟ t͡ɕ i
アンチノミー	ã̠ ɲ̟ t͡ɕ i n o̞ mʲ iː
アンチモン	ã̠ ɲ̟ t͡ɕ i m õ̞ ɴ
アンチョビ	ã̠ ɲ̟ t͡ɕ o̞ bʲ i
安定	ã̠ n t e̞ː
安定感	ã̠ n t e̞ː k ã̠ ɴ
安定器	ã̠ n t e̞ː kʲ i
安定剤	ã̠ n t e̞ː z a̠ i
安定性	ã̠ n t e̞ː s e̞ː
安適	ã̠ n t e̞ kʲ i
アンテナ	ã̠ n t e̞ n a̠
アンデレ	ã̠ n d e̞ ɾ e̞
暗点	ã̠ n t ẽ̞ ɴ
暗転	ã̠ n t ẽ̞ ɴ
アンド	ã̠ n d o̞
安堵	ã̠ n d o̞
アントシアニン	ã̠ n t o̞ ɕ i a̠ ɲ̟ ĩ ɴ
アンドラ	ã̠ n d o̞ ɾ a̠
アントラセン	ã̠ n t o̞ ɾ a̠ s ẽ̞ ɴ
アンドロイド	ã̠ n d o̞ ɾ o̞ i d o̞
アンドロゲン	ã̠ n d o̞ ɾ o̞ ɡ ẽ̞ ɴ
アンドロメダー	ã̠ n d o̞ ɾ o̞ m e̞ d a̠ː
アンドロメダ座	ã̠ n d o̞ ɾ o̞ m e̞ d a̠ z a̠
アントン	ã̠ n t õ̞ ɴ
行灯	ã̠ n d õ̞ ɴ
あんな	ã̠ nː a̠
アンナ	ã̠ nː a̠
案内	ã̠ nː a̠ i
案内書	ã̠ nː a̠ i ɕ o̞
案内所	ã̠ nː a̠ i ʑ o̞
案内嬢	ã̠ nː a̠ i ʑ o̞ː
案内状	ã̠ nː a̠ i ʑ o̞ː
案内人	ã̠ nː a̠ i ɲ̟ ĩ ɴ
安南	ã̠ nː ã̠ ɴ
安寧	ã̠ nː e̞ː
案の定	ã̠ nː o̞ ʑ o̞ː
安穏	ã̠ nː õ̞ ɴ
塩梅	ã̠ m b a̠ i
安牌	ã̠ m p a̠ i
アンパサンド	ã̠ m p a̠ s ã̠ n d o̞
あんパン	ã̠ m p ã̠ ɴ
安否	ã̠ m pʲ i
アンフェタミン	ã̠ ɰ̃ ɸ e̞ t a̠ mʲ ĩ ɴ
アンペア	ã̠ m p e̞ a̠
安保	ã̠ m p o̞
安本丹	ã̠ m p õ̞ n t ã̠ ɴ
あんま	ã̠ mː a̠
按摩	ã̠ mː a̠
あんまし	ã̠ mː a̠ ɕ i
アンマン	ã̠ mː ã̠ ɴ
餡饅	ã̠ mː ã̠ ɴ
安眠	ã̠ mʲː ĩ ɴ
餡餅	ã̠ mː o̞ t͡ɕ i
アンモナイト	ã̠ mː o̞ n a̠ i t o̞
アンモニア	ã̠ mː o̞ ɲ̟ i a̠
い	i
イ	i
井	i
亥	i
以	i
伊	i
位	i
依	i
偉	i
匜	i
医	i
囲	i
姨	i
威	i
尉	i
帷	i
彝	i
意	i
慰	i
扆	i
異	i
移	i
維	i
緯	i
縊	i
胃	i
胆	i
藺	i
蜘糸	i
蝟	i
違	i
遺	i
いあい	i a̠ i
イアン	i ã̠ ɴ
いい	iː
イー	iː
委蛇	i i
言い合い	iː a̠ i
いいえ	iː e̞
言い掛かり	iː ɡ a̠ k a̠ ɾʲ i
いい加減	i i k a̠ ɡ ẽ̞ ɴ
言い方	i i k a̠ t a̠
言い難い	iː ɡ a̠ t a̠ i
いい鴨	i i k a̠ m o̞
いいから	iː k a̠ ɾ a̠
いい子	iː k o̞
いい子ちゃん	i i k o̞ t͡ɕ ã̠ ɴ
いい頃	iː k o̞ ɾ o̞
EC	iː ɕ iː
イータ	iː t a̠
飯田	iː d a̠
言いたい放題	iː t a̠ i h o̞ː d a̠ i
いいたかない	iː t a̠ k a̠ n a̠ i
言い出しっ屁	i i d a̠ ɕ i p̚ p e̞
言いなり	i i n a̠ ɾʲ i
Eライン	iː ɾ a̠ ĩ ɴ
医院	i ĩ ɴ
委員	i ĩ ɴ
委員会	i ĩ ŋ k a̠ i
医院長	i ĩ ɲ̟ t͡ɕ o̞ː
委員長	i ĩ ɲ̟ t͡ɕ o̞ː
いぇ	j e̞
イェ	j e̞
イェイ	j e̞ː
イェリヴァーレ	j e̞ ɾʲ i b a̠ː ɾ e̞
家	i e̞
遺影	i e̞ː
家々	i e̞ i e̞
家路	i e̞ ʑ i
家出	i e̞ d e̞
家出人	i e̞ d e̞ ɲ̟ ĩ ɴ
雖も	i e̞ d o̞ m o̞
いえない	i e̞ n a̠ i
家並み	i e̞ n a̠ mʲ i
イエネコ	i e̞ n e̞ k o̞
家蝿	i e̞ b a̠ e̞
イエベ	i e̞ b e̞
イエメン	i e̞ m ẽ̞ ɴ
家持	i e̞ m o̞ t͡ɕ i
家持ち	i e̞ m o̞ t͡ɕ i
家茂	i e̞ m o̞ t͡ɕ i
夜来香	i e̞ ɾ a̠ i ɕ ã̠ ɴ
イエロー	i e̞ ɾ o̞ː
硫黄	i o̞ː
硫黄島	i o̞ː t o̞ː
イオタ	i o̞ t a̠
庵	i o̞ ɾʲ i
庵点	i o̞ ɾʲ i t ẽ̞ ɴ
イオン	i õ̞ ɴ
異音	i õ̞ ɴ
イ音便	i õ̞ m bʲ ĩ ɴ
以下	i k a̠
医家	i k a̠
医科	i k a̠
如何	i k a̠
烏賊	i k a̠
異化	i k a̠
衣架	i k a̠
渭河	i ɡ a̠
イカーマ	i k a̠ː m a̠
以外	i ɡ a̠ i
意外	i ɡ a̠ i
遺骸	i ɡ a̠ i
威海衛	i k a̠ i e̞ː
胃潰瘍	i k a̠ i j o̞ː
鋳掛	i k a̠ k e̞
鋳掛師	i k a̠ k e̞ ɕ i
鋳掛屋	i k a̠ k e̞ j a̠
いかさま	i k a̠ s a̠ m a̠
いかた	i k a̠ t a̠
いかだ	i k a̠ d a̠
筏	i k a̠ d a̠
鋳型	i ɡ a̠ t a̠
行かない	i k a̠ n a̠ i
いかに	i k a̠ ɲ̟ i
いかにも	i k a̠ ɲ̟ i m o̞
いかめしい	i k a̠ m e̞ ɕ iː
五十嵐	i ɡ a̠ ɾ a̠ ɕ i
怒り	i k a̠ ɾʲ i
錨	i k a̠ ɾʲ i
いかりがた	i k a̠ ɾʲ i ɡ a̠ t a̠
錨草	i k a̠ ɾʲ i s o̞ː
位冠	i k ã̠ ɴ
位官	i k ã̠ ɴ
偉観	i k ã̠ ɴ
医官	i k ã̠ ɴ
尉官	i k ã̠ ɴ
異観	i k ã̠ ɴ
移管	i k ã̠ ɴ
衣冠	i k ã̠ ɴ
遺憾	i k ã̠ ɴ
依願	i ɡ ã̠ ɴ
胃癌	i ɡ ã̠ ɴ
いかんせん	i k ã̠ ɰ̃ s ẽ̞ ɴ
いき	i kʲ i
伊木	i kʲ i
位記	i kʲ i
依稀	i kʲ i
偉器	i kʲ i
域	i kʲ i
壱岐	i kʲ i
委棄	i kʲ i
彙記	i kʲ i
彝器	i kʲ i
意気	i kʲ i
異気	i kʲ i
移記	i kʲ i
遺棄	i kʲ i
閾	i kʲ i
意義	i ɡʲ i
異議	i ɡʲ i
いきいき	i kʲ i i kʲ i
勢い	i kʲ i o̞ i
閾下	i kʲ i k a̠
域外	i kʲ i ɡ a̠ i
生き甲斐	i kʲ i ɡ a̠ i
行き帰り	i kʲ i̥ k a̠ e̞ ɾʲ i
生傾城	i kʲ i ɡ e̞ː s e̞ː
意気込み	i kʲ i ɡ o̞ mʲ i
意気地	i kʲ i ʑ i
活き締め	i kʲ i ʑ i m e̞
意気投合	i kʲ i̥ t o̞ː ɡ o̞ː
憤り	i kʲ i d o̞ː ɾʲ i
行き止まり	i kʲ i d o̞ m a̠ ɾʲ i
域内	i kʲ i n a̠ i
行き成り	i kʲ i n a̠ ɾʲ i
生き残り	i kʲ i n o̞ k o̞ ɾʲ i
いきのね	i kʲ i n o̞ n e̞
気美	i kʲ i mʲ i
生き物	i kʲ i m o̞ n o̞
依拠	i kʲ o̞
異教	i kʲ o̞ː
異郷	i kʲ o̞ː
偉業	i ɡʲ o̞ː
異形	i ɡʲ o̞ː
異形頭	i ɡʲ o̞ː a̠ t a̠ m a̠
異教徒	i kʲ o̞ː t o̞
意気揚揚	i kʲ i j o̞ː j o̞ː
池	i k e̞
行け	i k e̞
畏敬	i k e̞ː
違警罪	i k e̞ː z a̠ i
胃痙攣	i k e̞ː ɾ ẽ̞ ɴ
池岡	i k e̞ o̞ k a̠
イケオジ	i k e̞ o̞ ʑ i
生垣	i k e̞ ɡ a̠ kʲ i
池上	i k e̞ ɡ a̠ mʲ i
いけさま	i k e̞ s a̠ m a̠
活け締め	i k e̞ ʑ i m e̞
井桁	i ɡ e̞ t a̠
池田	i k e̞ d a̠
生け捕り	i k e̞ d o̞ ɾʲ i
いけない	i k e̞ n a̠ i
生贄	i k e̞ ɲ̟ i e̞
生け花	i k e̞ b a̠ n a̠
イケボ	i k e̞ b o̞
池ポチャ	i k e̞ p o̞ t͡ɕ a̠
行けません	i k e̞ m a̠ s ẽ̞ ɴ
イケメソ	i k e̞ m e̞ s o̞
イケメン	i k e̞ m ẽ̞ ɴ
池山	i k e̞ j a̠ m a̠
いけん	i k ẽ̞ ɴ
威権	i k ẽ̞ ɴ
意見	i k ẽ̞ ɴ
違憲	i k ẽ̞ ɴ
威厳	i ɡ ẽ̞ ɴ
意見書	i k ẽ̞ ɰ̃ ɕ o̞
遺孤	i k o̞
以後	i ɡ o̞
伊語	i ɡ o̞
咿唔	i ɡ o̞
囲碁	i ɡ o̞
以降	i k o̞ː
威光	i k o̞ː
意向	i k o̞ː
移行	i k o̞ː
遺稿	i k o̞ː
意向形	i k o̞ː k e̞ː
居心地	i ɡ o̞ k o̞ t͡ɕ i
イコノロジー	i k o̞ n o̞ ɾ o̞ ʑ iː
已己巳己	i k o̞ mʲ i kʲ i
イコライザ	i k o̞ ɾ a̠ i z a̠
イコライザー	i k o̞ ɾ a̠ i z a̠ː
遺恨	i k õ̞ ɴ
いさ	i s a̠
伊佐	i s a̠
いざ	i z a̠
偉才	i s a̠ i
委細	i s a̠ i
異彩	i s a̠ i
異才	i s a̠ i
いさお	i s a̠ o̞
いさかい	i s a̠ k a̠ i
居酒屋	i z a̠ k a̠ j a̠
いさぎよい	i s a̠ ɡʲ i j o̞ i
いざこざ	i z a̠ k o̞ z a̠
些か	i s a̠ s a̠ k a̠
伊邪那岐	i z a̠ n a̠ ɡʲ i
伊邪那美	i z a̠ n a̠ mʲ i
勇ましい	i s a̠ m a̠ ɕ i i
十六夜	i z a̠ j o̞ i
猶予い	i z a̠ j o̞ i
躄	i z a̠ ɾʲ i
遺産	i s ã̠ ɴ
倚子	i ɕ i
医師	i ɕ i
意志	i ɕ i
意思	i ɕ i
懿旨	i ɕ i
石	i ɕ i
縊死	i ɕ i
遺志	i ɕ i
醫師	i ɕ i
位次	i ʑ i
意地	i ʑ i
異字	i ʑ i
維持	i ʑ i
遺事	i ʑ i
遺児	i ʑ i
石井	i ɕ iː
石居	i ɕ iː
いじいじ	i ʑ i i ʑ i
石垣	i ɕ i̥ ɡ a̠ kʲ i
石狩	i ɕ i̥ k a̠ ɾʲ i
石敢當	i ɕ i ɡ ã̠ n t o̞ː
意識	i ɕ i̥ kʲ i
意識的	i ɕ i kʲ i t e̞ kʲ i
石蹴り	i ɕ i k e̞ ɾʲ i
異次元	i ʑ i ɡ ẽ̞ ɴ
石子	i ɕ i k o̞
石ころ	i ɕ i k o̞ ɾ o̞
石島	i ɕ i ʑ i m a̠
石抱	i ɕ i d a̠ kʲ i
いしだたみ	i ɕ i d a̠ t a̠ mʲ i
石館	i ɕ i d a̠ t e̞
石段	i ɕ i d ã̠ ɴ
石破	i ɕ i b a̠
石橋	i ɕ i b a̠ ɕ i
石原	i ɕ i̥ h a̠ ɾ a̠
碑	ç i
苛め	i ʑ i m e̞
苛めた	i ʑ i m e̞ t a̠
苛めっ子	i ʑ i m e̞ k̚ k o̞
苛めて	i ʑ i m e̞ t e̞
石持	i ɕ i m o̞ t͡ɕ i
医者	i ɕ a̠
慰謝	i ɕ a̠
慰謝料	i ɕ a̠ ɾʲ o̞ː
石山	i ɕ i j a̠ m a̠
遺書	i ɕ o̞
意匠	i ɕ o̞ː
衣装	i ɕ o̞ː
以上	i ʑ o̞ː
委譲	i ʑ o̞ː
異常	i ʑ o̞ː
異状	i ʑ o̞ː
いじらしい	i ʑ i ɾ a̠ ɕ iː
維新	i ɕ ĩ ɴ
偉人	i ʑ ĩ ɴ
異人	i ʑ ĩ ɴ
医生	i s e̞ː
威勢	i s e̞ː
為政	i s e̞ː
異性	i s e̞ː
異性愛	i s e̞ː a̠ i
異性愛者	i s e̞ː a̠ i ɕ a̠
異性化糖	i s e̞ː k a̠ t o̞ː
為政者	i s e̞ː ɕ a̠
異星人	i s e̞ː ʑ ĩ ɴ
異性体	i s e̞ː t a̠ i
異世界	i s e̞ k a̠ i
偉績	i s e̞ kʲ i
遺跡	i s e̞ kʲ i
いせまいり	i s e̞ m a̠ i ɾʲ i
緯線	i s ẽ̞ ɴ
以前	i z ẽ̞ ɴ
依然	i z ẽ̞ ɴ
已然	i z ẽ̞ ɴ
已然形	i z ẽ̞ ŋ k e̞ː
磯	i s o̞
いそいそ	i s o̞ i s o̞
移送	i s o̞ː
遺贈	i z o̞ː
居候	i s o̞ː ɾ o̞ː
忙しい	i s o̞ ɡ a̠ ɕ iː
急ぎ足	i s o̞ ɡʲ i a̠ ɕ i
五十路	i s o̞ ʑ i
イソシアニド	i s o̞ ɕ i a̠ ɲ̟ i d o̞
磯撫で	i s o̞ n a̠ d e̞
イソ弁	i s o̞ b ẽ̞ ɴ
磯目	i s o̞ m e̞
イソロイシン	i s o̞ ɾ o̞ i ɕ ĩ ɴ
依存	i z õ̞ ɴ
異存	i z õ̞ ɴ
依存症	i s õ̞ ɰ̃ ɕ o̞ː
板	i t a̠
痛い	i t a̠ i
遺体	i t a̠ i
偉大	i d a̠ i
医大	i d a̠ i
異体仮名	i t a̠ i ɡ a̠ n a̠
いたいけ	i t a̠ i k e̞
異体字	i t a̠ i ʑ i
