aba	a b a
anduriña	a n d u ɾ i ɲ a
anello	a n e ɟ o
anestesiar	a n e s t ɛ s j a ɾ
anfibio	a n f i b j o
anga	a ŋ ɡ a̝
anga	a ŋ k a̝
angarela	a ŋ ɡ a ɾ e l a̝
angarellas	a ŋ ɡ a ɾ e ʎ a̝ s
angazo	a ŋ ɡ a θ o̝
angosto	a ŋ ɡ o s t o
angosto	a ŋ ɡ o s t o
angosto	a ŋ ħ o s t o
angueira	a ŋ ɡ e j ɾ a̝
anguía	a ŋ ɡ i a
anguía	a ŋ ɡ i a
anguía	a ŋ ħ i a
angular	a ŋ ɡ u l a ɾ
angular	a ŋ ɡ u l a ɾ
angular	a ŋ ħ u l a ɾ
ángulo	a ŋ ɡ u l o
ángulo	a ŋ ɡ u l o
ángulo	a ŋ ħ u l o
Angumil	a ŋ ɡ u m i l
anguria	a ŋ ɡ u ɾ j a̝
ánima	a n i m a
animal	a n i m a l
animosidade	a n i m o s i d a d e
Aninovo	a n i n ɔ β o̝
aninovo	a n i n ɔ β o̝
aniversario	a n i b e ɾ s a ɾ j o
anllar	a n ʎ a ɾ
ano	a n o
anónimo	a n ɔ n i m o
anoxar	a n o ʃ a ɾ
Ansamonde	a n s a m o n d e̝
Ansariz	a n s a ɾ i θ
Anseán	a n s e a ŋ
Ansemar	a n s e m a ɾ
Ansemil	a n s e m i l
Ansemonde	a n s e m o n d e̝
Ansimonde	a n s i m o n d e̝
Ansoar	a n s o̯ a ɾ
anta	a n t a
Antártida	a n t a ɾ t i ð a
antecesor	a n t e θ e s o ɾ
antecesor	a n t e θ e s o ɾ
antecesor	a n t e s e s o ɾ
antepeito	a n t e p e j t o̝
antes	a n t e s
antigo	a n t i ɡ o
antigo	a n t i ɡ o
antigo	a n t i ħ o
antitético	a n t i t ɛ t i k o
antivirus	a n t i b i ɾ u s
antollo	a n t o ɟ o
Antón	a n t o ŋ
anual	a n u a l
anubrar	a n u β ɾ a ɾ
Anxeriz	a n ʃ e ɾ i θ
anxo	a n ʃ o
anzois	a n θ ɔ j s
anzois	a n θ ɔ j s
anzois	a n s ɔ j s
anzol	a n θ ɔ l
anzol	a n θ ɔ l
anzol	a n s ɔ l
año	a ɲ o
ao	ɔ
aos	ɔ s
apalpar	a p a l p a ɾ
apancar	a p a ŋ k a ɾ
apañar	a p a ɲ a ɾ
aparato	a p a ɾ a t o
aparcadoiro	a p a ɾ k a ð o j ɾ o̝
aparcar	a p a ɾ k a ɾ
aparellar	a p a r e ʎ a ɾ
aparello	a p a ɾ e ɟ o
aparelloa	a p a ɾ e ʎ o a̝
apartado	a p a ɾ t a d o
aparvar	a p a ɾ β a ɾ
apatía	a p a t i a
apegar	a p e ɣ a ɾ
apeiro	a p e j ɾ o̝
apeladoira	a p e l a ð o j ɾ a̝
apelido	a p e l i d o
ápice	a p i θ e
ápice	a p i θ e
ápice	a p i s e
apicultor	a p i k u l t o ɾ
aplicado	a p l i k a d o
aplicar	a p l i k a ɾ
apocalipse	a p o k a l i p s e̝
Apocalipse	a p o k a l i p s e̝
apócope	a p ɔ k o p e
apócopes	a p ɔ k o p e s
apodrecer	a p o ð ɾ e θ e ɾ
apodrecer	a p o ð ɾ e s e ɾ
apodrentar	a p o d ɾ e n t a ɾ
apostar	a p o s t a ɾ
apóstolo	a p ɔ s t ɔ l o
apoupada	a p o w p a d a
apoupadas	a p o w p a d a s
apoupado	a p o w p a d o
apoupados	a p o w p a d o s
apoupar	a p o w p a ɾ
apoupei	a p o w p e j
apoupo	a p o w p o
apremer	a p ɾ e m e ɾ
aprender	a p ɾ e n d e ɾ
aprendiz	a p ɾ e n d i θ
aprendiz	a p ɾ e n d i θ
aprendiz	a p ɾ e n d i s
apropiación	a p ɾ ɔ p j a θ j o ŋ
apropiación	a p ɾ ɔ p j a θ j o ŋ
apropiación	a p ɾ ɔ p j a s j o ŋ
apupada	a p u p a d a
apupadas	a p u p a d a s
apupado	a p u p a d o
apupados	a p u p a d o s
apupar	a p u p a ɾ
aque	a k e
aquel	a k e l
aquelas	a k ɛ l ɐ s
aqueles	a k e l ɪ s
aquén	a k e ŋ
aquí	a k i
ar	a ɾ
ara	a ɾ a
árabe	a ɾ a b e
arado	a ɾ a ð o̝
Aragón	a ɾ a ɡ o ŋ
Aragón	a ɾ a ɡ o ŋ
Aragón	a ɾ a ħ o ŋ
arame	a ɾ a m e
arameña	a ɾ a m e ɲ a
aramio	a ɾ a m j o̝
aramio	a ɾ a m j o̝
arancel	a ɾ a n θ ɛ l
arancel	a ɾ a n θ ɛ l
arancel	a ɾ a n s ɛ l
arando	a ɾ a n d o̝
arangaño	a ɾ a ŋ ɡ a ɲ o̝
arangaños	a ɾ a ŋ ɡ a ɲ o̝ s
araña	a ɾ a ɲ a̝
arañeira	a ɾ a ɲ e j ɾ a̝
arbitra	a ɾ b i t ɾ a
arbitrar	a ɾ b i t ɾ a ɾ
arbitrem	a ɾ b i t ɾ e m
árbore	a ɾ b o ɾ e
arca	a ɾ k a
arcabuz	a ɾ k a b u θ
arcabuz	a ɾ k a b u θ
arcabuz	a ɾ k a b u s
arcano	a ɾ k a n o
arcediago	a ɾ θ e d j a ɡ o
arcediago	a ɾ θ e d j a ɡ o
arcediago	a ɾ θ e d j a ħ o
arcediago	a ɾ s e d j a ħ o
arciprestado	a ɾ θ i p ɾ ɛ s t a ð o̝
arcipreste	a ɾ θ i p ɾ ɛ s t e
arcipreste	a ɾ θ i p ɾ ɛ s t e
arcipreste	a ɾ s i p ɾ ɛ s t e
arco	a ɾ k o
ardentía	a ɾ ð e n t i ɐ
ardora	a ɾ ð ɔ ɾ ɐ
arduo	a ɾ d w o
area	a ɾ e a
área	a ɾ e a
área	a ɾ j a
areal	a ɾ e a l
areixa	a ɾ ɛ j ʃ a̝
arena	a ɾ e n a
arenga	a ɾ e ŋ ɡ a
arenga	a ɾ e ŋ ɡ a
arenga	a ɾ e ŋ ħ a
arengue	a ɾ e ŋ ɡ e
arengue	a ɾ e ŋ ɡ e
arengue	a ɾ e ŋ ħ e
arenque	a ɾ e ŋ k e
arestora	a ɾ ɛ s t ɔ ɾ a
arfar	a ɾ f a ɾ
argallar	a ɾ ɣ a ʎ a ɾ
argana	a ɾ ɣ a n a̝
argola	a ɾ ɣ ɔ l a̝
árgoma	a ɾ ɣ o̝ m a̝
argon	a ɾ ɡ o ŋ
argon	a ɾ ɡ o ŋ
argon	a ɾ ħ o ŋ
argueiro	a ɾ ɣ e j ɾ o̝
argüír	a ɾ ɡ u i ɾ
argüír	a ɾ ɡ u i ɾ
argüír	a ɾ ħ u i ɾ
árido	a ɾ i d o
ariño	a ɾ i ɲ o̝
Aristóteles	a ɾ i s t ɔ t e l e s
arlequín	a ɾ l e k i ŋ
arma	a ɾ m a
armacén	a r m a θ ɛ ŋ
armacén	a r m a s̻ ɛ ŋ
armadura	a ɾ m a d u ɾ a
armaría	a r m a ɾ i a̝
armario	a ɾ m a ɾ j o
Armariz	a ɾ m a ɾ i θ
Armariz	a ɾ m a ɾ i θ
Armariz	a ɾ m a ɾ i s
Armenia	a ɾ m ɛ n j a
armentío	a ɾ m e n t i o̝
armila	a ɾ m i l a
armiño	a ɾ m i ɲ o
armisticio	a ɾ m i s t i θ j o
armisticio	a ɾ m i s t i θ j o
armisticio	a ɾ m i s t i s j o
arnal	a ɾ n a l
arnal	a ɾ n a ʊ̯
arneiro	a ɾ n e j ɾ o̝
arneiro	a ɾ n e j ɾ o̝
arnela	a ɾ n ɛ l a̝
arnela	a ɾ n ɛ l a̝
arneste	a ɾ n e s t e̝
arpeo	a ɾ p e o
arpeu	a ɾ p e w
arpista	a ɾ p i s t a
arpón	a ɾ p o ŋ
arqueiro	a ɾ k e j ɾ o
arquipélago	a ɾ k i p ɛ l a ɡ o
arquipélago	a ɾ k i p ɛ l a ɡ o
arquipélago	a ɾ k i p ɛ l a ħ o
arquitecto	a ɾ k i t ɛ k t o
arquitectura	a ɾ k i t ɛ k t u ɾ a
arquivo	a ɾ k i β o̝
arranxar	a r a n ʃ a ɾ
arre	a r e̝
arrecender	a r e θ e n d e ɾ
arrecender	a r e s e n d e ɾ
arredar	a r e ð a ɾ
arrefecer	a r e f e θ e ɾ
arrefecer	a r e f e s e ɾ
arrefriar	a r e f ɾ i a ɾ
arregazar	r e ɡ a θ a ɾ
arregazar	r e ɡ a s a ɾ
arremedar	a r e m e ð a ɾ
arreo	a r e o
arrepentir	a r e p e n t i ɾ
arrepiar	a r e p j a ɾ
arrequecer	a r e k e θ e ɾ
arrequeixar	a r e k e j ʃ a ɾ
arrequentar	a r e k e n t a ɾ
arrevesado	a r e b e s a d o
arrigar	a r i ɣ a ɾ
arrimar	a r i m a ɾ
arrincar	a r i ŋ k a ɾ
arriscado	a r i s k a d o
arriscar	a r i s k a ɾ
arrizar	a r i θ a ɾ
arrizar	a r i θ a ɾ
arrizar	a r i s a ɾ
arró	a r ɔ
arroaz	a r o a θ
arroaz	a r o a s
arrochar	a r o t͡ʃ a ɾ
arrocheiro	a r o t͡ʃ o̝
arrocho	a r o t͡ʃ o̝
arroiar	a r o j a ɾ
arrombar	a r o m β a ɾ
arrombar	a r u m β a ɾ
arrós	a r o s
arrotar	a r o t a ɾ
arroto	a r o t o̝
arroutada	a r o w t a ð a̝
arroutado	a r o w t a ð o̝
arroz	a r o θ
arroz	a r o θ
arroz	a r o s
arrufado	a r u f a ð o̝
arrufar	a r u f a ɾ
arruído	a r u i d o
arteiro	a ɾ t e j ɾ o̝
Arteixo	a ɾ t e j ʃ o̝
artello	a ɾ t e ɟ o
artesa	a ɾ t e s a
articulación	a ɾ t i k u l a θ j o ŋ
articulación	a ɾ t i k u l a θ j o ŋ
articulación	a ɾ t i k u l a s j o ŋ
artificial	a ɾ t i f i θ j a l
artificial	a ɾ t i f i θ j a l
artificial	a ɾ t i f i s j a l
artigo	a ɾ t i ɣ o̝
artista	a ɾ t i s t a
arume	a ɾ u m e̝
arume	a ɾ u m e̝
Arxemil	a ɾ ʃ e m i l
arxentino	a ɾ ʃ e n t i n o
arxentino	a ɾ ʃ ɛ n t i n o
arxón	a ɾ ʃ o ŋ
arzán	a ɾ θ a ŋ
arzaña	a ɾ θ a ɲ a̝
arzón	a ɾ θ o ŋ
arzón	a ɾ s o ŋ
as	a s
ás	a s
asa	a s a
asaño	a s a ɲ o̝
asar	a s a ɾ
Ascarís	a s k a ɾ i s
Ascariz	a s k a ɾ i θ
ascua	a s k w a
asedio	a s ɛ d j o
asegurar	a s e ɡ u ɾ a ɾ
asegurar	a s e ɡ u ɾ a ɾ
asegurar	a s e ħ u ɾ a ɾ
aseitar	a s e j t a ɾ
asemade	a s e m a ð e̝
Asenso	a s ɛ n s o̝
asentar	a s e n t a ɾ
asexar	a s e ʃ a ɾ
asexual	a s e k s w a l
asfalto	a s f a l t o
asimila	a s i m i l a
asimilación	a s i m i l a θ j o ŋ
asimilación	a s i m i l a θ j o ŋ
asimilación	a s i m i l a s j o ŋ
asimilado	a s i m i l a d o
asimilar	a s i m i l a ɾ
asinar	a s i n a ɾ
asinar	a s i n a ɾ
asistas	a s i s t a s
asistida	a s i s t i d a
asistiu	a s i s t i w
Asma	a s m a̝
asmo	a s m o̝
asmo	a ɾ m o̝
asnal	a s n a l
asno	a s n o
asoar	a s o a ɾ
asoballar	a s o β a ʎ a ɾ
asociación	a s o θ j a θ j o ŋ
asociación	a s o θ j a θ j o ŋ
asociación	a s o s j a s j o ŋ
asolagar	a s o l a ɡ a ɾ
asolagar	a s u l a ɡ a ɾ
asollar	a s o ʎ a ɾ
áspero	a s p e ɾ o
aspersorio	a s p e ɾ s ɔ ɾ j o
aspersorios	a s p e ɾ s ɔ ɾ j o s
aspiración	a s p i ɾ a θ j o ŋ
aspiración	a s p i ɾ a θ j o ŋ
aspiración	a s p i ɾ a s j o ŋ
assimilada	a s i m i l a d a
assimilado	a s i m i l a d o
assimilaçom	a s i m i l a θ o ŋ
assimilaçom	a s i m i l a θ o ŋ
assimilaçom	a s i m i l a s o ŋ
assimilação	a s i m i l a θ o ŋ
assimilação	a s i m i l a θ o ŋ
assimilação	a s i m i l a s o ŋ
assistas	a s i s t a s
assistiu	a s i s t i w
associaçom	a s o θ j a θ o ŋ
associaçom	a s o θ j a θ o ŋ
associaçom	a s o s j a s o ŋ
astrofísica	a s t ɾ o f i s i k a
astrofísico	a s t ɾ o f i s i k o
astronomía	a s t ɾ o n o m i a
astroso	a s t ɾ o s o̝
astucia	a s t u θ j a
astucia	a s t u θ j a
astucia	a s t u s j a
Asturias	a s t u ɾ j a s
asubiar	a s u β i a ɾ
asunción	a s u n θ j o ŋ
asunción	a s u n θ j o ŋ
asunción	a s u n s j o ŋ
asunto	a s u n t o
ata	a t a
atafal	a t a f a l
Atalaia	a t a l a j a̝
atalaia	a t a l a j a
atanguer	a t a ŋ ɡ e ɾ
atar	a t a ɾ
ataúde	a t a u d e
ataviar	a t a b i a ɾ
atavío	a t a b i o
Ateán	a t e a ŋ
ateigar	a t e j ɣ a ɾ
ateísmo	a t e i s m o
atención	a t e n θ j o ŋ
atención	a t e n θ j o ŋ
atención	a t e n s j o ŋ
ateo	a t e o
Atián	a t i a ŋ
atinxir	a t i ŋ ʃ i ɾ
atmosférico	a t m o s f ɛ ɾ i k o
atoar	a t o a ɾ
atol	a t ɔ l
atolar	a t o l a ɾ
átomo	a t o m o
atopar	a t o p a ɾ
atracción	a t ɾ a k θ j o ŋ
atracción	a t ɾ a k θ j o ŋ
atracción	a t ɾ a k s j o ŋ
atrapallar	a t ɾ a p a ʎ a ɾ
atrás	a t ɾ a s
atroz	a t ɾ ɔ θ
atroz	a t ɾ ɔ θ
atroz	a t ɾ ɔ s
atuar	a t u a ɾ
atuar	a t u a ɾ
atufado	a t u f a ð o̝
atuír	a t u i ɾ
atún	a t u ŋ
aturar	a t u ɾ a ɾ
aturuxar	a t u ɾ u ʃ a ɾ
aturuxo	a t u ɾ u ʃ o̝
audición	a w d i θ j o ŋ
audición	a w d i θ j o ŋ
audición	a w d i s j o ŋ
audiovisual	a w d j o b i s w a l
auga	a w ɡ a
auga	a w ɡ a
auga	a w ħ a
augardente	a w ɣ a ɾ ð ɛ n t e̝
ausencia	a w s ɛ n θ j a
ausencia	a w s ɛ n θ j a
ausencia	a w s ɛ n s j a
ausencia	a w s e n θ j a
ausencia	a w s e n θ j a
ausencia	a w s e n s j a
australiano	a w s t ɾ a l j ɐ n ʊ
Austria	a w s t ɾ j a
autenticidade	a w t ɛ n t i θ i d a d e
autenticidade	a w t ɛ n t i θ i d a d e
autenticidade	a w t ɛ n t i s i d a d e
auténtico	a w t e n t i k o
auténtico	a w t ɛ n t i k o
autismo	a w t i s m o
automaticamente	a w t o m a t i k a m e n t e
automático	a w t o m a t i k o
automóbil	a w t o m ɔ b i l
automutilación	a w t o m u t i l a θ j o ŋ
automutilación	a w t o m u t i l a θ j o ŋ
automutilación	a w t o m u t i l a s j o ŋ
autonomía	a w t o n o m i a
autor	a w t o ɾ
autoría	a w t o ɾ i a
autoridade	a w t o ɾ i d a d e
avangarda	a b a ŋ ɡ a ɾ d a
avangarda	a b a ŋ ɡ a ɾ d a
avangarda	a b a ŋ ħ a ɾ d a
avea	a β e a̝
avenida	a b e n i d a
aversión	a b e ɾ s j o ŋ
avesada	a β e s a ð a̝
arquitecto	a ɾ k i t ɛ k t o
arquitectura	a ɾ k i t ɛ k t u ɾ a
arquivo	a ɾ k i β o̝
arranxar	a r a n ʃ a ɾ
arre	a r e̝
arrecender	a r e θ e n d e ɾ
arrecender	a r e s e n d e ɾ
arredar	a r e ð a ɾ
arrefecer	a r e f e θ e ɾ
arrefecer	a r e f e s e ɾ
arrefriar	a r e f ɾ i a ɾ
arregazar	r e ɡ a θ a ɾ
arregazar	r e ɡ a s a ɾ
arremedar	a r e m e ð a ɾ
arreo	a r e o
arrepentir	a r e p e n t i ɾ
arrepiar	a r e p j a ɾ
arrequecer	a r e k e θ e ɾ
arrequeixar	a r e k e j ʃ a ɾ
arrequentar	a r e k e n t a ɾ
arrevesado	a r e b e s a d o
arrigar	a r i ɣ a ɾ
arrimar	a r i m a ɾ
arrincar	a r i ŋ k a ɾ
arriscado	a r i s k a d o
arriscar	a r i s k a ɾ
arrizar	a r i θ a ɾ
arrizar	a r i θ a ɾ
arrizar	a r i s a ɾ
arró	a r ɔ
arroaz	a r o a θ
arroaz	a r o a s
arrochar	a r o t͡ʃ a ɾ
arrocheiro	a r o t͡ʃ o̝
arrocho	a r o t͡ʃ o̝
arroiar	a r o j a ɾ
arrombar	a r o m β a ɾ
arrombar	a r u m β a ɾ
arrós	a r o s
arrotar	a r o t a ɾ
arroto	a r o t o̝
arroutada	a r o w t a ð a̝
arroutado	a r o w t a ð o̝
arroz	a r o θ
arroz	a r o θ
arroz	a r o s
arrufado	a r u f a ð o̝
arrufar	a r u f a ɾ
arruído	a r u i d o
arteiro	a ɾ t e j ɾ o̝
Arteixo	a ɾ t e j ʃ o̝
artello	a ɾ t e ɟ o
artesa	a ɾ t e s a
articulación	a ɾ t i k u l a θ j o ŋ
articulación	a ɾ t i k u l a θ j o ŋ
articulación	a ɾ t i k u l a s j o ŋ
artificial	a ɾ t i f i θ j a l
artificial	a ɾ t i f i θ j a l
artificial	a ɾ t i f i s j a l
artigo	a ɾ t i ɣ o̝
artista	a ɾ t i s t a
arume	a ɾ u m e̝
arume	a ɾ u m e̝
Arxemil	a ɾ ʃ e m i l
arxentino	a ɾ ʃ e n t i n o
arxentino	a ɾ ʃ ɛ n t i n o
arxón	a ɾ ʃ o ŋ
arzán	a ɾ θ a ŋ
arzaña	a ɾ θ a ɲ a̝
arzón	a ɾ θ o ŋ
arzón	a ɾ s o ŋ
as	a s
ás	a s
asa	a s a
asaño	a s a ɲ o̝
asar	a s a ɾ
Ascarís	a s k a ɾ i s
Ascariz	a s k a ɾ i θ
ascua	a s k w a
asedio	a s ɛ d j o
asegurar	a s e ɡ u ɾ a ɾ
asegurar	a s e ɡ u ɾ a ɾ
asegurar	a s e ħ u ɾ a ɾ
aseitar	a s e j t a ɾ
asemade	a s e m a ð e̝
Asenso	a s ɛ n s o̝
asentar	a s e n t a ɾ
asexar	a s e ʃ a ɾ
asexual	a s e k s w a l
asfalto	a s f a l t o
asimila	a s i m i l a
asimilación	a s i m i l a θ j o ŋ
asimilación	a s i m i l a θ j o ŋ
asimilación	a s i m i l a s j o ŋ
asimilado	a s i m i l a d o
asimilar	a s i m i l a ɾ
asinar	a s i n a ɾ
asinar	a s i n a ɾ
asistas	a s i s t a s
asistida	a s i s t i d a
asistiu	a s i s t i w
Asma	a s m a̝
asmo	a s m o̝
asmo	a ɾ m o̝
asnal	a s n a l
asno	a s n o
asoar	a s o a ɾ
asoballar	a s o β a ʎ a ɾ
asociación	a s o θ j a θ j o ŋ
asociación	a s o θ j a θ j o ŋ
asociación	a s o s j a s j o ŋ
asolagar	a s o l a ɡ a ɾ
asolagar	a s u l a ɡ a ɾ
asollar	a s o ʎ a ɾ
áspero	a s p e ɾ o
aspersorio	a s p e ɾ s ɔ ɾ j o
aspersorios	a s p e ɾ s ɔ ɾ j o s
aspiración	a s p i ɾ a θ j o ŋ
aspiración	a s p i ɾ a θ j o ŋ
aspiración	a s p i ɾ a s j o ŋ
assimilada	a s i m i l a d a
assimilado	a s i m i l a d o
assimilaçom	a s i m i l a θ o ŋ
assimilaçom	a s i m i l a θ o ŋ
assimilaçom	a s i m i l a s o ŋ
assimilação	a s i m i l a θ o ŋ
assimilação	a s i m i l a θ o ŋ
assimilação	a s i m i l a s o ŋ
assistas	a s i s t a s
assistiu	a s i s t i w
associaçom	a s o θ j a θ o ŋ
associaçom	a s o θ j a θ o ŋ
associaçom	a s o s j a s o ŋ
astrofísica	a s t ɾ o f i s i k a
astrofísico	a s t ɾ o f i s i k o
astronomía	a s t ɾ o n o m i a
astroso	a s t ɾ o s o̝
astucia	a s t u θ j a
astucia	a s t u θ j a
astucia	a s t u s j a
Asturias	a s t u ɾ j a s
asubiar	a s u β i a ɾ
asunción	a s u n θ j o ŋ
asunción	a s u n θ j o ŋ
asunción	a s u n s j o ŋ
asunto	a s u n t o
ata	a t a
atafal	a t a f a l
Atalaia	a t a l a j a̝
atalaia	a t a l a j a
atanguer	a t a ŋ ɡ e ɾ
atar	a t a ɾ
ataúde	a t a u d e
ataviar	a t a b i a ɾ
atavío	a t a b i o
Ateán	a t e a ŋ
ateigar	a t e j ɣ a ɾ
ateísmo	a t e i s m o
atención	a t e n θ j o ŋ
atención	a t e n θ j o ŋ
atención	a t e n s j o ŋ
ateo	a t e o
Atián	a t i a ŋ
atinxir	a t i ŋ ʃ i ɾ
atmosférico	a t m o s f ɛ ɾ i k o
atoar	a t o a ɾ
atol	a t ɔ l
atolar	a t o l a ɾ
átomo	a t o m o
atopar	a t o p a ɾ
atracción	a t ɾ a k θ j o ŋ
atracción	a t ɾ a k θ j o ŋ
atracción	a t ɾ a k s j o ŋ
atrapallar	a t ɾ a p a ʎ a ɾ
atrás	a t ɾ a s
atroz	a t ɾ ɔ θ
atroz	a t ɾ ɔ θ
atroz	a t ɾ ɔ s
atuar	a t u a ɾ
atuar	a t u a ɾ
atufado	a t u f a ð o̝
atuír	a t u i ɾ
atún	a t u ŋ
aturar	a t u ɾ a ɾ
aturuxar	a t u ɾ u ʃ a ɾ
aturuxo	a t u ɾ u ʃ o̝
audición	a w d i θ j o ŋ
audición	a w d i θ j o ŋ
audición	a w d i s j o ŋ
audiovisual	a w d j o b i s w a l
auga	a w ɡ a
auga	a w ɡ a
auga	a w ħ a
augardente	a w ɣ a ɾ ð ɛ n t e̝
ausencia	a w s ɛ n θ j a
ausencia	a w s ɛ n θ j a
ausencia	a w s ɛ n s j a
ausencia	a w s e n θ j a
ausencia	a w s e n θ j a
ausencia	a w s e n s j a
australiano	a w s t ɾ a l j ɐ n ʊ
Austria	a w s t ɾ j a
autenticidade	a w t ɛ n t i θ i d a d e
autenticidade	a w t ɛ n t i θ i d a d e
autenticidade	a w t ɛ n t i s i d a d e
auténtico	a w t e n t i k o
auténtico	a w t ɛ n t i k o
autismo	a w t i s m o
automaticamente	a w t o m a t i k a m e n t e
automático	a w t o m a t i k o
automóbil	a w t o m ɔ b i l
automutilación	a w t o m u t i l a θ j o ŋ
automutilación	a w t o m u t i l a θ j o ŋ
automutilación	a w t o m u t i l a s j o ŋ
autonomía	a w t o n o m i a
autor	a w t o ɾ
autoría	a w t o ɾ i a
autoridade	a w t o ɾ i d a d e
avangarda	a b a ŋ ɡ a ɾ d a
avangarda	a b a ŋ ɡ a ɾ d a
avangarda	a b a ŋ ħ a ɾ d a
avea	a β e a̝
avenida	a b e n i d a
aversión	a b e ɾ s j o ŋ
avesada	a β e s a ð a̝
avesar	a β e s a ɾ
avesedo	a β e s e ð o̝
avesío	a β e s i o̝
aveso	a b ɛ s o
aveso	a b e s o
Avia	a β j a̝
avinza	a β i n θ a̝
avión	a b j o ŋ
avó	a b o
avoa	a b o a
avoengo	a β o e ŋ ɡ o̝
axaneirar	a ʃ a n e j ɾ a ɾ
axar	a ʃ a ɾ
axear	a ʃ e a ɾ
axencia	a ʃ ɛ n θ j a
axencia	a ʃ ɛ n θ j a
axencia	a ʃ ɛ n s j a
axencia	a ʃ e n θ j a
axencia	a ʃ e n θ j a
axencia	a ʃ e n s j a
axente	a ʃ e n t e
axente	a ʃ ɛ n t e
axigantar	a ʃ i ɡ a n t a ɾ
axigantar	a ʃ i ɡ a n t a ɾ
axigantar	a ʃ i ħ a n t a ɾ
áxil	a ʃ i l
axiña	a ʃ i ɲ a
axir	a ʃ i ɾ
axirxilar	a ʃ i ɾ ʃ i l a ɾ
axiu	a ʃ i w
axotar	a ʃ o t a ɾ
axudar	a ʃ u d a ɾ
axustable	a ʃ u s t a b l e
aza	a θ a
azafranada	a θ a f ɾ a n a d a
azafranada	a θ a f ɾ a n a d a
azafranada	a s a f ɾ a n a d a
azaí	a θ a i
azaí	a θ a i
azaí	a s a i
azo	a θ o̝
azo	a s o̝
azor	a θ o ɾ
azor	a s o ɾ
azoso	a θ o s o
azoso	a θ o s o
azoso	a s o s o
azougue	a θ o w ɣ e̝
azougue	a s o w ɣ e̝
azouta	a θ o w t a
azouta	a θ o w t a
azouta	a s o w t a
azucre	a θ u k ɾ e
azucre	a θ u k ɾ e
azucre	a s u k ɾ e
azul	a θ u l
azul	a θ u l
azul	a s u l
azumbre	a θ u m b ɾ e
azumbre	a θ u m b ɾ e
azumbre	a s u m b ɾ e
açom	a θ o ŋ
açom	a θ o ŋ
açom	a s o ŋ
ação	a θ o ŋ
ação	a θ o ŋ
ação	a s o ŋ
Baamonde	b aː m o n d e̝
Baamonde	b a m o n d e̝
baba	b a b a
baballa	b a b a ɟ a
babar	b a b a ɾ
babuxa	b a b u ʃ a
bacallau	b a k a ɟ a w
bacelo	b a θ ɛ l o̝
bacelo	b a θ e l o̝
bacento	b a θ e n t o
bacento	b a θ e n t o
bacento	b a s e n t o
bacía	b a θ i a
bacía	b a θ i a
bacía	b a s i a
bacieiro	b a θ i e j ɾ o̝
bacieiro	b a s i e j ɾ o̝
bacinete	b a θ i n e t e̝
bacío	b a θ i o̝
bacío	b a s i o̝
bacorelo	b a k o ɾ ɛ l o̝
bacoriño	b a k o ɾ i ɲ o̝
bácoro	b a k o̝ ɾ o̝
badal	b a ð a l
badalada	b a ð a l a ð a̝
badalar	b a ð a l a ɾ
badalo	b a d a l o
badexo	b a d e ʃ o
badil	b a d i l
badúa	b a ð u a̝
baeta	b a e t a̝
bafarada	b a f a ɾ a ð a̝
bafexar	b a f e ʃ a ɾ
bafo	b a f o
bafún	b a f u ŋ
baga	b a ɡ a
baga	b a ɡ a
baga	b a ħ a
bagaña	b a ɣ a ɲ a̝
bagaxe	b a ɡ a ʃ e
bagaxe	b a ɡ a ʃ e
bagaxe	b a ħ a ʃ e
bagazo	b a ɡ a θ o
bagazo	b a ɡ a θ o
bagazo	b a ħ a θ o
bagazo	b a ħ a s o
bago	b a ɡ o
bago	b a ɡ o
bago	b a ħ o
bágoa	b a ɡ o a
bágoa	b a ɡ o a
bágoa	b a ħ o a
bagulla	b a ɣ u ʎ a̝
bagullo	b a ɡ u ɟ o
bagullo	b a ɡ u ɟ o
bagullo	b a ħ u ɟ o
bailar	b a j l a ɾ
Baiona	b a j o n a
baiuca	b a j u k a̝
baixar	b a j ʃ a ɾ
baixel	b a j ʃ ɛ l
baixo	b a j ʃ o
bala	b a l a
baladrón	b a l a ð ɾ o̝ n
balandrán	b a l a n d ɾ a ŋ
balanza	b a l a n θ a
balanza	b a l a n θ a
balanza	b a l a n s a
balastrón	b a l a s t ɾ o ŋ
Balboa	b a l b o a
balcón	b a l k o ŋ
balda	b a l d a
Baldomar	b a l d o m a ɾ
Baldomero	b a l d o m ɛ ɾ o
Baldomir	b a l d o m i ɾ
baldón	b a l d o ŋ
baldón	b a l d o ŋ
baldón	b a l d o ŋ
baldón	b a l d o ŋ
baldreu	b a l d ɾ e w
balea	b a l e a
Balea	b a l e a̝
baleato	b a l e a t o̝
Baleato	b a l e a t o̝
baleeiro	b a l e e j ɾ o̝
baleeiro	b a l i e j ɾ o̝
baleiro	b a l e j ɾ o
balistrón	b a l i s t ɾ o ŋ
baloca	b a l ɔ k a̝
baloco	b a l ɔ k o̝
balón	b a l o ŋ
baloncesto	b a l o n θ e s t o
balonvolea	b a l o m b o l e a
balor	b a l o ɾ
balouco	b a l o w k o̝
balsamizaçom	b a l s a m i θ a θ o ŋ
balsamizaçom	b a l s a m i θ a θ o ŋ
balsamizaçom	b a l s a m i s a s o ŋ
Baltar	b a l t a ɾ
baluga	b a l u ɣ a̝
Balvís	b a l β i s
Bama	b a m a̝
