a	eː
hanger	h e ɪ̯ ŋ ɹ̩
hanger	h ɛ̃ ŋ ɚ
hanger	h ɛ̃ ŋ ɹ̩
hanger	h æ ŋ ɡ ɚ
hanger	h æ ŋ ɡ ɹ̩
hanger	h e ɪ̯ ŋ ɡ ɚ
hanger	h e ɪ̯ ŋ ɡ ɹ̩
hanger	h ɛ̃ ŋ ɡ ɚ
hanger	h ɛ̃ ŋ ɡ ɹ̩
hangnail	h e ɪ ŋ n e ɪ̯ ɫ
hangry	h e ɪ̯ ŋ ɡ ɹʷ ɪ i̯
hangry	h ɛ̃ ŋ ɡ ɹʷ ɪ i̯
Hank	h e ɪ̯ ŋ k
Hank	h ɛ̃ ŋ k
hank	h e ɪ̯ ŋ k
hank	h ɛ̃ ŋ k
hanky	h e ɪ̯ ŋ kʰ ɪ i̯
hanky	h ɛ̃ ŋ kʰ ɪ i̯
happening	h æ p n ɪ ŋ
happening	h æ p n ɪ n
harangue	h ə ɹ e ɪ̯ ŋ
harangue	h ə ɹ ɛ̃ ŋ
harder	h ɑ ɹ ɾ ɚ
harsh	h ɑ ɹ ʃ
hash	h æ ʃ
hatchel	h æ t͡ʃ ə l
hatchel	h æ t͡ʃ l̩
hate	h ɛ ɪ̯ ʔ t̚
hate	h ɛ ɪ̯ t̚
hate	h e̞ ɪ̯ ʔ t̚
hate	h e̞ ɪ̯ t̚
hate	h eː ʔ t̚
hate	h eː t̚
Hawaii	h ʊ̈ w a ɪ̯ j i
Hawaii	h ʊ̈ w a ɪ̯ i
Hawaii	h ʊ̈ w ɑ j i
Hawaii	h ʊ̈ w ɑ i
Hawaii	h ʊ̈ w ɔ j i
Hawaii	h ʊ̈ w ɔ i
he	h iː
he	h ɪ j
he	h iː
he	h i
he	ç iː
he	ç i
heal	h ɪ i̯ l
hear	h ɪ ɹ̩
heartbeat	h ɑ ɹ ʔ b i ʔ
hearth	h ɑ ɹ θ
heat	h ɪ i̯ t
heave	h ɪ i̯ v
heaven	h ɛ v n̩
heavens	h ɛ v n̩ z
heckle	h ɛ k ə l
heckle	h ɛ k l̩
heckler	h ɛ k l̥ ɚ
heckler	h ɛ k l̥ ɹ̩
hectivity	h ɛ k t ɪ v ɪ ɾ i
heed	h ɪ i̯ d
heighten	h a ɪ̯ t n̩
heighten	h a ɪ̯ ʔ n̩
heir	ɛ ɚ
heir	ɛ ɹ̩
heir	e ɹ
heirloom	ɛ ɹ l u m
help	h ɛ o̯ p
help	h ɛ ʊ̯ p
Henry	h ɛ n ɹʷ ɪ i̯
Henry	h ɪ̟ n ɹʷ ɪ i̯
here	h ɪ ɹ̩
here	h i ɹ̩
heritage	h ɛ ɹ ə ɾ ɪ d͡ʒ
hermetically	h ɚ m ɛ ɾ ɪ k ə l i
hermetically	h ɚ m ɛ ɾ ɪ k l i
hew	ç uː
hex	h ɛ k s
hibernate	h ä ɪ b ɚ n e ɪ t
hibernation	h a ɪ b ɚ n e ɪ ʃ n̩
high	h a ɪ̯
highlighter	h a ɪ l a ɪ ɾ ɚ
hijra	ɦ ɪ d͡ʒ ɽ äː
hijra	ɦ iː d͡ʒ ɽ äː
hiker	h a ɪ̯ k ɚ
hiker	h a ɪ̯ k ɹ̩
hiker	h ɐ ɪ̯ k ɚ
hiker	h ɐ ɪ̯ k ɹ̩
hill	h ɪ ɫ
hill	h ɪ o̯
hill	h ɪ ʊ̯
hiller	h ɪ ɫ l ɚ
him	ɪ̈ m
hinder	h ɪ n d ɚ
hinder	h ɪ n d ɹ̩
hinder	h a ɪ̯ n d ɚ
hinder	h a ɪ̯ n d ɹ̩
hinder	h aː n d ɚ
hinder	h aː n d ɹ̩
hindrance	h ɪ n d͡ɹ̝ ə n s
hindrance	h ɪ n d̠͡ɹ̠ ˔ ə n s
hinge	h ɪ n d͡ʒ
hinter	h ɪ ɾ̃ ɚ
hippocampus	h ɪ p ə k ɛ ə m p ə s
hippocampus	h ɪ p o ʊ k ɛ ə m p ə s
hippopotamus	h ɪ p ə p ɑ ɾ ə m ə s
hitherto	h ɪ ð ə ɹ tʰ u
hitherto	h ɪ ð ə ɹ tʰ u
hitter	h ɪ ɾ ɚ
hmm	m̥ m̩ ˦˨
hmmm	m̥ m̩ː ˦˨
hold	h o ə ɫ d
holding	h ə ʉ ɫ d ɪ ŋ
holding	h ə ʊ ɫ d ɪ ŋ
holding	h o ʊ ɫ d ɪ ŋ
hole	h o ɫ
holeless	h o ʊ ɫ l ə s
holier	h ɒ ʊ l i ə
holier	h ɒ ʊ ɫ l i ə
holiest	h ɒ ʊ l i ɪ s t
holiest	h ɒ ʊ ɫ l i ɪ s t
hologram	h ɑ l ə ɡ ɹ ɛ ə m
homesick	h o ʊ̯ m s ɪ k
honyock	h ɑ n j ɑ k
hood	h ʊ̈ d
hood	h ɪ̈ d
hooker	h ʊ k ɚ
hooker	h ʊ k ɹ̩
Hoosier	h ʊ u̯ ʒ ɚ
Hoosier	h ʊ u̯ ʒ ɹ̩
hooter	h u ɾ ɚ
horse	h o̞ ɹ s
horse	h o̝ː s
Horton	ɡ ɔ ɹ ɾ n̩
Horton	ɡ ɔ ɹ ʔ n̩
Horus	h ɔː ɹ ə s
hoser	h o ʊ̯ z ɚ
hoser	h o ʊ̯ z ɹ̩
hoser	h ɔ ʊ̯ z ɚ
hoser	h ɔ ʊ̯ z ɹ̩
hospitality	h ɑ s p ɪ t æ l ə ɾ i
hospitality	h ɑ s p ɪ t æ l ɪ ɾ i
hostility	h ɑ s t ɪ l ɪ ɾ i
hostility	h ɑ s t ɪ l ə ɾ i
hottie	h ɔ ɾ i
hottie	h ɑ ɾ i
house	h a ʊ̯ s
house	h æ ʊ̯ s
Houston	h j̊ uː s t ɨ n
Houston	j̊ uː s t ɨ n
how	h ə u̯
hue	ç j u
hue	ç u
huge	ç j u̟ d͡ʒ
huge	ç u̟ d͡ʒ
hugeness	ç u̟ː d͡ʒ n ɨ s
Huguenot	ɕ u ɡ ə n ɒ t
huh	h ʌ̃
huh	h ə̃
human	ç j u̟ m ə n
human	ç j u̟ m n̩
humanity	j̊ ʊ w m æ n ɪ ɾ i
humidity	h j u m ɪ ɾ ə t i
humidity	h j u m ɪ ɾ ə ɾ i
humor	ç j uː m ɚ
hump	h ɐ m p
humph	h ə ɱ f
humph	h ɱ̩ f
humph	ɱ̊ ɱ̩ f
Humvee	h ʌ m β iː
Humvee	h ʌ ɱ v iː
hunger	h ʌ ŋ ɡ ɚ
hunger	h ʌ ŋ ɡ ɹ̩
hunter	h ʌ ɾ̃ ɚ
hyacinth	h a ɪ̯ ə s ɪ n θ
Hydra	h a ɪ̯ d ɹ ə
Hydra	h a ɪ̯ d͡ʒ ɹ ə
hydrate	h ɑ e̯ d ɹ æ ɪ̯ t
hydrate	h ɑ e̯ d ɹ æ ɪ̯ t
hydrogen	h a ɪ d͡ʒ ɹ ə d͡ʒ ə n
hydropsy	h a ɪ̯ d ɹ ɑ p s i
hyperhidrosis	h a ɪ p ə ɹ h a ɪ d ɹ o ʊ s ɪ s
hypnotic	h ɪ p̚ n ɑ ɾ ɪ k̚
hypochondriasis	h ə ɪː p ɔ ʊ k a n d͡ʒ ɹ a ɪː ə s ɪ s
hypotenuse	h a ɪ p ɑ ʔ ə n uː s
hypothesis	h a ɪ pʰ ɑ θ ə s ɪ s
hypothesize	h ʌ ɪ p ɑ θ ə s a ɪ z
hypothetical	h a ɪ p ə θ ɛ ɾ ɪ k ə ɫ
hypothetical	h a ɪ p ə θ ɛ ɾ ɪ k ɫ̩
I	a ɪ
I	ä j
I	ɑ j
I	ʌ j
I	a j
I	ɑ ɪ
I	aː
I	ɑ e̯
I	æ j
I	ä ɪ
I	ɐ ɪ
I	ə j
I	a i ˨
I	a i ˧˥
iced	a ɪ̯ s t
Iceland	a ɪ s l n̩ ʔ d̚
identity	a ɪ d ɛ n ɪ ɾ i
identity	a ɪ d ɛ n ə ɾ i
idiocy	ɪ ɾ i ə s i
idiom	ɪ d ɪ ə m
idiom	ɪ ɾ i ə m
idiosyncratic	ɪ d i o ʊ s ɪ ŋ k ɹ æ ɾ ɪ k
idiotic	ɪ ɾ i ɑ ɾ ɪ k
idol	a ɪ ɾ l̩
illegal	ɪ ɫ l i ɡ ə ɫ
illegitimacy	ɪ l ɨ d͡ʒ ɪ ɾ ɨ m ə s i
illegitimate	ɪ l ɨ d͡ʒ ɪ ɾ ə m ɨ t
illegitimate	ɪ l ɨ d͡ʒ ɪ ɾ ə m e ɪ t
illusion	ɪ l uː ʒ ə n
illustration	ɪ l ə s t ɹ̝̊ʷ e ɪ̯ ʃ ə n
illustration	ɪ l s̩ t ɹ̝̊ʷ e ɪ̯ ʃ n̩
illustration	ɪ l ə s t̠ ɹ̠̊ ˔ʷ e ɪ̯ ʃ ə n
illustration	ɪ l s̩ t̠ ɹ̠̊ ˔ʷ e ɪ̯ ʃ n̩
illustrative	ɪ l ʌ s t ɹ ə ɾ ɪ v
illustrative	ɪ l ə s t ɹ e ɪ ɾ ɪ v
imitation	ɪ m ɪ tʰ e ɪ̯ ʃ ə n
Imma	aː m ə
impeach	ɪ ɱ p ɪ i̯ t͡ʃ
impedance	ɪ m p i d n̩ s
imperative	ɪ m p ɛ ɹ ə ɾ ɪ v
implantable	ɪ m p l æ n t ə b l̩
important	ɪ m pʰ ɔ ɹ ʔ n̩ t
important	ɪ m pʰ ɔ ɹ ʔ n̩ ʔ
importantly	ɪ m pʰ ɔ ɹ ʔ n̩ t l i
importantly	ɪ m pʰ ɔ ɹ ʔ n̩ ʔ l i
impossible	ɪ m p ɑ s ə b l̩
imprecision	ɪ m p ɹ ɪ s ɪ ʒ n̩
improbability	ɪ m p ɹ ɑ b ə b ɪ l ə ɾ i
improbability	ɪ m p ɹ ɑ b ə b ɪ l ɪ ɾ i
inamorata	ɪ n æ m ə ɹ ɑː ɾ ə
incalculable	ɪ n kʰ æ ɫ k j ə l ə b l̩
incident	ɪ n s ɪ d ə n t
incident	ɪ n s ɪ d n̩ t
incidental	ɪ n s ɪ d ɛ ɾ̃ ə l
incidental	ɪ n s ɪ d ɛ n tʰ ə l
incommunicado	ɪ n k ə m j u n ɨ k ɑː d o ʊ
inconclusive	ɪ ŋ k ə ŋ k l u s ɪ v
incorporated	ɪ ŋ k ɔ ɹ p ə ɹ e ɪ ɾ ɪ d
incorporated	ɪ ŋ k ɔ ɹ p ɹ e ɪ ɾ ɪ d
incredible	ɪ̈ ŋ k ɹ̥ʷ ɛ ɾ ə b ə ɫ
incredible	ɪ̈ ŋ k ɹ̥ʷ ɛ ɾ ə b ɫ̩
incubator	ɪ n k j uː b e ɪ ɾ ɚ
indefatigable	ɪ n d ə f æ ɾ ɪ ɡ ə b ə l
Indiana	ɪ n d i e ə̯ n ə
Indiana	ɪ n d i ɛ ə̯ n ə
Indianapolis	ɪ n d ɪ i̯ ə n æ pʰ ə l ɪ s
indistinguishable	ɪ n d ɪ s t ɪ ŋ ɡ w ɪ ʃ ə b l̩
inductor	ɪ n d ʌ k tʰ ɚ
inductor	ɪ n d ʌ k tʰ ɹ̩
industrialization	ɪ n d ʌ s t͡ʃ ɹ ɪ ə l ɪ z e ɪ ʃ ə n
Indy	ɪ n d ɪ i̯
inequality	ɪ n ɪ k w ɑ l ɪ ɾ i
inevitable	ɪ n ɛ v ɪ ɾ ə b ɫ̩
inexorably	ɪ n ɛ ɡ z ə ɹ ə b l i
infallible	ɪ n f æ l ɪ b ə l
infallible	ɪ n f æ l ɪ b l̩
infallible	ɪ ɱ f æ l ɪ b ə l
infallible	ɪ ɱ f æ l ɪ b l̩
inference	ɪ ɱ f ɚ ə n s
inference	ɪ ɱ f ɹ ə n s
infestation	ɪ n f ɛ s tʰ e ɪ̯ ʃ ə n
infestation	ɪ n f ɛ s tʰ e ɪ̯ ʃ n̩
infestation	ɪ ɱ f ɛ s tʰ e ɪ̯ ʃ ə n
infestation	ɪ ɱ f ɛ s tʰ e ɪ̯ ʃ n̩
infinity	ɪ n f ɪ n ɪ ɾ i
inflamer	ɪ n f l e ɪ̯ m ɚ
inflamer	ɪ n f l e ɪ̯ m ɹ̩
inflammation	ɪ n f l ə m e ɪ̯ ʃ ə n
inflammation	ɪ n f l ə m e ɪ̯ ʃ n̩
inflammation	ɪ ɱ f l ə m e ɪ̯ ʃ ə n
inflammation	ɪ ɱ f l ə m e ɪ̯ ʃ n̩
inflammatory	ɪ n f l æ m ə tʰ o ɹ ɪ i̯
inflammatory	ɪ n f l æ m ə tʰ ɔ ɹ ɪ i̯
informatics	ɪ n f ɚ m æ ɾ ɪ k s
inhalation	ɪ n ɦ ə l e ɪ ʃ n̩
ink	ɪ ŋ k
ink	i ŋ k
inna	ɪ n̪ n̪ ə
inner	ɪ̃ ɾ̃ ɚ
innit	ɪ n ɪ ʔ
innit	ɪ n ɪ ʔ
inquisitor	ɪ n k w ɪ z ɪ tʰ ɚ
inquisitor	ɪ n k w ɪ z ɪ tʰ ɹ̩
inquisitor	ɪ ŋ k w ɪ z ɪ tʰ ɚ
inquisitor	ɪ ŋ k w ɪ z ɪ tʰ ɹ̩
inquisitor	ɪ n k w ɪ z ɪ ɾ ɚ
inquisitor	ɪ n k w ɪ z ɪ ɾ ɹ̩
inquisitor	ɪ ŋ k w ɪ z ɪ ɾ ɚ
inquisitor	ɪ ŋ k w ɪ z ɪ ɾ ɹ̩
inscripturating	ɪ n s k ɹ ɪ p t͡ʃ ə ɹ e ɪ ɾ ɪ ŋ
insensible	ɪ n s ɛ n̥ s ɪ b l̩
insight	ɪ n s ɐ ɪ̯ t
insolvency	ɪ n s ɒ l v n̩ s i
inspector	ɪ n s p ɛ k tʰ ɚ
inspector	ɪ n s p ɛ k tʰ ɹ̩
instability	ɪ n s t ə b ɪ l ə ɾ i
integer	ɪ n tʰ ə d͡ʒ ɚ
integer	ɪ n ɾ̃ ə d͡ʒ ɚ
integrative	ɪ n t ə ɡ ɹ e ɪ ɾ ɪ v
intelligibility	ɪ n t ɛ l ə d͡ʒ ə b ɪ l ɪ ɾ i
intelligibility	ɪ n t ɛ l ə d͡ʒ ə b ɪ l ə ɾ i
intensional	ɪ n tʰ ɛ n ʃ ə n ɫ̩
intentional	ɪ n tʰ ɛ n ʃ ə n ɫ̩
interchangeable	ɪ ɾ̃ ɚ t͡ʃ e ɪ n d͡ʒ ə b l̩
interconnect	ɪ ɾ̃ ɚ k ə n ɛ k t
interconnect	ɪ n ɾ ɚ k ə n ɛ k t
interconnect	ɪ n ɚ k ə n ɛ k t
intermix	ɪ n ɾ̃ ɚ m ɪ k s
international	ɪ n t ɚ n æ ʃ ə n ə ɫ
international	ɪ n t ɚ n æ ʃ ə n ɫ
international	ɪ n t ɚ n æ ʃ n ə ɫ
international	ɪ n t ɚ n æ ʃ n ɫ
international	ɪ ɾ̃ ɚ n æ ʃ ə n ə ɫ
international	ɪ ɾ̃ ɚ n æ ʃ ə n ɫ
international	ɪ ɾ̃ ɚ n æ ʃ n ə ɫ
international	ɪ ɾ̃ ɚ n æ ʃ n ɫ
Internet	ɪ ɾ̃ ɚ n ɛ t
interpretable	ɪ n t ɝ p ɹ ɪ t ə b l̩
interpreter	ɪ n t ɝ p ɹ ɪ ɾ ɚ
interrelated	ɪ n t ə ɹ ɪ l e ɪ ɾ ɪ d
interrobang	ɪ n t ə ɹ ə b æ ŋ
interrogative	ɪ n t ə ɹ ɑ ɡ ə ɾ ɪ v
interstate	ɪ ɾ̃ ɚ s t e ɪ̯ t
intimidate	ɪ n tʰ ɪ m ɪ d e ɪ̯ t
intuitive	ɪ n t j u ɪ ɾ ɪ v
intuitive	ɪ n t u ɪ ɾ ɪ v
intuitive	ɪ n t͡ʃ u ɪ ɾ ɪ v
investigate	ɪ n v ɛ s t ɪ ɡ e ɪ̯ t
investigate	ɪ n v ɛ s t ə ɡ e ɪ̯ ʔ
investigator	ɪ n v ɛ s tʰ ɪ ɡ e ɪ̯ tʰ ɚ
investigator	ɪ n v ɛ s tʰ ɪ ɡ e ɪ̯ tʰ ɹ̩
investigator	ɪ n v ɛ s tʰ ɪ ɡ e ɪ̯ ɾ ɚ
investigator	ɪ n v ɛ s tʰ ɪ ɡ e ɪ̯ ɾ ɹ̩
invincibility	ɪ n v ɪ n s ə b ɪ l ə ɾ i
invitation	ɪ n v ɪ tʰ e ɪ ʃ ə n
invitation	ɪ n v ɪ tʰ e ɪ ʃ n̩
IPA	a ɪ pʰ iː e ɪ
Ireland	ɑ ɪ ɚ l ə n d
Ireland	ʌ ɪ ɚ l ə n d
Ireland	ə ɪ ɚ l ə n d
Ireland	ɑ ɚ l ə n d
Ireland	a ɪ ɚ l ə n d
Ireland	ä ɪ ɚ ɫ ɪ̈ n d
Ireland	ɑ ɪ ə l ə n d
iris	ʌ ɪ ɹ ɪ s
irrelevant	ɪ ɹʷ ɛ l ə v ə n t
isn't	ɪ z n̩ t
Istanbul	ɪ s t ɑː m b ʊ ɫ
Istria	ɪ s t͡ʃ ɹ i ə
it	ɪ̈ t
it	ɪ t
it	ɪ̈ t
it	ɪ̈ ʔ
it	ɪ ʔ
Italy	ɪ ɾ ə l i
Italy	ɪ ʔ l i
Italy	ɪ t ə l ɪ j
Italy	i t ɐ l i
Italy	ɪ θ̠ ə l i
Italy	ɪ h ə l i
Italy	ɪ ʔ ə l i
it'd	ɪ ɾ ɪ d
it'd've	ɪ ɾ ɪ d ə v
it'd've	ɪ ɾ ɪ d
item	a ɪ̯ ɾ ə m
item	a ɪ̯ ɾ m̩
iteming	a ɪ̯ ɾ ə m ɪ ŋ
iteming	a ɪ̯ ɾ m̩ ɪ ŋ
items	a ɪ̯ ɾ ə m z
items	a ɪ̯ ɾ m̩ z
iterate	ɪ ɾ ə ɹ e ɪ t
iteration	ɪ ɾ ə ɹ e ɪ ʃ ə n
iterative	ɪ ɾ ə ɹ ə t ɪ v
iterative	ɪ ɾ ɹ ə t ɪ v
iterative	ɪ ɾ ə ɹ ə ɾ ɪ v
iterative	ɪ ɾ ɹ ə ɾ ɪ v
iterative	ɪ t ə ɹ e ɪ t ɪ v
iterative	ɪ ɾ ə ɹ e ɪ t ɪ v
iterative	ɪ ɾ ə ɹ e ɪ ɾ ɪ v
ith	a ɪ̯ θ
it'll	ɪ ɾ l̩
jabberwocky	d͡ʒ æ b ɚ w ɑ k i
jack	d͡ʒ æ k
Jack	d͡ʒ æ k
jackfruit	d͡ʒ æ k f ɹʷ ʊ u̯ t
Jackson	d͡ʒ æ k s ə n
Jackson	d͡ʒ æ k s n̩
Jacobinism	d͡ʒ æ k ə b ɪ n ɪ z m̩
Jakarta	d͡ʒ ə kʰ a ɹ ɾ ə
jam	d͡ʒ e ə m
jam	d͡ʒ ɛ ə m
Jamul	h ɑ m u ɫ
jangle	d͡ʒ e ɪ̯ ŋ ɡ ə l
jangle	d͡ʒ e ɪ̯ ŋ ɡ l̩
jangle	d͡ʒ ɛ̃ ŋ ɡ ə l
jangle	d͡ʒ ɛ̃ ŋ ɡ l̩
janitor	d͡ʒ æ n ɪ ɾ ɚ
jank	d͡ʒ æ ŋ k
jank	d͡ʒ e ɪ̯ ŋ k
jank	d͡ʒ ɛ̃ ŋ k
janky	d͡ʒ æ ŋ kʰ ɪ i̯
janky	d͡ʒ e ɪ̯ ŋ kʰ ɪ i̯
janky	d͡ʒ ɛ̃ ŋ kʰ ɪ i̯
Japan	d͡ʒ ə p ɛ ə̯ n
jar	d͡ʒ ɑː ɹ
jar	d͡ʒ ɑː
jar	d͡ʒ ɑ ɹ
jar	d͡ʒ ɐː ɹ
jar	d͡ʒ ɐː
jarring	d͡ʒ ɑː ɹ ɪ ŋ
jesty	d͡ʒ ɛ s t ɪ i̯
Jesus	d͡ʒ ɪ i̯ z ə s
Jesus	d͡ʒ ɪ i̯ z s̩
Jesus	d͡ʒ ɪ i̯ z ʌ s
Jesus	d͡ʒ ɪ i̯ z ə s
Jesus	d͡ʒ ɪ i̯ z s̩
Jesus	d͡ʒ ɪ i̯ z ɨ̞ s
Jesus	d͡ʒ iː z ɐ s
Jesus	d͡ʒ iː s ɐ s
Jesus	h e ɪ̯ s ʊ u̯ s
Jesus	h e ɪ̯ s ʊ u̯ s
Jesus	h ɛ s ʊ u̯ s
Jesus	h ɛ s ʊ u̯ s
Jesus	x e ɪ̯ s ʊ u̯ s
Jesus	x e ɪ̯ s ʊ u̯ s
Jesus	x ɛ s ʊ u̯ s
Jesus	x ɛ s ʊ u̯ s
Jesus'	d͡ʒ iː z ɨ̞ s
Jesus'	d͡ʒ iː z ɐ s
jirga	d ʒ i ɚ ɡ ə
jitter	d͡ʒ ɪ ɾ ɚ
joged	d͡ʒ o ɡ ə d
joget	d͡ʒ o ɡ ɛ t
judgemental	d͡ʒ ʌ d͡ʒ m ɛ n t l̩
Jungian	j ʊ ŋ i j ə n
Jungian	j ʊ ŋ ɡ i ə n
juniper	d͡ʒ u n ɪ̈ p ɚ
junky	d͡ʒ ʌ ŋ kʰ ɪ i̯
Jupiter	d͡ʒ u p ɪ ɾ ɚ
jussive	d͡ʒ ʌ s ɪ v
just	d͡ʒ ʌ s t
just	d͡ʒ ʌ s
just	d͡ʒ ə s
K	kʰ e ɪ
kamp	kʰ ɛ ə m p
kamp	kʰ e ə m p
kana	kʰ ɑː n ə
kangaroo	kʰ æ ŋ ɡ ə ɹ ʊ u̯
kangaroo	kʰ e ɪ̯ ŋ ɡ ə ɹ ʊ u̯
kangaroo	k ɛ̃ ŋ ɡ ə ɹ ʊ u̯
Kardashian	kʰ ɑ ɹ d æ ʃ i ə n
Kare	k aː ɾ e
Kastner	kʰ æ s t̚ n ɚ
katana	k ɪ̈ tʰ ɑ n ə
Katy	kʰ e ɪ̯ ɾ i
'kay	ʔ kʰ e ɪ̯ p̚
'kay	ʔ kʰ e ɪ̯
'kay	kʰ e ɪ̯ p̚
'kay	kʰ e ɪ̯
Kebnekaise	k ɛ b n ə k a i s ə
keep	k iː p
keep	kʰ ɪ j p
keep	kʰ ɪ j p
keep	k̟ ç iː p
keep	k̟ ç i p
keep	kʰ iː p
keep	kʰ i p
keep	k iː p
keep	k i p
keloid	k iː l ɔ ɪ d
kelvin	kʰ ɛ ɫ v ɨ n
kemb	kʰ ɛ m
kennel	kʰ ɛ n ə l
kennel	kʰ ɛ n l̩
kept	kʰ ɛ p t̚
keratolytic	k ɛ ɹ ə t o ʊ l ɪ ɾ ɪ k
kettle	kʰ ɛ tᵊ ɫ̩
kettle	kʰ ɛ ɾ ɫ̩
keyhole	kʰ ɪ i̯ h o ʊ̯ l
kick	kʰ ɪ k
kid	kʰ ɪ d
kiddie	kʰ ɪ ɾ i
kiddie	kʰ ɘ ɾ iː
kidding	kʰ ɪ d ɪ ŋ
kiddy	kʰ ɪ ɾ i
kiddy	kʰ ɘ ɾ iː
kidney	k ɪ d n ɪ i̯
kill	kʰ ɪ ɫ
kill	kʰ ɪ ʊ̯
kill	k ɪ ɤ̯
killer	kʰ ɪ l ɚ
killer	kʰ ɪ l ɹ̩
Kim	kʰ ɪ m
Kimberly	kʰ ɪ m b ɚ l i
kimono	k ɪ̈ m o ʊ̯ n o ʊ̯
kimono	k ɪ̈ m o ʊ̯ n ə
kimonoed	k ɪ̈ m o ʊ̯ n o ʊ̯ d
kimonoed	k ɪ̈ m o ʊ̯ n ɪ̈ d
kin	k̟ʰ ɪ n
kindergarten	kʰ ɪ n d ə ɹ ɡ ɑː ɹ t̬ ə n
kindergarten	kʰ ɪ n d ə ɹ ɡ ɑː ɹ t̬ n
kindergarten	kʰ ɪ n ə ɹ ɡ ɑː ɹ t̬ ə n
kindergarten	kʰ ɪ n ə ɹ ɡ ɑː ɹ t̬ n
kindergarten	kʰ ɪ ɾ̃ ə ɹ ɡ ɑː ɹ ʔ n̩
kinetic	k ɪ n ɛ ɾ ɪ k
kinetic	k a ɪ n ɛ ɾ ɪ k
king	kʰ ɪ ŋ
king	kʰ i ŋ
kink	kʰ ɪ ŋ k
kink	kʰ i ŋ k
kinsman	kʰ ɪ n z m ə n
Kirton	k ɝ ʔ n̩
kiss	kʰ ɪ s
kissper	kʰ ɪ s p ɚ
kit	kʰ ɪ t
kite	kʰ ə ɪ ʔ
kitten	kʰ ɪ t n̩
kitten	kʰ ɪ ʔ n̩
kitty	kʰ ɪ ɾ i
klikamuks	t͡ɬ ɪ k a m ə k s
knag	n e ɪ̯ ɡ
Knagg	n e ɪ̯ ɡ
knar	n ɑ ɹ
knar	n ɑ ˞
knight	n a ɪ̯ t
knocker	n ɑ k ɚ
knocker	n ɑ k ɹ̩
knowable	n o ʊ ə b ɫ̩
knowwhaddamean	n o ʊ w ɑ ɾ ə m i n
kodak	k o ʊ̯ d æ k
kodak	k ɔ ʊ̯ d æ k
kodak	kʰ o ʊ̯ ɾ æ k
kodak	kʰ ɔ ʊ̯ ɾ æ k
Koizumi	kʰ ɔ i̯ z u m i
Korea	kʰ ə ɹ i ə
Kurdistan	kʰ ɝ d ɪ s t ɛ ə̯ n
Kushner	kʰ ʊ ʃ n ɚ
l	l
l	ɫ
l	w
L	l
L	ɫ
label	l e ɪ b ɫ̩
label	l ɛ j b ə ɫ
label	l ɛ j b ɫ
label	l eː b ə ɫ
label	l eː b ɫ
label	l æ ɪ b ɫ̩
labels	l e ɪ b ɫ̩ z
ladder	l æ ɾ ɚ
lady	l e ɪ ɾ i
Lady	l e ɪ ɾ i
lag	l æ ɡ
lag	l e ɪ̯ ɡ
lagg	l e ɪ̯ ɡ
lair	l ɛ ɚ
lair	l ɛ ɹ̩
lair	l eː ɾ
lamb	l æ m
lamb	l ɛ ə̯ m
lamb	l e ə̯ m
Lambrusco	l æ m b ɹ ʊ s k o ʊ
lamina	l ɛ ə m ɪ n ə
lamp	l e ə̯ m p
lamp	l ɛ ə̯ m p
land	l æ n d
land	l a n d
land	ɫ ä n d
land	ɫ e ə̯ n d
land	ɫ ɛ ə̯ n d
land	ɫ ɛ ə̯ n d
land	l æː n d
land	l æ n d
land	l æː n d
land	l ɛː n d
land	l eː n d
land	l ɛ n d
lander	l æ n d ɚ
landmark	l ɛ a n d m ɑ ɹ k
Langevin	l ɛ ə ŋ ə v ɪ n
lank	l e ɪ̯ ŋ k
lank	l ɛ̃ ŋ k
lanky	l e ɪ̯ ŋ k ɪ i̯
lanky	l ɛ̃ ŋ k ɪ i̯
later	l e ɪ̯ ɾ ɚ
lateral	l æ ɾ ə ɹ ə ɫ
laterally	l æ ɾ ə ɹ ə l i
Latin	l æ t n̩
Latin	l æ ʔ n̩
Latinate	l æ ʔ ə n ə ʔ
Latinate	l æ ʔ ɪ n e ɪ ʔ
latter	l æ ɾ ɚ
lavender	l æ v ə n d ɚ
lavender	l æ v n̩ d ɹ̩
layer	l e ɪ̯ ɚ
layer	l e ɪ̯ ɹ̩
lazy	l e ɪ̯ z ɪ i̯
lead	l ɛ d
lead	l ɪ i̯ d
leader	l i ɾ ɚ
lean	l ɪ i̯ n
lean	l ɪ̈ i̯ n
leap	l ɪ i̯ p
learner	l ɝ n ɚ
leave	l ɪ i̯ v
leaven	l ɛ v n̩
leaves	l ɪ i̯ v z
lecture	l ɛ k t͡ʃ ɚ
lecture	l ɛ k t͡ʃ ɹ̩
leech	l ɪ i̯ t͡ʃ
leecher	l ɪ i̯ t͡ʃ ɚ
leecher	l ɪ i̯ t͡ʃ ɹ̩
leer	l ɪ ɚ
leer	l ɪ ɹ̩
leer	l i ɹ
leeway	l iː w e ɪ
leg	l ɛ ɡ
leg	l e ɪ̯ ɡ
legibility	l ɛ d͡ʒ ə b ɪ l ə ɾ i
legislation	l ɛ d͡ʒ s l e ɪ ʃ ə n
legislative	l ɛ d͡ʒ ɪ s l e ɪ ɾ ɪ v
legislative	l ɛ d͡ʒ ə s l e ɪ ɾ ɪ v
