A	a
albarikoke	a l b a ɾ i k o k e
alboroke	a l b o ɾ o k e
alda	a l d a
aldaketa	a l d a k e t a
aldapa	a l d a p a
aldatu	a l d a t u
aldatuko	a l d a t u k o
aldatze	a l d a t͡s̻ e
aldatzen	a l d a t͡s̻ e n
alde	a l d e
aldea	a l d e a
aldeak	a l d e a k
aldean	a l d e a n
aldearekin	a l d e a ɾ e k i n
aldearen	a l d e a ɾ e n
aldearengatik	a l d e a ɾ e n ɡ a t i k
aldearentzat	a l d e a ɾ e n t͡s̻ a t
aldeari	a l d e a ɾ i
aldeaz	a l d e a s̻
aldeaz	a l d e a s̻
aldeaz	a l d e a s̺
aldeei	a l d e e i̯
aldeek	a l d e e k
aldeekin	a l d e e k i n
aldeen	a l d e e n
aldeengatik	a l d e e n ɡ a t i k
aldeentzat	a l d e e n t͡s̻ a t
aldeetako	a l d e e t a k o
aldeetan	a l d e e t a n
aldeetara	a l d e e t a ɾ a
aldeetaraino	a l d e e t a ɾ a i̯ n o
aldeetaraino	a l d e e t a ɾ a ɲ o
aldeetarako	a l d e e t a ɾ a k o
aldeetarantz	a l d e e t a ɾ a n t͡s̻
aldeetatik	a l d e e t a t i k
aldeez	a l d e e s̻
aldeez	a l d e e s̻
aldeez	a l d e e s̺
aldek	a l d e k
aldeko	a l d e k o
aldera	a l d e ɾ a
alderaino	a l d e ɾ a i̯ n o
alderaino	a l d e ɾ a ɲ o
alderako	a l d e ɾ a k o
alderantz	a l d e ɾ a n t͡s̻
alderekin	a l d e ɾ e k i n
alderen	a l d e ɾ e n
alderengatik	a l d e ɾ e n ɡ a t i k
alderentzat	a l d e ɾ e n t͡s̻ a t
alderi	a l d e ɾ i
alderik	a l d e ɾ i k
aldetako	a l d e t a k o
aldetan	a l d e t a n
aldetara	a l d e t a ɾ a
aldetaraino	a l d e t a ɾ a i̯ n o
aldetaraino	a l d e t a ɾ a ɲ o
aldetarako	a l d e t a ɾ a k o
aldetarantz	a l d e t a ɾ a n t͡s̻
aldetatik	a l d e t a t i k
aldetik	a l d e t i k
aldetzat	a l d e t͡s̻ a t
aldez	a l d e s̻
aldez	a l d e s̻
aldez	a l d e s̺
aldeztu	a l d e s̻ t u
aldeztu	a l d e s̻ t u
aldeztu	a l d e s̺ t u
aldizkari	a l d i s̻ k a ɾ i
aldizkari	a l d i s̻ k a ɾ i
aldizkari	a l d i s̺ k a ɾ i
aleman	a l e m a n
alemanera	a l e m a n e ɾ a
Alemania	a l e m a n i a
alemaniar	a l e m a n i a r
alertze	a l e r t͡s̻ e
aletegi	a l e t e ɡ i
algara	a l ɡ a ɾ a
Algarbe	a l ɡ a r b e
alienatu	a l i e n a t u
Aljeria	a l ʒ e ɾ i a
Aljeria	a l x e ɾ i a
alkandora	a l k a n d o ɾ a
alkandorak	a l k a n d o ɾ a k
alkandorek	a l k a n d o ɾ e k
alkate	a l k a t e
alkatxofa	a l k a t͡ʃ o f a
alkohol	a l k o h o l
alkohol	a l k o l
alkohola	a l k o h o l a
alkohola	a l k o l a
alkoholan	a l k o h o l a n
alkoholan	a l k o l a n
alkoholen	a l k o h o l e n
alkoholen	a l k o l e n
alkoholi	a l k o h o l i
alkoholi	a l k o l i
alkoholik	a l k o h o l i k
alkoholik	a l k o l i k
alokatu	a l o k a t u
alor	a l o r
alta	a l t a
alternatibo	a l t e r n a t i b o
Altsasu	a l t͡s̺ a s̺ u
Altsasu	a l t͡s̺ a s̺ u
Altsasu	a l t͡s̻ a s̺ u
altu	a l t u
altxaprima	a l t͡ʃ a p r i m a
altxatu	a l t͡ʃ a t u
altxoin	a l t͡ʃ o i̯ n
altxor	a l t͡ʃ o r
Altzaga	a l t͡s̻ a ɡ a
altzari	a l t͡s̻ a ɾ i
alu	a l u
aluminio	a l u m i n i o
ama	a m a
amaginarreba	a m a ɡ i n a r e b a
amaginarreba	a m a ɡ i ɲ a r e b a
amaginarrebakide	a m a ɡ i n a r e b a k i d e
amaginarrebakide	a m a ɡ i ɲ a r e b a k i d e
amai	a m a i̯
Amaia	a m a i̯ a
amaiera	a m a i̯ e ɾ a
amaitu	a m a i̯ t u
amama	a m a m a
amaraun	a m a ɾ a u̯ n
amatasun	a m a t a s̺ u n
amatatu	a m a t a t u
amerikano	a m e ɾ i k a n o
amesgaizto	a m e s̺ ɡ a i̯ s̻ t o
amesgaizto	a m e s̺ ɡ a i̯ s̻ t o
amesgaizto	a m e s̺ ɡ a i̯ s̺ t o
amestu	a m e s̺ t u
amets	a m e t͡s̺
amets	a m e t͡s̺
amets	a m e t͡s̻
ametz	a m e t͡s̻
amiamoko	a m i a m o k o
amildu	a m i l d u
amodio	a m o d i o
amona	a m o n a
amore	a m o ɾ e
amorratu	a m o r a t u
amu	a m u
anabasa	a n a b a s̺ a
anagrama	a n a ɡ r a m a
anaia	a n a i̯ a
anakroniko	a n a k r o n i k o
anakronismo	a n a k r o n i s̺ m o
anana	a n a n a
anarkia	a n a r k i a
anarkismo	a n a r k i s̺ m o
anarkista	a n a r k i s̺ t a
anatomia	a n a t o m i a
anbulantzia	a m b u l a n t͡s̻ i a
Andaia	a n d a i̯ a
Andaluzia	a n d a l u s̻ i a
Andaluzia	a n d a l u s̻ i a
Andaluzia	a n d a l u s̺ i a
andeatu	a n d e a t u
Ander	a n d e r
andere	a n d e ɾ e
andereño	a n d e ɾ e ɲ o
Andoain	a n d o a i̯ n
Andoni	a n d o n i
Andorra	a n d o r a
andorratar	a n d o r a t a r
andorratarra	a n d o r a t a r a
andorratarrak	a n d o r a t a r a k
andorratarraren	a n d o r a t a r a ɾ e n
andorratarrari	a n d o r a t a r a ɾ i
andorratarrei	a n d o r a t a r e i̯
andorratarrek	a n d o r a t a r e k
andorratarren	a n d o r a t a r e n
andorratarri	a n d o r a t a r i
andre	a n d r e
andregai	a n d r e ɡ a i̯
angelu	a n ɡ e l u
Angola	a n ɡ o l a
angula	a n ɡ u l a
angurri	a n ɡ u r i
animalia	a n i m a l i a
animatu	a n i m a t u
anime	a n i m e
anker	a n k e r
Antartika	a n t a r t i k a
Antigua	a n t i ɡ w a
antiheroi	a n t i h e ɾ o i̯
antiheroi	a n t i e ɾ o i̯
antilope	a n t i l o p e
antilope	a n t i ʎ o p e
antimikrobiar	a n t i m i k r o b i a r
antolakunde	a n t o l a k u n d e
Anton	a n t o n
antropologia	a n t r o p o l o ɡ i a
Antsoain	a n t͡s̺ o a i̯ n
Antsoain	a n t͡s̺ o a i̯ n
Antsoain	a n t͡s̻ o a i̯ n
Antton	a n c o n
antxeta	a n t͡ʃ e t a
Antxieta	a n t͡ʃ i e t a
antxoa	a n t͡ʃ o a
Antxon	a n t͡ʃ o n
antz	a n t͡s̻
antzara	a n t͡s̻ a ɾ a
antzeratu	a n t͡s̻ e ɾ a t u
antzerki	a n t͡s̻ e r k i
apaiz	a p a i̯ s̻
apaiz	a p a i̯ s̻
apaiz	a p a i̯ s̺
apaizgai	a p a i̯ s̻ ɡ a i̯
apaizgai	a p a i̯ s̻ ɡ a i̯
apaizgai	a p a i̯ s̺ ɡ a i̯
apal	a p a l
apaldu	a p a l d u
apar	a p a r
aparkaleku	a p a r k a l e k u
aparkatu	a p a r k a t u
apez	a p e s̻
apez	a p e s̻
apez	a p e s̺
apezpiku	a p e s̻ p i k u
apezpiku	a p e s̻ p i k u
apezpiku	a p e s̺ p i k u
apiril	a p i ɾ i l
apo	a p o
Apolo	a p o l o
aporofobia	a p o ɾ o f o b i a
aprobetxategi	a p r o b e t͡ʃ a t e ɡ i
apur	a p u r
apurtu	a p u r t u
ar	a r
Araba	a ɾ a b a
arabera	a ɾ a b e ɾ a
arabiera	a ɾ a b i e ɾ a
arabisagar	a ɾ a b i s̺ a ɡ a r
aragoiera	a ɾ a ɡ o i̯ e ɾ a
aramu	a ɾ a m u
aran	a ɾ a n
aranondo	a ɾ a n o n d o
Arantxa	a ɾ a n t͡ʃ a
arantza	a ɾ a n t͡s̻ a
Arantzazu	a ɾ a n t͡s̻ a s̻ u
Arantzazu	a ɾ a n t͡s̻ a s̻ u
Arantzazu	a ɾ a n t͡s̻ a s̺ u
arazi	a ɾ a s̻ i
arazi	a ɾ a s̻ i
arazi	a ɾ a s̺ i
arbaso	a r b a s̺ o
arbel	a r b e l
arbela	a r b e l a
arbeletxeko	a r b e l e t͡ʃ e k o
arbola	a r b o l a
Arbona	a r b o n a
ardi	a r d i
ardo	a r d o
ardogile	a r d o ɡ i l e
ardogile	a r d o ɡ i ʎ e
ardura	a r d u ɾ a
arduratu	a r d u ɾ a t u
are	a ɾ e
Arellano	a ɾ e ʎ a n o
argazki	a r ɡ a s̻ k i
argazki	a r ɡ a s̻ k i
argazki	a r ɡ a s̺ k i
argazkigintza	a r ɡ a s̻ k i ɡ i n t͡s̻ a
argazkigintza	a r ɡ a s̻ k i ɡ i n t͡s̻ a
argazkigintza	a r ɡ a s̺ k i ɡ i n t͡s̻ a
argazkilari	a r ɡ a s̻ k i l a ɾ i
argazkilari	a r ɡ a s̻ k i l a ɾ i
argazkilari	a r ɡ a s̺ k i l a ɾ i
argazkilaritza	a r ɡ a s̻ k i l a ɾ i t͡s̻ a
argazkilaritza	a r ɡ a s̻ k i l a ɾ i t͡s̻ a
argazkilaritza	a r ɡ a s̺ k i l a ɾ i t͡s̻ a
Argentina	a r ɡ e n t i n a
Argentina	a r ɡ e n t i ɲ a
argi	a r ɡ i
argitsu	a r ɡ i t͡s̺ u
argitsu	a r ɡ i t͡s̺ u
argitsu	a r ɡ i t͡s̻ u
ari	a ɾ i
ariketa	a ɾ i k e t a
arin	a ɾ i n
aristokratiko	a ɾ i s̺ t o k r a t i k o
aristokrazia	a ɾ i s̺ t o k r a s̻ i a
aristokrazia	a ɾ i s̺ t o k r a s̻ i a
aristokrazia	a ɾ i s̺ t o k r a s̺ i a
Aristotele	a ɾ i s̺ t o t e l e
aritz	a ɾ i t͡s̻
arkakuso	a r k a k u s̺ o
arkela	a r k e l a
arkume	a r k u m e
armairu	a r m a i̯ ɾ u
Armenia	a r m e n i a
armeniar	a r m e n i a r
armeniera	a r m e n i e ɾ a
armiarma	a r m i a r m a
arnasa	a r n a s̺ a
Arnaut	a r n a u̯ t
arnegu	a r n e ɡ u
aro	a ɾ o
arotz	a ɾ o t͡s̻
Aroztegi	a ɾ o s̻ t e ɡ i
Aroztegi	a ɾ o s̻ t e ɡ i
Aroztegi	a ɾ o s̺ t e ɡ i
aroztegi	a ɾ o s̻ t e ɡ i
aroztegi	a ɾ o s̻ t e ɡ i
aroztegi	a ɾ o s̺ t e ɡ i
arpoi	a r p o i̯
arrain	a r a i̯ n
Arrangoitze	a r a n ɡ o i̯ t͡s̻ e
arrano	a r a n o
arranotegi	a r a n o t e ɡ i
arrantzale	a r a n t͡s̻ a l e
arraro	a r a ɾ o
Arrasate	a r a s̺ a t e
arrastatu	a r a s̺ t a t u
arratoi	a r a t o i̯
arrats	a r a t͡s̺
arrats	a r a t͡s̺
arrats	a r a t͡s̻
arratsaldi	a r a t͡s̺ a l d i
arraun	a r a u̯ n
arrautza	a r a u̯ t͡s̻ a
arrautzopil	a r a u̯ t͡s̻ o p i l
arraza	a r a s̻ a
arraza	a r a s̻ a
arraza	a r a s̺ a
arrazoi	a r a s̻ o i̯
arrazoi	a r a s̻ o i̯
arrazoi	a r a s̺ o i̯
arre	a r e
arreba	a r e b a
arreta	a r e t a
Arrieta	a r i e t a
Arrigorriaga	a r i ɡ o r i a ɡ a
arriskatu	a r i s̺ k a t u
arrisku	a r i s̺ k u
arriskutsu	a r i s̺ k u t͡s̺ u
arriskutsu	a r i s̺ k u t͡s̺ u
arriskutsu	a r i s̺ k u t͡s̻ u
arroda	a r o d a
arropa	a r o p a
arrosa	a r o s̺ a
arrotz	a r o t͡s̻
arroz	a r o s̻
arroz	a r o s̻
arroz	a r o s̺
arrunt	a r u n t
artaburu	a r t a b u ɾ u
arte	a r t e
artifizial	a r t i f i s̻ i a l
artifizial	a r t i f i s̻ i a l
artifizial	a r t i f i s̺ i a l
artile	a r t i l e
artile	a r t i ʎ e
artillari	a r t i ʎ a ɾ i
artisau	a r t i s̺ a u̯
artista	a r t i s̺ t a
artizar	a r t i s̻ a r
artizar	a r t i s̻ a r
artizar	a r t i s̺ a r
Artizarra	a r t i s̻ a r a
Artizarra	a r t i s̻ a r a
Artizarra	a r t i s̺ a r a
arto	a r t o
artseniko	a r t͡s̺ e n i k o
artseniko	a r t͡s̺ e n i k o
artseniko	a r t͡s̻ e n i k o
artxipelago	a r t͡ʃ i p e l a ɡ o
artzain	a r t͡s̻ a i̯ n
asaba	a s̺ a b a
asaldatu	a s̺ a l d a t u
asimila	a s̺ i m i l a
asimilatu	a s̺ i m i l a t u
asimilazio	a s̺ i m i l a s̻ i o
asimilazio	a s̺ i m i l a s̻ i o
asimilazio	a s̺ i m i l a s̺ i o
askatasun	a s̺ k a t a s̺ u n
askatu	a s̺ k a t u
aske	a s̺ k e
aski	a s̺ k i
asko	a s̺ k o
asmatu	a s̺ m a t u
asmo	a s̺ m o
asperkunde	a s̺ p e r k u n d e
aspertu	a s̺ p e r t u
aspertuta	a s̺ p e r t u t a
aste	a s̺ t e
astearte	a s̺ t e a r t e
asteartero	a s̺ t e a r t e ɾ o
asteazken	a s̺ t e a s̻ k e n
asteazken	a s̺ t e a s̻ k e n
asteazken	a s̺ t e a s̺ k e n
asteazkenero	a s̺ t e a s̻ k e n e ɾ o
asteazkenero	a s̺ t e a s̻ k e n e ɾ o
asteazkenero	a s̺ t e a s̺ k e n e ɾ o
asteburu	a s̺ t e b u ɾ u
astelehen	a s̺ t e l e h e n
astelehen	a s̺ t e l e n
astelehenero	a s̺ t e l e h e n e ɾ o
astelehenero	a s̺ t e l e n e ɾ o
astero	a s̺ t e ɾ o
asteroide	a s̺ t e ɾ o i̯ d e
astigar	a s̺ t i ɡ a r
astindu	a s̺ t i n d u
asto	a s̺ t o
astronautika	a s̺ t r o n a u̯ t i k a
astronomia	a s̺ t r o n o m i a
asturiera	a s̺ t u ɾ i e ɾ a
asun	a s̺ u n
atari	a t a ɾ i
atariko	a t a ɾ i k o
ate	a t e
ateismo	a t e i s̺ m o
Atena	a t e n a
atera	a t e ɾ a
aterpe	a t e r p e
atoi	a t o i̯
atorra	a t o r a
atsegin	a t͡s̺ e ɡ i n
atsegin	a t͡s̺ e ɡ i n
atsegin	a t͡s̻ e ɡ i n
atso	a t͡s̺ o
atso	a t͡s̺ o
atso	a t͡s̻ o
atsokeria	a t͡s̺ o k e ɾ i a
atsokeria	a t͡s̺ o k e ɾ i a
atsokeria	a t͡s̻ o k e ɾ i a
atsotitz	a t͡s̺ o t i t͡s̻
atsotitz	a t͡s̺ o t i t͡s̻
atsotitz	a t͡s̻ o t i t͡s̻
atsotitza	a t͡s̺ o t i t͡s̻ a
atsotitza	a t͡s̺ o t i t͡s̻ a
atsotitza	a t͡s̻ o t i t͡s̻ a
atsotitzik	a t͡s̺ o t i t͡s̻ i k
atsotitzik	a t͡s̺ o t i t͡s̻ i k
atsotitzik	a t͡s̻ o t i t͡s̻ i k
atsotizlari	a t͡s̺ o t i s̻ l a ɾ i
atsotizlari	a t͡s̺ o t i s̻ l a ɾ i
atsotizlari	a t͡s̻ o t i s̺ l a ɾ i
atsotu	a t͡s̺ o t u
atsotu	a t͡s̺ o t u
atsotu	a t͡s̻ o t u
atun	a t u n
atxeki	a t͡ʃ e k i
atxekiko	a t͡ʃ e k i k o
atxekitze	a t͡ʃ e k i t͡s̻ e
atxekitzen	a t͡ʃ e k i t͡s̻ e n
atxiki	a t͡ʃ i k i
atxilotu	a t͡ʃ i l o t u
atxilotu	a t͡ʃ i ʎ o t u
atzamar	a t͡s̻ a m a r
atzapar	a t͡s̻ a p a r
atze	a t͡s̻ e
atzealde	a t͡s̻ e a l d e
atzean	a t͡s̻ e a n
atzelari	a t͡s̻ e l a ɾ i
atzera	a t͡s̻ e ɾ a
atzerritar	a t͡s̻ e r i t a r
atzo	a t͡s̻ o
atzodanik	a t͡s̻ o d a n i k
atzoko	a t͡s̻ o k o
atzotik	a t͡s̻ o t i k
audifono	a u̯ d i f o n o
auhen	a u̯ h e n
auhen	a u̯ e n
auhendatu	a u̯ h e n d a t u
auhendatu	a u̯ e n d a t u
aukera	a u̯ k e ɾ a
aukeraketa	a u̯ k e ɾ a k e t a
aukeratu	a u̯ k e ɾ a t u
aukeratuko	a u̯ k e ɾ a t u k o
aukeratze	a u̯ k e ɾ a t͡s̻ e
aukeratzen	a u̯ k e ɾ a t͡s̻ e n
aulki	a u̯ l k i
aulkigile	a u̯ l k i ɡ i l e
aulkigile	a u̯ l k i ɡ i ʎ e
aupa	a u̯ p a
aurba	a u̯ r b a
aurka	a u̯ r k a
aurki	a u̯ r k i
aurkikunde	a u̯ r k i k u n d e
aurkitu	a u̯ r k i t u
aurkituko	a u̯ r k i t u k o
aurkitze	a u̯ r k i t͡s̻ e
aurkitzen	a u̯ r k i t͡s̻ e n
aurpegi	a u̯ r p e ɡ i
aurre	a u̯ r e
aurrera	a u̯ r e ɾ a
aurrerabide	a u̯ r e ɾ a b i d e
aurten	a u̯ r t e n
ausart	a u̯ s̺ a r t
ausartu	a u̯ s̺ a r t u
auskalo	a u̯ s̺ k a l o
Australia	a u̯ s̺ t r a l i a
Austria	a u̯ s̺ t r i a
austriar	a u̯ s̺ t r i a r
autismo	a u̯ t i s̺ m o
auto	a u̯ t o
autobide	a u̯ t o b i d e
automatiko	a u̯ t o m a t i k o
auzo	a u̯ s̻ o
auzo	a u̯ s̻ o
auzo	a u̯ s̺ o
axo	a ʃ o
aza	a s̻ a
aza	a s̻ a
aza	a s̺ a
azal	a s̻ a l
azal	a s̻ a l
azal	a s̺ a l
azaldu	a s̻ a l d u
azaldu	a s̻ a l d u
azaldu	a s̺ a l d u
azalore	a s̻ a l o ɾ e
azalore	a s̻ a l o ɾ e
azalore	a s̺ a l o ɾ e
azalpen	a s̻ a l p e n
azalpen	a s̻ a l p e n
azalpen	a s̺ a l p e n
azaro	a s̻ a ɾ o
azaro	a s̻ a ɾ o
azaro	a s̺ a ɾ o
azazkal	a s̻ a s̻ k a l
azazkal	a s̻ a s̻ k a l
azazkal	a s̺ a s̺ k a l
azenario	a s̻ e n a ɾ i o
azenario	a s̻ e n a ɾ i o
azenario	a s̺ e n a ɾ i o
Azerbaijan	a s̻ e r b a i̯ ɟ a n
Azerbaijan	a s̻ e r b a i̯ j a n
Azerbaijan	a s̻ e r b a i̯ j a n
Azerbaijan	a s̺ e r b a i̯ d͡ʒ a n
Azerbaijan	a s̻ e r b a i̯ j a n
azerbaijandar	a s̻ e r b a i̯ ɟ a n d a r
azerbaijandar	a s̻ e r b a i̯ j a n d a r
azerbaijandar	a s̻ e r b a i̯ j a n d a r
azerbaijandar	a s̺ e r b a i̯ d͡ʒ a n d a r
azerbaijandar	a s̻ e r b a i̯ j a n d a r
azerbaijanera	a s̻ e r b a i̯ ɟ a n e ɾ a
azerbaijanera	a s̻ e r b a i̯ j a n e ɾ a
azerbaijanera	a s̻ e r b a i̯ j a n e ɾ a
azerbaijanera	a s̺ e r b a i̯ d͡ʒ a n e ɾ a
azerbaijanera	a s̻ e r b a i̯ j a n e ɾ a
azeri	a s̻ e ɾ i
azeri	a s̻ e ɾ i
azeri	a s̺ e ɾ i
azerikeria	a s̻ e ɾ i k e ɾ i a
azerikeria	a s̻ e ɾ i k e ɾ i a
azerikeria	a s̺ e ɾ i k e ɾ i a
azeriki	a s̻ e ɾ i k i
azeriki	a s̻ e ɾ i k i
azeriki	a s̺ e ɾ i k i
azerikume	a s̻ e ɾ i k u m e
azerikume	a s̻ e ɾ i k u m e
azerikume	a s̺ e ɾ i k u m e
azeritegi	a s̻ e ɾ i t e ɡ i
azeritegi	a s̻ e ɾ i t e ɡ i
azeritegi	a s̺ e ɾ i t e ɡ i
azido	a s̻ i d o
azido	a s̻ i d o
azido	a s̺ i d o
azienda	a s̻ i e n d a
azienda	a s̻ i e n d a
azienda	a s̺ i e n d a
azkar	a s̻ k a r
azkar	a s̻ k a r
azkar	a s̺ k a r
Azkarate	a s̻ k a ɾ a t e
Azkarate	a s̻ k a ɾ a t e
Azkarate	a s̺ k a ɾ a t e
Azkarraga	a s̻ k a r a ɡ a
azkarregi	a s̻ k a r e ɡ i
azkarregi	a s̻ k a r e ɡ i
azkarregi	a s̺ k a r e ɡ i
azken	a s̻ k e n
azken	a s̻ k e n
azken	a s̺ k e n
azkenean	a s̻ k e n e a n
azkenean	a s̻ k e n e a n
azkenean	a s̺ k e n e a n
Azkoitia	a s̻ k o i̯ t i a
Azkoitia	a s̻ k o i̯ t i a
Azkoitia	a s̺ k o i̯ t i a
azkonar	a s̻ k o n a r
azkonar	a s̻ k o n a r
azkonar	a s̺ k o n a r
azoka	a s̻ o k a
azoka	a s̻ o k a
azoka	a s̺ o k a
Azpeitia	a s̻ p e i̯ t i a
Azpeitia	a s̻ p e i̯ t i a
Azpeitia	a s̺ p e i̯ t i a
azpi	a s̻ p i
azpi	a s̻ p i
azpi	a s̺ p i
azpian	a s̻ p i a n
azpian	a s̻ p i a n
azpian	a s̺ p i a n
azpiegitura	a s̻ p i e ɡ i t u ɾ a
azpiegitura	a s̻ p i e ɡ i t u ɾ a
azpiegitura	a s̺ p i e ɡ i t u ɾ a
azpimarratu	a s̻ p i m a r a t u
azpimarratu	a s̻ p i m a r a t u
azpimarratu	a s̺ p i m a r a t u
azpititulu	a s̻ p i t i t u l u
azpititulu	a s̻ p i t i t u l u
azpititulu	a s̺ p i t i t u l u
aztarna	a s̻ t a r n a
aztarna	a s̻ t a r n a
aztarna	a s̺ t a r n a
azterketa	a s̻ t e r k e t a
azterketa	a s̻ t e r k e t a
azterketa	a s̺ t e r k e t a
aztertu	a s̻ t e r t u
aztertu	a s̻ t e r t u
aztertu	a s̺ t e r t u
aztertzaile	a s̻ t e r t͡s̻ a i̯ l e
aztertzaile	a s̻ t e r t͡s̻ a ʎ e
aztertzaile	a s̻ t e r t͡s̻ a ʎ e
aztertzaile	a s̺ t e r t͡s̻ a ʎ e
azti	a s̻ t i
azti	a s̻ t i
azti	a s̺ t i
azukre	a s̻ u k r e
azukre	a s̻ u k r e
azukre	a s̺ u k r e
b	b e
B	b e
ba	b a
baba	b a b a
babazorro	b a b a s̻ o r o
babazorro	b a b a s̻ o r o
babazorro	b a b a s̺ o r o
babestu	b a b e s̺ t u
babil	b a b i l
badabil	b a d a b i l
badabilkie	b a d a b i l k i e
badabilkigu	b a d a b i l k i ɡ u
badabilkik	b a d a b i l k i k
badabilkin	b a d a b i l k i n
badabilkio	b a d a b i l k i o
badabilkit	b a d a b i l k i t
badabilkizu	b a d a b i l k i s̻ u
badabilkizu	b a d a b i l k i s̻ u
badabilkizu	b a d a b i l k i s̺ u
badabilkizue	b a d a b i l k i s̻ u e
badabilkizue	b a d a b i l k i s̻ u e
badabilkizue	b a d a b i l k i s̺ u e
badabiltza	b a d a b i l t͡s̻ a
badabilzkie	b a d a b i l s̻ k i e
badabilzkie	b a d a b i l s̻ k i e
badabilzkie	b a d a b i l s̺ k i e
badabilzkigu	b a d a b i l s̻ k i ɡ u
badabilzkigu	b a d a b i l s̻ k i ɡ u
badabilzkigu	b a d a b i l s̺ k i ɡ u
badabilzkik	b a d a b i l s̻ k i k
badabilzkik	b a d a b i l s̻ k i k
badabilzkik	b a d a b i l s̺ k i k
badabilzkin	b a d a b i l s̻ k i n
badabilzkin	b a d a b i l s̻ k i n
badabilzkin	b a d a b i l s̺ k i n
badabilzkio	b a d a b i l s̻ k i o
badabilzkio	b a d a b i l s̻ k i o
badabilzkio	b a d a b i l s̺ k i o
badabilzkit	b a d a b i l s̻ k i t
badabilzkit	b a d a b i l s̻ k i t
badabilzkit	b a d a b i l s̺ k i t
badabilzkizu	b a d a b i l s̻ k i s̻ u
badabilzkizu	b a d a b i l s̻ k i s̻ u
badabilzkizu	b a d a b i l s̺ k i s̺ u
badabilzkizue	b a d a b i l s̻ k i s̻ u e
badabilzkizue	b a d a b i l s̻ k i s̻ u e
badabilzkizue	b a d a b i l s̺ k i s̺ u e
badadi	b a d a d i
badago	b a d a ɡ o
badagokie	b a d a ɡ o k i e
badagokigu	b a d a ɡ o k i ɡ u
badagokik	b a d a ɡ o k i k
badagokin	b a d a ɡ o k i n
badagokio	b a d a ɡ o k i o
badagokit	b a d a ɡ o k i t
badagokizu	b a d a ɡ o k i s̻ u
badagokizu	b a d a ɡ o k i s̻ u
badagokizu	b a d a ɡ o k i s̺ u
badagokizue	b a d a ɡ o k i s̻ u e
badagokizue	b a d a ɡ o k i s̻ u e
badagokizue	b a d a ɡ o k i s̺ u e
badagozkie	b a d a ɡ o s̻ k i e
badagozkie	b a d a ɡ o s̻ k i e
badagozkie	b a d a ɡ o s̺ k i e
badagozkigu	b a d a ɡ o s̻ k i ɡ u
badagozkigu	b a d a ɡ o s̻ k i ɡ u
badagozkigu	b a d a ɡ o s̺ k i ɡ u
badagozkik	b a d a ɡ o s̻ k i k
badagozkik	b a d a ɡ o s̻ k i k
badagozkik	b a d a ɡ o s̺ k i k
badagozkin	b a d a ɡ o s̻ k i n
badagozkin	b a d a ɡ o s̻ k i n
badagozkin	b a d a ɡ o s̺ k i n
badagozkio	b a d a ɡ o s̻ k i o
badagozkio	b a d a ɡ o s̻ k i o
badagozkio	b a d a ɡ o s̺ k i o
badagozkit	b a d a ɡ o s̻ k i t
badagozkit	b a d a ɡ o s̻ k i t
badagozkit	b a d a ɡ o s̺ k i t
badagozkizu	b a d a ɡ o s̻ k i s̻ u
badagozkizu	b a d a ɡ o s̻ k i s̻ u
badagozkizu	b a d a ɡ o s̺ k i s̺ u
badagozkizue	b a d a ɡ o s̻ k i s̻ u e
badagozkizue	b a d a ɡ o s̻ k i s̻ u e
badagozkizue	b a d a ɡ o s̺ k i s̺ u e
badaitez	b a d a i̯ t e s̻
badaitez	b a d a i̯ t e s̻
badaitez	b a d a i̯ t e s̺
badator	b a d a t o r
badatorkie	b a d a t o r k i e
badatorkigu	b a d a t o r k i ɡ u
badatorkik	b a d a t o r k i k
badatorkin	b a d a t o r k i n
badatorkio	b a d a t o r k i o
badatorkit	b a d a t o r k i t
badatorkizu	b a d a t o r k i s̻ u
badatorkizu	b a d a t o r k i s̻ u
badatorkizu	b a d a t o r k i s̺ u
badatorkizue	b a d a t o r k i s̻ u e
badatorkizue	b a d a t o r k i s̻ u e
badatorkizue	b a d a t o r k i s̺ u e
badatoz	b a d a t o s̻
badatoz	b a d a t o s̻
badatoz	b a d a t o s̺
badatozkie	b a d a t o s̻ k i e
badatozkie	b a d a t o s̻ k i e
badatozkie	b a d a t o s̺ k i e
badatozkigu	b a d a t o s̻ k i ɡ u
badatozkigu	b a d a t o s̻ k i ɡ u
badatozkigu	b a d a t o s̺ k i ɡ u
badatozkik	b a d a t o s̻ k i k
badatozkik	b a d a t o s̻ k i k
badatozkik	b a d a t o s̺ k i k
badatozkin	b a d a t o s̻ k i n
badatozkin	b a d a t o s̻ k i n
badatozkin	b a d a t o s̺ k i n
badatozkio	b a d a t o s̻ k i o
badatozkio	b a d a t o s̻ k i o
badatozkio	b a d a t o s̺ k i o
badatozkit	b a d a t o s̻ k i t
badatozkit	b a d a t o s̻ k i t
badatozkit	b a d a t o s̺ k i t
badatozkizu	b a d a t o s̻ k i s̻ u
badatozkizu	b a d a t o s̻ k i s̻ u
badatozkizu	b a d a t o s̺ k i s̺ u
badatozkizue	b a d a t o s̻ k i s̻ u e
badatozkizue	b a d a t o s̻ k i s̻ u e
badatozkizue	b a d a t o s̺ k i s̺ u e
badaude	b a d a u̯ d e
badeza	b a d e s̻ a
badeza	b a d e s̻ a
badeza	b a d e s̺ a
