㑚	n a ʔ ⁴
人文	t͡s i ŋ ¹ ³ ⁻ ¹ ¹ m ɔ ŋ ¹ ³
人民	t͡s i ŋ ¹ ³ ⁻ ¹ ¹ m i ŋ ¹ ³
人生	t͡s i ŋ ¹ ³ ⁻ ¹ ¹ n ɛ ŋ ⁵ ³ ³
人道	t͡s i ŋ ¹ ³ ⁻ ⁴ ² t ɒ ¹ ¹
什	ɬ i ŋ ¹ ¹
什	ɬ i ʔ ⁴
仁	t͡s i ŋ ¹ ³
仄	t͡s a ¹ ¹
仄	t͡s ɛ ʔ ² ¹
仆	pʰ ɒ ʔ ² ¹
仇	k i u ¹ ³
仇	ɬ i u ¹ ³
今	k i ŋ ⁵ ³ ³
今	t a ⁵ ³ ³
今年	k i ŋ ⁵ ³ ³ ⁻ ¹ ¹ n i ŋ ¹ ³
今旦	k i ŋ ⁵ ³ ³ ⁻ ⁵ ⁵ n u a ⁴ ²
今旦日	k i ŋ ⁵ ³ ³ ⁻ ¹ ³ n u a ⁴ ² ⁻ ⁵ ⁵ l i ʔ ⁴
介	k a i ⁴ ²
介紹	k a i ⁴ ² ɬ i e u ¹ ¹
介詞	k a i ⁴ ² ɬ o ¹ ³
仍	t͡s i ŋ ¹ ³
他國	tʰ a ⁵ ³ ³ ⁻ ¹ ³ k ɒ ʔ ² ¹
付	h u ⁴ ²
仙	ɬ i ŋ ⁵ ³ ³
仙	ɬ ɛ ŋ ⁵ ³ ³
仙丹	ɬ ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ t a ŋ ⁵ ³ ³
仙草	ɬ ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ t͡sʰ ɒ ⁴ ⁵ ³
仙遊	ɬ i ŋ ⁵ ³ ³ ⁻ ¹ ¹ n i u ¹ ³
仙遊話	ɬ i ŋ ⁵ ³ ³ ⁻ ¹ ¹ n i u ¹ ³ ⁻ ⁴ ² u a ¹ ¹
代	t a i ¹ ¹
代替	t a i ¹ ¹ ⁻ ⁵ ⁵ tʰ e ⁴ ²
代理	t a i ¹ ¹ l i ⁴ ⁵ ³
代碼	t a i ¹ ¹ m a ⁴ ⁵ ³
代表	t a i ¹ ¹ i e u ⁴ ⁵ ³
代詞	t a i ¹ ¹ ɬ o ¹ ³
代誌	t a i ¹ ¹ ⁻ ⁵ ⁵ l i ⁴ ²
令	l i ŋ ¹ ¹
以	i ⁴ ⁵ ³
以來	i ⁴ ⁵ ³ ⁻ ¹ ³ l a i ¹ ³
以及	i ⁴ ⁵ ³ ⁻ ¹ ¹ k i ʔ ⁴
以撒	i ⁴ ⁵ ³ ⁻ ¹ ³ ɬ a ʔ ² ¹
以斯帖記	i ⁴ ⁵ ³ ⁻ ¹ ³ ɬ o ⁵ ³ ³ ⁻ ¹ ³ tʰ i ɛ ʔ ² ¹ k i ⁴ ²
以斯拉記	i ⁴ ⁵ ³ ⁻ ¹ ³ ɬ o ⁵ ³ ³ ⁻ ¹ ³ l a ⁵ ³ ³ k i ⁴ ²
以色列	i ⁴ ⁵ ³ ⁻ ¹ ³ ɬ ɛ ʔ ² ¹ ⁻ ⁴ ⁵ l ɛ ʔ ⁴
仫	p ɒ ʔ ⁴
仰	ŋ i e u ⁴ ⁵ ³
仰	ŋ y ɒ ŋ ⁴ ⁵ ³
仲	t œ ŋ ¹ ¹
件	k y ɒ ¹ ¹
件	k œ ŋ ¹ ¹
任	t͡s i ŋ ¹ ³
任	t͡s i ŋ ¹ ¹
任免	t͡s i ŋ ¹ ¹ m ɛ ŋ ⁴ ⁵ ³
任務	t͡s i ŋ ¹ ¹ ⁻ ⁴ ² m u ¹ ¹
份	h ɔ ŋ ¹ ¹
企	kʰ i ⁴ ²
企顛溜	kʰ y ɒ ⁴ ² ⁻ ⁵ ⁵ l ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ n i u ⁵ ³ ³
伉	kʰ ɒ ŋ ⁴ ²
伊	i ⁵ ³ ³
伊朗	i ⁵ ³ ³ ⁻ ¹ ¹ l ɒ ŋ ⁴ ⁵ ³
伍	k ɔ u ⁴ ⁵ ³
伍	ŋ ɔ u ¹ ¹
伏	h ɒ ʔ ⁴
伏	p u ¹ ¹
伏	pʰ a ʔ ² ¹
伐	h u a ʔ ⁴
休	h i u ⁵ ³ ³
休息站	h i u ⁵ ³ ³ ⁻ ¹ ³ ɬ i ʔ ² ¹ t͡s a ŋ ¹ ¹
伓	ŋ̍ ¹ ¹
伓知	n a i ⁵ ³ ³
伓知	ŋ̍ ¹ ¹ n a i ⁵ ³ ³
伓通	ŋ̍ ¹ ¹ n a ŋ ⁵ ³ ³
伙食	h u e i ⁴ ⁵ ³ ⁻ ¹ ¹ ɬ i ʔ ⁴
伯	p a ¹ ¹
伯	p ɛ ʔ ² ¹
伯公	p a ¹ ¹ ⁻ ⁵ ⁵ ɒ ŋ ⁵ ³ ³
伯利恆	p ɛ ʔ ² ¹ ⁻ ⁴ ² l i ¹ ¹ h ɛ ŋ ¹ ³
伯大尼	p ɛ ʔ ² ¹ ⁻ ⁴ ² t a i ¹ ¹ n i ¹ ³
估	k ɔ u ⁴ ⁵ ³
伴	p u a ŋ ¹ ¹
伴	pʰ u a ¹ ¹
伸	t͡sʰ ɔ ŋ ⁵ ³ ³
伸	ɬ i ŋ ⁵ ³ ³
似	ɬ o ¹ ¹
佃	t ɛ ŋ ¹ ³
佃	t ɛ ŋ ¹ ¹
但	t a ŋ ¹ ¹
佇	t o ¹ ³
佇	tʰ y ⁴ ⁵ ³
佈	p ɔ u ⁴ ²
佈田	p ɔ u ⁴ ² l ɛ ŋ ¹ ³
位	u i ¹ ¹
位置	u i ¹ ¹ ⁻ ⁵ ⁵ l i ⁴ ²
位處	u i ¹ ¹ ⁻ ⁵ ⁵ t͡sʰ y ⁴ ²
低	t e ⁵ ³ ³
住	t ɔ u ⁴ ²
住	t͡s y ¹ ¹
住店	t ɔ u ⁴ ² ⁻ ⁵ ⁵ l e ⁴ ²
住民	t͡s y ¹ ¹ m i ŋ ¹ ³
佑	i u ¹ ¹
佔	t͡s i ɛ ŋ ⁴ ²
何	h ɒ ¹ ³
何	u a ¹ ³
何如	h ɒ ¹ ³ ⁻ ¹ ¹ t͡s y ¹ ³
何處	h ɒ ¹ ³ ⁻ ⁵ ⁵ t͡sʰ y ⁴ ²
何謂	h ɒ ¹ ³ ⁻ ⁴ ² u i ¹ ¹
佘	ɬ i a ¹ ³
余	y ¹ ³
佚	i ʔ ⁴
佛	h ɔ ʔ ⁴
佛堂	h ɔ ʔ ⁴ ⁻ ² ¹ t ɒ ŋ ¹ ³
佛法	h ɔ ʔ ⁴ ⁻ ⁴ ² h a ʔ ² ¹
佛祖	h ɔ ʔ ⁴ ⁻ ² ¹ t͡s ɔ u ⁴ ⁵ ³
佛祖生	h ɔ ʔ ⁴ ⁻ ² ¹ t͡s ɔ u ⁴ ⁵ ³ ⁻ ¹ ¹ l a ⁵ ³ ³
佛龕	h ɔ ʔ ⁴ ⁻ ² ¹ kʰ a ŋ ⁵ ³ ³
作	t͡s o ¹ ¹
作	t͡s ɒ ʔ ² ¹
作協	t͡s ɒ ʔ ² ¹ ⁻ ⁴ ⁵ h i ɛ ʔ ⁴
作品	t͡s ɒ ʔ ² ¹ ⁻ ⁴ ⁵ pʰ i ŋ ⁴ ⁵ ³
作文	t͡s ɒ ʔ ² ¹ ⁻ ⁴ ⁵ m ɔ ŋ ¹ ³
作業	t͡s ɒ ʔ ² ¹ ⁻ ⁴ ⁵ k i ɛ ʔ ⁴
作法	t͡s ɒ ʔ ² ¹ ⁻ ⁴ ² h a ʔ ² ¹
作用	t͡s ɒ ʔ ² ¹ ⁻ ⁴ ² œ ŋ ¹ ¹
作者	t͡s ɒ ʔ ² ¹ ⁻ ⁴ ⁵ t͡s i a ⁴ ⁵ ³
作賤	t͡s ɒ ʔ ² ¹ ⁻ ⁴ ² t͡s ɛ ŋ ¹ ¹
佞	n ɛ ŋ ¹ ¹
佣	œ ŋ ¹ ¹
佳	k a ⁵ ³ ³
佳	k e ⁵ ³ ³
佴	n a i ¹ ¹
佴	t͡s i ¹ ¹
併	p i ŋ ⁴ ²
使	ɬ a i ⁴ ⁵ ³
使	ɬ o ⁴ ²
使	ɬ o ⁴ ⁵ ³
使命	ɬ o ⁴ ⁵ ³ ⁻ ¹ ³ m i ŋ ¹ ¹
使徒	ɬ o ⁴ ² l ɔ u ¹ ³
使手路	ɬ a i ⁴ ⁵ ³ ⁻ ¹ ¹ t͡sʰ i u ⁴ ⁵ ³ ⁻ ¹ ³ l ɔ u ¹ ¹
使用	ɬ o ⁴ ⁵ ³ ⁻ ¹ ³ œ ŋ ¹ ¹
使者	ɬ o ⁴ ² ⁻ ⁵ ⁵ l i a ⁴ ⁵ ³
使錢	ɬ a i ⁴ ⁵ ³ ⁻ ¹ ³ t͡s i ŋ ¹ ³
來	l a i ¹ ³
來	l i ¹ ³
來源	l a i ¹ ³ ⁻ ¹ ¹ ŋ œ ŋ ¹ ³
來蘇	l a i ¹ ³ ⁻ ¹ ¹ ɬ ɔ u ⁵ ³ ³
例	l e ¹ ¹
侐	h œ ʔ ² ¹
侖	l ɔ ŋ ¹ ³
供	k œ ŋ ¹ ¹
供	k œ ŋ ⁵ ³ ³
依	i ⁵ ³ ³
依法	i ⁵ ³ ³ ⁻ ¹ ³ h a ʔ ² ¹
依賴	i ⁵ ³ ³ ⁻ ¹ ³ l a i ¹ ¹
侯	a u ¹ ³
侯	h i e u ¹ ³
侵	t͡sʰ i ŋ ⁵ ³ ³
侵略	t͡sʰ i ŋ ⁵ ³ ³ ⁻ ¹ ¹ l y ɒ ʔ ⁴
便	p ɛ ŋ ¹ ³
便	p ɛ ŋ ¹ ¹
便升	p ɛ ŋ ¹ ¹ ɬ i ŋ ⁵ ³ ³
便宜	p ɛ ŋ ¹ ³ ⁻ ¹ ¹ ŋ i ¹ ³
便車	p ɛ ŋ ¹ ¹ n i a ⁵ ³ ³
促	t͡sʰ œ ʔ ² ¹
促使	t͡sʰ œ ʔ ² ¹ ⁻ ⁴ ⁵ ɬ o ⁴ ⁵ ³
俄	k ɒ ¹ ³
俊	t͡s ɔ ŋ ⁴ ²
俎	t͡s ø ⁴ ⁵ ³
俑	œ ŋ ⁴ ⁵ ³
俗	ɬ œ ʔ ⁴
俘	h u ¹ ³
俜	pʰ i ŋ ⁵ ³ ³
保	p o ⁴ ⁵ ³
保	p ɒ ⁴ ⁵ ³
保安	p o ⁴ ⁵ ³ ⁻ ¹ ¹ a ŋ ⁵ ³ ³
保庇	p ɔ u ⁴ ⁵ ³ ⁻ ¹ ¹ i ⁴ ²
保暖	p ɒ ⁴ ⁵ ³ ⁻ ¹ ¹ n u a ŋ ⁴ ⁵ ³
保留	p ɒ ⁴ ⁵ ³ ⁻ ¹ ³ l i u ¹ ³
保羅	p ɒ ⁴ ⁵ ³ ⁻ ¹ ³ l ɒ ¹ ³
保育	p ɒ ⁴ ⁵ ³ ⁻ ¹ ¹ œ ʔ ⁴
保衛	p ɒ ⁴ ⁵ ³ ⁻ ¹ ³ e ¹ ¹
保證書	p ɒ ⁴ ⁵ ³ ⁻ ¹ ¹ t͡s i ŋ ⁴ ² ⁻ ⁵ ⁵ t͡s y ⁵ ³ ³
保護	p ɒ ⁴ ⁵ ³ ⁻ ¹ ³ ɔ u ¹ ¹
保鏢	p ɒ ⁴ ⁵ ³ ⁻ ¹ ¹ p i e u ⁵ ³ ³
保障	p ɒ ⁴ ⁵ ³ ⁻ ¹ ¹ l y ɒ ŋ ⁴ ²
保險	p ɒ ⁴ ⁵ ³ ⁻ ¹ ¹ h i ɛ ŋ ⁴ ⁵ ³
保養	p ɒ ⁴ ⁵ ³ ⁻ ¹ ¹ y ɒ ŋ ⁴ ⁵ ³
俞	t͡s y ¹ ³
俞	t͡s ɔ u ¹ ³
俟	k i ¹ ³
俟	ɬ o ¹ ¹
俠	h i ɛ ʔ ⁴
信	ɬ i ŋ ⁴ ²
信	ɬ ɛ ŋ ⁴ ²
信仰	ɬ i ŋ ⁴ ² ⁻ ⁵ ⁵ ŋ y ɒ ŋ ⁴ ⁵ ³
信心	ɬ i ŋ ⁴ ² ⁻ ⁵ ⁵ n i ŋ ⁵ ³ ³
信心	ɬ ɛ ŋ ⁴ ² ⁻ ⁵ ⁵ ɬ i ŋ ⁵ ³ ³
信號	ɬ i ŋ ⁴ ² ŋ o ¹ ¹
俬	ɬ o ⁵ ³ ³
修	ɬ i u ⁵ ³ ³
修法	ɬ i u ⁵ ³ ³ ⁻ ¹ ³ h a ʔ ² ¹
俯	h u ⁴ ⁵ ³
俱	k y ¹ ¹
俳	p a i ¹ ³
倀	t͡sʰ y ɒ ŋ ⁵ ³ ³
倆	l y ɒ ŋ ⁴ ⁵ ³
個人	kʰ ɒ ⁴ ² l i ŋ ¹ ³
倍	p u e i ¹ ¹
倏	ɬ œ ʔ ² ¹
倒	t o ⁴ ²
倒	t o ⁴ ⁵ ³
倒	t ɒ ⁴ ²
倒	t ɒ ⁴ ⁵ ³
倒反	t o ⁴ ² ⁻ ⁵ ⁵ p e ⁴ ⁵ ³
倒手	t o ⁴ ² ⁻ ⁵ ⁵ l i u ⁴ ⁵ ³
倒手拐	t o ⁴ ⁵ ³ ⁻ ⁵ ⁵ l i u ⁴ ⁵ ³ ⁻ ¹ ¹ u e i ⁴ ⁵ ³
倒水	t o ⁴ ² ⁻ ⁵ ⁵ t͡s u i ⁴ ⁵ ³
倒爿	t o ⁴ ² e ¹ ³
倒爿	t o ⁴ ² m e ¹ ³
倒爿手	t o ⁴ ² e ¹ ³ ⁻ ¹ ¹ l i u ⁴ ⁵ ³
倒爿手	t o ⁴ ² m e ¹ ³ l i u ⁴ ⁵ ³
倒車	t o ⁴ ² ⁻ ⁵ ⁵ l i a ⁵ ³ ³
倒面	t o ⁴ ² ⁻ ⁵ ⁵ m i ŋ ⁴ ²
倒頭念	t o ⁴ ² l a u ¹ ³ ⁻ ⁴ ² n i ɛ ŋ ¹ ¹
倒頭行	t o ⁴ ² l a u ¹ ³ ⁻ ¹ ¹ i a ¹ ³
倖	h ɛ ŋ ¹ ¹
倘	tʰ ɒ ŋ ⁴ ⁵ ³
候	h a u ¹ ³
候	h i e u ¹ ¹
候防	h i e u ¹ ¹ ɒ ŋ ¹ ³
倚	i ⁴ ⁵ ³
倚	u a ⁴ ⁵ ³
借	t͡s i a ¹ ¹
借	t͡s i e u ¹ ¹
借錢	t͡s i e u ¹ ¹ t͡s i ŋ ¹ ³
倡	t͡sʰ y ɒ ŋ ⁴ ²
倦	k œ ŋ ¹ ¹
倩	t͡sʰ i a ⁴ ²
倩	t͡sʰ ɛ ŋ ⁴ ²
倩工	t͡sʰ i a ⁴ ² ⁻ ⁵ ⁵ a ŋ ⁵ ³ ³
倪	k e ¹ ³
倭	o ⁵ ³ ³
倭賊	o ⁵ ³ ³ ⁻ ¹ ¹ t͡sʰ ɛ ʔ ⁴
值	t i ʔ ⁴
值	t ɛ ʔ ⁴
值	ɬ i ʔ ⁴
值班	t͡s i ʔ ⁴ ⁻ ² ¹ p a ŋ ⁵ ³ ³
值班	ɬ i ʔ ⁴ ⁻ ² ¹ p a ŋ ⁵ ³ ³
偃	œ ŋ ⁴ ⁵ ³
假如	k a ⁴ ⁵ ³ ⁻ ¹ ³ t͡s y ¹ ³
假死	k ɒ ⁴ ⁵ ³ ⁻ ¹ ¹ ɬ i ⁴ ⁵ ³
偈	k i ¹ ¹
偈	k ɛ ʔ ⁴
偏	pʰ ɛ ŋ ⁵ ³ ³
偕	k a i ⁵ ³ ³
做	t͡s o ⁴ ²
做七	t͡s o ⁴ ² t͡sʰ i ʔ ² ¹
做人	t͡s o ⁴ ² n a ŋ ¹ ³
做功德	t͡s o ⁴ ² ⁻ ⁵ ⁵ k ɒ ŋ ⁵ ³ ³ ⁻ ¹ ³ n ɛ ʔ ² ¹
做大水	t͡s o ⁴ ² l u a ¹ ¹ l u i ⁴ ⁵ ³
做大水	t͡s o ⁴ ² t u a ¹ ¹ l u i ⁴ ⁵ ³
做官	t͡s o ⁴ ² ⁻ ⁵ ⁵ u a ⁵ ³ ³
做牙	t͡s o ⁴ ² k ɒ ¹ ³
做田	t͡s o ⁴ ² l ɛ ŋ ¹ ³
做風水	t͡s o ⁴ ² ⁻ ⁵ ⁵ ɒ ŋ ⁵ ³ ³ ⁻ ¹ ¹ n u i ⁴ ⁵ ³
做食	t͡s o ⁴ ² ⁻ ⁵ ⁵ l i æ ʔ ⁴
做食	t͡s o ⁴ ² ⁻ ⁵ ⁵ ɬ i æ ʔ ⁴
停	t ɛ ŋ ¹ ³
停止	t ɛ ŋ ¹ ³ ⁻ ¹ ¹ t͡s i ⁴ ⁵ ³
停水	t ɛ ŋ ¹ ³ ⁻ ¹ ¹ t͡s u i ⁴ ⁵ ³
停車	t ɛ ŋ ¹ ³ ⁻ ¹ ¹ t͡sʰ i a ⁵ ³ ³
停電	t ɛ ŋ ¹ ³ ⁻ ⁴ ² t ɛ ŋ ¹ ¹
健	k y ɒ ¹ ¹
健	k œ ŋ ¹ ¹
健康	k œ ŋ ¹ ¹ kʰ ɒ ŋ ⁵ ³ ³
健康碼	k œ ŋ ¹ ¹ kʰ ɒ ŋ ⁵ ³ ³ ⁻ ¹ ¹ m a ⁴ ⁵ ³
偭	m ɛ ŋ ⁴ ⁵ ³
側	t͡sʰ ɛ ʔ ² ¹
側面	t͡sʰ ɛ ʔ ² ¹ ⁻ ⁴ ⁵ m i ŋ ⁴ ²
偵	t͡s i ŋ ⁵ ³ ³
偵查	t͡s i ŋ ⁵ ³ ³ ⁻ ¹ ¹ t͡sʰ a ¹ ³
偶	k i e u ⁴ ⁵ ³
偶然	k i e u ⁴ ⁵ ³ ⁻ ¹ ³ l ɛ ŋ ¹ ³
偷	tʰ a u ⁵ ³ ³
偷	tʰ i e u ⁵ ³ ³
偷看	tʰ a u ⁵ ³ ³ ⁻ ¹ ³ kʰ u a ⁴ ²
偷食	tʰ a u ⁵ ³ ³ ⁻ ¹ ¹ l i a ¹ ³
偷食	tʰ a u ⁵ ³ ³ ⁻ ¹ ¹ l i æ ʔ ⁴
偽	k u i ¹ ¹
傅	h u ¹ ¹
傅	p ɔ u ⁴ ²
傑	k ɛ ʔ ⁴
傘	ɬ a ŋ ⁴ ⁵ ³
傘	ɬ u a ⁴ ⁵ ³
傘骨	ɬ u a ⁴ ⁵ ³ ⁻ ¹ ³ k ɔ ʔ ² ¹
備	p i ¹ ¹
催	t͡sʰ u i ⁵ ³ ³
傲	k ɒ ¹ ¹
傳	t u e i ¹ ³
傳	t u e i ¹ ¹
傳	t œ ŋ ¹ ³
傳	t œ ŋ ¹ ¹
傳奇	t œ ŋ ¹ ³ ⁻ ¹ ¹ k i ¹ ³
傳說	t œ ŋ ¹ ³ ⁻ ⁴ ² ɬ u e i ¹ ¹
傳道	t œ ŋ ¹ ³ ⁻ ⁴ ² n ɒ ¹ ¹
傳道書	t œ ŋ ¹ ³ n ɒ ¹ ¹ ⁻ ⁵ ⁵ l y ⁵ ³ ³
債	t͡s a i ⁴ ²
債	t͡s u a ⁴ ²
傷	ɬ i e u ⁵ ³ ³
傷	ɬ y ɒ ŋ ⁵ ³ ³
傷勢	ɬ y ɒ ŋ ⁵ ³ ³ ⁻ ¹ ³ ɬ e ⁴ ²
傻	ɬ a ¹ ³
傾	kʰ y ŋ ⁴ ⁵ ³
傾	kʰ y ŋ ⁵ ³ ³
僄	pʰ i e u ⁴ ²
僅	k i ŋ ¹ ¹
僑	k i e u ¹ ³
僑客	k i e u ¹ ³ ⁻ ¹ ¹ kʰ e ⁴ ⁵ ³
僑民	k i e u ¹ ³ ⁻ ¹ ¹ m i ŋ ¹ ³
僔	t͡s ɔ ŋ ⁴ ⁵ ³
僕	p ɒ ʔ ⁴
僖	h i ⁵ ³ ³
僚	l i e u ¹ ³
僧	t͡s ɛ ŋ ⁵ ³ ³
僵	k y ɒ ŋ ⁵ ³ ³
價	k a ⁴ ²
價	k ɒ ⁴ ²
價格	k ɒ ⁴ ² k ɛ ʔ ² ¹
價聲	k ɒ ⁴ ² ⁻ ⁵ ⁵ l i a ⁵ ³ ³
價錢	k ɒ ⁴ ² l i ŋ ¹ ³
僻	pʰ i a ¹ ¹
僻	pʰ i ʔ ² ¹
儀	k i ¹ ³
儂	n a ŋ ¹ ³
儂囝頭	n a ŋ ¹ ³ ⁻ ¹ ¹ ŋ y ɒ ⁴ ⁵ ³ l a u ¹ ³
儂影	n a ŋ ¹ ³ ⁻ ¹ ¹ ŋ̍ ⁴ ⁵ ³
億	i ¹ ¹
億	i ʔ ² ¹
億	i ⁴ ²
億萬	i ¹ ¹ ⁻ ⁴ ² m a ŋ ¹ ¹
儇	ɬ œ ŋ ⁵ ³ ³
儒	t͡s y ¹ ³
償	ɬ y ɒ ŋ ¹ ³
優	i u ⁵ ³ ³
優勢	i u ⁵ ³ ³ ⁻ ¹ ³ ɬ e ⁴ ²
優於	i u ⁵ ³ ³ ⁻ ¹ ¹ y ¹ ³
優良	i u ⁵ ³ ³ ⁻ ¹ ¹ l y ɒ ŋ ¹ ³
優雅	i u ⁵ ³ ³ ⁻ ¹ ¹ ŋ a ⁴ ⁵ ³
儺	n ɒ ¹ ¹
允	y ŋ ⁴ ⁵ ³
允許	y ŋ ⁴ ⁵ ³ ⁻ ¹ ¹ h y ⁴ ⁵ ³
元宵	ŋ y ŋ ¹ ³ ⁻ ¹ ¹ n i e u ⁵ ³ ³
元宵心	ŋ y ŋ ¹ ³ ⁻ ¹ ¹ n i e u ⁵ ³ ³ ⁻ ¹ ¹ ɬ i ŋ ⁵ ³ ³
元寶	ɛ ŋ ¹ ³ ⁻ ¹ ¹ m o ⁴ ⁵ ³
元旦	ŋ œ ŋ ¹ ³ ⁻ ⁵ ⁵ t a ŋ ⁴ ²
元素	ŋ œ ŋ ¹ ³ ⁻ ⁵ ⁵ ɬ ɔ u ⁴ ²
兄	h i a ⁵ ³ ³
兄	h i ŋ ⁵ ³ ³
兄嫂	h i a ⁵ ³ ³ ⁻ ¹ ¹ l o ⁴ ⁵ ³
兄弟	h i a ⁵ ³ ³ ⁻ ¹ ³ l i ¹ ¹
兄弟囝	h i a ⁵ ³ ³ ⁻ ¹ ³ l i ¹ ¹ y ɒ ⁴ ⁵ ³
充電	t͡sʰ œ ŋ ⁵ ³ ³ ⁻ ¹ ³ t ɛ ŋ ¹ ¹
充電器	t͡sʰ œ ŋ ⁵ ³ ³ ⁻ ¹ ³ t ɛ ŋ ¹ ¹ ⁻ ⁵ ⁵ kʰ i ⁴ ²
兆	t i e u ¹ ¹
兇	h œ ŋ ⁵ ³ ³
先	ɬ e ⁵ ³ ³
先	ɬ ɛ ŋ ⁵ ³ ³
先民	ɬ ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ m i ŋ ¹ ³
先生	ɬ ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ n a ⁵ ³ ³
先知	ɬ ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ t i ⁵ ³ ³
先驗	ɬ ɛ ŋ ⁵ ³ ³ ⁻ ¹ ³ ŋ i ɛ ŋ ¹ ¹
光	k u ŋ ⁵ ³ ³
光	k ɒ ŋ ⁵ ³ ³
光年	k ɒ ŋ ⁵ ³ ³ ⁻ ¹ ¹ n ɛ ŋ ¹ ³
光明	k ɒ ŋ ⁵ ³ ³ ⁻ ¹ ¹ m i ŋ ¹ ³
光景	k ɒ ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ i ŋ ⁴ ⁵ ³
光棍	k ɒ ŋ ⁵ ³ ³ ⁻ ¹ ³ ŋ ɔ ŋ ⁴ ²
光纖	k ɒ ŋ ⁵ ³ ³ ⁻ ¹ ¹ t͡sʰ i ɛ ŋ ⁵ ³ ³
克	kʰ ɛ ʔ ² ¹
克制	kʰ ɛ ʔ ² ¹ ⁻ ⁴ ⁵ t͡s e ⁴ ²
克服	kʰ ɛ ʔ ² ¹ ⁻ ⁴ ⁵ h ɒ ʔ ⁴
兌	t u e i ¹ ¹
免	m ɛ ŋ ⁴ ⁵ ³
免費	m ɛ ŋ ⁴ ⁵ ³ ⁻ ¹ ¹ h i ⁴ ²
兒	t͡s i ¹ ³
兒童	t͡s i ¹ ³ ⁻ ¹ ¹ l ɒ ŋ ¹ ³
兔	tʰ ɔ u ⁴ ²
兔囝	tʰ ɔ u ⁴ ² ⁻ ⁵ ⁵ y ɒ ⁴ ⁵ ³
兗	œ ŋ ⁴ ⁵ ³
兢	k i ŋ ⁵ ³ ³
入	t i ʔ ⁴
入	t͡s i ʔ ⁴
入場券	t i ʔ ⁴ ⁻ ² ¹ t y ɒ ŋ ¹ ³ ⁻ ⁵ ⁵ k œ ŋ ⁴ ²
入木	t i ʔ ⁴ ⁻ ² ¹ p a ʔ ⁴
入耳	t i ʔ ⁴ h i ¹ ¹
入腹	t i ʔ ⁴ p a ʔ ² ¹
入閣	t͡s i ʔ ⁴ ⁻ ⁴ ² k ɒ ʔ ² ¹
內	l i ¹ ¹
內	t u e i ¹ ¹
內容	t u e i ¹ ¹ œ ŋ ¹ ³
內山	l i ¹ ¹ n u a ⁵ ³ ³
內蒙古	t u e i ¹ ¹ m ɒ ŋ ¹ ³ ŋ ɔ u ⁴ ⁵ ³
內陸	t u e i ¹ ¹ l œ ʔ ⁴
全	t͡s ø ¹ ³
全	t͡s œ ŋ ¹ ³
全國	t͡s œ ŋ ¹ ³ ⁻ ⁴ ² k ɒ ʔ ² ¹
全文	t͡s œ ŋ ¹ ³ ⁻ ¹ ¹ m ɔ ŋ ¹ ³
全書	t͡s ø ¹ ³ ⁻ ¹ ¹ t͡s y ⁵ ³ ³
全書	t͡s œ ŋ ¹ ³ ⁻ ¹ ¹ t͡s y ⁵ ³ ³
全民	t͡s œ ŋ ¹ ³ ⁻ ¹ ¹ m i ŋ ¹ ³
全球	t͡s œ ŋ ¹ ³ ⁻ ¹ ¹ k i u ¹ ³
全面	t͡s œ ŋ ¹ ³ ⁻ ⁵ ⁵ m ɛ ŋ ⁴ ²
全麻	t͡s œ ŋ ¹ ³ ⁻ ¹ ¹ m a ¹ ³
兩下囝	n u ŋ ¹ ¹ ŋ ɒ ʔ ² ¹ ⁻ ⁴ ⁵ k y ɒ ⁴ ⁵ ³
兩面	n u ŋ ¹ ¹ ⁻ ⁵ ⁵ m i ŋ ⁴ ²
八	p a ʔ ² ¹
八	p e ¹ ¹
八	p ɛ ʔ ² ¹
八仙	p a ʔ ² ¹ ⁻ ⁴ ⁵ ɬ ɛ ŋ ⁵ ³ ³
八十	p ɛ ʔ ² ¹ ⁻ ⁴ ⁵ l ɛ ʔ ⁴
八十一	p ɛ ʔ ² ¹ ⁻ ⁴ ⁵ l ɛ ʔ ⁴ ⁻ ⁴ ² i ʔ ² ¹
八十七	p ɛ ʔ ² ¹ ⁻ ⁴ ⁵ l ɛ ʔ ⁴ ⁻ ⁴ ² t͡sʰ i ʔ ² ¹
八十三	p ɛ ʔ ² ¹ ⁻ ⁴ ⁵ l ɛ ʔ ⁴ ⁻ ² ¹ ɬ ɒ ⁵ ³ ³
八十九	p ɛ ʔ ² ¹ ⁻ ⁴ ⁵ l ɛ ʔ ⁴ ⁻ ² ¹ k a u ⁴ ⁵ ³
八十二	p ɛ ʔ ² ¹ ⁻ ⁴ ⁵ l ɛ ʔ ⁴ ⁻ ⁴ ² t i ¹ ¹
八十五	p ɛ ʔ ² ¹ ⁻ ⁴ ⁵ l ɛ ʔ ⁴ ⁻ ⁴ ² ŋ ɔ u ¹ ¹
八十八	p ɛ ʔ ² ¹ ⁻ ⁴ ⁵ l ɛ ʔ ⁴ ⁻ ⁴ ² p e ¹ ¹
