'day	d a j
Binuya	b i n u j a
Birgo	b i ɾ ɡ o
Biring	b i ɾ i ŋ
Birmanya	b i ɾ m a n j a
Bisa	b i s a
Bisaya	b i s a j a ʔ
Biscocho	b i s k o t s o
Biscocho	b i s k o t͡ʃ o
Bisnar	b i s n a ɾ
Bito	b i t o
Bituin	b i t u ʔ i n
Biy	b i j
Biyer	b i e ɾ
Biyernes	b i e ɾ n e s
Biyetnam	b i e t n a m
Biñan	b i n j a n
Blanco	b l a ŋ k o
Boac	b o a k
Bobadilla	b o b a d i l j a
Bocaue	b o k a w e
Bogo	b o ɡ o
Bogota	b o ɡ o t a
Bohol	b o h o l
Bokod	b o k o d
Bolante	b o l a n t e
Bolaños	b o l a n j o s
Bolbok	b o l b o k
Bolibya	b o l i b j a
Boliney	b o l i n e j
Boliney	b o l i n ə j
Bolivar	b o l i b a ɾ
Bolivar	b o l i v a ɾ
Boljoon	b o l h o ʔ o n
Bombay	b o m b a j
Bombon	b o m b o n
Bonbon	b o n b o n
Bondoc	b o n d o k
Bong	b o ŋ
Bongabong	b o ŋ a b o ŋ
Bonifacio	b o n i f a s j o
Bonifacio	b o n i p a s j o
Bonilla	b o n i l j a
Bontoc	b o n t o k
Boo	b o ʔ o
Bool	b o ʔ o l
Boongaling	b o ʔ o ŋ ɡ a l i ŋ
Boracay	b o ɾ a k a j
Borbon	b o ɾ b o n
Bordado	b o ɾ d a d o
Borillo	b o ɾ i l j o
Borja	b o ɾ h a
Borlaza	b o ɾ l a s a
Borlaza	b o ɾ l a z a
Borongan	b o ɾ o ŋ ɡ a n
Borres	b o ɾ e s
Borromeo	b o ɾ o m e o
Bosniya	b o s n i a
Bosnya	b o s n j a
Boston	b o s t o n
Botswana	b o t s w a n a
Boy	b o j
Brandon	b ɾ a n d o n
Brasil	b ɾ a s i l
Bravo	b ɾ a b o
Bravo	b ɾ a v o
Brawner	b ɾ o n e ɾ
Breslavia	b ɾ e s l a b j a
Breslavia	b ɾ e s l a v j a
Bretanya	b ɾ e t a n j a
Brigela	b ɾ i ɡ e l a
Briguela	b ɾ i ɡ w e l a
Brillantes	b ɾ i l j a n t e s
Briones	b ɾ i o n e s
Britanya	b ɾ i t a n j a
Brookside	b ɾ u k s a j d
Broqueza	b ɾ o k e s a
Broqueza	b ɾ o k e z a
Brosas	b ɾ o s a s
Brunay	b ɾ u n a j
Brunayuki	b ɾ u n a j u k i
Brunei	b ɾ u n a j
Bruneiyuki	b ɾ u n a j u k i
Bruselas	b ɾ u s e l a s
Buan	b u a n
Bucad	b u k a d
Bucal	b u k a l
Bucay	b u k a j
Bucloc	b u k l o k
Buda	b u d a
Budismo	b u d i s m o
Budista	b u d i s t a
Buenafe	b u e n a f e
Buenafe	b u e n a p e
Buenaflor	b u e n a f l o ɾ
Buenaflor	b u e n a p l o ɾ
Buenaventura	b u e n a b e n t u ɾ a
Buenaventura	b u e n a v e n t u ɾ a
Buenavista	b u e n a b i s t a
Buenavista	b u e n a v i s t a
Buencamino	b u e ŋ k a m i n o
Buendia	b u e n d i a
Bueno	b u e n o
Buenviaje	b u e n b i a h e
Buenviaje	b u e n v i a h e
Bugallon	b u ɡ a l j o n
Bugarin	b u ɡ a ɾ i n
Bugasong	b u ɡ a s o ŋ
Bugtong	b u ɡ t o ŋ
Buguey	b u ɡ e j
Buguias	b u ɡ j a s
Buhain	b u h a ʔ i n
Buhatin	b u h a t i n
Buhi	b u h i ʔ
Bukal	b u k a l
Bukidnon	b u k i d n o n
Bula	b u l a ʔ
Bulacan	b u l a k a n
Bulakan	b u l a k a n
Bulakenyo	b u l a k e n j o
Bulalacao	b u l a l a k a w
Bulalayao	b u l a l a j a w
Bulan	b u l a n
Bulanhagui	b u l a n h a ɡ i
Bulgaro	b u l ɡ a ɾ o
Bulgarya	b u l ɡ a ɾ j a
Bulihan	b u l i h a n
Buluan	b u l u ʔ a n
Bumanglag	b u m a ŋ l a ɡ
Bumanlag	b u m a n l a ɡ
Bumbay	b u m b a j
Bunag	b u n a ɡ
Bunawan	b u n a w a n
Bunlay	b u n l a j
Bunye	b u n j e
Bunyi	b u n j i
Buquid	b u k i d
Burgos	b u ɾ ɡ o s
Burias	b u ɾ j a s
Burma	b u ɾ m a
Burnham	b ə ɾ n h a m
Buruanga	b u ɾ w a ŋ ɡ a
Burundi	b u ɾ u n d i
Bustamante	b u s t a m a n t e
Bustos	b u s t o s
Butac	b u t a k
Butchoy	b u t s o j
Butchoy	b u t͡ʃ o j
Buting	b u t i ŋ
Butuan	b u t u ʔ a n
Butuan	b u t w a n
Byetnam	b j e t n a m
C	k
C	s
C	s e
C	s i
CAMANAVA	k a m a n a b a
CAMANAVA	k a m a n a v a
CH	s
CH	s e
CH	t s
CH	t͡s e
CH	t͡ʃ
CH	t͡ʃ e
COMELEC	k o m e l e k
CPP	s i p i p i
Cabadbaran	k a b a d b a ɾ a n
Cabagay	k a b a ɡ a j
Cabahug	k a b a h u ɡ
Caballero	k a b a l j e ɾ o
Caballeros	k a b a l j e ɾ o s
Cabanalan	k a b a n a l a n
Cabanatuan	k a b a n a t u ʔ a n
Cabangbang	k a b a ŋ b a ŋ
Cabanglasan	k a b a ŋ l a s a n
Cabangon	k a b a ŋ o n
Cabasag	k a b a s a ɡ
Cabatuan	k a b a t u ʔ a n
Cabiao	k a b j a w
Cabiling	k a b i l i ŋ
Cabral	k a b ɾ a l
Cabrera	k a b ɾ e ɾ a
Cabrillos	k a b ɾ i l j o s
Cabucgayan	k a b u k ɡ a j a n
Cabuhat	k a b u h a t
Cabungcal	k a b u ŋ k a l
Cabusao	k a b u s a w
Cabutihan	k a b u t i h a n
Cabuyao	k a b u j a w
Cacao	k a k a w
Cacdac	k a k d a k
Cachuela	k a t s u e l a
Cachuela	k a t͡ʃ u e l a
Cadano	k a d a n o
Cadapan	k a d a p a n
Caday	k a d a j
Cadayona	k a d a j o n a
Cadiz	k a d i s
Cafarnaum	k a f a ɾ n a ʔ u m
Cafarnaum	k a p a ɾ n a ʔ u m
Cagalingan	k a ɡ a l i ŋ a n
Caganap	k a ɡ a n a p
Cagayan	k a ɡ a j a n
Cagayan	k a ɡ a j ʔ a n
Cagdianao	k a ɡ d j a n a w
Caguiat	k a ɡ j a t
Caguioa	k a ɡ i w a
Caguitla	k a ɡ i t l a
Caibigan	k a ʔ i b i ɡ a n
Caibiran	k a ʔ i b i ɾ a n
Cain	k a ʔ i n
Cainta	k a ʔ i n t a ʔ
Cajucom	k a h u k o m
Calabanga	k a l a b a ŋ ɡ a
Calaca	k a l a k a ʔ
Calahatian	k a l a h a t i ʔ a n
Calalang	k a l a l a ŋ
Calalo	k a l a l o
Calamba	k a l a m b a
Calamba	k a l a m b a ʔ
Calanasan	k a l a n a s a n
Calapan	k a l a p a n
Calapati	k a l a p a t i
Calape	k a l a p e
Calapit	k a l a p i t
Calasiao	k a l a s j a w
Calatagan	k a l a t a ɡ a n
Calauag	k a l a w a ɡ
Calauan	k a l a w a n
Calaunan	k a l a ʔ u n a n
Calayan	k a l a j a n
Calaycay	k a l a j k a j
Calderon	k a l d e ɾ o n
Calimlim	k a l i m l i m
Calinawan	k a l i n a w a n
Calingasan	k a l i ŋ a s a n
Calinisan	k a l i n i s a n
Calintaan	k a l i n t a ʔ a n
Caliwag	k a l i w a ɡ
Calixihan	k a l i k s i h a n
Calixto	k a l i k s t o
Calixto	k a l i s t o
Callao	k a l a w
Calma	k a l m a
Caloocan	k a l o ʔ o k a n
Caloy	k a l o j
Caluag	k a l u a ɡ
Caluag	k a l u ʔ a ɡ
Caluangan	k a l u a ŋ a n
Calumpang	k a l u m p a ŋ
Calumpit	k a l u m p i t
Caluya	k a l u j a
Cam	k a m
CamSur	k a m s u ɾ
Camacho	k a m a t s o
Camacho	k a m a t͡ʃ o
Camalaniugan	k a m a l a n j u ɡ a n
Camalig	k a m a l i ɡ
Camaligan	k a m a l i ɡ a n
Camantigue	k a m a n t i ɡ e
Camarines	k a m a ɾ i n e s
Camdas	k a m d a s
Camiguin	k a m i ɡ i n
Campo	k a m p o
Canales	k a n a l e s
Canaman	k a n a m a n
Cancio	k a n s i o
Candelaria	k a n d e l a ɾ j a
Candijay	k a n d i h a j
Canicosa	k a n i k o s a
Caniedo	k a n j e d o
Canilao	k a n i l a w
Caniogan	k a n j o ɡ a n
Canlapan	k a n l a p a n
Canlas	k a n l a s
Canlubang	k a n l u b a ŋ
Canoy	k a n o j
Cantalejo	k a n t a l e h o
Cantiveros	k a n t i b e ɾ o s
Cantiveros	k a n t i v e ɾ o s
Cantos	k a n t o s
Capalonga	k a p a l o ŋ ɡ a
Capangyarihan	k a p a ŋ j a ɾ i h a n
Caparas	k a p a ɾ a s
Capihan	k a p i h a n
Capili	k a p i l i
Capinpin	k a p i n p i n
Capistrano	k a p i s t ɾ a n o
Capiz	k a p i s
Capucao	k a p u k a w
Capulong	k a p u l o ŋ
Capunitan	k a p u n i t a n
Capuno	k a p u n o ʔ
Caraan	k a ɾ a ʔ a n
Caraga	k a ɾ a ɡ a
Caraig	k a ɾ a ʔ i ɡ
Caramoan	k a ɾ a m o a n
Caramoan	k a ɾ a m o ʔ a n
Caramoran	k a ɾ a m o ɾ a n
Carandang	k a ɾ a n d a ŋ
Caraos	k a ɾ a ʔ o s
Carcar	k a ɾ k a ɾ
Cardenas	k a ɾ d e n a s
Cardiño	k a ɾ d i n j o
Cardona	k a ɾ d o n a
Cariaga	k a ɾ j a ɡ a
Cariaso	k a ɾ j a s o
Carillo	k a ɾ i l j o
Caringal	k a ɾ i ŋ a l
Cariño	k a ɾ i n j o
Carlito	k a ɾ l i t o
Carlos	k a ɾ l o s
Carlota	k a ɾ l o t a
Carmela	k a ɾ m e l a
Carmen	k a ɾ m e n
Carmona	k a ɾ m o n a
Carpio	k a ɾ p i o
Carreon	k a ɾ e o n
Carriaga	k a ɾ j a ɡ a
Carrillo	k a ɾ i l j o
Carunungan	k a ɾ u n u ŋ a n
Carvajal	k a ɾ b a h a l
Carvajal	k a ɾ v a h a l
Casacop	k a s a k o p
Casal	k a s a l
Casanova	k a s a n o b a
Casanova	k a s a n o v a
Casao	k a s a w
Casapao	k a s a p a w
Casas	k a s a s
Caseda	k a s e d a
Cases	k a s e s
Casiguran	k a s i ɡ u ɾ a n
Casindac	k a s i n d a k
Casiño	k a s i n j o
Casper	k a s p e ɾ
Castañeda	k a s t a n j e d a
Castillejos	k a s t i l j e h o s
Castillo	k a s t i l j o
Castrence	k a s t ɾ e n s e
Casupang	k a s u p a ŋ
Catacutan	k a t a k u t a n
Catalasan	k a t a l a s a n
Catanauan	k a t a n a w a n
Catanduanes	k a t a n d u a n e s
Catanduanes	k a t a n d u ʔ a n e s
Catangay	k a t a ŋ a j
Catanghal	k a t a ŋ h a l
Catapang	k a t a p a ŋ
Cataquiz	k a t a k i s
Catarman	k a t a ɾ m a n
Cateel	k a t i ʔ i l
Cathed	k a t e d
Catibayan	k a t i b a j a n
Catibog	k a t i b o ɡ
Catigbian	k a t i ɡ b i ʔ a n
Catindig	k a t i n d i ɡ
Catipon	k a t i p o n
Catmon	k a t m o n
Catral	k a t ɾ a l
Cauayan	k a w a j a n
Causapin	k a ʔ u s a p i n
Causon	k a w s o n
Cavite	k a b i t e
Cavite	k a v i t e
Caw	k a w
Cawicaan	k a w i k a ʔ a n
Cayabyab	k a j a b j a b
Cayco	k a j k o
Cayetano	k a j e t a n o
Cañedo	k a n j e d o
Cañeso	k a n j e s o
Cañete	k a n j e t e
Cebu	s e b u
Cebuana	s e b w a n a
Cebuano	s e b w a n o
Cedeño	s e d e n j o
Celedio	s e l e d j o
Celestial	s e l e s t i a l
Cembo	s e m b o
Cendaña	s e n d a n j a
Ceniza	s e n i s a
Ceniza	s e n i z a
Cenizal	s e n i s a l
Cenizal	s e n i z a l
Centeno	s e n t e n o
Centino	s e n t i n o
Cepillo	s e p i l j o
Cereno	s e ɾ e n o
Cerillo	s e ɾ i l j o
Cerna	s e ɾ n a
Cesneros	s e s n e ɾ o s
Cham	k a m
Cham	t s a m
Cham	t͡ʃ a m
Chan	t s a n
Chan	t͡ʃ a n
Chang	t s a ŋ
Chang	t͡ʃ a ŋ
Chantal	s j a n t a l
Chantal	ʃ a n t a l
Charity	t s a ɾ i t i
Charity	t͡ʃ a ɾ i t i
Charlene	s j a ɾ l i n
Charlene	ʃ a ɾ l i n
Charlotte	s j a ɾ l o t
Charlotte	ʃ a ɾ l o t
Chavez	t s a b e s
Chavez	t͡ʃ a b e s
Chavez	t͡ʃ a v e s
Chedeng	t s e d e ŋ
Chedeng	t͡ʃ e d e ŋ
Chen	t s e n
Chen	t s ə n
Chen	t͡ʃ e n
Chen	t͡ʃ ə n
Cheng	t s e ŋ
Cheng	t͡ʃ e ŋ
Cherry	t s e ɾ i
Cherry	t͡ʃ e ɾ i
Chi	t s i
Chi	t͡ʃ i
Chichay	t s i t s a j
Chichay	t͡ʃ i t͡ʃ a j
Chinador	t s i n a d o ɾ
Chinador	t͡ʃ i n a d o ɾ
Ching	t s i ŋ
Ching	t͡ʃ i ŋ
Chiong	t s j o ŋ
Chiong	t s o ŋ
Chiong	t͡ʃ j o ŋ
Chiong	t͡ʃ o ŋ
Chiu	t s u
Chiu	t͡ʃ u
Chiyoko	t s i o k o
Chiyoko	t͡ʃ i o k o
Chloe	k l o w i
Choi	t s o j
Choi	t͡ʃ o j
Chong	t s o ŋ
Chong	t͡ʃ o ŋ
Chow	t s a w
Chow	t͡ʃ a w
Chu	t s u
Chu	t͡ʃ u
Chua	t s u a
Chua	t s w a
Chua	t͡ʃ u a
Chua	t͡ʃ w a
Chuchay	t s u t s a j
Chuchay	t͡ʃ u t͡ʃ a j
Chung	t s u ŋ
Chung	t͡ʃ u ŋ
Cinco	s i ŋ k o
Cipriano	s i p ɾ i a n o
Clara	k l a ɾ a
Clarence	k l a ɾ e n s
Clarin	k l a ɾ i n
Claro	k l a ɾ o
Claudio	k l a w d j o
Clavecillas	k l a b e s i l j a s
Clavecillas	k l a v e s i l j a s
Claveria	k l a b e ɾ i a
Claveria	k l a v e ɾ i a
Clemente	k l e m e n t e
Clinton	k l i n t o n
Closa	k l o s a
Clyde	k l a j d
Co	k o
Cobarrubias	k o b a ɾ u b j a s
Cogeo	k o ɡ j o
Cojuangco	k o a ŋ k o
Cojuangco	k o h u a ŋ k o
Collado	k o l j a d o
Collantes	k o l j a n t e s
Coloma	k o l o m a
Colon	k o l o n
Coloso	k o l o s o
Comembo	k o m e m b o
Cometa	k o m e t a
Comia	k o m j a
Compostela	k o m p o s t e l a
Concepcion	k o n s e p s i o n
Conchita	k o n t s i t a
Conchita	k o n t͡ʃ i t a
Conde	k o n d e
Condez	k o n d e s
Confucianismo	k o n f j u s j a n i s m o
Confucianismo	k o n f u s j a n i s m o
Confucianismo	k o n p j u s j a n i s m o
Confucianismo	k o n p u s j a n i s m o
Conner	k o n e ɾ
Conrado	k o n ɾ a d o
Consolacion	k o n s o l a s j o n
Contreras	k o n t ɾ e ɾ a s
Coo	k u
Coquia	k o k j a
Cora	k o ɾ a
Corazon	k o ɾ a s o n
Corazon	k o ɾ a z o n
Corcuera	k o ɾ k u e ɾ a
Cordero	k o ɾ d e ɾ o
Cordova	k o ɾ d o b a
Cordova	k o ɾ d o v a
Corella	k o ɾ e l j a
Corista	k o ɾ i s t a
Cornejo	k o ɾ n e h o
Coron	k o ɾ o n
Corona	k o ɾ o n a
Coronel	k o ɾ o n e l
Corpus	k o ɾ p u s
Corpuz	k o ɾ p u s
Corrales	k o ɾ a l e s
Correa	k o ɾ e a
Corregidor	k o ɾ e h i d o ɾ
Corro	k o ɾ o
Cortes	k o ɾ t e s
Cortesi	k o ɾ t e s i
Cortez	k o ɾ t e s
Cory	k o ɾ i
Cosico	k o s i k o
Costales	k o s t a l e s
Cotabato	k o t a b a t o
Crawford	k ɾ o f o ɾ d
Crawford	k ɾ o p o ɾ d
Cresilda	k ɾ e s i l d a
Crising	k ɾ i s i ŋ
Crisostomo	k ɾ i s o s t o m o
Crispin	k ɾ i s p i n
Cruz	k ɾ u s
Cruzat	k ɾ u s a t
Cruzat	k ɾ u z a t
Cu	k u
Cua	k u a
Cua	k w a
Cuartero	k u a ɾ t e ɾ o
Cuasay	k u a s a j
Cubacub	k u b a k u b
Cubao	k u b a w
Cudiamat	k u d j a m a t
Cuenca	k u e ŋ k a
Cueto	k u e t o
Cuevas	k u e b a s
Cuevas	k u e v a s
Cuizon	k u i s o n
Cuizon	k u i z o n
Culaba	k u l a b a
Culasi	k u l a s i
Cunanan	k u n a n a n
Cupang	k u p a ŋ
Custodio	k u s t o d j o
Cuyapo	k u j a p o ʔ
Cynthia	s i n t i a
D	d
D	d a
D	d e
D	d i
DOLE	d o l e
Daanbantayan	d a ʔ a n b a n t a j a n
Dacanay	d a k a n a j
Dacanlao	d a k a n l a w
Dacanlao	d a k a n l a ʔ o
Daet	d a ʔ e t
Dagdag	d a ɡ d a ɡ
Dagdagan	d a ɡ d a ɡ a n
Dagohoy	d a ɡ o h o j
Daguioman	d a ɡ j o m a n
Dagupan	d a ɡ u p a n
Daisy	d e j s i
Dalaga	d a l a ɡ a
Dalaguete	d a l a ɡ e t e
Dalahican	d a l a h i k a n
Dalandanan	d a l a n d a n a n
Dalangin	d a l a ŋ i n
Dalawampu	d a l a w a m p u ʔ
Dale	d e j l
Dalisay	d a l i s a j
Dalmasya	d a l m a s j a
Dalusong	d a l u s o ŋ
Dampalit	d a m p a l i t
Damulag	d a m u l a ɡ
Damulog	d a m u l o ɡ
Danao	d a n a w
Dancel	d a n s e l
Danes	d a n e s
Danesa	d a n e s a
Dangcagan	d a ŋ k a ɡ a n
Danglas	d a ŋ l a s
Daniel	d a n j e l
Dao	d a ʔ o
Dapao	d a p a w
Dapitan	d a p i t a n
Daproza	d a p ɾ o s a
Daraga	d a ɾ a ɡ a
Darwin	d a ɾ w i n
Dasma	d a s m a
Dasmariñas	d a s m a ɾ i n j a s
Datingaling	d a t i ŋ ɡ a l i ŋ
Datinguinoo	d a t i ŋ ɡ i n o ʔ o
Datu	d a t u
Dau	d a u
Dau	d a w u
Dau	d a ʔ u
Dauis	d a w i s
Davao	d a b a w
Davao	d a v a w
Dave	d e j b
Dave	d e j v
David	d a b i d
David	d a v i d
David	d e j b i d
David	d e j v i d
Dayandante	d a j a n d a n t e
Dayang	d a j a ŋ
Dayanghirang	d a j a ŋ h i ɾ a ŋ
Dayao	d a j a w
Dayrit	d a j ɾ i t
Dazo	d a s o
Dazo	d a z o
Deang	d i a ŋ
Decena	d e s e n a
Dee	d i
Defensor	d e f e n s o ɾ
Defensor	d e p e n s o ɾ
Degamo	d e ɡ a m o
Dekarthin	d e k a ɾ t h i n
Delfin	d e l f i n
Delfin	d e l p i n
Delgado	d e l ɡ a d o
Delizo	d e l i s o
Delizo	d e l i z o
Demafeliz	d e m a f e l i s
Demafeliz	d e m a p e l i s
Demostenes	d e m o s t e n e s
Deparo	d e p a ɾ o
Deris	d e ɾ i s
Despuig	d e s p u i ɡ
Diamante	d i a m a n t e
Diaz	d i a s
Digos	d i ɡ o s
Dijamco	d i d j a m k o
Dijamco	d i d͡ʒ a m k o
Dijamco	d i h a m k o
Dilag	d i l a ɡ
Dilao	d i l a w
Dilasag	d i l a s a ɡ
Dimaala	d i m a ʔ a l a
Dimaandal	d i m a ʔ a n d a l
Dimaano	d i m a ʔ a n o
Dimaapi	d i m a ʔ a p i
Dimacali	d i m a k a l i
Dimacuha	d i m a k u h a
Dimacuja	d i m a k u h a
Dimaculangan	d i m a k u l a ŋ a n
Dimafelix	d i m a f e l i k s
Dimafelix	d i m a p e l i k s
Dimagiba	d i m a ɡ i b a ʔ
Dimailig	d i m a ʔ i l i ɡ
Dimaisip	d i m a ʔ i s i p
Dimalaluan	d i m a l a l u ʔ a n
Dimalanta	d i m a l a n t a
Dimalibot	d i m a l i b o t
Dimapasoc	d i m a p a s o k
Dimapilis	d i m a p i l i s
Dimaranan	d i m a ɾ a n a n
Dimasupil	d i m a s u p i l
Dimatatac	d i m a t a t a k
Dimatulac	d i m a t u l a k
Dimaunahan	d i m a ʔ u n a h a n
Dimawala	d i m a w a l a
Dimayacyac	d i m a j a k j a k
Dimayuga	d i m a j u ɡ a
Dimiao	d i m j a w
Dinagat	d i n a ɡ a t
Dinalungan	d i n a l u ŋ a n
Dinalupihan	d i n a l u p i h a n
Dinamarka	d i n a m a ɾ k a
Dinglasan	d i ŋ l a s a n
Diokno	d i o k n o
Dionisio	d i o n i s j o
Diosdado	d i o s d a d o
Dipasupil	d i p a s u p i l
Dipolog	d i p o l o ɡ
Disimbi	d i s i m b i
Disyembre	d i s j e m b ɾ e
Divinagracia	d i b i n a ɡ ɾ a s j a
Divinagracia	d i v i n a ɡ ɾ a s j a
Diyawa	d i a w a
Diyos	d i o s
Dizon	d i s o n
Dizon	d i z o n
Diño	d i n j o
Docena	d o s e n a
Doha	d o h a
Doktor	d o k t o ɾ
Doktora	d o k t o ɾ a
Dolores	d o l o ɾ e s
Domantay	d o m a n t a j
Domeng	d o m e ŋ
Dominador	d o m i n a d o ɾ
Dominggo	d o m i ŋ ɡ o
Domingo	d o m i ŋ ɡ o
Dominguez	d o m i ŋ ɡ e s
Dominika	d o m i n i k a
Dominikano	d o m i n i k a n o
Don	d o n
Donya	d o n j a
Dorothy	d o ɾ o t i
Dottie	d o t i
Douglas	d o ɡ l a s
Drakula	d ɾ a k u l a
Du	d u
Dublin	d a b l i n
Dublin	d u b l i n
Ducut	d u k u t
Duero	d u e ɾ o
Dueñas	d u e n j a s
Dulay	d u l a j
Dumaguete	d u m a ɡ e t e
Dumaguing	d u m a ɡ i ŋ
Dumalag	d u m a l a ɡ
Dumanjug	d u m a n h u ɡ
Dumarao	d u m a ɾ a w
Dumaraos	d u m a ɾ a ʔ o s
Dumlao	d u m l a w
Dumpit	d u m p i t
Dundon	d u n d o n
Durante	d u ɾ a n t e
Duta	d u t a ʔ
Duterte	d u t e ɾ t e
Duterteismo	d u t e ɾ t e i s m o
Dutertismo	d u t e ɾ t i s m o
Dwight	d w a j t
Dy	d i
Dyos	d j o s
E	e
E	ʔ e
E	ʔ i
EDSA	ʔ e d s a
Eba	ʔ e b a
Ebanghelyo	ʔ e b a ŋ h e l j o
Ebreo	ʔ e b ɾ e o
Echague	ʔ e t s a ɡ e
Echague	ʔ e t͡ʃ a ɡ e
Echano	ʔ e t s a n o
Echano	ʔ e t͡ʃ a n o
Echegaray	ʔ e t s e ɡ a ɾ a j
Echegaray	ʔ e t͡ʃ e ɡ a ɾ a j
Echevarria	ʔ e t s e b a ɾ j a
Echevarria	ʔ e t͡ʃ e b a ɾ j a
Echevarria	ʔ e t͡ʃ e v a ɾ j a
Echiverri	ʔ e t s i b e ɾ i
Echiverri	ʔ e t͡ʃ i b e ɾ i
Echiverri	ʔ e t͡ʃ i v e ɾ i
Eden	ʔ e d e n
Edison	ʔ e d i s o n
Edlyn	ʔ e d l i n
Edna	ʔ e d n a
Edrada	ʔ e d ɾ a d a
Efren	ʔ e f ɾ e n
Efren	ʔ e p ɾ e n
Eguia	ʔ e ɡ i a
Ehipto	ʔ e h i p t o
Ejercito	ʔ e h e ɾ s i t o
Ekuwador	ʔ e k u a d o ɾ
Ekwador	ʔ e k w a d o ɾ
Elamparo	ʔ e l a m p a ɾ o
Elcano	ʔ e l k a n o
Elefante	ʔ e l e f a n t e
Elefante	ʔ e l e p a n t e
Elena	ʔ e l e n a
Elenita	ʔ e l e n i t a
Eliseo	ʔ e l i s e o
Elizaga	ʔ e l i s a ɡ a
Elizaga	ʔ e l i z a ɡ a
Elizalde	ʔ e l i s a l d e
Elizalde	ʔ e l i z a l d e
Elorde	ʔ e l o ɾ d e
Eloriaga	ʔ e l o ɾ j a ɡ a
Emeterio	ʔ e m e t e ɾ j o
Emiko	ʔ e m i k o
Emily	ʔ e m i l i
Emma	ʔ e m a
Emong	ʔ e m o ŋ
Emperador	ʔ e m p e ɾ a d o ɾ
Emperadora	ʔ e m p e ɾ a d o ɾ a
Encarnacion	ʔ e ŋ k a ɾ n a s j o n
Encarnado	ʔ e ŋ k a ɾ n a d o
Encinas	ʔ e n s i n a s
Endaya	ʔ e n d a j a
Endozo	ʔ e n d o s o
Endozo	ʔ e n d o z o
Endrinal	ʔ e n d ɾ i n a l
Enero	ʔ e n e ɾ o
Enrile	ʔ e n ɾ i l e
Enrique	ʔ e n ɾ i k e
Enriquez	ʔ e n ɾ i k e s
Ensano	ʔ e n s a n o
Enteng	ʔ e n t e ŋ
Epikureismo	ʔ e p i k u ɾ e i s m o
Epikurismo	ʔ e p i k u ɾ i s m o
Epipanya	ʔ e p i p a n j a
Erap	ʔ e ɾ a p
Erfe	ʔ e ɾ f e
Erfe	ʔ e ɾ p e
Erning	ʔ e ɾ n i ŋ
Ersegobina	ʔ e ɾ s e ɡ o b i n a
Escalante	ʔ e s k a l a n t e
Escalona	ʔ e s k a l o n a
Escamillas	ʔ e s k a m i l j a s
Escaño	ʔ e s k a n j o
Escobido	ʔ e s k o b i d o
Escovido	ʔ e s k o b i d o
Escovido	ʔ e s k o v i d o
Escuadro	ʔ e s k u a d ɾ o
Escueta	ʔ e s k u e t a
Esguerra	ʔ e s ɡ e ɾ a
Eskorpiyo	ʔ e s k o ɾ p i o
Eskosya	ʔ e s k o s j a
Eslobakya	ʔ e s l o b a k j a
Eslobenya	ʔ e s l o b e n j a
Esmeralda	ʔ e s m e ɾ a l d a
Espanya	ʔ e s p a n j a
Espanyol	ʔ e s p a n j o l
Espanyola	ʔ e s p a n j o l a
España	ʔ e s p a n j a
Espeleta	ʔ e s p e l e t a
Esperantista	ʔ e s p e ɾ a n t i s t a
Esperanto	ʔ e s p e ɾ a n t o
Esperanza	ʔ e s p e ɾ a n s a
Esperanza	ʔ e s p e ɾ a n z a
Espina	ʔ e s p i n a
Espino	ʔ e s p i n o
Espinosa	ʔ e s p i n o s a
Espinoza	ʔ e s p i n o s a
Espinoza	ʔ e s p i n o z a
Espiritu	ʔ e s p i ɾ i t u
Esquivel	ʔ e s k i b e l
Esquivel	ʔ e s k i v e l
Estabillo	ʔ e s t a b i l j o
Este	ʔ e s t e
Estigoy	ʔ e s t i ɡ o j
Estonya	ʔ e s t o n j a
Estrada	ʔ e s t ɾ a d a
Estrella	ʔ e s t ɾ e l j a
Ethel	ʔ e t e l
Etivac	ʔ e t i b a k
Etivac	ʔ e t i v a k
Etiyopiya	ʔ e t i o p i a
Eugenio	j u h e n j o
Eugenio	ʔ e w h e n j o
Eukaristiya	j u k a ɾ i s t i a
Euklides	j u k l i d e s
Euklides	ʔ e w k l i d e s
Europa	j u ɾ o p a
Europa	ʔ e w ɾ o p a
Europeo	j u ɾ o p e o
Eva	ʔ e b a
Eva	ʔ e v a
Evan	ʔ e b a n
Evan	ʔ e v a n
Evangeline	ʔ e b a n d j e l i n
Evangeline	ʔ e b a n d͡ʒ e l i n
Evangeline	ʔ e v a n d͡ʒ e l i n
Evangelista	ʔ e b a ŋ h e l i s t a
Evangelista	ʔ e v a ŋ h e l i s t a
Evasco	ʔ e b a s k o
Evasco	ʔ e v a s k o
Exconde	ʔ e k s k o n d e
Ezra	ʔ e s ɾ a
Ezra	ʔ e z ɾ a
F	f
F	p
F	ʔ e f
F	ʔ e f e
F	ʔ e p
F	ʔ e p e
Fabian	f a b j a n
Fabian	p a b j a n
Fabregas	f a b ɾ e ɡ a s
Fabregas	p a b ɾ e ɡ a s
Fabros	f a b ɾ o s
Fabros	p a b ɾ o s
Facebook	f e j s b u k
Facebook	p e j s b u k
Fagestrom	f a ɡ e s t ɾ o m
Fagestrom	p a ɡ e s t ɾ o m
Fairview	f e j ɾ v j u
Fairview	p e j ɾ b j u
