á	aː
báloch	b aː l ɔ x
Balog	b a l ɔ k
Balogh	b a l ɔ k x
balón	b a l ɔː n
Baltazár	b a l t a z aː r
bálu	b aː l u
Balúch	b a l uː x
Balvín	b a l v iː n
bály	b aː l i
balzamovať	b a l z a m ɔ v a c
Bamako	b a m a k ɔ
bambus	b a m b u s
bambusový	b a m b u s ɔ v iː
báň	b aː ɲ
baňa	b a ɲ a
banán	b a n aː n
Banáš	b a n aː ʃ
Bangkok	b a n k ɔ k
Bangladéš	b a n ɡ l a d eː ʃ
Bangladéšan	b a n ɡ l a d eː ʃ a n
Bangladéšanka	b a n ɡ l a d eː ʃ a n k a
Bango	b a n ɡ ɔ
Bangui	b a n ɡ i
baníčka	b a ɲ iː t͡ʃ k a
baníctvo	b a ɲ iː t͡s v ɔ
baník	b a ɲ iː k
Baník	b a ɲ iː k
Banínec	b a ɲ iː ɲ e t͡s
Banjul	b a n d͡ʒ u l
banka	b a n k a
bankami	b a ŋ k a m i
bankár	b a n k aː r
bankársky	b a n k aː r s k i
banke	b a ŋ k ɛ
bankomat	b a n k ɔ m a t
bankovka	b a n k ɔ v k a
bankrotovať	b a n k r ɔ t ɔ v a c
banku	b a ŋ k u
banky	b a ŋ k i
Bánsky	b aː n s k i
baptista	b a p t i s t a
baptisti	b a p t i s c i
baptistka	b a p c i s t k a
Bara	b a r a
Barák	b a r aː k
baran	b a r a n
Baran	b a r a n
baranček	b a r a n t͡ʃ e k
barančeka	b a r a n t͡ʃ e k a
barančeky	b a r a n t͡ʃ e k i
baraní	b a r a ɲ iː
Baranovič	b a r a n ɔ v i t͡ʃ
Baráth	b a r aː t
Barbados	b a r b a d ɔ s
Barbara	b a r b a r a
barbarizácia	b a r b a r i z aː t͡s i a
barbarizmus	b a r b a r i z m u s
barbarizovať	b a r b a r i z ɔ v a c
barbarský	b a r b a r s k iː
Barbora	b a r b ɔ r a
Barborík	b a r b ɔ r iː k
Bardejov	b a r ɟ e j ɔ v
Bari	b a r i
Bariak	b a r ɪ̯ a k
barikáda	b a r i k aː d a
barikádovať	b a r i k aː d ɔ v a c
barina	b a r i n a
barinka	b a r i n k a
bárium	b aː r i u m
Barkus	b a r k u s
barmanský	b a r m a n s k iː
barmčina	b a r m t͡ʃ i n a
Barnák	b a r n aː k
barok	b a r ɔ k
barometer	b a r ɔ m e c e r
Barta	b a r t a
Bárta	b aː r t a
Bartakovič	b a r t a k ɔ v i t͡ʃ
Bartek	b a r c e k
Bártfai	b aː r t f a i
Bartko	b a r t k ɔ
Bartl	b a r t l̩
Bartolák	b a r t ɔ l aː k
Bartolomej	b a r t ɔ ɫ ɔ m ɛ j
Bartoš	b a r t ɔ ʃ
Bartovic	b a r t ɔ v i t͡s
barytón	b a r i t ɔː n
Baša	b a ʃ a
báseň	b aː s e ɲ
basista	b a s i s t a
basistka	b a s i s t k a
basketbal	b a s k e d b a l
basketbalista	b a s k e d b a l i s t a
basketbalistka	b a s k e d b a ʎ i s t k a
baškirčina	b a ʃ k i r t͡ʃ i n a
básnička	b aː s ɲ i t͡ʃ k a
básnik	b aː s ɲ i k
Bašo	b a ʃ ɔ
Basseterre	b a s t eː r
bášt	b aː ʃ t
bašta	b a ʃ t a
báť	b aː c
Baťala	b a c a l a
batalión	b a t a ʎ i ɔː n
batéria	b a t eː r i a
baterka	b a t e r k a
baterkový	b a c e r k ɔ v iː
Baťo	b a c ɔ
batyskaf	b a t i s k a f
Bauco	b a u t͡s ɔ
Baudyš	b a u d i ʃ
Bauer	b a u e r
Bauko	b a u k ɔ
bauxit	b a u k s i t
Bavko	b a v k ɔ
bavlna	b a v l̩ n a
Bavorsko	b a v ɔ r s k ɔ
bažant	b a ʒ a n t
bažantík	b a ʒ a n c iː k
bažantnica	b a ʒ a n t ɲ i t͡s a
bažantnice	b a ʒ a n t ɲ i t͡s e
bázeň	b aː z e ɲ
Bazilej	b a z i ʎ e j
Beáta	b e aː t a
beatifikácia	b e a t i f i k aː t͡s i a
beatifikovať	b e a c i f i k ɔ v a c
Beátka	b e aː t k a
Bebčák	b e p t͡ʃ aː k
Bebrava	b e b r a v a
Bečák	b e t͡ʃ aː k
Bechná	b e x n aː
Bechný	b e x n iː
bedľa	b e d ʎ a
bedľami	b e d ʎ a m i
bedle	b e d ʎ e
bedlí	b e d ʎ iː
bedliach	b e d ʎ ɪ̯ a x
bedľou	b e d ʎ ɔ v
bedminton	b ɛː d m i n t ɔ n
bedmintonista	b e d m i n t ɔ n i s t a
bedmintonistka	b e d m i n t ɔ ɲ i s t k a
bedňa	b e d ɲ a
Bednár	b e d n aː r
bedrá	b e d r aː
bedrách	b e d r aː x
bedrám	b e d r aː m
bedrami	b e d r a m i
bedro	b e d r ɔ
bedrovník	b e d r ɔ v ɲ iː k
Begala	b e ɡ a l a
beh	b e x
behá	b e ɦ aː
behaj	b e ɦ a j
behajme	b e ɦ a j m e
behajte	b e ɦ a j c e
behajú	b e ɦ a j uː
behajúc	b e ɦ a j uː t͡s
behajúci	b e ɦ a j uː t͡s i
behám	b e ɦ aː m
Behan	b e ɦ a n
Behán	b e ɦ aː n
behanie	b e ɦ a ɲ ɪ̯ e
behať	b e ɦ a c
behaviorizmus	b e ɦ a v i ɔ r i z m u s
behaviorizmus	b i ɦ e j v i ɔ r i z m u s
Behún	b e ɦ uː n
behúň	b e ɦ uː ɲ
Behúň	b e ɦ uː ɲ
Behýl	b e ɦ iː l
Bejrút	b e j r uː t
Bekeš	b e k e ʃ
beľ	b e ʎ
beladona	b e l a d ɔ n a
Belaj	b e l a j
Belaník	b e l a ɲ iː k
belasý	b e l a s iː
belavý	b e l a v iː
Belehrad	b e ʎ e ɦ r a t
Beleš	b e ʎ e ʃ
Belfast	b e l f a s t
Belgičan	b e l ɡ i t͡ʃ a n
Belgičanka	b e l ɡ i t͡ʃ a n k a
Belgicko	b e l ɡ i t͡s k ɔ
Belica	b e ʎ i t͡s a
Belko	b e l k ɔ
Belmopan	b e l m ɔ p a n
Belo	b ɛ ɫ ɔ
belší	b e l ʃ iː
Bena	b e n a
Beňa	b e ɲ a
Beňadik	b e ɲ a d i k
Benátky	b e n aː t k i
Benčať	b e n t͡ʃ a c
Benčík	b e n t͡ʃ iː k
Benda	b e n d a
Beneš	b e n e ʃ
bengálčina	b e n ɡ aː l t͡ʃ i n a
Benin	b e ɲ i n
Benjamín	b ɛ n j a m iː n
Benko	b e n k ɔ
Benkovič	b e n k ɔ v i t͡ʃ
Beňo	b e ɲ ɔ
Beňuš	b e ɲ u ʃ
Beňuška	b e ɲ u ʃ k a
benzín	b e n z iː n
benzínka	b ɛ n z iː n k a
benzínový	b e n z iː n ɔ v iː
Beran	b e r a n
Beránek	b e r aː n e k
Berho	b e r ɦ ɔ
berkélium	b ɛ r k ɛː l ɪ j ʊ m
Berko	b e r k ɔ
Berlín	b e r ʎ iː n
Berlínčan	b e r ʎ iː n t͡ʃ a n
Berlínčanka	b e r ʎ iː n t͡ʃ a n k a
Bermudy	b e r m u d i
Bern	b e r n
Bernard	b ɛ r n a r d
Bernát	b e r n aː t
Bernolák	b e r n ɔ l aː k
bernolákovčina	b e r n ɔ l aː k ɔ v t͡ʃ i n a
Bero	b e r ɔ
Berta	b e r t a
beryl	b e r i l
berýlium	b e r iː l i u m
beseda	b e s e d a
Beseda	b e s e d a
Beskydy	b ɛ s k i d i
besnota	b e s n ɔ t a
beštiálny	b e ʃ c i aː l n i
bestseller	b e s t͡sː e ʎ e r
beta	b e t a
Beták	b e t aː k
beťár	b e c aː r
beťárka	b e c aː r k a
Betlehem	b e t ʎ e ɦ e m
betlehem	b e t l e ɦ e m
betón	b e t ɔː n
betónovať	b e t ɔː n ɔ v a c
bez	b ɛ s
Bezák	b e z aː k
bežať	b ɛ ʒ a c
bezbranný	b e z b r a nː iː
bezcennosť	b e s t͡s e nː ɔ s c
bezcenný	b e s t͡s e nː iː
bezcestný	b e s t͡s e s t n iː
bezcharakterný	b ɛ s x a r a k t ɛ r n iː
bezchybne	b e s x i b ɲ e
bezchybnosť	b e s x i b n ɔ s c
bezchybný	b e s x i b n iː
bezcolný	b e s t͡s ɔ l n iː
bezdetnosť	b e z ɟ e t n ɔ s c
bezdetný	b e z ɟ e t n iː
bežec	b e ʒ e t͡s
bežecký	b e ʒ e t͡s k iː
Bezek	b e z e k
bezfarebnosť	b e s f a r e b n ɔ s c
bezfarebný	b e s f a r e b n iː
bezhriešnosť	b e z ɦ r ɪ̯ e ʃ n ɔ s c
bezhriešny	b e z ɦ r ɪ̯ e ʃ n i
bezideový	b e z i ɟ e ɔ v iː
bezkrvne	b e s k r̩ v ɲ e
bezkrvnosť	b e s k r̩ v n ɔ s c
bezkrvný	b e s k r̩ v n iː
bežkyňa	b e ʃ k i ɲ a
bezmenný	b e z m e nː iː
bezmocný	b e z m ɔ t͡s n iː
beznádej	b e z n aː ɟ e j
beznohý	b e z n ɔ ɦ iː
bežný	b e ʒ n iː
bezo	b ɛ z ɔ
bezpečnosť	b ɛ s p ɛ t͡ʃ n ɔ s c
bezrohý	b e z r ɔ ɦ iː
bezženstvo	b e z ʒ e n s t v ɔ
bezzubosť	b e zː u b ɔ s c
bezzubý	b e zː u b iː
Bhután	b ɦ u t aː n
bi	b i
Bianka	b ɪ̯ a n k a
biatlon	b i a t l ɔ n
biatlonista	b i a t l ɔ n i s t a
biatlonový	b i a t l ɔ n ɔ v iː
Bibiána	b i b i aː n a
bibliofília	b i b l i ɔ f iː l i a
bibliografia	b i b l i ɔ ɡ r a f i a
bič	b i t͡ʃ
Bič	b i t͡ʃ
Bičan	b i t͡ʃ a n
Bicek	b i t͡s e k
bičík	b i t͡ʃ iː k
bicykel	b i t͡s i k e l
bicyklovať	b i t͡s i k l ɔ v a c
bidet	b i d e t
bidetový	b i ɟ e t ɔ v iː
bidlo	b i d l ɔ
biedny	b ɪ̯ e d n i
biela	b ɪ̯ e l a
Biela	b ɪ̯ e l a
biele	b ɪ̯ e l e
bielej	b ɪ̯ e ʎ e j
bieli	b ɪ̯ e l i
Bielik	b ɪ̯ e ʎ i k
bielizeň	b ɪ̯ e ʎ i z e ɲ
bielizník	b ɪ̯ e ʎ i z ɲ iː k
bielizníka	b ɪ̯ e ʎ i z ɲ iː k a
bielkovina	b ɪ̯ e l k ɔ v i n a
bielok	b ɪ̯ e l ɔ k
bielokrvnosť	b ɪ̯ e l ɔ k r̩ v n ɔ s c
Bielorusko	b ɪ̯ e l ɔ r u s k ɔ
bieloruský	b ɪ̯ e l ɔ r u s k iː
bieloruština	b ɪ̯ e l ɔ r u ʃ c i n a
bielou	b ɪ̯ e l ɔ v
bielu	b ɪ̯ e l u
biely	b ɪ̯ e l i
Biely	b ɪ̯ e l i
bifľoš	b i v ʎ ɔ ʃ
bifurkácia	b i f u r k aː t͡s i a
Bihár	b i ɦ aː r
bije	b i j e
bijem	b i j e m
bijeme	b i j e m e
biješ	b i j e ʃ
bijete	b i j e c e
bijú	b i j uː
bijúc	b i j uː t͡s
bijúci	b i j uː t͡s i
bil	b i l
bila	b i l a
bilbord	b i l b ɔ r t
Bílek	b iː ʎ e k
bili	b i ʎ i
bilingválny	b i ʎ i n ɡ v aː l n i
bilión	b i ʎ i ɔː n
Bilko	b i l k ɔ
bilo	b i l ɔ
Bilský	b i l s k iː
bime	b i m e
Binčík	b i n t͡ʃ iː k
Binda	b i n d a
biochemický	b i ɔ x e m i t͡s k iː
biodiverzita	b i ɔ d i v e r z i t a
biofyzika	b i ɔ f i z i k a
bioklimatológia	b i ɔ k l i m a t ɔ l ɔː ɡ i a
biológ	b i ɔ l ɔː k
biológia	b i ɔ l ɔː ɡ i a
biologičiek	b i ɔ l ɔ ɡ i t͡ʃ ɪ̯ e k
biologička	b i ɔ l ɔ ɡ i t͡ʃ k a
bioluminiscencia	b i ɔ l u m i n i s t͡s e n t͡s i a
biometeorológia	b i ɔ m e t e ɔ r ɔ l ɔː ɡ i a
biotechnológia	b i ɔ t e x n ɔ l ɔː ɡ i a
biotit	b i o t i t
bipolárny	b i p ɔ l aː r n i
Birčák	b i r t͡ʃ aː k
Bíreš	b iː r e ʃ
birmovanie	b i r m ɔ v a ɲ i̯ ɛ
birmovka	b i r m ɔ v k a
Biro	b i r ɔ
Bíro	b iː r ɔ
Biroš	b i r ɔ ʃ
bisexualita	b i s ɛ k s u a l i t a
Biškek	b i ʃ k e k
biskup	b i s k u p
Biskup	b i s k u p
biskupský	b i s k u p s k iː
bislama	b i s l a m a
Bissau	b i sː a u
biť	b i c
bite	b i c e
bitie	b i c ɪ̯ e
bitka	b i t k a
bitý	b i t iː
Bízik	b iː z i k
bizmut	b i z m u t
biznismen	b i z n i s m e n
Bláha	b l aː ɦ a
Blaho	b l a ɦ ɔ
Blahoslav	b ɫ a ɦ ɔ s ɫ a u̯
Blahota	b l a ɦ ɔ t a
Blahušiak	b l a ɦ u ʃ ɪ̯ a k
Blahút	b l a ɦ uː t
blamáž	b l a m aː ʃ
blán	b l aː n
blana	b l a n a
Blanár	b l a n aː r
blane	b l a ɲ e
Blanka	b l a n k a
blanu	b l a n u
blany	b l a n i
Blaško	b l a ʃ k ɔ
Blaškovič	b l a ʃ k ɔ v i t͡ʃ
Blatnický	b l a t ɲ i t͡s k iː
blatník	b l a t ɲ iː k
Blažej	b l a ʒ e j
Blažek	b l a ʒ e k
Blažena	b l a ʒ e n a
bláznovský	b l aː z n ɔ v s k iː
blázon	b l aː z ɔ n
blázonček	b l aː z ɔ n t͡ʃ e k
blázonka	b l aː z ɔ n k a
blázonko	b l aː z ɔ n k ɔ
blázonkovia	b l aː z ɔ n k ɔ v ɪ̯ a
blbaňa	b l̩ b a ɲ a
bĺch	b l̩ː x
blcha	b l̩ x a
Blcha	b l̩ x a
blchou	b l̩ x ɔ v
blchu	b l̩ x u
blchy	b l̩ x i
Blecha	b ʎ e x a
bledokrvnosť	b ʎ e d ɔ k r̩ v n ɔ s c
bledý	b ʎ e d iː
blen	b ʎ e n
blenový	b ʎ e n ɔ v iː
blesk	b ʎ e s k
Blicha	b ʎ i x a
blízki	b ʎ iː s k i
blízkosť	b ʎ iː s k ɔ s c
blízky	b ʎ iː s k i
Bliznák	b ʎ i z n aː k
bližší	b ʎ i ʃː iː
blog	b l ɔ k
blokáda	b l ɔ k aː d a
blokovať	b l ɔ k ɔ v a c
blokuje	b l ɔ k u j e
blokujú	b l ɔ k u j uː
blška	b l̩ ʃ k a
Blšťák	b l̩ ʃ c aː k
blud	b l u t
blude	b l u ɟ e
bludisko	b l u ɟ i s k ɔ
blúdiť	b l uː ɟ i c
bludmi	b l u d m i
bludoch	b l u d ɔ x
bludom	b l u d ɔ m
bludov	b l u d ɔ v
bludu	b l u d u
bludy	b l u d i
blúza	b l uː z a
Bobák	b ɔ b aː k
Bobček	b ɔ p t͡ʃ e k
Bobka	b ɔ p k a
Bobok	b ɔ b ɔ k
bobona	b ɔ b ɔ n a
bobor	b ɔ b ɔ r
Bobor	b ɔ b ɔ r
bobrica	b ɔ b r i t͡s a
bobrík	b ɔ b r iː k
Bobrovník	b ɔ b r ɔ v ɲ iː k
bobrový	b ɔ b r ɔ v iː
Bobuľa	b ɔ b u ʎ a
Bochnovič	b ɔ x n ɔ v i t͡ʃ
bocian	b ɔ t͡s ɪ̯ a n
bočka	b ɔ t͡ʃ k a
bočnica	b ɔ t͡ʃ ɲ i t͡s a
Boda	b ɔ d a
bodka	b ɔ t k a
bodkočiarka	b ɔ t k ɔ t͡ʃ ɪ̯ a r k a
bodla	b ɔ d l a
bodli	b ɔ d ʎ i
bodliak	b ɔ d ʎ ɪ̯ a k
Bodnár	b ɔ d n aː r
bodne	b ɔ d ɲ e
bodnem	b ɔ d ɲ e m
bodneme	b ɔ d ɲ e m e
bodneš	b ɔ d ɲ e ʃ
bodnete	b ɔ d ɲ e c e
bodnú	b ɔ d n uː
bodnúť	b ɔ d n uː c
bodnutie	b ɔ d n u c ɪ̯ e
Boďo	b ɔ ɟ ɔ
bodol	b ɔ d ɔ l
Bodrog	b ɔ d r ɔ k
Bodva	b ɔ d v a
body	b ɔ d i
bodyček	b ɔ d i t͡ʃ e k
Bodzík	b ɔ d͡z iː k
Bogár	b ɔ ɡ aː r
Bogdan	b ɔ ɡ d a n
bogomil	b ɔ ɡ ɔ m i l
Bogota	b ɔ ɡ ɔ t a
boh	b ɔ x
boha	b ɔ ɦ a
boháč	b ɔ ɦ aː t͡ʃ
Boháček	b ɔ ɦ aː t͡ʃ e k
boháčsky	b ɔ ɦ aː t͡ʃ s k i
bohaté	b ɔ ɦ a t eː
bohatej	b ɔ ɦ a c e j
bohatom	b ɔ ɦ a t ɔ m
bohatú	b ɔ ɦ a t uː
bohatý	b ɔ ɦ a t iː
Bohdan	b ɔ ɦ d a n
Bohdana	b ɔ ɦ d a n a
bohemizmus	b ɔ ɦ ɛ m i z m u s
Böhm	b ø ɦ m
bohmi	b ɔ ɦ m i
Böhmová	b ø ɦ m ɔ v aː
bohoch	b ɔ ɦ ɔ x
bohom	b ɔ ɦ ɔ m
bohov	b ɔ ɦ ɔ v
bohovi	b ɔ ɦ ɔ v i
bohovia	b ɔ ɦ ɔ v ɪ̯ a
bohrium	b ɔ r ɪ j ʊ m
bohu	b ɔ ɦ u
Bohumil	b ɔ ɦ u m i l
Bohumír	b ɔ ɦ u m iː r
Bohuš	b ɔ ɦ u ʃ
Bohuslav	b ɔ ɦ u s l a u̯
Bohuslava	b ɔ ɦ u s l a v a
bohužiaľ	b ɔ ɦ u ʒ ɪ̯ a ʎ
bohyňa	b ɔ ɦ i ɲ a
boj	b ɔ j
bojazlivosť	b ɔ j a z ʎ i v ɔ s c
bojazlivý	b ɔ j a z ʎ i v iː
bojí	b ɔ j iː
bojím	b ɔ j iː m
bojíme	b ɔ j iː m e
bojíš	b ɔ j iː ʃ
bojisko	b ɔ j i s k ɔ
bojkotovanie	b ɔ j k ɔ t ɔ v a ɲ ɪ̯ e
bojkotovať	b ɔ j k ɔ t ɔ v a c
bojovať	b ɔ j ɔ v a c
bojovnícky	b ɔ j ɔ v ɲ iː t͡s k i
bojovník	b ɔ j ɔ v ɲ iː k
Bojtár	b ɔ j t aː r
bojuje	b ɔ j u j e
bojujem	b ɔ j u j e m
bojujeme	b ɔ j u j e m e
bojuješ	b ɔ j u j e ʃ
bojujete	b ɔ j u j e c e
bojujú	b ɔ j u j uː
bol	b ɔ l
bôľ	b u̯ ɔ ʎ
bola	b ɔ l a
Boldiš	b ɔ l ɟ i ʃ
Bolebruch	b ɔ ʎ e b r u x
Boledovič	b ɔ ʎ e d ɔ v i t͡ʃ
Bolehradský	b ɔ ʎ e ɦ r a t͡s k iː
Boleslav	b ɔ l ɛ s l a u̯
bolesť	b ɔ ʎ e s c
Bolgáč	b ɔ l ɡ aː t͡ʃ
boli	b ɔ ʎ i
bolí	b ɔ ʎ iː
bôli	b u̯ ɔ ʎ i
bolieť	b ɔ ʎ ɪ̯ e c
Bolívia	b ɔ l iː v i a
Bolívie	b ɔ l iː v i e
bôľna	b u̯ ɔ ʎ n a
bôľne	b u̯ ɔ ʎ ɲ e
bôľni	b u̯ ɔ ʎ ɲ i
bôľnu	b u̯ ɔ ʎ n u
bôľny	b u̯ ɔ ʎ n i
bolo	b ɔ l ɔ
Bologna	b o l o ɲ a
bôľom	b u̯ ɔ ʎ ɔ m
boľševička	b ɔ ʎ ʃ e v i t͡ʃ k a
boľševický	b ɔ ʎ ʃ e v i t͡s k iː
boľševik	b ɔ ʎ ʃ e v i k
boľševizmu	b ɔ ʎ ʃ e v i z m u
boľševizmus	b ɔ ʎ ʃ e v i z m u s
boľševizovať	b ɔ ʎ ʃ e v i z ɔ v a c
bôľu	b u̯ ɔ ʎ u
bomba	b ɔ m b a
bombardoval	b ɔ m b a r d ɔ v a l
bombardovania	b ɔ m b a r d ɔ v a ɲ ɪ̯ a
bombardovanie	b ɔ m b a r d ɔ v a ɲ ɪ̯ e
bombardovať	b ɔ m b a r d ɔ v a c
bombarduje	b ɔ m b a r d u j e
bombardujú	b ɔ m b a r d u j uː
bombasticky	b ɔ m b a s c i t͡s k i
bombastický	b ɔ m b a s c i t͡s k iː
Bombík	b ɔ m b iː k
bonbón	b ɔ m b ɔː n
Bončik	b ɔ n t͡ʃ i k
Bondra	b ɔ n d r a
Bonec	b ɔ ɲ e t͡s
Bonifác	b ɔ ɲ i f aː t͡s
Boňko	b ɔ ɲ k ɔ
bór	b ɔː r
Bordáč	b ɔ r d aː t͡ʃ
bordel	b ɔ r d e l
bordelár	b ɔ r d e l aː r
bordelárka	b ɔ r ɟ e l aː r k a
boreálny	b ɔ r e aː l n i
borec	b ɔ r e t͡s
Borecká	b ɔ r e t͡s k aː
Borecký	b ɔ r e t͡s k iː
Borguľa	b ɔ r ɡ u ʎ a
Borík	b ɔ r iː k
Bôrik	b u̯ ɔ r i k
boril	b ɔ r i l
Boris	b ɔ r i s
Boroš	b ɔ r ɔ ʃ
borovčiak	b ɔ r ɔ v t͡ʃ ɪ̯ a k
borovička	b ɔ r ɔ v i t͡ʃ k a
borovicový	b ɔ r ɔ v i t͡s ɔ v iː
Borovka	b ɔ r ɔ v k a
Borovská	b ɔ r ɔ v s k aː
Borovský	b ɔ r ɔ v s k iː
boršč	b ɔ r ʃ t͡ʃ
Bosák	b ɔ s aː k
Bošák	b ɔ ʃ aː k
Boška	b ɔ ʃ k a
Boško	b ɔ ʃ k ɔ
bosniacky	b ɔ s ɲ ɪ̯ a t͡s k i
bosniak	b ɔ s ɲ ɪ̯ a k
bosniansky	b ɔ s ɲ ɪ̯ a n s k i
bosorák	b ɔ s ɔ r aː k
bosorka	b ɔ s ɔ r k a
Boston	b ɔ s t ɔ n
bosý	b ɔ s iː
Bot	b ɔ t
botanicky	b ɔ t a ɲ i t͡s k i
botanický	b ɔ t a ɲ i t͡s k iː
botanika	b ɔ t a n i k a
botanikou	b ɔ t a ɲ i k ɔ v
botaniku	b ɔ t a ɲ i k u
botanizovať	b ɔ t a n i z ɔ v a c
Botek	b ɔ c e k
Botík	b ɔ c iː k
Botka	b ɔ t k a
Botková	b ɔ t k ɔ v aː
Botlík	b ɔ t ʎ iː k
Botová	b ɔ t ɔ v aː
boxuje	b ɔ k s u j e
boxujem	b ɔ k s u j e m
boxujeme	b ɔ k s u j e m e
boxuješ	b ɔ k s u j e ʃ
boxujete	b ɔ k s u j e c e
boxujú	b ɔ k s u j uː
bože	b ɔ ʒ ɛ
Božek	b ɔ ʒ e k
Božena	b ɔ ʒ e n a
Boženík	b ɔ ʒ e ɲ iː k
Božica	b ɔ ʒ i t͡s a
Božidara	b ɔ ʒ i d a r a
bozk	b ɔ s k
bozkať	b ɔ s k a c
božstvo	b ɔ ʃ s t v ɔ
božtek	b ɔ ʃ c e k
braček	b r a t͡ʃ e k
Brachna	b r a x n a
brada	b r a d a
bradáň	b r a d aː ɲ
bradáňa	b r a d aː ɲ a
bradatý	b r a d a t iː
bradavica	b r a d a v i t͡s a
bradavka	b r a d a v k a
brál	b r aː l
bralo	b r a l ɔ
brán	b r aː n
Braňa	b r a ɲ a
Brandenbursko	b r a n ɟ e n b u r s k ɔ
brandy	b r e n d i
brandža	b r a n d͡ʒ a
bránic	b r aː ɲ i t͡s
bránica	b r aː ɲ i t͡s a
bránice	b r aː ɲ i t͡s e
Branislav	b r a ɲ i s ɫ a u̯
Branislava	b r a ɲ i s l a v a
brániť	b r aː ɲ i c
brankár	b r a n k aː r
brankárka	b r a n k aː r k a
brankársky	b r a n k aː r s k i
Braňo	b r a ɲ ɔ
brány	b r aː n i
Brašov	b r a ʃ ɔ u̯
brat	b r a t
brať	b r a c
brata	b r a t a
brate	b r a c e
Bratislava	b r a c i s l a v a
Bratislavčan	b r a c i s l a u̯ t͡ʃ a n
Bratislavčanka	b r a c i s l a v t͡ʃ a n k a
Bratislave	b r a c i s ɫ a v ɛ
Bratislavou	b r a c i s ɫ a v ɔ u̯
Bratislavu	b r a c i s ɫ a v u
Bratislavy	b r a c i s ɫ a v i
bratku	b r a t k u
bratov	b r a t ɔ v
bratranec	b r a t r a ɲ e t͡s
bratský	b r a t͡s k iː
bratu	b r a t u
brav	b r a v
bravčové	b r a v t͡ʃ ɔ v eː
bravčovina	b r a v t͡ʃ ɔ v i n a
bravčový	b r a v t͡ʃ ɔ v iː
bravúrny	b r a v uː r n i
Braxatoris	b r a k s a t ɔ r i s
brázda	b r aː z d a
Brazília	b r a z iː l i a
brazílski	b r a z iː l s k i
Brazzaville	b r a z a v i l
brblavý	b r̩ b l a v iː
Brčák	b r̩ t͡ʃ aː k
brčkavý	b r̩ t͡ʃ k a v iː
bŕd	b r̩ː t
Brdár	b r̩ d aː r
brde	b r̩ ɟ e
brdo	b r̩ d ɔ
brdzami	b r̩ d͡z a m i
breakdance	b r e j ɡ d e n s
Brečka	b r e t͡ʃ k a
brečka	b r e t͡ʃ k a
brečtan	b r e t͡ʃ t a n
brečtanový	b r e t͡ʃ t a n ɔ v iː
breh	b r e x
Brehuv	b r e ɦ u v
Brejcha	b r e j x a
brejkbal	b r e j ɡ b a l
brekyňa	b r e k i ɲ a
bremä	b r e m æ
Brémy	b r eː m i
bretónčina	b r e t ɔː n t͡ʃ i n a
breza	b r e z a
Brezina	b r e z i n a
Brezniak	b r e z ɲ ɪ̯ a k
Brezno	b r e z n ɔ
Brezovská	b r e z ɔ v s k aː
Brezovský	b r e z ɔ v s k iː
brheľ	b r̩ ɦ e ʎ
brhél	b r̩ ɦ eː l
brhlík	b r̩ ɦ ʎ iː k
Brhlík	b r̩ ɦ ʎ iː k
brhoľ	b r̩ ɦ ɔ ʎ
briadka	b r ɪ̯ a t k a
bridlica	b r i d ʎ i t͡s a
bridž	b r i t͡ʃ
bridžový	b r i d͡ʒ ɔ v iː
Briestenský	b r ɪ̯ e s c e n s k iː
brigáda	b r i ɡ aː d a
brigantína	b r i ɡ a n t iː n a
Brigita	b r i ɡ i t a
briketa	b r i k e t a
Brita	b r i t a
britiev	b r i c ɪ̯ e v
britká	b r i t k aː
britké	b r i t k eː
britkého	b r i t k eː ɦ ɔ
britkej	b r i t k e j
britkejší	b r i t k e j ʃ iː
britkému	b r i t k eː m u
britkí	b r i t k iː
britko	b r i t k ɔ
britkou	b r i t k ɔ v
britkú	b r i t k uː
britký	b r i t k iː
britkých	b r i t k iː x
britkým	b r i t k iː m
britkými	b r i t k iː m i
britský	b r i t͡s k iː
britva	b r i t v a
britvy	b r i t v i
brloh	b r̩ ɫ ɔ x
Brna	b r̩ n a
Brne	b r̩ ɲ e
brnenie	b r̩ ɲ e ɲ ɪ̯ e
brod	b r ɔ t
Brodňanská	b r ɔ d ɲ a n s k aː
Brodňanský	b r ɔ d ɲ a n s k iː
brokát	b r ɔ k aː t
brokovnica	b r ɔ k ɔ v ɲ i t͡s a
bróm	b r ɔː m
brómový	b r ɔː m ɔ v iː
bronchiálny	b r ɔ n x i aː l n i
Bronislava	b r ɔ ɲ i s l a v a
bronz	b r ɔ n s
bronzový	b r ɔ n z ɔ v iː
broskýň	b r ɔ s k iː ɲ
broskyňa	b r ɔ s k i ɲ a
brošňa	b r ɔ ʃ ɲ a
Brož	b r ɔ ʃ
brožúra	b r ɔ ʒ uː r a
bršlen	b r̩ ʃ ʎ e n
bršlena	b r̩ ʃ ʎ e n a
bršlenu	b r̩ ʃ ʎ e n u
brúch	b r uː x
brucha	b r u x a
brucho	b r u x ɔ
bruchom	b r u x ɔ m
bruchomluvca	b r u x ɔ m l u v t͡s a
bruchomluvec	b r u x ɔ m l u v e t͡s
bruchovravca	b r u x ɔ v r a v t͡s a
bruchovravci	b r u x ɔ v r a v t͡s i
bruchovravec	b r u x ɔ v r a v e t͡s
brunet	b r u n e t
bruneta	b r u n e t a
