Амыщ	aː m ə ɕ
малхъо	m aː l χʷ a
малъхъо	m aː ɬ χʷ a
манэ	m aː n a
мастэ	m aː s t a
матхъэжьын	m aː t χ a ʑ ə n
матэ	m aː t a
мафэ	m aː f a
махълъэ	m aː χ ɬ a
махъсымэ	m aː χ s ə m a
махъушэ	m aː χʷ ə ʃ a
махъушэбзу	m aː χʷ ʃ a b z ə w
махъушэчэтыу	m aː χʷ ə ʃ a kʲ a t ə w
махъушэчэтыу	m aː χʷ ə ʃ a t͡ʃ a t ə w
махъчэ	m aː χ t͡ʃ a
махъчэбзу	m aː χ t͡ʃ a b z ə w
махъшэбзу	m aː χ t͡ʃ a b z ə w
махъэ	m aː χ a
махь	m aː ħ
махэ	m aː x a
мацӏэ	m aː t͡sʼ a
машинэ	m aː ʃ ə n a
машэ	m aː ʃ a
машӏо	m aː ʃʷʼ a
маӏьэ	m aː ʔʲ a
модэ	m a w d a
мы	m ə
мыгъо	m ə ʁʷ a
мыгъэ	m a ʁ a
мыгьыр	m ə ɡʲ ə r
мыджыр	m ə d͡ʒ ə r
мыдэ	m ə d a
мые	m ə j a
мыжъо	m ə ʐʷ a
мыжъодэбыш	m ə ʐʷ a d a m ə ʃ
мыжъокӏашъхъ	m ə ʐʷ a kʲ aː ʂ χ
мыжъуакӏэ	m ə ʐʷ aː t͡ʃ a
мызуэ	m ə ʒʷ a
мыкӏэ	m ə t͡ʃʼ a
мылъку	m ə ɬ ə kʷ
мылъфыкъо	m ə ɬ f ə qʷ a
мылъыку	m ə ɬ ə kʷ
мылы	m ə ɮ ə
мынэрылъэгъу	m ə n a r ə ɬ a ʁʷ
мыпытэ	m ə p ə t a
мыскъар	m ə s q aː r
мыст	m ə s t
мысэ	m ə s a
мытэрэз	m ə t a r a z
мыхъатэ	m ə χ aː t a
мыхъомышӏ	m ə χʷ a m ə ʃʼ
мыхъумыбз	m ə χʷ ə m ə b z
мыхьэнэ	m ə ħ a n a
мычӏы	m ə t͡ʃ ə
мышкӏу	m ə ʃ kʷ
мышъыпкъэ	m ə ʂ ə p q a
мышъэ	m ə ʂ a
мыщгъум	m ə ɕ ʁʷ ə m
мыщыгъу	m ə ɕ ə ʁʷ
мыӏуш	m ə ʔʷ ə ʃ
мыӏэрыс	m ə ʔ a r ə s
мыӏэрысэпсы	m ə ʔ a r ə s a p s ə
мэ	m a
мэбзэен	m a b z a j a n
мэбзэин	m a b z a j ə n
мэбыбын	m a b ə b ə n
мэбэгъон	m a b a ʁʷ a n
мэбэнэн	m a b a n a n
мэгоӏэн	m a ɡʷ a ʔ a n
мэгубжын	m a ɡʷ ə b ʒ ə n
мэгушӏон	m a ɡʷ ə ʃʷʼ a n
мэгущыӏэн	m a ɡʷ ɕ ə ʔ a n
мэгънэнэн	m a ʁ n a n a n
мэгъолъын	m a ʁʷ a ɬ ə n
мэгъуен	m a ʁʷ ə j a n
мэгъун	m a ʁʷ ə n
мэгъушъыжъын	m a ʁʷ ʂ ə ʐ ə n
мэгъушъын	m a ʁʷ ʂ ə n
мэгъын	m a ʁ ə n
мэгъэгъэн	m a ʁ a ʁ a n
мэджыджэн	m a d͡ʒ ə d͡ʒ a n
мэджэгун	m a d͡ʒ a ɡʷ ə n
мэдрэ	m a d r a
мэдрэр	m a d r a
мэдэӏон	m a d a ʔʷ a n
мэжъутхэн	m a ʒʷ ə t x a n
мэз	m a z
мэзагъо	m a z aː ʁʷ a
мэзай	m a z aː j
мэзахэ	m a z aː x a
мэзкьэт	m a z kʲ a t
мэзпчэн	m a z p t͡ʃ a n
мэзчэт	m a z t͡ʃ a t
мэзчэтыу	m a z kʲ a t ə w
мэзчэтыу	m a z t͡ʃ a t ə w
мэзы	m a z ə
мэзыкъу	m a z ə qʷ
мэзыпчэн	m a z ə p t͡ʃ a n
мэзэбэлыдж	m a z a b a l ə d͡ʒ
мэзэгъэн	m a z a ʁ a n
мэзэзэн	m a z a z a n
мэзэкӏон	z a kʷʼ a n
мэзэон	m a z a w a n
мэкуон	m ə kʷ ə w a n
мэкъамэ	m a q aː m a
мэкъу	m a qʷ
мэкъумэщышӏ	m a qʷ m a ɕ ə ʃʼ
мэкъуогъумаз	m a qʷ ə w a ʁʷ ə m aː z
мэкъупӏ	m a qʷ pʼ
мэкъын	m a q ə n
мэкъэкъащ	m a q a q aː ɕ
мэкъэркъэтэн	m a q a r q a t a n
мэкьэн	m a kʲ a n
мэкьэрэзын	m a kʲ a r a z ə n
мэкӏодын	m a kʷʼ a d ə n
мэкӏосэн	m a kʷʼ a s a n
мэкӏошъэн	m a kʷʼ a ʂ a n
мэкӏыин	m a t͡ʃʼ ə j ə n
мэкӏьыин	m a kʲʼ ə j ə n
мэкӏэтхъэн	m a t͡ʃ a t χ a n
мэл	m a l
мэлахъо	m a l aː χʷ a
мэлхъогъ	m a l χʷ a ʁ
мэлъэхъу	m a ɬ a χʷ
мэлы	m a ɮ ə
мэлыгьын	m a l ə ɡʲ ə n
мэлыджын	m a l ə d͡ʒ ə n
мэлыл	m a l ə l
мэлылъфэгъумаз	m a l ə ɬ f a ʁʷ ə m aː z
мэлыхъогъу	m a ɮ ə χʷ a ʁʷ
мэлэкӏэн	m a l a t͡ʃ a n
мэлэлэн	m a l a l a n
мэлӏэн	m a ɬʼ a n
мэмэхъэшэн	m a m a χ a ʃ a n
мэмэхын	m a m a x ə n
мэнэкъокъон	m a n a qʷ a qʷ a n
мэон	m a w a n
мэпкӏэн	m a p t͡ʃʼ a n
мэплъын	m a p ɬ ə n
мэплъэн	m a p ɬ ə n
мэпрэзэн	m a p r a z a n
мэпсэлъэн	m a p s a ɬ a n
мэпхъэпхъэн	m a p χ a p χ a n
мэпцӏын	m a p t͡sʼ ə n
мэпшъын	m a p ʂ ə n
мэпщын	m a p ɕ ə n
мэпщэн	m a p ɕ a n
мэпыгьэн	m a p ə ɡʲ a n
мэпыджэн	m a p ə d͡ʒ ə n
мэпӏэркӏьын	m a pʼ a r kʲ ə n
мэпӏэстхъэн	pʼ a s χ a n
мэр	m a r
мэракӏуапцӏэ	m a r aː kʷʼ aː t͡sʼ a
мэрсысын	m a r s ə s ə n
мэстын	m a s t ə n
мэсэкъатын	m a s a q aː t ə n
мэсэн	m a s a n
мэсӏын	sʼ ə n
мэсӏэсӏэн	m a sʼ a sʼ a n
мэтазэ	m a t aː z a
мэткӏун	m a t kʷʼ ə n
мэтхъэжьын	m a t χ a ʑ ə n
мэтхытхын	m a t x ə t x ə n
мэтхьаусхэн	m a t ħ aː w ə s x a n
мэтхэн	m a t x a n
мэтэкхъуайэ	m a t a qʷ aː j a
мэтэкхъуайэ	m a t a χʷ aː j a
мэтэкъон	m a t a qʷ a n
мэтэн	m a t a n
мэтӏатӏэ	m a tʼ aː tʼ a
мэтӏыгъо	m a t ə ʁʷ a
мэтӏыгъон	m ə tʼ ə ʁʷ a m
мэтӏэрэхьын	m a tʼ a r a ħ ə n
мэтӏэтӏэн	m a tʼ a tʼ a n
мэу	m a w
мэубэн	m a w b a n
мэубэтэн	m a w ə b a t a n
мэузын	m a w z ə n
мэукӏын	m a w t͡ʃʼ ə n
мэукӏытэн	m a w t͡ʃ ə t a n
мэулъыен	m a w ə ɬ ə j a n
мэулэлэн	m a w ə l a l a n
мэунэзэн	m a w n a z a n
мэунэхъун	m a w n a χʷ ʁ n
мэутэшъон	w t a ʃʷ a n
мэутӏэтӏэн	w ə tʼ a tʼ a n
мэухын	m a w x ə n
мэуцун	m a w t͡sʷ ə n
мэуцӏэлэн	m a w t͡sʼ a l a n
мэушъы	m a w ʂ ə
мэушӏоин	m a w ʂʷ a j ə n
мэуэн	m a w a n
мэуӏэн	m a w ʔ a n
мэфэзакъу	m a f a z aː qʷ
мэфэку	m a f a kʷ
мэфэкӏ	m a f a t ʃʼ
мэфэл	m a f a ɮ
мэхагъ	m a x aː ʁ
мэхапӏэ	m a x aː pʼ a
мэхъагьэ	m a χ aː ɡʲ a
мэхъаджэ	m a χ aː d͡ʒ a
мэхъужьын	m a χʷ ə ʑ ə n
мэхъун	χʷ ə n
мэхъут	m a χʷ ə t
мэхъшэбзыу	m a χ t͡ʃ a b z ə w
мэхъыен	m a χ ə j a n
мэхъэшэн	m a χ a ʃ a n
мэхын	m a x ə n
мэхьанэ	m a ħ aː n a
мэхэр	m a x a r
мэцохъон	m a t͡sʷ a χʷ a n
мэцыгъон	m a t͡s ə ʁʷ a n
мэцӏын	m a t͡sʼ ə n
мэцӏыон	m a t͡sʼ ə w a n
мэцӏыцӏын	m a t͡sʼ ə t͡sʼ ə n
мэцӏэлъэн	m a t͡sʼ a ɬ a n
мэцӏэтхъун	m a t͡sʼ a t χʷ ə n
мэцӏэтхын	m a t͡sʼ a t x ə n
мэцӏэцӏэн	m a t͡sʼ a t͡sʼ a n
мэцӏэшъутэн	m a t͡sʼ a ʃʷ t a n
мэчъыен	m a t͡ʃ ə j a n
мэчъэн	m a t͡ʂ a n
мэчэн	m a t͡ʃ a n
мэчэрэгъун	m a t͡ʃ a r a ʁʷ ə n
мэчэрэзын	m a t͡ʃ a r a z ə n
мэшто	m a ʃ t ə w
мэшто	m ə ʃ t ə w
мэшъуен	m a ʃʷ ə j a n
мэшъутырэхьын	m a ʃʷ t ə r a ħ ə n
мэшъухъогъон	ʃʷ ə χʷ a ʁʷ a n
мэшъухъугъон	m a ʃʷ χʷ ə ʁʷ a n
мэшӏоку	m a ʃʷʼ a kʷ
мэшӏотхъуабз	m a ʃʷʼ a t χ ə aː b z
мэшӏощыхъу	s ə r n ə t͡ʃ
мэшӏоӏун	m a ʃʷʼ a ʔʷ ə n
мэшӏуач	m a ʃʷʼ aː t͡ʃ
мэшӏуащэ	m a ʃʷʼ aː ɕ a
мэшӏухъогъон	m a ʃʷʼ ə χʷ ə ʁʷ a n
мэшӏыкӏьэен	m a ʃʼ ə kʲʼ a j a n
мэшӏыкӏэен	m a ʃʼ ə t͡ʃʼ a j a n
мэщтын	m a q ə n
мэщтэн	m a ɕ t a n
мэщы	m a ɕ
мэщынэн	m a ɕ ə n a n
набгъу	n aː b ʁʷ ə
набгъэ	n aː b ʁ a
назэ	n aː z a
накӏэ	n aː t͡ʃʼ a
налкъут	n aː l qʷ ə t
налъэ	n aː ɬ a
налэ	n aː l a
нану	n aː n ə w
наныу	n aː n ə w
нао	n aː w a
напсэ	n aː p s a
напцэ	n aː p t͡s a
напэ	n aː p a
нарт	n aː r t
нарэ	n aː r a
насып	n aː s ə p
насыпынчъ	n aː s ə p ə n t͡ʂ
насыпынчъэ	n aː s ə p ə n t͡ʂ
нат	n aː t
натрыф	n aː t r ə f
натыф	n aː t ə f
натӏэ	n aː tʼ a
нафэ	n aː f a
нахъутэ	n aː χʷ t a
нахь	n aː ħ
нахьиу	n aː ħ j ə w
нахьыбэрэ	n aː ħ ə b a r a
нахьыбэрэм	n aː ħ ə b a r a m
нахьышӏу	n aː ħ ə ʃʷʼ
нахэ	n aː x a
нацэӏуцэ	n a t s a ʔʷ t s a
нашхъо	n aː ʃ χʷ a
нашъухъо	n aː ʂʷ χʷ a
нашэ	n aː ʃ a
непэ	n a j p a
нет	n a j t
неущымыкӏ	n a j w ɕ ə m ə t͡ʃʼ
ны	n ə
ныбачъ	n ə b aː t͡ʂ
ныбгъу	n ə b ʁʷ ə
ныбгъэ	n ə b ʁ a
ныбгъэшъу	n ə b ʁ a ʂʷ
ныбджэгъу	n ə b d͡ʒ a ʁʷ
ныбжь	n ə b ʑ
ныбжьи	n ə b ʑ ə
ныбжьыкъу	n ə b ʑ ə qʷ
ныбжьыкӏэ	n ə b ʑ ə t͡ʃʼ a
ныбжьэгъу	n ə b ʑ a ʁʷ
ныбыдж	n ə b ə d͡ʒ
ныбэ	n ə b a
ныбэрый	n ə b a r ə j
ныбэузы	n ə b a w ə z ə
ныбэшъу	n ə b a ʃʷ
ныджы	n ə d͡ʒ ə
ныкъо	n ə qʷ a
ныкъолӏагъэ	n ə qʷ a ɬʼ aː ʁ a
ныкъуалӏэ	n ə qʷ aː ɬʼ a
нынэпӏос	n ə n a pʷʼ a s
нынэпӏэс	n ə n a pʼ a s
ныо	n ə w a
ныожъ	n ə w a ʐ
нып	n ə p
ныпчыхьэ	n ə p t͡ʃ ə ħ a
ныпчэдыжьы	n ə p t͡ʃ a d ə ʑ ə
нысащэ	n ə s aː ɕ a
нысхъапэ	n ə s χ aː p a
нысэ	n ə s a
нысэпхъапэ	n ə s a p χ aː p a
нычэпэ	n ə t͡ʃ a p a
ныӏэ	n ə ʔ a
ныӏэп	n ə ʔ a p
нэбгъэ	n a b ʁ a
нэбгы	n a b ɣ ə
нэбгыр	n a b ɣ ə r
нэбзый	n a b z ə j
нэбзыц	n a b z ə t͡s
нэгу	n a ɡʷ
нэгушъо	n a ɡʷ ə ʃʷ a
нэгушъоутын	n a ɡʷ ə ʃʷ a w t ə n
нэгушӏу	n a ɡʷ ə ʃʷʼ
нэгъунджэ	n a ʁʷ ə n d͡ʒ a
нэгъургьэ	n a ʁʷ ə r ɡʲ a
нэгъуцу	n a ʁʷ ə t͡ʃʷ
нэгъучӏыц	n a ʁʷ t͡ʂʼ ə t͡s a
нэгъучӏыцэ	n a ʁʷ t͡ʂʼ ə t͡s a
нэгъэцӏу	n a ʁ a t͡sʼ ə w
нэгъэцӏыу	n a ʁ a t͡sʼ ə w
нэдэлъфыбзэ	n a d a ɬ f ə b z a
нэз	n a z ə
нэзы	n a z ə
нэзэжъу	n a z a ʒʷ
нэкулъ	n a kʷ ə ɬ
нэкъокъон	n a qʷ a qʷ a n
нэкъыгъэ	n a q ə ʁ a
нэкьыхьытх	n a kʲ ə ħ ə t x
нэкӏап	n a t͡ʃʼ aː p
нэкӏо	n a kʷʼ a
нэкӏубгъу	n a kʷʼ b ʁʷ
нэкӏушъу	n a kʷʼ ə ʂʷ
нэкӏушъхь	n a kʷʼ ə ʂ ħ
нэкӏы	n a t͡ʃʼ ə
нэкӏын	n a t͡ʃʼ ə n
нэкӏышъо	n a kʼ ə ʃʷ a
нэкӏьышъо	n a kʼ ə ʃʷ a
нэкӏьэон	n a kʲʼ a w a n
нэкӏэбыдз	n a kʲʼ a b ə d͡z
нэкӏэон	n a t͡ʃʼ a w a n
нэмаздэкъ	n a m aː z d a q
нэмазэ	n a m aː z a
нэмкӏ	n a m t͡ʃʼ
нэмкӏыр	n a m t͡ʃʼ ə r
нэмыкӏ	n a m ə t͡ʃʼ
нэмыкӏыр	n a m ə t͡ʃʼ ə r
нэмысыпэу	n a m ə s ə p a w
нэмыӏэкӏэ	n a m ə ʔ a t͡ʃʼ a
нэнау	n a n aː w
нэнэжъ	n a n a ʐ
нэпашъо	n a p aː ʃʷ a
нэпкъы	n a p q ə
нэплъэгъу	n a p ɬ a ʁʷ
нэпс	n a p s
нэпх	n a p x
нэпцӏы	n a p t͡sʼ ə
нэпчыхьэ	n a p t͡ʃ ə ħ a
нэпчэдыжьы	n a p t͡ʃ a d ə ʑ ə
нэпэ	n a p a
нэпэон	n a p a w a n
нэпэталхьэ	n a p a t aː l ħ a
нэпэтелъхьэ	n a p a t a j ɬ ħ a
нэпэшъоон	n a p a ʃʷ a w a n
нэпэшъоутын	n a ɡʷ ə ʃʷ a w t ə n
нэпэӏэплъэкӏ	n a p a ʔ a p ɬ a t͡ʃʼ
нэпӏэхъ	n a p ʔ a χ
нэриплъ	n a r ə j p ɬ
нэрыплъ	n a r ə p ɬ
нэсын	n a s ə n
нэугъэупӏэпӏэгъу	n a w ʁ a w pʼ a pʼ a ʁʷ
нэутх	n a w ə t x
нэущы	n a w ɕ ə
нэущымыщкӏь	n a w ɕ ə m ə ɕ kʲʼ
нэфнэ	n a f n a
нэфы	n a f ə
нэфын	n a f ə n
нэхай	n a x aː j
нэхаш	n a x aː ʃ
нэхъут	n a χʷ ə t
нэхь	n a ħ
нэхьышӏу	n a ħ ə ʃʷʼ ə
нэцӏэкӏ	n a t͡sʼ a t͡ʃʼ
нэчыхь	n a t͡ʃ ə ħ
нэчыхьытх	n a t͡ʃ ə ħ ə t x
нэчэпэ	n a t͡ʃ a p a
нэшакӏэ	n a ʃ aː kʲʼ a
нэшан	n a ʃ aː n
нэшанэ	n a ʃ aː n
нэшхъэигъу	n a ʃ χ a j ə ʁʷ
нэшхъэин	n a ʃ χ a j ə n
нэшхъэй	n a ʃ χ a j
нэшъу	n a ʂʷ ə
нэшэбэгу	n a ʃ a b a ɡʷ
нэшэгъожь	n a ʃ a ʁʷ a ʑ
нэшӏошӏ	n a ʃʷʼ a ʃʼ
нэшӏошӏу	n a ʃʷʼ a ʃʷʼ
нэӏазэ	n a ʔ aː z a
нэӏаплъэкӏ	n a ʔ aː p ɬ a t͡ʃʼ
нэӏу	n a ʔʷ
нэӏуасэ	n a ʔʷ aː s a
нэӏурыхъу	n a ʔʷ ə r ə χʷ
нэӏэбэсын	n a ʔ a b a s ə n
о	w a
обзэгъу	w a b z a ʁʷ
оды	w a d ə
одыджын	w a d ə d͡ʒ ə n
ожъубанэхьэмлыу	w a ʐʷ b aː n a ħ a m l ə w
ожьы	w a ʑ ə
олъэн	w a ɬ a n
он	w a n
онджэкъ	w a n d͡ʒ a q
онтэгъу	w a n t a ʁʷ
онэгу	w a n a ɡʷ
опсэу	w a p s a w
ор	w a r
оркъ	w a r q
оры	w a r ə
орыжъ	w a r ə ʐ
орэд	w a r a d
орэдаӏу	w a r a d aː ʔʷ
орэдус	w r a d w ə s
орэдыӏон	w a r a d ə ʔʷ a n
орэдыӏу	w a r a d ə ʔʷ
ос	w a s
остыгъ	w a s t ə ʁ
осы	w a s ə
осылӏ	w a s ə ɬʼ
осыпсы	w a s ə p s ə
осӏэбыцу	w a s ʔ a b ə t͡sʷ
отыч	w a t ə t͡ʃ
отычыцэ	w a t ə t͡ʃ ə t͡s a
отэгъу	w a t a ʁʷ
отэр	w a t a r
ошъогу	w a ʂʷ a ɡʷ
ошъоку	w a ʃʷ a kʷ
ошъолъапсэ	w a ʃʷ a ɬ aː p s a
ошъочап	w a ʃʷ a t͡ʃ aː p
ошъуапщэ	w a ʂʷ aː p ɕ a
ошэкур	w a ʃ a kʷ ə r
ошӏу	w a ʃʷʼ ə
ощхы	w a ɕ x ə
ощы	w a ɕ ə
ощыкӏ	w a ɕ ə t͡ʃʼ
пагэ	p aː ɣ a
пае	p aː j a
пакъ	p aː q
пакӏо	p aː kʷʼ a
пакӏьэ	p aː kʲʼ a
пакӏэ	p aː t͡ʃʼ a
палътэу	p aː ɬ t a w
панэ	p aː n a
папкӏэ	p aː p t͡ʃʼ a
папсӏэ	p aː p sʼ a
папцӏэ	p aː p t͡sʼ a
папыщ	p aː p ə ɕ
парчъыхь	p aː r t ʂ ə ħ
парчэ	p aː r t͡ʃ a
парэ	p aː r a
пасэ	p aː s a
пахъэ	p aː χ
пацэ	p aː t͡s a
пачъыхь	p aː t ʂ ə ħ
пачъыхьагъо	p aː t͡ʂ ə ħ aː ʁʷ a
пашъхьэ	p aː ʂ ħ a
пащ	p aː ɕ
паӏо	p aː ʔʷ a
пелыуан	p a j ɮ ə w aː n
пихын	p j ə x ə n
пкъы	p q ə
пкъыгъо	p s ə ʃʷ a
пкъыгъуацӏэ	p q ə ʁʷ aː t͡sʼ
пкъышъолы	p q ə ʃʷ a l ə
пкъэу	p q a w
пкьэн	p kʲ a n
пкӏантӏэ	p t͡ʃ aː n tʼ a
пкӏатӏэ	p t͡ʃʼ aː tʼ a
пкӏау	p t͡ʃ aː w
пкӏыкӏэ	p t͡ʃ ə t͡ʃ a
пкӏыхь	p t͡ʃ ə ħ
пкӏыхьапӏ	p t͡ʃ ə ħ aː pʼ
пкӏышъхьэмышъхьэ	p t͡ʃ ə ʂ ħ a m ə ʂ ħ a
пкӏьэн	p kʲʼ a n
пкӏэ	p t͡ʃʼ a
пкӏэн	p t͡ʃʼ a n
пкӏэнчъ	p t͡ʃʼ a n t͡ʂ
пкӏэтэн	p t͡ʃʼ a t a n
пкӏэшъэхъу	p t͡ʃ a ʂ a χʷ
плъыжьгьэф	p ɬ ə ʑ ɡʲ a f
плъыжьы	p ɬ ə ʑ ə
плъыжьыбз	p ɬ ə ʑ ə b z
плъышъо	p ɬ ə ʃʷ a
плъэкӏун	p ɬ a kʷʼ ə n
плъэн	p ɬ a n
плъэхъун	p ɬ a χʷ ə n
плӏанэ	p ɬʼ aː n a
плӏы	p ɬʼ ə
плӏэмыепкъ	p ɬʼ a m ə j a p q
плӏэмый	p ɬʼ a m ə j
плӏэнэбзы	p ɬʼ a n a b z ə
прилъэшъон	p r ə j ɬ a ʃʷ a n
прэзэн	p r a z a n
псао	p s aː w a
псапэ	p s aː p a
псау	p s aː w a
пскэн	p s k a n
псчэн	p s t͡ʃ a n
псы	p s ə
псыбыб	p s ə b ə b
псыгу	p s ə ɡʷ ə
псыгъо	p s ə ʁʷ a
псыгъэхъун	p s ə ʁ a χʷ ə n
псыжъ	p s ə ʐ
псыжъо	p s ə ʐʷ a
псыжъы	p s ə ʐ ə
псыкъефэх	p s ə q a j f a x
псыкъу	p s ə qʷ
псыкьэт	p s ə kʲ a t
псыкӏэ	p s ə t͡ʃʼ a
псыкӏэты	p s ə kʲʼ a t ə
псыкӏэты	p s ə t͡ʃʼ a t ə
псыкӏэу	p s ə t͡ʃʼ a w
псылъэхъу	p s ə ɬ a χʷ
псын	p s ə n
псынжъы	p s ə n ʐ ə
псынкӏагъэ	p s ə t͡ʃʼ aː ʁ a
псынкӏэ	p s ə n t͡ʃʼ a
псынкӏэн	p s ə n t͡ʃʼ a n
псынкӏэу	p s ə n t͡ʃʼ a w
псынэ	p s ə n a
псынэкъуау	p s ə n a qʷ aː w
псыор	p s ə w a r
псысамыр	p s ə s aː m ə r
псыуалъэ	p s ə ə w aː ɬ a
псыунэ	p s ə w n a
псыунэ	p s ə w ə n a
псыуцупӏэ	p s ə w ə t͡ʃʷ ə pʼ a
псыхъо	p s ə χʷ a
псыхъурай	p s ə χʷ ə r aː j
псыхьэн	p s ə ħ a n
псыцу	p s ə t͡sʷ a
псычэт	p s ə t͡ʃ a t
псычэтыхъу	p s ə t͡ʃ a t ə χʷ
псычӏэгъы	p s ə t͡ʂʼ a ʁ ə
псышъо	p s ə ʃʷ a
псышъонт	p s ə ʂʷ a n t
псышъуалъэ	p s ə ʃʷ aː ɬ a
псыӏушъо	p s ə ʔʷ ə ʃʷ a
псыӏыгъыпӏэ	p s ə ʔ ə ʁ ə pʼ a
псэ	p s a
псэи	p s a j ə
псэкӏод	p s a kʷʼ a d
псэлъыхъо	p s a ɬ ə χʷ a
псэлъыхъон	p s a ɬ ə χʷ ə n
псэлъыхъу	p s a ɬ ə χʷ
псэлъэн	p s a ɬ a n
псэн	p s a n
псэо	p s a w a
псэолъэшӏ	p s a w a ɬ a ʃʼ
псэолъэшӏыпӏ	p s a w a ɬ a ʃʼ ə pʼ
псэонгъэ	p s a w a n ʁ a
псэу	p s a w
псэуагъэ	p s a w aː ʁ a
псэуалъэ	p s a w a ɬ a ʃʼ ə pʼ
псэун	p s a w ə n
псэушъхь	p s a w ʂ ħ
псэхалӏэ	p s a x a ɬʼ z
псӏанэ	p sʼ aː n a
псӏын	p sʼ ə n
псӏырый	p sʼ ə r ə j
пхъапэ	p χ aː p a
пхъатэ	p χ aː t a
пхъацӏэ	p χ aː t͡s a
пхъашэ	p χ aː ʃ a
пхъон	p χʷ a n
пхъотэн	p χʷ a t a n
пхъу	p χʷ ə
пхъуант	p χʷ aː n t
пхъурылъф	p χ ə r ə ɬ f
пхъы	p χ ə
пхъэ	p χ a
пхъэгулъ	b χ a ɡʷ ə ɬ
пхъэжъые	p χ a ʐ ə j
пхъэкӏыпхъ	p χ a t͡ʃ ə p χ
пхъэкӏэн	p χ a t͡ʃ a n
пхъэмбай	p χ a m b aː j
пхъэмбгъу	p χ a m b ʁʷ
пхъэн	p χ a n
пхъэнкӏын	p χ a n t͡ʃʼ ə n
пхъэнкӏыпхъ	p χ a n t͡ʃʼ ə p χ
пхъэнтӏэкӏу	p χ a n tʼ a kʷʼ
пхъэнтӏэкӏущыхьэ	p χ a n tʼ a kʷʼ ɕ ə ħ a
пхъэныӏу	p χ a n ə ʔʷ
пхъэпхъэн	p χ a p χ a n
пхъэтакъэ	p χ a t aː a q a
пхъэтэкъэжъ	p χ a t a q a ʐ
пхъэтӏэкӏу	p χ a tʼ a kʷʼ
пхъэуӏу	p χ a w ʔʷ ə
пхъэх	p χ a x
пхъэхатӏэ	p χ a x aː tʼ a
пхъэцӏакӏэ	p χ a t͡sʼ aː t͡ʃ a
пхъэчай	p χ a t͡ʃ aː j
пхъэчыпэ	p χ a t͡ʃ ə p a
пхъэшъхьэмышъхь	p χ aː ʂ ħ a m ə ʂ ħ
пхъэшъхьэмышъхьэхэр	p χ a ʂ ħ a m ə ʂ ħ a x a r
пхын	p x ə n
пхыр	p x ə r
пхэ	p x a
пхэдж	p x a d͡ʒ
пхэкӏ	p x a t͡ʃʼ
пхэндж	p x a n d͡ʒ
пцае	p t͡s aː j a
пцантхьэ	p t͡s aː n t ħ a
пцатхьэ	p t͡s aː t ħ a
пцум	p t͡ʃʷ ə m
пцы	t͡s ə z a
пцыкъо	p t͡s ə qʷ a
пцыкъу	p t͡s ə qʷ
пцэ	p t͡s a
пцэжъые	p t͡s a ʐ ə j a
пцэкъэнтф	p t͡s a q a n t f
пцӏанэ	p t͡sʼ aː n a
пцӏы	p t͡sʼ ə
пцӏын	p t͡sʼ ə n
пцӏырый	p t͡sʼ ə r ə j
пцӏыус	p t͡sʼ ə w ə s
пцӏэун	p t͡sʼ a w ə m
пчъаблэ	p t͡ʂ aː b ɮ a
пчъагъэ	p t͡ʃ aː ʁ a
пчъын	p t͡ʃ ə n
пчъэ	p t͡ʃ a
пчъэпсы	p t͡ʃ a p s ə
пчъэӏу	p t͡ʃ a ʔʷ ə
пчъэӏупэ	p t͡ʃ a ʔʷ ə p a
пчы	p t͡ʃ ə
пчыкӏэ	p t͡ʃ ə t͡ʃʼ a
пчытӏаркъу	p t͡ʃ ə tʼ aː r qʷ
пчыхьапэ	p t͡ʃ ə ħ aː p a
пчыхьэ	p t͡ʃ ə ħ a
пчыхьэзэхахь	p t͡ʃ ə ħ a z a x aː ħ
пчыхьэшъхьашхэ	p t͡ʃ ə ħ a ʂ ħ aː ʃ x a
пчэ	p t͡ʃ a
пчэгу	p t͡ʃ a ɡʷ
пчэдыгъо	p t͡ʃ a d ə ʁʷ a
пчэдыжьы	p t͡ʃ a d ə ʑ ə
пчэдыжьышхэ	p t͡ʃ a d ə ʑ ə ʃ x a
пчэн	p t͡ʃ a n
пчэндэхъу	p t͡ʃ a n d a χʷ
пчэны	p t͡ʃ a n ə
пчэнышъо	p t͡ʃ a n ə ʃʷ a
пшахъо	p ʃ a χʷ a
пшъапӏэ	p ʂ aː pʼ a
пшъашъэ	p ʂ aː ʂ a
пшъын	p ʂ ə n
пшъэ	p ʂ a
пшъэб	p ʂ a b
пшъэбы	p ʂ a b ə
пшъэбыдэлъ	p ʂ a b ə d a ɬ
пшъэдадз	p ʂ a d aː d͡z
пшъэдалхь	p ʂ a d aː l ħ
пшъэдалъхь	p ʂ a d aː ɬ ħ
пшъэдэкӏыжъ	p ʂ a d a t͡ʃ ə ʐ
пшъэдэкӏыжь	p ʂ a d a t͡ʃ ə ʑ
пшъэдэлъ	p ʂ a d a ɬ
пшъэрылъ	p ʂ a r ə ɬ
пшъэтыкъ	p ʂ a t ə q
пшъэшъэгъу	p ʂ a ʂ a ʁʷ
пшъэшъэжъые	p ʂ a ʂ a ʐ ə j a
пшъэшъэжъый	p ʂ a ʂ a ʐ ə j
пшын	p ʃ ə n
пшысэ	p ʃ ə s a
пшэсэн	p ʃ a s a n
