־אַטש	a t͡ʃ
סופֿלאָז	s ɔ f ɫ ɔ z
סוריקאַטע	s ʊ r ɪ k a t ə
סושי	s u ʃ i
סושי	s u ʃ ɪ
סטאַזשירונג	s t a ʒ ɪ r ʊ n ɡ
סטאַנציע	s t a n t͡s j ə
סטאַשקעשמיר	s t a ʃ k ə ʃ m i r
סטאָלאָווע	s t ɔ ɫ ɔ v ə
סטאָלאָווקע	s t ɔ ɫ ɔ v k ə
סטואַרד	s t ʊ a ʁ d
סטואַרדקע	s t ʊ a ʁ d k ə
סטיראָל	s t ɪ r ɔ ɫ
סטיראָשוים	s t ɪ r ɔ ʃ ɔ ɪ̯ m
סטעליע	s t ɛ ʎ j ə
סיגנאַציע	s ɪ ɡ n a t͡s j ə
סיגנעט	s ɪ ɡ n ɛ t
סידור	s ɪ d ə ʀ
סייטשאַס	s ɛ ɪ̯ t͡ʃ a s
סייטשאַס	s ɪ t͡ʃ a s
סיציליאַנער פּיצע	s ɪ t͡s ɪ ʎ a n ə r p ɪ t͡s ə
סיריע	s ɪ ʁ j ə
סך־הכּל	s a χ a k ɫ̩
סכּנה	s a k ɔ n ə
סכּנה	s ə k ɔ n ə
סכּנהדיק	s a k ɔ n ə d ɪ k
סכּנהדיק	s ə k ɔ n ə d ɪ k
סכּנות	s a k ɔ n ə s
סכּנות	s ə k ɔ n ə s
סכך	s χ a χ
סלאָבאָדקע	s ɫ ɔ b ɔ d k ə
סלאָוואַקײַ	s ɫ ɔ v a k a ɪ̯
סלאָוועניע	s ɫ ɔ v ɛ n j ə
סלוי	s ɫ ɔ ɪ̯
סלויעס	s ɫ ɔ ɪ̯ ə s
סמעטענע	s m ɛ t ə n ə
סעודה	s ʊ d ə
סעזאָן	s ə z ɔ n
סעזאָן	s ɛ z ɔ n
סעלדעריי	s ɛ ʎ d ə r ɛ ɪ̯
סעלעריע	s ə ɫ ɛ r j ə
סעמעסטער	s ɛ m ɛ s t ə ʁ
סענדוויטש	s ɛ n d v ɪ t͡ʃ
סעפּטעמבער	s ɛ p t ɛ m b ə ʁ
סעקולאַריזירן	s ɛ k ʊ ɫ a r ɪ z i r n̩
סעקטע	s ɛ k t ə
סעקרעטאַר	s ə k ʁ ə t a ʁ
סעקרעטאַרשע	s e k ʁ ə t a ʁ ʃ ə
סערביע	s ɛ ʁ b j ə
ספּאַמפֿלייש	s p a m f ɫ ɛ ɪ̯ ʃ
ספּעציאַליסט	s p ɛ t͡s j a ʎ ɪ s t
ספּעציאַליסטן	s p ɛ t͡s j a ʎ ɪ s t n̩
ספּעציאַליסטקע	s p ɛ t͡s j a ʎ ɪ s t k ə
ספּעקטאָר	s p ɛ k t ɔ ʁ
ספֿק	s ɔ f ə k
ספֿר	s a ɪ̯ f ə ʁ
ספֿר	s ɛ ɪ̯ f ə ʁ
סצימיטאַר	s t͡s ɪ m ɪ t a r
סקאָן	s k ɔ n
סקאָצל קומט	s k ɔ t͡s l̩ k ʊ m t
סקעלעט	s k ə ɫ ɛ t
סתּם	s t a m
סײַדן	s a ɪ̯ d n̩
סײַדן	s aː d n̩
עבֿרה	a v ɛ ɪ r ə
עג־קרים	ɛ ɡ k r i m
עדות	a ɪ̯ d ə s
עדות	ɛ ɪ̯ d ə s
עוועניו	ɛ v ɛ n j ʊ
עולה	ɔ ɪ̯ ɫ ə
עולים	ɔ ɪ̯ ɫ ɪ m
עומר	e ɪ̯ m ɜ r
עומר	ɔ ɪ̯ m ɜ r
עטיקעט	ɛ t ɪ k ɛ t
עטלעך	ɛ t ɫ ə χ
עטלעכע	ɛ t l ə χ ə
עלטער	ɛ l t ɜ r
עלטער־זיידע	ɛ ɫ t ə ʁ z ɛ ɪ̯ d ə
עלטערע	ɛ ɫ t ə ʁ ə
עלעווייטעד	ɛ ɫ ə v ɛ ɪ̯ t ə d
עלעקטרישע גיטאַר	ɛ ɫ ɛ k t r ɪ ʃ ə ɡ ɪ t a r
עלעקטרײַ	ɛ ɫ ɛ k t r a ɪ̯
עם	ɛ m
עמו	ɛ m ʊ
עמעצער	ɛ m ə t͡s ə ʁ
עמער	ɛ m ə ʁ
ענגליש	ɛ ŋ ɡ ʎ ɪ ʃ
ענגלישער ביפֿסטייק	ɛ ŋ ɡ ʎ ɪ ʃ ə r b iː f s t ɛ ɪ̯ k
ענדלעך	ɛ n d l ə χ
ענדערונג	ɛ n d ɜ r ʊ n ɡ
ענדערן	ɛ n d ɜ r n̩
ענטפֿער	ɛ n t f ə ʁ
ענטפֿערן	ɛ n t f ɛ ʁ n
ענטשילאַדע	ɛ n t͡ʃ ɪ ɫ a d ə
ענעס	ɛ n ə s
עס	s
עס	s ə
עס	ɛ s
עסט	ɛ s t
עסטלאַנד	ɛ s t ɫ a n d
עסטראַגאָן	ɛ s t r a ɡ ɔ n
עסטרײַך	ɛ s t ʁ a ɪ̯ χ
עסיק	ɛ s ɪ k
עסן	ɛ s n̩
עסער	ɛ s ə r
עסערײַ	ɛ s ə r a ɪ̯
עספּעראַנטיסט	ɛ s p ɛ r a n t ɪ s t
עספּרעסאָ	ɛ s p r ɛ s ɔ
עפּאָכע	ə p ɔ χ ə
עפּלפּײַ	ɛ p ɫ̩ p a ɪ̯
עפּעס	ɛ p ə s
עפֿן	ɛ f n̩
עפֿנט	ɛ f n̩ t
עפֿנטלעך	ɛ f n̩ t ɫ ə χ
עפֿענען	ɛ f ə n ə n
עפֿעקטיוו	ɛ f ɛ k t ɪ f
עפֿעקטיוו	ɛ f ɛ k t ɪ v
עפֿעקטיווירן	ɛ f ɛ k t ɪ v ɪ r n̩
עץ	ɛ t͡s
עק	ɛ k
עקבער	ɛ k b ə r
עקבער	ɛ ɡ b ə r
עקזאַמען	ɛ k z a m ə n
עקזאַמענס	ɛ k z a m ə n s
עקלער	ə k ɫ ɛ r
עקן	ɛ k n̩
עקסיסטענץ	ɛ k s ɪ s t ɛ n t͡s
עקספּערט	ɛ k s p ɛ ʁ t
ער	ɛ ʁ
ערגעץ	ɛ ʁ ɡ ə t͡s
ערד	ɛ ʁ d
ערלעך	ɛ ʁ ɫ ə χ
ערלעכקייט	ɛ ʁ ɫ ə χ k a ɪ̯ t
ערשט	ɛ ʁ ʃ t
פּאַווע־פֿאַזאַן	p a v ə f a z a n
פּאַוזע	p a ʊ̯ z ə
פּאַטאַלאָק	p a t a ɫ ɔ k
פּאַטיקע	p a t ɪ k ə
פּאַטלעזשאַן	p a t ɫ ə ʒ a n
פּאַטש	p a t͡ʃ
פּאַטשולי	p a t͡ʃ ʊ ʎ ɪ
פּאַיאַץ	p a j a t͡s
פּאַלאַץ	p a ɫ a t͡s
פּאַלאַצן	p a ɫ a t͡s n̩
פּאַלעסטינע	p a ɫ ə s t ɪ n ə
פּאַמעלעך	p a m ɛ ɫ ə χ
פּאַמעלעכער	p a m ɛ ɫ ə χ ə ʁ
פּאַנדע	p a n d ə
פּאַנדעס	p a n d ə s
פּאַס	p a s
פּאַסט	p a s t
פּאַסטעל	p a s t ɛ ɫ
פּאַסיק	p a s ɪ k
פּאַסן	p a s n̩
פּאַספּאָרט	p a s p ɔ ʁ t
פּאַעליאַ	p a ɛ ʎ a
פּאַפּאַראַצי	p a p a r a t͡s i
פּאַפּאַראַצי	p a p a r a t͡s ɪ
פּאַפּיר	p a p i r
פּאַפּשוי	p a p ʃ ɔ ɪ̯
פּאַציענט	p a t͡s j ɛ n t
פּאַראָם	p a r ɔ m
פּאַרטאַטש	p a r t a t͡ʃ
פּאַרמעט	p a ʁ m ɛ t
פּאַרמעטן	p a ʁ m ɛ t n
פּאַרע	p a ʁ ə
פּאַשאָל וואָן	p a ʃ ɔ ɫ v ɔ n
פּאַשטעט	p a ʃ t ɛ t
פּאַשען	p a ʃ ə n
פּאָגראָם	p ɔ ɡ ʁ ɔ m
פּאָדלעץ	p ɔ d ɫ ɛ t͡s
פּאָטעפֿאַלנאָסט	p ɔ t ə f a ʎ n ɔ s t
פּאָטעפֿאַלנע	p ɔ t ə f a ʎ n ə
פּאָליסטירען	p ɔ ʎ ɪ s t ɪ r ɛ n
פּאָליצע	p ɔ ʎ ɪ t͡s ə
פּאָליצעס	p ɔ ʎ ɪ t͡s ə s
פּאָלירן	p ɔ l ɪ r n̩
פּאָמידאָר	p ɔ m ɪ d ɔ ʁ
פּאָמידאָרן־זאַפֿט	p ɔ m i d ɔ r n̩ z a f t
פּאָנטשיק	p ɔ n t͡ʃ ɪ k
פּאָנטשקע	p ɔ n t͡ʃ k ə
פּאָעט	p ɔ ɛ t
פּאָפּ	p ɔ p
פּאָפּוגײַ	p ɔ p ʊ ɡ a ɪ̯
פּאָפּוגײַען	p ɔ p ʊ ɡ a ɪ̯ ə n
פּאָץ	p ɔ t s
פּאָרט	p ɔ r t
פּאָרטוגאַל	p ɔ ʁ t ʊ ɡ a ɫ
פּאָרטווײַן	p ɔ r t v a ɪ̯ n
פּאָרטשטאָט	p ɔ r t ʃ t ɔ t
פּאָרצעלײַ	p ɔ ʁ t͡s ə ɫ a ɪ̯
פּוטער	p ʊ t ə ʁ
פּוטערברויט	p ʊ t ə r b r ɔ ɪ̯ t
פּוטערמילך	p ʊ t ə ʁ m ɪ ɫ χ
פּויזע	p ɔ ɪ̯ z ə
פּויליש	p ɔ ɪ̯ ʎ ɪ ʃ
פּוילן	p ɔ ɪ̯ ɫ n̩
פּויער	p ɔ ɪ̯ ə ʁ
פּויערטע	p ɔ j ɛ ʀ t ɛ
פּוכשישקע־יאָדלע	p u χ ʃ ɪ ʃ k ə j ɔ d l ə
פּולווער	p ʊ ɫ v ə ʁ
פּולס	p ʊ l s
פּולסאָדער	p ʊ l s ɔ d ə r
פּועל	p ɔ ɪ̯ ə ɫ
פּורפּור	p ʊ r p ʊ r
פּושקע	p ʊ ʃ k ə
פּחד	p a χ ə d
פּטור ווערן	p ɔ t ə ʁ v ɛ ʁ n̩
פּילאָווינעס	p ɪ ɫ ɔ v ɪ n ə s
פּינגווין	p ɪ ŋ ɡ v ɪ n
פּיניאַ־קאָלאַדע	p i n j a k ɔ ɫ a d ə
פּינקטלעך	p ɪ ŋ k t ɫ ə x
פּירוש	p e j ʀ ʊ ʃ
פּירוש	p i ʀ ʊ ʃ
פּישן	p ɪ ʃ n̩
פּישעכץ	p ɪ ʃ ə χ t͡s
פּלאַטע	p l a t ɜ
פּלאַן	p ɫ a n
פּלאַנט	p ɫ a n t
פּלאַנען	p ɫ a n ə n
פּלאַסטיק	p ɫ a s t ɪ k
פּלאַסטיש	p ɫ a s t ɪ ʃ
פּלאַסטישער	p ɫ a s t ɪ ʃ ə ʁ
פּלאַץ	p ɫ a t͡s
פּלויט	p ɫ ɔ ɪ̯ t
פּלוס	p ɫ ʊ s
פּלוצלינג	p ɫ ʊ t͡s ʎ ɪ ŋ ɡ
פּלימעניצע	p ʎ ɪ m ɛ n ɪ t͡s ə
פּלימעניצעס	p ʎ ɪ m ɛ n ɪ t͡s ə s
פּלימעניק	p ʎ ɪ m ɛ n ɪ k
פּלימעניקעס	p ʎ ɪ m ə n ɪ k ə s
פּסוק	p u s e k
פּסוק	p ɔ s e k
פּסח	p ɛ ɪ̯ s ə χ
פּעדאָפֿיל	p ɛ d ɔ f ɪ ɫ
פּעדאָפֿיליע	p ɛ d ɔ f ɪ ɫ j ə
פּעדאָפֿיליש	p ɛ d ɔ f ɪ ɫ ɪ ʃ
פּעטרישקע	p ɛ t r ɪ ʃ k ə
פּעקאַנפּײַ	p ə k a n p a ɪ̯
פּעקל	p ɛ k ɫ̩
פּערסאָנאַזש	p ɛ ʁ s ɔ n a ʒ
פּערפּעלן	p ɛ r p ɜ l n̩
פּראָטעיִן	p r ɔ t ɛ ɪ n
פּראָם	p r ɔ m
פּראָפֿעסאָר	p ʁ ɔ f ɛ s ɔ ʁ
פּראָפֿעסאָרין	p ʁ ɔ f ɛ s ɔ ʁ ɪ n
פּרוּוול	p ʁ ʊ v ɫ̩
פּרט	p ʀ a t
פּריוואַט	p ʁ ɪ v a t
פּריוואַטיקייט	p ʁ ɪ v a t ɪ k a ɪ̯ t
פּריוואַטיקייט	p ʁ ɪ v a t ɪ k e ɪ̯ t
פּריסאַדעס	p r ɪ s a d ə s
פּריסטער	p ʁ ɪ s t ə ʁ
פּרנסה	p a ʁ n ɔ s ə
פּרעגל	p ʁ ɛ ɡ ɫ̩
פּרעגלט	p ʁ ɛ ɡ ɫ̩ t
פּרעגלסט	p ʁ ɛ ɡ ɫ̩ s t
פּרעגלען	p ʁ ɛ ɡ ɫ ə n
פּרעה	p a ʁ ə
פּרעזידענט	p ʁ ɛ z ɪ d ɛ n t
פּרעזשעניצע	p r ɛ ʒ ə n ɪ t͡s ə
פּרעכטיק	p ʁ ɛ χ t ɪ k
פּרעסאײַזן	p r ɛ s a ɪ̯ z n̩
פּרעפֿערירט	p ʁ ɛ f ɛ ʁ ɪ ʁ t
פּרעפֿערירן	p ʁ ɛ f ɛ ʁ ɪ ʁ n̩
פּרעצל	p r ɛ t͡s ɫ̩
פּרעשבאָריק	p r ɛ ʃ b ɔ r ɪ k
פּשעניטשקע	p ʃ ɛ n ɪ t͡ʃ k ə
פּײַ	p a ɪ̯
פֿאַגאָט	f a ɡ ɔ t
פֿאַטשיילע	f a t͡ʃ ɛ ɪ̯ l ə
פֿאַך	f a χ
פֿאַל	f a ɫ
פֿאַלן	f a ɫ n̩
פֿאַן	f a n
פֿאַנאַטיקער	f a n a t ɪ k ə ʁ
פֿאַנטאַזיע	f a n t a z j ə
פֿאַס	f a s
פֿאַקטאַזיע	f a k t a z j ə
פֿאַר	f a ʁ
פֿאַראיבל	f a ʁ ɪ b ɫ̩
פֿאַראייניקט	f a r a ɪ̯ n ɪ k t
פֿאַראייניקט	f a r ɛ ɪ̯ n ɪ k t
פֿאַראייניקט קעניגרײַך	f a ʁ ɛ ɪ̯ n ɪ k t k ɛ n ɪ ɡ ʁ a ɪ̯ χ
פֿאַראייניקטע שטאַטן	f a r a ɪ̯ n ɪ k t ə ʃ t a t n̩
פֿאַראייניקטע שטאַטן	f a r ɛ ɪ̯ n ɪ k t ə ʃ t a t n̩
פֿאַראייניקטע שטאַטן פֿון אַמעריקע	f a r a ɪ̯ n ɪ k t ə ʃ t a t n̩ f ɪ n a m ɛ r ɪ k ə
פֿאַראייניקטע שטאַטן פֿון אַמעריקע	f a r ɛ ɪ̯ n ɪ k t ə ʃ t a t n̩ f ʊ n a m ɛ r ɪ k ə
פֿאַרב	f a ʁ b
פֿאַרבינדונג	f a ʁ b ɪ n d ʊ ŋ ɡ
פֿאַרבינדט	f a ʁ b ɪ n t
פֿאַרבינדן	f a ʁ b ɪ n d n̩
פֿאַרבלאָנדזשען	f a ʁ b ɫ ɔ n d͡ʒ ə n
פֿאַרברענט	f a ʁ b ʁ ɛ n t
פֿאַרברענסט	f a ʁ b ʁ ɛ n s t
פֿאַרברענען	f a ʁ b ʁ ɛ n ə n
פֿאַרבײַסן	f a ʁ b a ɪ̯ s n̩
פֿאַרגאַנגען	f a ʁ ɡ a ŋ ɡ ə n
פֿאַרגאַנגענהייט	f a ʁ ɡ a ŋ ɡ ə n h ɛ ɪ̯ t
פֿאַרגאַנצן	f a r ɡ a n t͡s n̩
פֿאַרגייט	f a ʁ ɡ ɛ ɪ̯ t
פֿאַרגיין	f a ʁ ɡ ɛ ɪ̯ n
פֿאַרגלײַך	f a ʁ ɡ ɫ a ɪ̯ χ
פֿאַרגלײַכט	f a ʁ ɡ ɫ a ɪ̯ χ t
פֿאַרגלײַכן	f a ʁ ɡ ɫ a ɪ̯ χ n̩
פֿאַרגעוואַלדיקונג	f a ʁ ɡ ə v a ɫ d ɪ k ʊ ŋ ɡ
פֿאַרגעוואַלדיקן	f a ʁ ɡ ə v a ɫ d ɪ k ŋ̩
פֿאַרגעסן	f a ʁ ɡ ɛ s n̩
פֿאַרגעסעניש	f a ʁ ɡ ɛ s ə n ɪ ʃ
פֿאַרדאַמען	f a ʁ d a m ə n
פֿאַרדינגען	f a ʁ d ɪ ŋ ɡ ə n
פֿאַרדינסט	f a ʁ d ɪ n s t
פֿאַרדינען	f a ʁ d ɪ n ə n
פֿאַרדריסן	f a ʁ d ʁ ɪ s n̩
פֿאַרדײַען	f a r d a ɪ̯ ə n
פֿאַרוואָס	f a ʁ v ɔ s
פֿאַרזיכערונג	f a ʁ z ɪ χ ə ʁ ʊ ŋ ɡ
פֿאַרזיכערן	f a ʁ z ɪ χ ə ʁ n̩
פֿאַרטיליקונג	f a ʁ t ɪ ɫ ɪ k ʊ ŋ ɡ
פֿאַרטיליקן	f a ʁ t ɪ ɫ ɪ k ŋ̩
פֿאַרטיק	f a ʁ t ɪ k
פֿאַרייִאושט	f a r j ɪ ɜ ʃ t
פֿאַרלאָזן	f a r l ɔ z n̩
פֿאַרלוירן	f a ʁ ɫ ɔ ɪ̯ ʁ n̩
פֿאַרלירן	f a ʁ ʎ ɪ ʁ n̩
פֿאַרם	f a ʁ ə m
פֿאַרמאַכט	f a ʁ m a χ t
פֿאַרמאַכן	f a ʁ m a χ n̩
פֿאַרמעסט	f a ʁ m ɛ s t
פֿאַרמער	f a ʁ m ə ʁ
פֿאַרמערין	f a ʁ m ə ʁ ɪ n
פֿאַרמערס	f a ʁ m ə ʁ s
פֿאַרנומען	f a ʁ n ʊ m ə n
פֿאַרנעזישע אַקאַציע	f a r n ɛ z ɪ ʃ ə a k a t͡s j ə
פֿאַרפּסח	f a r p ɛ ɪ̯ s ə χ
פֿאַרפֿוילט	f a ʀ f ʊ i l t
פֿאַרפֿלייץ	f a ʁ f ɫ ɛ ɪ̯ t͡s
פֿאַרפֿלייצונג	f a ʁ f ɫ ɛ ɪ̯ t͡s ʊ ŋ ɡ
פֿאַרפֿלייצן	f a ʁ f ɫ ɛ ɪ̯ t͡s n̩
פֿאַרצווײַגט	f a r t͡s v a ɪ̯ ɡ t
פֿאַרצווײַגטע משפּחה	f a r t͡s v a ɪ̯ ɡ t ɜ m ɪ ʃ p ɔ χ ɜ
פֿאַרצייכענען	f a ʁ t͡s ɛ ɪ̯ χ ə n ə n
פֿאַרקויף	f a ʁ k ɔ ɪ̯ f
פֿאַרקויפֿער	f a ʁ k ɔ ɪ̯ f ə ʁ
פֿאַרקויפֿערין	f a ʁ k ɔ ɪ̯ f ə ʁ ɪ n
פֿאַרקילונג	f a ʁ k ɪ ɫ ʊ ŋ ɡ
פֿאַרקנעכטן	f a ʁ k n ɛ χ t n̩
פֿאַרראָט	f a ʁ ʁ ɔ t
פֿאַרראָטן	f a ʁ ʁ ɔ t n̩
פֿאַרריכט	f a ʁ ʁ ɪ χ t
פֿאַרריכטן	f a ʁ ʁ ɪ χ t n̩
פֿאַררעטער	f a ʁ ʁ e ɪ̯ t ə ʁ
פֿאַררעטער	f a ʁ ʁ eː t ə ʁ
פֿאַררעטער	f a ʁ ʁ ɛ t ə ʁ
פֿאַרשאָלטן	f a ʁ ʃ ɔ ɫ t n̩
פֿאַרשטאַרבן	f a ʁ ʃ t a ʁ b m̩
פֿאַרשטעל	f a ʁ ʃ t ɛ ɫ
פֿאַרשטעלט	f a ʁ ʃ t ɛ ɫ t
פֿאַרשטעלן	f a ʁ ʃ t ɛ ɫ n̩
פֿאַרשטעלסט	f a ʁ ʃ t ɛ ɫ s t
פֿאַרשידן	f a ʁ ʃ ɪ d n̩
פֿאַרשיידן	f a ʁ ʃ e ɪ̯ d n̩
פֿאַרשרצונג	f a ʁ ʃ ɛ ʁ ə t͡s ʊ ŋ ɡ
פֿאַרשרצן	f a ʁ ʃ ɛ ʁ ə t͡s n̩
פֿאָדזש	f ɔ d͡ʒ
פֿאָדזש	f ʌ d͡ʒ
פֿאָדעם	f ɔ d ə m
פֿאָך	f ɔ χ
פֿאָלגן	f ɔ ɫ ɡ n̩
פֿאָסילן־ברענוואַרג	f ɔ s ɪ ɫ n̩ b r ɛ n v a r ɡ
פֿאָרזיכטיק	f ɔ ʁ z i χ t ɪ k
פֿאָרשונג	f ɔ ʀ ʃ ʊ ŋ ɡ
פֿאָרשריט	f ɔ r ʃ r ɪ t
פֿוטער	f ʊ t ə ʁ
פֿוטער־פּלאַץ	f ʊ t ə ʁ p ɫ a t͡s
פֿויגל	f a ɪ̯ ɡ l̩
פֿויגל	f e ɪ̯ ɡ l̩
פֿויגל	f ɔ ɪ̯ ɡ l̩
פֿויל	f o ʊ̯ ɫ
פֿויל	f oː ɫ
פֿויל	f ɔ ɪ̯ ɫ
פֿול	f ʊ ɫ
פֿונאַנדעראַרבעטן	f ʊ n a n d ə r a r b ɛ t n̩
פֿונט	f ʊ n t
פֿונעם	f ʊ n ə m
פֿוספֿינגער	f ʊ s f ɪ ŋ ɡ ə r
פֿופֿציק	f ɨ f t͡s ɨ k
פֿופֿציק	f ɪ f t͡s ɪ k
פֿופֿציק	f ʊ f t͡s ɪ k
פֿופֿצן	f ʊ f t͡s n̩
פֿיזיק	f ɪ z ɪ k
פֿייגל	f ɛ ɪ̯ ɡ ɫ̩
פֿייגעלע	f ɛ ɪ̯ ɡ ə ɫ ə
פֿיליער	f ɪ ʎ ə r
פֿילם	f ɪ ɫ m̩
פֿילע	f ɪ ɫ ɛ
פֿילפֿאַרביק	f ɪ ɫ f a ʁ b ɪ k
פֿינלאַנד	f ɪ n ɫ a n d
פֿינף	f ɪ n f
פֿינף	f ɪ n ə f
פֿינפֿט	f ɪ n f t
פֿינפֿטע	f ɪ n f t ə
פֿינפֿטער	f ɪ n f t ə ʁ
פֿינצטער	f ɪ n t͡s t ɜ r
פֿינצטערניש	f ɪ n t͡s t ə ʁ n ɪ ʃ
פֿיר	f i r
פֿיר	f iː r
פֿיר	f ɪ r
פֿירהאַנג	f ɪ ʁ h a ŋ ɡ
פֿירמע	f ɪ ʁ m ə
פֿירן	f ɪ ʁ n̩
פֿירער	f ɪ r ə r
פֿיש	f ɪ ʃ
פֿלאַטערל	f ɫ a t ə ʁ ɫ̩
פֿלאַמינגאָ	f ɫ a m ɪ ŋ ɡ ɔ
פֿלאַסטער	f ɫ a s t ə r
פֿלאַש	f ɫ a ʃ
פֿלאָוט	f ɫ ɔ ʊ̯ t
פֿלאָט	f l ɔ t
פֿלאָמיס	f ɫ ɔ m ɪ s
פֿליג	f l ɪ ɡ
פֿליגן־כאַפּער	f ʎ ɪ ɡ n̩ χ a p ə r
פֿליט	f ɫ ɪ t
פֿלייטל	f ɫ ɛ ɪ̯ t ɫ̩
פֿלייש	f ɫ a ɪ̯ ʃ
פֿלייש	f ɫ aː ʃ
פֿלייש	f ɫ e ɪ̯ ʃ
פֿלייש	f ɫ ɛ ɪ̯ ʃ
פֿליישיק	f ɫ ɛ ɪ̯ ʃ ɪ k
פֿליסטערן	f l ɪ s t ɘ ʁ ŋ
פֿליפֿעלד	f ʎ ɪ f ɛ ɫ d
פֿלעג	f ɫ ɛ ɡ
פֿלעגן	f ɫ ɛ ɡ n̩
פֿלעגסט	f ɫ ɛ ɡ s t
פֿלעשל	f ɫ ɛ ʃ ɫ̩
פֿעטס	f ɛ t s
פֿעטער	f ɛ t ə ʁ
פֿעטערס	f ɛ t ə ʁ s
פֿעיִק	f e ɪ̯ ɪ k
פֿעיִק	f eː ɪ k
פֿעיִק	f ɛ ɪ k
פֿעלדהאָקי	f ɛ ɫ d h ɔ k ɪ
פֿעלדהאָקיי	f ɛ ɫ d h ɔ k ɛ ɪ̯
פֿענדל	f ɛ n d ɫ̩
פֿענדלעך	f ɛ n d ɫ ə χ
פֿענכל	f ɛ n χ ɫ̩
פֿענצטער	f ɛ n t͡s t ə ʁ
פֿעסטונג	f ɛ s t ʊ ŋ ɡ
פֿעע	f ɛ ə
פֿעפֿער	f ɛ f ə ʁ
פֿערד	f ɛ r d
פֿערדל	f ɛ ʁ d ɫ̩
פֿערדלעך	f ɛ ʁ d ɫ ə χ
פֿערט	f ɛ ʁ t
פֿערציק	f ɛ r t͡s ɪ k
פֿראַגע	f ʁ a ɡ ə
פֿראַנקרײַך	f ʁ a n k ʁ aː χ
פֿראַנקרײַך	f ʁ a ŋ k ʁ a ɪ̯ χ
פֿראַנקרײַך	f ʁ ɔ n k ʁ a χ
פֿראָש	f ʁ ɔ ʃ
פֿרוי	f r o ʊ̯
פֿרוי	f r oː
פֿרוי	f r uː
פֿרוי	f r ɔ j
פֿרוי	f r ɔ ʊ̯
פֿרויען	f ʁ ɔ ɪ̯ ə n
פֿרוכטבאַר	f ʁ ʊ χ t b a ʁ
פֿרוכטבאַרקייט	f ʁ ʊ χ t b a ʁ k a ɪ̯ t
פֿרום	f r ʊ m
פֿרומקייט	f ʁ ɨ m k e ɪ̯ t
פֿרומקייט	f ʁ ɪ m k a ɪ̯ t
פֿרומקייט	f ʁ ʊ m k a ɪ̯ t
פֿרידזשידער	f ʁ ɪ d͡ʒ ɪ d ɛ ʁ
פֿרידזשידערס	f ʁ ɪ d͡ʒ ɪ d ɛ ʁ s
פֿרידלעך	f r ɪ d l ɜ χ
פֿרייד	f ʁ a ɪ̯ d
פֿרייד	f ʁ aː d
פֿרייד	f ʁ e ɪ̯ d
פֿרייד	f ʁ ɛ ɪ̯ d
פֿרייזער־יאָדלע	f r ɛ ɪ̯ z ə r j ɔ d l ə
פֿרילינג	f ʁ ɪ ʎ ɪ ŋ ɡ
פֿריקאַדעל	f r ɪ k a d ɛ ɫ
פֿריקאַדעלקע	f r ɪ k a d ɛ ɫ k ə
פֿריקאַדעלקע	f r ɪ k a d ɛ ʎ k ə
פֿריש	f ʁ ɪ ʃ
פֿרישטיק	f ʁ ɪ ʃ t ɪ k
פֿרעג	f ʁ ɛ ɡ
פֿרעגט	f ʁ ɛ k t
פֿרעגן	f ʁ ɛ ɡ n̩
פֿרעמדוואָרט	f r ɛ m d v ɔ r t
פֿרעמדלעך	f ʁ ɛ m d ɫ ə χ
פֿרעמדער	f ʁ ɛ m d ə ʁ
פֿרעמדערן־לעגיאָן	f ʁ ɛ m d ə ʁ n̩ ɫ ə ɡ j ɔ n
פֿרעמדשאַפֿט	f r ɛ m d ʃ a f t
פֿרעסן	f ʁ ɛ s n̩
פֿרײַ	f ʁ a ɪ̯
פֿרײַהייט	f ʁ a ɪ̯ h a ɪ̯ t
פֿרײַהייט	f ʁ a ɪ̯ h e ɪ̯ t
פֿרײַהייט	f ʁ a ɪ̯ h ɛ ɪ̯ t
פֿרײַהייט	f ʁ aː h a ɪ̯ t
פֿרײַנדלעך	f ʁ a ɪ̯ n d ɫ ə χ
פֿרײַנט	f ʁ a ɪ̯ n t
פֿרײַע	f ʁ a ɪ̯ ə
פֿױל	f o ʊ̯ l
פֿױל	f oː l
פֿױל	f ɔ ɪ̯ l
פֿײַן	f a ɪ̯ n
פֿײַנקוכן	f a ɪ̯ n k ʊ χ n̩
פֿײַער	f a ɪ̯ ə r
פֿײַער־לעשער	f a ɪ̯ e ʁ ɫ ɛ ʃ ə ʁ
פֿײַערן	f a ɪ̯ ə ʁ n
צאַצקע	t͡s a t͡s k ə
צאָל	t͡s ɔ l
צבֿועק	t͡s v ʊ a k
צדיק אין פּעלץ	t͡s a d ə k ɪ n p ɛ l t͡s
צו	t͡s u
צואה	t͡s ɔ ɪ̯ ə
צובינדן	t͡s ʊ b ɪ n d n̩
צוגעוווינט	t͡s ʊ ɡ ə v ɔ ɪ̯ n t
צוגעוווינען	t͡s ʊ ɡ ə v ɔ ɪ̯ n ə n
צוגעוויינען	t͡s ʊ ɡ ə v ɛ ɪ̯ n ə n
צוואַנציק	t͡s v a n t͡s ɪ k
צוואַנציק	t͡s v ɔ n t͡s ɨ k
צוואַנציקסט	t͡s v a n t͡s ɪ k s t
צוואָק	t͡s v ɔ k
צוויי	t͡s v a ɪ̯
צוויי	t͡s v e ɪ̯
צוויי	t͡s v ɛ ɪ̯
