Abae	aː b e
Caesarīnōs	t͡ʃ e s̬ a r iː n o s
Caesellium	t͡ʃ e s̬ ɛ l l i u m
Caeselliō	t͡ʃ e s̬ ɛ l l i o
Caesellī	t͡ʃ e s̬ ɛ l l i
Caesetium	t͡ʃ e s̬ ɛ t t͡s i u m
Caesetiī	t͡ʃ e s̬ ɛ t t͡s i i
Caesetiō	t͡ʃ e s̬ ɛ t t͡s i o
Caesetī	t͡ʃ ɛː s̬ e t i
Caesium	t͡ʃ ɛː s̬ i u m
Caesiō	t͡ʃ ɛː s̬ i o
Caesī	t͡ʃ ɛː s̬ i
Caesō	t͡ʃ ɛː s̬ o
Caetobrigae	t͡ʃ e t ɔː b r i d͡ʒ e
Caetobrigam	t͡ʃ e t ɔː b r i ɡ a m
Caius	k aː j u s
Caiētē	k a j ɛː t e
Cajētānus	k a j e t aː n u s
Calabria	k a l aː b r i a
Calabriā	k a l aː b r i a
Calagī	k aː l a d͡ʒ i
Calaris	k aː l a r i s
Calaviī	k a l aː v i i
Calchēdōn	k a l k ɛː d o n
Calchēdōne	k a l k e d ɔː n e
Calchēdōnem	k a l k e d ɔː n e m
Calchēdōnis	k a l k e d ɔː n i s
Calchēdōnī	k a l k e d ɔː n i
Caliburne	k a l i b u r n e
Caliburnum	k a l i b u r n u m
Caliburnī	k a l i b u r n i
Caliburnō	k a l i b u r n o
Calidium	k a l iː d i u m
Calidiī	k a l iː d i i
Calidiō	k a l iː d i o
Caligulae	k a l iː ɡ u l e
Caligulam	k a l iː ɡ u l a m
Callaecia	k a l l ɛː t͡ʃ i a
Calliopēa	k a l l i o p ɛː a
Callipolim	k a l l iː p o l i m
Callipolin	k a l l iː p o l i n
Callipolī	k a l l iː p o l i
Callirhoae	k a l l iː r o e
Callirhoē	k a l l iː r o e
Callirhoēn	k a l l iː r o e n
Callirhoēs	k a l l iː r o e s
Callirrhoae	k a l l i r r o e
Callirrhoēn	k a l l i r r o e n
Callirrhoēs	k a l l i r r o e s
Callistūs	k a l l i s t u s
Calpurniī	k a l p u r n i i
Calpurniō	k a l p u r n i o
Calventiō	k a l v ɛ n t͡s i o
Calypsōn	k a l i p s o n
Calypsōnis	k a l i p s ɔː n i s
Calētum	k a l ɛː t u m
Cameronia	k a m e r ɔː n i a
Camilla	k a m i l l a
Camillae	k a m i l l e
Camillam	k a m i l l a m
Campāna	k a m p aː n a
Campāniae	k a m p aː n i e
Campāniam	k a m p aː n i a m
Campānī	k a m p aː n i
Campānōrum	k a m p a n ɔː r u m
Camēnae	k a m ɛː n e
Camēnam	k a m ɛː n a m
Camēnāle	k a m e n aː l e
Camēnālem	k a m e n aː l e m
Camēnālia	k a m e n aː l i a
Camēnālibus	k a m e n aː l i b u s
Camēnālium	k a m e n aː l i u m
Camēnālēs	k a m e n aː l e s
Camēnālī	k a m e n aː l i
Camēnārum	k a m e n aː r u m
Camēnās	k a m ɛː n a s
Camēnīs	k a m ɛː n i s
Cancrī	k a ŋ k r i
Cancrō	k a ŋ k r o
Cannense	k a n n ɛ n s e
Cannensem	k a n n ɛ n s e m
Cannensia	k a n n ɛ n s i a
Cannensibus	k a n n ɛ n s i b u s
Cannensium	k a n n ɛ n s i u m
Cannensēs	k a n n ɛ n s e s
Cannensī	k a n n ɛ n s i
Cannārum	k a n n aː r u m
Cantuariēnsis	k a n t u a r i ɛ n s i s
Canīnium	k a n iː n i u m
Canīniō	k a n iː n i o
Canīnī	k a n iː n i
Canūtī	k a n uː t i
Caphāreum	k a f aː r e u̯ m
Capreārum	k a p r e aː r u m
Capreās	k aː p r e a s
Capreīs	k aː p r e i s
Capricorne	k a p r i k ɔ r n e
Caprum	k aː p r u m
Caprāsia	k a p r aː s̬ i a
Caprī	k aː p r i
Caprō	k aː p r o
Capy	k aː p i
Capye	k aː p i e
Capyn	k aː p i n
Capyos	k aː p i o s
Capyī	k aː p i i
Carbōnia	k a r b ɔː n i a
Carchēdonia	k a r k e d ɔː n i a
Carchēdoniae	k a r k e d ɔː n i e
Carchēdoniam	k a r k e d ɔː n i a m
Carchēdonie	k a r k e d ɔː n i e
Carchēdonium	k a r k e d ɔː n i u m
Carchēdoniārum	k a r k e d o n i aː r u m
Carchēdoniās	k a r k e d ɔː n i a s
Carchēdoniī	k a r k e d ɔː n i i
Carchēdoniīs	k a r k e d ɔː n i i s
Carchēdoniō	k a r k e d ɔː n i o
Carchēdoniōrum	k a r k e d o n i ɔː r u m
Carchēdoniōs	k a r k e d ɔː n i o s
Carchēdōne	k a r k e d ɔː n e
Carchēdōnem	k a r k e d ɔː n e m
Carchēdōnis	k a r k e d ɔː n i s
Carchēdōnī	k a r k e d ɔː n i
Carlshamnia	k a r l s a m n i a
Carnūtibus	k a r n uː t i b u s
Carnūtum	k a r n uː t u m
Carole	k aː r o l e
Carolicoronia	k a r o l i k o r ɔː n i a
Carolingum	k a r o l i ŋ ɡ u m
Carolingō	k a r o l i ŋ ɡ o
Carolum	k aː r o l u m
Carolī	k aː r o l i
Carolō	k aː r o l o
Carpinātium	k a r p i n a t t͡s i u m
Carpinātiō	k a r p i n a t t͡s i o
Carpinātī	k a r p i n aː t i
Carpis	k a r p i s
Carpī	k a r p i
Carpō	k a r p o
Carrāria	k a r r aː r i a
Cartennae	k a r t ɛ n n e
Cartennam	k a r t ɛ n n a m
Cartesiānī	k a r t e s̬ i aː n i
Carthadae	k a r t a d e
Carthadam	k a r t a d a m
Carthāginēnse	k a r t a d͡ʒ i n ɛ n s e
Carthāginēnsem	k a r t a d͡ʒ i n ɛ n s e m
Carthāginēnsia	k a r t a d͡ʒ i n ɛ n s i a
Carthāginēnsibus	k a r t a d͡ʒ i n ɛ n s i b u s
Carthāginēnsium	k a r t a d͡ʒ i n ɛ n s i u m
Carthāginēnsēs	k a r t a d͡ʒ i n ɛ n s e s
Carthāginēnsī	k a r t a d͡ʒ i n ɛ n s i
Carvilius	k a r v iː l i u s
Carēliae	k a r ɛː l i e
Carēliam	k a r ɛː l i a m
Carīnārum	k a r i n aː r u m
Carīnās	k a r iː n a s
Carīnīs	k a r iː n i s
Casina	k aː s̬ i n a
Caspiānae	k a s p i aː n e
Caspiānam	k a s p i aː n a m
Cassiopeiae	k a s s i o p ɛː j e
Cassiopeiam	k a s s i o p ɛː j a m
Cassiopēa	k a s s i o p ɛː a
Cassium	k a s s i u m
Cassiī	k a s s i i
Cassiō	k a s s i o
Cassīnum	k a s s iː n u m
Cassīnus	k a s s iː n u s
Cassīnēnsis	k a s s i n ɛ n s i s
Cassīnō	k a s s iː n o
Castellae	k a s t ɛ l l e
Castellam	k a s t ɛ l l a m
Casus	k aː s̬ u s
Casērta	k a s̬ ɛ r t a
Casīna	k aː s̬ i n a
Casīnum	k a s̬ iː n u m
Casīnā	k aː s̬ i n a
Casīnēnse	k a s̬ i n ɛ n s e
Casīnō	k a s̬ iː n o
Casīnōs	k a s̬ iː n o s
Catacium	k a t aː t͡ʃ i u m
Cativolce	k a t i v ɔ l̠ʲ t͡ʃ e
Cativolcum	k a t i v ɔ l k u m
Cativolcī	k a t i v ɔ l̠ʲ t͡ʃ i
Cativolcō	k a t i v ɔ l k o
Catullus	k a t u l l u s
Caturīgibus	k a t u r iː d͡ʒ i b u s
Caturīgum	k a t u r iː ɡ u m
Catōne	k a t ɔː n e
Catōnem	k a t ɔː n e m
Catōnis	k a t ɔː n i s
Catōnī	k a t ɔː n i
Caucasum	k aː u̯ k a s̬ u m
Caucasī	k aː u̯ k a s̬ i
Caucasō	k aː u̯ k a s̬ o
Caīcī	k a iː t͡ʃ i
Cechia	t͡ʃ ɛː k i a
Celtārum	t͡ʃ e l t aː r u m
Celtās	t͡ʃ ɛ l t a s
Celtīs	t͡ʃ ɛ l t i s
Cenomannica	t͡ʃ e n o m a n n i k a
Cenomānīs	t͡ʃ e n o m aː n i s
Cenomānōrum	t͡ʃ e n o m a n ɔː r u m
Cenomānōs	t͡ʃ e n o m aː n o s
Centoribus	t͡ʃ e n t ɔː r i b u s
Centorum	t͡ʃ ɛ n t o r u m
Cererus	t͡ʃ ɛː r e r u s
Cereālia	t͡ʃ e r e aː l i a
Ceriālia	t͡ʃ e r i aː l i a
Ceutronibus	t͡ʃ e u̯ t r ɔː n i b u s
Ceutronum	t͡ʃ ɛː u̯ t r o n u m
Chalcidem	k a l̠ʲ t͡ʃ i d e m
Chalcidicē	k a l̠ʲ t͡ʃ iː d i t͡ʃ e
Chalcēdōne	k a l̠ʲ t͡ʃ e d ɔː n e
Chalcēdōnem	k a l̠ʲ t͡ʃ e d ɔː n e m
Chalcēdōnis	k a l̠ʲ t͡ʃ e d ɔː n i s
Chalcēdōnī	k a l̠ʲ t͡ʃ e d ɔː n i
Chalum	k aː l u m
Charisiī	k a r iː s̬ i i
Charisī	k aː r i s̬ i
Charonta	k a r ɔ n t a
Charonte	k a r ɔ n t e
Charontem	k a r ɔ n t e m
Charontis	k a r ɔ n t i s
Charontos	k a r ɔ n t o s
Charontī	k a r ɔ n t i
Charybdin	k a r i b d i n
Charōne	k a r ɔː n e
Charōnem	k a r ɔː n e m
Charōnis	k a r ɔː n i s
Charōnī	k a r ɔː n i
Chaō	k aː o
Childerīcus	k i l d e r iː k u s
Chimaeram	k i m ɛː r a m
Chius	k iː u s
Chiō	k iː o
Chlodovechus	k l o d ɔː v e k u s
Chlodovechī	k l o d ɔː v e k i
Chrīstī	k r i s t i
Chrȳsippe	k r i s̬ i p p e
Chrȳsippum	k r i s̬ i p p u m
Chrȳsippī	k r i s̬ i p p i
Chrȳsippō	k r i s̬ i p p o
Chēruscīs	k e r u ʃ ʃ i s
Chēruscōs	k e r u s k o s
Chīnārum	k i n aː r u m
Chīnās	k iː n a s
Chīnīs	k iː n i s
Chīus	k iː u s
Chī̆nēnsis	k i n ɛ n s i s
Cimbricē	t͡ʃ i m b r i t͡ʃ e
Cimbrōs	t͡ʃ i m b r o s
Circae	t͡ʃ i r t͡ʃ e
Circaea	t͡ʃ i r t͡ʃ ɛː a
Cison	t͡ʃ iː s̬ o n
Cithaerōnem	t͡ʃ i t e r ɔː n e m
Cithaerōnis	t͡ʃ i t e r ɔː n i s
Citherōn	t͡ʃ iː t e r o n
Citiō	t͡ʃ i t t͡s i o
Claudiae	k l aː u̯ d i e
Claudiam	k l aː u̯ d i a m
Cleopatra	k l e ɔː p a t r a
Cleopatram	k l e ɔː p a t r a m
Clodovicī	k l o d ɔː v i t͡ʃ i
Cluentī	k l u ɛ n t i
Clytemnēstra	k l i t e m n ɛ s t r a
Clēmens	k l ɛː m e n s
Clēmente	k l e m ɛ n t e
Clēmentem	k l e m ɛ n t e m
Clēmentis	k l e m ɛ n t i s
Clēmentī	k l e m ɛ n t i
Clūsiī	k l uː s̬ i i
Clūsiō	k l uː s̬ i o
Clūsī	k l uː s̬ i
Cnidos	k n iː d o s
Coeum	t͡ʃ ɛː u m
Coeō	t͡ʃ ɛː o
Colōrātum	k o l o r aː t u m
Commium	k ɔ m m i u m
Connecticūta	k o n n e k t i k uː t a
Consus	k ɔ n s i
Copernice	k o p ɛ r n i t͡ʃ e
Copernicum	k o p ɛ r n i k u m
Copernicī	k o p ɛ r n i t͡ʃ i
Copernicō	k o p ɛ r n i k o
Coppernice	k o p p ɛ r n i t͡ʃ e
Coppernicum	k o p p ɛ r n i k u m
Coppernicī	k o p p ɛ r n i t͡ʃ i
Coppernicō	k o p p ɛ r n i k o
Corinnae	k o r i n n e
Corinnam	k o r i n n a m
Corinthe	k o r i n t e
Corinthia	k o r i n t i a
Corinthiae	k o r i n t i e
Corinthiam	k o r i n t i a m
Corinthie	k o r i n t i e
Corinthium	k o r i n t i u m
Corinthiārum	k o r i n t i aː r u m
Corinthiās	k o r i n t i a s
Corinthiēnse	k o r i n t i ɛ n s e
Corinthiēnsem	k o r i n t i ɛ n s e m
Corinthiēnsia	k o r i n t i ɛ n s i a
Corinthiēnsibus	k o r i n t i ɛ n s i b u s
Corinthiēnsium	k o r i n t i ɛ n s i u m
Corinthiēnsēs	k o r i n t i ɛ n s e s
Corinthiēnsī	k o r i n t i ɛ n s i
Corinthiīs	k o r i n t i i s
Corinthiō	k o r i n t i o
Corinthiōrum	k o r i n t i ɔː r u m
Corinthiōs	k o r i n t i o s
Corinthon	k o r i n t o n
Corinthum	k o r i n t u m
Corinthī	k o r i n t i
Corinthō	k o r i n t o
Coriolāna	k o r i o l aː n a
Coriolānae	k o r i o l aː n e
Coriolānam	k o r i o l aː n a m
Coriolāne	k o r i o l aː n e
Coriolānum	k o r i o l aː n u m
Coriolānārum	k o r i o l a n aː r u m
Coriolānās	k o r i o l aː n a s
Coriolānī	k o r i o l aː n i
Coriolānīs	k o r i o l aː n i s
Coriolānō	k o r i o l aː n o
Coriolānōrum	k o r i o l a n ɔː r u m
Coriolānōs	k o r i o l aː n o s
Coriolīs	k o r iː o l i s
Coriolōrum	k o r i o l ɔː r u m
Coriolōs	k o r iː o l o s
Coriosolītibus	k o r i o s̬ o l iː t i b u s
Coriosolītum	k o r i o s̬ o l iː t u m
Corne	k ɔ r n e
Cornum	k ɔ r n u m
Corsa	k ɔ r s a
Corsae	k ɔ r s e
Corsam	k ɔ r s a m
Corse	k ɔ r s e
Corsica	k ɔ r s i k a
Corsicae	k ɔ r s i t͡ʃ e
Corsicam	k ɔ r s i k a m
Corsice	k ɔ r s i t͡ʃ e
Corsicum	k ɔ r s i k u m
Corsicāna	k o r s i k aː n a
Corsicānae	k o r s i k aː n e
Corsicānam	k o r s i k aː n a m
Corsicāne	k o r s i k aː n e
Corsicānum	k o r s i k aː n u m
Corsicānārum	k o r s i k a n aː r u m
Corsicānās	k o r s i k aː n a s
Corsicānī	k o r s i k aː n i
Corsicānīs	k o r s i k aː n i s
Corsicānō	k o r s i k aː n o
Corsicānōrum	k o r s i k a n ɔː r u m
Corsicānōs	k o r s i k aː n o s
Corsicārum	k o r s i k aː r u m
Corsicās	k ɔ r s i k a s
Corsicī	k ɔ r s i t͡ʃ i
Corsicīs	k ɔ r s i t͡ʃ i s
Corsicō	k ɔ r s i k o
Corsicōrum	k o r s i k ɔː r u m
Corsicōs	k ɔ r s i k o s
Corsum	k ɔ r s u m
Corsārum	k o r s aː r u m
Corsās	k ɔ r s a s
Corsī	k ɔ r s i
Corsō	k ɔ r s o
Corsōrum	k o r s ɔː r u m
Cortōnae	k o r t ɔː n e
Cortōnam	k o r t ɔː n a m
Corybantem	k o r i b a n t e m
Corybantis	k o r i b a n t i s
Cosacōrum	k o s̬ a k ɔː r u m
Cosacōs	k ɔː s̬ a k o s
Cosae	k ɔː s̬ e
Cosam	k ɔː s̬ a m
Crace	k r aː t͡ʃ e
Cracum	k r aː k u m
Cracī	k r aː t͡ʃ i
Cracō	k r aː k o
Crassī	k r a s s i
Crassō	k r a s s o
Cratēte	k r a t ɛː t e
Cratētem	k r a t ɛː t e m
Cratētis	k r a t ɛː t i s
Cratētī	k r a t ɛː t i
Creūsae	k r e uː s̬ e
Creūsam	k r e uː s̬ a m
Crista	k r i s t a
Croesō	k r ɛː s̬ o
Crotōniātae	k r o t o n i aː t e
Crotōniātārum	k r o t o n i a t aː r u m
Crotōniātā̆s	k r o t o n i aː t a s
Crotōniātēn	k r o t o n i aː t e n
Crotōniātūm	k r o t o n i aː t u m
Crustumerium	k r u s t u m ɛː r i u m
Crustumerus	k r u s t uː m e r u s
Crētē	k r ɛː t e
Crētēn	k r ɛː t e n
Cuba	k uː b a
Cubertus	k u b ɛ r t u s
Cudbertus	k u d b ɛ r t u s
Cundolfus	k u n d ɔ l f u s
Cuneum	k uː n e u m
Curidiō	k u r iː d i o
Curtium	k u r t͡s i u m
Curtiī	k u r t͡s i i
Curtiō	k u r t͡s i o
Curtī	k u r t i
Cyanēn	t͡ʃ iː a n e n
Cyanēs	t͡ʃ iː a n e s
Cycladās	t͡ʃ iː k l a d a s
Cycladēs	t͡ʃ iː k l a d e s
Cynosūrae	t͡ʃ i n o s̬ uː r e
Cynosūram	t͡ʃ i n o s̬ uː r a m
Cynthia	t͡ʃ i n t i a
Cynthiā	t͡ʃ i n t i a
Cynthī	t͡ʃ i n t i
Cypria	t͡ʃ iː p r i a
Cyprium	t͡ʃ iː p r i u m
Cyrnae	t͡ʃ i r n e
Cyrne	t͡ʃ i r n e
Cyrnum	t͡ʃ i r n u m
Cyrnēn	t͡ʃ i r n e n
Cyrnēs	t͡ʃ i r n e s
Cyrnī	t͡ʃ i r n i
Cyrnō	t͡ʃ i r n o
Cāia	k aː i a
Cāia	k aː j a
Cāia	ɡ aː i a
Cāia	ɡ aː j a
Cāius	k aː i u s
Cāius	k aː j u s
Cāius	ɡ aː i u s
Cāius	ɡ aː j u s
Cēae	t͡ʃ ɛː e
Cēam	t͡ʃ ɛː a m
Cēphae	t͡ʃ ɛː f e
Cēphe͡us	t͡ʃ ɛː f e u̯ s
Cēphā	t͡ʃ ɛː f a
Cēphān	t͡ʃ ɛː f a n
Cēphārum	t͡ʃ e f aː r u m
Cēphēius	t͡ʃ e f ɛː i u s
Cēphēus	t͡ʃ e f ɛː u s
Cēphīs	t͡ʃ ɛː f i s
Cēȳce	t͡ʃ e iː t͡ʃ e
Cēȳcem	t͡ʃ e iː t͡ʃ e m
Cēȳcis	t͡ʃ e iː t͡ʃ i s
Cēȳcos	t͡ʃ e iː k o s
Cēȳcī	t͡ʃ e iː t͡ʃ i
Cīlō	t͡ʃ iː l o
Cīvīlis	t͡ʃ i v iː l i s
Cōcȳte	k o t͡ʃ iː t e
Cōcȳtum	k o t͡ʃ iː t u m
Cōcȳtī	k o t͡ʃ iː t i
Cōcȳtō	k o t͡ʃ iː t o
Cōnfūtius	k o ɱ f u t t͡s i u s
Cōnstantem	k o n s t a n t e m
Cōnstantiī	k o n s t a n t͡s i i
Cōnstantiō	k o n s t a n t͡s i o
Cōnstantīne	k o n s t a n t iː n e
Cōnstantīnopolītāna	k o n s t a n t i n o p o l i t aː n a
Cōnstantīnopolītānae	k o n s t a n t i n o p o l i t aː n e
Cōnstantīnopolītānam	k o n s t a n t i n o p o l i t aː n a m
Cōnstantīnopolītāne	k o n s t a n t i n o p o l i t aː n e
Cōnstantīnopolītānum	k o n s t a n t i n o p o l i t aː n u m
Cōnstantīnopolītānārum	k o n s t a n t i n o p o l i t a n aː r u m
Cōnstantīnopolītānās	k o n s t a n t i n o p o l i t aː n a s
Cōnstantīnopolītānī	k o n s t a n t i n o p o l i t aː n i
Cōnstantīnopolītānīs	k o n s t a n t i n o p o l i t aː n i s
Cōnstantīnopolītānō	k o n s t a n t i n o p o l i t aː n o
Cōnstantīnopolītānōrum	k o n s t a n t i n o p o l i t a n ɔː r u m
Cōnstantīnopolītānōs	k o n s t a n t i n o p o l i t aː n o s
Cōnstantīnum	k o n s t a n t iː n u m
Cōnstantīnī	k o n s t a n t iː n i
Cōnstantīnō	k o n s t a n t iː n o
Cū̆ba	k uː b a
Cȳrille	t͡ʃ i r i l l e
Cȳrillum	t͡ʃ i r i l l u m
Cȳrillī	t͡ʃ i r i l l i
Cȳrillō	t͡ʃ i r i l l o
Cȳrēneus	t͡ʃ i r ɛː n e u s
Cȳrēnēs	t͡ʃ i r ɛː n e s
Daedala	d ɛː d a l a
Dahouria	d a uː r i a
Dallāsium	d a l l aː s̬ i u m
Damascēna	d a m a ʃ ʃ ɛː n a
Damascēnē	d a m a ʃ ʃ ɛː n e
Danae	d aː n a e
Danaē	d aː n a e
Daniēle	d a n i ɛː l e
Daouria	d a uː r i a
Dardanum	d a r d a n u m
Dardanus	d a r d a n u s
Dasumium	d a s̬ uː m i u m
Dasumiī	d a s̬ uː m i i
Dasumiō	d a s̬ uː m i o
Dasumī	d aː s̬ u m i
Davouria	d a v uː r i a
Davūria	d a v uː r i a
Daūria	d a uː r i a
Da͡uūria	d a u̯ uː r i a
Decapolitāna	d e k a p o l i t aː n a
Decapolitānae	d e k a p o l i t aː n e
Decapolitānum	d e k a p o l i t aː n u m
Decapolitānī	d e k a p o l i t aː n i
Decapolitānōrum	d e k a p o l i t a n ɔː r u m
Decembris	d e t͡ʃ ɛ m b r i s
Decembrī	d e t͡ʃ ɛ m b r i
Decium	d ɛː t͡ʃ i u m
Deciī	d ɛː t͡ʃ i i
Deciō	d ɛː t͡ʃ i o
Decrium	d ɛː k r i u m
Decriī	d ɛː k r i i
Decriō	d ɛː k r i o
Decrī	d ɛː k r i
Decī	d ɛː t͡ʃ i
Delavāria	d e l a v aː r i a
Dellium	d ɛ l l i u m
Delphīnātum	d e l f i n aː t u m
Delphīnātuī	d e l f i n aː t u i
Delphīnātēnse	d e l f i n a t ɛ n s e
Delphīnātēnsem	d e l f i n a t ɛ n s e m
Delphīnātēnsia	d e l f i n a t ɛ n s i a
Delphīnātēnsibus	d e l f i n a t ɛ n s i b u s
Delphīnātēnsium	d e l f i n a t ɛ n s i u m
Delphīnātēnsēs	d e l f i n a t ɛ n s e s
Delphīnātēnsī	d e l f i n a t ɛ n s i
Delphīnātū	d e l f i n aː t u
Denverium	d e ɱ v ɛː r i u m
Desticium	d e s t iː t͡ʃ i u m
Desticiī	d e s t iː t͡ʃ i i
Desticiō	d e s t iː t͡ʃ i o
Desticī	d ɛ s t i t͡ʃ i
Deō	d ɛː o
Deōdate	d e ɔː d a t e
Deōdatum	d e ɔː d a t u m
Deōdatī	d e ɔː d a t i
Deōdatō	d e ɔː d a t o
Dia	d iː a
Dictaeus	d i k t ɛː u s
Didacopolis	d i d a k ɔː p o l i s
Die	d iː e
Digitium	d i d͡ʒ i t t͡s i u m
Digitiī	d i d͡ʒ i t t͡s i i
Digitiō	d i d͡ʒ i t t͡s i o
Digitī	d iː d͡ʒ i t i
Dillium	d i l l i u m
Dilliī	d i l l i i
Dilliō	d i l l i o
Dioclētiānō	d i o k l e t t͡s i aː n o
Dionȳsia	d i o n iː s̬ i a
Dios	d iː o s
Dioscore	d i ɔ s k o r e
Dioscorum	d i ɔ s k o r u m
Dioscorō	d i ɔ s k o r o
Diove	d iː o v e
Diovem	d iː o v e m
Diovibus	d i ɔː v i b u s
Diovum	d iː o v u m
Diovēs	d iː o v e s
Diovī	d iː o v i
Dissembergēnse	d i s s e m b e r d͡ʒ ɛ n s e
Dissembergēnsis	d i s s e m b e r d͡ʒ ɛ n s i s
Diēspitre	d i ɛ s p i t r e
Diēspitrem	d i ɛ s p i t r e m
Diēspitribus	d i e s p iː t r i b u s
Diēspitris	d i ɛ s p i t r i s
Diēspitrum	d i ɛ s p i t r u m
Diēspitrēs	d i ɛ s p i t r e s
Diēspitrī	d i ɛ s p i t r i
Diī	d iː i
Diōn	d iː o n
Dolopum	d ɔː l o p u m
Domagous	d o m aː ɡ o u s
Domidūcae	d o m i d uː t͡ʃ e
Domidūcam	d o m i d uː k a m
Domidūce	d o m i d uː t͡ʃ e
Domidūcum	d o m i d uː k u m
Domidūcī	d o m i d uː t͡ʃ i
Domidūcō	d o m i d uː k o
Dominice	d o m iː n i t͡ʃ e
Dominicum	d o m iː n i k u m
Dominicī	d o m iː n i t͡ʃ i
Dominicō	d o m iː n i k o
Domitiī	d o m i t t͡s i i
Domitī	d ɔː m i t i
Dommagous	d o m m aː ɡ o u s
Domogous	d o m ɔː ɡ o u s
Donatum	d ɔː n a t u m
Donatī	d ɔː n a t i
Donatō	d ɔː n a t o
Draccium	d r a t t͡ʃ i u m
Dracciī	d r a t t͡ʃ i i
Dracciō	d r a t t͡ʃ i o
Dryas	d r iː a s
Drysidae	d r iː s̬ i d e
Dryās	d r iː a s
Drūsilla	d r u s̬ i l l a
Drūsum	d r uː s̬ u m
Ducēnium	d u t͡ʃ ɛː n i u m
Ducēniī	d u t͡ʃ ɛː n i i
Ducēniō	d u t͡ʃ ɛː n i o
Ducēnī	d u t͡ʃ ɛː n i
Durmium	d u r m i u m
Durmiī	d u r m i i
Durmiō	d u r m i o
Durmī	d u r m i
Durōnium	d u r ɔː n i u m
Durōniī	d u r ɔː n i i
Durōniō	d u r ɔː n i o
Durōnī	d u r ɔː n i
Duvium	d uː v i u m
Duviī	d uː v i i
Duviō	d uː v i o
Duvī	d uː v i
Duīlium	d u iː l i u m
Duīliī	d u iː l i i
Duīliō	d u iː l i o
Duīlī	d u iː l i
Dācia	d aː t͡ʃ i a
Dāmoclae	d aː m o k l e
Dāmoclem	d aː m o k l e m
Dāmoclis	d aː m o k l i s
Dāmoclē	d aː m o k l e
Dāmoclēa	d a m o k l ɛː a
Dāmoclī	d aː m o k l i
Dāniae	d aː n i e
Dāniam	d aː n i a m
Dānīs	d aː n i s
Dānōrum	d a n ɔː r u m
Dānōs	d aː n o s
Dārīum	d a r iː u m
Dārīī	d a r iː i
Dārīō	d a r iː o
Dēcidium	d e t͡ʃ iː d i u m
Dēcidiī	d e t͡ʃ iː d i i
Dēcidiō	d e t͡ʃ iː d i o
Dēcidī	d ɛː t͡ʃ i d i
Dēle	d ɛː l e
Dēlon	d ɛː l o n
Dēlum	d ɛː l u m
Dēlī	d ɛː l i
Dēlō	d ɛː l o
Dēmarātum	d e m a r aː t u m
Dēmarātī	d e m a r aː t i
Dēmarātō	d e m a r aː t o
Dēmētrium	d e m ɛː t r i u m
Dēō	d ɛː o
Dīa	d iː a
Dīdium	d iː d i u m
Dīdiī	d iː d i i
Dīdiō	d iː d i o
Dīdī	d iː d i
Dīdōne	d i d ɔː n e
Dīnia	d iː n i a
Dīon	d iː o n
Dīsenbergēnsis	d i s̬ e n b e r d͡ʒ ɛ n s i s
Dīvānae	d i v aː n e
Dīvānam	d i v aː n a m
Dīī	d iː i
Dī̆ānae	d i aː n e
Dī̆ānam	d i aː n a m
Dī̆ānārum	d i a n aː r u m
Dī̆ānās	d i aː n a s
Dī̆ānīs	d i aː n i s
Dū̆bre	d uː b r e
Dū̆brem	d uː b r e m
Dū̆brī	d uː b r i
Ecberte	e k b ɛ r t e
Ecbertum	e k b ɛ r t u m
Ecbertī	e k b ɛ r t i
Ecbertō	e k b ɛ r t o
Echīnadum	e k iː n a d u m
Eduarde	e d u a r d e
Eduardum	e d u a r d u m
Eduardus	e d u a r d u s
Eduardī	e d u a r d i
Eduardō	e d u a r d o
Edwarde	e d w a r d e
Edwardum	e d w a r d u m
Edwardī	e d w a r d i
Edwardō	e d w a r d o
Eggium	ɛ d d͡ʒ i u m
Eggiī	ɛ d d͡ʒ i i
Eggiō	ɛ d d͡ʒ i o
Eggī	ɛ d d͡ʒ i
Elagabale	e l a ɡ aː b a l e
Elagabalum	e l a ɡ aː b a l u m
Elagabalī	e l a ɡ aː b a l i
Elagabalō	e l a ɡ aː b a l o
Eleutheriī	e l e u̯ t ɛː r i i
Eleutheriōrum	e l e u̯ t e r i ɔː r u m
Elianor	e l iː a n o r
Elianora	e l i aː n o r a
Elissae	e l i s s e
Elīsa	e l iː s̬ a
Emesus	ɛː m e s̬ u s
Emisa	ɛː m i s̬ a
Emissa	e m i s s a
Emisēnus	e m i s̬ ɛː n u s
Enīpeu	e n iː p e u̯
Epamīnōnda	e p a m i n ɔ n d a
Epamīnōndae	e p a m i n ɔ n d e
Epamīnōndam	e p a m i n ɔ n d a m
Epamīnōndān	e p a m i n ɔ n d a n
Epaphrodītus	e p a f r o d iː t u s
Ephraīmus	e f r a iː m u s
Epidiō	e p iː d i o
Eprium	ɛː p r i u m
Epriō	ɛː p r i o
Eprī	ɛː p r i
Erasmīne	e r a z m iː n e
Erasmō	e r a z m o
Erasīnus	e r a s̬ iː n u s
Erebe	ɛː r e b e
Erebum	ɛː r e b u m
Erebī	ɛː r e b i
Erebō	ɛː r e b o
Erycis	ɛː r i t͡ʃ i s
Erythraea	e r i t r ɛː a
Erythraeā	e r i t r ɛː a
Erythraeī	e r i t r ɛː i
Erythraeō	e r i t r ɛː o
Erythraeōrum	e r i t r e ɔː r u m
