Abel	ǎː b e l
Tračanin	t r ǎː t͡ʃ a n i n
Troja	t r ǒː j a
Trojanac	t r o j ǎː n a t͡s
Tunis	t ǔ n i s
Tunižanin	t u n ǐː ʒ a n i n
Turci	t ûː r t͡s i
Turkinja	t û r k i ɲ a
Turska	t ǔ r s k aː
Turčin	t ǔ r t͡ʃ iː n
Tuzi	t ǔː z i
Tuzla	t û z l a
Tuđman	t û d͡ʑ m a n
Uganda	ǔ ɡ aː n d a
Ukrajina	ǔ k r a j i n a
Ulcinj	ǔ l t͡s i ɲ
Uran	ǔ r aː n
Urugvaj	û r u ɡ ʋ a j
Urugvajac	u r u ɡ ʋ ǎː j a t͡s
Uskrs	ǔ s k r s
Uzbekistan	u z b e k ǐ s t aː n
Varšava	ʋ ǎ r ʃ a ʋ a
Vatikan	ʋ â t i k aː n
Venecija	ʋ ě n eː t͡s i j a
Venera	ʋ ě n e r a
Vesna	ʋ ê s n a
Vesta	ʋ ê s t a
Vestfalija	ʋ ě s t f aː l i j a
Vijetnam	ʋ î j e t n a m
Viktorija	ʋ ǐ k t oː r i j a
Vlah	ʋ l â x
Vlašić	ʋ l â ʃ i t͡ɕ
Vojislav	ʋ ǒ j i s l a ʋ
Vojvodina	ʋ ǒ j ʋ o d i n a
Volga	ʋ ôː l ɡ a
Zagreb	z a ɡ r e p
Zagreb	z ǎː ɡ r e b
Zagrepčanin	z ǎː ɡ r e p t͡ʃ a n i n
Zagrepčanka	z ǎː ɡ r e p t͡ʃ aː n k a
Zambija	z ǎ m b i j a
Zemlja	z ě m ʎ a
Zemljin	z ě m ʎ i n
Zlatan	z l ǎ t a n
Zoran	z ǒ r a n
abadžija	â b a d͡ʒ i j a
abaiti	a b a i t i
abaja	a b ǎ j a
abaja	a b ǎː j a
abak	ǎ b a k
abakus	ǎ b a k u s
abažur	a b ǎ ʒ uː r
abdes	ǎ b d e s
abdest	ǎ b d e s t
abdicirati	a b d i t͡s ǐː r a t i
abdikacija	a b d i k ǎː t͡s i j a
abdikant	a b d ǐ k a n t
abdomen	a b d ǒː m e n
abdomenski	a b d ǒː m e n s k iː
abdominalan	â b d o m i n aː l a n
abeceda	a b e t͡s ěː d a
abecedar	a b e t͡s ě d aː r
abecedarij	a b e t͡s ě d aː r i j
abecedni	â b e t͡s eː d n iː
aber	ǎ b e r
abesinski	a b ě s i n s k iː
abhaski	ǎ b x aː s k iː
abidjanski	a b ǐ d͡ʒ a n s k iː
ablacija	a b l ǎː t͡s i j a
ablativ	â b l a t i ʋ
ablaut	ǎ b l a u t
abnormalan	â b n o r m aː l a n
abnormalno	â b n o r m aː l n o
abnormalnost	a b n o r m ǎː l n oː s t
abolicija	a b o l ǐː t͡s i j a
abolicijski	a b o l ǐː t͡s iː j s k iː
abonent	a b ǒ n e n t
abonirac	a b o n ǐː r a t͡s
abonirati	a b o n ǐː r a t i
abonman	a b ǒ n m aː n
abortirati	a b o r t ǐː r a t i
abrazija	a b r ǎː z i j a
abrazivan	â b r a z iː ʋ a n
abrevijacija	a b r e ʋ i j ǎː t͡s i j a
acetat	a t͡s ě t aː t
acetilen	a t͡s e t ǐ l eː n
aceton	a t͡s ě t oː n
ada	ǎ d a
ada	ǎː d a
adaptacija	a d a p t ǎː t͡s i j a
adaptirati	a d a p t ǐː r a t i
adekvatan	â d e k ʋ aː t a n
adekvatno	â d e k ʋ aː t n o
adekvatnost	a d e k ʋ ǎː t n oː s t
adenski	ǎː d e n s k iː
adet	ǎː d e t
adherent	a d x ě r e n t
adicija	a d ǐː t͡s i j a
adijabatski	a d i j ǎ b a t s k iː
adio	a d î o
adio	ǎ d i o
adisabebski	a d i s ǎ b e b s k iː
adjektiv	â d j e k t iː ʋ
adjunkt	ǎ d j u n k t
adjustaža	a d j u s t ǎː ʒ a
adjustirati	a d j u s t ǐː r a t i
administracija	a d m i n i s t r ǎː t͡s i j a
administrativan	â d m i n i s t r a t iː ʋ a n
administrativka	a d m i n i s t r ǎ t iː ʋ k a
administrator	a d m i n ǐ s t r aː t o r
admiral	a d m ǐ r aː l
admiralitet	a d m i r a l ǐ t eː t
admitancija	a d m i t ǎ n t͡s i j a
adneks	ǎ d n e k s
adolescencija	a d o l e s t͡s ě n t͡s i j a
adolescentica	a d o l ě s t͡s e n t i t͡s a
adopcija	a d ǒ p t͡s i j a
adoptacija	a d o p t ǎː t͡s i j a
adoptirati	a d o p t ǐː r a t i
adoracija	a d o r ǎː t͡s i j a
adorati	a d ǒ r a t i
adorator	a d ǒ r aː t o r
adoratorica	a d ǒ r aː t o r i t͡s a
adorirati	a d o r ǐː r a t i
adrenalin	a d r e n ǎ l iː n
adrenalinski	a d r e n ǎ l iː n s k iː
adresa	a d r ě s a
adresant	a d r ě s a n t
adresar	a d r ě s aː r
adresat	a d r ě s aː t
adresirati	a d r e s ǐː r a t i
adsorpcija	a d s ǒ r p t͡s i j a
adsorpcijski	a d s ǒ r p t͡s iː j s k iː
adut	ǎ d uː t
advent	ǎ d ʋ e n t
adventist	a d ʋ ě n t i s t
adventistica	a d ʋ ě n t i s t i t͡s a
adventistički	a d ʋ e n t ǐ s t i t͡ʃ k i
adventistički	a d ʋ e n t ǐ s t i t͡ʃ k iː
adventistkinja	a d ʋ ě n t i s t k i ɲ a
adverb	ǎ d ʋ e r b
adverban	ǎ d ʋ e r b a n
adverbijalan	â d ʋ e r b i j aː l a n
advokat	a d ʋ ǒ k aː t
advokatski	a d ʋ ǒ k aː t s k i
adžuvan	a d͡ʒ ǔ ʋ aː n
aeroban	â e r oː b a n
aerobik	a e r ǒ b i k
aerobika	a e r ǒ b i k a
aerobiologija	a e r o b i o l ǒ ɡ i j a
aerobički	a e r ǒ b i t͡ʃ k iː
aerodinamika	a e r o d i n ǎ m i k a
aerodinamičan	a e r o d i n ǎ m i t͡ʃ a n
aerodinamički	a e r o d i n ǎ m i t͡ʃ k iː
aerodrom	a e r ǒ d r o m
aerodromski	a e r ǒ d r o m s k iː
aerografija	a e r o ɡ r ǎ f i j a
aerolit	a e r ǒ l iː t
aerologija	a e r o l ǒ ɡ i j a
aeromehanika	a e r o m e x ǎ n i k a
aeromehaničar	a e r o m e x ǎ n i t͡ʃ a r
aeroplanski	â e r o p l aː n s k i
aeroplanski	â e r o p l aː n s k iː
aerosol	â e r o s oː l
afekt	ǎ f e k t
afektacija	a f e k t ǎː t͡s i j a
afektirati	a f e k t ǐː r a t i
afel	ǎ f e l
afera	a f ěː r a
afereza	a f ě r e z a
aferim	a f ě r i m
afganistanski	a f ɡ a n ǐ s t aː n s k iː
afiks	ǎ f i k s
afinitet	a f i n ǐ t eː t
afirmacija	a f i r m ǎː t͡s i j a
afirmativan	â f i r m a t iː ʋ a n
afirmativno	â f i r m a t iː ʋ n o
afirmiran	a f ǐ r m iː r aː n
afirmirati	a f i r m ǐː r a t i
aforist	a f ǒ r i s t
aforistički	a f o r ǐ s t i t͡ʃ k iː
aforizam	a f o r ǐ z a m
afrikanizacija	a f r i k a n i z ǎː t͡s i j a
afrikanizam	a f r i k a n ǐ z a m
afrikanski	a f r ǐ k aː n s k iː
afrikata	a f r i k ǎː t a
afrički	ǎ f r i t͡ʃ k iː
afrodizijak	a f r o d ǐ z i j a k
aga	ǎ ɡ a
agami	a ɡ ǎː m i
agencija	a ɡ ě n t͡s i j a
agent	ǎ ɡ e n t
agilan	â ɡ iː l a n
agilno	â ɡ iː l n o
agilnost	a ɡ ǐː l n oː s t
agitacija	a ɡ i t ǎː t͡s i j a
agitator	a ɡ ǐ t aː t o r
agitirati	a ɡ i t ǐː r a t i
aglomeracija	a ɡ l o m e r ǎː t͡s i j a
aglomerat	a ɡ l o m ě r aː t
aglutinacija	a ɡ l u t i n ǎː t͡s i j a
aglutinativan	â ɡ l u t i n a t iː ʋ a n
agnostik	a ɡ n ǒ s t i k
agnostičar	a ɡ n ǒ s t i t͡ʃ aː r
agnostičarka	a ɡ n ǒ s t i t͡ʃ aː r k a
agnostički	a ɡ n ǒ s t i t͡ʃ k iː
agogičan	a ɡ ǒ ɡ i t͡ʃ a n
agonija	a ɡ ǒ n i j a
agrarni	ǎ ɡ r aː r n iː
agregatni	a ɡ r ě ɡ aː t n iː
agresija	a ɡ r ě s i j a
agresivan	â ɡ r e s iː ʋ a n
agresivno	â ɡ r e s iː ʋ n o
agresor	ǎ ɡ r e s o r
agresorski	ǎ ɡ r e s o r s k iː
agrobiologija	a ɡ r o b i o l ǒ ɡ i j a
agrologija	a ɡ r o l ǒ ɡ i j a
agronom	a ɡ r ǒ n o m
agronomija	a ɡ r o n ǒ m i j a
agronomski	a ɡ r ǒ n o m s k i
agronomski	a ɡ r ǒ n o m s k iː
agrostologija	a ɡ r o s t o l ǒ ɡ i j a
agrotehnički	a ɡ r o t ě x n i t ʃ k i
agrotehnički	a ɡ r o t ě x n i t ʃ k iː
agroturizam	a ɡ r o t u r ǐ z a m
ahat	â x aː t
ahbab	ǎ x b aː b
ahiret	ǎː x i r e t
ajam	ǎː j a m
ajatolah	a j a t ǒ l a x
ajde	ǎ j d e
ajkula	â j k u l a
ajme	ǎ j m e
ajmeh	ǎ j m e x
ajmo	ǎ j m o
ajvar	ǎ j ʋ aː r
akademija	a k a d ě m i j a
akademijski	a k a d ě m iː j s k iː
akademik	a k a d ě m i k
akademičarski	a k a d ě m i t ʃ aː r s k i
akademičarski	a k a d ě m i t ʃ aː r s k iː
akademski	a k ǎ d e m s k i
akademski	a k ǎ d e m s k iː
akadski	ǎ k aː d s k iː
akamoli	a k â m o l i
akceleracija	a k t͡s e l e r ǎː t͡s i j a
akcelerator	a k t͡s e l ě r aː t o r
akcenat	ǎ k t͡s e n a t
akcent	ǎ k t͡s e n t
akcentirati	a k t͡s e n t ǐː r a t i
akceptor	ǎ k t͡s e p t o r
akcija	ǎ k t͡s i j a
akcijski	ǎ k t͡s iː j s k iː
aklamacija	a k l a m ǎː t͡s i j a
aklimatizacija	a k l i m a t i z ǎː t͡s i j a
aklimatizacijski	a k l i m a t i z ǎː t͡s iː j s k iː
aklimatizacioni	â k l i m a t i z a t͡s i oː n iː
aklimatizirati	a k l i m a t i z ǐː r a t i
ako	â k o
akomodacija	a k o m o d ǎː t͡s i j a
akomodirati	a k o m o d ǐː r a t i
akontacija	a k o n t ǎː t͡s i j a
akontirati	a k o n t ǐː r a t i
akonto	a k ǒ n t o
akoprem	â k o p r e m
akord	ǎ k o r d
akov	ǎ k o ʋ
akra	â k r a
akreditiv	a k r e d ǐ t iː ʋ
akrobat	a k r ǒ b a t
akrobatika	a k r o b ǎ t i k a
akrobatski	a k r ǒ b a t s k i
akrobatski	a k r ǒ b a t s k iː
akronim	a k r ǒ n i m
akropola	a k r ǒ p o l a
akrostih	â k r o s t i x
aksiologija	a k s i o l ǒ ɡ i j a
aksiom	a k s ǐ oː m
akt	â k t
akter	ǎ k t eː r
aktinologija	a k t i n o l ǒ ɡ i j a
aktiva	a k t ǐː ʋ a
aktivacija	a k t i ʋ ǎː t͡s i j a
aktivan	â k t iː ʋ a n
aktivirati	a k t i ʋ ǐː r a t i
aktivist	a k t ǐ ʋ i s t
aktivistkinja	a k t ǐ ʋ i s t k i ɲ a
aktivizam	a k t i ʋ ǐ z a m
aktivizirati	a k t i ʋ i z ǐː r a t i
aktivno	â k t iː ʋ n o
aktivnost	a k t ǐː ʋ n oː s t
aktovka	â k t oː ʋ k a
aktualan	â k t u aː l a n
aktualizam	a k t u a l ǐ z a m
aktualizirati	a k t u a l i z ǐː r a t i
aktuelan	â k t u eː l a n
akulturacija	a k u l t u r ǎː t͡s i j a
akumulacija	a k u m u l ǎː t͡s i j a
akumulator	a k u m ǔ l aː t o r
akumulatorski	a k u m u l â t o r s k iː
akumulatorski	a k u m ǔ l aː t o r s k iː
akumulirati	a k u m u l ǐː r a t i
akupunktura	a k u p u n k t ǔː r a
akustika	a k ǔ s t i k a
akustičan	a k ǔ s t i t͡ʃ a n
akustički	a k ǔ s t i t͡ʃ k iː
akutan	â k uː t a n
akuzativ	â k u z a t iː ʋ
akvarel	a k ʋ ǎ r e l
akvarelistički	a k ʋ a r e l ǐ s t i t ʃ k i
akvarelistički	a k ʋ a r e l ǐ s t i t ʃ k iː
akvila	âː k ʋ i l a
akvizicija	a k ʋ i z ǐː t͡s i j a
akšam	ǎ k ʃ a m
ala	ǎ l a
ala	ǎː l a
alakati	a l ǎː k a t i
alarm	ǎ l a r m
alarmantan	a l a r m ǎ n t a n
alarmantno	a l a r m ǎ n t n o
alarmni	ǎ l a r m n iː
alat	ǎ l aː t
alatni	ǎ l aː t n iː
albanizacija	a l b a n i z ǎː t͡s i j a
albanizirati	a l b a n i z ǐː r a t i
albanolog	a l b a n ǒ l o ɡ
albanologija	a l b a n o l ǒ ɡ i j a
albanologijski	a l b a n o l ǒ ɡ iː j s k iː
albanološki	a l b a n ǒ l o ʃ k i
albanološki	a l b a n ǒ l o ʃ k iː
albanološkinja	a l b a n ǒ l o ʃ k i ɲ a
albanski	ǎ l b aː n s k i
albanski	ǎ l b aː n s k iː
albatros	ǎ l b a t r o s
albin	ǎ l b iː n
albinizam	a l b i n ǐ z a m
album	ǎ l b uː m
ale	â l e
alegorija	a l e ɡ ǒ r i j a
alegoričan	a l e ɡ ǒ r i t͡ʃ a n
alem	ǎ l e m
alem	ǎː l e m
alergičan	a l ě r ɡ i t͡ʃ a n
alergičar	a l ě r ɡ i t͡ʃ a r
alergično	a l ě r ɡ i t͡ʃ n o
alergičnost	a l ě r ɡ i t͡ʃ n oː s t
alergolog	a l e r ɡ ǒ l o ɡ
alergologija	a l e r ɡ o l ǒ ɡ i j a
alergologijski	a l e r ɡ o l ǒ ɡ iː j s k iː
alergološki	a l e r ɡ ǒ l o ʃ k i
alergološki	a l e r ɡ ǒ l o ʃ k iː
aleutski	a l ě u t s k iː
alfa	â l f a
alfabet	a l f ǎ b eː t
alfabetizam	a l f a b e t ǐ z a m
alfabetski	a l f ǎ b eː t s k iː
algebarski	ǎ l ɡ eː b a r s k i
algebarski	ǎ l ɡ eː b a r s k iː
algebra	ǎ l ɡ eː b r a
algologija	a l ɡ o l ǒ ɡ i j a
algonkijski	a l ɡ ǒ n k iː j s k iː
algoritam	a l ɡ o r ǐ t a m
alhamiado	a l x a m i ǎː d o
ali	â l i
aligator	a l ǐ ɡ aː t o r
alijansa	a l ǐ j a n s a
alijenacija	a l i j e n ǎː t͡s i j a
aliteracija	a l i t e r ǎː t͡s i j a
aljamiado	a ʎ a m i a d o
aljaski	ǎ ʎ a s k iː
aljkav	â ʎ k a ʋ
aljkavo	â ʎ k a ʋ o
aljkavost	â ʎ k a ʋ oː s t
alka	âː l k a
alkaloid	a l k a l ǒ iː d
alkohol	ǎ l k o x o l
alkoholizam	a l k o x o l ǐ z a m
alkoholiziran	a l k o x o l ǐ z iː r a n
alkoholizirati	a l k o x o l i z ǐː r a t i
alkoholičar	a l k o x ǒ l i t͡ʃ aː r
alkoholni	ǎ l k o x o l n iː
alkoholno	ǎ l k o x o l n oː
almaatski	a l m a â t s k iː
almanah	a l m ǎ n a x
alofon	â l o f oː n
alomorf	â l o m o r f
alotrop	a l ǒ t r o p
alpinist	a l p ǐ n i s t
alpinski	ǎ l p iː n s k iː
alpski	âː l p s k iː
alteracija	a l t e r ǎː t͡s i j a
alternacija	a l t e r n ǎː t͡s i j a
alternativac	a l t e r n a t ǐː ʋ a t͡s
alternativan	â l t e r n a t iː ʋ a n
altimetar	ǎ l t i m e t a r
altruistički	a l t r u ǐ s t i t ʃ k i
altruistički	a l t r u ǐ s t i t ʃ k iː
altruizam	a l t r u ǐ z a m
aludirati	a l u d ǐː r a t i
aluminij	a l ǔ m iː n i j
aluvijalan	â l u ʋ i j aː l a n
aluzija	ǎ l uː z i j a
alveola	a l ʋ e ǒː l a
alveolar	a l ʋ e ǒ l aː r
alveolaran	â l ʋ e o l aː r a n
alzaški	ǎ l z a ʃ k i
alzaški	ǎ l z a ʃ k iː
alžirski	ǎ l ʒ iː r s k iː
ama	â m a
amajlija	a m ǎ j l i j a
amalgam	a m ǎ l ɡ aː m
aman	ǎ m aː n
amandman	a m ǎ n d m aː n
amater	a m ǎ t eː r
amaterizam	a m a t e r ǐ z a m
amaterski	a m ǎ t eː r s k i
amaterski	a m ǎ t eː r s k iː
amaterstvo	a m a t ěː r s t ʋ o
amazonski	a m ǎ z oː n s k i
amazonski	a m ǎ z oː n s k iː
ambalaža	a m b a l ǎː ʒ a
ambasada	a m b a s ǎː d a
ambasador	a m b ǎ s aː d o r
ambasadorski	a m b ǎ s aː d o r s k i
ambasadorski	a m b ǎ s aː d o r s k iː
ambiciozan	â m b i t͡s i oː z a n
ambiciozno	â m b i t͡s i oː z n o
ambigvitet	a m b i ɡ ʋ ǐ t eː t
ambigvitetan	â m b i ɡ ʋ i t eː t a n
ambijent	a m b ǐ j e n t
ambijentalan	â m b i j e n t aː l a n
ambis	ǎ m b i s
ambivalencija	a m b i ʋ a l ě n t͡s i j a
ambivalentan	a m b i ʋ ǎ l e n t a n
ambivalentnost	a m b i ʋ ǎ l e n t n oː s t
ambrela	a m b r ěː l a
ambrozija	ǎ m b r oː z i j a
ambulantni	a m b ǔ l a n t n iː
ambulantski	a m b ǔ l a n t s k iː
ameba	a m ěː b a
amebni	ǎ m eː b n iː
amelioracija	a m e l i o r ǎː t͡s i j a
amerikanizam	a m e r i k a n ǐ z a m
amerikanizirati	a m e r i k a n i z ǐː r a t i
američki	a m ě r i t ʃ k i
američki	a m ě r i t ʃ k iː
ametice	ǎ m e t i t͡s e
ametist	a m ě t i s t
amfibija	ǎ m f iː b i j a
amfiteatar	a m f i t ě aː t a r
amfiteatralan	a m f i t ě a t r aː l a n
amfora	ǎ m f o r a
amharski	ǎ m x a r s k iː
amidža	ǎ m i d͡ʒ a
aminokiselina	a m i n o k i s e l ǐ n a
amnestirati	a m n e s t ǐː r a t i
amnezija	ǎ m n eː z i j a
amo	âː m o
amoder	âː m o d e r
amoralan	â m o r aː l a n
amoralnost	a m o r ǎː l n oː s t
amorfan	ǎ m o r f a n
amorfno	ǎ m o r f n o
amortizacija	a m o r t i z ǎː t͡s i j a
amortizacijski	a m o r t i z ǎː t͡s iː j s k iː
ampak	a m p a k
amplifikacija	a m p l i f i k ǎː t͡s i j a
amplituda	a m p l i t ǔː d a
amputacija	a m p u t ǎː t͡s i j a
amputirati	a m p u t ǐː r a t i
amsterdamski	ǎ m s t e r d a m s k iː
amulet	a m ǔ l e t
anabaza	a n a b ǎː z a
anabolik	a n a b ǒ l i k
anabolizam	a n a b o l ǐ z a m
anadiploza	a n a d i p l ǒː z a
anaeroban	ǎ n a e r o b a n
anagram	a n ǎ ɡ r a m
anahronizam	a n a x r o n ǐ z a m
anakronističan	a n a k r o n ǐ s t i t͡ʃ a n
anakronizam	a n a k r o n ǐ z a m
anakroničan	a n a k r ǒ n i t͡ʃ a n
analeptik	a n a l ě p t i k
analfabet	a n a l f ǎ b eː t
analfabetizam	a n a l f a b e t ǐ z a m
analfabetski	a n a l f ǎ b e t s k i
analfabetski	a n a l f ǎ b e t s k iː
analgetički	a n a l ɡ ě t i t͡ʃ k i
analgetički	a n a l ɡ ě t i t͡ʃ k iː
analgezija	a n ǎ l ɡ eː z i j a
anali	a n ǎː l i
analitičan	a n a l ǐ t i t͡ʃ a n
analitičar	a n a l ǐ t i t͡ʃ aː r
analiza	a n a l ǐː z a
analizator	a n a l ǐ z aː t o r
analizirati	a n a l i z ǐː r a t i
analni	ǎ n aː l n iː
analogan	â n a l o ɡ a n
analogija	a n a l ǒ ɡ i j a
analogijski	a n a l ǒ ɡ iː j s k iː
analogno	â n a l o ɡ n o
analoški	a n ǎ l o ʃ k i
analoški	a n ǎ l o ʃ k iː
anamneza	a n a m n ěː z a
ananas	â n a n a s
anarhija	a n ǎ r x i j a
anarhist	a n ǎ r x i s t
anarhistički	a n a r x ǐ s t i t ʃ k i
anarhistički	a n a r x ǐ s t i t ʃ k iː
anarhizam	a n a r x ǐ z a m
anarhičan	a n ǎ r x i t͡ʃ a n
anarhičnost	a n ǎ r x i t͡ʃ n oː s t
anason	a n ǎ s oː n
anastrofa	a n a s t r ǒː f a
anatemizirati	a n a t e m i z ǐː r a t i
anatom	a n ǎ t oː m
anatomija	a n a t ǒ m i j a
anda	a n d aː
andaluski	a n d ǎ l u s k iː
andaluzijski	a n d ǎ l u z i j s k iː
andorski	ǎ n d o r s k iː
andrologija	a n d r o l ǒ ɡ i j a
anduz	ǎ n d u z
andžar	ǎ n d͡ʒ aː r
anegdota	a n e ɡ d ǒ t a
anegdotalan	a n e ɡ d ǒ t aː l a n
anegdotalnost	a n e ɡ d o t ǎː l n oː s t
anegdotičan	a n e ɡ d ǒ t i t͡ʃ a n
anegdotičnost	a n e ɡ d ǒ t i t͡ʃ n oː s t
anegdotski	a n ě ɡ d o t s k i
anegdotski	a n ě ɡ d o t s k iː
aneksija	a n ě k s i j a
aneksijski	a n ě k s iː j s k i
aneksijski	a n ě k s iː j s k iː
aneksioni	â n e k s i oː n iː
aneksionist	a n e k s i ǒ n i s t
aneksionistički	a n e k s i o n ǐ s t i t͡ʃ k i
aneksionistički	a n e k s i o n ǐ s t i t͡ʃ k iː
anektirati	a n e k t ǐː r a t i
anemičan	a n ě m i t͡ʃ a n
aneroid	a n e r ǒ iː d
anestetik	a n e s t ě t i k
anestezija	a n e s t ě z i j a
angažiran	a n ɡ ǎ ʒ iː r a n
angažirati	a n ɡ a ʒ ǐː r a t i
angelologija	a n ɡ e l o l ǒ ɡ i j a
angiologija	a n ɡ i o l ǒ ɡ i j a
anglicizam	a n ɡ l i t͡s ǐ z a m
anglikan	a n ɡ l ǐ k aː n
anglikanac	a n ɡ l i k ǎː n a t͡s
anglikanski	a n ɡ l ǐ k aː n s k iː
anglist	ǎ n ɡ l i s t
anglistika	a n ɡ l ǐ s t i k a
anglistički	a n ɡ l ǐ s t i t͡ʃ k i
anglistički	a n ɡ l ǐ s t i t͡ʃ k iː
anglizam	a n ɡ l ǐ z a m
angloamerički	a n ɡ l o a m ě r i t͡ʃ k iː
anglofil	a n ɡ l ǒ f iː l
anglofob	a n ɡ l ǒ f oː b
anglosaksonski	a n ɡ l o s ǎ k s oː n s k iː
anglosaski	a n ɡ l ǒ s a s k iː
angolski	ǎ n ɡ o l s k iː
anihilacija	a n i x i l ǎː t͡s i j a
anilin	a n ǐ l iː n
anilinski	a n ǐ l iː n s k iː
animacija	a n i m ǎː t͡s i j a
animalan	â n i m aː l a n
animator	a n ǐ m aː t o r
animirati	a n i m ǐː r a t i
animizam	a n i m ǐ z a m
animozitet	a n i m o z ǐ t eː t
anis	ǎ n i s
anketa	a n k ě t a
anketar	a n k ě t aː r
anketirati	a n k e t ǐː r a t i
anketni	ǎ n k e t n iː
anksioznost	a n k s i ǒː z n oː s t
anoda	a n ǒː d a
anodni	ǎ n oː d n iː
anomalija	a n o m ǎ l i j a
anoniman	â n o n iː m a n
anonimno	â n o n iː m n o
anonimnost	a n o n ǐː m n oː s t
anorganski	â n o r ɡ aː n s k iː
anotirati	a n o t ǐː r a t i
antagonizam	a n t a ɡ o n ǐ z a m
antialkoholizam	a n t i a l k o x o l ǐ z a m
antibiotik	a n t i b i ǒ t i k
anticiklona	a n t i t͡s i k l ǒː n a
anticipacija	a n t i t͡s i p ǎː t͡s i j a
anticipirati	a n t i t͡s i p ǐː r a t i
antidržavni	a n t i d ř ʒ aː ʋ n iː
antifašist	a n t i f ǎ ʃ i s t
antifašistički	a n t i f a ʃ ǐ s t i t ʃ k i
antifašistički	a n t i f a ʃ ǐ s t i t ʃ k iː
antifašistkinja	a n t i f ǎ ʃ i s t k i ɲ a
antifašizam	a n t i f a ʃ ǐ z a m
antifeminizam	a n t i f e m i n ǐ z a m
antiheroj	a n t i x ě r oː j
antiimperijalizam	a n t i i m p e r i j a l ǐ z a m
antik	ǎ n t i k
antika	ǎ n t i k a
antiklinala	a n t i k l i n ǎː l a
antikni	ǎ n t i k n iː
antikomunist	a n t i k o m ǔ n i s t
antikomunistički	a n t i k o m u n ǐ s t i t͡ʃ k i
antikomunistički	a n t i k o m u n ǐ s t i t͡ʃ k iː
antikomunizam	a n t i k o m u n ǐ z a m
antikvar	a n t ǐ k ʋ aː r
antikvaran	â n t i k ʋ aː r a n
antilogaritam	a n t i l o ɡ a r ǐ t a m
antimaterija	a n t i m ǎ t eː r i j a
antimetabola	a n t i m e t ǎ b o l a
antimon	ǎ n t i m o n
antipatičan	a n t i p ǎ t i t͡ʃ a n
antipatično	a n t i p ǎ t i t͡ʃ n o
antipod	a n t ǐ p oː d
antireligiozan	a n t i r ě l i ɡ i oː z a n
antisemitizam	a n t i s e m i t ǐ z a m
antisemitski	a n t i s ě m iː t s k i
antisemitski	a n t i s ě m iː t s k iː
antiseptički	a n t i s ě p t i t͡ʃ k i
antiseptički	a n t i s ě p t i t͡ʃ k iː
antisocijalan	a n t i s ǒ t͡s i j aː l a n
antisocijalistički	a n t i s o t͡s i j a l ǐ s t i t͡ʃ k i
antisocijalistički	a n t i s o t͡s i j a l ǐ s t i t͡ʃ k iː
antisocijalizam	a n t i s o t͡s i j a l ǐ z a m
antitelo	ǎ n t i t eː l o
antiteza	a n t ǐ t e z a
antitijelo	ǎ n t i t j eː l o
antički	ǎ n t i t͡ʃ k iː
antologija	a n t o l ǒ ɡ i j a
antonim	a n t ǒ n iː m
antonimija	a n t o n ǐ m i j a
antonomazija	a n t o n o m ǎː z i j a
antraks	ǎ n t r a k s
antropoidan	â n t r o p o iː d a n
antropolog	a n t r o p ǒ l o ɡ
antropologija	a n t r o p o l ǒ ɡ i j a
antropološki	a n t r o p ǒ l o ʃ k i
antropološki	a n t r o p ǒ l o ʃ k iː
antropomorfan	a n t r o p o m ǒ r f a n
antropomorfizam	a n t r o p o m o r f ǐ z a m
anulirati	a n u l ǐː r a t i
anđelak	a n d͡ʑ ěː l a k
anđelić	âː n d͡ʑ e l i t͡ɕ
anđelski	âː n d͡ʑ e l s k iː
anđelčić	a n d͡ʑ ě l t͡ʃ i t͡ɕ
anđeo	âː n d͡ʑ e o
anđeoski	a n d ʑ e ǒ s k i
anđeoski	a n d ʑ e ǒ s k iː
aorist	â o r i s t
aoristni	â o r i s t n iː
aorta	ǎ oː r t a
apanaža	a p a n ǎː ʒ a
aparatčik	a p a r ǎ t t͡ʃ i k
apartan	ǎ p a r t a n
aparthejd	â p a r t x e j d
apatija	a p ǎ t i j a
apatičan	a p ǎ t i t͡ʃ a n
apatično	a p ǎ t i t͡ʃ n o
apatrid	a p ǎ t r iː d
apel	ǎ p e l
apelirati	a p e l ǐː r a t i
aperitiv	a p e r ǐ t iː ʋ
apetit	a p ě t iː t
aplaudirati	a p l a u d ǐː r a t i
aplauz	ǎ p l a u z
aplicirati	a p l i t͡s ǐː r a t i
aplikacija	a p l i k ǎː t͡s i j a
apodiktički	a p o d ǐ k t i t͡ʃ k i
apoen	a p ǒ eː n
apokalipsa	a p o k a l ǐ p s a
apokaliptičan	a p o k a l ǐ p t i t͡ʃ a n
apokrifan	a p ǒ k r i f a n
apolitičan	a p o l ǐ t i t͡ʃ a n
apolitički	a p o l ǐ t i t ʃ k i
apolitički	a p o l ǐ t i t ʃ k iː
apologet	a p o l ǒ ɡ eː t
apologetika	a p o l o ɡ ě t i k a
apologija	a p o l ǒ ɡ i j a
apostol	ǎ p o s t o l
apostrof	ǎ p o s t r o f
apostrofa	a p ǒ s t r o f a
apostrofirati	a p o s t r o f ǐː r a t i
apoteoza	a p o t e ǒː z a
apozicija	a p o z ǐː t͡s i j a
aprecijacija	a p r e t͡s i j ǎː t͡s i j a
april	ǎ p r iː l
aprilski	ǎ p r iː l s k iː
aprioran	â p r i oː r a n
