'tamo'	t̪ a m o
Balbino	b a l β̞ i n o
Balboa	b a l β̞ o a
Balbuena	b a l β̞ w e n a
Balcanes	b a l k a n e s
Baldenegro	b a l̪ d̪ e n e ɣ̞ ɾ o
Balderama	b a l̪ d̪ e ɾ a m a
Balderas	b a l̪ d̪ e ɾ a s
Balderrama	b a l̪ d̪ e r a m a
Baldomero	b a l̪ d̪ o m e ɾ o
Baldor	b a l̪ d̪ o ɾ
Baldovinos	b a l̪ d̪ o β̞ i n o s
Balduino	b a l̪ d̪ w i n o
Baleares	b a l e a ɾ e s
Bali	b a l i
Ballester	b a ʝ e s t̪ e ɾ
Ballesteros	b a ʝ e s t̪ e ɾ o s
Ballivián	b a ʝ i β̞ j ã n
Balmaceda	b a l m a s e ð̞ a
Balmaseda	b a l m a s e ð̞ a
Balmes	b a l m e s
Balta	b a l̪ t̪ a
Baltazar	b a l̪ t̪ a s a ɾ
Baltodano	b a l̪ t̪ o ð̞ a n o
Balíuag	b a l i w a ɣ̞
Banderas	b ã n̪ d̪ e ɾ a s
Banfield	b ã ɱ f i l̪ d̪
Bangkok	b ã ŋ k o k
Bangladesh	b ã ŋ ɡ l a ð̞ e ʃ
Bangladés	b ã ŋ ɡ l a ð̞ e s
Bangui	b ã ŋ ɡ i
Baquedano	b a k e ð̞ a n o
Baquílides	b a k i l i ð̞ e s
Baracoa	b a ɾ a k o a
Baraguá	b a ɾ a ɣ̞ w a
Barahona	b a ɾ a o n a
Barajas	b a ɾ a x a s
Baranoa	b a ɾ a n o a
Baraya	b a ɾ a ʝ a
Barbados	b a ɾ β̞ a ð̞ o s
Barbanegra	b a ɾ β̞ a n e ɣ̞ ɾ a
Barbarán	b a ɾ β̞ a ɾ ã n
Barbosa	b a ɾ β̞ o s a
Barbuda	b a ɾ β̞ u ð̞ a
Barcelona	b a ɾ s e l o n a
Barcino	b a ɾ s i n o
Barco	b a ɾ k o
Bari	b a ɾ i
Bariloche	b a ɾ i l o t͡ʃ e
Barinas	b a ɾ i n a s
Barna	b a ɾ n a
Barnaúl	b a ɾ n a u l
Barquilla	b a ɾ k i ʝ a
Barrabás	b a r a β̞ a s
Barracas	b a r a k a s
Barrameda	b a r a m e ð̞ a
Barranca	b a r ã ŋ k a
Barraza	b a r a s a
Barreda	b a r e ð̞ a
Barreiro	b a r e i̯ ɾ o
Barrera	b a r e ɾ a
Barrientos	b a r j ẽ n̪ t̪ o s
Barrionuevo	b a r j o n w e β̞ o
Barrios	b a r j o s
Barroso	b a r o s o
Barrundia	b a r ũ n̪ d̪ j a
Bartolo	b a ɾ t̪ o l o
Bartolomé	b a ɾ t̪ o l o m e
Bartolón	b a ɾ t̪ o l õ n
Baruc	b a ɾ u k
Barásoain	b a ɾ a s o ã ĩ n
Barça	b a ɾ s a
Baréin	b a ɾ ẽ ĩ n
Basa	b a s a
Basadre	b a s a ð̞ ɾ e
Basaldúa	b a s a l̪ d̪ u a
Basallote	b a s a ʝ o t̪ e
Basco	b a s k o
Basilea	b a s i l e a
Basilio	b a s i l j o
Baskortostán	b a s k o ɾ t̪ o s t̪ ã n
Bastardo	b a s t̪ a ɾ ð̞ o
Bastilla	b a s t̪ i ʝ a
Bataglia	b a t̪ a ɣ̞ l j a
Batangas	b a t̪ ã ŋ ɡ a s
Batavia	b a t̪ a β̞ j a
Bataán	b a t̪ a ã n
Bathoniense	b a t̪ o n j ẽ n s e
Batista	b a t̪ i s t̪ a
Batlle	b a ʝ e
Batman	b a ð̞ m ã n
Batres	b a t̪ ɾ e s
Baudilio	b a u̯ ð̞ i l j o
Bauta	b a u̯ t̪ a
Bautista	b a u̯ t̪ i s t̪ a
Baviera	b a β̞ j e ɾ a
Bayamo	b a ʝ a m o
Bayamón	b a ʝ a m õ n
Bayona	b a ʝ o n a
Bayón	b a ʝ õ n
Baz	b a s
Bazalar	b a s a l a ɾ
Bazaldúa	b a s a l̪ d̪ u a
Bazán	b a s ã n
Bañolas	b a ɲ o l a s
Bearne	b e a ɾ n e
Beasáin	b e a s ã ĩ n
Beatles	b i t̪ e l s
Beato	b e a t̪ o
Beatriz	b e a t̪ ɾ i s
Becerra	b e s e r a
Bechuanalandia	b e t͡ʃ w a n a l ã n̪ d̪ j a
Bedoy	b e ð̞ o i̯
Bedoya	b e ð̞ o ʝ a
Begoña	b e ɣ̞ o ɲ a
Beijing	b e i̯ ʝ ĩ n
Beirut	b e i̯ ɾ u t̪
Belarmino	b e l a ɾ m i n o
Belarra	b e l a r a
Belarús	b e l a ɾ u s
Belasco	b e l a s k o
Belau	b e l a u̯
Belcebú	b e l s e β̞ u
Belfast	b e l f a s t̪
Belgrado	b e l ɣ̞ ɾ a ð̞ o
Belgrano	b e l ɣ̞ ɾ a n o
Belice	b e l i s e
Belisario	b e l i s a ɾ j o
Bellavista	b e ʝ a β̞ i s t̪ a
Belmonte	b e l m õ n̪ t̪ e
Belmopán	b e l m o p ã n
Belotenia	b e l o t̪ e n j a
Beltrán	b e l̪ t̪ ɾ ã n
Belén	b e l ẽ n
Benalmádena	b e n a l m a ð̞ e n a
Benarés	b e n a ɾ e s
Benasque	b e n a s k e
Benavides	b e n a β̞ i ð̞ e s
Benedicto	b e n e ð̞ i ɣ̞ t̪ o
Beneharo	b e n e a ɾ o
Benevento	b e n e β̞ ẽ n̪ t̪ o
Bengala	b ẽ ŋ ɡ a l a
Bengasi	b ẽ ŋ ɡ a s i
Bengazi	b ẽ ŋ ɡ a s i
Bengoechea	b ẽ ŋ ɡ o e t͡ʃ e a
Benguet	b ẽ ŋ ɡ e t̪
Beni	b e n i
Benicio	b e n i s j o
Benidorm	b e n i ð̞ o ɾ m
Benigno	b e n i ɣ̞ n o
Benita	b e n i t̪ a
Benito	b e n i t̪ o
Benjamín	b ẽ ŋ x a m ĩ n
Bentaberri	b ẽ n̪ t̪ a β̞ e r i
Benín	b e n ĩ n
Benítez	b e n i t̪ e s
Beocia	b e o s j a
Berbeo	b e ɾ β̞ e o
Berbería	b e ɾ β̞ e ɾ i a
Bergoglio	b e ɾ ɣ̞ o ɣ̞ l j o
Berito	b e ɾ i t̪ o
Berlanga	b e ɾ l ã ŋ ɡ a
Berlín	b e ɾ l ĩ n
Bermejo	b e ɾ m e x o
Bermeo	b e ɾ m e o
Bermudas	b e ɾ m u ð̞ a s
Bermudo	b e ɾ m u ð̞ o
Bermúdez	b e ɾ m u ð̞ e s
Berna	b e ɾ n a
Bernabé	b e ɾ n a β̞ e
Bernabéu	b e ɾ n a β̞ e u̯
Bernal	b e ɾ n a l
Bernarda	b e ɾ n a ɾ ð̞ a
Bernardino	b e ɾ n a ɾ ð̞ i n o
Bernardo	b e ɾ n a ɾ ð̞ o
Bernedo	b e ɾ n e ð̞ o
Bernárdez	b e ɾ n a ɾ ð̞ e s
Beroso	b e ɾ o s o
Berrocal	b e r o k a l
Berroya	b e r o ʝ a
Bersabé	b e ɾ s a β̞ e
Berta	b e ɾ t̪ a
Bertrán	b e ɾ t̪ ɾ ã n
Berástegui	b e ɾ a s t̪ e ɣ̞ i
Besada	b e s a ð̞ a
Besarabia	b e s a ɾ a β̞ j a
Besós	b e s o s
Betancourt	b e t̪ ã ŋ k u ɾ
Betancourt	b e t̪ ã ŋ k u ɾ ð̞
Betania	b e t̪ a n j a
Betelgeuse	b e t̪ e l x e u̯ s e
Betelgeuse	b e t̪ e l ɟ͡ʝ u s
Beteta	b e t̪ e t̪ a
Bethancourt	b e t̪ ã ŋ k u ɾ
Beti	b e t̪ i
Beto	b e t̪ o
Betsabé	b e t̪ s a β̞ e
Betsy	b e t̪ s i
Bianca	b j ã ŋ k a
Bianchi	b j ã ŋ k i
Bibiana	b i β̞ j a n a
Biblia	b i β̞ l j a
Biblos	b i β̞ l o s
Biella	b j e l a
Bielorrusia	b j e l o r u s j a
Bihar	b i x a ɾ
Bilbao	b i l β̞ a o
Binondo	b i n õ n̪ d̪ o
Birmania	b i ɾ m a n j a
Birrueta	b i r w e t̪ a
Bisayas	b i s a ʝ a s
Biskek	b i s k e k
Bissau	b i s a u̯
Bisáu	b i s a u̯
Bitinia	b i t̪ i n j a
Bitola	b i t̪ o l a
Bizancio	b i s ã n s j o
Blanca	b l ã ŋ k a
Blancanieves	b l ã ŋ k a n j e β̞ e s
Blanchard	b l ã nʲ t͡ʃ a ɾ
Blanchard	b l ã nʲ t͡ʃ a ɾ ð̞
Blanco	b l ã ŋ k o
Blas	b l a s
Blasco	b l a s k o
Blázquez	b l a s k e s
Boaco	b o a k o
Boavita	b o a β̞ i t̪ a
Bob	b o β̞
Bobadilla	b o β̞ a ð̞ i ʝ a
Bocaue	b o k a w e
Boccadoro	b o k a ð̞ o ɾ o
Bocho	b o t͡ʃ o
Boecio	b o e s j o
Bogotazo	b o ɣ̞ o t̪ a s o
Bogotá	b o ɣ̞ o t̪ a
Bohemia	b o e m j a
Bohol	b o o l
Bojayá	b o x a ʝ a
Bolaños	b o l a ɲ o s
Bolduque	b o l̪ d̪ u k e
Bolivia	b o l i β̞ j a
Bolonia	b o l o n j a
Bolsón	b o l s õ n
Boluarte	b o l w a ɾ t̪ e
Bolzano	b o l s a n o
Bolívar	b o l i β̞ a ɾ
Bombay	b õ m b a i̯
Bonachera	b o n a t͡ʃ e ɾ a
Bondi	b õ n̪ d̪ i
Bongará	b õ ŋ ɡ a ɾ a
Bonifacio	b o n i f a s j o
Bonifaz	b o n i f a s
Bonilla	b o n i ʝ a
Bonita	b o n i t̪ a
Booz	b o o s
Boquerón	b o k e ɾ õ n
Boquete	b o k e t̪ e
Borbón	b o ɾ β̞ õ n
Borduria	b o ɾ ð̞ u ɾ j a
Borges	b o ɾ x e s
Borgoña	b o ɾ ɣ̞ o ɲ a
Boric	b o ɾ i k
Boric	b o ɾ i t͡ʃ
Borinquen	b o ɾ ĩ ŋ k ẽ n
Borja	b o ɾ x a
Borneo	b o ɾ n e o
Borongan	b o ɾ õ ŋ ɡ ã n
Borrillo	b o r i ʝ o
Bosconia	b o s k o n j a
Bosnia	b o z n j a
Bosque	b o s k e
Boston	b o s t̪ õ n
Botello	b o t̪ e ʝ o
Botero	b o t̪ e ɾ o
Botsuana	b o t̪ s w a n a
Botswana	b o t̪ s w a n a
Boyacá	b o ʝ a k a
Brabante	b ɾ a β̞ ã n̪ t̪ e
Bracamonte	b ɾ a k a m õ n̪ t̪ e
Braganza	b ɾ a ɣ̞ ã n s a
Brandeburgo	b ɾ ã n̪ d̪ e β̞ u ɾ ɣ̞ o
Brasca	b ɾ a s k a
Brasil	b ɾ a s i l
Brasilia	b ɾ a s i l j a
Bratislava	b ɾ a t̪ i s l a β̞ a
Braulio	b ɾ a u̯ l j o
Bravo	b ɾ a β̞ o
Brayan	b ɾ a ʝ ã n
Brazzaville	b ɾ a s a β̞ i l
Brema	b ɾ e m a
Brenda	b ɾ ẽ n̪ d̪ a
Brenes	b ɾ e n e s
Breslavia	b ɾ e s l a β̞ j a
Bretaña	b ɾ e t̪ a ɲ a
Brexit	b ɾ e ɣ̞ s i t̪
Brian	b ɾ a j ã n
Briansk	b ɾ j ã n s k
Briceño	b ɾ i s e ɲ o
Brics	b ɾ i ɣ̞ s
Bridgetown	b ɾ i t͡ʃ t̪ ã ũ n
Briones	b ɾ j o n e s
Brioso	b ɾ j o s o
Brizuela	b ɾ i s w e l a
Broussard	b ɾ u s a ɾ
Broussard	b ɾ u s a ɾ ð̞
Brujas	b ɾ u x a s
Brujilda	b ɾ u x i l̪ d̪ a
Brunete	b ɾ u n e t̪ e
Brunilda	b ɾ u n i l̪ d̪ a
Bruno	b ɾ u n o
Brunéi	b ɾ u n e i̯
Bruselas	b ɾ u s e l a s
Bruto	b ɾ u t̪ o
Brígido	b ɾ i x i ð̞ o
Bucalemo	b u k a l e m o
Bucalemu	b u k a l e m u
Bucaramanga	b u k a ɾ a m ã ŋ ɡ a
Bucarest	b u k a ɾ e s t̪
Bucéfalo	b u s e f a l o
Buda	b u ð̞ a
Budapest	b u ð̞ a p e s t̪
Buelna	b w e l n a
Buenaventura	b w e n a β̞ ẽ n̪ t̪ u ɾ a
Buendía	b w ẽ n̪ d̪ i a
Bueno	b w e n o
Buenrostro	b w ẽ n r o s t̪ ɾ o
Buffalo	b u f a l o
Buffyverso	b a f i β̞ e ɾ s o
Bujará	b u x a ɾ a
Bukele	b u k e l e
Bulacán	b u l a k ã n
Bulgaria	b u l ɣ̞ a ɾ j a
Bulnes	b u l n e s
Burdeos	b u ɾ ð̞ e o s
Burgos	b u ɾ ɣ̞ o s
Burgundia	b u ɾ ɣ̞ ũ n̪ d̪ j a
Buriatia	b u ɾ j a t̪ j a
Buril	b u ɾ i l
Burundi	b u ɾ ũ n̪ d̪ i
Bustamante	b u s t̪ a m ã n̪ t̪ e
Bustamente	b u s t̪ a m ẽ n̪ t̪ e
Bustos	b u s t̪ o s
Bután	b u t̪ ã n
Buyumbura	b u ʝ ũ m b u ɾ a
Buñuel	b u ɲ w e l
Báez	b a e s
Báltico	b a l̪ t̪ i k o
Bámako	b a m a k o
Bárbara	b a ɾ β̞ a ɾ a
Bárcenas	b a ɾ s e n a s
Báñez	b a ɲ e s
Béjar	b e x a ɾ
Bélgica	b e l x i k a
Bélgorod	b e l ɣ̞ o ɾ o ð̞
Bélice	b e l i s e
Bérgamo	b e ɾ ɣ̞ a m o
Bósforo	b o s f o ɾ o
CD	s e ð̞ e
CD	s i ð̞ i
CEANA	s e a n a
CECOT	s e k o t̪
CELS	s e l s
CEO	s e o
CEPAL	s e p a l
CESFAM	s e s f ã m
CGRI	s e x e ɾ e i
CI	s i
CIA	s i a
CIMMYT	s i m i t̪
CODELCO	k o ð̞ e l k o
CONAE	k o n a e
CONAF	k o n a f
CONICET	k o n i s e t̪
CONICYT	k o n i s i t̪
Caaguazú	k a a ɣ̞ w a s u
Caazapá	k a a s a p a
Caballito	k a β̞ a ʝ i t̪ o
Cabanatúan	k a β̞ a n a t̪ u ã n
Cabanilla	k a β̞ a n i ʝ a
Cabanillas	k a β̞ a n i ʝ a s
Cabañas	k a β̞ a ɲ a s
Cabañeros	k a β̞ a ɲ e ɾ o s
Cabello	k a β̞ e ʝ o
Cabeza	k a β̞ e s a
Cabezamesada	k a β̞ e s a m e s a ð̞ a
Cabiao	k a β̞ j a o
Caborca	k a β̞ o ɾ k a
Cabrejas	k a β̞ ɾ e x a s
Cabrera	k a β̞ ɾ e ɾ a
Cabriales	k a β̞ ɾ j a l e s
Cabúyao	k a β̞ u ʝ a o
Cacao	k a k a o
Cacaopera	k a k a o p e ɾ a
Cacciatore	k a t͡ʃ a t̪ o ɾ e
Cachapoal	k a t͡ʃ a p o a l
Cachemira	k a t͡ʃ e m i ɾ a
Cacho	k a t͡ʃ o
Cafarnaúm	k a f a ɾ n a ũ m
Cagayán	k a ɣ̞ a ʝ ã n
Cagliari	k a ɣ̞ l j a ɾ i
Caguas	k a ɣ̞ w a s
Cahuita	k a w i t̪ a
Caifás	k a i̯ f a s
Caimanera	k a i̯ m a n e ɾ a
Caimito	k a i̯ m i t̪ o
Cairo	k a i̯ ɾ o
Cajamarca	k a x a m a ɾ k a
Calabaza	k a l a β̞ a s a
Calabria	k a l a β̞ ɾ j a
Calama	k a l a m a
Calamar	k a l a m a ɾ
Calambá	k a l ã m b a
Calamuchita	k a l a m u t͡ʃ i t̪ a
Calapán	k a l a p ã n
Calasiao	k a l a s j a o
Calatayud	k a l a t̪ a ʝ u ð̞
Calbuco	k a l β̞ u k o
Calcedonia	k a l s e ð̞ o n j a
Calcedón	k a l s e ð̞ õ n
Calcuta	k a l k u t̪ a
Caldas	k a l̪ d̪ a s
Caldea	k a l̪ d̪ e a
Caldera	k a l̪ d̪ e ɾ a
Calderón	k a l̪ d̪ e ɾ õ n
Caldevilla	k a l̪ d̪ e β̞ i ʝ a
Caledonia	k a l e ð̞ o n j a
Calgary	k a l ɣ̞ a ɾ i
Cali	k a l i
California	k a l i f o ɾ n j a
Calimete	k a l i m e t̪ e
Calipso	k a l i β̞ s o
Calisto	k a l i s t̪ o
Calixto	k a l i s t̪ o
Calixtro	k a l i s t̪ ɾ o
Callao	k a ʝ a o
Calle	k a ʝ e
Calleja	k a ʝ e x a
Callejas	k a ʝ e x a s
Caluco	k a l u k o
Calvados	k a l β̞ a ð̞ o s
Calvo	k a l β̞ o
Calígula	k a l i ɣ̞ u l a
Calímaco	k a l i m a k o
Calíope	k a l i o p e
Cam	k ã m
Camacho	k a m a t͡ʃ o
Camagüey	k a m a ɣ̞ w e i̯
Camaná	k a m a n a
Camarena	k a m a ɾ e n a
Camargo	k a m a ɾ ɣ̞ o
Camavilca	k a m a β̞ i l k a
Camberra	k ã m b e r a
Cambises	k ã m b i s e s
Camboya	k ã m b o ʝ a
Cambridge	k ã m b ɾ i t͡ʃ
Cambridge	k ẽ m b ɾ i t͡ʃ
Camelot	k a m e l o t̪
Camerún	k a m e ɾ ũ n
Camila	k a m i l a
Camilo	k a m i l o
Campania	k ã m p a n j a
Campanilla	k ã m p a n i ʝ a
Campeche	k ã m p e t͡ʃ e
Campezo	k ã m p e s o
Campo	k ã m p o
Campos	k ã m p o s
Camposano	k ã m p o s a n o
Campoy	k ã m p o i̯
Camucha	k a m u t͡ʃ a
Canadá	k a n a ð̞ a
Canales	k a n a l e s
Cananea	k a n a n e a
Canarias	k a n a ɾ j a s
Canas	k a n a s
Canberra	k ã m b e r a
Cancio	k ã n s j o
Cancún	k ã ŋ k ũ n
Candamo	k ã n̪ d̪ a m o
Candela	k ã n̪ d̪ e l a
Candelaria	k ã n̪ d̪ e l a ɾ j a
Candida	k ã n̪ d̪ i ð̞ a
Canela	k a n e l a
Canelones	k a n e l o n e s
Canelón	k a n e l õ n
Cangallo	k ã ŋ ɡ a ʝ o
Caniedo	k a n j e ð̞ o
Canindeyú	k a n ĩ n̪ d̪ e ʝ u
Cannas	k a n a s
Cano	k a n o
Canseco	k ã n s e k o
Cantabria	k ã n̪ t̪ a β̞ ɾ j a
Cantagallo	k ã n̪ t̪ a ɣ̞ a ʝ o
Cantares	k ã n̪ t̪ a ɾ e s
Cantor	k ã n̪ t̪ o ɾ
Cantos	k ã n̪ t̪ o s
Cantón	k ã n̪ t̪ õ n
Cantórbery	k ã n̪ t̪ o ɾ β̞ e ɾ i
Canuto	k a n u t̪ o
Capadocia	k a p a ð̞ o s j a
Capazo	k a p a s o
Capcha	k a β̞ t͡ʃ a
Capellán	k a p e ʝ ã n
Capiatá	k a p j a t̪ a
Capital	k a p i t̪ a l
Capitaniense	k a p i t̪ a n j ẽ n s e
Capitolio	k a p i t̪ o l j o
Capote	k a p o t̪ e
Capricornio	k a p ɾ i k o ɾ n j o
Capuchino	k a p u t͡ʃ i n o
Capuñay	k a p u ɲ a i̯
Caquetá	k a k e t̪ a
Caraballo	k a ɾ a β̞ a ʝ o
Carabanchel	k a ɾ a β̞ ã nʲ t͡ʃ e l
Carabobo	k a ɾ a β̞ o β̞ o
Caracas	k a ɾ a k a s
Caratachea	k a ɾ a t̪ a t͡ʃ e a
Caravelí	k a ɾ a β̞ e l i
Carazo	k a ɾ a s o
Carbajal	k a ɾ β̞ a x a l
Carballo	k a ɾ β̞ a ʝ o
Carbonell	k a ɾ β̞ o n e l
Carcasona	k a ɾ k a s o n a
Carchi	k a ɾ t͡ʃ i
Cardeña	k a ɾ ð̞ e ɲ a
Cardona	k a ɾ ð̞ o n a
Cardoso	k a ɾ ð̞ o s o
Careaga	k a ɾ e a ɣ̞ a
Carelia	k a ɾ e l j a
Carelmapu	k a ɾ e l m a p u
Carepa	k a ɾ e p a
Carhuancho	k a ɾ w̝ ã nʲ t͡ʃ o
Carhuaz	k a ɾ w̝ a s
Cariacoa	k a ɾ j a k o a
Carias	k a ɾ j a s
Caribdis	k a ɾ i β̞ ð̞ i s
Caribe	k a ɾ i β̞ e
Caridad	k a ɾ i ð̞ a ð̞
Carillo	k a ɾ i ʝ o
Carina	k a ɾ i n a
Carito	k a ɾ i t̪ o
Cariño	k a ɾ i ɲ o
Carla	k a ɾ l a
Carlito	k a ɾ l i t̪ o
Carlitos	k a ɾ l i t̪ o s
Carlomagno	k a ɾ l o m a ɣ̞ n o
Carlos	k a ɾ l o s
Carlota	k a ɾ l o t̪ a
Carmela	k a ɾ m e l a
Carmelo	k a ɾ m e l o
Carmen	k a ɾ m ẽ n
Carmencho	k a ɾ m ẽ nʲ t͡ʃ o
Carmenchu	k a ɾ m ẽ nʲ t͡ʃ u
Carmencita	k a ɾ m ẽ n s i t̪ a
Carmenza	k a ɾ m ẽ n s a
Carmina	k a ɾ m i n a
Carmiña	k a ɾ m i ɲ a
Carmona	k a ɾ m o n a
Carmucha	k a ɾ m u t͡ʃ a
Carnicero	k a ɾ n i s e ɾ o
Caro	k a ɾ o
Carolina	k a ɾ o l i n a
Caronte	k a ɾ õ n̪ t̪ e
Carpintero	k a ɾ p ĩ n̪ t̪ e ɾ o
Carpio	k a ɾ p j o
Carranza	k a r ã n s a
Carrasco	k a r a s k o
Carrera	k a r e ɾ a
Carrero	k a r e ɾ o
Carreño	k a r e ɲ o
Carreón	k a r e õ n
Carriaga	k a r j a ɣ̞ a
Carrillo	k a r i ʝ o
Carrión	k a r j õ n
Carro	k a r o
Cartagena	k a ɾ t̪ a x e n a
Cartago	k a ɾ t̪ a ɣ̞ o
Carurú	k a ɾ u ɾ u
Carvajal	k a ɾ β̞ a x a l
Carvallo	k a ɾ β̞ a ʝ o
Casablanca	k a s a β̞ l ã ŋ k a
Casado	k a s a ð̞ o
Casal	k a s a l
Casanare	k a s a n a ɾ e
Casandra	k a s ã n̪ d̪ ɾ a
Casanova	k a s a n o β̞ a
Casas	k a s a s
Cascorro	k a s k o r o
Cases	k a s e s
Casimiro	k a s i m i ɾ o
Casiopea	k a s j o p e a
Caspio	k a s p j o
Cassiopeia	k a s j o p e j a
Castala	k a s t̪ a l a
Castañeda	k a s t̪ a ɲ e ð̞ a
Castel	k a s t̪ e l
Castellano	k a s t̪ e ʝ a n o
Castellanos	k a s t̪ e ʝ a n o s
Castellón	k a s t̪ e ʝ õ n
Casteñeda	k a s t̪ e ɲ e ð̞ a
Castilla	k a s t̪ i ʝ a
Castillo	k a s t̪ i ʝ o
Castillón	k a s t̪ i ʝ õ n
Castries	k a s t̪ ɾ i s
Castro	k a s t̪ ɾ o
Castronuevo	k a s t̪ ɾ o n w e β̞ o
Catalanistán	k a t̪ a l a n i s t̪ ã n
Cataleya	k a t̪ a l e ʝ a
Catalina	k a t̪ a l i n a
Cataluña	k a t̪ a l u ɲ a
Catalán	k a t̪ a l ã n
Catamarca	k a t̪ a m a ɾ k a
Catar	k a t̪ a ɾ
Catoira	k a t̪ o i̯ ɾ a
Catrina	k a t̪ ɾ i n a
Catulo	k a t̪ u l o
Cauca	k a u̯ k a
Caupolicán	k a u̯ p o l i k ã n
Cauquenes	k a u̯ k e n e s
Cautín	k a u̯ t̪ ĩ n
Cavero	k a β̞ e ɾ o
Cavite	k a β̞ i t̪ e
Cayena	k a ʝ e n a
Cayetana	k a ʝ e t̪ a n a
Cayetano	k a ʝ e t̪ a n o
Caylloma	k a i̯ ʝ o m a
Cayos	k a ʝ o s
Caín	k a ĩ n
Cañada	k a ɲ a ð̞ a
Cañar	k a ɲ a ɾ
Cañari	k a ɲ a ɾ i
Cañete	k a ɲ e t̪ e
Cañizares	k a ɲ i s a ɾ e s
Ceana	s e a n a
Ceballos	s e β̞ a ʃ o s
Ceballos	s e β̞ a ʝ o s
Cebrén	s e β̞ ɾ ẽ n
Cebú	s e β̞ u
Cecilia	s e s i l j a
Cecilio	s e s i l j o
Cecot	s e k o t̪
Cedeño	s e ð̞ e ɲ o
Cefalonia	s e f a l o n j a
Cefeo	s e f e o
Ceferino	s e f e ɾ i n o
Cefeus	s e f e u̯ s
Cefiso	s e f i s o
Ceilán	s e i̯ l ã n
Cela	s e l a
Celac	s e l a k
Celaya	s e l a ʝ a
Celedonio	s e l e ð̞ o n j o
Celestina	s e l e s t̪ i n a
Celia	s e l j a
Celina	s e l i n a
Celsius	s e l s j u s
Cencosud	s ẽ ŋ k o s u ð̞
Cenicienta	s e n i s j ẽ n̪ t̪ a
Centeno	s ẽ n̪ t̪ e n o
Central	s ẽ n̪ t̪ ɾ a l
Centroamérica	s ẽ n̪ t̪ ɾ o a m e ɾ i k a
Ceo	s e o
Cepal	s e p a l
Cepitá	s e p i t̪ a
Cerbero	s e ɾ β̞ e ɾ o
Cerdaña	s e ɾ ð̞ a ɲ a
Cerdeña	s e ɾ ð̞ e ɲ a
Cereceres	s e ɾ e s e ɾ e s
Ceres	s e ɾ e s
Cereté	s e ɾ e t̪ e
Cerezo	s e ɾ e s o
Cerrón	s e r õ n
Cerrú	s e r u
Cervantes	s e ɾ β̞ ã n̪ t̪ e s
Cerón	s e ɾ õ n
Cesar	s e s a ɾ
Cesarea	s e s a ɾ e a
Cetus	s e t̪ u s
Ceuta	s e u̯ t̪ a
Cevallos	s e β̞ a ʃ o s
Cevallos	s e β̞ a ʝ o s
Chabela	t͡ʃ a β̞ e l a
Chacabuco	t͡ʃ a k a β̞ u k o
Chacarita	t͡ʃ a k a ɾ i t̪ a
Chachapoyas	t͡ʃ a t͡ʃ a p o ʝ a s
Chacho	t͡ʃ a t͡ʃ o
Chacón	t͡ʃ a k õ n
Chad	t͡ʃ a ð̞
Chagolla	t͡ʃ a ɣ̞ o ʝ a
Chagoya	t͡ʃ a ɣ̞ o ʝ a
Chaikovski	t͡ʃ a i̯ k o β̞ s k i
Chalate	t͡ʃ a l a t̪ e
Chalatenango	t͡ʃ a l a t̪ e n ã ŋ ɡ o
Chalchuapa	t͡ʃ a lʲ t͡ʃ w a p a
Chalco	t͡ʃ a l k o
Chalán	t͡ʃ a l ã n
Chamba	t͡ʃ ã m b a
Chambas	t͡ʃ ã m b a s
Chamorro	t͡ʃ a m o r o
Champaña	t͡ʃ ã m p a ɲ a
Chan	t͡ʃ ã n
Chana	t͡ʃ a n a
Chanco	t͡ʃ ã ŋ k o
Changó	t͡ʃ ã ŋ ɡ o
Chano	t͡ʃ a n o
Chaparro	t͡ʃ a p a r o
Chapeltique	t͡ʃ a p e l̪ t̪ i k e
Chapultepec	t͡ʃ a p u l̪ t̪ e p e k
Charo	t͡ʃ a ɾ o
Chauca	t͡ʃ a u̯ k a
Chavarria	t͡ʃ a β̞ a r j a
Chavarría	t͡ʃ a β̞ a r i a
Chavena	t͡ʃ a β̞ e n a
Chaves	t͡ʃ a β̞ e s
Chaviano	t͡ʃ a β̞ j a n o
Chavolla	t͡ʃ a β̞ o ʝ a
Chavoya	t͡ʃ a β̞ o ʝ a
Chaxiraxi	t͡ʃ a s i ɾ a s i
Chaxiraxi	t͡ʃ a ɣ̞ i ɾ a ɣ̞ i
Chayo	t͡ʃ a ʝ o
Chayuco	t͡ʃ a ʝ u k o
Chañaral	t͡ʃ a ɲ a ɾ a l
Chebo	t͡ʃ e β̞ o
Chechenia	t͡ʃ e t͡ʃ e n j a
Chechnia	t͡ʃ e t͡ʃ n j a
Chechnya	t͡ʃ e t͡ʃ n j a
Checo	t͡ʃ e k o
Checoslovaquia	t͡ʃ e k o s l o β̞ a k j a
Cheliábinsk	t͡ʃ e l j a β̞ ĩ n s k
Chelo	t͡ʃ e l o
Chema	t͡ʃ e m a
Chente	t͡ʃ ẽ n̪ t̪ e
Cheo	t͡ʃ e o
Chepa	t͡ʃ e p a
Chepe	t͡ʃ e p e
Chepén	t͡ʃ e p ẽ n
Chequia	t͡ʃ e k j a
Cherkessk	t͡ʃ e ɾ k e s k
Chernóbil	t͡ʃ e ɾ n o β̞ i l
Chernóbyl	t͡ʃ e ɾ n o β̞ i l
Chetumal	t͡ʃ e t̪ u m a l
