ഁ	◌̃
അപേക്ഷ	ɐ b eː k ʂ ɐ
അപേക്ഷിക്കുക	ɐ b eː k ʂ i k k u ɡ ɐ
അപ്പ	ɐ p p ɐ
അപ്പക്കാരൻ	ɐ p p ɐ k k aː ɾ ɐ n
അപ്പച്ച	ɐ p p ɐ t͡ʃ t͡ʃ ɐ
അപ്പച്ചി	ɐ p p ɐ t͡ʃ t͡ʃ i
അപ്പച്ചൻ	ɐ pː ɐ t͡ː ʃ ɐ n
അപ്പസ്തോലൻ	ɐ p p ɐ s t̪ oː l ɐ n
അപ്പി	ɐ p p i
അപ്പു	ɐ p p u
അപ്പുറം	ɐ p p u r ɐ m
അപ്പോത്തിക്കരി	ɐ p p oː t̪ t̪ i k k ɐ ɾ i
അപ്പോൾ	ɐ p p oː ɭ
അപ്പ്	ɐ p p ə̆
അപ്പൻ	ɐ p p ɐ n
അപ്രതീക്ഷിതം	ɐ p r ɐ d̪ iː k ʂ i d̪ ɐ m
അപ്രത്യക്ഷമാക്കുക	ɐ p r ɐ t̪ j ɐ k ʂ ɐ m aː k k u ɡ ɐ
അപ്രദക്ഷിണദിശ	ɐ p r ɐ d̪ ɐ k ʂ i ɳ ɐ d̪ i ʃ ɐ
അപ്രായോഗിക	ɐ p r aː j oː ɡ i ɡ ɐ
അപ്രീതി	ɐ p r iː d̪ i
അഫ്ഗാനിസ്ഥാൻ	a f ɡ aː n i s t̪ʰ aː n
അബദ്ധം	ä b eː d d̪ʱ ɐ m
അബയോട്ടിക്	ä b ä j oː ʈː i ɡ ɨ̆
അബാക്സിയൽ	ä b äː k s i j ɐ l
അബിയോജെനിസിസ്	ɐ b i j oː d͡ʒ e n i s i s ə̆
അബോർഷൻ	ä b oː r ʂ ɐ n
അബ്കാരി	ɐ b k aː ɾ i
അബ്ബ്ദം	ä bː d̪ ɐ m
അബ്ബ്ധി	ɐ b b d̪ʱ i
അബ്ഭറം	ä bː bʱ ɐ r ɐ m
അബ്ഭിയാസം	ä bː bʱ i j äː s ɐ m
അബ്സിഷൻ	ä b s i ʂ ɐ n
അഭയം	ɐ bʱ ɐ j ɐ m
അഭയാർത്ഥി	ɐ bʱ ɐ j aː r t̪ t̪ʰ i
അഭാജ്യസംഖ്യ	äː bʱ äː d͡ʒ j ɐ s ä ŋ kʰ j ɐ
അഭാവം	a bʱ aː ʋ a m
അഭി	ɐ bʱ i
അഭികേന്ദ്രബലം	ɐ bʱ i ɡ eː n̪ d̪ r ɐ b ɐ l ɐ m
അഭിചാരം	ɐ bʱ i d͡ʒ aː ɾ ɐ m
അഭിനന്ദനം	ä bʱ i n ä n̪ d̪ ɐ n ɐ m
അഭിനയിക്കുക	ɐ bʱ i n ɐ j i k k u ɡ ɐ
അഭിമതി	ɐ bʱ i m ɐ d̪ i
അഭിമാനം	ä bʱ i m äː n ɐ m
അഭിമാനി	ɐ bʱ i m aː n i
അഭിരുചി	ɐ bʱ i ɾ u d͡ʒ i
അഭിവൃദ്ധി	ɐ bʱ i ʋ r i d̪ d̪ʱ i
അഭിഷേകം	ɐ bʱ i ʂ eː ɡ ɐ m
അഭിസംബോധനം	ɐ bʱ i s ɐ m b oː d̪ʱ ɐ n ɐ m
അഭ്യന്തര	ɐ bʱ j ɐ n̪ d̪ ɐ ɾ ɐ
അഭ്യാസം	ɐ bʱ j aː s ɐ m
അഭ്യൂഹം	ɐ bʱ j uː h ɐ m
അഭ്യർത്ഥന	ä bʱ j ä r t̪ t̪ʰ ɐ n ä
അഭ്യർത്ഥിക്കുക	a bʱ j a r t̪ t̪ʰ i kː u ɡ a
അഭ്രം	ɐ bʱ r ɐ m
അമര	ɐ m ɐ ɾ ɐ
അമരം	ɐ m ɐ ɾ ɐ m
അമരാവതി	ɐ m ɐ ɾ aː ʋ ɐ d̪ i
അമരുക	ɐ m ɐ ɾ u ɡ ɐ
അമറത്ത്	a m a r a t̪ː ɨ̆
അമല	ɐ m ɐ l ɐ
അമാന്തം	a m aː n̪ d̪ a m
അമാന്തിക്കുക	ɐ m aː n̪ d̪ i k k u ɡ ɐ
അമാവാസി	ɐ m aː ʋ aː s i
അമിത	ä m i d̪ ä
അമിതമായി	ɐ m i d̪ ɐ m aː j i
അമിതവണ്ണം	ɐ m i d̪ ɐ ʋ ɐ ɳ ɳ ɐ m
അമുക്കുക	ɐ m u k k u ɡ ɐ
അമൂല്യ	ɐ m uː l j ɐ
അമൂർത്ത	a m uː r t̪ː a
അമൂർത്തം	a m uː r t̪ː a m
അമൃത	ɐ m r i d̪ ɐ
അമൃതം	ɐ m r i d̪ ɐ m
അമൃത്	ɐ m r i d̪ ə
അമേധ്യം	ɐ m eː d̪ʱ j ɐ m
അമേരിക്ക	ɐ m eː ɾ i k k ɐ
അമോണിയ	ɐ m oː ɳ i j ɐ
അമ്പട്ടൻ	a m b a ʈː a n
അമ്പതാം	ɐ m b ɐ d̪ aː m
അമ്പത്	ɐ m b ɐ d̪ ə̆
അമ്പരം	ɐ m b ɐ ɾ ɐ m
അമ്പലം	ɐ m b ɐ l ɐ m
അമ്പഴം	ɐ m b ɐ ɻ ɐ m
അമ്പാഴം	ɐ m b aː ɻ ɐ m
അമ്പിട്ടൻ	ɐ m b i ʈ ʈ ɐ n
അമ്പിളി	ɐ m b i ɭ i
അമ്പുറ	ɐ m b u r ɐ
അമ്പെയ്ത്ത്	ɐ m b e j t̪ː ɨ
അമ്പ്	ɐ m b ə̆
അമ്മ	ɐ m m ɐ
അമ്മച്ചി	ɐ m m ɐ t͡ʃ t͡ʃ i
അമ്മമ്മ	ɐ m m ɐ m m ɐ
അമ്മായി	ɐ m m aː j i
അമ്മാവൻ	a mː aː ʋ a n
അമ്മിക്കല്ല്	ɐ m m i k k ɐ l l e
അമ്മിഞ്ഞ	ɐ m m i ɲ ɲ ɐ
അമ്മുമ്മ	ɐ m m u m m ɐ
അമ്മൂമ്മ	ɐ m m uː m m ɐ
അമ്ല	ɐ m l ɐ
അമ്ലം	ɐ m l ɐ m
അമ്ലജനകം	a m l a d͡ʒ a n a ɡ a m
അമ്ലമഴ	ɐ m l ɐ m ɐ ɻ ɐ
അമർത്തുക	ɐ m ɐ r t̪ t̪ u ɡ ɐ
അമർത്ത്	a m a r t̪ː ɨ̆
അയക്കുക	ɐ j ɐ k k u ɡ ɐ
അയക്കൂറ	ɐ j ɐ k k uː r ɐ
അയപ്പ്	ɐ j ɐ p p ə̆
അയമോദകം	a j a m oː d̪ a ɡ a m
അയയുക	ɐ j ɐ j u ɡ ɐ
അയയ്ക്കുക	ɐ j ɐ j k k u ɡ ɐ
അയല	ɐ j ɐ l ɐ
അയാൾ	a j aː ɭ
അയിത്തം	ɐ j i t̪ t̪ ɐ m
അയിര്	ɐ j i ɾ ə̆
അയുതം	ɐ j u d̪ ɐ m
അയ്യോ	ɐ j j oː
അയൻ	a j a n
അയർക്കുക	ɐ j ɐ r k k u ɡ ɐ
അര	ɐ ɾ ɐ
അരം	ɐ ɾ ɐ m
അരകല്ല്	ɐ ɾ ɐ ɡ ɐ l l ə
അരക്കാണി	ɐ ɾ ɐ k k aː ɳ i
അരക്കാൽ	ɐ ɾ ɐ k k aː l
അരക്കുക	ä ɾ ɐ kː u ɡ ä
അരങ്ങ്	ɐ ɾ ɐ ŋ ŋ ə̆
അരചൻ	a r a d͡ʒ a n
അരഞ്ഞാണം	ɐ ɾ ɐ ɲ ɲ aː ɳ ɐ m
അരണ	ɐ ɾ ɐ ɳ ɐ
അരണ്ടം	a ɾ a ɳ ɖ a m
അരണ്യം	ɐ ɾ ɐ ɳ j ɐ m
അരമന	ɐ ɾ ɐ m ɐ n ɐ
അരമാ	ɐ ɾ ɐ m aː
അരമായ	ɐ ɾ ɐ m aː j ɐ
അരളി	ɐ ɾ ɐ ɭ i
അരവിന്ദം	ɐ ɾ ɐ ʋ i n̪ d̪ ɐ m
അരി	ɐ ɾ i
അരികിൽ	a ɾ i ɡ i l
അരികെ	ɐ ɾ i ɡ e
അരിക്കുക	ä ɾ i kʲː u ɡ ä
അരിതാലം	a ɾ i d̪ aː l a m
അരിപ്പ	ä ɾ i pː ä
അരിമ്പാറ	ɐ ɾ i m b aː r ɐ
അരിവ	ɐ ɾ i ʋ ɐ
അരിവാൾ	ä ɾ i ʋ äː ɭ
അരിശം	ɐ ɾ i ʃ ɐ m
അരുംകൊല	ɐ ɾ u ŋ k o l ɐ
അരുണൻ	a ɾ u ɳ a n
അരുളുക	ɐ ɾ u ɭ u ɡ ɐ
അരുവ	ä ɾ u ʋ ä
അരുവി	ɐ ɾ u ʋ i
അരുൺ	ɐ ɾ u ɳ
അരേണുകം	ɐ ɾ eː ɳ u ɡ ɐ m
അറ	ɐ r ɐ
അറം	ɐ r ɐ m
അറപ്പ്	ɐ r ɐ p p ə
അറബി	ɐ r ɐ b i
അറബ്	ɐ r ɐ b ə̆
അറിയപ്പെടുന്ന	ä r i j ɐ pː e ɖ u n̪ː ɐ
അറിയിപ്പ്	ɐ r i j i p p ə̆
അറിയുക	ɐ r i j u ɡ ɐ
അറിവില്ലായ്മ	ɐ r i ʋ i l l aː j m ɐ
അറിവ്	ɐ r i ʋ ə̆
അറുതി	ɐ r u d̪ i
അറുനൂറ്	ɐ r u n uː r ə̆
അറുന്നൂറാം	ɐ r u n̪ n̪ uː r aː m
അറുന്നൂറ്	ɐ r u n̪ n̪ uː r ə̆
അറുപതാം	ɐ r u b ɐ d̪ aː m
അറുപത്	ɐ r u b ɐ d̪ ə̆
അറുമുഖൻ	ɐ r u m u kʰ ɐ n
അറ്റം	ɐ t t ɐ m
അറ്റ്മോസ്ഫിയർ	ɐ t t m oː s f i j ɐ r
അറ്റ്മോസ്റ്റ്	ɐ t t m oː s t t ə̆
അറ്റ്ലീസ്റ്റ്	ɐ t t l iː s t t ə̆
അല	ɐ l ɐ
അലം	ɐ l ɐ m
അലകടൽ	ɐ l ɐ ɡ ɐ ɖ ɐ l
അലക്കുക	ɐ l ɐ k k u ɡ ɐ
അലങ്കരിക്കുക	ä l ɐ ɲ k ä ɾ i kʲː u ɡ ä
അലങ്കരിക്കൽ	ä l ɐ ɲ k ä ɾ i kʲː ɐ l
അലങ്കോലം	ɐ l ɐ ŋ ɡ oː l ɐ m
അലട്ടൽ	ä l ɐ ʈː ɐ l
അലമാര	ɐ l ɐ m aː ɾ ɐ
അലമാരി	a l a m aː ɾ i
അലമ്പുക	ɐ l ɐ m b u ɡ ɐ
അലറുക	ä l ɐ r u ɡ ä
അലവാങ്ക്	ɐ l ɐ ʋ aː ŋ ɡ ə̆
അലവൻസ്	ä l ä ʋ ɐ n s ɨ̆
അലസം	ɐ l ɐ s ɐ m
അലസത	ɐ l ɐ s ɐ d̪ ɐ
അലിയ	ɐ l i j ɐ
അലിവ്	ä l i ʋ ɨ̆
അലുമിനിയം	ä l u m i n i j ɐ m
അലുവ	ɐ l u ʋ ɐ
അലൂറോപ്ലാസ്റ്റ്	ä l uː r o p ɭ äː s t ɨ̆
അല്ക്കീടം	ɐ l k k iː ɖ ɐ m
അല്പവിരാമം	ɐ l p ɐ ʋ i ɾ aː m ɐ m
അല്ല	ɐ l l ɐ
അല്ലാഹു	ɐ l l aː h u
അല്ലി	ɐ lː i
അലർച്ച	ɐ l ɐ r t͡ʃ t͡ʃ ɐ
അലർജി	ä l ɐ r d͡ʒ i
അളം	ɐ ɭ ɐ m
അളകേശൻ	a ɭ a ɡ eː ʃ a n
അളക്കുക	ɐ ɭ ɐ k k u ɡ ɐ
അളക്കർ	ɐ ɭ ɐ kː ɐ r
അളവ്	ɐ ɭ ɐ ʋ ə̆
അളിഞ്ഞ	ɐ ɭ i ɲ ɲ ɐ
അളിയൻ	ɐ ɭ i j ɐ n
അള്ളുക	ɐ ɭ ɭ u ɡ ɐ
അഴ	ɐ ɻ ɐ
അഴക്	ä ɻ ɐ ɡ ɨ̆
അഴി	ɐ ɻ i
അഴിക്കുക	ɐ ɻ i k k u ɡ ɐ
അഴിമതി	ɐ ɻ i m ɐ d̪ i
അഴിയുക	ɐ ɻ i j u ɡ ɐ
അഴുകിയ	ɐ ɻ u ɡ i j ɐ
അഴുക്കായ	ɐ ɻ u k k aː j ɐ
അഴുക്കുചാൽ	ɐ ɻ u k k u d͡ʒ aː l
അഴുക്ക്	ɐ ɻ u k k ə̆
അഴുവം	ɐ ɻ u ʋ ɐ m
അവ	ɐ ʋ ɐ
അവകലജം	ɐ ʋ ɐ ɡ ɐ l ɐ d͡ʒ ɐ m
അവകാശം	a ʋ a ɡ aː ʃ a m
അവകാശപ്പെടുക	ɐ ʋ ɐ ɡ aː ʃ ɐ p p e ɖ u ɡ ɐ
അവഗണന	ä ʋ ä ɡ ä ɳ ɐ n ä
അവഗണിക്കുക	ä ʋ ä ɡ ä ɳ i kː u ɡ ä
അവഗാഹം	ɐ ʋ ɐ ɡ aː h ɐ m
അവഗ്രഹം	ɐ ʋ ɐ ɡ ɾ ɐ h ɐ m
അവജ്ഞ	ɐ ʋ ɐ d͡ʒ ɲ ɐ
അവതരണം	a ʋ a d̪ a ɾ a ɳ a m
അവതരിക്കുക	ɐ ʋ ɐ d̪ ɐ ɾ i k k u ɡ ɐ
അവതരിപ്പിക്കുക	ɐ ʋ ɐ d̪ ɐ ɾ i p p i k k u ɡ ɐ
അവതാരം	ɐ ʋ ɐ d̪ aː ɾ ɐ m
അവതാരകൻ	ɐ ʋ ɐ d̪ aː ɾ ɐ ɡ a n
അവതാരിക	ɐ ʋ ɐ d̪ aː ɾ i ɡ ɐ
അവധാനം	a ʋ a d̪ʱ aː n a m
അവധി	ɐ ʋ ɐ d̪ʱ i
അവധിക്കാലം	a ʋ a d̪ʱ i kː aː l a m
അവയവം	ɐ ʋ ɐ j ɐ ʋ ɐ m
അവര	ɐ ʋ ɐ ɾ ɐ
അവറ്റ	ɐ ʋ ɐ t t ɐ
അവലോകനം	a ʋ a l oː ɡ a n a m
അവശിഷ്ടം	ɐ ʋ ɐ ʃ i ʂ ʈ ɐ m
അവസരം	ɐ ʋ ɐ s ɐ ɾ ɐ m
അവസരവാദിത്വം	a ʋ a s a ɾ a ʋ aː d̪ i t̪ ʋ a m
അവസാന	ɐ ʋ ɐ s aː n ɐ
അവസാനം	ɐ ʋ ɐ s aː n ɐ m
അവസാനിക്കുക	ɐ ʋ ɐ s aː n i k k u ɡ ɐ
അവസ്ഥ	ɐ ʋ ɐ s t̪ʰ ɐ
അവസ്ഫോടനം	ɐ ʋ ɐ s f oː ɖ ɐ n ɐ m
അവഹേളിക്കുക	ɐ ʋ ɐ h eː ɭ i k k u ɡ ɐ
അവിഖ്യാതി	ɐ ʋ i kʰ j aː d̪ i
അവിടം	ɐ ʋ i ɖ ɐ m
അവിടുന്ന്	ɐ ʋ i ɖ u n̪ n̪ ə̆
അവിടെ	ɐ ʋ i ɖ e
അവിയൽ	ɐ ʋ i j ɐ l
അവിശ്വാസി	ɐ ʋ i ʃ ʋ aː s i
അവ്യയം	ɐ ʋ j ɐ j ɐ m
അവ്യവസ്ഥ	ä ʋ j ɐ ʋ ä s t̪ʰ ä
അവൻ	ɐ ʋ ɐ n
അവർ	ɐ ʋ ɐ r
അവൾ	ɐ ʋ ɐ ɭ
അവൾമാർ	ɐ ʋ ɐ ɭ m aː r
അശട്	ɐ ʃ ɐ ɖ ə̆
അശടൻ	ɐ ʃ ɐ ɖ ɐ n
അശനി	ɐ ʃ ɐ n i
അശ്രദ്ധ	ä ʃ ɾ ɐ d̪ d̪ʱ ä
അശ്രു	ɐ ʃ r u
അശ്ലീലം	ɐ ʃ l iː l ɐ m
അശ്വം	ɐ ʃ ʋ ɐ m
അഷ്ടമ	ɐ ʂ ʈ ɐ m ɐ
അഷ്ടമി	ɐ ʂ ʈ ɐ m i
അസംഖ്യം	ä s ä ŋ kʰ j ä m
അസംതൃപ്തി	ä s ɐ n̪ d̪ r̩ p t̪ i
അസംബന്ധം	ä s ɐ m b ɐ n̪ d̪ʱ ɐ m
അസത്ത്	a s a t̪ː ɨ̆
അസഹിഷ്ണുത	ɐ s ɐ h i ʂ ɳ u d̪ ɐ
അസാധാരണ	ä s äː d̪ʱ äː ɾ ɐ ɳ ä
അസാധാരണം	ä s äː d̪ʱ äː ɾ ɐ ɳ ɐ m
അസാധു	ä s äː d̪ʱ u
അസാധ്യ	ä s äː d̪ʱ j ɐ
അസാധ്യം	ä s äː d̪ʱ j ɐ m
അസാന്നിധ്യം	ɐ s aː n̪ n̪ i d̪ʱ j ɐ m
അസാരം	a s aː ɾ a m
അസീലോമികജീവി	ɐ s iː l oː m i ɡ ɐ d͡ʒ iː ʋ i
അസുഖം	ä s u kʰ ɐ m
അസൂയാലു	ɐ s uː j aː l u
അസേന്തി	ɐ s eː n̪ d̪ i
അസ്തമനം	ɐ s t̪ ɐ m ɐ n ɐ m
അസ്തമയം	ɐ s t̪ ɐ m ɐ j ɐ m
അസ്തിത്വവാദം	ɐ s t̪ i t̪ ʋ ɐ ʋ aː d̪ ɐ m
അസ്ത്രം	ɐ s t̪ r ɐ m
അസ്ഥി	ɐ s t̪ʰ i
അസ്ഥികൂടം	ɐ s t̪ʰ i ɡ uː ɖ ɐ m
അസ്ഥിരത	ɐ s t̪ʰ i ɾ ɐ d̪ ɐ
അസ്വസ്ഥത	ä s ʋ ɐ s t̪ t̪ʰ ɐ d̪ ä
അസ്സൽ	a sː a l
അസൽ	ɐ s ɐ l
അഹംഭാവം	a h a m bʱ aː ʋ a m
അഹങ്കാരം	ɐ h ɐ ŋ ɡ aː ɾ ɐ m
അഹന്ത	a h a n̪ t̪ a
അഹറോൻ	ɐ h ɐ r oː n
അഹി	ɐ h i
അഹിംസ	ɐ h i m s ɐ
അഹോരാത്രം	ɐ h oː ɾ aː t̪ r ɐ m
അൻഡോറ	a n ɖ oː r a
അൻപതാം	ɐ n b ɐ d̪ aː m
അൻപത്	ɐ n b ɐ d̪ ə
അൻപ്	ɐ n p ə̆
അർജുൻ	ɐ r d͡ʒ u n
അർണ്ണം	ɐ r ɳ ɳ ɐ m
അർത്ഥം	a r t̪ t̪ʰ a m
അർദ്ധരാത്രി	ä r d̪ d̪ʱ ɐ ɾ äː t̪ ɾ i
അർപ്പണം	a r pː a ɳ a m
അർബുദം	ɐ r b u d̪ ɐ m
അർഹത	a r h a d̪ ə
അർഹൻ	ɐ r h ɐ n
അൽപം	a l p a m
അൽപ്പം	ɐ l p p ɐ m
അൽപൻ	a l p a n
അൽബേനിയ	a l b eː n i j a
അൾജീരിയ	a ɭ d͡ʒ iː ɾ i j a
അൾത്താര	ä ɭ t̪ː ä ɾ ɐ
ആ	aː
ആംഗലഭാഷ	aː ŋ ɡ ɐ l ɐ bʱ aː ʂ ɐ
ആംഗലേയം	aː ŋ ɡ ɐ l eː j ɐ m
ആകസ്മികം	aː ɡ ɐ s m i ɡ ɐ m
ആകാശം	aː ɡ aː ʃ ɐ m
ആകുക	aː ɡ u k ɐ
ആകൃതി	aː k r i d̪ i
ആകെ	aː ɡ e
ആക്കം	aː k k ɐ m
ആക്കുക	aː k k u ɡ ɐ
ആക്രമം	aː k r ɐ m ɐ m
ആക്രി	aː k r i
ആക്ഷേപം	aː k ʂ eː b ɐ m
ആക്ഷേപിക്കുക	aː k ʂ eː b i k k u ɡ ɐ
ആക്സിലറേറ്റർ	aː k s i l ɐ r eː t t ɐ r
ആകർഷകമായ	äː ɡ e r ʂ ä ɡ ɐ m äː j ɐ
ആഗത	aː ɡ ɐ d̪ ɐ
ആഗസ്ത്	aː ɡ ɐ s t̪ ə̆
ആഗസ്റ്റ്	aː ɡ a s t ɨ̆
ആഗിരണം	äː ɡ i ɾ ɐ ɳ ɐ m
ആഗോള	äː ɡ oː ɭ ɐ
ആഗോളതാപനം	äː ɡ oː ɭ ɐ t̪ äː p ɐ n ɐ m
ആഗോളവത്കരണം	aː ɡ oː ɭ a ʋ a t̪ k a ɾ a ɳ a m
ആഗ്രഹം	aː ɡ ɾ ɐ h ɐ m
ആഗ്രഹിക്കുക	aː ɡ ɾ ɐ h i k k u ɡ ɐ
ആഘാതം	äː ɡʱ äː d̪ ɐ m
ആഘോഷം	aː ɡʱ oː ʂ ɐ m
ആഘോഷിക്കുക	äː ɡʱ oː ʂ i kʲː u ɡ ä
ആങ്ങള	aː ŋ ŋ ɐ ɭ ɐ
ആചരിക്കുക	äː d͡ʒ ɐ ɾ i kʲː u ɡ ä
ആചാരം	aː d͡ʒ aː ɾ ɐ m
ആജ്ഞ	ä d͡ʒ ɲ ä
ആജ്ഞാപനം	aː ɟ ɲ aː p a n a m
ആട	aː ɖ ɐ
ആടി	aː ɖ i
ആടുക	aː ɖ u ɡ ɐ
ആട്ടം	aː ʈ ʈ ɐ m
ആഡംബരം	aː ɖ ɐ m b ɐ ɾ ɐ m
ആഡിറ്റോറിയം	äː ɖ i t oː r i j ɐ m
ആണത്തം	aː ɳ a t̪ː a m
ആണവ	äː ɳ ɐ ʋ ä
ആണവസംയോജനം	aː ɳ ɐ ʋ ɐ s ɐ m j oː d͡ʒ ɐ n ɐ m
ആണവോർജ്ജം	äː ɳ ɐ ʋ oː r d͡ʒː ɐ m
ആണി	aː ɳ i
ആണ്ട്	aː ɳ ɖ ə̆
ആതപം	aː d̪ a b a m
ആതരം	aː d̪ a ɾ a m
ആതി	aː d̪ i
ആതിഥ്യം	aː d̪ i t̪ʰ j a m
ആതിര	aː d̪ i ɾ ɐ
ആതു	aː d̪ u
ആത്ത	aː t̪ t̪ ɐ
ആത്മത്യാഗം	aː t̪ m ɐ t̪ j aː ɡ ɐ m
ആത്മപ്രശംസ	aː t̪ m ɐ p r ɐ ʃ ɐ m s ɐ
ആത്മമിത്രം	aː t̪ m ɐ m i t̪ r ɐ m
ആത്മവിശ്വാസം	aː t̪ m ɐ ʋ i ʃ ʋ aː s ɐ m
ആത്മസംതൃപ്തി	äː l m ɐ s ä n̪ t̪ r̩ p t̪ i
ആത്മഹത്യ	aː t̪ m ɐ h ɐ t̪ j ɐ
ആത്മാവ്	aː t̪ m aː ʋ ə̆
ആത്മാർത്ഥത	aː t̪ m aː r t̪ t̪ʰ a d̪ a
ആത്മീയ	aː t̪ m iː j ɐ
ആത്മീയം	aː t̪ m iː j ɐ m
ആത്മീയത	aː t̪ m iː j ɐ d̪ ɐ
ആദരം	aː d̪ ɐ ɾ ɐ m
ആദരണീയ	aː d̪ ɐ ɾ ɐ ɳ iː j ɐ
ആദരണീയനായ	äː d̪ ä ɾ ɐ ɳ iː j ɐ n äː j ɐ
ആദരവ്	aː d̪ ɐ ɾ ɐ ʋ ə̆
ആദരാഞ്ജലി	äː d̪ ɐ ɾ äː ɲ d͡ʒ ɐ l i
ആദരിക്കുക	aː d̪ ɐ ɾ i k k u ɡ ɐ
ആദായം	aː d̪ aː j a m
ആദി	aː d̪ i
ആദിത്യ	aː d̪ i t̪ j ɐ
ആദിത്യൻ	aː d̪ i t̪ j ɐ n
ആദിയേ	aː d̪ i j eː
ആദിവാസി	äː d̪ i ʋ äː s i
ആദ്യ	aː d̪ j ɐ
ആദ്യം	aː d̪ j ɐ m
ആദ്യത്തെ	aː d̪ j ɐ t̪ t̪ e
ആദ്യത്തേത്	aː d̪ j ɐ t̪ t̪ eː d̪ ə̆
ആദ്യന്തം	aː d̪ j a n̪ t̪ a m
ആദ്യവസാനം	aː d̪ j a ʋ a s aː n a m
ആധാരം	aː d̪ʱ aː ɾ a m
ആധാരിക	aː d̪ʱ aː ɾ i ɡ ɐ
ആധികാരികത	aː d̪ʱ i ɡ aː ɾ i ɡ ɐ d̪ ɐ
ആധിപത്യം	äː d̪ʱ i b ɐ t̪ j ɐ m
ആധുനിക	äː d̪ʱ u n i ɡ ä
ആധുനികം	äː d̪ʱ u n i ɡ ɐ m
ആധുനികത	äː d̪ʱ u n i ɡ ä d̪ ä
ആധുനികവൽക്കരണം	äː d̪ʱ u n i ɡ ä ʋ ɐ l kː ä ɾ ɐ ɳ ɐ m
ആധുനികീകരണം	aː d̪ʱ u n i ɡ iː ɡ a ɾ a ɳ a m
ആധുനികീകരിക്കുക	aː d̪ʱ u n i ɡ iː ɡ a ɾ i kː u ɡ a
ആന	aː n ɐ
ആനത്തിമിംഗിലം	äː n ɐ t̪ː i m i ŋ ɡ i l ɐ m
ആനപ്പാപ്പാൻ	aː n ɐ p p aː p p aː n
ആനുകൂല്യം	äː n u ɡ uː l j ɐ m
ആന്ത	aː n̪ d̪ ɐ
ആന്തരികാസ്ഥികൂടം	aː n̪ d̪ ɐ ɾ i ɡ aː s t̪ʰ i ɡ uː ɖ ɐ m
ആന്തെറിഡിയം	äː n̪ t̪ e r i ɖ i j ɐ m
ആന്ത്രം	aː n̪ d̪ r ɐ m
ആന്തർ	äː n̪ t̪ ɐ r
ആന്ദോളനം	aː n̪ d̪ oː ɭ ɐ n ɐ m
ആന്റിഡമ്പിങ്	äː n d i ɖ ä m p i ŋ ɨ̆
ആന്റിബയോട്ടിക്	aː n d i b a j oː ʈː i ɡ ɨ̆
ആപത്ത്	aː b ɐ t̪ t̪ ə̆
ആപേക്ഷികം	aː b eː k ʂ i ɡ a m
ആപ്പ	aː p p ɐ
ആപ്പിൾ	äː pː i ɭ
ആപ്പീസ്	aː p p iː s ə̆
ആപ്പീസർ	aː p p iː s ɐ r
ആഫിയത്ത്	aː f i j ɐ t̪ː ɨ̆
ആഫ്രിക്ക	aː f ɾ i k k ɐ
ആബേൽ	aː b eː l
ആഭരണം	aː bʱ ɐ ɾ ɐ ɳ ɐ m
ആഭാസം	äː bʱ äː s ɐ m
ആഭാസൻ	aː bʱ aː s ɐ n
ആഭിചാരം	aː bʱ i d͡ʒ aː ɾ ɐ m
ആഭ്യന്തരം	aː bʱ j ɐ n̪ d̪ ɐ ɾ ɐ m
ആമ	aː m ɐ
ആമസോൺ	aː m ɐ s oː ɳ
ആമാശയം	aː m aː ʃ ɐ j ɐ m
ആമുഖം	aː m u kʰ a m
ആമ്പൽ	aː m b ɐ l
ആയ	aː j ɐ
ആയതി	aː j ɐ d̪ i
ആയാസം	aː j aː s ɐ m
ആയി	aː j i
ആയിരം	aː j i ɾ ɐ m
ആയുധം	aː j u d̪ʱ ɐ m
ആയുസ്സ്	aː j u s s ə̆
ആയുർവേദം	aː j u r ʋ eː d̪ ɐ m
ആയോധനകല	aː j oː d̪ʱ ɐ n ɐ ɡ ɐ l ɐ
ആരംഭം	aː ɾ ɐ m bʱ ɐ m
ആരംഭിക്കുക	aː ɾ ɐ m bʱ i k k u ɡ ɐ
ആരണ്യം	äː ɾ ɐ ɳ j ɐ m
ആരാച്ചാർ	aː ɾ aː t͡ʃ t͡ʃ aː r
ആരാധക	aː ɾ aː d̪ʱ ɐ ɡ ɐ
ആരാധകൻ	aː ɾ aː d̪ʱ ɐ ɡ ɐ n
ആരാധന	äː ɾ äː dʱ ɐ n ä
ആരാധിക്കുക	aː ɾ aː d̪ʱ i k k u ɡ ɐ
ആരായുക	aː ɾ aː j u ɡ ɐ
ആരോഗ്യം	aː ɾ oː ɡ j ɐ m
ആരോപണം	aː ɾ oː b a ɳ a m
ആരോഹി	aː ɾ oː h i
ആര്	aː ɾ ə̆
ആര്യവേപ്പ്	aː ɾ j ɐ ʋ eː p p ə̆
ആരൻ	aː ɾ ɐ n
ആരൽ	aː ɾ ɐ l
ആറാം	aː r aː m
ആറാട്ട്	aː r aː ʈ ʈ ə̆
ആറുക	aː r u ɡ ɐ
ആറ്	aː r ə̆
ആറ്റിക്കുക	aː t t i k k u ɡ ɐ
ആറ്റുക	aː t t u ɡ ɐ
ആറ്റുണ്ട	aː tː u ɳ ɖ ɐ
ആലം	aː l ɐ m
ആലപ്പുഴ	aː l ɐ p p u ɻ ɐ
ആലയം	aː l ɐ j ɐ m
