ア	a̠
アントワープ	ã̠ n t o̞ ɰᵝ a̠ː p ɯ̟ᵝ
アントン	ã̠ n t õ̞ ɴ
アンド	ã̠ n d o̞
アンドラ	ã̠ n d o̞ ɾ a̠
アンドロイド	ã̠ n d o̞ ɾ o̞ i d o̞
アンドロゲン	ã̠ n d o̞ ɾ o̞ ɡ ẽ̞ ɴ
アンドロメダー	ã̠ n d o̞ ɾ o̞ m e̞ d a̠ː
アンナ	ã̠ nː a̠
アンナン	ã̠ nː ã̠ ɴ
アンニュイ	ã̠ ɲ̟ ɲ̟ ɯ̟ᵝ i
アンニョンハセヨ	ã̠ ɲ̟ ɲ̟ õ̞ ɰ̃ h a̠ s e̞ j o̞
アンフィトリテ	ã̠ ɰ̃ ɸʲ i t o̞ ɾʲ i t e̞
アンプ	ã̠ m p ɯ̟ᵝ
アンプル	ã̠ m p ɯ̟ᵝ ɾ ɯ̟ᵝ
アンヘレス	ã̠ ɰ̃ h e̞ ɾ e̞ s ɨᵝ
アンペア	ã̠ m p e̞ a̠
アンマウント	ã̠ mː a̠ ɯ̟̃ᵝ n t o̞
アンマン	ã̠ mː ã̠ ɴ
アンモナイト	ã̠ mː o̞ n a̠ i t o̞
アンモニア	ã̠ mː o̞ ɲ̟ i a̠
アンモニウム	ã̠ mː o̞ ɲ̟ i ɯ̟ᵝ m ɯ̟ᵝ
アンラッキー	ã̠ n ɾ a̠ k̚ʲ kʲ iː
アヴィニョン	a̠ bʲ i ɲ̟ õ̞ ɴ
アー	a̠ː
アーカイバ	a̠ː k a̠ i b a̠
アーカイバー	a̠ː k a̠ i b a̠ː
アーカイブ	a̠ː k a̠ i b ɯ̟ᵝ
アーカンソー	a̠ː k ã̠ ɰ̃ s o̞ː
アーガイル	a̠ː ɡ a̠ i ɾ ɯ̟ᵝ
アーキビスト	a̠ː kʲ i bʲ i s ɨᵝ t o̞
アーク	a̠ː k ɯ̟ᵝ
アークコタンジェント	a̠ː k ɯ̟ᵝ k o̞ t ã̠ ɲ̟ d͡ʑ ẽ̞ n t o̞
アークサイン	a̠ː k ɯ̟ᵝ s a̠ ĩ ɴ
アークタンジェント	a̠ː k ɯ̟ᵝ t ã̠ ɲ̟ d͡ʑ ẽ̞ n t o̞
アーグラ	a̠ː ɡ ɯ̟ᵝ ɾ a̠
アーケード	a̠ː k e̞ː d o̞
アーサー	a̠ː s a̠ː
アース	a̠ː s ɨᵝ
アースガルズ	a̠ː s ɨᵝ ɡ a̠ ɾ ɯ̟ᵝ z ɨᵝ
アースガルド	a̠ː s ɨᵝ ɡ a̠ ɾ ɯ̟ᵝ d o̞
アーチ	a̠ː t͡ɕ i
アーチェリー	a̠ː t͡ɕ e̞ ɾʲ iː
アーチスト	a̠ː t͡ɕ i̥ s ɨᵝ t o̞
アーティキュレーション	a̠ː tʲ i kʲ ɨᵝ ɾ e̞ː ɕ õ̞ ɴ
アーティスト	a̠ː tʲ i s ɨᵝ t o̞
アーティストインレジデンス	a̠ː tʲ i s ɨᵝ t o̞ ĩ n ɾ e̞ ʑ i d ẽ̞ ɰ̃ s ɨᵝ
アーティチョーク	a̠ː tʲ i̥ t͡ɕ o̞ː k ɯ̟ᵝ
アーティファクト	a̠ː tʲ i ɸ a̠ k ɯ̟ᵝ t o̞
アート	a̠ː t o̞
アードウルフ	a̠ː d o̞ ɯ̟ᵝ ɾ ɯ̟ᵝ ɸ ɯ̟ᵝ
アーノルド	a̠ː n o̞ ɾ ɯ̟ᵝ d o̞
アーバーダーン	a̠ː b a̠ː d ã̠ː ɴ
アーフェンピンシャー	a̠ː ɸ ẽ̞ m pʲ ĩ ɰ̃ ɕ a̠ː
アーヘン	a̠ː h ẽ̞ ɴ
アームストロング	a̠ː m ɯ̟ᵝ s ɨᵝ t o̞ ɾ õ̞ ŋ ɡ ɯ̟ᵝ
アームチェア	a̠ː m ɯ̟ᵝ t͡ɕ e̞ a̠
アーメン	a̠ː m ẽ̞ ɴ
アーモンド	a̠ː m õ̞ n d o̞
アーユルヴェーダ	a̠ː j ɯ̟ᵝ ɾ ɯ̟ᵝ b e̞ː d a̠
アール	a̠ː ɾ ɯ̟ᵝ
アールエヌエー	a̠ː ɾ ɯ̟ᵝ e̞ n ɯ̟ᵝ e̞ː
アールグレイ	a̠ː ɾ ɯ̟ᵝ ɡ ɯ̟ᵝ ɾ e̞ː
アールピージー	a̠ː ɾ ɯ̟ᵝ pʲ iː ʑ iː
アールブイ	a̠ː ɾ ɯ̟ᵝ b ɯ̟ᵝ i
アーンミーヤ	ã̠ː mʲː iː j a̠
イ	i
イアン	i ã̠ ɴ
イアーソーン	i a̠ː s õ̞ː ɴ
イェ	j e̞
イェイ	j e̞ː
イエス	i e̞ s ɨᵝ
イエズス	i e̞ z ɨᵝ s ɨᵝ
イエネコ	i e̞ n e̞ k o̞
イエベ	i e̞ b e̞
イエメン	i e̞ m ẽ̞ ɴ
イエライシャン	i e̞ ɾ a̠ i ɕ ã̠ ɴ
イエロー	i e̞ ɾ o̞ː
イオタ	i o̞ t a̠
イオン	i õ̞ ɴ
イオーン	i õ̞ː ɴ
イギリス	i ɡʲ i ɾʲ i s ɨᵝ
イクメン	i k ɯ̟ᵝ m ẽ̞ ɴ
イクラ	i k ɯ̟ᵝ ɾ a̠
イグアナ	i ɡ ɯ̟ᵝ a̠ n a̠
イグルー	i ɡ ɯ̟ᵝ ɾ ɯ̟ᵝː
イケボ	i k e̞ b o̞
イケボイス	i k e̞ b o̞ i s ɨᵝ
イケメン	i k e̞ m ẽ̞ ɴ
イケメンボイス	i k e̞ m ẽ̞ m b o̞ i s ɨᵝ
イコノグラフィー	i k o̞ n o̞ ɡ ɯ̟ᵝ ɾ a̠ ɸʲ iː
イコノロジー	i k o̞ n o̞ ɾ o̞ ʑ iː
イコライザ	i k o̞ ɾ a̠ i z a̠
イコール	i k o̞ː ɾ ɯ̟ᵝ
イサク	i s a̠ k ɯ̟ᵝ
イシス	i ɕ i s ɨᵝ
イスタンブル	i s ɨᵝ t ã̠ m b ɯ̟ᵝ ɾ ɯ̟ᵝ
イスタンブール	i s ɨ̥ᵝ t ã̠ m b ɯ̟ᵝː ɾ ɯ̟ᵝ
イスラエル	i s ɨᵝ ɾ a̠ e̞ ɾ ɯ̟ᵝ
イスラマバード	i s ɨᵝ ɾ a̠ m a̠ b a̠ː d o̞
イスラム	i s ɨᵝ ɾ a̠ m ɯ̟ᵝ
イスラーム	i s ɨᵝ ɾ a̠ː m ɯ̟ᵝ
イズム	i z ɨᵝ m ɯ̟ᵝ
イソシアニド	i s o̞ ɕ i a̠ ɲ̟ i d o̞
イソニトリル	i s o̞ ɲ̟ i t o̞ ɾʲ i ɾ ɯ̟ᵝ
イソフラボン	i s o̞ ɸ ɯ̟ᵝ ɾ a̠ b õ̞ ɴ
イソメ	i s o̞ m e̞
イソロイシン	i s o̞ ɾ o̞ i ɕ ĩ ɴ
イタリア	i t a̠ ɾʲ i a̠
イタリアン	i t a̠ ɾʲ i ã̠ ɴ
イタリー	i t a̠ ɾʲ iː
イッテルビウム	i t̚ t e̞ ɾ ɯ̟ᵝ bʲ i ɯ̟ᵝ m ɯ̟ᵝ
イットリウム	i t̚ t o̞ ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
イッヌ	ĩ nː ɯ̟ᵝ
イッフィー	i ɸʲː iː
イデア	i d e̞ a̠
イデオロギー	i d e̞ o̞ ɾ o̞ ɡʲ iː
イニシアティブ	i ɲ̟ i ɕ i a̠ tʲ i b ɯ̟ᵝ
イニシアル	i ɲ̟ i ɕ i a̠ ɾ ɯ̟ᵝ
イニシャル	i ɲ̟ i ɕ a̠ ɾ ɯ̟ᵝ
イニング	i ɲ̟ ĩ ŋ ɡ ɯ̟ᵝ
イネーブラー	i n e̞ː b ɯ̟ᵝ ɾ a̠ː
イフ	i ɸ ɯ̟ᵝ
イブ	i b ɯ̟ᵝ
イベ	i b e̞
イベルメクチン	i b e̞ ɾ ɯ̟ᵝ m e̞ k ɯ̟ᵝ t͡ɕ ĩ ɴ
イベント	i b ẽ̞ n t o̞
イペリット	i p e̞ ɾʲ i t̚ t o̞
イマジネーション	i m a̠ ʑ i n e̞ː ɕ õ̞ ɴ
イマーム	i m a̠ː m ɯ̟ᵝ
イミダゾール	i mʲ i d a̠ z o̞ː ɾ ɯ̟ᵝ
イミフ	i mʲ i ɸ ɯ̟ᵝ
イミュータブル	i mʲ ɨᵝː t a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ
イメクラ	i m e̞ k ɯ̟ᵝ ɾ a̠
イメソン	i m e̞ s õ̞ ɴ
イメチェン	i m e̞ t͡ɕ ẽ̞ ɴ
イメトレ	i m e̞ t o̞ ɾ e̞
イメプ	i m e̞ p ɯ̟ᵝ
イメージクラブ	i m e̞ː ʑ i k ɯ̟ᵝ ɾ a̠ b ɯ̟ᵝ
イヤホン	i j a̠ h õ̞ ɴ
イヤホーン	i j a̠ h õ̞ː ɴ
イヤリング	i j a̠ ɾʲ ĩ ŋ ɡ ɯ̟ᵝ
イラク	i ɾ a̠ k ɯ̟ᵝ
イラスト	i ɾ a̠ s ɨ̥ᵝ t o̞
イラストレーション	i ɾ a̠ s ɨᵝ t o̞ ɾ e̞ː ɕ õ̞ ɴ
イラストレーター	i ɾ a̠ s ɨ̥ᵝ t o̞ ɾ e̞ː t a̠ː
イラストロジック	i ɾ a̠ s ɨᵝ t o̞ ɾ o̞ ʑ i k̚ k ɯ̟ᵝ
イラマチオ	i ɾ a̠ m a̠ t͡ɕ i o̞
イラロジ	i ɾ a̠ ɾ o̞ ʑ i
イラン	i ɾ ã̠ ɴ
イリジウム	i ɾʲ i ʑ i ɯ̟ᵝ m ɯ̟ᵝ
イリュリア	i ɾʲ ɨᵝ ɾʲ i a̠
イルミ	i ɾ ɯ̟ᵝ mʲ i
イルミネーション	i ɾ ɯ̟ᵝ mʲ i n e̞ː ɕ õ̞ ɴ
イレウス	i ɾ e̞ ɯ̟ᵝ s ɨᵝ
イレブン	i ɾ e̞ b ɯ̟̃ᵝ ɴ
イロイロ	i ɾ o̞ i ɾ o̞
イワナシ	i ɰᵝ a̠ n a̠ ɕ i
イン	ĩ ɴ
インキ	ĩ ŋʲ kʲ i
インキュバス	ĩ ŋʲ kʲ ɨᵝ b a̠ s ɨᵝ
インキュベーター	ĩ ŋʲ kʲ ɨᵝ b e̞ː t a̠ː
インク	ĩ ŋ k ɯ̟ᵝ
イングランド	ĩ ŋ ɡ ɯ̟ᵝ ɾ ã̠ n d o̞
イングリッシュ	ĩ ŋ ɡ ɯ̟ᵝ ɾʲ i ɕː ɯ̟ᵝ
イングリッシュホルン	ĩ ŋ ɡ ɯ̟ᵝ ɾʲ i ɕː ɯ̟ᵝ h o̞ ɾ ɯ̟̃ᵝ ɴ
インゴット	ĩ ŋ ɡ o̞ t̚ t o̞
インシュロック	ĩ ɰ̃ ɕ ɨᵝ ɾ o̞ k̚ k ɯ̟ᵝ
インジウム	ĩ ɲ̟ d͡ʑ i ɯ̟ᵝ m ɯ̟ᵝ
インスタ	ĩ ɰ̃ s ɨᵝ t a̠
インスタント	ĩ ɰ̃ s ɨ̥ᵝ t ã̠ n t o̞
インスタントラーメン	ĩ ɰ̃ s ɨᵝ t ã̠ n t o̞ ɾ a̠ː m ẽ̞ ɴ
インスト	ĩ ɰ̃ s ɨᵝ t o̞
インストア	ĩ ɰ̃ s ɨᵝ t o̞ a̠
インストゥルメンタル	ĩ ɰ̃ s ɨᵝ t ɯ̟ᵝ ɾ ɯ̟ᵝ m ẽ̞ n t a̠ ɾ ɯ̟ᵝ
インストーラー	ĩ ɰ̃ s ɨᵝ t o̞ː ɾ a̠ː
インストール	ĩ ɰ̃ s ɨ̥ᵝ t o̞ː ɾ ɯ̟ᵝ
インスピレーション	ĩ ɰ̃ s ɨ̥ᵝ pʲ i ɾ e̞ː ɕ õ̞ ɴ
インセスト	ĩ ɰ̃ s e̞ s ɨ̥ᵝ t o̞
インセル	ĩ ɰ̃ s e̞ ɾ ɯ̟ᵝ
インソムニア	ĩ ɰ̃ s o̞ m ɯ̟ᵝ ɲ̟ i a̠
インタビュアー	ĩ n t a̠ bʲ ɨᵝ a̠ː
インタビュー	ĩ n t a̠ bʲ ɨᵝː
インターセクシュアル	ĩ n t a̠ː s e̞ k ɯ̟ᵝ ɕ ɨᵝ a̠ ɾ ɯ̟ᵝ
インターチェンジ	ĩ n t a̠ː t͡ɕ ẽ̞ ɲ̟ d͡ʑ i
インターネット	ĩ n t a̠ː n e̞ t̚ t o̞
インターハイ	ĩ n t a̠ː h a̠ i
インターポール	ĩ n t a̠ː p o̞ː ɾ ɯ̟ᵝ
インターン	ĩ n t ã̠ː ɴ
インダクタ	ĩ n d a̠ k ɯ̟ᵝ t a̠
インダゾール	ĩ n d a̠ z o̞ː ɾ ɯ̟ᵝ
インチ	ĩ ɲ̟ t͡ɕ i
インチョン	ĩ ɲ̟ t͡ɕ õ̞ ɴ
インティファーダ	ĩ n tʲ i ɸ a̠ː d a̠
インテリア	ĩ n t e̞ ɾʲ i a̠
インテリジェンス	ĩ n t e̞ ɾʲ i ʑ ẽ̞ ɰ̃ s ɨᵝ
インテル	ĩ n t e̞ ɾ ɯ̟ᵝ
インテルメッツォ	ĩ n t e̞ ɾ ɯ̟ᵝ m e̞ t̚ t͡s o̞
インディアナ	ĩ n dʲ i a̠ n a̠
インディアン	ĩ n dʲ i ã̠ ɴ
インディアンクラブ	ĩ n dʲ i ã̠ ŋ k ɯ̟ᵝ ɾ a̠ b ɯ̟ᵝ
インディーズ	ĩ n dʲ iː z ɨᵝ
インデックス	ĩ n d e̞ k̚ k ɯ̟̊ᵝ s ɨᵝ
インデヤン	ĩ n d e̞ j ã̠ ɴ
インデン	ĩ n d ẽ̞ ɴ
インド	ĩ n d o̞
インドア	ĩ n d o̞ a̠
インドネシア	ĩ n d o̞ n e̞ ɕ i a̠
インドール	ĩ n d o̞ː ɾ ɯ̟ᵝ
インナー	ĩ nː a̠ː
インハイ	ĩ ɰ̃ h a̠ i
インバータ	ĩ m b a̠ː t a̠
インパクト	ĩ m p a̠ k ɯ̟ᵝ t o̞
インパール	ĩ m p a̠ː ɾ ɯ̟ᵝ
インピーダンス	ĩ m pʲ iː d ã̠ ɰ̃ s ɨ̥ᵝ
インフォ	ĩ ɰ̃ ɸ o̞
インフォメーション	ĩ ɰ̃ ɸ o̞ m e̞ː ɕ õ̞ ɴ
インフラ	ĩ ɰ̃ ɸ ɯ̟ᵝ ɾ a̠
インフラストラクチャー	ĩ ɰ̃ ɸ ɯ̟ᵝ ɾ a̠ s ɨᵝ t o̞ ɾ a̠ k ɯ̟ᵝ t͡ɕ a̠ː
インフル	ĩ ɰ̃ ɸ ɯ̟ᵝ ɾ ɯ̟ᵝ
インフルエンサー	ĩ ɰ̃ ɸ ɯ̟ᵝ ɾ ɯ̟ᵝ ẽ̞ ɰ̃ s a̠ː
インフレ	ĩ ɰ̃ ɸ ɯ̟ᵝ ɾ e̞
インフレーション	ĩ ɰ̃ ɸ ɯ̟ᵝ ɾ e̞ː ɕ õ̞ ɴ
インプット	ĩ m p ɯ̟ᵝ t̚ t o̞
インボイス	ĩ m b o̞ i s ɨ̥ᵝ
インポ	ĩ m p o̞
インポテンス	ĩ̥ m p o̞ t ẽ̞ ɰ̃ s ɨᵝ
インポテンツ	ĩ̥ m p o̞ t ẽ̞ n t͡s ɨᵝ
インマヌエル	ĩ mː a̠ n ɯ̟ᵝ e̞ ɾ ɯ̟ᵝ
イヴ	i b ɯ̟ᵝ
イー	iː
イーアペトス	iː a̠ p e̞ t o̞ s ɨᵝ
イーエスピー	iː e̞ s ɨ̥ᵝ pʲ iː
イーカロス	iː k a̠ ɾ o̞ s ɨᵝ
イーサリアム	iː s a̠ ɾʲ i a̠ m ɯ̟ᵝ
イーゼル	iː z e̞ ɾ ɯ̟ᵝ
イータ	iː t a̠
イーディーエム	iː dʲ iː e̞ m ɯ̟ᵝ
イーメール	iː m e̞ː ɾ ɯ̟ᵝ
イーリアス	iː ɾʲ i a̠ s ɨᵝ
イールランド	iː ɾ ɯ̟ᵝ ɾ ã̠ n d o̞
ウ	ɯ̟ᵝ
ウィ	ɰᵝ i
ウィキペディア	ɰᵝ i kʲ i̥ p e̞ dʲ i a̠
ウィキペディアン	ɰᵝ i kʲ i p e̞ dʲ i ã̠ ɴ
ウィクショナリー	ɰᵝ i k ɯ̟ᵝ ɕ o̞ n a̠ ɾʲ iː
ウィクトーリア	ɰᵝ i k ɯ̟ᵝ t o̞ː ɾʲ i a̠
ウィザード	ɰᵝ i z a̠ː d o̞
ウィスキー	ɰᵝ i s ɨ̥ᵝ kʲ iː
ウィチタ	ɰᵝ i t͡ɕ i t a̠
ウィッカ	ɰᵝ i k̚ k a̠
ウィッチ	ɰᵝ i t̚ t͡ɕ i̥
ウィルドビースト	ɰᵝ i ɾ ɯ̟ᵝ d o̞ bʲ iː s ɨ̥ᵝ t o̞
ウィンウィン	ɰᵝ ĩ ɰ̃ ɰᵝ ĩ ɴ
ウィンター	ɰᵝ ĩ n t a̠ː
ウィントフック	ɰᵝ ĩ n t o̞ ɸ ɯ̟ᵝ k̚ k ɯ̟ᵝ
ウィンドウ	ɰᵝ ĩ n d o̞ː
ウィンドウウォッシャー	ɰᵝ ĩ n d o̞ː ɰᵝ o̞ ɕː a̠ː
ウィンブルドン	ɰᵝ ĩ m b ɯ̟ᵝ ɾ ɯ̟ᵝ d õ̞ ɴ
ウィーン	ɰᵝ ĩː ɴ
ウイスキー	ɯ̟ᵝ i s ɨᵝ kʲ iː
ウイッチ	ɯ̟ᵝ i t̚ t͡ɕ i
ウイルス	ɯ̟ᵝ i ɾ ɯ̟ᵝ s ɨᵝ
ウインカー	ɯ̟ᵝ ĩ ŋ k a̠ː
ウインク	ɯ̟ᵝ ĩ ŋ k ɯ̟ᵝ
ウインチ	ɯ̟ᵝ ĩ ɲ̟ t͡ɕ i
ウインドー	ɯ̟ᵝ ĩ n d o̞ː
ウインナー	ɯ̟ᵝ ĩ nː a̠ː
ウゥルカーヌス	ɰᵝ ɯ̟ᵝ ɾ ɯ̟ᵝ k a̠ː n ɯ̟ᵝ s ɨᵝ
ウェ	ɰᵝ e̞
ウェア	ɰᵝ e̞ a̠
ウェイクボード	ɰᵝ e̞ː k ɯ̟ᵝ b o̞ː d o̞
ウェスタ	ɰᵝ e̞ s ɨᵝ t a̠
ウェスタン	ɰᵝ e̞ s ɨ̥ᵝ t ã̠ ɴ
ウェッティー	ɰᵝ e̞ t̚ʲ tʲ iː
ウェディング	ɰᵝ e̞ dʲ ĩ ŋ ɡ ɯ̟ᵝ
ウェヌス	ɰᵝ e̞ n ɯ̟ᵝ s ɨᵝ
ウェブ	ɰᵝ e̞ b ɯ̟ᵝ
ウェブページ	ɰᵝ e̞ b ɯ̟ᵝ p e̞ː ʑ i
ウェリントン	ɰᵝ e̞ ɾʲ ĩ n t õ̞ ɴ
ウェー	ɰᵝ e̞ː
ウェーバ	ɰᵝ e̞ː b a̠
ウェールズ	ɰᵝ e̞ː ɾ ɯ̟ᵝ z ɨᵝ
ウエア	ɯ̟ᵝ e̞ a̠
ウエイター	ɯ̟ᵝ e̞ː t a̠ː
ウエイト	ɯ̟ᵝ e̞ː t o̞
ウエイトレス	ɯ̟ᵝ e̞ː t o̞ ɾ e̞ s ɨᵝ
ウエス	ɯ̟ᵝ e̞ s ɨᵝ
ウエスタン	ɯ̟ᵝ e̞ s ɨ̥ᵝ t ã̠ ɴ
ウエスト	ɯ̟ᵝ e̞ s ɨ̥ᵝ t o̞
ウエディング	ɯ̟ᵝ e̞ dʲ ĩ ŋ ɡ ɯ̟ᵝ
ウォ	ɰᵝ o̞
ウォッカ	ɰᵝ o̞ k̚ k a̠
ウォッシュレット	ɰᵝ o̞ ɕː ɯ̟ᵝ ɾ e̞ t̚ t o̞
ウォッチリスト	ɰᵝ o̞ t̚ t͡ɕ i ɾʲ i s ɨᵝ t o̞
ウォルター	ɰᵝ o̞ ɾ ɯ̟ᵝ t a̠ː
ウォルフラム	ɰᵝ o̞ ɾ ɯ̟ᵝ ɸ ɯ̟ᵝ ɾ a̠ m ɯ̟ᵝ
ウォレット	ɰᵝ o̞ ɾ e̞ t̚ t o̞
ウォロディミル	ɰᵝ o̞ ɾ o̞ dʲ i mʲ i ɾ ɯ̟ᵝ
ウォン	ɰᵝ õ̞ ɴ
ウォンジュ	ɰᵝ õ̞ ɲ̟ d͡ʑ ɨᵝ
ウォンバット	ɰᵝ õ̞ m b a̠ t̚ t o̞
ウォー	ɰᵝ o̞ː
ウォークマン	ɰᵝ o̞ː k ɯ̟ᵝ m ã̠ ɴ
ウォーターボーディング	ɰᵝ o̞ː t a̠ː b o̞ː dʲ ĩ ŋ ɡ ɯ̟ᵝ
ウォーニング	ɰᵝ o̞ː ɲ̟ ĩ ŋ ɡ ɯ̟ᵝ
ウォール	ɰᵝ o̞ː ɾ ɯ̟ᵝ
ウォールフラワー	ɰᵝ o̞ː ɾ ɯ̟ᵝ ɸ ɯ̟ᵝ ɾ a̠ ɰᵝ a̠ː
ウオッチ	ɯ̟ᵝ o̞ t̚ t͡ɕ i
ウオツカ	ɯ̟ᵝ o̞ t͡s ɨ̥ᵝ k a̠
ウオーター	ɯ̟ᵝ o̞ː t a̠ː
ウガンダ	ɯ̟ᵝ ɡ ã̠ n d a̠
ウクライナ	ɯ̟ᵝ k ɯ̟ᵝ ɾ a̠ i n a̠
ウクレレ	ɯ̟ᵝ k ɯ̟ᵝ ɾ e̞ ɾ e̞
ウグイ	ɯ̟ᵝ ɡ ɯ̟ᵝ i
ウシバエ	ɯ̟ᵝ ɕ i b a̠ e̞
ウスタシャ	ɯ̟ᵝ s ɨᵝ t a̠ ɕ a̠
ウズベキスタン	ɯ̟ᵝ z ɨᵝ b e̞ kʲ i s ɨᵝ t ã̠ ɴ
ウタリ	ɯ̟ᵝ t a̠ ɾʲ i
ウッドチャック	ɯ̟ᵝ d̚ d̥ o̞ t͡ɕ a̠ k̚ k ɯ̟ᵝ
ウニフラ	ɯ̟ᵝ ɲ̟ i ɸ ɯ̟ᵝ ɾ a̠
ウパニシャッド	ɯ̟ᵝ p a̠ ɲ̟ i ɕ a̠ d̚ d̥ o̞
ウプサラ	ɯ̟ᵝ p ɯ̟̊ᵝ s a̠ ɾ a̠
ウラジオ	ɯ̟ᵝ ɾ a̠ ʑ i o̞
ウラジオストク	ɯ̟ᵝ ɾ a̠ ʑ i o̞ s ɨ̥ᵝ t o̞ k ɯ̟ᵝ
ウラジオストク	ɯ̟ᵝ ɾ a̠ ʑ i o̞ s ɨᵝ t o̞ k ɯ̟ᵝ
ウラヌス	ɯ̟ᵝ ɾ a̠ n ɯ̟ᵝ s ɨᵝ
ウラル	ɯ̟ᵝ ɾ a̠ ɾ ɯ̟ᵝ
ウラン	ɯ̟ᵝ ɾ ã̠ ɴ
ウランバートル	ɯ̟ᵝ ɾ ã̠ m b a̠ː t o̞ ɾ ɯ̟ᵝ
ウラー	ɯ̟ᵝ ɾ a̠ː
ウルグアイ	ɯ̟ᵝ ɾ ɯ̟ᵝ ɡ ɯ̟ᵝ a̠ i
ウルサン	ɯ̟ᵝ ɾ ɯ̟ᵝ s ã̠ ɴ
ウルトラシー	ɯ̟ᵝ ɾ ɯ̟ᵝ t o̞ ɾ a̠ ɕ iː
ウルフ	ɯ̟ᵝ ɾ ɯ̟ᵝ ɸ ɯ̟ᵝ
ウルフカット	ɯ̟ᵝ ɾ ɯ̟ᵝ ɸ ɯ̟ᵝ k a̠ t̚ t o̞
ウルムチ	ɯ̟ᵝ ɾ ɯ̟ᵝ m ɯ̟ᵝ t͡ɕ i
ウルレア	ɯ̟ᵝ ɾ ɯ̟ᵝ ɾ e̞ a̠
ウヰスキー	ɯ̟ᵝ i̥ s ɨᵝ kʲ iː
ウンウンヘキシウム	ɯ̟̃ᵝ ɰ̃ ɯ̟̃ᵝ ɰ̃ h e̞ kʲ i̥ ɕ i ɯ̟ᵝ m ɯ̟ᵝ
ウンディーネ	ɯ̟̃ᵝ n dʲ iː n e̞
ウーメラ	ɯ̟ᵝː m e̞ ɾ a̠
ウーラニアー	ɯ̟ᵝː ɾ a̠ ɲ̟ i a̠ː
ウーラノス	ɯ̟ᵝː ɾ a̠ n o̞ s ɨᵝ
エ	e̞
エアコン	e̞ a̠ k õ̞ ɴ
エアコンディショナー	e̞ a̠ k õ̞ n dʲ i ɕ o̞ n a̠ː
エアチェック	e̞ a̠ t͡ɕ e̞ k̚ k ɯ̟ᵝ
エアプ	e̞ a̠ p ɯ̟ᵝ
エアロゾル	e̞ a̠ ɾ o̞ z o̞ ɾ ɯ̟ᵝ
エアロビクス	e̞ a̠ ɾ o̞ bʲ i k ɯ̟̊ᵝ s ɨᵝ
エイ	e̞ i
エイズ	e̞ i z ɨᵝ
エイチ	e̞ i t͡ɕ i
エイチアイブイ	e̞ t̚ t͡ɕ i a̠ i b ɯ̟ᵝ i
エイチディーディー	e̞ː t͡ɕ i dʲ iː dʲ iː
エイト	e̞ i t o̞
エイリアン	e̞ː ɾʲ i ã̠ ɴ
エインヘリャル	ẽ̞ː ɰ̃ h e̞ ɾʲ a̠ ɾ ɯ̟ᵝ
エウォル	e̞ ɰᵝ o̞ ɾ ɯ̟ᵝ
エウテルペー	e̞ ɯ̟ᵝ t e̞ ɾ ɯ̟ᵝ p e̞ː
エウローペー	e̞ ɯ̟ᵝ ɾ o̞ː p e̞ː
エオス	e̞ o̞ s ɨᵝ
エキサイト	e̞ kʲ i s a̠ i t o̞
エキシビション	e̞ kʲ i ɕ i bʲ i ɕ õ̞ ɴ
エキス	e̞ kʲ i̥ s ɨᵝ
エキストラ	e̞ kʲ i s ɨᵝ t o̞ ɾ a̠
エキスパート	e̞ kʲ i s ɨ̥ᵝ p a̠ː t o̞
エギンガー	e̞ ɡʲ ĩ ŋ ɡ a̠ː
エギング	e̞ ɡʲ ĩ ŋ ɡ ɯ̟ᵝ
エクアドル	e̞ k ɯ̟ᵝ a̠ d o̞ ɾ ɯ̟ᵝ
エクスビバイト	e̞ k ɯ̟ᵝ s ɨᵝ bʲ i b a̠ i t o̞
エクスビビット	e̞ k ɯ̟ᵝ s ɨᵝ bʲ i bʲ i t̚ t o̞
エクトプラズム	e̞ k ɯ̟̊ᵝ t o̞ p ɯ̟ᵝ ɾ a̠ z ɨᵝ m ɯ̟ᵝ
エゲレス	e̞ ɡ e̞ ɾ e̞ s ɨᵝ
エコ	e̞ k o̞
エコノミクス	e̞ k o̞ n o̞ mʲ i k ɯ̟ᵝ s ɨᵝ
エコノミー	e̞ k o̞ n o̞ mʲ iː
エコバッグ	e̞ k o̞ b a̠ ɡ̚ ɡ̊ ɯ̟ᵝ
エコロジー	e̞ k o̞ ɾ o̞ ʑ iː
エゴ	e̞ ɡ o̞
エゴサ	e̞ ɡ o̞ s a̠
エジプト	e̞ ʑ i p ɯ̟̊ᵝ t o̞
エス	e̞ s ɨᵝ
エスアイ	e̞ s ɨᵝ a̠ i
エスアイヤー	e̞ s ɨᵝ a̠ i j a̠ː
エスアールピージー	e̞ s ɨᵝ a̠ː ɾ ɯ̟ᵝ pʲ iː ʑ iː
エスエスアール	e̞ s ɨᵝ e̞ s ɨᵝ a̠ː ɾ ɯ̟ᵝ
エスエヌエス	e̞ s ɨᵝ e̞ n ɯ̟ᵝ e̞ s ɨᵝ
エスエフ	e̞ s ɨᵝ e̞ ɸ ɯ̟ᵝ
エスエム	e̞ s ɨᵝ e̞ m ɯ̟ᵝ
エスエル	e̞ s ɨᵝ e̞ ɾ ɯ̟ᵝ
エスエルジー	e̞ s ɨᵝ e̞ ɾ ɯ̟ᵝ ʑ iː
