AB	ɑː b eː
majoritet	m a j o r ɪ t eː t
maka	m ɑː k a
make	m ɑː k ɛ
mal	m ɑː l
malaria	m a ¹ l ɑː r ɪ a
malens	m ɑː l ɛ n s
mall	m a l
malmöit	m a l m ø iː t
malört	² m ɑː l œ r t
mambo	m a m b ʊ
mambo	² m a m b uː
mamma	² m a mː a
man	m a n
man	m ɑː n
mandrom	² m a n d r ɔ m
manen	m ɑː n ə n
manet	m a n e tː
manet	m a n eː t
manga	m a ŋ ɡ a
mangan	m a ŋ ɡ ɑː n
mango	¹ m a ŋ ɡ ʊ
mangrove	m a ŋ ɡ r oː v ɛ
manick	m a n ɪ k
mannen	m a nː ɛ n
manschett	m a n ɧ ɛ t
manual	m a n ɵ ɑː l
manöver	m a n øː v ɛ r
mara	² m ɑː r a
maracas	m a r a k a s
margarin	m a r ɡ a r iː n
marina	m a r iː n a
marina	m a ² r iː n a
mark	m a r k
mark	m a r k ɛ r
marknad	² m a r k n a d
marknaden	m a rː k n a dː ɛ nː
marknaden	m a rː k n a nː
mars	m a ʂː
marsch	m a r ɧ
marshmallow	m a ɕ m ɛ lː o w
masa	² m ɑː s a
maskerad	m a s k eː r a d
maskerad	m a s k ɛ r ɑː d
maskin	m a ɧ iː n
maskininlärning	² m a x iː n ɪ n l æː ɳ ɪ ŋ
maskros	m a s k r uː s
masktörnskata	m a s k t øː r n s k ɑː t a
massa	m a sː a
massage	m a s ɑː ɧ
mat	m ɑː t
mata	² m ɑː t a
mataffär	² m ɑː t a f ɛː r
match	m a tː ɕ
match	m a tː ɧ
matcha	² m a t ɕ a
matchfixning	² m a t͡ɕ f ɪ k s n ɪ ŋ
matematik	m a t ɛ m a t iː k
matsäck	² m a s ɛ k
matsäck	² m ɑː t s ɛ k
matt	m a t
mattant	² m ɑː t t a n t
mazarin	m a s a r iː n
meckig	m e kː ɪ
meckig	m e kː ɪ ɡ
med	m eː
med	m eː d
med	m ɛː
med	m ɛː d
medan	² m eː d a n
medan	² m eː d a n s
medarbetare	m eː d a r b eː t a r ɛ
medborgare	² m eː d b ɔ rː j a r ɛ
meddela	m eː d d e l a
meddela	m eː d e l a
meddelande	m eː d d eː l a n d ɛ
meddelande	m eː d eː l a n d ɛ
medelhavstrut	m eː d ɛ l h a v s t r ʉː t
medhjälpare	m eː d j ɛ l p a r e
medicin	m ɛ d ɪ s iː n
megafon	m ɛ ɡ a f oː n
megawatt	m eː ɡ a v a t
megawatt	m ɛ ɡ a v a t
mejram	² m ɛ j r a m
mejsel	m ɛ j s ɛ l
melon	m ɛ l uː n
mem	m eː m
men	m eː n
men	m ɛ n
meningslös	m eː n ɪ ŋ s l øː s
meningslösa	m eː n ɪ ŋ s l øː s a
mens	m eː n s
mens	m ɛ nː s
mentalesiska	m ɛ n t a l eː s ɪ s k a
meny	m ɛ n yː
menyn	m ɛ n yː n
mer	m eː r
mes	m eː s
messmör	² m eː s s m øː r
messmör	² m ɛ s s m øː r
meta	m eː t a
metan	m ɛ t ɑː n
meter	m eː t ɛ r
metod	m ɛ t uː d
metonym	m ɛ t ɔ n yː m
metonym	m ɛ t ʊ n yː m
metro	m eː t r ʊ
meänkieli	m eː ɛ n k ɪ ɛ l ɪ
middag	m ɪ d a
middag	m ɪ d ɑː ɡ
midsommar	m iː d s ɔ m a r
midsommar	m ɪ d s ɔ m a r
midsommar	m ɪ s ɔ m a r
mig	m a j
mig	m ɛ
mig	m ɛ j
mikrob	m ɪ k r oː b
mil	m iː l
mildra	m ɪ l d r a
militarist	m ɪ l ɪ t æː r ɪ s t
militärtjänst	m ɪ l ɪ t ɛː r ɕ ɛ n s t
miljard	m ɪ l j ɑː r d
miljon	m ɪ l j uː n
miljö	m ɪ l j øː
millimeter	m ɪ l ɪ m eː t ɛ r
min	m iː n
min	m ɪ n
mina	m iː n a
mineral	m i n ɛ r aː l
mingel	m ɪ ŋ ɛ l
minikjol	m iː n ɪ ɕ uː l
ministerstyre	m ɪ n ɪ s t ɛ r s t yː r ɛ
minnesgod	² m ɪ n ɛ s ɡ uː d
minsann	m ɪ n s a nː
miombomes	m ɪ j ɔ m b ɔ m eː s
missbrukare	² m ɪ s b r ʉ̟ː k a r ɛ
mission	m ɪ ɧ uː n
missnöje	m ɪ s n œ j ɛ
mitt	m ɪ tː
mittemot	m ɪ tˑ e m uː t
mjuk	m j ʉː k
mjöd	m j øː d
mjölk	m j œ l k
mjölka	² m j œ l k a
mobb	m ɔ b
mobilisering	m ʊ b ɪ l ɪ s eː r ɪ ŋ
mobiltelefon	² m ʊ b iː l t ɛ l ɛ f oː n
mod	m uː d
mod	m ɔ d
mode	² m uː d ɛ
moder	² m uː d ɛ r
modern	m o d ɛ r n
modern	m u d ɛ r n
modern	m uː d ɛ r n
modevisning	m uː d ɛ v iː s n ɪ ŋ
mojäng	m ʊ j ɛ ŋ
moll	m ɔ l
moln	m oː l n
moln	m ɔ l n
molybden	m ɔ l ʏ b d eː n
mongo	m ɔ ŋ ɡ ʊ
mongolpipare	m ɔ ŋ ɡ ʊ l p iː p a ɾ ɛ
monoteist	m ɔ n ʊ t ɛ ɪ s t
monument	m oː n ɵ m ɛ n t
moped	m ʊ p eː d
mopp	m ɔ p
mor	m uː r
mor	m ɔː r
morbror	m ʊ r b r ʊ r
mord	m uː r d
mord	m uː ɖ
morgnar	² m oː r n a r
morgnarna	² m oː ɳ a ɳ a
morgon	² m ɔ rː ɔ n
morgon	² m ɔ rː ɡ ɔ n
morkulla	m uː r k ɵ l a
mors	m uː r s
mors	m ɔ r s
morsa	² m ɔ ʂ a
morsa	² m ʊ ʂ a
morse	² m ɔ r s e
morsning	m ɔ r s n ɪ ŋ
mos	m uː s
moscha	m ʊ ɕ a
moscha	m ʊ ɕː a
mosnäppa	m uː s n ɛ p a
moster	m ʊ s t ɛ r
mot	m uː t
motgift	m uː t j i f t
motion	m ɔ t ɧ uː n
motion	m ʊ t ɧ uː n
motorcykelhjälm	m uː t ɔ r s ʏ k ɛ l j ɛ l m
motorsåg	m oː t ɔ r s oː ɡ
motsade	² m uː t s ɑː d ɛ
mu	m ʉː
muck	m ɵ k
mujka	m ʉ j k ɑ
mula	² m ʉː l a
mull	m ɵ l
mumie	m ʉː m ɪ ɛ
mumintroll	m ɵ m iː n t r ɔ lː
mumrik	m ɵ m r ɪ k
mums	m ɵ mː s
mun	m ɵ n
mundiarré	² m ɵ n d ɪ a r eː
mungiga	m ɵ n j iː ɡ a
mur	m ʉː r
murpelare	² m ʉ̟ː r p eː l a r e
mus	m ʉː s
museer	m ɵ s eː ɛ r
museum	m ɵ s eː ɵ m
musik	m ʉ s iː k
muskedunder	m ɵ s k ɛ d ɵ n d ɛ r
muslim	m ɵ s l iː m
musseron	m ɵ s ɛ r ɔ n
must	m ɵ s t
mustasch	m ɵ s t ɑː ɧ
mycket	m ʏ k ɛ
mycket	m ʏ k ɛ t
mygga	² m ʏ ɡ a
myla	² m yː l a
myndig	m ʏ n d ɪ ɡ
myndighet	m ʏ n d iː h eː t
mynning	m ʏ nː ɪ ŋ
mynt	m ʏ n t
myra	² m yː r a
myrsnäppa	m y rː s n ɛ p a
myrspov	m yː r s p uː v
mys	m yː s
mysa	m yː s a
mysig	m yː s ɪ ɡ
mystisk	m ʏ s t ɪ s k
myt	m yː t
mäkla	² m ɛ kː l a
mäkla	² m ɛː k l a
mäktig	² m ɛ k t ɪ
mäktig	² m ɛ k t ɪ ɡ
män	m ɛ n
människa	m ɛ nː ɪ ɧ a
mänsklig	² m ɛ n s k l ɪ
mänsklig	² m ɛ n s k l ɪ ɡ
märg	m ɛ r j
märklig	² m æ r k l ɪ
märklig	² m æ r k l ɪ ɡ
mässling	m ɛ s l ɪ ŋ
mästare	m ɛ s t a r ɛ
mäster	m ɛ s t ɛ r
mästerskap	² m ɛ s t e r s k ɑː p
mäta	m ɛː t a
må	m oː
måg	m oː ɡ
mål	m oː l
måla	² m oː l a
målar	² m oː l a r
måltid	m ôː l t ɪ d
måna	² m oː n a
månad	m oː n a d
månadsinkomst	m oː n a d s ɪ n k uː m s t
månadspeng	m oː n a d s p ɛ ŋ
måndag	m ɔ n d a
måndag	m ɔ n d ɑː ɡ
måne	m oː n ɛ
många	² m ɔ ŋ a
mångata	m oː n ɡ ɑː t a
mångsysslare	m o ŋ s ʏ s l ɑː r ɛ
månntro	² m ɔ n t t r uː
månsing	² m ɔ n s ɪ ŋ
mårka	² m ɔ r k a
mårtensgås	m ɔ r t ɛ n ɡ oː s
måste	² m ɔ s t ɛ
måttbestämd	² m ɔ t b ɛ s t ɛ m d
mö	m øː
mög	m øː ɡ
mögel	m øː ɡ ɛ l
mögel	m œ ɡː ɛ l
mögla	² m øː ɡ l a
mögla	² m œ ɡ l a
möglig	² m øː ɡ l ɪ
möglig	² m øː ɡ l ɪ ɡ
möglig	² m œ ɡ l ɪ
möglig	² m œ ɡ l ɪ ɡ
möjlig	² m œ j l ɪ
möjlig	² m œ j l ɪ ɡ
mölla	² m œ l a
mörk	m œ r k
mörk	m ɵ r k
mörker	m œ̞ rː k ɛ r
mörker	m ɵ rː k ɛ r
mörkna	² m œ̞ rː k n a
mörkna	² m ɵ rː k n a
mötesplats	² m øː t ɛ s p l a t s
nacka	² n a k a
nackskinn	n a k ɧ ɪ n
nackstöd	n a k s t øː d
nafs	n a f s
nagel	n ɑː ɡ ɛ l
naiv	n a iː v
namn	n a m n
nasa	² n ɑː s a
nasare	² n ɑː s a r ɛ
nasaré	n a s a r eː
nation	n a t ɧ uː n
nationalist	n a t ɧ ʊ n a l ɪ s t
nationell	n a t ɧ ʊ n ɛ l
natrium	n ɑː t r ɪ ɵ m
natt	n a tː
natthäger	n a t h ɛ ɡ ɛ r
natur	n a t ʉː r
ned	n eː d
neder	n eː d ɛ r
nedladdning	² n eː d l a d n ɪ ŋ
neger	n eː ɡ ɛ r
nej	n a j
nej	n ɛ j
nektarin	n ɛ k t a r iː n
neodym	n eː ʊ d yː m
neon	n ɛ oː n
nepalesisk	n ɛ p a l eː s ɪ s k
neptunium	n ɛ p t ʉː n ɪ ɵ m
ner	n eː r
nere	² n eː r ɛ
nerladdning	² n eː r l a d n ɪ ŋ
neurointensivvårdsavdelning	n ɛ v r ʊ i n t eː n s iː v oː r d s aː v d eː l n iː ŋ
neurointensivvårdsavdelningen	n ɛ v r ʊ i n t eː n s iː v oː r d s aː v d eː l n iː ŋ ɛ n
neutral	n eː ɵ t r ɑː l
neutron	n eː ɵ t r oː n
ni	n iː
nigerian	n ɪ ɡ ɛ r ɪ ɑː n
nigger	n ɪ ɡː e r
nigning	n iː ɡ n ɪ ŋ
nilgås	n iː l ɡ oː s
nim	n ɪ m
nimma	² n ɪ m a
nio	n iː ɛ
nio	n iː ʊ
nionde	n iː ɔ n d ɛ
nisch	n iː ʃ
nittio	² n ɪ t ɪ
nittio	² n ɪ t ɪ ʊ
nittiotvå	² n ɪ tː ɪ t uː
nitton	n ɪ t ɔ n
nja	n j a
nja	n j ɑː
njalla	n j a l a
njalla	² n j a l a
njugg	n j ɵ ɡ
njure	² n j ʉː r ɛ
njut	n j ʉː t
njuta	² n j ʉː t a
njöt	n j øː t
nobba	² n ɔ b a
nobben	n ɔ b ɛ n
nog	n uː ɡ
noll	n ɔ l
nomad	n ɔ m ɑː d
nomad	n ʊ m ɑː d
nominativ	n ʊ m ɪ n a t iː v
noniljon	n o n ɪ l j uː n
noppa	n ɔ p a
nor	n uː r
nord	n uː r d
nordanvind	n uː r d a n v ɪ n d
nordanvinden	n uː r d a n v ɪ n d ɛ n
nordbo	² n uː r d b uː
nordost	n ʊ r d ʊ s t
nordsångare	n uː r d s ɔ ŋ a r ɛ
nordväst	n ʊ r d v ɛ s t
nordöst	n ʊ r d œ s t
norr	n ɔ rː
norrlandskörd	² n ɔ r l a n d s ɕ œ r d
norska	² n ɔ ʂ k a
not	n uː t
november	n ʊ v ɛ m b ɛ r
nu	n ʉː
nummer	¹ n ɵ m ɛ r
nunatak	n ʉ̟ː n a t a k
nusvenska	² n ʉ̟ː s v ɛ n s k a
ny	n yː
nya	² n yː a
nyckel	² n ʏ kː ɛ l
nyckelkort	n ʏ k ɛ l k ʊ r t
nying	² n yː ɪ ŋ
nypa	n yː p a
nypon	n yː p ɔ n
nyps	n yː p s
nyps	n ʏ p s
nyss	n ʏ s
nyttig	² n ʏ t ɪ
nyttig	² n ʏ t ɪ ɡ
nytänkande	² n yː t ɛ ŋ k a n d e
nä	n æː
nä	n ɛː
näbbdjur	n ɛ b j ʉː r
näckros	² n ɛ k r uː s
nämen	n ɛ m ɛ n
nännas	² n ɛ n a s
närtid	n ɛː r t iː d
näsa	n ɛː s a
nästa	² n ɛ sː t a
nästkusin	n ɛ s k ɵ s iː n
nästkusin	n ɛ s t k ɵ s iː n
nästkusin	² n ɛ s k ɵ s iː n
nästkusin	² n ɛ s t k ɵ s iː n
nätter	n ɛ tː ə r
nå	n oː
nåd	n oː d
någon	n oː ɡ ɔ n
någon	n ɔ n
någonting	n oː ɡ ɔ n t ɪ ŋ
någorlunda	n oː ɡ ɔ r l ɵ n d a
något	n oː ɡ ɔ t
något	n ɔ t
några	n oː r a
några	n oː ɡ r a
nål	n oː l
nålginst	n oː l ɡ ɪ n s t
nåt	n oː t
nåt	n ɔ t
nått	n ɔ t
nödrim	n øː d r ɪ m
nödvändig	n øː d v ɛ n d ɪ
nödvändig	n øː d v ɛ n d ɪ ɡ
nödvändighet	n øː d v ɛ n d ɪ h eː t
nödvändighet	n øː d v ɛ n d ɪ ɡ h eː t
nörd	n øː r d
nördig	n øː r d ɪ
nördig	n øː r d ɪ ɡ
nöt	n øː t
nötknäppare	² n œ t ² k n ɛ pː a r ɛ
nötkråka	n øː t k r oː k a
nött	n œ t
o	oː
o	uː
o	ɔ
o	ʊ
obelisk	o b ɛ l ɪ s k
objekt	ɔ b j ɛ k t
objektiv	ɔ b j ɛ k t iː v
oboe	oː b ʊ ə
oboe	oː b ʊ ɛ
oboe	ʊ b oː
obskyr	ɔ b s k yː r
och	ɔ
och	ɔ kː
ock	ɔ k
också	² ɔ k s ɔ
också	² ɔ s ɔ
odjur	² uː j ʉː r
offert	ɔ f æ ʈ
offert	ʊ f æ ʈ
officiell	ɔ f i s j ɛ lː
offside	ɔ f s a j d
oflyt	uː f l yː t
oflyt	uː f ɽ yː t
ofta	² ɔ fː t a
ogilla	² uː j ɪ l a
ohemul	uː h e mː ʉ l
ohygglig	ʊ h ʏ ɡ l ɪ
ohygglig	ʊ h ʏ ɡ l ɪ ɡ
okapabel	² uː k a p ɑː b ɛ l
okej	ɔ k ɛ j
okej	ʊ k ɛ j
oklar	uː k l ɑː r
oktiljon	o k t ɪ l j uː n
oktober	ʊ k t uː b ɛ r
oktober	ʊ k t ʊ b ɛ r
okynnesäta	² uː ɕ ʏ n ɛ s ɛː t a
okänd	² uː ɕ ɛ n d
okändhet	² uː ɕ ɛ n d h eː t
olaglig	uː l ɑː ɡ l ɪ ɡ
oliv	ʊ l iː v
olle	² ʊ l ɛ
ollon	ɔ lː ɔ nː
olycka	² uː l ʏ kː a
olycklig	² uː l ʏ k l ɪ
olycklig	² uː l ʏ k l ɪ ɡ
om	ɔ m
ombegrava	ɔ m b eː ɡ r ɑː v a
ombudsman	ɔ m b ʉː d s m a n
omfång	ɔ m f ɔ ŋ
omljud	² ɔ m j ʉ̟ː d
omständig	² ɔ m s t ɛ n d ɪ
omständig	² ɔ m s t ɛ n d ɪ ɡ
omständlig	² ɔ m s t ɛ n d l ɪ
omständlig	² ɔ m s t ɛ n d l ɪ ɡ
omöjlig	² uː m ø j l ɪ
omöjlig	² uː m ø j l ɪ ɡ
onsdag	ʊ n s d a
onsdag	ʊ n s d ɑː ɡ
operation	ɔ p ɛ r a ɧ uː n
opp	ɔ p
optimera	ɔ p t ɪ m eː r a
orange	ʊ r a n ɕ
orange	ʊ r a n ɕ a
orange	ʊ r a n ɕ t
orange	ʊ r a n ɕ ɛ
orange	ʊ r a ŋ ɧ
orange	ʊ r a ŋ ɧ a
orange	ʊ r a ŋ ɧ t
orange	ʊ r a ŋ ɧ ɛ
ord	uː r d
ordbok	² uː r d b uː k
orden	uː r d ɛ n
orden	ɔ r d ɛ n
ordentlig	ʊ ɖ ɛ n t l ɪ
ordentlig	ʊ ɖ ɛ n t l ɪ ɡ
ordentlig	ʊ ɖ ɛ ŋ k l ɪ
ordentlig	ʊ ɖ ɛ ŋ k l ɪ ɡ
order	ɔ r d ɛ r
ordning	oː r d n ɪ ŋː
orientering	ɔ r j ɛ n ¹ t eː r ɪ ŋ
orientseglare	ɔ ɾ ɪ j ɛ n t s eː ɡ l a ɾ ɛ
orienttalgoxe	o r i j ɛ n t a l j o k s ɜ
orientvadarsvala	ɔ r j ɛ n t v ɑː d a r s v ɑː l a
orka	ɔ r k a
orkan	ʊ r k ɑː n
orkeslös	ɔ rː k ɛ s l øː s
orm	ʊ r m
orma	ʊ r m a
ormörn	ʊ r m øː r n
ort	ʊ ʈː
ortoklas	ɔ r t ɔ k l ɑː s
osa	² uː s a
oss	ɔ s
ost	ʊ s t
ostkaka	ʊ s t k ɑ̂ː k a
osynlighet	uː s yː n l ɪ h eː t
osynlighet	uː s yː n l ɪ ɡ h eː t
osäker	uː s ɛː k ɛ r
otagbar	² uː t ɑː ɡ b ɑː r
otålig	² uː t oː l ɪ
otålig	² uː t oː l ɪ ɡ
ovan	uː v ɑː n
ovan	² oː v a n
overall	ɔ v ɛ r a l
overall	ɔ v ɛ r oː l
overall	ʊ v ɛ r a l
overall	ʊ v ɛ r oː l
oxid	ɔ k s iː d
oälskbar	² uː ɛ l s k b ɑː r
oändlig	ʊ ɛ n d l ɪ
oändlig	ʊ ɛ n d l ɪ ɡ
page	p ɑː ɧ
paj	p a j
paket	p a k eː t
palatal	p a l a t ɑː l
palats	p a l a tː s
palladium	p a l ɑː d ɪ ɵ m
palmduva	p a l m d ʉː v a
pals	p a lː s
paludarium	p ɑː l ɵ d ɑː r ɪ ɵ m
panda	p a n d a
panna	² p a nː a
panpsykism	² p a n p s yː k ɪ s m
panpsykism	² p a n s yː k ɪ s m
panteon	p a n t e ʊ n
pantoffel	p a n t ɔ f ɛ l
papegoja	p a p ɛ ² ɡ ɔ j a
papegojalka	p a p ɛ ɡ ɔ j a l k a
papper	² p a pː ɛ r
paramilitär	p a r aː m ɪ l eː r
paraply	p a r a ¹ p l yː
parentes	p a r a n t eː s
parentes	p a r a ŋ t eː s
parentes	p a r ɛ n t eː s
pari	p ɑː r ɪ
park	p a rː k
part	p ɑː ʈ
partiell	p a r ɕ ɛ l
passa	p a s a
passage	p a s ɑː ɧ
passage	p a s ɑː ʂ
passagerare	p a s a ² ɧ eː r a r ɛ
passion	p a ɧ uː n
pastej	p a s t ɛ j
patent	p a t ɛ n t
patient	p a s i e nː t
patient	p a t͡ʃ e nː t
paus	p a ʊ̯ s
pava	² p ɑː v a
paviljong	p a v ɪ l j ɔ ŋ
pax	p a k s
ped	p eː d
peda	p eː d
pedagog	p e d a ɡ oː ɡ
peka	p eː k a
pekoral	p e k ʊ r ɑː l
peng	p ɛ ŋː
pengar	p ɛ ŋː a r
pennskrin	p ɛ n s k r iː n
pension	p a n ɧ uː n
penultima	p e n ɵ l t ɪ m a
pep	p eː p
peppar	p ɛ pː a r
pepparkaka	p ɛ p a r k ɑː k a
period	p ɛ rː j uː d
perrong	p æ r ɔ ŋː
persika	p ɛ ʂ i k a
persilja	p ɛ r s ɪ l j a
person	p ɛ r s uː n
personlig	p ɛ ʂ oː n l ɪ ɡ
personligen	p ɛ r s uː n l ɪ ɛ n
personligen	p ɛ r s uː n l ɪ ɡ ɛ n
piano	p j ɑː n ʊ
picka	² p ɪ k a
pigg	p ɪ ɡː
pil	p iː l
pille	p ɪ l ɛ
pilot	p ɪ l uː t
pin	p iː n
pin	p ɪ n
pina	p iː n a
pingvin	p ɪ ŋ v iː n
pinje	p ɪ n j ɛ
pipare	p iː p a ɾ ɛ
piparsnäppa	p iː p a r s n ɛ p a
piper	p iː p ɛ r
pirat	p ɪ r ɑː t
pirog	p ɪ r oː ɡ
pirr	p ɪ rː
pissetoffla	p ɪ s ɛ t ɔ f l a
pissetofflor	p ɪ s ɛ t ɔ f l ɔ
pissetofflor	p ɪ s ɛ t ɔ f l ɔ r
pizza	² p ɪ t s a
pizzabud	² p ɪ t s a b ʉː d
pjäs	p j ɛː s
pladdra	² p l a dː r a
plan	p l ɑː n
planet	p l a n eː t
planet	p l ɑː n ɛ t
planta	p l a n t a
platina	p l ɑː t ɪ n a
platt	p l a tː
plikt	p l ɪ k t
pliktförgäten	p l ɪ k t f œ r j ɛː t ɛ n
pliktförgätenhet	p l ɪ k t f œ r j ɛː t ɛ n h eː t
pliktskyldigast	² p l ɪ k t s k ʏ l d ɪ ɡ a s t
plocka	² p l ɔ k a
plommon	p l ʊ m ɔ n
plundring	² p l ɵ n d r ɪ ŋ
pluskvamperfekt	p l ɵ s k v a m p ɛ r f ɛ k t
plös	p l øː s
podd	p ɔ d
pojk	p ɔ j k
pojkar	p ɔ j k a r
pojke	² p ɔ j k ɛ
pokal	p ʊ k ɑː l
pol	p uː l
polarvarg	p ʊ ² l ɑː r v a r j
politik	p ʊ l ɪ t iː k
politiker	p ʊ l iː t ɪ k ɛ r
politiker	p ʊ l ɪ t iː k ɛ r
polska	² p oː l s k a
polska	² p ɔ l s k a
ponke	² p ɔ ŋ k ɛ
pool	p uː l
port	p oː r t
port	p ʊ r t
portvakt	² p ʊ ʈː v a kː t
position	p ɔ s ɪ ɧ uː n
position	ɧ
post	p ɔ s t
postavi	p ɔ s t ɑː v iː
potatis	p ʊ t ɑː t ɪ s
potatis	p ʊ ² t ɑː t ɪ s
potatiskorv	p ʊ ² t ɑː t ɪ s k ɔ r v
praktejder	p ɾ a k t ɛ j d ɛ ɾ
praktmes	p ɾ a k t m eː s
prao	p r a͡ʊ
prao	p r ɑː ʊ
praoa	² p r a͡ʊ a
prat	p r ɑː t
prata	p r ɑː t a
praxis	¹ p r a k s ɪ s
precis	p r ɛ s iː s
precis	p r ɛ s ɪ s
pregnant	p r ɛ ɡ n a n t
preja	p r ɛ j a
presens	p r eː s ɛ n s
present	p r ɛ s e n t
pressmeddelande	² p r ɛ s m e d eː l a n d ɛ
pressmeddelande	² p r ɛ s m eː d eː l a n d ɛ
prestigelöshet	p r ɛ s t iː ɕ l øː s h eː t
pretentiös	p r ɛ t a n ɧ øː s
pretentiöst	p r ɛ t a n ɧ œː s t
prilla	p r ɪ lː a
princip	p r ɪ n s iː p
pris	p r iː s
privatjet	p r ɪ ² v ɑː t ‿ j ɛ t
problem	p r ʊ b l eː m
procent	p r ʊ s ɛ n t
process	p r ʊ s ɛ s
profan	p r ʊ f ɑː n
prognos	p r ɔ ɡ n oː s
program	p r ʊ ɡ r a m
prosa	p r uː s a
prosit	p r uː s ɪ t
proton	p r ʊ t oː n
prutgås	p ɾ ʉː t ɡ oː s
prutt	p r ɵ tː
prutta	p r ɵ tː a
prärielöpare	p r ɛː r ɪ j ɛ l øː p a r e
prärietrana	p ɾ ɛː ɾ ɪ j ɛ t ɾ ɑː n a
prärievarg	² p r ɛː r ɪ ɛ v a r j
präst	p r æ s t
pröva	p r øː v a
prövning	² p r ø v n ɪ ŋ
puka	² p ʉ̟ː k a
pulka	p ɵ l k a
pultron	p ɵ l t r uː n
pumla	² p ɵ m l a
pungmes	p ɵ ŋ m eː s
punkt	p ɵ ŋ k t
punkt	p ɵ ŋ t
punktlig	p ɵ ŋ k t l ɪ ɡ
punktlig	p ɵ ŋ t l ɪ ɡ
punsch	p ɵ n ɧ
purpurhäger	p ɵ r p ɵ r h ɛ ɡ ɛ r
pusha	² p ɵ ɧ a
pusha	² p ʊ ɧ a
puss	p ɵ s
pussa	p ɵ s a
pust	p ɵ s t
pusta	² p ɵ s t a
pyjamas	p ʏ j ɑː m a s
pys	p yː s
pyttipanna	p ʏ t ɪ ² p a n a
pär	p æː r
pära	² p æː r a
pärlsocker	p ɛ r l s ɔ k ɛ r
päron	p æː r ɔ n
på	p oː
påg	p oː ɡ
pålägg	² p oː l ɛ ɡ
påpeka	p oː p eː k a
påskalamm	² p ɔ s k a l a m
påskas	² p ɔ s k a s
påskkärring	² p ɔ s k ɕ ɛ r ɪ ŋ
påsklilja	² p oː s ² k l ɪ l j a
påskmust	² p ɔ s k m ɵ s t
påssjuka	p oː s ɧ ʉ k a
påtaglig	p oː t ɑː ɡ l ɪ ɡ
påtår	p oː t oː r
påverka	p oː v ɛ r k a
pöl	p øː l
quattuordeciljon	k w a t o r d ɛ s ɪ l j uː n
quisling	² k v ɪ s l ɪ ŋ
quorn	k oː r n
rabatt	r a b a t
rabba	² r a b a
rabbemos	² r a b ɛ m uː s
rabbis	r a b ɪ s
race	r ɛ j s
race	ɹ ɛ j s
radar	¹ r ɑː d a r
radon	r a d oː n
rajd	r a j d
rakt	r ɑː k t
rallhäger	r a l h ɛ ɡ ɛ r
ram	r ɑː m
rand	r a n d
rapport	r a p ɔ ʈː
ras	r ɑː s
rationell	r a t ɧ ʊ n ɛ l
rauk	r a͜ʊ k
realisationsvinstbeskattning	r eː a l ɪ s a ² ɧ uː n s v ɪ n s t b ɛ s k a t n ɪ ŋ
recentior	r ɛ s ɛ n t s j oː r
recept	r ɛ s ɛ p t
red	r eː d
reda	r eː d a
reform	r e f ɔ r m
regel	² r eː ɡ ɛ l
regel	¹ r eː ɡ ɛ l
regeländring	r êː ɡ ɛ l ɛ n d r ɪ ŋ
regera	r ɛ j eː r a
regering	r ɛ j eː r ɪ ŋ
regeringsbildning	r e j ěː r ɪ ŋ s b ɪ l d n ɪ ŋ
regga	² r ɛ ɡ a
regi	r ɛ ɧ iː
regim	r ɛ ɧ iː m
region	r ɛ ɡ ɪ uː n
regissör	r ɛ ɧ ɪ s øː r
regissör	ɧ
register	r ɛ j ɪ s t ɛ r
registrera	r ɛ j ɪ s t r eː r a
registrera	r ɛ ɡ ɪ s t r eː r a
regn	r ɛ ŋ n
regna	r e ŋ n a
regnig	² r ɛ ŋː n ɪ ɡ
rejäl	r ɛ j ɛː l
reklam	r ɛ k l ɑː m
reklamera	r ɛ k l a m eː r a
rekommendera	r ɛ k ʊ m ɛ n d eː r a
relation	r ɛ l a ɧ uː n
relativitet	r ɛ l a t ɪ v ɪ t eː t
relativitetsteori	r ɛ l a t ɪ v ɪ ² t eː t s t ɛ ʊ r iː
religion	r ɛ l ɪ j uː n
religiös	r ɛ l ɪ ɧ øː s
remouladsås	r ɛ m u l aː d s ɔː s
ren	r eː n
ren	r ɛ nː
renommé	r ɛ n ɔ m eː
renommésnyltning	r ɛ n ɔ m eː s n ʏ l t n ɪ ŋ
rent	r eː n t
rep	r eː p
replokal	² r eː p l ʊ k ɑː l
reson	r ɛ s uː n
restaurang	r ɛ s t a ʊ̯ r a ŋ
restaurang	r ɛ s t ɵ r a ŋ
resultat	r ɛ s ɵ l t ɑː t
reta	r êː t a
retroflex	r ɛ t r ʊ f l ɛ k s
retuschera	r ɛ t ɵ ɧ eː r a
retuscherade	r ɛ t ɵ ɧ eː r a d ɛ
retuscherar	r ɛ t ɵ ɧ eː r a r
retuscherat	r ɛ t ɵ ɧ eː r a t
rev	r eː v
revolution	r ɛ v ʊ l ɵ ɧ uː n
ribbstol	² r ɪ b s t uː l
ridderlig	² r ɪ d e r l ɪ ɡ
rik	r iː k
rike	r iː k ɛ
riksrätt	² r ɪ k s r ɛ tː
rikssvenska	² r ɪ k s s v ɛ n s k a
riktig	² r ɪ kː t ɪ ɡ
ringand	ɾ ɪ ŋ a n d
ringduva	ɾ ɪ ŋ d ʉː v a
ris	r iː s
rivstart	² r iː v s t ɑː r t
ro	r uː
