abeag	ɑː b æ͜ɑː ɣ
ætbrogden	æ t b r o ɣ d e n
ætbrugdon	æ t b r u ɣ d o n
ætburste	æ t b u rˠ s t e
ætburston	æ t b u rˠ s t o n
ætclifian	æ t k l i v i ɑ n
ætclifiaþ	æ t k l i v i ɑ θ
ætclifiende	æ t k l i v i e n d e
ætclifige	æ t k l i v i j e
ætclifigen	æ t k l i v i j e n
ætclifod	æ t k l i v o d
ætclifode	æ t k l i v o d e
ætealdod	æ t æ͜ɑ ɫ d o d
æteart	æ t æ͜ɑ rˠ t
ætfangen	æ t f ɑ ŋ ɡ e n
ætfealh	æ t f æ͜ɑ ɫ x
ætfeng	æ t f eː ŋ ɡ
ætfenge	æ t f eː ŋ ɡ e
ætfengen	æ t f eː ŋ ɡ e n
ætfengon	æ t f eː ŋ ɡ o n
ætfeolh	æ t f e͜o ɫ x
ætflogen	æ t f l o ɣ e n
ætfluge	æ t f l u ɣ e
ætflugen	æ t f l u ɣ e n
ætflugon	æ t f l u ɣ o n
ætfulge	æ t f u ɫ ɣ e
ætfulgon	æ t f u ɫ ɣ o n
ætgræpe	æ t ɣ r æː p e
æthabban	æ t h ɑ b b ɑ n
æthabbaþ	æ t h ɑ b b ɑ θ
æthæbbe	æ t h æ b b e
æthæbben	æ t h æ b b e n
æthæbbende	æ t h æ b b e n d e
æthæbbenne	æ t h æ b b e n n e
æthæfde	æ t h æ v d e
æthæfden	æ t h æ v d e n
æthæfdest	æ t h æ v d e s t
æthæfdon	æ t h æ v d o n
æthæfst	æ t h æ f s t
æthæfþ	æ t h æ f θ
æthafa	æ t h ɑ f ɑ
ætheald	æ t h æ͜ɑ ɫ d
æthealdan	æ t h æ͜ɑ ɫ d ɑ n
æthealdaþ	æ t h æ͜ɑ ɫ d ɑ θ
æthealde	æ t h æ͜ɑ ɫ d e
æthealden	æ t h æ͜ɑ ɫ d e n
æthealdende	æ t h æ͜ɑ ɫ d e n d e
æthealdenne	æ t h æ͜ɑ ɫ d e n n e
Æthelthryth	æ ð e l θ r yː θ
ætheold	æ t h e͜oː ɫ d
ætheolde	æ t h e͜oː ɫ d e
ætheoldon	æ t h e͜oː ɫ d o n
æthielt	æ t h i͜y ɫ t
æthran	æ t r̥ ɑː n
æthrinan	æ t r̥ iː n ɑ n
æthrinaþ	æ t r̥ iː n ɑ θ
æthrine	æ t r̥ iː n e
æthrine	æ t r̥ i n e
æthrinen	æ t r̥ iː n e n
æthrinen	æ t r̥ i n e n
æthrinende	æ t r̥ iː n e n d e
æthrinenne	æ t r̥ iː n e n n e
æthrinon	æ t r̥ i n o n
æthrinst	æ t r̥ iː n s t
æthrinþ	æ t r̥ iː n θ
æthwearf	æ t ʍ æ͜ɑ rˠ f
æthweorfan	æ t ʍ e͜o rˠ v ɑ n
æthweorfaþ	æ t ʍ e͜o rˠ v ɑ θ
æthweorfe	æ t ʍ e͜o rˠ v e
æthweorfende	æ t ʍ e͜o rˠ v e n d e
æthweorfest	æ t ʍ e͜o rˠ v e s t
æthweorfeþ	æ t ʍ e͜o rˠ v e θ
æthworfen	æ t ʍ o rˠ v e n
æthwurfe	æ t ʍ u rˠ v e
æthwurfon	æ t ʍ u rˠ v o n
ætiewung	æ t i͜yː w u ŋ ɡ
ætiewunge	æ t i͜yː w u ŋ ɡ e
ætsprang	æ t s p r ɑ ŋ ɡ
ætspring	æ t s p r i ŋ ɡ
ætspringan	æ t s p r i ŋ ɡ ɑ n
ætspringaþ	æ t s p r i ŋ ɡ ɑ θ
ætspringe	æ t s p r i ŋ ɡ e
ætspringende	æ t s p r i ŋ ɡ e n d e
ætspringenne	æ t s p r i ŋ ɡ e n n e
ætspringst	æ t s p r i ŋ ɡ s t
ætspringþ	æ t s p r i ŋ ɡ θ
ætsprunge	æ t s p r u ŋ ɡ e
ætsprungen	æ t s p r u ŋ ɡ e n
ætsprungon	æ t s p r u ŋ ɡ o n
ætstæll	æ t s t æ ɫ
ætstall	æ t s t ɑ ɫ
ætsteall	æ t s t æ͜ɑ ɫ
ætstealle	æ t s t æ͜ɑ ɫ ɫ e
ætstealles	æ t s t æ͜ɑ ɫ ɫ e s
ætwægon	æ t w æː ɣ o n
ætwegan	æ t w e ɣ ɑ n
ætwegaþ	æ t w e ɣ ɑ θ
ætwege	æ t w e ɣ e
ætwegen	æ t w e ɣ e n
ætwegende	æ t w e ɣ e n d e
ætwesan	æ t w e z ɑ n
ætwesende	æ t w e z e n d e
ætwitt	æ t w iː t
ætynge	æː t y n d͡ʒ e
ætyngum	æː t y n d͡ʒ u m
æþel	æː ð e l
æþela	æ ð e l ɑ
æþelan	æ ð e l ɑ n
æþelas	æː ð e l ɑ s
æþelast	æ ð e l ɑ s t
Æþelbald	æ ð e ɫ b ɑ ɫ d
Æþelbeorht	æ ð e l b e͜o rˠ x t
Æþelbeorhte	æ ð e l b e͜o rˠ x t e
Æþelbeorhtes	æ ð e l b e͜o rˠ x t e s
Æþelberhte	æ ð e l b e rˠ x t e
Æþelberhtes	æ ð e ɫ b e rˠ x t e s
æþelboren	æ ð e l b o r e n
æþelborena	æ ð e ɫ b o r e n ɑ
æþelborenan	æ ð e ɫ b o r e n ɑ n
æþelborene	æ ð e ɫ b o r e n e
æþelborenena	æ ð e ɫ b o r e n e n ɑ
æþelborenes	æ ð e ɫ b o r e n e s
æþelborenne	æ ð e ɫ b o r e n n e
æþelborenra	æ ð e ɫ b o r e n r ɑ
æþelborenre	æ ð e ɫ b o r e n r e
æþelborenum	æ ð e ɫ b o r e n u m
Æþelburg	æ ð e ɫ b u rˠ ɣ
æþelcund	æ ð e l k u n d
æþelcunda	æ ð e l k u n d ɑ
æþelcundan	æ ð e l k u n d ɑ n
æþelcunde	æ ð e l k u n d e
æþelcundne	æ ð e l k u n d n e
æþelcundra	æ ð e l k u n d r ɑ
æþelcundre	æ ð e l k u n d r e
æþelcundum	æ ð e l k u n d u m
æþelcyning	æ ð e l k y n i ŋ ɡ
æþelcyninge	æ ð e l k y n i ŋ ɡ e
æþelcyninges	æ ð e l k y n i ŋ ɡ e s
æþele	æ ð e l e
æþeles	æ ð e l e s
æþelest	æ ð e l e s t
Æþelflæd	æ ð e l f l æ d
Æþelfriþ	æ ð e l f r i θ
Æþelgar	æ ð e l ɡ ɑː r
Æþelgare	æ ð e l ɡ ɑː r e
Æþelgares	æ ð e l ɡ ɑː r e s
Æþelgifu	æ ð e l j i v u
Æþelheard	æ ð e l h æ͜ɑ rˠ d
Æþelhelme	æ ð e l h e ɫ m e
Æþelhelmes	æ ð e l h e ɫ m e s
Æþelhere	æ ð e l h e r e
Æþelheres	æ ð e l h e r e s
Æþelhild	æ ð e l h i ɫ d
æþelian	æ ð e l i ɑ n
æþeling	æ ð e l i ŋ ɡ
æþelinga	æ ð e l i ŋ ɡ ɑ
Æþelmær	æ ð e l m æː r
Æþelmod	æ ð e l m oː d
Æþelmode	æ ð e l m oː d e
Æþelmodes	æ ð e l m oː d e s
Æþelmund	æ ð e l m u n d
Æþelmunde	æ ð e l m u n d e
Æþelmundes	æ ð e l m u n d e s
æþelne	æ ð e ɫ n e
æþelnesse	æ ð e ɫ n e s s e
Æþelnoþ	æ ð e l n oː θ
æþelra	æ ð e ɫ r ɑ
Æþelræd	æ ð e l r æː d
Æþelræde	æ ð e l r æː d e
Æþelrædes	æ ð e l r æː d e s
æþelre	æ ð e ɫ r e
Æþelred	æ ð e l r eː d
Æþelrede	æ ð e l r e d e
Æþelredes	æ ð e l r e d e s
Æþelric	æ ð e l r iː k
Æþelsige	æ ð e l s i j e
Æþelstan	æ ð e l s t ɑː n
æþelstenc	æ ð e l s t e n t͡ʃ
Æþelswiþ	æ ð e ɫ z w iː θ
Æþelþryþ	æ ð e l θ r yː θ
æþelu	æ ð e l u
æþelum	æ ð e l u m
æþelust	æ ð e l u s t
Æþelwacer	æ ð e l w ɑ k e r
Æþelweald	æ ð e l w æ͜ɑ ɫ d
Æþelweard	æ ð e l w æ͜ɑ rˠ d
Æþelwearde	æ ð e l w æ͜ɑ rˠ d e
Æþelweardes	æ ð e l w æ͜ɑ rˠ d e s
Æþelwig	æ ð e l w iː j
Æþelwine	æ ð e l w i n e
Æþelwines	æ ð e ɫ w i n e s
Æþelwulf	æ ð e l w u ɫ f
Æþelwulfe	æ ð e ɫ w u ɫ v e
Æþelwulfes	æ ð e ɫ w u ɫ v e s
Æþelwynn	æ ð e l w y n
æþm	æː ð m
æþma	æː ð m ɑ
æþmas	æː ð m ɑ s
æþme	æː ð m e
æþmes	æː ð m e s
æþmian	æː ð m i ɑ n
æþmiaþ	æː ð m i ɑ θ
æþmiende	æː ð m i e n d e
æþmum	æː ð m u m
æþryte	æ ð r y t e
æþrytte	æː ð r y t t e
æweweard	æː w e w æ͜ɑ rˠ d
æwielm	æː w i͜y ɫ m
æwielma	æː w i͜y ɫ m ɑ
æwielmas	æː w i͜y ɫ m ɑ s
æwielme	æː w i͜y ɫ m e
æwielmes	æː w i͜y ɫ m e s
æwielmum	æː w i͜y ɫ m u m
æwignes	æː w i ɣ n e s
æwnung	æː w n u ŋ ɡ
æwnunge	æː w n u ŋ ɡ e
æwyrp	æː w y rˠ p
æwyrpe	æː w y rˠ p e
afærde	ɑː f æː rˠ d e
afærdon	ɑː f æː rˠ d o n
afærst	ɑː f æ rˠ s t
afærþ	ɑː f æ rˠ θ
afæstla	ɑ v æ s t l ɑ
afandung	ɑː f ɑ n d u ŋ ɡ
afandunge	ɑː f ɑ n d u ŋ ɡ e
afangen	ɑː f ɑ ŋ ɡ e n
afeng	ɑː f eː ŋ ɡ
afenge	ɑː f eː ŋ ɡ e
afengen	ɑː f eː ŋ ɡ e n
afengon	ɑː f eː ŋ ɡ o n
aferian	ɑː f e rˠ j ɑ n
afett	ɑː f eː t
afierran	ɑː f i͜y rˠ rˠ ɑ n
afol	ɑ v o l
afola	ɑ v o l ɑ
afole	ɑ v o l e
afoles	ɑ v o l e s
afolum	ɑ v o l u m
afor	ɑː v o r
afremdung	ɑː f r e m d u ŋ ɡ
afremdunge	ɑː f r e m d u ŋ ɡ e
African	ɑ v r i k ɑ n
Africana	ɑ v r i k ɑ n ɑ
Africanas	ɑ v r i k ɑ n ɑ s
Africane	ɑ v r i k ɑ n e
Africanes	ɑ v r i k ɑ n e s
Africanisc	ɑː v r i k ɑː n i ʃ
Africanum	ɑ v r i k ɑ n u m
afulic	ɑ v u l iː t͡ʃ
afylde	ɑː f y ɫ d e
afyll	ɑː f y ɫ
afyllan	ɑː f y ɫ ɫ ɑ n
afyllaþ	ɑː f y ɫ ɫ ɑ θ
afylle	ɑː f y ɫ ɫ e
afylled	ɑː f y ɫ ɫ e d
afyllede	ɑː f y ɫ ɫ e d e
afylþ	ɑː f y ɫ θ
afyrht	ɑː f y rˠ x t
afyrhte	ɑː f y rˠ x t e
afyrhted	ɑː f y rˠ x t e d
afyrhton	ɑː f y rˠ x t o n
aga	ɑː ɣ ɑ
agælwan	ɑː ɡ æː ɫ w ɑ n
agælwed	ɑː ɡ æ ɫ w e d
agan	ɑː ɣ ɑ n
agang	ɑː ɡ ɑ ŋ ɡ
agangan	ɑː ɡ ɑ ŋ ɡ ɑ n
agangaþ	ɑː ɡ ɑ ŋ ɡ ɑ θ
agange	ɑː ɡ ɑ ŋ ɡ e
agangen	ɑː ɡ ɑ ŋ ɡ e n
agangende	ɑː ɡ ɑ ŋ ɡ e n d e
agangenne	ɑː ɡ ɑ ŋ ɡ e n n e
agann	ɑː ɡ ɑ n
age	ɑː ɣ e
ageafe	ɑː j æ͜ɑː v e
ageafen	ɑː j æ͜ɑː v e n
ageafon	ɑː j æ͜ɑː v o n
ageald	ɑː j æ͜ɑ ɫ d
agelwan	ɑː ɡ eː ɫ w ɑ n
agelwed	ɑː ɡ e ɫ w e d
agen	ɑː ɣ e n
agen	ɑː ɣ e n
agend	ɑː ɣ e n d
agendfrea	ɑː ɣ e n d f r æ͜ɑː
ageng	ɑː j eː ŋ ɡ
agenge	ɑː j eː ŋ ɡ e
agengecyrran	ɑ j eː n j e t͡ʃ y rˠ rˠ ɑ n
agengehweorfan	ɑ j eː n j e ʍ e͜o rˠ v ɑ n
agengon	ɑː j eː ŋ ɡ o n
agenslaga	ɑː ɣ e n s l ɑ ɣ ɑ
agenslagan	ɑː ɣ e n s l ɑ ɣ ɑ n
agenslagena	ɑː ɣ e n s l ɑ ɣ e n ɑ
agenslagum	ɑː ɣ e n s l ɑ ɣ u m
agenspræc	ɑː ɣ e n s p r æː t͡ʃ
agenung	ɑː ɣ e n u ŋ ɡ
agenunge	ɑː ɡ e n u ŋ ɡ e
ageofan	ɑː j e͜o v ɑ n
agiefan	ɑː j i͜y v ɑ n
agiefaþ	ɑː j i͜y v ɑ θ
agiefe	ɑː j i͜y v e
agiefen	ɑː j i͜y v e n
agiefende	ɑː j i͜y v e n d e
agiefenne	ɑː j i͜y v e n n e
agield	ɑː j i͜y ɫ d
agieldaþ	ɑː j i͜y ɫ d ɑ θ
agielde	ɑː j i͜y ɫ d e
agielden	ɑː j i͜y ɫ d e n
agieldende	ɑː j i͜y ɫ d e n d e
agieldenne	ɑː j i͜y ɫ d e n n e
agielst	ɑː j i͜y ɫ s t
agielt	ɑː j i͜y ɫ t
agieltst	ɑː j i͜y ɫ t s t
agiemeleasian	ɑː j i͜yː m e l æ͜ɑː z i ɑ n
agieng	ɑː j i͜yː ŋ ɡ
agiengon	ɑː j i͜yː ŋ ɡ o n
agiett	ɑː j i͜yː t
agifan	ɑː j i v ɑ n
agne	ɑː ɣ n e
agnettan	ɑː ɣ n e t t ɑ n
agnian	ɑː ɣ n i ɑ n
agniende	ɑː ɣ n i e n d e
agnienne	ɑː ɣ n i e n n e
agnu	ɑː ɣ n u
agolden	ɑː ɡ o ɫ d e n
agrisan	ɑː ɡ r iː z ɑ n
agu	ɑ ɣ u
agulde	ɑː ɡ u ɫ d e
agulden	ɑː ɡ u ɫ d e n
aguldon	ɑː ɡ u ɫ d o n
Agustuse	ɑ ɣ u s t u s e
Agustuses	ɑ ɣ u s t u s e s
agyfan	ɑː j y v ɑ n
agymeleasian	ɑː j yː m e l æ͜ɑː z i ɑ n
ahabban	ɑː h ɑ b b ɑ n
ahabbaþ	ɑː h ɑ b b ɑ θ
ahæbbe	ɑː h æ b b e
ahæbbende	ɑː h æ b b e n d e
ahæbbenne	ɑː h æ b b e n n e
ahæfd	ɑː h æ v d
ahæfde	ɑː h æ v d e
ahæfden	ɑː h æ v d e n
ahæfdest	ɑː h æ v d e s t
ahæfdon	ɑː h æ v d o n
ahæfen	ɑː h æ v e n
ahæfst	ɑː h æ f s t
ahæfþ	ɑː h æ f θ
ahæt	ɑː h æː t
ahætst	ɑː h æː t s t
ahafa	ɑː h ɑ v ɑ
ahafen	ɑː h ɑ v e n
ahangen	ɑː h ɑ ŋ ɡ e n
ahatan	ɑː h ɑː t ɑ n
ahataþ	ɑː h ɑː t ɑ θ
ahaten	ɑː h ɑː t e n
ahatende	ɑː h ɑː t e n d e
aheardaþ	ɑː h æ͜ɑ rˠ d ɑ θ
aheardian	ɑː h æ͜ɑ rˠ d i ɑ n
aheardiaþ	ɑː h æ͜ɑ rˠ d i ɑ θ
aheardige	ɑː h æ͜ɑ rˠ d i j e
aheardod	ɑː h æ͜ɑ rˠ d o d
aheardodon	ɑː h æ͜ɑ rˠ d o d o n
aheardung	ɑː h æ͜ɑ rˠ d u ŋ ɡ
aheardunge	ɑː h æ͜ɑ rˠ d u ŋ ɡ e
aheawan	ɑː h æ͜ɑː w ɑ n
aheawaþ	ɑ h æ͜ɑː w ɑ θ
ahebban	ɑː h e b b ɑ n
ahebbanne	ɑː h e b b ɑ n n e
ahebbaþ	ɑː h e b b ɑ θ
ahebbe	ɑː h e b b e
ahebbende	ɑː h e b b e n d e
ahebbenne	ɑː h e b b e n n e
ahefde	ɑː h e v d e
ahefe	ɑː h e v e
ahefeþ	ɑː h e v e θ
ahefst	ɑː h e f s t
ahefþ	ɑː h e f θ
ahehst	ɑː h eː x s t
aheht	ɑː h eː x t
ahehton	ɑː h eː x t o n
ahehþ	ɑː h eː x θ
aheng	ɑː h eː ŋ ɡ
ahenge	ɑː h eː ŋ ɡ e
ahengen	ɑː h eː ŋ ɡ e n
ahengon	ɑː h eː ŋ ɡ o n
aheow	ɑ h e͜oː w
aheowe	ɑ h e͜oː w e
aheowon	ɑ h e͜oː w o n
ahet	ɑː h eː t
aheten	ɑː h eː t e n
aheton	ɑː h eː t o n
ahieltan	ɑː h i͜y ɫ t ɑ n
ahierdan	ɑː h i͜y rˠ d ɑ n
ahierde	ɑː h i͜y rˠ d e
ahierding	ɑː h i͜y rˠ d i ŋ ɡ
ahiewþ	ɑ h i͜yː w θ
ahlehhan	ɑː l̥ e ç x ɑ n
ahlehhende	ɑː l̥ e ç x e n d e
ahleoþrian	ɑː l̥ e͜oː ð r i ɑ n
ahliehhan	ɑː l̥ i͜y ç ç ɑ n
ahliehhaþ	ɑː l̥ i͜y ç x ɑ θ
ahliehhende	ɑː l̥ i͜y ç x e n d e
ahloca	ɑː l̥ o k ɑ
ahlocian	ɑː l̥ o k i ɑ n
ahlocod	ɑː l̥ o k o d
ahlog	ɑː l̥ oː ɣ
ahloge	ɑː l̥ oː ɣ e
ahlogen	ɑː l̥ oː ɣ e n
ahlogon	ɑː l̥ oː ɣ o n
ahloh	ɑː l̥ oː x
aho	ɑː h oː
ahof	ɑː h oː f
ahofe	ɑː h oː v e
ahofon	ɑː h oː v o n
ahofun	ɑː h oː v u n
ahogde	ɑː h o ɣ d e
ahogden	ɑː h o ɣ d e n
ahogdest	ɑː h o ɣ d e s t
ahogdon	ɑː h o ɣ d o n
ahoh	ɑː h oː x
ahola	ɑː h o l ɑ
aholian	ɑː h o l i ɑ n
aholiaþ	ɑː h o l i ɑ θ
aholod	ɑː h o l o d
aholode	ɑː h o l o d e
aholodon	ɑː h o l o d o n
ahon	ɑː h oː n
ahonde	ɑː h oː n d e
ahonne	ɑː h oː n n e
ahoþ	ɑː h oː θ
ahreas	ɑː r̥ æ͜ɑː s
ahred	ɑː r̥ e d
ahreddan	ɑː r̥ e d d ɑ n
ahredde	ɑː r̥ e d d e
ahreddenne	ɑː r̥ e d d e n n e
ahreddest	ɑː r̥ e d d e s t
ahreddon	ɑː r̥ e d d o n
ahrede	ɑː r̥ e d e
ahreded	ɑː r̥ e d e d
ahreosan	ɑː r̥ e͜oː z ɑ n
ahreosaþ	ɑː r̥ e͜oː z ɑ θ
ahreose	ɑː r̥ e͜oː z e
ahrer	ɑː r̥ eː r
ahreran	ɑː r̥ eː r ɑ n
ahreraþ	ɑː r̥ eː r ɑ θ
ahrere	ɑː r̥ eː r e
ahrered	ɑː r̥ eː r e d
ahret	ɑː r̥ e t
ahroren	ɑː r̥ o r e n
ahruron	ɑː r̥ u r o n
ahte	ɑː x t e
ahwær	ɑː ʍ æː r
ahwanon	ɑː ʍ ɑ n o n
ahwearf	ɑː ʍ æ͜ɑ rˠ f
ahweorfan	ɑː ʍ e͜o rˠ v ɑ n
ahweorfaþ	ɑː ʍ e͜o rˠ v ɑ θ
ahweorfe	ɑː ʍ e͜o rˠ v e
ahweorfende	ɑː ʍ e͜o rˠ v e n d e
ahweorfest	ɑː ʍ e͜o rˠ v e s t
ahweorfeþ	ɑː ʍ e͜o rˠ v e θ
ahworfen	ɑː ʍ o rˠ v e n
ahwurfe	ɑː ʍ u rˠ v e
ahwurfon	ɑː ʍ u rˠ v o n
ahycgan	ɑː h y d d͡ʒ ɑ n
ahycgaþ	ɑː h y d d͡ʒ ɑ θ
ahycge	ɑː h y d d͡ʒ e
ahycgen	ɑː h y d d͡ʒ e n
ahycgende	ɑː h y d d͡ʒ e n d e
ahycgenne	ɑː h y d d͡ʒ e n n e
ahyge	ɑː h y j e
ahygst	ɑː h y j s t
ahygþ	ɑː h y j θ
ahyld	ɑː h y ɫ d
ahyldan	ɑː h y ɫ d ɑ n
ahyldaþ	ɑː h y ɫ d ɑ θ
ahylde	ɑː h y ɫ d e
ahylded	ɑː h y ɫ d e d
ahyldende	ɑː h y ɫ d e n d e
ahyldon	ɑː h y ɫ d o n
ahyrdan	ɑː h y rˠ d ɑ n
ahyrde	ɑː h y rˠ d e
albe	ɑ ɫ b e
ald	ɑ ɫ d
Alda	ɑ ɫ d ɑ
Aldan	ɑ ɫ d ɑ n
Aldberht	ɑ ɫ d b e rˠ x t
Aldberhte	ɑ ɫ d b e rˠ x t e
Aldberhtes	ɑ ɫ d b e rˠ x t e s
alderdom	ɑ ɫ d o rˠ d oː m
Aldfriþ	ɑ ɫ d v r i θ
Aldgils	ɑ ɫ d j iː ɫ s
Aldgilse	ɑ ɫ d j iː ɫ z e
Aldgilses	ɑ ɫ d j iː ɫ z e s
Aldhyse	ɑ ɫ d h y z e
Aldhyses	ɑ ɫ d h y s e s
Aldmann	ɑ ɫ d m ɑ n
aldor	ɑ ɫ d o r
aldorleas	ɑ ɫ d o r l æ͜ɑː s
aldorleasa	ɑ ɫ d o rˠ l æ͜ɑː s ɑ
aldorlease	ɑ ɫ d o rˠ l æ͜ɑː s e
aldorleasne	ɑ ɫ d o rˠ l æ͜ɑː z n e
aldormanna	ɑ ɫ d o r m ɑ n n ɑ
aldormannes	ɑ ɫ d o r m ɑ n n e s
aldormannum	ɑ ɫ d o r m ɑ n n u m
aldormenn	ɑ ɫ d o r m e n
aldras	ɑ ɫ d r ɑ s
aldre	ɑ ɫ d r e
Aldred	ɑ ɫ d r eː d
Aldrede	ɑ ɫ d r eː d e
Aldredes	ɑ ɫ d r eː d e s
aldres	ɑ ɫ d r e s
aldrum	ɑ ɫ d r u m
Aldwine	ɑ ɫ d w i n e
Aldwines	ɑ ɫ d w i n e s
aleag	ɑː l æ͜ɑː ɣ
alecgan	ɑː l e d d͡ʒ ɑ n
alecgaþ	ɑː l e d d͡ʒ ɑ θ
alecge	ɑː l e d d͡ʒ e
alefan	ɑː l eː v ɑ n
alefaþ	ɑː l eː v ɑ θ
alefde	ɑː l eː v d e
alefden	ɑː l eː v d e n
alefdest	ɑː l eː v d e s t
alefdon	ɑː l eː v d o n
alefe	ɑː l eː v e
alefed	ɑː l eː v e d
alefednes	ɑː l eː v e d n e s
alefednese	ɑː l eː v e d n e s e
alefenne	ɑː l eː v e n n e
alefest	ɑː l eː v e s t
alefeþ	ɑː l eː v e θ
aleogan	ɑː l e͜oː ɣ ɑ n
aleogaþ	ɑː l e͜oː ɣ ɑ θ
aleoge	ɑː l e͜oː ɣ e
aleogenne	ɑː l e͜oː ɣ e n n e
alesan	ɑː l eː z ɑ n
algian	ɑ ɫ ɣ i ɑ n
alh	ɑ ɫ x
Alhhere	ɑ ɫ x h e r e
aliefan	ɑː l i͜yː v ɑ n
aliefaþ	ɑː l i͜yː v ɑ θ
aliefde	ɑː l i͜yː v d e
aliefdest	ɑː l i͜yː v d e s t
aliefdon	ɑː l i͜yː v d o n
aliefe	ɑː l i͜yː v e
aliefed	ɑː l i͜yː v e d
aliefende	ɑː l i͜yː v e n d e
aliefenne	ɑː l i͜yː v e n n e
aliefest	ɑː l i͜yː v e s t
aliefeþ	ɑː l i͜yː v e θ
aliesan	ɑː l i͜yː z ɑ n
aliesaþ	ɑː l i͜yː z ɑ θ
aliesde	ɑː l i͜yː z d e
aliesdest	ɑː l i͜yː z d e s t
aliese	ɑː l i͜yː z e
aliesed	ɑː l i͜yː z e d
aliesednes	ɑː l i͜yː z e d n e s
aliesednessa	ɑː l i͜yː z e d n e s s ɑ
aliesednesse	ɑː l i͜yː z e d n e s s e
aliesednessum	ɑː l i͜yː z e d n e s s u m
aliesenne	ɑː l i͜yː z e n n e
alieseþ	ɑː l i͜yː z e θ
alieþre	ɑː l i͜yː ð r e
alieþred	ɑː l i͜yː ð r e d
alifd	ɑ l i v d
alifde	ɑ l i v d e
alifdest	ɑ l i v d e s t
alifdon	ɑ l i v d o n
alisan	ɑː l iː z ɑ n
all	ɑ ɫ
alles	ɑ ɫ ɫ e s
allican	ɑ ɫ ɫ iː t͡ʃ ɑ n
allmectig	ɑ ɫ m e k t i j
allum	ɑ ɫ ɫ u m
alogen	ɑː l o ɣ e n
Alrica	ɑ ɫ r iː t͡ʃ ɑ
Alrican	ɑ ɫ r iː t͡ʃ ɑ n
aluge	ɑː l u ɣ e
alugon	ɑː l u ɣ o n
alyfan	ɑː l yː v ɑ n
alyfaþ	ɑː l yː v ɑ θ
alyfde	ɑː l yː v d e
alyfdest	ɑː l yː v d e s t
alyfdon	ɑː l yː v d o n
alyfe	ɑː l yː v e
alyfed	ɑː l yː v e d
alyfende	ɑː l yː v e n d e
alyfenne	ɑː l yː v e n n e
alyfest	ɑː l yː v e s t
alyfeþ	ɑː l yː v e θ
alysan	ɑː l yː z ɑ n
alysaþ	ɑː l yː z ɑ θ
alysde	ɑː l yː z d e
alysdest	ɑː l yː z d e s t
alyse	ɑː l yː z e
alysed	ɑː l yː z e d
alysenne	ɑː l yː z e n n e
alyseþ	ɑː l yː z e θ
amænsumian	ɑː m æː n z u m i ɑ n
amænsumiaþ	ɑː m æː n z u m i ɑ θ
amænsumod	ɑː m æː n z u m o d
amænsumodon	ɑː m æː n z u m o d o n
amænsumung	ɑː m æː n z u m u ŋ ɡ
amænsumunge	ɑː m æː n z u m u ŋ ɡ e
amang	ɑ m ɑ ŋ ɡ
amasast	ɑː m ɑ z ɑ s t
amasian	ɑː m ɑ z i ɑ n
amasod	ɑː m ɑ z o d
amasode	ɑː m ɑ z o d e
ambeht	ɑ m b e ç t
ambehta	ɑ m b e ç t ɑ
ambehtan	ɑ m b e ç t ɑ n
ambehtaþ	ɑ m b e ç t ɑ θ
ambehte	ɑ m b e ç t e
ambehtes	ɑ m b e ç t e s
ambehtsmiþ	ɑ m b e ç t s m i θ
ambehtsmiþa	ɑ m b e ç t s m i ð ɑ
ambehtsmiþas	ɑ m b e ç t s m i ð ɑ s
ambehtsmiþe	ɑ m b e ç t s m i ð e
ambehtsmiþes	ɑ m b e ç t s m i ð e s
ambehtsmiþum	ɑ m b e ç t s m i ð u m
ambehtum	ɑ m b e ç t u m
ambiht	ɑ m b i ç t
amearca	ɑː m æ͜ɑ rˠ k ɑ
amearcast	ɑː m æ͜ɑ rˠ k ɑ s t
amearcaþ	ɑː m æ͜ɑ rˠ k ɑ θ
amearcian	ɑː m æ͜ɑ rˠ k i ɑ n
amearciaþ	ɑː m æ͜ɑ rˠ k i ɑ θ
amearcige	ɑː m æ͜ɑ rˠ k i j e
amearcod	ɑː m æ͜ɑ rˠ k o d
amearcode	ɑː m æ͜ɑ rˠ k o d e
amearcodon	ɑː m æ͜ɑ rˠ k o d o n
amerde	ɑː m e rˠ d e
amerden	ɑː m e rˠ d e n
amerdes	ɑː m e rˠ d e s
amerdon	ɑː m e rˠ d o n
amerdun	ɑː m e rˠ d u n
amergende	ɑː m e rˠ j e n d e
amergenne	ɑː m e rˠ j e n n e
amerian	ɑː m e rˠ j ɑ n
ameriende	ɑː m e rˠ j e n d e
amerienne	ɑː m e rˠ j e n n e
amerran	ɑː m e rˠ rˠ ɑ n
amerranne	ɑː m e rˠ rˠ ɑ n n e
amerraþ	ɑː m e rˠ rˠ ɑ θ
amerre	ɑː m e rˠ rˠ e
amerred	ɑː m e rˠ rˠ e d
amerren	ɑː m e rˠ rˠ e n
amerrende	ɑː m e rˠ rˠ e n d e
amerrenne	ɑː m e rˠ rˠ e n n e
amerru	ɑː m e rˠ rˠ u
amierde	ɑː m i͜y rˠ d e
amierdest	ɑː m i͜y rˠ d e s t
amierdon	ɑː m i͜y rˠ d o n
amierran	ɑː m i͜y rˠ rˠ ɑ n
amierraþ	ɑː m i͜y rˠ rˠ ɑ θ
