'ntós	n̪ t̪ o s
nestoncias	n e s̪ t̪ õ n̟ θ j a s
nestóncianas	n e s̪ t̪ õ n̟ θ j a n a s
nestós	n e s̪ t̪ o s
netu	n e t̪ u
neutralizáu	n ø u t̪ ɾ a l i θ a u̯
nevada	n e β̞ a ð̞ a
neón	n e õ ŋ
nieru	n j e ɾ u
nieta	n j e t̪ a
nietes	n j e t̪ e s
nietos	n j e t̪ o s
nietu	n j e t̪ u
nieve	n j e β̞ e
nihilismu	n i i l i z m u
nin	n ĩ ŋ
nitróxenu	n i t̪ ɾ o ʃ e n u
nivel	n i β̞ e l
nocéu	n o θ ø u
nogal	n o ɡ a l
nombro	n õ m b ɾ o
nome	n o m e
Noreña	n o ɾ e ɲ a
norma	n o ɾ m a
normalidá	n o ɾ m a l i ð̞ a
normalizáu	n o ɾ m a l i θ a u̯
normalmente	n o ɾ m a l m ẽ n̪ t̪ e
normes	n o ɾ m e s
norte	n o ɾ t̪ e
nosotros	n o s o t̪ ɾ o s
novedá	n o β̞ e ð̞ a
noventa	n o β̞ ẽ n̪ t̪ a
noviembre	n o β̞ j ẽ m b ɾ e
noviu	n o β̞ j u
ntós	n̪ t̪ o s
nube	n u β̞ e
Nuberu	n u β̞ e ɾ u
nueche	n w e t͡ʃ e
nueite	n w e i̯ t̪ e
nueva	n w e β̞ a
nueve	n w e β̞ e
nueves	n w e β̞ e s
nuevo	n w e β̞ o
nuevos	n w e β̞ o s
nuevu	n w e β̞ u
nuistru	n w i s̪ t̪ ɾ u
nun	n ũ ŋ
nunca	n u ŋ k a
náyade	n a ʝ a ð̞ e
níquel	n i k e l
níu	n i u
númaru	n u m a ɾ u
númbero	n ũ m b e ɾ o
númberu	n ũ m b e ɾ u
númiru	n u m i ɾ u
o	o
obediencia	o β̞ e ð̞ j ẽ n̟ θ j a
obleru	o β̞ l e ɾ u
obligáu	o β̞ l i ɡ a u̯
obrera	o β̞ ɾ e ɾ a
obreres	o β̞ ɾ e ɾ e s
obrero	o β̞ ɾ e ɾ o
obreros	o β̞ ɾ e ɾ o s
obreru	o β̞ ɾ e ɾ u
observas	o β̞ s e ɾ β̞ a s
observáu	o β̞ s e ɾ β̞ a u̯
oca	o k a
occitanu	o k θ i t̪ a n u
ocho	o t͡ʃ o
ochobre	o t͡ʃ o β̞ ɾ e
ocla	o k l a
octava	o k t̪ a β̞ a
octavu	o k t̪ a β̞ u
ocupada	o k u p a ð̞ a
ocupáu	o k u p a u̯
ocurrida	o k u r i ð̞ a
ocurríu	o k u r i u
oeste	o e s̪ t̪ e
ofensible	o f ẽ n s i β̞ l e
oficializáu	o f i θ j a l i θ a u̯
ogru	o ɡ ɾ u
oi	o i̯
Olay	o l a i̯
Olaya	o l a ʝ a
oligárquico	o l i ɡ a ɾ k i k o
omitida	o m i t̪ i ð̞ a
omitíu	o m i t̪ i u
once	õ n̟ θ e
oncolóxico	o ŋ k o l o ʃ i k o
onda	õ n̪ d̪ a
ondulina	õ n̪ d̪ u l i n a
Onís	o n i s
opción	o p θ j õ ŋ
operada	o p e ɾ a ð̞ a
operáu	o p e ɾ a u̯
opinión	o p i n j õ ŋ
oponer	o p o n e ɾ
oportunidá	o p o ɾ t̪ u n i ð̞ a
oprimida	o p ɾ i m i ð̞ a
oprimíu	o p ɾ i m i u
optimismu	o p t̪ i m i z m u
optáu	o p t̪ a u̯
opuesta	o p w e s̪ t̪ a
opuestes	o p w e s̪ t̪ e s
opuesto	o p w e s̪ t̪ o
opuestos	o p w e s̪ t̪ o s
opuestu	o p w e s̪ t̪ u
ora	o ɾ a
orde	o ɾ ð̞ e
ordenador	o ɾ ð̞ e n a ð̞ o ɾ
orellar	o ɾ e ʎ a ɾ
oreya	o ɾ e ʝ a
organiza	o ɾ ɡ a n i θ a
organizar	o ɾ ɡ a n i θ a ɾ
organizas	o ɾ ɡ a n i θ a s
organizo	o ɾ ɡ a n i θ o
organizáu	o ɾ ɡ a n i θ a u̯
orgasmu	o ɾ ɡ a z m u
orientáu	o ɾ j ẽ n̪ t̪ a u̯
orixe	o ɾ i ʃ e
orixináu	o ɾ i ʃ i n a u̯
orquestáu	o ɾ k e s̪ t̪ a u̯
ortográfica	o ɾ t̪ o ɡ ɾ a f i k a
ortográficos	o ɾ t̪ o ɡ ɾ a f i k o s
ortográficu	o ɾ t̪ o ɡ ɾ a f i k u
oru	o ɾ u
osu	o s u
otoñu	o t̪ o ɲ u
otru	o t̪ ɾ u
ou	o u̯
oveya	o β̞ e ʝ a
oyible	o ʝ i β̞ l e
pacetible	p a θ e t̪ i β̞ l e
pacible	p a θ i β̞ l e
paciencia	p a θ j ẽ n̟ θ j a
paciente	p a θ j ẽ n̪ t̪ e
pacientes	p a θ j ẽ n̪ t̪ e s
pacificáu	p a θ i f i k a u̯
pacifismu	p a θ i f i z m u
pactos	p a k t̪ o s
pactu	p a k t̪ u
padre	p a ð̞ ɾ e
padrinos	p a ð̞ ɾ i n o s
padrín	p a ð̞ ɾ ĩ ŋ
paeme	p a e m e
pagando	p a ɡ ã n̪ d̪ o
pagar	p a ɡ a ɾ
pagaré	p a ɡ a ɾ e
pagoda	p a ɡ o ð̞ a
pagu	p a ɡ u
paime	p a i̯ m e
paisaxe	p a i̯ s a ʃ e
palaciu	p a l a θ j u
palancana	p a l a ŋ k a n a
Palestina	p a l e s̪ t̪ i n a
paletu	p a l e t̪ u
pallabra	p a ʎ a β̞ ɾ a
palluezu	p a ʎ w e θ u
palma	p a l m a
palmera	p a l m e ɾ a
palomba	p a l õ m b a
palombar	p a l õ m b a ɾ
pame	p a m e
Panamá	p a n a m a
pande	p ã n̪ d̪ e
pandemia	p ã n̪ d̪ e m j a
panible	p a n i β̞ l e
panocha	p a n o t͡ʃ a
panoya	p a n o ʝ a
pantasma	p ã n̪ t̪ a z m a
pantufla	p ã n̪ t̪ u f l a
papiellu	p a p j e ʎ u
papola	p a p o l a
Paraguái	p a ɾ a ɡ w a i̯
paraxismu	p a ɾ a ʃ i z m u
parcialmente	p a ɾ θ j a l m ẽ n̪ t̪ e
pardal	p a ɾ ð̞ a l
parede	p a ɾ e ð̞ e
pareme	p a ɾ e m e
pariente	p a ɾ j ẽ n̪ t̪ e
parlamentos	p a ɾ l a m ẽ n̪ t̪ o s
parllamentos	p a ɾ ʎ a m ẽ n̪ t̪ o s
parllamentu	p a ɾ ʎ a m ẽ n̪ t̪ u
parllar	p a ɾ ʎ a ɾ
parllotar	p a ɾ ʎ o t̪ a ɾ
parola	p a ɾ o l a
parolar	p a ɾ o l a ɾ
Parres	p a r e s
parrocha	p a r o t͡ʃ a
parroquia	p a r o k j a
participar	p a ɾ t̪ i θ i p a ɾ
participáu	p a ɾ t̪ i θ i p a u̯
partida	p a ɾ t̪ i ð̞ a
partir	p a ɾ t̪ i ɾ
partícula	p a ɾ t̪ i k u l a
partíu	p a ɾ t̪ i u
parva	p a ɾ β̞ a
París	p a ɾ i s
pataca	p a t̪ a k a
patialbu	p a t̪ j a l β̞ u
patriotismu	p a t̪ ɾ j o t̪ i z m u
paula	p a u̯ l a
paxareiru	p a ʃ a ɾ e i̯ ɾ u
paxareru	p a ʃ a ɾ e ɾ u
paxarina	p a ʃ a ɾ i n a
paya	p a ʝ a
payar	p a ʝ a ɾ
payares	p a ʝ a ɾ e s
paz	p a θ
paéme	p a e m e
paémeque	p a e m e k e
pañadizu	p a ɲ a ð̞ i θ u
pañador	p a ɲ a ð̞ o ɾ
pañal	p a ɲ a l
paḷḷuezu	p a t͡ʂ w e θ u
pecáu	p e k a u̯
pedazu	p e ð̞ a θ u
pedraz	p e ð̞ ɾ a θ
pedrisca	p e ð̞ ɾ i s k a
pega	p e ɡ a
pegasu	p e ɡ a s u
peime	p e i̯ m e
peliar	p e l j a ɾ
peligrosa	p e l i ɡ ɾ o s a
peligroso	p e l i ɡ ɾ o s o
peligrosos	p e l i ɡ ɾ o s o s
pelleyos	p e ʎ e ʝ o s
pelleyu	p e ʎ e ʝ u
peme	p e m e
penada	p e n a ð̞ a
pencu	p e ŋ k u
pendayuri	p ẽ n̪ d̪ a ʝ u ɾ i
pende	p ẽ n̪ d̪ e
pendebaxo	p ẽ n̪ d̪ e β̞ a ʃ o
penderriba	p ẽ n̪ d̪ e r i β̞ a
pendiente	p ẽ n̪ d̪ j ẽ n̪ t̪ e
pendientes	p ẽ n̪ d̪ j ẽ n̪ t̪ e s
pensatible	p ẽ n s a t̪ i β̞ l e
peor	p e o ɾ
peor	p j o ɾ
peor	p i o ɾ
pequeñu	p e k e ɲ u
pequeñín	p e k e ɲ ĩ ŋ
pequeñín	p i k i ɲ ĩ ŋ
pequí	p e k i
pera	p e ɾ a
percibíu	p e ɾ θ i β̞ i u
pericote	p e ɾ i k o t̪ e
periodista	p e ɾ j o ð̞ i s̪ t̪ a
perllesía	p e ɾ ʎ e s i a
permitida	p e ɾ m i t̪ i ð̞ a
permitíu	p e ɾ m i t̪ i u
pernil	p e ɾ n i l
pero	p e ɾ o
perpetráu	p e ɾ p e t̪ ɾ a u̯
perriellu	p e r j e ʎ u
perru	p e r u
persistida	p e ɾ s i s̪ t̪ i ð̞ a
persistíu	p e ɾ s i s̪ t̪ i u
personalizáu	p e ɾ s o n a l i θ a u̯
personax	p e ɾ s o n a ʃ
personaxe	p e ɾ s o n a ʃ e
personificáu	p e ɾ s o n i f i k a u̯
pervertíu	p e ɾ β̞ e ɾ t̪ i u
pes	p e s
pescadería	p e s k a ð̞ e ɾ i a
pescanciar	p e s k ã n̟ θ j a ɾ
pescar	p e s k a ɾ
pescuezu	p e s k w e θ u
peseta	p e s e t̪ a
pesimismu	p e s i m i z m u
pesllar	p e z ʎ a ɾ
petar	p e t̪ a ɾ
petrificáu	p e t̪ ɾ i f i k a u̯
pexe	p e ʃ e
pexes	p e ʃ e s
peyor	p e ʝ o ɾ
pezuña	p e θ u ɲ a
Pezós	p e θ o s
peón	p e õ ŋ
picapodre	p i k a p o ð̞ ɾ e
picar	p i k a ɾ
pichete	p i t͡ʃ e t̪ e
pictóricu	p i k t̪ o ɾ i k u
pie	p j e
piedra	p j e ð̞ ɾ a
piel	p j e l
pies	p j e s
piescu	p j e s k u
piesllu	p j e z ʎ u
pieza	p j e θ a
pigazosu	p i ɡ a θ o s u
pigañón	p i ɡ a ɲ õ ŋ
Piloña	p i l o ɲ a
pilón	p i l õ ŋ
pimplar	p ĩ m p l a ɾ
pimplón	p ĩ m p l õ ŋ
pingar	p i ŋ ɡ a ɾ
pingüín	p i ŋ ɡ w ĩ ŋ
pintar	p ĩ n̪ t̪ a ɾ
pintureru	p ĩ n̪ t̪ u ɾ e ɾ u
pinu	p i n u
pior	p j o ɾ
pior	p i o ɾ
pioyu	p j o ʝ u
pipa	p i p a
piquiñín	p i k i ɲ ĩ ŋ
pirata	p i ɾ a t̪ a
piraña	p i ɾ a ɲ a
pirámide	p i ɾ a m i ð̞ e
pistaña	p i s̪ t̪ a ɲ a
pitina	p i t̪ i n a
pitisú	p i t̪ i s u
Pitágoras	p i t̪ a ɡ o ɾ a s
pitín	p i t̪ ĩ ŋ
pixa	p i ʃ a
pixuatu	p i ʃ w a t̪ u
pixuetu	p i ʃ w e t̪ u
piyar	p i ʝ a ɾ
piyor	p i ʝ o ɾ
pizarra	p i θ a r a
piḥu	p i h u
plan	p l ã ŋ
planeta	p l a n e t̪ a
planta	p l ã n̪ t̪ a
planu	p l a n u
plata	p l a t̪ a
platicar	p l a t̪ i k a ɾ
playa	p l a ʝ a
playeru	p l a ʝ e ɾ u
playes	p l a ʝ e s
playu	p l a ʝ u
plaza	p l a θ a
pluma	p l u m a
Plutarcu	p l u t̪ a ɾ k u
pláganu	p l a ɡ a n u
Pléyades	p l e ʝ a ð̞ e s
poblaciones	p o β̞ l a θ j o n e s
población	p o β̞ l a θ j õ ŋ
podida	p o ð̞ i ð̞ a
podiu	p o ð̞ j u
podre	p o ð̞ ɾ e
podredume	p o ð̞ ɾ e ð̞ u m e
podricu	p o ð̞ ɾ i k u
podrén	p o ð̞ ɾ ẽ ŋ
podíu	p o ð̞ i u
poema	p o e m a
poesía	p o e s i a
poeta	p o e t̪ a
polarizáu	p o l a ɾ i θ a u̯
pollín	p o ʎ ĩ ŋ
polmón	p o l m õ ŋ
Polonia	p o l o n j a
política	p o l i t̪ i k a
políticamente	p o l i t̪ i k a m ẽ n̪ t̪ e
pomar	p o m a ɾ
pomarada	p o m a ɾ a ð̞ a
ponderatible	p õ n̪ d̪ e ɾ a t̪ i β̞ l e
poner	p o n e ɾ
Ponga	p o ŋ ɡ a
ponte	p õ n̪ t̪ e
popa	p o p a
popularizáu	p o p u l a ɾ i θ a u̯
porción	p o ɾ θ j õ ŋ
porcozón	p o ɾ k o θ õ ŋ
porgüeyu	p o ɾ ɡ w e ʝ u
pornografía	p o ɾ n o ɡ ɾ a f i a
pornográfica	p o ɾ n o ɡ ɾ a f i k a
pornográfico	p o ɾ n o ɡ ɾ a f i k o
pornográficos	p o ɾ n o ɡ ɾ a f i k o s
pornográficu	p o ɾ n o ɡ ɾ a f i k u
porque	p o ɾ k e
porreteru	p o r e t̪ e ɾ u
porta	p o ɾ t̪ a
portada	p o ɾ t̪ a ð̞ a
portalada	p o ɾ t̪ a l a ð̞ a
portar	p o ɾ t̪ a ɾ
portiar	p o ɾ t̪ j a ɾ
portiella	p o ɾ t̪ j e ʎ a
portuguesa	p o ɾ t̪ u ɡ e s a
portugués	p o ɾ t̪ u ɡ e s
portáu	p o ɾ t̪ a u̯
pos	p o s
posa	p o s a
posar	p o s a ɾ
posguerra	p o z ɡ e r a
pospuesta	p o s p w e s̪ t̪ a
pospuestes	p o s p w e s̪ t̪ e s
pospuesto	p o s p w e s̪ t̪ o
pospuestos	p o s p w e s̪ t̪ o s
pospuestu	p o s p w e s̪ t̪ u
pota	p o t̪ a
potable	p o t̪ a β̞ l e
pousar	p o u̯ s a ɾ
povisa	p o β̞ i s a
Pravia	p ɾ a β̞ j a
prebar	p ɾ e β̞ a ɾ
precedente	p ɾ e θ e ð̞ ẽ n̪ t̪ e
predicha	p ɾ e ð̞ i t͡ʃ a
prediches	p ɾ e ð̞ i t͡ʃ e s
predicho	p ɾ e ð̞ i t͡ʃ o
predichos	p ɾ e ð̞ i t͡ʃ o s
predichu	p ɾ e ð̞ i t͡ʃ u
preferida	p ɾ e f e ɾ i ð̞ a
preferíu	p ɾ e f e ɾ i u
pregunta	p ɾ e ɡ ũ n̪ t̪ a
preguntar	p ɾ e ɡ ũ n̪ t̪ a ɾ
prendíu	p ɾ ẽ n̪ d̪ i u
prescrito	p ɾ e s k ɾ i t̪ o
prescritu	p ɾ e s k ɾ i t̪ u
presea	p ɾ e s e a
presees	p ɾ e s e e s
presentar	p ɾ e s ẽ n̪ t̪ a ɾ
presentimientu	p ɾ e s ẽ n̪ t̪ i m j ẽ n̪ t̪ u
presidente	p ɾ e s i ð̞ ẽ n̪ t̪ e
presidentes	p ɾ e s i ð̞ ẽ n̪ t̪ e s
presión	p ɾ e s j õ ŋ
prestar	p ɾ e s̪ t̪ a ɾ
preste	p ɾ e s̪ t̪ e
prestixu	p ɾ e s̪ t̪ i ʃ u
prestíu	p ɾ e s̪ t̪ i u
preséu	p ɾ e s ø u
preveníu	p ɾ e β̞ e n i u
preñada	p ɾ e ɲ a ð̞ a
prima	p ɾ i m a
primavera	p ɾ i m a β̞ e ɾ a
primes	p ɾ i m e s
primos	p ɾ i m o s
primu	p ɾ i m u
primíu	p ɾ i m i u
principiu	p ɾ ĩ n̟ θ i p j u
principáu	p ɾ ĩ n̟ θ i p a u̯
Principáu	p ɾ ĩ n̟ θ i p a u̯
prisión	p ɾ i s j õ ŋ
Proaza	p ɾ o a θ a
probar	p ɾ o β̞ a ɾ
probe	p ɾ o β̞ e
probeza	p ɾ o β̞ e θ a
probitú	p ɾ o β̞ i t̪ u
problema	p ɾ o β̞ l e m a
procedáis	p ɾ o θ e ð̞ a i̯ s
procedéis	p ɾ o θ e ð̞ e i̯ s
procedía	p ɾ o θ e ð̞ i a
procedíu	p ɾ o θ e ð̞ i u
proclamáu	p ɾ o k l a m a u̯
producida	p ɾ o ð̞ u θ i ð̞ a
producir	p ɾ o ð̞ u θ i ɾ
productible	p ɾ o ð̞ u t̪ i β̞ l e
producíu	p ɾ o ð̞ u θ i u
profesión	p ɾ o f e s j õ ŋ
profesor	p ɾ o f e s o ɾ
profeta	p ɾ o f e t̪ a
programa	p ɾ o ɡ ɾ a m a
progresivo	p ɾ o ɡ ɾ e s i β̞ o
progresivu	p ɾ o ɡ ɾ e s i β̞ u
prohibida	p ɾ o i β̞ i ð̞ a
prohibíu	p ɾ o i β̞ i u
promesa	p ɾ o m e s a
pronome	p ɾ o n o m e
pronto	p ɾ õ n̪ t̪ o
pronunciáu	p ɾ o n ũ n̟ θ j a u̯
proporción	p ɾ o p o ɾ θ j õ ŋ
propuesta	p ɾ o p w e s̪ t̪ a
propuestes	p ɾ o p w e s̪ t̪ e s
propuesto	p ɾ o p w e s̪ t̪ o
propuestos	p ɾ o p w e s̪ t̪ o s
propuestu	p ɾ o p w e s̪ t̪ u
protexíu	p ɾ o t̪ e ʃ i u
proverbiu	p ɾ o β̞ e ɾ β̞ j u
provincia	p ɾ o β̞ ĩ n̟ θ j a
provincies	p ɾ o β̞ ĩ n̟ θ j e s
provocatible	p ɾ o β̞ o k a t̪ i β̞ l e
provocáu	p ɾ o β̞ o k a u̯
prudente	p ɾ u ð̞ ẽ n̪ t̪ e
prudentes	p ɾ u ð̞ ẽ n̪ t̪ e s
prueba	p ɾ w e β̞ a
práuticamente	p ɾ a u̯ t̪ i k a m ẽ n̪ t̪ e
próximo	p ɾ o k s i m o
próximu	p ɾ o ʃ i m u
psiquiátrico	s i k j a t̪ ɾ i k o
puarta	p w a ɾ t̪ a
pueblu	p w e β̞ l u
puente	p w ẽ n̪ t̪ e
puercu	p w e ɾ k u
puerta	p w e ɾ t̪ a
puerte	p w e ɾ t̪ e
puerto	p w e ɾ t̪ o
puertu	p w e ɾ t̪ u
pues	p w e s
puesta	p w e s̪ t̪ a
puestes	p w e s̪ t̪ e s
puesto	p w e s̪ t̪ o
puestos	p w e s̪ t̪ o s
puestu	p w e s̪ t̪ u
pufista	p u f i s̪ t̪ a
pufu	p u f u
pulgar	p u l ɡ a ɾ
pulientes	p u l j ẽ n̪ t̪ e s
pulsera	p u l s e ɾ a
pumar	p u m a ɾ
pumarada	p u m a ɾ a ð̞ a
Pumarín	p u m a ɾ ĩ ŋ
puntu	p ũ n̪ t̪ u
puorta	p w o ɾ t̪ a
puorto	p w o ɾ t̪ o
pura	p u ɾ a
pures	p u ɾ e s
pureza	p u ɾ e θ a
purifica	p u ɾ i f i k a
purificáu	p u ɾ i f i k a u̯
puro	p u ɾ o
puru	p u ɾ u
pus	p u s
puta	p u t̪ a
putes	p u t̪ e s
puya	p u ʝ a
puörte	p w ø ɾ t̪ e
puös	p w ø s
páemeque	p a e m e k e
páimeque	p a i̯ m e k e
pámique	p a m i k e
párpagu	p a ɾ p a ɡ u
páxaru	p a ʃ a ɾ u
páxina	p a ʃ i n a
pémeque	p e m e k e
pémique	p e m i k e
péritu	p e ɾ i t̪ u
pésimu	p e s i m u
pía	p i a
pïor	p i o ɾ
pólvora	p o l β̞ o ɾ a
públicu	p u β̞ l i k u
que	k e
querer	k e ɾ e ɾ
querida	k e ɾ i ð̞ a
queríes	k e ɾ i e s
queríos	k e ɾ i o s
queríu	k e ɾ i u
quesu	k e s u
quesín	k e s ĩ ŋ
quexume	k e ʃ u m e
qui	k i
quimera	k i m e ɾ a
quinientos	k i n j ẽ n̪ t̪ o s
quintetu	k ĩ n̪ t̪ e t̪ u
quirosanu	k i ɾ o s a n u
Quirós	k i ɾ o s
quiái	k j a i̯
químiques	k i m i k e s
rabalbu	r a β̞ a l β̞ u
rabiosu	r a β̞ j o s u
rabu	r a β̞ u
rabín	r a β̞ ĩ ŋ
racionalizáu	r a θ j o n a l i θ a u̯
raigañu	r a i̯ ɡ a ɲ u
raitán	r a i̯ t̪ ã ŋ
rala	r a l a
rambla	r ã m b l a
rampla	r ã m p l a
rancor	r a ŋ k o ɾ
rapacín	r a p a θ ĩ ŋ
rapaz	r a p a θ
rapazacu	r a p a θ a k u
rapazayu	r a p a θ a ʝ u
rapazos	r a p a θ o s
rapazón	r a p a θ õ ŋ
ratón	r a t̪ õ ŋ
raza	r a θ a
razonable	r a θ o n a β̞ l e
razón	r a θ õ ŋ
raíces	r a i θ e s
raíz	r a i θ
rebelgos	r e β̞ e l ɡ o s
rebelguinos	r e β̞ e l ɡ i n o s
rebeyón	r e β̞ e ʝ õ ŋ
recapituláu	r e k a p i t̪ u l a u̯
recibir	r e θ i β̞ i ɾ
recibíu	r e θ i β̞ i u
reciella	r e θ j e ʎ a
recielles	r e θ j e ʎ e s
recitáu	r e θ i t̪ a u̯
reclamáu	r e k l a m a u̯
recomendación	r e k o m ẽ n̪ d̪ a θ j õ ŋ
recompuesta	r e k õ m p w e s̪ t̪ a
recompuestes	r e k õ m p w e s̪ t̪ e s
recompuesto	r e k õ m p w e s̪ t̪ o
recompuestos	r e k õ m p w e s̪ t̪ o s
recompuestu	r e k õ m p w e s̪ t̪ u
reconocer	r e k o n o θ e ɾ
reconocíu	r e k o n o θ i u
recubiertes	r e k u β̞ j e ɾ t̪ e s
reducida	r e ð̞ u θ i ð̞ a
reducir	r e ð̞ u θ i ɾ
reducíu	r e ð̞ u θ i u
reduplicáu	r e ð̞ u p l i k a u̯
Refael	r e f a e l
referencia	r e f e ɾ ẽ n̟ θ j a
referencies	r e f e ɾ ẽ n̟ θ j e s
referida	r e f e ɾ i ð̞ a
referíu	r e f e ɾ i u
refocil	r e f o θ i l
regantible	r e ɡ ã n̪ t̪ i β̞ l e
regatu	r e ɡ a t̪ u
regresos	r e ɡ ɾ e s o s
regueifa	r e ɡ e i̯ f a
regular	r e ɡ u l a ɾ
reguláu	r e ɡ u l a u̯
rei	r e i̯
reimprimíu	r ẽ ĩ m p ɾ i m i u
reinos	r e i̯ n o s
reinu	r e i̯ n u
rellacionar	r e ʎ a θ j o n a ɾ
rellación	r e ʎ a θ j õ ŋ
rellampu	r e ʎ ã m p u
rellumante	r e ʎ u m ã n̪ t̪ e
rellumu	r e ʎ u m u
rellámpagu	r e ʎ ã m p a ɡ u
remedia	r e m e ð̞ j a
remediar	r e m e ð̞ j a ɾ
remedio	r e m e ð̞ j o
remitida	r e m i t̪ i ð̞ a
remitíu	r e m i t̪ i u
renacimientos	r e n a θ i m j ẽ n̪ t̪ o s
renacimientu	r e n a θ i m j ẽ n̪ t̪ u
renacíu	r e n a θ i u
renováu	r e n o β̞ a u̯
renra	r ẽ n r a
reparatible	r e p a ɾ a t̪ i β̞ l e
repercutíu	r e p e ɾ k u t̪ i u
reposaremos	r e p o s a ɾ e m o s
reposáremos	r e p o s a ɾ e m o s
represa	r e p ɾ e s a
represes	r e p ɾ e s e s
represión	r e p ɾ e s j õ ŋ
reprimida	r e p ɾ i m i ð̞ a
reprimíu	r e p ɾ i m i u
reproducida	r e p ɾ o ð̞ u θ i ð̞ a
reproducíu	r e p ɾ o ð̞ u θ i u
repuesta	r e p w e s̪ t̪ a
repuestes	r e p w e s̪ t̪ e s
repuesto	r e p w e s̪ t̪ o
repuestos	r e p w e s̪ t̪ o s
repuestu	r e p w e s̪ t̪ u
repunante	r e p u n ã n̪ t̪ e
requerida	r e k e ɾ i ð̞ a
requeríu	r e k e ɾ i u
requexu	r e k e ʃ u
rescamplante	r e s k ã m p l ã n̪ t̪ e
rescamplu	r e s k ã m p l u
rescamplíu	r e s k ã m p l i u
reserváu	r e s e ɾ β̞ a u̯
resistida	r e s i s̪ t̪ i ð̞ a
resistíu	r e s i s̪ t̪ i u
respetible	r e s p e t̪ i β̞ l e
respeutive	r e s p ø u t̪ i β̞ e
respondíu	r e s p õ n̪ d̪ i u
restallón	r e s̪ t̪ a ʎ õ ŋ
restauráu	r e s̪ t̪ a u̯ ɾ a u̯
restolador	r e s̪ t̪ o l a ð̞ o ɾ
restolar	r e s̪ t̪ o l a ɾ
restorante	r e s̪ t̪ o ɾ ã n̪ t̪ e
restrinxida	r e s̪ t̪ ɾ ĩ ɲ ʃ i ð̞ a
restrinxir	r e s̪ t̪ ɾ ĩ ɲ ʃ i ɾ
restrinxíu	r e s̪ t̪ ɾ ĩ ɲ ʃ i u
resuelta	r e s w e l̪ t̪ a
resueltes	r e s w e l̪ t̪ e s
resuelto	r e s w e l̪ t̪ o
resueltos	r e s w e l̪ t̪ o s
resueltu	r e s w e l̪ t̪ u
resultada	r e s u l̪ t̪ a ð̞ a
resultaes	r e s u l̪ t̪ a e s
resultao	r e s u l̪ t̪ a o
resultaos	r e s u l̪ t̪ a o s
resultar	r e s u l̪ t̪ a ɾ
resultáu	r e s u l̪ t̪ a u̯
reta	r e t̪ a
retan	r e t̪ ã ŋ
retar	r e t̪ a ɾ
retenida	r e t̪ e n i ð̞ a
reteníes	r e t̪ e n i e s
reteníu	r e t̪ e n i u
retratu	r e t̪ ɾ a t̪ u
retrayida	r e t̪ ɾ a ʝ i ð̞ a
retrayíes	r e t̪ ɾ a ʝ i e s
retrayío	r e t̪ ɾ a ʝ i o
retrayíos	r e t̪ ɾ a ʝ i o s
retrayíu	r e t̪ ɾ a ʝ i u
retrañir	r e t̪ ɾ a ɲ i ɾ
retrete	r e t̪ ɾ e t̪ e
retrucar	r e t̪ ɾ u k a ɾ
reunificáu	r ø u n i f i k a u̯
revertíu	r e β̞ e ɾ t̪ i u
revesosu	r e β̞ e s o s u
revisáu	r e β̞ i s a u̯
revolución	r e β̞ o l u θ j õ ŋ
revolución	r e β̞ u l u θ j õ ŋ
revueltu	r e β̞ w e l̪ t̪ u
rial	r j a l
Ribadeva	r i β̞ a ð̞ e β̞ a
Ribedeva	r i β̞ e ð̞ e β̞ a
Ribesella	r i β̞ e s e ʎ a
Ribeseya	r i β̞ e s e ʝ a
riesgu	r j e z ɡ u
rinoceronte	r i n o θ e ɾ õ n̪ t̪ e
Riosa	r i o s a
robando	r o β̞ ã n̪ d̪ o
roblar	r o β̞ l a ɾ
roble	r o β̞ l e
rocea	r o θ e a
roceanu	r o θ e a n u
Roces	r o θ e s
rodiya	r o ð̞ i ʝ a
roldar	r o l̪ d̪ a ɾ
romanizáu	r o m a n i θ a u̯
ronchel	r õ n t͡ʃ e l
rosa	r o s a
rosca	r o s k a
roses	r o s e s
rostros	r o s̪ t̪ ɾ o s
rostru	r o s̪ t̪ ɾ u
roxo	r o ʃ o
roxu	r o ʃ u
roxura	r o ʃ u ɾ a
ruin	r w ĩ ŋ
ruines	r w i n e s
rula	r u l a
Rumanía	r u m a n i a
rural	r u ɾ a l
Rusia	r u s j a
rustidor	r u s̪ t̪ i ð̞ o ɾ
rustir	r u s̪ t̪ i ɾ
rusu	r u s u
ruto	r u t̪ o
rábanos	r a β̞ a n o s
réxime	r e ʃ i m e
ríu	r i u
ríxidu	r i ʃ i ð̞ u
sabelotoo	s a β̞ e l o t̪ o o
sabencia	s a β̞ ẽ n̟ θ j a
saber	s a β̞ e ɾ
sabichegu	s a β̞ i t͡ʃ e ɡ u
sabicheru	s a β̞ i t͡ʃ e ɾ u
sabida	s a β̞ i ð̞ a
sable	s a β̞ l e
saborgar	s a β̞ o ɾ ɡ a ɾ
sabíu	s a β̞ i u
sacaera	s a k a e ɾ a
sacaveira	s a k a β̞ e i̯ ɾ a
sacavela	s a k a β̞ e l a
sacavera	s a k a β̞ e ɾ a
sacerdote	s a θ e ɾ ð̞ o t̪ e
sacrificáu	s a k ɾ i f i k a u̯
sal	s a l
Salas	s a l a s
salida	s a l i ð̞ a
salinidá	s a l i n i ð̞ a
