Ա	ɑ
ՀՀԿ	h ə h ə k ə
ՀՏՀ	h ə t ə h ə
Հաագա	h ɑ ɑ ɡ ɑ
Հաբսբուրգ	h ɑ b s b u ɾ ɡ
Հալիկառնաս	h ɑ l i k ɑ r n ɑ s
Հալվաճյան	h ɑ l v ɑ t͡ʃ j ɑ n
Հալվաջյան	h ɑ l v ɑ d͡ʒ j ɑ n
Համա	h ɑ m ɑ
Համադան	h ɑ m ɑ d ɑ n
Համազասպ	h ɑ m ɑ z ɑ s p
Համալյան	h ɑ m ɑ l j ɑ n
Համամճյան	h ɑ m ɑ m t͡ʃ j ɑ n
Համամչյան	h ɑ m ɑ m t͡ʃʰ j ɑ n
Համամջյան	h ɑ m ɑ m d͡ʒ j ɑ n
Համասյան	h ɑ m ɑ s j ɑ n
Համբարձում	h ɑ m b ɑ ɾ d͡z u m
Համբարձումյան	h ɑ m b ɑ ɾ t͡sʰ u m j ɑ n
Համբուրգ	h ɑ m b u ɾ ɡ
Համիլկար	h ɑ m i l k ɑ ɾ
Համսուն	h ɑ m s u n
Հայասա	h ɑ j ɑ s ɑ
Հայաստան	h ɑ j ɑ s t ɑ n
Հայաստանի	h ɑ j ɑ s t ɑ n i
Հայաքաղաք	h ɑ j ɑ kʰ ɑ ʁ ɑ kʰ
Հայդարաբադ	h ɑ j d ɑ ɾ ɑ b ɑ d
Հայիթի	h ɑ j i tʰ i
Հայկ	h ɑ j k
Հայկազն	h ɑ j k ɑ z ə n
Հայկազունի	h ɑ j k ɑ z u n i
Հայնրիխ	h ɑ j n ɾ i χ
Հայրիկյան	h ɑ j ɾ i k j ɑ n
Հայք	h ɑ j kʰ
Հայֆա	h ɑ j f ɑ
Հաննիբալ	h ɑ nː i b ɑ l
Հաուրան	h ɑ u ɾ ɑ n
Հասդրուբալ	h ɑ s d ɾ u b ɑ l
Հասմիկ	h ɑ s m i k
Հաստրուբալ	h ɑ s t ɾ u b ɑ l
Հավանա	h ɑ v ɑ n ɑ
Հավր	h ɑ v ə ɾ
Հարավսլավիա	h ɑ ɾ ɑ f s l ɑ v i j ɑ
Հարբութլյան	h ɑ ɾ b u tʰ l j ɑ n
Հարթման	h ɑ ɾ tʰ m ɑ n
Հարյանա	h ɑ ɾ j ɑ n ɑ
Հարություն	h ɑ ɾ u t͡sʰ j u n
Հարությունյան	h ɑ ɾ u t͡sʰ j u n j ɑ n
Հարուն	h ɑ ɾ u n
Հարտման	h ɑ ɾ t m ɑ n
Հարց	h ɑ ɾ t͡sʰ
Հիացինտ	h i j ɑ t͡sʰ i n t
Հինդուկուշ	h i n d u k u ʃ
Հինդուստան	h i n d u s t ɑ n
Հիջազ	h i d͡ʒ ɑ z
Հիսուս	h i s u s
Հմայակ	h ə m ɑ j ɑ k
Հյուսնյան	h j u s ə n j ɑ n
Հնդկաչին	h ə n d k ɑ t͡ʃʰ i n
Հնդկաստան	h ə n d k ɑ s t ɑ n
Հնդստան	h ə n d ə s t ɑ n
Հուդա	h u d ɑ
Հուդիթ	h u d i tʰ
Հունան	h u n ɑ n
Հունանյան	h u n ɑ n j ɑ n
Հունաստան	h u n ɑ s t ɑ n
Հունգարիա	h u ŋ ɡ ɑ ɾ i j ɑ
Հուս	h u s
Հուսիկ	h u s i k
Հռութ	h ə r u tʰ
Հրազդան	h ə ɾ ɑ z d ɑ n
Հրայր	h ə ɾ ɑ j ɾ
Հրանտ	h ə ɾ ɑ n t
Հրաչ	h ə ɾ ɑ t͡ʃʰ
Հրաչյա	h ə ɾ ɑ t͡ʃʰ j ɑ
Հրատ	h ə ɾ ɑ t
Հրեաստան	h ə ɾ j ɑ s t ɑ n
Ձ	d͡z ə
ՁԻԱՀ	d͡z i ɑ h
Ձաուջիկաու	d͡z ɑ u d͡ʒ i k ɑ u
Ձվիկ	d͡z ə v i k
Ղ	ʁ ə
Ղազախստան	ʁ ɑ z ɑ χ s t ɑ n
Ղազանչյան	ʁ ɑ z ɑ n t͡ʃʰ j ɑ n
Ղազար	ʁ ɑ z ɑ ɾ
Ղազարյան	ʁ ɑ z ɑ ɾ j ɑ n
Ղազվին	ʁ ɑ z v i n
Ղալամյան	ʁ ɑ l ɑ m j ɑ n
Ղանդահար	ʁ ɑ n d ɑ h ɑ ɾ
Ղանդիլջյան	ʁ ɑ n d i l d͡ʒ j ɑ n
Ղանթարջյան	ʁ ɑ n tʰ ɑ ɾ d͡ʒ j ɑ n
Ղասաբյան	ʁ ɑ s ɑ b j ɑ n
Ղարաբաղ	ʁ ɑ ɾ ɑ b ɑ ʁ
Ղարիբյան	ʁ ɑ ɾ i b j ɑ n
Ղարս	ʁ ɑ ɾ s
Ղափան	ʁ ɑ pʰ ɑ n
Ղափլանյան	ʁ ɑ pʰ l ɑ n j ɑ n
Ղզլար	ʁ ə z l ɑ ɾ
Ղուկաս	ʁ u k ɑ s
Ղուկասյան	ʁ u k ɑ s j ɑ n
Ղում	ʁ u m
Ղուրան	ʁ u ɾ ɑ n
Ղրիմ	ʁ ə ɾ i m
Ղրղզստան	ʁ ə ɾ ʁ ə z s t ɑ n
Ճ	t͡ʃ ə
Ճամայկա	t͡ʃ ɑ m ɑ j k ɑ
Ճամճյան	t͡ʃ ɑ m t͡ʃ j ɑ n
Ճավա	t͡ʃ ɑ v ɑ
Մ	m ə
ՄԱԿ	m ɑ k
ՄԻԱՎ	m i j ɑ v
ՄՀԱ	m ə h ə ɑ
Մագադան	m ɑ ɡ ɑ d ɑ n
Մագաս	m ɑ ɡ ɑ s
Մագասճյան	m ɑ ɡ ɑ s t͡ʃ j ɑ n
Մադագասկար	m ɑ d ɑ ɡ ɑ s k ɑ ɾ
Մադադյան	m ɑ d ɑ d j ɑ n
Մադաթ	m ɑ d ɑ tʰ
Մադաթյան	m ɑ d ɑ tʰ j ɑ n
Մադրիդ	m ɑ d ɾ i d
Մաթուսաղա	m ɑ tʰ u s ɑ ʁ ɑ
Մալաճյան	m ɑ l ɑ t͡ʃ j ɑ n
Մալայան	m ɑ l ɑ j ɑ n
Մալայզիա	m ɑ l ɑ j z i j ɑ
Մալաջյան	m ɑ l ɑ d͡ʒ j ɑ n
Մալավի	m ɑ l ɑ v i
Մալթա	m ɑ l tʰ ɑ
Մալի	m ɑ l i
Մախաչկալա	m ɑ χ ɑ t͡ʃʰ k ɑ l ɑ
Մակաու	m ɑ k ɑ u
Մակար	m ɑ k ɑ ɾ
Մակարյան	m ɑ k ɑ ɾ j ɑ n
Մահարաշտրա	m ɑ h ɑ ɾ ɑ ʃ t ɾ ɑ
Մահջուբյան	m ɑ h d͡ʒ u b j ɑ n
Մաղազաճյան	m ɑ ʁ ɑ z ɑ t͡ʃ j ɑ n
Մաճունճյան	m ɑ t͡ʃ u n t͡ʃ j ɑ n
Մայն	m ɑ j n
Մանագուա	m ɑ n ɑ ɡ u ɑ
Մանամա	m ɑ n ɑ m ɑ
Մանանդյան	m ɑ n ɑ n d j ɑ n
Մանասյան	m ɑ n ɑ s j ɑ n
Մանդակունի	m ɑ n d ɑ k u n i
Մանիպուր	m ɑ n i p u ɾ
Մանկասար	m ɑ ŋ k ɑ s ɑ ɾ
Մանուկ	m ɑ n u k
Մանուկյան	m ɑ n u k j ɑ n
Մանուշյան	m ɑ n u ʃ j ɑ n
Մանուչար	m ɑ n u t͡ʃʰ ɑ ɾ
Մանուչարյան	m ɑ n u t͡ʃʰ ɑ ɾ j ɑ n
Մանջուրիա	m ɑ n d͡ʒ u ɾ i j ɑ
Մաջունջյան	m ɑ d͡ʒ u n d͡ʒ j ɑ n
Մառն	m ɑ r n
Մասիս	m ɑ s i s
Մասկաթ	m ɑ s k ɑ tʰ
Մասկատ	m ɑ s k ɑ t
Մավրիտանիա	m ɑ v ɾ i t ɑ n i j ɑ
Մարալ	m ɑ ɾ ɑ l
Մարալիկ	m ɑ ɾ ɑ l i k
Մարաշ	m ɑ ɾ ɑ ʃ
Մարաստան	m ɑ ɾ ɑ s t ɑ n
Մարատ	m ɑ ɾ ɑ t
Մարգար	m ɑ ɾ kʰ ɑ ɾ
Մարգարիտ	m ɑ ɾ kʰ ɑ ɾ i t
Մարգարյան	m ɑ ɾ kʰ ɑ ɾ j ɑ n
Մարգարյանց	m ɑ ɾ kʰ ɑ ɾ j ɑ n t͡sʰ
Մարիամ	m ɑ ɾ i j ɑ m
Մարիաննա	m ɑ ɾ i j ɑ nː ɑ
Մարկ	m ɑ ɾ k
Մարուքյան	m ɑ ɾ u kʰ j ɑ n
Մարս	m ɑ ɾ s
Մարվ	m ɑ ɾ v
Մարտիկ	m ɑ ɾ t i k
Մարտիկյան	m ɑ ɾ t i k j ɑ n
Մարտին	m ɑ ɾ t i n
Մարտինյան	m ɑ ɾ t i n j ɑ n
Մարքս	m ɑ ɾ kʰ s
Մաքասճյան	m ɑ kʰ ɑ s t͡ʃ j ɑ n
Մաքինաճյան	m ɑ kʰ i n ɑ t͡ʃ j ɑ n
Մաքինաջյան	m ɑ kʰ i n ɑ d͡ʒ j ɑ n
Միացում	m i j ɑ t͡sʰ u m
Միթիլճյան	m i tʰ i l t͡ʃ j ɑ n
Միլան	m i l ɑ n
Միհր	m i h ə ɾ
Միհրան	m i h ɾ ɑ n
Միհրանյան	m i h ɾ ɑ n j ɑ n
Մինաս	m i n ɑ s
Մինասյան	m i n ɑ s j ɑ n
Մինսկ	m i n s k
Միսակ	m i s ɑ k
Միսակյան	m i s ɑ k j ɑ n
Միտանի	m i t ɑ n i
Միտաննի	m i t ɑ nː i
Միրզախանյան	m i ɾ z ɑ χ ɑ n j ɑ n
Մխիթար	m ə χ i tʰ ɑ ɾ
Մխիթարյան	m ə χ i tʰ ɑ ɾ j ɑ n
Մծբին	m ə t͡s b i n
Մկրտիչ	m ə k ə ɾ t i t͡ʃʰ
Մկրտում	m ə k ə ɾ t u m
Մկրտումյան	m ə k ə ɾ t u m j ɑ n
Մկրտչյան	m ə k ə ɾ t t͡ʃʰ j ɑ n
Մկրտչյան	m ə k ə ɾ t͡ʃʰ j ɑ n
Մյանմա	m j ɑ n m ɑ
Մյասնիկյան	m j ɑ s n i k j ɑ n
Մնացական	m ə n ɑ t͡sʰ ɑ k ɑ n
Մնացականյան	m ə n ɑ t͡sʰ ɑ k ɑ n j ɑ n
Մուկուչյան	m u k u t͡ʃʰ j ɑ n
Մումբայ	m u m b ɑ j
Մուրադ	m u ɾ ɑ d
Մուրադյան	m u ɾ ɑ d j ɑ n
Մուրմանսկ	m u ɾ m ɑ n s k
Մսըր	m ə s ə ɾ
Մսրլյան	m ə s ə ɾ l j ɑ n
Յ	j ə
Յալանուզյան	j ɑ l ɑ n u z j ɑ n
Յալթա	j ɑ l tʰ ɑ
Յակուտսկ	j ɑ k u t s k
Յաղուբյան	j ɑ ʁ u b j ɑ n
Յանցզի	j ɑ n t͡sʰ z i
Յաշ	j ɑ ʃ
Յարդումյան	j ɑ ɾ d u m j ɑ n
Յություբ	j u t͡sʰ j u b
Յուլյա	j u l j ɑ
Յումուրթաճյան	j u m u ɾ tʰ ɑ t͡ʃ j ɑ n
Ն	n ə
Նազար	n ɑ z ɑ ɾ
Նազարյան	n ɑ z ɑ ɾ j ɑ n
Նազիկ	n ɑ z i k
Նազիկյան	n ɑ z i k j ɑ n
Նաթան	n ɑ tʰ ɑ n
Նաիրա	n ɑ j i ɾ ɑ
Նաիրի	n ɑ j i ɾ i
Նաիրի	n ɑ j ɾ i
Նալբանդյան	n ɑ l b ɑ n d j ɑ n
Նալչիկ	n ɑ l t͡ʃʰ i k
Նահիկյան	n ɑ h i k j ɑ n
Նամիբիա	n ɑ m i b i j ɑ
Նաուրու	n ɑ u ɾ u
Նաջարյան	n ɑ d͡ʒ ɑ ɾ j ɑ n
Նասաու	n ɑ s ɑ u
Նարիման	n ɑ ɾ i m ɑ n
Նարինյան	n ɑ ɾ i n j ɑ n
Նիկարագուա	n i k ɑ ɾ ɑ ɡ u ɑ
Նիկիա	n i k i j ɑ
Նիցցա	n i t͡sʰː ɑ
Նշան	n ə ʃ ɑ n
Նշանյան	n ə ʃ ɑ n j ɑ n
Նուբար	n u b ɑ ɾ
Նունուֆար	n u n u f ɑ ɾ
Նվարդ	n ə v ɑ ɾ tʰ
Շ	ʃ ə
Շահբազյան	ʃ ɑ h b ɑ z j ɑ n
Շահինյան	ʃ ɑ h i n j ɑ n
Շահնազար	ʃ ɑ h n ɑ z ɑ ɾ
Շահնազարյան	ʃ ɑ h n ɑ z ɑ ɾ j ɑ n
Շահրամանյան	ʃ ɑ h ɾ ɑ m ɑ n j ɑ n
Շամախի	ʃ ɑ m ɑ χ i
Շամբալա	ʃ ɑ m b ɑ l ɑ
Շամիրամ	ʃ ɑ m i ɾ ɑ m
Շանհայ	ʃ ɑ n h ɑ j
Շապուհ	ʃ ɑ p u h
Շավասպ	ʃ ɑ v ɑ s p
Շավարշ	ʃ ɑ v ɑ ɾ ʃ
Շարաբչյան	ʃ ɑ ɾ ɑ pʰ t͡ʃʰ j ɑ n
Շարապճյան	ʃ ɑ ɾ ɑ p t͡ʃ j ɑ n
Շաքար	ʃ ɑ kʰ ɑ ɾ
Շաքարյան	ʃ ɑ kʰ ɑ ɾ j ɑ n
Շիվա	ʃ i v ɑ
Շիրակ	ʃ i ɾ ɑ k
Շիրինյան	ʃ i ɾ i n j ɑ n
Շխլըյան	ʃ ə χ l ə j ɑ n
Շուշան	ʃ u ʃ ɑ n
Շուշանիկ	ʃ u ʃ ɑ n i k
Շուշանյան	ʃ u ʃ ɑ n j ɑ n
Շուշի	ʃ u ʃ i
Ուագադուգու	u ɑ ɡ ɑ d u ɡ u
Ուգանդա	u ɡ ɑ n d ɑ
Ութուճյան	u tʰ u t͡ʃ j ɑ n
Ութուջյան	u tʰ u d͡ʒ j ɑ n
Ուկրաինա	u k ɾ ɑ j i n ɑ
Ուկրաինա	u k ɾ ɑ n i j ɑ
Ուկրաինա	u ɡ ɾ ɑ n i j ɑ
Ուհան	u h ɑ n
Ուռհա	u r h ɑ
Ուռնայր	u r n ɑ j ɾ
Ուսկյուդար	u s k j u d ɑ ɾ
Ուտտարաքանդ	u tː ɑ ɾ ɑ kʰ ɑ n d
Ուրալ	u ɾ ɑ l
Ուրան	u ɾ ɑ n
Ուրարտու	u ɾ ɑ ɾ t u
Ուրհա	u ɾ h ɑ
Ուրմիա	u ɾ m i j ɑ
Ուրուգվայ	u ɾ u ɡ v ɑ j
Ուրումչի	u ɾ u m t͡ʃʰ i
Ուրֆա	u ɾ f ɑ
Ուֆա	u f ɑ
Չ	t͡ʃʰ
Չագըճյան	t͡ʃʰ ɑ ɡ ə t͡ʃ j ɑ n
Չագմագճյան	t͡ʃʰ ɑ ɡ m ɑ ɡ t͡ʃ j ɑ n
Չադ	t͡ʃʰ ɑ d
Չախմախչյան	t͡ʃʰ ɑ χ m ɑ χ t͡ʃʰ j ɑ n
Չատտիսգարհ	t͡ʃʰ ɑ tː i s ɡ ɑ ɾ h
Չատրճյան	t͡ʃʰ ɑ t ə ɾ t͡ʃ j ɑ n
Չատրջյան	t͡ʃʰ ɑ t ə ɾ d͡ʒ j ɑ n
Չարբախ	t͡ʃʰ ɑ ɾ b ɑ χ
Չափարյան	t͡ʃʰ ɑ pʰ ɑ ɾ j ɑ n
Չաքմաքչյան	t͡ʃʰ ɑ kʰ m ɑ kʰ t͡ʃʰ j ɑ n
Չիլի	t͡ʃʰ i l i
Չիլինգարյան	t͡ʃʰ i l i ŋ ɡ ɑ ɾ j ɑ n
Չինաստան	t͡ʃʰ i n ɑ s t ɑ n
Չիվիճյան	t͡ʃʰ i v i t͡ʃ j ɑ n
Չիտա	t͡ʃʰ i t ɑ
Պ	p ə
ՊԱԿ	p ɑ k
ՊՆ	p ə n ə
Պալիկիր	p ɑ l i k i ɾ
Պալճյան	p ɑ l t͡ʃ j ɑ n
Պալչյան	p ɑ l t͡ʃʰ j ɑ n
Պակիստան	p ɑ k i s t ɑ n
Պանամա	p ɑ n ɑ m ɑ
Պապ	p ɑ p
Պապիկ	p ɑ p i k
Պապիկյան	p ɑ p i k j ɑ n
Պասքամ	p ɑ s kʰ ɑ m
Պատրիկ	p ɑ t ɾ i k
Պատրիկյան	p ɑ t ɾ i k j ɑ n
Պարագվայ	p ɑ ɾ ɑ ɡ v ɑ j
Պարութճյան	p ɑ ɾ u tʰ t͡ʃ j ɑ n
Պարույր	p ɑ ɾ u j ɾ
Պարսկահայք	p ɑ ɾ s k ɑ h ɑ j kʰ
Պարսկաստան	p ɑ ɾ s k ɑ s t ɑ n
Պարսք	p ɑ ɾ s kʰ
Պարտագճյան	p ɑ ɾ t ɑ ɡ t͡ʃ j ɑ n
Պարտավ	p ɑ ɾ t ɑ v
Պարտաքճյան	p ɑ ɾ t ɑ kʰ t͡ʃ j ɑ n
Պաքըրճյան	p ɑ kʰ ə ɾ t͡ʃ j ɑ n
Պաքրճյան	p ɑ kʰ ə ɾ t͡ʃ j ɑ n
Պըչքըճյան	p ə t͡ʃʰ kʰ ə t͡ʃ j ɑ n
Պիզա	p i z ɑ
Պիսիդիա	p i s i d i j ɑ
Պիցունդա	p i t͡sʰ u n d ɑ
Պուլտուգյան	p u l t u ɡ j ɑ n
Պուլտուքյան	p u l t u kʰ j ɑ n
Պուտին	p u t i n
Պուրկուճյան	p u ɾ k u t͡ʃ j ɑ n
Պչաքճյան	p ə t͡ʃʰ ɑ kʰ t͡ʃ j ɑ n
Պրագա	p ɾ ɑ ɡ ɑ
Պրահա	p ɾ ɑ h ɑ
Պրայա	p ɾ ɑ j ɑ
Պրիշտինա	p ɾ i ʃ t i n ɑ
Ջ	d͡ʒ ə
Ջալալ	d͡ʒ ɑ l ɑ l
Ջակարտա	d͡ʒ ɑ k ɑ ɾ t ɑ
Ջահուկյան	d͡ʒ ɑ h u k j ɑ n
Ջահուկցյան	d͡ʒ ɑ h u k t͡sʰ j ɑ n
Ջամբազյան	d͡ʒ ɑ m b ɑ z j ɑ n
Ջամջյան	d͡ʒ ɑ m d͡ʒ j ɑ n
Ջարքանդ	d͡ʒ ɑ ɾ kʰ ɑ n d
Ջիբութի	d͡ʒ i b u tʰ i
Ջիբրալթար	d͡ʒ i b ɾ ɑ l tʰ ɑ ɾ
Ջիգարխանյան	d͡ʒ i ɡ ɑ ɾ χ ɑ n j ɑ n
Ջիվան	d͡ʒ i v ɑ n
Ջուլակյան	d͡ʒ u l ɑ k j ɑ n
Ջուլհակյան	d͡ʒ u l h ɑ k j ɑ n
Ջումշուդ	d͡ʒ u m ʃ u d
Ռ	r ə
ՌԴ	r ə d ə
Ռակկա	r ɑ kː ɑ
Ռայպուր	r ɑ j p u ɾ
Ռանգուն	r ɑ ŋ ɡ u n
Ռաջաստան	r ɑ d͡ʒ ɑ s t ɑ n
Ռիգա	r i ɡ ɑ
Ռիչարդ	r i t͡ʃʰ ɑ ɾ d
Ռիտա	r i t ɑ
Ռիցա	r i t͡sʰ ɑ
Ռյազան	r j ɑ z ɑ n
Ռուանդա	r u ɑ n d ɑ
Ռուբինյան	r u b i n j ɑ n
Ռումինիա	r u m i n i j ɑ
Ռուսաստան	r u s ɑ s t ɑ n
Ռուսիա	r u s i j ɑ
Ռուստամյան	r u s t ɑ m j ɑ n
Ս	s ə
ՍԴ	s ə d ə
ՍՄԿԿ	s ə m ə k ə k ə
ՍՊԸ	s ə p ə ə
ՍՍՀ	s ə s ə h ə
ՍՍՀՄ	s ə s ə h ə m
ՍՍՀՄ	s ə s ə h ə m ə
Սալախյան	s ɑ l ɑ χ j ɑ n
Սալահյան	s ɑ l ɑ h j ɑ n
Սալմաստ	s ɑ l m ɑ s t
Սախալին	s ɑ χ ɑ l i n
Սահակ	s ɑ h ɑ k
Սահակյան	s ɑ h ɑ k j ɑ n
Սահարա	s ɑ h ɑ ɾ ɑ
Սամարա	s ɑ m ɑ ɾ ɑ
Սամարիա	s ɑ m ɑ ɾ i j ɑ
Սամարղանդ	s ɑ m ɑ ɾ ʁ ɑ n d
Սայդա	s ɑ j d ɑ
Սանասար	s ɑ n ɑ s ɑ ɾ
Սանատրուկ	s ɑ n ɑ t ɾ u k
Սապանճյան	s ɑ p ɑ n t͡ʃ j ɑ n
Սառա	s ɑ r ɑ
Սատուռն	s ɑ t u r n
Սատուրն	s ɑ t u ɾ n
Սարայդարյան	s ɑ ɾ ɑ j d ɑ ɾ j ɑ n
Սարանսկ	s ɑ ɾ ɑ n s k
Սարաֆյան	s ɑ ɾ ɑ f j ɑ n
Սարգիս	s ɑ ɾ kʰ i s
Սարգսյան	s ɑ ɾ kʰ ə s j ɑ n
Սարդինիա	s ɑ ɾ d i n i j ɑ
Սարիղամիշ	s ɑ ɾ i ʁ ɑ m i ʃ
Սարկիսյան	s ɑ ɾ k i s j ɑ n
Սարմազյան	s ɑ ɾ m ɑ z j ɑ n
Սարում	s ɑ ɾ u m
Սարումյան	s ɑ ɾ u m j ɑ n
Սաֆարյան	s ɑ f ɑ ɾ j ɑ n
Սիբիր	s i b i ɾ
Սիլվա	s i l v ɑ
Սիկկիմ	s i kː i m
Սիկտիվկար	s i k t i f k ɑ ɾ
Սիմիթճյան	s i m i tʰ t͡ʃ j ɑ n
Սինգապուր	s i ŋ ɡ ɑ p u ɾ
Սիս	s i s
Սիսակ	s i s ɑ k
Սիսիան	s i s i j ɑ n
Սիսլյան	s i s l j ɑ n
Սիրակուզա	s i ɾ ɑ k u z ɑ
Սիրանույշ	s i ɾ ɑ n u j ʃ
Սիրիա	s i ɾ i j ɑ
Սիցիլիա	s i t͡sʰ i l i j ɑ
Սիփան	s i pʰ ɑ n
Սկյութիա	s k j u tʰ i j ɑ
Սմբատ	s ə m b ɑ t
Սմբատուհի	s ə m b ɑ t u h i
Սյունիք	s j u n i kʰ
Սուդան	s u d ɑ n
Սուլահյան	s u l ɑ h j ɑ n
Սուխում	s u χ u m
Սուխումի	s u χ u m i
Սուճյան	s u t͡ʃ j ɑ n
Սուչավա	s u t͡ʃʰ ɑ v ɑ
Սուջյան	s u d͡ʒ j ɑ n
Սուվա	s u v ɑ
Սուրամ	s u ɾ ɑ m
Սուրամի	s u ɾ ɑ m i
Սուրգուտ	s u ɾ ɡ u t
Սուրինամ	s u ɾ i n ɑ m
Սուքիաս	s u kʰ i j ɑ s
Սուքիասյան	s u kʰ i j ɑ s j ɑ n
Սպահան	s p ɑ h ɑ n
Սպանիա	s p ɑ n i j ɑ
Սպիտակաձյունիկ	s p i t ɑ k ɑ d͡z j u n i k
Ստալին	s t ɑ l i n
Ստալինգրադ	s t ɑ l i n ɡ ɾ ɑ d
Ստամբուլ	s t ɑ m b u l
Ստրասբուրգ	s t ɾ ɑ s b u ɾ ɡ
Սրուճ	s ə ɾ u t͡ʃ
Սփյուռք	s pʰ j u r kʰ
Վ	v ə
Վադուց	v ɑ d u t͡sʰ
Վազիրիստան	v ɑ z i ɾ i s t ɑ n
Վահագ	v ɑ h ɑ ɡ
Վահագն	v ɑ h ɑ ɡ ə n
Վահագնիկ	v ɑ h ɑ ɡ n i k
Վահան	v ɑ h ɑ n
Վահրամ	v ɑ h ɾ ɑ m
Վաղարշ	v ɑ ʁ ɑ ɾ ʃ
Վաղարշակ	v ɑ ʁ ɑ ɾ ʃ ɑ k
Վաղարշապատ	v ɑ ʁ ɑ ɾ ʃ ɑ p ɑ t
Վաղինակ	v ɑ ʁ i n ɑ k
Վայմար	v ɑ j m ɑ ɾ
Վայք	v ɑ j kʰ
Վան	v ɑ n
Վանուատու	v ɑ n u ɑ t u
Վաչագան	v ɑ t͡ʃʰ ɑ ɡ ɑ n
Վառնա	v ɑ r n ɑ
Վասակ	v ɑ s ɑ k
Վասիլ	v ɑ s i l
Վասիլի	v ɑ s i l i
Վատիկան	v ɑ t i k ɑ n
Վարազդատ	v ɑ ɾ ɑ z d ɑ t
Վարաժնունի	v ɑ ɾ ɑ ʒ n u n i
Վարդան	v ɑ ɾ tʰ ɑ n
Վարդանյան	v ɑ ɾ tʰ ɑ n j ɑ n
Վարդավառ	v ɑ ɾ tʰ ɑ v ɑ r
Վարդիվառյան	v ɑ ɾ tʰ i v ɑ r j ɑ n
Վարդուհի	v ɑ ɾ tʰ u h i
Վարշամ	v ɑ ɾ ʃ ɑ m
Վարշավա	v ɑ ɾ ʃ ɑ v ɑ
Վարուժան	v ɑ ɾ u ʒ ɑ n
Վարվառա	v ɑ ɾ v ɑ r ɑ
Վիլնյուս	v i l n j u s
Վինդհուկ	v i n d h u k
Վիշի	v i ʃ i
Վիշնու	v i ʃ n u
Վիսլա	v i s l ɑ
Վիրք	v i ɾ kʰ
Վիքիբառարան	v i kʰ i b ɑ r ɑ ɾ ɑ n
Վլադիկավկազ	v l ɑ d i k ɑ f k ɑ z
Վլադիմիր	v l ɑ d i m i ɾ
Վլադիսլավ	v l ɑ d i s l ɑ v
Վռամ	v ə r ɑ m
Վռամշապուհ	v ə r ɑ m ʃ ɑ p u h
Վրաստան	v ə ɾ ɑ s t ɑ n
Վրույր	v ə ɾ u j ɾ
Տ	t ə
ՏՏ	t ə t ə
Տալլին	t ɑ lː i n
Տաղլյան	t ɑ ʁ l j ɑ n
Տաճատ	t ɑ t͡ʃ ɑ t
Տաճատուհի	t ɑ t͡ʃ ɑ t u h i
Տաճկաստան	t ɑ t͡ʃ k ɑ s t ɑ n
Տամատյան	t ɑ m ɑ t j ɑ n
Տայք	t ɑ j kʰ
Տանզանիա	t ɑ n z ɑ n i j ɑ
Տաջիկստան	t ɑ d͡ʒ i k s t ɑ n
Տավուշ	t ɑ v u ʃ
Տավրիս	t ɑ v ɾ i s
Տարտուս	t ɑ ɾ t u s
Տիգրան	t i ɡ ɾ ɑ n
Տիգրանյան	t i ɡ ɾ ɑ n j ɑ n
Տիգրանուհի	t i ɡ ɾ ɑ n u h i
Տիգրիս	t i ɡ ɾ i s
Տիշճյան	t i ʃ t͡ʃ j ɑ n
Տիշչյան	t i ʃ t͡ʃʰ j ɑ n
Տիրան	t i ɾ ɑ n
Տիրանա	t i ɾ ɑ n ɑ
Տիրատուրյան	t i ɾ ɑ t u ɾ j ɑ n
Տիրուվանանտապուրամ	t i ɾ u v ɑ n ɑ n t ɑ p u ɾ ɑ m
Տյուտյուկճյան	t j u t j u k t͡ʃ j ɑ n
Տյուտյուքճյան	t j u t j u kʰ t͡ʃ j ɑ n
Տուլա	t u l ɑ
Տուրին	t u ɾ i n
Տրանսիլվանիա	t ɾ ɑ n s i l v ɑ n i j ɑ
Տրդատ	t ə ɾ tʰ ɑ t
Տրիպուրա	t ɾ i p u ɾ ɑ
Տփղիս	t ə pʰ χ i s
Ր	ɾ ə
Րաֆֆի	ɾ ɑ f i
Րաֆֆի	ɾ ɑ fː i
Ց	t͡sʰ ə
Ցխինվալ	t͡sʰ χ i n v ɑ l
Ցխինվալի	t͡sʰ χ i n v ɑ l i
Ցյուրիխ	t͡sʰ j u ɾ i χ
Ցուլ	t͡sʰ u l
Ւ	v ə
Փ	pʰ ə
ՓՄՁ	pʰ ə m ə d͡z ə
Փաթափության	pʰ ɑ tʰ ɑ pʰ u t͡sʰ j ɑ n
Փալանճյան	pʰ ɑ l ɑ n t͡ʃ j ɑ n
Փալանջյան	pʰ ɑ l ɑ n d͡ʒ j ɑ n
Փայլածու	pʰ ɑ j l ɑ t͡s u
Փայլակ	pʰ ɑ j l ɑ k
Փայտակարան	pʰ ɑ j t ɑ k ɑ ɾ ɑ n
Փաշա	pʰ ɑ ʃ ɑ
Փաշայան	pʰ ɑ ʃ ɑ j ɑ n
Փաշինյան	pʰ ɑ ʃ i n j ɑ n
Փարիզ	pʰ ɑ ɾ i z
Փարիխան	pʰ ɑ ɾ i χ ɑ n
Փարպի	pʰ ɑ ɾ p i
Փարսադան	pʰ ɑ ɾ s ɑ d ɑ n
