aa	aː
aventure	a v ə n t ə r ə
aventure	a v ə n t ə r
aventure	a v ɛ n t i u̯ r ə
aventure	a v ɛ n t i u̯ r
aventure	a v ɛ n t u r ə
aventure	a v ɛ n t u r
aventure	a v ɛ n t ə r ə
aventure	a v ɛ n t ə r
aventure	a u̯ n t i u̯ r ə
aventure	a u̯ n t i u̯ r
aventure	a n t i u̯ r ə
aventure	a n t i u̯ r
aventure	a u̯ n t u r ə
aventure	a u̯ n t u r
aventure	a n t u r ə
aventure	a n t u r
aventure	a u̯ n t ə r ə
aventure	a u̯ n t ə r
aventure	a n t ə r ə
aventure	a n t ə r
aventuren	a v ə n t i u̯ r ə n
aventuren	a v ə n t u r ə n
aventuren	a v ə n t ə r ə n )
aventuren	a v ə n t r ə n )
aventuren	a v ɛ n t i u̯ r ə n
aventuren	a v ɛ n t u r ə n
aventuren	a v ɛ n t ə r ə n
aventuren	a v ɛ n t r ə n
aventuren	a u̯ n t i u̯ r ə n
aventuren	a n t i u̯ r ə n
aventuren	a u̯ n t u r ə n
aventuren	a n t u r ə n
aventuren	a u̯ n t ə r ə n
aventuren	a u̯ n t r ə n
aventuren	a n t ə r ə n
aventuren	a n t r ə n
aventurous	a v ɛ n t u r uː s
aventurous	a v ɛ n t ə r u s
aventurous	a v ɛ n t r u s
aventurous	a v ə n t i u̯ r uː s
aventurous	a v ə n t i u̯ r u s
aventurous	a v ə n t ə r u s
aventurous	a v ə n t r u s
aventurous	a u̯ n t ə r uː s
aventurous	a u̯ n t r uː s
aventurous	a u̯ n t ə r u s
aventurous	a u̯ n t r u s
avexen	a v ɛ k s ə n
avisen	a d v iː z ə n
avisen	a v iː z ə n
avisioun	a d v i z i uː n
avisioun	a v i z i uː n
avisioun	a d v i z j u n
avisioun	a v i z j u n
avoy	a v u i̯
avoy	ə v u i̯
avys	a v iː s
awbe	a u̯ b ə
awbe	a u̯ b
awbe	a l b ə
awbe	a l b
awe	a ɣ ə
awe	a u̯ ə
awe	a u̯
aweful	a u̯ ə f u l
aweful	a u̯ f u l
aweful	a ɣ ə f u l
aweles	a ɣ ə l ɛ̝ː s
aweles	a u̯ ə l ɛ̝ː s
aweles	a u̯ l ɛ̝ː s
awely	a u̯ ə l i t͡ʃ
awely	a u̯ l i t͡ʃ
awely	a u̯ ə l iː
awely	a u̯ l iː
awen	a ɣ ə n
awen	a u̯ ə n
awerpen	a w ɛ r p ə n
awerpen	a w a r p ə n
awey	a w æ i̯
awfyn	a l f i n
awfyn	a u̯ f i n
awinnen	a w i n ə n
awne	a u̯ ə n ə
awne	a u̯ ə n
awne	a u̯ n ə
awne	a u̯ n
ax	a k s
ax	a k s
axe	a k s
axel	a k s ə l
axel	ɛ k s ə l
axil	a k s ə l
axiltre	ɛ k s ə l t r øː
axiltre	a k s ə l t r øː
axiltre	ɛ k s ə l t r eː
axiltre	a k s ə l t r eː
ay	æ i̯
aydaunt	æ i̯ d a n t
aydaunt	æ i̯ d a u̯ n t
ayel	æ i̯ eː l
ayel	æ i̯ ɛ l
ayel	æ i̯ l
ayenes	a j eː n ə s
ayenes	a j eː n s
ayry	æ i̯ r iː
babe	b aː b ə
babe	b aː b
babe	b a b ə
babe	b a b
baby	b aː b iː
baby	b a b iː
bace	b a r s
bace	b a s
bace	b aː s
bacheler	b a t͡ʃ ə l eː r
bacoun	b aː k uː n
bacoun	b aː k u n
bacoun	b aː k ə n
badde	b a d ə
badde	b a d
bagage	b a ɡ a d͡ʒ ə
bagage	b a ɡ a d͡ʒ
bagge	b a ɡ ə
bagge	b a ɡ
bagpipe	b a ɡ ə p iː p ə
bagpipe	b a ɡ ə p iː p
bagpipe	b a ɡ p iː p ə
bagpipe	b a ɡ p iː p
baillif	b æ i̯ l i f
bak	b a k
bakbon	b a k b ɔː n
baken	b aː k ə n
bakestere	b a k ə s t ə r ə
bakestere	b a k ə s t ə r
bakestere	b a k s t ə r ə
bakestere	b a k s t ə r
bakestere	b a k ə s t r ə
bakestere	b a k s t r ə
bakhous	b a k h uː s
bakhous	b aː k ə h uː s
bakhous	b aː k h uː s
bakke	b a k ə
bakke	b a k
bakynge	b aː k i n ɡ ə
bakynge	b aː k i n ɡ
bal	b a l
balaunce	b a l a u̯ n t s ə
balaunce	b a l a n t s ə
balaunce	b a l a u̯ n s ə
balaunce	b a l a u̯ n s
balaunce	b a l a n s ə
balaunce	b a l a n s
balaunce	b a l aː n s ə
balaunce	b a l aː n s
bale	b aː l ə
bale	b aː l
bale	b aː l
bale	b aː l ə
bale	b aː l
baleful	b aː l f u l
baleful	b a l f u l
balfulli	b aː l f u l iː
balfulli	b a l f u l iː
bali	b aː l iː
bali	b ɛː l iː
balke	b a l k ə
balke	b a l k
balken	b a l k ə n
ballok	b a l ɔ k
ballok	b a l ə k
balsamum	b a l s a m u m
balsamum	b a l s a m u s
band	b ɔː n d
band	b ɔ n d
band	b aː n d
band	b a n d
bane	b aː n ə
bane	b aː n
bane	b ɔ̞ː n ə
bane	b ɔ̞ː n
bapteme	b a p t ɛː m ə
bapteme	b a p t ɛː m
bapteme	b a p t eː m ə
bapteme	b a p t eː m
bapteme	b a p t i m ə
bapteme	b a p t i m
baptisen	b a p t iː z ə n
baptisen	b a p t iː z ə n
baptiste	b a p t i s t ə
baptiste	b a p t i s t
baptiste	b a p t i s t ə
baptiste	b a p t i s t
baptisterie	b a p t i s t ə r iː ə
baptisterie	b a p t i s t ə r iː
baptisterie	b a p t i s t r iː ə
baptisterie	b a p t i s t r iː
baptisterie	b a p t i s t ə r iː ə
baptisterie	b a p t i s t ə r iː
baptisterie	b a p t i s t r iː ə
baptisterie	b a p t i s t r iː
baptisterie	b a p t i s t ə r iː ə
baptisterie	b a p t i s t ə r iː
baptisterie	b a p t i s t r iː ə
baptisterie	b a p t i s t r iː
baptisynge	b a p t iː z i n ɡ ə
baptisynge	b a p t iː z i n ɡ
baptisynge	b a p t iː z i n ɡ ə
baptisynge	b a p t iː z i n ɡ
bare	b aː r
barel	b a r ɛ l
bareyne	b a r æ i̯ n ə
bareyne	b a r æ i̯ n
bareyne	b a r ɛ n ə
bareyne	b a r ɛ n
bareyne	b a r i n ə
bareyne	b a r i n
bareynnesse	b a r æ i̯ n n ɛ s ə
bareynnesse	b a r æ i̯ n n ɛ s
bareynnesse	b a r æ i̯ n ɛ s ə
bareynnesse	b a r æ i̯ n ɛ s
bareynnesse	b a r i n n ɛ s ə
bareynnesse	b a r i n n ɛ s
bareynnesse	b a r i n ɛ s ə
bareynnesse	b a r i n ɛ s
bareynte	b a r æ i̯ n t eː
bareynte	b a r i n t eː
bargayne	b a r ɡ æ i̯ n ə
bargayne	b a r ɡ æ i̯ n
bargayne	b a r ɡ ə n ə
bargayne	b a r ɡ ə n
bargaynen	b a r ɡ æ i̯ n ə n
bargaynen	b a r ɡ ɛ n ə n
bargaynynge	b a r ɡ æ i̯ n i n ɡ ə
bargaynynge	b a r ɡ æ i̯ n i n ɡ
bargaynynge	b a r ɡ ɛ n i n ɡ ə
bargaynynge	b a r ɡ ɛ n i n ɡ
barge	b a r d͡ʒ ə
barge	b a r d͡ʒ
barge	b aː r d͡ʒ ə
barge	b aː r d͡ʒ
bark	b a r k
barke	b a r k ə
barke	b a r k
barker	b a r k ə r ə
barker	b a r k ə r
barkyn	b a r k ə n
barly	b a r l iː
barm	b a r m
barn	b a r n
barn	b aː r n
barn	b ɛ r n
barneschen	b a r n i ʃ ə n
barnhede	b a r n h ɛː d
barnhede	b aː r n h ɛː d
barnles	b a r n l ɛ̝ː s
barnles	b aː r n l ɛ̝ː s
barntem	b a r n t ɛː m
barntem	b aː r n t ɛː m
baronie	b a r u n iː ə
baronie	b a r u n iː
baronie	b a r u n iː ə
baronie	b a r u n iː
baroun	b a r uː n
baroun	b a r oː n
baroun	b a r u n
barow	b a r ɔ u̯
barow	b a r uː
barow	b a r x
barow	b a r i u̯
barre	b a r ə
barre	b a r
barren	b a r ə n
barrere	b a r eː r ə
barrere	b a r eː r
barrere	b a r ə r ə
barrere	b a r ə r
Barrokschire	b a r ɔ k ʃ iː r ə
Barrokschire	b a r ɔ k ʃ iː r
Barrokschire	b a r k ʃ iː r ə
Barrokschire	b a r k ʃ iː r
Barrokschire	b ɛ r ɔ k ʃ iː r ə
Barrokschire	b ɛ r ɔ k ʃ iː r
Barrokschire	b ɛ r k ʃ iː r ə
Barrokschire	b ɛ r k ʃ iː r
barwe	b a r w ə
barwe	b a r ɔ u̯ ə
barwe	b a r ɔ u̯
barwe	b a r uː
barwe	b a r i u̯ ə
barwe	b a r i u̯
bas	b aː s
bas	b a s
bas	b aː z ə
bas	b aː z
base	b aː z ə
base	b aː z
base	b a s
base	b aː s
basilicke	b a s i l iː k ə
basilicke	b a s i l iː k
basilicke	b a s i l i k ə
basilicke	b a s i l i k
basilicke	b a s i l i s k ə
basilicke	b a s i l i s k
basilicok	b a s i l i k ɔ k
basken	b a s k ə n
basket	b a s k ɛ t
basket	b a s k ə t
bast	b a s t
bast	b aː s t
bastard	b a s t a r d
bastard	b a s t a r d
bastardie	b a s t a r d iː ə
bastardie	b a s t a r d iː
bastardie	b a s t a r d iː ə
bastardie	b a s t a r d iː
bastardie	b a s t a r d r iː ə
bastardie	b a s t a r d r iː
baston	b a s t uː n
baston	b a s t u n
basyn	b aː s iː n
basyn	b aː s i n
basynet	b a s i n ɛ t
basynet	b a s i n ɛ t
basynet	b a s n ɛ t
bat	b a t
bat	b ɔ t
batailloure	b a t i l uː r
batailloure	b a t i l ə r
batayle	b a t æ i̯ l ə
batayle	b a t æ i̯ l
batayle	b a t ɛ l ə
batayle	b a t ɛ l
batayle	b a t ə l ə
batayle	b a t ə l
bataylen	b a t æ i̯ l ə n
bataylen	b a t ə l ə n
bataylous	b a t i l uː s
bataylous	b a t i l uː s
bataylynge	b a t æ i̯ l i n ɡ ə
bataylynge	b a t æ i̯ l i n ɡ
bataylynge	b a t ɛ l i n ɡ ə
bataylynge	b a t ɛ l i n ɡ
baten	b aː t ə n
baten	b a t ə n
bateren	b a t ə r ə n
bateren	b a t r ə n
bath	b a θ
Bathe	b aː ð ə n
Bathe	b aː ð ə
Bathe	b aː ð
bathen	b aː ð ə n
bathynge	b aː ð i n ɡ
bature	b a t i u̯ r ə
bature	b a t i u̯ r
bature	b a t u r ə
bature	b a t u r
baulen	b a u̯ l ə n
baundon	b a n d uː n
baundon	b a n d u n
baundon	b a u̯ n d uː n
baundon	b a u̯ n d u n
baviere	b a v eː r ə
baviere	b a v eː r
baviere	b a v ə r ə
baviere	b a v ə r
baviere	b aː v ə r ə
baviere	b aː v ə r
bawme	b a u̯ m ə
bawme	b a u̯ m
bawme	b aː m ə
bawme	b aː m
bawmen	b a u̯ m ə n
baysk	b æ i̯ s k
bayte	b æ i̯ t ə
bayte	b æ i̯ t
bayten	b æ i̯ t ə n
baytynge	b æ i̯ t i n ɡ ə
baytynge	b æ i̯ t i n ɡ
be	b eː
be	b øː
beau	b ɛ u̯
beaute	b ɛ u̯ t eː
beaute	b ɛ u̯ t eː
beautevous	b ɛ u̯ t eː v uː s
beautevous	b ɛ u̯ t eː uː s
beche	b eː t͡ʃ ə
beche	b eː t͡ʃ
bed	b ɛ d
bede	b ɛ̞ː d ə
bede	b ɛ̞ː d
bede	b œː d ə
bede	b œː d
Bedeford	b ɛ d ə f ɔ r d
Bedeford	b ɛ d f ɔ r d
Bedeford	b ɛ d ə f oː r d
Bedeford	b ɛ d f oː r d
Bedefordschire	b ɛ d ə f ɔ r d ʃ iː r ə
Bedefordschire	b ɛ d ə f ɔ r d ʃ iː r
Bedefordschire	b ɛ d f ɔ r d ʃ iː r ə
Bedefordschire	b ɛ d f ɔ r d ʃ iː r
Bedefordschire	b ɛ d ə f oː r d ʃ iː r ə
Bedefordschire	b ɛ d ə f oː r d ʃ iː r
Bedefordschire	b ɛ d f oː r d ʃ iː r ə
Bedefordschire	b ɛ d f oː r d ʃ iː r
bedeman	b ɛ̞ː d ə m a n
bedeman	b ɛ̞ː d m a n
bedeman	b ɛ d ə m a n
bedeman	b ɛ d m a n
bedfelawe	b ɛ d f ɛ l a u̯ ə
bedfelawe	b ɛ d f ɛ l a u̯
bedfelawe	b ɛ d f ɛ l ɔ u̯ ə
bedfelawe	b ɛ d f ɛ l ɔ u̯
bedreden	b ɛ d r ɛː d ə n
bedreden	b ɛ d r ɛː d ə
beem	b ɛ̝ː m
been	b eː n
been	b øː n
bef	b eː f
bef	b øː f
beflugged	b i f l u ɡ ə d
beggen	b ɛ ɡ ə n
beggere	b ɛ ɡ ə r ə
beggere	b ɛ ɡ ə r
beginnen	b i ɡ i n ə n
begreten	b i ɡ r eː t ə n
behove	b i h oː v ə
behove	b i h oː v
behoven	b i h oː v ə n
behoven	b i h oː v n
beken	b eː k ə n
beken	b ɛ̝ː k ə n
bekenen	b ɛ k ə n ə n
bekenen	b ɛ k n ə n
bekenynge	b ɛ k ə n i n ɡ ə
bekenynge	b ɛ k ə n i n ɡ
bekenynge	b ɛ k n i n ɡ ə
bekenynge	b ɛ k n i n ɡ
bel	b ɛː l
bel	b ɛ l
belde	b eː l d ə
belde	b eː l d
belde	b ɛː l d ə
belde	b ɛː l d
belden	b eː l d ə n
belden	b ɛː l d ə n
belden	b iː l d ə n
belwen	b ɛ l w ə n
belwen	b ɛ l ɔ u̯ ə n
belwen	b ɛ l j ə n
belwen	b ɛ l i u̯ iː
bely	b ɛ l iː
beme	b eː m ə
beme	b eː m
bemen	b eː m ə n
bemen	b ɛː m ə n
bemere	b eː m ə r ə
bemere	b eː m ə r
bendel	b ɛ n d ɛ l
bendel	b ɛ n d ɛː l
bene	b ɛː n ə
bene	b ɛː n
bene	b eː n ə
bene	b eː n
benediccion	b ɛ n i d i k s j u n
benediccion	b ɛ n i d i k s i uː n
benediccion	b ɛ n i d i k s i oː n
benedicite	b ɛ n i d i s i t eː
benedicite	b ɛ n ə d i s t eː
benedicite	b ɛ n d i s t eː
benedicite	b ɛ n s t eː
benigne	b ɛ n iː n ə
benigne	b ɛ n iː n
benigne	b ɛ n i n ɡ n ə
benigne	b ɛ n i n ɡ n
benigne	b ɛ n i ɡ n ə
benigne	b ɛ n i ɡ n
benignely	b ɛ n iː n ə l iː
benignely	b ɛ n iː n l iː
benignely	b ɛ n i n ɡ n ə l iː
benignely	b ɛ n i n ɡ n l iː
benignely	b ɛ n i ɡ n ə l iː
benignely	b ɛ n i ɡ n l iː
benignite	b ɛ n i n ɡ n i t eː
benignite	b ɛ n i ɡ n i t eː
benignite	b ɛ n iː n ɡ n i t eː
benignite	b ɛ n iː ɡ n i t eː
benysoun	b ɛ n i z uː n
benysoun	b ɛ n i z u n
ber	b eː r
ber	b øː r
berd	b ɛː r d
berde	b iː r d ə
berde	b iː r d
berde	b eː r d ə
berde	b eː r d
berde	b ɛː r d ə
berde	b ɛː r d
berde	b yː r d ə
berde	b yː r d
berdles	b ɛ̝ː r d l ɛ̝ː s
berdles	b ɛ r d l ɛ̝ː s
bere	b ɛ̞ː r ə
bere	b ɛ̞ː r
bere	b ɛ̞ː r ə
bere	b ɛ̞ː r
berebynde	b ɛ̞ː r ə b iː n d ə
berebynde	b ɛ̞ː r ə b iː n d
berebynde	b ɛ̞ː r b iː n d ə
berebynde	b ɛ̞ː r b iː n d
berebynde	b ɛ̞ː r ə b i n d ə
berebynde	b ɛ̞ː r ə b i n d
berebynde	b ɛ̞ː r b i n d ə
berebynde	b ɛ̞ː r b i n d
beren	b ɛ̞ː r ə n
berewort	b ɛ̞ː r ə w u r t
berewort	b ɛ̞ː r w u r t
berie	b ɛ r j ə
berie	b ɛ r iː ə
berie	b ɛ r iː
beringe	b ɛː r i n ɡ ə
beringe	b ɛː r i n ɡ
berken	b ɛ r k ə n
berken	b a r k ə n
berkere	b ɛ r k ə r ə
berkere	b ɛ r k ə r
berkyng	b ɛ r k i n ɡ ə
berkyng	b ɛ r k i n ɡ
berme	b ɛ r m ə
berme	b ɛ r m
berme	b a r m ə
berme	b a r m
bern	b ɛ r n
bern	b a r n
bern	b eː r n
bern	b ɛː r n
bern	b øː r n
berwen	b ɛ r w ə n
beryl	b ɛ r iː l
beryl	b ɛ r i l
beryl	b ɛ r i l
besaunt	b ɛː z a u̯ n t
besaunt	b ɛː z a n t
besaunt	b ɛ z a u̯ n t
besaunt	b ɛ z a n t
besaunt	b ɛː z a u̯ n t
besaunt	b ɛː z a n t
besaunt	b ɛ z a u̯ n t
besaunt	b ɛ z a n t
besme	b ɛ z m ə
besme	b ɛ z ə m
besme	b eː z m ə
besme	b eː z ə m
best	b ɛ s t
bestayle	b ɛ s t æ i̯ l ə
bestayle	b ɛ s t æ i̯ l
bestayle	b ɛ s t a l ə
bestayle	b ɛ s t a l
beste	b ɛ̝ː s t ə
beste	b ɛ̝ː s t
beste	b ɛ s t ə
beste	b ɛ s t
bestely	b ɛ s t ə l iː
bestely	b ɛ s t l iː
bestely	b ɛ̝ː s t ə l iː
bestely	b ɛ̝ː s t l iː
bestial	b ɛ s t i a l
bestial	b ɛ s t i a l
bestial	b ɛː s t i a l
bestial	b ɛː s t i a l
bestially	b ɛ s t i a l l iː
bestially	b ɛ s t i a l iː
bestially	b ɛ s t i a l l iː
bestially	b ɛ s t i a l iː
beswiken	b i s w iː k ə n
bet	b ɛ t
bete	b ɛː t ə
bete	b ɛː t
bete	b eː t ə
bete	b eː t
betel	b eː t ə l
beten	b ɛ̝ː t ə n
beten	b eː t ə n
beten	b ɛ t ə n
beteren	b ɛ t ə r ə n
beteren	b ɛ t r ə n
beterynge	b ɛ t ə r i n ɡ
bethen	b ɛ ð ə n
bethen	b ɛ̞ː ð ə n
Bethleem	b ɛ d l eː ɛ m
Bethleem	b ɛ d l eː m
Bethleem	b ɛ d l ɛ m
bettre	b ɛ t r ə
bettre	b ɛ t ə r ə
bettre	b ɛ t ə r
bever	b ɛ̞ː v ə r
bever	b ɛː v ə r
bever	b ɛ v ə r
beverage	b ɛ v ə r aː d͡ʒ ə
beverage	b ɛ v ə r aː d͡ʒ
beverage	b ɛ v ə r a d͡ʒ ə
beverage	b ɛ v ə r a d͡ʒ
bewrien	b i w r iː ə n
beyle	b æ i̯ l
bible	b iː b ə l
bicaren	b i k aː r ə n
bicche	b i t͡ʃ ə
bicche	b i t͡ʃ
bidelven	b i d ɛ l v ə n
biden	b iː d ə n
bifallen	b i f a l ə n
biflowen	b i f l ɔ u̯ ə n
bifore	b i f ɔː r ə
bifore	b i f ɔː r
biheste	b i h ɛ s t ə
biheste	b i h ɛ s t
biheste	b i h ɛ̝ː s t ə
biheste	b i h ɛ̝ː s t
biheve	b i h eː v ə
biheve	b i h eː v
biholden	b i h ɔ̝ː l d ə n
biholden	b i h ɔ̝ː l d ə
biholden	b i h ɔ̝ː l d
biholden	b i h aː l d
biholden	b i h ɔ̝ː l d ə n
biholden	b i h ɔ̝ː l d ə
biholden	b i h ɔ̝ː l d
biholdere	b i h ɔ̝ː l d ə r ə
biholdere	b i h ɔ̝ː l d ə r
bileve	b i l ɛ̝ː v ə
bileve	b i l ɛ̝ː v
bileve	b i l eː v ə
bileve	b i l eː v
bileven	b i l eː v ə n
bilewit	b i l ə h w iː t
bilewit	b i l ə w i t
binden	b iː n d ə n
binden	b i n d ə n
biqueste	b i k w ɛ s t
biqueste	b i k w ɛː s t
biquethen	b i k w ɛ̞ː ð ə n
birche	b i r t͡ʃ ə
birche	b i r t͡ʃ
birche	b i r k ə
birche	b i r k
bireven	b i r ɛ̝ː v ə n
biriel	b i r i ə l
biriel	b i r j ə l
biriel	b ɛ r i ə l
biriel	b ɛ r j ə l
biriel	b u r i ə l
biriel	b u r j ə l
biriels	b i r i ə l ə s
biriels	b i r i ə l s
biriels	b i r j ə l ə s
biriels	b i r j ə l s
biriels	b i r i l ə s
biriels	b i r i l s
biriels	b u r i ə l ə s
biriels	b u r i ə l s
biriels	b u r j ə l ə s
biriels	b u r j ə l s
biriels	b u r i l ə s
biriels	b u r i l s
birien	b i r j ə n
birien	b i r i ə n
birien	b ɛ r j ə n
birien	b ɛ r i ə n
birien	b u r j ə n
birien	b u r i ə n
birien	b eː r iː
biriere	b i r i ə r ə
biriere	b i r i ə r
biriere	b i r j ə r ə
biriere	b i r j ə r
birlen	b i r l ə n
biryinge	b i r i i n ɡ ə
biryinge	b i r i i n ɡ
biryinge	b i r j i n ɡ ə
biryinge	b i r j i n ɡ
biryinge	b ɛ r i i n ɡ ə
biryinge	b ɛ r i i n ɡ
biryinge	b ɛ r j i n ɡ ə
biryinge	b ɛ r j i n ɡ
biryinge	b eː r i i n ɡ
biryinge	b eː r j i n ɡ
biryinge	b u r i i n ɡ ə
biryinge	b u r i i n ɡ
biryinge	b u r j i n ɡ ə
biryinge	b u r j i n ɡ
birynesse	b i r i n ɛ s ə
birynesse	b i r i n ɛ s
birynesse	b eː r i n ɛ s
birynesse	b u r i n ɛ s ə
birynesse	b u r i n ɛ s
bischop	b i ʃ u p
bischophod	b i ʃ ɔ p h ɔː d
bischopriche	b i ʃ u p r iː t͡ʃ ə
bischopriche	b i ʃ u p r iː t͡ʃ
bischopriche	b i ʃ u p r iː k ə
bischopriche	b i ʃ u p r iː k
bischopriche	b i ʃ u p r i t͡ʃ ə
bischopriche	b i ʃ u p r i t͡ʃ
bischopriche	b i ʃ u p r i k ə
bischopriche	b i ʃ u p r i k
bisegen	b i s eː d͡ʒ ə n
bisemen	b i s eː m ə n
biside	b i s iː d ə
biside	b i s iː d
bisili	b i z iː l iː
bisili	b i z i l iː
bisne	b i z n ə
bisne	b iː z n ə
bisne	b i z ə n
bisne	b iː z ə n
bisne	b i s n ə
bisne	b iː s n ə
bisne	b i s ə n
bisne	b iː s ə n
bisquyte	b i s k w i t
bisy	b i z iː
bisy	b y z iː
bisynes	b i z iː n ɛ s ə
bisynes	b i z iː n ɛ s
bisynes	b i z i n ɛ s ə
bisynes	b i z i n ɛ s
bite	b i t ə
bite	b i t
bite	b eː t ə
bite	b eː t
bite	b iː t ə
bite	b iː t
biten	b iː t ə n
biten	b i t øː n
biten	b i t eː n
biteon	b i t øː n
biteon	b i t eː n
bitte	b i t ə
bitte	b i t
bitte	b u t ə
bitte	b u t
bitwixe	b i t w i k s
bitwixe	b i t w i k s t
bityden	b i t iː d ə n
biveren	b i v ə r ə n
biveren	b i v r ə n
biveren	b eː v ə r ə
biveren	b eː v r ə
bivien	b i v j ə n
biwinnen	b i w i n ə n
biyete	b i j ɛː t ə
biyete	b i j ɛː t
blad	b l aː d
blad	b l a d
bladdre	b l a d ə r ə
bladdre	b l a d ə r
bladdre	b l ɛ d ə r ə
bladdre	b l ɛ d ə r
bladdre	b l a d r ə
bladdre	b l ɛ d r ə
bladdren	b l a d ə r ə n
bladdren	b l a d r ə n
bladdren	b l ɛ d ə r ə n
bladdren	b l ɛ d r ə n
blader	b l aː d ə r
blader	b l a d ə r
bladyn	b l aː d ə n
blak	b l a k
blak	b l aː k
blakberie	b l a k b ɛ r j ə
blakberie	b l a k b ɛ r iː ə
blakberie	b l a k b ɛ r iː
blame	b l aː m ə
blame	b l aː m
blameable	b l aː m ə aː b ə l
blameable	b l aː m aː b ə l
blameful	b l aː m ə f u l
blameful	b l aː m f u l
blameles	b l aː m ə l ɛ̝ː s
blameles	b l aː m l ɛ̝ː s
blameles	b l aː m ə l ɛ s
blameles	b l aː m l ɛ s
blamen	b l aː m ə n
blamer	b l aː m ə r ə
blamer	b l aː m ə r
blamynge	b l aː m i n ɡ ə
blamynge	b l aː m i n ɡ
blase	b l aː z ə
blase	b l aː z
blase	b l ɛ̞ː z ə
blase	b l ɛ̞ː z
blasen	b l aː z ə n
blasen	b l aː z ə n
blasfeme	b l a s f eː m ə
blasfeme	b l a s f eː m
blasfemen	b l a s f eː m ə n
blasfemie	b l a s f ɛ m iː ə
blasfemie	b l a s f ɛ m iː
blasfemie	b l a s f ɛ m iː ə
blasfemie	b l a s f ɛ m iː
blasfemie	b l a s f ɛ m ə
blasfemie	b l a s f ɛ m
blasfemour	b l a s f ə m uː r
blasfemour	b l a s f ə m u r
blasfemour	b l a s f eː m ə r ə
blasfemour	b l a s f eː m ə r
blasfemynge	b l a s f eː m i n ɡ ə
blasfemynge	b l a s f eː m i n ɡ
blasoun	b l aː z uː n
blasoun	b l aː z u n
blasoun	b l aː z ə n
blast	b l a s t
blast	b l ɛː s t
blasten	b l a s t ə n
blechen	b l ɛː t͡ʃ ə n
blede	b l ɛː d
blede	b l eː d
bleden	b l eː d ə n
blessen	b l ɛ s ə n
blessen	b l i s ə n
blessen	b l ɛ t s i ə n
blessen	b l ɛ t s ə n
bleten	b l ɛː t ə n
blew	b l i u̯
blewman	b l i u̯ m a n
bliken	b l iː k ə n
bliken	b l i k ə n
blinnen	b l i n ə n
blinnen	b i l i n ə n
blisful	b l i s f u l
blisful	b l ɛ s f u l
blisse	b l i s ə
blisse	b l i s
blissen	b l i s ə n
blo	b l ɔː
blo	b l aː
bloman	b l ɔ̝ː m a n
blome	b l oː m ə
blome	b l oː m
blome	b l yː m
blomen	b l oː m ə n
blomere	b l oː m ə r ə
blomere	b l oː m ə r
blood	b l oː d
blosme	b l ɔ s m ə
blosme	b l ɔ s m
blosme	b l ɔ s ə m
blosmen	b l ɔ s m ə n
blosmy	b l ɔ s m iː
blow	b l ɔ u̯
blow	b l a u̯
blowen	b l ɔ u̯ ə n
blowen	b l ɑ u̯ ə n
blowen	b l ɑ u̯
blowen	b l ɔ u̯ ə n
blowere	b l ɔ u̯ ə r ə
blowere	b l ɔ u̯ ə r
blowere	b l ɑ u̯ ə r ə
blowere	b l ɑ u̯ ə r
blowynge	b l ɔ u̯ i n ɡ ə
blowynge	b l ɔ u̯ i n ɡ
blowynge	b l ɑ u̯ i n ɡ ə
blowynge	b l ɑ u̯ i n ɡ
blowynge	b l ɔ u̯ i n ɡ ə
blowynge	b l ɔ u̯ i n ɡ
blowynge	b l ɑ u̯ i n ɡ ə
blowynge	b l ɑ u̯ i n ɡ
blynd	b l iː n d
blynd	b l i n d
bocher	b u t͡ʃ eː r
bocher	b u t͡ʃ ə r
bocherie	b u t͡ʃ ə r iː ə
bocherie	b u t͡ʃ ə r iː
bocherie	b u t͡ʃ ə r iː ə
bocherie	b u t͡ʃ ə r iː
bochous	b oː k h uː s
bocstaff	b oː k s t a f
bocstaff	b oː k s t aː v ə
bocstaff	b oː k s t aː v
bodeword	b oː d w u r d
bodeword	b oː d w oː r d
bodi	b ɔː d iː
bodi	b ɔ d iː
boillen	b u i̯ l ə n
bok	b oː k
bokel	b u k ə l
boket	b u k ɛ t
bolde	b ɔː l d
bolde	b aː l d
bole	b u l ə
bole	b u l
bole	b oː l ə
bole	b oː l
bole	b ɔː l ə
bole	b ɔː l
bole	b ɔː l
Boloyne	b u l u i̯ n ə
Boloyne	b u l u i̯ n
Boloyne	b u l æ i̯ n ə
Boloyne	b u l æ i̯ n
Boloyne	b u l ɛ n ə
Boloyne	b u l ɛ n
Boloyne	b u l i n ə
Boloyne	b u l i n
bolster	b ɔ l s t ə r
bombard	b u m b a r d
bon	b ɔ̝ː n
bon	b ɑː n
bon	b aː n
bonchef	b ɔ n t ʃ eː f
bonde	b ɔː n d ə
bonde	b ɔː n d
bonde	b ɔ n d ə
bonde	b ɔ n d
bonden	b ɔ n d ə n
bonden	b ɔː n d ə n
bonet	b ɔ n ɛ t
bonet	b ɔ n ɛ t
bonnefyre	b ɔː n f iː r
bonnefyre	b ɔ n f iː r
bonwort	b ɔː n w u r t
bonwort	b ɑː n w u r t
bonwort	b aː n w u r t
bonwort	b a n w u r t
boon	b oː n
boon	b oː n
bor	b ɔ̝ː r
bor	b ɑː r
bor	b aː r
bord	b oː r d
bord	b ɔ r d
