'day	d a i
arina	ʔ a ɾ i n a
aristoteles	ʔ a ɾ i s t o t e l e s
arkanghel	ʔ a ɾ k a ŋ h e l
arkanghel	ʔ a ɾ k a ŋ h e l
arkeologo	ʔ a ɾ k e o l o ɡ o
arkeolohiya	ʔ a ɾ k e o l o h i a
arkila	ʔ a ɾ k i l a
arkitekto	ʔ a ɾ k i t e k t o
arkitektura	ʔ a ɾ k i t e k t u ɾ a
arko	ʔ a ɾ k o
arlene	a r l i n
armadilyo	ʔ a ɾ m a d i l j o
armado	ʔ a ɾ m a d o
armalayt	ʔ a ɾ m a l a i t
armas	ʔ a ɾ m a s
armas	ʔ a ɾ m a s
armenya	ʔ a ɾ m e n j a
arminyo	ʔ a ɾ m i n j o
armonika	ʔ a ɾ m o n i k a
arnibal	ʔ a ɾ n i b a l
arnis	ʔ a ɾ n i s
arogante	ʔ a ɾ o ɡ a n t e
aroma	ʔ a ɾ o m a
aroskaldo	ʔ a ɾ o s k a l d o
arpiya	ʔ a ɾ p i a
arquiza	ʔ a ɾ k i s a
arriola	ʔ a ɾ i o l a
arrogante	ʔ a ɾ o ɡ a n t e
arroyo	ʔ a ɾ o j o
arseniko	ʔ a ɾ s e n i k o
arsilya	ʔ a ɾ s i l j a
arsobispado	ʔ a ɾ s o b i s p a d o
arsobispo	ʔ a ɾ s o b i s p o
arte	ʔ a ɾ t e
artiaga	ʔ a ɾ s j a ɡ a
artikulo	ʔ a ɾ t i k u l o
artipisyal	ʔ a ɾ t i p i s j a l
artista	ʔ a ɾ t i s t a
arwa	ʔ a ɾ w a ʔ
arya	ʔ a ɾ j a
arzadon	ʔ a ɾ s a d o n
asa	ʔ a s a
asada	ʔ a s a d a
asahan	ʔ a s a h a n
asal	ʔ a s a l
asam	ʔ a s a m
asamblea	ʔ a s a m b l e j a
asambleista	ʔ a s a m b l e ʔ i s t a
asanorya	ʔ a s a n o ɾ j a
asap	ʔ a s a p
asap	ʔ a s a p
asar	ʔ a s a ɾ
asarol	ʔ a s a ɾ o l
asawa	ʔ a s a w a
asbesto	ʔ a s b e s t o
asbok	ʔ a s b o k
asendero	ʔ a s e n d e ɾ o
asenso	ʔ a s e n s o
aserbayan	ʔ a s e ɾ b a j a n
ashley	a ʃ l i
asido	ʔ a s i d o
asignatura	ʔ a s i ɡ n a t u ɾ a
asikaso	ʔ a s i k a s o
asilo	ʔ a s i l o
asilo	ʔ a s i l o
asim	ʔ a s i m
asin	ʔ a s i n
asindero	ʔ a s i n d e ɾ o
asinta	ʔ a s i n t a
asiwa	ʔ a s i w a ʔ
asiwa	ʔ a s i w a ʔ
askal	ʔ a s k a l
asngal	ʔ a s ŋ a l
asno	ʔ a s n o
aso	ʔ a s o
aso	ʔ a s o
asog	ʔ a s o ɡ
asog	ʔ a s o ɡ
asoge	ʔ a s o ɡ e
asosasyon	ʔ a s o s a s j o n
aspalto	ʔ a s p a l t o
aspekto	ʔ a s p e k t o
aspeto	ʔ a s p e t o
aspile	ʔ a s p i l e
aspin	ʔ a s p i n
aspirina	ʔ a s p i ɾ i n a
asta	ʔ a s t a ʔ
asta	ʔ a s t a
astaka	ʔ a s t a k a ʔ
astaka	ʔ a s t a k a ʔ
astig	ʔ a s t i ɡ
astinggal	ʔ a s t i ŋ ɡ a l
astro	ʔ a s t ɾ o
astrolohiya	ʔ a s t ɾ o l o h i a
astronomiya	ʔ a s t ɾ o n o m i a
astropisika	ʔ a s t ɾ o p i s i k a
asukal	ʔ a s u k a l
asukarera	ʔ a s u k a ɾ e ɾ a
asul	ʔ a s u l
asungot	ʔ a s u ŋ o t
asunto	ʔ a s u n t o
asupre	ʔ a s u p ɾ e
asusena	ʔ a s u s e n a
aswang	ʔ a s w a ŋ
asya	ʔ a s j a
asyano	ʔ a s j a n o
asyenda	ʔ a s j e n d a
at	ʔ a t
ata	ʔ a t a ʔ
ata	ʔ a t a
atake	ʔ a t a k e
atang	ʔ a t a ŋ
atang	ʔ a t a ŋ
atangya	ʔ a t a ŋ j a
atas	ʔ a t a s
atas	ʔ a t a s
atat	ʔ a t a t
ataud	ʔ a t a ʔ u d
ataul	ʔ a t a ʔ u l
atay	ʔ a t a i
atay	ʔ a t a i
atayin	ʔ a t a j i n
atbp.	ʔ a t ʔ i b a ʔ p a
ate	ʔ a t e
ate	ʔ a t e
ate	ʔ a t e ʔ
ate	ʔ a t e
atenas	ʔ a t e n a s
atendido	ʔ a t e n d i d o
atensiyon	ʔ a t e n s i o n
athanasia	ʔ a t h a n a s i a
atig	ʔ a t i ɡ
atigin	ʔ a t i ɡ i n
atik	ʔ a t i k
atikha	ʔ a t i k h a ʔ
atin	ʔ a t i n
atip	ʔ a t i p
atis	ʔ a t i s
atlantiko	ʔ a t l a n t i k o
atleta	ʔ a t l e t a
atomo	ʔ a t o m o
atras	ʔ a t ɾ a s
atraso	ʔ a t ɾ a s o
atrebida	ʔ a t ɾ e b i d a
atrebido	ʔ a t ɾ e b i d o
atribida	ʔ a t ɾ i b i d a
atribido	ʔ a t ɾ i b i d o
atribusyon	ʔ a t ɾ i b u s j o n
atsara	ʔ a t͡ʃ a ɾ a
atsi	ʔ a t͡ʃ i
atsi	ʔ a t͡ʃ i
atsoy	ʔ a t͡ʃ o i
atsuwete	ʔ a t͡ʃ u e t e
atubili	ʔ a t u b i l i ʔ
atubili	ʔ a t u b i l i ʔ
atubili	ʔ a t u b i l i
atungal	ʔ a t u ŋ a l
atupag	ʔ a t u p a ɡ
audrey	ʔ a u d ɾ e i
aurora	ʔ a u ɾ o ɾ a
auyong	a w j ɔ ŋ
avanceña	ʔ a b a n s e ɲ a
avendaño	ʔ a b e n d a ɲ o
aw	ʔ a u
awa	ʔ a w a ʔ
awak	ʔ a w a k
awak	ʔ a w a k
awang	ʔ a w a ŋ
awanggan	ʔ a w a ŋ ɡ a n
awat	ʔ a w a t
awat	ʔ a w a t
away	ʔ a w a i
awayan	ʔ a w a j a n
awayin	ʔ a w a j i n
awit	ʔ a w i t
awstralya	ʔ a u s t ɾ a l j a
awstriya	ʔ a u s t ɾ i a
awtismo	ʔ a u t i s m o
awtomatiko	ʔ a u t o m a t i k o
awtonomiya	ʔ a u t o n o m i a
awtopsiya	ʔ a u t o p s i a
awtor	ʔ a u t o ɾ
awtoridad	ʔ a u t o ɾ i d a d
awtoridad	ʔ o t o ɾ i d a d
awtorisado	ʔ a u t o ɾ i s a d o
awtorisado	ʔ o t o ɾ i s a d o
awtorisasyon	ʔ a u t o ɾ i s a s j o n
awtorisasyon	ʔ o t o ɾ i s a s j o n
awyoung	a w j ɐ ŋ
ay	ʔ a i
aya	ʔ a j a
aya	ʔ a j a
aya	ʔ a j a ʔ
ayako	ʔ a j a k o
ayam	ʔ a j a m
ayan	ʔ a j a n
ayangaw	ʔ a j a ŋ a u
ayaw	ʔ a j a u
ayaw	ʔ a j a u
ayon	ʔ a j o n
ayon	ʔ a j o n
ayos	ʔ a j o s
ayos	ʔ a j o s
aysing	ʔ a i s i ŋ
ayson	ʔ a i s o n
ayta	ʔ a i t a
ayuda	ʔ a j u d a
ayumi	ʔ a j u m i
ayungin	ʔ a j u ŋ i n
ayuno	ʔ a j u n o
ayusin	ʔ a j u s i n
ayusin	ʔ a j u s i n
ayuyang	ʔ a j u j a ŋ
aywan	ʔ a i w a n
aywan	ʔ e w a n
azaña	ʔ a s a ɲ a
azucena	ʔ a s u s e n a
año	ʔ a ɲ o
añonuevo	ʔ a ɲ o n u e b o
ba	b a
ba	b a
ba	b a ʔ
ba	b a
ba't	b a t
baang	b a ʔ a ŋ
baang	b a ʔ a ŋ
baat	b a ʔ a t
baba	b a b a ʔ
baba	b a b a ʔ
baba	b a b a
babaan	b a b a ʔ a n
babaan	b a b a ʔ a n
babaan	b a b a ʔ a n
babad	b a b a d
babad	b a b a d
babae	b a b a ʔ e
babaero	b a b a ʔ e ɾ o
babag	b a b a ɡ
babag	b a b a ɡ
babaihin	b a b a ʔ i h i n
babala	b a b a l a ʔ
babao	b a b a u
babasa	b a b a s a
babasagin	b a b a s a ɡ i n
babasagin	b a b a s a ɡ i n
babasahin	b a b a s a h i n
babasahin	b a b a s a h i n
babat	b a b a t
babaw	b a b a u
babay	b a b a i
babayaran	b a b a j a ɾ a n
babayaran	b a b a j a ɾ a n
babaye	b a b a j e
babaylan	b a b a i l a n
babero	b a b e ɾ o
baboy	b a b o i
babuyan	b a b u j a n
babuyan	b a b u j a n
babuyin	b a b u j i n
bacani	b a k a n i
bacas	b a k a s
baclad	b a k l a d
baclig	b a k l i ɡ
bacoor	b a k o ʔ o ɾ
bacsa	b a k s a
bactol	b a k t o l
baculi	b a k u l i
badaho	b a d a h o
badayos	b a d a j o s
bading	b a d i ŋ
badminton	b a d m i n t o n
badminton	b a d m i n t o n
baduy	b a d u i
badya	b a d j a
badyet	b a d j e t
bag	b a ɡ
baga	b a ɡ a ʔ
baga	b a ɡ a
baga	b a ɡ a ʔ
baga	b a ɡ a
bagabag	b a ɡ a b a ɡ
bagabag	b a ɡ a b a ɡ
bagahe	b a ɡ a h e
bagal	b a ɡ a l
bagalan	b a ɡ a l a n
bagama't	b a ɡ a m a t
bagaman	b a ɡ a m a n
bagamat	b a ɡ a m a t
bagang	b a ɡ a ŋ
bagang	b a ɡ ʔ a ŋ
bagansiya	b a ɡ a n s i a
bagaoisan	b a ɡ a w i s a n
bagay	b a ɡ a i
bagbag	b a ɡ b a ɡ
bagets	b a ɡ e t s
baging	b a ɡ i ŋ
bagito	b a ɡ i t o
bagko	b a ɡ k o ʔ
bagkos	b a ɡ k o s
bagkus	b a ɡ k u s
bagnet	b a ɡ n e t
bago	b a ɡ o
bagok	b a ɡ o k
bagol	b a ɡ o l
bagon	b a ɡ o n
bagoong	b a ɡ o ʔ o ŋ
bagot	b a ɡ o t
bagsak	b a ɡ s a k
bagsik	b a ɡ s i k
bagsit	b a ɡ s i t
bagtas	b a ɡ t a s
bagting	b a ɡ t i ŋ
baguhan	b a ɡ u h a n
bagunsakupin	b a ɡ u n s a k u p i n
baguntao	b a ɡ u n t a ʔ o
bagwis	b a ɡ w i s
bagyo	b a ɡ j o
bagyuhin	b a ɡ j u h i n
baha	b a h a ʔ
bahag	b a h a ɡ
bahagan	b a h a ɡ a n
bahaghari	b a h a ɡ h a ɾ i ʔ
bahaghari	b a h a ɡ h a ɾ i
bahagi	b a h a ɡ i ʔ
bahagsubay	b a h a ɡ s u b a i
bahagya	b a h a ɡ j a ʔ
bahala	b a h a l a ʔ
bahasa	b a h a s a
bahaw	b a h a u
bahaw	b a h a u
bahaw	b a h a u
bahay	b a h a i
bahid	b a h i d
bahin	b a h i n
bahin	b a h i ŋ
bahing	b a h i ŋ
baho	b a h o ʔ
baho	b a h o
bahon	b a h o n
bahon	b a h o n
baiki	b a ʔ i k i ʔ
baino	b a ʔ i n o
baisan	b a ʔ i s a n
bait	b a ʔ i t
baitang	b a ʔ i t a ŋ
baitang	b a ʔ i t a ŋ
baiya	b a ʔ i a
baka	b a k a
baka	b a k a ʔ
baka	b a k a
baka	b a k a
bakahan	b a k a h a n
bakal	b a k a l
bakal	b a k a l
bakalaw	b a k a l a u
bakam	b a k a m
bakante	b a k a n t e
bakas	b a k a s
bakas	b a k a s
bakasyon	b a k a s j o n
bakasyonista	b a k a s j o n i s t a
bakasyunista	b a k a s j u n i s t a
bakat	b a k a t
bakat	b a k a t
bakaw	b a k a u
bakaw	b a k a u
bakaw	b a k a u
bakawan	b a k a w a n
bakay	b a k a i
bakbak	b a k b a k
baket	b a k e t
bakin	b a k i n
bakit	b a k i t
bakit	b a k e t
bakit	b a t
bakla	b a k l a ʔ
bakla	b a k l a
baklad	b a k l a d
baklain	b a k l a ʔ i n
baklain	b a k l a ʔ i n
baklas	b a k l a s
bakli	b a k l i ʔ
baklita	b a k l i t a
bako	b a k o ʔ
bakod	b a k o d
bakod	b a k o d
bakokang	b a k o k a ŋ
bakol	b a k o l
baksa	b a k s a
baksa	b a k s a ʔ
baktaw	b a k t a u
bakterya	b a k t e ɾ j a
bakulaw	b a k u l a u
bakulo	b a k u l o
bakuna	b a k u n a
bakunado	b a k u n a d o
bakunahan	b a k u n a h a n
bakuran	b a k u ɾ a n
bakwit	b a k w i t
bakya	b a k j a ʔ
bala	b a l a
bala	b a l a ʔ
bala	b a l a
balaan	b a l a a n
balabag	b a l a b a ɡ
balabal	b a l a b a l
balabiga	b a l a b i ɡ a ʔ
balae	b a l a ʔ e
balag	b a l a ɡ
balag	b a l a ɡ
balagat	b a l a ɡ a t
balaghan	b a l a ɡ h a n
balaglawas	b a l a ɡ l a w a s
balagtas	b a l a ɡ t a s
balagtas	b a l a ɡ t a s
balaguer	b a l a ɡ e ɾ
balahak	b a l a h a k
balahakan	b a l a h a k a n
balahibo	b a l a h i b o
balaho	b a l a h o ʔ
balahura	b a l a h u ɾ a
balai	b a l a ʔ i
balaid	b a l a ʔ i d
balak	b a l a k
balakang	b a l a k a ŋ
balakat	b a l a k a t
balakbak	b a l a k b a k
balakid	b a l a k i d
balakid	b a l a k i d
balakil	b a l a k i l
balakilan	b a l a k i l a n
balaksila	b a l a k s i l a ʔ
balakubak	b a l a k u b a k
balakyot	b a l a k j o t
balam	b a l a m
balam	b a l a m
balana	b a l a n a
balana	b a l a n a ʔ
balana	b a l a n a ʔ
balanan	b a l a n a n
balandra	b a l a n d ɾ a
balang	b a l a ŋ
balanga	b a l a ŋ a ʔ
balangaw	b a l a ŋ a u
balangay	b a l a ŋ a i
balangay	b a l a ŋ a i
balangkas	b a l a ŋ k a s
balani	b a l a n i ʔ
balanoy	b a l a n o i
balanse	b a l a n s e
balaong	b a l a ʔ o ŋ
balaraw	b a l a ɾ a u
balarila	b a l a ɾ i l a ʔ
balas	b a l a s
balas	b a l a s
balasa	b a l a s a
balasabas	b a l a s a b a s
balasubas	b a l a s u b a s
balat	b a l a t
balat	b a l a t
balatik	b a l a t i k
balatkayo	b a l a t k a j o ʔ
balato	b a l a t o
balatong	b a l a t o ŋ
balaw	b a l a u
balaw	b a l a u
balaye	b a l a j e
balayi	b a l a j i
balbal	b a l b a l
balbas	b a l b a s
balbon	b a l b o n
balbula	b a l b u l a
balbula	b a l b u l a
balda	b a l d a
balda	b a l d a
baldado	b a l d a d o
baldahin	b a l d a h i n
balde	b a l d e
balde	b a l d e
baldonado	b a l d o n a d o
baldosa	b a l d o s a
bale	b a l e
balete	b a l e t e
balewala	b a l e w a l a ʔ
balewalain	b a l e w a l a ʔ i n
baley	b a l e i
bali	b a l i ʔ
bali	b a l i ʔ
bali	b a l i
balian	b a l i ʔ a n
balibag	b a l i b a ɡ
balibag	b a l i b a ɡ
balibago	b a l i b a ɡ o
balibat	b a l i b a t
balibat	b a l i b a t
balibol	b a l i b o l
balibol	b a l i b o l
balibol	b a l i b o l
balidasyon	b a l i d a s j o n
balido	b a l i d o
baligho	b a l i ɡ h o ʔ
baligtad	b a l i ɡ t a d
baligtarin	b a l i ɡ t a ɾ i n
baligtarin	b a l i ɡ t a ɾ i n
baliin	b a l i ʔ i n
balik	b a l i k
balikan	b a l i k a n
balikan	b a l i k a n
balikat	b a l i k a t
balikbayan	b a l i k b a j a n
baliko	b a l i k o ʔ
baliktad	b a l i k t a d
balikutsa	b a l i k u t͡ʃ a
balikwas	b a l i k w a s
baliling	b a l i l i ŋ
baliling	b a l i l i ŋ
balimbing	b a l i m b i ŋ
balindang	b a l i n d a ŋ
balindas	b a l i n d a s
baling	b a l i ŋ
balinghat	b a l i ŋ h a t
balinghoy	b a l i ŋ h o i
balingit	b a l i ŋ i t
balingkinitan	b a l i ŋ k i n i t a n
balingot	b a l i ŋ o t
balingot	b a l i ŋ o t
balinguyngoy	b a l i ŋ u i ŋ o i
balino	b a l i n o
balino	b a l i n o
balino	b a l i n o ʔ
balinsasayaw	b a l i n s a s a j a u
balintataw	b a l i n t a t a u
balintataw	b a l i n t a t a ʔ o
balintawak	b a l i n t a w a k
balintong	b a l i n t o ŋ
balintuna	b a l i n t u n a ʔ
balintunay	b a l i n t u n a i
balipik	b a l i p i k
balisa	b a l i s a
balisa	b a l i s a
balisacan	b a l i s a k a n
balisakang	b a l i s a k a ŋ
balisawsaw	b a l i s a u s a u
baliskad	b a l i s k a d
balisong	b a l i s o ŋ
balisong	b a l i s o ŋ
balisungsong	b a l i s u ŋ s o ŋ
balisuplingan	b a l i s u p l i ŋ a n
balisuso	b a l i s u s o ʔ
balita	b a l i t a ʔ
balitado	b a l i t a d o
balite	b a l i t e
baliw	b a l i u
baliw	b a l i u
baliw	b a l i u
baliwag	b a l i w a ɡ
balkon	b a l k o n
balkonahe	b a l k o n a h e
balmes	b a l m e s
balngawsipat	b a l ŋ a u s i p a t
balngawsukat	b a l ŋ a u s u k a t
balnian	b a l n i ʔ a n
balnibalngawsipatan	b a l n i b a l ŋ a u s i p a t a n
balnibulog	b a l n i b u l o ɡ
balnidagitab	b a l n i d a ɡ i t a b
balnikapnayan	b a l n i k a p n a j a n
balnisukat	b a l n i s u k a t
balo	b a l o
balo	b a l o ʔ
balon	b a l o n
balon	b a l o n
balot	b a l o t
balot	b a l o t
balota	b a l o t a
balsa	b a l s a
balsahan	b a l s a h a n
balse	b a l s e
balubad	b a l u b a d
baluga	b a l u ɡ a ʔ
baluga	b a l u ɡ a
baluga	b a l u ɡ a ʔ
balukay	b a l u k a i
baluktot	b a l u k t o t
balumbalunan	b a l u m b a l u n a n
balut	b a l u t
baluti	b a l u t i ʔ
baluyot	b a l u j o t
balwarte	b a l w a ɾ t e
balyan	b a l j a n
balyena	b a l j e n a
bamban	b a m b a n
bambang	b a m b a ŋ
bambo	b a m b o
bami	b a m i
bami	b a m i ʔ
bamos	b a m o s
bampira	b a m p i ɾ a
bamus	b a m u s
bana	b a n a ʔ
bana	b a n a
bana	b a n a ʔ
banaag	b a n a ʔ a ɡ
banaag	b a n a a ɡ
banaba	b a n a b a
banal	b a n a l
banas	b a n a s
banat	b a n a t
banat	b a n a t
banawa	b a n a w a
banayad	b a n a j a d
banban	b a n b a n
banda	b a n d a
banda	b a n d a
bandalismo	b a n d a l i s m o
banday	b a n d a i
bandeha	b a n d e h a
bandido	b a n d i d o
bandila	b a n d i l a ʔ
bandurya	b a n d u ɾ j a
bandyo	b a n d j o
banga	b a ŋ a ʔ
banga	b a ŋ a ʔ
bangag	b a ŋ a ɡ
bangan	b a ŋ a n
bangan	b a ŋ a n
bangas	b a ŋ a s
bangas	b a ŋ a s
bangaw	b a ŋ a u
bangaw	b a ŋ a u
bangcay	b a ŋ k a i
bangga	b a ŋ ɡ a ʔ
banggit	b a ŋ ɡ i t
banghay	b a ŋ h a i
bangin	b a ŋ i n
bangis	b a ŋ i s
bangka	b a ŋ k a ʔ
bangkal	b a ŋ k a l
bangkarote	b a ŋ k a ɾ o t e
bangkas	b a ŋ k a s
bangkay	b a ŋ k a i
bangketa	b a ŋ k e t a
bangkete	b a ŋ k e t e
bangkilas	b a ŋ k i l a s
bangkiling	b a ŋ k i l i ŋ
bangkito	b a ŋ k i t o ʔ
bangkiwi	b a ŋ k i w i ʔ
bangko	b a ŋ k o
bangko	b a ŋ k o ʔ
bangkoro	b a ŋ k o ɾ o
bangkukang	b a ŋ k u k a ŋ
bangkuro	b a ŋ k u ɾ o
bangkuta	b a ŋ k u t a ʔ
bango	b a ŋ o
bangon	b a ŋ o n
bangon	b a ŋ o n
bangungot	b a ŋ u ŋ o t
bangus	b a ŋ u s
baniaga	b a n j a ɡ a
baniaga	b a n j a ɡ a ʔ
banig	b a n i ɡ
banlaw	b a n l a u
banli	b a n l i ʔ
banlian	b a n l i ʔ a n
banoglawin	b a n o ɡ l a w i n
banos	b a n o s
banos	b a n o s
banoy	b a n o i
bansa	b a n s a ʔ
bansa	b a n s a
bansag	b a n s a ɡ
bansi	b a n s i ʔ
bansiw	b a n s i u
bansot	b a n s o t
banta	b a n t a ʔ
banta	b a n t a ʔ
bantas	b a n t a s
bantay	b a n t a i
bantayan	b a n t a j a n
bantayan	b a n t a j a n
bantayog	b a n t a j o ɡ
bantil	b a n t i l
banting	b a n t i ŋ
bantiti	b a n t i t i ʔ
bantiti	b a n t i t i ʔ
banto	b a n t o ʔ
bantod	b a n t o d
bantog	b a n t o ɡ
bantok	b a n t o k
bantot	b a n t o t
bantuan	b a n t u ʔ a n
bantulot	b a n t u l o t
bantulot	b a n t u l o t
banyaga	b a n j a ɡ a ʔ
banyas	b a n j a s
banyera	b a n j e ɾ a
banyo	b a n j o
banyos	b a n j o s
banyuhay	b a n j u h a i
bao	b a ʔ o
baog	b a ʔ o ɡ
baog	b a ʔ o ɡ
baon	b a ʔ o n
baon	b a ʔ o n
bapor	b a p o ɾ
baquiran	b a k i ɾ a n
bara	b a ɾ a
bara	b a ɾ a
bara	b a ɾ a
barado	b a ɾ a d o
baraha	b a ɾ a h a
baraka	b a ɾ a k a
barakilan	b a ɾ a k i l a n
barako	b a ɾ a k o
barangay	b a ɾ a ŋ ɡ a i
barat	b a ɾ a t
barbel	b a ɾ b e l
barbero	b a ɾ b e ɾ o
barberya	b a ɾ b e ɾ j a
barbosa	b a ɾ b o s a
barcelona	b a ɾ s e l o n a
bardagol	b a ɾ d a ɡ o l
barena	b a ɾ e n a
barera	b a ɾ e ɾ a
bareta	b a ɾ e t a
barha	b a ɾ h a
barik	b a ɾ i k
barik	b a ɾ i k
barikada	b a ɾ i k a d a
barikod	b a ɾ i k o d
baril	b a ɾ i l
bariles	b a ɾ i l e s
baritono	b a ɾ i t o n o
baritono	b a ɾ i t o n o
barkada	b a ɾ k a d a
barker	b a ɾ k e ɾ
barkilyos	b a ɾ k i l j o s
barko	b a ɾ k o
barnis	b a ɾ n i s
baro	b a ɾ o ʔ
barok	b a ɾ o k
barok	b a ɾ o k
baron	b a ɾ o n
barong	b a ɾ o ŋ
barong	b a ɾ o ŋ
barquilla	b a ɾ k i l j a
barrios	b a ɾ j o s
bartender	b a ɾ t e n d e ɾ
bartolina	b a ɾ t o l i n a
bartolome	b a ɾ t o l o m e
barumbada	b a ɾ u m b a d a
barumbado	b a ɾ u m b a d o
barya	b a ɾ j a
baryo	b a ɾ j o
basa	b a s a
basa	b a s a
basa	b a s a ʔ
basa	b a s a
basag	b a s a ɡ
basag	b a s a ɡ
basagin	b a s a ɡ i n
basagulero	b a s a ɡ u l e ɾ o
basahan	b a s a h a n
basahin	b a s a h i n
basakay	b a s a k a i
basallote	b ɐ s ɐ l j o t ɛ
basangal	b a s a ŋ a l
basanlot	b a s a n l o t
basar	b a s a ɾ
basbas	b a s b a s
basbasan	b a s b a s a n
basco	b a s k o
bascoguin	b a s k o ɡ i n
base	b a s e
base	b a s e
basehan	b a s e h a n
basi	b a s i ʔ
basig	b a s i ɡ
basilan	b a s i l a n
basilika	b a s i l i k a
basisig	b a s i s i ɡ
baskag	b a s k a ɡ
baskagan	b a s k a ɡ a n
basket	b a s k e t
basketbol	b a s k e t b o l
basketbolista	b a s k e t b o l i s t a
baso	b a s o
baso	b a s o
baso	b a s o
baso	b a s o ʔ
bassig	b a s s i ɡ
basta	b a s t a
basta	b a s t a
basta	b a s t a ʔ
bastardo	b a s t a ɾ d o
basted	b a s t e d
bastos	b a s t o s
basuka	b a s u k a
basura	b a s u ɾ a
basurahan	b a s u ɾ a h a n
basurahan	b a s u ɾ a h a n
basurera	b a s u ɾ e ɾ a
basurero	b a s u ɾ e ɾ o
basyo	b a s j o
basyuhin	b a s j u h i n
bata	b a t a ʔ
bata	b a t a
bata	b a t a
bataan	b a t a ʔ a n
bataan	b a t a ʔ a n
batad	b a t a d
batag	b a t a ɡ
batag	b a t a ɡ
batak	b a t a k
batak	b a t a k
batallones	b a t a l l o n e s
batalyon	b a t a l j o n
batanes	b a t a n e s
batangas	b a t a ŋ ɡ a s
batangueño	b a t a ŋ ɡ e n j o
batar	b a t a ɾ
bataraza	b a t a ɾ a s a
batas	b a t a s
batasan	b a t a s a n
bataw	b a t a u
bataw	b a t a u
bataw	b a t a u
bataw	b a t a u
batay	b a t a i
batayan	b a t a j a n
batayan	b a t a j a n
batchoy	b a t͡ʃ o i
baterya	b a t e ɾ j a
bathala	b a t h a l a ʔ
bathala	b a t h a l a ʔ
bathalaan	b a t h a l a ʔ a n
bati	b a t i ʔ
bati	b a t i ʔ
bati	b a t i
batia	b a t j a ʔ
batid	b a t i d
batidor	b a t i d o ɾ
batik	b a t i k
batikano	b a t i k a n o
batikos	b a t i k o s
batikusin	b a t i k u s i n
batingaw	b a t i ŋ a u
batingawan	b a t i ŋ a w a n
batingting	b a t i ŋ t i ŋ
batis	b a t i s
batiti	b a t i t i ʔ
bato	b a t o
bato	b a t o ʔ
batok	b a t o k
batsilyer	b a t͡ʃ i l j e ɾ
batsoy	b a t͡ʃ o i
batugan	b a t u ɡ a n
batukan	b a t u k a n
batuktok	b a t u k t o k
batulang	b a t u l a ŋ
batuta	b a t u t a ʔ
batutay	b a t u t a i
batya	b a t j a ʔ
batyaw	b a t j a u
baul	b a u l
baunan	b a ʔ u n a n
baunan	b a ʔ u n a n
baunan	b a ʔ u n a n
bauzon	b a u s o n
bawa	b a w a
bawal	b a w a l
bawang	b a w a ŋ
bawang	b a w a ŋ
bawas	b a w a s
bawas	b a w a s
bawat	b a w a t
bawaw	b a w a u
baway	b a w a i
bawi	b a w i ʔ
bawi	b a w i ʔ
bawian	b a w i ʔ a n
bawtisteryo	b a u t i s t e ɾ j o
baya	b a j a ʔ
baya	b a j a
bayabas	b a j a b a s
bayabasan	b a j a b a s a n
bayabasan	b a j a b a s a n
bayad	b a j a d
bayad	b a j a d
bayag	b a j a ɡ
bayan	b a j a n
bayani	b a j a n i
bayanihan	b a j a n i h a n
bayar	b a j a ɾ
bayaran	b a j a ɾ a n
bayaran	b a j a ɾ a n
bayarin	b a j a ɾ i n
bayarin	b a j a ɾ i n
bayaw	b a j a u
bayaw	b a j a u
bayawak	b a j a w a k
baybay	b a i b a i
baybayin	b a i b a j i n
baybayin	b a i b a j i n
baybayin	b a i b a j i n
bayki	b a i k i
bayna	b a i n a
bayna	b a i n a
baynilya	b a i n i l j a
bayno	b a i n o
bayo	b a j o
bayo	b a j o
bayolente	b a j o l e n t e
bayoneta	b a j o n e t a
bayong	b a j o ŋ
bayong	b a i ʔ o ŋ
bayot	b a j o t
bayugo	b a j u ɡ o
baywang	b a i w a ŋ
baywang	b e w a ŋ
bañaga	b a ɲ a ɡ a
beatipikasyon	b e a t i p i k a s j o n
bebot	b e b o t
beho	b e h o
bejasa	b e h a s a
beke	b e k e ʔ
beki	b e k i
beklog	b e k l o ɡ
belarus	b e l a ɾ u s
belarusya	b e l a ɾ u s j a
belat	b e l a t
belen	b e l e n
belhika	b e l h i k a
belhiko	b e l h i k o
belmonte	b e l m o n t e
belosidad	b e l o s i d a d
beltran	b e l t ɾ a n
bendahe	b e n d a h e
bendisyon	b e n d i s j o n
benepisyaryo	b e n e p i s j a ɾ j o
benepisyo	b e n e p i s j o
beneswela	b e n e s w e l a
benesyana	b e n e s j a n a
benggala	b e ŋ ɡ a l a
benguet	b e ŋ ɡ e t
benin	b e n i n
benipayo	b e n i p a j o
benta	b e n t a
bentaha	b e n t a h a
bentilador	b e n t i l a d o ɾ
bentilasyon	b e n t i l a s j o n
benus	b e n u s
berde	b e ɾ d e
berdugo	b e ɾ d u ɡ o
bergonia	b e ɾ ɡ o n j a
berilyo	b e ɾ i l j o
beripika	b e ɾ i p i k a
beripikahin	b e ɾ i p i k a h i n
beripikasyon	b e ɾ i p i k a s j o n
bermudez	b e ɾ m u d e s
bernabe	b e ɾ n a b e
bernakulo	b e ɾ n a k u l o
bersikulo	b e ɾ s i k u l o
bersiyon	b e ɾ s i o n
bertdey	b e ɾ t d e i
