Ⴁ	b
ამპარტავნულად	a m pʼ a r tʼ a v n u l a d
ამპერი	a m pʼ ɛ r i
ამპერმეტრი	a m pʼ ɛ r m ɛ tʼ r i
ამპლიტუდა	a m pʼ l i tʼ u d a
ამპულა	a m pʼ u l a
ამპუტაცია	a m pʼ u tʼ a t͡s i a
ამჟამად	a m ʒ a m a d
ამრავლებს	a m r a v l ɛ b s
ამრაზიშვილი	a m r a z i ʃ v i l i
ამრგვალებს	a m r ɡ v a l ɛ b s
ამრეკლავად	a m r ɛ kʼ l a v a d
ამრეკლავი	a m r ɛ kʼ l a v i
ამრიგად	a m r i ɡ a d
ამსგავსებს	a m s ɡ a v s ɛ b s
ამსტერდამი	a m s tʼ ɛ r d a m i
ამტანი	a m tʼ a n i
ამტანობა	a m tʼ a n ɔ b a
ამტვრევს	a m tʼ v r ɛ v s
ამუზია	a m u z i a
ამულეტი	a m u l ɛ tʼ i
ამურველაშვილი	a m u r v ɛ l a ʃ v i l i
ამუშავებს	a m u ʃ a v ɛ b s
ამუხრუჭებს	a m u x r u t͡ʃʼ ɛ b s
ამფიბია	a m pʰ i b i a
ამფითეატრი	a m pʰ i tʰ ɛ a tʼ r i
ამფორა	a m pʰ ɔ r a
ამღერებს	a m ɣ ɛ r ɛ b s
ამღვრეულობა	a m ɣ v r ɛ u l ɔ b a
ამშვიდებს	a m ʃ v i d ɛ b s
ამჩნევს	a m t͡ʃ n ɛ v s
ამძვრალი	a m d͡z v r a l i
ამძიმებს	a m d͡z i m ɛ b s
ამწარებს	a m t͡sʼ a r ɛ b s
ამწე	a m t͡sʼ ɛ
ამწიფებს	a m t͡sʼ i pʰ ɛ b s
ამწნილებს	a m t͡sʼ n i l ɛ b s
ამხანაგი	a m x a n a ɡ i
ამხანაგობა	a m x a n a ɡ ɔ b a
ამხედრებული	a m x ɛ d r ɛ b u l i
ამჯობინებს	a m d͡ʒ ɔ b i n ɛ b s
ან	a n
ანა	a n a
ანაბარი	a n a b a r i
ანაბეჭდი	a n a b ɛ t͡ʃʼ d i
ანაგვიანებს	a n a ɡ v i a n ɛ b s
ანათემა	a n a tʰ ɛ m a
ანაკონდა	a n a kʼ ɔ n d a
ანალიზი	a n a l i z i
ანალიზური	a n a l i z u r i
ანალიტიკოსი	a n a l i tʼ i kʼ ɔ s i
ანალოგი	a n a l ɔ ɡ i
ანალოგია	a n a l ɔ ɡ i a
ანალოგიურად	a n a l ɔ ɡ i u r a d
ანალოგიური	a n a l ɔ ɡ i u r i
ანალური	a n a l u r i
ანანასი	a n a n a s i
ანანიაშვილი	a n a n i a ʃ v i l i
ანანიძე	a n a n i d͡z ɛ
ანაოჭებს	a n a ɔ t͡ʃʼ ɛ b s
ანარქია	a n a r kʰ i a
ანარქიზმი	a n a r kʰ i z m i
ანარქისტი	a n a r kʰ i s tʼ i
ანარქიულად	a n a r kʰ i u l a d
ანარქიული	a n a r kʰ i u l i
ანატოლი	a n a tʼ ɔ l i
ანატომი	a n a tʼ ɔ m i
ანატომიურად	a n a tʼ ɔ m i u r a d
ანატომიური	a n a tʼ ɔ m i u r i
ანაფილაქსია	a n a pʰ i l a kʰ s i a
ანაფორა	a n a pʰ ɔ r a
ანაქრონიზმი	a n a kʰ r ɔ n i z m i
ანაღდებს	a n a ɣ d ɛ b s
ანახებს	a n a x ɛ b s
ანახვებს	a n a x v ɛ b s
ანახშირებს	a n a x ʃ i r ɛ b s
ანბანი	a n b a n i
ანბანურად	a n b a n u r a d
ანბანური	a n b a n u r i
ანგარება	a n ɡ a r ɛ b a
ანგარები	a n ɡ a r ɛ b i
ანგარებიანი	a n ɡ a r ɛ b i a n i
ანგარი	a n ɡ a r i
ანგარიშვალდებულება	a n ɡ a r i ʃ v a l d ɛ b u l ɛ b a
ანგარიშვალდებული	a n ɡ a r i ʃ v a l d ɛ b u l i
ანგარიში	a n ɡ a r i ʃ i
ანგარიშიანი	a n ɡ a r i ʃ i a n i
ანგარიშმიუცემლად	a n ɡ a r i ʃ m i u t͡s ɛ m l a d
ანგელოზა	a n ɡ ɛ l ɔ z a
ანგელოზი	a n ɡ ɛ l ɔ z i
ანგელოზივით	a n ɡ ɛ l ɔ z i v i tʰ
ანგია	a n ɡ i a
ანგინა	a n ɡ i n a
ანგლიკანური	a n ɡ l i kʼ a n u r i
ანგლიციზმი	a n ɡ l i t͡s i z m i
ანგლოსაქსური	a n ɡ l ɔ s a kʰ s u r i
ანგლოფობი	a n ɡ l ɔ pʰ ɔ b i
ანგოლა	a n ɡ ɔ l a
ანგორა	a n ɡ ɔ r a
ანგრევს	a n ɡ r ɛ v s
ანდაზა	a n d a z a
ანდამატი	a n d a m a tʼ i
ანდიაშვილი	a n d i a ʃ v i l i
ანდობს	a n d ɔ b s
ანდომებდა	a n d ɔ m ɛ b d a
ანდომებს	a n d ɔ m ɛ b s
ანდორა	a n d ɔ r a
ანდრაზაშვილი	a n d r a z a ʃ v i l i
ანდრია	a n d r i a
ანდრიაშვილი	a n d r i a ʃ v i l i
ანეკდოტური	a n ɛ kʼ d ɔ tʼ u r i
ანემია	a n ɛ m i a
ანემიურად	a n ɛ m i u r a d
ანესაშვილი	a n ɛ s a ʃ v i l i
ანესთეზია	a n ɛ s tʰ ɛ z i a
ანექსია	a n ɛ kʰ s i a
ანთება	a n tʰ ɛ b a
ანთებითი	a n tʰ ɛ b i tʰ i
ანთებს	a n tʰ ɛ b s
ანთებული	a n tʰ ɛ b u l i
ანთოლოგია	a n tʰ ɔ l ɔ ɡ i a
ანთრაციტი	a n tʰ r a t͡s i tʼ i
ანთროპოიდი	a n tʰ r ɔ pʼ ɔ i d i
ანთროპოიდული	a n tʰ r ɔ pʼ ɔ i d u l i
ანთროპოლოგი	a n tʰ r ɔ pʼ ɔ l ɔ ɡ i
ანიაშვილი	a n i a ʃ v i l i
ანიკაშვილი	a n i kʼ a ʃ v i l i
ანიმაციური	a n i m a t͡s i u r i
ანიმიზმი	a n i m i z m i
ანისი	a n i s i
ანისული	a n i s u l i
ანკესი	a n kʼ ɛ s i
ანომალია	a n ɔ m a l i a
ანომალიური	a n ɔ m a l i u r i
ანომალურად	a n ɔ m a l u r a d
ანონიმურად	a n ɔ n i m u r a d
ანონიმური	a n ɔ n i m u r i
ანონიმურობა	a n ɔ n i m u r ɔ b a
ანონსი	a n ɔ n s i
ანოტაცია	a n ɔ tʼ a t͡s i a
ანტაგონიზმი	a n tʼ a ɡ ɔ n i z m i
ანტაგონისტურად	a n tʼ a ɡ ɔ n i s tʼ u r a d
ანტარქტიდა	a n tʼ a r kʰ tʼ i d a
ანტარქტიკული	a n tʼ a r kʰ tʼ i kʼ u l i
ანტიბიოტიკი	a n tʼ i b i ɔ tʼ i kʼ i
ანტიგმირი	a n tʼ i ɡ m i r i
ანტივირუსი	a n tʼ i v i r u s i
ანტიკვარი	a n tʼ i kʼ v a r i
ანტიკვარული	a n tʼ i kʼ v a r u l i
ანტიკური	a n tʼ i kʼ u r i
ანტიკურობა	a n tʼ i kʼ u r ɔ b a
ანტილოპა	a n tʼ i l ɔ pʼ a
ანტიპათია	a n tʼ i pʼ a tʰ i a
ანტიპათიური	a n tʼ i pʼ a tʰ i u r i
ანტისხეული	a n tʼ i s x ɛ u l i
ანტიციკლონი	a n tʼ i t͡s i kʼ l ɔ n i
ანტონაშვილი	a n tʼ ɔ n a ʃ v i l i
ანტონი	a n tʼ ɔ n i
ანტონიმი	a n tʼ ɔ n i m i
ანტონიშვილი	a n tʼ ɔ n i ʃ v i l i
ანტრაქტი	a n tʼ r a kʰ tʼ i
ანტრესოლი	a n tʼ r ɛ s ɔ l i
ანტურაჟი	a n tʼ u r a ʒ i
ანუაშვილი	a n u a ʃ v i l i
ანუგეშებს	a n u ɡ ɛ ʃ ɛ b s
ანძა	a n d͡z a
ანძრევს	a n d͡z r ɛ v s
ანჯამა	a n d͡ʒ a m a
აოთხმაგებს	a ɔ tʰ x m a ɡ ɛ b s
აორისტი	a ɔ r i s tʼ i
აორტა	a ɔ r tʼ a
აპათია	a pʼ a tʰ i a
აპათიურად	a pʼ a tʰ i u r a d
აპათიური	a pʼ a tʰ i u r i
აპარატად	a pʼ a r a tʼ a d
აპარატი	a pʼ a r a tʼ i
აპარატით	a pʼ a r a tʼ i tʰ
აპარატის	a pʼ a r a tʼ i s
აპარატმა	a pʼ a r a tʼ m a
აპარატო	a pʼ a r a tʼ ɔ
აპარატს	a pʼ a r a tʼ s
აპატიებს	a pʼ a tʼ i ɛ b s
აპენდიქსი	a pʼ ɛ n d i kʰ s i
აპენდიციტი	a pʼ ɛ n d i t͡s i tʼ i
აპირებს	a pʼ i r ɛ b s
აპკოვანი	a pʼ kʼ ɔ v a n i
აპლიკაცია	a pʼ l i kʼ a t͡s i a
აპლოდისმენტი	a pʼ l ɔ d i s m ɛ n tʼ i
აპლომბი	a pʼ l ɔ m b i
აპნისი	a pʼ n i s i
აპოგეა	a pʼ ɔ ɡ ɛ a
აპოკალიფსი	a pʼ ɔ kʼ a l i pʰ s i
აპოკალიფსური	a pʼ ɔ kʼ a l i pʰ s u r i
აპოკრიფული	a pʼ ɔ kʼ r i pʰ u l i
აპოლოგეტი	a pʼ ɔ l ɔ ɡ ɛ tʼ i
აპოლოგეტიკა	a pʼ ɔ l ɔ ɡ ɛ tʼ i kʼ a
აპრილად	a pʼ r i l a d
აპრილი	a pʼ r i l i
აპრილით	a pʼ r i l i tʰ
აპრილის	a pʼ r i l i s
აპრილმა	a pʼ r i l m a
აპრილს	a pʼ r i l s
აპრიორი	a pʼ r i ɔ r i
აპრიორული	a pʼ r i ɔ r u l i
არ	a r
არა	a r a
არაადეკვატურად	a r a a d ɛ kʼ v a tʼ u r a d
არაადეკვატური	a r a a d ɛ kʼ v a tʼ u r i
არააკურატულად	a r a a kʼ u r a tʼ u l a d
არაარსებითი	a r a a r s ɛ b i tʰ i
არაბაშვილი	a r a b a ʃ v i l i
არაბესკები	a r a b ɛ s kʼ ɛ b i
არაბი	a r a b i
არაბინარული	a r a b i n a r u l i
არაბისტი	a r a b i s tʼ i
არაბიძე	a r a b i d͡z ɛ
არაბული	a r a b u l i
არაბუნებრივად	a r a b u n ɛ b r i v a d
არაბუნებრივი	a r a b u n ɛ b r i v i
არაგვიშვილი	a r a ɡ v i ʃ v i l i
არაგონებამახვილურად	a r a ɡ ɔ n ɛ b a m a x v i l u r a d
არაგონივრულად	a r a ɡ ɔ n i v r u l a d
არაგონივრული	a r a ɡ ɔ n i v r u l i
არაგრამატიკულად	a r a ɡ r a m a tʼ i kʼ u l a d
არაგულწრფელად	a r a ɡ u l t͡sʼ r pʰ ɛ l a d
არაგულწრფელი	a r a ɡ u l t͡sʼ r pʰ ɛ l i
არადა	a r a d a
არადამაკმაყოფილებლად	a r a d a m a kʼ m a qʼ ɔ pʰ i l ɛ b l a d
არადამახასიათებლად	a r a d a m a x a s i a tʰ ɛ b l a d
არადამაჯერებლად	a r a d a m a d͡ʒ ɛ r ɛ b l a d
არადემოკრატიულად	a r a d ɛ m ɔ kʼ r a tʼ i u l a d
არადიპლომატიურად	a r a d i pʼ l ɔ m a tʼ i u r a d
არადრამატულად	a r a d r a m a tʼ u l a d
არაეთიკურად	a r a ɛ tʰ i kʼ u r a d
არაეთიკური	a r a ɛ tʰ i kʼ u r i
არაეკონომიურად	a r a ɛ kʼ ɔ n ɔ m i u r a d
არაერთხელ	a r a ɛ r tʰ x ɛ l
არაეფექტური	a r a ɛ pʰ ɛ kʰ tʼ u r i
არავითარი	a r a v i tʰ a r i
არავინ	a r a v i n
არაზუსტად	a r a z u s tʼ a d
არაზუსტი	a r a z u s tʼ i
არათანაბარი	a r a tʰ a n a b a r i
არათანაბრად	a r a tʰ a n a b r a d
არათანაშვილი	a r a tʰ a n a ʃ v i l i
არათანმიმდევრულად	a r a tʰ a n m i m d ɛ v r u l a d
არათითი	a r a tʰ i tʰ i
არაკი	a r a kʼ i
არაკომპეტენტურად	a r a kʼ ɔ m pʼ ɛ tʼ ɛ n tʼ u r a d
არაკონსტიტუციურად	a r a kʼ ɔ n s tʼ i tʼ u t͡s i u r a d
არაკორექტულად	a r a kʼ ɔ r ɛ kʰ tʼ u l a d
არაკორექტული	a r a kʼ ɔ r ɛ kʰ tʼ u l i
არალოგიკურად	a r a l ɔ ɡ i kʼ u r a d
არალოგიკური	a r a l ɔ ɡ i kʼ u r i
არალოიალურად	a r a l ɔ i a l u r a d
არამაგობრულად	a r a m a ɡ ɔ b r u l a d
არამეგობრული	a r a m ɛ ɡ ɔ b r u l i
არამედ	a r a m ɛ d
არამეცნიერულად	a r a m ɛ t͡s n i ɛ r u l a d
არამზადა	a r a m z a d a
არამიმზიდველად	a r a m i m z i d v ɛ l a d
არამოდურად	a r a m ɔ d u r a d
არამოხდენილად	a r a m ɔ x d ɛ n i l a d
არამსგავსი	a r a m s ɡ a v s i
არამუსიკალურად	a r a m u s i kʼ a l u r a d
არამყარად	a r a m qʼ a r a d
არამყარი	a r a m qʼ a r i
არამყარობა	a r a m qʼ a r ɔ b a
არანაირად	a r a n a i r a d
არანაირი	a r a n a i r i
არანორმალურად	a r a n ɔ r m a l u r a d
არანორმალური	a r a n ɔ r m a l u r i
არაორაზროვნად	a r a ɔ r a z r ɔ v n a d
არაორგანულად	a r a ɔ r ɡ a n u l a d
არაორგანული	a r a ɔ r ɡ a n u l i
არაოფიციალურად	a r a ɔ pʰ i t͡s i a l u r a d
არაოფიციალური	a r a ɔ pʰ i t͡s i a l u r i
არაპატრიოტულად	a r a pʼ a tʼ r i ɔ tʼ u l a d
არაპირდაპირად	a r a pʼ i r d a pʼ i r a d
არაპირდაპირი	a r a pʼ i r d a pʼ i r i
არაპროდუქტიულად	a r a pʼ r ɔ d u kʰ tʼ i u l a d
არაპროპორციულად	a r a pʼ r ɔ pʼ ɔ r t͡s i u l a d
არაპროფესიონალი	a r a pʼ r ɔ pʰ ɛ s i ɔ n a l i
არაპროფესიონალური	a r a pʼ r ɔ pʰ ɛ s i ɔ n a l u r i
არარაობა	a r a r a ɔ b a
არარატი	a r a r a tʼ i
არარეალობა	a r a r ɛ a l ɔ b a
არარეალოისტურად	a r a r ɛ a l ɔ i s tʼ u r a d
არარეალურად	a r a r ɛ a l u r a d
არარეალური	a r a r ɛ a l u r i
არარეგულარულად	a r a r ɛ ɡ u l a r u l a d
არარენტაბელურად	a r a r ɛ n tʼ a b ɛ l u r a d
არარომანტიკულად	a r a r ɔ m a n tʼ i kʼ u l a d
არასავალდებულო	a r a s a v a l d ɛ b u l ɔ
არასავალდებულოდ	a r a s a v a l d ɛ b u l ɔ d
არასაიმედო	a r a s a i m ɛ d ɔ
არასაიმედოდ	a r a s a i m ɛ d ɔ d
არასაკმაო	a r a s a kʼ m a ɔ
არასაკმარისად	a r a s a kʼ m a r i s a d
არასაკმარისი	a r a s a kʼ m a r i s i
არასამართლიანად	a r a s a m a r tʰ l i a n a d
არასამართლიანი	a r a s a m a r tʰ l i a n i
არასამართლიანობა	a r a s a m a r tʰ l i a n ɔ b a
არასანუგეშო	a r a s a n u ɡ ɛ ʃ ɔ
არასასიამოვნოდ	a r a s a s i a m ɔ v n ɔ d
არასასურველი	a r a s a s u r v ɛ l i
არასაჭირო	a r a s a t͡ʃʼ i r ɔ
არასდროს	a r a s d r ɔ s
არასეზონურად	a r a s ɛ z ɔ n u r a d
არასეზონური	a r a s ɛ z ɔ n u r i
არასექსუალური	a r a s ɛ kʰ s u a l u r i
არასისტემატურად	a r a s i s tʼ ɛ m a tʼ u r a d
არასკრუპულოზურად	a r a s kʼ r u pʼ u l ɔ z u r a d
არასოდეს	a r a s ɔ d ɛ s
არასპეციფიკურად	a r a s pʼ ɛ t͡s i pʰ i kʼ u r a d
არასპორტულად	a r a s pʼ ɔ r tʼ u l a d
არასრულად	a r a s r u l a d
არასრული	a r a s r u l i
არასრულყოფილად	a r a s r u l qʼ ɔ pʰ i l a d
არასწორად	a r a s t͡sʼ ɔ r a d
არასწორი	a r a s t͡sʼ ɔ r i
არატიპიურად	a r a tʼ i pʼ i u r a d
არატიპური	a r a tʼ i pʼ u r i
არაფერი	a r a pʰ ɛ r i
არაფერს	a r a pʰ ɛ r s
