Abae	a b a e̯
Canīnium	k a n iː n i ũː
Canīniō	k a n iː n i oː
Canīnī	k a n iː n iː
Caphāreum	k a pʰ aː r ɛ u̯ m
Capreārum	k a p r e aː r ũː
Capreās	k a p r e aː s
Capreīs	k a p r e iː s
Capricorne	k a p r ɪ k ɔ r n ɛ
Caprum	k a p r ũː
Caprāsia	k a p r aː s i a
Caprī	k a p r iː
Caprō	k a p r oː
Carbōnia	k a r b oː n i a
Carchēdonia	k a r kʰ eː d ɔ n i a
Carchēdonia	k a r kʰ eː d ɔ n i aː
Carchēdoniae	k a r kʰ eː d ɔ n i a e̯
Carchēdoniam	k a r kʰ eː d ɔ n i ãː
Carchēdonie	k a r kʰ eː d ɔ n i ɛ
Carchēdonium	k a r kʰ eː d ɔ n i ũː
Carchēdoniārum	k a r kʰ eː d ɔ n i aː r ũː
Carchēdoniās	k a r kʰ eː d ɔ n i aː s
Carchēdoniī	k a r kʰ eː d ɔ n i iː
Carchēdoniīs	k a r kʰ eː d ɔ n i iː s
Carchēdoniō	k a r kʰ eː d ɔ n i oː
Carchēdoniōrum	k a r kʰ eː d ɔ n i oː r ũː
Carchēdoniōs	k a r kʰ eː d ɔ n i oː s
Carchēdōne	k a r kʰ eː d oː n ɛ
Carchēdōnem	k a r kʰ eː d oː n ẽː
Carchēdōnis	k a r kʰ eː d oː n ɪ s
Carchēdōnī	k a r kʰ eː d oː n iː
Carlshamnia	k a r ɫ s a m n i a
Carnūtibus	k a r n uː t ɪ b ʊ s
Carnūtum	k a r n uː t ũː
Carolicoronia	k a r ɔ l ɪ k ɔ r ɔ n i a
Carpinātium	k a r p ɪ n aː t i ũː
Carpinātiō	k a r p ɪ n aː t i oː
Carpinātī	k a r p ɪ n aː t iː
Carpis	k a r p ɪ s
Carpī	k a r p iː
Carpō	k a r p oː
Carrāria	k a r r aː r i a
Cartennae	k a r t ɛ n n a e̯
Cartennam	k a r t ɛ n n ãː
Carthadae	k a r tʰ a d a e̯
Carthadam	k a r tʰ a d ãː
Carthāginēnse	k a r tʰ aː ɡ ɪ n ẽː s ɛ
Carthāginēnsem	k a r tʰ aː ɡ ɪ n ẽː s ẽː
Carthāginēnsia	k a r tʰ aː ɡ ɪ n ẽː s i a
Carthāginēnsibus	k a r tʰ aː ɡ ɪ n ẽː s ɪ b ʊ s
Carthāginēnsium	k a r tʰ aː ɡ ɪ n ẽː s i ũː
Carthāginēnsēs	k a r tʰ aː ɡ ɪ n ẽː s eː s
Carthāginēnsī	k a r tʰ aː ɡ ɪ n ẽː s iː
Carvilius	k a r w ɪ l i ʊ s
Carēliae	k a r eː l i a e̯
Carēliam	k a r eː l i ãː
Carīnārum	k a r iː n aː r ũː
Carīnās	k a r iː n aː s
Carīnīs	k a r iː n iː s
Casina	k a s ɪ n a
Casina	k a s ɪ n aː
Cassiopeiae	k a s s i ɔ p ɛ j j a e̯
Cassiopeiam	k a s s i ɔ p ɛ j j ãː
Cassiopēa	k a s s i ɔ p eː a
Cassium	k a s s i ũː
Cassiī	k a s s i iː
Cassiō	k a s s i oː
Cassīnum	k a s s iː n ũː
Cassīnus	k a s s iː n ʊ s
Cassīnēnsis	k a s s iː n ẽː s ɪ s
Cassīnō	k a s s iː n oː
Castellae	k a s t ɛ l l a e̯
Castellam	k a s t ɛ l l ãː
Casērta	k a s eː r t a
Casīna	k a s ɪ n a
Casīna	k a s ɪ n aː
Casīnum	k a s iː n ũː
Casīnā	k a s ɪ n a
Casīnā	k a s ɪ n aː
Casīnēnse	k a s iː n ẽː s ɛ
Casīnō	k a s iː n oː
Casīnōs	k a s iː n oː s
Catacium	k a t a k i ũː
Cativolce	k a t ɪ w ɔ ɫ k ɛ
Cativolcum	k a t ɪ w ɔ ɫ k ũː
Cativolcī	k a t ɪ w ɔ ɫ k iː
Cativolcō	k a t ɪ w ɔ ɫ k oː
Catullus	k a t ʊ l l ʊ s
Caturīgibus	k a t ʊ r iː ɡ ɪ b ʊ s
Caturīgum	k a t ʊ r iː ɡ ũː
Catōne	k a t oː n ɛ
Catōnem	k a t oː n ẽː
Catōnis	k a t oː n ɪ s
Catōnī	k a t oː n iː
Caucasum	k a u̯ k a s ũː
Caucasī	k a u̯ k a s iː
Caucasō	k a u̯ k a s oː
Caīcī	k a iː k iː
Cechia	k ɛ kʰ i a
Celtārum	k ɛ ɫ t aː r ũː
Celtās	k ɛ ɫ t aː s
Celtīs	k ɛ ɫ t iː s
Cenomannica	k ɛ n ɔ m a n n ɪ k a
Cenomānīs	k ɛ n ɔ m aː n iː s
Cenomānōrum	k ɛ n ɔ m aː n oː r ũː
Cenomānōs	k ɛ n ɔ m aː n oː s
Centoribus	k ɛ n t ɔ r ɪ b ʊ s
Centorum	k ɛ n t ɔ r ũː
Cererus	k ɛ r ɛ r ʊ s
Cereālia	k ɛ r e aː l i a
Ceriālia	k ɛ r i aː l i a
Ceutronibus	k ɛ u̯ t r ɔ n ɪ b ʊ s
Ceutronum	k ɛ u̯ t r ɔ n ũː
Chalcēdōne	kʰ a ɫ k eː d oː n ɛ
Chalcēdōnem	kʰ a ɫ k eː d oː n ẽː
Chalcēdōnis	kʰ a ɫ k eː d oː n ɪ s
Chalcēdōnī	kʰ a ɫ k eː d oː n iː
Charisiī	kʰ a r ɪ s i iː
Charisī	kʰ a r ɪ s iː
Charybdin	kʰ a r y b d ɪ n
Chaō	kʰ a oː
Childerīcus	kʰ ɪ ɫ d ɛ r iː k ʊ s
Chimaeram	kʰ ɪ m a e̯ r ãː
Chius	kʰ i ʊ s
Chiō	kʰ i oː
Chrīstī	kʰ r iː s t iː
Chrȳsippe	kʰ r yː s ɪ p p ɛ
Chrȳsippum	kʰ r yː s ɪ p p ũː
Chrȳsippī	kʰ r yː s ɪ p p iː
Chrȳsippō	kʰ r yː s ɪ p p oː
Chēruscīs	kʰ eː r ʊ s k iː s
Chēruscōs	kʰ eː r ʊ s k oː s
Chīnārum	kʰ iː n aː r ũː
Chīnās	kʰ iː n aː s
Chīnīs	kʰ iː n iː s
Chīus	kʰ iː ʊ s
Chī̆nēnsis	kʰ ɪ n ẽː s ɪ s
Cimbricē	k ɪ m b r ɪ k ɛ
Cimbrōs	k ɪ m b r oː s
Circae	k ɪ r k a e̯
Circaea	k ɪ r k a e̯ a
Circaea	k ɪ r k a e̯ aː
Cison	k ɪ s ɔ n
Cithaerōnem	k ɪ tʰ a e̯ r oː n ẽː
Cithaerōnis	k ɪ tʰ a e̯ r oː n ɪ s
Citherōn	k ɪ tʰ ɛ r oː n
Citiō	k ɪ t i oː
Claudiae	k ɫ a u̯ d i a e̯
Claudiam	k ɫ a u̯ d i ãː
Cleopatra	k ɫ e ɔ p a t r a
Cleopatram	k ɫ e ɔ p a t r ãː
Cluentī	k ɫ u ɛ n t iː
Clytemnēstra	k l y t ɛ m n eː s t r a
Clēmens	k ɫ eː m ẽː s
Clēmente	k ɫ eː m ɛ n t ɛ
Clēmentem	k ɫ eː m ɛ n t ẽː
Clēmentis	k ɫ eː m ɛ n t ɪ s
Clēmentī	k ɫ eː m ɛ n t iː
Clūsiī	k ɫ uː s i iː
Clūsiō	k ɫ uː s i oː
Clūsī	k ɫ uː s iː
Cnidos	k n ɪ d ɔ s
Cnosius	k n ɔ s i ʊ s
Colōrātum	k ɔ ɫ oː r aː t ũː
Commium	k ɔ m m i ũː
Connecticūta	k ɔ n n ɛ k t ɪ k uː t a
Consus	k õː s iː
Copernice	k ɔ p ɛ r n ɪ k ɛ
Copernicum	k ɔ p ɛ r n ɪ k ũː
Copernicus	k ɔ p ɛ r n ɪ k ʊ s
Copernicī	k ɔ p ɛ r n ɪ k iː
Copernicō	k ɔ p ɛ r n ɪ k oː
Coppernice	k ɔ p p ɛ r n ɪ k ɛ
Coppernicum	k ɔ p p ɛ r n ɪ k ũː
Coppernicī	k ɔ p p ɛ r n ɪ k iː
Coppernicō	k ɔ p p ɛ r n ɪ k oː
Corinnae	k ɔ r ɪ n n a e̯
Corinnam	k ɔ r ɪ n n ãː
Corinthe	k ɔ r ɪ n tʰ ɛ
Corinthia	k ɔ r ɪ n tʰ i a
Corinthia	k ɔ r ɪ n tʰ i aː
Corinthiae	k ɔ r ɪ n tʰ i a e̯
Corinthiam	k ɔ r ɪ n tʰ i ãː
Corinthie	k ɔ r ɪ n tʰ i ɛ
Corinthium	k ɔ r ɪ n tʰ i ũː
Corinthiārum	k ɔ r ɪ n tʰ i aː r ũː
Corinthiās	k ɔ r ɪ n tʰ i aː s
Corinthiēnse	k ɔ r ɪ n tʰ i ẽː s ɛ
Corinthiēnsem	k ɔ r ɪ n tʰ i ẽː s ẽː
Corinthiēnsia	k ɔ r ɪ n tʰ i ẽː s i a
Corinthiēnsibus	k ɔ r ɪ n tʰ i ẽː s ɪ b ʊ s
Corinthiēnsium	k ɔ r ɪ n tʰ i ẽː s i ũː
Corinthiēnsēs	k ɔ r ɪ n tʰ i ẽː s eː s
Corinthiēnsī	k ɔ r ɪ n tʰ i ẽː s iː
Corinthiīs	k ɔ r ɪ n tʰ i iː s
Corinthiō	k ɔ r ɪ n tʰ i oː
Corinthiōrum	k ɔ r ɪ n tʰ i oː r ũː
Corinthiōs	k ɔ r ɪ n tʰ i oː s
Corinthon	k ɔ r ɪ n tʰ ɔ n
Corinthum	k ɔ r ɪ n tʰ ũː
Corinthī	k ɔ r ɪ n tʰ iː
Corinthō	k ɔ r ɪ n tʰ oː
Coriolāna	k ɔ r i ɔ ɫ aː n a
Coriolāna	k ɔ r i ɔ ɫ aː n aː
Coriolānae	k ɔ r i ɔ ɫ aː n a e̯
Coriolānam	k ɔ r i ɔ ɫ aː n ãː
Coriolāne	k ɔ r i ɔ ɫ aː n ɛ
Coriolānum	k ɔ r i ɔ ɫ aː n ũː
Coriolānārum	k ɔ r i ɔ ɫ aː n aː r ũː
Coriolānās	k ɔ r i ɔ ɫ aː n aː s
Coriolānī	k ɔ r i ɔ ɫ aː n iː
Coriolānīs	k ɔ r i ɔ ɫ aː n iː s
Coriolānō	k ɔ r i ɔ ɫ aː n oː
Coriolānōrum	k ɔ r i ɔ ɫ aː n oː r ũː
Coriolānōs	k ɔ r i ɔ ɫ aː n oː s
Coriolīs	k ɔ r i ɔ l iː s
Coriolōrum	k ɔ r i ɔ ɫ oː r ũː
Coriolōs	k ɔ r i ɔ ɫ oː s
Coriosolītibus	k ɔ r i ɔ s ɔ l iː t ɪ b ʊ s
Coriosolītum	k ɔ r i ɔ s ɔ l iː t ũː
Corne	k ɔ r n ɛ
Cornum	k ɔ r n ũː
Cortōnae	k ɔ r t oː n a e̯
Cortōnam	k ɔ r t oː n ãː
Cosacōrum	k ɔ s a k oː r ũː
Cosacōs	k ɔ s a k oː s
Cosae	k ɔ s a e̯
Cosam	k ɔ s ãː
Crassī	k r a s s iː
Crassō	k r a s s oː
Creūsae	k r e uː s a e̯
Creūsam	k r e uː s ãː
Crista	k r ɪ s t a
Croesō	k r o e̯ s oː
Crotōniātae	k r ɔ t oː n i aː t a e̯
Crotōniātārum	k r ɔ t oː n i aː t aː r ũː
Crotōniātā̆s	k r ɔ t oː n i aː t a s
Crotōniātā̆s	k r ɔ t oː n i aː t aː s
Crotōniātēn	k r ɔ t oː n i aː t eː n
Crotōniātūm	k r ɔ t oː n i aː t ũː
Crustumerium	k r ʊ s t ʊ m ɛ r i ũː
Crustumerus	k r ʊ s t ʊ m ɛ r ʊ s
Cubertus	k ʊ b ɛ r t ʊ s
Cudbertus	k ʊ d b ɛ r t ʊ s
Cundolfus	k ʊ n d ɔ ɫ f ʊ s
Cuneum	k ʊ n e ũː
Curidiō	k ʊ r ɪ d i oː
Curtium	k ʊ r t i ũː
Curtiī	k ʊ r t i iː
Curtiō	k ʊ r t i oː
Curtī	k ʊ r t iː
Cycladās	k y k ɫ a d aː s
Cycladēs	k y k ɫ a d eː s
Cynosūrae	k y n ɔ s uː r a e̯
Cynosūram	k y n ɔ s uː r ãː
Cynthia	k y n tʰ i a
Cynthiā	k y n tʰ i aː
Cynthī	k y n tʰ iː
Cypria	k y p r i a
Cypria	k y p r i aː
Cyprium	k y p r i ũː
Cāia	k aː i a
Cāia	k aː j a
Cāia	ɡ aː i a
Cāia	ɡ aː j a
Cāius	k aː i ʊ s
Cāius	k aː j ʊ s
Cāius	ɡ aː i ʊ s
Cāius	ɡ aː j ʊ s
Cēae	k eː a e̯
Cēam	k eː ãː
Cēphae	k eː pʰ a e̯
Cēphe͡us	k eː pʰ ɛ u̯ s
Cēphā	k eː pʰ aː
Cēphān	k eː pʰ aː n
Cēphārum	k eː pʰ aː r ũː
Cēphēius	k eː pʰ eː i ʊ s
Cēphēus	k eː pʰ eː ʊ s
Cēphīs	k eː pʰ iː s
Cēȳce	k eː yː k ɛ
Cēȳcem	k eː yː k ẽː
Cēȳcis	k eː yː k ɪ s
Cēȳcos	k eː yː k ɔ s
Cēȳcī	k eː yː k iː
Cīlō	k iː ɫ oː
Cīvīlis	k iː w iː l ɪ s
Cōcȳte	k oː k yː t ɛ
Cōcȳtum	k oː k yː t ũː
Cōcȳtī	k oː k yː t iː
Cōcȳtō	k oː k yː t oː
Cōnfūtius	k õː f uː t i ʊ s
Cōnstantem	k õː s t a n t ẽː
Cōnstantiī	k õː s t a n t i iː
Cōnstantiō	k õː s t a n t i oː
Cōnstantīne	k õː s t a n t iː n ɛ
Cōnstantīnum	k õː s t a n t iː n ũː
Cōnstantīnī	k õː s t a n t iː n iː
Cōnstantīnō	k õː s t a n t iː n oː
Cū̆ba	k uː b a
Cū̆ba	k ʊ b a
Cȳrille	k yː r ɪ l l ɛ
Cȳrillum	k yː r ɪ l l ũː
Cȳrillī	k yː r ɪ l l iː
Cȳrillō	k yː r ɪ l l oː
Cȳrēnēs	k yː r eː n eː s
Daedala	d a e̯ d a ɫ a
Dahouria	d a uː r i a
Dahouria	d a ɦ uː r i a
Dallāsium	d a l l aː s i ũː
Damascēna	d a m a s k eː n a
Damascēnē	d a m a s k eː n eː
Danae	d a n a ɛ
Danaē	d a n a eː
Daniēle	d a n i eː ɫ ɛ
Daouria	d a uː r i a
Dardanum	d a r d a n ũː
Dardanus	d a r d a n ʊ s
Davouria	d a w uː r i a
Davūria	d a w uː r i a
Daūria	d a uː r i a
Da͡uūria	d a u̯ uː r i a
Decembris	d ɛ k ɛ m b r iː s
Decembris	d ɛ k ɛ m b r ɪ s
Decembrī	d ɛ k ɛ m b r iː
Deciī	d ɛ k i iː
Delavāria	d ɛ ɫ a w aː r i a
Dellium	d ɛ l l i ũː
Denverium	d ɛ n w ɛ r i ũː
Deō	d eː oː
Dia	d i a
Dictaeus	d ɪ k t a e̯ ʊ s
Didacopolis	d ɪ d a k ɔ p ɔ l ɪ s
Die	d i ɛ
Dioclētiānō	d i ɔ k ɫ eː t i aː n oː
Dionȳsia	d i ɔ n yː s i a
Dios	d i ɔ s
Diove	d i ɔ w ɛ
Diovem	d i ɔ w ẽː
Diovibus	d i ɔ w ɪ b ʊ s
Diovum	d i ɔ w ũː
Diovēs	d i ɔ w eː s
Diovī	d i ɔ w iː
Dissembergēnse	d ɪ s s ɛ m b ɛ r ɡ ẽː s ɛ
Dissembergēnsis	d ɪ s s ɛ m b ɛ r ɡ ẽː s ɪ s
Diēspitre	d i eː s p ɪ t r ɛ
Diēspitrem	d i eː s p ɪ t r ẽː
Diēspitribus	d i eː s p ɪ t r ɪ b ʊ s
Diēspitris	d i eː s p ɪ t r ɪ s
Diēspitrum	d i eː s p ɪ t r ũː
Diēspitrēs	d i eː s p ɪ t r eː s
Diēspitrī	d i eː s p ɪ t r iː
Diī	d i iː
Diōn	d i oː n
Dolopum	d ɔ ɫ ɔ p ũː
Domagous	d ɔ m a ɡ o ʊ s
Domidūcae	d ɔ m ɪ d uː k a e̯
Domidūcam	d ɔ m ɪ d uː k ãː
Domidūce	d ɔ m ɪ d uː k ɛ
Domidūcum	d ɔ m ɪ d uː k ũː
Domidūcī	d ɔ m ɪ d uː k iː
Domidūcō	d ɔ m ɪ d uː k oː
Dominicum	d ɔ m ɪ n ɪ k ũː
Dominicī	d ɔ m ɪ n ɪ k iː
Dominicō	d ɔ m ɪ n ɪ k oː
Domitiī	d ɔ m ɪ t i iː
Domitī	d ɔ m ɪ t iː
Dommagous	d ɔ m m a ɡ o ʊ s
Domogous	d ɔ m ɔ ɡ o ʊ s
Donatum	d ɔ n a t ũː
Donatī	d ɔ n a t iː
Donatō	d ɔ n a t oː
Dryas	d r y a s
Drysidae	d r y s ɪ d a e̯
Dryās	d r y aː s
Drūsum	d r uː s ũː
Duvī	d ʊ w iː
Dācia	d aː k i a
Dāmoclae	d aː m ɔ k ɫ a e̯
Dāmoclem	d aː m ɔ k ɫ ẽː
Dāmoclis	d aː m ɔ k l ɪ s
Dāmoclē	d aː m ɔ k ɫ eː
Dāmoclēa	d aː m ɔ k ɫ eː a
Dāmoclī	d aː m ɔ k l iː
Dāniae	d aː n i a e̯
Dāniam	d aː n i ãː
Dānīs	d aː n iː s
Dānōrum	d aː n oː r ũː
Dānōs	d aː n oː s
Dārīum	d aː r iː ũː
Dārīī	d aː r iː iː
Dārīō	d aː r iː oː
Dēmarātum	d eː m a r aː t ũː
Dēmarātī	d eː m a r aː t iː
Dēmarātō	d eː m a r aː t oː
Dēmētrium	d eː m eː t r i ũː
Dēō	d eː oː
Dīa	d iː a
Dīdōne	d iː d oː n ɛ
Dīnia	d iː n i a
Dīon	d iː ɔ n
Dīsenbergēnsis	d iː s ɛ m b ɛ r ɡ ẽː s ɪ s
Dīvānae	d iː w aː n a e̯
Dīvānam	d iː w aː n ãː
Dīī	d iː iː
Dī̆ānae	d i aː n a e̯
Dī̆ānae	d iː aː n a e̯
Dī̆ānam	d i aː n ãː
Dī̆ānam	d iː aː n ãː
Dī̆ānārum	d i aː n aː r ũː
Dī̆ānārum	d iː aː n aː r ũː
Dī̆ānās	d i aː n aː s
Dī̆ānās	d iː aː n aː s
Dī̆ānīs	d i aː n iː s
Dī̆ānīs	d iː aː n iː s
Dū̆bre	d uː b r ɛ
Dū̆bre	d ʊ b r ɛ
Dū̆brem	d uː b r ẽː
Dū̆brem	d ʊ b r ẽː
Dū̆brī	d uː b r iː
Dū̆brī	d ʊ b r iː
Echīnadum	ɛ kʰ iː n a d ũː
Eduardus	ɛ d u a r d ʊ s
Elagabale	ɛ ɫ a ɡ a b a ɫ ɛ
Elagabalum	ɛ ɫ a ɡ a b a ɫ ũː
Elagabalī	ɛ ɫ a ɡ a b a l iː
Elagabalō	ɛ ɫ a ɡ a b a ɫ oː
Elianor	ɛ l i a n ɔ r
Elianora	ɛ l i a n ɔ r a
Elissae	ɛ l ɪ s s a e̯
Elīsa	ɛ l iː s a
Emesus	ɛ m ɛ s ʊ s
Emisa	ɛ m ɪ s a
Emissa	ɛ m ɪ s s a
Emisēnus	ɛ m ɪ s eː n ʊ s
Enīpeu	ɛ n iː p ɛ u̯
Epaphrodītus	ɛ p a pʰ r ɔ d iː t ʊ s
Ephraīmus	ɛ pʰ r a iː m ʊ s
Epidiō	ɛ p ɪ d i oː
Eprium	ɛ p r i ũː
Eprī	ɛ p r iː
Erasmīne	ɛ r a s m iː n ɛ
Erasmō	ɛ r a s m oː
Erasīnus	ɛ r a s iː n ʊ s
Erebe	ɛ r ɛ b ɛ
Erebum	ɛ r ɛ b ũː
Erebī	ɛ r ɛ b iː
Erebō	ɛ r ɛ b oː
Erycis	ɛ r y k ɪ s
Erythraea	ɛ r y tʰ r a e̯ a
Erythraeī	ɛ r y tʰ r a e̯ iː
Erythraeō	ɛ r y tʰ r a e̯ oː
Erythraeōrum	ɛ r y tʰ r a e̯ oː r ũː
Erȳmandus	ɛ r yː m a n d ʊ s
Esdrae	ɛ s d r a e̯
Esdrā	ɛ s d r a
Esdrā	ɛ s d r aː
Espō	ɛ s p oː
Esquimēnsis	ɛ s kʷ ɪ m ẽː s ɪ s
Esubiīs	ɛ s ʊ b i iː s
Esubiōrum	ɛ s ʊ b i oː r ũː
Esubiōs	ɛ s ʊ b i oː s
Etrūriae	ɛ t r uː r i a e̯
Etrūriam	ɛ t r uː r i ãː
Euandrum	ɛ u̯ a n d r ũː
Euandrī	ɛ u̯ a n d r iː
Euandrō	ɛ u̯ a n d r oː
Euclīde	ɛ u̯ k l iː d ɛ
Euclīdis	ɛ u̯ k l iː d ɪ s
Eufrātae	ɛ u̯ f r aː t a e̯
Eufrāte	ɛ u̯ f r aː t ɛ
Eufrātem	ɛ u̯ f r aː t ẽː
Eufrātis	ɛ u̯ f r aː t ɪ s
Eufrātē	ɛ u̯ f r aː t eː
Eufrātēn	ɛ u̯ f r aː t eː n
Eufrātēs	ɛ u̯ f r aː t eː s
Eufrātī	ɛ u̯ f r aː t iː
Eugenius	ɛ u̯ ɡ ɛ n i ʊ s
Euhodiae	e u̯ ɔ d i a e̯
Euhodiam	e u̯ ɔ d i ãː
Euphrātae	ɛ u̯ pʰ r aː t a e̯
Euphrāte	ɛ u̯ pʰ r aː t eː
Euphrāte	ɛ u̯ pʰ r aː t ɛ
Euphrātem	ɛ u̯ pʰ r aː t ẽː
Euphrātibus	ɛ u̯ pʰ r aː t ɪ b ʊ s
Euphrātis	ɛ u̯ pʰ r aː t ɪ s
Euphrātum	ɛ u̯ pʰ r aː t ũː
Euphrātēn	ɛ u̯ pʰ r aː t eː n
Euphrātī	ɛ u̯ pʰ r aː t iː
Eurasia	ɛ u̯ r a s i a
Euryclīa	ɛ u̯ r y k l iː a
Eurīpide	ɛ u̯ r iː p ɪ d eː
Eurīpide	ɛ u̯ r iː p ɪ d ɛ
Eurīpidī	ɛ u̯ r iː p ɪ d iː
Eurōpae	ɛ u̯ r ɔ p a e̯
Eurōtae	ɛ u̯ r oː t a e̯
Eusebiō	ɛ u̯ s ɛ b i oː
Eutropiī	ɛ u̯ t r ɔ p i iː
Exoniensis	ɛ k s ɔ n i ẽː s ɪ s
E͡uippae	ɛ u̯ ɪ p p a e̯
E͡uippēn	ɛ u̯ ɪ p p eː n
E͡uippēs	ɛ u̯ ɪ p p eː s
Faberium	f a b ɛ r i ũː
Faberiō	f a b ɛ r i oː
Faberī	f a b ɛ r iː
Fabiāna	f a b i aː n a
Fabiānum	f a b i aː n ũː
Fabiānā	f a b i aː n aː
Fabiī	f a b i iː
Fabiō	f a b i oː
Fabiōrum	f a b i oː r ũː
Fabricī	f a b r ɪ k iː
Fadium	f a d i ũː
Fadiō	f a d i oː
Fadī	f a d iː
Faerōa	f a e̯ r oː a
Faerōae	f a e̯ r oː a e̯
Faerōam	f a e̯ r oː ãː
Falaniō	f a ɫ a n i oː
Falcidium	f a ɫ k ɪ d i ũː
Falcidī	f a ɫ k ɪ d iː
Faleg	f a ɫ ɛ ɡ
Fannium	f a n n i ũː
Fanniī	f a n n i iː
Fanniō	f a n n i oː
Fannī	f a n n iː
Fauste	f a u̯ s t ɛ
Faustum	f a u̯ s t ũː
Faustī	f a u̯ s t iː
Faustō	f a u̯ s t oː
Februārī	f ɛ b r u aː r iː
Ferrāria	f ɛ r r aː r i a
Fescennīne	f ɛ s k ɛ n n iː n ɛ
Finnus	f ɪ n n ʊ s
Flāminium	f ɫ aː m ɪ n i ũː
Flāminiī	f ɫ aː m ɪ n i iː
Flāvia	f ɫ aː w i a
Flāvia	f ɫ aː w i aː
Flāviae	f ɫ aː w i a e̯
Flāviam	f ɫ aː w i ãː
Flāvie	f ɫ aː w i ɛ
Flāvium	f ɫ aː w i ũː
Flāviārum	f ɫ aː w i aː r ũː
Flāviās	f ɫ aː w i aː s
Flāviī	f ɫ aː w i iː
Flāviīs	f ɫ aː w i iː s
Flāviō	f ɫ aː w i oː
Flāviōrum	f ɫ aː w i oː r ũː
Flāviōs	f ɫ aː w i oː s
Flāvī	f ɫ aː w iː
Flēvō	f ɫ eː w oː
Flōrae	f ɫ oː r a e̯
Flōram	f ɫ oː r ãː
Flōrentius	f ɫ oː r ɛ n t i ʊ s
Flōrida	f ɫ oː r ɪ d a
Fortūna	f ɔ r t uː n a
Fortūnae	f ɔ r t uː n a e̯
Fortūnāte	f ɔ r t uː n aː t ɛ
Fortūnātum	f ɔ r t uː n aː t ũː
Fortūnātus	f ɔ r t uː n aː t ʊ s
Fortūnātī	f ɔ r t uː n aː t iː
Fortūnātō	f ɔ r t uː n aː t oː
Fovea	f ɔ w e a
Francogallia	f r a ŋ k ɔ ɡ a l l i a
Frederīcus	f r ɛ d ɛ r iː k ʊ s
Frederīcō	f r ɛ d ɛ r iː k oː
Friderica	f r ɪ d ɛ r ɪ k a
Friderīce	f r ɪ d ɛ r iː k ɛ
Friderīcum	f r ɪ d ɛ r iː k ũː
Friderīcī	f r ɪ d ɛ r iː k iː
Friderīcō	f r ɪ d ɛ r iː k oː
Fridī	f r ɪ d iː
Fulviō	f ʊ ɫ w i oː
Fāgūtālis	f aː ɡ uː t aː l ɪ s
Fāgūtālī	f aː ɡ uː t aː l iː
Fēlīciāna	f eː l iː k i aː n a
Fībrēnus	f iː b r eː n ʊ s
Fōrmōsae	f oː r m oː s a e̯
Fōrmōsam	f oː r m oː s ãː
Gabalīs	ɡ a b a l iː s
Gabalōs	ɡ a b a ɫ oː s
Gabonia	ɡ a b ɔ n i a
Gabriēle	ɡ a b r i eː ɫ ɛ
Gabriēlem	ɡ a b r i eː ɫ ẽː
Gabriēlis	ɡ a b r i eː l ɪ s
Gabriēlī	ɡ a b r i eː l iː
Galatae	ɡ a ɫ a t a e̯
Galileus	ɡ a l ɪ ɫ e ʊ s
Gallicia	ɡ a l l ɪ k i a
Gallium	ɡ a l l i ũː
Galliās	ɡ a l l i a s
Gallus	ɡ a l l ʊ s
Gallō	ɡ a l l oː
Galēriō	ɡ a ɫ eː r i oː
Gamaliēle	ɡ a m a l i eː ɫ ɛ
Gamaliēlem	ɡ a m a l i eː ɫ ẽː
Gamaliēlis	ɡ a m a l i eː l ɪ s
Gamaliēlī	ɡ a m a l i eː l iː
Gandīnī	ɡ a n d iː n iː
Gandīnō	ɡ a n d iː n oː
Garumnae	ɡ a r ʊ m n a e̯
Garumnam	ɡ a r ʊ m n ãː
Gazae	ɡ a z z a e̯
Gazam	ɡ a z z ãː
Gela	ɡ ɛ ɫ a
Gelāsium	ɡ ɛ ɫ aː s i ũː
Gelāsiō	ɡ ɛ ɫ aː s i oː
Genuciō	ɡ ɛ n ʊ k i oː
Geraestos	ɡ ɛ r a e̯ s t ɔ s
Gerasēna	ɡ ɛ r a s eː n a
Gerasēna	ɡ ɛ r a s eː n aː
Gerasēnam	ɡ ɛ r a s eː n ãː
Gerasēne	ɡ ɛ r a s eː n ɛ
Germāna	ɡ ɛ r m aː n a
Germāna	ɡ ɛ r m aː n aː
Germānae	ɡ ɛ r m aː n a e̯
Germānam	ɡ ɛ r m aː n ãː
Germānōs	ɡ ɛ r m aː n oː s
Gestricia	ɡ ɛ s t r ɪ k i a
Gevalia	ɡ ɛ w a l i a
Geōrgī	ɡ e oː r ɡ iː
Gisgōne	ɡ ɪ s ɡ oː n ɛ
Gisgōnem	ɡ ɪ s ɡ oː n ẽː
Gisgōnis	ɡ ɪ s ɡ oː n ɪ s
Gisgōnī	ɡ ɪ s ɡ oː n iː
Glaucum	ɡ ɫ a u̯ k ũː
Gnidos	n ɪ d ɔ s
Gnidus	n ɪ d ʊ s
Gnōsos	n oː s ɔ s
Gothlandia	ɡ ɔ tʰ ɫ a n d i a
Gothum	ɡ ɔ tʰ ũː
Gothīs	ɡ ɔ tʰ iː s
Gothō	ɡ ɔ tʰ oː
Gothōrum	ɡ ɔ tʰ oː r ũː
Gothōs	ɡ ɔ tʰ oː s
Graeca	ɡ r a e̯ k a
Graius	ɡ r a j j ʊ s
Graiīs	ɡ r a j j iː s
Graiō	ɡ r a j j oː
