Ѓ	ɟ ə
Дебрецин	d ɛ b r ɛ t͡s i n
Дебрца	d ɛ b r̩ t͡s a
Делавер	d ɛ ɫ a v ɛ r
Делчев	d ɛ ɫ t͡ʃ ɛ f
Делчево	d ɛ ɫ t͡ʃ ɛ v ɔ
Делчевски	d ɛ ɫ t͡ʃ ɛ f s k i
Делчевско	d ɛ ɫ t͡ʃ ɛ f s k ɔ
Делјан	d ɛ ʎ a n
Деметра	d ɛ m ɛ t r a
Демиркаписко	d ɛ m i r k a p i s k ɔ
Демирхисарско	d ɛ m i r x i s a r s k ɔ
Деница	d ɛ n i t͡s a
Деспина	d ɛ s p i n a
Дечани	d ɛ t͡ʃ a n i
Дејан	d ɛ j a n
Дејвид	d ɛ j v i t
Дили	d i l i
Димитар	d i m i t a r
Димитрија	d i m i t r i j a
Димче	d i m t͡ʃ ɛ
Дијарбекир	d i j a r b ɛ k i r
Днепар	d n ɛ p a r
Днестар	d n ɛ s t a r
Днипро	d n i p r ɔ
Додома	d ɔ d ɔ m a
Доминика	d ɔ m i n i k a
Доминиканец	d ɔ m i n i k a n ɛ t͡s
Доминиканка	d ɔ m i n i k a ŋ k a
Доминичанец	d ɔ m i n i t͡ʃ a n ɛ t͡s
Доминичанка	d ɔ m i n i t͡ʃ a ŋ k a
Дон	d ɔ n
Донецк	d ɔ n ɛ t͡s k
Донка	d ɔ ŋ k a
Дончо	d ɔ n t͡ʃ ɔ
Достоевски	d ɔ s t ɔ ɛ f s k i
Доха	d ɔ x a
Дојран	d ɔ j r a n
Дојране	d ɔ j r a n ɛ
Доњецк	d ɔ ɲ ɛ t͡s k
Драва	d r a v a
Драган	d r a ɡ a n
Драгана	d r a ɡ a n a
Дракула	d r a k u ɫ a
Драма	d r a m a
Драмско	d r a m s k ɔ
Драч	d r a t͡ʃ
Дрим	d r i m
Дрина	d r i n a
Дубаи	d u b a i
Дуна	d u n a
Дунав	d u n a f
Дунавка	d u n a f k a
Дуовден	d u ɔ v d ɛ n
Духовден	d u x ɔ v d ɛ n
Душан	d u ʃ a n
Душанбе	d u ʃ a m b ɛ
Душица	d u ʃ i t͡s a
Душко	d u ʃ k ɔ
Дуња	d u ɲ a
Е	ɛ
ЕУ	ɛ u
Ева	ɛ v a
Евгениј	ɛ v ɡ ɛ n i j
Евреи	ɛ v r ɛ i
Евреин	ɛ v r ɛ i n
Еврејка	ɛ v r ɛ j k a
Еврејки	ɛ v r ɛ j k i
Евроазија	ɛ v r ɔ a z i j a
Евровизија	ɛ v r ɔ v i z i j a
Европа	ɛ v r ɔ p a
Европава	ɛ v r ɔ p a v a
Европана	ɛ v r ɔ p a n a
Европата	ɛ v r ɔ p a t a
Европеец	ɛ v r ɔ p ɛ ɛ t͡s
Европејка	ɛ v r ɔ p ɛ j k a
Европо	ɛ v r ɔ p ɔ
Европол	ɛ v r ɔ p ɔ ɫ
Егер	ɛ ɡ ɛ r
Егеј	ɛ ɡ ɛ j
Егејов	ɛ ɡ ɛ j ɔ f
Егејон	ɛ ɡ ɛ j ɔ n
Егејот	ɛ ɡ ɛ j ɔ t
Егеју	ɛ ɡ ɛ j u
Египет	ɛ ɡ i p ɛ t
Египќанец	ɛ ɡ i p c a n ɛ t͡s
Египќанка	ɛ ɡ i p c a ŋ k a
Единбург	ɛ d i m b u r k
Едрене	ɛ d r ɛ n ɛ
Еквадор	ɛ k v a d ɔ r
Еквадорец	ɛ k v a d ɔ ɾ ɛ t͡s
Еквадорка	ɛ k v a d ɔ r k a
Екватогвинеец	ɛ k v a t ɔ ɡ v i n ɛ ɛ t͡s
Екватогвинејка	ɛ k v a t ɔ ɡ v i n ɛ j k a
Елада	ɛ ɫ a d a
Елена	ɛ l ɛ n a
Елизабета	ɛ l i z a b ɛ t a
Елисавета	ɛ l i s a v ɛ t a
Емеса	ɛ m ɛ s a
Емил	ɛ m i ɫ
Емилија	ɛ m i l i j a
Емираќанец	ɛ m i r a c a n ɛ t͡s
Емираќанка	ɛ m i r a c a ŋ k a
Ена	ɛ n a
Енисеј	ɛ n i s ɛ j
Ереван	ɛ ɾ ɛ v a n
Еритреец	ɛ ɾ i t r ɛ ɛ t͡s
Еритреја	ɛ ɾ i t r ɛ j a
Еритрејка	ɛ ɾ i t r ɛ j k a
Ерменец	ɛ r m ɛ n ɛ t͡s
Ерменија	ɛ r m ɛ n i j a
Ерменка	ɛ r m ɛ ŋ k a
Ерменци	ɛ r m ɛ n t͡s i
Ерусалим	ɛ ɾ u s a l i m
Есенин	ɛ s ɛ n i n
Еским	ɛ s k i m
Ескими	ɛ s k i m i
Ескимка	ɛ s k i m k a
Ескимки	ɛ s k i m k i
Естергом	ɛ s t ɛ r ɡ ɔ m
Естонец	ɛ s t ɔ n ɛ t͡s
Естонија	ɛ s t ɔ n i j a
Естонка	ɛ s t ɔ ŋ k a
Етиопија	ɛ t i ɔ p i j a
Етиопјанец	ɛ t i ɔ p j a n ɛ t͡s
Етиопјанка	ɛ t i ɔ p j a ŋ k a
Ефес	ɛ f ɛ s
Ж	ʒ ə
Жаклина	ʒ a k l i n a
Жан	ʒ a n
Жана	ʒ a n a
Жанета	ʒ a n ɛ t a
Жанка	ʒ a ŋ k a
Жанко	ʒ a ŋ k ɔ
Жарко	ʒ a r k ɔ
Живко	ʒ i f k ɔ
Житомир	ʒ i t ɔ m i r
З	z ə
ЗОИ	z ɔ i
Забрдени	z a b r̩ d ɛ n i
Загреб	z a ɡ r ɛ p
Задушница	z a d u ʃ n i t͡s a
Заир	z a i r
Залаегерсег	z a ɫ a ɛ ɡ ɛ r s ɛ k
Замбиец	z a m b i j ɛ t͡s
Замбија	z a m b i j a
Замбијка	z a m b i j k a
Запорожје	z a p ɔ ɾ ɔ ʒ j ɛ
Здравка	z d r a f k a
Здравко	z d r a f k ɔ
Зевс	z ɛ f s
Зелено’ртјанец	z ɛ l ɛ n ɔ r̩ t j a n ɛ t͡s
Зелено’ртјанка	z ɛ l ɛ n ɔ r̩ t j a ŋ k a
Земја	z ɛ m j a
Земјин	z ɛ m j i n
Земјо	z ɛ m j ɔ
Зимбабве	z i m b a b v ɛ
Зимбабвеец	z i m b a b v ɛ ɛ t͡s
Зимбабвејка	z i m b a b v ɛ j k a
Злата	z ɫ a t a
Златана	z ɫ a t a n a
Злате	z ɫ a t ɛ
Златка	z ɫ a t k a
Златко	z ɫ a t k ɔ
Зоки	z ɔ k i
Зора	z ɔ ɾ a
Зоран	z ɔ ɾ a n
Зорица	z ɔ ɾ i t͡s a
Зорница	z ɔ r n i t͡s a
И	i
ИМЈ	i m ə j ə
ИМАП	i m a p
ИОК	i j ɔ k
ИСО	i s ɔ
Иван	i v a n
Ивана	i v a n a
Иванов	i v a n ɔ f
Ивановски	i v a n ɔ f s k i
Иваноски	i v a n ɔ s k i
Ивоарец	i v ɔ a ɾ ɛ t͡s
Ивоарка	i v ɔ a r k a
Ивона	i v ɔ n a
Игор	i ɡ ɔ r
Изабела	i z a b ɛ ɫ a
Измир	i z m i r
Израел	i z r a ɛ ɫ
Израелец	i z r a ɛ l ɛ t͡s
Израелка	i z r a ɛ ɫ k a
Илина	i l i n a
Илинден	i l i n d ɛ n
Илиноис	i l i n ɔ i s
Илија	i l i j a
Илка	i ɫ k a
Илко	i ɫ k ɔ
Ина	i n a
Индиец	i n d i j ɛ t͡s
Индија	i n d i j a
Индијана	i n d i j a n a
Индијанец	i n d i j a n ɛ t͡s
Индијанка	i n d i j a ŋ k a
Индијанче	i n d i j a n t͡ʃ ɛ
Индијка	i n d i j k a
Индијки	i n d i j k i
Индијци	i n d i j t͡s i
Индијче	i n d i j t͡ʃ ɛ
Индонезиец	i n d ɔ n ɛ z i j ɛ t͡s
Индонезија	i n d ɔ n ɛ z i j a
Индонезијка	i n d ɔ n ɛ z i j k a
Ирак	i ɾ a k
Иран	i ɾ a n
Иранец	i ɾ a n ɛ t͡s
Иранка	i ɾ a ŋ k a
Ирачанец	i r a t͡ʃ a n ɛ t͡s
Ирачанка	i r a t͡ʃ a ŋ k a
Ирена	i r ɛ n a
Ирец	i ɾ ɛ t͡s
Ирина	i r i n a
Ирка	i r k a
Иркинка	i r k i ŋ k a
Ирска	i r s k a
Исидора	i s i d ɔ ɾ a
Искра	i s k r a
Ислам	i s ɫ a m
Исламабад	i s ɫ a m a b a t
Исланд	i s ɫ a n t
Исланѓанец	i s ɫ a ɲ ɟ a n ɛ t͡s
Исланѓанка	i s ɫ a ɲ ɟ a ŋ k a
Исмаил	i s m a i ɫ
Исмаилов	i s m a i ɫ ɔ f
Исмаиловски	i s m a i ɫ ɔ f s k i
Исмаилоски	i s m a i ɫ ɔ s k i
Истанбул	i s t a m b u ɫ
Исток	i s t ɔ k
Источнотиморец	i s t ɔ t͡ʃ n ɔ t i m ɔ ɾ ɛ t͡s
Источнотиморка	i s t ɔ t͡ʃ n ɔ t i m ɔ r k a
Исус	i s u s
Италија	i t a l i j a
Италијанец	i t a l i j a n ɛ t͡s
Италијанка	i t a l i j a ŋ k a
Италијанче	i t a l i j a n t͡ʃ ɛ
Италијо	i t a l i j ɔ
К	k ə
КГБ	k a ɡ ɛ b ɛ
КГБ	k ə ɡ ə b ə
КПМ	k ə p ə m ə
Каба	k a b a
Кабовердјанец	k a b ɔ v ɛ r d j a n ɛ t͡s
Кабовердјанка	k a b ɔ v ɛ r d j a ŋ k a
Кабул	k a b u ɫ
Кавадаречко	k a v a d a ɾ ɛ t͡ʃ k ɔ
Кавадарци	k a v a d a r t͡s i
Казахстан	k a z a x s t a n
Казахстанец	k a z a k s t a n ɛ t͡s
Казахстанец	k a z a x s t a n ɛ t͡s
Казахстанка	k a z a x s t a ŋ k a
Каин	k a i n
Каиро	k a i ɾ ɔ
Калашников	k a ɫ a ʃ n i k ɔ f
Калина	k a l i n a
Калифорнија	k a l i f ɔ r n i j a
Камбоџа	k a m b ɔ d͡ʒ a
Камбоџанец	k a m b ɔ d͡ʒ a n ɛ t͡s
Камбоџанка	k a m b ɔ d͡ʒ a ŋ k a
Каменичко	k a m ɛ n i t͡ʃ k ɔ
Камерун	k a m ɛ ɾ u n
Камерунец	k a m ɛ ɾ u n ɛ t͡s
Камерунка	k a m ɛ ɾ u ŋ k a
Кампала	k a m p a ɫ a
Кан	k a n
Канада	k a n a d a
Канаѓанец	k a n a ɟ a n ɛ t͡s
Канаѓанка	k a n a ɟ a ŋ k a
Канбера	k a m b ɛ ɾ a
Канзас	k a n z a s
Капошвар	k a p ɔ ʃ v a r
Каракас	k a ɾ a k a s
Карев	k a ɾ ɛ f
Каревски	k a ɾ ɛ f s k i
Карески	k a ɾ ɛ s k i
Каров	k a ɾ ɔ f
Каровски	k a ɾ ɔ f s k i
Кароски	k a ɾ ɔ s k i
Картум	k a r t u m
Кастрис	k a s t r i s
Катар	k a t a r
Катарец	k a t a ɾ ɛ t͡s
Катарка	k a t a r k a
Кате	k a t ɛ
Катерина	k a t ɛ r i n a
Катманду	k a t m a n d u
Кашмир	k a ʃ m i r
Кајлар	k a j ɫ a r
Кајлари	k a j ɫ a ɾ i
Кајсери	k a j s ɛ ɾ i
Квебек	k v ɛ b ɛ k
Келн	k ɛ ɫ n
Кениец	k ɛ n i j ɛ t͡s
Кенија	k ɛ n i j a
Кенијка	k ɛ n i j k a
Кентаки	k ɛ n t a k i
Кечкемет	k ɛ t͡ʃ k ɛ m ɛ t
Кејптаун	k ɛ j p t a u n
Кигали	k i ɡ a l i
Киев	k i j ɛ f
Кика	k i k a
Кико	k i k ɔ
Килиманџаро	k i l i m a n d͡ʒ a ɾ ɔ
Кимет	k i m ɛ t
Кина	k i n a
Кингстаун	k i ŋ k s t a u n
Кингстон	k i ŋ k s t ɔ n
Кинез	k i n ɛ s
Кинези	k i n ɛ z i
Кинезинка	k i n ɛ z i ŋ k a
Кинезинки	k i n ɛ z i ŋ k i
Кинезинче	k i n ɛ z i n t͡ʃ ɛ
Кинезиште	k i n ɛ z i ʃ t ɛ
Кинеска	k i n ɛ s k a
Киншаса	k i n ʃ a s a
Кипар	k i p a r
Кипранец	k i p r a n ɛ t͡s
Кипранка	k i p r a ŋ k a
Киргистан	k i r ɡ i s t a n
Киргистанец	k i r ɡ i s t a n ɛ t͡s
Киргистанка	k i r ɡ i s t a ŋ k a
Кире	k i ɾ ɛ
Кирибати	k i ɾ i b a t i
Кирибаќанец	k i ɾ i b a c a n ɛ t͡s
Кирибаќанка	k i ɾ i b a c a ŋ k a
Кирил	k i ɾ i ɫ
Кито	k i t ɔ
Кичево	k i t͡ʃ ɛ v ɔ
Кичевско	k i t͡ʃ ɛ f s k ɔ
Кишињев	k i ʃ i ɲ ɛ f
Клапчо	k ɫ a p t͡ʃ ɔ
Климент	k l i m ɛ n t
Климентина	k l i m ɛ n t i n a
Клина	k l i n a
Клинтон	k l i n t ɔ n
Кожани	k ɔ ʒ a n i
Коледе	k ɔ l ɛ d ɛ
Коломбо	k ɔ ɫ ɔ m b ɔ
Колорадо	k ɔ ɫ ɔ r a d ɔ
Колумбиец	k ɔ ɫ u m b i j ɛ t͡s
Колумбија	k ɔ ɫ u m b i j a
Колумбијка	k ɔ ɫ u m b i j k a
Коморец	k ɔ m ɔ ɾ ɛ t͡s
Комори	k ɔ m ɔ ɾ i
Коморка	k ɔ m ɔ r k a
Конакри	k ɔ n a k r i
Конго	k ɔ ŋ ɡ ɔ
Конгоанец	k ɔ ŋ ɡ ɔ a n ɛ t͡s
Конгоанка	k ɔ ŋ ɡ ɔ a ŋ k a
Конектикат	k ɔ n ɛ k t i k a t
Константин	k ɔ n s t a n t i n
Константинопол	k ɔ n s t a n t i n ɔ p ɔ ɫ
Конфучиј	k ɔ ɱ f u t͡ʃ i j
Копенхаген	k ɔ p ɛ ŋ x a ɡ ɛ n
Коран	k ɔ ɾ a n
Кореец	k ɔ r ɛ ɛ t͡s
Кореец	k ɔ ɾ ɛ ɛ t͡s
Кореја	k ɔ r ɛ j a
Корејка	k ɔ r ɛ j k a
Корејка	k ɔ ɾ ɛ j k a
Косовар	k ɔ s ɔ v a r
Косоварка	k ɔ s ɔ v a r k a
Косовец	k ɔ s ɔ v ɛ t͡s
Косовка	k ɔ s ɔ f k a
Косово	k ɔ s ɔ v ɔ
Коста	k ɔ s t a
Костадин	k ɔ s t a d i n
Костарика	k ɔ s t a r i k a
Костариканец	k ɔ s t a ɾ i k a n ɛ t͡s
Костариканка	k ɔ s t a r i k a ŋ k a
Костур	k ɔ s t u r
Костурско	k ɔ s t u r s k ɔ
Кочани	k ɔ t͡ʃ a n i
Кочанско	k ɔ t͡ʃ a n s k ɔ
Кочо	k ɔ t͡ʃ ɔ
Краков	k r a k ɔ f
Кратово	k r a t ɔ v ɔ
Кратовско	k r a t ɔ f s k ɔ
Кременчук	k r ɛ m ɛ n t͡ʃ u k
Кремљ	k r ɛ m ʎ̩
Кривопаланечко	k r i v ɔ p a ɫ a n ɛ t͡ʃ k ɔ
Крим	k r i m
Кристина	k r i s t i n a
Кристијан	k r i s t i j a n
Криќанец	k r i c a n ɛ t͡s
Криќанка	k r i c a ŋ k a
Круз	k r u s
Крушево	k r u ʃ ɛ v ɔ
Крушевско	k r u ʃ ɛ f s k ɔ
Крушоради	k r u ʃ ɔ ɾ a d i
Крчов	k r̩ t͡ʃ ɔ f
Куба	k u b a
Кубанец	k u b a n ɛ t͡s
Кубанка	k u b a ŋ k a
Кубанки	k u b a ŋ k i
Кубанци	k u b a n t͡s i
Кувајт	k u v a j t
Кувајќанец	k u v a j c a n ɛ t͡s
Кувајќанка	k u v a j c a ŋ k a
Кукуш	k u k u ʃ
Кукушко	k u k u ʃ k ɔ
Куманово	k u m a n ɔ v ɔ
Кумановско	k u m a n ɔ f s k ɔ
Купидон	k u p i d ɔ n
Куран	k u ɾ a n
Кушадаси	k u ʃ a d a s i
Л	ɫ ə
ЛЕД	l ɛ t
ЛОИ	ɫ ɔ i
Лавов	ɫ a v ɔ f
Лагадин	ɫ a ɡ a d i n
Лагадина	ɫ a ɡ a d i n a
Лазар	ɫ a z a r
Лазорополе	ɫ a z ɔ r ɔ p ɔ l ɛ
Лаос	ɫ a ɔ s
Лаошанец	ɫ a ɔ ʃ a n ɛ t͡s
Лаошанка	ɫ a ɔ ʃ a ŋ k a
Лапонија	ɫ a p ɔ n i j a
Латвиец	ɫ a t v i j ɛ t͡s
Латвија	ɫ a t v i j a
Латвијка	ɫ a t v i j k a
Латиноамериканец	ɫ a t i n ɔ a m ɛ r i k a n ɛ t͡s
Латиноамериканка	ɫ a t i n ɔ a m ɛ r i k a ŋ k a
Лајпциг	ɫ a j p t͡s i k
Лена	l ɛ n a
Ленин	l ɛ n i n
Ленинград	l ɛ n i ŋ ɡ r a t
Ленка	l ɛ ŋ k a
Ленче	l ɛ n t͡ʃ ɛ
Ленчин	l ɛ n t͡ʃ i n
Леона	l ɛ ɔ n a
Леонид	l ɛ ɔ n i t
Лерин	l ɛ ɾ i n
Леринско	l ɛ ɾ i n s k ɔ
Лесото	l ɛ s ɔ t ɔ
Лесотоанец	l ɛ s ɔ t ɔ a n ɛ t͡s
Лесотоанка	l ɛ s ɔ t ɔ a ŋ k a
Лесотоанки	l ɛ s ɔ t ɔ a ŋ k i
Летонец	l ɛ t ɔ n ɛ t͡s
Летонија	l ɛ t ɔ n i j a
Летонка	l ɛ t ɔ ŋ k a
Либан	l i b a n
Либанец	l i b a n ɛ t͡s
Либанка	l i b a ŋ k a
Либервил	l i b ɛ r v i ɫ
Либериец	l i b ɛ ɾ i j ɛ t͡s
Либерија	l i b ɛ ɾ i j a
Либеријка	l i b ɛ ɾ i j k a
Либиец	l i b i j ɛ t͡s
Либија	l i b i j a
Либијка	l i b i j k a
Лидија	l i d i j a
Лил	l i ɫ
Лила	l i ɫ a
Лиле	l i l ɛ
Лилонгве	l i ɫ ɔ ŋ ɡ v ɛ
Лилјана	l i ʎ a n a
Лима	l i m a
Липљан	l i p ʎ a n
Лисабон	l i s a b ɔ n
Литванец	l i t v a n ɛ t͡s
Литванија	l i t v a n i j a
Литванка	l i t v a ŋ k a
Лихтенштајн	l i x t ɛ n ʃ t a j n
Лихтенштајнец	l i x t ɛ n ʃ t a j n ɛ t͡s
Лихтенштајнка	l i x t ɛ n ʃ t a j ŋ k a
Ломбардиец	ɫ ɔ m b a r d i j ɛ t͡s
Ломбардија	ɫ ɔ m b a r d i j a
Ломбардијка	ɫ ɔ m b a r d i j k a
Ломбардијки	ɫ ɔ m b a r d i j k i
Ломе	ɫ ɔ m ɛ
Лондон	ɫ ɔ n d ɔ n
Лошка	ɫ ɔ ʃ k a
Луанда	ɫ u a n d a
Луганск	ɫ u ɡ a n s k
Луизијана	ɫ u i z i j a n a
Лука	ɫ u k a
Луксембург	ɫ u k s ɛ m b u r k
Луксембуржанец	ɫ u k s ɛ m b u r ʒ a n ɛ t͡s
Луксембуржанка	ɫ u k s ɛ m b u r ʒ a ŋ k a
Лусака	ɫ u s a k a
М	m ə
МАНУ	m a n u
МЖ	m ə ʒ ə
ММФ	m ə m ə f ə
МНТ	m ə n ə t ə
МОК	m ɔ k
Мавританец	m a v r i t a n ɛ t͡s
Мавританија	m a v r i t a n i j a
Мавританка	m a v r i t a ŋ k a
Маврициец	m a v r i t͡s i j ɛ t͡s
Маврициус	m a v r i t͡s i j u s
Маврицијка	m a v r i t͡s i j k a
Маврово	m a v r ɔ v ɔ
Мадагаскар	m a d a ɡ a s k a r
Мадагаскарец	m a d a ɡ a s k a ɾ ɛ t͡s
Мадагаскарка	m a d a ɡ a s k a r k a
Мадрид	m a d r i t
Макао	m a k a ɔ
Македон	m a k ɛ d ɔ n
Македонец	m a k ɛ d ɔ n ɛ t͡s
Македонецот	m a k ɛ d ɔ n ɛ t͡s ɔ t
Македонии	m a k ɛ d ɔ n i i
Македонииве	m a k ɛ d ɔ n i i v ɛ
Македониине	m a k ɛ d ɔ n i i n ɛ
Македониите	m a k ɛ d ɔ n i i t ɛ
Македонииче	m a k ɛ d ɔ n i i t͡ʃ ɛ
Македониичка	m a k ɛ d ɔ n i i t͡ʃ k a
Македониче	m a k ɛ d ɔ n i t͡ʃ ɛ
Македоничка	m a k ɛ d ɔ n i t͡ʃ k a
Македонија	m a k ɛ d ɔ n i j a
Македонијава	m a k ɛ d ɔ n i j a v a
Македонијана	m a k ɛ d ɔ n i j a n a
Македонијата	m a k ɛ d ɔ n i j a t a
Македонијо	m a k ɛ d ɔ n i j ɔ
Македонка	m a k ɛ d ɔ ŋ k a
Македонки	m a k ɛ d ɔ ŋ k i
Македонски	m a k ɛ d ɔ n s k i
Македонци	m a k ɛ d ɔ n t͡s i
Македонциве	m a k ɛ d ɔ n t͡s i v ɛ
Македонче	m a k ɛ d ɔ n t͡ʃ ɛ
Македончево	m a k ɛ d ɔ n t͡ʃ ɛ v ɔ
Македончено	m a k ɛ d ɔ n t͡ʃ ɛ n ɔ
Македончето	m a k ɛ d ɔ n t͡ʃ ɛ t ɔ
Македончиња	m a k ɛ d ɔ n t͡ʃ i ɲ a
Македончињава	m a k ɛ d ɔ n t͡ʃ i ɲ a v a
Македончињана	m a k ɛ d ɔ n t͡ʃ i ɲ a n a
Македончињата	m a k ɛ d ɔ n t͡ʃ i ɲ a t a
Малабо	m a ɫ a b ɔ
Малави	m a ɫ a v i
Малавиец	m a ɫ a v i j ɛ t͡s
Малавијка	m a ɫ a v i j k a
Малаја	m a ɫ a j a
Малдиви	m a ɫ d i v i
Малдивиец	m a ɫ d i v i j ɛ t͡s
Малдивијка	m a ɫ d i v i j k a
Малдивка	m a ɫ d i f k a
Мале	m a l ɛ
Малезиец	m a l ɛ z i j ɛ t͡s
Малезија	m a l ɛ z i j a
Малезијка	m a l ɛ z i j k a
Малешевец	m a l ɛ ʃ ɛ v ɛ t͡s
Малешевка	m a l ɛ ʃ ɛ f k a
Малешево	m a l ɛ ʃ ɛ v ɔ
Мали	m a l i
Малиец	m a l i j ɛ t͡s
Малина	m a l i n a
Малијка	m a l i j k a
Малта	m a ɫ t a
Малтежанец	m a ɫ t ɛ ʒ a n ɛ t͡s
Малтежанка	m a ɫ t ɛ ʒ a ŋ k a
Манагва	m a n a ɡ v a
Манама	m a n a m a
Манила	m a n i ɫ a
Мапуто	m a p u t ɔ
Мара	m a ɾ a
Марика	m a ɾ i k a
Марина	m a r i n a
Мариовец	m a r i j ɔ v ɛ t͡s
Мариовка	m a r i j ɔ f k a
Мариово	m a r i j ɔ v ɔ
Марија	m a ɾ i j a
Марко	m a r k ɔ
Мароканец	m a ɾ ɔ k a n ɛ t͡s
Мароканка	m a ɾ ɔ k a ŋ k a
Мароко	m a r ɔ k ɔ
Марс	m a r s
Марсеј	m a r s ɛ j
Марсовец	m a r s ɔ v ɛ t͡s
Марсовка	m a r s ɔ f k a
Марсовки	m a r s ɔ f k i
Марсовци	m a r s ɔ f t͡s i
Марта	m a r t a
Мартин	m a r t i n
Мартина	m a r t i n a
Мартинов	m a r t i n ɔ f
Маршалец	m a r ʃ a l ɛ t͡s
Маршалка	m a r ʃ a ɫ k a
Марјан	m a r j a n
Марјана	m a r j a n a
Масачусетс	m a s a t͡ʃ u s ɛ t s
Масеру	m a s ɛ ɾ u
Маскат	m a s k a t
Матеа	m a t ɛ a
Матеј	m a t ɛ j
Маѓар	m a ɟ a r
Маѓари	m a ɟ a ɾ i
Маѓарка	m a ɟ a r k a
Маѓарско	m a ɟ a r s k ɔ
Маја	m a j a
Мајкл	m a j k ɫ̩
Маџуро	m a d͡ʒ u ɾ ɔ
Мбабане	m̩ b a b a n ɛ
Медина	m ɛ d i n a
Медитеран	m ɛ d i t ɛ r a n
Мека	m ɛ k a
Мексиканец	m ɛ k s i k a n ɛ t͡s
Мексиканка	m ɛ k s i k a ŋ k a
Мексико	m ɛ k s i k ɔ
Мериленд	m ɛ ɾ i l ɛ n t
Меркур	m ɛ r k u r
Месечев	m ɛ s ɛ t͡ʃ ɛ f
Месечина	m ɛ s ɛ t͡ʃ i n a
Месечинин	m ɛ s ɛ t͡ʃ i n i n
Месечино	m ɛ s ɛ t͡ʃ i n ɔ
Месечински	m ɛ s ɛ t͡ʃ i n s k i
Месија	m ɛ s i j a
Методиј	m ɛ t ɔ d i j
Мејн	m ɛ j n
Миа	m i j a
Микронезија	m i k r ɔ n ɛ z i j a
Мила	m i ɫ a
Милан	m i ɫ a n
Милана	m i ɫ a n a
Миланка	m i ɫ a ŋ k a
Миланко	m i ɫ a ŋ k ɔ
Милано	m i ɫ a n ɔ
Миланче	m i ɫ a n t͡ʃ ɛ
Миланчо	m i ɫ a n t͡ʃ ɔ
Миле	m i l ɛ
Милев	m i l ɛ f
Милевски	m i l ɛ f s k i
Милески	m i l ɛ s k i
Милка	m i ɫ k a
Милко	m i ɫ k ɔ
Миловски	m i ɫ ɔ f s k i
Милоски	m i ɫ ɔ s k i
Минесота	m i n ɛ s ɔ t a
Минск	m i n s k
Минхен	m i ŋ x ɛ n
Мира	m i ɾ a
Мире	m i ɾ ɛ
Мирка	m i r k a
Мирко	m i r k ɔ
Мирослав	m i ɾ ɔ s ɫ a f
Мирче	m i r t͡ʃ ɛ
Мирчо	m i r t͡ʃ ɔ
Мирјана	m i r j a n a
Мисисипи	m i s i s i p i
Мисури	m i s u ɾ i
Митре	m i t r ɛ
Митровден	m i t r ɔ v d ɛ n
Михаел	m i x a ɛ ɫ
Михаил	m i x a i ɫ
Михај	m i x a j
Мице	m i t͡s ɛ
Мицко	m i t͡s k ɔ
Мичиген	m i t͡ʃ i ɡ ɛ n
Мишколц	m i ʃ k ɔ ɫ t͡s
Мијаци	m i j a t͡s i
Мијачија	m i j a t͡ʃ i j a
Могадишу	m ɔ ɡ a d i ʃ u
Мозамбик	m ɔ z a m b i k
Мозамбиканец	m ɔ z a m b i k a n ɛ t͡s
Мозамбиканка	m ɔ z a m b i k a ŋ k a
Молдавец	m ɔ ɫ d a v ɛ t͡s
Молдавија	m ɔ ɫ d a v i j a
Молдавка	m ɔ ɫ d a f k a
Монако	m ɔ n a k ɔ
Моначанец	m ɔ n a t͡ʃ a n ɛ t͡s
Моначанка	m ɔ n a t͡ʃ a ŋ k a
Монголец	m ɔ ŋ ɡ ɔ l ɛ t͡s
Монголија	m ɔ ŋ ɡ ɔ l i j a
Монголка	m ɔ ŋ ɡ ɔ ɫ k a
Моника	m ɔ n i k a
Монровија	m ɔ n r ɔ v i j a
Монтана	m ɔ n t a n a
Монтевидео	m ɔ n t ɛ v i d ɛ ɔ
Мородвис	m ɔ ɾ ɔ d v i s
Морони	m ɔ r ɔ n i
Морунец	m ɔ ɾ u n ɛ t͡s
Москва	m ɔ s k v a
Мостра	m ɔ s t r a
Мјанмар	m j a n m a r
Мјанмарец	m j a n m a ɾ ɛ t͡s
Мјанмарка	m j a n m a r k a
Н	n ə
НАСА	n a s a
НАТО	n a t ɔ
НЛО	n ə ɫ ə ɔ
НОБ	n ɔ p
Нада	n a d a
Намибиец	n a m i b i j ɛ t͡s
Намибија	n a m i b i j a
Намибијка	n a m i b i j k a
Нант	n a n t
Насау	n a s a u
Наташа	n a t a ʃ a
Наум	n a u m
Наумка	n a u m k a
Науру	n a u ɾ u
Наурујанец	n a u r u j a n ɛ t͡s
Наурујанка	n a u r u j a ŋ k a
Наѓканижа	n a c k a n i ʒ a
Најроби	n a j r ɔ b i
Нгерулмуд	ŋ̩ ɡ ɛ r u ɫ m u t
