'ntós	n t o s
satisfechu	s a t i s f e t͡ʃ u
Saturnu	s a t u ɾ n u
saya	s a ʝ a
sayu	s a ʝ u
secretarios	s e k ɾ e t a ɾ j o s
secretariu	s e k ɾ e t a ɾ j u
secretu	s e k ɾ e t u
secularizáu	s e k u l a ɾ i θ a u̯
seda	s e d a
seducida	s e d u θ i d a
seducíu	s e d u θ i u
segar	s e ɡ a ɾ
segregáu	s e ɡ ɾ e ɡ a u̯
seguridá	s e ɡ u ɾ i d a
seis	s e i̯ s
sele	s e l e
selmana	s e l m a n a
selva	s e l b a
semana	s e m a n a
semear	s e m e a ɾ
semechar	s e m e t͡ʃ a ɾ
semeyar	s e m e ʝ a ɾ
sen	s e n
Senabria	s e n a b ɾ j a
sencia	s e n θ j a
senciosu	s e n θ j o s u
Sendo	s e n d o
sensación	s e n s a θ j o n
sentar	s e n t a ɾ
sentimientos	s e n t i m j e n t o s
sentimientu	s e n t i m j e n t u
sentái	s e n t a i̯
sentíu	s e n t i u
separatismu	s e p a ɾ a t i s m u
separáu	s e p a ɾ a u̯
septentrión	s e p t e n t ɾ j o n
sepultura	s e p u l t u ɾ a
ser	s e ɾ
serena	s e ɾ e n a
seronda	s e ɾ o n d a
serra	s e r a
servir	s e ɾ b i ɾ
sestaferia	s e s t a f e ɾ j a
seta	s e t a
setiembre	s e t j e m b ɾ e
sexismu	s e ʃ i s m u
sextaferia	s e s t a f e ɾ j a
sexual	s e s w a l
sexuales	s e k s w a l e s
seyes	s e ʝ e s
seña	s e ɲ a
señaldá	s e ɲ a l d a
señardá	s e ɲ a ɾ d a
Sidora	s i d o ɾ a
Sidoro	s i d o ɾ o
sidra	s i d ɾ a
sidru	s i d ɾ u
sieglu	s j e ɡ l u
siempre	s j e m p ɾ e
Siero	s j e ɾ o
sierpe	s j e ɾ p e
significáu	s i ɡ n i f i k a u̯
siguíu	s i ɡ i u
simbolismu	s i m b o l i s m u
simios	s i m j o s
simiu	s i m j u
simple	s i m p l e
simplificáu	s i m p l i f i k a u̯
simuláu	s i m u l a u̯
sinagoga	s i n a ɡ o ɡ a
Sindo	s i n d o
Singapur	s i n ɡ a p u ɾ
sinónimu	s i n o n i m u
sirena	s i ɾ e n a
sistema	s i s t e m a
sitios	s i t j o s
sitiu	s i t j u
situación	s i t w a θ j o n
siya	s i ʝ a
sobre	s o b ɾ e
sobrepuerta	s o b ɾ e p w e ɾ t a
Sobrescobiu	s o b ɾ e s k o b j u
sobrina	s o b ɾ i n a
sobrín	s o b ɾ i n
social	s o θ j a l
socialismu	s o θ j a l i s m u
socialista	s o θ j a l i s t a
socialistes	s o θ j a l i s t e s
socializáu	s o θ j a l i θ a u̯
socu	s o k u
sodiu	s o d j u
sofitu	s o f i t u
soga	s o ɡ a
Sole	s o l e
solitario	s o l i t a ɾ j o
sollutar	s o ʎ u t a ɾ
solmenar	s o l m e n a ɾ
solo	s o l o
solombra	s o l o m b ɾ a
soltero	s o l t e ɾ o
solícito	s o l i θ i t o
sombra	s o m b ɾ a
sombría	s o m b ɾ i a
somear	s o m e a ɾ
someñar	s o m e ɲ a ɾ
Somiedo	s o m j e d o
Somiedu	s o m j e d u
soníu	s o n i u
sopa	s o p a
sorber	s o ɾ b e ɾ
sorprender	s o ɾ p ɾ e n d e ɾ
sorpresa	s o ɾ p ɾ e s a
soscritu	s o s k ɾ i t u
sospirar	s o s p i ɾ a ɾ
sostener	s o s t e n e ɾ
sostenida	s o s t e n i d a
sosteníu	s o s t e n i u
soterramientu	s o t e r a m j e n t u
soterramientu	s u t e r a m j e n t u
soterrar	s o t e r a ɾ
soterrar	s u t e r a ɾ
sovietizáu	s o b j e t i θ a u̯
soviética	s o b j e t i k a
soviéticos	s o b j e t i k o s
soñar	s o ɲ a ɾ
sportinguista	e s p o ɾ t i n ɡ i s t a
suañar	s w a ɲ a ɾ
suañu	s w a ɲ u
suaḥili	s w a h i l i
sucio	s u θ j o
suelta	s w e l t a
sueltes	s w e l t e s
suelto	s w e l t o
sueltos	s w e l t o s
sueltu	s w e l t u
suicidiu	s w i θ i d j u
Suiza	s w i θ a
suizu	s w i θ u
sumar	s u m a ɾ
sumear	s u m e a ɾ
sumichar	s u m i t͡ʃ a ɾ
suplicáu	s u p l i k a u̯
suprimida	s u p ɾ i m i d a
suprimíu	s u p ɾ i m i u
supuestamente	s u p w e s t a m e n t e
supuesto	s u p w e s t o
supuestos	s u p w e s t o s
supuestu	s u p w e s t u
sur	s u ɾ
suspendíu	s u s p e n d i u
sustancia	s u s t a n θ j a
suxerencia	s u ʃ e ɾ e n θ j a
suxerencies	s u ʃ e ɾ e n θ j e s
suxerir	s u ʃ e ɾ i ɾ
suétanu	s w e t a n u
sátiru	s a t i ɾ u
síliz	s i l i θ
síntoma	s i n t o m a
sío	s i o
sólido	s o l i d o
tabal	t a b a l
tabayal	t a b a ʝ a l
tabayón	t a b a ʝ o n
taburete	t a b u ɾ e t e
tacha	t a t͡ʃ a
tafuñu	t a f u ɲ u
Tailandia	t a i̯ l a n d j a
talega	t a l e ɡ a
tamboriteru	t a m b o ɾ i t e ɾ u
Tameza	t a m e θ a
tamién	t a m j e n
Tano	t a n o
tanza	t a n θ a
tapaboques	t a p a b o k e s
Tapia	t a p j a
Taramundi	t a ɾ a m u n d i
tardíu	t a ɾ d i u
Taresa	t a ɾ e s a
tarrecible	t a r e θ i b l e
tarta	t a ɾ t a
tas	t a s
tastiar	t a s t j a ɾ
tatexar	t a t e ʃ a ɾ
taxi	t a s i
tayador	t a ʝ a d o ɾ
tayella	t a ʝ e ʎ a
tayuelu	t a ʝ w e l u
tañer	t a ɲ e ɾ
teatru	t e a t ɾ u
Teberga	t e b e ɾ ɡ a
tecla	t e k l a
teitu	t e i̯ t u
televisión	t e l e b i s j o n
televisor	t e l e b i s o ɾ
teléfanu	t e l e f a n u
teléfonu	t e l e f o n u
temperatura	t e m p e ɾ a t u ɾ a
templu	t e m p l u
tenedor	t e n e d o ɾ
tenida	t e n i d a
tenllera	t e n ʎ e ɾ a
tenlleres	t e n ʎ e ɾ e s
teníu	t e n i u
termináu	t e ɾ m i n a u̯
terraza	t e r a θ a
terrorismu	t e r o ɾ i s m u
testeru	t e s t e ɾ u
testu	t e s t u
testículu	t e s t i k u l u
tesu	t e s u
teunoloxía	t e u̯ n o l o ʃ i a
teunolóxicu	t e u̯ n o l o ʃ i k u
teyu	t e ʝ u
teyáu	t e ʝ a u̯
teóricu	t e o ɾ i k u
ti	t i
tiburón	t i b u ɾ o n
tica	t i k a
tierra	t j e r a
Tierra	t j e r a
tierres	t j e r e s
tierrina	t j e r i n a
tiesta	t j e s t a
tiestes	t j e s t e s
tiestu	t j e s t u
tiestu	t j e s t u
tiesu	t j e s u
Tifón	t i f o n
tigre	t i ɡ ɾ e
Tilde	t i l d e
timones	t i m o n e s
timón	t i m o n
Tina	t i n a
tinglar	t i n ɡ l a ɾ
Tino	t i n o
tinta	t i n t a
tinu	t i n u
Tinéu	t i n e u̯
tipu	t i p u
tique	t i k e
Tista	t i s t a
tixela	t i ʃ e l a
tixella	t i ʃ e ʎ a
tixileiru	t i ʃ i l e i̯ ɾ u
tiz	t i θ
tiza	t i θ a
tiñir	t i ɲ i ɾ
tiñosu	t i ɲ o s u
tocan	t o k a n
tocar	t o k a ɾ
tochu	t o t͡ʃ u
tocín	t o θ i n
toleráu	t o l e ɾ a u̯
tomate	t o m a t e
tomáu	t o m a u̯
too	t o o
topográfica	t o p o ɡ ɾ a f i k a
topográficos	t o p o ɡ ɾ a f i k o s
topográficu	t o p o ɡ ɾ a f i k u
torbolín	t o ɾ b o l i n
torbón	t o ɾ b o n
torga	t o ɾ ɡ a
tormenta	t o ɾ m e n t a
tormentes	t o ɾ m e n t e s
torniellu	t o ɾ n j e ʎ u
tornáu	t o ɾ n a u̯
torturáu	t o ɾ t u ɾ a u̯
toru	t o ɾ u
tostador	t o s t a d o ɾ
tostar	t o s t a ɾ
total	t o t a l
totalitarismu	t o t a l i t a ɾ i s m u
trabachar	t ɾ a b a t͡ʃ a ɾ
trabayar	t ɾ a b a ʝ a ɾ
trabayu	t ɾ a b a ʝ u
trabayucar	t ɾ a b a ʝ u k a ɾ
trabayáu	t ɾ a b a ʝ a u̯
trabucar	t ɾ a b u k a ɾ
trabáu	t ɾ a b a u̯
tradicional	t ɾ a d i θ j o n a l
tradición	t ɾ a d i θ j o n
traducción	t ɾ a d u k θ j o n
traducida	t ɾ a d u θ i d a
traducir	t ɾ a d u θ i ɾ
traductor	t ɾ a d u k t o ɾ
traducíu	t ɾ a d u θ i u
tragar	t ɾ a ɡ a ɾ
tranlará	t ɾ a n l a ɾ a
transistor	t ɾ a n s i s t o ɾ
transistores	t ɾ a n s i s t o ɾ e s
Transnistria	t ɾ a n s n i s t ɾ j a
traquiar	t ɾ a k j a ɾ
trasgu	t ɾ a s ɡ u
tratáu	t ɾ a t a u̯
trayer	t ɾ a ʝ e ɾ
trayida	t ɾ a ʝ i d a
trayíes	t ɾ a ʝ i e s
trayíu	t ɾ a ʝ i u
traída	t ɾ a i d a
trece	t ɾ e θ e
trecenu	t ɾ e θ e n u
trelce	t ɾ e l θ e
tren	t ɾ e n
trena	t ɾ e n a
treneru	t ɾ e n e ɾ u
trenista	t ɾ e n i s t a
tres	t ɾ e s
trescritu	t ɾ e s k ɾ i t u
tresferíu	t ɾ e s f e ɾ i u
tresformación	t ɾ e s f o ɾ m a θ j o n
tresmitida	t ɾ e s m i t i d a
tresmitíu	t ɾ e s m i t i u
trespuesta	t ɾ e s p w e s t a
trespuestes	t ɾ e s p w e s t e s
trespuesto	t ɾ e s p w e s t o
trespuestos	t ɾ e s p w e s t o s
trespuestu	t ɾ e s p w e s t u
trichar	t ɾ i t͡ʃ a ɾ
trigu	t ɾ i ɡ u
tripa	t ɾ i p a
trispoutar	t ɾ i s p o u̯ t a ɾ
triyar	t ɾ i ʝ a ɾ
trompeta	t ɾ o m p e t a
truébanu	t ɾ w e b a n u
turismu	t u ɾ i s m u
turista	t u ɾ i s t a
turistes	t u ɾ i s t e s
turrar	t u r a ɾ
tía	t i a
tíes	t i e s
tíos	t i o s
tíu	t i u
Ucrania	u k ɾ a n j a
ufanu	u f a n u
Ulieses	u l j e s e s
Ulises	u l i s e s
un	u n
una	u n a
unda	u n d a
unicorniu	u n i k o ɾ n j u
unifica	u n i f i k a
unificada	u n i f i k a d a
unificar	u n i f i k a ɾ
unificáu	u n i f i k a u̯
universidá	u n i b e ɾ s i d a
untu	u n t u
unu	u n u
unviu	u m b j u
upar	u p a ɾ
Uranu	u ɾ a n u
urbanizada	u ɾ b a n i θ a d a
urbanizáu	u ɾ b a n i θ a u̯
urna	u ɾ n a
Uruguay	u ɾ u ɡ w a i̯
Uruguái	u ɾ u ɡ w a i̯
use	u s e
usual	u s w a l
usáu	u s a u̯
utensilios	u t e n s i l j o s
utensiliu	u t e n s i l j u
utilizáu	u t i l i θ a u̯
uva	u b a
Uviedo	u b j e d o
Uvieo	u b j e o
Uviéu	u b j e u̯
vaca	b a k a
vaciar	b a θ j a ɾ
vacunas	b a k u n a s
vacío	b a θ i o
vacíos	b a θ i o s
vacíu	b a θ i u
vagamar	b a ɡ a m a ɾ
vagar	b a ɡ a ɾ
vagoneru	b a ɡ o n e ɾ u
vagoneta	b a ɡ o n e t a
vagón	b a ɡ o n
vaivá	b a i̯ b a
valboniegu	b a l b o n j e ɡ u
Valdeprusia	b a l d e p ɾ u s j a
Valdés	b a l d e s
valederu	b a l e d e ɾ u
valeiru	b a l e i̯ ɾ u
valeru	b a l e ɾ u
valiente	b a l j e n t e
valtu	b a l t u
valume	b a l u m e
vampiru	b a m p i ɾ u
vapor	b a p o ɾ
vaqueirada	b a k e i̯ ɾ a d a
vagoneta	b a ɡ o n e t a
vagón	b a ɡ o n
vaivá	b a i̯ b a
valboniegu	b a l b o n j e ɡ u
Valdeprusia	b a l d e p ɾ u s j a
Valdés	b a l d e s
valederu	b a l e d e ɾ u
valeiru	b a l e i̯ ɾ u
valeru	b a l e ɾ u
valiente	b a l j e n t e
valtu	b a l t u
valume	b a l u m e
vampiru	b a m p i ɾ u
vapor	b a p o ɾ
vaqueirada	b a k e i̯ ɾ a d a
vaqueru	b a k e ɾ u
vaquina	b a k i n a
vasca	b a s k a
vasco	b a s k o
vascos	b a s k o s
vascu	b a s k u
vascuencia	b a s k w e n θ j a
vascuencies	b a s k w e n θ j e s
vascuencio	b a s k w e n θ j o
vascuencios	b a s k w e n θ j o s
vascuenciu	b a s k w e n θ j u
vasques	b a s k e s
vaxina	b a ʃ i n a
vecera	b e θ e ɾ a
vecín	b e θ i n
vehículu	b e i k u l u
vela	b e l a
velea	b e l e a
veluntá	b e l u n t a
vencer	b e n θ e ɾ
vencíu	b e n θ i u
vendíu	b e n d i u
Venezuela	b e n e θ w e l a
venganza	b e n ɡ a n θ a
vengatible	b e n ɡ a t i b l e
venida	b e n i d a
venir	b e n i ɾ
venta	b e n t a
ventana	b e n t a n a
ventes	b e n t e s
Venus	b e n u s
veníes	b e n i e s
venín	b e n i n
veníu	b e n i u
ver	b e ɾ
veranu	b e ɾ a n u
verde	b e ɾ d e
verifica	b e ɾ i f i k a
verificáu	b e ɾ i f i k a u̯
verrón	b e r o n
versión	b e ɾ s j o n
vertical	b e ɾ t i k a l
vertíu	b e ɾ t i u
veru	b e ɾ u
vexetal	b e ʃ e t a l
vexetales	b e ʃ e t a l e s
vezu	b e θ u
vibras	b i b ɾ a s
vibráu	b i b ɾ a u̯
vicesa	b i θ e s a
viceses	b i θ e s e s
viciosu	b i θ j o s u
vida	b i d a
vidaya	b i d a ʝ a
vidayes	b i d a ʝ e s
vidriu	b i d ɾ j u
vidros	b i d ɾ o s
vidru	b i d ɾ u
vientos	b j e n t o s
vientre	b j e n t ɾ e
vientu	b j e n t u
viesca	b j e s k a
Viesques	b j e s k e s
vieyera	b j e ʝ e ɾ a
vieyu	b j e ʝ u
vigulín	b i ɡ u l i n
Villaviciosa	b i ʎ a b i θ j o s a
Villayón	b i ʎ a ʝ o n
Vina	b i n a
vindicáu	b i n d i k a u̯
vinu	b i n u
violación	b j o l a θ j o n
violencia	b j o l e n θ j a
virtú	b i ɾ t u
virus	b i ɾ u s
virxe	b i ɾ ʃ e
visitada	b i s i t a d a
visitáu	b i s i t a u̯
visión	b i s j o n
vista	b i s t a
vistes	b i s t e s
vistor	b i s t o ɾ
vistu	b i s t u
visual	b i s w a l
vivida	b i b i d a
vivienda	b i b j e n d a
vivu	b i b u
vivíu	b i b i u
vixilia	b i ʃ i l j a
viérbene	b j e ɾ b e n e
vodca	b o d k a
vodques	b o d k e s
volador	b o l a d o ɾ
voláu	b o l a u̯
vosotres	b o s o t ɾ e s
votar	b o t a ɾ
votáu	b o t a u̯
voz	b o θ
vueltu	b w e l t u
vuelu	b w e l u
vídeu	b i d j u
vómitu	b o m i t u
x	ʃ e
xabaril	ʃ a b a ɾ i l
xabaz	ʃ a b a θ
xabón	ʃ a b o n
xacíu	ʃ a θ i u
xaguar	ʃ a ɡ w a ɾ
Xairu	ʃ a i̯ ɾ u
Xamaica	ʃ a m a i̯ k a
Xamín	ʃ a m i n
xamón	ʃ a m o n
xana	ʃ a n a
Xana	ʃ a n a
Xandru	ʃ a n d ɾ u
xaponés	ʃ a p o n e s
Xapón	ʃ a p o n
xaqueta	ʃ a k e t a
xaraza	ʃ a ɾ a θ a
xarazar	ʃ a ɾ a θ a ɾ
xarazu	ʃ a ɾ a θ u
xardinera	ʃ a ɾ d i n e ɾ a
xardín	ʃ a ɾ d i n
xarelu	ʃ a ɾ e l u
xarizu	ʃ a ɾ i θ u
xarré	ʃ a r e
xaréu	ʃ a ɾ e u̯
xatu	ʃ a t u
xaula	ʃ a u̯ l a
xaxar	ʃ a ʃ a ɾ
xebrar	ʃ e b ɾ a ɾ
xefe	ʃ e f e
xeitu	ʃ e i̯ t u
Xela	ʃ e l a
Xelina	ʃ e l i n a
xelu	ʃ e l u
Xelu	ʃ e l u
Xelín	ʃ e l i n
xeneración	ʃ e n e ɾ a θ j o n
xeneral	ʃ e n e ɾ a l
xeneralizáu	ʃ e n e ɾ a l i θ a u̯
xenerar	ʃ e n e ɾ a ɾ
xeneráu	ʃ e n e ɾ a u̯
xenital	ʃ e n i t a l
xenitivu	ʃ e n i t i b u
xenocidiu	ʃ e n o θ i d j u
xente	ʃ e n t e
Xenti	ʃ e n t i
xeográfica	ʃ e o ɡ ɾ a f i k a
xeográfico	ʃ e o ɡ ɾ a f i k o
xeográficos	ʃ e o ɡ ɾ a f i k o s
xeográficu	ʃ e o ɡ ɾ a f i k u
xeometría	ʃ e o m e t ɾ i a
xerente	ʃ e ɾ e n t e
xerigonza	ʃ e ɾ i ɡ o n θ a
xeringa	ʃ e ɾ i n ɡ a
xerundiu	ʃ e ɾ u n d j u
Xesús	ʃ e s u s
xiba	ʃ i b a
Xibraltar	ʃ i b ɾ a l t a ɾ
xica	ʃ i k a
xidu	ʃ i d u
xigante	ʃ i ɡ a n t e
xilecu	ʃ i l e k u
xilófonu	ʃ i l o f o n u
ximielgar	ʃ i m j e l ɡ a ɾ
ximir	ʃ i m i ɾ
ximnasiu	ʃ i m n a s j u
xineru	ʃ i n e ɾ u
xinoyu	ʃ i n o ʝ u
xintar	ʃ i n t a ɾ
xixoniegu	ʃ i ʃ o n j e ɡ u
Xixón	ʃ i ʃ o n
xiz	ʃ i θ
xornada	ʃ o ɾ n a d a
xos	ʃ o s
Xosepe	ʃ o s e p e
xostra	ʃ o s t ɾ a
Xosé	ʃ o s e
xoven	ʃ o b e n
Xuacu	ʃ w a k u
xudaísmu	ʃ u d a i s m u
xudicial	ʃ u d i θ j a l
xuegu	ʃ w e ɡ u
xueves	ʃ w e b e s
xuez	ʃ w e θ
xugar	ʃ u ɡ a ɾ
xugu	ʃ u ɡ u
xuiciosu	ʃ w i θ j o s u
xulgar	ʃ u l ɡ a ɾ
xunellín	ʃ u n e ʎ i n
xunetu	ʃ u n e t u
xunicu	ʃ u n i k u
xunillón	ʃ u n i ʎ o n
xunir	ʃ u n i ɾ
xunión	ʃ u n j o n
xunque	ʃ u n k e
xunta	ʃ u n t a
xuntar	ʃ u n t a ɾ
xuntes	ʃ u n t e s
xunto	ʃ u n t o
xuntos	ʃ u n t o s
xuntu	ʃ u n t u
xunu	ʃ u n u
xunucu	ʃ u n u k u
xuníu	ʃ u n i u
Xurde	ʃ u ɾ d e
xusta	ʃ u s t a
xusteza	ʃ u s t e θ a
xusticia	ʃ u s t i θ j a
xustificar	ʃ u s t i f i k a ɾ
xustificáu	ʃ u s t i f i k a u̯
Xusé	ʃ u s e
xuvenil	ʃ u b e n i l
xuzgar	ʃ u θ ɡ a ɾ
xándal	ʃ a n d a l
xándalu	ʃ a n d a l u
xóvenes	ʃ o b e n e s
Xúpiter	ʃ u p i t e ɾ
y	i
ya	ʝ a
ye	ʝ e
Yemen	ʝ e m e n
yera	ʝ e ɾ a
yoga	ʝ o ɡ a
yustapuesta	ʝ u s t a p w e s t a
yustapuestes	ʝ u s t a p w e s t e s
yustapuesto	ʝ u s t a p w e s t o
yustapuestos	ʝ u s t a p w e s t o s
yustapuestu	ʝ u s t a p w e s t u
zambu	θ a m b u
zapatu	θ a p a t u
zapica	θ a p i k a
zarramicar	θ a r a m i k a ɾ
zarrar	θ a r a ɾ
zarro	θ a r o
zume	θ u m e
zumu	θ u m u
zuniegu	θ u n j e ɡ u
zurdiella	θ u ɾ d j e ʎ a
zurdielles	θ u ɾ d j e ʎ e s
zurdiello	θ u ɾ d j e ʎ o
zurdiellos	θ u ɾ d j e ʎ o s
zurdiellu	θ u ɾ d j e ʎ u
zurdir	θ u ɾ d i ɾ
zurraquiar	θ u r a k j a ɾ
zurriaga	θ u r j a ɡ a
zuécalu	θ w e k a l u
á	a
ácida	a θ i d a
ácides	a θ i d e s
ácido	a θ i d o
ácidos	a θ i d o s
ácidu	a θ i d u
águila	a ɡ i l a
ánima	a n i m a
ánxel	a n ʃ e l
árabe	a ɾ a b e
árbol	a ɾ b o l
área	a ɾ e a
área	a ɾ j a
árees	a ɾ j e s
épico	e p i k o
época	e p o k a
í	i
ñabu	ɲ a b u
ñalga	ɲ a l ɡ a
ñalgazu	ɲ a l ɡ a θ u
ñata	ɲ a t a
ñau	ɲ a u̯
ñaña	ɲ a ɲ a
ñañes	ɲ a ɲ e s
ñaño	ɲ a ɲ o
ñaños	ɲ a ɲ o s
ñañu	ɲ a ɲ u
ñerbatu	ɲ e ɾ b a t u
ñeru	ɲ e ɾ u
ñeta	ɲ e t a
ñetes	ɲ e t e s
ñetos	ɲ e t o s
ñetu	ɲ e t u
ñeve	ɲ e b e
ñocla	ɲ o k l a
ñunca	ɲ u n k a
ñáriga	ɲ a ɾ i ɡ a
ñíu	ɲ i u
ñúmeru	ɲ u m e ɾ u
ó	o
óptica	o p t i k a
óptico	o p t i k o
ópticu	o p t i k u
ósmosis	o s m o s i s
último	u l t i m o
últimu	u l t i m u
Ḥ	h
ḥ	h
ḥacer	h a θ e ɾ
ḥarca	h a ɾ k a
ḥayadizu	h a ʝ a d i θ u
ḥelechu	h e l e t͡ʃ u
ḥer	h e ɾ
ḥerida	h e ɾ i d a
ḥispiar	h i s p j a ɾ
ḥiyáu	h i ʝ a u̯
ḥuebu	h w e b u
ḥuego	h w e ɡ o
ḥuegu	h w e ɡ u
ḥueu	h w e u̯
ḥuöu	h w ø u̯
ḷḷ	t s
Ḷḷ	t s
ḷḷe	t͡ʂ e
ḷḷeiche	t ʂ e i t͡ʃ e
ḷḷeite	t͡ʂ e i̯ t i
ḷḷeitse	t ʂ e i t͡s e
Ḷḷena	t͡s e n a
ḷḷercia	d ʐ e ɾ θ j a
ḷḷercia	t ʂ e ɾ θ j a
ḷḷercia	t͡s e ɾ θ j a
ḷḷercia	ɖ e ɾ θ j a
ḷḷerza	d ʐ e ɾ θ a
ḷḷerza	t ʂ e ɾ θ a
ḷḷerza	ɖ e ɾ θ a
ḷḷerza	t͡s e ɾ θ a
ẍ	ʃ
