ȁ	â
antibiotik	a n t i b i ǒ t i k
anticiklona	a n t i t͡s i k l ǒː n a
anticipacija	a n t i t͡s i p ǎː t͡s i j a
anticipirati	a n t i t͡s i p ǐː r a t i
antički	ǎ n t i t͡ʃ k iː
antifašist	a n t i f ǎ ʃ i s t
antifašistički	a n t i f a ʃ ǐ s t i t͡ʃ k iː
antifašistički	a n t i f a ʃ ǐ s t i t͡ʃ k i
antifašistkinja	a n t i f ǎ ʃ i s t k i ɲ a
antifašizam	a n t i f a ʃ ǐ z a m
antifeminizam	a n t i f e m i n ǐ z a m
antiheroj	a n t i x ě r oː j
antiimperijalizam	a n t i i m p e r i j a l ǐ z a m
antik	ǎ n t i k
antika	ǎ n t i k a
antiklinala	a n t i k l i n ǎː l a
antikni	ǎ n t i k n iː
antikomunist	a n t i k o m ǔ n i s t
antikomunistički	a n t i k o m u n ǐ s t i t͡ʃ k iː
antikomunistički	a n t i k o m u n ǐ s t i t͡ʃ k i
antikomunizam	a n t i k o m u n ǐ z a m
antikvar	a n t ǐ k ʋ aː r
antikvaran	â n t i k ʋ aː r a n
antilogaritam	a n t i l o ɡ a r ǐ t a m
antimaterija	a n t i m ǎ t eː r i j a
antimetabola	a n t i m e t ǎ b o l a
antimon	ǎ n t i m o n
antipatičan	a n t i p ǎ t i t͡ʃ a n
antipatično	a n t i p ǎ t i t͡ʃ n o
antipod	a n t ǐ p oː d
antireligiozan	a n t i r ě l i ɡ i oː z a n
antisemitizam	a n t i s e m i t ǐ z a m
antisemitski	a n t i s ě m iː t s k iː
antisemitski	a n t i s ě m iː t s k i
antiseptički	a n t i s ě p t i t͡ʃ k iː
antiseptički	a n t i s ě p t i t͡ʃ k i
antisocijalan	a n t i s ǒ t͡s i j aː l a n
antisocijalistički	a n t i s o t͡s i j a l ǐ s t i t͡ʃ k iː
antisocijalistički	a n t i s o t͡s i j a l ǐ s t i t͡ʃ k i
antisocijalizam	a n t i s o t͡s i j a l ǐ z a m
antitelo	ǎ n t i t eː l o
antiteza	a n t ǐ t e z a
antitijelo	ǎ n t i t j eː l o
antologija	a n t o l ǒ ɡ i j a
Antonela	a n t o n e l a
antonim	a n t ǒ n iː m
antonimija	a n t o n ǐ m i j a
antonomazija	a n t o n o m ǎː z i j a
antraks	ǎ n t r a k s
antropoidan	â n t r o p o iː d a n
antropolog	a n t r o p ǒ l o ɡ
antropologija	a n t r o p o l ǒ ɡ i j a
antropološki	a n t r o p ǒ l o ʃ k iː
antropološki	a n t r o p ǒ l o ʃ k i
antropomorfan	a n t r o p o m ǒ r f a n
antropomorfizam	a n t r o p o m o r f ǐ z a m
Antun	ǎ n t uː n
Antunovac	a n t ǔː n o ʋ a t͡s
anulirati	a n u l ǐː r a t i
aorist	â o r i s t
aoristni	â o r i s t n iː
aorta	ǎ oː r t a
apanaža	a p a n ǎː ʒ a
aparatčik	a p a r ǎ t t͡ʃ i k
apartan	ǎ p a r t a n
aparthejd	â p a r t x e j d
apatičan	a p ǎ t i t͡ʃ a n
apatično	a p ǎ t i t͡ʃ n o
apatija	a p ǎ t i j a
apatrid	a p ǎ t r iː d
apel	ǎ p e l
apelirati	a p e l ǐː r a t i
aperitiv	a p e r ǐ t iː ʋ
apetit	a p ě t iː t
aplaudirati	a p l a u d ǐː r a t i
aplauz	ǎ p l a u z
aplicirati	a p l i t͡s ǐː r a t i
aplikacija	a p l i k ǎː t͡s i j a
apodiktički	a p o d ǐ k t i t͡ʃ k i
apoen	a p ǒ eː n
Apokalipsa	a p o k a l ǐ p s a
apokalipsa	a p o k a l ǐ p s a
apokaliptičan	a p o k a l ǐ p t i t͡ʃ a n
apokrifan	a p ǒ k r i f a n
apolitičan	a p o l ǐ t i t͡ʃ a n
apolitički	a p o l ǐ t i t͡ʃ k iː
apolitički	a p o l ǐ t i t͡ʃ k i
apologet	a p o l ǒ ɡ eː t
apologetika	a p o l o ɡ ě t i k a
apologija	a p o l ǒ ɡ i j a
Apolon	a p ǒ l oː n
apostol	ǎ p o s t o l
apostrof	ǎ p o s t r o f
apostrofa	a p ǒ s t r o f a
apostrofirati	a p o s t r o f ǐː r a t i
apoteoza	a p o t e ǒː z a
apozicija	a p o z ǐː t͡s i j a
aprecijacija	a p r e t͡s i j ǎː t͡s i j a
april	ǎ p r iː l
aprilski	ǎ p r iː l s k iː
aprioran	â p r i oː r a n
aproksimacija	a p r o k s i m ǎː t͡s i j a
aproksimativan	â p r o k s i m a t iː ʋ a n
aproksimativno	â p r o k s i m a t iː ʋ n o
aproksimirati	a p r o k s i m ǐː r a t i
apscisa	a p s t͡s ǐ s a
apsida	ǎ p s i d a
apsolucija	a p s o l ǔː t͡s i j a
apsolut	â p s o l uː t
apsolutan	â p s o l uː t a n
apsolutizam	a p s o l u t ǐ z a m
apsolutizirati	a p s o l u t i z ǐː r a t i
apsolutno	â p s o l uː t n o
apsolvirati	a p s o l ʋ ǐː r a t i
apsorbirati	a p s o r b ǐː r a t i
apsorpcija	a p s ǒ r p t͡s i j a
apstinencija	a p s t i n ě n t͡s i j a
apstinirati	a p s t i n ǐː r a t i
apstrahirati	a p s t r a x ǐː r a t i
apstrakcija	a p s t r ǎ k t͡s i j a
apstrakt	ǎ p s t r a k t
apstraktan	ǎ p s t r a k t a n
apstraktno	ǎ p s t r a k t n o
apsurdan	ǎ p s u r d a n
apsurdno	ǎ p s u r d n o
apsurdnost	ǎ p s u r d n oː s t
arabeska	a r ǎ b e s k a
arabica	a r ǎ b i t͡s a
Arabija	ǎ r aː b i j a
arabijski	a r ǎː b iː j s k iː
Arabljanin	a r ǎː b ʎ a n iː n
aramejski	a r a m ě j s k iː
aranžirati	a r a n ʒ ǐː r a t i
aranžman	a r ǎ n ʒ m aː n
Arapin	ǎ r a p i n
arapski	ǎ r a p s k iː
Arbanas	a r b ǎ n a s
Arbanasi	a r b ǎ n a s i
Arbanija	a r b ǎ n i j a
arbitar	ǎ r b i t a r
arbitraran	â r b i t r aː r a n
arbitraža	a r b i t r ǎː ʒ a
arbitražni	â r b i t r aː ʒ n iː
arbun	ǎ r b uː n
arebica	a r ě b i t͡s a
arena	a r ěː n a
Ares	âː r e s
argat	ǎ r ɡ a t
Argentina	a r ɡ e n t ǐː n a
Argentinac	a r ɡ e n t ǐː n a t͡s
argentinski	a r ɡ ě n t iː n s k iː
argon	ǎ r ɡ oː n
argument	a r ɡ ǔ m e n t
argumentacija	a r ɡ u m e n t ǎː t͡s i j a
argumentirano	a r ɡ u m ě n t iː r a n o
arhaičan	a r x ǎ i t͡ʃ a n
arhaično	a r x ǎ i t͡ʃ n o
arhaik	a r x ǎ i k
arhaizam	a r x a ǐ z a m
arhaizirati	a r x a i z ǐː r a t i
arheolog	a r x e ǒ l o ɡ
arheologija	a r x e o l ǒ ɡ i j a
arheološki	a r x e ǒ l o ʃ k iː
arhiđakon	ǎ r x i d͡ʑ a k o n
arhiepiskop	a r x i ě p i s k o p
arhipelag	a r x i p ě l aː ɡ
arhitekt	a r x ǐ t e k t
arhitekt	a r x i t ê k t
arhitektica	a r x ǐ t e k t i t͡s a
arhitektonski	a r x i t ě k t oː n s k iː
arhitektura	a r x i t e k t ǔː r a
arhitekturni	a r x i t ě k t uː r n iː
arhiv	ǎ r x iː ʋ
arhivar	a r x ǐ ʋ aː r
arhivist	a r x ǐ ʋ i s t
arija	âː r i j a
arijac	âː r i j a t͡s
arijka	âː r iː j k a
arijski	âː r iː j s k iː
aristokracija	a r i s t o k r ǎ t͡s i j a
aristokrat	a r i s t ǒ k r a t
aristokratija	a r i s t o k r ǎ t i j a
aristokratkinja	a r i s t ǒ k r a t k i ɲ a
aristokratski	a r i s t ǒ k r a t s k iː
aristokratski	a r i s t ǒ k r a t s k i
Aristotel	a r i s t ǒ t e l
aritmetički	a r i t m ě t i t͡ʃ k iː
aritmetički	a r i t m ě t i t͡ʃ k i
aritmetika	a r i t m ě t i k a
aritmija	a r ǐ t m i j a
Arkadiopolj	a r k a d i ǒ p o ʎ
armatura	a r m a t ǔː r a
Armenac	a r m ěː n a t͡s
Armenija	ǎ r m eː n i j a
armenski	ǎ r m eː n s k iː
armija	ǎ r m i j a
Arnaut	a r n ǎ u t
arogancija	a r o ɡ ǎ n t͡s i j a
arogantan	a r o ɡ ǎ n t a n
arogantno	a r o ɡ ǎ n t n o
aroma	a r ǒː m a
aromatičan	a r o m ǎ t i t͡ʃ a n
arsen	ǎ r s eː n
arsenal	a r s ě n aː l
aršin	ǎ r ʃ iː n
artefakt	â r t e f a k t
arterija	ǎ r t eː r i j a
arterijski	ǎ r t eː r iː j s k iː
artičoka	a r t i t͡ʃ ǒː k a
artikulacija	a r t i k u l ǎː t͡s i j a
artikulacijski	a r t i k u l ǎː t͡s iː j s k iː
artikulirati	a r t i k u l ǐː r a t i
artikulisati	a r t i k ǔ l i s a t i
artiljerac	a r t i ʎ ěː r a t͡s
artiljerija	a r t i ʎ ě r i j a
artiljerijski	a r t i ʎ ě r iː j s k iː
artiljerski	a r t ǐ ʎ eː r s k iː
artiljerski	a r t ǐ ʎ eː r s k i
artist	ǎ r t i s t
artistički	a r t ǐ s t i t͡ʃ k iː
artistički	a r t ǐ s t i t͡ʃ k i
artritis	a r t r ǐ t i s
arzuhal	a r z ǔ x aː l
as	â s
asamski	ǎ s a m s k iː
aseptičan	a s ě p t i t͡ʃ a n
aseptički	a s ě p t i t͡ʃ k iː
asfalt	ǎ s f a l t
asfaltirati	a s f a l t ǐː r a t i
Asim	ǎː s i m
asimetričan	a s i m ě t r i t͡ʃ a n
asimetrija	a s i m ě t r i j a
asimilacija	a s i m i l ǎː t͡s i j a
asimilirati	a s i m i l ǐː r a t i
asimilovati	ǎ s i m i l o ʋ a t i
Asirac	a s ǐː r a t͡s
Asirija	a s ǐː r i j a
asirologija	a s i r o l ǒ ɡ i j a
asirski	ǎ s iː r s k iː
asistencija	a s i s t ě n t͡s i j a
asistent	a s ǐ s t e n t
asistirati	a s i s t ǐː r a t i
asketizam	a s k e t ǐ z a m
asocijacionizam	a s o t͡s i j a t͡s i o n ǐ z a m
asocijacizam	a s o t͡s i j a t͡s ǐ z a m
asocijalan	â s o t͡s i j aː l a n
asocirati	a s o t͡s ǐː r a t i
asonanca	a s ǒ n aː n t͡s a
asortiman	a s o r t ǐ m aː n
aspekat	ǎ s p e k a t
aspekt	ǎ s p e k t
aspirin	a s p ǐ r iː n
aspra	â s p r a
astal	ǎ s t aː l
asteroid	a s t e r ǒ iː d
astma	ǎ s t m a
astmatičan	a s t m ǎ t i t͡ʃ a n
astmatičar	a s t m ǎ t i t͡ʃ aː r
astralan	ǎ s t r aː l a n
astrobiologija	a s t r o b i o l ǒ ɡ i j a
astrofizičar	a s t r o f ǐ z i t͡ʃ aː r
astrofizika	a s t r o f ǐ z i k a
astrogeologija	a s t r o ɡ e o l ǒ ɡ i j a
astrolog	a s t r ǒ l o ɡ
astrologija	a s t r o l ǒ ɡ i j a
astrološki	a s t r ǒ l o ʃ k iː
astrološki	a s t r ǒ l o ʃ k i
astronaut	a s t r o n ǎ u t
astronautika	a s t r o n a ǔ t i k a
astronomija	a s t r o n ǒ m i j a
astronomijski	a s t r o n ǒ m iː j s k iː
astronomski	a s t r ǒ n o m s k iː
Asturija	ǎ s t uː r i j a
Asturijac	a s t ǔ r iː j a t͡s
asturijski	ǎ s t uː r iː j s k iː
Asuan	ǎ s u a n
aščija	ǎ ʃ t͡ʃ i j a
ašenbeher	ǎ ʃ e n b e x e r
ašigdžija	a ʃ ǐ ɡ d͡ʒ i j a
ašik	ǎ ʃ i k
ašiklija	a ʃ ǐ k l i j a
ašikluk	a ʃ ǐ k l u k
ašikovati	ǎ ʃ i k o ʋ a t i
ataman	a t ǎ m aː n
atar	â t aː r
ateist	a t ě i s t
ateizam	a t e ǐ z a m
Atena	a t ěː n a
atentat	a t ě n t aː t
atentator	a t ě n t aː t o r
aterirati	a t e r ǐː r a t i
atički	ǎ t i t͡ʃ k iː
Atina	a t ǐː n a
Atlanta	a t l ǎ n t a
Atlantida	a t l a n t ǐː d a
Atlantik	a t l ǎ n t i k
atlantski	ǎ t l a n t s k iː
atlet	ǎ t l eː t
atleta	a t l ěː t a
atletičar	a t l ě t i t͡ʃ aː r
atletičarka	a t l ě t i t͡ʃ aː r k a
atletika	a t l ě t i k a
atletski	ǎ t l eː t s k iː
atmosfera	a t m o s f ěː r a
atom	ǎ t oː m
atomizacija	a t o m i z ǎː t͡s i j a
atomizirati	a t o m i z ǐː r a t i
atomski	ǎ t oː m s k iː
atonalan	â t o n aː l a n
atrakcija	a t r ǎ k t͡s i j a
atraktivan	â t r a k t iː ʋ a n
atribut	a t r ǐ b uː t
atrofija	a t r ǒ f i j a
audicija	a u d ǐː t͡s i j a
audiolog	a u d i ǒ l o ɡ
audiologija	a u d i o l ǒ ɡ i j a
augmentativ	ǎ u ɡ m e n t a t iː ʋ
aukcija	a ǔ k t͡s i j a
aureola	a u r ě o l a
Australac	a u s t r ǎː l a t͡s
Australija	a ǔ s t r aː l i j a
Australijanac	a u s t r a l i j ǎː n a t͡s
australijanski	a u s t r a l ǐ j aː n s k iː
australijski	a ǔ s t r aː l iː j s k iː
australski	a ǔ s t r aː l s k iː
australski	a ǔ s t r aː l s k i
Austrija	a ǔ s t r i j a
Austrija	ǎ u s t r i j a
Austrijanac	a u s t r i j ǎː n a t͡s
austrijanski	a u s t r ǐ j aː n s k iː
austrijski	a ǔ s t r iː j s k iː
austrijski	ǎ u s t r iː j s k iː
austrijski	a ǔ s t r iː j s k i
austrijski	ǎ u s t r iː j s k i
austrougarski	a u s t r o ǔ ɡ a r s k iː
austrougarski	a u s t r o ǔ ɡ a r s k i
autarhija	a u t ǎ r x i j a
autarkija	a u t ǎ r k i j a
autentičan	a u t ě n t i t͡ʃ a n
autentičnost	a u t ě n t i t͡ʃ n oː s t
autizam	a u t ǐ z a m
auto	ǎ u t o
autobiografski	a u t o b i ǒ ɡ r a f s k iː
autobiografski	a u t o b i ǒ ɡ r a f s k i
autobus	a u t ǒː b u s
autobusni	a u t ǒː b u s n iː
autocesta	a u t o t͡s ě s t a
autodidakt	a u t o d ǐ d a k t
autohton	a u t ǒ x t o n
autokefalan	a u t o k ě f aː l a n
autokracija	a u t o k r ǎ t͡s i j a
autokrat	a u t ǒ k r aː t
automat	a u t ǒ m aː t
automatski	a u t ǒ m a t s k iː
automatski	a u t ǒ m a t s k i
automehaničar	a u t o m e x ǎ n i t͡ʃ aː r
automobil	a u t o m ǒ b iː l
automobilist	a u t o m o b ǐ l i s t
automobilistički	a u t o m o b i l ǐ s t i t͡ʃ k iː
automobilistički	a u t o m o b i l ǐ s t i t͡ʃ k i
automobilski	a u t o m ǒ b i l s k iː
autonoman	ǎ u t o n oː m a n
autonomaš	a u t o n ǒ m aː ʃ
autonomaški	a u t o n ǒ m aː ʃ k iː
autonomaški	a u t o n ǒ m aː ʃ k i
autonomaštvo	a u t o n o m ǎː ʃ t ʋ o
autonomija	a u t o n ǒ m i j a
autonomist	a u t o n ǒ m i s t
autonomistički	a u t o n o m ǐ s t i t͡ʃ k iː
autonomistički	a u t o n o m ǐ s t i t͡ʃ k i
autoportret	a u t o p ǒ r t r eː t
autopraonica	a u t o p r a ǒː n i t͡s a
autopsija	a u t ǒ p s i j a
autoput	ǎ u t o p uː t
autor	ǎ u t o r
autorica	ǎ u t o r i t͡s a
autoritaran	â u t o r i t aː r a n
autoritarnost	a u t o r i t ǎː r n oː s t
autoritativan	â u t o r i t a t iː ʋ a n
autoritativno	â u t o r i t a t iː ʋ n o
autoritativnost	a u t o r i t a t ǐː ʋ n oː s t
autoritet	a u t o r ǐ t eː t
autorizacija	a u t o r i z ǎː t͡s i j a
autorizirati	a u t o r i z ǐː r a t i
autorizovati	a u t ǒ r i z o ʋ a t i
autorski	ǎ u t o r s k iː
autorski	ǎ u t o r s k i
autorstvo	a u t ǒː r s t ʋ o
autostop	ǎ u t o s t o p
autostopirati	a u t o s t o p ǐː r a t i
autostrada	ǎ u t o s t r aː d a
autosugestija	a u t o s u ɡ ě s t i j a
autsajder	a u t s ǎ j d e r
autsajderski	a u t s ǎ j d e r s k iː
autsajderski	a u t s ǎ j d e r s k i
avaj	ǎ ʋ aː j
avangarda	ǎ ʋ a n ɡ aː r d a
avangardni	ǎ ʋ a n ɡ aː r d n iː
avans	ǎ ʋ a n s
avantura	a ʋ a n t ǔː r a
avanturist	a ʋ a n t ǔ r i s t
avanturistički	a ʋ a n t u r ǐ s t i t͡ʃ k iː
avanturistički	a ʋ a n t u r ǐ s t i t͡ʃ k i
avanzirati	a ʋ a n z ǐː r a t i
avarski	ǎ ʋ aː r s k iː
avatar	a ʋ ǎ t aː r
avaz	ǎ ʋ aː z
avdest	ǎ ʋ d e s t
Avdić	ǎ ʋ d i t͡ɕ
avenija	a v ěː n i j a
averzija	a ʋ ě r z i j a
avestički	a ʋ ě s t i t͡ʃ k iː
Avganistan	a ʋ ɡ a n ǐ s t aː n
avganistanski	a ʋ ɡ a n ǐ s t aː n s k iː
avijacija	a ʋ i j ǎː t͡s i j a
avijatičar	a ʋ i j ǎ t i t͡ʃ aː r
aviokompanija	a ʋ i o k o m p ǎ n i j a
avion	a ʋ ǐ oː n
avionski	a ʋ ǐ o n s k iː
avionski	a ʋ ǐ o n s k i
avioprevoznik	a ʋ i o p r ěː ʋ o z n iː k
avioprijevoznik	a ʋ i o p r i j ěː ʋ o z n iː k
avitaminoza	a ʋ i t a m i n ǒː z a
avlija	ǎ ʋ l i j a
avlija	a ʋ l i j a
avokado	a ʋ o k ǎː d o
azbest	ǎ z b e s t
azbučni	ǎ z b u t͡ʃ n iː
azbuka	ǎ z b u k a
Azerbajdžan	a z e r b ǎ j d͡ʒ aː n
Azerbajdžanac	a z e r b a j d͡ʒ ǎː n a t͡s
azerski	ǎ z e r s k iː
Azija	âː z i j a
Azijac	a z ǐː j a t͡s
azijatski	a z ǐ j a t s k iː
azijatski	a z ǐ j a t s k i
azijski	âː z iː j s k iː
azil	ǎ z iː l
azilant	a z ǐ l a n t
azilant	a z i l â n t
azilant	a z ǐ l a n t
azilantski	a z ǐ l a n t s k iː
azilantski	a z ǐ l a n t s k i
azimut	ǎ z i m u t
azorski	ǎ z o r s k iː
aztečki	ǎ z t e t͡ʃ k iː
Aztek	ǎ z t eː k
aždaha	a ʒ d ǎ x a
aždaja	a ʒ d ǎ j a
aždava	a ʒ d ǎ ʋ a
ažur	ǎ ʒ uː r
ažuran	â ʒ uː r a n
ažurirati	a ʒ u r ǐː r a t i
ažurirati	a ʒ u r ǐː r a t i
b	b
baba	b â b a
babaroga	b a b a r ǒː ɡ a
babetina	b a b ě t i n a
babica	b â b i t͡s a
Babić	b ǎ b i t͡ɕ
Babilon	b â b i l o n
Babilonija	b a b ǐ l oː n i j a
Babilonija	b a b i l ôː n i j a
babilonski	b â b i l oː n s k iː
babo	b ǎː b o
Babo	b ǎː b o
babun	b ǎ b uː n
babun	b ǎ b uː n
babuna	b ǎ b u n a
bacač	b ǎ t͡s aː t͡ʃ
bacačica	b a t͡s ǎ t͡ʃ i t͡s a
bacakati	b a t͡s ǎ k a t i
bacanje	b ǎ t͡s aː ɲ e
bacati	b ǎ t͡s a t i
bacil	b ǎ t͡s iː l
baciti	b ǎː t͡s i t i
bača	b a t͡ʃ a
Bačić	b â t͡ʃ i t͡ɕ
bačiti	b ǎː t͡ʃ i t i
Bačka	b âː t͡ʃ k aː
bački	b âː t͡ʃ k iː
bačva	b â t͡ʃ ʋ a
autohton	a u t ǒ x t o n
autokefalan	a u t o k ě f aː l a n
autokracija	a u t o k r ǎ t͡s i j a
autokrat	a u t ǒ k r aː t
automat	a u t ǒ m aː t
automatski	a u t ǒ m a t s k iː
automatski	a u t ǒ m a t s k i
automehaničar	a u t o m e x ǎ n i t͡ʃ aː r
automobil	a u t o m ǒ b iː l
automobilist	a u t o m o b ǐ l i s t
automobilistički	a u t o m o b i l ǐ s t i t͡ʃ k iː
automobilistički	a u t o m o b i l ǐ s t i t͡ʃ k i
automobilski	a u t o m ǒ b i l s k iː
autonoman	ǎ u t o n oː m a n
autonomaš	a u t o n ǒ m aː ʃ
autonomaški	a u t o n ǒ m aː ʃ k iː
autonomaški	a u t o n ǒ m aː ʃ k i
autonomaštvo	a u t o n o m ǎː ʃ t ʋ o
autonomija	a u t o n ǒ m i j a
autonomist	a u t o n ǒ m i s t
autonomistički	a u t o n o m ǐ s t i t͡ʃ k iː
autonomistički	a u t o n o m ǐ s t i t͡ʃ k i
autoportret	a u t o p ǒ r t r eː t
autopraonica	a u t o p r a ǒː n i t͡s a
autopsija	a u t ǒ p s i j a
autoput	ǎ u t o p uː t
autor	ǎ u t o r
autorica	ǎ u t o r i t͡s a
autoritaran	â u t o r i t aː r a n
autoritarnost	a u t o r i t ǎː r n oː s t
autoritativan	â u t o r i t a t iː ʋ a n
autoritativno	â u t o r i t a t iː ʋ n o
autoritativnost	a u t o r i t a t ǐː ʋ n oː s t
autoritet	a u t o r ǐ t eː t
autorizacija	a u t o r i z ǎː t͡s i j a
autorizirati	a u t o r i z ǐː r a t i
autorizovati	a u t ǒ r i z o ʋ a t i
autorski	ǎ u t o r s k iː
autorski	ǎ u t o r s k i
autorstvo	a u t ǒː r s t ʋ o
autostop	ǎ u t o s t o p
autostopirati	a u t o s t o p ǐː r a t i
autostrada	ǎ u t o s t r aː d a
autosugestija	a u t o s u ɡ ě s t i j a
autsajder	a u t s ǎ j d e r
autsajderski	a u t s ǎ j d e r s k iː
autsajderski	a u t s ǎ j d e r s k i
avaj	ǎ ʋ aː j
avangarda	ǎ ʋ a n ɡ aː r d a
avangardni	ǎ ʋ a n ɡ aː r d n iː
avans	ǎ ʋ a n s
avantura	a ʋ a n t ǔː r a
avanturist	a ʋ a n t ǔ r i s t
avanturistički	a ʋ a n t u r ǐ s t i t͡ʃ k iː
avanturistički	a ʋ a n t u r ǐ s t i t͡ʃ k i
avanzirati	a ʋ a n z ǐː r a t i
avarski	ǎ ʋ aː r s k iː
avatar	a ʋ ǎ t aː r
avaz	ǎ ʋ aː z
avdest	ǎ ʋ d e s t
Avdić	ǎ ʋ d i t͡ɕ
avenija	a v ěː n i j a
averzija	a ʋ ě r z i j a
avestički	a ʋ ě s t i t͡ʃ k iː
Avganistan	a ʋ ɡ a n ǐ s t aː n
avganistanski	a ʋ ɡ a n ǐ s t aː n s k iː
avijacija	a ʋ i j ǎː t͡s i j a
avijatičar	a ʋ i j ǎ t i t͡ʃ aː r
aviokompanija	a ʋ i o k o m p ǎ n i j a
avion	a ʋ ǐ oː n
avionski	a ʋ ǐ o n s k iː
avionski	a ʋ ǐ o n s k i
avioprevoznik	a ʋ i o p r ěː ʋ o z n iː k
avioprijevoznik	a ʋ i o p r i j ěː ʋ o z n iː k
avitaminoza	a ʋ i t a m i n ǒː z a
avlija	ǎ ʋ l i j a
avlija	a ʋ l i j a
avokado	a ʋ o k ǎː d o
azbest	ǎ z b e s t
azbučni	ǎ z b u t͡ʃ n iː
azbuka	ǎ z b u k a
Azerbajdžan	a z e r b ǎ j d͡ʒ aː n
Azerbajdžanac	a z e r b a j d͡ʒ ǎː n a t͡s
azerski	ǎ z e r s k iː
Azija	âː z i j a
Azijac	a z ǐː j a t͡s
azijatski	a z ǐ j a t s k iː
azijatski	a z ǐ j a t s k i
azijski	âː z iː j s k iː
azil	ǎ z iː l
azilant	a z ǐ l a n t
azilant	a z i l â n t
azilant	a z ǐ l a n t
azilantski	a z ǐ l a n t s k iː
azilantski	a z ǐ l a n t s k i
azimut	ǎ z i m u t
azorski	ǎ z o r s k iː
aztečki	ǎ z t e t͡ʃ k iː
Aztek	ǎ z t eː k
aždaha	a ʒ d ǎ x a
aždaja	a ʒ d ǎ j a
aždava	a ʒ d ǎ ʋ a
ažur	ǎ ʒ uː r
ažuran	â ʒ uː r a n
ažurirati	a ʒ u r ǐː r a t i
ažurirati	a ʒ u r ǐː r a t i
b	b
baba	b â b a
babaroga	b a b a r ǒː ɡ a
babetina	b a b ě t i n a
babica	b â b i t͡s a
Babić	b ǎ b i t͡ɕ
Babilon	b â b i l o n
Babilonija	b a b ǐ l oː n i j a
Babilonija	b a b i l ôː n i j a
babilonski	b â b i l oː n s k iː
babo	b ǎː b o
Babo	b ǎː b o
babun	b ǎ b uː n
babun	b ǎ b uː n
babuna	b ǎ b u n a
bacač	b ǎ t͡s aː t͡ʃ
bacačica	b a t͡s ǎ t͡ʃ i t͡s a
bacakati	b a t͡s ǎ k a t i
bacanje	b ǎ t͡s aː ɲ e
bacati	b ǎ t͡s a t i
bacil	b ǎ t͡s iː l
baciti	b ǎː t͡s i t i
bača	b a t͡ʃ a
Bačić	b â t͡ʃ i t͡ɕ
bačiti	b ǎː t͡ʃ i t i
Bačka	b âː t͡ʃ k aː
bački	b âː t͡ʃ k iː
bačva	b â t͡ʃ ʋ a
bačvar	b â t͡ʃ ʋ aː r
baća	b ǎː t͡ɕ a
badanj	b ǎ d a ɲ
badava	b a d ǎ ʋ a
badem	b ǎː d e m
Badnjak	b â d ɲ aː k
badnjak	b â d ɲ aː k
badža	b ǎ d͡ʒ a
badža	b ǎː d͡ʒ a
badža	b ǎː d͡ʒ a
badža	b ǎː d͡ʒ a
bađav	b a d͡ʑ a ʋ
bađava	b a d͡ʑ a ʋ a
bađava	b a d͡ʑ a ʋ a
Bagdad	b ǎ ɡ d aː d
bagdadski	b ǎ ɡ d a d s k iː
bager	b ǎː ɡ e r
bagrem	b ǎ ɡ r e m
bahat	b â x a t
bahatiti	b a x ǎ t i t i
bahato	b ǎ x a t o
bahatost	b ǎ x a t oː s t
bahoriti	b â x o r i t i
Bahrein	b ǎ x r e i n
bahreinski	b a x r e ǐ n s k iː
baht	b â x t
bajagi	b a j ǎ ɡ i
bajam	b ǎ j a m
bajan	b âː j a n
bajat	b ǎ j a t
bajati	b â j a t i
bajbok	b ǎ j b o k
bajbuk	b ǎ j b u k
bajer	b â j e r
bajer	b ǎ j e r
bajka	b âː j k a
bajonet	b a j ǒ n eː t
bajoneta	b a j o n ěː t a
bajoslovan	b â j o s l oː ʋ a n
bajrak	b ǎ j r a k
Bajram	b ǎ j r a m
bajramovati	b ǎ j r a m o ʋ a t i
bajs	b â j s
bajt	b â j t
bajta	b âː j t a
bajunet	b a j ǔ n eː t
bajuneta	b a j u n ěː t a
baka	b ǎː k a
bakalar	b a k ǎ l aː r
bakalin	b a k ǎ l iː n
bakalnica	b a k ǎː l n i t͡s a
bakar	b ǎ k a r
Bakar	b ǎ k a r
Bakić	b ǎ k i t͡ɕ
baklava	b a k l ǎ ʋ a
baklja	b â k ʎ a
bakljada	b a k ʎ ǎː d a
bakljonoša	b â k ʎ o n o ʃ a
bakrač	b ǎ k r aː t͡ʃ
bakren	b ǎ k r e n
bakrorez	b â k r o r eː z
bakšiš	b ǎ k ʃ i ʃ
baktati	b ǎ k t a t i
baktati	b ǎ k t a t i
bakterija	b ǎ k t eː r i j a
bakteriolog	b a k t e r i ǒ l o ɡ
bakteriologija	b a k t e r i o l ǒ ɡ i j a
bakteriološki	b a k t e r i ǒ l o ʃ k iː
Baku	b ǎ k u
bala	b â l a
bala	b â l a
balada	b a l ǎː d a
balanca	b ǎ l aː n t͡s a
balans	b ǎ l a n s
balansirati	b a l a n s ǐː r a t i
balast	b ǎ l a s t
balati	b ǎ l a t i
balav	b â l a ʋ
balavac	b â l a ʋ a t͡s
balavica	b â l a ʋ i t͡s a
balaviti	b â l a ʋ i t i
balčak	b ǎ l t͡ʃ a k
Baldo	b ǎː l d o
Balec	b a l e t͡s
balega	b â l e ɡ a
balega	b a l ěː ɡ a
balegati	b a l ě ɡ a t i
balerina	b a l e r ǐː n a
balet	b ǎ l eː t
