á	aː
bájka	b aː ɪ̯ k a
Bajko	b a ɪ̯ k ɔ
bajonet	b a j ɔ n e t
bajúz	b a j uː s
bajúza	b a j uː z a
Bajza	b a ɪ̯ z a
Baka	b a k a
bäkanie	b ɛ ɐ̯ k a ɲ ɪ̯ e
bäkanie	b e k a ɲ ɪ̯ e
Bako	b a k ɔ
Bakoš	b a k ɔ ʃ
baktéria	b a k t eː r i a
bakteriológia	b a k t e r i ɔ l ɔː ɡ i a
Baku	b a k u
bakuľa	b a k u ʎ a
bakuľa	b a k u l a
Bakuľa	b a k u ʎ a
Bakuľa	b a k u l a
bál	b aː l
Balabán	b a l a b aː n
baláchať	b a l aː x a c
Balaj	b a l a ɪ̯
Balák	b a l aː k
Balaš	b a l a ʃ
Balaško	b a l a ʃ k ɔ
Baláž	b a l aː ʃ
Balažovič	b a l a ʒ ɔ ʋ i t͡ʃ
Balažovjech	b a l a ʒ ɔ u̯ j e x
Balciar	b a l t͡s ɪ̯ a r
Balco	b a l t͡s ɔ
baldrián	b a l d r i aː n
bále	b aː ʎ e
bále	b aː l e
Balega	b a ʎ e ɡ a
Balega	b a l e ɡ a
Balej	b a ʎ e ɪ̯
Balej	b a l e ɪ̯
baleťák	b a ʎ e c aː k
baleťák	b a l e c aː k
Bali	b a ʎ i
Bali	b a l i
Baliga	b a ʎ i ɡ a
Baliga	b a l i ɡ a
Bálint	b aː ʎ i n t
Bálint	b aː l i n t
balistický	b a ʎ i s c i t͡s k iː
balistický	b a l i s c i t͡s k iː
baliť	b a ʎ i c
baliť	b a l i c
balkanizácia	b a l k a n i z aː t͡s i a
Balko	b a l k ɔ
balkón	b a l k ɔː n
Balla	b a lː a
Ballek	b a l ʎ e k
Ballek	b a lː e k
bálmi	b aː l m i
balneológia	b a l n e ɔ l ɔː ɡ i a
Baľo	b a ʎ ɔ
Baľo	b a l ɔ
báloch	b aː l ɔ x
Balog	b a l ɔ k
Balogh	b a l ɔ k x
balón	b a l ɔː n
Baltazár	b a l t a z aː r
bálu	b aː l u
Balúch	b a l uː x
Balvín	b a l ʋ iː n
bály	b aː l i
balzamovať	b a l z a m ɔ ʋ a c
Bamako	b a m a k ɔ
bambus	b a m b u s
báň	b aː ɲ
baňa	b a ɲ a
Banáš	b a n aː ʃ
Bangkok	b a ŋ k ɔ k
Bangladéš	b a ŋ ɡ l a d eː ʃ
Bangladéšan	b a ŋ ɡ l a d eː ʃ a n
Bangladéšanka	b a ŋ ɡ l a d eː ʃ a ŋ k a
Bango	b a ŋ ɡ ɔ
Bangui	b a ŋ ɡ i
baníčka	b a ɲ iː t͡ʃ k a
baník	b a ɲ iː k
Baník	b a ɲ iː k
Banínec	b a ɲ iː ɲ e t͡s
Banjul	b a n d͡ʒ u l
banka	b a ŋ k a
bankár	b a ŋ k aː r
bankársky	b a ŋ k aː r s k i
bankomat	b a ŋ k ɔ m a t
bankovka	b a ŋ k ɔ u̯ k a
bankrotovať	b a ŋ k r ɔ t ɔ ʋ a c
Bánsky	b aː n s k i
Bánsky	b aː n̠ s k i
baptista	b a p t i s t a
baptisti	b a p t i s c i
baptistka	b a p c i s t k a
Bara	b a r a
Barák	b a r aː k
baran	b a r a n
Baran	b a r a n
baranček	b a r a n t͡ʃ e k
barančeka	b a r a n t͡ʃ e k a
barančeky	b a r a n t͡ʃ e k i
baraní	b a r a ɲ iː
Baranovič	b a r a n ɔ ʋ i t͡ʃ
Baráth	b a r aː t
Barbados	b a r b a d ɔ s
Barbara	b a r b a r a
barbarizácia	b a r b a r i z aː t͡s i a
barbarizmus	b a r b a r i z m u s
barbarizovať	b a r b a r i z ɔ ʋ a c
barbarský	b a r b a r s k iː
Barbora	b a r b ɔ r a
Barborík	b a r b ɔ r iː k
Bardejov	b a r ɟ e j ɔ u̯
Bari	b a r i
Bariak	b a r ɪ̯ a k
barikáda	b a r i k aː d a
barikádovať	b a r i k aː d ɔ ʋ a c
barina	b a r i n a
barinka	b a r i ŋ k a
bárium	b aː r i u m
Barkus	b a r k u s
barmanský	b a r m a n s k iː
barmanský	b a r m a n̠ s k iː
barmčina	b a r m t͡ʃ i n a
Barnák	b a r n aː k
barok	b a r ɔ k
barometer	b a r ɔ m e c e r
Barta	b a r t a
Bárta	b aː r t a
Bartakovič	b a r t a k ɔ ʋ i t͡ʃ
Bartek	b a r c e k
Bártfai	b aː r t f a i
Bartko	b a r t k ɔ
Bartl	b a r t l̩
Bartolák	b a r t ɔ l aː k
Bartoš	b a r t ɔ ʃ
Bartovic	b a r t ɔ ʋ i t͡s
barytón	b a r i t ɔː n
Baša	b a ʃ a
báseň	b aː s e ɲ
basista	b a s i s t a
basistka	b a s i s t k a
basketbal	b a s k e d b a l
basketbalista	b a s k e d b a l i s t a
basketbalistka	b a s k e d b a ʎ i s t k a
basketbalistka	b a s k e d b a l i s t k a
baškirčina	b a ʃ k i r t͡ʃ i n a
básnička	b aː s ɲ i t͡ʃ k a
básnik	b aː s ɲ i k
Bašo	b a ʃ ɔ
Basseterre	b a s t eː r
bášt	b aː ʃ t
bašta	b a ʃ t a
báť	b aː c
Baťala	b a c a l a
batalión	b a t a ʎ i ɔː n
batalión	b a t a l i ɔː n
batéria	b a t eː r i a
baterka	b a t e r k a
baterkový	b a c e r k ɔ ʋ iː
Baťo	b a c ɔ
batyskaf	b a t i s k a f
Bauco	b a u t͡s ɔ
Baudyš	b a u d i ʃ
Bauer	b a u e r
Bauko	b a u k ɔ
bauxit	b a u k s i t
Bavko	b a u̯ k ɔ
bavlna	b a ʋ l̩ n a
Bavorsko	b a ʋ ɔ r s k ɔ
bažant	b a ʒ a n t
bažantík	b a ʒ a n c iː k
bažantnica	b a ʒ a n t ɲ i t͡s a
bažantnice	b a ʒ a n t ɲ i t͡s e
bázeň	b aː z e ɲ
Bazilej	b a z i ʎ e ɪ̯
Bazilej	b a z i l e ɪ̯
Beáta	b e aː t a
beatifikácia	b e a t i f i k aː t͡s i a
beatifikovať	b e a c i f i k ɔ ʋ a c
Beátka	b e aː t k a
Bebčák	b e p t͡ʃ aː k
Bebrava	b e b r a ʋ a
Bečák	b e t͡ʃ aː k
Bechná	b e x n aː
Bechný	b e x n iː
bedľa	b e d ʎ a
bedľa	b e d l a
bedľami	b e d ʎ a m i
bedľami	b e d l a m i
bedle	b e d ʎ e
bedle	b e d l e
bedlí	b e d ʎ iː
bedlí	b e d l iː
bedliach	b e d ʎ ɪ̯ a x
bedliach	b e d l ɪ̯ a x
bedľou	b e d ʎ ɔ u̯
bedľou	b e d l ɔ u̯
bedmintonista	b e d m i n t ɔ n i s t a
bedmintonistka	b e d m i n t ɔ ɲ i s t k a
bedňa	b e d ɲ a
Bednár	b e d n aː r
bedrá	b e d r aː
bedrách	b e d r aː x
bedrám	b e d r aː m
bedrami	b e d r a m i
bedro	b e d r ɔ
bedrovník	b e d r ɔ u̯ ɲ iː k
bedrovník	b e d r ɔ ʋ ɲ iː k
Begala	b e ɡ a l a
beh	b e x
behá	b e ɦ aː
behaj	b e ɦ a ɪ̯
behajme	b e ɦ a ɪ̯ m e
behajte	b e ɦ a ɪ̯ c e
behajú	b e ɦ a j uː
behajúc	b e ɦ a j uː t͡s
behajúci	b e ɦ a j uː t͡s i
behám	b e ɦ aː m
Behan	b e ɦ a n
Behán	b e ɦ aː n
behanie	b e ɦ a ɲ ɪ̯ e
behať	b e ɦ a c
behaviorizmus	b e ɦ a ʋ i ɔ r i z m u s
behaviorizmus	b i ɦ e ɪ̯ ʋ i ɔ r i z m u s
Behún	b e ɦ uː n
behúň	b e ɦ uː ɲ
Behúň	b e ɦ uː ɲ
Behýl	b e ɦ iː l
Bejrút	b e ɪ̯ r uː t
Bekeš	b e k e ʃ
beľ	b e ʎ
beľ	b e l
beladona	b e l a d ɔ n a
Belaj	b e l a ɪ̯
Belaník	b e l a ɲ iː k
belasý	b e l a s iː
belavý	b e l a ʋ iː
Belehrad	b e ʎ e ɦ r a t
Belehrad	b e l e ɦ r a t
Beleš	b e ʎ e ʃ
Beleš	b e l e ʃ
Belfast	b e l f a s t
Belgičan	b e l ɡ i t͡ʃ a n
Belgičanka	b e l ɡ i t͡ʃ a ŋ k a
Belgicko	b e l ɡ i t͡s k ɔ
Belica	b e ʎ i t͡s a
Belica	b e l i t͡s a
Belko	b e l k ɔ
Belmopan	b e l m ɔ p a n
belší	b e l ʃ iː
Bena	b e n a
Beňa	b e ɲ a
Beňadik	b e ɲ a d i k
Benátky	b e n aː t k i
Benčať	b e n t͡ʃ a c
Benčík	b e n t͡ʃ iː k
Benda	b e n d a
Beneš	b e n e ʃ
bengálčina	b e ŋ ɡ aː l t͡ʃ i n a
Benin	b e ɲ i n
Benko	b e ŋ k ɔ
Benkovič	b e ŋ k ɔ ʋ i t͡ʃ
Beňo	b e ɲ ɔ
Beňuš	b e ɲ u ʃ
Beňuška	b e ɲ u ʃ k a
benzín	b e n z iː n
benzín	b e n̠ z iː n
benzínový	b e n z iː n ɔ ʋ iː
benzínový	b e n̠ z iː n ɔ ʋ iː
Beran	b e r a n
Beránek	b e r aː n e k
Berho	b e r ɦ ɔ
Berko	b e r k ɔ
Berlín	b e r ʎ iː n
Berlín	b e r l iː n
Berlínčan	b e r ʎ iː n t͡ʃ a n
Berlínčan	b e r l iː n t͡ʃ a n
Berlínčanka	b e r ʎ iː n t͡ʃ a ŋ k a
Berlínčanka	b e r l iː n t͡ʃ a ŋ k a
Bermudy	b e r m u d i
Bern	b e r n
Bernát	b e r n aː t
Bernolák	b e r n ɔ l aː k
bernolákovčina	b e r n ɔ l aː k ɔ u̯ t͡ʃ i n a
Bero	b e r ɔ
Berta	b e r t a
beryl	b e r i l
berýlium	b e r iː l i u m
beseda	b e s e d a
Beseda	b e s e d a
besnota	b e s n ɔ t a
beštiálny	b e ʃ c i aː l n i
bestseller	b e s t͡sː e ʎ e r
bestseller	b e s t͡sː e l e r
beta	b e t a
Beták	b e t aː k
beťár	b e c aː r
beťárka	b e c aː r k a
Betlehem	b e t ʎ e ɦ e m
Betlehem	b e t l e ɦ e m
betlehem	b e t l e ɦ e m
betón	b e t ɔː n
betónovať	b e t ɔː n ɔ ʋ a c
Bezák	b e z aː k
bezbranný	b e z b r a nː iː
bezcennosť	b e s t͡s e nː ɔ s c
bezcenný	b e s t͡s e nː iː
bezcestný	b e s t͡s e s t n iː
bezchybne	b e s x i b ɲ e
bezchybnosť	b e s x i b n ɔ s c
bezchybný	b e s x i b n iː
bezcolný	b e s t͡s ɔ l n iː
bezdetnosť	b e z ɟ e t n ɔ s c
bezdetný	b e z ɟ e t n iː
bežec	b e ʒ e t͡s
bežecký	b e ʒ e t͡s k iː
Bezek	b e z e k
bezfarebnosť	b e s f a r e b n ɔ s c
bezfarebný	b e s f a r e b n iː
bezhriešnosť	b e z ɦ r ɪ̯ e ʃ n ɔ s c
bezhriešny	b e z ɦ r ɪ̯ e ʃ n i
bezideový	b e z i ɟ e ɔ ʋ iː
bezkrvne	b e s k r̩ u̯ ɲ e
bezkrvne	b e s k r̩ ʋ ɲ e
bezkrvnosť	b e s k r̩ u̯ n ɔ s c
bezkrvnosť	b e s k r̩ ʋ n ɔ s c
bezkrvný	b e s k r̩ u̯ n iː
bezkrvný	b e s k r̩ ʋ n iː
bežkyňa	b e ʃ k i ɲ a
bezmenný	b e z m e nː iː
bezmocný	b e z m ɔ t͡s n iː
beznádej	b e z n aː ɟ e ɪ̯
beznohý	b e z n ɔ ɦ iː
bežný	b e ʒ n iː
bezrohý	b e z r ɔ ɦ iː
bezženstvo	b e z ʒ e n s t ʋ ɔ
bezženstvo	b e z ʒ e n̠ s t ʋ ɔ
bezzubosť	b e zː u b ɔ s c
bezzubý	b e zː u b iː
Bhután	b ɦ u t aː n
bi	b i
Bianka	b ɪ̯ a ŋ k a
biatlon	b i a t l ɔ n
biatlonista	b i a t l ɔ n i s t a
biatlonový	b i a t l ɔ n ɔ ʋ iː
Bibiána	b i b i aː n a
bibliofília	b i b l i ɔ f iː l i a
bibliografia	b i b l i ɔ ɡ r a f i a
bič	b i t͡ʃ
Bič	b i t͡ʃ
Bičan	b i t͡ʃ a n
Bicek	b i t͡s e k
bičík	b i t͡ʃ iː k
bicykel	b i t͡s i k e l
bicyklovať	b i t͡s i k l ɔ ʋ a c
bidet	b i d e t
bidetový	b i ɟ e t ɔ ʋ iː
bidlo	b i d l ɔ
biedny	b ɪ̯ e d n i
biela	b ɪ̯ e l a
Biela	b ɪ̯ e l a
biele	b ɪ̯ e l e
bielej	b ɪ̯ e ʎ e ɪ̯
bielej	b ɪ̯ e l e ɪ̯
bieli	b ɪ̯ e l i
Bielik	b ɪ̯ e ʎ i k
Bielik	b ɪ̯ e l i k
bielizeň	b ɪ̯ e ʎ i z e ɲ
bielizeň	b ɪ̯ e l i z e ɲ
bielizník	b ɪ̯ e ʎ i z ɲ iː k
bielizník	b ɪ̯ e l i z ɲ iː k
bielizníka	b ɪ̯ e ʎ i z ɲ iː k a
bielizníka	b ɪ̯ e l i z ɲ iː k a
bielkovina	b ɪ̯ e l k ɔ ʋ i n a
bielok	b ɪ̯ e l ɔ k
bielokrvnosť	b ɪ̯ e l ɔ k r̩ u̯ n ɔ s c
bielokrvnosť	b ɪ̯ e l ɔ k r̩ ʋ n ɔ s c
Bielorusko	b ɪ̯ e l ɔ r u s k ɔ
bieloruský	b ɪ̯ e l ɔ r u s k iː
bieloruština	b ɪ̯ e l ɔ r u ʃ c i n a
bielou	b ɪ̯ e l ɔ u̯
bielu	b ɪ̯ e l u
biely	b ɪ̯ e l i
Biely	b ɪ̯ e l i
bifľoš	b i v ʎ ɔ ʃ
bifľoš	b i v l ɔ ʃ
bifurkácia	b i f u r k aː t͡s i a
Bihár	b i ɦ aː r
bije	b i j e
bijem	b i j e m
bijeme	b i j e m e
biješ	b i j e ʃ
bijete	b i j e c e
bijú	b i j uː
bijúc	b i j uː t͡s
bijúci	b i j uː t͡s i
bil	b i l
bila	b i l a
bilbord	b i l b ɔ r t
Bílek	b iː ʎ e k
Bílek	b iː l e k
bili	b i ʎ i
bili	b i l i
bilingválny	b i ʎ i ŋ ɡ ʋ aː l n i
bilingválny	b i l i ŋ ɡ ʋ aː l n i
bilión	b i ʎ i ɔː n
bilión	b i l i ɔː n
Bilko	b i l k ɔ
bilo	b i l ɔ
Bilský	b i l s k iː
bime	b i m e
Binčík	b i n t͡ʃ iː k
Binda	b i n d a
biochemický	b i ɔ x e m i t͡s k iː
biodiverzita	b i ɔ d i ʋ e r z i t a
biofyzika	b i ɔ f i z i k a
bioklimatológia	b i ɔ k l i m a t ɔ l ɔː ɡ i a
biológ	b i ɔ l ɔː k
biológia	b i ɔ l ɔː ɡ i a
biologičiek	b i ɔ l ɔ ɡ i t͡ʃ ɪ̯ e k
biologička	b i ɔ l ɔ ɡ i t͡ʃ k a
bioluminiscencia	b i ɔ l u m i n i s t͡s e n t͡s i a
biometeorológia	b i ɔ m e t e ɔ r ɔ l ɔː ɡ i a
biotechnológia	b i ɔ t e x n ɔ l ɔː ɡ i a
bipolárny	b i p ɔ l aː r n i
Birčák	b i r t͡ʃ aː k
Bíreš	b iː r e ʃ
birmovka	b i r m ɔ u̯ k a
Biro	b i r ɔ
Bíro	b iː r ɔ
Biroš	b i r ɔ ʃ
Biškek	b i ʃ k e k
biskup	b i s k u p
Biskup	b i s k u p
biskupský	b i s k u p s k iː
bislama	b i s l a m a
Bissau	b i sː a u
biť	b i c
bite	b i c e
bitie	b i c ɪ̯ e
bitka	b i t k a
bitý	b i t iː
Bízik	b iː z i k
bizmut	b i z m u t
biznismen	b i z n i s m e n
Bláha	b l aː ɦ a
Blaho	b l a ɦ ɔ
Blahota	b l a ɦ ɔ t a
Blahušiak	b l a ɦ u ʃ ɪ̯ a k
Blahút	b l a ɦ uː t
blamáž	b l a m aː ʃ
blán	b l aː n
blana	b l a n a
Blanár	b l a n aː r
blane	b l a ɲ e
Blanka	b l a ŋ k a
blanu	b l a n u
blany	b l a n i
Blaško	b l a ʃ k ɔ
Blaškovič	b l a ʃ k ɔ ʋ i t͡ʃ
Blatnický	b l a t ɲ i t͡s k iː
blatník	b l a t ɲ iː k
Blažej	b l a ʒ e ɪ̯
Blažek	b l a ʒ e k
Blažena	b l a ʒ e n a
bláznovský	b l aː z n ɔ u̯ s k iː
blázon	b l aː z ɔ n
blázonček	b l aː z ɔ n t͡ʃ e k
blázonka	b l aː z ɔ ŋ k a
blázonko	b l aː z ɔ ŋ k ɔ
blázonkovia	b l aː z ɔ ŋ k ɔ ʋ ɪ̯ a
blbaňa	b l̩ b a ɲ a
bĺch	b l̩ː x
blcha	b l̩ x a
Blcha	b l̩ x a
blchou	b l̩ x ɔ u̯
blchu	b l̩ x u
blchy	b l̩ x i
Blecha	b ʎ e x a
Blecha	b l e x a
bledokrvnosť	b ʎ e d ɔ k r̩ u̯ n ɔ s c
bledokrvnosť	b ʎ e d ɔ k r̩ ʋ n ɔ s c
bledokrvnosť	b l e d ɔ k r̩ u̯ n ɔ s c
bledokrvnosť	b l e d ɔ k r̩ ʋ n ɔ s c
bledý	b ʎ e d iː
bledý	b l e d iː
blen	b ʎ e n
blen	b l e n
blenový	b ʎ e n ɔ ʋ iː
blenový	b l e n ɔ ʋ iː
blesk	b ʎ e s k
blesk	b l e s k
Blicha	b ʎ i x a
Blicha	b l i x a
blízki	b ʎ iː s k i
blízki	b l iː s k i
blízkosť	b ʎ iː s k ɔ s c
blízkosť	b l iː s k ɔ s c
blízky	b ʎ iː s k i
blízky	b l iː s k i
Bliznák	b ʎ i z n aː k
Bliznák	b l i z n aː k
bližší	b ʎ i ʃː iː
bližší	b l i ʃː iː
blog	b l ɔ k
blokáda	b l ɔ k aː d a
blokovať	b l ɔ k ɔ ʋ a c
blokuje	b l ɔ k u j e
blokujú	b l ɔ k u j uː
blška	b l̩ ʃ k a
Blšťák	b l̩ ʃ c aː k
blud	b l u t
blude	b l u ɟ e
bludisko	b l u ɟ i s k ɔ
blúdiť	b l uː ɟ i c
bludmi	b l u d m i
bludoch	b l u d ɔ x
bludom	b l u d ɔ m
bludov	b l u d ɔ u̯
bludu	b l u d u
bludy	b l u d i
blúza	b l uː z a
Bobák	b ɔ b aː k
Bobček	b ɔ p t͡ʃ e k
Bobka	b ɔ p k a
Bobok	b ɔ b ɔ k
bobona	b ɔ b ɔ n a
bobor	b ɔ b ɔ r
Bobor	b ɔ b ɔ r
bobrica	b ɔ b r i t͡s a
bobrík	b ɔ b r iː k
Bobrovník	b ɔ b r ɔ u̯ ɲ iː k
Bobrovník	b ɔ b r ɔ ʋ ɲ iː k
bobrový	b ɔ b r ɔ ʋ iː
Bobuľa	b ɔ b u ʎ a
Bobuľa	b ɔ b u l a
Bochnovič	b ɔ x n ɔ ʋ i t͡ʃ
bocian	b ɔ t͡s ɪ̯ a n
bočka	b ɔ t͡ʃ k a
bočnica	b ɔ t͡ʃ ɲ i t͡s a
Boda	b ɔ d a
bodka	b ɔ t k a
bodkočiarka	b ɔ t k ɔ t͡ʃ ɪ̯ a r k a
bodla	b ɔ d l a
bodli	b ɔ d ʎ i
bodli	b ɔ d l i
bodliak	b ɔ d ʎ ɪ̯ a k
bodliak	b ɔ d l ɪ̯ a k
Bodnár	b ɔ d n aː r
bodne	b ɔ d ɲ e
bodnem	b ɔ d ɲ e m
bodneme	b ɔ d ɲ e m e
bodneš	b ɔ d ɲ e ʃ
bodnete	b ɔ d ɲ e c e
bodnú	b ɔ d n uː
bodnutie	b ɔ d n u c ɪ̯ e
Boďo	b ɔ ɟ ɔ
bodol	b ɔ d ɔ l
Bodrog	b ɔ d r ɔ k
Bodva	b ɔ d ʋ a
body	b ɔ d i
bodyček	b ɔ d i t͡ʃ e k
Bodzík	b ɔ d͡z iː k
Bogár	b ɔ ɡ aː r
Bogdan	b ɔ ɡ d a n
bogomil	b ɔ ɡ ɔ m i l
Bogota	b ɔ ɡ ɔ t a
boh	b ɔ x
boha	b ɔ ɦ a
boháč	b ɔ ɦ aː t͡ʃ
Boháček	b ɔ ɦ aː t͡ʃ e k
boháčsky	b ɔ ɦ aː t͡ʃ s k i
bohaté	b ɔ ɦ a t eː
bohatej	b ɔ ɦ a c e ɪ̯
bohatom	b ɔ ɦ a t ɔ m
bohatú	b ɔ ɦ a t uː
bohatý	b ɔ ɦ a t iː
Bohdana	b ɔ ɦ d a n a
Böhm	b ø ɦ m
bohmi	b ɔ ɦ m i
Böhmová	b ø ɦ m ɔ ʋ aː
bohoch	b ɔ ɦ ɔ x
bohom	b ɔ ɦ ɔ m
bohov	b ɔ ɦ ɔ u̯
bohovi	b ɔ ɦ ɔ ʋ i
bohovia	b ɔ ɦ ɔ ʋ ɪ̯ a
bohu	b ɔ ɦ u
Bohumil	b ɔ ɦ u m i l
Bohuš	b ɔ ɦ u ʃ
Bohuslava	b ɔ ɦ u s l a ʋ a
bohužiaľ	b ɔ ɦ u ʒ ɪ̯ a ʎ
bohužiaľ	b ɔ ɦ u ʒ ɪ̯ a l
bohyňa	b ɔ ɦ i ɲ a
boj	b ɔ ɪ̯
bojazlivosť	b ɔ j a z ʎ i ʋ ɔ s c
bojazlivosť	b ɔ j a z l i ʋ ɔ s c
bojazlivý	b ɔ j a z ʎ i ʋ iː
bojazlivý	b ɔ j a z l i ʋ iː
bojí	b ɔ j iː
bojím	b ɔ j iː m
bojíme	b ɔ j iː m e
bojíš	b ɔ j iː ʃ
bojisko	b ɔ j i s k ɔ
bojkotovanie	b ɔ ɪ̯ k ɔ t ɔ ʋ a ɲ ɪ̯ e
bojkotovať	b ɔ ɪ̯ k ɔ t ɔ ʋ a c
bojovať	b ɔ j ɔ ʋ a c
bojovnícky	b ɔ j ɔ u̯ ɲ iː t͡s k i
bojovnícky	b ɔ j ɔ ʋ ɲ iː t͡s k i
bojovník	b ɔ j ɔ u̯ ɲ iː k
bojovník	b ɔ j ɔ ʋ ɲ iː k
Bojtár	b ɔ ɪ̯ t aː r
bojuje	b ɔ j u j e
bojujem	b ɔ j u j e m
bojujeme	b ɔ j u j e m e
bojuješ	b ɔ j u j e ʃ
bojujete	b ɔ j u j e c e
bojujú	b ɔ j u j uː
bol	b ɔ l
bôľ	b u̯ ɔ ʎ
bôľ	b u̯ ɔ l
bola	b ɔ l a
Boldiš	b ɔ l ɟ i ʃ
Bolebruch	b ɔ ʎ e b r u x
Bolebruch	b ɔ l e b r u x
Boledovič	b ɔ ʎ e d ɔ ʋ i t͡ʃ
Boledovič	b ɔ l e d ɔ ʋ i t͡ʃ
Bolehradský	b ɔ ʎ e ɦ r a t͡s k iː
Bolehradský	b ɔ l e ɦ r a t͡s k iː
bolesť	b ɔ ʎ e s c
bolesť	b ɔ l e s c
Bolgáč	b ɔ l ɡ aː t͡ʃ
boli	b ɔ ʎ i
boli	b ɔ l i
bolí	b ɔ ʎ iː
bolí	b ɔ l iː
bôli	b u̯ ɔ ʎ i
bôli	b u̯ ɔ l i
bolieť	b ɔ ʎ ɪ̯ e c
bolieť	b ɔ l ɪ̯ e c
Bolívia	b ɔ l iː ʋ i a
Bolívie	b ɔ l iː ʋ i e
bôľna	b u̯ ɔ ʎ n a
bôľna	b u̯ ɔ l n a
bôľne	b u̯ ɔ ʎ ɲ e
bôľne	b u̯ ɔ l ɲ e
bôľni	b u̯ ɔ ʎ ɲ i
bôľni	b u̯ ɔ l ɲ i
bôľnu	b u̯ ɔ ʎ n u
bôľnu	b u̯ ɔ l n u
bôľny	b u̯ ɔ ʎ n i
bôľny	b u̯ ɔ l n i
bolo	b ɔ l ɔ
bôľom	b u̯ ɔ ʎ ɔ m
bôľom	b u̯ ɔ l ɔ m
boľševička	b ɔ ʎ ʃ e ʋ i t͡ʃ k a
boľševička	b ɔ l ʃ e ʋ i t͡ʃ k a
boľševický	b ɔ ʎ ʃ e ʋ i t͡s k iː
boľševický	b ɔ l ʃ e ʋ i t͡s k iː
boľševik	b ɔ ʎ ʃ e ʋ i k
boľševik	b ɔ l ʃ e ʋ i k
boľševizmu	b ɔ ʎ ʃ e ʋ i z m u
boľševizmu	b ɔ l ʃ e ʋ i z m u
boľševizmus	b ɔ ʎ ʃ e ʋ i z m u s
boľševizmus	b ɔ l ʃ e ʋ i z m u s
boľševizovať	b ɔ ʎ ʃ e ʋ i z ɔ ʋ a c
boľševizovať	b ɔ l ʃ e ʋ i z ɔ ʋ a c
bôľu	b u̯ ɔ ʎ u
bôľu	b u̯ ɔ l u
bomba	b ɔ m b a
bombardoval	b ɔ m b a r d ɔ ʋ a l
bombardovania	b ɔ m b a r d ɔ ʋ a ɲ ɪ̯ a
bombardovanie	b ɔ m b a r d ɔ ʋ a ɲ ɪ̯ e
bombarduje	b ɔ m b a r d u j e
bombardujú	b ɔ m b a r d u j uː
bombasticky	b ɔ m b a s c i t͡s k i
bombastický	b ɔ m b a s c i t͡s k iː
Bombík	b ɔ m b iː k
bonbón	b ɔ m b ɔː n
Bončik	b ɔ n t͡ʃ i k
Bondra	b ɔ n d r a
Bonec	b ɔ ɲ e t͡s
Bonifác	b ɔ ɲ i f aː t͡s
Boňko	b ɔ ɲ k ɔ
Bordáč	b ɔ r d aː t͡ʃ
bordel	b ɔ r d e l
bordelár	b ɔ r d e l aː r
bordelárka	b ɔ r ɟ e l aː r k a
boreálny	b ɔ r e aː l n i
borec	b ɔ r e t͡s
Borecká	b ɔ r e t͡s k aː
Borecký	b ɔ r e t͡s k iː
Borguľa	b ɔ r ɡ u ʎ a
Borguľa	b ɔ r ɡ u l a
Borík	b ɔ r iː k
Bôrik	b u̯ ɔ r i k
boril	b ɔ r i l
Boroš	b ɔ r ɔ ʃ
borovčiak	b ɔ r ɔ u̯ t͡ʃ ɪ̯ a k
borovička	b ɔ r ɔ ʋ i t͡ʃ k a
borovicový	b ɔ r ɔ ʋ i t͡s ɔ ʋ iː
Borovka	b ɔ r ɔ u̯ k a
Borovská	b ɔ r ɔ u̯ s k aː
Borovský	b ɔ r ɔ u̯ s k iː
boršč	b ɔ r ʃ t͡ʃ
Bosák	b ɔ s aː k
Bošák	b ɔ ʃ aː k
Boška	b ɔ ʃ k a
Boško	b ɔ ʃ k ɔ
bosniacky	b ɔ s ɲ ɪ̯ a t͡s k i
bosniak	b ɔ s ɲ ɪ̯ a k
bosniansky	b ɔ s ɲ ɪ̯ a n s k i
bosniansky	b ɔ s ɲ ɪ̯ a n̠ s k i
bosorák	b ɔ s ɔ r aː k
bosorka	b ɔ s ɔ r k a
Boston	b ɔ s t ɔ n
bosý	b ɔ s iː
Bot	b ɔ t
botanicky	b ɔ t a ɲ i t͡s k i
botanický	b ɔ t a ɲ i t͡s k iː
botanika	b ɔ t a n i k a
botanikou	b ɔ t a ɲ i k ɔ u̯
botaniku	b ɔ t a ɲ i k u
Botek	b ɔ c e k
Botík	b ɔ c iː k
Botka	b ɔ t k a
Botková	b ɔ t k ɔ ʋ aː
Botlík	b ɔ t ʎ iː k
Botlík	b ɔ t l iː k
Botová	b ɔ t ɔ ʋ aː
boxuje	b ɔ k s u j e
boxujem	b ɔ k s u j e m
boxujeme	b ɔ k s u j e m e
boxuješ	b ɔ k s u j e ʃ
boxujete	b ɔ k s u j e c e
boxujú	b ɔ k s u j uː
Božek	b ɔ ʒ e k
Božena	b ɔ ʒ e n a
Boženík	b ɔ ʒ e ɲ iː k
Božica	b ɔ ʒ i t͡s a
Božidara	b ɔ ʒ i d a r a
bozk	b ɔ s k
božstvo	b ɔ ʃ s t ʋ ɔ
božtek	b ɔ ʃ c e k
braček	b r a t͡ʃ e k
Brachna	b r a x n a
brada	b r a d a
bradáň	b r a d aː ɲ
bradáňa	b r a d aː ɲ a
bradatý	b r a d a t iː
bradavica	b r a d a ʋ i t͡s a
bradavka	b r a d a u̯ k a
brál	b r aː l
