aachen	ɑː k eː n
tjuring	² ɕ ʉ̟ː r ɪ ŋ
tjusa	² ɕ ʉː s a
tjuta	² ɕ ʉː t a
tjuv	ɕ ʉː v
tjuvsena	ɕ ʉ v s eː n a
tjänare	² ɕ ɛː n a r ɛ
tjänare	ɛ n ² ɕ eː n a r ɛ
tjänare	t͡ɕ eː n ɑ r e
tjänixen	ɕ ɛ n ɪ k s ɛ n
tjära	ɕ ɛː r a
tjärn	ɕ ɛː r n
tjôta	² ɕ œː t a
tjöta	² ɕ œː t a
toa	² t uː a
toalett	t uː a l ɛ t
tobak	t uː b a k
tobisgrissla	t uː b ɪ s ɡ r ɪ s l a
toffelhjälte	² t ɔ f ɛ l j ɛ l t ɛ
tofflor	t ɔ f l ʊ ɹ
tofslunne	t ɔ f s l ɵ n ɛ
tofsvipa	t ɔ f s v iː p a
tog	t uː ɡ
tok	t uː k
tolfte	t ɔ l f t ɛ
tolv	t ɔ l v
tom	t u m
tom	t oː m
tomte	t ɔ m t e
tomten	¹ t ɔ m t ɛ n
tomten	² t ɔ m t ɛ n
ton	t ɔ n
ton	t uː n
tonartshöjning	² t uː n a r t s h œ j n ɪ ŋ
toppskarv	t ɔ p s k a r v
tor	t uː r
torg	t ɔ r j
torium	t uː r ɪ ɵ m
tornedalen	t oː r n ɛ d ɑː l ɛ n
tornedalsfinska	t oː r n ɛ d ɑː l s f ɪ n s k a
tornseglare	t uː ŋ s eː ɡ l a ɾ ɛ
torsdag	t uː r s d ɑː ɡ
torsdag	t uː r s d a
toscakaka	t ɔ s k a k ɑː k a
total	t ʊ t ɑː l
tragedi	t r a ɧ ɛ d iː
trapp	t ɾ a p
trast	¹ t r a s t
trastsångare	t r a s t s ɔ ŋ a r ɛ
tre	t r eː
tredje	t r eː d j ɛ
tremänning	² t r eː m ɛ n ɪ ŋ
tretal	t r eː t ɑː l
trettio	² t r ɛ t ɪ ʊ
trettio	² t r ɛ t ɪ
tretton	t r ɛ tː ɔ n
triljard	t r ɪ l j ɑː r d
triljon	t r ɪ l j uː n
trivas	t r iː v a s
trivsel	t r ɪ f s e lː
trivsel	t r ɪ v s e lː
tro	t r uː
troca	² t r ɔ k a
troll	t r ɔ lː
trolla	t r ɔ lː a
tromsø	t r ʊ m s œ
tron	t r uː n
trona	t r ûː n a
tror	t r uː r
trosa	t r uː s a
truga	t r ʉː ɡ a
trumpet	t r ɵ m p eː t
trä	t r ɛː
träd	t r ɛː d
träd	t r ɛː d
trädgård	t r ɛː ɡ ɔ r d
trädgård	t r ɛː ɡ oː r d
trädmås	t r ɛ d m oː s
trädpiplärka	t r ɛ d p iː p l ɛ r k a
träl	t r ɛː l
träldom	t r ɛː l d ʊ m
träna	t r ɛː n a
träna	² t r ɛː n a
tränga	t r ɛ ŋː a
tråd	t r oː d
tråg	t r oː ɡ
tröska	ɕ ɛ r t ɜ r n a
tsar	t s ɑː r
tsar	s ɑː r
tsunami	t s ʉː n ɑː m ɪ
tsunami	t s ɵ n ɑː m ɪ
tuff	t ɵ f
tukan	t ɵ k ɑː n
tundrasnäppa	t ɵ n d r aː s n ɛ p a
tundravarg	² t ɵ n d r a v a r j
tung	t ɵ ŋ
tunga	² t ɵ ŋ a
tungel	t ɵ ŋ ɛ l
tunnbröd	² t ɵ n b r œː d
tunnbrödsrulle	² t ɵ n b r œː d s r ɵ l ɛ
tunnel	² t ɵ n ɛ l
tunnelbana	² t ɵ n ɛ l b ɑː n a
turban	t ɵ r b ɑː n
turkestantörnskata	t ɵ r k ɛ s t ɑː n t øː r n s k ɑː t a
tusen	t ʉː s ɛ n
tuvsnäppa	t ʉː v s n ɛ p a
tv	t eː v eː
tv	t eː v ɛ
tvedräkt	² t v eː d r ɛ k t
tveeggad	² t v eː ɛ ɡ a d
tvegifte	² t v eː j ɪ f t ɛ
tvehågsen	² t v eː h oː ɡ s ɛ n
tvehövdad	² t v eː h œ v d a d
tvesovla	² t v eː s oː v l a
tvestjärt	² t v eː ɧ ɛ r t
tvivla	t v iː v l a
tvärtom	t v ɛː ʈ ɔ m
tvättbjörn	t v ɛ t b j øː ɳ
tvätterska	t v ɛ t ɛ ʂ k a
tvättmedel	t v ɛ t m eː d ɛ l
två	t v oː
tvång	t v ɔ ŋ
tvångssvenska	t v ɔ ŋ s s v e n s k ɑ
tvångssvenska	² t v ɔ ŋ s s v ɛ n s k a
ty	t yː
tycka	t ʏ k a
tyda	² t yː d a
tyg	t yː ɡ
tygelmes	t yː ɡ ɛ l m eː s
tygeltärna	t yː ɡ ɛ l t ɜ r n a
tykobrahedag	t ʏ k ʊ b r ɑː ɛ d ɑː ɡ
tyngst	t ʏ ŋ s t
tysk	t ʏ s k
tyska	² t ʏ s k a
tyskland	t ʏ s k l a n d
tyst	t ʏ sː t
tzatziki	t s a t s iː k ɪ
täcke	² t ɛ kː ɛ
täckt	t ɛ k t
täkt	t ɛ k t
tända	² t ɛ n d a
tänkte	t ɛ ŋ k t ɛ
tärnmås	t ɛː r n m oː s
tå	t oː
tåg	t oː ɡ
tår	t oː r
tö	t øː
töras	t øː r a s
törnekrona	² t øː r n ɛ k r uː n a
törnskata	t øː r n s k ɑː t a
u	ʉː
u	ʉː
u	ɵ
uefa	ɵ ² eː f a
uer	ʉː ɛ r
ugn	ɵ ŋ n
ukulele	ɵ k ɵ l eː l ɛ
ull	ɵ lː
ulla	² ɵ l a
ulrika	ɵ l ² r iː k a
ulv	ɵ l v
umeå	ʉː m ɛ ɔ
umeå	ʉː m ɛ
under	ɵ n d ɛ r
ung	ɵ ŋ
ungefär	ɵ n j e f ɛː r
ungefär	ɵ ŋ e f ɛː r
ungefär	ɵ n j e f æː r
ungefär	ɵ ŋ ɛ f æː r
ungefär	ɵ ŋ j ɛ f æː r
universitet	ɵ n ɪ v ɛ ʂ ɪ t eː t
upp	ɵ p
uppehålla	² ɵ pː ɛ h ɔ lː a
upprätt	² ɵ p r ɛ t
upprätthålla	² ɵ p r ɛ t h ɔ l a
uppsala	ɵ p s ɑː l a
uppsaliensisk	ɵ p s a l ɪ ɛ n s ɪ s k
uppstyrdhet	² ɵ p s t yː r d h eː t
uppträda	ɵ pː t r ɛː d a
uppträdande	ɵ p t r ɛː d a n d e
uppvisning	² ɵ p v iː s n ɪ ŋ
uppå	¹ ɵ p oː
uppå	² ɵ p oː
ur	ʉː r
uran	ɵ r ɑː n
uranus	ɵ r ɑː n ɵ s
urgammal	ɵ rː ɡ a mː a l
ursäkta	ʉ̟ː ʂ ɛ k t a
ursäkta	ʉː r s ɛ k t a
usa	ʉː ɛ s ɑː
usa	ʉː ɛ s ɑː
usch	ɵ ɧ
usel	ʉː s ɛ l
ut	ʉː t
utan	ʉː t a n
utanför	² ʉː t a n f œː r
utbrott	² ʉː t b r ɔ t
utge	² ʉː t j eː
utgång	ʉː t ɡ ɔ ŋ
utom	² ʉ̟ː t ɔ m
utropa	² ʉː t r uː p a
utslag	ʉː t s l ɑː ɡ
uttryck	ʉː t t r ʏ kː
uv	ʉː v
uzbek	ɵ s b eː k
va	v a
va	v ɑː
vabba	² v a b a
vaccin	v a k s iː n
vacker	v a k ɛ r
vad	v ɑː d
vad	v ɑː
vadstena	v a sː t eː n a
vagnmakare	v a ŋ n m ɑː k a r ɛ
vaj	v a j
vaja	² v a j a
vajsing	² v a j s ɪ ŋ
vakna	² v ɑː k n a
vakta	² v a k t a
val	v ɑː l
val	v ɑː l
val	v ɑː l
valack	v a l a k
valacka	v a l a k a
valfläsk	v ɑː l f l ɛ s k
valk	v a l k
valka	² v a l k a
valkning	² v a l k n ɪ ŋ
valsverk	v a l s v ɛ r k
vampyr	v a m p yː r
van	v ɑː n
vandrare	v a n d r a r ɛ
vandringsord	v a n d r ɪ ŋ s uː r d
vann	v a n
vapen	¹ v ɑː p ɛ n
var	v ɑː ɾ
vara	v ɑː r a
vara	v ɑː
vara	ʋ ɑː r a
varandra	v a r a n d r a
varann	v a r a n
varest	v ɑː r ɛ s t
varfågel	v ɑː r f oː ɡ ɛ l
varför	¹ v ɑː r f œ r
varför	¹ v a r f œ r
varg	v a r j
vargatid	² v a r j a t iː d
vargavinter	² v a r j a v ɪ n t ɛ r
vargaväder	² v a r j a v ɛː d ɛ r
vargbiten	² v a r j b iː t ɛ n
vargflock	² v a r j f l ɔ k
varggrin	² v a r j ɡ r iː n
varggrop	² v a r j ɡ r uː p
varghagel	² v a r j h ɑː ɡ ɛ l
varghund	² v a r j h ɵ n d
varginna	² v a r j ɪ n a
vargjakt	² v a r j j a k t
vargpar	² v a r j p ɑː r
vargpäls	² v a r j p ɛ l s
vargrevir	² v a r j r ɛ v iː r
vargskinn	² v a r j ɧ ɪ n
vargspår	² v a r j s p oː r
vargstam	² v a r j s t a m
vargtimma	² v a r j t ɪ m a
vargtimme	² v a r j t ɪ m e
vargtjut	² v a r j ɕ ʉː t
vargton	² v a r j t uː n
vargunge	² v a r j ɵ ŋ ɛ
vargvalp	² v a r j v a l p
varit	v ɑː r ɪ t
varit	v ɑː ʈ
varit	v a ʈ
varken	v a r k ɛ n
varm	v a r m
varmt	v a r m t
vars	v ɑː r s
vars	v a r s
vars	v a r s
vars	v ɑː r s
vars	v ɑː r s
vars	v a r s
varse	² v a ʂ ɛ
varse	² v ɑː ʂ ɛ
varsågod	v ɑː r s ɔ ɡ uː d
vart	v a r t
vart	v ɑː r t
varv	v a r v
vas	v ɑː s
vasa	v a s ɑː
vass	v a s
vatten	v ǎ t ɛ n
vattenrall	v a t ɛ n ɾ a l
vattensångare	v a t ɛ n s ɔ ŋ a r ɛ
vattentorn	v a t ɛ n t ɵː ɳ
vattnen	v a tː n ɛ n
vattnet	v a tː n ɛ t
ve	v eː
vecka	² v ɛ k a
vek	v eː k
velociped	v ɛ l ɔ s ɪ p eː d
velociped	v ɛ l ʊ s ɪ p eː d
venus	v eː n ɵ s
verk	v æ r k
verka	v ɛ r k a
verklighetsflykt	² v ɛ r k l ɪ ɡ h eː t s f l ʏ k t
verkstad	v e r k s t a
vessla	v ɛ s l a
veta	² v eː t a
vete	² v eː t ɛ
vete	v ɛ t ɛ
vete	² v eː t ɛ
veteran	v ɛ t ɛ r ɑː n
vetja	v ɛ t j a
vi	v iː
vid	v iː d
vidareutbilda	v iː d a r ɛ ʉː t b ɪ l d a
vidareutbildning	v iː d a r ɛ ʉː t b ɪ l d n ɪ ŋ
videsångare	v iː d ɛ s ɔ ŋ a r ɛ
vidskepelse	² v iː d ɧ eː p ɛ l s ɛ
vidskeplig	² v iː d ɧ eː p l ɪ ɡ
vigsel	¹ v ɪ k s e l
vikt	v iː k t
vilja	² v ɪ lː j a
vill	v ɪ l
ville	v ɪ lː ɛ
vin	v iː n
vind	v ɪ n d
vindtunnel	² v ɪ n d t ɵ n ɛ l
viner	² v iː n ɛ r
viner	¹ v iː n ɛ r
vinge	v ɪ ŋ ɛ
vinter	v ɪ n t ɛ r
vintertid	v ɪ n t ɛ r t iː d
vintras	² v ɪ n t r a s
viol	v ɪ uː l
viola	v ɪ ² uː l a
violinist	v ɪ ʊ l ɪ n ɪ s t
vipa	v iː p a
virre	² v ɪ r ɛ
vischan	² v ɪ ɧ a n
vision	v ɪ ɧ uː n
vismut	v ɪ s m ɵ t
vit	v iː t
vitgumpseglare	v iː t ɡ ɵ m p s eː ɡ l a ɾ ɛ
vitgumpsnäppa	v iː t ɡ ɵ m p s n ɛ p a
vitrysk	² v iː t r ʏ s k
vitryska	² v iː t r ʏ s k a
vitsenap	v iː t s eː n a p
vittrut	v iː t t r ʉː t
viv	v iː v
vodka	v ɔ d k a
volfram	v ɔ l f r a m
volvo	v ɔ l v ʊ
vore	² v uː r ɛ
voss	v ɔ s
vred	v r eː d
vredesdom	² v r eː d ɛ s d ʊ m
vresig	v r eː s ɪ ɡ
vuxen	v ɵ k s ɛ n
vy	v yː
väcka	² v ɛ k a
väderprognos	v ɛː d ɛ r p r ɔ ɡ n oː s
väg	v ɛː ɡ
vägg	v ɛ ɡ
vägra	² v ɛː ɡ r a
väl	v ɛː l
väl	v ɛ lː
välbehag	² v ɛː l b ɛ h ɑː ɡ
välja	² v ɛ lː j a
välkommen	² v ɛː l k ɔ mː ɛ n
vän	v ɛː n
vän	v ɛ n
vänlig	² v ɛ n l ɪ ɡ
vänlig	² v ɛː n l ɪ ɡ
vänta	² v ɛ nː t a
väntan	² v ɛ n t a n
värd	v ɛː ɖ
värde	² v ɛ r d ɛ
värdeavi	v ɛ r d ɛ a v iː
värden	v æː ɖ ɛ n
värden	v æː ɖ ɛ n
värdera	v ɛ r d eː r a
värdighet	² v ɛː r d ɪ ɡ h eː t
värld	v ɛː r d
världen	v æː ɖ ɛ n
världens	v æː ɖ ɛ n s
värmlandskorv	² v ɛ r m l a n d s k ɔ r v
värnpliktig	² v ɛː r n p l ɪ k t ɪ ɡ
värpa	² v æ r p a
värva	² v æ r v a
väster	v ɛ sː t ə r
västerås	ʋ ɛ s t ɛ r oː s
västgöte	v ɛ ɧ œ t ɛ
västgöte	v ɛ s t j øː t ɛ
västgötska	v ɛ ɧ œ t s k a
västgötska	v ɛ s t j øː t s k a
västkustskt	v ɛ sː t k ɵ s t s k t
väte	v ɛː t ɛ
väteperoxid	v ɛː t ɛ p ɛ r ɔ k s iː d
växellåda	v ɛ k s ɛ l l oː d a
växjö	v ɛ kː ɧ øː
växthus	v ɛ k s t h ʉː s
våda	² v oː d a
vådlig	² v oː d l ɪ ɡ
våg	v oː ɡ
vågform	v oː ɡ f ɔ ɾ m
vålnad	v oː l n a d
vång	v ɔ ŋ
vår	v oː r
våradonis	v oː r a d uː n ɪ s
våras	² v oː r a s
vård	v oː ɖ
vårdslös	² v oː r d s l øː s
vårting	² v oː r t ɪ ŋ
vårting	² v oː r ʈ ɪ ŋ
vårtsvin	v oː ʈ s v iː n
våt	v oː t
w	d ɵ b ɛ l v eː
w	v
w	w
warszawa	v a r ɧ ɑː v a
weekend	w iː k ɛ n d
weekend	v iː k ɛ n d
wiccan	w ɪ kː a n
wiccan	v ɪ kː a n
wien	v iː n
wiki	v iː k ɪ
wiki	v ɪ k ɪ
wiki	w iː k ɪ
wiki	w ɪ k ɪ
wilsonsimsnäppa	w ɪ l s ɔ n s ɪ m s n ɛ p a
xantippa	k s a n ² t ɪ p a
yngla	² ʏ ŋ l a
yr	yː r
ystad	yː s t a
ystad	ʏ s t a d
yttrium	ʏ t r ɪ ɵ m
yvas	² yː v a s
z	s ɛː t a
z	s
ziggis	s ɪ ɡ ɪ s
zink	s ɪ n k
zloty	s l ɔ t ʏ
zombie	s ɔ m b ɪ
zon	s uː n
zoo	s uː
à	aː
ä	ɛː
ä	ɛː
ä	ɛ
äckelgubbe	ɛ k ɛ l ɡ ɵ b ɛ
äcklig	² ɛ k l ɪ ɡ
äga	² ɛː ɡ a
ägg	ɛ ɡː
äggakaka	² ɛ ɡ a k ɑː k a
äggtoddy	ɛ ɡ t ɔ d ʏ
äggula	ɛ ɡ ʉː l a
ägretthäger	ɛ ɡ r ɛ t h ɛ ɡ ɛ r
äldre	ɛ l d r ɛ
äldst	ɛ l s t
älg	ɛ l j
älgar	ɛ l jː a r
älling	² ɛ l ɪ ŋ
älska	ɛ l s k a
älta	ɛ l t a
älv	ɛ l v
älva	ɛ l v a
än	ɛ nː
ända	ɛ n d a
ändelse	ɛ n d ɛ l s ɛ
ändå	² ɛ n d oː
ändå	² ɛ n d ɔ
ändå	ɛ n d oː
äng	ɛ ŋː
ängshök	ɛ ŋ s h øː k
ängspiplärka	ɛ ŋ s p iː p l ɛ r k a
änkestöt	ɛ ŋ k e s t øː t
ännu	² ɛ n ɵ
ännu	ɛ n ʉː
äntligen	ɛ n t l ɪ ɡ ɛ n
äntligen	ɛ ŋ k l ɪ ɡ ɛ n
äppeljuice	æ p ɛ l j uː s
äppelknyckarbyxa	ɛ p ɛ l k n ʏ k a r b ʏ k s a
äpple	ɛ p l ɛ
äpplen	ɛ p l ɛ n
är	æː r
är	eː r
är	ɛː r
ära	² æː r a
ärla	ɛː r l a
ärlig	æː ɭ ɪ ɡ
ärt	æ ʈ
ät	ɛː t
äta	ɛː t a
äter	ɛː t ɘ r
ätt	ɛ t
äventyrlig	² ɛː v ɛ n t yː r l ɪ ɡ
å	oː
å	oː
å	ɔ
åboensisk	oː b ʊ ɛ n s ɪ s k
åda	² oː d a
åke	oː k ɛ
ål	oː l
ålagille	² oː l a j ɪ lː ɛ
åland	oː l a n d
åland	oː l ɑ n d
ångmaskin	ɔ ŋː m a ɧ iː n
ångström	² ɔ ŋ s t r ø m
ångström	² ɔ ŋ s t r œ m
ånyo	ɔ ² n yː ʊ
år	oː r
åra	² oː r a
åren	oː r ɛ n
årlig	² oː ɭ ɪ ɡ
årta	oː ɾ t a
ås	oː s
åsikt	oː s ɪ k t
åskblå	² ɔ s k b l oː
åstadkomma	² oː s t a k ɔ m a
åt	oː t
åtta	² ɔ tː a
åttio	² ɔ t ɪ ʊ
åttio	² ɔ t ɪ
åttonde	ɔ t ɔ n d ɛ
é	eː
ö	øː
ö	øː
ö	œ
ödem	ø d eː m
ödmjukhet	øː d m j ʉ̟ː k h eː t
öga	øː ɡ a
ökenlöpare	œ k ɛ n l øː p a r ɛ
ökenpipare	øː k ɛ n p iː p a ɾ ɛ
öknamn	œ kː n a m n
öl	øː l
öm	œ m
ömtålig	² œ m t oː l ɪ ɡ
ön	øː n
öppen	² œ p ɛ n
öppenhjärtig	² œ p ɛ n j ɛ r t ɪ ɡ
öppenhjärtlig	² œ p ɛ n j ɛ r t l ɪ ɡ
öra	² øː r a
örhänge	øː r h ɛ ŋ ɛ
örn	œ r n
örnvinge	² øː r n v ɪ ŋ ɛ
örnvråk	øː r n v r oː k
öronsäl	øː r ɔ n s ɛː l
ös	øː s
ösregn	ø̀ː s r ɛ ŋ n
öster	œ sː t ə r
östersjön	² ø sː t ɛ r ɧ ø n
östersund	œ s t ɛ r s ɵ n d
östgöte	œ ɧ œ t ɛ
östgöte	œ s t j øː t ɛ
östgötska	œ ɧ œ t s k a
östgötska	œ s t j øː t s k a
över	øː v æ r
överflöd	øː v ɛ r f l øː d
ā	ɛː
ā	ɛ
ā	ɛː
ā	ɛ
ō	øː
ō	œ
