a.K.	a k o
abundan	a b u n d a n
abundanta	a b u n d a n t a
abundante	a b u n d a n t e
abundas	a b u n d a s
abunde	a b u n d e
abundeco	a b u n d e t͡s o
abundecon	a b u n d e t͡s o n
abundi	a b u n d i
abundinta	a b u n d i n t a
abundinte	a b u n d i n t e
abundis	a b u n d i s
abundo	a b u n d o
abundoj	a b u n d o i̯
abundojn	a b u n d o i̯ n
abundokorno	a b u n d o k o r n o
abundokornoj	a b u n d o k o r n o i̯
abundokornojn	a b u n d o k o r n o i̯ n
abundokornon	a b u n d o k o r n o n
abundon	a b u n d o n
abundonta	a b u n d o n t a
abundonte	a b u n d o n t e
abundos	a b u n d o s
abundu	a b u n d u
abundus	a b u n d u s
abutmento	a b u t m e n t o
abutmenton	a b u t m e n t o n
acarboso	a t͡s a r b o s o
acarboson	a t͡s a r b o s o n
acefalocisto	a t͡s e f a l o t͡s i s t o
acefalocistoj	a t͡s e f a l o t͡s i s t o i̯
acefalocistojn	a t͡s e f a l o t͡s i s t o i̯ n
acefalociston	a t͡s e f a l o t͡s i s t o n
acerba	a t͡s e r b a
acerbaj	a t͡s e r b a i̯
acerbajn	a t͡s e r b a i̯ n
acerban	a t͡s e r b a n
acero	a t͡s e r o
aceroj	a t͡s e r o i̯
acerojn	a t͡s e r o i̯ n
aceron	a t͡s e r o n
acetaldehido	a t͡s e t a l d e h i d o
acetaldehidon	a t͡s e t a l d e h i d o n
acetanilido	a t͡s e t a n i l i d o
acetanilidon	a t͡s e t a n i l i d o n
acetileno	a t͡s e t i l e n o
acetilenoj	a t͡s e t i l e n o i̯
acetilenojn	a t͡s e t i l e n o i̯ n
acetilenon	a t͡s e t i l e n o n
acetilĥolino	a t͡s e t i l x o l i n o
acetilkolino	a t͡s e t i l k o l i n o
acetilo	a t͡s e t i l o
acetiloj	a t͡s e t i l o i̯
acetilojn	a t͡s e t i l o i̯ n
acetilon	a t͡s e t i l o n
acetimetro	a t͡s e t i m e t r o
acetimetroj	a t͡s e t i m e t r o i̯
acetimetrojn	a t͡s e t i m e t r o i̯ n
acetimetron	a t͡s e t i m e t r o n
acetono	a t͡s e t o n o
acetonon	a t͡s e t o n o n
acida	a t͡s i d a
acidaj	a t͡s i d a i̯
acidajn	a t͡s i d a i̯ n
acidan	a t͡s i d a n
acideco	a t͡s i d e t͡s o
acidecoj	a t͡s i d e t͡s o i̯
acidecojn	a t͡s i d e t͡s o i̯ n
acidecon	a t͡s i d e t͡s o n
acidigi	a t͡s i d i ɡ i
acidkremo	a t͡s i d k r e m o
acido	a t͡s i d o
acidoj	a t͡s i d o i̯
acidojn	a t͡s i d o i̯ n
acidon	a t s i d o n
acipensero	a t͡s i p e n s e r o
Acoroj	a t͡s o r o i̯
Acorojn	a t͡s o r o i̯ n
aĉ	a t͡ʃ
aĉa	a t͡ʃ a
aĉaj	a t͡ʃ a i̯
aĉajn	a t͡ʃ a i̯ n
aĉaĵaro	a t͡ʃ a ʒ a r o
aĉaĵo	a t͡ʃ a ʒ o
aĉan	a t͡ʃ a n
aĉas	a t͡ʃ a s
aĉe	a t͡ʃ e
aĉetaĵo	a t͡ʃ e t a ʒ o
aĉetanta	a t͡ʃ e t a n t a
aĉetantaj	a t͡ʃ e t a n t a i̯
aĉetantajn	a t͡ʃ e t a n t a i̯ n
aĉetantan	a t ʃ e t a n t a n
aĉetante	a t͡ʃ e t a n t e
aĉetanto	a t͡ʃ e t a n t o
aĉetantoj	a t͡ʃ e t a n t o i̯
aĉetantojn	a t͡ʃ e t a n t o i̯ n
aĉetanton	a t ʃ e t a n t o n
aĉetas	a t͡ʃ e t a s
aĉetata	a t͡ʃ e t a t a
aĉetataj	a t͡ʃ e t a t a i̯
aĉetatajn	a t͡ʃ e t a t a i̯ n
aĉetatan	a t ʃ e t a t a n
aĉetate	a t͡ʃ e t a t e
aĉetato	a t͡ʃ e t a t o
aĉetatoj	a t͡ʃ e t a t o i̯
aĉetatojn	a t͡ʃ e t a t o i̯ n
aĉetaton	a t ʃ e t a t o n
aĉetebla	a t͡ʃ e t e b l a
aĉeteblaj	a t͡ʃ e t e b l a i̯
aĉeteblajn	a t͡ʃ e t e b l a i̯ n
aĉeteblan	a t͡ʃ e t e b l a n
aĉeti	a t͡ʃ e t i
aĉetinta	a t͡ʃ e t i n t a
aĉetintaj	a t͡ʃ e t i n t a i̯
aĉetintajn	a t͡ʃ e t i n t a i̯ n
aĉetintan	a t ʃ e t i n t a n
aĉetinte	a t͡ʃ e t i n t e
aĉetinto	a t͡ʃ e t i n t o
aĉetintoj	a t͡ʃ e t i n t o i̯
aĉetintojn	a t͡ʃ e t i n t o i̯ n
aĉetinton	a t ʃ e t i n t o n
aĉetis	a t͡ʃ e t i s
aĉetisto	a t͡ʃ e t i s t o
aĉetita	a t͡ʃ e t i t a
aĉetitaj	a t͡ʃ e t i t a i̯
aĉetitajn	a t͡ʃ e t i t a i̯ n
aĉetitan	a t͡ʃ e t i t a n
aĉetite	a t͡ʃ e t i t e
aĉetito	a t ʃ e t i t o
aĉetitoj	a t͡ʃ e t i t o i̯
aĉetitojn	a t͡ʃ e t i t o i̯ n
aĉetiton	a t ʃ e t i t o n
aĉetlisto	a t͡ʃ e t l i s t o
aĉeto	a t͡ʃ e t o
aĉetoj	a t͡ʃ e t o i̯
aĉetojn	a t͡ʃ e t o i̯ n
aĉeton	a t͡ʃ e t o n
aĉetonta	a t͡ʃ e t o n t a
aĉetontaj	a t͡ʃ e t o n t a i̯
aĉetontajn	a t͡ʃ e t o n t a i̯ n
aĉetontan	a t ʃ e t o n t a n
aĉetonte	a t͡ʃ e t o n t e
aĉetonto	a t ʃ e t o n t o
aĉetontoj	a t͡ʃ e t o n t o i̯
aĉetontojn	a t͡ʃ e t o n t o i̯ n
aĉetonton	a t ʃ e t o n t o n
aĉetos	a t͡ʃ e t o s
aĉetota	a t͡ʃ e t o t a
aĉetotaj	a t͡ʃ e t o t a i̯
aĉetotajn	a t͡ʃ e t o t a i̯ n
aĉetotan	a t ʃ e t o t a n
aĉetote	a t͡ʃ e t o t e
aĉetoto	a t ʃ e t o t o
aĉetotoj	a t͡ʃ e t o t o i̯
aĉetotojn	a t͡ʃ e t o t o i̯ n
aĉetoton	a t ʃ e t o t o n
aĉetu	a t͡ʃ e t u
aĉetus	a t͡ʃ e t u s
aĉi	a t͡ʃ i
aĉigas	a t͡ʃ i ɡ a s
aĉigi	a t͡ʃ i ɡ i
aĉigis	a t͡ʃ i ɡ i s
aĉigos	a t͡ʃ i ɡ o s
aĉigu	a t͡ʃ i ɡ u
aĉigus	a t͡ʃ i ɡ u s
aĉiĝas	a t͡ʃ i d͡ʒ a s
aĉiĝi	a t͡ʃ i d͡ʒ i
aĉiĝis	a t͡ʃ i d͡ʒ i s
aĉiĝos	a t͡ʃ i d͡ʒ o s
aĉiĝu	a t͡ʃ i d͡ʒ u
aĉiĝus	a t͡ʃ i d͡ʒ u s
aĉis	a t͡ʃ i s
aĉos	a t͡ʃ o s
aĉu	a t͡ʃ u
aĉulo	a t͡ʃ u l o
aĉuloj	a t͡ʃ u l o i̯
aĉulojn	a t͡ʃ u l o i̯ n
aĉulon	a t͡ʃ u l o n
aĉus	a t͡ʃ u s
ada	a d a
adaj	a d a i̯
adajn	a d a i̯ n
Adamo	a d a m o
Adamon	a d a m o n
Adamstaŭno	a d a m s t a u̯ n o
Adamstaŭnon	a d a m s t a u̯ n o n
adan	a d a n
adaptado	a d a p t a d o
adaptanta	a d a p t a n t a
adaptante	a d a p t a n t e
adaptas	a d a p t a s
adaptate	a d a p t a t e
adaptato	a d a p t a t o
adapti	a d a p t i
adaptiĝas	a d a p t i d͡ʒ a s
adaptiĝi	a d a p t i d͡ʒ i
adaptiĝis	a d a p t i d͡ʒ i s
adaptiĝonta	a d a p t i d͡ʒ o n t a
adaptiĝu	a d a p t i d͡ʒ u
adaptiĝus	a d a p t i d͡ʒ u s
adaptilo	a d a p t i l o
adaptinta	a d a p t i n t a
adaptinte	a d a p t i n t e
adaptinto	a d a p t i n t o
adaptis	a d a p t i s
adaptita	a d a p t i t a
adaptitan	a d a p t i t a n
adaptite	a d a p t i t e
adapto	a d a p t o
adaptoj	a d a p t o i̯
adaptojn	a d a p t o i̯ n
adapton	a d a p t o n
adaptonte	a d a p t o n t e
adaptos	a d a p t o s
adaptota	a d a p t o t a
adaptote	a d a p t o t e
adaptu	a d a p t u
adaptus	a d a p t u s
adasismo	a d a s i s m o
ade	a d e
adekvata	a d e k v a t a
Adelajdo	a d e l a i̯ d o
Adelajdon	a d e l a i̯ d o n
adenino	a d e n i n o
adenito	a d e n i t o
adenitoj	a d e n i t o j
adenitojn	a d e n i t o j n
adeniton	a d e n i t o n
Adeno	a d e n o
adenojda	a d e n o i̯ d a
adenojdaj	a d e n o i̯ d a i̯
adenojdajn	a d e n o i̯ d a i̯ n
adenojdan	a d e n o i̯ d a n
adenomo	a d e n o m o
adenomoj	a d e n o m o i̯
adenomojn	a d e n o m o i̯ n
adenomon	a d e n o m o n
Adenon	a d e n o n
adeptaro	a d e p t a r o
adeptaroj	a d e p t a r o i̯
adeptarojn	a d e p t a r o i̯ n
adeptaron	a d e p t a r o n
adepte	a d e p t e
adeptiganta	a d e p t i ɡ a n t a
adeptigantaj	a d e p t i ɡ a n t a i̯
adeptigantajn	a d e p t i ɡ a n t a i̯ n
adeptigantan	a d e p t i ɡ a n t a n
adeptigas	a d e p t i ɡ a s
adeptigi	a d e p t i ɡ i
adeptiginta	a d e p t i ɡ i n t a
adeptigintaj	a d e p t i ɡ i n t a i̯
adeptigintajn	a d e p t i ɡ i n t a i̯ n
adeptigintan	a d e p t i ɡ i n t a n
adeptigis	a d e p t i ɡ i s
adeptigos	a d e p t i ɡ o s
adeptigu	a d e p t i ɡ u
adeptigus	a d e p t i ɡ u s
adepto	a d e p t o
adeptoj	a d e p t o i̯
adeptojn	a d e p t o i̯ n
adepton	a d e p t o n
adhera	a d h e r a
adheraj	a d h e r a i̯
adherajn	a d h e r a i̯ n
adheran	a d h e r a n
adherante	a d h e r a n t e
adheras	a d h e r a s
adheri	a d h e r i
adherinta	a d h e r i n t a
adherinte	a d h e r i n t e
adheris	a d h e r i s
adhero	a d h e r o
adheronta	a d h e r o n t a
adheronte	a d h e r o n t e
adheros	a d h e r o s
adheru	a d h e r u
adherus	a d h e r u s
adiaŭ	a d i a u̯
adiaŭa	a d i a u̯ a
adiaŭaj	a d i a u̯ a i̯
adiaŭajn	a d i a u̯ a i̯ n
adiaŭan	a d i a u̯ a n
adiaŭfesto	a d i a u̯ f e s t o
adiaŭfestoj	a d i a u̯ f e s t o i̯
adiaŭfestojn	a d i a u̯ f e s t o i̯ n
adiaŭfeston	a d i a u̯ f e s t o n
adiaŭi	a d i a u̯ i
adiaŭo	a d i a u̯ o
adiaŭoj	a d i a u̯ o i̯
adiaŭojn	a d i a u̯ o i̯ n
adiaŭon	a d i a u̯ o n
adiciante	a d i t͡s i a n t e
adicias	a d i t͡s i a s
adiciate	a d i t͡s i a t e
adiciato	a d i t͡s i a t o
adicii	a d i t͡s i i
adiciilo	a d i t͡s i i l o
adiciinte	a d i t͡s i i n t e
adiciis	a d i t͡s i i s
adiciita	a d i t͡s i i t a
adiciitan	a d i t͡s i i t a n
adiciite	a d i t͡s i i t e
adicio	a d i t͡s i o
adicioj	a d i t͡s i o i̯
adiciojn	a d i t͡s i o i̯ n
adicion	a d i t͡s i o n
adicionta	a d i t͡s i o n t a
adicionte	a d i t͡s i o n t e
adicios	a d i t͡s i o s
adiciota	a d i t͡s i o t a
adiciote	a d i t͡s i o t e
adiciu	a d i t͡s i u
adicius	a d i t͡s i u s
Adisabebo	a d i s a b e b o
Adisabebon	a d i s a b e b o n
adjektiva	a d j e k t i v a
adjektivaj	a d j e k t i v a i̯
adjektivajn	a d j e k t i v a i̯ n
adjektivan	a d j e k t i v a n
adjektive	a d j e k t i v e
adjektivi	a d j e k t i v i
adjektivo	a d j e k t i v o
adjektivoj	a d j e k t i v o i̯
adjektivojn	a d j e k t i v o i̯ n
adjektivon	a d j e k t i v o n
adjudiki	a d j u d i k i
adjudiko	a d j u d i k o
adjunkto	a d j u n k t o
adjunktoj	a d j u n k t o i̯
adjunktojn	a d j u n k t o i̯ n
adjunkton	a d j u n k t o n
adjutanto	a d j u t a n t o
administra	a d m i n i s t r a
administracio	a d m i n i s t r a t͡s i o
administracioj	a d m i n i s t r a t͡s i o i̯
administraciojn	a d m i n i s t r a t͡s i o i̯ n
administracion	a d m i n i s t r a t͡s i o n
administrado	a d m i n i s t r a d o
administradoj	a d m i n i s t r a d o i̯
administradojn	a d m i n i s t r a d o i̯ n
administradon	a d m i n i s t r a d o n
administraj	a d m i n i s t r a i̯
administrajn	a d m i n i s t r a i̯ n
administraĵo	a d m i n i s t r a ʒ o
administran	a d m i n i s t r a n
administranta	a d m i n i s t r a n t a
administrantaj	a d m i n i s t r a n t a i̯
administrantajn	a d m i n i s t r a n t a i̯ n
administrantan	a d m i n i s t r a n t a n
administrantaro	a d m i n i s t r a n t a r o
administrante	a d m i n i s t r a n t e
administranto	a d m i n i s t r a n t o
administrantoj	a d m i n i s t r a n t o i̯
administrantojn	a d m i n i s t r a n t o i̯ n
administranton	a d m i n i s t r a n t o n
administras	a d m i n i s t r a s
administrata	a d m i n i s t r a t a
administrate	a d m i n i s t r a t e
administrato	a d m i n i s t r a t o
administre	a d m i n i s t r e
administrejo	a d m i n i s t r e j o
administrejoj	a d m i n i s t r e j o i̯
administrejojn	a d m i n i s t r e j o i̯ n
administrejon	a d m i n i s t r e j o n
administri	a d m i n i s t r i
administrinte	a d m i n i s t r i n t e
administris	a d m i n i s t r i s
administrita	a d m i n i s t r i t a
administritan	a d m i n i s t r i t a n
administrite	a d m i n i s t r i t e
administronte	a d m i n i s t r o n t e
administros	a d m i n i s t r o s
administrote	a d m i n i s t r o t e
administru	a d m i n i s t r u
administrus	a d m i n i s t r u s
admira	a d m i r a
admirado	a d m i r a d o
admiraj	a d m i r a i̯
admirajn	a d m i r a i̯ n
admiralejo	a d m i r a l e j o
admiralitato	a d m i r a l i t a t o
admiralitatoj	a d m i r a l i t a t o i̯
admiralitatojn	a d m i r a l i t a t o i̯ n
admiralitaton	a d m i r a l i t a t o n
admiralo	a d m i r a l o
admiraloj	a d m i r a l o i̯
admiralojn	a d m i r a l o i̯ n
admiralon	a d m i r a l o n
admiran	a d m i r a n
admiranta	a d m i r a n t a
admirante	a d m i r a n t e
admiranto	a d m i r a n t o
admirantoj	a d m i r a n t o i̯
admirantojn	a d m i r a n t o j n
admiranton	a d m i r a n t o n
admiras	a d m i r a s
admirata	a d m i r a t a
admirate	a d m i r a t e
admirato	a d m i r a t o
admire	a d m i r e
admirega	a d m i r e ɡ a
admiregaj	a d m i r e ɡ a i̯
admiregajn	a d m i r e ɡ a i̯ n
admiregan	a d m i r e ɡ a n
admirego	a d m i r e ɡ o
admiregon	a d m i r e ɡ o n
admiri	a d m i r i
admirinda	a d m i r i n d a
admirindaj	a d m i r i n d a i̯
admirindajn	a d m i r i n d a i̯ n
admirindan	a d m i r i n d a n
admirinta	a d m i r i n t a
admirinte	a d m i r i n t e
admiris	a d m i r i s
admirita	a d m i r i t a
admiritan	a d m i r i t a n
admirite	a d m i r i t e
admiro	a d m i r o
admironta	a d m i r o n t a
admironte	a d m i r o n t e
admiros	a d m i r o s
admirota	a d m i r o t a
admirote	a d m i r o t e
admiru	a d m i r u
admirus	a d m i r u s
admona	a d m o n a
admonado	a d m o n a d o
admonaj	a d m o n a i̯
admonajn	a d m o n a i̯ n
admonan	a d m o n a n
admonante	a d m o n a n t e
admone	a d m o n e
admoni	a d m o n i
admoninta	a d m o n i n t a
admoninte	a d m o n i n t e
admono	a d m o n o
admonoj	a d m o n o i̯
admononte	a d m o n o n t e
adoleska	a d o l e s k a
adoleskaj	a d o l e s k a i̯
adoleskajn	a d o l e s k a i̯ n
adoleskan	a d o l e s k a n
adoleskanto	a d o l e s k a n t o
adoleski	a d o l e s k i
adolesko	a d o l e s k o
adoleskulo	a d o l e s k u l o
adolta	a d o l t a
adoltaj	a d o l t a i̯
adoltajn	a d o l t a i̯ n
adoltan	a d o l t a n
adolteco	a d o l t e t͡s o
adolto	a d o l t o
adoltoj	a d o l t o i̯
adoltojn	a d o l t o i̯ n
adolton	a d o l t o n
Adoniso	a d o n i s o
adopta	a d o p t a
adoptaj	a d o p t a i̯
adoptajn	a d o p t a i̯ n
adoptan	a d o p t a n
adoptanta	a d o p t a n t a
adoptante	a d o p t a n t e
adoptanto	a d o p t a n t o
adoptas	a d o p t a s
adoptata	a d o p t a t a
adoptate	a d o p t a t e
adoptato	a d o p t a t o
adopti	a d o p t i
adoptinta	a d o p t i n t a
adoptinte	a d o p t i n t e
adoptinto	a d o p t i n t o
adoptis	a d o p t i s
adoptita	a d o p t i t a
adoptite	a d o p t i t e
adoptito	a d o p t i t o
adoptitoj	a d o p t i t o i̯
adoptitojn	a d o p t i t o i̯ n
adoptiton	a d o p t i t o n
adopto	a d o p t o
adoptoj	a d o p t o i̯
adoptojn	a d o p t o i̯ n
adopton	a d o p t o n
adoptonta	a d o p t o n t a
adoptonte	a d o p t o n t e
adoptonto	a d o p t o n t o
adoptos	a d o p t o s
adoptota	a d o p t o t a
adoptote	a d o p t o t e
adoptoto	a d o p t o t o
adoptu	a d o p t u
adoptus	a d o p t u s
adorado	a d o r a d o
adoranta	a d o r a n t a
adorante	a d o r a n t e
adoranto	a d o r a n t o
adoras	a d o r a s
adorata	a d o r a t a
adorate	a d o r a t e
adorato	a d o r a t o
adorejo	a d o r e j o
adori	a d o r i
adorinda	a d o r i n d a
adorindaj	a d o r i n d a i̯
adorindajn	a d o r i n d a i̯ n
adorindan	a d o r i n d a n
adorinta	a d o r i n t a
adorinte	a d o r i n t e
adorinto	a d o r i n t o
adoris	a d o r i s
adorita	a d o r i t a
adorite	a d o r i t e
adorito	a d o r i t o
adorkliniĝante	a d o r k l i n i d͡ʒ a n t e
adorkliniĝas	a d o r k l i n i d͡ʒ a s
adorkliniĝi	a d o r k l i n i d͡ʒ i
adorkliniĝinte	a d o r k l i n i d͡ʒ i n t e
adorkliniĝis	a d o r k l i n i d͡ʒ i s
adorkliniĝonte	a d o r k l i n i d͡ʒ o n t e
adorkliniĝos	a d o r k l i n i d͡ʒ o s
adorkliniĝu	a d o r k l i n i d͡ʒ u
adorkliniĝus	a d o r k l i n i d͡ʒ u s
adoro	a d o r o
adoron	a d o r o n
adoronta	a d o r o n t a
adoronte	a d o r o n t e
adoronto	a d o r a n t o
adoros	a d o r o s
adorota	a d o r o t a
adorote	a d o r o t e
adoroto	a d o r o t o
adoru	a d o r u
adorus	a d o r u s
adrenalino	a d r e n a l i n o
adrenalinon	a d r e n a l i n o n
adresaro	a d r e s a r o
adresas	a d r e s a s
adresata	a d r e s a t a
adresi	a d r e s i
adresis	a d r e s i s
adresito	a d r e s i t o
adresitoj	a d r e s i t o j
adresitojn	a d r e s i t o j n
adresiton	a d r e s i t o n
adreslibro	a d r e s l i b r o
adreslibroj	a d r e s l i b r o i̯
adreslibrojn	a d r e s l i b r o i̯ n
adreslibron	a d r e s l i b r o n
adreso	a d r e s o
adresos	a d r e s o s
adresu	a d r e s u
adresulo	a d r e s u l o
adresus	a d r e s u s
adu	a d u
adulta	a d u l t a
adultaj	a d u l t a i̯
adultajn	a d u l t a i̯ n
adultan	a d u l t a n
adultanta	a d u l t a n t a
adultante	a d u l t a n t e
adultas	a d u l t a s
adulti	a d u l t i
adultinte	a d u l t i n t e
adultis	a d u l t i s
adulto	a d u l t o
adultoj	a d u l t o i̯
adultojn	a d u l t o i̯ n
adulton	a d u l t o n
adultonte	a d u l t o n t e
adultos	a d u l t o s
adultu	a d u l t u
adultulino	a d u l t u l i n o
adultulo	a d u l t u l o
adultus	a d u l t u s
adurolo	a d u r o l o
adurolon	a d u r o l o n
adventisto	a d v e n t i s t o
advento	a d v e n t o
Advento	a d v e n t o
adverba	a d v e r b a
adverbo	a d v e r b o
adverboj	a d v e r b o i̯
adverbojn	a d v e r b o i̯ n
adverbon	a d v e r b o n
adversa	a d v e r s a
adversaj	a d v e r s a i̯
adversajn	a d v e r s a i̯ n
adversan	a d v e r s a n
adversulo	a d v e r s u l o
advokataro	a d v o k a t a r o
advokatejo	a d v o k a t e j o
advokato	a d v o k a t o
adzo	a d͡z o
adzoj	a d͡z o i̯
adzojn	a d͡z o i̯ n
adzon	a d͡z o n
aedo	a e d o
aedoj	a e d o i̯
aedojn	a e d o i̯ n
aedon	a e d o n
aera	a e r a
aeraj	a e r a i̯
aerajn	a e r a i̯ n
aeran	a e r a n
aerarmeo	a e r a r m e o
aerarmeoj	a e r a r m e o i̯
aerarmeojn	a e r a r m e o i̯ n
aerarmeon	a e r a r m e o n
aerfluo	a e r f l u o
aerfluoj	a e r f l u o i̯
aerfluojn	a e r f l u o i̯ n
aerfluon	a e r f l u o n
aerglitilo	a e r ɡ l i t i l o
aerglitiloj	a e r ɡ l i t i l o i̯
aerglitilojn	a e r ɡ l i t i l o i̯ n
aerglitilon	a e r ɡ l i t i l o n
aeri	a e r i
aerkastelo	a e r k a s t e l o
aerkasteloj	a e r k a s t e l o i̯
aerkastelojn	a e r k a s t e l o i̯ n
aerkastelon	a e r k a s t e l o n
aerkluzo	a e r k l u z o
aero	a e r o
aerobiko	a e r o b i k o
aerodromo	a e r o d r o m o
aerodromoj	a e r o d r o m o i̯
aerodromojn	a e r o d r o m o i̯ n
aerodromon	a e r o d r o m o n
aerohaveno	a e r o h a v e n o
aerohavenoj	a e r o h a v e n o i̯
aerohavenojn	a e r o h a v e n o i̯ n
aerohavenon	a e r o h a v e n o n
aerolito	a e r o l i t o
aerolitoj	a e r o l i t o i̯
aerolitojn	a e r o l i t o i̯ n
aeroliton	a e r o l i t o n
aerologio	a e r o l o ɡ i o
aeronaŭtika	a e r o n a u̯ t i k a
aeronaŭtikaj	a e r o n a u̯ t i k a i̯
aeronaŭtikajn	a e r o n a u̯ t i k a i̯ n
aeronaŭtikan	a e r o n a u̯ t i k a n
aeronaŭtiko	a e r o n a u̯ t i k o
aeroplanejo	a e r o p l a n e j o
aeroplanejoj	a e r o p l a n e j o i̯
aeroplanejojn	a e r o p l a n e j o i̯ n
aeroplanejon	a e r o p l a n e j o n
aeroplano	a e r o p l a n o
aeroplanoj	a e r o p l a n o i̯
aeroplanojn	a e r o p l a n o i̯ n
aeroplanon	a e r o p l a n o n
aerosolo	a e r o s o l o
aerosoloj	a e r o s o l o i̯
aerosolojn	a e r o s o l o i̯ n
aerosolon	a e r o s o l o n
aerostata	a e r o s t a t a
aerostataj	a e r o s t a t a i̯
aerostatajn	a e r o s t a t a i̯ n
aerostatan	a e r o s t a t a n
aerostato	a e r o s t a t o
aerpirato	a e r p i r a t o
aerpoŝto	a e r p o ʃ t o
aerpremo	a e r p r e m o
aertubo	a e r t u b o
aerujo	a e r u j o
aerumanta	a e r u m a n t a
aerumante	a e r u m a n t e
aerumas	a e r u m a s
aerumata	a e r u m a t a
aerumate	a e r u m a t e
aerumato	a e r u m a t o
aerumi	a e r u m i
aeruminta	a e r u m i n t a
aeruminte	a e r u m i n t e
aerumis	a e r u m i s
aerumita	a e r u m i t a
aerumite	a e r u m i t e
aerumonta	a e r u m o n t a
aerumonte	a e r u m o n t e
aerumos	a e r u m o s
aerumota	a e r u m o t a
aerumote	a e r u m o t e
aerumu	a e r u m u
aerumus	a e r u m u s
aerveturado	a e r v e t u r a d o
aerveturilo	a e r v e t u r i l o
aervojo	a e r v o j o
afabla	a f a b l a
afablaj	a f a b l a i̯
afablajn	a f a b l a i̯ n
afablaĵo	a f a b l a ʒ o
afablan	a f a b l a n
afablas	a f a b l a s
afable	a f a b l e
afableco	a f a b l e t͡s o
afablecoj	a f a b l e t͡s o i̯
afablecojn	a f a b l e t͡s o i̯ n
afablecon	a f a b l e t͡s o n
afablege	a f a b l e ɡ e
afabli	a f a b l i
afablis	a f a b l i s
afablos	a f a b l o s
afablu	a f a b l u
afablus	a f a b l u s
afazia	a f a z i a
afaziaj	a f a z i a i̯
afaziajn	a f a z i a i̯ n
afazian	a f a z i a n
afazio	a f a z i o
afaziulo	a f a z i u l o
afekcia	a f e k t͡s i a
afekciaj	a f e k t͡s i a i̯
afekciajn	a f e k t͡s i a i̯ n
afekcian	a f e k t͡s i a n
afekcias	a f e k t͡s i a s
afekcii	a f e k t͡s i i
afekciis	a f e k t͡s i i s
afekcio	a f e k t͡s i o
afekciu	a f e k t͡s i u
afekcius	a f e k t͡s i u s
afekta	a f e k t a
afektaj	a f e k t a i̯
afektajn	a f e k t a i̯ n
afektaĵo	a f e k t a ʒ o
afektan	a f e k t a n
afektante	a f e k t a n t e
afektas	a f e k t a s
afektate	a f e k t a t e
afektato	a f e k t a t o
afekti	a f e k t i
afektinte	a f e k t i n t e
afektis	a f e k t i s
afektite	a f e k t i t e
afekto	a f e k t o
afekton	a f e k t o n
afektonte	a f e k t o n t e
afektos	a f e k t o s
afektota	a f e k t o t a
afektote	a f e k t o t e
afektu	a f e k t u
afektus	a f e k t u s
afera	a f e r a
aferaĉo	a f e r a t͡ʃ o
aferaj	a f e r a i̯
aferajn	a f e r a i̯ n
aferan	a f e r a n
afereca	a f e r e t͡s a
aferecaj	a f e r e t͡s a i̯
aferecajn	a f e r e t͡s a i̯ n
aferecan	a f e r e t͡s a n
aferema	a f e r e m a
aferemaj	a f e r e m a i̯
aferemajn	a f e r e m a i̯ n
afereman	a f e r e m a n
afereto	a f e r e t o
aferisto	a f e r i s t o
afero	a f e r o
aferstato	a f e r s t a t o
aferŝarĝito	a f e r ʃ a r d͡ʒ i t o
afervojaĝo	a f e r v o j a d͡ʒ o
afgana	a f ɡ a n a
afganaj	a f ɡ a n a i̯
afganajn	a f ɡ a n a i̯ n
afganan	a f ɡ a n a n
Afganio	a f ɡ a n i o
Afganistano	a f ɡ a n i s t a n o
afgano	a f ɡ a n o
Afganujo	a f ɡ a n u j o
afido	a f i d o
afikso	a f i k s o
afiksoido	a f i k s o i d o
afiksoidoj	a f i k s o i d o i̯
afiksoidojn	a f i k s o i d o i̯ n
afiksoidon	a f i k s o i d o n
afiksoj	a f i k s o i̯
afiksojn	a f i k s o i̯ n
afikson	a f i k s o n
afishejo	a f i ʃ e j o
afisxejo	a f i ʃ e j o
afiŝas	a f i ʃ a s
afiŝejo	a f i ʃ e j o
afiŝhomo	a f i ʃ h o m o
afiŝi	a f i ʃ i
afiŝis	a f i ʃ i s
afiŝisto	a f i ʃ i s t o
afiŝo	a f i ʃ o
afiŝoj	a f i ʃ o i̯
afiŝojn	a f i ʃ o i̯ n
afiŝon	a f i ʃ o n
afiŝos	a f i ʃ o s
afiŝu	a f i ʃ u
afiŝus	a f i ʃ u s
afliktanta	a f l i k t a n t a
afliktante	a f l i k t a n t e
afliktas	a f l i k t a s
