ஃ	ɐ hᵄ
ஆபகூக்	aː b ɐ ɡ uː k
ஆபத்து	aː b ɐ t̪ː u
ஆபரணம்	aː b ɐ ɾ ɐ ɳ ɐ m
ஆபிச்	aː b i t͡ɕ
ஆபிரகாம்	aː b i ɾ ɐ ɡ aː m
ஆபிரகாம்	aː b ɾ ɐ h aː m
ஆபீசு	aː b iː t͡ɕ u
ஆப்காரி	aː p k aː ɾ i
ஆப்பம்	aː pː ɐ m
ஆப்பிரிக்கா	aː pː i ɾ i kː aː
ஆமை	aː m a ɪ̯
ஆமைகள்	aː m a ɪ̯ ɡ ɐ ɭ
ஆம்	aː m
ஆம்பல்	aː m b ɐ l
ஆம்பி	aː m b i
ஆயத்தம்	aː j ɐ t̪ː ɐ m
ஆயன்	aː j ɐ n
ஆயர்	aː j ɐ ɾ
ஆயா	aː j aː
ஆயிட்டு	aː j i ʈː u
ஆயிரம்	aː j i ɾ ɐ m
ஆயிழை	aː j i ɻ a ɪ̯
ஆயுசு	aː j u t͡ɕ u
ஆயுட்காலம்	aː j u ʈ k aː l ɐ m
ஆயுதம்	aː j u d̪ ɐ m
ஆயுள்	aː j u ɭ
ஆய்	aː j
ஆய்ச்சி	aː j t͡ɕː i
ஆய்வு	aː j ʋ u
ஆரம்	aː ɾ ɐ m
ஆரம்பம்	aː ɾ ɐ m b ɐ m
ஆரம்பி	aː ɾ ɐ m b i
ஆராய்ச்சி	aː ɾ aː j t͡ɕː i
ஆரியம்	aː ɾ i j ɐ m
ஆரிருள்	aː ɾ i ɾ u ɭ
ஆரோக்கியம்	aː ɾ oː kː i j ɐ m
ஆரோக்கியம்	aː ɾ oː ɡ ɡ i j ɐ m
ஆர்கனோ	aː ɾ ɡ ɐ n oː
ஆர்ட்டின்	aː ɾ ʈː i n
ஆர்ட்டின்கள்	aː ɾ ʈː i n ɡ ɐ ɭ
ஆர்த்தி	aː ɾ t̪ː i
ஆர்மதி	aː ɾ m ɐ d̪ i
ஆர்மீனியா	aː ɾ m iː n i j aː
ஆர்வம்	aː ɾ ʋ ɐ m
ஆறாவது	aː r aː ʋ ɐ d̪ u
ஆறு	aː r u
ஆறுமணிப்பூ	aː r u m ɐ ɳ i pː uː
ஆற்றங்கரை	aː rː ɐ ŋ ɡ ɐ ɾ a ɪ̯
ஆற்றல்	aː rː ɐ l
ஆற்று	aː rː u
ஆற்றுச்செருப்படி	aː rː u t͡ɕː e ɾ u pː ɐ ɖ i
ஆலக்கொடி	aː l ɐ kː o ɖ i
ஆலசம்	aː l ɐ t͡ɕ ɐ m
ஆலப்புழா	aː l ɐ pː u ɻ aː
ஆலமரம்	aː l ɐ m ɐ ɾ ɐ m
ஆலம்	aː l ɐ m
ஆலயம்	aː l ɐ j ɐ m
ஆலா	aː l aː
ஆலாபனம்	aː l aː b ɐ n ɐ m
ஆலை	aː l a ɪ̯
ஆலோசனை	aː l oː t͡ɕ ɐ n a ɪ̯
ஆல்	aː l
ஆளாபம்	aː ɭ aː b ɐ m
ஆளி	aː ɭ i
ஆளுகை	aː ɭ u ɡ a ɪ̯
ஆளுங்கணம்	aː ɭ u ŋ ɡ ɐ ɳ ɐ m
ஆளுநர்	aː ɭ u n̪ ɐ ɾ
ஆளுவல்லி	aː ɭ u ʋ ɐ l l i
ஆள்	aː ɭ
ஆழம்	aː ɻ ɐ m
ஆழி	aː ɻ i
ஆழிப்பேரலை	aː ɻ i pː eː ɾ ɐ l a ɪ̯
ஆழ்கடல்	aː ɻ ɡ ɐ ɖ ɐ l
ஆழ்மயக்கம்	aː ɻ m ɐ j ɐ kː ɐ m
ஆவணப்படம்	aː ʋ ɐ ɳ ɐ pː ɐ ɖ ɐ m
ஆவணம்	aː ʋ ɐ ɳ ɐ m
ஆவணி	aː ʋ ɐ ɳ i
ஆவலி	aː ʋ ɐ l i
ஆவல்	aː ʋ ɐ l
ஆவி	aː ʋ i
ஆவுளியா	aː ʋ u ɭ i j aː
ஆஸ்திரேலியா	aː s t̪ i ɾ eː l i j aː
ஆஸ்பத்திரி	aː s p ɐ t̪ː i ɾ i
இ	i
இகழ்ச்சி	i ɡ ɐ ɻ t͡ɕː i
இகுலாசு	i ɡ u l aː t͡ɕ u
இகுவான்	i ɡ u ʋ aː n
இக்கு	i kː u
இக்தியார்	i k t̪ i j aː ɾ
இக்லூ	i k l uː
இக்லூ	i ɡ l uː
இங்கண்	i ŋ ɡ ɐ ɳ
இங்கிட்டு	i ŋ ɡ i ʈː u
இங்கிலாந்து	i ŋ ɡ i l aː n̪ d̪ u
இங்கு	i ŋ ɡ u
இங்குத்தை	i ŋ ɡ u t̪ː a ɪ̯
இங்குஷேத்தியா	i ŋ ɡ u ʂ eː t̪ː i j aː
இங்கே	i ŋ ɡ eː
இங்ஙனம்	i ŋː ɐ n ɐ m
இசப்கோல்	i t͡ɕ ɐ p k oː l
இசுபேடு	i t͡ɕ u b eː ɖ u
இசுபேடுக்கள்	i t͡ɕ u b eː ɖ u kː ɐ ɭ
இசுலாம்	i t͡ɕ u l aː m
இசை	i t͡ɕ a ɪ̯
இசைக்கருவி	i t͡ɕ a ɪ̯ kː ɐ ɾ u ʋ i
இசைப்பாட்டு	i t͡ɕ a ɪ̯ pː aː ʈː u
இசைவு	i t͡ɕ a ɪ̯ ʋ u
இச்சகம்	i t͡ɕː ɐ ɡ ɐ m
இச்சை	i t͡ɕː a ɪ̯
இஞ்சி	i ɲ d͡ʑ i
இஞ்சிமாங்காய்	i ɲ d͡ʑ i m aː ŋ ɡ aː j
இஞ்சீல்	i ɲ d͡ʑ iː l
இடக்கரடக்கல்	i ɖ ɐ kː ɐ ɾ ɐ ɖ ɐ kː ɐ l
இடது	i ɖ ɐ d̪ u
இடப்பு	i ɖ ɐ pː u
இடப்பெயர்	i ɖ ɐ pː e j ɐ ɾ
இடம்	i ɖ ɐ m
இடாய்ச்சு	i ɖ aː j t͡ɕː u
இடி	i ɖ i
இடியப்பம்	i ɖ i j ɐ pː ɐ m
இடியாப்பம்	i ɖ i j aː pː ɐ m
இடு	i ɖ u
இடுகுறி	ʔ i ɖ u k u r i
இடுக்கி	i ɖ u kː i
இடுப்பு	i ɖ u pː u
இடை	i ɖ a ɪ̯
இடைச்சொல்	i ɖ a ɪ̯ t͡ɕː o l
இடையாட்டம்	i ɖ a ɪ̯ j aː ʈː ɐ m
இடையிடு	i ɖ a ɪ̯ j i ɖ u
இடையினம்	i ɖ a ɪ̯ j i n ɐ m
இடையீடு	i ɖ a ɪ̯ j iː ɖ u
இடையூறு	i ɖ a ɪ̯ j uː r u
இட்டம்	i ʈː ɐ m
இட்டிடை	i ʈː i ɖ a ɪ̯
இட்டிடைஞ்சல்	i ʈː i ɖ a ɪ̯ ɲ d͡ʑ ɐ l
இட்டு	i ʈː u
இட்லி	i ɖ l i
இட்லி	i ʈ l i
இணக்கம்	i ɳ ɐ kː ɐ m
இணக்கு	i ɳ ɐ kː u
இணர்	i ɳ ɐ ɾ
இணை	i ɳ a ɪ̯
இணையதளம்	i ɳ a ɪ̯ j ɐ d̪ ɐ ɭ ɐ m
இதயம்	i d̪ ɐ j ɐ m
இதலை	i d̪ ɐ l a ɪ̯
இதழ்	i d̪ ɐ ɻ
இதிகாசம்	i d̪ i ɡ aː t͡ɕ ɐ m
இது	i d̪ u
இத்தனை	i t̪ː ɐ n a ɪ̯
இத்தால்	i t̪ː aː l
இத்திஹாத்தான	i t̪ː i h aː t̪ː aː n ɐ
இந்த	i n̪ d̪ ɐ
இந்தி	i n̪ d̪ i
இந்தியர்	i n̪ d̪ i j ɐ ɾ
இந்தியா	i n̪ d̪ i j aː
இந்து	i n̪ d̪ u
இந்தோனேசியா	i n̪ d̪ oː n eː t͡ɕ i j aː
இனப்படுகொலை	i n ɐ pː ɐ ɖ u ɡ o l a ɪ̯
இனம்	i n ɐ m
இனி	i n i
இனிப்பு	i n i pː u
இனிமை	i n i m a ɪ̯
இனிய	i n i j ɐ
இன்கண்	i n ɡ ɐ ɳ
இன்ன	i nː ɐ
இன்னணம்	i nː ɐ ɳ ɐ m
இன்னது	i nː ɐ d̪ u
இன்னல்	i nː ɐ l
இன்னுமின்னும்	i nː u m i nː u m
இன்னும்	i nː u m
இன்னே	i nː eː
இன்பம்	i n b ɐ m
இன்றிரவு	i n r i ɾ ɐ ʋ u
இன்று	i n r u
இபங்கம்	i b ɐ ŋ ɡ ɐ m
இபுதார்	i b u d̪ aː ɾ
இப்படி	i pː ɐ ɖ i
இப்பொழுது	i pː o ɻ u d̪ u
இப்போது	i pː oː d̪ u
இப்ராஹிம்	i b ɾ aː h i m
இமம்	i m ɐ m
இமாம்	i m aː m
இம்சை	i m t͡ɕ a ɪ̯
இயக்கங்கள்	i j ɐ kː ɐ ŋ ɡ ɐ ɭ
இயக்கம்	i j ɐ kː ɐ m
இயக்கு	i j ɐ kː u
இயக்குரோதம்	i j ɐ kː u ɾ oː d̪ ɐ m
இயங்கு	i j ɐ ŋ ɡ u
இயங்குதளம்	i j ɐ ŋ ɡ u d̪ ɐ ɭ ɐ m
இயந்திரம்	i j ɐ n̪ d̪ i ɾ ɐ m
இயம்	i j ɐ m
இயற்கணிதம்	i j ɐ r k ɐ ɳ i d̪ ɐ m
இயற்கை	i j ɐ r k a ɪ̯
இயற்கைப்பொருள்	i j ɐ r k a ɪ̯ pː o ɾ u ɭ
இயல்	i j ɐ l
இயல்பு	i j ɐ l b u
இயல்புகணம்	i j ɐ l b u ɡ ɐ ɳ ɐ m
இயாத்திரை	i j aː t̪ː i ɾ a ɪ̯
இயேசு	i j eː t͡ɕ u
இயைபு	i j a ɪ̯ b u
இரக்கம்	i ɾ ɐ kː ɐ m
இரங்கு	i ɾ ɐ ŋ ɡ u
இரசாயனம்	i ɾ ɐ t͡ɕ aː j ɐ n ɐ m
இரசிதம்	i ɾ ɐ t͡ɕ i d̪ ɐ m
இரட்சி	i ɾ ɐ ʈ t͡ɕ i
இரட்டகத்துத்தி	i ɾ ɐ ʈː ɐ ɡ ɐ t̪ː u t̪ː i
இரட்டை	i ɾ ɐ ʈː a ɪ̯
இரட்டைக்கிளவி	i ɾ ɐ ʈː a ɪ̯ kː i ɭ ɐ ʋ i
இரட்டையர்	i ɾ ɐ ʈː a ɪ̯ j ɐ ɾ
இரணியம்	i ɾ ɐ ɳ i j ɐ m
இரண்டு	i ɾ ɐ ɳ ɖ u
இரண்டை	i ɾ ɐ ɳ ɖ a ɪ̯
இரதம்	i ɾ ɐ d̪ ɐ m
இரத்தம்	i ɾ ɐ t̪ː ɐ m
இரத்தினம்	i ɾ ɐ t̪ː i n ɐ m
இரந்தை	i ɾ ɐ n̪ d̪ a ɪ̯
இரப்பு	i ɾ ɐ pː u
இரவு	i ɾ ɐ ʋ u
இராகம்	i ɾ aː ɡ ɐ m
இராகவன்	i ɾ aː ɡ ɐ ʋ ɐ n
இராசகுமாரி	i ɾ aː t͡ɕ ɐ ɡ u m aː ɾ i
இராசபுத்திரன்	i ɾ aː t͡ɕ ɐ b u t̪ː i ɾ ɐ n
இராசி	i ɾ aː t͡ɕ i
இராஜாளி	i ɾ aː d͡ʑ aː ɭ i
இராத்திரி	i ɾ aː t̪ː i ɾ i
இராமச்சந்திரன்	i ɾ aː m ɐ t͡ɕː ɐ n̪ d̪ i ɾ ɐ n
இராமமுழியன்	i ɾ aː m ɐ m u ɻ i j ɐ n
இராமர்	i ɾ aː m ɐ ɾ
இராமானுசன்	i ɾ aː m aː n u t͡ɕ ɐ n
இராமாயணம்	i ɾ aː m aː j ɐ ɳ ɐ m
இரு	i ɾ u
இருக்கை	i ɾ u kː a ɪ̯
இருதயம்	i ɾ u d̪ ɐ j ɐ m
இருநூறு	i ɾ u n̪ uː r u
இருபது	i ɾ u b ɐ d̪ u
இருபாலீர்ப்பு	i ɾ u p aː l iː ɾ pː u
இருபால்சேர்க்கை	i ɾ u p aː l t͡ɕ eː ɾ kː a ɪ̯
இருபிறப்பாளன்	i ɾ u b i r ɐ pː aː ɭ ɐ n
இருப்பன	i ɾ u pː ɐ n ɐ
இருப்பிடம்	i ɾ u pː i ɖ ɐ m
இருப்பு	i ɾ u pː u
இருப்புப்பாதை	i ɾ u pː u pː aː d̪ a ɪ̯
இருமல்	i ɾ u m ɐ l
இருமு	i ɾ u m u
இருமையின்மை	i ɾ u m a ɪ̯ j i n m a ɪ̯
இரும்பு	i ɾ u m b u
இருளுவா	i ɾ u ɭ u ʋ aː
இருளை	i ɾ u ɭ a ɪ̯
இருள்	i ɾ u ɭ
இரேவதி	i ɾ eː ʋ ɐ d̪ i
இரேவற்சின்னி	i ɾ eː ʋ ɐ r t͡ɕ i nː i
இரை	i ɾ a ɪ̯
இரைச்சல்	i ɾ a ɪ̯ t͡ɕː ɐ l
இரைப்பை	i ɾ a ɪ̯ pː a ɪ̯
இற	i r ɐ
இறகர்	i r ɐ ɡ ɐ ɾ
இறகு	i r ɐ ɡ u
இறக்கு	i r ɐ kː u
இறக்கை	i r ɐ kː a ɪ̯
இறங்கு	i r ɐ ŋ ɡ u
இறப்பு	i r ɐ pː u
இறால்	i r aː l
இறுதி	i r u d̪ i
இறுமாப்பு	i r u m aː pː u
இறை	i r a ɪ̯
இறைச்சி	i r a ɪ̯ t͡ɕː i
இறையியல்	i r a ɪ̯ j i j ɐ l
இறைவன்	i r a ɪ̯ ʋ ɐ n
இறைவாக்கினர்	i r a ɪ̯ ʋ aː kː i n ɐ ɾ
இறைவாக்கு	i r a ɪ̯ ʋ aː kː u
இறைவி	i r a ɪ̯ ʋ i
இலகு	i l ɐ ɡ u
இலக்கணம்	i l ɐ kː ɐ ɳ ɐ m
இலக்கம்	i l ɐ kː ɐ m
இலக்கிய	i l ɐ kː i j ɐ
இலக்கியம்	i l ɐ kː i j ɐ m
இலக்கு	i l ɐ kː u
இலக்குமி	i l ɐ kː u m i
இலங்கை	i l ɐ ŋ ɡ a ɪ̯
இலட்சத்தீவுகள்	i l ɐ ʈ t͡ɕ ɐ t̪ː iː ʋ u ɡ ɐ ɭ
இலட்சம்	i l ɐ ʈ t͡ɕ ɐ m
இலட்சுமணன்	i l ɐ ʈ t͡ɕ u m ɐ ɳ ɐ n
இலண்டன்	i l ɐ ɳ ɖ ɐ n
இலத்தீன்	i l ɐ t̪ː iː n
இலம்பகம்	i l ɐ m b ɐ ɡ ɐ m
இலயம்	i l ɐ j ɐ m
இலயை	i l ɐ j a ɪ̯
இலவசம்	i l ɐ ʋ ɐ t͡ɕ ɐ m
இலாபம்	i l aː b ɐ m
இலுமு	i l u m u
இலை	i l a ɪ̯
இலையுதிர்	i l a ɪ̯ j u d̪ i ɾ
இல்	i l
இல்லகம்	i l l ɐ ɡ ɐ m
இல்லக்கிழத்தி	i l l ɐ kː i ɻ ɐ t̪ː i
இல்லத்தரசி	i l l ɐ t̪ː ɐ ɾ ɐ t͡ɕ i
இல்லம்	i l l ɐ m
இல்லாக்காட்டில்	i l l aː kː aː ʈː i l
இல்லாள்	i l l aː ɭ
இல்லிடம்	i l l i ɖ ɐ m
இல்லை	i l l a ɪ̯
இள	i ɭ ɐ
இளங்கோ	i ɭ ɐ ŋ ɡ oː
இளஞ்சி	i ɭ ɐ ɲ d͡ʑ i
இளநீர்	i ɭ ɐ n̪ iː ɾ
இளமை	i ɭ ɐ m a ɪ̯
இளம்	i ɭ ɐ m
இளம்பிறை	i ɭ ɐ m b i r a ɪ̯
இளம்பிள்ளைவாதம்	i ɭ ɐ m b i ɭː a ɪ̯ ʋ aː d̪ ɐ m
இளவேனில்	i ɭ ɐ ʋ eː n i l
இளைஞன்	i ɭ a ɪ̯ ɲ ɐ n
இளைப்பாறு	i ɭ a ɪ̯ pː aː r u
இளைப்பாறுதல்	i ɭ a ɪ̯ pː aː r u d̪ ɐ l
இளைப்பாற்று	i ɭ a ɪ̯ pː aː rː u
இளைப்பு	i ɭ a ɪ̯ pː u
இழ	i ɻ ɐ
இழப்பீடு	i ɻ ɐ pː iː ɖ u
இழப்பு	i ɻ ɐ pː u
இழவு	i ɻ ɐ ʋ u
இழவுகொண்டாடு	i ɻ ɐ ʋ u ɡ o ɳ ɖ aː ɖ u
இழிகை	i ɻ i ɡ a ɪ̯
இழிசு	i ɻ i t͡ɕ u
இழிதகவு	i ɻ i d̪ ɐ ɡ ɐ ʋ u
இழிப்பு	i ɻ i pː u
இழிவு	i ɻ i ʋ u
இழு	i ɻ u
இழுகு	i ɻ u ɡ u
இழுக்கம்	i ɻ u kː ɐ m
இழுக்கு	i ɻ u kː u
இழுது	i ɻ u d̪ u
இழுதை	i ɻ u d̪ a ɪ̯
இழுப்பறை	i ɻ u pː ɐ r a ɪ̯
இவன்	i ʋ ɐ n
இவர்	i ʋ ɐ ɾ
இவர்கள்	i ʋ ɐ ɾ ɡ ɐ ɭ
இவள்	i ʋ ɐ ɭ
இவை	i ʋ a ɪ̯
இஷ்டம்	i ʂ ʈ ɐ m
இஸ்லாமாபாத்	i s l aː m aː b aː d̪
ஈ	iː
ஈகை	iː ɡ a ɪ̯
ஈசன்	iː t͡ɕ ɐ n
ஈசல்	iː t͡ɕ ɐ l
ஈசல்கொட்டு	iː t͡ɕ ɐ l ɡ o ʈː u
ஈச்சு	iː t͡ɕː u
ஈடு	iː ɖ u
ஈட்டி	iː ʈː i
ஈட்டு	iː ʈː u
ஈனம்	iː n ɐ m
ஈனில்	iː n i l
ஈமம்	iː m ɐ m
ஈயம்	iː j ɐ m
ஈரமான	iː ɾ ɐ m aː n ɐ
ஈரம்	iː ɾ ɐ m
ஈரர்	iː ɾ ɐ ɾ
ஈரல்	iː ɾ ɐ l
ஈரோடு	iː ɾ oː ɖ u
ஈர்ப்பு	iː ɾ pː u
ஈறு	iː r u
ஈற்றயல்	iː rː ɐ j ɐ l
ஈளை	iː ɭ a ɪ̯
ஈழம்	iː ɻ ɐ m
உ	u
உஃப	u f aː
உஃப	u f ɐ
உகளம்	u ɡ ɐ ɭ ɐ m
உகவர்	u ɡ ɐ ʋ ɐ ɾ
உகிர்	u ɡ i ɾ
உக்கம்பருத்தி	u kː ɐ m b ɐ ɾ u t̪ː i
உசுபெக்கிசுத்தான்	u t͡ɕ u b e kː i t͡ɕ u t̪ː aː n
உச்சரிப்பு	u t͡ɕː ɐ ɾ i pː u
உச்சவம்	u t͡ɕː ɐ ʋ ɐ m
உச்சி	u t͡ɕː i
உடனடியாக	u ɖ ɐ n ɐ ɖ i j aː ɡ ɐ
உடனே	u ɖ ɐ n eː
உடன்	u ɖ ɐ n
உடம்பு	u ɖ ɐ m b u
உடலிலான்	u ɖ ɐ l i l aː n
உடலுறவு	u ɖ ɐ l u r ɐ ʋ u
உடல்	u ɖ ɐ l
உடுக்குறி	u ɖ u kː u r i
உடுக்கை	u ɖ u kː a ɪ̯
உடுப்பு	u ɖ u pː u
உடை	u ɖ a ɪ̯
உடைமை	u ɖ a ɪ̯ m a ɪ̯
உடையவன்	u ɖ a ɪ̯ j ɐ ʋ ɐ n
உட்கருத்து	u ʈ k ɐ ɾ u t̪ː u
உட்கார்	u ʈ k aː ɾ
உட்கோட்டை	u ʈ k oː ʈː a ɪ̯
உட்பொருள்	u ʈ p o ɾ u ɭ
உணர்	u ɳ ɐ ɾ
உணர்ச்சி	u ɳ ɐ ɾ t͡ɕː i
உணர்த்தி	u ɳ ɐ ɾ t̪ː i
உணர்ப்பு	u ɳ ɐ ɾ pː u
உணர்வு	u ɳ ɐ ɾ ʋ u
உணவகம்	u ɳ ɐ ʋ ɐ ɡ ɐ m
உணவு	u ɳ ɐ ʋ u
உண்	u ɳ
உண்டா	u ɳ ɖ aː
உண்டாக	u ɳ ɖ aː ɡ ɐ
உண்டாக்கு	u ɳ ɖ aː kː u
உண்டியல்	u ɳ ɖ i j ɐ l
உண்டுபடு	u ɳ ɖ u b ɐ ɖ u
உண்டுபடுத்து	u ɳ ɖ u b ɐ ɖ u t̪ː u
உண்டுபண்ணிவை	u ɳ ɖ u b ɐ ɳː i ʋ a ɪ̯
உண்டுபண்ணு	u ɳ ɖ u b ɐ ɳː u
உண்டை	u ɳ ɖ a ɪ̯
உண்ணாட்டம்	u ɳː aː ʈː ɐ m
உண்ணி	u ɳː i
உண்ணிக்கொக்கு	u ɳː i kː o kː u
உண்ணீர்	u ɳː iː ɾ
உண்ணோக்கல்	u ɳː oː kː ɐ l
உண்மை	u ɳ m a ɪ̯
உதகை	u d̪ ɐ ɡ a ɪ̯
உதடு	u d̪ ɐ ɖ u
உதறு	u d̪ ɐ r u
உதள்	u d̪ ɐ ɭ
உதவி	u d̪ ɐ ʋ i
உதவு	u d̪ ɐ ʋ u
உதாரணம்	u d̪ aː ɾ ɐ ɳ ɐ m
உதாரத்துவம்	u d̪ aː ɾ ɐ t̪ː u ʋ ɐ m
உதிரம்	u d̪ i ɾ ɐ m
உதிரவேங்கை	u d̪ i ɾ ɐ ʋ eː ŋ ɡ a ɪ̯
உதிர்	u d̪ i ɾ
உதை	u d̪ a ɪ̯
உத்தரம்	u t̪ː ɐ ɾ ɐ m
உத்தரவு	u t̪ː ɐ ɾ ɐ ʋ u
உத்தராகண்டம்	u t̪ː ɐ ɾ aː ɡ ɐ ɳ ɖ ɐ m
உத்தரி	u t̪ː ɐ ɾ i
உத்தரீயம்	u t̪ː ɐ ɾ iː j ɐ m
உந்தி	u n̪ d̪ i
உந்திபூத்தோன்	u n̪ d̪ i b uː t̪ː oː n
உன்	u n
உன்னதபாட்டு	u nː ɐ d̪ ɐ p aː ʈː u
உன்னதம்	u nː ɐ d̪ ɐ m
உன்னம்	u nː ɐ m
உன்னல்	u nː ɐ l
உன்னு	u nː u
உபகாரம்	u b ɐ ɡ aː ɾ ɐ m
உபத்திரவம்	u b ɐ t̪ː i ɾ ɐ ʋ ɐ m
உபயோகம்	u b ɐ j oː ɡ ɐ m
உபயோகி	u b ɐ j oː ɡ i
உபவாசம்	u b ɐ ʋ aː t͡ɕ ɐ m
உபாயம்	u b aː j ɐ m
உபோதம்	u b oː d̪ ɐ m
உப்பளம்	u pː ɐ ɭ ɐ m
உப்பு	u b b u
உப்பு	u pː u
உப்புமா	u pː u m aː
உப்புவாயு	u pː u ʋ aː j u
உமரி	u m ɐ ɾ i
உம்	u m
உம்மைக்குறி	u mː a ɪ̯ kː u r i
உயரமான	u j ɐ ɾ ɐ m aː n ɐ
உயரம்	u j ɐ ɾ ɐ m
உயர்	u j ɐ ɾ
உயர்ச்சி	u j ɐ ɾ t͡ɕː i
உயர்திணை	u j ɐ ɾ d̪ i ɳ a ɪ̯
உயர்பு	u j ɐ ɾ b u
உயர்வு	u j ɐ ɾ ʋ u
உயிரணு	u j i ɾ ɐ ɳ u
உயிரியல்	u j i ɾ i j ɐ l
உயிரிழப்பு	u j i ɾ i ɻ ɐ pː u
உயிரெழுத்து	u j i ɾ e ɻ u t̪ː u
உயிர்	u j i ɾ
உயிர்த்தெழு	u j i ɾ t̪ː e ɻ u
உயிர்ப்பு	u j i ɾ pː u
உயிர்ப்புனல்	u j i ɾ pː u n ɐ l
உயிர்மெய்யெழுத்து	u j i ɾ m e jː e ɻ u t̪ː u
உயிர்வளி	u j i ɾ ʋ ɐ ɭ i
உயிர்வேதியியல்	u j i ɾ ʋ eː d̪ i j i j ɐ l
உய்கை	u j ɡ a ɪ̯
உரங்காட்டு	u ɾ ɐ ŋ ɡ aː ʈː u
உரங்குத்து	u ɾ ɐ ŋ ɡ u t̪ː u
உரி	u ɾ i
உரிமை	u ɾ i m a ɪ̯
உரிமைக்கடன்	u ɾ i m a ɪ̯ kː ɐ ɖ ɐ n
உரிய	u ɾ i j ɐ
உருகு	u ɾ u ɡ u
உருக்கம்	u ɾ u kː ɐ m
உருக்கு	u ɾ u kː u
உருசியா	u ɾ u t͡ɕ i j aː
உருட்டு	u ɾ u ʈː u
உருது	u ɾ u d̪ u
உருத்திரன்	u ɾ u t̪ː i ɾ ɐ n
உருப்பம்	u ɾ u pː ɐ m
உருப்பு	u ɾ u pː u
உருமேறு	u ɾ u m eː r u
உரும்	u ɾ u m
உருளைக்கிழங்கு	u ɾ u ɭ a ɪ̯ kː i ɻ ɐ ŋ ɡ u
உருள்	u ɾ u ɭ
உருவம்	u ɾ u ʋ ɐ m
உரை	u ɾ a ɪ̯
உரோகிணி	u ɾ oː ɡ i ɳ i
உரோமம்	u ɾ oː m ɐ m
உரோம்	u ɾ oː m
உறக்கம்	u r ɐ kː ɐ m
உறங்கு	u r ɐ ŋ ɡ u
உறப்பு	u r ɐ pː u
உறல்	u r ɐ l
உறழ்ச்சி	u r ɐ ɻ t͡ɕː i
உறழ்வு	u r ɐ ɻ ʋ u
உறவினர்	u r ɐ ʋ i n ɐ ɾ
உறவு	u r ɐ ʋ u
உறி	u r i
உறிஞ்சி	u r i ɲ d͡ʑ i
உறிஞ்சு	u r i ɲ d͡ʑ u
உறு	u r u
உறுகண்	u r u ɡ ɐ ɳ
உறுகோள்	u r u ɡ oː ɭ
உறுதி	u r u d̪ i
உறுதிக்கட்டுரை	u r u d̪ i kː ɐ ʈː u ɾ a ɪ̯
உறுதிபூசுதல்	u r u d̪ i b uː t͡ɕ u d̪ ɐ l
உறுதிப்படுத்து	u r u d̪ i pː ɐ ɖ u t̪ː u
உறுதிப்பாடு	u r u d̪ i pː aː ɖ u
உறுதிமொழி	u r u d̪ i m o ɻ i
உறுத்து	u r u t̪ː u
உறுப்பிசைக்குறி	u r u pː i t͡ɕ a ɪ̯ kː u r i
உறுப்பினர்	u r u pː i n ɐ ɾ
உறுப்பு	u r u pː u
உறுமு	u r u m u
உறை	u r a ɪ̯
உறையுள்	u r a ɪ̯ j u ɭ
உற்சவம்	u r t͡ɕ ɐ ʋ ɐ m
உலகம்	u l ɐ ɡ ɐ m
உலங்கு	u l ɐ ŋ ɡ u
உலர்ச்சி	u l ɐ ɾ t͡ɕː i
உலர்ந்தம்	u l ɐ ɾ n̪ d̪ ɐ m
உலாவி	u l aː ʋ i
உலுவம்	u l u ʋ ɐ m
உலை	u l a ɪ̯
உலோகம்	u l oː ɡ ɐ m
உளறல்	u ɭ ɐ r ɐ l
உளறு	u ɭ ɐ r u
உளவாளி	u ɭ ɐ ʋ aː ɭ i
உளவியல்	u ɭ ɐ ʋ i j ɐ l
உளவு	u ɭ ɐ ʋ u
உளுந்து	u ɭ u n̪ d̪ u
உள்	u ɭ
உள்ளங்கை	u ɭː ɐ ŋ ɡ a ɪ̯
உள்ளது	u ɭː ɐ d̪ u
உள்ளம்	u ɭː ɐ m
உள்ளா	u ɭː aː
உள்ளாடை	u ɭː aː ɖ a ɪ̯
உள்ளாடைகள்	u ɭː aː ɖ a ɪ̯ ɡ ɐ ɭ
உள்ளாலை	u ɭː aː l a ɪ̯
உள்ளிடு	u ɭː i ɖ u
உள்ளுணர்வு	u ɭː u ɳ ɐ ɾ ʋ u
உள்ளுறை	u ɭː u r a ɪ̯
உழவன்	u ɻ ɐ ʋ ɐ n
உழவர்	u ɻ ɐ ʋ ɐ ɾ
உழவு	u ɻ ɐ ʋ u
உழவுகாடு	u ɻ ɐ ʋ u ɡ aː ɖ u
உழவுசால்	u ɻ ɐ ʋ u t͡ɕ aː l
உழி	u ɻ i
உழிஞை	u ɻ i ɲ a ɪ̯
உழு	u ɻ u
உழுந்து	u ɻ u n̪ d̪ u
உழை	u ɻ a ɪ̯
உழைப்பாளி	u ɻ a ɪ̯ pː aː ɭ i
உழைப்பு	u ɻ a ɪ̯ pː u
உவன்	u ʋ ɐ n
உவமை	u ʋ ɐ m a ɪ̯
உவர்மம்	u ʋ ɐ ɾ m ɐ m
உவா	u ʋ aː
உஷ்ணம்	u ʂ ɳ ɐ m
ஊ	uː
ஊக்கம்	uː kː ɐ m
ஊசி	uː t͡ɕ i
