㑚	n a ² ³
也許	ɦ i a ² ² ɕ y ⁴ ⁴
乳	l u ² ³
乳	z z̩ ² ³
乳腐	z z̩ ² ² v u ⁴ ⁴
乳腐	z z̩ ² ² ɦ u ⁴ ⁴
乾	d͡ʑ i ² ³
乾	k ø ⁵ ³
乾旱	k ø ⁵ ⁵ ɦ ø ² ¹
乾杯	k ø ⁵ ⁵ p e ² ¹
乾淨	k ø ⁵ ⁵ ʑ i n ² ¹
乾淨天	k ø ⁵ ⁵ ʑ i n ³ ³ tʰ i ² ¹
乾癟	k ø ⁵ ⁵ p i ɪ ʔ ² ¹
乾笑	k ø ⁵ ⁵ ɕ i ɔ ² ¹
乾隆	d͡ʑ i ² ² l o ŋ ⁴ ⁴
乾電池	k ø ⁵ ⁵ d i ³ ³ z z̩ ² ¹
乾飯	k ø ⁵ ⁵ v e ² ¹
乾麵	k ø ⁵ ⁵ m i ² ¹
乾黃梅	k ø ⁵ ⁵ ɦ u ɑ̃ ³ ³ m e ² ¹
亂	l ø ² ³
亂國	l ø ² ² k o ʔ ⁴ ⁴
亂言	l ø ² ² ɦ i ⁴ ⁴
亂話	l ø ² ² ɦ o ⁴ ⁴
亂講	l ø ² ² k ɑ̃ ⁴ ⁴
亂頭髮	l ø ² ² d ɤ ⁵ ⁵ f a ʔ ² ¹
了	l i ɔ ² ³
了	l ə ʔ
了	l ə ʔ ¹ ²
了勿起	l i ɔ ² ² v ə ʔ ⁵ ⁵ t͡ɕʰ i ² ¹
了解	l i ɔ ² ² t͡ɕ i a ⁴ ⁴
事	z z̩ ² ³
事件	z z̩ ² ² t͡ɕ i ⁴ ⁴
事務	z z̩ ² ² v u ⁴ ⁴
事務	z z̩ ² ² ɦ u ⁴ ⁴
事務所	z z̩ ² ² v u ⁵ ⁵ s u ² ¹
事務所	z z̩ ² ² ɦ u ⁵ ⁵ s u ² ¹
事實	z z̩ ² ² z ə ʔ ⁴ ⁴
事情	z z̩ ² ² ʑ i n ⁴ ⁴
事故	z z̩ ² ² k u ⁴ ⁴
事體	z z̩ ² ² tʰ i ⁴ ⁴
二	l i ã ² ³
二	n̠ʲ i ² ³
二	ɦ ə l ² ³
二十	ɦ ə l ² ² s ə ʔ ⁴ ⁴
二十一	n̠ʲ i ² ² z ə ʔ ⁵ ⁵ i ɪ ʔ ² ¹
二十七	n̠ʲ i ² ² z ə ʔ ⁵ ⁵ t͡ɕʰ i ɪ ʔ ² ¹
二十三	n̠ʲ i ² ² z ə ʔ ⁵ ⁵ s e ² ¹
二十九	n̠ʲ i ² ² z ə ʔ ⁵ ⁵ t͡ɕ i ɤ ² ¹
二十二	n̠ʲ i ² ² z ə ʔ ⁵ ⁵ n̠ʲ i ² ¹
二十五	n̠ʲ i ² ² z ə ʔ ⁵ ⁵ ŋ̍ ² ¹
二十八	n̠ʲ i ² ² z ə ʔ ⁵ ⁵ p a ʔ ² ¹
二十六	n̠ʲ i ² ² z ə ʔ ⁵ ⁵ l o ʔ ² ¹
二十四	n̠ʲ i ² ² z ə ʔ ⁵ ⁵ s z̩ ² ¹
二噁英	ɦ ə l ² ² o ʔ ⁵ ⁵ i n ² ¹
二婚頭	n̠ʲ i ² ² h u ə n ⁵ ⁵ d ɤ ² ¹
二手貨	l i ã ² ² s ɤ ⁵ ⁵ h u ² ¹
二月	n̠ʲ i ² ² ɦ y ɪ ʔ ⁴ ⁴
二維	ə l ² ² v i ⁴ ⁴
二維碼	l i ã ² ² v i ⁵ ⁵ m o ² ¹
二維碼	n̠ʲ i ² ² v i ⁵ ⁵ m o ² ¹
二維碼	ɦ ə l ² ² v i ⁵ ⁵ m o ² ¹
于	y ⁵ ³
云	ɦ y n ² ³
互相	ŋ u ² ² ɕ i ã ⁴ ⁴
五	u ³ ⁴
五	u ⁵ ³
五	ŋ̍ ² ³
五二零	ŋ̍ ² ³ n̠ʲ i ² ³ l i n ² ³
五十	ŋ̍ ² ² z ə ʔ ⁴ ⁴
五味雜陳	ŋ̍ ² ² m i ⁴ ⁴ z a ʔ ¹ ¹ z ə n ² ³
五官	ŋ̍ ² ² k u ø ⁴ ⁴
五嶽	ŋ̍ ² ² ŋ o ʔ ⁴ ⁴
五帝	u ³ ³ t i ⁴ ⁴
五指	ŋ̍ ² ² t͡s z̩ ⁴ ⁴
五月	ŋ̍ ² ² ɦ y ɪ ʔ ⁴ ⁴
五穀	ŋ̍ ² ² k o ʔ ⁴ ⁴
五臟六腑	ŋ̍ ² ² z ɑ̃ ⁵ ⁵ l o ʔ ³ ³ f u ² ¹
五花	ŋ̍ ² ² h o ⁴ ⁴
五花肉	ŋ̍ ² ² h o ⁵ ⁵ n̠ʲ i o ʔ ² ¹
五行	u ³ ³ ɦ i n ⁴ ⁴
五顏六色	ŋ̍ ² ² ŋ e ⁵ ⁵ l o ʔ ³ ³ s ə ʔ ² ¹
五香	ŋ̍ ² ² ɕ i ã ⁴ ⁴
五香粉	ŋ̍ ² ² ɕ i ã ⁵ ⁵ f ə n ² ¹
五香豆	ŋ̍ ² ² ɕ i ã ⁵ ⁵ d ɤ ² ¹
五體投地	u ³ ³ tʰ i ³ ³ d ɤ ³ ³ d i ² ³
五體投地	ŋ̍ ² ² tʰ i ³ ³ d ɤ ³ ³ d i ² ³
五點	ŋ̍ ² ² t i ⁴ ⁴
井	t͡ɕ i n ³ ⁴
亙	k ã ³ ⁴
些	ɕ i ⁵ ³
亞	i a ⁵ ³
亞洲	i a ⁵ ⁵ t͡s ɤ ² ¹
亞美尼亞	i a ⁵ ⁵ m e ³ ³ n̠ʲ i ³ ³ i a ² ¹
亡	m ɑ̃ ² ³
亡	v ɑ̃ ² ³
交	k ɔ ⁵ ³
交	t͡ɕ i ɔ ⁵ ³
交交關關	t͡ɕ i ɔ ⁵ ⁵ t͡ɕ i ɔ ³ ³ k u e ³ ³ k u e ² ¹
交代	k ɔ ⁵ ⁵ d e ² ¹
交代	t͡ɕ i ɔ ⁵ ⁵ d e ² ¹
交差	k ɔ ⁵ ⁵ t͡sʰ a ² ¹
交接	t͡ɕ i ɔ ⁵ ⁵ t͡ɕ i ɪ ʔ ² ¹
交易	t͡ɕ i ɔ ⁵ ⁵ ɦ i ɪ ʔ ² ¹
交春	k ɔ ⁵ ⁵ t͡sʰ ə n ² ¹
交朋友	k ɔ ⁴ ⁴ b ã ² ² ɦ i ɤ ⁴ ⁴
交朋友	t͡ɕ i ɔ ⁴ ⁴ b ã ² ² ɦ i ɤ ⁴ ⁴
交水費	k ɔ ⁴ ⁴ s z̩ ³ ³ f i ⁴ ⁴
交流	t͡ɕ i ɔ ⁵ ⁵ l i ɤ ² ¹
交秋	k ɔ ⁵ ⁵ t͡ɕʰ i ɤ ² ¹
交談	t͡ɕ i ɔ ⁵ ⁵ d e ² ¹
交通	t͡ɕ i ɔ ⁵ ⁵ tʰ o ŋ ² ¹
交關	t͡ɕ i ɔ ⁵ ⁵ k u e ² ¹
亥	ɦ e ² ³
亦	ɦ i ɪ ʔ ¹ ²
亨	h ã ⁵ ³
亨八冷	h ã ⁵ ⁵ p a ʔ ³ ³ l ã ² ¹
亨八冷打	h ã ⁵ ⁵ p a ʔ ³ ³ l ã ³ ³ t ã ² ¹
享受	ɕ i ã ³ ³ z ɤ ⁴ ⁴
京	t͡ɕ i n ⁵ ³
京城	t͡ɕ i n ⁵ ⁵ z ə n ² ¹
京戲	t͡ɕ i n ⁵ ⁵ ɕ i ² ¹
亭	d i n ² ³
亮	l i ã ² ³
亮光	l i ã ² ² k u ɑ̃ ⁴ ⁴
亮光下頭	l i ã ² ² k u ɑ̃ ⁵ ⁵ ɦ o ³ ³ d ɤ ² ¹
亮晶晶	l i ã ² ² t͡ɕ i n ⁵ ⁵ t͡ɕ i n ² ¹
亮眼瞎子	l i ã ² ² ŋ e ⁵ ⁵ h a ʔ ³ ³ t͡s z̩ ² ¹
亳	b o ʔ ¹ ²
亳州	b o ʔ ¹ ¹ t͡s ɤ ² ³
人	n̠ʲ i n ² ³
人	z ə n ² ³
人中	n̠ʲ i n ² ² t͡s o ŋ ⁴ ⁴
人事	z ə n ² ² z z̩ ⁴ ⁴
人來瘋	n̠ʲ i n ² ² l e ⁵ ⁵ f o ŋ ² ¹
人參	n̠ʲ i n ² ² s ə n ⁴ ⁴
人口	z ə n ² ² kʰ ɤ ⁴ ⁴
人客	n̠ʲ i n ² ² kʰ a ʔ ⁴ ⁴
人家	n̠ʲ i n ² ² k a ⁴ ⁴
人山人海	n̠ʲ i n ² ² s e ⁵ ⁵ n̠ʲ i n ³ ³ h e ² ¹
人工	n̠ʲ i n ² ² k o ŋ ⁴ ⁴
人工紅綠燈	n̠ʲ i n ² ² k o ŋ ⁴ ⁴ ɦ o ŋ ² ² l o ʔ ⁵ ⁵ t ə n ² ¹
人心隔肚皮	n̠ʲ i n ² ² ɕ i n ³ ³ k a ʔ ⁴ ⁴ d u ² ² b i ⁴ ⁴
人性命	n̠ʲ i n ² ² ɕ i n ⁵ ⁵ m i n ² ¹
人手	n̠ʲ i n ² ² s ɤ ⁴ ⁴
人民	z ə n ² ² m i n ⁴ ⁴
人民共和國	z ə n ² ² m i n ³ ³ ɡ o ŋ ² ² ɦ u ⁵ ⁵ k o ʔ ² ¹
人民幣	z ə n ² ² m i n ⁵ ⁵ b i ² ¹
人物	n̠ʲ i n ² ² v ə ʔ ⁴ ⁴
人生	z ə n ² ² s ə n ⁴ ⁴
人造	z ə n ² ² z ɔ ⁴ ⁴
人門	n̠ʲ i n ² ² m ə n ⁴ ⁴
人間	z ə n ² ² t͡ɕ i ⁴ ⁴
人類	n̠ʲ i n ² ² l e ⁴ ⁴
人類	z ə n ² ² l e ⁴ ⁴
人類學	z ə n ² ² l e ⁵ ⁵ ɦ i a ʔ ² ¹
人體	n̠ʲ i n ² ² tʰ i ⁴ ⁴
人魚	n̠ʲ i n ² ² ɦ y ⁴ ⁴
人魚	z ə n ² ² ɦ y ⁴ ⁴
什	s ə ʔ ⁵ ⁵
什	z ə ʔ ¹ ²
什麼	s ə ʔ ³ ³ m o ʔ ⁴ ⁴
什麼	s ə ʔ ³ ³ m u ⁴ ⁴
仁	n̠ʲ i n ² ³
仁	z ə n ² ³
仄	t͡s ə ʔ ⁵ ⁵
仆	pʰ ɤ ³ ⁴
仇	d͡ʑ i ɤ ² ³
仇	z ɤ ² ³
仉	t͡s ɑ̃ ³ ⁴
今	t͡ɕ i n ⁵ ³
今世	t͡ɕ i n ⁵ ⁵ s z̩ ² ¹
今天	t͡ɕ i n ⁵ ⁵ tʰ i ² ¹
今年	t͡ɕ i n ⁵ ⁵ n̠ʲ i ² ¹
今年子	t͡ɕ i n ⁵ ⁵ n̠ʲ i ³ ³ t͡s z̩ ² ¹
今朝	t͡ɕ i n ⁵ ⁵ t͡s ɔ ² ¹
今朝子	t͡ɕ i n ⁵ ⁵ t͡s ɔ ³ ³ t͡s z̩ ² ¹
今朝有酒今朝醉	t͡ɕ i n ⁵ ⁵ t͡s ɔ ² ¹ ɦ i ɤ ³ ³ t͡ɕ i ɤ ³ ⁴ t͡ɕ i n ⁵ ⁵ t͡s ɔ ² ¹ t͡s ø ³ ⁴
介	k a ³ ⁴
介	k a ⁵ ³
介	t͡ɕ i a ³ ⁴
介意	k a ³ ³ i ⁴ ⁴
介於	t͡ɕ i a ³ ³ ɦ y ⁴ ⁴
介紹	t͡ɕ i a ³ ³ z ɔ ⁴ ⁴
介許多	k a ³ ³ ɕ y ³ ³ t u ⁵ ³
介許多	k a ³ ³ ɕ y ⁵ ⁵ t u ² ¹
介許多	k a ⁵ ⁵ ɕ y ³ ³ t u ² ¹
介許多	k a ⁵ ⁵ ɕ y ³ ³ t u ⁵ ³
仍	n̠ʲ i n ² ³
仍	z ə n ² ³
仍然	z ə n ² ² z ø ⁴ ⁴
仍舊	z ə n ² ² d͡ʑ i ɤ ⁴ ⁴
仔	t͡s e ⁵ ³
仔	t͡s z̩ ³ ⁴
仔細	t͡s z̩ ³ ³ ɕ i ⁴ ⁴
他	tʰ a ⁵ ³
他們	t a ⁵ ⁵ m ə n ² ¹
他鄉	t a ⁵ ⁵ ɕ i ã ² ¹
仗	t͡s ã ³ ⁴
仗	z ã ² ³
付	f u ³ ⁴
付鈔票	f u ³ ³ t͡sʰ ɔ ⁵ ⁵ pʰ i ɔ ² ¹
付鈔票	f u ⁴ ⁴ t͡sʰ ɔ ³ ³ pʰ i ɔ ⁴ ⁴
仙	ɕ i ⁵ ³
仙人	ɕ i ⁵ ⁵ n̠ʲ i n ² ¹
仙人掌	ɕ i ⁵ ⁵ n̠ʲ i n ³ ³ t͡s ɑ̃ ² ¹
仙人跳	ɕ i ⁵ ⁵ n̠ʲ i n ³ ³ tʰ i ɔ ² ¹
仙客來	ɕ i ⁵ ⁵ kʰ a ʔ ³ ³ l e ² ¹
仙貝	ɕ i ³ ³ p e ⁴ ⁴
仙鶴	ɕ i ⁵ ⁵ ŋ o ʔ ² ¹
仟	t͡ɕʰ i ⁵ ³
代	d e ² ³
代表	d e ² ² p i ɔ ⁴ ⁴
代言	d e ² ² ɦ i ⁴ ⁴
代詞	d e ² ² z z̩ ⁴ ⁴
令	l i n ² ³
令人	l i n ² ² z ə n ⁴ ⁴
以	i ³ ⁴
以前	i ⁴ ⁴ ʑ i ² ³
以前	i ⁵ ⁵ ʑ i ² ¹
以後	i ⁴ ⁴ ɦ ɤ ² ³
以後	i ⁵ ⁵ ɦ ɤ ² ¹
以至	i ³ ³ t͡s z̩ ⁴ ⁴
以至於	i ³ ³ t͡s z̩ ⁵ ⁵ ɦ y ² ¹
以致	i ³ ³ t͡s z̩ ⁴ ⁴
以色列	i ³ ³ s ə ʔ ⁵ ⁵ l i ɪ ʔ ² ¹
仰	n̠ʲ i ã ² ³
仰	n̠ʲ i ã ³ ⁴
仰光	n̠ʲ i n ² ² k u ɑ̃ ⁴ ⁴
仰望	n̠ʲ i ã ² ² ɦ u ɑ̃ ⁴ ⁴
仲	z o ŋ ² ³
件	d͡ʑ i ² ³
任	n̠ʲ i n ² ³
任	z ə n ² ³
任務	z ə n ² ² v u ⁴ ⁴
任憑	z ə n ² ² b i n ⁴ ⁴
份	v ə n ² ³
仿	f ɑ̃ ³ ⁴
企	t͡ɕʰ i ³ ⁴
企業	t͡ɕʰ i ³ ³ n̠ʲ i ɪ ʔ ⁴ ⁴
企鵝	t͡ɕʰ i ³ ³ ŋ u ⁴ ⁴
伊	i ⁵ ³
伊	ɦ i ² ³
伊個	i ⁵ ⁵ ə ʔ ² ¹
伊個	i ⁵ ⁵ ɡ ə ʔ ² ¹
伊個	i ⁵ ⁵ ɦ ə ʔ ² ¹
伊拉	ɦ i ² ² l a ʔ ⁴ ⁴
伊拉	ɦ i ² ² l a ⁴ ⁴
伊拉克	i ⁵ ⁵ l a ³ ³ kʰ ə ʔ ² ¹
伊搭	i ⁵ ⁵ t a ʔ ² ¹
伊搭塊	i ⁵ ⁵ t a ʔ ³ ³ kʰ u e ² ¹
伊搭裡	i ⁵ ⁵ t a ʔ ³ ³ l i ² ¹
伊朗	i ⁵ ⁵ l ɑ̃ ² ¹
伊歇辰光	ɦ i ² ² ɕ i ɪ ʔ ⁵ ⁵ z ə n ³ ³ k u ɑ̃ ² ¹
伊眼	i ⁵ ⁵ ŋ e ² ¹
伊講	ɦ i ² ³ k ɑ̃ ³ ⁴
伊面	i ⁵ ⁵ m i ² ¹
伊面搭	i ⁵ ⁵ m i ³ ³ t a ʔ ² ¹
伊點	i ⁵ ⁵ t i ² ¹
伍	u ³ ⁴
伍	ŋ̍ ² ³
伍	ɦ u ² ³
伏	b u ² ³
伏	v o ʔ ¹ ²
伏特加	v o ʔ ¹ ¹ d ə ʔ ² ² k a ² ³
伏薑	v o ʔ ¹ ¹ t͡ɕ i ã ² ³
伏裡	v o ʔ ¹ ¹ l i ² ³
伐	v a
伐	v a ʔ ¹ ²
伐	v ə ʔ ¹ ²
休	ɕ i ɤ ⁵ ³
休克	ɕ i ɤ ⁵ ⁵ k ə ʔ ² ¹
休息	ɕ i ɤ ⁵ ⁵ ɕ i ɪ ʔ ² ¹
休閒	i ɤ ⁵ ⁵ ɦ e ² ¹
伙	h u ³ ⁴
伙食	h u ³ ³ z ə ʔ ⁴ ⁴
伯	p a ʔ ⁵ ⁵
伯伯	p a ʔ ³ ³ p a ʔ ⁴ ⁴
伯恩	p a ʔ ³ ³ ə n ⁴ ⁴
伯明翰	p a ʔ ³ ³ m i n ⁵ ⁵ ɦ ø ² ¹
伯母	p a ʔ ³ ³ m u ⁴ ⁴
伯母	p a ʔ ³ ³ m̩ ⁴ ⁴
伯父	p a ʔ ³ ³ v u ⁴ ⁴
伯爾尼	p a ʔ ³ ³ ɦ ə l ⁵ ⁵ n̠ʲ i ² ¹
估	k u ³ ⁴
伲	n̠ʲ i ² ³
伴	b ø ² ³
伶	l i n ² ³
伸	s ə n ⁵ ³
但	d e ² ³
但不過	d e ² ² p ə ʔ ⁵ ⁵ k u ² ¹
但凡	d e ² ² v e ⁴ ⁴
但必過	d e ² ² p i ɪ ʔ ⁵ ⁵ k u ² ¹
但是	d e ² ² z z̩ ⁴ ⁴
佇	z z̩ ² ³
佈告	p u ³ ³ k ɔ ⁴ ⁴
佈景	p u ³ ³ t͡ɕ i n ⁴ ⁴
位	ɦ u e ² ³
位數	ɦ u e ² ² s u ⁴ ⁴
位置	ɦ u e ² ² t͡s z̩ ⁴ ⁴
低	t i ⁵ ³
低地	t i ⁵ ⁵ d i ² ¹
低沉	t i ⁵ ⁵ z ə n ² ¹
低落	t i ⁵ ⁵ l o ʔ ² ¹
低迷	t i ⁵ ⁵ m i ² ¹
低音	t i ⁵ ⁵ i n ² ¹
低音大提琴	t i ⁵ ⁵ i n ² ¹ d u ² ² d i ⁵ ⁵ t͡ɕ i n ² ¹
低音提琴	t i ⁵ ⁵ i n ² ¹ d i ² ² t͡ɕ i n ⁴ ⁴
住	z z̩ ² ³
住宅	z z̩ ² ² z a ʔ ⁴ ⁴
佐	t͡s u ³ ⁴
佑	ɦ i ɤ ² ³
佔	t͡s ø ³ ⁴
佔便宜	t͡s ø ⁴ ⁴ b i ² ² n̠ʲ i ⁴ ⁴
何	ɦ a ² ³
何	ɦ u ² ³
何如	ɦ u ² ² z z̩ ⁴ ⁴
何必	ɦ u ² ² p i ɪ ʔ ⁴ ⁴
何文田	ɦ u ² ² v ə n ⁵ ⁵ d i ² ¹
何況	ɦ u ² ² kʰ u ɑ̃ ⁴ ⁴
佗	d u ² ³
佘	z o ² ³
余	ɦ y ² ³
佚	ɦ i ɪ ʔ ¹ ²
佛	v ə ʔ ¹ ²
佛境	v ə ʔ ¹ ¹ t͡ɕ i n ² ³
佛寺	v ə ʔ ¹ ¹ z z̩ ² ³
佛教	v ə ʔ ¹ ¹ t͡ɕ i ɔ ² ³
佛法	v ə ʔ ¹ ¹ f a ʔ ² ³
佛祖	v ə ʔ ¹ ¹ t͡s u ² ³
佛陀	f ə ʔ ³ ³ d u ⁴ ⁴
佛陀	v ə ʔ ¹ ¹ d u ² ³
作	t͡s o ʔ ⁵ ⁵
作孽	t͡s o ʔ ³ ³ n̠ʲ i ɪ ʔ ⁴ ⁴
作孽	t͡s o ʔ ⁴ ⁴ n̠ʲ i ɪ ʔ ¹ ²
作弄	t͡s o ʔ ³ ³ l o ŋ ⁴ ⁴
作弄	t͡s o ʔ ³ ³ n o ŋ ⁴ ⁴
作數	t͡s o ʔ ³ ³ s u ⁴ ⁴
作文	t͡s o ʔ ³ ³ v ə n ⁴ ⁴
作文簿	t͡s o ʔ ³ ³ v ə n ⁵ ⁵ b u ² ¹
作料	t͡s o ʔ ³ ³ l i ɔ ⁴ ⁴
作梗	t͡s o ʔ ³ ³ k ã ⁴ ⁴
作業	t͡s o ʔ ³ ³ n̠ʲ i ɪ ʔ ⁴ ⁴
作檯	t͡s o ʔ ³ ³ d e ⁴ ⁴
作死	t͡s o ʔ ³ ³ ɕ i ⁴ ⁴
作為	t͡s o ʔ ³ ³ ɦ u e ⁴ ⁴
作興	t͡s o ʔ ³ ³ ɕ i n ⁴ ⁴
作詞	t͡s o ʔ ³ ³ z z̩ ⁴ ⁴
作雪	t͡s o ʔ ⁴ ⁴ ɕ i ɪ ʔ ⁵ ⁵
作馬	t͡s o ʔ ³ ³ m o ⁴ ⁴
佞	n̠ʲ i n ² ³
你	n i ⁵ ³
你們	n i ⁵ ⁵ m ə n ² ¹
佩	b e ² ³
佬	l ɔ ² ³
佮	k ə ʔ ⁵ ⁵
佰	p a ʔ ⁵ ⁵
佳	t͡ɕ i a ³ ⁴
佳	t͡ɕ i a ⁵ ³
使	s z̩ ³ ⁴
使用	s z̩ ³ ³ ɦ i o ŋ ⁴ ⁴
來	l e ² ³
來三	l e ² ² s e ⁴ ⁴
來事	l e ² ² z z̩ ⁴ ⁴
來到	l e ² ² t ɔ ⁴ ⁴
來勒	l e ² ² l a ʔ ⁴ ⁴
來勒	l e ² ² l ə ʔ ⁴ ⁴
來去	l e ² ² t͡ɕʰ i ⁴ ⁴
來往	l e ² ² u ɑ̃ ⁴ ⁴
來得	l e ² ² t ə ʔ ⁴ ⁴
來得個	l e ² ² t ə ʔ ⁵ ⁵ ɡ ə ʔ ² ¹
來死	l e ² ² ɕ i ⁴ ⁴
來海	l e ² ² h e ⁴ ⁴
來講	l e ² ³ k ɑ̃ ³ ⁴
來路	l e ² ² l u ⁴ ⁴
來路貨	l e ² ² l u ⁵ ⁵ h u ² ¹
侈	t͡sʰ z̩ ³ ⁴
例	l i ² ³
例子	l i ² ² t͡s z̩ ⁴ ⁴
侍	z z̩ ² ³
侏儒	t͡s z̩ ⁵ ⁵ z z̩ ² ¹
供	k o ŋ ³ ⁴
供	k o ŋ ⁵ ³
供	t͡ɕ i o ŋ ³ ⁴
供桌	k o ŋ ³ ³ t͡s o ʔ ⁴ ⁴
供檯	k o ŋ ³ ³ d e ⁴ ⁴
依	i ⁵ ³
依托咪酯	i ⁴ ⁴ tʰ o ʔ ⁵ ⁵ m i ³ ³ t͡s z̩ ² ¹
依托咪酯	i ⁴ ⁴ tʰ u ⁵ ⁵ m i ³ ³ t͡s z̩ ² ¹
依次	i ⁵ ⁵ t͡sʰ z̩ ² ¹
侯	ɦ ɤ ² ³
侵	t͡ɕʰ i n ⁵ ³
侷促	d͡ʑ i o ʔ ¹ ¹ t͡sʰ o ʔ ² ³
便	b i ² ³
便利	b i ² ² l i ⁴ ⁴
便利店	b i ² ² l i ⁵ ⁵ t i ² ¹
便宜	b i ² ² n̠ʲ i ɪ ʔ ⁴ ⁴
便宜	b i ² ² n̠ʲ i ⁴ ⁴
便宜貨	b i ² ² n̠ʲ i ɪ ʔ ⁵ ⁵ h u ² ¹
便宜貨	b i ² ² n̠ʲ i ⁵ ⁵ h u ² ¹
便當	b i ² ² t ɑ̃ ⁴ ⁴
便衣	b i ² ² i ⁴ ⁴
便飯	b i ² ² v e ⁴ ⁴
係	ɕ i ³ ⁴
係	ɦ i ² ³
促成	t͡sʰ o ʔ ³ ³ z ə n ⁴ ⁴
促進	t͡sʰ o ʔ ³ ³ t͡ɕ i n ⁴ ⁴
俄	ŋ u ² ³
俄國	ŋ u ² ² k o ʔ ⁴ ⁴
俄羅斯	ŋ u ² ² l u ⁵ ⁵ s z̩ ² ¹
俄語	ŋ u ² ² n̠ʲ y ⁴ ⁴
俗	z o ʔ ¹ ²
俚	l i ² ³
俚語	l i ² ² n̠ʲ y ⁴ ⁴
保	p ɔ ³ ⁴
保加利亞	p ɔ ³ ³ k a ⁵ ⁵ l i ³ ³ i a ² ¹
保姆	p ɔ ³ ³ m u ⁴ ⁴
保存	p ɔ ³ ³ z ə n ⁴ ⁴
保守	p ɔ ³ ³ s ɤ ⁴ ⁴
保持	p ɔ ³ ³ z z̩ ⁴ ⁴
保留	p ɔ ³ ³ l i ɤ ⁴ ⁴
保護	p ɔ ³ ³ ɦ u ⁴ ⁴
保鏢	p ɔ ³ ³ p i ɔ ⁴ ⁴
保險	p ɔ ³ ³ ɕ i ⁴ ⁴
保齡	p ɔ ³ ³ l i n ⁴ ⁴
保齡球	p ɔ ³ ³ l i n ⁵ ⁵ d͡ʑ i ɤ ² ¹
俞	ɦ y ² ³
信	ɕ i n ³ ⁴
信仰	ɕ i n ³ ³ n̠ʲ i ã ⁴ ⁴
信任	ɕ i n ³ ³ z ə n ⁴ ⁴
信封	ɕ i n ³ ³ f o ŋ ⁴ ⁴
信念	ɕ i n ³ ³ n̠ʲ i ⁴ ⁴
信息	ɕ i n ³ ³ ɕ i ɪ ʔ ⁴ ⁴
信教	ɕ i n ³ ³ t͡ɕ i ɔ ⁴ ⁴
信教	ɕ i n ⁴ ⁴ t͡ɕ i ɔ ³ ⁴
信服	ɕ i n ³ ³ v o ʔ ⁴ ⁴
信殼	ɕ i n ³ ³ kʰ o ʔ ⁴ ⁴
信生活	ɕ i n ³ ³ s ə n ⁵ ⁵ ɦ u ə ʔ ² ¹
信用	ɕ i n ³ ³ ɦ i o ŋ ⁴ ⁴
信用卡	ɕ i n ³ ³ ɦ i o ŋ ⁵ ⁵ k a ² ¹
信紙	ɕ i n ³ ³ t͡s z̩ ⁴ ⁴
信譽	ɕ i n ³ ³ ɦ y ⁴ ⁴
信陽	ɕ i n ³ ³ ɦ i ã ⁴ ⁴
俥	t͡ɕ y ⁵ ³
修	ɕ i ɤ ⁵ ³
修正帶	ɕ i ɤ ⁵ ⁵ t͡s ə n ³ ³ t a ² ¹
修正液	ɕ i ɤ ⁵ ⁵ t͡s ə n ³ ³ ɦ i ɪ ʔ ² ¹
修訂	ɕ i ɤ ⁵ ⁵ t i n ² ¹
修道院	ɕ i ɤ ⁵ ⁵ d ɔ ³ ³ ɦ y ø ² ¹
修面	ɕ i ɤ ⁴ ⁴ m i ² ³
俱	d͡ʑ y ² ³
俱樂部	d͡ʑ y ² ² l o ʔ ⁵ ⁵ b u ² ¹
俸	f o ŋ ³ ⁴
俸	v o ŋ ² ³
俺	ø ³ ⁴
倉	t͡sʰ ɑ̃ ⁵ ³
倉庫	t͡sʰ ɑ̃ ⁵ ⁵ kʰ u ² ¹
倉間	t͡sʰ ɑ̃ ⁵ ⁵ k e ² ¹
個	k u ³ ⁴
個	ə ʔ ⁵ ⁵
個	ɡ ə ʔ ¹ ²
個	ɦ ə ʔ ¹ ²
個人	k u ³ ³ n̠ʲ i n ⁴ ⁴
個人	k u ³ ³ z ə n ⁴ ⁴
個人	k ə ʔ ³ ³ n̠ʲ i n ⁴ ⁴
個別	k u ³ ³ b i ɪ ʔ ⁴ ⁴
個閒話	ə ʔ ɦ e ² ² ɦ o ⁴ ⁴
個閒話	ɦ ə ʔ ɦ e ² ² ɦ o ⁴ ⁴
倍	b e ² ³
們	m ə n ² ³
倒	t ɔ ³ ⁴
倒春寒	t ɔ ³ ³ t͡sʰ ə n ⁵ ⁵ h ø ² ¹
倒篷頭	t ɔ ⁴ ⁴ b o ŋ ² ² d ɤ ⁴ ⁴
倒茶	t ɔ ⁴ ⁴ z o ² ³
倒閉	t ɔ ³ ³ p i ⁴ ⁴
倒霉	t ɔ ⁴ ⁴ m e ² ³
倘	tʰ ɑ̃ ³ ⁴
候	ɦ ɤ ² ³
倚	i ³ ⁴
借	t͡ɕ i a ³ ⁴
借錢	t͡ɕ i a ³ ³ ʑ i ⁴ ⁴
倡	t͡sʰ ɑ̃ ³ ⁴
倩	t͡ɕʰ i ³ ⁴
倪	n̠ʲ i ² ³
倫	l ə n ² ³
倫敦	l ə n ² ² t ə n ⁴ ⁴
倭	u ⁵ ³
倷	n e ² ³
值	z ə ʔ ¹ ²
值銅鈿	z ə ʔ ² ² d o ŋ ² ² d i ⁴ ⁴
假	k a ³ ⁴
