㐁	tʰ ʌ m H
䙘	t͡ʃʰ ɨ ʌ X
䙡	kʰˠ i u ɪ H
䙬	ʔˠ ɛ ŋ H
䙵	ɦ w e i
䙽	h e t̚
䚕	l i ɪ H
䚦	ɖˠ i ᴇ X
䚧	l ɨ u
䚧觩	l ɨ u
䚩	kˠ i ᴇ u X
䚫	kˠ ʌ k̚
䚭	h ʉ ɐ n
䚮	ȵ ɨ ŋ
䛈	ɕ i ɪ H
䛌	d ɑ u
䛍	p ʉ i H
䛘	ȵ i ɪ m
䛩	ʔ u o X
䛻	j ɨ u X
䜈	t͡ʃʰˠ a u
䜋	ɦ u ʌ i X
䜌	l u ɑ n
䜏	tʰ u ɑ
䜕	hˠ ɛ i H
䜙	ŋ ʌ m
䜚	d ʌ p̚
䜮	l e u
䜯	ɡ ɨ u k̚
䜱	m u ɑ n
䜴	t͡ʃʰ ɨ o H
䝒	d͡ʒ ɨ o X
䝕	t͡ɕ i ᴇ p̚
䝤	ʈˠ a u X
䝭	k ə u H
䝻	k ɨ ʌ
䝼	d͡z i ᴇ ŋ
䝼	d͡z i ᴇ ŋ H
䞈	kˠ i u ᴇ H
䞋	t͡ʃʰ ɪ n H
䞤	ɡ ɨ o
䞦	ɦˠ æ k̚
䞯	pʰ ɨ o H
䞴	ʈˠ a u
䞷	ɡ ʉ ɐ t̚
䟃	t͡sʰ ʌ m
䟃	t͡sʰ ʌ p̚
䟃𧽼	t͡sʰ ʌ m
䟉	t͡ɕ ɨ o k̚
䟑	j ɨ ɐ k̚
䟒	ɡˠ i u ᴇ n
䟘	ɦ ɑ ŋ X
䟙	t͡sʰ e t̚
䟛	p ʉ i H
䟣	ʈʰ i u ɪ t̚
䟴	t͡ɕ i ɪ n H
䟺	p ɑ i H
䠆	ɖ ɨ ɐ ŋ
䠊	b ʉ i H
䠐	kʰ w e k̚
䠑	kʰˠ i u ᴇ X
䠙	b ɑ ŋ
䠚	ʔˠ u a H
䠠	t e i H
䠨	t͡ɕʰ i ᴇ m H
䠫	d͡z ə u H
䠯	j ɨ ɐ k̚
䠷	tʰ e u X
䡆	j ɨ o ŋ
䡓	k w e n H
䡗	k ɨ o ŋ X
䡘	d e n
䡘䡘	d e n
䡩	kʰˠ ɛ ŋ
䡬	m ʉ ɐ n H
䡰	kʰˠ ɛ ŋ
䡴	t͡ɕʰ ɨ o ŋ
䢃	ŋ ɨ ɐ i H
䢅	d͡ʑ i ɪ n
䢼	k ɨ o ŋ
䣂	l u ʌ i X
䣄	z ɨ ʌ
䣕	mˠ a X
䣛	t͡sʰ i ɪ t̚
䣧	j ɨ k̚
䣪	pʰ u ɑ t̚
䣮	b u ɑ t̚
䤐	t͡sʰ i ɪ m X
䤥	kˠ i u ᴇ X
䤨	pʰ e k̚
䤪	t u ɑ X
䤬	s ɑ
䤻	d u ɑ X
䥏	ŋ ɨ ʌ X
䥛	k e t̚
䥝	ʔ ɑ u
䥩	m ʉ i
䥶	l e k̚
䦘	ɦˠ ɛ n X
䦝	hˠ w ɛ k̚
䦪	ʔˠ a t̚
䦳	h ɨ ɐ ŋ H
䧁	ɡ ɨ o
䧢	kʰ ɨ o
䨣	kˠ ɛ k̚
䨥	ɦ w ɑ k̚
䨨	ʈˠ i u ɪ
䨲	n ə u
䨳	hˠ i ɪ H
䨴	d u ʌ i H
䨻	bˠ ɛ ŋ H
䨼	ɦ u o H
䩂	hˠ ɛ m
䩕	ŋ ɑ ŋ
䩞	tʰ e p̚
䩸	ȵ ɨ o ŋ
䩺	ʔ u ŋ
䩽	ʔ ɨ o
䪊	l u ŋ
䪐	pˠ i ɪ H
䪙	pʰ w ɑ k̚
䪜	t͡ɕʰ i ᴇ m
䪝	ʔˠ w æ k̚
䪞	d͡z ɑ p̚
䪤	b ʉ ɐ n
䪥	ɦˠ ɛ i H
䪬	pʰ u ə t̚
䪴	t͡ɕ i ɪ m X
䪷	h ə u H
䪼	t͡ɕ i u ᴇ t̚
䪾	t͡ɕ i ɪ n X
䫀	k ə n X
䫂	t ɑ X
䫄	ʈʰˠ u a t̚
䫅	s ʌ m H
䫆	ɡˠ i æ ŋ
䫌	pʰ e i X
䫏	kʰ ɨ
䫒	m u ə n
䫔	kʰ e i H
䫔	kʰ e t̚
䫖	ʈʰˠ i ɪ m X
䫗	ɦˠ a
䫘	ɦ ɑ t̚
䫛	ɦ ə u
䫜	ʔˠ a u
䫞	h e u
䫞	kʰ i ᴇ u
䫟	ɦ ɨ u n X
䫠	bˠ i ɪ
䫡	kʰˠ ɛ m H
䫡	ŋˠ ɛ m
䫢	s i ᴇ
䫤	m e ŋ
䫥	kʰ ɨ
䫦	k ɑ p̚
䫨	ŋ ɑ u
䫩	t͡sʰ ʌ m X
䫪	ʃ ɨ ɐ ŋ X
䫬	t͡ɕ i ɪ m X
䫲	h ʌ m X
䫴	ɡˠ i ɪ m X
䫶	b ɨ u n
䫸	ʈʰˠ a u
䫹	ɦ u ŋ
䫻	ɦˠ i u ɪ t̚
䫽	pʰ ɑ u
䫾	pʰ e t̚
䫿	ʈʰˠ i ᴇ u
䬀	ʔ ɨ u X
䬁	j i ᴇ
䬂	h i ɪ t̚
䬆	l i ɪ H
䬇	j i u ᴇ n H
䬉	hˠ w ɛ k̚
䬊	ʃˠ a p̚
䬌	pʰ ɨ u
䬍	h ɨ u t̚
䬎	kˠ w ɛ k̚
䬐	ȵ i u ᴇ
䬑	ɦ ʉ i H
䬒	ʃ ɨ u
䬘	hˠ a u
䬝	ɦˠ w æ ŋ
䬞	d ɑ u
䬟	l ɨ u
䬡	t͡ɕ ɨ ʌ H
䬦	t ə u H
䬧	ŋ ʉ ɐ n
䬫	t e i
䬬	ʔ ɨ ɐ ŋ X
䬯	ɳˠ i ᴇ m
䬰	d͡ʑ i ᴇ u H
䬳	p u ɑ n X
䬵	k ʌ i
䬷	ɕ i a X
䬼	ʔ w e n H
䬽	ɕ i u ᴇ i H
䬾	d e i
䬿	m ʉ i X
䭁	t͡ɕ i ᴇ i H
䭂	ʔˠ i ɪ p̚
䭃	ȵ i ɪ m X
䭆	ɳˠ ɛ k̚
䭈	k ɨ ɐ n
䭉	s i u ᴇ X
䭐	j ɨ ɐ ŋ H
䭑	l i ᴇ m X
䭒	s ɨ k̚
䭓	ŋ ə n H
䭔	t u ʌ i
䭕	t͡s ɑ m X
䭖	t͡ɕ ɨ ʌ H
䭘	ʔˠ i æ ŋ X
䭙	t͡s i ɪ m X
䭡	ʔ u ə n H
䭢	ɳˠ ɛ ŋ
䭤	kʰ i ᴇ n X
䭦	b w ɑ k̚
䭨	ʃˠ i u ᴇ
䭩	m u ɑ
䭭	ɕ ɨ u X
䭮	pʰ ɨ u t̚
䭱	pʰ e t̚
䭴	ɦˠ u a n
䭸	b ɨ o X
䭹	ŋ ɑ ŋ
䭾	d ɑ
䭾	d ɑ H
䭿	j i ɪ t̚
䮀	bˠ ʌ k̚
䮂	b u ɑ t̚
䮄	ɦ w e n
䮋	l i ᴇ i H
䮎	h ɨ i H
䮒	pʰ u o
䮔	t͡s i u ᴇ
䮗	ŋ ɑ n H
䮙	ɦ w ɨ k̚
䮝	ɦ u ə n
䮟	ʃ ɨ u
䮠	p ɨ k̚
䮢	d͡ʒˠ ɛ p̚
䮤	kˠ ʌ k̚
䮥	l e k̚
䮧	ɦ ɑ n
䮩	k u ə t̚
䮭	m e k̚
䮱	ɖ ɨ u k̚
䮳	b ʉ ɐ n
䮴	d ə ŋ H
䮷	d u k̚
䮸	ʔ u o k̚
䮹	ʔ ʉ ɐ i H
䮾	b u ŋ
䯂	d͡ʒˠ i ɪ p̚
䯂	ʃ ɪ n
䯇	kʰ u ə t̚
䯈	ŋ u ɑ n
䯉	ʔ u ə t̚
䯊	kʰ ɑ
䯋	b u ɑ t̚
䯍	l e ŋ
䯏	k u ɑ t̚
䯑	kʰ w ɑ ŋ
䯓	kʰ w e i
䯖	l ɑ ŋ
䯗	b e i X
䯘	ɦ u ɑ n H
䯜	s i ᴇ k̚
䯜	tʰ e k̚
䯞	kʰˠ u a
䯟	d u ʌ i H
䯠	ʔ ɑ u X
䯢	m u ɑ
䯣	kʰˠ i u ɪ H
䯤	k u ɑ i H
䯦	mˠ ɛ t̚
䯪	kʰ ɑ u X
䯬	t ɑ X
䯰	kˠ ɛ i H
䯸	t͡sʰ i ɪ H
䯹	s i ᴇ m
䯽	b ə u
䯾	t e u
䰂	t͡sʰ ʌ i X
䰃	bˠ æ ŋ
䰆	ȵ ɨ u
䰈	d͡z ɑ
䰉	b u ɑ n
䰍	h ɨ u
䰎	kʰˠ i u ɪ H
䰏	t͡s e i H
䰐	l ɑ m
䰒	m u ŋ
䰓	m e n
䰕	l ɨ ʌ
䰖	t͡s u ɑ t̚
䰖	t͡s ɑ n X
䰙	ŋˠ i ᴇ X
䰚	m ɨ u n
䰝	t͡s ɨ ŋ H
䰠	ɕ i ɪ n
䰡	ʈʰ ɨ H
䰤	t u ŋ
䰥	ɦ w ə k̚
䰧	h u o
䰩	t͡ɕʰ i a X
䰫	t͡ʃʰˠ a u
䰯	ŋ ɨ H
䰰	ȵ ɨ o
䰲	ʔˠ ɛ t̚
䰴	k ɨ t̚
䰼	d͡z i ɪ m
䰽	p ɑ i H
䱂	ʔ e u
䱅	m u ɑ t̚
䱊	m e i X
䱋	k ɨ o ŋ X
䱌	j ɨ
䱏	tʰ ə u X
䱐	pʰ ɨ o
䱒	ʔ ɨ ɐ p̚
䱕	m ɨ u
䱖	l ɨ u
䱚	l ɨ o k̚
䱜	t͡sʰ ɨ ɐ k̚
䱝	bˠ ɛ
䱟	k ɨ ʌ H
䱡	k ɨ u k̚
䱢	t͡ʃˠ ɛ ŋ
䱣	t͡s i u ɪ t̚
䱤	k e m H
䱥	t͡ɕ i ᴇ i H
䱬	s ɨ ʌ
䱮	ŋˠ æ k̚
䱱	d e i
䱲	j i u ᴇ n
䱵	ʔ u ŋ
䱷	ŋ ɨ ʌ
䱺	ɦ ʌ i
䱻	ɦˠ u ɛ t̚
䱾	l ɨ o
䲀	t͡ɕ i ɪ H
䲁	ʔ ʉ i H
䲃	t͡s ɑ u X
䲊	j i u ɪ X
䲌	kʰ u ɑ n X
䲐	l u o X
䲓	ŋˠ i ᴇ m X
䲙	t͡s e t̚
䲚	l ɑ i H
䲛	m ə ŋ H
䲜	ŋ ɨ ɐ p̚
䲦	d ɑ i H
䲬	ɡ i ᴇ
䲯	ɡˠ i ɪ p̚
䲰	ɦ ɨ u n H
䲱	pʰ ʉ ɐ ŋ X
䲸	kˠ ɛ i H
䲹	bˠ i ɪ
䲽	d͡ʑ i ᴇ k̚
䲾	kʰˠ a u X
䳀	j i ɪ t̚
䳅	t͡ɕ i ᴇ X
䳉	t u o ŋ
䳊	p u ɑ t̚
䳋	d u o ŋ
䳍	k ɨ o ŋ
䳎	ɡ ɨ u X
䳏	k w e i H
䳐	t͡sʰ i ɪ H
䳑	ɦ ɨ u X
䳔	k ɨ u k̚
䳕	b ɨ u
䳖	ɳˠ i ᴇ p̚
䳚	kʰ ɑ i H
䳝	pʰ ə u X
䳟	mˠ i æ ŋ
䳢	ɡ ɨ
䳤	p i ᴇ t̚
䳦	h ʉ ɐ n
䳩	ʔ i ᴇ u
䳫	ɡ i u ɪ
䳯	ɖ ɨ o ŋ
䳲	t͡ɕ i ɪ n H
䳳	s i u ɪ t̚
䳴	d ɑ p̚
䳻	d͡z ɑ m
䳾	t ə ŋ
䴀	d u ŋ
䴁	ŋ ɨ o
䴃	ɳˠ a u
䴅	b ɨ u n
䴆	pʰ u k̚
䴇	l e ŋ
䴑	d e p̚
䴚	k ɑ ŋ X
䴛	s i ᴇ u
䴜	ʔˠ u ɛ i
䴝	t͡ʃʰˠ u a i H
䴟	ɦ u ɑ n
䴠	ʔ ɑ u X
䴤	ʃˠ æ ŋ
䴦	ŋˠ i ɪ n
䴧	ʔˠ i u ᴇ
䴬	j ɨ k̚
䴭	d͡z ʌ i
䴮	ʃˠ a n H
䴰	ʑ ɨ o k̚
䴲	m u ɑ t̚
䴳	ɦˠ u ɛ t̚
䴷	ɦ u ə n
䴹	k u ɑ X
䴺	b ə u X
䴻	l i ɪ
䴼	t͡ʃʰˠ a n H
䴽	b i ᴇ
䴾	d͡z ɑ
䴿	m u ŋ
䵀	s u ɑ X
䵂	ɖ i ᴇ k̚
䵃	kˠ w æ ŋ X
䵈	kʰ u k̚
䵋	ɦˠ i u ɪ X
䵌	h e m
䵎	tʰ u ɑ n
䵏	l ɑ u X
䵐	t͡ɕʰ i ᴇ n X
䵒	ɳˠ i ɪ t̚
䵔	t u ŋ X
䵖	kʰ e n X
䵗	b ə k̚
䵘	ʃˠ ɛ H
䵝	ʔ ɨ H
䵟	k ɑ n X
䵣	t ɑ t̚
䵤	ɦ e n X
䵦	z i a X
䵧	t͡s ʌ i H
䵨	mˠ ʌ ŋ
䵬	tʰ ʌ p̚
䵮	ɕ ɨ ɐ ŋ
䵱	h ɨ k̚
䵳	ʔ u ɑ i H
䵴	j ɨ ŋ H
䵵	t͡ʃʰˠ u a t̚
䵼	ɕ ɨ ɐ ŋ
䵽	t͡sʰ ɑ p̚
䶀	tʰ ʌ p̚
䶂	pˠ a u H
䶃	ɦ ʌ m
䶄	b e ŋ
䶅	l ɑ k̚
䶆	t͡ɕ i u ɪ
䶈	p w ɑ k̚
䶎	hˠ ɛ p̚
䶐	ʔ u ɑ i H
䶒	d͡z e i
䶓	t͡s e i H
䶔	ɖˠ i ᴇ
䶖	ɡˠ i ɪ m H
䶗	kʰˠ a
䶘	l i ɪ p̚
䶙	ɡ ɨ ʌ X
䶛	l ɑ t̚
䶜	ɦ u k̚
䶞	ɡ ɨ
䶢	kʰˠ ɛ p̚
䶣	k ʌ i
䶥	t͡ʃ ɨ ʌ
䶦	t͡ʃʰˠ ɛ k̚
䶬	k e n
䶱	t͡ɕ ɨ u ŋ
一	ʔ i ɪ t̚
一一	ʔ i ɪ t̚
一人	ʔ i ɪ t̚
一介書生	ʔ i ɪ t̚
一何	ʔ i ɪ t̚
一切	ʔ i ɪ t̚
一家之言	ʔ i ɪ t̚
一息尚存	ʔ i ɪ t̚
一時	ʔ i ɪ t̚
一月	ʔ i ɪ t̚
一朝一夕	ʔ i ɪ t̚
一決勝負	ʔ i ɪ t̚
一爾	ʔ i ɪ t̚
一箭雙鵰	ʔ i ɪ t̚
一舉兩得	ʔ i ɪ t̚
一葦	ʔ i ɪ t̚
一言一語	ʔ i ɪ t̚
一言以蔽之	ʔ i ɪ t̚
一言半語	ʔ i ɪ t̚
一闡提	ʔ i ɪ t̚
一顰一笑	ʔ i ɪ t̚
丁	t e ŋ
丁	ʈˠ ɛ ŋ
丁丁	ʈˠ ɛ ŋ
丁口	t e ŋ
丁夫	t e ŋ
丁寧	t e ŋ
丁母憂	t e ŋ
丁父憂	t e ŋ
丁男	ʈˠ ɛ ŋ
丁零	t e ŋ
丂	kʰ ɑ u X
七	t͡sʰ i ɪ t̚
七十	t͡sʰ i ɪ t̚
七星	t͡sʰ i ɪ t̚
万	m ə k̚
万俟	m ə k̚
丈	ɖ ɨ ɐ ŋ X
丈人	ɖ ɨ ɐ ŋ X
三	s ɑ m
三	s ɑ m H
三代	s ɑ m
三令五申	s ɑ m H
三十	s ɑ m
三千世界	s ɑ m
三千大千世界	s ɑ m
三司	s ɑ m
三威	s ɑ m
三宅	s ɑ m
三峽	s ɑ m
三摩地	s ɑ m
三摩提	s ɑ m
三時	s ɑ m
三月	s ɑ m
三江	s ɑ m
三清	s ɑ m
三皇	s ɑ m
三皇五帝	s ɑ m
三秀	s ɑ m
三秦	s ɑ m
三菩提	s ɑ m
三藏	s ɑ m
三藐	s ɑ m
三藐三菩提	s ɑ m
三跪九叩	s ɑ m
三韓	s ɑ m
上	d͡ʑ ɨ ɐ ŋ H
上	d͡ʑ ɨ ɐ ŋ X
上京	d͡ʑ ɨ ɐ ŋ H
上古	d͡ʑ ɨ ɐ ŋ H
上帝	d͡ʑ ɨ ɐ ŋ H
上手	d͡ʑ ɨ ɐ ŋ H
上書	d͡ʑ ɨ ɐ ŋ X
上游	d͡ʑ ɨ ɐ ŋ H
上窮碧落下黃泉	d͡ʑ ɨ ɐ ŋ X
上黨	d͡ʑ ɨ ɐ ŋ X
下	ɦˠ a H
下	ɦˠ a X
下士	ɦˠ a H
下士	ɦˠ a X
下榻	ɦˠ a X
下雨	ɦˠ a H
不	p ɨ u
不	p ɨ u X
不	p ɨ u t̚
不仁	p ɨ u
不倦	p ɨ u
不及	p ɨ u
不可	p ɨ u
不可勝數	p ɨ u
不可知	p ɨ u
不吉	p ɨ u t̚
不啻	p ɨ u
不在	p ɨ u
不學無術	p ɨ u t̚
不屑	p ɨ u t̚
不幸	p ɨ u
不律	p ɨ u
不得	p ɨ u
不得已	p ɨ u
不復	p ɨ u
不忍	p ɨ u
不敏	p ɨ u t̚
不敢	p ɨ u
不敬	p ɨ u t̚
不易	p ɨ u
不朽	p ɨ u
不求甚解	p ɨ u t̚
不測	p ɨ u
不知	p ɨ u
不知所云	p ɨ u t̚
不祥	p ɨ u
不肖	p ɨ u
不肯	p ɨ u
不能	p ɨ u
不行	p ɨ u
不覺	p ɨ u t̚
不論	p ɨ u
不貳過	p ɨ u
丏	m e n X
丐	k ɑ i H
丑	ʈʰ ɨ u X
且	t͡s ɨ ʌ
且	t͡sʰ i a X
且末	t͡s ɨ ʌ
丕	pʰˠ i ɪ
丕顯	pʰˠ i ɪ
世	ɕ i ᴇ i H
世代	ɕ i ᴇ i H
世俗	ɕ i ᴇ i H
世尊	ɕ i ᴇ i H
世父	ɕ i ᴇ i H
世界	ɕ i ᴇ i H
世祖	ɕ i ᴇ i H
世襲	ɕ i ᴇ i H
世間	ɕ i ᴇ i H
丘	kʰ ɨ u
丘墟	kʰ ɨ u
丘陵	kʰ ɨ u
丙	pˠ i æ ŋ X
丙丁	pˠ i æ ŋ X
丙火	pˠ i æ ŋ X
丞	d͡ʑ ɨ ŋ
丞相	d͡ʑ ɨ ŋ
並	b e ŋ X
丨	k u ə n X
丩	k ɨ u
丫	ʔˠ a
中	ʈ ɨ u ŋ
中	ʈ ɨ u ŋ H
中人	ʈ ɨ u ŋ
中千世界	ʈ ɨ u ŋ
中原	ʈ ɨ u ŋ
中古	ʈ ɨ u ŋ
中國	ʈ ɨ u ŋ
中堅	ʈ ɨ u ŋ
中央	ʈ ɨ u ŋ
中庸	ʈ ɨ u ŋ
中心	ʈ ɨ u ŋ
中有	ʈ ɨ u ŋ
中秋	ʈ ɨ u ŋ
中華	ʈ ɨ u ŋ
中葉	ʈ ɨ u ŋ
中行	ʈ ɨ u ŋ
中陰	ʈ ɨ u ŋ
丮	kˠ i æ k̚
丯	kˠ ɛ i H
丰	pʰ ɨ o ŋ
丱	kˠ u a n H
串	kˠ u a n H
丳	t͡ʃʰˠ ɛ n X
丵	d͡ʒˠ ʌ k̚
丶	ʈ ɨ o X
丸	ɦ u ɑ n
丹	t ɑ n
主	t͡ɕ ɨ o X
主人	t͡ɕ ɨ o X
主義	t͡ɕ ɨ o X
丼	t ʌ m X
丿	j i ᴇ i H
丿	pʰ e t̚
乀	pʰ ɨ u t̚
乂	ŋ ɨ ɐ i H
乃	n ʌ i X
乃今	n ʌ i X
久	k ɨ u X
久遠	k ɨ u X
之	t͡ɕ ɨ
之乎者也	t͡ɕ ɨ
之間	t͡ɕ ɨ
乍	d͡ʒˠ a H
乍暖還寒	d͡ʒˠ a H
乎	ɦ u o
乏	b ɨ ɐ p̚
乑	ŋˠ i ɪ m
乖	kˠ u ɛ i
乖謬	kˠ u ɛ i
乘	ʑ ɨ ŋ
乘	ʑ ɨ ŋ H
乘勝	ʑ ɨ ŋ
乘勢	ʑ ɨ ŋ
乘舟	ʑ ɨ ŋ
乘船	ʑ ɨ ŋ
乙	ʔˠ i ɪ t̚
乜	m i a X
九	k ɨ u X
九九	k ɨ u X
九五	k ɨ u X
九十	k ɨ u X
九天	k ɨ u X
九日	k ɨ u X
九河	k ɨ u X
九泉	k ɨ u X
九烏	k ɨ u X
九真	k ɨ u X
乞	kʰ ɨ i H
乞	kʰ ɨ t̚
乞人	kʰ ɨ t̚
乞骸骨	kʰ ɨ t̚
也	j i a X
乳	ȵ ɨ o X
乳母	ȵ ɨ o X
乾	k ɑ n
乾	ɡˠ i ᴇ n
乾闥婆	ɡˠ i ᴇ n
乾闥婆城	k ɑ n
乾飯	k ɑ n
亂	l u ɑ n H
亂世	l u ɑ n H
亄	ʔˠ i ɪ H
亅	ɡ ʉ ɐ t̚
了	l e u X
予	j ɨ ʌ
予	j ɨ ʌ X
事	d͡ʒ ɨ H
事	t͡ʃ ɨ H
事務	d͡ʒ ɨ H
二	ȵ i ɪ H
二三子	ȵ i ɪ H
二八	ȵ i ɪ H
二十	ȵ i ɪ H
二月	ȵ i ɪ H
二毛	ȵ i ɪ H
亍	ʈ ɨ o H
于	ɦ ɨ o
于嗟	ɦ ɨ o
于闐	ɦ ɨ o
云	ɦ ɨ u n
云何	ɦ ɨ u n
云爾	ɦ ɨ u n
互	ɦ u o H
五	ŋ u o X
五十	ŋ u o X
五印度	ŋ u o X
五天竺	ŋ u o X
五嶺	ŋ u o X
五帝	ŋ u o X
五湖	ŋ u o X
五穀	ŋ u o X
五花	ŋ u o X
五花馬	ŋ u o X
五蘊	ŋ u o X
五言	ŋ u o X
五關	ŋ u o X
井	t͡s i ᴇ ŋ X
井井	t͡s i ᴇ ŋ X
亙	k ə ŋ H
些	s i a
些	s ɑ H
亞	ʔˠ a H
亞聖	ʔˠ a H
亟	k ɨ k̚
亟	kʰ ɨ H
亡	m ʉ ɐ ŋ
亡國	m ʉ ɐ ŋ
亡故	m ʉ ɐ ŋ
亡身	m ʉ ɐ ŋ
亡魂	m ʉ ɐ ŋ
亢	k ɑ ŋ
亢	kʰ ɑ ŋ H
交	kˠ a u
交媾	kˠ a u
交州	kˠ a u
交趾	kˠ a u
交通	kˠ a u
交遊	kˠ a u
交阯	kˠ a u
亥	ɦ ʌ i X
亦	j i ᴇ k̚
亨	h ɨ ɐ ŋ X
亨	hˠ æ ŋ
亨	pʰˠ i æ ŋ
享	h ɨ ɐ ŋ X
京	kˠ i æ ŋ
京京	kˠ i æ ŋ
京兆	kˠ i æ ŋ
京兆尹	kˠ i æ ŋ
京城	kˠ i æ ŋ
京師	kˠ i æ ŋ
京畿	kˠ i æ ŋ
京華	kˠ i æ ŋ
京觀	kˠ i æ ŋ
京邑	kˠ i æ ŋ
京都	kˠ i æ ŋ
亭	d e ŋ
亭亭	d e ŋ
亭午	d e ŋ
亭曈	d e ŋ
亮	l ɨ ɐ ŋ H
亳	b w ɑ k̚
亶	t ɑ n X
亹	m u ə n
亹	m ʉ i X
亹亹	m ʉ i X
人	ȵ i ɪ n
人事	ȵ i ɪ n
人人	ȵ i ɪ n
人和	ȵ i ɪ n
人境	ȵ i ɪ n
人妖	ȵ i ɪ n
人微言輕	ȵ i ɪ n
人情	ȵ i ɪ n
人民	ȵ i ɪ n
人煙	ȵ i ɪ n
人生	ȵ i ɪ n
人生七十古來稀	ȵ i ɪ n
人祅	ȵ i ɪ n
人臣	ȵ i ɪ n
人萌	ȵ i ɪ n
人間	ȵ i ɪ n
人面桃花	ȵ i ɪ n
人類	ȵ i ɪ n
什	d͡ʑ i ɪ p̚
仁	ȵ i ɪ n
仁人	ȵ i ɪ n
仁兄	ȵ i ɪ n
仁愛	ȵ i ɪ n
仁政	ȵ i ɪ n
仁義	ȵ i ɪ n
仁者	ȵ i ɪ n
仁讓	ȵ i ɪ n
仁頻	ȵ i ɪ n
仂	l ə k̚
仂	l ɨ k̚
仃	t e ŋ
仄	t͡ʃ ɨ k̚
仄日	t͡ʃ ɨ k̚
仆	pʰ ɨ o H
仇	ɡ ɨ u
仇怨	ɡ ɨ u
仇恨	ɡ ɨ u
仇讎	ɡ ɨ u
仉	t͡ɕ ɨ ɐ ŋ X
今	kˠ i ɪ m
今世	kˠ i ɪ m
今夜	kˠ i ɪ m
今日	kˠ i ɪ m
今旦	kˠ i ɪ m
今昔	kˠ i ɪ m
今朝	kˠ i ɪ m
今茲	kˠ i ɪ m
介	kˠ ɛ i H
介懷	kˠ ɛ i H
介紹	kˠ ɛ i H
仍	ȵ ɨ ŋ
仔	t͡s ɨ
仔	t͡s ɨ X
仔肩	t͡s ɨ
仕	d͡ʒ ɨ X
他	tʰ ɑ
他人	tʰ ɑ
他化自在天	tʰ ɑ
他國	tʰ ɑ
他日	tʰ ɑ
他鄉	tʰ ɑ
仗	ɖ ɨ ɐ ŋ X
付	p ɨ o H
付囑	p ɨ o H
付梓	p ɨ o H
仙	s i ᴇ n
仛	d ɑ k̚
仜	ɦ u ŋ
仝	d u ŋ
仞	ȵ i ɪ n H
仟	t͡sʰ e n
仠	k ɑ n X
仡	h ɨ t̚
仢	d͡ʑ ɨ ɐ k̚
代	d ʌ i H
代庖	d ʌ i H
令	l e ŋ
令	l i ᴇ n
令	l i ᴇ ŋ
令名	l i ᴇ ŋ
令月	l i ᴇ ŋ H
令行禁止	l i ᴇ ŋ H
以	j ɨ X
以來	j ɨ X
以德報怨	j ɨ X
以怨報德	j ɨ X
以故	j ɨ X
以是	j ɨ X
以暴易暴	j ɨ X
以為	j ɨ X
以貌取人	j ɨ X
仯	t͡ʃʰˠ a u H
仯偳	t͡ʃʰˠ a u H
仰	ŋ ɨ ɐ ŋ H
仰	ŋ ɨ ɐ ŋ X
仰之彌高	ŋ ɨ ɐ ŋ X
仰仗	ŋ ɨ ɐ ŋ H
仰食	ŋ ɨ ɐ ŋ H
仲	ɖ ɨ u ŋ H
仲尼	ɖ ɨ u ŋ H
仲春	ɖ ɨ u ŋ H
仲月	ɖ ɨ u ŋ H
仳	b i ɪ
仳	pʰ i ᴇ X
仵	ŋ u o X
件	ɡˠ i ᴇ n X
价	kˠ ɛ i H
仸	ʔˠ i ᴇ u X
仹	pʰ ɨ o ŋ
任	ȵ i ɪ m
任	ȵ i ɪ m H
任用	ȵ i ɪ m H
仿	pʰ ʉ ɐ ŋ X
仿效	pʰ ʉ ɐ ŋ X
伀	t͡ɕ ɨ o ŋ
企	kʰˠ i ᴇ X
企及	kʰˠ i ᴇ X
企望	kʰˠ i ᴇ X
伃	j ɨ ʌ
伄	t e u H
伄儅	t e u H
伆	m ɨ u n X
伈	s i ɪ m X
伈伈睍睍	s i ɪ m X
伉	kʰ ɑ ŋ H
伉儷	kʰ ɑ ŋ H
伊	ʔ i ɪ
伊始	ʔ i ɪ
伋	kˠ i ɪ p̚
伍	ŋ u o X
伎	t͡ɕ i ᴇ H
伎	ɡ i ᴇ
伎	ɡˠ i ᴇ X
伏	b ɨ u H
伏	b ɨ u k̚
伏惟	b ɨ u k̚
伏法	b ɨ u k̚
伏羲	b ɨ u k̚
伐	b ʉ ɐ t̚
休	h ɨ u
休假	h ɨ u
休屠	h ɨ u
伭	ɦ e n
伯	pˠ æ k̚
伯勞	pˠ æ k̚
估	k u o X
伴	b u ɑ n H
伴	b u ɑ n X
伴奐	b u ɑ n H
伶	l e ŋ
伶仃	l e ŋ
伶俜	l e ŋ
伷	ɖ ɨ u H
伸	ɕ i ɪ n
伸長	ɕ i ɪ n
伹	d͡z u o X
伹	t͡sʰ ɨ ʌ
伺	s ɨ H
伻	pʰˠ ɛ ŋ
似	z ɨ X
似曾相識	z ɨ X
伽	ɡ ɨ ɑ
伽耶	ɡ ɨ ɑ
伽藍	ɡ ɨ ɑ
伾	pʰˠ i ɪ
伿	t͡ɕ i ᴇ H
佁	j ɨ X
佁	ʈʰ ɨ H
佁儗	ʈʰ ɨ H
佂	t͡ɕ i ᴇ ŋ
佃	d e n
佃	d e n H
佃漁	d e n
佅	mˠ a i H
