ং	ŋ
দৃশ্য	d̪ r i ʃː o
দৃষ্টি	d̪ ɾ i ʃ ʈ i
দে	d̪ e
দেওয়া	d̪ a o̯ a
দেওয়া	d̪ e o̯ a
দেওয়া	d̪ æ o̯ a
দেওয়ানা	d̪ e o̯ a n a
দেওয়াল	d̪ e a l
দেওয়াল	d̪ e o̯ a l
দেওয়ালি	d̪ e o̯ a l i
দেখা	d̪ æ kʰ a
দেখানো	d̪ æ kʰ a n o
দেড়	d̪ e ɽ
দেড়	d̪ e ɾ
দেব	d̪ e b
দেব	d̪ e b o
দেবতা	d̪ e b o t̪ a
দেবদাস	d̪ e b d̪ a ʃ
দেবদাসী	d̪ e b d̪ a ʃ i
দেবী	d̪ e b i
দেরি	d̪ e ɾ i
দেশ	d̪ e ʃ
দেশপ্রেমিক	d̪ e ʃ ɔ p ɾ e m i k
দেশলাই	d̪ e ʃ l a i̯
দেশি	d e ʃ i
দেহ	d̪ e ɦ o
দৈব	d̪ o i̯ b ɔ
দৈর্ঘ্য	d̪ o i̯ ɾ ɡʱː o
দো	d̪ o
দোকান	d o k a n
দোকানদার	d̪ o k a n d̪ a ɾ
দোজখ	d̪ o d ʒ o kʰ
দোজখ	d̪ o z o kʰ
দোতারা	d̪ o t̪ a ɾ a
দোভাষী	d̪ o bʱ a ʃ i
দোয়া	d̪ o̯ a
দোয়েল	d̪ o e l
দোলনা	d̪ o l n a
দোলা	d̪ o l a
দোষ	d̪ o ʃ
দোস্ত	d̪ o s t̪
দোস্ত	d̪ o s t̪ o
দৌড়ানো	d̪ o u̯ ɽ a n o
দৌড়ানো	d̪ o u̯ ɾ a n o
দৌলত	d̪ o u̯ l ɔ t̪
দ্বাদশ	d̪ a d̪ ɔ ʃ
দ্বার	d̪ a ɾ
দ্বারা	d̪ a ɾ a
দ্বীপ	d̪ i p
দ্বৈত	d̪ o i̯ t̪
দ্রাক্ষা	d̪ ɾ a kʰː a
দ্রাক্ষাকুঞ্জ	d̪ ɾ a kʰː a k u n d ʒ o
দ্রুত	d̪ ɾ u t̪ o
ধ	dʱ ɔ
ধন	d̪ʱ ɔ n
ধনবাদ	d̪ʱ ɔ n b a d̪
ধনিয়া	d̪ʱ o n i̯ a
ধনী	dʱ o n i
ধনে	d̪ʱ o n e
ধন্যবাদ	d̪ʱ o nː o b a d̪
ধরণী	d̪ʱ ɔ ɾ o n i
ধরা	dʱ ɔ r a
ধর্ম	d̪ʱ ɔ ɾ m o
ধর্ষণ	dʱ ɔ ɾ ʃ ɔ n
ধাওয়া	d̪ʱ a o̯ a
ধাক্কা	dʰ a kː a
ধাতু	dʱ a t u
ধান	d̪ʱ a n
ধামরাই	d̪ʱ a m ɾ a i̯
ধারণা	d̪ʱ a ɾ o n a
ধারা	d̪ʱ a ɾ a
ধারি	d̪ʱ a ɾ i
ধার্মিক	d̪ʱ a ɾ m i k
ধার্মিকতা	d̪ʱ a ɾ m i k ɔ t̪ a
ধীবর	d̪ʱ i b o ɾ
ধুতি	d̪ʱ u t̪ i
ধুতুরা	d̪ʱ u t̪ u ɾ a
ধূমকেতু	d̪ʱ u m k e t̪ u
ধূমপান	dʱ u m p a n
ধোঁয়া	d̪ʱ õ a
ধোঁয়াশা	d̪ʱ õ a ʃ a
ধোনি	dʱ o n i
ধোয়া	d̪ʱ o̯ a
ধ্বনি	dʱ o n i
ন	n ɔ
নং	n ɔ ŋ
নওকর	n ɔ o̯ k o ɾ
নওকরি	n ɔ o̯ k ɾ i
নওগাঁ	n ɔ o̯ ɡ ã
নওবাহার	n ɔ o̯ b a ɦ a ɾ
নকল	n ɔ k o l
নকশা	n ɔ k ʃ a
নকশাল	n ɔ k ʃ a l
নখ	n ɔ kʰ
নগর	n ɔ ɡ o ɾ
নগরী	n ɔ ɡ ɾ i
নগিচ	n o ɡ i t ʃ
নগ্ন	n ɔ ɡ n o
নগ্নতা	n ɔ ɡ n o t̪ a
নজর	n ɔ d ʒ o ɾ
নজরুল	n o d ʒ ɾ u l
নজরুল	n o z ɾ u l
নড়া	n ɔ ɽ a
নড়া	n ɔ ɾ a
নত	n ɔ t̪ o
নতীজা	n o t̪ i d ʒ a
নতুন	n o t̪ u n
নদিয়া	n o d̪ i̯ a
নদী	n o d̪ i
নফসানিয়াত	n ɔ f s a n i̯ a t̪
নব	n ɔ b
নব	n ɔ b o
নবডঙ্কা	n ɔ b o ɖ ɔ ŋ k a
নববর্ষ	n ɔ b o b ɔ ɾ ʃ o
নবাব	n ɔ b a b
নবিস	n o b i ʃ
নবী	n o b i
নবীজী	n o b i d ʒ i
নভেম্বর	n ɔ bʱ e m b ɔ ɾ
নভেল	n ɔ bʱ e l
নমস্কার	n ɔ m o ʃ k a ɾ
নমাজ	n ɔ m a d ʒ
নমায	n ɔ m a d ʒ
নম্বর	n ɔ m b o ɾ
নয়	n ɔ e̯
নয়ন	n ɔ e̯ o n
নয়া	n ɔ e̯ a
নর	n ɔ ɾ
নরক	n ɔ ɾ o k
নরম	n ɔ ɾ o m
নষ্ট	n ɔ ʃ ʈ o
না	n a
নাক	n a k
নাগাল্যান্ড	n a ɡ a l æ n ɖ
নাগেশ্বর	n a ɡ e ʃː ɔ ɾ
নাঙ্গল	n a ŋ ɡ ɔ l
নাঙ্গা	n a ŋ a
নাঙ্গা	n a ŋ ɡ a
নাচা	n a t ʃ a
নাজাত	n a d ʒ a t̪
নাটক	n a ʈ o k
নাতনী	n a t̪ n i
নাতি	n a t̪ i
নাতিশীতোষ্ণ	n a t̪ i ʃ i t̪ o ʃ n o
নাথ	n a t̪ʰ
নাদান	n a d̪ a n
নানা	n a n a
নানী	n a n i
নাপিত	n a p i t̪
নাপ্পি	n a pː i
নাবালক	n a b a l ɔ k
নাম	n a m
নামক	n a m ɔ k
নামজাদা	n a m d ʒ a d̪ a
নামহীন	n a m ɦ i n
নামহীন	n a mː i n
নামা	n a m a
নামাজ	n a m a d ʒ
নামাজ	n a m a z
নারকেল	n a ɾ k e l
নারাজ	n a ɾ a d ʒ
নারাজ	n a ɾ a z
নারায়ণ	n a ɾ a e̯ n
নারায়ণ	n a ɾ a e̯ o n
নারিকেল	n a ɾ i k e l
নারিন্দা	n a ɾ i n d̪ a
নারী	n a ɾ i
নারীবাদ	n a ɾ i b a d̪
নার্গিস	n a ɾ ɡ i s
নালিশ	n a l i ʃ
নাশকতা	n a ʃ ɔ k ɔ t̪ a
নাসরিন	n a s ɾ i n
নাসির	n a s i ɹ
নাসিরুদ্দিন	n a s i ɹ u d̪ː i n
নাস্তানাবুদ	n a s t̪ a n a b u d̪
নিঃশ্বসন	n i h ʃː ɔ ʃ ɔ n
নিউক্লিয়াস	n i u k l i a ʃ
নিকটবর্তী	n i k ɔ ʈ b o ɾ t̪ i
নিকটবর্তী	n i k ɔ ʈ o b o ɾ t̪ i
নিকড়িয়া	n i k o ɽ i̯ a
নিকড়িয়া	n i k o ɾ i̯ a
নিকাহ	n i k a
নিখিল	n i kʰ i l
নিখিলবিশ্ব	n i kʰ i l b i ʃː o
নিজ	n i d͡ʒ
নিজে	n i d͡ʒ e
নিজের	n i d͡ʒ e ɾ
নিধি	n i d̪ʱ i
নিমন্ত্রণ	n i m o n t̪ ɾ o n
নিম্ন	n i m n o
নিম্নে	n i m n e
নিয়ম	n i̯ o m
নিয়ে	n i̯ e
নিযুক্ত	n i d ʒ u k t̪ o
নিরক্ষর	n i r ɔ k kʰ ɔ r
নির্দেশ	n i ɾ d̪ e ʃ
নির্দেশনা	n i ɾ d̪ e ʃ ɔ n a
নির্বাচন	n i ɾ b a t ʃ ɔ n
নির্ভর	n i ɾ bʱ ɔ ɾ
নির্মাণ	n i ɾ m a n
নিলাম	n i l a m
নিশান	n i ʃ a n
নিশ্চয়	n i ʃ t ʃ ɔ e̯
নিশ্চিত	n i ʃ t ʃ i t̪ o
নিশ্বসন	n i ʃː ɔ ʃ ɔ n
নিশ্বাস	n i ʃː a ʃ
নিষিদ্ধ	n i ʃ i d̪ʱː o
নিস্তব্ধ	n i s t ɔ b dʱ o
নীতি	n i t̪ i
নীলুফার	n i l u f a ɾ
নীহারিকা	n i ɦ a ɽ i k a
নীহারিকা	n i ɦ a ɾ i k a
নুন	n u n
নুনি	n u n i
নুনু	n u n u
নুসরাত	n u s ɾ a t̪
নূতন	n u t̪ ɔ n
নূরানী	n u ɾ a n i
নেউল	n e u l
নেওয়া	n a o̯ a
নেওয়া	n e o̯ a
নেওয়া	n æ o̯ a
নেকড়ে	n e k ɽ e
নেকড়ে	n e k ɾ e
নেটওয়ার্ক	n e ʈ o̯ a ɾ k
নেটো	n e ʈ̟ o
নেতাজি	n e t̪ a d ʒ i
নেপচুন	n e p t ʃ u n
নেপাল	n e p a l
নেপিদ	n e p i d̪ ɔ
নেবা	n e b a
নেবানো	n e b a n o
নেভানো	n e bʱ a n o
নেমন্তন্ন	n e m o n t̪ o n n o
নেয়ামৎ	n e a m ɔ t̪
নেহেরু	n e ɦ e ɾ u
নৈরাজ্যবাদ	n o i̯ ɾ a d ʒː ɔ b a d̪
নৈশভোজ	n o i̯ ʃ ɔ bʱ o d ʒ
নোয়াখাইল্লা	n o̯ a kʰ a i̯ lː a
নোয়াখালী	n o̯ a kʰ a l i
নৌকা	n o u̯ k a
ন্যাটো	n æ ʈ̟ o
ন্যায়	n ɛ e̯
ন্যূনতম	n u n o t̪ ɔ m o
প	p ɔ
পকেট	p ɔ k e ʈ
পক্ষসমর্থন	p ɔ kʰː ɔ ʃ ɔ m ɔ ɾ t̪ʰ ɔ n
পক্ষী	p o k kʰ i
পক্ষে	p ɔ kʰː e
পচা	p ɔ t ʃ a
পছন্দ	p ɔ t ʃʰ o n d̪ o
পঞ্চগড়	p ɔ n t͡ʃ o ɡ ɔ ɽ
পঞ্চান্ন	p ɔ n t ʃ a nː o
পঞ্চায়েত	p ɔ n t ʃ a e̯ t̪
পঞ্চাশ	p ɔ n t ʃ a ʃ
পটেল	p ɔ ʈ e l
পটোল	p ɔ ʈ o l
পড়শী	p o ɽ ʃ i
পড়শী	p o ɾ ʃ i
পড়া	p ɔ ɽ a
পড়া	p ɔ ɾ a
পণ্ডিত	p o n ɖ i t̪
পতর	p ɔ t̪ ɔ ɾ
পতর	ɸ ɔ t̪ ɔ ɾ
পতাকা	p ɔ t̪ a k a
পত্রিকা	p ɔ t̪ ɾ i k a
পথ	p ɔ t̪ʰ
পদ	p ɔ d̪
পদ্ম	p ɔ d̪ː o
পদ্মা	p ɔ d̪ː a
পদ্মাসন	p ɔ d̪ d̪ a ʃ o n
পনীর	p o n i ɾ
পবিত্র	p o b i t̪ ɾ o
পয়গম্বর	p ɔ e̯ ɡ ɔ m b ɔ ɾ
পয়লা	p ɔ e̯ l a
পয়সা	p ɔʲ ʃ a
পর	p ɔ ɾ
পর	ɸ ɔ ɾ
পরমাণু	p ɔ ɾ o m a n u
পরশু	p o ɾ ʃ u
পরশ্রীকাতরতা	p ɔ ɾ o s ɾ i k a t̪ ɾ ɔ t̪ a
পরা	p ɔ ɾ a
পরাগ	p ɔ ɾ a ɡ
পরাত	p ɔ ɾ a t̪
পরানো	p ɔ ɾ a n o
পরামর্শ	p ɔ r a m ɔ r ʃ o
পরামর্শদাতা	p ɔ ɾ a m ɔ ɾ ʃ ɔ d̪ a t̪ a
পরিকল্পনা	p o ɾ i k ɔ l p o n a
পরিচয়	p o ɾ i t ʃ ɔ e̯
পরিচর্যা	p ɔ ɾ i t͡ʃ ɔ ɾ d͡ʒ a
পরিচালিত	p o ɾ i t ʃ a l i t̪ o
পরিণতি	p o ɾ i n o t̪ i
পরিবর্তন	p o ɾ i b ɔ ɾ t̪ o n
পরিবর্তে	p o ɾ i b ɔ ɾ t̪ e
পরিবার	p o ɾ i b a ɾ
পরিশ্রম	p o ɾ i s ɾ ɔ m
পরিস্থিতি	p o ɾ i s t̪ʰ i t̪ i
পরী	p o ɾ i
পরেন্দা	p ɔ ɾ e n d̪ a
পরোয়া	p ɔ ɾ o̯ a
পর্তুগাল	p ɔ ɾ t̪ u ɡ a l
পর্দা	p ɔ ɾ d̪ a
পর্দানশীন	p ɔ ɾ d̪ a n ɔ ʃ i n
পর্ন	p ɔ ɹ n
পর্নো	p ɔ ɾ n o
পর্বত	p ɔ r b ɔ t
পর্যটন	p ɔ ɾ d ʒ ɔ ʈ ɔ n
পর্যন্ত	p o ɾ d ʒ o n t̪ o
পলিনেশিয়া	p ɔ l i n e ʃ ŷ a
পল্টন	p ɔ l ʈ ɔ n
পল্লি	p ɔ lː i
পশুপাল	p ɔ ʃ u p a l
পশ্চিমবঙ্গ	p ɔ ʃ t ʃ i m b ɔ ŋ ɡ o
পশ্চিমবঙ্গে	p ɔ ʃ t ʃ i m b ɔ ŋ ɡ e
পশ্চিমবাংলা	p ɔ ʃ t ʃ i m b a ŋ l a
পহু	p o ɦ u
পহেলা	p ɔ ɦ e l a
পা	p a
পাঁউরুটি	p ã u ɾ u ʈ i
পাঁক	p ã k
পাঁচ	p ã t ʃ
পাঁচিল	p ã t ʃ i l
পাঁঠা	p ã ʈʰ a
পাঁঠি	p ã ʈʰ i
পাঁড়ে	p ã ɽ e
পাঁড়ে	p ã ɾ e
পাঁতি	p ã t̪ i
পাইথন	p ɑ i t̪ʰ ɔ n
পাউরা	p a u ɾ a
পাওয়া	p a o̯ a
পাকস্থলী	p a k ɔ s t̪ʰ o l i
পাকা	p a k a
পাকিস্তান	p a k i s t̪ a n
পাখা	p a kʰ a
পাখি	p a kʰ i
পাখী	p a kʰ i
পাঙ্গাশ	p a ŋ a ʃ
পাঙ্গাশ	p a ŋ ɡ a ʃ
পাছা	p a t ʃʰ a
পাঞ্জা	p a n d ʒ a
পাঞ্জাব	p a n d ʒ a b
পাঠ	p a ʈʰ
পাঠা	p a ʈʰ a
পাঠান	p a ʈʰ a n
পাঠানো	p a ʈʰ a n o
পাড়া	p a ɽ a
পাড়া	p a ɾ a
পাণ	p a n
পাতক	p a t̪ ɔ k
পাতলা	p a t̪ l a
পাতা	p a t a
পাত্তা	p a t̪ː a
পাত্র	p a t̪ ɾ o
পাথর	p a tʰ o r
পাদটীকা	p a d̪ o ʈ i k a
পাদ্রি	p a d̪ ɾ i
পান	p a n
পানি	p a n i
পানিয়ালা	p a n i a l a
পানু	p ɑ n u
পান্ডা	p a n ɖ a
পান্থপাদপ	p a n tʰ ɔ p a d ɔ p
পান্না	p a nː a
পাপ	p a p
পাপকর্ম	p a p o k ɔ ɾ m o
পাপড়ি	p a p ɽ i
পাপড়ি	p a p ɾ i
পাপী	p a p i
পাবনা	p a b n a
পাবনাইয়া	p a b n a i̯ a
পায়রা	p aʲ r a
পায়স	p a e ʃ
পায়ু	p ɑ e̯ u
পায়ুকাম	p ɑ e̯ u k ɑ m
পায়ুকামী	p ɑ e̯ u k ɑ m i
পারদ	p ɑ ɾ ɔ d̪
পারভেজ	p a ɾ bʱ e z
পারমাণবিক	p a ɾ o m a n o b i k
পারা	p a ɾ a
পারিবারিক	p a ɾ i b a ɾ i k
পার্কিং	p a ɾ k i ŋ
পার্থ	p a ɾ t̪ʰ o
পার্থক্য	p a ɾ t̪ʰ o kː o
পার্সেল	p a ɹ s e l
পার্সেল	p a ɹ ʃ e l
পালক	p a l o k
পালন	p a l o n
পালানো	p a l a n o
পাসরা	p a ʃ ɔ ɾ a
পাহাড়	p a h a ɽ
পাহুরা	p a ɦ u ɾ a
পিছনে	p i t ʃʰ o n e
পিছা	p i t ʃʰ a
পিঠ	p i ʈʰ
পিঠা	p i ʈʰ a
পিতা	p i t̪ a
পিনাকী	p i n a k i
পিপলী	p i p ɔ l i
পিপ্পল	p i pː ɔ l
পিয়ন	p i̯ o n
পিয়া	p i̯ a
পিয়ানো	p i ɑ n o
পিয়াস	p i̯ a ʃ
পিরিচ	p i ɾ i t ʃ
পিষা	p i ʃ a
পিসি	p i ʃ i
পিস্তল	p i s t̪ ɔ l
পুঁজিবাদ	p ũ d ʒ i b a d̪
পুঁটি	p ũ ʈ i
পুঁথি	p ũ t̪ʰ i
পুঁথিশালা	p ũ tʰ i ʃ a l a
পুকুর	p u k u ɾ
পুঙ্খানুপুঙ্খ	p u ŋ kʰ a n u p u ŋ kʰ o
পুছা	p u t ʃʰ a
পুজো	p u d͡ʒ o
পুটকি	p u ʈ k i
পুত	p u t
পুতুল	p u t̪ u l
পুত্র	p u t̪ ɾ o
পুদিনা	p u d̪ i n a
পুনঃ	p u n ɔ h
পুনরুত্থান	p u n o ɾ u t̪ʰː a n
পুনরুত্থিত	p u n o ɾ u t̪ʰː i t̪ o
পুব	p u b
পুরনো	p u ɾ ɔ n o
পুরস্কার	p u ɾ o ʃ k a ɾ
পুরাণ	p u ɾ a n
পুরানো	p u ɾ a n o
পুরাপুরি	p u ɾ a p u ɾ i
পুরুষ	p u ɾ u ʃ
পুরুষাঙ্গ	p u ɾ u ʃ a ŋ ɡ o
পুরোনো	p u ɾ o n o
পুরোপুরি	p u ɾ o p u ɾ i
পুল	p u l
পুলিশ	p u l i ʃ
পুষ্টিকর	p u ʃ ʈ̟ i k ɔ ɾ
পুষ্প	p u ʃ p ɔ
পুস্তক	p u s t̪ ɔ k
পূজা	p u d͡ʒ ɑ
পূজারী	p u d ʒ a ɾ i
পূতিবাত	p u t i b a t
পূরণ	p u ɾ o n
পূরণ	p u ɾ ɔ n
পূর্ণ	p u ɾ n o
পূর্ব	p u ɾ b o
পূর্ববাংলা	p u ɾ b ɔ b a ŋ l a
পৃথকীকরণ	p ɾ i t̪ʰ k i k ɾ o n
পৃথিবী	p ɾ i t̪ʰ i b i
পেঁচ	p æ̃ t ʃ
পেঁচা	p ɛ̃ t ʃ a
পেঁড়া	p æ̃ ɽ a
পেঁড়া	p æ̃ ɾ a
পেঁপে	p ẽ p e
পেঁয়াজ	p e ã d ʒ
পেঁয়াজ	p e ã z
পেখম	p e kʰ ɔ m
পেটা	p e ʈ a
পেনিস	p e n i ʃ
পেয়ারা	p e a ɾ a
পেয়ালা	p e a l a
পেরু	p e ɾ u
পেরেক	p e ɾ e k
পেরেশান	p e ɾ e ʃ a n
পেস্তা	p e s t̪ a
পোকা	p o k a
পোছা	p o t ʃʰ a
পোড়া	p o ɽ a
পোশাক	p o ʃ a k
পৌঁছনো	p o ũ t ʃʰ ɔ n o
পৌঁছা	p o ũ t ʃʰ a
পৌনে	p o u̯ n e
পৌষ	p o u̯ ʃ
প্যাঁচা	p æ̃ t ʃ a
প্যান্ডেল	p æ n ɖ e l
প্যালেস্টাইন	p æ l e s ʈ a i̯ n
প্যালেস্টাইন	p æ l e ʃ ʈ a i̯ n
প্রকাশ	p ɾ o k a ʃ
প্রকাশিত	p ɾ o k a ʃ i t̪ o
প্রকৃত	p ɾ o k ɾ i t̪ o
প্রকৃতি	p ɾ o k ɾ i t̪ i
প্রচণ্ড	p ɾ o t ʃ o n ɖ o
প্রচার	p ɾ o t ʃ a ɾ
প্রচুর	p ɾ o t ʃ u ɾ
প্রজাপতি	p ɾ o d ʒ a p o t̪ i
প্রজেক্ট	p ɾ ɔ d ʒ e k ʈ
প্রতি	p ɾ o t̪ i
প্রতিজ্ঞা	p ɾ o t̪ i ɡː a
প্রতিধ্বনি	p ɾ o t̪ i d̪ʱː o n i
প্রতিমা	p ɾ o t̪ i m a
প্রতিমাচূর্ণকারী	p ɾ o t̪ i m a t ʃ u ɾ n ɔ k a ɾ i
প্রতিশোধ	p r o t̪ i ʃ o d̪ʰ
প্রতিশ্রুতি	p ɾ o t̪ i s ɾ u t̪ i
প্রতিষ্ঠিত	p ɾ o t̪ i ʃ ʈʰ i t̪ o
প্রত্যাশা	p ɾ o t̪ː a ʃ a
প্রত্যেক	p ɾ o t̪ː e k
প্রথম	p ɾ o t̪ʰ ɔ m
প্রধান	p ɾ o d̪ʱ a n
প্রভাব	p ɾ o bʱ a b
প্রভু	p ɾ o bʱ u
প্রভৃতি	p r o b h r i t i
প্রয়োজন	p ɾ o e̯ o d ʒ ɔ n
প্রশিক্ষিত	p ɾ o ʃ i kʰː i t̪ o
প্রশ্ন	p ɾ o s n o
প্রশ্ন	p ɾ o ʃ n o
প্রসব	p ɾ o ʃ ɔ b
প্রসাধন	p ɾ ɔ ʃ ɑ d̪ʱ ɔ n
প্রস্তুত	p ɾ o s t̪ u t̪
প্রহরী	p ɾ o ɦ o ɾ i
প্রাকৃত	p ɹ a k i t̪ o
প্রাকৃত	p ɹ a k ɹ i t̪ o
প্রাকৃতিক	p ɾ a k ɾ i t̪ i k
প্রাক্তন	p ɾ ɑ k t̪ ɔ n
প্রাচীন	p ɾ a t ʃ i n
প্রাচীর	p ɾ a t ʃ i ɾ
প্রাণ	p ɾ a n
প্রাণী	p ɾ a n i
প্রাত	p ɾ a t̪
প্রাতরাশ	p ɾ a t̪ ɔ ɾ a ʃ
প্রায়	p ɾ a e̯
প্রিয়	p ɾ i̯ o
প্রীতম	p ɾ i t̪ o m
প্রীতি	p ɾ i t̪ i
প্রেম	p ɾ e m
প্রেমপীড়িত	p ɾ e m p i ɽ i t̪ o
প্রেমপীড়িত	p ɾ e m p i ɾ i t̪ o
প্রেমিক	p ɾ e m i k
প্রেমিকা	p ɾ e m i k a
প্রেরিত	p ɾ e ɾ i t̪ o
প্রোগ্রাম	p ɹ o ɡ ɹ a m
প্লাস্টিক	p l a s ʈ i k
প্লাস্টিক	p l a ʃ ʈ i k
প্লিজ	p l i z
প্লীজ	p l i z
প্লুটো	p l u ʈ o
ফ	f ɔ
ফ	pʰ ɔ
ফ	ɸ ɔ
ফকিন্নি	f ɔ k i nː i
ফকির	f o k i ɾ
ফকীর	f o k i ɾ
ফখরুদ্দিন	pʰ ɔ kʰ ɾ u d̪ː i n
ফজর	f ɔ d ʒ o ɾ
ফজল	f ɔ d ʒ o l
ফজল	f ɔ z o l
ফটো	f o ʈ o
ফটোগ্রাফ	f ɔ ʈ o ɡ ɾ a f
ফড়িং	f o ɽ i ŋ
ফড়িং	f o ɾ i ŋ
ফতে	f o t̪ e
ফতোয়া	f ɔ t̪ o̯ a
ফয়সালা	f ɔ e̯ s a l a
ফয়েজ	f ɔ e z
ফরজ	f ɔ ɾ o d ʒ
ফরজ	f ɔ ɾ o z
ফরমান	f ɔ ɾ o m a n
ফরাসি	f ɔ ɾ a ʃ i
ফরিয়াদ	f o ɾ i̯ a d̪
ফল	f ɔ l
ফল	pʰ ɔ l
ফল	ɸ ɔ l
ফলসা	pʰ ɔ l ʃ a
ফলাফল	f ɔ l a f ɔ l
ফাঁসি	pʰ ã ʃ i
ফাইরুজ	f a i̯ ɾ u z
ফাজিল	f a d ʒ i l
ফাজিল	f a z i l
ফাটাফাটি	f a ʈ a f a ʈ i
ফাতেমা	f a t̪ e m a
ফানুস	f a n u ʃ
ফায়দা	f a e̯ d̪ a
ফারজানা	f a ɾ d ʒ a n a
ফারজানা	f a ɾ z a n a
ফারহান	f a ɾ ɦ a n
ফারহানা	f a ɾ ɦ a n a
ফারাক	f a ɾ a k
ফারাহ	f a ɾ a
ফারুক	f a r u k
ফালতু	pʰ a l t̪ u
ফালুদা	f a l u d̪ a
ফাল্গুন	pʰ a l ɡ u n
ফাস	f a s
ফাহাদ	f a ɦ a d̪
ফাহ্মী	f a ɦ m i
ফিজি	f i d ʒ i
ফিতা	f i t̪ a
ফিনল্যান্ড	f i n l æ n ɖ
ফিরিঙ্গি	f i ɾ i ŋ ɡ i
ফিরেবার	f i ɾ e b a ɾ
ফিরোজ	f i ɾ o z
ফিরোজা	f i ɾ o z a
ফিলিপাইন	f i l i p a i̯ n
ফিলিস্তিন	f i l i s t̪ i n
ফুটপাত	f u ʈ p a t̪
ফুটপাথ	f u ʈ p a t̪ʰ
ফুটবল	pʰ u ʈ ɔ b ɔ l ɔ
ফুটি	pʰ u ʈ i
ফুফু	f u f u
ফুয়েল	f u̯ e l
ফুরসত	f u ɾ ʃ ɔ t̪
ফুর্তি	pʰ u ɾ t̪ i
ফুল	f u l
ফুল	pʰ u l
ফুল	ɸ u l
ফেনা	f æ n a
ফেব্রুয়ারি	f e b ɾ u̯ a ɾ i
ফেরদৌস	f e ɾ d̪ o u̯ s
ফেরা	pʰ e ɾ a
ফেরেশতা	f e ɾ e s t̪ a
ফেলা	f æ l a
ফেসবুক	pʰ e ʃ b u k
ফোঁটা	f õ ʈ a
ফোঁটা	pʰ õ ʈ a
ফোকট	pʰ oː k o ʈ
ফোটা	f o ʈ a
ফোটা	pʰ o ʈ a
ফোটানো	f o ʈ a n o
ফোটানো	pʰ o ʈ a n o
ফোড়া	f o ɽ a
ফোড়া	f o ɾ a
ফোন	f o n
ফোরাত	f o ɾ a t̪
ফোলা	f o l a
ফোলা	pʰ o l a
ফোলা	ɸ o l a
ফোলানো	pʰ o l a n o
ফৌজ	f o u̯ d ʒ
ফৌজ	f o u̯ z
ফৌজি	f o u̯ d ʒ i
ফৌজি	f o u̯ z i
ফ্যান	f æ n
ফ্যাসিবাদ	f æ s i b a d̪
ফ্যাসিবাদী	pʰ æ ʃ i b ɑ d̪ i
ফ্রিজ	f ɾ i d ʒ
ফ্রিজ	f ɾ i z
ফ্রেশ	f ɾ e ʃ
ফ্লপি	f l ɔ p i
ফ্ল্যাগ	f l æ ɡ
ফ্ল্যাট	pʰ l e̯ a ʈ
ব	b ɔ
বঁধু	b ɔ̃ d̪ʱ u
বংশ	b ɔ ŋ ʃ o
বংশধর	b ɔ ŋ ʃ o d̪ʱ ɔ ɾ
বই	b o i
বউ	b o u̯
বক	b ɔ k
বকশিশ	b o k ʃ i ʃ
বকুল	b o k u l
বক্তৃতা	b o k t̪ ɾ i t̪ a
বগ	b ɔ ɡ
বগদাদ	b ɔ ɡ d̪ a d̪
বগল	b ɔ ɡ o l
বগা	b ɔ ɡ a
বগী	b o ɡ i
বগুড়া	b o ɡ u ɾ a
বঙ্গ	b ɔ ŋ ɡ o
বঙ্গবিদ্যা	b ɔ n ɡ o b i d̪ː a
বঙ্গালী	b ɔ ŋ ɡ a l i
বছর	b ɔ t ʃʰ o ɾ
বজায়	b ɔ d ʒ a e̯
বজ্র	b ɔ d ʒ ɾ o
বট	b ɔ ʈ
বড়	b ɔ ɽ
বড়	b ɔ ɽ o
বড়	b ɔ ɾ
বড়	b ɔ ɾ o
বড়দিন	b ɔ ɽ̟ ɔ d i n
বড়ি	b o ɽ i
বড়ি	b o ɾ i
বত্ব	b ɔ t̪ː o
বদমাইশ	b ɔ d̪ m a i̯ ʃ
বদলে	b ɔ d o l e
বদিউজ্জামান	b o d̪ i u d ʑː a m a n
বদিউজ্জামান	b o d̪ i u z z a m a n
বন	b o n
বন	b ɔ n
বনশ্রী	b o n o s ɾ i
বনানী	b ɔ n a n i
বন্দর	b ɔ n d̪ ɔ ɾ
বন্দ্যোপাধ্যায়	b ɔ n d̪ o p a d̪ʱː a e̯
বন্ধ	b ɔ n d̪ʱ o
বন্ধু	b o n d̪ʱ u
বন্ধুত্ব	b o n d̪ʱ u t̪ː o
বন্ধুহীন	b ɔ n d̪ u ɦ i n
বন্ধুহীন	b ɔ n d̪ʱ u ɦ i n
বন্যা	b ɔ nː a
বন্‌ধ	b ɔ n d̪ʱ
বমি	b o m i
বম্বে	b ɔ m b e
বয়ঃসন্ধি	b ɔ e̯ ɔ h ʃ ɔ n d̪ʱ i
বয়স	b ɔ e̯ o ʃ
বয়স	b ɔ e̯ ʃ
বয়স্ক	b ɔ e̯ o s k o
বয়ান	b ɔ e̯ a n
বর	b ɔ ɾ
বরং	b ɔ ɾ o ŋ
বরকত	b ɔ ɾ k o t̪
বরকন্দাজ	b ɔ ɾ k ɔ n d̪ a d ʒ
বরফ	b ɔ ɾ o pʰ
বরবাদ	b ɔ ɾ b a d̪
বর্গি	b o ɾ ɡ i
