Ⴀ	ɑ
ამოზნექილად	a m o z n e kʰ i ɫ a d
ამოზნექილი	a m o z n e kʰ i l i
ამოზნექილობა	a m o z n e kʰ i ɫ o b a
ამოთითხნილი	a m o tʰ i tʰ χ n i l i
ამოიდო	a m o i d o
ამოკლებს	a m o kʼ l e b s
ამომრჩეველი	a m o m ɾ t͡ʃʰ e v e l i
ამომწურავად	a m o m t͡sʼ u ɾ a v a d
ამომწურავი	a m o m t͡sʼ u ɾ a v i
ამომჭმელი	a m o m t͡ʃʼ m e l i
ამორალური	a m o ɾ a ɫ u ɾ i
ამორტიზაცია	a m o ɾ tʼ i z a t͡sʰ i a
ამორფული	a m o ɾ pʰ u l i
ამორჩეული	a m o ɾ t͡ʃʰ e u l i
ამორძალი	a m o ɾ d͡z a l i
ამოურჩეველი	a m o u ɾ t͡ʃʰ e v e l i
ამოუწურავი	a m o u t͡sʼ u ɾ a v i
ამოყვანილი	a m o χʼʷ a n i l i
ამოშვერილი	a m o ʃʷ e ɾ i l i
ამოცანა	a m o t͡sʰ a n a
ამოცნობა	a m o t͡sʰ n o b a
ამოძირკვავს	a m o d͡z i ɾ kʼʷ a f s
ამოხველება	a m o χʷ e l e b a
ამპარტავანი	a m pʼ a ɾ tʼ a v a n i
ამპარტავნულად	a m pʼ a ɾ tʼ a v n u ɫ a d
ამპერი	a m pʼ e ɾ i
ამპერმეტრი	a m pʼ e ɾ m e tʼ ɾ i
ამპლიტუდა	a m pʼ l i tʼ u d a
ამპულა	a m pʼ u ɫ a
ამპუტაცია	a m pʼ u tʼ a t͡sʰ i a
ამჟამად	a m ʒ a m a d
ამრავლებს	a m ɾ a v l e b s
ამრაზიშვილი	a m ɾ a z i ʃʷ i l i
ამრგვალებს	a m ɾ ɡʷ a l e b s
ამრეკლავად	a m ɾ e kʼ ɫ a v a d
ამრეკლავი	a m ɾ e kʼ ɫ a v i
ამრიგად	a m ɾ i ɡ a d
ამსგავსებს	a m s ɡ a f s e b s
ამსტერდამი	a m s tʼ e ɾ d a m i
ამტანი	a m tʼ a n i
ამტანობა	a m tʼ a n o b a
ამტვირთავი	a m tʼʷ i ɾ tʰ a v i
ამტვრევს	a m tʼʷ ɾ e f s
ამუზია	a m u z i a
ამულეტი	a m u l e tʼ i
ამურველაშვილი	a m u ɾʷ e ɫ a ʃʷ i l i
ამუშავებს	a m u ʃ a v e b s
ამუხრუჭებს	a m u χ ɾ u t͡ʃʼ e b s
ამფიბია	a m pʰ i b i a
ამფითეატრი	a m pʰ i tʰ e a tʼ ɾ i
ამფორა	a m pʰ o ɾ a
ამღერებს	a m ʁ e ɾ e b s
ამღვრეულობა	a m ʁʷ ɾ e u ɫ o b a
ამშვიდებს	a m ʃʷ i d e b s
ამჩნევს	a m t͡ʃʰ n e f s
ამძვრალი	a m d͡zʷ ɾ a l i
ამძიმებს	a m d͡z i m e b s
ამწარებს	a m t͡sʼ a ɾ e b s
ამწე	a m t͡sʼ e
ამწიფებს	a m t͡sʼ i pʰ e b s
ამწნილებს	a m t͡sʼ n i l e b s
ამხანაგი	a m χ a n a ɡ i
ამხანაგობა	a m χ a n a ɡ o b a
ამხედრებული	a m χ e d ɾ e b u l i
ამჯობინებს	a m d͡ʒ o b i n e b s
ან	a n
ანა	a n a
ანაბარი	a n a b a ɾ i
ანაბეჭდი	a n a b e t͡ʃʼ d i
ანაგვიანებს	a n a ɡʷ i a n e b s
ანათემა	a n a tʰ e m a
ანაკონდა	a n a kʼ o n d a
ანალიზი	a n a l i z i
ანალიზური	a n a l i z u ɾ i
ანალიტიკა	a n a l i tʼ i kʼ a
ანალიტიკოსი	a n a l i tʼ i kʼ o s i
ანალოგი	a n a ɫ o ɡ i
ანალოგია	a n a ɫ o ɡ i a
ანალოგიურად	a n a ɫ o ɡ i u ɾ a d
ანალოგიური	a n a ɫ o ɡ i u ɾ i
ანალური	a n a ɫ u ɾ i
ანანასი	a n a n a s i
ანანიაშვილი	a n a n i a ʃʷ i l i
ანანიძე	a n a n i d͡z e
ანაოჭებს	a n a o t͡ʃʼ e b s
ანარქია	a n a ɾ kʰ i a
ანარქიზმი	a n a ɾ kʰ i z m i
ანარქისტი	a n a ɾ kʰ i s tʼ i
ანარქიულად	a n a ɾ kʰ i u ɫ a d
ანარქიული	a n a ɾ kʰ i u l i
ანატოლი	a n a tʼ o l i
ანატოლია	a n a tʼ o l i a
ანატომი	a n a tʼ o m i
ანატომიურად	a n a tʼ o m i u ɾ a d
ანატომიური	a n a tʼ o m i u ɾ i
ანაფილაქსია	a n a pʰ i ɫ a kʰ s i a
ანაფორა	a n a pʰ o ɾ a
ანაქრონიზმი	a n a kʰ ɾ o n i z m i
ანაღდებს	a n a ʁ d e b s
ანახებს	a n a χ e b s
ანახვებს	a n a χʷ e b s
ანახშირებს	a n a χ ʃ i ɾ e b s
ანბანი	a n b a n i
ანბანურად	a n b a n u ɾ a d
ანბანური	a n b a n u ɾ i
ანგარება	a n ɡ a ɾ e b a
ანგარები	a n ɡ a ɾ e b i
ანგარებიანი	a n ɡ a ɾ e b i a n i
ანგარი	a n ɡ a ɾ i
ანგარიშვალდებულება	a n ɡ a ɾ i ʃʷ a l d e b u l e b a
ანგარიშვალდებული	a n ɡ a ɾ i ʃʷ a l d e b u l i
ანგარიში	a n ɡ a ɾ i ʃ i
ანგარიშიანი	a n ɡ a ɾ i ʃ i a n i
ანგარიშმიუცემლად	a n ɡ a ɾ i ʃ m i u t͡sʰ e m ɫ a d
ანგელოზა	a n ɡ e ɫ o z a
ანგელოზი	a n ɡ e ɫ o z i
ანგელოზივით	a n ɡ e ɫ o z i v i tʰ
ანგია	a n ɡ i a
ანგინა	a n ɡ i n a
ანგლიკანური	a n ɡ l i kʼ a n u ɾ i
ანგლიციზმი	a n ɡ l i t͡sʰ i z m i
ანგლოსაქსური	a n ɡ ɫ o s a kʰ s u ɾ i
ანგლოფობი	a n ɡ ɫ o pʰ o b i
ანგოლა	a n ɡ o ɫ a
ანგორა	a n ɡ o ɾ a
ანგრევს	a n ɡ ɾ e f s
ანდაზა	a n d a z a
ანდალუსია	a n d a ɫ u s i a
ანდამატი	a n d a m a tʼ i
ანდიაშვილი	a n d i a ʃʷ i l i
ანდობს	a n d o b s
ანდომებდა	a n d o m e b d a
ანდომებს	a n d o m e b s
ანდორა	a n d o ɾ a
ანდრაზაშვილი	a n d ɾ a z a ʃʷ i l i
ანდრია	a n d ɾ i a
ანდრიაშვილი	a n d ɾ i a ʃʷ i l i
ანეკდოტური	a n e kʼ d o tʼ u ɾ i
ანემია	a n e m i a
ანემიურად	a n e m i u ɾ a d
ანესაშვილი	a n e s a ʃʷ i l i
ანესთეზია	a n e s tʰ e z i a
ანექსია	a n e kʰ s i a
ანთება	a n tʰ e b a
ანთებითი	a n tʰ e b i tʰ i
ანთებს	a n tʰ e b s
ანთებული	a n tʰ e b u l i
ანთოლოგია	a n tʰ o ɫ o ɡ i a
ანთრაციტი	a n tʰ ɾ a t͡sʰ i tʼ i
ანთროპოიდი	a n tʰ ɾ o pʼ o i d i
ანთროპოიდული	a n tʰ ɾ o pʼ o i d u l i
ანთროპოლოგი	a n tʰ ɾ o pʼ o ɫ o ɡ i
ანიაშვილი	a n i a ʃʷ i l i
ანიკაშვილი	a n i kʼ a ʃʷ i l i
ანიმაციური	a n i m a t͡sʰ i u ɾ i
ანიმიზმი	a n i m i z m i
ანისი	a n i s i
ანისული	a n i s u l i
ანკესი	a n kʼ e s i
ანკეტა	a n kʼ e tʼ a
ანომალია	a n o m a l i a
ანომალიური	a n o m a l i u ɾ i
ანომალურად	a n o m a ɫ u ɾ a d
ანონიმურად	a n o n i m u ɾ a d
ანონიმური	a n o n i m u ɾ i
ანონიმურობა	a n o n i m u ɾ o b a
ანონსი	a n o n s i
ანოტაცია	a n o tʼ a t͡sʰ i a
ანტაგონიზმი	a n tʼ a ɡ o n i z m i
ანტაგონისტურად	a n tʼ a ɡ o n i s tʼ u ɾ a d
ანტარქტიდა	a n tʼ a ɾ kʰ tʼ i d a
ანტარქტიკული	a n tʼ a ɾ kʰ tʼ i kʼ u l i
ანტიბიოტიკი	a n tʼ i b i o tʼ i kʼ i
ანტიგმირი	a n tʼ i ɡ m i ɾ i
ანტივირუსი	a n tʼ i v i ɾ u s i
ანტიიმპერიალიზმი	a n tʼ i i m pʼ e ɾ i a l i z m i
ანტიკვარი	a n tʼ i kʼʷ a ɾ i
ანტიკვარული	a n tʼ i kʼʷ a ɾ u l i
ანტიკომუნისტი	a n tʼ i kʼ o m u n i s tʼ i
ანტიკომუნისტური	a n tʼ i kʼ o m u n i s tʼ u ɾ i
ანტიკური	a n tʼ i kʼ u ɾ i
ანტიკურობა	a n tʼ i kʼ u ɾ o b a
ანტილოპა	a n tʼ i ɫ o pʼ a
ანტიპათია	a n tʼ i pʼ a tʰ i a
ანტიპათიური	a n tʼ i pʼ a tʰ i u ɾ i
ანტისხეული	a n tʼ i s χ e u l i
ანტიფაშისტი	a n tʼ i pʰ a ʃ i s tʼ i
ანტიფაშისტური	a n tʼ i pʰ a ʃ i s tʼ u ɾ i
ანტიციკლონი	a n tʼ i t͡sʰ i kʼ ɫ o n i
ანტონაშვილი	a n tʼ o n a ʃʷ i l i
ანტონი	a n tʼ o n i
ანტონიმი	a n tʼ o n i m i
ანტონიშვილი	a n tʼ o n i ʃʷ i l i
ანტრაქტი	a n tʼ ɾ a kʰ tʼ i
ანტრესოლი	a n tʼ ɾ e s o l i
ანტურაჟი	a n tʼ u ɾ a ʒ i
ანუაშვილი	a n u a ʃʷ i l i
ანუგეშებს	a n u ɡ e ʃ e b s
ანძა	a n d͡z a
ანძრევს	a n d͡z ɾ e f s
ანწლი	a n t͡sʼ l i
ანჯამა	a n d͡ʒ a m a
აოთხმაგებს	a o tʰ χ m a ɡ e b s
აორისტი	a o ɾ i s tʼ i
აორტა	a o ɾ tʼ a
აპათია	a pʼ a tʰ i a
აპათიურად	a pʼ a tʰ i u ɾ a d
აპათიური	a pʼ a tʰ i u ɾ i
აპარატად	a pʼ a ɾ a tʼ a d
აპარატი	a pʼ a ɾ a tʼ i
აპარატით	a pʼ a ɾ a tʼ i tʰ
აპარატის	a pʼ a ɾ a tʼ i s
აპარატმა	a pʼ a ɾ a tʼ m a
აპარატო	a pʼ a ɾ a tʼ o
აპარატს	a pʼ a ɾ a tʼ s
აპატიებს	a pʼ a tʼ i e b s
აპენდიქსი	a pʼ e n d i kʰ s i
აპენდიციტი	a pʼ e n d i t͡sʰ i tʼ i
აპირებს	a pʼ i ɾ e b s
აპკოვანი	a pʼ kʼ o v a n i
აპლიკაცია	a pʼ l i kʼ a t͡sʰ i a
აპლოდისმენტი	a pʼ ɫ o d i s m e n tʼ i
აპლომბი	a pʼ ɫ o m b i
აპნისი	a pʼ n i s i
აპოგეა	a pʼ o ɡ e a
აპოკალიფსი	a pʼ o kʼ a l i pʰ s i
აპოკალიფსური	a pʼ o kʼ a l i pʰ s u ɾ i
აპოკრიფული	a pʼ o kʼ ɾ i pʰ u l i
აპოლოგეტი	a pʼ o ɫ o ɡ e tʼ i
აპოლოგეტიკა	a pʼ o ɫ o ɡ e tʼ i kʼ a
აპრილად	a pʼ ɾ i ɫ a d
აპრილი	a pʼ ɾ i l i
აპრილით	a pʼ ɾ i l i tʰ
აპრილის	a pʼ ɾ i l i s
აპრილმა	a pʼ ɾ i l m a
აპრილს	a pʼ ɾ i l s
აპრიორი	a pʼ ɾ i o ɾ i
აპრიორული	a pʼ ɾ i o ɾ u l i
არ	a ɾ
არა	a ɾ a
არაადეკვატურად	a ɾ a a d e kʼʷ a tʼ u ɾ a d
არაადეკვატური	a ɾ a a d e kʼʷ a tʼ u ɾ i
არააკურატულად	a ɾ a a kʼ u ɾ a tʼ u ɫ a d
არაალკოჰოლური	a ɾ a a l kʼ o h o ɫ u ɾ i
არაარსებითი	a ɾ a a ɾ s e b i tʰ i
არაბაშვილი	a ɾ a b a ʃʷ i l i
არაბესკები	a ɾ a b e s kʼ e b i
არაბი	a ɾ a b i
არაბინარული	a ɾ a b i n a ɾ u l i
არაბისტი	a ɾ a b i s tʼ i
არაბიძე	a ɾ a b i d͡z e
არაბული	a ɾ a b u l i
არაბუნებრივად	a ɾ a b u n e b ɾ i v a d
არაბუნებრივი	a ɾ a b u n e b ɾ i v i
არაგანახლებადი	a ɾ a ɡ a n a χ l e b a d i
არაგვიშვილი	a ɾ a ɡʷ i ʃʷ i l i
არაგონებამახვილურად	a ɾ a ɡ o n e b a m a χʷ i ɫ u ɾ a d
არაგონივრულად	a ɾ a ɡ o n i v ɾ u ɫ a d
არაგონივრული	a ɾ a ɡ o n i v ɾ u l i
არაგრამატიკულად	a ɾ a ɡ ɾ a m a tʼ i kʼ u ɫ a d
არაგულწრფელად	a ɾ a ɡ u l t͡sʼ ɾ pʰ e ɫ a d
არაგულწრფელი	a ɾ a ɡ u l t͡sʼ ɾ pʰ e l i
არადა	a ɾ a d a
არადაგუგვლადი	a ɾ a d a ɡ u ɡʷ ɫ a d i
არადამაკმაყოფილებლად	a ɾ a d a m a kʼ m a χʼ o pʰ i l e b ɫ a d
არადამახასიათებლად	a ɾ a d a m a χ a s i a tʰ e b ɫ a d
არადამაჯერებლად	a ɾ a d a m a d͡ʒ e ɾ e b ɫ a d
არადემოკრატიულად	a ɾ a d e m o kʼ ɾ a tʼ i u ɫ a d
არადიპლომატიურად	a ɾ a d i pʼ ɫ o m a tʼ i u ɾ a d
არადრამატულად	a ɾ a d ɾ a m a tʼ u ɫ a d
არაეთიკურად	a ɾ a e tʰ i kʼ u ɾ a d
არაეთიკური	a ɾ a e tʰ i kʼ u ɾ i
არაეკონომიურად	a ɾ a e kʼ o n o m i u ɾ a d
არაერთხელ	a ɾ a e ɾ tʰ χ e l
არაეფექტური	a ɾ a e pʰ e kʰ tʼ u ɾ i
არავითარი	a ɾ a v i tʰ a ɾ i
არავინ	a ɾ a v i n
არაზუსტად	a ɾ a z u s tʼ a d
არაზუსტი	a ɾ a z u s tʼ i
არათანაბარი	a ɾ a tʰ a n a b a ɾ i
არათანაბრად	a ɾ a tʰ a n a b ɾ a d
არათანაშვილი	a ɾ a tʰ a n a ʃʷ i l i
არათანმიმდევრულად	a ɾ a tʰ a n m i m d e v ɾ u ɫ a d
არათითი	a ɾ a tʰ i tʰ i
არაკი	a ɾ a kʼ i
არაკომპეტენტურად	a ɾ a kʼ o m pʼ e tʼ e n tʼ u ɾ a d
არაკონსტიტუციურად	a ɾ a kʼ o n s tʼ i tʼ u t͡sʰ i u ɾ a d
არაკორექტულად	a ɾ a kʼ o ɾ e kʰ tʼ u ɫ a d
არაკორექტული	a ɾ a kʼ o ɾ e kʰ tʼ u l i
არალოგიკურად	a ɾ a ɫ o ɡ i kʼ u ɾ a d
არალოგიკური	a ɾ a ɫ o ɡ i kʼ u ɾ i
არალოიალურად	a ɾ a ɫ o i a ɫ u ɾ a d
არამაგობრულად	a ɾ a m a ɡ o b ɾ u ɫ a d
არამეგობრული	a ɾ a m e ɡ o b ɾ u l i
არამედ	a ɾ a m e d
არამეცნიერულად	a ɾ a m e t͡sʰ n i e ɾ u ɫ a d
არამზადა	a ɾ a m z a d a
არამიმზიდველად	a ɾ a m i m z i dʷ e ɫ a d
არამოდურად	a ɾ a m o d u ɾ a d
არამოხდენილად	a ɾ a m o χ d e n i ɫ a d
არამსგავსი	a ɾ a m s ɡ a f s i
არამუსიკალურად	a ɾ a m u s i kʼ a ɫ u ɾ a d
არამყარად	a ɾ a m χʼ a ɾ a d
არამყარი	a ɾ a m χʼ a ɾ i
არამყარობა	a ɾ a m χʼ a ɾ o b a
არანაირად	a ɾ a n a i ɾ a d
არანაირი	a ɾ a n a i ɾ i
არანორმალურად	a ɾ a n o ɾ m a ɫ u ɾ a d
არანორმალური	a ɾ a n o ɾ m a ɫ u ɾ i
არაორაზროვნად	a ɾ a o ɾ a z ɾ o v n a d
არაორგანულად	a ɾ a o ɾ ɡ a n u ɫ a d
არაორგანული	a ɾ a o ɾ ɡ a n u l i
არაოფიციალურად	a ɾ a o pʰ i t͡sʰ i a ɫ u ɾ a d
არაოფიციალური	a ɾ a o pʰ i t͡sʰ i a ɫ u ɾ i
არაპატრიოტულად	a ɾ a pʼ a tʼ ɾ i o tʼ u ɫ a d
არაპირდაპირად	a ɾ a pʼ i ɾ d a pʼ i ɾ a d
არაპირდაპირი	a ɾ a pʼ i ɾ d a pʼ i ɾ i
არაპროდუქტიულად	a ɾ a pʼ ɾ o d u kʰ tʼ i u ɫ a d
არაპროპორციულად	a ɾ a pʼ ɾ o pʼ o ɾ t͡sʰ i u ɫ a d
არაპროფესიონალი	a ɾ a pʼ ɾ o pʰ e s i o n a l i
არაპროფესიონალური	a ɾ a pʼ ɾ o pʰ e s i o n a ɫ u ɾ i
არარაობა	a ɾ a ɾ a o b a
