㒒	p ɔ k̚ ⁴
七十	t͡sʰ i t̚ ³ ² ⁻ ⁴ t͡s a p̚ ⁴
七十一	t͡sʰ i t̚ ³ ² ⁻ ⁴ t͡s a p̚ ⁴ ⁻ ³ ² i t̚ ³ ²
七十七	t͡sʰ i t̚ ³ ² ⁻ ⁴ t͡s a p̚ ⁴ ⁻ ³ ² t͡sʰ i t̚ ³ ²
七十三	t͡sʰ i t̚ ³ ² ⁻ ⁴ t͡s a p̚ ⁴ ⁻ ³ ² s ã ⁴ ⁴
七十九	t͡sʰ i t̚ ³ ² ⁻ ⁴ t͡s a p̚ ⁴ ⁻ ³ ² k a u ⁴ ¹
七十二	t͡sʰ i t̚ ³ ² ⁻ ⁴ t͡s a p̚ ⁴ ⁻ ³ ² z i ³ ³
七十五	t͡sʰ i t̚ ³ ² ⁻ ⁴ t͡s a p̚ ⁴ ⁻ ³ ² ɡ ɔ ³ ³
七十八	t͡sʰ i t̚ ³ ² ⁻ ⁴ t͡s a p̚ ⁴ ⁻ ³ ² p e ʔ ³ ²
七十六	t͡sʰ i t̚ ³ ² ⁻ ⁴ t͡s a p̚ ⁴ ⁻ ³ ² l a k̚ ⁴
七十四	t͡sʰ i t̚ ³ ² ⁻ ⁴ t͡s a p̚ ⁴ ⁻ ³ ² s i ² ¹
七嘴八舌	t͡sʰ i t̚ ³ ² ⁻ ⁴ t͡sʰ u i ² ¹ ⁻ ⁴ ¹ p u e ³ ² ⁻ ⁴ ¹ t͡s i ʔ ⁴
七嘴八舌	t͡sʰ i t̚ ³ ² ⁻ ⁴ t͡sʰ u i ² ¹ ⁻ ⁴ ¹ p u e ʔ ³ ² ⁻ ⁴ ¹ t͡s i ʔ ⁴
七堵	t͡sʰ i t̚ ³ ² ⁻ ⁴ t ɔ ⁴ ¹
七夕	t͡sʰ i t̚ ³ ² ⁻ ⁴ s i a ʔ ⁴
七夕	t͡sʰ i t̚ ³ ² ⁻ ⁴ s i ɪ k̚ ⁴
七娘媽	t͡sʰ i t̚ ³ ² ⁻ ⁴ n i ũ ² ³ ⁻ ³ ³ m ã ⁴ ¹
七娘媽生	t͡sʰ i t̚ ³ ² ⁻ ⁴ n i ũ ² ³ ⁻ ³ ³ m ã ⁴ ¹ ⁻ ⁴ ⁴ s ẽ ⁴ ⁴
七孔	t͡sʰ i t̚ ³ ² ⁻ ⁴ kʰ ɔ ŋ ⁴ ¹
七彩	t͡sʰ i t̚ ³ ² ⁻ ⁴ t͡sʰ a i ⁴ ¹
七手八腳	t͡sʰ i t̚ ³ ² ⁻ ⁴ t͡sʰ i u ⁴ ¹ ⁻ ⁴ ⁴ p e ³ ² ⁻ ⁴ ¹ kʰ a ⁴ ⁴
七手八腳	t͡sʰ i t̚ ³ ² ⁻ ⁴ t͡sʰ i u ⁴ ¹ ⁻ ⁴ ⁴ p e ʔ ³ ² ⁻ ⁴ ¹ kʰ a ⁴ ⁴
七早八早	t͡sʰ i t̚ ³ ² ⁻ ⁴ t͡s a ⁴ ¹ ⁻ ⁴ ⁴ p e ³ ² ⁻ ⁴ ¹ t͡s a ⁴ ¹
七早八早	t͡sʰ i t̚ ³ ² ⁻ ⁴ t͡s a ⁴ ¹ ⁻ ⁴ ⁴ p e ʔ ³ ² ⁻ ⁴ ¹ t͡s a ⁴ ¹
七星	t͡sʰ i t̚ ³ ² ⁻ ⁴ t͡sʰ ẽ ⁴ ⁴
七月	t͡sʰ i t̚ ³ ² ⁻ ⁴ ɡ u e ʔ ⁴
七月半	t͡sʰ i t̚ ³ ² ⁻ ⁴ ɡ u e ʔ ⁴ ⁻ ² ¹ p u ã ² ¹
七月半	t͡sʰ i t̚ ³ ² ⁻ ⁴ ɡ u e ⁴ ⁻ ² ¹ p u ã ² ¹
七爺八爺	t͡sʰ i t̚ ³ ² ⁻ ⁴ i a ² ³ ⁻ ³ ³ p e ³ ² ⁻ ⁴ ¹ i a ² ³
七爺八爺	t͡sʰ i t̚ ³ ² ⁻ ⁴ i a ² ³ ⁻ ³ ³ p e ʔ ³ ² ⁻ ⁴ ¹ i a ² ³
七竅	t͡sʰ i t̚ ³ ² ⁻ ⁴ kʰ i a u ² ¹
七美	t͡sʰ i t̚ ³ ² ⁻ ⁴ b i ⁴ ¹
七股	t͡sʰ i t̚ ³ ² ⁻ ⁴ k ɔ ⁴ ¹
七色	t͡sʰ i t̚ ³ ² ⁻ ⁴ s i ɪ k̚ ³ ²
七角形	t͡sʰ i t̚ ³ ² ⁻ ⁴ k a k̚ ³ ² ⁻ ⁴ h i ɪ ŋ ² ³
七言詩	t͡sʰ i t̚ ³ ² ⁻ ⁴ ɡ i ɛ n ² ³ ⁻ ³ ³ s i ⁴ ⁴
七講八講	t͡sʰ i t̚ ³ ² ⁻ ⁴ k ɔ ŋ ⁴ ¹ p e ³ ² ⁻ ⁴ ¹ k ɔ ŋ ⁴ ¹
七講八講	t͡sʰ i t̚ ³ ² ⁻ ⁴ k ɔ ŋ ⁴ ¹ p e ʔ ³ ² ⁻ ⁴ ¹ k ɔ ŋ ⁴ ¹
七除八扣	t͡sʰ i t̚ ³ ² ⁻ ⁴ t u ² ³ ⁻ ³ ³ p a t̚ ³ ² ⁻ ⁴ kʰ a u ² ¹
七點	t͡sʰ i t̚ ³ ² ⁻ ⁴ t i a m ⁴ ¹
万俟	b i ɪ k̚ ⁴ ⁻ ³ ² k i ² ³
丈	t i ũ ³ ³
丈	t i ɔ ŋ ³ ³
丈	t ŋ̍ ³ ³
丈人	t i ũ ³ ³ ⁻ ² ¹ l a ŋ ² ³
丈人公	t i ũ ³ ³ ⁻ ² ¹ l a ŋ ² ³ ⁻ ³ ³ k ɔ ŋ ⁴ ⁴
丈人爸	t i ũ ³ ³ ⁻ ² ¹ l a ŋ ² ³ ⁻ ³ ³ p a ² ³
丈儂	t i ũ ³ ³ ⁻ ² ¹ l a ŋ ² ³
丈儂公	t i ũ ³ ³ ⁻ ² ¹ l a ŋ ² ³ ⁻ ³ ³ k ɔ ŋ ⁴ ⁴
丈夫	t a ⁴ ⁴ ⁻ ³ ³ p ɔ ⁴ ⁴
丈夫	t i ɔ ŋ ³ ³ ⁻ ² ¹ h u ⁴ ⁴
丈夫	t͡s a ⁴ ⁴ ⁻ ³ ³ p ɔ ⁴ ⁴
丈夫人	t͡s a ⁴ ⁴ ⁻ ³ ³ p ɔ ⁴ ⁴ ⁻ ³ ³ l a ŋ ² ³
丈夫囝	t a ⁴ ⁴ ⁻ ³ ³ p ɔ ⁴ ⁴ ⁻ ³ ³ k i ã ⁴ ¹
丈夫囝	t͡s a ⁴ ⁴ ⁻ ³ ³ p ɔ ⁴ ⁴ ⁻ ³ ³ k i ã ⁴ ¹
丈夫囡仔	t͡s a ⁴ ⁴ ⁻ ³ ³ p ɔ ⁴ ⁴ ⁻ ³ ³ ɡ i n ⁴ ¹ ⁻ ⁴ ⁴ a ⁴ ¹
丈夫朋友	t a ⁴ ⁴ ⁻ ³ ³ p ɔ ⁴ ⁴ ⁻ ³ ³ p i ɪ ŋ ² ³ ⁻ ³ ³ i u ⁴ ¹
丈夫朋友	t͡s a ⁴ ⁴ ⁻ ³ ³ p ɔ ⁴ ⁴ ⁻ ³ ³ p i ɪ ŋ ² ³ ⁻ ³ ³ i u ⁴ ¹
丈姆	t i ũ ³ ³ ⁻ ² ¹ m̩ ⁴ ¹
丈姆婆	t i ũ ³ ³ ⁻ ² ¹ m̩ ⁴ ¹ ⁻ ⁴ ⁴ p ɤ ² ³
丈育	t i ɔ ŋ ³ ³ ⁻ ² ¹ i ɔ k̚ ⁴
三	s a m ² ¹
三	s a m ⁴ ⁴
三	s ã ⁴ ⁴
三一	s a m ⁴ ⁴ ⁻ ³ ³ i t̚ ³ ²
三七	s a m ⁴ ⁴ ⁻ ³ ³ t͡sʰ i t̚ ³ ²
三七仔	s a m ⁴ ⁴ ⁻ ³ ³ t͡sʰ i t̚ ³ ² ⁻ ⁴ a ⁴ ¹
三不二時	s a m ⁴ ⁴ ⁻ ³ ³ p u t̚ ³ ² ⁻ ⁴ z i ³ ³ ⁻ ² ¹ s i ² ³
三不五時	s a m ⁴ ⁴ ⁻ ³ ³ p u t̚ ³ ² ⁻ ⁴ ɡ ɔ ³ ³ ⁻ ² ¹ s i ² ³
三不管	s a m ⁴ ⁴ ⁻ ³ ³ p u t̚ ³ ² ⁻ ⁴ k u a n ⁴ ¹
三令五申	s a m ⁴ ⁴ ⁻ ³ ³ l i ɪ ŋ ³ ³ ⁻ ² ¹ ŋ ɔ̃ ⁴ ¹ ⁻ ⁴ ⁴ s i n ⁴ ⁴
三位一體	s a m ⁴ ⁴ ⁻ ³ ³ u i ³ ³ ⁻ ² ¹ i t̚ ³ ² ⁻ ⁴ tʰ e ⁴ ¹
三位一體	s ã ⁴ ⁴ ⁻ ³ ³ u i ³ ³ ⁻ ² ¹ i t̚ ³ ² ⁻ ⁴ tʰ e ⁴ ¹
三光	s a m ⁴ ⁴ ⁻ ³ ³ k ɔ ŋ ⁴ ⁴
三八	s a m ⁴ ⁴ ⁻ ³ ³ p a t̚ ³ ²
三八氣	s a m ⁴ ⁴ ⁻ ³ ³ p a t̚ ³ ² ⁻ ⁴ kʰ u i ² ¹
三公	s a m ⁴ ⁴ ⁻ ³ ³ k ɔ ŋ ⁴ ⁴
三分	s ã ⁴ ⁴ ⁻ ³ ³ h u n ⁴ ⁴
三十	s ã ⁴ ⁴ ⁻ ³ ³ t͡s a p̚ ⁴
三十一	s ã ⁴ ⁴ ⁻ ³ ³ t͡s a p̚ ⁴ ⁻ ³ ² i t̚ ³ ²
三十七	s ã ⁴ ⁴ ⁻ ³ ³ t͡s a p̚ ⁴ ⁻ ³ ² t͡sʰ i t̚ ³ ²
三十三	s ã ⁴ ⁴ ⁻ ³ ³ t͡s a p̚ ⁴ ⁻ ³ ² s ã ⁴ ⁴
三十九	s ã ⁴ ⁴ ⁻ ³ ³ t͡s a p̚ ⁴ ⁻ ³ ² k a u ⁴ ¹
三十二	s ã ⁴ ⁴ ⁻ ³ ³ t͡s a p̚ ⁴ ⁻ ³ ² z i ³ ³
三十五	s ã ⁴ ⁴ ⁻ ³ ³ t͡s a p̚ ⁴ ⁻ ³ ² ɡ ɔ ³ ³
三十八	s ã ⁴ ⁴ ⁻ ³ ³ t͡s a p̚ ⁴ ⁻ ³ ² p e ʔ ³ ²
三十六	s ã ⁴ ⁴ ⁻ ³ ³ t͡s a p̚ ⁴ ⁻ ³ ² l a k̚ ⁴
三十四	s ã ⁴ ⁴ ⁻ ³ ³ t͡s a p̚ ⁴ ⁻ ³ ² s i ² ¹
三十暝	s ã ⁴ ⁴ ⁻ ³ ³ t͡s a p̚ ⁴ ⁻ ³ ² m ẽ ² ³
三叉	s a m ⁴ ⁴ ⁻ ³ ³ t͡sʰ e ⁴ ⁴
三叉	s ã ⁴ ⁴ ⁻ ³ ³ t͡sʰ e ⁴ ⁴
三合	s ã ⁴ ⁴ ⁻ ³ ³ h a p̚ ⁴
三合院	s ã ⁴ ⁴ ⁻ ³ ³ h a p̚ ⁴ ⁻ ³ ² ĩ ³ ³
三國	s a m ⁴ ⁴ ⁻ ³ ³ k ɔ k̚ ³ ²
三國演義	s a m ⁴ ⁴ ⁻ ³ ³ k ɔ k̚ ³ ² ⁻ ⁴ i ɛ n ⁴ ¹ ⁻ ⁴ ⁴ ɡ i ³ ³
三國鼎立	s a m ⁴ ⁴ ⁻ ³ ³ k ɔ k̚ ³ ² ⁻ ⁴ t i ɪ ŋ ⁴ ¹ ⁻ ⁴ ⁴ l i p̚ ⁴
三地門	s a m ⁴ ⁴ ⁻ ³ ³ t e ³ ³ ⁻ ² ¹ m ŋ̍ ² ³
三好加一好	s ã ⁴ ⁴ ⁻ ³ ³ h ɤ ⁴ ¹ k e ⁴ ⁴ ⁻ ³ ³ t͡s i t̚ ⁴ ⁻ ³ ² h ɤ ⁴ ¹
三字經	s a m ⁴ ⁴ ⁻ ³ ³ t͡s u ³ ³ ⁻ ² ¹ k i ɪ ŋ ⁴ ⁴
三層	s a m ⁴ ⁴ ⁻ ³ ³ t͡s a n ² ³
三層仔	s a m ⁴ ⁴ ⁻ ³ ³ s i ɛ n ² ³ ⁻ ³ ³ a ⁴ ¹
三層仔	s a m ⁴ ⁴ ⁻ ³ ³ t͡s i ɛ n ² ³ ⁻ ³ ³ a ⁴ ¹
三山國王	s a m ⁴ ⁴ ⁻ ³ ³ s a n ⁴ ⁴ ⁻ ³ ³ k ɔ k̚ ³ ² ⁻ ⁴ ɔ ŋ ² ³
三峽	s a m ⁴ ⁴ ⁻ ³ ³ k i a p̚ ³ ²
三弦	s a m ⁴ ⁴ ⁻ ³ ³ h i ɛ n ² ³
三心兩意	s a m ⁴ ⁴ ⁻ ³ ³ s i m ⁴ ⁴ l i ɔ ŋ ⁴ ¹ ⁻ ⁴ ⁴ i ² ¹
三心兩意	s ã ⁴ ⁴ ⁻ ³ ³ s i m ⁴ ⁴ n ŋ̍ ³ ³ ⁻ ² ¹ i ² ¹
三思	s a m ² ¹ ⁻ ⁴ ¹ s u ⁴ ⁴
三思而後行	s a m ² ¹ ⁻ ⁴ ¹ s u ⁴ ⁴ z i ² ³ ⁻ ³ ³ h i ɤ ³ ³ ⁻ ² ¹ h i ɪ ŋ ² ³
三思而行	s a m ² ¹ ⁻ ⁴ ¹ s u ⁴ ⁴ ⁻ ³ ³ z i ² ³ ⁻ ³ ³ h i ɪ ŋ ² ³
三振	s a n ³ ⁵ s i n ⁴ ¹
三教九流	s a m ⁴ ⁴ ⁻ ³ ³ k a u ² ¹ k i u ⁴ ¹ ⁻ ⁴ ⁴ l i u ² ³
三文魚	s a m ⁴ ⁴ ⁻ ³ ³ b u n ² ³ ⁻ ³ ³ h i ² ³
三文魚	s a m ⁴ ⁴ ⁻ ³ ³ ɡ u a n ² ³ ⁻ ³ ³ h i ² ³
三日節	s ã ⁴ ⁴ ⁻ ³ ³ z i t̚ ⁴ ⁻ ³ ² t͡s e ʔ ³ ²
三明治	s a m ⁴ ⁴ ⁻ ³ ³ b i ɪ ŋ ² ³ ⁻ ³ ³ t i ³ ³
三星	s ã ⁴ ⁴ ⁻ ³ ³ t͡sʰ ẽ ⁴ ⁴
三更	s ã ⁴ ⁴ ⁻ ³ ³ k ẽ ⁴ ⁴
三更半暝	s ã ⁴ ⁴ ⁻ ³ ³ k ẽ ⁴ ⁴ ⁻ ³ ³ p u ã ² ¹ ⁻ ⁴ ¹ m ẽ ² ³
三月	s ã ⁴ ⁴ ⁻ ³ ³ ɡ u e ʔ ⁴
三民	s a m ⁴ ⁴ ⁻ ³ ³ b i n ² ³
三民主義	s a m ⁴ ⁴ ⁻ ³ ³ b i n ² ³ ⁻ ³ ³ t͡s u ⁴ ¹ ⁻ ⁴ ⁴ ɡ i ³ ³
三河	s a m ⁴ ⁴ ⁻ ³ ³ h ɤ ² ³
三流	s ã ⁴ ⁴ ⁻ ³ ³ l i u ² ³
三溫暖	s a m ⁴ ⁴ ⁻ ³ ³ u n ⁴ ⁴ ⁻ ³ ³ l u a n ⁴ ¹
三灣	s a m ⁴ ⁴ ⁻ ³ ³ u a n ⁴ ⁴
三牲	s a m ⁴ ⁴ ⁻ ³ ³ s i ɪ ŋ ⁴ ⁴
三皇	s a m ⁴ ⁴ ⁻ ³ ³ h ɔ ŋ ² ³
三皇五帝	s a m ⁴ ⁴ ⁻ ³ ³ h ɔ ŋ ² ³ ⁻ ³ ³ ŋ ɔ̃ ⁴ ¹ ⁻ ⁴ ⁴ t e ² ¹
三級跳	s ã ⁴ ⁴ ⁻ ³ ³ k i p̚ ³ ² ⁻ ⁴ tʰ i a u ² ¹
三義	s a m ⁴ ⁴ ⁻ ³ ³ ɡ i ³ ³
三肢手	s ã ⁴ ⁴ ⁻ ³ ³ k i ⁴ ⁴ ⁻ ³ ³ t͡sʰ i u ⁴ ¹
三腳架	s ã ⁴ ⁴ ⁻ ³ ³ kʰ a ⁴ ⁴ ⁻ ³ ³ k e ² ¹
三腳貓	s ã ⁴ ⁴ ⁻ ³ ³ kʰ a ⁴ ⁴ ⁻ ³ ³ n i ã u ⁴ ⁴
三芝	s a m ⁴ ⁴ ⁻ ³ ³ t͡s i ⁴ ⁴
三菱	s a m ⁴ ⁴ ⁻ ³ ³ l i ɪ ŋ ² ³
三藏	s a m ⁴ ⁴ ⁻ ³ ³ t͡s ɔ ŋ ³ ³
三角	s ã ⁴ ⁴ ⁻ ³ ³ k a k̚ ³ ²
三角學	s ã ⁴ ⁴ ⁻ ³ ³ k a k̚ ³ ² ⁻ ⁴ h a k̚ ⁴
三角形	s ã ⁴ ⁴ ⁻ ³ ³ k a k̚ ³ ² ⁻ ⁴ h i ɪ ŋ ² ³
三角戀	s ã ⁴ ⁴ ⁻ ³ ³ k a k̚ ³ ² ⁻ ⁴ l u a n ² ³
三角楓	s ã ⁴ ⁴ ⁻ ³ ³ k a k̚ ³ ² ⁻ ⁴ p ŋ̍ ⁴ ⁴
三角洲	s ã ⁴ ⁴ ⁻ ³ ³ k a k̚ ³ ² ⁻ ⁴ t͡s i u ⁴ ⁴
三角湧	s ã ⁴ ⁴ ⁻ ³ ³ k a k̚ ³ ² ⁻ ⁴ i ɪ ŋ ⁴ ¹
三角窗	s ã ⁴ ⁴ ⁻ ³ ³ k a k̚ ³ ² ⁻ ⁴ tʰ a ŋ ⁴ ⁴
三角褲	s ã ⁴ ⁴ ⁻ ³ ³ k a k̚ ³ ² ⁻ ⁴ kʰ ɔ ² ¹
三讀	s a m ⁴ ⁴ ⁻ ³ ³ tʰ ɔ k̚ ⁴
三貂角	s a m ⁴ ⁴ ⁻ ³ ³ t i a u ⁴ ⁴ ⁻ ³ ³ k a k̚ ³ ²
三跤	s ã ⁴ ⁴ ⁻ ³ ³ kʰ a ⁴ ⁴
三跤㧣	s ã ⁴ ⁴ ⁻ ³ ³ kʰ a ⁴ ⁴ ⁻ ³ ³ t u ⁴ ⁴
三跤馬	s ã ⁴ ⁴ ⁻ ³ ³ kʰ a ⁴ ⁴ ⁻ ³ ³ b e ⁴ ¹
三跪九叩	s a m ⁴ ⁴ ⁻ ³ ³ k u i ³ ³ ⁻ ² ¹ k i u ⁴ ¹ ⁻ ⁴ ⁴ kʰ a u ² ¹
三軍	s a m ⁴ ⁴ ⁻ ³ ³ k u n ⁴ ⁴
三軍	s ã ⁴ ⁴ ⁻ ³ ³ k u n ⁴ ⁴
三輦車	s ã ⁴ ⁴ ⁻ ³ ³ l i ɛ n ⁴ ¹ ⁻ ⁴ ⁴ t͡sʰ i a ⁴ ⁴
三通	s a m ⁴ ⁴ ⁻ ³ ³ tʰ ɔ ŋ ⁴ ⁴
三部曲	s ã ⁴ ⁴ ⁻ ³ ³ p ɔ ³ ³ ⁻ ² ¹ kʰ i ɪ k̚ ³ ²
三重	s a m ⁴ ⁴ ⁻ ³ ³ t i ɔ ŋ ² ³
三重	s ã ⁴ ⁴ ⁻ ³ ³ t i ɪ ŋ ² ³
三重埔	s ã ⁴ ⁴ ⁻ ³ ³ t i ɪ ŋ ² ³ ⁻ ³ ³ p ɔ ⁴ ⁴
三重埔大學	s ã ⁴ ⁴ ⁻ ³ ³ t i ɪ ŋ ² ³ ⁻ ³ ³ p ɔ ⁴ ⁴ ⁻ ³ ³ t a i ³ ³ ⁻ ² ¹ h a k̚ ⁴
三鐘經	s a m ⁴ ⁴ ⁻ ³ ³ t͡s i ɔ ŋ ⁴ ⁴ ⁻ ³ ³ k i ɪ ŋ ⁴ ⁴
三長兩短	s ã ⁴ ⁴ ⁻ ³ ³ t ŋ̍ ² ³ ⁻ ³ ³ n ŋ̍ ³ ³ ⁻ ² ¹ t e ⁴ ¹
三門峽	s a m ⁴ ⁴ ⁻ ³ ³ b u n ² ³ ⁻ ³ ³ k i a p̚ ³ ²
三除四扣	s ã ⁴ ⁴ ⁻ ³ ³ t u ² ³ s i ² ¹ ⁻ ⁴ ¹ kʰ a u ² ¹
三頓	s ã ⁴ ⁴ ⁻ ³ ³ t ŋ̍ ² ¹
三頭六臂	s a m ⁴ ⁴ ⁻ ³ ³ tʰ a u ² ³ l i ɔ k̚ ⁴ ⁻ ³ ² p i ² ¹
三頭六臂	s a m ⁴ ⁴ ⁻ ³ ³ tʰ i ɤ ² ³ l i ɔ k̚ ⁴ ⁻ ³ ² p i ² ¹
三魂七魄	s a m ⁴ ⁴ ⁻ ³ ³ h u n ² ³ t͡sʰ i t̚ ³ ² ⁻ ⁴ pʰ i ɪ k̚ ³ ²
三點	s ã ⁴ ⁴ ⁻ ³ ³ t i a m ⁴ ¹
三點水	s ã ⁴ ⁴ ⁻ ³ ³ t i a m ⁴ ¹ ⁻ ⁴ ⁴ t͡s u i ⁴ ¹
上	s i ɔ ŋ ³ ³
上	s i ɔ ŋ ⁴ ¹
上	tʰ ɔ ŋ ³ ³
上	t͡s i ũ ³ ³
上	t͡sʰ i ũ ³ ³
上丁	t͡s i ũ ³ ³ ⁻ ² ¹ t i ɪ ŋ ⁴ ⁴
上主	s i ɔ ŋ ³ ³ ⁻ ² ¹ t͡s u ⁴ ¹
上交	s i ɔ ŋ ³ ³ ⁻ ² ¹ k a u ⁴ ⁴
上任	t͡s i ũ ³ ³ ⁻ ² ¹ z i m ³ ³
上位	s i a ŋ ³ ³ ⁻ ² ¹ u i ³ ³
上位	s i ɔ ŋ ³ ³ ⁻ ² ¹ u i ³ ³
上位	t͡s i ũ ³ ³ ⁻ ² ¹ u i ³ ³
上來	t͡s i ũ ³ ³ ⁻ ² ¹ l a i ² ³
上元	s i ɔ ŋ ³ ³ ⁻ ² ¹ ɡ u a n ² ³
上元圓	s i ɔ ŋ ³ ³ ⁻ ² ¹ ɡ u a n ² ³ ⁻ ³ ³ ĩ ² ³
上北	t͡s i ũ ³ ³ ⁻ ² ¹ p a k̚ ³ ²
上升	s i ɔ ŋ ³ ³ ⁻ ² ¹ s i ɪ ŋ ⁴ ⁴
上午	s i ɔ ŋ ³ ³ ⁻ ² ¹ ŋ ɔ̃ ⁴ ¹
上卌𣍐攝	t͡s i ũ ³ ³ ⁻ ² ¹ s i a p̚ ³ ² ⁻ ⁴ b e ³ ³ ⁻ ² ¹ l i a p̚ ³ ²
上古	s i ɔ ŋ ³ ³ ⁻ ² ¹ k ɔ ⁴ ¹
上古漢語	s i ɔ ŋ ³ ³ ⁻ ² ¹ k ɔ ⁴ ¹ ⁻ ⁴ ⁴ h a n ² ¹ ⁻ ⁴ ¹ ɡ i ⁴ ¹
上司	s i ɔ ŋ ³ ³ ⁻ ² ¹ s i ⁴ ⁴
上司	t͡s i ũ ³ ³ ⁻ ² ¹ s i ⁴ ⁴
上吊	t͡s i ũ ³ ³ ⁻ ² ¹ t i a u ² ¹
上品	s i ɔ ŋ ³ ³ ⁻ ² ¹ pʰ i n ⁴ ¹
上堂	t͡s i ũ ³ ³ ⁻ ² ¹ t ŋ̍ ² ³
上報	s i ɔ ŋ ³ ³ ⁻ ² ¹ p ɤ ² ¹
上場	t͡s i ũ ³ ³ ⁻ ² ¹ t i ũ ² ³
上天	s i ɔ ŋ ³ ³ ⁻ ² ¹ tʰ i ɛ n ⁴ ⁴
上天	t͡s i ũ ³ ³ ⁻ ² ¹ tʰ ĩ ⁴ ⁴
上好	s i a ŋ ³ ³ ⁻ ² ¹ h ɤ ⁴ ¹
上好	s i ɔ ŋ ³ ³ ⁻ ² ¹ h ɤ ⁴ ¹
上學	t͡s i ũ ³ ³ ⁻ ² ¹ ɤ ʔ ⁴
上官	s i ɔ ŋ ³ ³ ⁻ ² ¹ k u a n ⁴ ⁴
上官	s i ɔ ŋ ³ ³ ⁻ ² ¹ k u ã ⁴ ⁴
上將	s i ɔ ŋ ³ ³ ⁻ ² ¹ t͡s i ɔ ŋ ² ¹
上尉	s i ɔ ŋ ³ ³ ⁻ ² ¹ u i ² ¹
上尾	s i ɔ ŋ ³ ³ ⁻ ² ¹ b u e ⁴ ¹
上山	t͡s i ũ ³ ³ ⁻ ² ¹ s u ã ⁴ ⁴
上岸	t͡s i ũ ³ ³ ⁻ ² ¹ h u ã ³ ³
上崎	t͡s i ũ ³ ³ ⁻ ² ¹ k i a ³ ³
上市	t͡s i ũ ³ ³ ⁻ ² ¹ t͡sʰ i ³ ³
上帝	s i ɔ ŋ ³ ³ ⁻ ² ¹ t e ² ¹
上床	t͡s i ũ ³ ³ ⁻ ² ¹ t͡sʰ ŋ̍ ² ³
上懸領導人	s i ɔ ŋ ³ ³ ⁻ ² ¹ k u a n ² ³ ⁻ ³ ³ l i ɪ ŋ ⁴ ¹ ⁻ ⁴ ⁴ t ɤ ³ ³ ⁻ ² ¹ l i n ² ³
上手	s i ɔ ŋ ³ ³ ⁻ ² ¹ t͡sʰ i u ⁴ ¹
上手	t͡s i ũ ³ ³ ⁻ ² ¹ t͡sʰ i u ⁴ ¹
上數	t͡s i ũ ³ ³ ⁻ ² ¹ s i a u ² ¹
上文	s i ɔ ŋ ³ ³ ⁻ ² ¹ b u n ² ³
上早	s i ɔ ŋ ³ ³ ⁻ ² ¹ t͡s a ⁴ ¹
上朝	t͡s i ũ ³ ³ ⁻ ² ¹ t i a u ² ³
上校	s i a ŋ ³ ³ ⁻ ² ¹ h a u ³ ³
上校	s i ɔ ŋ ³ ³ ⁻ ² ¹ h a u ³ ³
上校	s i ɔ ŋ ³ ³ ⁻ ² ¹ k a u ² ¹
上桌	t͡s i ũ ³ ³ ⁻ ² ¹ t ɤ ʔ ³ ²
上樑	t͡s i ũ ³ ³ ⁻ ² ¹ n i ũ ² ³
上樓	t͡s i ũ ³ ³ ⁻ ² ¹ l a u ² ³
上櫃	t͡s i ũ ³ ³ ⁻ ² ¹ k u i ³ ³
上殕	t͡sʰ i ũ ³ ³ ⁻ ² ¹ pʰ u ⁴ ¹
上水	t͡s i ũ ³ ³ ⁻ ² ¹ t͡s u i ⁴ ¹
上水	t͡sʰ i ũ ³ ³ ⁻ ² ¹ t͡s u i ⁴ ¹
上流	s i ɔ ŋ ³ ³ ⁻ ² ¹ l i u ² ³
上流社會	s i ɔ ŋ ³ ³ ⁻ ² ¹ l i u ² ³ ⁻ ³ ³ s i a ³ ³ ⁻ ² ¹ h u e ³ ³
上海	s i ɔ ŋ ³ ³ ⁻ ² ¹ h a i ⁴ ¹
上海人	s i ɔ ŋ ³ ³ ⁻ ² ¹ h a i ⁴ ¹ ⁻ ⁴ ⁴ l a ŋ ² ³
上海話	s i ɔ ŋ ³ ³ ⁻ ² ¹ h a i ⁴ ¹ ⁻ ⁴ ⁴ u e ³ ³
上游	s i ɔ ŋ ³ ³ ⁻ ² ¹ i u ² ³
上火	t͡s i ũ ³ ³ ⁻ ² ¹ h u e ⁴ ¹
上片	t͡s i ũ ³ ³ ⁻ ² ¹ pʰ ĩ ² ¹
上班	s i ɔ ŋ ³ ³ ⁻ ² ¹ p a n ⁴ ⁴
上疆	t͡s i ũ ³ ³ ⁻ ² ¹ k i ũ ⁴ ⁴
上目	t͡s i ũ ³ ³ ⁻ ² ¹ b a k̚ ⁴
上空	s i ɔ ŋ ³ ³ ⁻ ² ¹ kʰ ɔ ŋ ⁴ ⁴
上童	t͡s i ũ ³ ³ ⁻ ² ¹ t a ŋ ² ³
上第	s i ɔ ŋ ³ ³ ⁻ ² ¹ t e ³ ³
上等	s i ɔ ŋ ³ ³ ⁻ ² ¹ t i ɪ ŋ ⁴ ¹
上策	s i ɔ ŋ ³ ³ ⁻ ² ¹ t͡sʰ i ɪ k̚ ³ ²
上級	s i ɔ ŋ ³ ³ ⁻ ² ¹ k i p̚ ³ ²
上網	t͡s i ũ ³ ³ ⁻ ² ¹ b a ŋ ³ ³
上緊	s i ɔ ŋ ³ ³ ⁻ ² ¹ k i n ⁴ ¹
