't	t
Stammbam	ʃ t ɑ m b aː m
Stand	ʃ t ɑ n t
Stater	ʃ t aː t e r
Stee	ʃ t eː
Steebock	ʃ t eː b o k
Steebroch	ʃ t eː b ʀ o χ
Steekueb	ʃ t eː k u ə̯ b
Steemetzer	ʃ t eː m æ t͡s ɐ
Steen	ʃ t eː n
Steepiisch	ʃ t eː p iː ʃ
steeën	ʃ t eː ə n
Steeën	ʃ t eː ə n
Steier	ʃ t ɑ ɪ̯ ɐ
steiwen	ʃ t ɑ ɪ v ə n
stellen	ʃ t æ l ə n
Steng	ʃ t æ ŋ
stengeg	ʃ t æ ŋ ə ɕ
stengen	ʃ t æ ŋ ə n
stiechen	ʃ t i ə ɕ ə n
Stied	ʃ t i e̯ t
Stier	ʃ t iː r
Stieren	ʃ t iː r e n
Stiermer	ʃ t iː ə̯ m ɐ
stiermesch	ʃ t iː ə̯ m ə ʃ
stierwen	ʃ t i e̯ v e n
Still	ʃ t i l
Stiwwel	ʃ t i v ə l
stoen	ʃ t oː e n
Stoff	ʃ t o f
Stol	ʃ t oː l
stomm	ʃ t o m
Stomp	ʃ t o m p
Stong	ʃ t o ŋ
Stonn	ʃ t o n
Stonneplang	ʃ t o n ə p l ɑ ŋ
stoppen	ʃ t o p ə n
Stot	ʃ t oː t
Stouss	ʃ t ə ʊ̯ s
stoussen	ʃ t e u̯ s e n
Strand	ʃ t ʀ ɑ n t
Strapp	ʃ t ʁ ɑ p
Strategie	ʃ t ʁ a t e ʒ iː
Strauss	ʃ t r æ u̯ s
Strauss	ʃ t r a u̯ s
Streck	ʃ t ʀ æ k
strecken	ʃ t ʀ æ k ə n
streeën	ʃ t r eː e n
streiden	ʃ t ʀ ɑ ɪ̯ d ə n
Strief	ʃ t ʀ i ə f
striewen	ʃ t ʀ i ə̯ v ə n
strofen	ʃ t ʀ oː f e n
Stronk	ʃ t ʀ o ŋ k
Strooss	ʃ t ʀ oː s
Stroossbuerg	ʃ t r oː s b u e̯ χ
Strumm	ʃ t ʀ u m
sträichen	ʃ t r æ i̯ χ e n
Sträif	ʃ t ʀ æː ɪ̯ f
sträifen	ʃ t ʀ æː ɪ̯ f ə n
Sträit	ʃ t ʀ æː ɪ̯ t
Sträitfall	ʃ t ʀ æː ɪ̯ t f ɑ l
Strëmp	ʃ t ʀ e m p
Stréckel	ʃ t ʀ e k ə l
strécken	ʃ t ʀ e k ə n
Stréihutt	ʃ t ʀ ɜ ɪ̯ h u t
Strénk	ʃ t ʀ e ŋ k
Stuel	ʃ t u ə l
Stuerm	ʃ t uː ə m
Stuff	ʃ t u f
Stull	ʃ t u l
Stäerkt	ʃ t ɛː ə̯ k t
stänneg	ʃ t æ n e χ
Stär	ʃ t eː r
Stärchen	ʃ t eː r χ e n
Stären	ʃ t eː r e n
Stärercher	ʃ t eː r e r χ e r
stättesch	ʃ t æ t e ʃ
Stëbs	ʃ t ə p s
Stëft	ʃ t ə f t
stëll	ʃ t ə l
stëllen	ʃ t ə l ə n
Stëmm	ʃ t ə m
stëmmen	ʃ t ə m ə n
Stéck	ʃ t e k
stécken	ʃ t e k e n
Stécker	ʃ t e k ɐ
Stéckstoff	ʃ t e k ʃ t o f
Stéier	ʃ t e i̯ e r
Stéier	ʃ t e i̯ r
Stéieren	ʃ t e i̯ r e n
Stéifkand	ʃ t ɜ ɪ̯ f k ɑ n t
Stéifmamm	ʃ t ɜ ɪ̯ f m ɑ m
Stéifpapp	ʃ t ɜ ɪ̯ f p ɑ p
Stéit	ʃ t ɜ ɪ̯ t
Su	z uː
Succès	s y k s ɛ
Sucht	z u χ t
Suel	z u ə l
Suerg	z u e̯ χ
suergen	z u e̯ ʁ e n
Summer	z u m e r
Summerwee	z u m ɐ v eː
Symptom	s i m p t oː m
sächlech	z æ χ l e χ
säin	z æː ɪ̯ n
säit	z æː ɪ̯ t
sëffeg	z ə f ə ɕ
Sëlwer	s ə l v ɐ
sëlwer	z ə l v ɐ
Sëlwermënz	z ə l v ɐ m ə n t͡s
Sënd	z e n t
sëndegen	z e n d e ʁ e n
Sënn	z e n
Sëtz	z ə t s
sëtzen	z ə t s ə n
Séchel	z ə ɕ ə l
sécher	z e χ e r
Séi	z e i̯
séien	z ɜ ɪ̯ ə n
séier	z e i̯ e r
séier	z e i̯ r
Séihond	z ɜ ɪ̯ h o n t
Séil	z ɜ ɪ l
séileg	z ɜ ɪ l ə ɕ
Séipäerdchen	z ɜ ɪ̯ p ɛː ə̯ t ɕ ə n
séiss	z e i̯ s
séissen	z ɜ ɪ̯ s e n
Süden	z yː d ə n
Taart	t aː χ t
taaschten	t aː ʃ t ə n
Tallong	t ɑ l o ŋ
Tast	t ɑ s t
Tatta	t ɑ t a
Tatz	t ɑ t s
Taxichauffeur	t ɑ k s i ʃ oː f ɐ
Televisioun	t ə l ə v i z j ə ʊ̯ n
Tempel	t æ m p ə l
Teppech	t æ p ə ɕ
Terrass	t æ ʀ ɑ s
Thees	t eː s
Tierk	t i e̯ k
Tierkei	t i e̯ k a i̯
Timber	t æ̃ b e r
Toilettëpabeier	t o̯ ɑ l æ t ə p ɑ b ɜ i̯ ɐ
Tomat	t o m aː t
Tomatejus	t o m aː t ə ʒ yː
tommelen	t o m ə l ə n
Tosch	t o ʃ
toufen	t ə ʊ̯ f e n
Toun	t ə ʊ̯ n
Trach	t r a χ
Traisch	t ʀ æː ɪ̯ ʃ
Traité	t r e t e
Trap	t ʀ aː p
Trapegelänner	t ʀ aː p ə ɡ ə l æ n ɐ
Trapp	t ʁ ɑ p
Tratt	t ʀ ɑ t
trauen	t ʀ a u̯ e n
Trauer	t ʀ ɑ ʊ̯ ɐ
trauereg	t r a u̯ r e χ
traueren	t ʀ ɑ ʊ̯ ə ʀ ə n
Traufel	t ʀ ɑ ʊ̯ f ə l
treffen	t ʀ æ f ə n
trei	t ʀ a i̯
Trei	t ʀ a i̯
trennen	t ʀ æ n ə n
trieden	t ʀ i ə̯ d ə n
triet	t ʀ i ə t
Tromm	t ʀ o m
Troun	t ʀ ə ʊ̯ n
Trouscht	t ʀ ə ʊ̯ ʃ t
trëllen	t ʀ ə l ə n
trëppelen	t ʀ ə p ə l ə n
trëts	t ʀ ə t s
Trëtt	t ʀ ə t
trëtt	t ʀ ə t
Trëtz	t ʀ ə t s
Tréin	t ʀ ɜ ɪ̯ n
tréischten	t ʀ ɜ ɪ̯ ʃ t ə n
Trüffel	t ʀ y f ə l
Tubak	t u b aː k
Tubak	t u b a k
Tuerm	t u ə̯ m
Tulp	t u l p
Tureil	t uː ə̯ ɑ i̯ l
Turnschlapp	t u ʀ n ʃ l ɑ p
turquoise	t y r k v aː s
Tut	t uː t
tuten	t uː t ə n
Täissel	t æ i̯ s e l
Täsch	t æ ʃ
Täschemesser	t æ ʃ ə m æ s ɐ
Täschendéif	t æ ʃ ə n d ɜ ɪ̯ f
Tënt	t ə n t
tëschen	t ə ʃ ə n
tëschent	t ə ʃ ə n t
tëscht	t e ʃ t
Téi	t e i̯
téinen	t e i̯ n e n
Ubau	u b æː ʊ̯
ubauen	u b ɑ ʊ̯ ə n
Uebst	u e̯ p s t
Uebstbam	u ə p s t b aː m
Uebstdrëpp	u ə p s t d ʀ ə p
Uebstjus	u ə̯ p s t ʒ yː
Uebstzalot	u ə p s t s ɑ l oː t
Uebstzort	u ə p s t s ɔ ʀ t
uechten	u ə̯ χ t e n
uechtzéngt	u ə̯ ɕ t͡s e ŋ t
Ueleg	u e̯ l e χ
Uelzecht	u ə l t͡s ə ɕ t
Uerden	uː ə̯ d ə n
Uerder	uː ə̯ d ɐ
Uerdnung	uː ə̯ d n u ŋ
Uergel	uː ə̯ ʑ ə l
Uergelbauer	u e̯ ʀ ɣ e l b a u̯ e ʀ
Uergelbauer	u e̯ ʀ ɣ e l b a u̯ ʀ
Uergelspiller	uː ə̯ ʑ ə l ʃ p i l ɐ
Uert	u e̯ t
Uess	u ə̯ s
Uessen	u ə̯ s ə n
uewen	u ə v ə n
Uewen	u e̯ v e n
Uewerkuer	u ə v ɐ k uː ə̯
Ufank	u f ɑ ŋ k
ufillen	u f i l ə n
Ufro	u f ʀ oː
ufänken	u f æ ŋ k ə n
uklicken	u k l i k ə n
ukommen	u k o m ə n
Ulaf	u l aː f
uleeën	u l eː ə n
Ulm	u l m
umaachen	u m aː χ ə n
un	u n
uneneen	u n ə n eː n
unerkennen	u n ɐ k æ n ə n
unhuelen	u n h u ə l ə n
Ursaach	uː ʀ z aː χ
uruffen	u ʀ u f ə n
uschléissen	u ʃ l ɜ ɪ̯ s ə n
uspriechen	u ʃ p ʀ i ə̯ χ e n
Usproch	u ʃ p ʀ o χ
Usprooch	u ʃ p ʀ oː χ
Vagin	v a ʒ æ̃
Vaginen	v a ʒ æ̃ e n
Vakanz	v ɑ k ɑ n t s
Vanill	v ɑ n i l
Vas	v aː s
Veianen	f ɑ ɪ̯ aː n ə n
Veinen	f ɑ ɪ̯ n ə n
verbannen	f e ʀ b ɑ n e n
verbidden	f ɐ b i d ə n
verbréngen	f ɐ b ʀ e ŋ ə n
Verbuet	f ɐ b u ə t
verbéissen	f ɐ b ɜ ɪ̯ s ə n
verdeedegen	f ɐ d eː d e ʁ e n
Verdeedeger	f ɐ d eː d e ʁ ɐ
verdeelen	f ɐ d eː l ə n
verdroen	f ɐ d ʀ oː ə n
verdéngen	f ɐ d e ŋ ə n
vereelzt	f ɐ ʔ eː l t͡s t
vereenegen	f e r eː n e ʁ e n
vereinfachen	f ɐ ʔ ɑ ɪ̯ n f ɑ χ ə n
Verfall	f ɐ f ɑ l
verfollegen	f ɐ f o l ə ʑ ə n
Verfollegung	f ɐ f o l e ʁ u ŋ
verfälschen	f ɐ f æ l ʃ ə n
verfälscht	f ɐ f æ l ʃ t
vergiess	f ɐ ɡ i ə s
vergiessen	f ɐ ɡ i ə s ə n
vergiesst	f ɐ ɡ i ə s t
verginn	f ɐ ɡ i n
vergläichen	f ɐ ɡ l æː ɪ̯ χ e n
vergréisseren	f ɐ ɡ ʀ ɜ ɪ̯ s ə ʀ ə n
vergëss	f ɐ ɡ ə s
vergësst	f ɐ ɡ ə s t
verhalen	f ɐ h aː l ə n
Verhalen	f ɐ h aː l ə n
verherrlechen	f ə h ɛ ʁ l ə ɕ ə n
verkafen	f ɐ k aː f ə n
verlaangen	f ɐ l aː ŋ ə n
Verlaangen	f ɐ l aː ŋ ə n
verletzen	f ɐ l æ t͡s ə n
verlounen	f ɐ l ə ʊ̯ n ə n
verluer	f e r l uː r
verléieren	f e r l e i̯ r e n
verléiwen	f ɐ l ɜ ɪ̯ v ə n
vermengt	f ɐ m æ ŋ t
vermëschen	f ɐ m ə ʃ ə n
vermëssen	f ɐ m ə s ə n
verschidden	f ɐ ʃ i d ə n
verschléissen	f ɐ ʃ l ɜ ɪ̯ s ə n
verschwieren	f ɐ ʃ w i ə̯ ʀ ə n
versetzen	f ɐ z æ t s ə n
Verspriechen	f ɐ ʃ p ʀ i ə̯ χ e n
verspriechen	f e ʀ ʃ p ʀ i ə̯ χ e n
Verspriechung	f ɐ ʃ p ʀ i ə̯ χ u ŋ
Versteesdemech	f e r ʃ t eː s d e m e χ
versteeën	f ɐ ʃ t eː ə n
verstoen	f e ʀ ʃ t oː e n
verstoppen	f ɐ ʃ t o p ə n
Versécherung	f ɐ z e χ e ʀ u ŋ
Verteideger	f ɐ t ɑ ɪ̯ d e ʁ ɐ
vertrieden	f ɐ t ʀ i ə d ə n
veruechten	f ɐ u ə̯ χ t e n
verwonnen	f ɐ v o n ə n
verzeien	f ɐ t͡s ɑ ɪ̯ ə n
verzweiwelen	f ɐ t͡s w ɑ ɪ̯ v ə l ə n
Verzweiwelung	f ɐ t͡s w ɑ ɪ̯ v ə l u ŋ
Veräin	f e r æ i̯ n
Veräiner	f e r æ i̯ n e r
veräisen	f ɐ æː ɪ̯ z ə n
veränneren	f ɐ æ n ə ʀ ə n
vexéieren	v æ k s ɜ ɪ̯ ə ʀ ə n
Vigel	f i ʁ e l
viischt	f iː ʃ t
vill	f i l
villmols	f i l m oː l s
vir	f iː ʀ
Virdeel	f i ɐ̯ d eː l
virdrun	f iː ə̯ d ʀ u n
Virnumm	f iː ə̯ n u m
Virolog	v i ʁ o l oː k
Virologie	v i ʁ o l o ɡ iː
virsiichteg	f iː ə̯ z iː ɕ t ə ɕ
virstellen	f iː ə̯ ʃ t æ l ə n
Virstellung	f i ɐ̯ ʃ t æ l u ŋ
virun	f i ʀ u n
Vitesse	v i t æ s
vläicht	f l æ i̯ χ t
voll	f o l
Vollek	f o l ə k
Vollmound	f o l m ə ʊ̯ n t
Vott	v o t
vreckt	f ʀ æ k t
vrun	f ʀ u n
Vugel	f u ʁ e l
Vull	f u l
vun	f u n
Vëlo	v ə l oː
Vëlossport	v ə l oː s ʃ p o ʀ t
Véi	f ɜ ɪ̯
Véiereck	f e i̯ r æ k
véiereckeg	f e i̯ r æ k e χ
véiert	f ɜ ɪ̯ ɐ t
véierzeg	f ɜ i̯ ɐ t͡s ə ɕ
véierzéng	f ɜ ɪ̯ ɐ t͡s e ŋ
véierzéngt	f ɜ ɪ̯ ɐ t͡s e ŋ t
waachen	v aː χ ə n
waarden	v aː r d e n
waarm	v aː r m
Waarzel	v aː t͡s ə l
Waasser	v aː s e r
Waasserball	v aː s ɐ b ɑ l
Waasseren	v aː s e r e n
Waasserlaf	v aː s ɐ l aː f
Waassermann	v aː s ɐ m ɑ n
Waassermeloun	v aː s ɐ m ə l ə ʊ̯ n
Waasserpiipsert	v aː s ɐ p iː p s ɐ t
Waasserpouken	v aː s ə p ə ʊ̯ k ə n
Waasserstoff	v aː s ɐ ʃ t o f
Wab	v aː p
wackelen	v ɑ k ə l ə n
Waff	v ɑ f
Wak	v aː k
Wakelter	v aː k ə l t ɐ
Wal	v aː l
Wallis	v ɑ l i s
Wand	v a n t
wanderen	v ɑ n d ə ʀ ə n
Wandvitesse	v ɑ n d v i t æ s
wann	v ɑ n
Wann	v ɑ n
Wanter	v a n t e r
Wantergréng	v ɑ n t ɐ ɡ ʀ e ŋ
Wanterint	v ɑ n t ə ʀ i n t
Wanterpanewippchen	v ɑ n t ɐ p aː n ə v i p ɕ ə n
war	v aː r
wat	v aː t
wat	v ɑ t
Watt	v ɑ t
Wecker	v æ k ə
weechen	v eː ɕ ə n
Weed	v eː t
weeden	v eː d ə n
weeder	v eː d e r
Ween	v eː n
Weeschësser	v eː ʃ ə s ɐ
Weess	v eː s
weess	v eː s
Weeër	v eː e r
Wei	v ɑ ɪ̯
weiblech	v ɑ ɪ̯ b l ə ɕ
Weid	v ɑ ɪ̯ t
Weidemees	v ɑ ɪ̯ d ə m eː s
weider	v ɑ ɪ̯ d ɐ
weien	v a i̯ e n
weisen	v ɑ ɪ̯ z ə n
weit	v a i̯ t
well	v æ l
Well	v æ l
Welt	v æ l t
weltbekannt	v æ l d b ə k ɑ n t
wennen	v æ n ə n
werfen	v æ r f e n
Westen	v æ s t ə n
Wett	v æ t
wetten	v æ t ə n
wichteg	v i χ t e χ
Wick	v i k
Widder	v i d ɐ
Wiechter	v i e̯ χ t e r
Wiel	v i e̯ l
wielen	v i ə l ə n
wiem	v i ə̯ m
wien	v i ə̯ n
wier	v iː r
Wier	v iː ə̯
Wierbeldéier	v iː ʀ b e l d ɜ ɪ̯ ɐ
wierdegen	v iː ʀ d e ʁ e n
wieren	v i ə ʀ ə n
Wierfel	v iː ə̯ f ə l
Wierm	v iː ə̯ m
Wiert	v iː ə t
Wiesen	v i ə z ə n
Wiessel	v i ə̯ s ə l
wiesselen	v i ə̯ s ə l ə n
wiewen	v i ə̯ v ə n
wiiss	v iː s
wiisst	v iː s t
Winker	v i ŋ k ɐ
Wirschtchen	v i r ʃ t χ e n
Wirschtchen	v i r ʃ e n
Wirschtercher	v i r ʃ t e r χ e r
Wisel	v i z ə l
Wisepiipsert	v iː z ə p i p s ɐ t
Wittfra	v i t f ʀ aː
Witz	v i t͡s
Wo	v oː
Woch	v o χ
woen	v oː e n
Woll	v o l
Wollek	v o l ə k
Wollekekrazert	v o l ə k ə k ʀ aː t͡s ɐ t
Wolz	v o l t s
Won	v oː n
wond	v o n t
Wonn	v o n
Wonner	v o n ɐ
wonneren	v o n ə ʀ ə n
Wopen	v oː p e n
wosst	v o s t
wossten	v o s t ə n
wou	v e u̯
wou	v u
wouer	v e u̯ e r
wouer	v e u̯ r
Wouerecht	v e u̯ r e χ t
wousst	v ə ʊ̯ s t
woussten	v ə ʊ̯ s t ə n
Wuecht	v u e̯ χ t
Wuechtel	v u ə̯ ɕ t ə l
Wuechthond	v u ə̯ ɕ t h o n t
Wued	v u ə̯ t
Wuel	v u ə l
wuer	v u ə̯ ʀ
wuer	v u ə̯
Wuer	v u ɐ
Wuerm	v uː ə̯ m
Wuerzel	v u ə̯ t͡s ə l
Wues	v u ə s
Wuess	v u ə s
wuess	v u ə s
wuesst	v u ə s t
Wull	v u l
wullen	v u l ə n
wunnen	v u n ə n
Wunneng	v u n e ŋ
Wurscht	v u r ʃ t
Wurschten	v u r ʃ t e n
Wäermt	v ɛː ə̯ m t
wäert	v eː r t
Wäert	v eː r t
wäerten	v eː r t e n
Wäikeller	v æː ɪ̯ k æ l ɐ
Wäin	v æ i̯ n
Wäiner	v æ i̯ n e r
wäiss	v æ i̯ s
wäissen	v æː ɪ s ə n
Wäissrussland	v æː ɪ̯ z ʀ u s l ɑ n t
wäit	v æ i̯ t
Wäitsprong	v æː ɪ̯ t ʃ p ʀ o ŋ
Wäsch	v æ ʃ
Wäschbier	v æ ʃ b i ə̯
wäschen	v æ ʃ ə n
Wäschkichen	v æ ʃ k i ɕ ə n
Wäschkuerf	v æ ʃ k uː ə̯ f
Wässeg	v æ s ə ɕ
wässeren	v æ s ə ʀ ə n
Wëllef	v ə l ə f
Wëllen	v ə l ə n
wënnen	v ə n ə n
wënschen	v ə n ʃ ə n
Wënzer	v ə n t͡s ɐ
Wësch	v ə ʃ
wëschen	v ə ʃ ə n
wëssen	v ə s ə n
Wëssen	v ə s ə n
wëssentlech	v ə s ə n t l ə ɕ
wësst	v ə s t
wéckelen	v e k ə l ə n
wéi	v ɜ ɪ
wéi	v i
Wéi	v e i̯
wéien	v e i̯ e n
wéineg	v ɜ ɪ̯ n ə ɕ
wéini	v e i̯ n i
wéinst	v ɜ ɪ̯ n s t
wéint	v ɜ ɪ n t
wéisst	v ɜ ɪ̯ s t
wéissten	v ɜ ɪ̯ s t ə n
Wéngert	v e ŋ e r t
Wénkel	v e ŋ k ə l
wénken	v e ŋ k ə n
Zaang	t s aː ŋ
zaart	t s aː r t
zabbeleg	t͡s ɑ b ə l ə ɕ
zabbelen	t͡s ɑ b ə l ə n
Zack	t s ɑ k
Zalot	t s a l oː t
zam	t s aː m
Zam	t s aː m
Zander	t͡s ɑ n d ɐ
Zant	t s ɑ n t
zanter	t s ɑ n t ɐ
Zap	t͡s aː p
Zapp	t s ɑ p
Zatz	t s ɑ t s
zauberen	t s a u̯ b e r e n
ze	t s e
Zebra	t͡s eː b ʀ a
Zebrasträif	t͡s eː b ʀ ɑ ʃ t ʀ æː ɪ̯ f
Zeck	t s æ k
zecken	t s æ k e n
Zeechen	t͡s eː ɕ ə n
zeechnen	t s eː χ n e n
Zeen	t͡s eː n
zeideg	t s a i̯ d e χ
Zeien	t͡s ɑ ɪ̯ ə n
zeien	t͡s ɑ ɪ̯ ə n
Zeil	t s ɑ ɪ̯ l
Zeitung	t s a i̯ t u ŋ
Zeitungen	t͡s ɑ ɪ̯ t u ŋ ə n
Zell	t s æ l
Zelleri	t͡s æ l ə ʁ i
Zelt	t͡s æ l t
zersetzen	t͡s ɐ z æ t s ə n
Zervéit	t͡s ɐ v ɜ ɪ̯ t
zeréck	t s e r e k
zerécksetzen	t s ə ʀ e k z æ t s ə n
zesummen	t͡s e z u m e n
zevill	t͡s ə f i l
zidderen	t͡s i d ə ʁ ə n
Ziedel	t͡s i ə̯ d ə l
zielen	t͡s i ə l ə n
Zier	t͡s iː ə̯
zieren	t͡s i ə ʀ ə n
Zigarett	t͡s i ɡ ɑ ʀ æ t
Zigel	t͡s i ʑ ə l
ziichten	t s iː ɕ t ə n
Zil	t͡s iː l
zilen	t s iː l e n
Zill	t s i l
zillen	t s i l e n
Zillzapp	t͡s i l t͡s ɑ p
Zitroun	t͡s i t ʀ ə ʊ̯ n
zitt	t͡s i t
zitts	t͡s i t s
Ziwwi	t s i v i
Zoch	t s o χ
Zocker	t s o k e r
Zodi	t͡s oː d iː
zolidd	t͡s o l i t
Zoll	t s o l
Zomm	t͡s o m
Zon	t͡s oː n
Zooss	t s oː s
Zoossiss	t͡s oː s i s
Zopp	t͡s o p
Zort	t s o r t
zou	t s e u̯
zoudroen	t͡s ə ʊ̯ d ʀ oː ə n
zouen	t s ə ʊ ə n
Zoufall	t͡s ə ʊ̯ f ɑ l
zoufälleg	t͡s ə ʊ̯ f æ l ə ɕ
zoumaachen	t͡s ə ʊ̯ m aː χ ə n
zousetzen	t͡s ə ʊ z æ t s ə n
zouspriechen	t͡s ə ʊ̯ ʃ p ʀ i ə̯ χ e n
Zoustand	t͡s ə ʊ̯ ʃ t ɑ n t
zoustänneg	t͡s ə ʊ̯ ʃ t æ n ə ɕ
zousätzlech	t͡s ə ʊ̯ z æ t͡s l ə ɕ
zu	t͡s u
Zuch	t͡s u χ
Zuel	t s u e̯ l
zugläich	t͡s u ɡ l æː ɪ̯ ɕ
Zuucht	t s uː χ t
zwangsrekrutéieren	t͡s w ɑ ŋ s ʀ ə k ʀ u t ɜ ɪ̯ ə ʀ ə n
Zwangsrekrutéierten	t͡s w ɑ ŋ s ʀ ə k ʀ u t ɜ ɪ̯ ɐ t ə n
zwanzeg	t͡s w ɑ n t͡s ə ɕ
zwanzegst	t͡s w ɑ n t͡s ə ɕ s t
Zweck	t͡s w æ k
Zwecker	t͡s w æ k ɐ
zwee	t s v eː
zweeeeëg	t s v eː eː e χ
zweemol	t͡s w eː m oː l
zweet	t͡s w eː t
Zweiwel	t s v a i̯ v e l
zweiwelen	t s v a i̯ v e l e n
zwieleft	t͡s w i ə̯ l ə f t
Zwilling	t͡s w i l i ŋ
Zwir	t͡s w iː ə̯
Zwirkinnek	t͡s w iː ə̯ k i n e k
zwitscher	t͡s w i t͡ʃ ɐ
zwitscheren	t͡s w i t͡ʃ ə ʀ ə n
zwitschers	t͡s w i t͡ʃ ɐ s
zwitschert	t͡s w i t͡ʃ ɐ t
Zwiwwel	t͡s w i v ə l
Zwäig	t s v æ i̯ χ
zwëschen	t͡s w ə ʃ ə n
zwëschent	t͡s w ə ʃ ə n t
zwëscht	t͡s w ə ʃ t
zwéngen	t͡s w e ŋ ə n
Zylinder	t͡s i l i n d ɐ
zäertlech	t͡s ɛː ə̯ t l ə ɕ
Zäertlechkeet	t͡s ɛː ə̯ t l ə ɕ k eː t
Zäit	t s æ i̯ t
Zäitplang	t͡s æː ɪ̯ t p l ɑ ŋ
Zäitschrëft	t͡s æː ɪ̯ t ʃ ʁ ə f t
Zänn	t͡s æ n
Zänndokter	t͡s æ n d o k t ɐ
Zäregas	t s eː r e ɡ aː s
Zäreneffekt	t͡s ɛː ʀ ə n e f æ k t
Zëmmer	t͡s ə m ɐ
Zënn	t s ə n
zënter	t s ə n t ɐ
zécken	t͡s e k ə n
Zécken	t͡s e k ə n
zéi	t s e i̯
zéien	t͡s ɜ ɪ̯ ə n
Zéif	t͡s ɜ ɪ f
zéit	t͡s ɜ ɪ̯ t
Zéiwennol	t͡s ɜ ɪ̯ v ə n oː l
zéng	t s e ŋ
zéngt	t͡s e ŋ t
Zénk	t͡s e ŋ k
Äbt	æ p t
äddi	æ d i
Äerd	eː r t
Äerdbier	eː r t b iː r
Äerm	eː r m
Äerz	eː ʀ t s
Äerzbëschof	eː ʀ t s b e ʃ o f
Äerzbëschof	eː ʀ t s b e ʃ oː f
Äis	æ i̯ s
Äisbier	æ i̯ s b iː ʀ
Äisbierg	æ i̯ s b i e̯ χ
Äisch	æ i̯ ʃ
äiseg	æ i̯ z e χ
Äishockey	æ i̯ s h o k i
äiskal	æ i̯ s k aː l
Äisvull	æ i̯ s f u l
Äiszäit	æ i̯ s t s æ i̯ t
änneren	æ n e ʀ e n
Ännerung	æ n e ʀ u ŋ
äntweren	æ n t v e ʀ e n
Äntwert	æ n t v e ʀ t
Äppel	æ p ə l
Äppeljus	æ p e l ʒ y
Äppeltaart	æ p e l t aː ʀ t
Äppeltaart	æ p e l t aː t
Äppeltäsch	æ p e l t æ ʃ
Äppelviz	æ p e l f iː t s
Äquator	æ k v aː t o ʀ
Äsch	æ ʃ
Äschepuddel	æ ʃ e p u d e l
Äschermëttwoch	æ ʃ e ʀ m e t v o χ
Äscht	æ ʃ t
Äss	æ s
äusseren	o i̯ s e r e n
äusserlech	o i̯ s e r l e χ
ë	ə
Ë	ə
ëffentlech	e f e n t l e χ
Ëffnung	e f n u ŋ
ëm	e m
ëmdoen	e m d o e n
ëmdréien	e m d ʀ e i̯ e n
Ëmdréiung	e m d ʀ e i̯ u ŋ
Ëmgang	e m ɡ a ŋ
Ëmgangssprooch	e m ɡ a ŋ s ʃ p ʀ oː χ
ëmgangssproochlech	e m ɡ a ŋ s ʃ p ʀ oː χ l e χ
ëmleeën	e m l e e n
ëmsetzen	e m z æ t s e n
Ëmwelt	e m v æ l t
ëmänneren	e m æ n e ʀ e n
Ënn	e n
ënnen	e n e n
ënner	e n e ʀ
ënnerbréngen	e n e r b r e ŋ e n
Ënnerdaach	e n e ʀ d aː χ
Ënnergang	e n e ʀ ɡ a ŋ
ënnerleeën	e n e ʀ l e e n
ënnerleeën	e n e ʀ l e e n
ënnerleien	e n e ʀ l a i̯ e n
Ënnerläif	e n e ʀ l æ i̯ f
Ënnerscheed	e n e ʀ ʃ eː t
ënnersträichen	e n e r ʃ t r æ i̯ χ e n
Ënnerwäsch	e n e ʀ v æ ʃ
ëss	e s
ësst	e s t
ëstlech	e s t l e χ
É	e
É	ə
