Є	j ɛ
Віктор	ʋʲ i k t ɔ r
Вікторович	ʋʲ i k t ɔ r ɔ ʋ e t͡ʃ
Вікторія	ʋʲ i k t ɔ rʲ i j ɐ
Вікіпедія	ʋʲ i kʲ i p ɛ dʲ i j ɐ
Вікісловник	ʋʲ i kʲ i s ɫ ɔ u̯ n ɪ k
Вікісловника	ʋʲ i kʲ i s ɫ ɔ u̯ n e k a
Вікісловникові	ʋʲ i kʲ i s ɫ ɔ u̯ n e k ɔ ʋʲ i
Вікісловником	ʋʲ i kʲ i s ɫ ɔ u̯ n e k ɔ m
Вікісловнику	ʋʲ i kʲ i s ɫ ɔ u̯ n e k u
Вільногірськ	ʋʲ i lʲ n o ɦʲ i r sʲ k
Вільнюс	ʋʲ i lʲ nʲ ʊ s
Вільнюса	ʋʲ i lʲ nʲ ʊ s ɐ
Вільнюсе	ʋʲ i lʲ nʲ ʊ s e
Вільнюсові	ʋʲ i lʲ n ɔ ʋʲ i
Вільнюсом	ʋʲ i lʲ nʲ ʊ s ɔ m
Вільнюсу	ʋʲ i lʲ nʲ ʊ s ʊ
Вільнюсі	ʋʲ i lʲ nʲ ʊ sʲ i
Вільнянськ	ʋʲ i lʲ nʲ a nʲ sʲ k
Віндгук	ʋʲ i n d ɦ ʊ k
Віннице	ʋʲ i nː e t͡s e
Вінницею	ʋʲ i nː e t͡s e j ʊ
Вінницю	ʋʲ i nː e t͡sʲ ʊ
Вінниця	ʋʲ i nː e t͡sʲ ɐ
Вінниці	ʋʲ i nː e t͡sʲ i
Вінниччина	ʋʲ i nː e t͡ʃː e n ɐ
Віра	ʋʲ i r ɐ
Вірджинія	ʋʲ i r d͡ʒ ɪ nʲ i j ɐ
Вірменія	ʋʲ i r m ɛ nʲ i j ɐ
Вісконсин	ʋʲ i s k ɔ n s e n
Вісла	ʋʲ i s ɫ ɐ
Віталій	ʋʲ i t a lʲ i i̯
Віталійович	ʋʲ i t a lʲ i j ɔ ʋ e t͡ʃ
Вітебськ	ʋʲ i t e b sʲ k
Вітка	ʋʲ i t k ɐ
Г	ɦ
Г'юстон	ɦ j u s t ɔ n
ГЕС	ɦ ɛ s
ГУАМ	ɦ ʊ a m
Гаага	ɦ ɐ a ɦ ɐ
Габон	ɦ ɐ b ɔ n
Габороне	ɦ ɐ b ɔ r ɔ n e
Габсбург	ɦ a b z b ʊ r ɦ
Габсбурґ	ɦ a b z b ʊ r ɡ
Гавана	ɦ ɐ ʋ a n ɐ
Гаваї	ɦ ɐ ʋ a j i
Гавел	ɦ a ʋ e ɫ
Гаврил	ɦ ɐ u̯ r ɪ ɫ
Гаврило	ɦ ɐ u̯ r ɪ ɫ ɔ
Гаврилюк	ɦ ɐ u̯ r e lʲ u k
Гавриш	ɦ a u̯ r e ʃ
Гавіржов	ɦ ɐ ʋʲ i r ʒ ɔ u̯
Гагаузія	ɦ ɐ ɦ ɐ u zʲ i j ɐ
Гадяч	ɦ a dʲ ɐ t͡ʃ
Газа	ɦ a z ɐ
Газіантеп	ɦ ɐ zʲ i ɐ n t ɛ p
Гайворон	ɦ a j w ɔ r ɔ n
Гайдай	ɦ ɐ i̯ d a i̯
Гайсин	ɦ a i̯ s e n
Галина	ɦ ɐ ɫ ɪ n ɐ
Галич	ɦ a ɫ e t͡ʃ
Галичина	ɦ ɐ ɫ e t͡ʃ e n a
Галичини	ɦ ɐ ɫ e t͡ʃ e n ɪ
Галичиною	ɦ ɐ ɫ e t͡ʃ e n ɔ j ʊ
Галичину	ɦ ɐ ɫ e t͡ʃ e n u
Галичині	ɦ ɐ ɫ e t͡ʃ e nʲ i
Галісія	ɦ ɐ lʲ i sʲ i j ɐ
Галіфакс	ɦ ɐ lʲ i f a k s
Гамбург	ɦ a m b ʊ r ɦ
Гамбія	ɦ a m bʲ i j ɐ
Гамерика	ɦ ɐ m ɛ r e k ɐ
Гаммаршельд	ɦ ɐ mː ɐ r ʃ ɛ lʲ d
Гана	ɦ a n ɐ
Ганна	ɦ a nː ɐ
Ганнин	ɦ a nː e n
Гарфілд	ɦ a r fʲ i ɫ d
Гаяна	ɦ ɐ j a n ɐ
Гаїті	ɦ ɐ j i tʲ i
Гватемала	ɦ ʋ ɐ t e m a ɫ ɐ
Гвінея	ɦ ʋʲ i n ɛ j ɐ
Гданськ	ɦ d a nʲ sʲ k
Гельсінкі	ɦ ɛ lʲ sʲ i nʲ kʲ i
Генасамблея	ɦ e n ɐ s ɐ m b ɫ ɛ j ɐ
Геннадій	ɦ e nː a dʲ i i̯
Геннадійович	ɦ e nː a dʲ i j ɔ ʋ e t͡ʃ
Генічеськ	ɦ e nʲ i t͡ʃ e sʲ k
Георгій	ɦ e ɔ r ɦʲ i i̯
Георгійович	ɦ e ɔ r ɦʲ i j ɔ ʋ e t͡ʃ
Герасим	ɦ e r a s e m
Геращенко	ɦ e r a ʃ t͡ʃ e n k ɔ
Гервасій	ɦ e r ʋ a sʲ i i̯
Герман	ɦ ɛ r m ɐ n
Геррінґтон	ɦ ɛ rʲː i n ɡ t ɔ n
Герца	ɦ ɛ r t͡s ɐ
Герцеговина	ɦ e r t͡s e ɦ ɔ ʋ ɪ n ɐ
Гессен	ɦ ɛ sː e n
Гетьманщина	ɦ e tʲ m a n ʃ t͡ʃ e n ɐ
Гетьманщини	ɦ e tʲ m a n ʃ t͡ʃ e n e
Гиренко	ɦ e r ɛ n k ɔ
Гишпанія	ɦ e ʃ p a nʲ i j ɐ
Глиняни	ɦ ɫ e nʲ a n e
Глобине	ɦ ɫ ɔ b e n e
Глухів	ɦ ɫ u xʲ i u̯
Гліб	ɦ lʲ i b
Глібенко	ɦ lʲ i b ɛ n k ɔ
Глібович	ɦ lʲ i b ɔ ʋ e t͡ʃ
Гнівань	ɦ nʲ i ʋ ɐ nʲ
Гоголь	ɦ ɔ ɦ ɔ lʲ
Голландія	ɦ ɔ ɫː a nʲ dʲ i j ɐ
Голобородько	ɦ ɔ ɫ ɔ b ɔ r ɔ dʲ k ɔ
Голованівськ	ɦ ɔ ɫ ɔ ʋ a nʲ i u̯ sʲ k
Голодомор	ɦ ɔ ɫ ɔ d ɔ m ɔ r
Голубівка	ɦ ɔ ɫ ʊ bʲ i u̯ k ɐ
Гомель	ɦ ɔ m e lʲ
Гомер	ɦ ɔ m ɛ r
Гондурас	ɦ ɔ n d ʊ r a s
Гонконг	ɦ ɔ n k ɔ n ɦ
Гончаренко	ɦ ɔ n t͡ʃ ɐ r ɛ n k ɔ
Горацій	ɦ ɔ r a t͡sʲ i i̯
Горацію	ɦ ɔ r a t͡sʲ i j ʊ
Горація	ɦ ɔ r a t͡sʲ i j ɐ
Гораціям	ɦ ɔ r a t͡sʲ i j ɐ m
Гораціями	ɦ ɔ r a t͡sʲ i j ɐ m e
Гораціях	ɦ ɔ r a t͡sʲ i j ɐ x
Горацієві	ɦ ɔ r a t͡sʲ i j e ʋʲ i
Горацієм	ɦ ɔ r a t͡sʲ i j e m
Горації	ɦ ɔ r a t͡sʲ i j i
Гораціїв	ɦ ɔ r a t͡sʲ i j i u̯
Гордон	ɦ ɔ r d ɔ n
Гордій	ɦ o r dʲ i i̯
Гордійович	ɦ o r dʲ i j ɔ ʋ e t͡ʃ
Гордієнко	ɦ ɔ r dʲ i j ɛ n k ɔ
Горлівка	ɦ ɔ r lʲ i u̯ k ɐ
Городенка	ɦ ɔ r ɔ d ɛ n k ɐ
Городище	ɦ ɔ r ɔ d ɪ ʃ t͡ʃ e
Городня	ɦ ɔ r ɔ dʲ nʲ ɐ
Городок	ɦ ɔ r ɔ d ɔ k
Горохів	ɦ ɔ r ɔ xʲ i u̯
Господь	ɦ ɔ s p ɔ dʲ
Гостомель	ɦ ɔ s t ɔ m e lʲ
Гоґвортс	ɦ ɔ ɡ w ɔ r t͡s
Гребінка	ɦ r e bʲ i n k ɐ
Гренада	ɦ r e n a d ɐ
Греція	ɦ r ɛ t͡sʲ i j ɐ
Греччина	ɦ r ɛ t͡ʃː e n ɐ
Григоренко	ɦ r e ɦ ɔ r ɛ n k ɔ
Григорович	ɦ r e ɦ ɔ r ɔ ʋ e t͡ʃ
Григорій	ɦ r e ɦ ɔ rʲ i i̯
Григір	ɦ r ɪ ɦʲ i r
Гринько	ɦ r e nʲ k ɔ
Гриць	ɦ r ɪ t͡sʲ
Гродно	ɦ r ɔ d n ɔ
Громико	ɦ r ɔ m ɪ k ɔ
Грубешів	ɦ r ʊ b ɛ ʃʲ i u̯
Грузія	ɦ r u zʲ i j ɐ
Грушевський	ɦ r ʊ ʃ ɛ u̯ sʲ k e i̯
Гуам	ɦ ʊ a m
Гувер	ɦ u ʋ e r
Гуляйполе	ɦ ʊ lʲ ɐ i̯ p ɔ ɫ e
Гуменюк	ɦ ʊ m e nʲ u k
Гунька	ɦ u nʲ k ɐ
Гурченко	ɦ u r t͡ʃ e n k ɔ
Гуцульщина	ɦ ʊ t͡s u lʲ ʃ t͡ʃ e n ɐ
Гілі	ɦʲ i lʲ i
Гірник	ɦʲ i r n ɪ k
Гірське	ɦʲ i r sʲ k ɛ
Гітега	ɦʲ i t ɛ ɦ ɐ
Д	d
Давид	d ɐ ʋ ɪ d
Давидович	d ɐ ʋ e d ɔ ʋ e t͡ʃ
Давидович	d ɐ ʋ ɪ d ɔ ʋ e t͡ʃ
Давидів	d ɐ ʋ ɪ dʲ i u̯
Дагестан	d ɐ ɦ e s t a n
Дажбог	d ɐ ʒ b ɔ ɦ
Дакар	d ɐ k a r
Дакка	d a kː ɐ
Даллас	d a ɫː ɐ s
Дамаск	d ɐ m a s k
Данелаг	d ɐ n e ɫ a ɦ
Даниленко	d ɐ n e ɫ ɛ n k ɔ
Данило	d ɐ n e ɫ ɔ
Данилович	d ɐ n ɪ ɫ ɔ ʋ e t͡ʃ
Данія	d a nʲ i j ɐ
Дар'я	d a r j ɐ
Дар'їн	d a r j i n
Дарина	d ɐ r ɪ n ɐ
Даринин	d ɐ r ɪ n e n
Дарій	d a rʲ i i̯
Дахно	d ɐ x n ɔ
Дебальцеве	d e b a lʲ t͡s e ʋ e
Делавер	d ɛ ɫ ɐ ʋ e r
Денис	d e n ɪ s
Денисенко	d e n e s ɛ n k ɔ
Денисович	d e n ɪ s ɔ ʋ e t͡ʃ
Денисів	d e n ɪ sʲ i u̯
Денізлі	d e nʲ i zʲ lʲ i
Деражня	d e r a ʒ nʲ ɐ
Дергачі	d e r ɦ ɐ t͡ʃʲ i
Держдума	d e r ʒ d u m ɐ
Джакарта	d͡ʒ ɐ k a r t ɐ
Джанкой	d͡ʒ ɐ n k ɔ i̯
Джанкої	d͡ʒ ɐ n k ɔ j i
Джемілєв	d͡ʒ e mʲ i lʲ e u̯
Джибуті	d͡ʒ e b u tʲ i
Джидда	d͡ʒ ɪ dː ɐ
Джонсон	d͡ʒ ɔ n s ɔ n
Джорджтаун	d͡ʒ ɔ r d͡ʒ t a ʊ n
Джорджія	d͡ʒ ɔ r d͡ʒʲ i j ɐ
Джуба	d͡ʒ u b ɐ
Джуно	d͡ʒ u n ɔ
Дзвенислава	d͡z ʋ e n e s ɫ a ʋ ɐ
Дзвеняче	d͡z ʋ e nʲ a t͡ʃ e
Дзиґар	d͡z e ɡ a r
Дзюба	d͡zʲ u b ɐ
Дзюбенко	d͡zʲ ʊ b ɛ n k ɔ
Дзядко	d͡zʲ ɐ d k ɔ
Диканька	d e k a nʲ k ɐ
Дмитренко	d m e t r ɛ n k ɔ
Дмитро	d m e t r ɔ
Дмитрович	d m ɪ t r ɔ ʋ e t͡ʃ
Дмитрівна	d m ɪ tʲ rʲ i u̯ n ɐ
Дніпр	dʲ nʲ i p r
Дніпра	dʲ nʲ i p r a
Дніпре	dʲ nʲ i p r e
Дніпро	dʲ nʲ i p r ɔ
Дніпровщина	dʲ nʲ i p r ɔ u̯ ʃ t͡ʃ e n ɐ
Дніпрові	dʲ nʲ i p r ɔ ʋʲ i
Дніпродзержинськ	dʲ nʲ i p r ɔ d͡z e r ʒ ɪ nʲ sʲ k
Дніпром	dʲ nʲ i p r ɔ m
Дніпропетровськ	dʲ nʲ i p r ɔ p e t r ɔ u̯ sʲ k
Дніпропетровщина	dʲ nʲ i p r ɔ p e t r ɔ u̯ ʃ t͡ʃ e n ɐ
Дніпрорудне	dʲ nʲ i p r o r u d n e
Дніпру	dʲ nʲ i p r u
Дніпрі	dʲ nʲ i p rʲ i
Дністер	dʲ nʲ i s t ɛ r
Добромиль	d ɔ b r ɔ m e lʲ
Добропілля	d ɔ b r o pʲ i lʲː ɐ
Довбуш	d ɔ u̯ b ʊ ʃ
Довжанськ	d ɔ u̯ ʒ a nʲ sʲ k
Довженко	d ɔ u̯ ʒ ɛ n k ɔ
Додома	d ɔ d ɔ m ɐ
Докучаєвськ	d ɔ k ʊ t͡ʃ a j e u̯ sʲ k
Долина	d ɔ ɫ ɪ n ɐ
Долинська	d ɔ ɫ ɪ nʲ sʲ k ɐ
Домініка	d ɔ mʲ i nʲ i k ɐ
Донбабве	d ɔ n b a b ʋ e
Донбас	d ɔ n b a s
Донець	d ɔ n ɛ t͡sʲ
Донецьк	d ɔ n ɛ t͡sʲ k
Донецька	d ɔ n ɛ t͡sʲ k ɐ
Донецьком	d ɔ n ɛ t͡sʲ k ɔ m
Донецьку	d ɔ n ɛ t͡sʲ k ʊ
Донеччина	d ɔ n ɛ t͡ʃː e n ɐ
Дортмунд	d ɔ r t m ʊ n d
Дофіне	d ɔ fʲ i n ɛ
Доха	d ɔ x ɐ
Дрезден	d r ɛ z d e n
Дрогобич	d r ɔ ɦ ɔ b e t͡ʃ
Дрогобиччина	d r ɔ ɦ ɔ b e t͡ʃː e n ɐ
Дружба	d r u ʒ b ɐ
Дружківка	d r ʊ ʒ kʲ i u̯ k ɐ
Дубляни	d ʊ b lʲ a n e
Дублін	d u b lʲ i n
Дубно	d u b n ɔ
Дубровиця	d ʊ b r ɔ ʋ e t͡sʲ ɐ
Дуда	d u d ɐ
Дудчани	d ʊ d͡ʒ t͡ʃ a n e
Дукля	d u k lʲ ɐ
Дунай	d ʊ n a i̯
Дунаївці	d ʊ n a j i u̯ t͡sʲ i
Душанбе	d ʊ ʃ ɐ n b ɛ
Дяченка	dʲ ɐ t͡ʃ ɛ n k ɐ
Дяченкам	dʲ ɐ t͡ʃ ɛ n k ɐ m
Дяченками	dʲ ɐ t͡ʃ ɛ n k ɐ m e
Дяченках	dʲ ɐ t͡ʃ ɛ n k ɐ x
Дяченки	dʲ ɐ t͡ʃ ɛ n k e
Дяченко	dʲ ɐ t͡ʃ ɛ n k ɔ
Дяченкові	dʲ ɐ t͡ʃ ɛ n k ɔ ʋʲ i
Дяченком	dʲ ɐ t͡ʃ ɛ n k ɔ m
Дяченку	dʲ ɐ t͡ʃ ɛ n k ʊ
Дяченків	dʲ ɐ t͡ʃ ɛ nʲ kʲ i u̯
Діана	dʲ i a n ɐ
Дідона	dʲ i d ɔ n ɐ
Ділі	dʲ i lʲ i
Діоніс	dʲ i ɔ nʲ i s
Е	ɛ
Европа	e u̯ r ɔ p ɐ
Едвард	ɛ d ʋ ɐ r d
Единбург	e d e n b u r ɦ
Единбург	ɛ d e n b ʊ r ɦ
Едмонтон	ɛ d m ɔ n t ɔ n
Едо	ɛ d ɔ
Едуард	e d ʊ a r d
Едірне	e dʲ i r n ɛ
Едіта	e dʲ i t ɐ
Еквадор	e k ʋ ɐ d ɔ r
Елвін	ɛ lʲ ʋʲ i n
Емілія	e mʲ i lʲ i j ɐ
Еней	e n ɛ i̯
Енергодар	e n e r ɦ ɔ d a r
Енеїда	e n e j i d ɐ
Еол	e ɔ ɫ
Еоле	e ɔ ɫ e
Еритрея	e r e t r ɛ j ɐ
Есватіні	e s ʋ ɐ tʲ i nʲ i
Еспанія	e s p a nʲ i j ɐ
Естонію	e s t ɔ nʲ i j ʊ
Естонія	e s t ɔ nʲ i j ɐ
Естоніє	e s t ɔ nʲ i j e
Естонією	e s t ɔ nʲ i j e j ʊ
Естонії	e s t ɔ nʲ i j i
Есхіл	e sʲ xʲ i ɫ
Етіопія	e tʲ i ɔ pʲ i j ɐ
Ефіопія	e fʲ i ɔ pʲ i j ɐ
Ж	ʒ
Жанна	ʒ a nː ɐ
Жашків	ʒ a ʃ kʲ i u̯
Жданівка	ʒ d a nʲ i u̯ k ɐ
Женева	ʒ e n ɛ ʋ ɐ
Жидачів	ʒ e d a t͡ʃʲ i u̯
Жиліна	ʒ ɪ lʲ i n ɐ
Житомир	ʒ e t ɔ m e r
Житомира	ʒ e t ɔ m e r ɐ
Житомире	ʒ e t ɔ m e r e
Житомирові	ʒ e t ɔ m e r ɔ ʋʲ i
Житомиром	ʒ e t ɔ m e r ɔ m
Житомиру	ʒ e t ɔ m e r ʊ
Житомирщина	ʒ e t ɔ m e r ʃ t͡ʃ e n ɐ
Житомирі	ʒ e t ɔ m e rʲ i
Жмеринка	ʒ m ɛ r e n k ɐ
Жовква	ʒ ɔ u̯ k ʋ ɐ
З	z
ЗМІ	zʲ mʲ i
Заводське	z ɐ w ɔ d͡zʲ sʲ k ɛ
Загреб	z a ɦ r e b
Задніпровський	z ɐ dʲ nʲ i p r ɔ u̯ sʲ k e i̯
Закарпаттю	z ɐ k ɐ r p a tʲː ʊ
Закарпаття	z ɐ k ɐ r p a tʲː ɐ
Закарпаттям	z ɐ k ɐ r p a tʲː ɐ m
Закарпатті	z ɐ k ɐ r p a tʲː i
Залужний	z ɐ ɫ u ʒ n e i̯
Залізне	z ɐ lʲ i z n e
Залізняк	z ɐ lʲ i zʲ nʲ a k
Заліщики	z ɐ lʲ i ʃ t͡ʃ e k e
Замбія	z a m bʲ i j ɐ
Замостя	z ɐ m ɔ sʲ tʲ ɐ
Запоріжжю	z ɐ p o rʲ i ʒʲː ʊ
Запоріжжя	z ɐ p o rʲ i ʒʲː ɐ
Запоріжжям	z ɐ p o rʲ i ʒʲː ɐ m
Запоріжжі	z ɐ p o rʲ i ʒʲː i
Заставна	z ɐ s t a u̯ n ɐ
Захар	z ɐ x a r
Захаренко	z ɐ x a r e n k ɔ
Захарій	z ɐ x a rʲ i i̯
Заходу	z a x ɔ d ʊ
Захід	z a xʲ i d
Заїр	z ɐ j i r
Заґреб	z a ɡ r e b
Збараж	z b a r ɐ ʒ
Зборів	z b ɔ rʲ i u̯
Звенигородка	z ʋ e n e ɦ ɔ r ɔ d k ɐ
Звягель	zʲ ʋʲ a ɦ e lʲ
Здолбунів	z d o ɫ b u nʲ i u̯
Зевс	z ɛ u̯ s
Зеленодольськ	z e ɫ e n ɔ d ɔ lʲ sʲ k
Зеленська	z e ɫ ɛ nʲ sʲ k ɐ
Зеленський	z e ɫ ɛ nʲ sʲ k e i̯
Землю	z ɛ m lʲ ʊ
Земля	z e m lʲ a
Землі	z e m lʲ i
Землі	z ɛ m lʲ i
Земфіра	z e m fʲ i r ɐ
Зимогір'я	z e m o ɦʲ i r j ɐ
Зиновій	z e n ɔ ʋʲ i i̯
Зиновія	z e n ɔ ʋʲ i j ɐ
Злін	zʲ lʲ i n
Змієносець	zʲ mʲ i j e n ɔ s e t͡sʲ
Зміїв	zʲ mʲ i j i u̯
Знам'янка	z n a m j ɐ n k ɐ
Золоте	z ɔ ɫ ɔ t ɛ
Золотоноша	z ɔ ɫ ɔ t ɔ n ɔ ʃ ɐ
Золочів	z ɔ ɫ ɔ t͡ʃʲ i u̯
Золочівщина	z ɔ ɫ ɔ t͡ʃʲ i u̯ ʃ t͡ʃ e n ɐ
Зореслав	z ɔ r e s ɫ a u̯
Зореслава	z ɔ r e s ɫ a ʋ ɐ
Зоринськ	z ɔ r e nʲ sʲ k
Зорян	z ɔ rʲ a n
Зоряна	z ɔ rʲ a n ɐ
Зося	z ɔ sʲ ɐ
Зоя	z ɔ j ɐ
Зубенко	z ʊ b ɛ n k ɔ
Зубко	z ʊ b k ɔ
Зугрес	z ʊ ɦ r ɛ s
Зюльт	zʲ u lʲ t
Зімбабве	zʲ i m b a b ʋ e
Зіновій	zʲ i n ɔ ʋʲ i i̯
Зіновія	zʲ i n ɔ ʋʲ i j ɐ
Зіньків	zʲ i nʲ kʲ i u̯
И	ɪ
Игдир	e ɦ d ɪ r
Й	j
Йозгат	j ɔ z ɦ a t
Йордан	j ɔ r d a n
Йорданія	j ɔ r d a nʲ i j ɐ
Йосип	j ɔ s e p
Йосипа	j ɔ s e p ɐ
Йосипенко	j ɔ s e p ɛ n k ɔ
Йосипович	j ɔ s e p ɔ ʋ e t͡ʃ
К	k
Кабул	k ɐ b u ɫ
Кагарлик	k ɐ ɦ ɐ r ɫ ɪ k
Кадіївка	k ɐ dʲ i j i u̯ k ɐ
Казахстан	k ɐ z ɐ x s t a n
Кайдашів	k ɐ i̯ d ɐ ʃʲ i u̯
Калабрія	k ɐ ɫ a b rʲ i j ɐ
Калинівка	k ɐ ɫ ɪ nʲ i u̯ k ɐ
Калуш	k a ɫ ʊ ʃ
Калущина	k a ɫ ʊ ʃ t͡ʃ e n ɐ
Кальміуське	k a lʲ mʲ i ʊ sʲ k e
Калінінград	k ɐ lʲ i nʲ i n ɦ r a d
Каліфорнія	k ɐ lʲ i f ɔ r nʲ i j ɐ
Кам'янка	k a m j ɐ n k ɐ
Кам'янське	k ɐ m j ɐ nʲ sʲ k ɛ
Камбоджа	k ɐ m b ɔ d͡ʒ ɐ
Камерун	k ɐ m e r u n
Кампала	k ɐ m p a ɫ ɐ
Кампанію	k ɐ m p a nʲ i j ʊ
Кампанія	k ɐ m p a nʲ i j ɐ
Кампанією	k ɐ m p a nʲ i j e j ʊ
Кампанії	k ɐ m p a nʲ i j i
Каміла	k ɐ mʲ i ɫ ɐ
Камілин	k ɐ mʲ i ɫ e n
Канада	k ɐ n a d ɐ
Канберра	k a n b e rː ɐ
Канзас	k a n z ɐ s
Канзас	k ɐ n z a s
Канів	k a nʲ i u̯
Капранов	k ɐ p r a n ɔ u̯
Каракалпакстан	k ɐ r ɐ k ɐ ɫ p ɐ k s t a n
Каракас	k ɐ r a k ɐ s
Карелію	k ɐ r ɛ lʲ i j ʊ
Карелія	k ɐ r ɛ lʲ i j ɐ
Кареліє	k ɐ r ɛ lʲ i j e
Карелією	k ɐ r ɛ lʲ i j e j ʊ
Карелії	k ɐ r ɛ lʲ i j i
Карл	k a r ɫ
Карлівка	k a r lʲ i u̯ k ɐ
Кармалюк	k ɐ r m ɐ lʲ u k
Карпати	k ɐ r p a t e
Карінин	k ɐ rʲ i n e n
Кастрі	k ɐ s tʲ rʲ i
Каталонія	k ɐ t ɐ ɫ ɔ nʲ i j ɐ
Катар	k a t ɐ r
Катерина	k ɐ t e r ɪ n ɐ
Катеринин	k ɐ t e r ɪ n e n
Катманду	k ɐ t m ɐ n d u
Катовиці	k ɐ t ɔ ʋ ɪ t͡sʲ i
Катовіце	k ɐ t ɔ ʋʲ i t͡s e
Катруся	k ɐ t r u sʲ ɐ
Каховка	k ɐ x ɔ u̯ k ɐ
Кацапщина	k ɐ t͡s a p ʃ t͡ʃ e n ɐ
Каїр	k ɐ j i r
Квебек	k ʋ e b ɛ k
Кейнс	k ɛ i̯ n s
Кельменці	k ɛ lʲ m e nʲ t͡sʲ i
Кельн	k ɛ lʲ n
Кельце	k ɛ lʲ t͡s e
Кельці	k ɛ lʲ t͡sʲ i
Кембридж	k ɛ m b r e d͡ʒ
Кентуккі	k e n t u kʲː i
Кентукі	k e n t u kʲ i
Кенігсберг	k e nʲ i ɦ z b ɛ r ɦ
Кенія	k ɛ nʲ i j ɐ
Кеніґсберґ	k e nʲ i ɡ z b ɛ r ɡ
Керч	k ɛ r t͡ʃ
Кипуче	k e p u t͡ʃ e
Киргизстан	k e r ɦ e z s t a n
Киргизстане	k e r ɦ e z s t a n e
Киргизстанові	k e r ɦ e z s t a n ɔ ʋʲ i
Киргизстаном	k e r ɦ e z s t a n ɔ m
Киргизстану	k e r ɦ e z s t a n ʊ
Киргизстані	k e r ɦ e z s t a nʲ i
Киргизія	k e r ɦ ɪ zʲ i j ɐ
Кириленко	k e r e ɫ ɛ n k ɔ
Кирило	k e r ɪ ɫ ɔ
Кирилович	k e r ɪ ɫ ɔ ʋ e t͡ʃ
Китай	k e t a i̯
Кишинева	k e ʃ e n ɛ ʋ ɐ
Кишиневе	k e ʃ e n ɛ ʋ e
Кишиневом	k e ʃ e n ɛ w ɔ m
Кишиневу	k e ʃ e n ɛ w ʊ
Кишиневі	k e ʃ e n ɛ ʋʲ i
Кишинів	k e ʃ e nʲ i u̯
Києва	k ɪ j e ʋ ɐ
Києве	k ɪ j e ʋ e
Києвом	k ɪ j e w ɔ m
Києву	k ɪ j e w ʊ
Києві	k ɪ j e ʋʲ i
Київ	k ɪ j i u̯
Київщина	k ɪ j i u̯ ʃ t͡ʃ e n ɐ
Клавдія	k ɫ a u̯ dʲ i j ɐ
Кладно	k ɫ a d n ɔ
Клайпеда	k ɫ a i̯ p e d ɐ
Клим	k ɫ ɪ m
Клименко	k ɫ e m ɛ n k ɔ
Кличко	k ɫ e t͡ʃ k ɔ
Клопотенко	k ɫ ɔ p ɔ t ɛ n k ɔ
Кобеляки	k ɔ b e lʲ a k e
Коваленко	k ɔ ʋ ɐ ɫ ɛ n k ɔ
Коваль	k ɔ ʋ a lʲ
Ковальчук	k ɔ ʋ ɐ lʲ t͡ʃ u k
Ковель	k ɔ ʋ e lʲ
Ковтун	k ɔ u̯ t u n
Ковтун	k ɔ u̯ t ʊ n
Кодима	k ɔ d e m ɐ
Козак	k ɔ z a k
Козинець	k ɔ z e n ɛ t͡sʲ
Козир	k ɔ z e r
Козятин	k ɔ zʲ a t e n
Колесник	k ɔ ɫ ɛ s n e k
Коломийщина	k ɔ ɫ ɔ m ɪ i̯ ʃ t͡ʃ e n ɐ
Коломия	k ɔ ɫ ɔ m ɪ j ɐ
Колорадо	k ɔ ɫ ɔ r a d ɔ
Колумбія	k o ɫ u m bʲ i j ɐ
Комарно	k ɔ m a r n ɔ
Комаровський	k ɔ m ɐ r ɔ u̯ sʲ k e i̯
Комсомольськ	k ɔ m s ɔ m ɔ lʲ sʲ k
Комінтерн	k ɔ mʲ i n t ɛ r n
Конакрі	k ɔ n ɐ k rʲ i
Конлі	k ɔ nʲ lʲ i
Коннектикут	k ɔ nː ɛ k t e k ʊ t
Конотоп	k ɔ n ɔ t ɔ p
Конотіп	k ɔ n o tʲ i p
Константинополь	k ɔ n s t ɐ n t e n ɔ p ɔ lʲ
Копенгаген	k ɔ p e n ɦ a ɦ e n
Копичинці	k ɔ p ɪ t͡ʃ e nʲ t͡sʲ i
Корець	k ɔ r e t͡sʲ
Корея	k ɔ r ɛ j ɐ
Коростень	k ɔ r ɔ s t e nʲ
Коростишів	k ɔ r ɔ s t ɪ ʃʲ i u̯
Корсика	k ɔ r s e k ɐ
Корюківка	k o rʲ u kʲ i u̯ k ɐ
Косово	k ɔ s ɔ w ɔ
Костопіль	k ɔ s t ɔ pʲ i lʲ
Костюк	k o sʲ tʲ u k
Костянтин	k ɔ sʲ tʲ ɐ n t ɪ n
Костянтинович	k ɔ sʲ tʲ ɐ n t ɪ n ɔ ʋ e t͡ʃ
Костянтинівка	k ɔ sʲ tʲ ɐ n t ɪ nʲ i u̯ k ɐ
Косів	k ɔ sʲ i u̯
Косівщина	k ɔ sʲ i u̯ ʃ t͡ʃ e n ɐ
Котляревський	k ɔ tʲ lʲ ɐ r ɛ u̯ sʲ k e i̯
Коцюбинське	k ɔ t͡sʲ ʊ b ɪ nʲ sʲ k e
Коцюбинський	k ɔ t͡sʲ ʊ b ɪ nʲ sʲ k e i̯
Кошиці	k ɔ ʃ e t͡sʲ i
Кошовий	k ɔ ʃ ɔ ʋ ɪ i̯
Кравченко	k r a u̯ t͡ʃ e n k ɔ
