@	a̠ t̚ t o̞
悪堕ち	a̠ k ɯ̟ o̞ t͡ɕ i
悪逆	a̠ k ɯ̟ ɡʲ a̠ k ɯ̟
アク禁	a̠ k ɯ̟ kʲ ĩ ɴ
悪業	a̠ k ɯ̟ ɡ o̞ː
アクサン	a̠ k ɯ̟ s ã̠ ɴ
アクサンテギュ	a̠ k ɯ̟̊ s ã̠ n t e̞ ɡʲ ɨ
悪食	a̠ k ɯ̟ ʑ i kʲ i
アクシス	a̠ k ɯ̟ ɕ i s ɨ
アクシスジカ	a̠ k ɯ̟ ɕ i s ɨ ʑ i k a̠
悪質	a̠ k ɯ̟ ɕ i t͡s ɨ
アクシデント	a̠ k ɯ̟̊ ɕ i d ẽ̞ n t o̞
悪手	a̠ k ɯ̟̊ ɕ ɨ
悪酒	a̠ k ɯ̟ ɕ ɨ
握手	a̠ k ɯ̟ ɕ ɨ
悪習	a̠ k ɯ̟̊ ɕ ɨː
悪臭	a̠ k ɯ̟̊ ɕ ɨː
握手会	a̠ k ɯ̟ ɕ ɨ k a̠ i
握手券	a̠ k ɯ̟ ɕ ɨ k ẽ̞ ɴ
悪趣味	a̠ k ɯ̟ ɕ ɨ mʲ i
悪循環	a̠ k ɯ̟ ʑ ɨ̃ ŋ k ã̠ ɴ
悪女	a̠ k ɯ̟ ʑ o̞
アクション	a̠ k ɯ̟̊ ɕ õ̞ ɴ
アクスタ	a̠ k ɯ̟ s ɨ t a̠
アクセ	a̠ k ɯ̟ s e̞
悪性腫瘍	a̠ k ɯ̟ s e̞ː ɕ ɨ j o̞ː
齷齪	a̠ k ɯ̟ s e̞ k ɯ̟
アクセサリー	a̠ k ɯ̟̊ s e̞ s a̠ ɾʲ iː
アクセシビリティ	a̠ k ɯ̟ s e̞ ɕ i bʲ i ɾʲ i tʲ i
アクセシビリティー	a̠ k ɯ̟ s e̞ ɕ i bʲ i ɾʲ i tʲ iː
アクセス	a̠ k ɯ̟̊ s e̞ s ɨ
悪銭	a̠ k ɯ̟̊ s ẽ̞ ɴ
アクセント	a̠ k ɯ̟̊ s ẽ̞ n t o̞
あくた	a̠ k ɯ̟ t a̠
悪態	a̠ k ɯ̟̊ t a̠ i
芥川	a̠ k ɯ̟̊ t a̠ ɡ a̠ β̞ a̠
悪玉	a̠ k ɯ̟ d a̠ m a̠
アクチニウム	a̠ k ɯ̟̊ t͡ɕ i ɲ̟ i ɯ̟ m ɯ̟
アクチニド	a̠ k ɯ̟̊ t͡ɕ i ɲ̟ i d o̞
アクチノイド	a̠ k ɯ̟̊ t͡ɕ i n o̞ i d o̞
アクティビティー	a̠ k ɯ̟ tʲ i bʲ i tʲ iː
悪天	a̠ k ɯ̟ t ẽ̞ ɴ
悪天候	a̠ k ɯ̟ t ẽ̞ ŋ k o̞ː
あくどい	a̠ k ɯ̟ d o̞ i
悪党	a̠ k ɯ̟ t o̞ː
悪徳	a̠ k ɯ̟̊ t o̞ k ɯ̟
悪日	a̠ k ɯ̟ ɲ̟ i t͡ɕ i
悪人	a̠ k ɯ̟ ɲ̟ ĩ ɴ
悪罵	a̠ k ɯ̟ b a̠
あくび	a̠ k ɯ̟ bʲ i
欠伸	k ẽ̞ ɰ̃ ɕ ĩ ɴ
悪筆	a̠ k ɯ̟ ç i t͡s ɨ
悪評	a̠ k ɯ̟ ç o̞ː
悪風	a̠ k ɯ̟̊ ɸ ɯ̟ː
悪弊	a̠ k ɯ̟ h e̞ː
悪癖	a̠ k ɯ̟ h e̞ kʲ i
悪魔	a̠ k ɯ̟ m a̠
悪魔学	a̠ k ɯ̟ m a̠ ɡ a̠ k ɯ̟
悪名高い	a̠ k ɯ̟ mʲ o̞ː d a̠ k a̠ i
悪夢	a̠ k ɯ̟ m ɯ̟
倦む	a̠ ɡ ɯ̟ m ɯ̟
アクメ	a̠ k ɯ̟ m e̞
悪目	a̠ k ɯ̟ m e̞
悪問	a̠ k ɯ̟ m õ̞ ɴ
悪役	a̠ k ɯ̟ j a̠ k ɯ̟
悪友	a̠ k ɯ̟ j ɯ̟ː
悪用	a̠ k ɯ̟ j o̞ː
アクラ	a̠ k ɯ̟ ɾ a̠
悪辣	a̠ k ɯ̟ ɾ a̠ t͡s ɨ
あぐり	a̠ ɡ ɯ̟ ɾʲ i
アグリコン	a̠ ɡ ɯ̟ ɾʲ i k õ̞ ɴ
アクリジン	a̠ k ɯ̟ ɾʲ i ʑ ĩ ɴ
悪霊	a̠ k ɯ̟ ɾʲ o̞ː
握力	a̠ k ɯ̟ ɾʲ o̞ k ɯ̟
握力計	a̠ k ɯ̟ ɾʲ o̞ k ɯ̟ k e̞ː
アクリル	a̠ k ɯ̟ ɾʲ i ɾ ɯ̟
明くる	a̠ k ɯ̟ ɾ ɯ̟
アグレッシブ	a̠ ɡ ɯ̟ ɾ e̞ ɕː i b ɯ̟
アグレット	a̠ ɡ ɯ̟ ɾ e̞ t̚ t o̞
悪路	a̠ k ɯ̟ ɾ o̞
アクロバット	a̠ k ɯ̟ ɾ o̞ b a̠ t̚ t o̞
アグワスカリエンテス	a̠ ɡ ɯ̟ β̞ a̠ s ɨ k a̠ ɾʲ i ẽ̞ n t e̞ s ɨ
亜群	a̠ ɡ ɯ̟̃ ɴ
亜郡	a̠ ɡ ɯ̟̃ ɴ
明け	a̠ k e̞
揚げ	a̠ ɡ e̞
あげあげ	a̠ ɡ e̞ a̠ ɡ e̞
あけおめ	a̠ k e̞ o̞ m e̞
あけおめことよろ	a̠ k e̞ o̞ m e̞ k o̞ t o̞ j o̞ ɾ o̞
明け方	a̠ k e̞ ɡ a̠ t a̠
揚げ句	a̠ ɡ e̞ k ɯ̟
明け暗れ	a̠ k e̞ ɡ ɯ̟ ɾ e̞
明け暮れる	a̠ k e̞ k ɯ̟ ɾ e̞ ɾ ɯ̟
あけすけ	a̠ k e̞ s ɨ k e̞
明智	m e̞ː t͡ɕ i
あけっぱ	a̠ k e̞ p̚ p a̠
あけっぱなし	a̠ k e̞ p̚ p a̠ n a̠ ɕ i
論い	a̠ ɡ e̞ t͡s ɨ ɾ a̠ i
論う	a̠ ɡ e̞ t͡s ɨ ɾ a̠ ɯ̟
揚げ鶏	a̠ ɡ e̞ d o̞ ɾʲ i
開けない	a̠ k e̞ n a̠ i
揚羽	a̠ ɡ e̞ h a̠
揚羽蝶	a̠ ɡ e̞ h a̠ t͡ɕ o̞ː
開け放す	a̠ k e̞ h a̠ n a̠ s ɨ
あけび	a̠ k e̞ bʲ i
曙	a̠ k e̞ b o̞ n o̞
曙草	a̠ k e̞ b o̞ n o̞ s o̞ː
あげぽよ	a̠ ɡ e̞ p o̞ j o̞
揚巻	a̠ ɡ e̞ m a̠ kʲ i
明けます	a̠ k e̞ m a̠ s ɨ
上げます	a̠ ɡ e̞ m a̠ s ɨ
あげまん	a̠ ɡ e̞ m ã̠ ɴ
曙覧	a̠ k e̞ mʲ i
朱美	a̠ k e̞ mʲ i
揚げ物	a̠ ɡ e̞ m o̞ n o̞
明ける	a̠ k e̞ ɾ ɯ̟
空ける	a̠ k e̞ ɾ ɯ̟
開ける	a̠ k e̞ ɾ ɯ̟
あげる	a̠ ɡ e̞ ɾ ɯ̟
アケローン	a̠ k e̞ ɾ õ̞ː ɴ
明け渡し	a̠ k e̞ β̞ a̠ t a̠ ɕ i
明け渡す	a̠ k e̞ β̞ a̠ t a̠ s ɨ
顎	a̠ ɡ o̞
亜港	a̠ k o̞ː
亜綱	a̠ k o̞ː
雀榕	a̠ k o̞ː
アコーディオン	a̠ k o̞ː dʲ i õ̞ ɴ
アコーデオン	a̠ k o̞ː d e̞ õ̞ ɴ
憧れ	a̠ k o̞ ɡ a̠ ɾ e̞
憧れる	a̠ k o̞ ɡ a̠ ɾ e̞ ɾ ɯ̟
あこぎ	a̠ k o̞ ɡʲ i
アコギ	a̠ k o̞ ɡʲ i
亜国	a̠ k o̞ k ɯ̟
顎鬚	a̠ ɡ o̞ ç i ɡ e̞
衵	a̠ k o̞ m e̞
朝	a̠ s a̠
麻	a̠ s a̠
痣	a̠ z a̠
アサイ	a̠ s a̠ i
浅い	a̠ s a̠ i
アサイー	a̠ s a̠ iː
あさいち	a̠ s a̠ i t͡ɕ i
麻糸	a̠ s a̠ i t o̞
麻色	a̠ s a̠ i ɾ o̞
朝起き	a̠ s a̠ o̞ kʲ i
あさがえり	a̠ s a̠ ɡ a̠ e̞ ɾʲ i
朝霞	a̠ s a̠ ɡ a̠ s ɨ mʲ i
朝方	a̠ s a̠ ɡ a̠ t a̠
あさかつ	a̠ s a̠ k a̠ t͡s ɨ
あさぎり	a̠ s a̠ ɡʲ i ɾʲ i
浅草	a̠ s a̠ k ɯ̟̊ s a̠
麻倉	a̠ s a̠ k ɯ̟ ɾ a̠
浅黒い	a̠ s a̠ ɡ ɯ̟ ɾ o̞ i
嘲る	a̠ z a̠ k e̞ ɾ ɯ̟
朝シャン	a̠ s a̠ ɕ ã̠ ɴ
浅瀬	a̠ s a̠ s e̞
朝立ち	a̠ s a̠ d a̠ t͡ɕ i
朝チュン	a̠ s a̠ t͡ɕ ɨ̃ ɴ
明後日	a̠ s a̠ t̚ t e̞
朝っぱら	a̠ s a̠ p̚ p a̠ ɾ a̠
朝露	a̠ s a̠ t͡s ɨ j ɯ̟
安里	a̠ s a̠ t o̞
あざとい	a̠ z a̠ t o̞ i
あさどり	a̠ s a̠ d o̞ ɾʲ i
糾う	a̠ z a̠ n a̠ ɯ̟
麻縄	a̠ s a̠ n a̠ β̞ a̠
麻布	a̠ s a̠ n ɯ̟ n o̞
朝寝	a̠ s a̠ n e̞
浅はか	a̠ s a̠ h a̠ k a̠
浅縹	a̠ s a̠ h a̠ n a̠ d a̠
朝晩	a̠ s a̠ b ã̠ ɴ
朝番	a̠ s a̠ b ã̠ ɴ
朝日	a̠ s a̠ ç i
旭蟹	a̠ s a̠ ç i ɡ a̠ ɲ̟ i
旭川	a̠ s a̠ ç i k a̠ β̞ a̠
あさひこ	a̠ s a̠ ç i k o̞
朝比奈	a̠ s a̠ ç i n a̠
朝日る	a̠ s a̠ ç i ɾ ɯ̟
朝風呂	a̠ s a̠ b ɯ̟ ɾ o̞
あさぼらけ	a̠ s a̠ b o̞ ɾ a̠ k e̞
浅ましい	a̠ s a̠ m a̠ ɕ i i
あざまる	a̠ z a̠ m a̠ ɾ ɯ̟
麻巳	a̠ s a̠ mʲ i
薊	a̠ z a̠ mʲ i
欺く	a̠ z a̠ m ɯ̟ k ɯ̟
朝飯	a̠ s a̠ m e̞ ɕ i
朝飯前	a̠ s a̠ m e̞ ɕ i m a̠ e̞
あさもや	a̠ s a̠ m o̞ j a̠
鮮やか	a̠ z a̠ j a̠ k a̠
朝焼け	a̠ s a̠ j a̠ k e̞
朝湯	a̠ s a̠ j ɯ̟
海豹	a̠ z a̠ ɾ a̠ ɕ i
浅蜊	a̠ s a̠ ɾʲ i
漁る	a̠ s a̠ ɾ ɯ̟
朝練	a̠ s a̠ ɾ ẽ̞ ɴ
嘲笑う	a̠ z a̠ β̞ a̠ ɾ a̠ ɯ̟
あし	a̠ ɕ i
アシ	a̠ ɕ i
亜市	a̠ ɕ i
脚	kʲ a̠ k ɯ̟
足	a̠ ɕ i
アジ	a̠ ʑ i
味	a̠ ʑ i
鯵	a̠ ʑ i
アジア	a̠ ʑ i a̠
亜細亜	a̠ ʑ i a̠
アジア人	a̠ ʑ i a̠ ʑ ĩ ɴ
足跡	a̠ ɕ i a̠ t o̞
悪しい	a̠ ɕ iː
足裏	a̠ ɕ i ɯ̟ ɾ a̠
アジェンダ	a̠ ʑ ẽ̞ n d a̠
足置き	a̠ ɕ i o̞ kʲ i
足音	a̠ ɕ i o̞ t o̞
海驢	a̠ ɕ i̥ k a̠
足利	a̠ ɕ i k a̠ ɡ a̠
足利時代	a̠ ɕ i k a̠ ɡ a̠ ʑ i d a̠ i
アシガバート	a̠ ɕ i ɡ a̠ b a̠ː t o̞
あしからず	a̠ ɕ i̥ k a̠ ɾ a̠ z ɨ
足軽	a̠ ɕ i ɡ a̠ ɾ ɯ̟
あしき	a̠ ɕ i kʲ i
味気ない	a̠ ʑ i kʲ i n a̠ i
あしきり	a̠ ɕ i kʲ i ɾʲ i
足首	a̠ ɕ i̥ k ɯ̟ bʲ i
彼処	a̠ ɕ i k o̞
足コキ	a̠ ɕ i k o̞ kʲ i
足腰	a̠ ɕ i̥ k o̞ ɕ i
紫陽花	a̠ ʑ i s a̠ i
鰺刺	a̠ ʑ i s a̠ ɕ i
悪し様	a̠ ɕ i z a̠ m a̠
あししげく	a̠ ɕ i ɕ i ɡ e̞ k ɯ̟
アジスアベバ	a̠ ʑ i s ɨ a̠ b e̞ b a̠
アシスタント	a̠ ɕ i s ɨ̥ t ã̠ n t o̞
アジソン病	a̠ ʑ i s õ̞ m bʲ o̞ː
明日	a̠ ɕ i̥ t a̠
足駄	a̠ ɕ i d a̠
あじたま	a̠ ʑ i t a̠ m a̠
足垂れ星	a̠ ɕ i t a̠ ɾ e̞ b o̞ ɕ i
味付け	a̠ ʑ i t͡s ɨ̥ k e̞
あしつぼ	a̠ ɕ i t͡s ɨ b o̞
足手まとい	a̠ ɕ i̥ t e̞ m a̠ t o̞ i
アジト	a̠ ʑ i t o̞
アシドーシス	a̠ ɕ i d o̞ː ɕ i s ɨ
足止め	a̠ ɕ i d o̞ m e̞
足取り	a̠ ɕ i d o̞ ɾʲ i
芦名	a̠ ɕ i n a̠
蘆名	a̠ ɕ i n a̠
味の素	a̠ ʑ i n o̞ m o̞ t o̞
足場	a̠ ɕ i b a̠
足早	a̠ ɕ i b a̠ j a̠
葦原	a̠ ɕ i̥ h a̠ ɾ a̠
葦火	a̠ ɕ i bʲ i
足日	a̠ ɕ i bʲ i
馬酔木	a̠ s e̞ bʲ i
足ひれ	a̠ ɕ i ç i ɾ e̞
あしぶみ	a̠ ɕ i b ɯ̟ mʲ i
味変	a̠ ʑ i h ẽ̞ ɴ
足忠実	a̠ ɕ i m a̠ m e̞
足回り	a̠ ɕ i m a̠ β̞ a̠ ɾʲ i
味見	a̠ ʑ i mʲ i
安心院	a̠ ʑ i m ɯ̟
足下	a̠ ɕ i m o̞ t o̞
あしゃ	a̠ ɕ a̠
唖者	a̠ ɕ a̠
アジャスト	a̠ ʑ a̠ s ɨ t o̞
アジヤ	a̠ ʑ i j a̠
亜種	a̠ ɕ ɨ
亜州	a̠ ɕ ɨː
アジュマ	a̠ ʑ ɨ m a̠
阿修羅	a̠ ɕ ɨ ɾ a̠
アジュンマ	a̠ ʑ ɨ̃ mː a̠
足湯	a̠ ɕ i j ɯ̟
亜硝酸	a̠ ɕ o̞ː s ã̠ ɴ
アジョシ	a̠ ʑ o̞ ɕ i
アジョッシ	a̠ ʑ o̞ ɕː i
あしらう	a̠ ɕ i ɾ a̠ ɯ̟
アシル	a̠ ɕ i ɾ ɯ̟
アジる	a̠ ʑ i ɾ ɯ̟
アシル基	a̠ ɕ i ɾ ɯ̟ kʲ i
足輪	a̠ ɕ i β̞ a̠
味わい	a̠ ʑ i β̞ a̠ i
味わいます	a̠ ʑ i β̞ a̠ i m a̠ s ɨ
味わう	a̠ ʑ i β̞ a̠ ɯ̟
味わえない	a̠ ʑ i β̞ a̠ e̞ n a̠ i
味わった	a̠ ʑ i β̞ a̠ t̚ t a̠
味わわない	a̠ ʑ i β̞ a̠ β̞ a̠ n a̠ i
アスガード	a̠ s ɨ ɡ a̠ː d o̞
飛鳥時代	a̠ s ɨ k a̠ ʑ i d a̠ i
あずかる	a̠ z ɨ k a̠ ɾ ɯ̟
アスガルズ	a̠ s ɨ ɡ a̠ ɾ ɯ̟ z ɨ
アスガルト	a̠ s ɨ ɡ a̠ ɾ ɯ̟ t o̞
アスガルド	a̠ s ɨ ɡ a̠ ɾ ɯ̟ d o̞
小豆	a̠ z ɨ kʲ i
ASCII	a̠ s ɨ̥ kʲ iː
小豆色	a̠ z ɨ kʲ i i ɾ o̞
小豆粥	a̠ z ɨ kʲ i ɡ a̠ j ɯ̟
あずける	a̠ z ɨ k e̞ ɾ ɯ̟
梓	a̠ z ɨ s a̠
アスタグフィルッラー	a̠ s ɨ t a̠ ɡ ɯ̟ ɸʲ i ɾ ɯ̟ ɾ̚ ɾ a̠ː
アスタチン	a̠ s ɨ t a̠ t͡ɕ ĩ ɴ
アステカ	a̠ s ɨ̥ t e̞ k a̠
アステリスク	a̠ s ɨ̥ t e̞ ɾʲ i s ɨ̥ k ɯ̟
アストゥリア語	a̠ s ɨ t ɯ̟ ɾʲ i a̠ ɡ o̞
アストリア	a̠ s ɨ t o̞ ɾʲ i a̠
アストリヤ	a̠ s ɨ t o̞ ɾʲ i j a̠
アストレア	a̠ s ɨ t o̞ ɾ e̞ a̠
アストロターフ	a̠ s ɨ t o̞ ɾ o̞ t a̠ː ɸ ɯ̟
翌檜	a̠ s ɨ n a̠ ɾ o̞
アスパラ	a̠ s ɨ p a̠ ɾ a̠
アスパラガス	a̠ s ɨ̥ p a̠ ɾ a̠ ɡ a̠ s ɨ
アスパラギン	a̠ s ɨ p a̠ ɾ a̠ ɡʲ ĩ ɴ
アスパラギン酸	a̠ s ɨ p a̠ ɾ a̠ ɡʲ ĩ ɰ̃ s ã̠ ɴ
アスピック	a̠ s ɨ pʲ i k̚ k ɯ̟
アスピリン	a̠ s ɨ̥ pʲ i ɾʲ ĩ ɴ
アスファルト	a̠ s ɨ̥ ɸ a̠ ɾ ɯ̟ t o̞
アスペ	a̠ s ɨ p e̞
アスベスト	a̠ s ɨ b e̞ s ɨ̥ t o̞
アスペルギルス	a̠ s ɨ p e̞ ɾ ɯ̟ ɡʲ i ɾ ɯ̟ s ɨ
東菊	a̠ z ɨ m a̠ ɡʲ i k ɯ̟
東下り	a̠ z ɨ m a̠ k ɯ̟ d a̠ ɾʲ i
東琴	a̠ z ɨ m a̠ ɡ o̞ t o̞
東路	a̠ z ɨ m a̠ ʑ i
東屋	a̠ z ɨ m a̠ j a̠
明日美	a̠ s ɨ mʲ i
杏美	a̠ z ɨ mʲ i
アスリート	a̠ s ɨ ɾʲ iː t o̞
アスレチック	a̠ s ɨ ɾ e̞ t͡ɕ i̥ k̚ k ɯ̟
アズレン	a̠ z ɨ ɾ ẽ̞ ɴ
アスンシオン	a̠ s ɨ̃ ɰ̃ ɕ i õ̞ ɴ
汗	a̠ s e̞
あぜ	a̠ z e̞
ASEAN	a̠ s e̞ ã̠ ɴ
汗臭い	a̠ s e̞ k ɯ̟̊ s a̠ i
汗雫	a̠ s e̞ ɕ i z ɨ k ɯ̟
あせだく	a̠ s e̞ d a̠ k ɯ̟
アゼチジン	a̠ z e̞ t͡ɕ i ʑ ĩ ɴ
アセチレン	a̠ s e̞ t͡ɕ i ɾ ẽ̞ ɴ
あせっかき	a̠ s e̞ k̚ k a̠ kʲ i
アセティシズム	a̠ s e̞ tʲ i ɕ i z ɨ m ɯ̟
畔菜	a̠ z e̞ n a̠
アセナフテン	a̠ s e̞ n a̠ ɸ ɯ̟ t ẽ̞ ɴ
汗ばむ	a̠ s e̞ b a̠ m ɯ̟
汗塗れ	a̠ s e̞ m a̠ mʲ i ɾ e̞
あぜみち	a̠ z e̞ mʲ i t͡ɕ i
畔紫	a̠ z e̞ m ɯ̟ ɾ a̠ s a̠ kʲ i
焦り	a̠ s e̞ ɾʲ i
焦る	a̠ s e̞ ɾ ɯ̟
褪せる	a̠ s e̞ ɾ ɯ̟
アゼルバイジャン	a̠ z e̞ ɾ ɯ̟ b a̠ i ʑ ã̠ ɴ
アゼルバイジャン語	a̠ z e̞ ɾ ɯ̟ b a̠ i ʑ ã̠ ŋ ɡ o̞
アゼルバイジャン人	a̠ z e̞ ɾ ɯ̟ b a̠ i ʑ ã̠ ɲ̟ d͡ʑ ĩ ɴ
唖然	a̠ z ẽ̞ ɴ
アセンズ	a̠ s ẽ̞ n d͡z ɨ
阿仙薬	a̠ s ẽ̞ ɰ̃ j a̠ k ɯ̟
阿蘇	a̠ s o̞
麻生	a̠ s o̞ː
アゾール	a̠ z o̞ː ɾ ɯ̟
亜属	a̠ z o̞ k ɯ̟
あそこ	a̠ s o̞ k o̞
遊ばす	a̠ s o̞ b a̠ s ɨ
遊び	a̠ s o̞ bʲ i
遊び心	a̠ s o̞ bʲ i ɡ o̞ k o̞ ɾ o̞
遊び人	a̠ s o̞ bʲ i ɲ̟ ĩ ɴ
遊び場	a̠ s o̞ bʲ i b a̠
遊びます	a̠ s o̞ bʲ i m a̠ s ɨ
遊ぶ	a̠ s o̞ b ɯ̟
朝臣	a̠ s õ̞ ɴ
遊んだ	a̠ s õ̞ n d a̠
咫	a̠ t a̠
仇	a̠ d a̠
婀娜	a̠ d a̠
讐	a̠ d a̠
あたい	a̠ t a̠ i
価	k a̠
値	a̠ t a̠ i
値する	a̠ t a̠ i s ɨ ɾ ɯ̟
亜大陸	a̠ t a̠ i ɾʲ i k ɯ̟
あたう	a̠ t a̠ ɯ̟
あたえる	a̠ t a̠ e̞ ɾ ɯ̟
あたおか	a̠ t a̠ o̞ k a̠
あたかも	a̠ t a̠ k a̠ m o̞
あだかも	a̠ d a̠ k a̠ m o̞
あたくし	a̠ t a̠ k ɯ̟̊ ɕ i
安宅船	a̠ t a̠ k e̞ b ɯ̟ n e̞
愛宕	a̠ t a̠ ɡ o̞
あたし	a̠ t a̠ ɕ i
暖か	a̠ t a̠ t a̠ k a̠
あたたかい	a̠ t a̠ t a̠ k a̠ i
温まる	a̠ t a̠ t a̠ m a̠ ɾ ɯ̟
温める	a̠ t a̠ t a̠ m e̞ ɾ ɯ̟
アタック	a̠ t a̠ k̚ k ɯ̟
アタッシェ	a̠ t a̠ ɕː e̞
渾名	a̠ d a̠ n a̠
仇なす	a̠ d a̠ n a̠ s ɨ
徒花	a̠ d a̠ b a̠ n a̠
アダブ	a̠ d a̠ b ɯ̟
あたふた	a̠ t a̠ ɸ ɯ̟ t a̠
頭	a̠ t a̠ m a̠
頭金	a̠ t a̠ m a̠ kʲ ĩ ɴ
頭ごなし	a̠ t a̠ m a̠ ɡ o̞ n a̠ ɕ i
頭虱	a̠ t a̠ m a̠ ʑ i ɾ a̠ mʲ i
頭高型	a̠ t a̠ m a̠ d a̠ k a̠ ɡ a̠ t a̠
熱海	a̠ t a̠ mʲ i
アダム	a̠ d a̠ m ɯ̟
アダムズ	a̠ d a̠ m ɯ̟ z ɨ
可惜	a̠ t a̠ ɾ a̠
新しい	a̠ t a̠ ɾ a̠ ɕ iː
新しい生活様式	a̠ t a̠ ɾ a̠ ɕ iː s e̞ː k a̠ t͡s ɨ j o̞ː ɕ i kʲ i
アタリ	a̠ t a̠ ɾʲ i
当たり	a̠ t a̠ ɾʲ i
辺り	a̠ t a̠ ɾʲ i
あたりさわり	a̠ t a̠ ɾʲ i s a̠ β̞ a̠ ɾʲ i
当たり散らす	a̠ t a̠ ɾʲ i t͡ɕ i ɾ a̠ s ɨ
あたりどし	a̠ t a̠ ɾʲ i d o̞ ɕ i
当たり判定	a̠ t a̠ ɾʲ i h ã̠ n t e̞ː
当たり前	a̠ t a̠ ɾʲ i m a̠ e̞
当たり屋	a̠ t a̠ ɾʲ i j a̠
中る	a̠ t a̠ ɾ ɯ̟
当たる	a̠ t a̠ ɾ ɯ̟
アダルティ	a̠ d a̠ ɾ ɯ̟ tʲ i
アダルティー	a̠ d a̠ ɾ ɯ̟ tʲ iː
アダルティック	a̠ d a̠ ɾ ɯ̟ tʲ i k̚ k ɯ̟
アダルト	a̠ d a̠ ɾ ɯ̟ t o̞
アダルトビデオ	a̠ d a̠ ɾ ɯ̟ t o̞ bʲ i d e̞ o̞
あ段	a̠ d ã̠ ɴ
あちき	a̠ t͡ɕ i kʲ i
あちゃあ	a̠ t͡ɕ a̠ː
あちら	a̠ t͡ɕ i ɾ a̠
彼方此方	a̠ t͡ɕ i ɾ a̠ k o̞ t͡ɕ i ɾ a̠
あっ	a̠ ʔ
悪化	a̠ k̚ k a̠
圧巻	a̠ k̚ k ã̠ ɴ
悪感	a̠ k̚ k ã̠ ɴ
悪漢	a̠ k̚ k ã̠ ɴ
アックス	a̠ k̚ k ɯ̟ s ɨ
呆気ない	a̠ k̚ k e̞ n a̠ i
あっけらかん	a̠ k̚ k e̞ ɾ a̠ k ã̠ ɴ
圧搾	a̠ sː a̠ k ɯ̟
圧搾機	a̠ sː a̠ k ɯ̟ kʲ i
圧殺	a̠ sː a̠ t͡s ɨ
厚沢部	a̠ sː a̠ b ɯ̟
アッサム	a̠ sː a̠ m ɯ̟
あっさり	a̠ sː a̠ ɾʲ i
あっし	a̠ ɕː i
圧死	a̠ ɕː i
アッシー	a̠ ɕː iː
アッシー君	a̠ ɕː iː k ɯ̟̃ ɴ
圧縮	a̠ ɕː ɨ k ɯ̟
圧縮機	a̠ ɕː ɨ k ɯ̟ kʲ i
アッシリア	a̠ ɕː i ɾʲ i a̠
圧制	a̠ sː e̞ː
圧政	a̠ sː e̞ː
斡旋	a̠ sː ẽ̞ ɴ
有った	a̠ t̚ t a̠
あったかい	a̠ t̚ t a̠ k a̠ i
あっち	a̠ t̚ t͡ɕ i
あっち系	a̠ t̚ t͡ɕ i k e̞ː
あっちゃえ	a̠ t̚ t͡ɕ a̠ e̞
圧着	a̠ t̚ t͡ɕ a̠ k ɯ̟
あっちゃこっちゃ	a̠ t̚ t͡ɕ a̠ k o̞ t̚ t͡ɕ a̠
圧倒	a̠ t̚ t o̞ː
圧倒的	a̠ t̚ t o̞ː t e̞ kʲ i
アットホーム	a̠ t̚ t o̞ h o̞ː m ɯ̟
アッパー	a̠ p̚ p a̠ː
圧迫	a̠ p̚ p a̠ k ɯ̟
天晴れ	a̠ p̚ p a̠ ɾ e̞
アッピール	a̠ p̚ʲ pʲ iː ɾ ɯ̟
アップ	a̠ p̚ p ɯ̟
圧服	a̠ p̚ p ɯ̟ k ɯ̟
アップデート	a̠ p̚ p ɯ̟ d e̞ː t o̞
アップテンポ	a̠ p̚ p ɯ̟ t ẽ̞ m p o̞
アップリケ	a̠ p̚ p ɯ̟ ɾʲ i k e̞
アップル	a̠ p̚ p ɯ̟ ɾ ɯ̟
アップローダー	a̠ p̚ p ɯ̟ ɾ o̞ː d a̠ː
アップロード	a̠ p̚ p ɯ̟ ɾ o̞ː d o̞
アッラー	a̠ ɾ̚ ɾ a̠ː
アッラーフ	a̠ ɾ̚ ɾ a̠ː ɸ ɯ̟
圧	a̠ t͡s ɨ
あつあつ	a̠ t͡s ɨ a̠ t͡s ɨ
あつい	a̠ t͡s ɨ i
暑い	a̠ t͡s ɨ i
熱い	a̠ t͡s ɨ i
あつか	a̠ t͡s ɨ k a̠
扱い	a̠ t͡s ɨ̥ k a̠ i
扱う	a̠ t͡s ɨ̥ k a̠ ɯ̟
厚かましい	a̠ t͡s ɨ̥ k a̠ m a̠ ɕ i i
厚紙	a̠ t͡s ɨ ɡ a̠ mʲ i
熱燗	a̠ t͡s ɨ k ã̠ ɴ
厚木	a̠ t͡s ɨ ɡʲ i
厚着	a̠ t͡s ɨ ɡʲ i
暑苦しい	a̠ t͡s ɨ k ɯ̟ ɾ ɯ̟ ɕ iː
厚化粧	a̠ t͡s ɨ ɡ e̞ ɕ o̞ː
阿津子	a̠ t͡s ɨ k o̞
厚さ	a̠ t͡s ɨ s a̠
暑さ	a̠ t͡s ɨ s a̠
暑さしのぎ	a̠ t͡s ɨ s a̠ ɕ i n o̞ ɡʲ i
惇	a̠ t͡s ɨ ɕ i
竺	a̠ t͡s ɨ ɕ i
貴志	a̠ t͡s ɨ ɕ i
厚田	a̠ t͡s ɨ t a̠
熱田	a̠ t͡s ɨ t a̠
安土桃山時代	a̠ z ɨ t͡ɕ i m o̞ m o̞ j a̠ m a̠ ʑ i d a̠ i
