Ada	aː t a
Wathne	v a h t n ɛː
Wiium	v iː j ʏ m
Zoëga	s o uː ɛː k aː
Zóphonías	s o uː f ɔː n iː j a s
a	aː
abbadís	a pː a t iː s
abbast	a pː a s t
adamsepli	aː d a m s ɛ h p l ɪ
adda	a tː a
af	aː v
afar	aː v a r
afbaka	a v p aː k a
afbrigði	a v p r ɪ ɣ ð ɪ
afbrigðilegur	a v p r ɪ ɣ ð ɪ l ɛː ɣ ʏ r
afbrot	aː v p r ɔː t
afbrýði	a v p r iː ð ɪ
afburður	a v p ʏ r ð ʏ r
afbökun	a v p œː k ʏ n
afdrep	a v t r ɛː p
afgangur	a v k a u ŋ k ʏ r
afgreiða	a v k r e iː ð a
afgreiðsla	a v k r e i ð s t l a
afhenda	a f h ɛ n t a
afhending	a f h ɛ n t i ŋ k
afi	aː v ɪ
afklæða	a v kʰ l a iː ð a
afkomandi	a v kʰ ɔː m a n t ɪ
afkvæmi	a v kʰ v a iː m ɪ
afkáralegur	a v kʰ a uː r a l ɛː ɣ ʏ r
afl	a p l
afla	a p l a
afleiðing	a v l e iː ð i ŋ k
afli	a p l ɪ
afmæli	a m m a iː l ɪ
afmæli	a v m a iː l ɪ
afmælisdagur	a mː a iː l ɪ s t aː ɣ ʏ r
afmælisdagur	a v m a iː l ɪ s t aː ɣ ʏ r
afmælisgjöf	a v m a iː l ɪ s c œː v
afrit	a v r ɪː t
afráða	a v r a uː ð a
afríkanska	aː f r iː kʰ a n s k a
afríkanskur	aː f r iː kʰ a n s k ʏ r
afríkufíll	aː f r iː k ʏ f i t l
afrískur	aː f r i s k ʏ r
afsaka	a f s aː k a
afskrá	a f s k r a uː
afskráning	a f s k r a uː n i ŋ k
afsláttur	a f s t l a u h t ʏ r
afstæði	a f s t a iː ð ɪ
afsökun	a f s œː k ʏ n
aftaka	a v tʰ aː k a
aftur	a f t ʏ r
aftur	a h t ʏ r
afturbatapíka	a f t ʏ r p aː t a pʰ iː k a
afturbati	a f t ʏ r p aː t ɪ
afturbeyging	a f t ʏ r p e iː j i ŋ k
afturbeygður	a f t ʏ r p e i ɣ ð ʏ r
afturelding	a f t ʏ r ɛ l t i ŋ k
afturfótur	a f t ʏ r f o uː t ʏ r
afturhald	a f t ʏ r h a l t
afturhaldsstefna	a f t ʏ r h a l t s s t ɛ p n a
afturkræfur	a f t ʏ r kʰ r a iː v ʏ r
aftursæti	a f t ʏ r s a iː t ɪ
afvopna	a v v ɔ h p n a
afæta	aː v a iː t a
aga	aː ɣ a
agalega	aː ɣ a l ɛː ɣ a
agalegur	aː ɣ a l ɛ ɣ ʏ r
agi	aː j ɪ
agn	a k n
agða	a ɣ ð a
agúrka	aː k u r̥ k a
aka	aː k a
akarn	aː kʰ a r t n
akbraut	aː k p r ø yː t
akkeri	a h k ɛː r ɪ
akkur	a h k ʏ r
akrein	aː k r e iː n
akri	aː k r ɪ
akrinum	aː k r ɪ n ʏ m
akur	aː kʰ ʏ r
akurarfi	aː k ʏ r a r v ɪ
akurinn	aː kʰ ʏ r ɪ n
akurstjarna	aː k ʏ r s t j a r t n a
ala	aː l a
alaskavíðir	aː l a s k a v iː ð ɪ r
alaskaösp	aː l a s k a œ s p
alba	a l p a
albanska	a l p a n s k a
albanskur	a l p a n s k ʏ r
albínói	a l p iː n o uː ɪ
alda	a l t a
aldeilis	a l t e iː l ɪ s
aldin	a l t ɪ n
aldinbori	a l t ɪ n p ɔː r ɪ
aldingarður	a l t ɪ n k a r ð ʏ r
aldrei	a l t r e iː
aldur	a l t ʏ r
aldursmunur	a l t ʏ r s m ʏː n ʏ r
algerlega	a l c ɛ r l ɛː ɣ a
algjörlega	a l c œ r l ɛː ɣ a
algyðistrú	a l c ɪ ð ɪ s tʰ r u
alheimur	aː l h e iː m ʏ r
alin	aː l ɪ n
alklæddur	aː l kʰ l a i tː ʏ r
alkul	a l kʰ ʏː l
alls	a l s
allsber	a l s p ɛː r
allsgáður	a l s k a uː ð ʏ r
allt	a l̥ t
alltaf	a t l̥ tʰ aː v
allteins	a l̥ t e i n s
allur	a t l ʏ r
almannatengsl	a l m a n n a tʰ e i ŋ k s t l
almennilegur	a l m ɛ nː ɪ l ɛː ɣ ʏ r
almennur	a l m ɛ nː ʏ r
almætti	a l m a i h t ɪ
alnet	a l n ɛː t
alpahúfa	a l̥ p a h uː v a
alræði	a l r a iː ð ɪ
altari	a l̥ t a r ɪ
altaristafla	a l̥ t aː r ɪ s tʰ a p l a
alur	aː l ʏ r
alvara	a l v aː r a
alvarlega	a l v a r l ɛː ɣ a
alvarlegur	a l v a r l ɛː ɣ ʏ r
alvitur	a l v ɪː t ʏ r
alvörulaus	a l v œː r ʏ l ø yː s
alvöruleysi	a l v œː r ʏ l e iː s ɪ
alúðlega	aː l u ð l ɛː ɣ a
alúðlegur	aː l u ð l ɛː ɣ ʏ r
alþjóðlegur	a l θ j o u ð l ɛː ɣ ʏ r
alþýðlegur	a l θ i ð l ɛː ɣ ʏ r
amaba	aː m aː p a
amba	a m p a
ambaga	a m p aː ɣ a
amerískur	aː m ɛ r i s k ʏ r
amharíska	aː m h a r i s k a
amma	a mː a
amper	a m̥ p ɛː r
amöba	aː m œː p a
ananas	aː n aː n a s
anda	a n t a
andaglas	a n t a k l aː s
andardráttur	a n t a r t r a u h t ʏ r
andarnefja	a n t a r n ɛ v j a
andarungi	a n t a r u ɲ c ɪ
anddyri	a n t t ɪː r ɪ
andefni	a n t ɛ p n ɪ
andeind	a n t e i n t
andfélagslega	a n t f j ɛː l a x s l ɛː ɣ a
andfélagslegur	a n t f j ɛː l a x s l ɛː ɣ ʏ r
andheiti	a n t h e iː t ɪ
andi	a n t ɪ
andlag	a n t l aː ɣ
andlagsfall	a n t l a x s f a t l
andlangur	a n t l a u ŋ k ʏ r
andlit	a n t l ɪː t
andlát	a n t l a uː t
andri	a n t r ɪ
andstyggilega	a n t s t ɪ cː ɪ l ɛː ɣ a
andstæðingur	a n t s t a iː ð i ŋ k ʏ r
andstæður	a n t s t a i ð ʏ r
andvaka	a n t v aː k a
andvari	a n t v aː r ɪ
andvarp	a n t v a r̥ p
andvirði	a n t v ɪ r ð ɪ
andúð	a n t uː ð
anemóna	aː n ɛ m o uː n a
anga	a u ŋ k a
angan	a u ŋ k a n
angi	a u ɲ c ɪ
anna	a nː a
annar	a nː a r
annars	a nː a r̥ s
annríki	a nː r iː c ɪ
annáll	a nː a u t l
ansa	a n s a
ansi	a n s ɪ
apa	aː p a
apalhraun	aː p a l r̥ ø yː n
apamaður	aː p a m aː ð ʏ r
api	aː p ɪ
app	a h p
appelsína	a h p ɛ l s iː n a
appelsínugulur	a h p ɛ l s iː n ʏ k ʏː l ʏ r
appelsínusafi	a h p ɛ l s iː n ʏ s aː v ɪ
apótek	aː p o uː tʰ ɛː k
apótekari	aː p o uː tʰ ɛː k aː r ɪ
arabíska	aː r a p i s k a
arabískur	aː r a p i s k ʏ r
aragrúi	aː r a k r uː ɪ
arameíska	aː r a m ɛː i s k a
arfi	a r v ɪ
argur	a r k ʏ r
ari	aː r ɪ
arinn	aː r ɪ nː
ark	a r̥ k
arkitekt	a r̥ c ɪ tʰ ɛ x t
armband	a r m p a n t
armbandsúr	a r m p a n t s uː r
armenska	a r m ɛ n s k a
armur	a r m ʏ r
aronsvöndur	aː r ɔ n s v œ n t ʏ r
arsen	a r̥ s ɛ n
art	a r t
aría	aː r iː j a
arða	a r ð a
arður	a r ð ʏ r
as	aː s
asetón	aː s ɛː tʰ o uː n
asi	aː s ɪ
aska	a s k a
askur	a s k ʏ r
asna	a s t n a
asni	a s t n ɪ
aspas	a s p a s
astat	a s t aː t
at	aː t
ata	aː t a
atarna	a tʰ a r t n a
atburður	aː t p ʏ r ð ʏ r
atferli	aː t f ɛ r t l ɪ
atgeir	aː t k e iː r
atgervi	aː t c ɛ r v ɪ
athuga	aː t h ʏː ɣ a
athugasemd	aː t h ʏː ɣ a s ɛ m t
athygli	aː t h ɪ k l ɪ
athæfi	aː t h a iː v ɪ
athöfn	aː t h œ p n
atkvæði	aː t kʰ v a iː ð ɪ
atlot	aː t l ɔː t
atorka	aː t ɔ r̥ k a
atriði	aː t r ɪː ð ɪ
atvik	aː t v ɪː k
atviksorð	aː t v ɪ k s ɔ r ð
atvikssaga	aː t v ɪ x s s aː ɣ a
atvinna	aː t v ɪ nː a
atvinnuleysi	a t v ɪ nː ʏ l œ yː s ɪ
atvinnumaður	aː t v ɪ nː ʏ m aː ð ʏ r
augabrún	ø yː ɣ a p r uː n
augljós	ø y ɣ l j o uː s
augljóslega	ø y ɣ l j o uː s l ɛː ɣ a
auglýsa	ø y ɣ l iː s a
auglýsing	ø y ɣ l iː s i ŋ k
augnablik	ø y k n a p l ɪː k
augnfró	ø y k n f r o uː
augnhár	ø y k n h a uː r
augnlok	ø y k n l ɔː k
augnlæknir	ø y k n l a i h k n ɪ r
augntönn	ø y k n tʰ œ nː
auka	ø yː k a
aukafall	ø yː k a f a t l
aukafallsliður	ø yː k a f a l s l ɪː ð ʏ r
aukasetning	ø yː k a s ɛ h t n i ŋ k
aukaspyrna	ø yː k a s p ɪ r t n a
aukastafur	ø yː k a s t aː v ʏ r
aukatenging	ø yː k a tʰ e i ɲ c i ŋ k
auki	ø yː c ɪ
aukning	ø y h k n i ŋ k
auli	ø yː l ɪ
aumingi	ø yː m i ɲ c ɪ
aumur	ø yː m ʏ r
aur	ø yː r
ausa	ø yː s a
austur	ø y s t ʏ r
auðmjúkur	ø y ð m j uː k ʏ r
auðmýking	ø y ð m iː c i ŋ k
auðmýkja	ø y ð m iː c a
auðmýkt	ø y ð m i x t
auðn	ø y ð n
auðna	ø y ð n a
auðnutittlingur	ø y ð n ʏ tʰ ɪ h t l i ŋ k ʏ r
auður	ø yː ð ʏ r
auðvald	ø y ð v a l t
auðvelda	ø y ð v ɛ l t a
auðveldlega	ø y ð v ɛ l t l ɛː ɣ a
auðveldur	ø y ð v ɛ l t ʏ r
auðæfi	ø yː ð a iː v ɪ
ax	a k s
ax	a x s
axhæra	a x s h a iː r a
axlabönd	a x s t l a p œ n t
aís	aː iː s
aðalakkeri	aː ð a l a h k ɛː r ɪ
aðalatriði	aː ð a l aː t r ɪː ð ɪ
aðalbraut	aː ð a l p r ø yː t
aðalbygging	aː ð a l p ɪ cː i ŋ k
aðalból	aː ð a l p o uː l
aðalendir	aː ð a l ɛ n t ɪ r
aðalfylking	aː ð a l f ɪ l̥ c i ŋ k
aðalhaf	aː ð a l h aː v
aðalhending	aː ð a l h ɛ n t i ŋ k
aðalkirkja	aː ð a l cʰ ɪ r̥ c a
aðall	aː ð a t l
aðallega	aː ð a l l ɛː ɣ a
aðalmerki	aː ð a l m ɛ r̥ c ɪ
aðalritning	aː ð a l r ɪ h t n i ŋ k
aðalsetning	aː ð a l s ɛ h t n i ŋ k
aðalskrifstofa	aː ð a l s k r i f s t ɔː v a
aðalskáli	aː ð a l s k a uː l ɪ
aðalsögn	aː ð a l s œ k n
aðaltenging	aː ð a l tʰ e i ɲ c i ŋ k
aðaltré	aː ð a l tʰ r j ɛː
aðaláhrif	aː ð aː l a uː r̥ ɪː v
aðaláhugamál	aː ð aː l a uː h ʏː ɣ a m a uː l
aðdragandi	a ð t r aː ɣ a n t ɪ
aðdráttarafl	a ð t r a u h t a r a p l
aðdráttur	a ð t r a u h t ʏ r
aðdróttun	a ð t r o u h t ʏ n
aðdáandi	a ð t a uː a n t ɪ
aðdáun	a ð t a uː ʏ n
aðeins	aː ð e i n s
aðfangadagur	a ð f a u ŋ k a t aː ɣ ʏ r
aðfaranótt	a ð f aː r a n o u h t
aðfella	a ð f ɛ t l a
aðferð	a ð f ɛ r ð
aðferðafræði	a ð f ɛ r ð a f r a iː ð ɪ
aðgangur	a ð k a u ŋ k ʏ r
aðgerð	a ð c ɛ r ð
aðgerðaáætlun	a ð c ɛ r ð a uː a i h t l ʏ n
aðgát	a ð k a uː t
aðgætni	a ð c a i h t n ɪ
aðild	aː ð ɪ l t
aðili	aː ð ɪː l ɪ
aðlaðandi	a ð l aː ð a n t ɪ
aðsjáll	a ð s j a u t l
aðskilinn	a ð s c ɪː l ɪ nː
aðskilja	a ð s c ɪ l j a
aðskilnaðarstefna	a ð s c ɪ l n aː ð a r s t ɛ p n a
aðskilnaður	a ð s c ɪ l n aː ð ʏ r
aðstoð	a ð s t ɔː ð
aðstoðarforstjóri	a ð s t ɔː ð a r f ɔ r̥ s t j o uː r ɪ
aðstoðarmaður	a ð s t ɔː ð a r m aː ð ʏ r
aðstæður	a ð s t a iː ð ʏ r
aðsókn	a ð s o u h k n
aðventa	a ð v ɛ n̥ t a
aðvörun	a ð v œː r ʏ n
b	p j ɛː
baga	p aː ɣ a
bagall	p aː ɣ a t l
baggi	p a cː ɪ
bagi	p a iː j ɪ
bagi	p aː j ɪ
bak	p aː k
baka	p aː k a
bakari	p aː k aː r ɪ
bakborði	p aː k p ɔ r ð ɪ
bakka	p a h k a
bakki	p a h c ɪ
bakpoki	p aː k pʰ ɔː c ɪ
baks	p a k s
baksa	p a k s a
baksa	p a x s a
bakskaut	p aː k s k ø yː t
bakstur	p a x s t ʏ r
bakuggi	p aː k ʏ cː ɪ
bakvörður	p aː k v œ r ð ʏ r
baldursbrá	p a l t ʏ r̥ s p r a uː
bali	p aː l ɪ
ball	p a lː
balsamedik	p a l s aː m ɛː t i k
bambus	p a m p ʏ s
bana	p aː n a
banabeður	p aː n a p ɛː ð ʏ r
bananahýði	p aː n a n a h iː ð ɪ
banani	p aː n a n ɪ
banda	p a n t a
bandalag	p a n t a l aː ɣ
bandarískur	p aː n t a r i s k ʏ r
bandingi	p a n t i ɲ c ɪ
bandormur	p a n t ɔ r m ʏ r
bandstrik	p a n t s t r ɪː k
bang	p a u ŋ k
banga	p a u ŋ k a
bani	p aː n ɪ
bank	p a u ŋ̊ k
banka	p a u ŋ̊ k a
bankaútibú	p a u ŋ̊ k a uː t ɪ p uː
banki	p a u ŋ̊ c ɪ
bann	p a nː
banna	p a nː a
bannfæring	p a nː f a iː r i ŋ k
bar	p aː r
barbari	p a r p aː r ɪ
bardagalist	p a r t aː ɣ a l ɪ s t
bardagi	p a r t aː j ɪ
barkakýli	p a r̥ k a cʰ iː l ɪ
barki	p a r̥ c ɪ
barmmerki	p a r m m ɛ r̥ c ɪ
barmur	p a r m ʏ r
barna	p a r t n a
barnabarn	p a r t n a p a r t n
barnabarn	p a t n a p a t n
barnagæla	p a r t n a c a iː l a
barnalæknir	p a r t n a l a i h k n ɪ r
barnamosi	p a r t n a m ɔː s ɪ
barnæska	p a r t n a i s k a
barr	p a rː
barrfinka	p a rː f i ŋ̊ k a
barrspæta	p a rː s p a iː t a
barrtré	p a rː t r j ɛː
bartar	p a r̥ t a r
barti	p a r̥ t ɪ
barátta	p aː r a u h t a
barín	p aː r iː n
barð	p a r ð
barón	p aː r o uː n
barónett	p aː r o uː n ɛ h t
barþjónn	p a r θ j o u t n
basi	p aː s ɪ
baskamál	p a s k a m a uː l
baskneska	p a s k n ɛ s k a
basl	p a s t l
basla	p a s t l a
bassetthorn	p a sː ɛ h t h ɔ r t n
bassi	p a sː ɪ
bastarður	p a s t a r ð ʏ r
bati	p aː t ɪ
baugfingur	p ø y x f i ŋ k ʏ r
baugur	p ø yː ɣ ʏ r
bauja	p ø yː j a
bauk	p ø yː k
baul	p ø yː l
baula	p ø yː l a
baun	p ø yː n
bauð	p ø iː ð
bavían	p aː v iː a n
bavíani	p aː v iː aː n ɪ
bað	p aː ð
baða	p aː ð a
baðherbergi	p aː ð h ɛ r p ɛ r c ɪ
baðkar	p a ð kʰ aː r
baðmullarsvunta	p a ð m ʏ t l a r s v ʏ n̥ t a
baðmur	p a ð m ʏ r
beddi	p ɛ tː ɪ
beikon	p e iː kʰ ɔ n
beila	p e iː l a
bein	p e iː n
beina	p e iː n a
beinagrind	p e iː n a k r ɪ n t
beinmergur	p e iː n m ɛ r k ʏ r
beinn	p e i t n
beisla	p e i s t l a
beisli	p e i s t l ɪ
beita	p e iː t a
beiti	p e iː t ɪ
beitieski	p e iː t ɪ ɛ s c ɪ
beitiland	p e iː t ɪ l a n t
beitilyng	p e iː t ɪ l i ŋ k
beittur	p e i h t ʏ r
beitukóngur	p e iː t ʏ kʰ o u ŋ k ʏ r
beiða	p e iː ð a
beiðni	p e i ð n ɪ
bekkjarfélagi	p ɛ h c a r f j ɛː l aː j ɪ
bekkjarlalli	p ɛ h c a r l a t l ɪ
bekkur	p ɛ h k ʏ r
bel	p ɛː l
belgi	p ɛ l c ɪ
belgja	p ɛ l c a
belgjastör	p ɛ l c a s t œː r
belgur	p ɛ l k ʏ r
belja	p ɛ l j a
belti	p ɛ l̥ t ɪ
beltisdýr	p ɛ l̥ t ɪ s t iː r
beltisstaður	p ɛ l̥ t ɪ s s t aː ð ʏ r
benda	p ɛ n t a
bendill	p ɛ n t ɪ t l
bending	p ɛ n t i ŋ k
bendir	p ɛ n t ɪ r
bensín	p ɛ n s iː n
bensínsala	p ɛ n s i n s aː l a
bensínstöð	p ɛ n s i n s t œː ð
ber	p ɛː r
bera	p ɛː r a
berg	p ɛ r k
bergkvika	p ɛ r k kʰ v ɪː k a
bergsóley	p ɛ r k s o uː l e iː
berja	p ɛ r j a
berklar	p ɛ r̥ k l a r
besefi	p ɛː s ɛː v ɪ
betla	p ɛ h t l a
betlari	p ɛ h t l aː r ɪ
beyging	p e iː j i ŋ k
beygingardæmi	p e iː j i ŋ k a r t a iː m ɪ
beygingarlýsing	p e iː j i ŋ k a r l iː s i ŋ k
beygja	p e iː j a
beygla	p e i k l a
beyki	p e iː c ɪ
beykitré	p e iː c ɪ t r j ɛː
beð	p ɛː ð
beðja	p ɛ ð j a
beður	p ɛː ð ʏ r
biblía	p ɪ p l iː j a
bifa	p ɪː v a
bifhjól	p ɪ f ç o uː l
bifhjól	p ɪ v ç o uː l
bifreið	p ɪ v r e iː ð
bifur	p ɪː v ʏ r
bik	p ɪː k
bika	p ɪː k a
bikar	p ɪː k a r
bikkja	p ɪ h c a
bil	p ɪː l
bilbugur	p ɪ l p ʏː ɣ ʏ r
bilun	p ɪː l ʏ n
binda	p ɪ n t a
bindi	p ɪ n t ɪ
birgir	p ɪ r c ɪ r
birgja	p ɪ r c a
birki	p ɪ r̥ c ɪ
birkitré	p ɪ r̥ c ɪ t r j ɛː
birna	p ɪ r t n a
birta	p ɪ r̥ t a
biskup	p ɪ s k ʏ p
biskupsdæmi	p ɪ s k ʏ p s t a iː m ɪ
biskupskápa	p ɪ s k ʏ p s kʰ a uː p a
bismút	p ɪ s m uː t
biti	p ɪː t ɪ
bið	p ɪː ð
biðill	p ɪː ð ɪ t l
biðja	p ɪ ð j a
biðlari	p ɪ ð l aː r ɪ
biðminni	p ɪ ð m ɪ nː ɪ
biðröð	p ɪ ð r œː ð
biðstofa	p ɪ ð s t ɔː v a
biðstöð	p ɪ ð s t œː ð
biðtími	p ɪ ð tʰ iː m ɪ
biðukolla	p ɪː ð ʏ kʰ ɔ t l a
biðvarsla	p ɪ ð v a r s t l a
bjakk	p j a h k
bjalla	p j a t l a
bjarga	p j a r k a
bjarma	p j a r m a
bjarmi	p j a r m ɪ
bjartsýni	p j a r̥ t s iː n ɪ
bjartsýnn	p j a r̥ t s i t n
bjartur	p j a r̥ t ʏ r
bjuggu	p j ʏ ɣ ʏ
bjálki	p j a u l̥ k ɪ
bjáni	p j a uː n ɪ
bjó	p j o uː
bjór	p j o uː r
bjórvömb	p j o u r v œ m p
bjóst	p j o uː s t
bjóða	p j o uː ð a
björg	p j œ r k
björk	p j œ r̥ k
björn	p j œ r t n
björn	p j œ t n
bjúga	p j uː a
bjúgaldin	p j uː ɣ a l t ɪ n
bjúgstör	p j u ɣ s t œː r
bjúgur	p j uː ʏ r
blak	p l aː k
blakkneskur	p l a h k n ɛ s k ʏ r
bland	p l a n t
blanda	p l a n t a
blandari	p l a n t a r ɪ
blautur	p l ø yː t ʏ r
blað	p l aː ð
blaðamaður	p l aː ð a m aː ð ʏ r
blaðra	p l a ð r a
blaðsíða	p l a ð s iː ð a
bleia	p l e iː j a
bleikja	p l e iː c a
bleikur	p l e iː k ʏ r
blek	p l ɛː k
blekbytta	p l ɛː k p ɪ h t a
blekking	p l ɛ h k i ŋ k
blekkja	p l ɛ h c a
blekpenni	p l ɛː k pʰ ɛ nː ɪ
blendingur	p l ɛ n t i ŋ k ʏ r
bless	p l ɛ s
blessa	p l ɛ sː a
blessun	p l ɛ sː ʏ n
blettatígur	p l ɛ h t a tʰ iː ɣ ʏ r
blettur	p l ɛ h t ʏ r
bleyta	p l e iː t a
bleyða	p l e iː ð a
bleyði	p l e iː ð ɪ
bleðill	p l ɛː ð ɪ t l
blik	p l ɪː k
blika	p l ɪː k a
bliki	p l ɪː c ɪ
blinda	p l ɪ n t a
blindhæð	p l ɪ n t h a iː ð
blindur	p l ɪ n t ʏ r
bliða	p l ɪː ð a
bljúgur	p l j uː ʏ r
blogg	p l ɔ kː
blogga	p l ɔ kː a
bloggari	p l ɔ kː a r ɪ
blokkflauta	p l ɔ h k f l ø yː t a
blossi	p l ɔ sː ɪ
bloti	p l ɔː t ɪ
blotna	p l ɔ h t n a
blunda	p l ʏ n t a
blundur	p l ʏ n t ʏ r
blygðun	p l ɪ ɣ ð ʏ n
blys	p l ɪː s
blá	p l a uː
bláber	p l a uː p ɛː r
blágreni	p l a uː k r ɛː n ɪ
blágresi	p l a uː k r ɛː s ɪ
blágrænn	p l a uː k r a i t n
bláhrafn	p l a uː r̥ a p n
blálanga	p l a uː l a u ŋ k a
blálilja	p l a uː l ɪ l j a
blámaður	p l a uː m aː ð ʏ r
blána	p l a uː n a
blár	p l a uː r
blása	p l a uː s a
blástur	p l a u s t ʏ r
blásveifgras	p l a uː s v e i v k r aː s
blásýra	p l a uː s iː r a
blátoppastör	p l a uː tʰ ɔ h p a s t œː r
blávingull	p l a uː v i ŋ k ʏ t l
blæja	p l a iː j a
blæjuber	p l a iː j ʏ p ɛː r
blær	p l a i̯ː r
blævængur	p l a iː v a i ŋ k ʏ r
blæðari	p l a iː ð a r ɪ
blæðing	p l a iː ð i ŋ k
blæösp	p l a iː œ s p
blífa	p l iː v a
blífur	p l iː v ʏ r
blístra	p l i s t r a
blíða	p l iː ð a
blíður	p l iː ð ʏ r
blók	p l o uː k
blóm	p l o uː m
blómavasi	p l o uː m a v aː s ɪ
blómkál	p l o u m kʰ a uː l
blómsef	p l o u m s ɛː v
blómstra	p l o u m s t r a
blómvöndur	p l o u m v œ n t ʏ r
blóraböggull	p l o uː r a p œ kː ʏ t l
blóð	p l o uː ð
blóðappelsína	p l o uː ð a h pʰ ɛ l s i n a
blóðarfi	p l o uː ð a r v ɪ
blóðbanki	b l o u ð p a u ŋ̊ c ɪ
blóðbað	p l o u ð p aː ð
blóðbogi	p l o uː ð p ɔː j ɪ
blóðflaga	p l o u ð f l aː ɣ a
blóðfruma	p l o u ð f r ʏː m a
blóðfrumnamyndun	p l o u ð f r ʏ m n a m ɪ n t ʏ n
blóðfræði	p l o u ð f r a iː ð ɪ
blóðleysi	p l o u ð l e iː s ɪ
blóðmaur	p l o uː ð m ø yː r
blóðmura	p l o u ð m ʏː r a
blóðmör	p l o u ð m œː r
blóðnasir	p l o u ð n aː s ɪ r
blóðormur	p l o uː ð ɔ r m ʏ r
blóðskömm	p l o u ð s k œ mː
blóðsuga	p l o u ð s ʏː ɣ a
blóðvökvi	p l o u ð v œː k v ɪ
blóðþrýstingur	p l o u ð θ r i s t i ŋ k ʏ r
blöðruhálskirtill	p l œ ð r ʏ h a u l s cʰ ɪ r̥ t ɪ t l
blöðruselur	p l œ ð r ʏ s ɛː l ʏ r
blússa	p l u sː a
blý	p l iː
blýantur	p l iː a n t ʏ r
blýglans	p l iː k l a n s
bogastrengur	p ɔː ɣ a s t r e i ŋ k ʏ r
bogi	p ɔː j ɪ
bogna	p ɔ k n a
boli	p ɔː l ɪ
bolla	p ɔ lː a
bolla	p ɔ t l a
bolli	p ɔ t l ɪ
bolludagur	p ɔ lː ʏ t aː ɣ ʏ r
bollur	p ɔ lː ʏ r
bolsi	p ɔ l s ɪ
boltaíþrótt	p ɔ l̥ t a iː θ r o u h t
bolti	p ɔ l̥ t ɪ
bolur	p ɔː l ʏ r
bor	p ɔː r
bora	p ɔː r a
borg	p ɔ r k
borga	p ɔ r k a
borgaralegur	p ɔ r k aː r a l ɛː ɣ ʏ r
borgari	p ɔ r k aː r ɪ
borgarstjóri	p ɔ r k a r s t j o uː r ɪ
borð	p ɔ r ð
borða	p ɔ r ð a
borðhnífur	p ɔ r ð n̥ iː v ʏ r
borði	b ɔ r ð ɪ
borðstofa	p ɔ r ð s t ɔː v a
borðtennis	p ɔ r ð tʰ ɛ nː ɪ s
borðtölva	p ɔ r ð tʰ œ l v a
bossi	p ɔ sː ɪ
botn	p ɔ h t n
botna	p ɔ h t n a
botnfall	p ɔ h t n f a t l
botnlangabólga	p ɔ h t n l a u ŋ k a p o u l k a
botnlanganám	p ɔ h t n l a u ŋ k a n a uː m
botnlangaskurður	p ɔ h t n l a u ŋ k a s k ʏ r ð ʏ r
botnlangatota	p ɔ h t n l a u ŋ k a tʰ ɔː t a
botnlangi	p ɔ h t n l a u ŋ c ɪ
box	p ɔ x s
boð	p ɔː ð
boða	p ɔː ð a
boðberi	p ɔ ð p ɛː r ɪ
boðflenna	p ɔ ð f l ɛ nː a
boðháttur	p ɔː ð h a u h t ʏ r
boðorð	p ɔː ð ɔ r ð
boðskapur	p ɔ ð s k aː p ʏ r
bragfræði	p r a x f r a iː ð ɪ
braggi	p r a cː ɪ
bragliður	p r a ɣ l ɪː ð ʏ r
bragur	p r aː ɣ ʏ r
bragð	p r a ɣ ð
bragðskyn	p r a ɣ ð s c ɪː n
brak	p r aː k
branda	p r a n t a
brandari	p r a n t a r ɪ
brandugla	p r a n t ʏ k l a
brandur	p r a n t ʏ r
brandönd	p r a n t œ n t
bras	p r aː s
brass	p r a sː
braut	p r ø yː t
brautargengi	p r ø yː t a r c e i ɲ c ɪ
brautarstöð	p r ø yː t a r s t œː ð
brautryðjandi	p r ø yː t r ɪ ð j a n t ɪ
brauð	p r ø yː ð
brauðhnífur	p r ø y ð n̥ iː v ʏ r
brauðmoli	p r ø y ð m ɔː l ɪ
brauðmylsna	p r ø y ð m ɪ l s t n a
brauðrist	p r ø y ð r ɪ s t
bravó	p r aː v o uː
bregða	p r ɛ ɣ ð a
breidd	p r e i tː
breiddargráða	p r e i tː a r k r a uː ð a
breiddarleit	p r e i tː a r l e iː t
breiða	p r e iː ð a
breiðnefur	p r e i ð n ɛː v ʏ r
breiður	p r e iː ð ʏ r
breiðþota	p r e i ð θ ɔː t a
brekka	p r ɛ h k a
brekkusnigill	p r ɛ h k ʏ s t n ɪː j ɪ t l
brekkusóley	p r ɛ h k ʏ s o uː l e iː
brella	p r ɛ t l a
bremsa	p r ɛ m s a
brengla	p r e i ŋ l a
brenna	p r ɛ nː a
brenninetla	p r ɛ nː ɪ n ɛ h t l a
brennisteinn	p r ɛ nː ɪ s t e i t n
brennisóley	p r ɛ nː ɪ s o uː l e iː
brennivín	p r ɛ nː ɪ v iː n
brennsla	p r ɛ n s t l a
brennuvargur	p r ɛ nː ʏ v a r k ʏ r
breskur	p r ɛ s k ʏ r
bresta	p r ɛ s t a
brestur	p r ɛ s t ʏ r
bretti	p r ɛ h t ɪ
bretónska	p r ɛː tʰ o u n s k a
breyta	p r e iː t a
breytilegur	p r e iː t ɪ l ɛː ɣ ʏ r
breyting	p r e iː t i ŋ k
breytni	p r e i h t n ɪ
brimill	p r ɪː m ɪ t l
bringa	p r i ŋ k a
bringubein	p r i ŋ k ʏ p e iː n
