't	t
kräizen	k ʀ æː ɪ̯ t͡s ə n
kränken	k ʀ æ ŋ k e n
krëmmen	k ʀ ə m ə n
kucken	k u k ə n
kuerz	k u e̯ t s
käichen	k æː ɪ̯ ɕ ə n
kämmen	k æ m ə n
käppen	k æ p ə n
kéim	k ɜ ɪ̯ m
kéimen	k ɜ ɪ̯ m ə n
kéims	k ɜ ɪ̯ m s
kéimt	k ɜ ɪ̯ m t
kéint	k e i̯ n t
kéinten	k ɜ ɪ̯ n t ə n
kéints	k ɜ ɪ̯ n t s
kéipweis	k ɜ ɪ̯ p v ɑ ɪ̯ s
kéng	k e ŋ
kéngen	k e ŋ ə n
këmmen	k ə m ə n
këmmeren	k ə m ə ʀ ə n
kënnen	k e n e n
kënns	k ə n s
kënnt	k e n t
këssen	k ə s ə n
laachen	l aː χ ə n
laaft	l aː f t
laang	l aː ŋ
laanscht	l aː n ʃ t
laaschten	l aː ʃ t ə n
laf	l aː f
lafen	l aː f ə n
landen	l ɑ n d ə n
lass	l ɑ s
lauschteren	l æ u̯ ʃ t e r e n
leed	l eː t
leeden	l eː d ə n
leefs	l eː f s
leeft	l eː f t
leeschten	l eː ʃ t ə n
leeën	l eː e n
lei	l ɑ ɪ̯
leiden	l ɑ ɪ̯ d ə n
leien	l a i̯ e n
leieren	l ɑ ɪ̯ ə ʀ ə n
leit	l ɑ ɪ̯ t
leits	l ɑ ɪ̯ t s
lescht	l æ ʃ t
liesen	l i e̯ z e n
lieweg	l i e̯ v e χ
liewen	l i e̯ v e n
liicht	l iː ɕ t
liichten	l iː ɕ t ə n
limburgesch	l i m b u ə̯ ʑ ə ʃ
literaresch	l i t ə ʀ aː ʀ ə ɕ
litt	l i t
litts	l i t s
liwweren	l i v ə ʁ ə n
lo	l oː
lokal	l o k aː l
looss	l oː s
loossen	l oː s ə n
loosst	l oː s t
louch	l ə ʊ̯ χ
louchen	l ə ʊ̯ χ ə n
louchs	l ə ʊ̯ χ s
loucht	l ə ʊ̯ χ t
lounen	l ə ʊ̯ n ə n
lueden	l u ə d ə n
lues	l u ə̯ s
läichen	l æː ɪ̯ ɕ ə n
läimen	l æː ɪ̯ m ə n
läis	l æː ɪ̯ s
läit	l æː ɪ̯ t
läschen	l æ ʃ e n
léi	l ɜ ɪ̯
léich	l ɜ ɪ̯ ɕ
léichen	l ɜ ɪ̯ ɕ ə n
léichs	l ɜ ɪ̯ ɕ s
léicht	l ɜ ɪ̯ ɕ t
léien	l e i̯ e n
léieren	l ɜ ɪ̯ ə ʀ ə n
léif	l e i̯ f
léinen	l e i̯ n e n
léisen	l e i̯ z e n
léiss	l ɜ ɪ̯ s
léisst	l ɜ ɪ̯ s t
léiwen	l e ɪ̯ v ə n
lénks	l e ŋ k s
lëschteg	l e ʃ t e χ
lëtzebuergesch	l e t s e b u e̯ ʁ e ʃ
maach	m aː χ
maacht	m aː χ t
maandelweis	m aː n d ə l v ɑ ɪ̯ s
maans	m aː n s
man	m aː n
mann	m ɑ n
markéieren	m ɑ ʀ k ɜ ɪ̯ ə ʀ ə n
maschinell	m ɑ ʃ i n æ l
mat	m ɑ t
matfillen	m ɑ t f i l ə n
matt	m ɑ t
matzen	m ɑ t͡s ə n
mech	m e χ
mee	m eː
meiden	m ɑ ɪ̯ d ə n
meit	m ɑ ɪ̯ t
meits	m ɑ ɪ̯ t s
mellen	m æ l ə n
meng	m e ŋ
mengem	m e ŋ ə m
mengen	m e ŋ ə n
mengen	m æ ŋ ə n
menger	m e ŋ ɐ
mer	m ɐ
midd	m i t
mierken	m iː ə̯ k ə n
miessen	m i ə̯ s ə n
mir	m iː r
misst	m i s t
missten	m i s t ə n
mockeleg	m o k ə l ə ɕ
moer	m oː e r
mof	m oː f
molen	m oː l ə n
momentan	m oː m ə n t aː n
moossen	m oː s ə n
muench	m u ə n ɕ
muer	m uː r
munch	m u n ɕ
munchmol	m u n ɕ m oː l
munnech	m u n ə ɕ
muss	m u s
mussen	m u s ə n
musst	m u s t
mussten	m u s t ə n
mä	m æ
mäin	m æː ɪ̯ n
männlech	m æ n l ə ɕ
méchs	m e χ s
méien	m ɜ ɪ̯ ə n
méiglech	m ɜ ɪ̯ ʑ l ə ɕ
méiglecherweis	m ɜ ɪ̯ ʁ l e χ ɐ v ɑ ɪ̯ s
mëll	m e l
mënschlech	m e n ʃ l e χ
mëschen	m ə ʃ ə n
mëssen	m ə s ə n
naass	n aː s
nach	n ɑ χ
natierlech	n a t iː ʀ l e χ
nawell	n aː v æ l
nee	n eː
neelen	n eː l ə n
neen	n eː n
nees	n eː s
nei	n a i̯
nennen	n æ n ə n
net	n e t
netzen	n æ t s ə n
ni	n iː
nidder	n i d ɐ
nidderlännesch	n i d ɐ l æ n ə ʃ
nieft	n i ə f t
nieren	n i ə ʀ ə n
niewent	n i ə v ə n t
niwweleg	n ɪ v ə l ə ɕ
no	n oː
nodeem	n oː d eː m
noeneen	n oː ə n eː n
nofillen	n oː f i l ə n
nonzeg	n o n t͡s ə ɕ
nonzéng	n o n t͡s e ŋ
nonzéngt	n o n t͡s e ŋ t
notzen	n o t͡s ə n
näischt	n æː ɪ̯ ʃ t
nämlech	n ɛː m l e χ
nécken	n e k ə n
néideg	n ɜ ɪ̯ d ə ɕ
néien	n ɜ ɪ̯ ə n
néng	n e ŋ
néngt	n e ŋ t
nëmmen	n e m e n
ob	o p
och	o χ
oder	oː d ɐ
of	oː f
offléissen	o f f l ɜ ɪ̯ s ə n
offälleg	o f f æ l ə ɕ
ofginn	oː f ɡ i n
oflafen	o f l aː f ə n
ofleeën	oː f l eː ə n
ofschafen	oː f ʃ aː f ə n
ofschléissen	o f ʃ l ɜ ɪ̯ s ə n
ofsetzen	oː v z æ t s ə n
ofspriechen	oː f ʃ p ʀ i ə̯ χ e n
onbaarmhäerzeg	o n b aː ʀ m h eː ʀ t͡s e χ
onbedéngt	o n b ə d e ŋ t
onerwaart	o n ɐ v aː χ t
ongutt	o n ɡ u t
onnatierlech	o n n a t iː ʀ l e χ
onverfälscht	o n f ɐ f æ l ʃ t
ootmen	oː t m ə n
op	o p
operstoen	o p ɐ ʃ t oː ə n
opfaassen	o p f aː s ə n
opféieren	o p f ɜ ɪ ə ʀ ə n
oppen	o p ə n
opreegen	o p ʀ eː ʁ e n
opschloen	o p ʃ l oː ə n
opschléissen	o p ʃ l ɜ ɪ̯ s ə n
opsetzen	o b z æ t s ə n
optrieden	o p t ʀ i ə̯ d ə n
opwéckelen	o b v e k ə l ə n
orange	o ʁ ɑ̃ː ʃ
ower	oː v ɐ
owes	oː v ə s
paakt	p aː k t
paff	p ɑ f
pak	p aː k
paken	p aː k ə n
passen	p ɑ s ə n
paweeën	p ɑ v eː ə n
pechen	p æ χ e n
peeks	p eː k s
peekt	p eː k t
pennen	p æ n ə n
perséinlech	p e r z e i̯ n l e χ
plangen	p l ɑ ŋ ə n
platt	p l ɑ t
plazeweis	p l aː t͡s ə v ɑ ɪ̯ s
ploen	p l oː e n
plädéieren	p l æ d ɜ ɪ̯ ə ʀ ə n
plécken	p l e k ə n
plëmmen	p l ə m ə n
plënneren	p l ə n ə ʀ ə n
praffen	p ʀ ɑ f ə n
prett	p ʀ æ t
priedegen	p ʀ i ə̯ d e ʁ e n
pro	p ʀ oː
propper	p ʀ o p ɐ
puer	p u ɐ̯
päifen	p æː ɪ̯ f ə n
pësperen	p ə s p ə ʀ ə n
queesch	k v eː ʃ
quëllen	k v e l e n
raachen	ʀ aː χ ə n
raaft	ʀ aː f t
rabbelen	ʀ ɑ b ə l ə n
rafen	r aː f e n
rappen	ʀ ɑ p ə n
raschten	ʀ ɑ ʃ t ə n
rau	r æ u̯
raumen	ʀ ɑ ʊ̯ m ə n
rechnen	ʀ æ ɕ n ə n
rechtlech	ʀ æ χ t l e χ
rechtwénkleg	ʀ æ ʑ d v e ŋ k l ə ɕ
reefs	ʀ eː f s
reeft	ʀ eː f t
reenen	ʀ eː n ə n
rees	ʀ eː s
reesen	ʀ eː z ə n
reest	ʀ eː s t
reflexiv	ʀ ə f l æ k s iː f
reiden	ʀ ɑ ɪ̯ d ə n
reien	ʀ ɑ ɪ̯ ə n
reifs	ʀ ɑ ɪ̯ f s
reit	ʀ ɑ ɪ̯ t
reits	ʀ ɑ ɪ̯ t s
reiwen	ʀ ɑ ɪ v ə n
reng	ʀ æ ŋ
rengegen	ʀ æ ŋ e ʁ e n
rennen	ʀ æ n ə n
residéieren	ʀ æ z i d ɜ ɪ̯ ə ʀ ə n
retten	ʀ æ t ə n
richen	ʀ i ɕ ə n
richteg	r i χ t e χ
rieden	ʀ i ə̯ d ə n
riets	ʀ i ə̯ t s
riicht	ʀ iː χ t
riichtbéien	ʀ iː χ t b e ɪ̯ e n
riichten	ʀ iː χ t e n
roden	ʀ oː d e n
ronderëm	r o n d ə ʀ ə m
ronn	ʀ o n
rosa	ʀ oː z a
rosen	ʀ oː z ə n
rout	r e u̯ t
rueden	ʀ u ə̯ d ə n
ruffen	ʀ u f ə n
räich	r æ i̯ χ
räif	ʀ æː ɪ̯ f
räifen	ʀ æː ɪ̯ f ə n
räissen	r æ i̯ s e n
réi	r e i̯
réieren	ʀ ɜ ɪ̯ ə ʀ ə n
réimesch	ʀ ɜ ɪ̯ m ə ʃ
réngen	ʀ e ŋ ə n
rënnen	r e n e n
rëselen	ʀ ə z ə l ə n
sachlech	z ɑ χ l e χ
salzeg	z a l t s e χ
sangen	z ɑ ŋ ə n
sat	z aː t
sauer	z a u̯ e r
saufen	z æ u̯ f e n
schaarf	ʃ aː ʀ f
schafen	ʃ aː f ə n
schaffen	ʃ ɑ f ə n
schalen	ʃ aː l ə n
scheeden	ʃ eː d ə n
schei	ʃ a i̯
scheien	ʃ ɑ ɪ̯ ə n
schiel	ʃ i ə l
schielen	ʃ i ə l ə n
schieren	ʃ i ə ʀ ə n
schif	ʃ iː f
schinnen	ʃ i n ə n
schlamm	ʃ l ɑ m
schlank	ʃ l ɑ ŋ k
schlecht	ʃ l æ ɕ t
schleefen	ʃ l eː f ə n
schliisslech	ʃ l iː s l e χ
schloen	ʃ l oː e n
schlofen	ʃ l oː f ə n
schluechten	ʃ l u ə̯ χ t e n
schläichen	ʃ l æː ɪ̯ ɕ ə n
schläifen	ʃ l æː ɪ̯ f ə n
schläimen	ʃ l æː ɪ̯ m ə n
schläissen	ʃ l æː ɪ s ə n
schléissen	ʃ l e i̯ s e n
schlëmm	ʃ l ə m
schmaachen	ʃ m aː χ ə n
schmidden	ʃ m i d ə n
schmieren	ʃ m i ə ʀ ə n
schmäissen	ʃ m æ i̯ s e n
schneiden	ʃ n ɑ ɪ̯ d ə n
schneien	ʃ n ɑ ɪ̯ ə n
schnell	ʃ n æ l
schnäizen	ʃ n æː ɪ̯ t͡s ə n
schnéiblann	ʃ n ɜ ɪ̯ b l ɑ n
schnéiwäiss	ʃ n ɜ ɪ̯ v æː ɪ̯ s
schonn	ʃ o n
schréi	ʃ ʀ ɜ ɪ̯
schréien	ʃ ʀ ɜ ɪ̯ ə n
schwaach	ʃ w aː χ
schwaarz	ʃ v aː r t s
schweessen	ʃ v eː s e n
schwieren	ʃ w i ə̯ ʀ ə n
schwätzen	ʃ v æ t s e n
schwéier	ʃ w ɜ ɪ̯ ɐ
schwëllen	ʃ w ə l ə n
schäinbar	ʃ æː ɪ̯ n b aː ʀ
schäissen	ʃ æ i̯ s e n
schécken	ʃ e k ə n
schéin	ʃ ɜ ɪ̯ n
schéissen	ʃ ɜ ɪ̯ s ə n
schéngen	ʃ e ŋ e n
schëlleg	ʃ e l e χ
schënnen	ʃ ə n ə n
schëppen	ʃ ə p ə n
se	z ə
sech	z e χ
sechs	z æ k s
sechst	z æ k s t
seechen	z eː ɕ ə n
seegelen	z eː ʁ e l e n
seemen	z eː m ə n
seenen	z eː n ə n
seeën	z eː ə n
selwer	z æ l v ɐ
setzen	z æ t s e n
si	z i
sichen	z i ɕ ə n
siechzeg	z i ə̯ ɕ t͡s ə ɕ
siechzéng	z i ə̯ ɕ t͡s e ŋ
siechzéngt	z i ə̯ ɕ t͡s e ŋ t
siedegen	z i ə̯ d e ʁ e n
sielen	z i ə̯ l ə n
sinn	z i n
siwen	z iː v e n
siwent	z iː v ə n t
siwwenzéngt	z i v ə n t͡s e ŋ t
soen	z oː e n
sollen	z o l ə n
sonneg	z o n ə ɕ
soss	z o s
sou	z u
sou	z ə ʊ
soueren	z ə ʊ̯ ə ʀ ə n
souwisou	z ə ʊ̯ v i z ə ʊ̯
spaassen	ʃ p aː s ə n
spadséieren	ʃ p ɑ d͡z ɜ ɪ̯ ə ʀ ə n
spatz	ʃ p ɑ t s
spezifesch	ʃ p æ t͡s iː f ə ʃ
spieren	ʃ p iː r e n
spillen	ʃ p i l ə n
spionéieren	ʃ p i o n ɜ ɪ̯ ə ʀ ə n
spläissen	ʃ p l æː ɪ s ə n
sprang	ʃ p ʀ ɑ ŋ
sprangen	ʃ p r a ŋ e n
sprangt	ʃ p ʀ ɑ ŋ t
spreeden	ʃ p ʀ eː d ə n
spreeën	ʃ p ʀ eː ə n
spriechen	ʃ p ʀ i e̯ χ e n
sproochlech	ʃ p ʀ oː χ l e χ
spréngs	ʃ p ʀ e ŋ s
spréngt	ʃ p ʀ e ŋ t
sprëtzen	ʃ p ʀ ə t͡s ə n
spuenesch	ʃ p u ə̯ n ə ʃ
spueren	ʃ p uː r e n
spuert	ʃ p uː r t
späizen	ʃ p æː ɪ̯ t͡s ə n
spären	ʃ p eː ʀ e n
spëtzen	ʃ p ə t͡s ə n
staark	ʃ t aː r k
stamen	ʃ t aː m ə n
steeën	ʃ t eː ə n
steiwen	ʃ t ɑ ɪ v ə n
stengeg	ʃ t æ ŋ ə ɕ
stengen	ʃ t æ ŋ ə n
stiechen	ʃ t i ə ɕ ə n
stiermesch	ʃ t iː ə̯ m ə ʃ
stierwen	ʃ t i e̯ v e n
stoen	ʃ t oː e n
stomm	ʃ t o m
stoppen	ʃ t o p ə n
stoussen	ʃ t e u̯ s e n
strecken	ʃ t ʀ æ k ə n
streeën	ʃ t r eː e n
streiden	ʃ t ʀ ɑ ɪ̯ d ə n
striewen	ʃ t ʀ i ə̯ v ə n
strofen	ʃ t ʀ oː f e n
sträichen	ʃ t r æ i̯ χ e n
sträifen	ʃ t ʀ æː ɪ̯ f ə n
strécken	ʃ t ʀ e k ə n
stänneg	ʃ t æ n e χ
stättesch	ʃ t æ t e ʃ
stécken	ʃ t e k e n
stëll	ʃ t ə l
stëllen	ʃ t ə l ə n
stëmmen	ʃ t ə m ə n
suergen	z u e̯ ʁ e n
sächlech	z æ χ l e χ
säin	z æː ɪ̯ n
säit	z æː ɪ̯ t
sécher	z e χ e r
séien	z ɜ ɪ̯ ə n
séier	z e i̯ e r
séileg	z ɜ ɪ l ə ɕ
séiss	z e i̯ s
séissen	z ɜ ɪ̯ s e n
sëffeg	z ə f ə ɕ
sëlwer	z ə l v ɐ
sëndegen	z e n d e ʁ e n
sëtzen	z ə t s ə n
taaschten	t aː ʃ t ə n
tommelen	t o m ə l ə n
topeg	t oː p ə ɕ
toufen	t ə ʊ̯ f e n
trauen	t ʀ a u̯ e n
trauereg	t r a u̯ r e χ
traueren	t ʀ ɑ ʊ̯ ə ʀ ə n
treffen	t ʀ æ f ə n
trei	t ʀ a i̯
trennen	t ʀ æ n ə n
trieden	t ʀ i ə̯ d ə n
triet	t ʀ i ə t
tréischten	t ʀ ɜ ɪ̯ ʃ t ə n
trëllen	t ʀ ə l ə n
trëppelen	t ʀ ə p ə l ə n
trëts	t ʀ ə t s
trëtt	t ʀ ə t
turquoise	t y r k v aː s
tuten	t uː t ə n
téinen	t e i̯ n e n
tëschen	t ə ʃ ə n
tëschent	t ə ʃ ə n t
tëscht	t e ʃ t
ubauen	u b ɑ ʊ̯ ə n
uechten	u ə̯ χ t e n
uechtzéngt	u ə̯ ɕ t͡s e ŋ t
uerg	uː ə̯ ɕ
uewen	u ə v ə n
ufillen	u f i l ə n
ufänken	u f æ ŋ k ə n
uklicken	u k l i k ə n
ukommen	u k o m ə n
uleeën	u l eː ə n
umaachen	u m aː χ ə n
un	u n
uneneen	u n ə n eː n
unerkennen	u n ɐ k æ n ə n
unhuelen	u n h u ə l ə n
uruffen	u ʀ u f ə n
uschléissen	u ʃ l ɜ ɪ̯ s ə n
uspriechen	u ʃ p ʀ i ə̯ χ e n
verbannen	f e ʀ b ɑ n e n
verbidden	f ɐ b i d ə n
verbréngen	f ɐ b ʀ e ŋ ə n
verbéissen	f ɐ b ɜ ɪ̯ s ə n
verdeedegen	f ɐ d eː d e ʁ e n
verdeelen	f ɐ d eː l ə n
verdroen	f ɐ d ʀ oː ə n
verdéngen	f ɐ d e ŋ ə n
vereelzt	f ɐ ʔ eː l t͡s t
vereenegen	f e r eː n e ʁ e n
vereinfachen	f ɐ ʔ ɑ ɪ̯ n f ɑ χ ə n
verfollegen	f ɐ f o l ə ʑ ə n
verfälschen	f ɐ f æ l ʃ ə n
verfälscht	f ɐ f æ l ʃ t
vergiess	f ɐ ɡ i ə s
vergiessen	f ɐ ɡ i ə s ə n
vergiesst	f ɐ ɡ i ə s t
verginn	f ɐ ɡ i n
vergläichen	f ɐ ɡ l æː ɪ̯ χ e n
vergréisseren	f ɐ ɡ ʀ ɜ ɪ̯ s ə ʀ ə n
vergëss	f ɐ ɡ ə s
vergësst	f ɐ ɡ ə s t
verhalen	f ɐ h aː l ə n
verherrlechen	f ə h ɛ ʁ l ə ɕ ə n
verkafen	f ɐ k aː f ə n
verlaangen	f ɐ l aː ŋ ə n
verletzen	f ɐ l æ t͡s ə n
verlounen	f ɐ l ə ʊ̯ n ə n
verluer	f e r l uː r
verléieren	f e r l e i̯ r e n
verléiwen	f ɐ l ɜ ɪ̯ v ə n
vermengt	f ɐ m æ ŋ t
vermëschen	f ɐ m ə ʃ ə n
vermëssen	f ɐ m ə s ə n
verschidden	f ɐ ʃ i d ə n
verschléissen	f ɐ ʃ l ɜ ɪ̯ s ə n
verschwieren	f ɐ ʃ w i ə̯ ʀ ə n
versetzen	f ɐ z æ t s ə n
verspriechen	f e ʀ ʃ p ʀ i ə̯ χ e n
versteeën	f ɐ ʃ t eː ə n
verstoen	f e ʀ ʃ t oː e n
verstoppen	f ɐ ʃ t o p ə n
vertrieden	f ɐ t ʀ i ə d ə n
veruechten	f ɐ u ə̯ χ t e n
verwonnen	f ɐ v o n ə n
verzeien	f ɐ t͡s ɑ ɪ̯ ə n
verzweiwelen	f ɐ t͡s w ɑ ɪ̯ v ə l ə n
veräisen	f ɐ æː ɪ̯ z ə n
veränneren	f ɐ æ n ə ʀ ə n
vexéieren	v æ k s ɜ ɪ̯ ə ʀ ə n
viischt	f iː ʃ t
vill	f i l
villmols	f i l m oː l s
vir	f iː ʀ
virdrun	f iː ə̯ d ʀ u n
virsiichteg	f iː ə̯ z iː ɕ t ə ɕ
virstellen	f iː ə̯ ʃ t æ l ə n
virun	f i ʀ u n
vläicht	f l æ i̯ χ t
voll	f o l
vreckt	f ʀ æ k t
vrun	f ʀ u n
vun	f u n
véiereckeg	f e i̯ r æ k e χ
véiert	f ɜ ɪ̯ ɐ t
véierzeg	f ɜ i̯ ɐ t͡s ə ɕ
véierzéng	f ɜ ɪ̯ ɐ t͡s e ŋ
véierzéngt	f ɜ ɪ̯ ɐ t͡s e ŋ t
waachen	v aː χ ə n
waarden	v aː r d e n
waarm	v aː r m
wackelen	v ɑ k ə l ə n
wanderen	v ɑ n d ə ʀ ə n
wann	v ɑ n
war	v aː r
wat	v aː t
wat	v ɑ t
weechen	v eː ɕ ə n
weeden	v eː d ə n
weeder	v eː d e r
weess	v eː s
weiblech	v ɑ ɪ̯ b l ə ɕ
weider	v ɑ ɪ̯ d ɐ
weien	v a i̯ e n
weisen	v ɑ ɪ̯ z ə n
weit	v a i̯ t
well	v æ l
weltbekannt	v æ l d b ə k ɑ n t
wennen	v æ n ə n
werfen	v æ r f e n
wetten	v æ t ə n
wichteg	v i χ t e χ
wielen	v i ə l ə n
wiem	v i ə̯ m
wien	v i ə̯ n
wier	v iː r
wierdegen	v iː ʀ d e ʁ e n
wieren	v i ə ʀ ə n
wiesselen	v i ə̯ s ə l ə n
wiewen	v i ə̯ v ə n
wiiss	v iː s
wiisst	v iː s t
winnen	v i n ə n
woen	v oː e n
wond	v o n t
wonneren	v o n ə ʀ ə n
wosst	v o s t
wossten	v o s t ə n
wou	v e u̯
wou	v u
wouer	v e u̯ e r
wousst	v ə ʊ̯ s t
woussten	v ə ʊ̯ s t ə n
wuer	v u ə̯ ʀ
wuess	v u ə s
wuessen	v u ə̯ s ə n
wuesst	v u ə s t
wullen	v u l ə n
wunnen	v u n ə n
wäert	v eː r t
wäerten	v eː r t e n
wäiss	v æ i̯ s
wäissen	v æː ɪ s ə n
wäit	v æ i̯ t
wäschen	v æ ʃ ə n
wässeren	v æ s ə ʀ ə n
wéckelen	v e k ə l ə n
wéi	v i
wéi	v ɜ ɪ
wéien	v e i̯ e n
wéineg	v ɜ ɪ̯ n ə ɕ
wéini	v e i̯ n i
wéinst	v ɜ ɪ̯ n s t
wéint	v ɜ ɪ n t
wéisst	v ɜ ɪ̯ s t
wéissten	v ɜ ɪ̯ s t ə n
wénken	v e ŋ k ə n
wëllen	v ə l ə n
wënnen	v ə n ə n
wënschen	v ə n ʃ ə n
wëschen	v ə ʃ ə n
wëssen	v ə s ə n
wëssentlech	v ə s ə n t l ə ɕ
wësst	v ə s t
zaart	t s aː r t
zabbeleg	t͡s ɑ b ə l ə ɕ
zabbelen	t͡s ɑ b ə l ə n
zam	t s aː m
zanter	t s ɑ n t ɐ
zauberen	t s a u̯ b e r e n
ze	t s e
zecken	t s æ k e n
zeechnen	t s eː χ n e n
zeideg	t s a i̯ d e χ
zeien	t͡s ɑ ɪ̯ ə n
zersetzen	t͡s ɐ z æ t s ə n
zeréck	t s e r e k
zerécksetzen	t s ə ʀ e k z æ t s ə n
zesummen	t͡s ə z u m ə n
zevill	t͡s ə f i l
zidderen	t͡s i d ə ʁ ə n
zielen	t͡s i ə l ə n
zieren	t͡s i ə ʀ ə n
ziichten	t s iː ɕ t ə n
zilen	t s iː l e n
zillen	t s i l e n
zitt	t͡s i t
zitts	t͡s i t s
zolidd	t͡s o l i t
zou	t s e u̯
zoudroen	t͡s ə ʊ̯ d ʀ oː ə n
zouen	t s ə ʊ ə n
zoufälleg	t͡s ə ʊ̯ f æ l ə ɕ
zoumaachen	t͡s ə ʊ̯ m aː χ ə n
zousetzen	t͡s ə ʊ z æ t s ə n
zouspriechen	t͡s ə ʊ̯ ʃ p ʀ i ə̯ χ e n
zoustänneg	t͡s ə ʊ̯ ʃ t æ n ə ɕ
zousätzlech	t͡s ə ʊ̯ z æ t͡s l ə ɕ
zu	t͡s u
zugläich	t͡s u ɡ l æː ɪ̯ ɕ
zwangsrekrutéieren	t͡s w ɑ ŋ s ʀ ə k ʀ u t ɜ ɪ̯ ə ʀ ə n
zwanzeg	t͡s w ɑ n t͡s ə ɕ
zwanzegst	t͡s w ɑ n t͡s ə ɕ s t
zwee	t s v eː
zweeeeëg	t s v eː eː e χ
zweemol	t͡s w eː m oː l
zweet	t͡s w eː t
zweiwelen	t s v a i̯ v e l e n
zwielef	t s w i ə̯ l ə f
zwieleft	t͡s w i ə̯ l ə f t
zwitscher	t͡s w i t͡ʃ ɐ
zwitscheren	t͡s w i t͡ʃ ə ʀ ə n
zwitschers	t͡s w i t͡ʃ ɐ s
zwitschert	t͡s w i t͡ʃ ɐ t
zwéngen	t͡s w e ŋ ə n
zwëschen	t͡s w ə ʃ ə n
zwëschent	t͡s w ə ʃ ə n t
zwëscht	t͡s w ə ʃ t
zäertlech	t͡s ɛː ə̯ t l ə ɕ
zécken	t͡s e k ə n
zéi	t s e i̯
zéien	t͡s ɜ ɪ̯ ə n
zéit	t͡s ɜ ɪ̯ t
zéng	t s e ŋ
zéngt	t͡s e ŋ t
zënter	t s ə n t ɐ
Äbt	æ p t
Äerd	eː r t
Äerdbier	eː r t b iː r
Äerm	eː r m
Äerz	eː ʀ t s
Äerzbëschof	eː ʀ t s b e ʃ o f
Äerzbëschof	eː ʀ t s b e ʃ oː f
Äis	æ i̯ s
Äisbier	æ i̯ s b iː ʀ
Äisbierg	æ i̯ s b i e̯ χ
Äisch	æ i̯ ʃ
Äishockey	æ i̯ s h o k i
Äisvull	æ i̯ s f u l
Äiszäit	æ i̯ s t s æ i̯ t
Ännerung	æ n e ʀ u ŋ
Äntwert	æ n t v e ʀ t
Äppel	æ p ə l
Äppeljus	æ p e l ʒ y
Äppeltaart	æ p e l t aː ʀ t
Äppeltäsch	æ p e l t æ ʃ
Äppelviz	æ p e l f iː t s
Äquator	æ k v aː t o ʀ
Äsch	æ ʃ
Äschepuddel	æ ʃ e p u d e l
Äschermëttwoch	æ ʃ e ʀ m e t v o χ
Äscht	æ ʃ t
Äss	æ s
É	e
É	ə
Ë	ə
Ëffnung	e f n u ŋ
Ëmdréiung	e m d ʀ e i̯ u ŋ
Ëmgang	e m ɡ a ŋ
Ëmgangssprooch	e m ɡ a ŋ s ʃ p ʀ oː χ
Ëmwelt	e m v æ l t
Ënn	e n
Ënnerdaach	e n e ʀ d aː χ
Ënnergang	e n e ʀ ɡ a ŋ
Ënnerläif	e n e ʀ l æ i̯ f
Ënnerscheed	e n e ʀ ʃ eː t
Ënnerwäsch	e n e ʀ v æ ʃ
äddi	æ d i
äiseg	æ i̯ z e χ
äiskal	æ i̯ s k aː l
änneren	æ n e ʀ e n
äntweren	æ n t v e ʀ e n
är	eː ʀ
äusseren	o i̯ s e r e n
äusserlech	o i̯ s e r l e χ
ë	ə
ëffentlech	e f e n t l e χ
ëm	e m
ëmdoen	e m d o e n
ëmdréien	e m d ʀ e i̯ e n
ëmgangssproochlech	e m ɡ a ŋ s ʃ p ʀ oː χ l e χ
ëmleeën	e m l e e n
ëmsetzen	e m z æ t s e n
ëmänneren	e m æ n e ʀ e n
ënnen	e n e n
ënner	e n e ʀ
ënnerbréngen	e n e r b r e ŋ e n
ënnerleeën	e n e ʀ l e e n
ënnerleien	e n e ʀ l a i̯ e n
ënnersträichen	e n e r ʃ t r æ i̯ χ e n
ëss	e s
ësst	e s t
ëstlech	e s t l e χ
