あ	a̠
ありのとわたり	a̠ ɾʲ i n o̞ t o̞ ɰᵝ a̠ t a̠ ɾʲ i
ありのまま	a̠ ɾʲ i n o̞ m a̠ m a̠
ありふれる	a̠ ɾʲ i ɸ ɯ̟ᵝ ɾ e̞ ɾ ɯ̟ᵝ
あります	a̠ ɾʲ i m a̠ s ɨ̥ᵝ
ありもしない	a̠ ɾʲ i m o̞ ɕ i n a̠ i
ありゃりゃ	a̠ ɾʲ a̠ ɾʲ a̠
ありやす	a̠ ɾʲ i j a̠ s ɨᵝ
ありゅう	a̠ ɾʲ ɨᵝː
ありゅうさん	a̠ ɾʲ ɨᵝː s ã̠ ɴ
ありんこ	a̠ ɾʲ ĩ ŋ k o̞
ありんさん	a̠ ɾʲ ĩ ɰ̃ s ã̠ ɴ
ある	a̠ ɾ ɯ̟ᵝ
あるある	a̠ ɾ ɯ̟ᵝ a̠ ɾ ɯ̟ᵝ
あるいは	a̠ ɾ ɯ̟ᵝ i ɰᵝ a̠
あるか	a̠ ɾ ɯ̟ᵝ k a̠
あるきまわる	a̠ ɾ ɯ̟ᵝ kʲ i m a̠ ɰᵝ a̠ ɾ ɯ̟ᵝ
あるきみこ	a̠ ɾ ɯ̟ᵝ kʲ i mʲ i k o̞
あるく	a̠ ɾ ɯ̟ᵝ k ɯ̟ᵝ
あるなし	a̠ ɾ ɯ̟ᵝ n a̠ ɕ i
あれ	a̠ ɾ e̞
あれい	a̠ ɾ e̞ː
あれこれ	a̠ ɾ e̞ k o̞ ɾ e̞
あれはてる	a̠ ɾ e̞ h a̠ t e̞ ɾ ɯ̟ᵝ
あれら	a̠ ɾ e̞ ɾ a̠
あれる	a̠ ɾ e̞ ɾ ɯ̟ᵝ
あれれ	a̠ ɾ e̞ ɾ e̞
あろうことか	a̠ ɾ o̞ː k o̞ t o̞ k a̠
あわ	a̠ ɰᵝ a̠
あわうみ	a̠ ɰᵝ a̠ ɯ̟ᵝ mʲ i
あわさる	a̠ ɰᵝ a̠ s a̠ ɾ ɯ̟ᵝ
あわす	a̠ ɰᵝ a̠ s ɨᵝ
あわせ	a̠ ɰᵝ a̠ s e̞
あわせて	a̠ ɰᵝ a̠ s e̞ t e̞
あわせる	a̠ ɰᵝ a̠ s e̞ ɾ ɯ̟ᵝ
あわてふためく	a̠ ɰᵝ a̠ t e̞ ɸ ɯ̟̊ᵝ t a̠ m e̞ k ɯ̟ᵝ
あわてる	a̠ ɰᵝ a̠ t e̞ ɾ ɯ̟ᵝ
あわもり	a̠ ɰᵝ a̠ m o̞ ɾʲ i
あわや	a̠ ɰᵝ a̠ j a̠
あわれ	a̠ ɰᵝ a̠ ɾ e̞
あわれみ	a̠ ɰᵝ a̠ ɾ e̞ mʲ i
あわれむ	a̠ ɰᵝ a̠ ɾ e̞ m ɯ̟ᵝ
あわをふく	a̠ ɰᵝ a̠ o̞ ɸ ɯ̟ᵝ k ɯ̟ᵝ
あん	ã̠ ɴ
あんあんり	ã̠ ɰ̃ ã̠ n ɾʲ i
あんいつ	ã̠ ɰ̃ i t͡s ɨᵝ
あんうつ	ã̠ ɰ̃ ɯ̟ᵝ t͡s ɨᵝ
あんうん	ã̠ ɰ̃ ɯ̟̃ᵝ ɴ
あんえい	ã̠ ɰ̃ e̞ː
あんかけ	ã̠ ŋ k a̠ k e̞
あんき	ã̠ ŋʲ kʲ i
あんきも	ã̠ ŋʲ kʲ i m o̞
あんけん	ã̠ ŋ k ẽ̞ ɴ
あんこ	ã̠ ŋ k o̞
あんこう	ã̠ ŋ k o̞ː
あんこく	ã̠ ŋ k o̞ k ɯ̟ᵝ
あんこくたいりく	ã̠ ŋ k o̞ k ɯ̟ᵝ t a̠ i ɾʲ i k ɯ̟ᵝ
あんこくめん	ã̠ ŋ k o̞ k ɯ̟ᵝ m ẽ̞ ɴ
あんさつ	ã̠ ɰ̃ s a̠ t͡s ɨᵝ
あんしつ	ã̠ ɰ̃ ɕ i̥ t͡s ɨᵝ
あんしょ	ã̠ ɰ̃ ɕ o̞
あんしょう	ã̠ ɰ̃ ɕ o̞ː
あんしん	ã̠ ɰ̃ ɕ ĩ ɴ
あんしんりつめい	ã̠ ɰ̃ ɕ ĩ n ɾʲ i t͡s ɨᵝ m e̞ː
あんせい	ã̠ ɰ̃ s e̞ː
あんそくこうさん	ã̠ ɰ̃ s o̞ k ɯ̟ᵝ k o̞ː s ã̠ ɴ
あんた	ã̠ n t a̠
あんたい	ã̠ n t a̠ i
あんたん	ã̠ n t ã̠ ɴ
あんちょく	ã̠ ɲ̟ t͡ɕ o̞ k ɯ̟ᵝ
あんていき	ã̠ n t e̞ː kʲ i
あんてき	ã̠ n t e̞ kʲ i
あんてん	ã̠ n t ẽ̞ ɴ
あんな	ã̠ nː a̠
あんない	ã̠ nː a̠ i
あんないしょ	ã̠ nː a̠ i ɕ o̞
あんないにん	ã̠ nː a̠ i ɲ̟ ĩ ɴ
あんなに	ã̠ nː a̠ ɲ̟ i
あんねい	ã̠ nː e̞ː
あんのん	ã̠ nː õ̞ ɴ
あんぶん	ã̠ m b ɯ̟̃ᵝ ɴ
あんま	ã̠ mː a̠
あんまし	ã̠ mː a̠ ɕ i
あんまり	ã̠ mː a̠ ɾʲ i
あんまん	ã̠ mː ã̠ ɴ
あんみつ	ã̠ mʲː i t͡s ɨᵝ
あんもち	ã̠ mː o̞ t͡ɕ i
あんらく	ã̠ n ɾ a̠ k ɯ̟ᵝ
あんらくし	ã̠ n ɾ a̠ k ɯ̟ᵝ ɕ i
あーね	a̠ː n e̞
い	i
いあい	i a̠ i
いあつ	i a̠ t͡s ɨᵝ
いあんふ	i ã̠ ɰ̃ ɸ ɯ̟ᵝ
いい	iː
いいあう	i i a̠ ɯ̟ᵝ
いいえ	iː e̞
いいかえす	iː k a̠ e̞ s ɨᵝ
いいかえる	i i k a̠ e̞ ɾ ɯ̟ᵝ
いいかた	i i k a̠ t a̠
いいから	iː k a̠ ɾ a̠
いいきかせる	iː kʲ i k a̠ s e̞ ɾ ɯ̟ᵝ
いいきる	i i kʲ i ɾ ɯ̟ᵝ
いいこちゃん	i i k o̞ t͡ɕ ã̠ ɴ
いいこなす	iː k o̞ n a̠ s ɨᵝ
いいたてる	iː t a̠ t e̞ ɾ ɯ̟ᵝ
いいつける	i i t͡s ɨᵝ k e̞ ɾ ɯ̟ᵝ
いいとし	i i t o̞ ɕ i
いいなずけ	iː n a̠ z ɨᵝ k e̞
いいね	i i n e̞
いいのこす	i i n o̞ k o̞ s ɨᵝ
いいはなつ	i i h a̠ n a̠ t͡s ɨᵝ
いいまわし	i i m a̠ ɰᵝ a̠ ɕ i
いいまわす	i i m a̠ ɰᵝ a̠ s ɨᵝ
いいん	i ĩ ɴ
いいんかい	i ĩ ŋ k a̠ i
いう	j ɯ̟ᵝː
いうはやすくおこなうはかたし	i ɯ̟ᵝ ɰᵝ a̠ j a̠ s ɨᵝ k ɯ̟ᵝ o̞ k o̞ n a̠ ɯ̟ᵝ ɰᵝ a̠ k a̠ t a̠ ɕ i
いぇ	j e̞
いえ	i e̞
いえい	i e̞ː
いえいえ	i e̞ː e̞
いえども	i e̞ d o̞ m o̞
いえない	i e̞ n a̠ i
いえもち	i e̞ m o̞ t͡ɕ i
いえる	i e̞ ɾ ɯ̟ᵝ
いおう	i o̞ː
いおり	i o̞ ɾʲ i
いおりてん	i o̞ ɾʲ i t ẽ̞ ɴ
いおん	i õ̞ ɴ
いか	i k a̠
いかいえい	i k a̠ i e̞ː
いかいよう	i k a̠ i j o̞ː
いかく	i k a̠ k ɯ̟ᵝ
いかくてき	i k a̠ k ɯ̟ᵝ t e̞ kʲ i
いかけ	i k a̠ k e̞
いかけし	i k a̠ k e̞ ɕ i
いかけや	i k a̠ k e̞ j a̠
いかさま	i k a̠ s a̠ m a̠
いかす	i k a̠ s ɨᵝ
いかすい	i k a̠ s ɨᵝ i
いかすみ	i k a̠ s ɨᵝ mʲ i
いかた	i k a̠ t a̠
いかつい	i k a̠ t͡s ɨᵝ i
いかなる	i k a̠ n a̠ ɾ ɯ̟ᵝ
いかに	i k a̠ ɲ̟ i
いかにして	i k a̠ ɲ̟ i ɕ i t e̞
いかにも	i k a̠ ɲ̟ i m o̞
いかめしい	i k a̠ m e̞ ɕ iː
いかり	i k a̠ ɾʲ i
いかる	i k a̠ ɾ ɯ̟ᵝ
いかれる	i k a̠ ɾ e̞ ɾ ɯ̟ᵝ
いかん	i k ã̠ ɴ
いかんせん	i k ã̠ ɰ̃ s ẽ̞ ɴ
いかんそく	i k ã̠ ɰ̃ s o̞ k ɯ̟ᵝ
いき	i kʲ i
いきいき	i kʲ i i kʲ i
いきうめ	i kʲ i ɯ̟ᵝ m e̞
いきおい	i kʲ i o̞ i
いきか	i kʲ i k a̠
いきかえる	i kʲ i k a̠ e̞ ɾ ɯ̟ᵝ
いきつけ	i kʲ i t͡s ɨ̥ᵝ k e̞
いきなり	i kʲ i n a̠ ɾʲ i
いきぬき	i kʲ i n ɯ̟ᵝ kʲ i
いきのこる	i kʲ i n o̞ k o̞ ɾ ɯ̟ᵝ
いきのね	i kʲ i n o̞ n e̞
いきもの	i kʲ i m o̞ n o̞
いきょ	i kʲ o̞
いきょう	i kʲ o̞ː
いきょうと	i kʲ o̞ː t o̞
いきょく	i kʲ o̞ k ɯ̟ᵝ
いきようよう	i kʲ i j o̞ː j o̞ː
いきりたつ	i kʲ i ɾʲ i t a̠ t͡s ɨᵝ
いきる	i kʲ i ɾ ɯ̟ᵝ
いきわかれ	i kʲ i ɰᵝ a̠ k a̠ ɾ e̞
いきわかれる	i kʲ i ɰᵝ a̠ k a̠ ɾ e̞ ɾ ɯ̟ᵝ
いきをきらす	i kʲ i o̞ kʲ i ɾ a̠ s ɨᵝ
いぎょう	i ɡʲ o̞ː
いく	i k ɯ̟ᵝ
いくきゅう	i k ɯ̟ᵝ kʲ ɨᵝː
いくさ	i k ɯ̟ᵝ s a̠
いくすう	i k ɯ̟ᵝ s ɨᵝː
いくせいそう	i k ɯ̟ᵝ s e̞ː s o̞ː
いくせん	i k ɯ̟ᵝ s ẽ̞ ɴ
いくた	i k ɯ̟ᵝ t a̠
いくつ	i k ɯ̟ᵝ t͡s ɨᵝ
いくつも	i k ɯ̟ᵝ t͡s ɨᵝ m o̞
いくにゅう	i k ɯ̟ᵝ ɲ̟ ɯ̟ᵝː
いくねん	i k ɯ̟ᵝ n ẽ̞ ɴ
いくみ	i k ɯ̟ᵝ mʲ i
いくもう	i k ɯ̟ᵝ m o̞ː
いくやく	i k ɯ̟ᵝ j a̠ k ɯ̟ᵝ
いくら	i k ɯ̟ᵝ ɾ a̠
いくらか	i k ɯ̟ᵝ ɾ a̠ k a̠
いくん	i k ɯ̟̃ᵝ ɴ
いぐち	i ɡ ɯ̟ᵝ t͡ɕ i
いけ	i k e̞
いけい	i k e̞ː
いけいれん	i k e̞ː ɾ ẽ̞ ɴ
いけおか	i k e̞ o̞ k a̠
いけさま	i k e̞ s a̠ m a̠
いけす	i k e̞ s ɨᵝ
いけにえ	i k e̞ ɲ̟ i e̞
いけむら	i k e̞ m ɯ̟ᵝ ɾ a̠
いけやま	i k e̞ j a̠ m a̠
いけん	i k ẽ̞ ɴ
いけんらん	i k ẽ̞ n ɾ ã̠ ɴ
いこ	i k o̞
いこう	i k o̞ ɯ̟ᵝ
いこう	i k o̞ː
いこみき	i k o̞
いころす	i k o̞ ɾ o̞ s ɨᵝ
いこん	i k õ̞ ɴ
いさい	i s a̠ i
いさお	i s a̠ o̞
いさかい	i s a̠ k a̠ i
いさかう	i s a̠ k a̠ ɯ̟ᵝ
いさく	i s a̠ k ɯ̟ᵝ
いささか	i s a̠ s a̠ k a̠
いさちる	i s a̠ t͡ɕ i ɾ ɯ̟ᵝ
いさつ	i s a̠ t͡s ɨᵝ
いさましい	i s a̠ m a̠ ɕ i i
いさみたつ	i s a̠ mʲ i t a̠ t͡s ɨᵝ
いさめる	i s a̠ m e̞ ɾ ɯ̟ᵝ
いざよい	i z a̠ j o̞ i
いし	i ɕ i
いしい	i ɕ iː
いしかり	i ɕ i̥ k a̠ ɾʲ i
いしかわけん	i ɕ i k a̠ ɰᵝ a̠ k ẽ̞ ɴ
いしき	i ɕ i̥ kʲ i
いしきたかいけい	i ɕ i kʲ i t a̠ k a̠ i k e̞ː
いしく	i ɕ i k ɯ̟ᵝ
いしけり	i ɕ i k e̞ ɾʲ i
いしこ	i ɕ i k o̞
いしころ	i ɕ i k o̞ ɾ o̞
いしのうえにもさんねん	i ɕ i n o̞ː e̞ ɲ̟ i m o̞ s ã̠ nː ẽ̞ ɴ
いしはら	i ɕ i̥ h a̠ ɾ a̠
いしもち	i ɕ i m o̞ t͡ɕ i
いしゃ	i ɕ a̠
いしゃりょう	i ɕ a̠ ɾʲ o̞ː
いしゅ	i ɕ ɨᵝ
いしゅう	i ɕ ɨᵝː
いしゅく	i ɕ ɨᵝ k ɯ̟ᵝ
いしょ	i ɕ o̞
いしょう	i ɕ o̞ː
いしょく	i ɕ o̞ k ɯ̟ᵝ
いしょくしゅ	i ɕ o̞ k ɯ̟ᵝ ɕ ɨᵝ
いしょくしょう	i ɕ o̞ k ɯ̟ᵝ ɕ o̞ː
いしりょく	i ɕ i ɾʲ o̞ k ɯ̟ᵝ
いしわた	i ɕ i ɰᵝ a̠ t a̠
いしん	i ɕ ĩ ɴ
いす	i s ɨᵝ
いすい	i s ɨᵝ i
いすう	i s ɨᵝː
いすか	i s ɨᵝ k a̠
いずみ	i z ɨᵝ mʲ i
いせい	i s e̞ː
いせいかとう	i s e̞ː k a̠ t o̞ː
いせいしゃ	i s e̞ː ɕ a̠
いせかい	i s e̞ k a̠ i
いせき	i s e̞ kʲ i
いせつ	i s e̞ t͡s ɨᵝ
いせまいり	i s e̞ m a̠ i ɾʲ i
いせん	i s ẽ̞ ɴ
いそ	i s o̞
いそいそ	i s o̞ i s o̞
いそうくうかん	i s o̞ː k ɯ̟ᵝː k ã̠ ɴ
いそうくうかんろん	i s o̞ː k ɯ̟ᵝː k ã̠ n ɾ õ̞ ɴ
いそうそうさんかくちゅう	i s o̞ː s o̞ː s ã̠ ŋ k a̠ k ɯ̟ᵝ t͡ɕ ɨᵝː
いそうろう	i s o̞ː ɾ o̞ː
いそがしい	i s o̞ ɡ a̠ ɕ iː
いそく	i s o̞ k ɯ̟ᵝ
いそしむ	i s o̞ ɕ i m ɯ̟ᵝ
いた	i t a̠
いたい	i t a̠ i
いたいあんちしょ	i t a̠ i ã̠ ɲ̟ t͡ɕ i ɕ o̞
いたいけ	i t a̠ i k e̞
いたいたしい	i t a̠ i t a̠ ɕ iː
いたきゃく	i t a̠ kʲ a̠ k ɯ̟ᵝ
いたくさんか	i t a̠ k ɯ̟ᵝ s ã̠ ŋ k a̠
いたしゃ	i t a̠ ɕ a̠
いたす	i t a̠ s ɨᵝ
いたずら	i t a̠ z ɨᵝ ɾ a̠
いたたまれない	i t a̠ t a̠ m a̠ ɾ e̞ n a̠ i
いたち	i t a̠ t͡ɕ i
いたって	i t a̠ t̚ t e̞
いたにつく	i t a̠ ɲ̟ i t͡s ɨᵝ k ɯ̟ᵝ
いたみ	i t a̠ mʲ i
いたむ	i t a̠ m ɯ̟ᵝ
いためる	i t a̠ m e̞ ɾ ɯ̟ᵝ
いたる	i t a̠ ɾ ɯ̟ᵝ
いたれりつくせり	i t a̠ ɾ e̞ ɾʲ i t͡s ɨᵝ k ɯ̟ᵝ s e̞ ɾʲ i
いたわしい	i t a̠ ɰᵝ a̠ ɕ iː
いたわる	i t a̠ ɰᵝ a̠ ɾ ɯ̟ᵝ
いたん	i t ã̠ ɴ
いたんしゃ	i t ã̠ ɰ̃ ɕ a̠
いたんしんもん	i t ã̠ ɰ̃ ɕ ĩ mː õ̞ ɴ
いち	i t͡ɕ i
いちい	i t͡ɕ i i
いちい	i t͡ɕ iː
いちいせい	i t͡ɕ iː s e̞ː
いちいせんしん	i t͡ɕ iː s ẽ̞ ɰ̃ ɕ ĩ ɴ
いちいち	i t͡ɕ iː t͡ɕ i
いちいんせい	i t͡ɕ i ĩ ɰ̃ s e̞ː
いちおう	i t͡ɕ i o̞ː
いちおし	i t͡ɕ i o̞ ɕ i
いちか	i t͡ɕ i k a̠
いちがつ	i t͡ɕ i ɡ a̠ t͡s ɨᵝ
いちく	i t͡ɕ i k ɯ̟ᵝ
いちけんしき	i k̚ k ẽ̞ ɰ̃ ɕ i kʲ i
いちころ	i t͡ɕ i k o̞ ɾ o̞
いちごん	i t͡ɕ i ɡ õ̞ ɴ
いちじく	i t͡ɕ i ʑ i k ɯ̟ᵝ
いちたか	i t͡ɕ i t a̠ k a̠
いちたへん	i t͡ɕ i t a̠ h ẽ̞ ɴ
いちなん	i t͡ɕ i n ã̠ ɴ
いちにちきょう	i t͡ɕ i ɲ̟ i t͡ɕ i kʲ o̞ː
いちにちもはやい	i t͡ɕ i ɲ̟ i t͡ɕ i m o̞ h a̠ j a̠ i
いちにん	i t͡ɕ i ɲ̟ ĩ ɴ
いちにんまえ	i t͡ɕ i ɲ̟ ĩ mː a̠ e̞
いちねん	i t͡ɕ i n ẽ̞ ɴ
いちねんせい	i t͡ɕ i n ẽ̞ ɰ̃ s e̞ː
いちのせ	i t͡ɕ i n o̞ s e̞
いちのせき	i t͡ɕ i n o̞ s e̞ kʲ i
いちのみや	i t͡ɕ i n o̞ mʲ i j a̠
いちはやく	i t͡ɕ i h a̠ j a̠ k ɯ̟ᵝ
いちひめにたろう	i t͡ɕ i̥ ç i m e̞
いちまつもよう	i t͡ɕ i m a̠ t͡s ɨᵝ m o̞ j o̞ː
いちまん	i t͡ɕ i m ã̠ ɴ
いちめい	i t͡ɕ i m e̞ː
いちもくさん	i t͡ɕ i m o̞ k ɯ̟ᵝ s ã̠ ɴ
いちもん	i t͡ɕ i m õ̞ ɴ
いちもんいっとう	i t͡ɕ i m õ̞ ɰ̃ i t̚ t o̞ː
いちもんなし	i t͡ɕ i m õ̞ nː a̠ ɕ i
いちもんふち	i t͡ɕ i m õ̞ ɰ̃ ɸ ɯ̟ᵝ t͡ɕ i
いちもんふつう	i t͡ɕ i m õ̞ ɰ̃ ɸ ɯ̟ᵝ t͡s ɨᵝː
いちゃいちゃ	i t͡ɕ a̠ i t͡ɕ a̠
いちゃこら	i t͡ɕ a̠ k o̞ ɾ a̠
いちゃもん	i t͡ɕ a̠ m õ̞ ɴ
いちや	i t͡ɕ i j a̠
いちやく	i t͡ɕ i j a̠ k ɯ̟ᵝ
いちゅう	i t͡ɕ ɨᵝː
いちょ	i t͡ɕ o̞
いちょう	i t͡ɕ o̞ː
いちよう	i t͡ɕ i j o̞ː
いちようしゅうそく	i t͡ɕ i j o̞ː ɕ ɨᵝː s o̞ k ɯ̟ᵝ
いちらん	i t͡ɕ i ɾ ã̠ ɴ
いちり	i t͡ɕ i ɾʲ i
いちりゅう	i t͡ɕ i ɾʲ ɨᵝː
いちりんしゃ	i t͡ɕ i ɾʲ ĩ ɰ̃ ɕ a̠
いちる	i t͡ɕ i ɾ ɯ̟ᵝ
いちるい	i t͡ɕ i ɾ ɯ̟ᵝ i
いちるいしゅ	i t͡ɕ i ɾ ɯ̟ᵝ i ɕ ɨᵝ
いちれい	i t͡ɕ i ɾ e̞ː
いっか	i k̚ k a̠
いっかい	i k̚ k a̠ i
いっかく	i k̚ k a̠ k ɯ̟ᵝ
いっかつ	i k̚ k a̠ t͡s ɨᵝ
いっかんせい	i k̚ k ã̠ ɰ̃ s e̞ː
いっきうち	i k̚ʲ kʲ i ɯ̟ᵝ t͡ɕ i
いっきのみ	i k̚ʲ kʲ i n o̞ mʲ i
いっきょしゅいっとうそく	i k̚ kʲ o̞ ɕ ɨᵝ i t̚ t o̞ː s o̞ k ɯ̟ᵝ
いっきょりょうとく	i k̚ʲ kʲ o̞ ɾʲ o̞ː t o̞ k ɯ̟ᵝ
いっけん	i k̚ k ẽ̞ ɴ
いっこ	i k̚ k o̞
いっこく	i k̚ k o̞ k ɯ̟ᵝ
いっこくろくと	i k̚ k o̞ k ɯ̟̊ᵝ ɾ o̞ k ɯ̟̊ᵝ t o̞
いっさい	i sː a̠ i
いっさいたふ	i sː a̠ i t a̠ ɸ ɯ̟ᵝ
いっさくさくじつ	i sː a̠ k ɯ̟ᵝ s a̠ k ɯ̟ᵝ ʑ i t͡s ɨᵝ
いっさくじつ	i sː a̠ k ɯ̟ᵝ ʑ i t͡s ɨᵝ
いっさつ	i sː a̠ t͡s ɨᵝ
いっさんかたんそ	i sː ã̠ ŋ k a̠ t ã̠ ɰ̃ s o̞
いっさんかちっそ	i sː ã̠ ŋ k a̠ t͡ɕ i sː o̞
いっさんかにちっそ	i sː ã̠ ŋ k a̠ ɲ̟ i t͡ɕ i sː o̞
いっし	i ɕː i
いっしゅ	i ɕː ɯ̟ᵝ
いっしゅう	i ɕː ɯ̟ᵝː
いっしゅうかん	i ɕː ɯ̟ᵝː k ã̠ ɴ
いっしゅつ	i ɕː ɯ̟ᵝ t͡s ɨᵝ
いっしゅん	i ɕː ɯ̟̃ᵝ ɴ
いっしゅんさきはやみ	i ɕː ɯ̟̃ᵝ ɰ̃ s a̠ kʲ i ɰᵝ a̠ j a̠ mʲ i
いっしょ	i ɕː o̞
いっしょう	i ɕː o̞ː
いっしょうけんめい	i ɕː o̞ː k ẽ̞ mː e̞ː
いっしょく	i ɕː o̞ k ɯ̟ᵝ
いっしょくそくはつ	i ɕː o̞ k ɯ̟̊ᵝ s o̞ k ɯ̟̊ᵝ h a̠ t͡s ɨᵝ
いっしん	i ɕː ĩ ɴ
いっしんいったい	i ɕː ĩ ɰ̃ i t̚ t a̠ i
いっしんきょう	i ɕː ĩ ŋʲ kʲ o̞ː
いっしんどうたい	i ɕː ĩ n d o̞ː t a̠ i
いっしんふらん	i ɕː ĩ ɰ̃ ɸ ɯ̟ᵝ ɾ ã̠ ɴ
いっすい	i sː ɯ̟ᵝ i
いっする	i sː ɯ̟ᵝ ɾ ɯ̟ᵝ
いっすん	i sː ɯ̟̃ᵝ ɴ
いっすんさきはやみ	i sː ɯ̟̃ᵝ ɰ̃ s a̠ kʲ i ɰᵝ a̠ j a̠ mʲ i
いっせい	i sː e̞ː
いっせきにちょう	i sː e̞ kʲ i ɲ̟ i t͡ɕ o̞ː
いっせつ	i sː e̞ t͡s ɨᵝ
いっせん	i sː ẽ̞ ɴ
いっそう	i sː o̞ ɯ̟ᵝ
いっそう	i sː o̞ː
いったい	i t̚ t a̠ i
いったいか	i t̚ t a̠ i k a̠
いったりきたり	i t̚ t a̠ ɾʲ i kʲ i t a̠ ɾʲ i
いったん	i t̚ t ã̠ ɴ
いっち	i t̚ t͡ɕ i
いっちけっそく	i t̚ t͡ɕ i k e̞ sː o̞ k ɯ̟ᵝ
いっちゃん	i t̚ t͡ɕ ã̠ ɴ
いっちょ	i t̚ t͡ɕ o̞
いっちょう	i t̚ t͡ɕ o̞ː
いっちょういっせき	i t̚ t͡ɕ o̞ː i sː e̞ kʲ i
いっちょうら	i t̚ t͡ɕ o̞ː ɾ a̠
いってい	i t̚ t e̞ː
いっていすう	i t̚ t e̞ː s ɨᵝː
いっていらっしゃい	i t̚ t e̞ i ɾ a̠ ɕː a̠ i
いってきます	i t̚ t e̞ kʲ i m a̠ s ɨᵝ
いってまいります	i t̚ t e̞ m a̠ i ɾʲ i m a̠ s ɨᵝ
いってよし	i t̚ t e̞ j o̞ ɕ i
いってら	i t̚ t e̞ ɾ a̠
いってらっしゃい	i t̚ t e̞ ɾ a̠ ɕː a̠ i
いってらー	i t̚ t e̞ ɾ a̠ː
いってんいっかく	i t̚ t ẽ̞ ɰ̃ i k̚ k a̠ k ɯ̟ᵝ
いってんよみ	i t̚ t ẽ̞ ɰ̃ j o̞ mʲ i
いっとう	i t̚ t o̞ː
いっとうせい	i t̚ t o̞ː s e̞ː
いっとうへい	i t̚ t o̞ː h e̞ː
いっとさんけん	i t̚ t o̞ s ã̠ ŋ k ẽ̞ ɴ
いっぺん	i p̚ p ẽ̞ ɴ
いつ	i t͡s ɨᵝ
いつう	i t͡s ɨᵝː
いつか	i t͡s ɨᵝ k a̠
いつからか	i t͡s ɨᵝ k a̠ ɾ a̠ k a̠
いつき	i t͡s ɨᵝ kʲ i
いつくしみ	i t͡s ɨᵝ k ɯ̟ᵝ ɕ i mʲ i
いつくしむ	i t͡s ɨᵝ k ɯ̟ᵝ ɕ i m ɯ̟ᵝ
いつしか	i t͡s ɨᵝ ɕ i k a̠
いつつ	i t͡s ɨᵝ t͡s ɨᵝ
いつも	i t͡s ɨᵝ m o̞
いつわ	i t͡s ɨᵝ ɰᵝ a̠
いつわり	i t͡s ɨᵝ ɰᵝ a̠ ɾʲ i
いつわる	i t͡s ɨᵝ ɰᵝ a̠ ɾ ɯ̟ᵝ
いてこます	i t e̞ k o̞ m a̠ s ɨᵝ
いてつく	i t e̞ t͡s ɨᵝ k ɯ̟ᵝ
いてら	i t e̞ ɾ a̠
いてん	i t ẽ̞ ɴ
いと	i t o̞
いとい	i t o̞ i
いとう	i t o̞ ɯ̟ᵝ
いとおしい	i t o̞ː ɕ i i
いとけない	i t o̞ k e̞ n a̠ i
いとこ	i t o̞ k o̞
いとさめ	i t o̞ s a̠ m e̞
いとしい	i t o̞ ɕ i i
いとしの	i t o̞ ɕ i n o̞
いとてき	i t o̞ t e̞ kʲ i
いとなむ	i t o̞ n a̠ m ɯ̟ᵝ
いとへん	i t o̞ h ẽ̞ ɴ
いとも	i t o̞ m o̞
いとをひく	i t o̞ o̞ ç i k ɯ̟ᵝ
いな	i n a̠
いない	i n a̠ i
いなか	i n a̠ k a̠
いなかくさい	i n a̠ k a̠ k ɯ̟ᵝ s a̠ i
いなかみち	i n a̠ k a̠ mʲ i t͡ɕ i
いなかもの	i n a̠ k a̠ m o̞ n o̞
いなくなる	i n a̠ k ɯ̟ᵝ n a̠ ɾ ɯ̟ᵝ
いなせ	i n a̠ s e̞
いななき	i n a̠ n a̠ kʲ i
いななく	i n a̠ n a̠ k ɯ̟ᵝ
いなほ	i n a̠ h o̞
いなむ	i n a̠ m ɯ̟ᵝ
いなもと	i n a̠ m o̞ t o̞
いなもり	i n a̠ m o̞ ɾʲ i
いなり	i n a̠ ɾʲ i
いにしえ	i ɲ̟ i ɕ i e̞
いにん	i ɲ̟ ĩ ɴ
いぬ	i n ɯ̟ᵝ
いぬい	i n ɯ̟ᵝ i
いぬか	i n ɯ̟ᵝ k a̠
いぬかい	i n ɯ̟ᵝ k a̠ i
いぬく	i n ɯ̟ᵝ k ɯ̟ᵝ
いぬころ	i n ɯ̟ᵝ k o̞ ɾ o̞
いぬちくしょう	i n ɯ̟ᵝ t͡ɕ i k ɯ̟ᵝ ɕ o̞ː
いぬねこ	i n ɯ̟ᵝ n e̞ k o̞
いぬはりこ	i n ɯ̟ᵝ h a̠ ɾʲ i k o̞
いぬわし	i n ɯ̟ᵝ ɰᵝ a̠ ɕ i
いね	i n e̞
いねかり	i n e̞ k a̠ ɾʲ i
いねむり	i n e̞ m ɯ̟ᵝ ɾʲ i
いのう	i n o̞ː
いのしかちょう	i n o̞ ɕ i k a̠ t͡ɕ o̞ː
いのしし	i n o̞ ɕ i ɕ i
いのち	i n o̞ t͡ɕ i
いのちとり	i n o̞ t͡ɕ i t o̞ ɾʲ i
いのまま	i n o̞ m a̠ m a̠
いのり	i n o̞ ɾʲ i
いのる	i n o̞ ɾ ɯ̟ᵝ
いはつ	i h a̠ t͡s ɨᵝ
いはん	i h ã̠ ɴ
いひん	i ç ĩ ɴ
いふく	i ɸ ɯ̟̊ᵝ k ɯ̟ᵝ
いへん	i h ẽ̞ ɴ
いほう	i h o̞ː
いほうせい	i h o̞ː s e̞ː
